"en_ar_DEEP"	"VerConf"
"وقد رفعت مؤسسة الحرمين المدرجة في القائمة (الولايات المتحدة الأمريكية) (QE.A.117.04) دعوى قضائية جديدة ضد الحكومة في محكمة المقاطعة الفيدرالية في ولاية أوريجون، بالإضافة إلى دعوى قضائية سابقة لا تزال معلقة في الولايات المتحدة. وتزعم مؤسسة الحرمين أن قرار الولايات المتحدة بفرض عقوبات عليها كان تعسفياً وغير مدعوم بأدلة قوية، كما انتهك حقوقها في الإجراءات القانونية الواجبة (من خلال الفشل في شرح الأساس الواقعي لتصرف الحكومة والاعتماد على أدلة سرية لم يتم تقديمها للمنظمة)، وحقها في عدم التفتيش والمصادرة غير المعقولين (بناءً على تجميد أصولها)، وحقوقها في حرية التعبير وتكوين الجمعيات وممارسة الشعائر الدينية بحرية. وتزعم مؤسسة الحرمين أيضاً أن رفض الحكومة السماح لها باستخدام الأصول المحظورة لدفع أتعاب محاميها ينتهك حقوقها في الإجراءات القانونية الواجبة."	1
"على مستوى كيانات الأمم المتحدة"	0
"9. تعليق واستئناف عملية تحديد الهوية."	0
"إن حماية المدنيين التزام تم تجاهله لفترة طويلة في الصومال."	1
"3. الوضع في قبرص (27 كانون الأول/ديسمبر 1963؛ 14 كانون الأول/ديسمبر 2009)."	0
"وكثيرا ما يتهرب قادة مؤسسات الحكم الذاتي المؤقتة من التزاماتهم بموجب القرار 1244 (1999) والإطار الدستوري."	1
"ويهدد هذا المأزق بإثارة التوترات السياسية وتقويض أجواء الثقة المتزايدة التي سادت في أعقاب الانتخابات وتنصيب الرئيس مارتيلي."	1
"وفي حين تراجع التهديد الذي يشكله تنظيم القاعدة باعتباره منظمة إرهابية عالمية، فإن التهديد الذي تمثله المنتسبون إليه وأفكاره المعدية لا يزال قائما."	1
"3 - إن الإرهاب، في جذوره، يتعارض مع القيم الإنسانية الأساسية المنصوص عليها في ميثاق الأمم المتحدة والوثائق الأساسية لحقوق الإنسان."	1
"زيد رعد زيد الحسين (الأردن)"	0
"وأشار الرئيس إلى القلق المستمر لدى بعض البلدان بشأن نطاق المنطقة عالية المخاطر."	1
"وأخيرا، يرى البعض أن إنشاء هيئة مراجعة خارج مجلس الأمن، حتى لو تم تعيينها من قبل اللجنة أو من قبل مجلس الأمن نفسه، من شأنه أن يؤدي إلى تآكل سلطة المجلس، حتى لو كانت ولاية هيئة المراجعة تقتصر على العقوبات المستهدفة."	0
"ولا تنفذ أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب."	1
"وفي الوقت نفسه، اعتبر الأمين العام المساعد أن التصريحات التحريضية التي أطلقتها الجماعات المسلحة والتي هددت بتعطيل عملية التصويت في مناطق شرق أوكرانيا وإجراء انتخاباتها الخاصة في 2 نوفمبر/تشرين الثاني، في انتهاك للدستور والقانون الوطني، ينبغي أن يُدانها الجميع."	1
"ورفض العميد تور ماتان رواك طلب الرئيس غوسماو حضور المسيرة وأرسل بدلا من ذلك رئيس أركان قوات الدفاع العقيد ليري عنان تيمور."	1
"إنني أحث الزعماء اللبنانيين على استئناف وتسريع مناقشاتهم بشأن تطوير استراتيجية دفاعية وطنية وتحقيق تقدم ملموس. ولابد أن تكون النتيجة النهائية لهذه العملية هي عدم وجود أسلحة دون موافقة حكومة لبنان وعدم وجود سلطة أخرى غير سلطة حكومة لبنان."	1
"6. الاتفاقية الخاصة بوضع اللاجئين المؤرخة 28 يوليو 1951."	0
"وتشمل هذه تمويل الحملات الانتخابية، والأنشطة الانتخابية، والنظام العام، والوصول إلى وسائل الإعلام، وإساءة استخدام الموارد الحكومية لأغراض سياسية."	1
"فهم ينظرون إلى صرب كوسوفو باعتبارهم أدوات بيد بلغراد، وبالتالي كجزء من التهديد المتبقي لمستقبلهم."	1
"وإذ يقرر أن الحالة في جمهورية الكونغو الديمقراطية لا تزال تشكل تهديدا للسلام والأمن الدوليين في المنطقة،"	1
"[S] يشدد على أهمية نزع السلاح أو التسريح أو إعادة التوطين أو الإعادة إلى الوطن بشكل دائم، حسب الاقتضاء، وإعادة إدماج الجماعات المسلحة [الوطنية] والأجنبية من أجل تحقيق الاستقرار على المدى الطويل في [البلد المتضرر]، وأهمية المساهمة التي يقدمها الشركاء الدوليون في هذا الحقل."	0
"وإذ يعرب عن قلقه إزاء التقارير المستمرة، بما في ذلك تلك التي أبلغ عنها الأمين العام في [التقرير ذو الصلة]، عن انتهاكات حقوق الإنسان وانتهاكات القانون الإنساني الدولي، بما في ذلك ضد النساء والأطفال، والتقارير عن زيادة حوادث العنف الجنسي، ولا سيما تلك التي المنسوبة إلى مسلحين، مشددًا على أهمية التحقيق في مثل هذه الانتهاكات والتجاوزات المزعومة... التي ارتكبتها جميع الأطراف، بغض النظر عن وضعهم أو انتماءاتهم السياسية، مجددًا التأكيد على وجوب محاسبة المسؤولين عن هذه الانتهاكات وتقديمهم إلى العدالة بغض النظر عن انتمائهم السياسي. الانتماء، مع احترام حقوق المحتجزين...، ويحث الحكومة على زيادة وتسريع جهودها لمكافحة الإفلات من العقاب،"	1
"وينبغي أن يكون لعدم الامتثال للالتزامات بموجب الميثاق عواقب على أي دولة عضو، ولا ينبغي أن يكون السودان استثناءً."	1
"وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،"	0
"تمت إدانة هذا الحادث السياسي القبيح بشدة في بيان صحفي صدر مباشرة بعد الحادث عن مكتب الرئيس إرنست باي كوروما، وفي العديد من البيانات الصحفية اللاحقة الصادرة عن مجموعات المصالح السياسية الأخرى، بما في ذلك حزبا المؤتمر الشعبي العام والحركة الشعبية للتغيير الديمقراطي، ولجنة الإعلام المستقلة، لجنة تسجيل الأحزاب السياسية (PPRC) والحملة من أجل الحكم الرشيد."	1
"إنهم يقومون بكل هذه التصرفات، ومن ثم يطلبون الحماية والضمانات ويستخدمونها كستار من الدخان لمواصلة ابتزازهم والحصول على المزيد من التنازلات منا."	1
"وأعرب أحد الوفود عن قلقه من أنه على الرغم من تصنيف المجلس، فإن سفن إدارة المحيطات البحرية واصلت عملياتها، بما في ذلك التوقف في الموانئ الأجنبية، واقترح أن تذكّر اللجنة الدول الأعضاء بالتزامها بإنفاذ التصنيف، بما في ذلك من خلال احتجاز سفن إدارة المحيطات البحرية وتجميد سفنها. أصول."	1
"ولا تزال ليبيا في مرحلة انتقالية ما بعد الثورة."	0
"وأشار أيضاً إلى أن آلية التحقق ألغت العديد من المهام بسبب المقاومة التي أبدتها قوات جنوب السودان."	0
"\"ويعرب مجلس الأمن عن قلقه العميق إزاء التهديد المباشر الذي يشكله نشاط الجماعات المسلحة على سلامة السكان المدنيين وعلى سير العمليات الإنسانية."	1
"قُتل ستة رجال ودُفنوا في قبور فردية."	0
"إلى حساب Hotel Africa في International Bank من Borneo Jaya Pte, Ltd. (كتحويل إلكتروني)"	0
"4. القذافي، معمر محمد أبو منيار"	0
"10 - خلال المشاورات غير الرسمية التي عقدت في 20 تشرين الأول/أكتوبر، ناقشت اللجنة مسألة الطرائق الممكنة للتعاون بين الفريق وفرقة العمل المعنية بالإجراءات المالية."	0
"\"ويدين مجلس الأمن بشدة استمرار أعمال العنف وانتهاكات حقوق الإنسان من جانب جميع الجماعات المسلحة، بما في ذلك عمليات الإعدام بإجراءات موجزة، والعنف الجنسي والعنف القائم على نوع الجنس، وتجنيد الأطفال واستخدامهم على نطاق واسع، ويطالب جميع الجماعات المسلحة بوقف جميع أشكال العنف فورا والأنشطة المزعزعة للاستقرار، وأن يتم حل أعضائها فوراً وبشكل دائم، وإلقاء أسلحتهم وتسريح الأطفال من صفوفها، ويؤكد من جديد أن المسؤولين عن انتهاكات حقوق الإنسان وانتهاكات القانون الإنساني الدولي سيخضعون للمساءلة ويجب ألا يكونوا مؤهلين للاندماج في صفوفها. القوات المسلحة لجمهورية الكونغو الديمقراطية أو عناصر أخرى من قوات أمن الدولة."	1
"وهذا يعتبر ضررا لمجتمعهم."	0
"وباستثناء المواجهات المتفرقة بين المتظاهرين والشرطة، لم ترد أنباء عن وقوع أي أعمال عنف."	0
"ومع ذلك، فإن الإجابة على هذا السؤال في رأيي لا تتمثل في ضرورة إنفاق قدر أقل على المحاكم المختلطة، بل في ضرورة توفير المزيد من التركيز والتمويل لأنظمة العدالة الوطنية في مرحلة ما بعد الصراع ككل."	1
"في قضية زوران كوبريسكيتش وآخرين، عرّفت الدائرة الابتدائية للمحكمة الدولية ليوغوسلافيا السابقة الاضطهاد بأنه الحرمان الجسيم أو الصارخ، على أسس تمييزية، لحق أساسي منصوص عليه في القانون العرفي الدولي أو قانون المعاهدات، والذي يصل إلى نفس المستوى من الخطورة وغيرها من الأفعال المحظورة في المادة 5."	1
"وعلى الرغم من عدم ظهور أي حالة فعلية منذ التقرير الأخير للفريق، إلا أن هناك قلقًا مستمرًا من أن الجماعات والأفراد المدرجين في القائمة ما زالوا يطمحون إلى شن مثل هذا الهجوم، إلى جانب عدد من التقارير التي تفيد بأن إمدادات غير مشروعة من المواد الإشعاعية لا تزال موجودة، بما في ذلك في المناطق التي يوجد بها إشعاع. وتنشط القاعدة وطالبان."	1
"وتم توفير التدريب لضباط قوات الأمن الوطني (50 في أدري و 42 في أبيشي)."	0
"ولم تتمكن الشبكة السورية لحقوق الإنسان من توثيق هذه الحالات بشكل كامل، حيث أنها محظورة وملاحقة من قبل قوات النظام والمجموعات المتطرفة."	0
"ويطالب الجماعات المسلحة المتمردة بوقف العنف فورا ويدعو جميع الأطراف إلى إعادة الانخراط في الحوار في إطار اتفاق سرت المؤرخ 25 تشرين الأول/أكتوبر 2007."	0
"لا تزال تيمور - ليشتي تواجه تحديات كبيرة في الحد من الفقر وخلق فرص العمل، ولا سيما لسكانها الشباب."	1
"يكرر دعوته السلطات [الوطنية] إلى وضع حد للإفلات من العقاب، بما في ذلك عن طريق تقديم مرتكبي الانتهاكات الجسيمة لحقوق الإنسان والقانون الإنساني الدولي إلى العدالة دون تأخير، ومراعاة ذلك عند اختيار المرشحين للمناصب الرسمية، بما في ذلك المناصب الرئيسية في القوات المسلحة والشرطة الوطنية وغيرها من الأجهزة الأمنية، وأعمال المرشحين السابقة فيما يتعلق باحترام القانون الإنساني الدولي وحقوق الإنسان."	1
"المرسوم رقم 365/69 (31 يوليو 1969)"	0
"ويوجد في سيراليون الآن 49 صحيفة يومية و39 محطة إذاعية، 32 منها مملوكة للقطاع الخاص."	0
"ومع ذلك، فمن دون قدر كبير من الشفافية ـ وهو ما من شأنه أن يقوض إحدى مزاياها الرئيسية ـ فمن غير المرجح أن تلبي مثل هذه الآلية الدعوات المطالبة بإجراء مراجعة قضائية فعالة ومستقلة."	1
"3. يقرر إبقاء المسألة قيد نظره."	0
"وأعربت الكنيسة الكاثوليكية ومنظمات المجتمع المدني عن قلقها من أن يسهم تخفيف الأحكام في تعزيز تصورات الإفلات من العقاب، على الرغم من أن الرئيس أوضح أن تخفيف الأحكام قد تم بالتشاور مع جهات من بينها الحكومة وأعضاء البرلمان وأسر الضحايا والجناة. ووفقاً للدستور والقوانين المعمول بها."	1
"إننا ندين بشدة الهجمات الإجرامية التي تواصل جماعة بوكو حرام الإرهابية ارتكابها في شمال نيجيريا وفي البلدان المجاورة."	1
"افتتحت الجلسة الساعة 10.18 صباحا."	0
"ويساورنا القلق بشكل خاص إزاء الانتشار غير المنضبط للأسلحة في ليبيا وخارج حدودها نتيجة للصراع."	1
"سيكون المسار المعقول الوحيد هو الاستبدال بسقف جديد."	0
"تقرير الأمين العام عن بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد (S/2010/409)."	0
"11. وترد معايير الإدراج في نظام العقوبات المفروضة على طالبان في الفقرتين 2 و3 من القرار 2160 (2014)، وهي تتعلق بالارتباط بطالبان في تشكيل تهديد للسلام والاستقرار والأمن في أفغانستان."	1
"هناك أدلة دامغة تشير إلى أن عمليات القتل هذه كانت في معظمها غير مبررة وغير ضرورية للتعامل مع المتظاهرين."	0
"30 - وفي 18 آذار/مارس، وجه قادة الحرس الرئاسي وفريق الأمن الرئاسي رسالة إلى وزير الأمن الداخلي وأصدروا مرسوما يقضي باعتبار المناطق المحيطة بالقصر الرئاسي \"منطقة حمراء\" يُعاقب فيها أي شخص يُقبض عليه. يُنظر إليه على أنه مقاتل عدو ويُعامل على هذا النحو، أي يُطلق عليه الرصاص دون سابق إنذار."	1
"إذ يشير إلى قراره 2133 (2014) وإلى نشر المنتدى العالمي لمكافحة الإرهاب \"مذكرة الجزائر بشأن الممارسات الجيدة بشأن منع الاختطاف للحصول على فدية على يد الإرهابيين وإنكار فوائده\"، ويدين بشدة حوادث الاختطاف واحتجاز الرهائن المرتكبة من قبل الجماعات الإرهابية لأي غرض، بما في ذلك بهدف جمع الأموال أو الحصول على تنازلات سياسية، وإذ يعرب عن تصميمه على منع عمليات الاختطاف واحتجاز الرهائن التي ترتكبها الجماعات الإرهابية وتأمين إطلاق سراح الرهائن بشكل آمن دون دفع فدية أو تنازلات سياسية، وفقا مع القانون الدولي المعمول به، وإذ يهيب بجميع الدول الأعضاء أن تمنع الإرهابيين من الاستفادة بشكل مباشر أو غير مباشر من دفع الفدية أو من الامتيازات السياسية، وأن تكفل إطلاق سراح الرهائن بشكل آمن، ويؤكد من جديد ضرورة تعاون جميع الدول الأعضاء بشكل وثيق أثناء حوادث الاختطاف والاختطاف عمليات احتجاز الرهائن التي ترتكبها الجماعات الإرهابية،"	1
"ولهذا السبب ندين الإرهاب."	1
"وفي هذا الصدد، ستكون هناك حاجة إلى المرونة أثناء التنفيذ لضمان تعديل الإطار على النحو المطلوب استجابة للتطورات والتغيرات الجديدة في السياق."	0
"20- يقرر إبقاء المسألة قيد نظره."	0
"وتلاحظ اللجنة بقلق عدم وجود رقابة منهجية على أسلحة وذخائر الشرطة الوطنية."	1
"20 - منذ تقريري (انظر S/2007/619، الفقرة 25)، واصل الجيش الملكي المغربي الإبلاغ عن عدد كبير من الانتهاكات المزعومة للاتفاق العسكري رقم 1 من جانب جبهة البوليساريو فيما يتعلق بتواجد الأشخاص والمركبات. في الشريط العازل."	1
"وفي حين شددت قيادة القوات المسلحة لتيمور - ليشتي على أهمية التسلسل الهرمي للقيادة عند النظر في الشكاوى، يبدو أنه لم يكن هناك أي إجراء مفصل ثابت يحكم كيفية النظر في الشكاوى ومراجعتها رسميا."	1
"ويجب أن أقول إن الموضوع الذي تم اختياره لمناقشتنا اليوم، رغم أنه آسر، يشكل تحديا كبيرا."	1
"انظر أيضا، على سبيل المثال، قرار مجلس الأمن 1880 (2009)، المرجع السابق. 27"	0
"ومن المهم بالتالي ألا تغفل الدول عن هذا العنصر من عناصر الحظر. وقد ترغب اللجنة في تذكيرهم بذلك كلما سنحت الفرصة، وتشجيعهم على تقديم أسماء أولئك الذين يقدمون \"المشورة أو المساعدة أو التدريب التقني فيما يتصل بالأنشطة العسكرية\" لإدراجها في القائمة (القرار 1617 (2005)، الفقرة 1 (ج) ) في انتهاك للتدابير."	1
"وبالإضافة إلى ذلك، احترمت المنطقة العسكرية 3 في ميجك أيضًا، إلى حد كبير، التزاماتها في هذا الصدد، حيث لم ترتكب سوى أربعة انتهاكات لحرية التنقل."	0
"ويدعو المجلس هيئة الأمم المتحدة للمرأة إلى المساهمة بانتظام في عملها بشأن المرأة والسلام والأمن، ويشير إلى الدور القيم الذي ستلعبه في دعم أدوار المرأة في بناء السلام ومنع العنف الجنسي في حالات النزاع، بما في ذلك من خلال التنسيق والاتساق في السياسات والبرمجة. النساء والفتيات."	0
"مسؤولية هيئات البنك وإعداد التقارير"	0
"ومن المؤسف أن القيادة الفلسطينية الحالية أظهرت أنها غير قادرة على أن تكون شريكاً في السلام بقدر ما هي غير قادرة على عرض الإصلاح والحكم الديمقراطي على شعبها."	1
"الاجتماع 316 أديس أبابا، إثيوبيا، 3 أبريل 2012"	0
"وقد تعرضت قرية نوري القريبة من بلدة مورني في غرب دارفور لهجوم شنته قوات الجنجويد والقوات الحكومية في كانون الأول/ديسمبر 2003."	0
"\"ويشير مجلس الأمن إلى جميع قراراته وبياناته بشأن مكافحة الإرهاب، ويكرر إدانته القوية للإرهاب بجميع أشكاله ومظاهره، أيا كان مرتكبوه وأينما كان مرتكبوه وأيا كانت أغراضه، ويعرب عن تصميمه على مكافحة الإرهاب بجميع أشكاله بجميع الوسائل. الأشكال والمظاهر وفقا لميثاق الأمم المتحدة والقانون الدولي، بما في ذلك القانون الدولي لحقوق الإنسان وقانون اللاجئين والقانون الإنساني الدولي المعمول به."	1
"من ناحية أخرى، توضح EECC أن آليات الدفع والتنفيذ الخاصة بتحديد الطرف الثالث للمطالبات الجماعية قد تكون مشكلة كبيرة."	1
"13. يشجع الإنتربول على تكثيف جهوده فيما يتعلق بالتهديد الذي يشكله المقاتلون الإرهابيون الأجانب والتوصية أو تخصيص موارد إضافية لدعم وتشجيع التدابير الوطنية والإقليمية والدولية لرصد ومنع عبور المقاتلين الإرهابيين الأجانب، مثل توسيع نطاق المراقبة. واستخدام نشرات الإنتربول الخاصة لتشمل المقاتلين الإرهابيين الأجانب؛"	0
"ويجب الآن إعطاء أولوية عالية للتحدي المتمثل في إنشاء إدارات محلية وإقليمية في المناطق المستردة من حركة الشباب."	1
"ونحث إسرائيل على وقف غاراتها العسكرية في غزة."	1
"ومن المرجح أن تشتد حدة النقاش السياسي، مع وجود العديد من التحديات المتعلقة بالانتخابات المعروضة بالفعل على المحاكم."	1
"ولا ينبغي لهذا المجلس أن يسمح بمكافأة تلك الاستراتيجية من خلال معالجة الرد على الإرهاب بدلا من الإرهاب نفسه. ويجب رفضه وليس استرضائه."	1
"وكان بناء القدرات أحد الأهداف الرئيسية."	0
"ب. مُصنف للتشغيل في نطاق درجات الحرارة من أقل من -54 درجة مئوية إلى أعلى من +125 درجة مئوية؛ و"	0
"أنتجت هذه الطريقة أقصر طريق بين يونيتا ومراكز الماس، وأسهل طريق للإثبات."	0
"واتفقت جميع الوفود على أن التهديد الرئيسي في المنطقة يأتي من الجماعة الإسلامية (QE.J.92.02.) وجماعة أبو سياف (QE.A.1.01.) وحركة قادمة جديدة هي حركة راجا سليمان (غير مدرجة في القائمة). والتي تعمل بشكل وثيق مع جماعة أبو سياف*."	1
"وفي حين يسعدنا أن نلاحظ أن نحو 10 ملايين ناخب أفغاني قد تم تسجيلهم، فإننا لا نزال نشعر بالقلق إزاء عدم إجراء تسجيل كاف في الأجزاء الجنوبية والجنوبية الشرقية من أفغانستان، ويرجع ذلك أساسا إلى المخاوف الأمنية."	1
"افتتحت الجلسة الساعة 3.25 بعد الظهر."	0
"40. كما أدعو قيادة حزب الله إلى وقف كافة الجهود الرامية إلى الحصول على الأسلحة وبناء القدرات شبه العسكرية خارج سلطة الدولة."	1
"ولذلك شعرنا بخيبة الأمل لأن تقرير الأمين العام (S/2011/540) أوصى فقط بسحب جزئي للقوات الإضافية."	1
"وبالإضافة إلى الأمل المتجدد لشعب الجمهورية، أتاحت هذه التغييرات لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فرصة جديدة لتحسين مشاوراتها مع السلطات الاتحادية، والدخول في حوار بناء بشأن القضايا ذات الاهتمام المشترك."	0
"وكان معظم الشهود المحتملين المقيمين خارج الدولة يخشون الإدلاء بشهادتهم، حتى على أساس سري، لأنهم كانوا يخشون على سلامة أفراد أسرهم ويفترضون أن سلوكهم لا يزال يخضع للمراقبة السرية من قبل السلطات."	1
"ولا يمكن للحكومة الديمقراطية الجديدة في باكستان إلا أن تكون حساسة لمشاعر شعبنا."	0
"عنوان البريد الإلكتروني: jsandoval@sre.gob.mx"	0
"ويثير الوضع على الأرض القلق أيضاً من الناحية الإنسانية. ويؤكد الأمين العام أن العراق يعيش أزمة كبيرة، مبينا أن الوضع مستمر في التدهور."	1
"هل تتم مراقبة مواقع طالبي اللجوء في النرويج؟ إذاً، هل يتم تجميع المعلومات على المستوى المحلي أم على المستوى الوطني؟ هل يتم تبادل المعلومات التي تم الحصول عليها مع مفوضية الأمم المتحدة السامية لشؤون اللاجئين (UNHCR)؟"	0
"خامسا - إعادة هيكلة القوات المسلحة وتسريحها"	0
"12. يقرر إبقاء المسألة قيد نظره."	0
"ومع ذلك، لا يزال هناك احتمال لحدوث انهيار كامل للقانون والنظام، بالإضافة إلى انهيار الاقتصاد الهش وتفكك مؤسسات الحكم الذاتي الفلسطيني."	1
"وذكر لاحقاً أن اللواء آصف شوكت أجبر السيد أبو عدس على تسجيل الشريط في دمشق قبل حوالي 15 يوماً من الاغتيال."	0
"ومن المقرر أن تتم الدفعة التالية في 26 يناير 2012."	0
"وأفاد الجيش الملكي المغربي أيضاً أن جهوده تعرقلت بسبب محدودية الموارد ونقص المعلومات المتعلقة بالمناطق الملوثة بالألغام."	1
"وفشلت مهاجمة رابعة في تفجير قنبلتها وتم اعتقالها بعد أيام قليلة."	0
"ومع ذلك، وعلى الرغم من هذا الوجود المتزايد، أدى موسم حصاد البندق إلى تصاعد الأنشطة الإجرامية، بما في ذلك 3 حوادث إطلاق نار، وحادث قتل واحد، و4 عمليات اختطاف، و40 عملية سطو مسلح."	0
"ولم تقم العديد من الدول بمراجعة قطاعاتها غير الربحية فيما يتعلق بمخاطر تمويل الإرهاب، ولكن المملكة المتحدة، على وجه الخصوص، طورت آليات لتقييم وحماية هذا القطاع، ومن خلال البرنامج الدولي لهيئة المؤسسات الخيرية، لتأمين التواصل التشغيلي على المستوى الدولي، فضلاً عن المساعدة في بناء القدرات في أجزاء أخرى من العالم."	0
"وقد عدلت عمليات الأمم المتحدة لحفظ السلام وضعها وفقا لذلك، وأظهرت ميلا متزايدا إلى \"الاحتماء والاحتماء\"، مما يحد من قدرة الأفراد النظاميين والموظفين المدنيين على التعامل مع السكان المحليين، وكسب القلوب والعقول، والتوسط في النزاعات المحلية، جمع المعلومات - العمل الحاسم لتنفيذ اتفاقيات السلام والجهود المبذولة لحل الصراع."	1
"وعند النظر في تطور خطر التحريض، يجب أن نأخذ في الاعتبار أن أشكال ووسائل الاتصال قد تطورت بشكل كبير منذ اتخاذ القرار 1624 (2005)."	1
"71 - الحالة في جورجيا (8 تشرين الأول/أكتوبر 1992؛ 15 حزيران/يونيه 2009)."	0
"11 - يوعز إلى اللجنة بالتعاون مع لجان الجزاءات الأخرى ذات الصلة التابعة لمجلس الأمن، ولا سيما تلك المنشأة عملا بالقرار 1988 (2011)؛ قائمة"	0
"كما نشعر بالقلق إزاء عودة ظهور حالات الكوليرا، على الرغم من أن معدل الوفيات يبدو أنه يتضاءل ببطء."	1
"دعونا نتحدث بصراحة: إن هذه الروايات الصادرة عن الصحافة وجماعات حقوق الإنسان والمدنيين على الأرض تثير مخاوف خطيرة بشأن طبيعة الصراع ونطاقه."	1
"وقد أصدر الأمين العام ومنسقه الخاص للبنان بيانين يدينان بشدة الأعمال الإجرامية التي تقوم بها فتح الإسلام باعتبارها اعتداءات على استقرار لبنان وسيادته."	1
"إن عدم رغبتها في إنفاذ سيادة القانون وضمان احترام سيادة دولة عضو في الأمم المتحدة وسلامتها الإقليمية قد عرّض مصداقيتها وكذلك سلطتها القانونية والأخلاقية للخطر."	1
"وقد أعربت آليات حقوق الإنسان التابعة للأمم المتحدة، على سبيل المثال، عن قلقها إزاء الخطوات التي اتخذتها بعض الدول للحد من أنشطة جماعات دينية معينة أو أعضائها، وفي بعض الحالات تجريمها."	1
"وأعرب المدعي العام عن أسفه لتدهور الوضع الأمني ​​في ليبيا، وتزايد عدم الاستقرار السياسي، ونتيجة لذلك، فإن البيئة الحالية لم تكن مواتية لسد فجوة الإفلات من العقاب في ليبيا."	1
"دعوى إسقاط حقوق الملكية القانون رقم 793 لسنة 2002:"	0
"ويصرون على التعامل مع القضية باعتبارها جريمة هجرة بسيطة."	1
"ولكننا لا نعتقد أن السيادة تتطلب من المجلس أن يظل صامتا عندما تذبح الحكومات شعوبها، مما يهدد السلام والأمن الإقليميين في هذه العملية."	1
"ومع ذلك، ظلت التوترات الطائفية مرتفعة في بعض المناطق، مما أدى إلى تأجيج العديد من الهجمات."	0
"ويساورنا القلق أيضا إزاء الحالة التي يواجهها أولئك الذين يشاركون في إعادة إعمار البلد."	1
"ولا يزال ما يقرب من نصف هؤلاء الأشخاص في عداد المفقودين، ويخشى أن يكون العديد منهم قد قُتلوا."	0
"\"ولا يزال مجلس الأمن يشعر بقلق بالغ إزاء الأنشطة التي تقوم بها المنظمات الإرهابية في منطقة الساحل، بما في ذلك تنظيم القاعدة في بلاد المغرب الإسلامي وحركة التوحيد والجهاد في غرب أفريقيا، ويكرر إدانته القوية للهجمات الإرهابية الأخيرة التي ارتكبت في المنطقة."	1
"وفي هذا الصدد، نشعر بقلق بالغ إزاء الحالة الأمنية في أفغانستان، التي تدهورت منذ العام الماضي نتيجة للأنشطة التخريبية التي تقوم بها فلول عناصر الطالبان والقاعدة، والاشتباكات بين أمراء الحرب وتجارة المخدرات."	1
"ومع ذلك، اتهم بعض القادة في مقديشو الرئيس بالذهاب إلى الأراضي الإثيوبية للحصول على أسلحة وقوات لاستخدامها في أنشطته المستقبلية في الصومال."	1
"وفي أغلب الأحيان يقع المدنيون في ظروف الحاجة الماسة حيث لم يتم إنشاء عملية لحفظ السلام. وقد تتطلب مثل هذه الحالات اهتماما عاجلا من المجلس."	0
"ومع ذلك، يلاحظ وفدي مع الأسف أن الحالة الأمنية لا تزال تثير القلق."	1
"3. الوضع في قبرص (27 كانون الأول/ديسمبر 1963؛ 30 تموز/يوليه 2013)."	0
