"en"	"MatConf"
"All aspects of police education were brought together under a separate programme in May 2004 and an agreement has now been reached on the creation of a Bosnia and Herzegovina-wide training system."	0
"52. The ratification of the Timor Sea Treaty has led to hopes of significant gas and oil revenues in the near future."	0
"o On 16 November 2014, regime warplanes targeted Maarat Misreen city with a missile, killing 5 people, including a child and a woman, in addition to destroying residential buildings."	1
"It is important therefore that States do not lose sight of this element of the embargo. The Committee may wish to remind them of it as opportunity arises, encouraging them to submit for listing the names of those providing \"technical advice, assistance, or training related to military activities\" (resolution 1617 (2005), para. 1 (c)) in violation of the measures."	0
"Both the resolution and the Convention provide that in order for the terrorist financing offence to exist, the funds intended to finance the terrorist act need not be the proceeds of crime, and that the terrorist act that the funds were intended to finance does not actually need to have taken place or even to have been attempted."	1
"Its work with regional and subregional organizations should focus on facilitating the interaction of regional and national institutions to remedy national implementation challenges, such as reconciling priorities, harmonizing approaches, facilitating advisory and drafting services, and matching requests and offers of assistance."	0
"(d) Declare and implement an immediate moratorium on the imposition and execution of the death penalty, followed without undue delay by the abolition of the death penalty both in law and in practice;"	0
"231. In addition, as at 15 November 2004, the Office of the United Nations High Commissioner for Refugees (UNHCR) reported that 203,051 persons from the Darfur region were living in 11 camps and other locations as refugees in eastern Chad, along the border with the Sudan."	1
"Such an enquiry point would complement the national help desks that the Team has previously recommended that Member States establish (S/2007/132, paras. 61-64, and S/2007/677, para. 138)."	0
"The central command and control of armed forces operations are therefore imperative."	1
"The Special Representative said recent territorial gains against ISIL showed that the strategy, with international military support, was making progress."	1
"115. Two disarmed eastern UIR officers were attacked by members of the crowd demonstrating in Gleno on 8 May, as described in paragraphs 61 to 63 above."	1
"At times, UNDOF has resorted to the use of bypass roads, which are not accessible at night."	0
"I also take this opportunity to underline my concerns regarding challenges in the context of Federal and gubernatorial elections to be held in Nigeria in February 2015, and the serious risks of violence that might occur either because of Boko Haram attacks or because of contestation of the election results."	0
"She also submitted photographs showing certain pieces."	0
"It took us three days to find my father because he had been buried."	0
"Training for peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel involved in peacemaking, peacekeeping and peace-building activities have appropriate training in international humanitarian, human rights and refugee law, including child and gender-related provisions, negotiation and communication skills, cultural awareness and civilian-military coordination, and urges States and relevant international and regional organizations to ensure that appropriate training is included in their programs for personnel involved in similar activities."	0
"States have also strengthened implementation of required counter-terrorism measures at the institutional level."	0
"Over the past year, the Section delivered close to 17,300 pages of translation (49 per cent into English (notably from Arabic), 31 per cent into Arabic, and 19 per cent into French (1 per cent into other languages))."	0
"The Council considers enhancement of the rule of law activities as crucial in the peacebuilding strategies in post-conflict societies and emphasizes the role of the Peacebuilding Commission in this regard."	0
"Recalling its resolution 2133 (2014) and the publication by the Global Counterterrorism Forum (GCTF) of the \"Algiers Memorandum on Good Practices on Preventing and Denying the Benefits of Kidnapping for Ransom by Terrorists\", strongly condemning incidents of kidnapping and hostage-taking committed by terrorist groups for any purpose, including with the aim of raising funds or gaining political concessions, expressing its determination to prevent kidnapping and hostage-taking committed by terrorist groups and to secure the safe release of hostages without ransom payments or political concessions, in accordance with applicable international law, calling upon all Member States to prevent terrorists from benefiting directly or indirectly from ransom payments or from political concessions and to secure the safe release of hostages, and reaffirming the need for all Member States to cooperate closely during incidents of kidnapping and hostage-taking committed by terrorist groups,"	0
"The use of other weapons, such as swords, has also been noted, albeit less frequently."	1
"The situation in Côte d'Ivoire (see S/2002/30/Add.50; and S/2003/40/Add.5 and 17; see also S/2003/40/Add.11)"	0
"In the former Yugoslavia, Rwanda and Darfur, after taking ineffectual steps to halt widespread killings, the international community was horrified by the scale and nature of the violence."	0
"Prison staff and Puntland security forces bravely fought the attackers and were able to prevent the prison from being taken over and the potential escape of Al-Shabaab operatives, including an expert in improvised explosive devices and a suicide bomb coordinator, the imprisoned pirates and others."	1
"The Security Council recalls the obligations of States to respect and to ensure respect for international humanitarian law, including the four Geneva Conventions, and emphasizes their responsibility to end impunity and to prosecute those responsible for genocide, crimes against humanity and serious violations of humanitarian law."	0
"The preferred solutions of the parties"	0
"2. Decides that CTED will continue to operate as a special political mission under the policy guidance of the CTC for the period ending 31 December 2010 and further decides to conduct an interim review by 30 June 2009, and a comprehensive consideration of CTED's work prior to the expiration of its mandate;"	0
"(b) Provision of medical devices for hospitals, in Misrata, Benghazi and the western mountains, from 1 to 7 April 2011, at a cost of $54,795"	0
"Since the 1990s, its agents have abducted a number of persons from Chinese territory, including nationals of China, the Republic of Korea and, in at least one case, a former Japanese national."	1
"The team was composed of seven experts specializing in post-blast investigations."	0
"152. The case described above has attracted attention, but the Group observed other, unreported, examples of the importation of vehicles for military use."	1
"However, this is far from a simple exercise, not least because the national agencies that have traditionally worked in the counter-terrorism field (such as the police, immigration and Customs services and intelligence agencies), are not necessarily the agencies responsible for policies aimed at countering the appeal of extremist and hate-based ideologies."	1
"The growing convergence between methods of terrorist financing, especially at a local level, and other criminal activity, has made it harder still to distinguish one from the other."	1
"600. It is in the light of this international legal regulation that the obligation of the Sudan to pay compensation for all the crimes perpetrated in Darfur by its agents and officials or de facto organs must be seen."	1
"I have also taken note of the recent increased presence and engagement of the Lebanese Armed Forces in areas where there are armed Palestinian groups."	1
"For the Great Socialist People's Libyan Arab Jamahiriya"	0
"Despite reports indicating the existence of armed groups along the border of Western Bahr El Ghazal State and Southern Darfur, UNMIS was unable to conduct an assessment of these areas owing to the lack of security guarantees from SPLA."	1
"Officials also noted that small arms and light weapons, left over from earlier conflicts in the region, continue to be available."	1
"On 20 October 2014, however, the trial was adjourned until further notice due to Mr. Hadžić's health condition."	0
"Recalling its resolutions on the recruitment and use of children and armed conflict,"	1
"22. Miners can sell diamonds to either licensed brokers or dealers."	0
"Looting was carried out mainly against African tribes and usually targeted property necessary for the survival and livelihood of those tribes."	1
"(a) Intentional killings, beatings, abductions, disappearances, forced labour and conscription of Ethiopian civilians;"	1
"4. Ahmad Taher Termanini, resident of Atmeh, Rif Idlib"	0
"It is not necessary, but it may be relevant, to prove the attack is the result of the existence of a policy or plan."	1
"Welcoming the progress made by the Governments of Iraq and Kuwait towards the resolution of the outstanding issues between both countries, and encouraging their further cooperation, the Security Council calls on Iraq to quickly fulfil its remaining obligations under the relevant Chapter VII Security Council resolutions pertaining to the situation between Iraq and Kuwait."	0
":: The Aleppo hub is still operating and is currently staffed with international and national staff."	0
"One of the PNTL officers was killed by a soldier about 30 minutes later."	1
"To be held on Wednesday, 22 November 2006, at 10 a.m."	0
"As such, Kabul city represents an environment rich in potential targets, and several attacks have taken place against military facilities and Western embassies."	1
"Ivorians had always lived together in harmony."	0
"\"The Security Council further calls upon the government of the DRC to continue to implement its action plan to prevent and end the recruitment and use of children as well as prevent and end all acts of sexual violence against children by the FARDC."	1
"One or two States have shown concern that by freezing the assets of a listed NPO, they would be unable to fund projects under their control such as orphanages, hospitals or refugee centres."	1
"This classification is required not only for the purpose of determining whether those crimes amount to genocide but also for the process of identifying the perpetrators."	1
"99. Major terrorist groups in the region include Jemaah Islamiyah, which has been especially active in Indonesia, Malaysia and Singapore; the Abu Sayyaf Group; insurgent groups in the Philippines; and separatist insurgents in southern Thailand."	1
"To be held on Friday, 11 October 2002, at 10.25 a.m."	0
"21. The revised strategy envisages both the preparation of more targeted, detailed and sophisticated technical assistance proposals, and more active engagement by the Executive Directorate with key donors, aimed at achieving a better understanding of their priorities and capabilities."	0
"12. In summary, although attacks on civilians by militia did not occur on the massive or systematic scale seen in the months prior to the joint communiqué, these attacks have continued and intensified lately."	1
"Importantly, in our view, the Conference clearly underlined the importance of Afghan leadership and, ultimately, ownership of efforts to address the key challenges facing Afghanistan -- security, lack of institutional capacity, corruption and narcotics."	0
"But, although the Team does not assess that paramilitary technical advice available on the Internet presents a threat on a par with real-life training, the potential will increase as the quality of advice improves."	1
"Jordan Valley, Jordan, 20 and 21 November 2007"	0
"Current Chair of the Council of the League"	0
"Cross-border charcoal trafficking has supported AlShabaab, underpinning its raids into Kenya."	1
":: The establishment of the 2015-2017 priority investment programme, in the amount of 7,208 billion CFA francs (approximately $15 billion)."	0
"The Council underlines the need for all parties to respect and maintain the security and civilian character of camps for refugees and internally displaced persons."	0
"Allegation of disappearance and arrests in the areas controlled by MPCI Disappearances"	1
"128. Another method favoured by Al-Qaida is the recruitment and deployment of operatives who have not come to the notice of any law enforcement or security agency and may therefore travel without difficulty, obtain business or student visas and, as a further safeguard, claim the loss of any documentation containing potentially incriminating visa stamps to obtain a pristine replacement."	1
"3. Decides to remain seized of the matter."	0
"Even in Afghanistan, although Afghan officials and members of the coalition forces have told the Team that they are convinced the Taliban benefit from the huge revenues generated by the drug trade, it is difficult to demonstrate concrete examples."	1
"A significant portion of the Claim relates to the evacuation of these nationals and/or relief provided to them."	0
":: Plant Protection Act, No. 15 of 2005"	0
"303. There are many incidents reported in which Government forces are said to have surrounded villages and stood guard as the Janjaweed burned and pillaged and committed other atrocities against the population."	1
"As will be pointed out later, this finding on Iraq's State responsibility is based on its violation of the jus ad bellum (the prohibition on the threat or use of force in Article 2(4) of the Charter) rather than on jus in bello breaches (violations of international humanitarian law), which are the main focus of the EECC determinations."	1
"Demands that all parties to armed conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, including measures such as, inter alia, enforcing appropriate military disciplinary measures and upholding the principle of command responsibility, training troops on the categorical prohibition of all forms of sexual violence against civilians, debunking myths that fuel sexual violence and vetting candidates for national armies and security forces to ensure the exclusion of those associated with serious violations of international humanitarian and human rights law, including sexual violence."	0
"Across Kosovo, the responsibility for its operations has been transferred to the KPS, with the international police in a monitoring role."	0
"Sixteenth report of the Tripartite Monitoring Group Covering the period from 1 to 31 July 2005"	0
"Consider the referral of situations involving genocide, crimes against humanity or war crimes to the International Criminal Court."	1
"1. Syria again stresses the initiative it launched more than 20 years ago to hold an international conference under United Nations auspices to define terrorism and to draw a distinction between it and the struggle of peoples against foreign occupation."	0
"On 11 November, by a vote of 14 in favour and 1 abstention, the Council adopted resolution 2183 (2014), in which it extended the mandate of the multinational stabilization force in Bosnia and Herzegovina (EUFOR Althea) for a further 12 months."	0
"It stresses the importance of building the capacity of an effective and professional national police in Haiti."	1
"Its instruction to its followers is to attack where they can, when they can."	1
"He underlined the readiness of the United Nations to support the African Union regional strategy on LRA."	0
"In Nyakunde, well over 2,000 killings were reported and the population has fled to the forest."	1
"Overall numbers of killed or captured foreign fighters and Al-Qaida-linked leaders and facilitators have decreased since the last report on that issue (S/2012/971)."	1
"In addition, there are a series of Palestinian armed groups operating in the country inside and outside the refugee camps."	1
"To be held on Friday, 14 October 2011, at 10.15 a.m."	0
"It will also lay a foundation for an effective firearms-control mechanism, which could help the authorities to manage weapon possession."	0
"\"The Security Council takes note of the decision of the African Union summit in Sirte, calling on the Council to impose sanctions against those, including Eritrea, providing support to the armed groups engaged in undermining peace and reconciliation in Somalia and regional stability."	1
"Non-conventional threat: chemical, biological, radiological, nuclear and explosives, Asia"	1
"2. Verification and valuation method 39 10"	0
"▪ Samira Ahmad al-Sahli, a 53-year-old female nurse from the Yarmouk camp, who was arrested by Syrian regime forces on 11 June 2014 because of her medical work. Her family learned that she was tortured to death inside regime detention centres on 8 November 2014."	1
"Two countries (Zambia and South Africa) have since replied."	0
"73. The Department of Civil Security and Emergency Preparedness was formally established on 9 November through UNMIK regulation No. 2000/61."	0
"Concurrently, the clandestine resistance movement expanded across the country and a popular movement was re-established. On 30 August 1999, 78 per cent of the Timorese population voted for emancipation from Indonesian administration in the United Nations-sponsored Popular Consultation."	1
"Urges the international community to provide support and assistance to enable States to fulfil their responsibilities regarding the protection of refugees and other persons protected under international humanitarian law."	0
"The person who appeared on the recording has been identified as Ahmad Abu Adas, a resident of Beirut, age 22."	0
"Supplementary Protocol II to the European Convention on Mutual Assistance in Criminal Matters;"	0
"563. The Commission has gathered reliable information which allows it to identify eight senior central Government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who may be suspected of being responsible for knowingly failing to prevent or suppress the perpetration of crimes, that is, for superior responsibility."	1
"F-FDTL soldier Francisco Amaral appeared at the Ministry of Justice intersection. His uniform was partially soaked in blood."	1
"o On 30 November 2014, regime warplanes launched a missile at a commercial street in Hatla village, Deir ez-Zor, killing 12 people, including 5 children and 4 women, and injuring 11 others; 6 shops and 3 homes were destroyed."	1
"A. The nature and purpose of the proceedings 9-10 9-10 18181818"	0
"Two suspects in the attack are in custody in the prison built under the Maritime Crime Programme of UNODC."	1
"95. The structure and organization of the Syrian and Lebanese intelligence services in Lebanon at the time of the blast, including protocols for reporting, shows a pervasive impact on everyday life in Lebanon."	1
"49. Confirms that no matter should be left pending before the Committee for a period longer than six months, unless the Committee determines on a case-by-case basis that extraordinary circumstances require additional time for consideration, in accordance with the Committee's guidelines;"	0
"120. There are still some activities on Minae Al-Hosn Street in Beirut prior to the blast that have to be further investigated, which could elucidate details from the planning phase and as such lead to the perpetrators."	1
"It is no surprise therefore, that many Member States see the Internet as a key issue in combating the spread of Al-Qaida-related terrorism and the threat that it represents."	1
"In 2006, over 324 children were taken in 136 incidents of group abduction with more than 210 abducted in November 2006 and the rest between May and December 2006."	1
"Four States have specifically introduced measures for the suppression of terrorist recruitment."	0
"Persons who are forcibly repatriated from China are commonly subjected to torture, arbitrary detention, summary execution, forced abortion and other forms of sexual violence."	1
"Investigations by MINUSTAH and the Haitian National Police into the kidnapping and subsequent murder suggested that the crime was politically motivated, but could not conclusively establish responsibility."	1
":: Preparation of the 11,000 voting sites, including transportation of the sensitive and non-sensitive electoral cargo to the sites"	0
"In order to ensure accountability for crimes committed during recent events, it is vital that the investigations, prosecutions and trials be, and be seen to be, impartially conducted and free of any political interference."	0
"These remain a versatile and dangerous weapon and the principal cause of civilian casualties in many terrorist attacks by Al-Qaida affiliates."	1
"The increased military and police capacities available to MINUSTAH will be in addition to those of the Haitian National Police and 3,600 local electoral security assistants (see S/2005/313, para. 10)."	1
"Affirms its intention, when establishing and renewing state-specific sanctions regimes, to take into consideration the appropriateness of targeted and graduated measures against parties to situations of armed conflict who commit rape and other forms of sexual violence against women and girls in situations of armed conflict."	1
"As is known, the decision was taken in 1996 against the background of the sharp confrontation between the parties in the Georgian-Abkhaz conflict that had continued after the bloody war of 1992-1993."	1
"3. Hasan Abdulrahman, nurse from Kebtan Aljabal"	0
"Ratified Comprehensive Nuclear-Test-Ban Treaty (CTBT)"	0
"Its tactics are the classic tactics of terror: to force political change through murder and intimidation. Al-Qaida is a Takfiri movement which claims that it alone embraces the true teachings of Islam and it justifies its violence as a holy duty of defence against all who disagree, who are therefore infidels and may be attacked."	1
"In Security Council resolution 1624 (2005), which focuses on the threat posed by incitement to commit terrorist acts, the Council stresses that States must ensure that any measures taken to implement the resolution comply with all of their obligations under international law, including international human rights law."	0
"However, inter-communal tensions have remained high in some areas, fuelling several attacks."	1
"7. Kanyamibwa Felicien (United States of America)."	0
"You will find attached the text of the article in question."	0
"Almost half of those persons are still missing and many are feared to have been killed."	1
"8. The situation in Liberia (22 January 1991; 25 March 2013)."	0
"The EU decision to open negotiations for a stabilization and association agreement represents a milestone in this respect."	0
"This is an important aspect because it greatly increased the level of frustration and hate on the part of the targeted population, including supporters or perceived supporters of opposition parties and community groups, with respect to the police and security forces."	0
"Despite strict legal and operational controls, artisans and family businesses that manufacture small arms and light weapons persist throughout the region."	1
"1. Federal Act No. 52-FZ of 30 March 1999 \"On the health and epidemiological well-being of the population\", article 40."	0
"17. On 7 January 2003, the Military Order Court handed down death sentences on 30 of the 150 persons initially accused of complicity and/or involvement in the assassination of the late President Laurent Desiré Kabila."	1
"The Swedish Customs Act (SFS 2000:1281);"	0
"What distinguishes this category of crime from that of war crimes is that it is not concerned with isolated or sporadic breaches, but rather with violations, which (a) may occur either in time of peace or in time of armed conflict, and (b) constitute part of a widespread or systematic practice of atrocities (or attacks) committed against the civilian population."	1
"Their involvement in terrorism encompasses a broad range of activities: bombing attacks including suicide bombings, hostage-taking resulting in death, bomb-making, terrorist intelligence operations, terrorist training, document forgery, and the provision of a range of financial and material support, including the funding and control of a website used to post Al-Qaida-related statements and images."	1
"In one of the incidents, in Korcha -- Turgu village, early in the morning, sometime in August 2003, hundreds of Janjaweed Arabs attacked the village. They were wearing green army uniforms and riding horses and camels. They surrounded the village and started shooting at men and boys."	1
"These figures do not take into account the likely involvement of listed groups or individuals in attacks for which non-listed groups claimed responsibility, for example Tehrik-e-Taliban in Pakistan or Al-Shabaab in Somalia."	1
"33. Of the 203 Al-Qaida associated persons on the Consolidated List at the end of January 2006, at least 111 (55 per cent) have been arrested for, convicted of or charged with a criminal offence, most of them for serious and/or violent crimes ranging from murder to participation in terrorist acts such as the 1998 embassy bombings in East Africa, the 11 September 2001 attacks in the United States and the 2002 bombings in Bali."	1
"Office of the Wali (Western Darfur)"	0
"It has been also reported that 18 women were raped during the attack on Adwa, Southern Darfur, at the beginning of December 2004."	1
"A drastic reduction in the number of military contingents could diminish the Mission's prevention capacity and, in a crisis, which his country hopes will not occur, it would be obliged to react under operational concepts that are still unclear, with all the risks that that entails."	1
"S/RES/1325 (2000), op. 9"	0
"A small number are unable to implement the measures at all and terrorists are able to breach the arms embargo at will."	1
"In this regard, flexibility will be required during implementation to ensure that the framework is adjusted as required in response to new developments and changes in the context."	0
"However, as with time limitations, a change to majority voting would provide more balance to the existing Committee procedures that require a unanimous decision to remove a name, so that a listing may remain even though it would not be acceptable to the full Committee if proposed under current circumstances."	0
"\"The Security Council reiterates its condemnation of all targeted assassinations of Lebanese leaders, particularly since October 2004, and demands an immediate end of the use of intimidation and violence against the representatives of the Lebanese people and institutions."	0
"Despite a recent escalation in the number and gravity of their attacks, the future of the Taliban is uncertain."	1
"The general propositions are contained in the annex entitled “Summary of general propositions” (the “Summary”)."	0
"As clarified in article 7 (2) (d) of the Statute of the International Criminal Court, which may be held to codify customary international law on the matter, deportation or forcible transfer of population means forced displacement of the persons concerned by expulsion or other coercive acts from the area in which they are lawfully present, without grounds permitted under international law."	1
"In this regard, we are particularly concerned about the continuing lack of headway in the areas of minority freedom of movement, sustainable returns and relevant minority representation in governmental structures and in the public sector as a whole."	0
"4. President dos Santos outlined the priorities for Angola's two-year chairmanship of ICGLR."	0
"\"The Security Council is deeply concerned about the deterioration of the security situation in the Central African Republic, especially in the wake of the attacks on the towns of Birao, Ouanda-Djalle and Sam Ouandja."	1
"The security situation, however, remains a real concern for all, despite the decrease in security related events in December 2011 and January 2012, compared to the previous two-month reporting period of last year."	0
"As was stated earlier, there is a protracted armed conflict, not of an international nature, in Darfur between the governmental authorities and organized armed groups."	1
"Place and date of birth: Sidi Bouzid, 1984"	0
"The conflicts there have complex root causes involving multiple factors, including political differences, the unequal distribution of economic resources and tribal clashes. The potential recurrence of the conflict and its spillover remains. Attaining peace will continue to require the tireless efforts of all parties."	0
":: Reconstruction of actions and whereabouts of Mr. Hariri prior to the blast"	1
"Perpetrators of terrorist acts have been arrested and subsequently brought to justice in a number of jurisdictions."	1
"In a presidential statement (S/PRST/2004/15) adopted on 14 May, the Council expressed serious concern regarding reports of an incursion into the Democratic Republic of the Congo by elements of the Rwandan army, and the reports of increased military activity by the Forces démocratiques de libération du Rwanda in the eastern part of the Democratic Republic of the Congo and incursions by them into the territory of Rwanda."	1
"During the Janjaweed attack on Mengarassa village, in Western Darfur, in November 2003, 20 girls were abducted and taken to the Ammar camp."	1
"20. Nigeria also witnessed an escalation in attacks and bombings, particularly in the north-eastern States of Borno, Yobe and Adamawa."	1
"The mosque and nearby homes were damaged by the bombing."	1
"The challenge is to ensure that our outrage translates into determined and purposeful action, yielding early and measurable results."	0
"According to a senior armed forces commander, Borders Intelligence soldiers are recruited directly into the army in the same way as regular soldiers."	1
":: If the migration official authorizes the foreign national to enter, this concludes the procedure."	0
"The cadastral zones (CZ) forming each municipality are set out hereinafter:"	0
"4. In Algeria, the Organization of Al-Qaida in the Islamic Maghreb (QE.T.14.01) continues to pose an active and dangerous threat, not just to Algeria but also to the countries of the Sahel, in particular Mauritania and, more recently, Mali."	1
"Two of them were wounded, but managed to survive thanks to assistance provided by the Red Cross."	1
"Supplementary provisions issued by the Swedish Customs (TFS 2000:29)."	0
"The Niger is a huge territory covering 1,267,000 square kilometres. This vast country has some 11 million inhabitants."	0
"An analysis of the threat posed by terrorist groups on the African continent gives rise to great concern; rightly or wrongly, it confounds political, religious and ideological extremism with organized crime."	0
"Likewise, I can understand the need of the international community to direct its attention and resources to other hotbeds of tension around the world."	0
"They also arrested 15 FACI pilots and technicians, all from the Russian Federation, Ukraine and Belarus."	1
"389. In conclusion, and in conformity with most of the incidents reported by other sources, the Commission found that the majority of cases involving looting were carried out by the Janjaweed and in a few cases by the Government forces."	1
"Furniture, fixtures, office equipment and supplies US$180,303"	0
"This signals a success for the sanctions regime indicating that a significant number of Taliban have apparently changed their behaviour."	1
"3. The aforementioned position has received a clear and unanimous support from ASEAN, of which both Thailand and Cambodia are members."	0
"11. Directs the Committee to cooperate with other relevant Security Council Sanctions Committees, in particular that established pursuant to resolution 1988 (2011); Listing"	0
"1. Ingots or bars having a size of 100 mm or more in each dimension;"	0
"Date of birth: 1 January 1953"	0
"To be held on Friday, 14 February 2014, at 11 a.m."	0
"Import-export of weapons: monitoring and detection of smuggling"	1
"16. On 17 March G7 released a memorandum in which it formulated grievances against the President of the Republic and listing the obstacles and difficulties that should be addressed in order to move the peace process forward."	0
"Such agencies might include police, gendarmerie, intelligence agencies, special services, security agencies and even, in some States, military bodies."	0
"But let us be frank with each another -- there is no open question in Kosovo that is not related to status, either directly or indirectly."	0
"9. Requests the Secretary-General to make the necessary arrangements to support the work of the monitoring mechanism, as an expense of the Organization and through a United Nations Trust Fund established for this purpose, affirms that this Trust Fund will be established by the Secretary-General, encourages States to contribute to the Fund and to contribute, through the Secretary-General, personnel, equipment and services to the monitoring mechanism; and further requests the Secretary-General to keep the Committee established pursuant to resolution 1267 (1999) informed on a regular basis of the financial arrangements supporting the mechanism;"	0
"Its other main success is its survival, but its ranks are thinning and, in time, most of the key leaders will be caught or killed."	1
"7. Notes that such means of financing or support include but are not limited to the use of proceeds derived from crime, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;"	1
"12. Requests in particular that MONUC share information with the Group of Experts, especially on the support received by armed groups, on recruitment and use of children and on the targeting of women and children in situations of armed conflicts;"	1
"Nonetheless, the available information does not present a clear picture of the implementation of the aviation, maritime or cargo security measures, border controls or enforcement programmes in place to ensure that small arms do not fall into the hands of unauthorized individuals."	0
"1. Full documentation relating to Arab and international labour standards;"	0
"▪ The needs of women and girls during repatriation and resettlement and for rehabilitation, reintegration and post-conflict reconstruction."	0
"58. The pattern of resolving political differences and protecting interests through the use of weapons continues and is sustained by the ongoing and rapidly rising acquisition of arms from sources outside of Somalia in violation of the arms embargo."	1
"My delegation firmly condemns such violence and extends its condolences to the families of the deceased pediatrician."	0
"579. Third, the investigation and prosecution would relate to persons enjoying authority and prestige in the country and wielding control over the State apparatus. The establishment of a special court by agreement between the actual Government and the United Nations for the investigation and prosecution of members of that very Government seems unlikely."	0
"The situation is exacerbated by high unemployment and deteriorating health conditions, especially with the growing incidence of HIV/AIDS, typhoid, malaria and tuberculosis and high maternal, infant and child mortality rates."	0
"It can never be excluded that the materials at the crime scene were manipulated by someone or intentionally put there."	0
"The concept of operations will also help donors to decide on further support to AMIS at the pledging conference, expected to take place in Brussels on 7 July 2006."	0
"Place and date of birth: Jordan, 1971"	0
"He also expressed that the failure of the Lebanese Parliament to elect a new President had undermined Lebanon's stability and its resilience since the beginning of the conflict in the Syrian Arab Republic."	0
"134. Hamoud Muhareb Ali Al-Shamry"	0
"They have also been subject to severe deprivation of their liberty and freedom of movement within the Democratic People's Republic of Korea, denied the right to recognition as a person before the law, and the right not to be subjected to torture and other cruel, inhuman or degrading treatment."	1
"Abit 10 (insulation tape) 7,182"	0
"48. Pre-trial Stage: At the commencement of the second mandate, in June 1999, there were a considerable number of pending pre-trial motions."	0
"During my visit to Lebanon in January, I indicated to my Lebanese interlocutors both privately and publicly the serious risks that the continuing existence of these militias in the country poses to the stability of the country and domestic peace."	0
"The regime arrested approximately 47 individuals who are believed to have been forcibly recruited to join the regime forces."	1
"The members also expressed their determination to continue to work collaboratively with the Government to consolidate the progress achieved and ensure a stable environment for democratic governance, economic growth and the delivery of humanitarian assistance. Asia"	0
"57. The self-interest of those opposed to the establishment of a bona fide Government has been a constant, and the Monitoring Group has in its previous reports laid bare this central problem in Somalia. The problem abides, and the most conspicuous theme in the present report is the continuing trend of escalating potential violence in a pattern of protection of entrenched vested interests."	0
