"en_ar_DEEPL"	"VerCoop"
"وترد العناصر الرئيسية لبيان الممثل الدائم، وكذلك تبادل الآراء بين أعضاء الفريق العامل، في الموجز الوارد في الاستنتاجات ذات الصلة (S/AC.51/2014/3)."	1
"وسوف تهدف إلى أن تصبح أكثر تقنية وتشغيلية من خلال دمج خبرات محددة."	0
"الاختصارات بناء نظام التحقق التابع للأمم المتحدة"	0
"المقرر عقدها يوم الخميس، 15 كانون الثاني/يناير 2004، الساعة 3 بعد الظهر"	0
"أولاً، حسبت GPIC مستوى الإنتاج \"المتوقع\" من الميثانول البالغ 26,774 طنًا متريًا باستخدام معدل إنتاج متوسط يبلغ 1,217 طنًا متريًا من الميثانول يوميًا، مضروبًا في 22 يومًا من نقص ثاني أكسيد الكربون."	0
"24. شدد مجلس الأمن، في الفقرة 7 من قراره 1535 (2004)، على أنه لضمان استمرار لجنة مكافحة الإرهاب في العمل بفعالية خلال فترة دمج هيكل دعم اللجنة في المديرية التنفيذية، ستواصل اللجنة العمل بهيكل الدعم الحالي إلى أن تقرر اللجنة، بالتشاور مع الأمين العام، أن تكون المديرية التنفيذية جاهزة للعمل."	1
"الأرجنتين، الدنمارك، الدنمارك، فرنسا، اليونان، اليابان، اليونان، بيرو، الاتحاد الروسي، سلوفاكيا، المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية، جمهورية تنزانيا المتحدة، الولايات المتحدة الأمريكية"	0
"الشركة السعودية البحرينية لتسويق الألمنيوم البحرينية (BALCO)"	0
"تدعي بوليتكنا أن المبالغ المفوترة المبينة في الجدول 11، أدناه، لا تزال مستحقة السداد."	0
"65. عقدت المديرية، بالتعاون مع المركز المعني بالتعاون العالمي لمكافحة الإرهاب وبدعم من حكومتي هولندا وألمانيا، حلقة عمل دون إقليمية للدول الأعضاء في شرق أفريقيا بشأن الرصد الفعال للتحويلات المالية البديلة لمنع إساءة استخدام تمويل الإرهاب، في أديس أبابا، في كانون الأول/ديسمبر 2013. وكان الهدف من حلقة العمل هو زيادة الوعي بالمخاطر التي يتعرض لها محولو الأموال غير الرسميين الذين يمكن استخدامهم لتمويل الأنشطة الإرهابية؛ وتعزيز الحوار بين الوكالات التنظيمية ومسؤولي إنفاذ القانون وموظفي إنفاذ القانون ومحوّلي الأموال؛ وتعزيز الشمول المالي وتحديد أفضل الممارسات."	1
"وستوفر الموافقة الأخيرة، على وجه الخصوص، على تركيب ست وحدات توربينات غازية إضافية بحلول نهاية أغسطس 1999 في محطة الملا عبد الله 220 ميجاواط إضافية للشبكة الوطنية."	0
"وقال أن القوات المسلحة الإيفوارية تتلقى تعليمات منتظمة في مجال القانون الإنساني الدولي وأن حماية المدنيين جزء من عقيدة الجيش الإيفواري."	1
"وبالإضافة إلى ذلك، ستضع اللجنة جدولاً زمنياً للاجتماعات يسعى إلى تحقيق أهدافها بكفاءة وسرعة."	1
"مجلس جامعة الدول العربية على المستوى الوزاري,"	0
"انظر أيضا، على سبيل المثال، S/RES/1880 (2009)، الفقرة 27 من المنطوق"	0
"وخلال هذه الفترة، ستواصل اللجنة تحقيقاتها في الجريمة وستساعد السلطات اللبنانية على مواصلة التحقيق."	0
"في الجلسة 5903 لمجلس الأمن، المعقودة في 2 حزيران/يونيه 2008، فيما يتصل بنظر المجلس في البند المعنون \"الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية\"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:"	1
"\"ويؤكد مجلس الأمن مجددًا أن وضع حد للإفلات من العقاب هو مفتاح المصالحة الوطنية في هايتي."	1
"وتعاونت قوة كوسوفو وشرطة بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو في إدارة الأمن في المناسبات العامة الكبرى، ومكافحة العنف السياسي، وتوفير تدابير أمنية خاصة لطوائف الأقليات المهددة."	0
"لا توجد مرافق عامة عامة، والغالبية العظمى من الليبيريين لا يحصلون على الكهرباء والمياه ومرافق الصرف الصحي الأساسية أو الرعاية الصحية."	0
"يدعو جميع الأطراف المعنية إلى كفالة أن تشمل جميع عمليات السلام واتفاقات السلام والتخطيط للإنعاش وإعادة الإعمار بعد انتهاء النزاع ... تدابير محددة لحماية المدنيين، بما في ذلك إعادة إرساء سيادة القانون."	1
"S/AC.26/2000/R.40"	0
"وتود مجموعة الـ 77 والصين أن تؤكد من جديد موقفها بشأن هذا الموضوع."	0
"المعاهدات الثنائية بشأن المساعدة القانونية المتبادلة في المسائل الجنائية"	0
"في الجلسة 5303 لمجلس الأمن، المعقودة في 10 تشرين الثاني/نوفمبر 2005، فيما يتصل بنظر المجلس في البند المعنون \"الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية\"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:"	1
"13. تكرر اللجنة التأكيد على أنه يجب على الدول أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي وأن تعتمد هذه التدابير وفقا للقانون الدولي، ولا سيما قانون حقوق الإنسان وقانون اللاجئين والقانون الإنساني."	1
"الوظيفة الرسمية: نائب رئيس أركان حرب القوات المسلحة"	0
"وينبغي للصين أن تثير مع القائد الأعلى لجمهورية كوريا الشعبية الديمقراطية وغيره من السلطات رفيعة المستوى قضايا الاختطاف، ووأد الأطفال الذين يحق لهم الحصول على الجنسية الصينية، وعمليات الإجهاض القسري المفروضة على النساء العائدات إلى الوطن وغيرها من انتهاكات حقوق الإنسان التي تستهدف الأشخاص الذين أعيدوا من الصين."	0
":: 7 أيار/مايو 2005، انعقاد البرلمان لاعتماد التعديلات المقترحة على القانون الانتخابي لعام 2000."	0
"بناء على دعوة من رئيس المجلس الاقتصادي والاجتماعي، حضر رئيس المجلس اجتماعاً بشأن المجموعتين الاستشاريتين المخصصتين المعنيتين بالبلدان الأفريقية الخارجة من الصراع (بوروندي وغينيا بيساو)."	1
"وقد جاء ذلك نتيجة للأولوية التي منحتها المفوضية الأوروبية للبوسنة والهرسك للمضي قدمًا في الإصلاح الهيكلي للشرطة، وذلك بعد فشل البوسنة والهرسك في التوصل إلى اتفاق بشأن الانضمام إلى الاتحاد الأوروبي."	0
"نائبا الرئيس أنغولا والجمهورية العربية السورية"	0
"وبالإضافة إلى ذلك، سافر فريق الرصد مرتين إلى بلجيكا، مرة لحضور ندوة لمنظمة الطيران المدني الدولي ومرة أخرى للاجتماع مع ممثلي منظمة الجمارك العالمية، وكذلك إلى فرنسا لحضور اجتماع للخبراء بشأن الجزاءات المالية المحددة الهدف نظمته فرقة العمل المعنية بالإجراءات المالية وحضور الاجتماع العام الثالث لفرقة العمل."	1
"64. يجب إعادة النظر في شروط وطرائق العودة المنظمة للعديد من اللاجئين البورونديين والكونغوليين الموجودين في جمهورية تنزانيا المتحدة إلى بلدانهم الأصلية من أجل التمكن من تسريع تدفقات العودة التي لوحظت في الأشهر الأخيرة."	0
"صور بالأقمار الصناعية لمنصة اختبار الساحل الغربي تشير إلى اختبار المحرك"	0
"وقد علقت هذه الأخيرة بأنه كلما زادت المعلومات الواردة في النشرات الخاصة، ولا سيما بصمات الأصابع والصور الفوتوغرافية وأرقام جوازات السفر في النسخ المقيدة التي لا تتاح إلا لوكالات إنفاذ القانون في البلدان الأعضاء فيها، كلما زادت فائدتها وقل احتمال وقوع حوادث مثل تلك المذكورة أعلاه. وعرض الإنتربول أيضاً تقديم إرشادات لأعضائه بشأن نطاق نظام العقوبات. وبالإضافة إلى ذلك، اقترحت المنظمة أن تكون هناك نقطة استفسار دائمة في الأمم المتحدة للرد على الأسئلة وضمان تقديم المعلومات الإضافية ذات الصلة عن الأفراد المدرجين في القائمة في الوقت المناسب عندما تتيحها الدول الأعضاء."	1
"144. الدول مسؤولة بموجب القانون الدولي لحقوق الإنسان عن ضمان حماية وصون حقوق الإنسان والحريات الأساسية في جميع الأوقات، في الحرب والسلم على حد سواء."	0
"ويتفاقم الوضع بسبب ارتفاع معدلات البطالة وتدهور الأوضاع الصحية، خاصة مع تزايد حالات الإصابة بفيروس نقص المناعة البشرية/الإيدز والتيفوئيد والملاريا والسل وارتفاع معدلات وفيات الأمهات والرضع والأطفال."	0
"38. يؤكد من جديد أنه ينبغي لفريق الرصد أن يعمم على اللجنة كل ستة أشهر قائمة بالأفراد المدرجة أسماؤهم في قائمة الجزاءات المفروضة على تنظيم القاعدة الذين تفيد التقارير بوفاتهم، مشفوعة بتقييم للمعلومات ذات الصلة مثل شهادة الوفاة، وبقدر الإمكان، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات يكونون في وضع يمكنهم من تلقي أي أصول رفع عنها التجميد، ويوجه اللجنة إلى استعراض هذه القوائم لتقرير ما إذا كانت لا تزال مناسبة، ويدعو اللجنة إلى شطب أسماء الأفراد المتوفين من القائمة، حيثما توافرت معلومات موثوق بها بشأن الوفاة؛"	1
"المقرر عقدها يوم الخميس، 7 تموز/يوليه 2005، الساعة 50/12 ظهراً"	0
"3-2-1 قانون التعاون الدولي في المسائل الجنائية، 1996 (القانون رقم 75 لعام 1996)"	0
"17. وظلت البعثة تتمتع بعلاقات جيدة مع كل من الجيش الملكي المغربي والقوات المسلحة لجبهة البوليساريو."	1
"500 جم أو أقل، ولكن أكثر من 15 جم من البلوتونيوم"	0
"كما سافر إلى الجزائر العاصمة ونجامينا في 9 و11 سبتمبر/أيلول على التوالي."	0
"يحيط علما بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على مواصلة تنفيذها بالكامل، ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ هذه السياسة في تقاريره المقدمة إلى المجلس;"	1
"مدفوعات الحوافز للموظفين (3,562,429 ريال سعودي);"	0
"(ح) تقديم إحاطة منتصف المدة إلى المجلس، عن طريق اللجنة، في غضون 90 يوما من إنشائه;"	1
"تنفصل مبوجي-مايي عن بقية البلاد بسبب تعطل السكك الحديدية والطرق غير السالكة."	0
"الفقرة 15 من القرار 1970 (2011)"	0
"كما هو مبين أعلاه، تم اتخاذ قرار في هذه الجلسة فيما يتعلق بدفع التعويضات."	1
"42. نظم معهد الأمم المتحدة الأقاليمي لبحوث الجريمة والعدالة، بناء على طلب الفريق العامل 2 التابع لفريق الاتصال المعني بالقرصنة قبالة سواحل الصومال وبدعم من حكومة إيطاليا، اجتماعين غير رسميين لفريق الخبراء العامل في عام 2013 لصياغة مجموعة من المبادئ التوجيهية والمعايير وأفضل الممارسات فيما يتعلق باستخدام أفراد الأمن المسلحين المتعاقد معهم من القطاع الخاص على متن السفن التجارية، لكي تستخدمها شركات القطاع الخاص والحكومات المهتمة."	1
"وإذ يرحب بتقرير الأمين العام S/2012/678 المؤرخ 31 آب/أغسطس 2012,"	0
"20. يقرر إبقاء المسألة قيد نظره."	0
"31. ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل من أجل تحقيق الشفافية والشمولية."	1
"27. وستؤكد البعثة من جديد استعداد المجلس لدعم جهود السلطات الانتقالية لمكافحة الإفلات من العقاب في جمهورية الكونغو الديمقراطية."	1
"وإذ يؤيد العمل الذي سبق أن اضطلعت به اللجنة المنشأة عملا بالقرار 1540 (2004)، المشار إليها فيما بعد بلجنة القرار 1540، وفقا لبرنامج عملها الخامس,"	1
"39. ومن بين الصكوك الإقليمية، صدقت كوت ديفوار على الميثاق الأفريقي لحقوق الإنسان والشعوب (1992) ووقعت على النظام الأساسي المنشئ للمحكمة الأفريقية لحقوق الإنسان والشعوب."	1
"يتم تسجيل جميع الممتلكات الدفاعية الأخرى في مستويات حكومية أخرى، اعتماداً على نوع العقار ومكان وجوده."	0
"لدى جزر سليمان الآن مشروع قانون بشأن غسل الأموال، والذي سيُعرض على الدورة القادمة للبرلمان الوطني."	0
"يمكن تحسين فعالية تجميد الأصول من خلال تحسين الربط بين أولئك الذين يفهمون القضايا الحالية (مثل وكالات إنفاذ القانون ووكالات الاستخبارات) مع وحدات الاستخبارات المالية."	0
"16. في 1 كانون الأول/ديسمبر، وفقا للفقرة (ع) من مرفق القرار 2160 (2014)، قدم فريق الرصد تقريرا خطيا خاصا، بالتشاور مع حكومة أفغانستان ومكتب الأمم المتحدة المعني بالمخدرات والجريمة وأفرقة خبراء الأمم المتحدة الأخرى المعنية بالجزاءات، عن حالات محددة من التعاون بين عصابات الجريمة المنظمة, ولا سيما الجماعات التي تقوم بأخذ الرهائن طلبا للفدية، ومنتجي المخدرات وتجارها، وكذلك الجماعات التي تستغل الموارد الطبيعية في أفغانستان بصورة غير مشروعة، بما في ذلك الأحجار الكريمة وشبه الكريمة، والأفراد والجماعات والمؤسسات والكيانات المؤهلين للإدراج في القائمة بموجب الفقرة 1 من القرار."	1
"وقد يؤدي هذا المأزق إلى زيادة التوترات السياسية وتقويض أجواء الثقة المتزايدة التي سادت عقب الانتخابات وتنصيب الرئيس مارتيلي."	0
"ومن المتوقع صدور الحكم في النصف الأول من عام 2008."	0
"38. يوصي الفريق بأن يشجع مجلس الأمن واللجنة الدول على تعيين أو إنشاء آليات وطنية لتحديد واستهداف الأفراد والكيانات لإدراجهم في القائمة الموحدة استنادا إلى سلطة قانونية محددة بوضوح ومتميزة عن العملية الجنائية."	1
"كما أفادت التقارير أن حركة الشباب تمكنت أيضاً من الحصول على دعم شبكات إرهابية دولية أخرى."	1
"وإنني أدين بأشد العبارات الاستهداف المستهجن للأشخاص الذين يدعمون الشعب الصومالي في جهوده لمكافحة الجريمة المنظمة التي تعيق تنمية بلدهم."	0
"(هـ) الاجتماع الافتتاحي لفريق الاتصال الدولي المعني بليبيا، المقرر عقده في أديس أبابا في 3 كانون الأول/ديسمبر 2014. وأعربوا عن تأييدهم للجهود التي تبذلها البلدان المجاورة والممثل الخاص للأمين العام في ليبيا لتهيئة الظروف المواتية للحوار بين جميع الأطراف الليبية، باستثناء الجماعات الإرهابية المعروفة؛"	1
"كان من المحبط الشعور بالإحباط وخيبة الأمل."	0
"4. يدعو جماعات المعارضة السورية المسلحة والعناصر المعنية إلى احترام الأحكام ذات الصلة من التفاهم الأولي;"	1
"حققت تيمور الشرقية تقدماً ملحوظاً منذ استقلالها قبل أكثر من عامين."	0
"2. طلب مجلس الأمن، بموجب قراره 1575 (2004) المؤرخ 22 تشرين الثاني/نوفمبر 2004، إلى الدول الأعضاء، التي تتصرف من خلال الاتحاد الأوروبي أو بالتعاون معه، أن تقدم إلى المجلس تقريرا عن نشاط بعثة الاتحاد الأوروبي العسكرية في البوسنة والهرسك، من خلال القنوات المناسبة وكل ثلاثة أشهر على الأقل."	1
"وقد طلبت السلطات المختصة تقديم الموعد النهائي المحدد في 31 تشرين الأول/أكتوبر 2005 لتقديم طلب رسمي بالتعديلات من جانب حكومة العراق إلى 31 كانون الأول/ديسمبر 2005، وذلك لكي تؤخذ في الاعتبار تماما مشاكل الاتصال بين السلطات المختصة والموردين لتمديد تاريخ الشحن وصلاحية خطابات الاعتماد."	1
"ومع ذلك، يعتقد المكتب أنه لا ينبغي لنا أن ننتظر انتهاء الإجراءات القضائية في المحكمة حتى يتسنى لضحايا الجرائم التي تجري مقاضاتها الحصول على المساعدة."	1
"وفيما يتعلق بمزيد من التعاون، اقترح زيادة الاستفادة من شبكة الإنتربول، على سبيل المثال، من خلال الآليات الإقليمية لتبادل المعلومات مع موظفي إنفاذ القانون، وكذلك تعزيز التوجيهات بشأن التنفيذ."	1
"وبناء على طلب من الحكومة الانتقالية، أحال ممثلي الخاص في 25 آب/أغسطس إلى الرئيس كابيلا، بالنيابة عن اللجنة الدولية لدعم العملية الانتقالية، ورقة مفاهيمية تتعلق بإنشاء لجنة مشتركة رابعة لمعالجة مسائل الحكم الرشيد والإدارة الاقتصادية."	1
"63. لا تزال هناك مخاوف كبيرة بشأن القيود المفروضة على حرية التعبير."	0
"تلقى 70 في المائة في المتوسط من جميع المرضى المسجلين دورة علاجية كاملة."	0
"مع التأكيد على أن العودة الشاملة والمنسقة للاجئين والنازحين في جميع أنحاء المنطقة لا تزال ضرورية لتحقيق السلام الدائم,"	1
"زحف قوات سيليكا إلى بانغي"	0
"\"ويسلّم مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام، ويؤكد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة في تعزيز مشاركة المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية المعنية منذ المراحل الأولى للتخطيط وتحديد الأولويات."	1
"وزير الداخلية ونائب رئيس الحركة الجمهورية الوطنية من أجل الديمقراطية والتنمية"	0
":: شهادة قنصلية صادرة عن سفارة نيكاراغوا في بلد المنشأ;"	0
"لقد واصلت حواري مع السلطات اللبنانية بشأن هذه المسألة وأتطلع إلى الوفاء بهذه الالتزامات في وقت مبكر."	1
"ومع ذلك، فقد أوضحت العملية أيضاً مدى أهمية التحديات التي لا تزال تواجه قطاع الأمن في ليبيريا، خاصة فيما يتعلق بالقدرات اللوجستية والاتصالات والتنقل لدى الشرطة ودائرة الهجرة."	0
"ويؤكد مجلس الأمن من جديد أهمية مبدأ عدم الإعادة القسرية، وحق اللاجئين في العودة الطوعية إلى [البلد المتضرر] ويشجع البلدان المجاورة [للبلد المتضرر] على حماية جميع الأشخاص الفارين من العنف في [البلد المتضرر]، بمن فيهم [الأشخاص من منطقة معينة في المنطقة]. ويحث جميع الدول الأعضاء، استناداً إلى مبادئ تقاسم الأعباء، على دعم هذه البلدان في مساعدة اللاجئين والمجتمعات المحلية المتضررة ..."	1
":: ينبغي إنشاء آليات لتقصي الحقائق في وقت مبكر بما فيه الكفاية في أي أزمة لتمكينها من المساهمة في منع وقوع المزيد من الانتهاكات."	1
"183. أما المحاكمات الجنائية التي تنطوي على جرائم يعاقب عليها بالسجن لمدة تزيد على خمس سنوات فيترأسها فريق من القضاة."	1
"Ø دعوة أطراف النزاع المسلح إلى اتخاذ التدابير المناسبة للامتناع عن جميع أشكال العنف الجنسي ومنعها وحماية جميع الأشخاص من جميع أشكال العنف الجنسي، بما في ذلك عن طريق:"	1
"وإذ يعرب عن تصميمه على تيسير تنفيذ الالتزامات المتعلقة بمكافحة الإرهاب وفقاً لقرارات مجلس الأمن ذات الصلة,"	1
"ويبدو أن التغيير الحقيقي سيأتي على الأرجح من الاحتجاج الشعبي أكثر من أعمال العنف السرية."	0
