"es"	"VerCoop"
"Reconoce que, pese a los progresos logrados en relación con la igualdad entre los géneros, es preciso intensificar las medidas, incluso sobre objetivos cuantificables y orientados hacia la acción, destinadas a garantizar los derechos de las mujeres y las niñas, y a asegurar que todas las mujeres y niñas del [país afectado] estén protegidas contra la violencia y los abusos, disfruten de la protección de la ley en condiciones de igualdad y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia que tiene como fin impedir que las niñas asistan a la escuela, destaca la importancia de que se apliquen sus resoluciones 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) y 1960 (2010), y de que se asegure que las mujeres que huyen de la violencia en el hogar puedan encontrar refugio seguro, y hace notar los compromisos de integración contenidos en esas resoluciones;"	1
"Las fuerzas que componen la Fuerza Multinacional seguirán comprometidas a actuar conforme a las obligaciones que les impone el derecho internacional, incluido el derecho de los conflictos armados."	1
"Casi dos años después de la última exposición informativa sobre la situación en la región de los Grandes Lagos (las zonas afectadas por el Ejército de Resistencia del Señor), el Consejo celebró una sesión privada el 21 de julio de 2011 para examinar la persistente amenaza que representaba el Ejército de Resistencia del Señor para la seguridad regional."	0
"Que se celebrará el jueves 29 de octubre de 2009, a las 17.22 horas"	0
"Expresando su profunda solidaridad con las víctimas del terrorismo y sus familiares, destacando la importancia de que se preste asistencia a las víctimas del terrorismo y se proporcione apoyo, a ellas y a sus familiares, para sobrellevar la pérdida y el duelo, reconociendo la importante función que desempeñan las redes de víctimas y supervivientes en la lucha contra el terrorismo, mediante, entre otras cosas, sus valerosas declaraciones contra las ideologías violentas y extremistas, y, acogiendo con beneplácito y alentando a este respecto, los esfuerzos y las actividades de los Estados Miembros y el sistema de las Naciones Unidas, en particular del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, en este ámbito,"	1
"En la carta mencionada, el representante del régimen israelí habla de seguridad, paz y estabilidad en la región del Oriente Medio."	0
"El Consejo subraya la necesidad de que todas las partes respeten y mantengan la seguridad y el carácter civil de los campamentos de refugiados y desplazados internos."	1
"La aplicación plena e íntegra de la prohibición de viajar podría reportar beneficios reales en la lucha contra el terrorismo de Al-Qaida y los talibanes, pero los datos disponibles parecen indicar que en la actualidad sus efectos son limitados."	1
"Tomando nota de la propuesta presentada al Secretario General por Marruecos el 11 de abril de 2007 y acogiendo con beneplácito los serios y creíbles esfuerzos de Marruecos para hacer avanzar el proceso hacia una solución; tomando nota también de la propuesta presentada al Secretario General por el Frente Polisario el 10 de abril de 2007,"	1
"Hemos establecido numerosos contactos con él a diversos niveles para instarlo a adoptar medidas firmes y urgentes para desarmar y arrestar a esos terroristas y entregarlos a la MONUC para que sean enjuiciados por los crímenes contra la humanidad cometidos a lo largo de los años."	1
"x) Celebrar consultas con los representantes pertinentes del sector privado, en coordinación con las autoridades nacionales, según proceda, para mejorar el conocimiento y el cumplimiento de las medidas relativas a la prohibición de viajar y el embargo de armas;"	1
"Sierra Leona cuenta ahora con 49 diarios y 39 estaciones de radio, 32 de las cuales son privadas."	0
"Los Estados deberían asegurar que la aplicación de la legislación en materia de lucha contra el terrorismo respete íntegramente los derechos humanos."	1
"Con esa finalidad, recuerdo que tras los hechos de mayo de 2008, los dirigentes libaneses habían vuelto a convocar el Diálogo Nacional, cuyo mandato principal era elaborar una estrategia nacional de defensa que abordara la cuestión fundamental de las armas que se encuentran fuera del control del Estado."	1
"En ese sentido, las recomendaciones hechas por el equipo de evaluación para evitar que se extiendan los conflictos, se desestabilicen los Estados y empeoren los problemas humanitarios exigen la mayor atención."	0
"El éxito de las medidas antiterroristas depende en gran medida de la coordinación de las gestiones de la comunidad internacional encaminadas a reprimir las diversas formas de apoyo al terrorismo, en especial su financiación."	1
"77. En esta sección se estudiarán sucintamente los diferentes grupos que participan activamente en el conflicto armado de Darfur."	1
"En el párrafo 8 de la misma resolución, el Consejo encomendó al Comité que designara a las personas y entidades: a) que participaran en actos que amenazaran la paz, la seguridad o la estabilidad de Somalia; b) que hubieran actuado en violación del embargo de armas general y completo; y c) que obstruyeran la prestación de asistencia humanitaria a Somalia o el acceso a esa asistencia."	1
"Solamente este último aspecto entraña una función cuasijudicial."	0
"El primer período extraordinario de sesiones temático del Consejo de Derechos Humanos sobre la crisis alimentaria mundial subrayaba su interrelación con las violaciones de los derechos humanos."	1
"El Consejo de Seguridad también invita a los tres comités a que sigan cooperando con el grupo de trabajo establecido en virtud de la resolución 1566 (2004)."	1
"Es preciso aplicar más eficazmente la resolución 1624 (2005), que alienta el diálogo y el entendimiento entre religiones y culturas a fin de luchar contra la incitación a la comisión de actos de terrorismo por motivos de extremismo e intolerancia."	1
"Párrafo 13 de la resolución 1973 (2011)"	0
"Por lo tanto, los órganos de las Naciones Unidas que se dedican a la lucha contra el terrorismo deberían abordar esas fisuras de manera más seria y con más dedicación."	0
"Varias delegaciones instaron al Gobierno de Malí a que investigara las vulneraciones de los derechos humanos y expresaron preocupación por la liberación de los autores de delitos graves contra los derechos humanos."	1
"Los registros telefónicos, muestran que se hicieron cuatro llamadas al oficial de inteligencia sirio Jamea Jamea, a las 11.42 horas, las 18.14 horas, las 20.23 horas y las 20.26 horas. Según un testigo, Abdel-Al visitó la oficina de Jamea Jamea a las 19.30 horas, de la tarde de la explosión, y durante la visita discutieron del Sr. Abu Adass."	1
":: Informará al Comité después de cada reunión. Cada grupo de trabajo estará presidido por un miembro del Comité que contará con la asistencia del personal de la Oficina de Asuntos de Desarme de las Naciones Unidas, los expertos del Comité establecido en virtud de la resolución 1540 (2004) y su secretaría, en función de las necesidades."	1
"8. Documento de identidad, licencia de conductor, pasaporte u otro documento oficial (con fotografía) probatorio de la identidad;"	0
"Reafirmando la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas y el derecho internacional, las amenazas para la paz y la seguridad internacionales que constituyen los actos terroristas, y subrayando a ese respecto la importante función que desempeñan las Naciones Unidas en dirigir y coordinar este esfuerzo,"	1
"Los conflictos en la región tienen causas profundas complejas en las que intervienen múltiples factores, por ejemplo, las diferencias políticas, la distribución desigual de los recursos económicos y los enfrentamientos tribales. Persiste la posibilidad de que el conflicto se reanude y se expanda. La consecución de la paz seguirá necesitando los esfuerzos incansables de todas las partes."	0
"A fin de asegurar que haya una rendición de cuentas respecto de los delitos cometidos durante los acontecimientos recientes, es indispensable que las investigaciones, las acusaciones y los juicios se lleven a cabo en forma imparcial y sin interferencia política alguna, y que se compruebe que efectivamente así se ha hecho."	0
"b) Alentar a los Estados a impartir a los funcionarios competentes la capacitación necesaria para aplicar el marco jurídico contra el terrorismo, por ejemplo, en aspectos tales como la investigación, la acusación, la imposición de la pena y la extradición."	0
"Los agentes orientales de la UIR amenazaron con pasear el cadáver del difunto por las calles de Dili antes de llevarlo a la residencia del Comandante General Martins."	0
"El 17 de octubre, el Jefe del Estado Mayor de la Defensa de Nigeria anunció que se había acordado un cese de las hostilidades con Boko Haram, tras las conversaciones facilitadas por el Gobierno del Chad en Yamena. El 19 de octubre, el Gobierno del Chad señaló que proseguían las negociaciones para alcanzar un acuerdo de alto el fuego y la liberación de las estudiantes secuestradas en Chibok. El 4 de noviembre, el Gobierno Federal de Nigeria anunció que no se había llegado a ningún acuerdo, pero que continuarían las conversaciones."	1
"El Consejo de Seguridad alienta a los Estados Miembros a establecer y mantener un sistema nacional de justicia penal eficaz y basado en el estado de derecho con disposiciones de cooperación penal y judicial en relación con la extradición y la asistencia judicial recíproca, en particular para agilizar, simplificar y priorizar las solicitudes de extradición y asistencia judicial recíproca en las causas relacionadas con el terrorismo y aplicar las mejores prácticas internacionales y regionales en el ámbito de la extradición y la asistencia judicial recíproca, de conformidad con el derecho internacional, en particular las normas de derechos humanos, el derecho de los refugiados y el derecho humanitario."	1
"Por consiguiente, el Comité transmitirá esas recomendaciones al Comité contra el Terrorismo establecido en virtud de la resolución 1373 (2001)."	1
"229. La Comisión recomienda que se establezcan una policía independiente y bien organizada así como mecanismos militares de supervisión."	1
"Como lo indicó acertadamente la Sala de Apelaciones del Tribunal para la ex Yugoslavia en Kristić (Apelación), \"el genocidio es uno de los peores crímenes que conoce la humanidad y su gravedad queda de manifiesto en los estrictos requisitos de intención concreta."	1
"S/RES/1318 (2000), párr. VI Subraya la importancia de que todos los Estados Miembros, en especial los Estados que fabrican o comercializan armas, limiten las transferencias de armas que puedan provocar conflictos armados o prolongarlos o agravar las tensiones o conflictos existentes ..."	1
"El Equipo también mantuvo conversaciones frecuentes con el grupo de expertos establecido en apoyo del Comité establecido en virtud de la resolución 1540 (2004) para asegurar una sinergia apropiada entre la labor de Equipo sobre el embargo de armas y la labor de los expertos de ese Comité sobre no proliferación de armas de destrucción masiva entre agentes no estatales."	1
"En la 6492ª sesión del Consejo de Seguridad, celebrada el 28 de febrero de 2011, en relación con el examen del tema titulado \"Amenazas a la paz y la seguridad internacionales causadas por actos terroristas\", la Presidencia hizo la siguiente declaración en nombre del Consejo:"	1
"11. En el párrafo 109 se afirma lo siguiente:"	0
"Mientras los Estados no impongan ninguna obligación a las personas mencionadas en la Lista para que se atengan a la prohibición de viajar, no les parecerá que sea arriesgado tratar de evitarla."	0
"Comité de Seguimiento del Simposio Nacional sobre la Sociedad Civil"	0
"11. Pide al Secretario General que en su próximo informe incluya una evaluación general de los programas de desarme, desmovilización y reintegración, y de desarme, desmovilización, reintegración, repatriación y reasentamiento de la MONUC y que, en estrecha coordinación con su Enviado Especial para la región de los Grandes Lagos, formule recomendaciones sobre los ajustes que puedan requerirse para aumentar su eficacia, recursos y coordinación con el componente militar de la MONUC;"	1
"17. La situación en los territorios árabes ocupados."	0
"Algunas regiones también han concluido acuerdos específicos cuyo objeto es controlar la exportación, la importación y el tránsito de este tipo de armas."	0
"La sesión consistió en gran medida en un intercambio de preguntas y respuestas, en el que la troika respondió a intervenciones de los miembros del Grupo de Trabajo."	1
"Asimismo se han realizado actividades de promoción ante la sociedad civil y las empresas privadas, haciendo hincapié en el papel que desempeña en la lucha contra el terrorismo, así como en la posible prestación de asistencia técnica."	1
"n) Coordinar y cooperar con el punto focal nacional de lucha contra el terrorismo o un órgano coordinador similar en el país que se visite, según corresponda;"	0
"El último grupo se compone de los nuevos miembros que se han radicalizado o están en proceso de radicalizarse como consecuencia de los acontecimientos mundiales o de la actuación en sus comunidades de extremistas que ya han sido seducidos por el mensaje de Al-Qaida, e incluso a través de páginas o salas de charla en la red."	0
"Estas recomendaciones se inspirarán en la experiencia derivada de anteriores intervenciones en Haití, comprendida la necesidad de adoptar un enfoque equilibrado para fortalecer a un mismo tiempo la policía, el poder judicial y las instituciones penitenciarias."	1
"En 2006 se registraron 136 incidentes de secuestros colectivos, de los que fueron víctimas un total de 324 niños, 210 de ellos en noviembre de 2006 y el resto entre mayo y diciembre de ese mismo año."	0
"Muy a menudo la población civil se encuentra atrapada en circunstancias de extrema necesidad cuando no se ha establecido una operación de mantenimiento de la paz. Tales situaciones pueden exigir la atención urgente del Consejo."	0
":: Declaración jurada con datos personales y/o comerciales."	0
"Destacando que el desarrollo y mantenimiento de sistemas de justicia penal imparciales y efectivos debe ser uno de los cimientos fundamentales de toda estrategia de lucha contra el terrorismo y la delincuencia organizada transnacional,"	0
"La capacidad limitada en la región para rastrear los flujos financieros es otro reto importante, especialmente teniendo en cuenta el riesgo de que los beneficios ilícitos podrían agravar la corrupción."	0
"El Ombudsman también remitirá de inmediato la solicitud de exclusión del nombre de la Lista al Equipo de Vigilancia, el cual proporcionará al Ombudsman, en un plazo de cuatro meses:"	0
"No todos los Estados tienen una estrategia de lucha contra el terrorismo específica, pero todos han establecido políticas y prácticas en este terreno y creado un centro o agencia nacional, gestionado sobre bases establecidas por ley, para encargarse de las medidas de lucha contra el terrorismo."	0
"Ello demostraría verdaderamente que los esfuerzos de las Naciones Unidas de lucha contra el terrorismo revisten carácter mundial y que los Estados Miembros están unidos."	0
"No obstante, las tiendas de campaña han resultado inadecuadas para las duras condiciones imperantes en el este del Chad, en particular durante la estación de las lluvias, de junio a septiembre."	0
"Muchos Estados no están seguros de qué otro elemento, en lugar del certificado de defunción, bastaría al Comité y el Equipo recomienda que el Comité proporcione más orientación sobre lo que necesita para considerar la posibilidad de suprimir de la Lista por defunción el nombre de una persona."	1
"Denuncias de desapariciones y arrestos de personas en las zonas controladas por el Movimiento Patriótico de Côte d'Ivoire"	0
"8. La situación en Somalia (17 de marzo de 1992; 20 de marzo de 2009)."	0
"8. Competencia de la instancia de apelación"	0
"En la 6066ª sesión del Consejo de Seguridad, celebrada el 14 de enero de 2009, en relación con el examen del tema titulado \"La protección de los civiles en los conflictos armados\", el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:"	1
"El Consejo de Seguridad observa con aprecio las medidas iniciales adoptadas con celeridad por el Gobierno de Rwanda para hacer frente a esta situación y alienta a ese Gobierno a que siga colaborando con las Naciones Unidas y las organizaciones internacionales pertinentes a fin de garantizar que esos combatientes sean desmovilizados de forma permanente y sean tratados de conformidad con el derecho internacional aplicable, prestando especial atención a las mujeres y los niños."	1
"El Comité alienta a su Dirección Ejecutiva a que siga examinando, con otras entidades de las Naciones Unidas, los enfoques y medios más idóneos para coordinar las actividades de las Naciones Unidas, en particular con respecto a la armonización de las metodologías de trabajo y la programación de proyectos de lucha contra el terrorismo."	1
"Como consecuencia de ello, es posible que algunos miembros del Comité que no tenían información sobre un nombre ni habían formado parte de las consultas se hayan sentido marginados en el proceso de adopción de decisiones; aunque podía haberse dado un intercambio más abierto en las reuniones del Comité, todos los miembros tuvieron la posibilidad, y a menudo la ejercieron, de solicitar más detalles cuando lo consideraron importante."	1
"(15 de marzo de 2001)"	0
"En la 47ª sesión oficial, celebrada el 20 de junio de 2014, la Fiscal de la Corte Penal Internacional informó al Grupo de Trabajo sobre la labor de la Corte Penal Internacional en relación con los niños y los conflictos armados."	1
"13. Exhorta a los Estados Miembros de las Naciones Unidas a que cooperen en la solución de todas las cuestiones pendientes con miras a aprobar por consenso el proyecto de convenio general contra el terrorismo internacional y el proyecto de convenio internacional para la represión de los actos de terrorismo nuclear;"	1
"Las actividades de desarrollo de la capacidad y estabilización a más largo plazo deberían encargarse en lo posible al equipo de las Naciones Unidas en el país, en esferas en que tenga una ventaja comparativa."	1
"PALIPEHUTU/FNL (Partido para la liberación del pueblo hutu/Fuerzas nacionales de liberación)"	0
"Venezuela ratificó el Convenio el 7 de julio de 1983."	0
"Pero, de todas las medidas de transparencia sobre sistemas de armas, las relativas a las armas pequeñas son las menos desarrolladas."	0
"En el marco de la primera etapa, se han asignado 20,2 millones de dólares al sector del agua y el saneamiento en las tres gobernaciones septentrionales."	0
"Los Estados Miembros deben seguir considerando la posibilidad de incluir en la Lista a las personas clave que sean esenciales para impartir adiestramiento o facilitar el reclutamiento de personal para las entidades afiliadas a Al-Qaida."	1
"A continuación se indican los porcentajes de las asignaciones anuales que se gastaron durante el período de seis meses comprendido entre julio de 2005 y enero de 2006:"	0
"El Comité alienta a la Dirección Ejecutiva a que intensifique su diálogo con los Estados Miembros y las organizaciones regionales, en particular durante las visitas que realiza, sobre la formulación de estrategias amplias e integradas contra el terrorismo, la mejora y el perfeccionamiento de las estructuras existentes y la puesta en marcha de mecanismos a fin de fortalecer la capacidad de los Estados y las organizaciones para articular estrategias, a que aproveche plenamente las visitas a los países para asesorar a los gobiernos en la formulación de esas estrategias y a que siga trabajando en estrecha colaboración con la Oficina y los grupos de trabajo del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo."	1
"El Consejo de Seguridad reanudó su examen del tema en su 4846ª sesión, celebrada el 21 de octubre de 2003, de conformidad con el entendimiento al que había llegado en sus consultas previas."	0
"El proceso de concesión de ascensos fue gestionado plenamente por el Gobierno, con el apoyo de un comité integrado por cinco expertos internacionales (de Australia, Malasia, Nueva Zelandia, Portugal y Singapur) y el apoyo técnico de la policía de la UNMIT."	1
