"","en_ar_DEEP","MatCoop"
"22","وقد اتخذ برنامج الأمم المتحدة الإنمائي وشركاؤه المنفذون الترتيبات اللازمة لتوفير خدمات إعادة الإدماج لعدد إضافي من المقاتلين السابقين البالغ عددهم 219 7، بمجرد تسريحهم.",1
"23","كما صدرت تحذيرات من وجود خلايا لتنظيم القاعدة في زامبيا، وقامت كل من جنوب أفريقيا وزامبيا بتسليم إرهابيين مشتبه بهم في الماضي.",1
"24","تم دمج تحليل النوع الاجتماعي في تقييم الاحتياجات بعد الصراع والتدريب المرتبط به. تم إجراء تقييم تجريبي لاحتياجات ما بعد الصراع يراعي النوع الاجتماعي.",1
"25","على سبيل المثال، فإن التحديد الحساس للسكان هو عملية طويلة الأجل ستستمر إلى ما بعد الانتخابات، وكذلك إعادة إدماج المقاتلين السابقين، وإصلاح قطاع الأمن، ومعالجة قضايا حيازة الأراضي، وتعزيز الإدارة الاقتصادية السليمة، وحماية حقوق الإنسان، ومعالجة المشاكل. جراح النزاع ومعالجة الأسباب الجذرية للأزمة.",1
"26","22 - والمجلس عازم على تكثيف الضغط على الجماعات المسلحة الأجنبية الموجودة في الجزء الشرقي من جمهورية الكونغو الديمقراطية، بالتزامن مع المبادرات الجاري اتخاذها في إطار العملية الثلاثية.",1
"27","ويتطور فهم حقيقي للتحديات التي يواجهها كل بلد على حدة.",0
"28","لا يحدد القانون الدولي الإنساني الحديث بشكل قانوني مفهوم النزاع المسلح.",0
"29","تلقى هابسادي دعمًا ماليًا وعسكريًا من آتو، وموسى سودي، والشيخ يوسف إندوهادي وآخرين.",1
"30","استأنف مجلس الأمن نظره في هذا البند في جلسته 4846، المعقودة في 21 تشرين الأول/أكتوبر 2003، وفقا للتفاهم الذي تم التوصل إليه في مشاوراته السابقة.",0
"31","وتوضح هذه الأدوات، إلى جانب سياسة اللامركزية، أدوار ومسؤوليات المجالس المحلية ومسؤولي المناطق والبرلمانيين والسلطات التقليدية في مجالات صنع القرار فيما يتعلق بالتنمية؛ الانتخابات والحفاظ على القانون والنظام؛ وتحصيل الإيرادات المحلية وتخصيصها.",1
"32","9. تحظر اللائحة 9 من اللوائح الليبية تقديم خدمة خاضعة للعقوبات إما غير مصرح بها من قبل الوزير وفقًا للائحة 10، أو لا يتم تقديمها فيما يتعلق بتوريد خاضع للعقوبات ومصرح به وفقًا للائحة 7.",0
"33","ومن الممكن أن تؤدي الموارد القابلة للنهب، على وجه الخصوص، والتي يمكن الوصول إليها مباشرة من قبل كوادر المتشددين (وليس من خلال تسلسل قيادتهم)، إلى إطالة أمد الصراع من خلال خلق مشاكل الانضباط التي تجعل من الصعب على القادة فرض تسوية على أتباعهم.",0
"34","المقرر عقدها يوم الجمعة، 15 أيلول/سبتمبر 2000، الساعة 50/12 ظهرا",0
"35","- المدفوعات المدفوعة قبل 2 آب/أغسطس 1990",0
"36","(ك) في ضوء النفقات السابقة التي أنفقتها القيادة، يجب على الجهازين العسكري والأمني، إعادة تنظيم الأولويات وتخصيص الموارد المتاحة لضمان، حسب الاقتضاء، التحرر من الجوع وغيره من المعايير الأساسية الدنيا للمواطنين، بما في ذلك المواطنون الذين يخدمون في القوات المسلحة. القوات المسلحة؛",1
"37","(ب) العمل مع الدول وفرع منع الإرهاب التابع لمكتب الأمم المتحدة المعني بالمخدرات والجريمة من أجل الترويج لأفضل الممارسات وتيسير بناء القدرات والتدريب لأعضاء السلطة القضائية ووكالات إنفاذ القانون وغيرهم من موظفي الخدمة المدنية المعنيين في مجال إجراءات طلب وإنفاذ القانون. تقديم المساعدة في التحقيقات الجنائية والمساعدة القانونية المتبادلة ومسائل تسليم المجرمين؛",0
"38","وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال ""مورغان"" والتحالف اللذين يتقاتلان على مناطق في وادي جوبا منذ عدة سنوات.",1
"39","علاوة على ذلك، فإن مشاركة عنصر مدني قوي أمر أساسي لتوفير المساعدة الإنسانية، وإعادة إرساء النظام العام، وتشغيل المؤسسات العامة، وإعادة الإعمار، وإعادة التأهيل، وبناء السلام من أجل تحقيق تنمية مستدامة على المدى الطويل.",1
"40","ويشكل إنشاء برامج موقعية منتظمة للتفتيش على الكيانات المبلغة، من أجل ضمان الامتثال لمتطلبات مكافحة غسل الأموال/مكافحة تمويل الإرهاب، تحديا كبيرا لبعض الدول، لأنها عملية كثيفة الاستخدام للموارد.",1
"41","وبالإضافة إلى ذلك، فقد تناولوا احتجاز الشرطة الجورجية، يومي 12 و 31 آب/أغسطس، لشاحنات تابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة والتي كانت تنقل بضائع من الجانب الأبخازي من خط وقف إطلاق النار.",0
"42","وتشير الإحصاءات المحدودة المتاحة إلى ما وصفه البنك الدولي بأنه ""صورة مروعة للمؤشرات الاجتماعية"".",0
"43","ومع بدء عملية جمع الأسلحة، وصلت ست مركبات إضافية تابعة للأمم المتحدة تحمل ضباط شرطة الأمم المتحدة، بمن فيهم السيد مالك.",1
"44","5. المؤلف: علي صباح السالم الصباح وزير الداخلية",0
"45","الخسائر الأخرى - 3,891,254 دولار أمريكي",0
"46","وقد أنشأت خمس منها ولاية قضائية مناسبة للجرائم ذات الصلة في تشريعاتها.",1
"47","ولا تزال الغالبية العظمى من الدول تعتمد على الأنظمة اليدوية.",0
"48","ضمان التنسيق والتنفيذ الفعالين لسياسة مكافحة الألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) أنشأته اللجنة الأوروبية للسلام والأمن لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك احتياجات التدريب والسياسات والاستراتيجيات؛ الحفاظ على ومراجعة المجموعة المطورة من إرشادات الأمم المتحدة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ تطوير وإدارة مركز موارد الأمم المتحدة لنزع السلاح والتسريح وإعادة الإدماج؛ ويسهل تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.",1
"49","[يكرر] دعوته أطراف النزاع المسلح [المدرجة في تقرير الأمين العام ذي الصلة] التي لم تقم بعد بإعداد وتنفيذ خطط عمل محددة ومحددة زمنيا لوقف تجنيد الأطفال واستخدامهم في القتال، دون مزيد من التأخير، إلى القيام بذلك انتهاك القانون الدولي المعمول به، والتصدي لجميع الانتهاكات والتجاوزات ضد الأطفال بالتعاون الوثيق مع [الممثل الخاص للأمين العام المعني بالأطفال والنزاع المسلح]، وكذلك مع اليونيسف وفرق العمل القطرية التابعة للأمم المتحدة المعنية بالرصد والإبلاغ .",1
"50","12 - يشير إلى ما قرره في القرار 2161 (2014) بأن تكفل جميع الدول عدم إتاحة أي أموال أو أصول مالية أو موارد اقتصادية، بشكل مباشر أو غير مباشر، لصالح تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة أو أي أفراد أو جماعات أو مؤسسات أو كيانات أخرى. المرتبطة بتنظيم القاعدة، على يد رعاياها أو أشخاص موجودين داخل أراضيها، ويؤكد من جديد ما قرره في القرار 1373 (2001) بأن تحظر جميع الدول على رعاياها أو أي أشخاص أو كيانات داخل أراضيها تكوين أي أموال أو أصول مالية أو أنشطة اقتصادية. الموارد أو الخدمات المالية أو غيرها من الخدمات ذات الصلة المتاحة، بشكل مباشر أو غير مباشر، لصالح الأشخاص الذين يرتكبون أو يحاولون ارتكاب أعمال إرهابية أو يسهلون أو يشاركون في ارتكابها، أو لصالح كيانات مملوكة أو خاضعة لسيطرة، بشكل مباشر أو غير مباشر، هؤلاء الأشخاص والأشخاص والكيانات التي تعمل بالنيابة عن هؤلاء الأشخاص أو بتوجيه منهم؛",0
"51","وإذ يدرك أن تعزيز المؤسسات الوطنية لحقوق الإنسان واحترام حقوق الإنسان، والإجراءات القانونية الواجبة، ومكافحة الإجرام والعنف الجنسي والجنساني، ووضع حد للإفلات من العقاب، أمور ضرورية لضمان سيادة القانون والأمن في [البلد المتضرر]،",1
"52","32 - ليس من الممكن في هذه المرحلة توقع كل الخبرات التي قد يطلب من البعثة دعمها.",0
"53","وذلك يوم الاثنين 15 ديسمبر 2014 الساعة 10 صباحا",0
"54","""ويكرر مجلس الأمن دعمه لإنشاء فريق أساسي لمواصلة تعبئة المجتمع الدولي، وزيادة التشاور بين أصحاب المصلحة الرئيسيين لتعزيز تنسيق وفعالية المساعدة المقدمة إلى هايتي، والمساهمة في تحديد خطة عمل استراتيجية إنمائية طويلة الأجل تهدف إلى تعزيز السلام والاستقرار الدائمين في ذلك البلد.",0
"55","15 يوليو 1999 أ. نشر الجزء الأول من القائمة المؤقتة للأشخاص المصرح لهم بالتصويت.",0
"56","وقد استخدم ضحايا الهجمات مصطلح الجنجويد، على وجه الخصوص، على نطاق واسع لوصف مهاجميهم.",0
"57","ضباط وأعضاء الغرف",0
"58","14 - وعلى الجانب الإثيوبي، في 23 تشرين الثاني/نوفمبر، تم احتجاز دورية تابعة للبعثة لمدة ساعتين عند نقطة تفتيش تابعة للقوات المسلحة الإثيوبية شمال بادمي، في القطاع الغربي.",0
"59","وفي كثير من الحالات، تفتقر الدول إلى الموارد اللازمة أو لا تكون نشطة بالقدر الكافي في تسيير الدوريات والتفتيش والعمليات المشتركة مع الدول المجاورة، فضلاً عن تنفيذ أنشطة الشرطة المجتمعية على المستويات المحلية. ومن شأن إدخال مثل هذه التدابير على طول الحدود المفتوحة وتطبيق أشكال مبتكرة من التعاون والمساعدة في معالجة هذه المخاوف أن يساعد في زيادة فعالية الضوابط الحدودية.",1
"60","يقرر أن [للبعثة] الولاية التالية في [البلد المتضرر]، بالتنسيق مع فريق الأمم المتحدة في البلد... الأمن وحماية المدنيين (ج) الاتصال بـ... حكومة [البلد المتضرر] ومفوضية الأمم المتحدة لشؤون اللاجئين دعماً لجهودهما الرامية إلى نقل مخيمات اللاجئين القريبة من الحدود، وتقديم المساعدة اللوجستية إلى مفوضية الأمم المتحدة لشؤون اللاجئين، على أساس التوافر وقابلية استرداد التكاليف، لهذا الغرض؛ ... (هـ) دعم مبادرات السلطات الوطنية والمحلية في [البلد المتضرر] لحل التوترات المحلية وتعزيز جهود المصالحة المحلية، من أجل تحسين البيئة لعودة النازحين داخلياً.",1
"61","اغتنمنا هذه الفرصة للنظر في الوضع السياسي والأمني ​​في منطقة الساحل والصحراء، فضلا عن الجهود الرامية إلى التغلب على التحديات المطروحة وتعزيز السلام والأمن والاستقرار الدائمين.",1
"62","10 - الحالة في جورجيا (8 تشرين الأول/أكتوبر 1992؛ 15 حزيران/يونيه 2009).",0
"63","""إن مجلس الأمن، إذ يشير إلى قراريه 2042 (2012) و 2043 (2012)، يرحب بتعيين الممثل الخاص المشترك للأمم المتحدة وجامعة الدول العربية المعني بسوريا، باعتباره خطوة هامة إلى الأمام في التعاون بين المنظمتين وجامعة الدول العربية. ويعرب عن دعمه لجهوده في مواصلة المساعي الحميدة التي يبذلها الأمين العام في هذا الصدد.",0
"64","(ج) تشجيع الدول على اتخاذ التدابير المناسبة لحماية قطاعها غير الربحي من سوء الاستخدام عن طريق تمويل الإرهاب.",1
"65","الدروس المستفادة: تأملات دفعة 2012",0
"66","وستظل اللجنة تركز على تعزيز تنفيذ الدول للقرار 1373 (2001) وعلى اتخاذ التدابير العملية الرامية إلى تعزيز قدرة الدول على مكافحة الإرهاب.",1
"67","ورغم أن الأطراف الإيفوارية لم ترد رسميا على مقترحات الميسر، فقد شكلت المقترحات الأساس للمناقشة التي أجراها الفريق العامل الذي يقوم بوضع إطار لإعادة توحيد القوات المسلحة.",1
"68","34. في 8 فبراير، نظم 418 من مقدمي الالتماس مسيرة في القصر الرئاسي داس سينزاس.",0
"69","لقد أدنت الهجوم الإرهابي على السفارة الهندية في كابول.",0
"70","يتم إجراء جرد للسجلات مرة واحدة في السنة.",0
"71","وفي منطقة باكول، الواقعة أيضا في وسط الصومال، أدت الاشتباكات التي وقعت يومي 10 و 11 حزيران/يونيه بين رجال الميليشيات من عشيرتي هادمو وأوغادين في منطقة البردي إلى مقتل ما لا يقل عن 4 أشخاص وإصابة 10 أشخاص. وفي 15 يونيو/حزيران، قُتل ما لا يقل عن 16 شخصاً وجُرح 20 آخرون في قتال بين الميليشيات المتنافسة على حقوق الأراضي والمراعي في نفس المنطقة.",0
"72","مذكرة الأمانة العامة و",0
"73","وعلى نحو مماثل، تم اعتماد تشريعات لمكافحة الإرهاب توفر للسلطات القضائية والادعاء العام صلاحيات قانونية كافية لتقديم الإرهابيين إلى العدالة.",1
"74","(ز) الالتزام باتخاذ الاحتياطات اللازمة لتقليل الخسائر والأضرار العرضية نتيجة للهجمات، بحيث يجب على كل طرف أن يفعل كل ما هو ممكن لضمان أن الأهداف هي أهداف عسكرية واختيار وسائل أو أساليب القتال التي من شأنها أن تقلل من الخسائر في الأرواح. المدنيون؛",1
"75","وتحدد المذكرة المفاهيمية الطريق للمضي قدماً في التقييم المشترك للاحتياجات الصومالية، وتتضمن مشاركة كبيرة من جانب الصوماليين في هذه العملية، باعتبارهم نظراء في الحكومة وفي المناطق وخبراء دوليين من الصوماليين في الشتات.",1
"76","ويدعو الاتحاد الديمقراطي والشعبي لكوت ديفوار إلى الوضوح والعدالة فيما يتعلق بهذه الانتهاكات.",0
"77","90 - ومع ذلك، أحرزت دول منتدى جزر المحيط الهادئ تقدما جيدا في تنفيذ مجموعة متنوعة من تدابير مكافحة الإرهاب امتثالا للقرار 1373 (2001).",1
"78","وسيحصل المقاتلون المسرحون على بدل إقامة يبلغ حوالي 940 دولارًا من دولارات الولايات المتحدة، يُدفع 25 في المائة منه عند التسريح، و25 في المائة بعد 45 يومًا، والباقي بعد 90 يومًا.",1
"79","توفير الأمن الخارجي والداخلي (إجراءات الفحص لفصل العناصر المسلحة عن المدنيين؛ وتدابير التسريح ونزع السلاح؛ والمساعدة التقنية والتدريب من جانب الشرطة المدنية الدولية و/أو المراقبين العسكريين؛ وإقامة المعسكرات على مسافة كبيرة من الحدود الدولية ومناطق الخطر؛ والتنسيق الإقليمي والترتيبات دون الإقليمية).",1
"80","ويقر أعضاء المجلس أيضا بضرورة إنشاء مكتب متكامل للأمم المتحدة في جمهورية أفريقيا الوسطى، على النحو الذي أكدته الاستنتاجات التي توصل إليها وفد لجنة بناء السلام عقب زيارته الأخيرة للبلد.",1
"81","105. هذه أمثلة قليلة، من بين شهادات متعددة وأدلة مادية، تؤكد للجنة أن مصطلح الجنجويد يستخدم عملياً بالتبادل مع مصطلحات أخرى تستخدم لوصف قوات الميليشيات العاملة مع الحكومة.",0
"82","يقوم البرنامج بجمع معلومات على المستوى الوطني عن جميع الأشخاص الذين تم القبض عليهم أو المشتبه في تورطهم في عمليات احتيال مصرفية أو بطاقات ائتمان منخفضة المستوى، أو جرائم تتعلق بوثائق السفر.",1
"83","في 20 تشرين الثاني/نوفمبر، ترأست وزيرة خارجية أستراليا، جولي بيشوب، جلسة إحاطة حول موضوع ""عمليات حفظ السلام: دور الشرطة في حفظ السلام وبناء السلام بعد انتهاء النزاع"". وكان هذا أول اجتماع مخصص للمجلس على الإطلاق لقضايا الشرطة.",0
"84",":: دراسة الكيفية التي يمكن بها للتنفيذ الأكثر فعالية لخطة المرأة والسلام والأمن أن يسهم في تحسين الأمن للجميع وفي بناء السلام الدائم",1
"85","1 - يقرر أن تمتنع جميع الدول عن تقديم أي شكل من أشكال الدعم للجهات الفاعلة من غير الدول التي تحاول استحداث أسلحة نووية أو كيميائية أو بيولوجية ووسائل إيصالها أو احتيازها أو صنعها أو امتلاكها أو نقلها أو تحويلها أو استخدامها؛",1
"86","حسن جمام، الاتحاد الدولي لنقابات العمال العرب",0
"87","15 - وكان من المقرر أن تنسحب قوات الدفاع الشعبي الأوغندية من لا فوريستير ومطار بانغوكا إلى بافواسيندي وفقا لأمر الإعدام، في حين كان من المقرر أن تنسحب قوات الجيش الشعبي الرواندي المتمركزة في مطار بانغوكا وتقاطع لوبوتو - بافواسيندي إلى لوبوتو.",1
"88","وأفاد الأمين العام المساعد للشؤون السياسية عن تزايد الهجمات التي يشنها جيش الرب للمقاومة في عام 2011 وشدد على الأثر الخطير على المدنيين والحالة الإنسانية.",0
"89","وتم تشغيل خمسين مركزا من خلال وضعها في مواقع مشتركة مع مواقع الأفرقة الموجودة، بما في ذلك 11 مركزا تم تشييدها حديثا.",0
"90","محمد ديلاف، ممول (حوية:هبر جدير:عير:عبسية)",0
"91","17 - ونعتقد أن الخطوات المذكورة أعلاه مجتمعة توفر الأساس لنهج استراتيجي لتعزيز قوى السلام في الصومال. ومن شأن هذا النهج أن يكمل التدابير التي اتخذها المجلس بالفعل لاحتواء الصراع.",1
"92"," التنسيق المنهجي بين العناصر المدنية والعسكرية للبعثة ومع الجهات الفاعلة الإنسانية، من أجل تعزيز الخبرات في مجال حماية المدنيين.",1
"93","وإذ يحيط علما بقيام جبهة البوليساريو في 18 أغسطس 2005 بإطلاق سراح أسرى الحرب المغاربة المتبقين البالغ عددهم 404 أسرى، امتثالا للقانون الإنساني الدولي، ويدعو الطرفين إلى مواصلة التعاون مع اللجنة الدولية للصليب الأحمر لتسوية مصير الأشخاص الذين لا يزالون قيد الاعتقال. مجهولي المصير منذ بداية الصراع",1
"94","الوضع في جمهورية أفريقيا الوسطى",0
"95","ثانيًا، حتى لو كان من الممكن إثبات هذا السبب المشروع، فإن طالب اللجوء يخضع لاستثناءات الاستبعاد المنصوص عليها في المادة 1و، والتي تحرم المذنبين بارتكاب أفعال شنيعة وجرائم عامة خطيرة من الحماية الدولية للاجئين وتضمن عدم إساءة معاملة هؤلاء الأشخاص. مؤسسة اللجوء لتجنب التعرض للمساءلة القانونية عن أفعالهم.",0
"96","يقرر أن [تتمتع البعثة] بالتفويض التالي ...: (هـ) العمل بشكل وثيق مع الحكومة لضمان تنفيذ التزاماتها بمعالجة الانتهاكات الجسيمة ضد الأطفال، وخاصة استكمال خطة العمل لإطلاق سراح الأطفال الموجودين في [القوات المسلحة] ومنع المزيد من التجنيد، بدعم من آلية الرصد والإبلاغ.",1
"97","8 - يشدد على أهمية الوصول الآمن ودون عوائق للعاملين في مجال تقديم المساعدة الإنسانية إلى المدنيين في الصراعات المسلحة، ويهيب بجميع الأطراف المعنية، بما في ذلك الدول المجاورة، أن تتعاون تعاونا كاملا مع منسق الأمم المتحدة للشؤون الإنسانية ووكالات الأمم المتحدة في توفير هذا الوصول، ويدعو الدول إلى الأمين العام أن يلفت انتباهه إلى المعلومات المتعلقة بالمنع المتعمد من الوصول إلى هذه المعلومات انتهاكا للقانون الدولي، حيث قد يشكل هذا الرفض تهديدا للسلم والأمن الدوليين، ويعرب، في هذا الصدد، عن استعداده للنظر في هذه المعلومات و عند الضرورة، اتخاذ الخطوات المناسبة؛",0
"98","وبالإضافة إلى ذلك، يقوم فريق متنقل بزيارة المجتمعات النائية، وخاصة مجتمعات الأقليات، التي قد لا يكون من السهل عليها الوصول إلى مراكز الموارد.",0
"99","على سبيل المثال، في عام 2009، عدلت تونس القانون رقم 75-2003 الذي يجرم التحريض على ارتكاب أعمال إرهابية من أجل فصل ""التحريض على الكراهية"" و""التطرف الديني"" عن الجرائم الإرهابية.",1
"100","ومن المتوقع نشر وحدة شرطة مشكلة ثامنة من نيجيريا في تشرين الأول/أكتوبر.",1
"101","30 - وساهمت مبادرة الشرطة المجتمعية التي أطلقتها البعثة في تعزيز العلاقات مع المجتمع المحلي.",1
"102","ومع ذلك، فإن هذه الخطوة، إذا اتخذت في حد ذاتها، لا تكون إلا ذات أهمية شكلية فقط.",0
"103","(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملاً القرارات 1540 (2004)، 1267 (1999) و 1373 (2001)، بتقييم مستوى تبادل المعلومات وتنسيق الزيارات إلى البلدان، على وجه الخصوص، وتقديم توصيات محددة، إذا كان ذلك مناسبا، لتعزيز التعاون.",1
"104","القرار 1738 (2006)، الفقرة 4",0
"105","وقد وضعت بعض الدول استراتيجيات وطنية لمكافحة الإرهاب، ولكن مستوى التنفيذ يحتاج إلى تحسين وينبغي إيلاء مزيد من التركيز للجوانب الوقائية، بما في ذلك على وجه الخصوص معالجة التحريض على الإرهاب والتهديد بالتطرف الذي يؤدي إلى التطرف العنيف.",1
"106","مكتب الممثل الخاص للأمين العام المعني بالأطفال والنزاعات المسلحة",0
"107","المخزون في مقر شركة البترول الوطنية الكويتية 329 - 338 82",0
"108","(أ) أن تأمر الشخص بمغادرة غيانا والتوجه فوراً بنفس وسيلة النقل التي وصل بها، أو بوسائل أخرى؛",0
"109","كما تعلمون، في 12 ديسمبر 2000، شهدت التوقيع على الاتفاق بين حكومة دولة إريتريا وحكومة جمهورية إثيوبيا الديمقراطية الاتحادية، والذي تم في الجزائر العاصمة في حفل رسمي استضافه الرئيس عبد العزيز بوتفليقة .",1
"110","وتهدف التوصيات، التي تم التشاور بشأنها مع الأطراف والبلدان المساهمة بقوات، إلى تعزيز قدرة العنصر العسكري، في حدود الموارد المتاحة، على رصد وقف إطلاق النار والاتفاقات العسكرية.",1
"111","(د) التماس الدعم، عند الاقتضاء، من بعثات الأمم المتحدة لحفظ السلام والبعثات الأخرى ذات الصلة، فضلا عن أفرقة الأمم المتحدة القطرية واللجنة الدولية للصليب الأحمر، وعند الاقتضاء، الأعضاء الآخرين في الحركة الدولية للصليب الأحمر والهلال الأحمر , بشأن التدريب والتوعية بشأن القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين;",1
"112","وكان من المقرر أن تكون هذه التدريبات تقنية لا تنطوي على أي تغيير جوهري في الحدود.",0
"113","ولم يتم الوفاء بهذا الموعد النهائي. ووقع الرئيس غباغبو مرسوما في 20 شباط/فبراير 2008 يضفي الطابع الرسمي على إنشاء فريق عمل لتطوير الإطار.",1
"114","ولن ينفذ هذا الصندوق برامجه ذاتياً: فهو سوف يمولها ولكنه سيعهد بتنفيذها إما إلى البلدان نفسها أو إلى وكالات أخرى متعددة الأطراف.",0
"115","وأشاروا إلى أن الصومال سيظل في حاجة إلى قدر كبير من المساعدة في مجال بناء القدرات لضمان عدم تمكن عصابات القراصنة من العودة إلى مستويات الذروة.",1
"116","وأشار أعضاء آخرون إلى مبادرة حكومة السودان للتحقيق في هذه الادعاءات من خلال آليتها الوطنية، ودعوا إلى حل النزاعات من خلال المفاوضات تحت رعاية فريق التنفيذ الرفيع المستوى التابع للاتحاد الأفريقي المعني بالسودان، بقيادة الرئيس السابق للسودان. جنوب أفريقيا، ثابو مبيكي، والمبعوث الخاص للأمين العام للسودان وجنوب السودان، هايلي منكيريوس.",1
"117","تاريخ الميلاد: 20 أكتوبر 1956",0
"118","ولا تزال معظم الدول بحاجة إلى إدراج الجرائم المنصوص عليها في الصكوك الدولية لمكافحة الإرهاب في قوانينها المحلية.",0
"119","50 - وتجري تحقيقات جنائية معقدة في القرصنة والشبكات الإجرامية المتورطة في القرصنة، مع التركيز على القادة والممولين والمنظمين.",1
"120","ولذلك فإن الترتيبات جارية لإرسال الفريق.",0
