"","es_en_GOOGLE","VerCoop"
"43","Recognizing the need for civilian and military leaders, in accordance with the principle of command responsibility, to demonstrate the commitment and political will to prevent sexual violence and combat impunity, enforce accountability, and that inaction can convey the message that sexual violence in conflicts is tolerated.",0
"44","To be held on Friday, July 18, 2003, at 10:20 a.m.",0
"45","According to another participant, the opportunity to work on the Council was a unique and intense life experience that changed the way one saw the world.",0
"46","It is estimated that there will be 300 dust storms per year in the next decade.",0
"47","Namibia and Portugal: draft resolution",0
"48","According to the provisional verbatim record of the 4688th meeting of the Security Council, held on 20 January 2003 (S/PV.4688), members of the Council made observations, suggestions and proposals on the following topics: international instruments; International cooperation; role of international, regional and subregional organizations; attendance; and Security Council Committee established pursuant to resolution 1373 (2001) (hereinafter referred to as the Counter-Terrorism Committee).",1
"49","In the week of June 19 to 26, in the Bay region, about ten people were killed and another nine were injured in fighting between subclans of the Digil-Mirifle clan in the area, including the Leysan, Luway and Yantar.",0
"50","The Monitoring Team plans to continue working with the Branch, which should automatically be the partner of choice for most United Nations counter-terrorism capacity development activities, in order to avoid duplication of efforts. E. International and regional organizations",1
"51","The cell has also sought to improve the targeting capabilities and cartographic knowledge of civilian personnel and military observers and continues to promote the use of GIS-based technology as a decision-making tool.",1
"52","The mission evaluated the preparation for the elections from the institutional, technical, security, legal and political points of view; identified areas in which support was required; and called for greater participation of women and youth, more institutional transparency, and mechanisms to prevent political and electoral conflicts.",1
"53","h) Submit, through the Committee, a mid-term report within 90 days following its establishment;",1
"54","I am aware of Pakistan&#39;s determination and efforts to unravel the truth and bring to justice those who financed or participated in this terrorist act as perpetrators, organizers, sponsors and conspirators and hold them accountable.",1
"55","The Act applies to the export from Australia of products related to weapons of mass destruction and the provision of services related to such weapons, both within and outside Australia.",0
"56","I urge all Somali leaders to take the necessary steps to bridge their differences.",1
"57","While intending to discuss in depth the issue of cooperation with relevant international and regional organizations in April 2007, the Committee supported the Monitoring Team&#39;s recommendation to invite, as appropriate, representatives of those organizations to meet with the Committee with a view to an exchange of views that could be mutually beneficial.",1
"58","The Chair also played an important role during Committee meetings, encouraging members to explain their positions on List entries when they were contrary to those of other States, as well as taking the lead in proposing delistings for individuals that were believed to be deceased or entries that lacked identifiers.",1
"59","Reaffirming the obligation of Member States to freeze without delay the funds and other financial assets or economic resources of persons who commit or attempt to commit acts of terrorism or who participate in them or facilitate their commission; of entities owned or controlled, directly or indirectly, by such persons, and of persons and entities acting on behalf of or at the direction of such persons and entities, including funds obtained or derived from property owned or controlled under the direct or indirect control of those persons and other persons and entities associated with them,",1
"60","In this regard, the Council reaffirms that the parties to an armed conflict have the primary responsibility to take all possible measures to ensure the protection of affected civilians, in particular paying attention to the specific needs of women and children.",0
"61","I am deeply grateful to my acting Special Representative for Mali, Mr. David Gressly, and my Deputy Special Representative, Mr. Arnauld AkodjÃ©nou, as well as all United Nations civilian and uniformed staff in Mali, for their continued hard work that they perform under very difficult conditions to restore lasting peace and stability in the country.",1
"62","Even in Afghanistan, where Afghan officials and members of coalition forces have conveyed to the Team their belief that the Taliban benefits from the huge revenues generated by the drug trade, it is difficult to point to concrete examples.",0
"63","Almost half of them are still missing and many are feared murdered.",0
"64","Reiterates the importance of all relevant [national] institutions and other entities fully implementing [national justice programmes] for all, in a sequenced, timely and coordinated manner, in order to accelerate the establishment of a fair and transparent system of administration of justice , put an end to impunity and contribute to strengthening the rule of law throughout the country;",1
"65","Council members reiterated their support for the Special Envoy&#39;s attempt to get the two sides to cooperate to end the deadlock in the peace process and called on both sides to explore ways to advance the demarcation process.",1
"66","c) Notification of suspicious transfers when it is suspected that they will be carried out immediately (list c)).",0
"67","The transfer of powers in these sensitive areas cannot function without a strong policy of supervision, intervention and sanction.",0
"68","Furthermore, there is no indication that extrabudgetary financing will be easy to obtain.",0
"69","Report of the Secretary-General on the situation in Somalia (S/2004/115 and Corr.1).",0
"70","Calls for full respect for human rights, fundamental freedoms and international humanitarian law throughout [the affected country], notes with concern the restrictions on media freedom and attacks against journalists...",1
"71","He highlighted the need to foster dialogue in the transitional federal institutions and encouraged his interlocutors to exert their influence to that end.",1
"72","The last stage of the process began in the remaining districts of Kailahun and Kenema, on November 15 and 17, respectively.",0
"73","The two witnesses who had participated in the investigation process, Mr. Donghyuk and Ms. Lee, spoke of their personal experiences in the Democratic People&#39;s Republic of Korea before escaping as refugees.",1
"74","It is also important to recognize that more than half of refugees and internally displaced people do not live in camps. The discussion will therefore also address women&#39;s leadership roles outside camps, where reaching and providing services to refugees and displaced people poses additional challenges.",1
"75","Listed groups also need to use force to support their objectives; However, in the areas where these groups are most active, there does not appear to be a shortage of weapons and explosives.",0
"76","The defense has a limited period of time to interrogate prosecution and defense witnesses and visits to the detainee are restricted to prepare his defense.",0
"77","b) Recommendations on measures that could be taken to improve the response to the threat posed by these foreign terrorist fighters;",1
"78","Also reaffirming its resolutions 1368 (2001) of 12 September 2001 and 1373 (2001) of 28 September 2001, and reiterating its support for international action aimed at eradicating terrorism in accordance with the Charter of the Nations United,",1
"79","34. The situation in Côte d&#39;Ivoire (December 20, 2002; December 8, 2009).",0
"80","The Arab Azawad Movement (MAA), the Coordinator of Patriotic Resistance Movements and Forces (CM-FPR) and the People&#39;s Coalition for Azawad (CPA), in their capacity as parties to the Preliminary Agreement for the Holding of Presidential Elections and Inclusive Peace Talks in Mali, signed on June 18, 2013 in Ouagadougou;",1
"81","The report was submitted to the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities on 31 March 2008 in accordance with resolution 1735 ( 2006) of the Security Council, and is currently being considered by the Committee.",0
"82","9. Decides to continue addressing this issue.",0
"83","Given the scale and magnitude of the incidents related to the Darfur conflict, establishing the facts and gathering reliable evidence for the identification of suspects are difficult tasks, which cannot be taken lightly.",1
"84","Taking into account the return of terrorist groups, he considered that MINUSMA should have all the necessary equipment to fulfill its mandate and protect the population of the north.",1
"85","At the 6066th meeting of the Security Council, held on 14 January 2009, in connection with its consideration of the item entitled &quot;Protection of civilians in armed conflict&quot;, the President of the Security Council made the following statement on behalf of the Advice:",1
"86","The National Liberation Forces (PalipehutuFNL), which constitute a threat to the security of Burundi and the region, must join the peace process without delay.",1
"87","According to Iran, its analysis of satellite images and meteorological data clearly shows that soot was deposited mainly in the southern and southwestern provinces of the country.",0
"88","Recognizing the need to intensify the coordination of efforts at the national, regional, subregional and international levels, as appropriate, in order to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of destruction massive and its vector systems,",1
"89","4. Details of the shipment itinerary (shipping location, transit points and delivery location).",0
"90","In accordance with paragraph 1 (c) of document EC-M-33/DEC.1, the Syrian Arab Republic was to complete the elimination of all chemical weapons-related material and equipment during the first half of 2014.",1
"91","S/RES/1564 (2004), para. 6",0
"92","1540 Committee experts held discussions with the United Nations Interregional Crime and Justice Research Institute (UNICRI) and the United Nations Disarmament Research Institute (UNIDIR) on possible programs and activities to support effective implementation of resolution 1540 (2004).",1
"93","In line with the Committee&#39;s policy guidance on human rights and counter-terrorism, the Executive Directorate&#39;s communications strategy takes into account human rights, highlighting that States must ensure that their counter-terrorism measures respect the obligations incumbent on them under international law.",1
"94","p) Cooperate with other relevant Security Council sanctions committees, in particular the committee established pursuant to resolution 1267 (1999);",1
"95","The remaining 601 points have been calculated to an accuracy of one arc second (30 meters).",0
"96","At the 5898th meeting of the Security Council, held on 27 May 2008, in connection with its consideration of the item entitled &quot;Protection of civilians in armed conflict&quot;, the President of the Security Council made the following statement on behalf of the Council :",1
"97","Later, two of them announced their resignation from the party.",0
"98","11/390/90 - August 1990",0
"99","As of 7 April, the UNOCI police component had 1,182 personnel, including 434 police officers and 748 personnel from six formed police units, out of an authorized maximum of 1,200 personnel.",0
"100","As this partial list demonstrates, the international community&#39;s tendency to rely more heavily on commissions of inquiry and fact-finding missions in the context of accountability measures is clear.",1
"101","To this end, I recall that after the events of May 2008, the Lebanese leaders had reconvened the National Dialogue, whose main mandate was to develop a national defense strategy that would address the fundamental issue of weapons that are outside the control of the State.",1
"102","1. Complete documentation regarding Arab and international labor standards;",0
"103","- Call upon parties to armed conflict to take appropriate measures to refrain from, prevent and protect all persons from all forms of sexual violence, including by:",1
"104","24. Requests the Counter-Terrorism Committee, within the framework of its current mandate and with the support of the Counter-Terrorism Committee Executive Directorate, to identify the main gaps in the capacity of Member States to implement Council resolutions Resolutions 1373 (2001) and 1624 (2005) that may hinder the ability of States to stem the flow of foreign terrorist fighters, and determine good practices to do so in the implementation of resolutions 1373 (2001) and 1624 ( 2005), and facilitate the provision of technical assistance, specifically by promoting cooperation between those providing and receiving capacity-building assistance, particularly those in the most affected regions, including through the development, at their request, of comprehensive capacity-building strategies. counter-terrorism including measures to counter violent radicalization and the flow of foreign terrorist fighters, recalling the roles of other relevant actors, for example the Global Counter-Terrorism Forum;",1
"105","South Oil Company - 100 million dollars",0
"106","About half of States carry out customs controls to combat illegal trafficking in small arms and light weapons, ammunition and explosives, but there is still a need to strengthen customs controls and train customs officers.",1
"107","The six-month notice period may be too short for RTK to find another collection mechanism.",0
"108","It is essential to avoid any action, activity or statement that could undermine or hinder peace efforts.",0
"109","C. Dismantling and disarmament of Lebanese and non-Lebanese militias",0
"110","m) Study and report to the Committee on changes in the nature of the threat posed by Al-Qaida and the Taliban and the most effective measures to address it, including engaging in dialogue with relevant academic institutions and specialists, in consultation with the Committee;",1
"111","Furthermore, Sissa did not provide any evidence to show that it had incurred such losses.",0
"112","The Security Council notes with appreciation the early steps taken swiftly by the Government of Rwanda to address this situation and encourages that Government to continue to engage with the United Nations and relevant international organizations to ensure that these combatants are permanently demobilized and treated in accordance with applicable international law, paying special attention to women and children.",1
"113","In summary, the Commission has collected considerable material and testimony that tends to confirm the murders of thousands of civilians in attacks on villages.",0
"114","Requests the Secretary-General to ensure that: (a) the situation of children continues to be monitored, including close cooperation with those responsible for their protection, and by referring to it in the reports mentioned in [relevant paragraph]; and (b) continue dialogue with parties to the conflict to formulate and implement time-bound action plans to end the recruitment and use of child soldiers and other violations of international humanitarian law and international human rights law committed against children. ;",1
"115","The Security Council recognizes that terrorism will not be defeated solely through military force, law enforcement measures and intelligence operations, and stresses the need to address the conditions that favor the spread of terrorism, including, but not limited to, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusion with in order to offer a viable alternative to people who are susceptible to being recruited by terrorists and suffering radicalization leading to violence.",1
"116","d) Implementation of the travel ban (section IV of the guidelines)",0
"117","f) Welcomed and stressed the importance of the Counter-Terrorism Committee Executive Directorate being ready to intensively participate in and support all activities undertaken under the United Nations Global Counter-Terrorism Strategy, including in the framework of the Counter-Terrorism Implementation Task Force, created to ensure the overall coordination and coherence of counter-terrorism activities in the United Nations system.",1
"118","- Law no. 25/62, of May 21, 1962, regulating dangerous, unhealthy and nuisance establishments;",0
"119","The lack of follow-up had contributed to widespread impunity.",0
"120","The note proposes that the Security Council launch a formal &quot;strategic review&quot; process to study how the intersection of cross-border crime and terrorism may affect its conflict prevention and resolution work, particularly in Africa, and examine the instruments at their disposal to reduce the strategic space that cross-border crime provides to terrorist groups.",1
"121","West African Economic and Monetary Union and Central Bank of West African States",0
"122","This could also help promote regional cooperation in the fight against terrorism.",1
"123","Which will be held on Wednesday, June 11, 2008, at 10:00 a.m.",0
"124","During the Janjaweed attack on Mengarassa village in Western Darfur in November 2003, 20 girls were kidnapped and taken to Ammar camp.",0
"125","For States to adequately patrol their vast coastlines, it is necessary for the coast guard, navy and customs administrations to cooperate with each other by exchanging information and sharing surveillance tasks.",1
"126","They once again urged the Afghan parties to work together for peace and the creation of a multi-ethnic, broad-based and fully representative government.",1
"127","Accordingly, the Committee will transmit these recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).",1
"128","Following the consultations, the President of the Council issued a press statement in which Council members called on the authorities of that country and all interested parties to overcome obstacles to the freedom of movement of impartial forces, and urged all parties to show responsibility and restraint so that the next electoral campaign could be held peacefully according to the planned schedule.",1
"129","In the Team&#39;s view, one of the Committee&#39;s strongest advantages is that it operates by consensus, and adoption of Security Council voting procedures in the Committee would undermine an important working practice.",1
"130","Therefore, most of the human rights violations that took place during those two days can be described as a massacre in which units of the security forces and parallel forces acting in coordination or collusion with them repeatedly carried out summary executions, torture , disappearances and arbitrary arrests.",0
"131","3. The situation in Cyprus (December 27, 1963; December 14, 2010).",0
"132","y) Consult with representatives of relevant international organizations, such as the International Air Transport Association (IATA), the International Civil Aviation Organization (ICAO) and the World Customs Organization (WCO), to promote awareness and compliance of travel ban and arms embargo measures;",1
"133","After reading the list of elected deputies and having given the required speech by the President of the provisional Board, deputy Jean-Paul Ngoupande from Dekoa asked to speak to raise several preliminary questions.",0
"134","23. Flint fragments of different sizes, and two small pottery fragments, in total 10 fragments, from the Qurayn region (No. 9/1975).",0
"135","During this reporting period, UNICEF and WHO undertook the third round of immunizing children against polio.",0
"136","- Call for strict compliance by the parties to an armed conflict with the applicable norms of international humanitarian and human rights law and refugee law, including with respect to:",1
"137","During the reporting period, there was no tangible progress in the disbandment and disarmament of Lebanese and non-Lebanese militias, as set out in the Taif Agreement and resolution 1559 (2004).",0
"138","The Security Council encourages the United Nations, the African Union, the ICGLR and the Southern African Development Community (SADC) and other relevant international and regional organizations to continue to act together, with the sustained participation and support of the international community, with a view to the implementation of the PSC Framework.",1
"139","AN-26 (Sudan Armed Forces registration 7705) at Khartoum International Airport on 21 June 2007",0
"140","At the same time, we are concerned by the report&#39;s observation that work on the demarcation of the land border between Timor-Leste and Indonesia is not being carried out quickly.",0
"141","This issue was discussed extensively both in the general debate of the Special Committee and in the deliberations of the Working Group of the Committee.",0
"142","That State stated that cooperation between government and civil society was an essential part of efforts to prevent people from resorting to terrorism and noted that it was increasing its efforts to detect and investigate hate speech on the Internet.",0
"143","In its recommendations, the National Commission proposed administrative and judicial measures, in particular that the causes of the conflict be studied and that the administrative deficiencies, one of the factors that had aggravated it, be resolved.",1
"144","These resources will consist mainly of:",0
"145","- Gather, evaluate, monitor, report and make recommendations on the implementation of measures; conduct case studies, as appropriate; and examine in depth any other relevant matters, as directed by the Committee;",0
"146","Under such circumstances, UNOTIL cannot be held responsible for having shot at the PNTL officers.",0
"147","The victim, who was raped 14 times over the course of a week, provided the following information:",0
"148","Many of these bodies include representatives of government offices responsible for areas other than criminal law enforcement, such as the ministries of labor and social affairs.",0
"149","All evidence confirms Luberef&#39;s claim that payments had been made.",0
"150","40. Once the reclassification is completed, duplicate articles are identified and deleted.",0
"151","The Executive Directorate will assist the Committee in launching discussions to explore the technical assistance needs of States in the implementation of resolution 1624 (2005) and facilitate the provision of such assistance, as appropriate.",0
"152","The ranks of the petitioners and their supporters increased considerably beginning on the second day of the protest, particularly with the arrival of members of the group known as Colimau 2000.",1
"153",":: UNICEF, through partners in the provinces of Hama, Quneitra, Aleppo, Tartus, Homs, Latakia and Damascus, provided essential psychosocial support services to 12,385 children, including 1,437 children in Al Waer, a hard-to-reach area of Homs province, through a new partner local non-governmental organization.",0
"154","They also reiterated their serious concern regarding the problems of terrorism, piracy, hostage-taking and the serious humanitarian situation. In that context, they stressed the need for the prompt implementation of all relevant Security Council resolutions, including those to be implemented by the transitional federal institutions, as appropriate.",0
"155","b) Encourage States to adopt appropriate measures to protect the non-profit sector from improper exploitation for the financing of terrorism;",1
"156","The Security Council reaffirms the obligation of all Member States to settle disputes and resolve conflicts in accordance with the Charter of the United Nations, and calls upon the international community to support, as appropriate, the initiatives of regional organizations and subregional activities aimed at the peaceful settlement of disputes and the prevention and resolution of conflicts in accordance with the Charter of the United Nations and relevant Security Council resolutions.",1
"157","2,300 people across the Mereb River on August 7.",0
"158","On 20 November, Australian Foreign Minister Julie Bishop chaired a briefing on &quot;Peacekeeping operations: the role of the police in peacekeeping and peacebuilding operations after the conflicts&quot;. This was the first meeting in the Council&#39;s history dedicated to police issues.",1
"159","In addition to the renewed hope they have brought to the people of the Republic, these changes have given UNMIK a new opportunity to improve its consultation mechanisms with federal authorities and engage in constructive dialogue on issues of common interest.",1
"160","d) Other support for acts or activities of designated persons, groups, companies or entities or other persons, groups, companies or entities associated with the Taliban that constitute a threat to the peace, stability and security of the Afghanistan;",0
"161","Finally, I would like to make some recommendations for any fact-finding mechanism being established:",1
"162","To ensure that attacks directed against places or areas where both civilians and combatants are present do not unlawfully endanger the lives of civilians, international law imposes two fundamental obligations, applicable in internal and international armed conflicts. .",0
"163","a) Ensure the widest possible dissemination of information relating to international humanitarian law, human rights law and refugee law;",1
"164","The Catholic Church and civil society organizations expressed concern that these commutations of sentences could contribute to a perception of impunity, although the President explained that the commutations had been decided in consultation with the Government, members of the Parliament and families of victims and perpetrators of crimes, among others, and in accordance with the Constitution and applicable laws.",0
"165","The phasing out of the green line continues to be based on a global threat assessment; in consultation with the integrated command center; and in improving the general security situation, in particular the determination of a low probability of military confrontations between the former belligerents.",1
"166",":: Conditions of entry and stay of foreigners:",0
"167","&quot;Like-minded&quot; States have proposed that the Committee modify its decision-making procedure to proceed on the basis of majority voting rather than consensus in determining the deletion of an entry from the List after a review period which, in his opinion, should be reduced to two years.",1
"168","12. Expresses its support for the inclusion, where appropriate, in peace agreements and in the mandates of United Nations peacekeeping missions of concrete and appropriate measures for the disarmament, demobilization and reintegration of former combatants, with special attention to the demobilization and reintegration of child soldiers, as well as clear and detailed provisions for the destruction of excess weapons and ammunition and, in this regard, recalls the statement of its President of 8 July 1999;",1
"169","The Team reported to the Working Group established pursuant to Security Council resolution 1566 (2004) to review terrorism and sanctions.",1
"170","161. Additionally, there may be financial losses resulting from the use of proceeds to finance non-property losses, such as tax revenue.",0
"171",":: On November 29, 2014, regime warplanes launched 2 missiles at the Nawawi Mosque in the city of Ar-Raqqa, killing 11 people, including a child, and wounding 16 others.",0
"172","For example, the difficulty of policing borders in the Sahel and Sahara region has allowed the Al-Qaida Organization in the Islamic Maghreb* and its associates to move freely, raise funds through smuggling, purchase weapons and explosives, and train to new recruits in conditions of relative safety.",0
"173","In addition to the spectacular increase in the entry of weapons into Somalia, both contenders are also carrying out great activity distributing weapons and ammunition to their militias, equipping their men with combat elements, obtaining and storing food, medicine, fuel and other essential items. to participate in continuous combat, organizing into military-type structures, intensifying the recruitment and training of militias, and devising strategies and plans to militarily defeat the adversary.",0
"174","The meeting, jointly organized by the Executive Directorate and the Council of Europe, focused on the prevention of terrorism.",1
"175","Any deprivation of liberty must be carried out in accordance with the provisions of article 9: it must not be arbitrary; It must be based on the causes established by law and imposed in accordance with the procedure established therein; the detained person must be informed of the reasons for his or her detention; the detention must be subject to judicial control; and redress must be provided in case of illegal detention.",1
"176","An awareness campaign on sexual gender-based violence and children&#39;s rights was also organized in IDP sites in the Dar Sila region from 11 to 19 August.",1
"177","Belgium: Government/Permanent Mission to the United Nations, Brussels Airlines",0
"178","These include a number of detainees held by the National Security and Intelligence Service in a secret location in Khartoum, which the Commission discovered and inspected.",0
"179","92. The commission of inquiry recommends that States and civil society organizations promote opportunities for dialogue and contacts between people in areas such as culture, science, sports, good governance and economic development, providing citizens of the Democratic People&#39;s Republic of Korea the opportunity to exchange information and receive experiences from countries other than their own.",1
"180","The Security Council welcomes the Secretary-General&#39;s intention to visit the Sahel region later this year, with the President of the World Bank Group, and looks forward to a briefing to the Security Council following that visit .",1
"181","If these issues are resolved in favor of the Prosecutor&#39;s Office, the accused persons will be found guilty of the charges against them.",0
"182","In order to recognize the specific need to coordinate its work with that of the Counter-Terrorism Committee Executive Directorate and other relevant bodies in areas where States may be overwhelmed by requests for information from the Security Council, the Team developed a common strategy with the Executive Directorate and the experts supporting the Committee established pursuant to resolution 1540 (2004), with the objective of resolving the problems of States that have not yet submitted the reports requested by the three Committees.",1
"183","Requires all parties to armed conflict to immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, including, but not limited to, the application of appropriate measures of military discipline and the enforcement of the principle of command responsibility, the training of troops on the categorical prohibition of all forms of sexual violence against civilians, the refutation of myths that fuel sexual violence and the background checks of candidates to join the armed forces and security measures to exclude those associated with serious violations of international humanitarian law and international human rights law, including acts of sexual violence.",1
"184","Donations appear to continue to be a source of income, although limited in scope compared to other sources.",0
"185","The United Nations has begun planning a technical meeting on capacity-building in Southern Sudan to coordinate its approach.",1
"186","Accountability mechanisms have generally been introduced to address irregularities and ensure that established legislation and procedures are applied but often do not offer sufficient protection.",0
"187","Between June 1 and August 31, UNMEE demining units also cleared 151 kilometers of roads and 1,300,020 square meters of operational areas.",0
"188","78. The Sudanese armed forces are conventional armed forces responsible for protecting and maintaining internal security.",1
"189","The Palestinians and the Arab countries must give Israel the necessary and reliable guarantees of its security as a State.",0
"190","Furthermore, on February 14, he was received in Nouakchott by the President of Mauritania, Mr. Sidi Mohamed Ould Cheikh Abdellahi, and met with the Minister of Foreign Affairs and Cooperation, Mr. Mohamed Saleck Ould Mohamed Lemine, and other senior Government officials. .",1
"191","To be held on Wednesday, January 31, 2001, at 1:30 p.m.",0
"192","b) Prevent the entry into its territory or the transit through it of those persons, with the understanding that nothing in this paragraph shall oblige a State to deny entry into its territory or require the departure of its own nationals. and that this paragraph shall not apply when entry or transit is necessary for a judicial proceeding or when the Committee established pursuant to resolution 1267 (1999) (the &quot;Committee&quot;) determines, on a case-by-case basis, that the entry or transit is justified;",1
