"ar_en_DEEPL"	"MatConf"
"الحالة في قبرص (انظر S/11185/Add.28 و 29 و 32 و 34 و 49؛ S/11593/Add.7-10 و 23 و 24 و 49؛ S/11935/Add.23, و 24 و 50؛ S/12269/Add.24 و 35-37 و 50؛ S/12520/Add.23 و 45 و 47 و 49؛ S/13033/Add.23 و 49؛ S/13737/Add.23 و 49؛ S/14326/Add.22 و 50؛ S/14840/Add.24 و 50؛ S/15560/Add.24 و 46 و 50؛ S/16270/Add.17 و 18 و 23 و 49؛ S/16880/Add.23 و 37 و 49؛ S/17725/Add.23 و 49؛ S/18570/Add.23 و 50؛ S/19420/Add.24 و 50؛ S/20370/Add.22 و 49؛ S/21100/Add.10 و 23 و 28 و 49 و 50؛ S/22110/Add.23, 40 و 49 و 51؛ S/23370/Add.14 و 23 و 28 و 34 و 47 و 50؛ S/25070/Add.19 و 21 و 23 و 50؛ S/1994/20/Add.9 و 23 و 29 و 50؛ S/1995/40/Add.24 و 50؛ S/1996/15/Add.25 و 51؛ S/1997/40/Add.25 و 51؛ S/1998/44/Add.26 و 51؛ S/1999/25/Add.25 و 49؛ S/2000/40/Add.23 و 49؛ و S/2001/15/Add.24 و 50؛ و S/2002/30/Add.23 و 39 و 47؛ و S/2003/40/Add.14 و 15 و 23 و 47؛ و S/2004/20/Add.13 و 16 و 17 و 23 و 42؛ و S/2005/15/Add.23؛ وانظر أيضا S/2001/15/Add.49؛ و S/2002/30/Add.22 و 46؛ و S/2003/40/Add.22 و 46؛ و S/2004/20/Add.23 و 40؛ و S/2005/15/Add.22)."	0
"It has set up military training camps in the greater Mogadishu area, including the Lanta Boro and Hilweyne districts, and has sent weapons obtained at the Bakara arms market to these camps."	1
"(p) To cooperate with other relevant Security Council sanctions committees, in particular the Committee established pursuant to resolution 1267 (1999)."	0
"The Security Council frequently discusses humanitarian issues in conflict-affected countries."	0
"- The Russian Federation continues to illegally maintain its military base in Gudauta, which operates without the consent of Georgia and contrary to Russia's international obligations."	1
"Al-Qaeda and its affiliates use both military components, when obtainable, and civilian components in the manufacture of IEDs."	1
"In resolution 1820 (2008), the Council encouraged the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls from violence, including, in particular, sexual and other forms of gender-based violence, in and around refugee and internally displaced persons camps."	0
"Turkey is fully aware of the Syrian government's intentions, which have been put into practice through various methods of aggression and provocation, including targeting innocent civilians across the border."	1
"B. Standardization of case studies and pending cases"	0
"Some reports also suggest that foreigners from Chad, the Libyan Arab Jamahiriya and other countries responded to the call and that the government was more than willing to recruit them."	1
"The published figures are unconfirmed, but the committee's evidence suggests that nine people were killed and three injured in the shooting."	1
"Letter dated 17 May 2004 from the Permanent Representative of Yemen to the United Nations addressed to the President of the Security Council (S/2004/393)."	0
"The multispectral camera will also allow it to scan large areas up to tens of kilometers."	0
"This is evident in groups fighting in Somalia, Yemen, the Syrian Arab Republic and Nigeria."	1
"It was darkened by rust, but after wiping the dark color off and exposing it to air, it turned yellow."	0
"We are concerned about the lack of political freedoms there."	0
"Another election-related challenge is the large number of potential voters who cannot afford the administrative costs of obtaining a national ID card."	0
"Urges the international community to provide support and assistance to enable States to fulfill their responsibilities to protect refugees and other persons protected under international humanitarian law."	0
"However, the movement's remaining ability to undermine tangible progress in stabilizing Ituri remains a concern, especially given the Transitional Government's inability so far to bring armed group leaders to justice and prevent their movement in and out of Uganda."	1
":: Establishment of a follow-up, monitoring and prevention agency: Establishment of a follow-up, monitoring and prevention agency in this area."	0
"Currently, fewer than 100,000 Liberians are registered in the public and private sectors."	0
"6. In paragraph 19 of my report of 30 August 2004 (S/2004/703), I noted that âthe process of disarming members of the Popular Defense Forces has begun, with the second Joint Verification Mission attending a disarmament ceremony for approximately 300 soldiers in Western Darfurâ."	1
"But he has made progress in advancing the restructuring and reform of these forces."	0
"Where applicable, deductions are made for costs saved as a result of incomplete performance."	0
"15. Ismail Mohammed Al-Qa'ad, from Nimr, Daraa"	0
"(c) Facilitate capacity-building for States in the subregion, in collaboration with ESAAMLG, to establish/strengthen financial intelligence units and develop the necessary legislative and operational capacity to freeze funds without delay."	0
"13. Encourages the International Criminal Police Organization (INTERPOL) to intensify its efforts regarding the threat posed by foreign terrorist fighters and to recommend or provide additional resources to support and encourage national, regional and international measures to monitor and prevent the transit of foreign terrorist fighters, such as expanding the use of INTERPOL Special Notices to include foreign terrorist fighters."	0
"The Committee is concerned that structural issues, including laws and policies that violate the right to adequate food and freedom from hunger, remain in place, which could lead to a resurgence of mass starvation."	1
"20. The planned civil service program, which aims to absorb a total of 20,000 ex-combatants and 20,000 at-risk youth, has yet to be launched."	0
"Mr. Mazio does not hold this debt against Commander Jerome, but against the transitional government in Kinshasa."	0
"- To contribute, as appropriate, to the efforts of the Ivorian authorities to develop the capacity of their police and gendarmerie, in particular through training on riot control, and by re-establishing their presence throughout [the affected country]."	0
"85. Since the imposition of the Security Council measures on CÃ´te d'Ivoire, the Government has curtailed purchases of arms and ammunition, owing to an extensive procurement program prior to the embargo as well as the limited use of arms and ammunition during the brief period of violent military conflict in 2004."	1
"391. The looting of villages and the seizure of livestock, crops, household goods and other personal property of the population by government forces or militias under their control is undoubtedly a war crime."	1
"213. Abdel-Al is also notably linked to a large arms cache discovered in south Beirut in July 2005. The Internal Security Forces raided this arms depot on July 26, 2005 and arrested five people with strong ties to the former Al-Mourabitoun militia."	1
"The Republic of Macedonia became a party to the European Convention on Extradition of October 26, 1999."	0
"This income appears to have been diverted to personal accounts, as was the entirety of the corporate registry income."	0
"153. Hamad Mubarak Salem Al-Hajri"	0
"The military component continues to operate in extremely difficult conditions in the north."	1
"Council members noted that all candidates should make every effort to maintain a calm and peaceful environment, exercise restraint, await results to be announced in accordance with national constitutional procedures, and settle their differences peacefully through established legal and mediation mechanisms, including the National Mediation Committee."	0
"Prominent journalists have been detained for expressing their views on issues of human rights, the constitution and the rule of law."	1
"The demarcation process is expected to last approximately 96 weeks."	0
"Tensions remain high, particularly in north-eastern Katanga, where there have been numerous clashes between FARDC units and Mayi-Mayi militia groups. On 10 and 11 August, FARDC exchanged fire with a Mayi-Mayi group near the Lunga gold mine, some 200 kilometers from Kalemie, and took control of the area."	1
"46. The situation in Myanmar (September 15, 2006; July 13, 2009)."	0
"Contrary to persistent rumors, there is no evidence that police officers, including those supplied with weapons and uniforms by the defense forces, participated in the shootings."	1
"The company's shareholders must be publicized."	0
"There is information that they had effective overall control over military personnel fighting for the rebel groups and therefore knew, or at least should have known, about some of the crimes committed by those military personnel, but did not take any action to stop the atrocities being committed."	1
"15. First, cross-border crime and weak border control can weaken state authority."	1
"Suspects are deliberately starved and subjected to other inhumane conditions of detention to increase pressure to confess and incriminate others."	1
"On behalf of the Chairperson of the Commission, Nkosazana Dlamini-Zuma, I am transmitting herewith the communiquÃ© adopted by the Peace and Security Council at the conclusion of the meeting (see enclosure)."	0
"Nonprofits manage large budgets and move money across jurisdictions legally and with great ease, so they can provide a relatively secure global framework within which to operate with minimal risk of detection, and the sheer number of beneficiaries of large nonprofits allows them to move money with little risk, especially where nonprofits have semi-autonomous status that allows them to operate outside of regulators and law enforcement authorities."	1
"I was then informed that my father and my younger brother had been killed. Four other people were also killed."	1
"The project was part of the larger Abu Ghraib project, which covers an area of 10,000 hectares and is located 30 kilometers northwest of Baghdad."	0
"S/RES/1863 (2009), OP2"	0
"That is why we condemn terrorism."	0
"Its role in supporting the efforts of these countries is critical."	0
"No significant change is expected in the overall security situation, although a slow and steady increase in crime-related incidents is expected."	1
"Disarming militias is therefore a priority, especially during the pre-election campaign phase with its potential for politically motivated violence."	0
"Many international leaders, including heads of state, UN representatives, and a majority of Security Council members, have denounced the flotillas that have traveled to Gaza over the past year and emphasized the need to move humanitarian supplies to the region only through existing channels."	0
"Acting under Chapter VII of the Charter of the United Nations."	0
"Janjaweed militias were named in some of these incidents as contributing to acts of destruction, particularly by harming the civilian population and practicing widespread looting during and after battles."	1
"1. The present report covers the review of the Consolidated List conducted by the Committee established pursuant to resolution 1267 (1999) from 30 June 2008 to 31 July 2010."	0
"Noting with deep concern the escalation of violence and increased intertribal fighting, as well as continuing manifestations of sexual and gender-based violence and impunity, reiterating its deep concern about attacks against humanitarian personnel, peacekeepers and civilian security, and demanding that all parties in Darfur immediately cease hostilities and cease their continued violent attacks, which are causing a deteriorating situation for humanitarian aid and impeding its access to populations in need."	1
"9. Elections are an essential step in the consolidation of democracy, but only a preliminary one."	0
"6. Convention for the Suppression of Unlawful Seizure of Aircraft, signed at The Hague on December 16, 1970; ratified by the Czechoslovak Socialist Republic on April 6, 1972; entered into force on May 6, 1972."	1
"It directs the Commission to look into the financing of ECOWAS activities with a view to ensuring that institutions are adequately resourced."	0
"To be held on Wednesday, June 15, 2011, at 10 a.m."	0
"Also, while victims often expressed a lack of trust in the government's ability and willingness to defend them, the police were an exception to this trend."	1
"Alternatives"	0
"There was no military necessity for the destruction and devastation."	1
"Impediments to humanitarian access that have the greatest impact on people in need include restrictions on the movement of humanitarian workers or goods (including physical and bureaucratic barriers); lack of mechanisms agreed with parties to the conflict for the delivery of aid during hostilities; interference in humanitarian deliveries, including demands for payment; and violence against humanitarian workers, including physical attacks on humanitarian workers and convoys."	1
"(d) Forces démocratiques de libération du Rwanda (FDLR)."	0
"To be held on Wednesday, November 21, 2012, at 10:00 a.m."	0
"Locally manufactured firearms. Molotov cocktails. Rockets made in an improvised manner in metal workshops."	1
"But the situation remains precarious for many others, with the risk of ethnically motivated attacks escalating - though not their frequency."	1
"A. Recruitment and use of children by armed forces and groups 14. The Nepal Task Force on Children and Armed Conflict, established under the provisions of Security Council resolution 1612 (2005), monitored the recruitment of children by the Maoist army and CPN(M)-affiliated organizations during the post-ceasefire recruitment campaign that culminated in November 2006."	1
"Terrorists and their accomplices must not be given the opportunity to exploit legal loopholes to escape the consequences of their actions."	0
"We have no electronic means of surveillance and no systematic information at all our entry points."	0
"The two-year conflict has exacerbated political differences and deepened the already harsh socio-economic conditions in which the vast majority of the population lives."	1
"He expressed the hope that the Council's discussion would raise awareness of future needs and help achieve adequate levels of political, financial, human and logistical support, thereby supporting the common goal of using the peacekeeping tool to promote international peace and security."	0
"The final statement issued by the Action Group for Syria"	0
"Freezing assets would restrict terrorist financiers and limit their access to the formal banking system and their ability to partner with legitimate entities."	1
"They attacked and killed 54 people and wounded 24 others, burned houses before retreating, and looted cattle and household property."	1
"According to a senior armed forces commander, Border Intelligence soldiers are recruited directly into the army in the same way as regular soldiers."	1
"We now have a better understanding of the magnitude of the challenges we could only guess at."	0
"27/90/345 - August 1990"	0
"This regime was amended in resolutions 1333 (2000) and 1390 (2002) to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al-Qaida. Exceptions to the asset freeze and travel ban are available. On 17 June 2011, the Security Council unanimously adopted resolutions 1988 (2011) and 1989 (2011), which split the regime in two, establishing a Committee on Al-Qaida and a Committee on the Taliban."	1
"On November 6, 2014, Syrian regime warplanes targeted Mouka town with a missile, killing five people, including a child and two women, as well as damaging residential buildings."	1
"There is absolutely no justification for all this."	0
"Elders from both tribes, as well as Kenyan authorities, stepped in in mid-August to help resolve the conflict."	0
"On November 18, 2014, regime helicopters dropped two barrel bombs on Maar Shamarin, killing six civilians, including four children and two women."	1
"51. The success of the transition will be jeopardized if elections are not held in the Democratic Republic of the Congo no later than 30 June 2006."	0
"The higher the number of casualties, or the more deadly their attacks, the greater the media coverage is likely to be."	1
"These two elements are: First, the criminal act of killing, causing physical and mental harm, and intentionally imposing living conditions that could lead to physical destruction, and second, based on the moral criterion, the existence of a protected group targeted by the perpetrators of the criminal act."	1
"Its intent and ability to plan attacks in Algeria and Niger was demonstrated in 2013."	1
"Based on the foregoing, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision adopted by the Council of Heads of State of the Commonwealth of Independent States on 19 January 1996 represents a serious threat of destabilization, significantly changes the situation surrounding the conflict and undermines the legal framework, which defines the CIS peace formula for the conflict zone."	0
"I urge the Congolese authorities and other stakeholders to take the necessary steps to put an end to these actions, which could undermine the credibility of the elections and increase the risk of violence."	0
"Attacks in Afghanistan are increasingly showing the influence of al-Qaeda's methods in Iraq, where suicide bombings are used and beheadings are a common measure, the evidence of which is shown on television."	1
"Although the Defense Forces Command emphasizes the importance of the chain of command to consider complaints, there appear to be no established procedures detailing how complaints are formally considered and reviewed."	0
"It is not necessary, but it may be important, to prove that the attack was the result of a policy or plan."	1
"24. All States in the subregion have a cash-based economy, which increases the risk of terrorist financing occurring through the physical cross-border movement of currency and other nominal financial instruments, and through informal transfers of funds and chattels through alternative remittance systems."	1
"The mission has taken the position that it is âout of sight but not out of mind,â ready to intervene if the situation deteriorates, and contingency plans have been put in place to deploy reserves if necessary."	1
"2. The situation in Sierra Leone."	0
"56. Efforts are being made to revitalize the Mano River Union Secretariat, which is based in Freetown."	0
"9. Popularization of the Consolidated List."	0
"No polio cases have been recorded in Somalia since March 2007."	0
"In order to strengthen UN engagement in this field, the Council should request its main counter-terrorism bodies - CTED and the Analytical Support and Sanctions Monitoring Team - to focus on the threat posed by foreign terrorist fighters, including by assessing national efforts to implement existing international legal obligations to combat this threat."	1
"The Export Control Act (2007) regulates the export of equipment, technology, and services based primarily on the Wassenaar Arrangement's list of munitions."	0
"The soldiers were about to finish raping the five women when a second group of women who had gone to El Fasher to sell firewood arrived at the same place."	1
"29. Meanwhile, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of FDS-CI and to assist in the restoration of civilian policing throughout the country were hampered by the uncooperative attitude of local authorities, the lack of a comprehensive FDS-CI reform plan and the absence of an inter-Ivorian agreement on the deployment of Ivorian police and gendarmerie personnel to the north."	0
"50. In one incident in Yopougon at 6.15 a.m., demonstrators attempting to gather in the street received death threats from men in a jeep wearing military uniforms without insignia and speaking English."	1
"Moreover, the manner and pattern of overflights prior to the attacks could in no way be construed as warning signals, as they were clearly part of the attack."	1
":: Ibrahim Haji Jama Maiyad \"Al-Afghani\" (also known as Abubakar Al-Zilai), regional governor of Kismayo region"	0
"The Council also recalls the respective mandates of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) and the United Nations Integrated Peacebuilding Office in the Central African Republic (BINUCA) to cooperate and promptly share information relevant to the regional threat posed by the Lord's Resistance Army (LRA)."	0
"Even in Afghanistan, although Afghan officials and members of the coalition forces told the Panel that they are convinced that the Taliban benefit from the enormous revenues generated by the narcotics trade, it is difficult to provide concrete evidence of this."	1
"123. When militias join the armed forces in attack, they can be said to operate under the effective control of the Government, fully consistent with the concept of control (established in 1999 in TadiÄ (Appeal), paras. 98-145)."	1
"See also, for example, S/RES/1325 (2000), op. 6; S/RES/1296 (2000), op. 19."	0
"The provisions of Article 80 of the Criminal Code are as follows:"	0
"Office of the Special Representative of the Secretary-General for Children and Armed Conflict"	0
"- Regarding item 13 on page 2 of the matrix (other conventions/treaties): Viet Nam became a party to the Convention on Early Notification of a Nuclear Accident in October 1987 and the Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency in October 1987."	0
"18. The United Nations Global Counter-Terrorism Strategy calls for the promotion of dialogue, tolerance and understanding among civilizations, cultures, peoples and religions and the development of education and public awareness programmes in these fields."	0
"For example, Burkina Faso attaches importance to the fight against violent extremism and is working to combat attempts to recruit terrorists."	1
"The Team regularly coordinates its travel plans with the Counter-Terrorism Committee Executive Directorate and has organized briefings on its visits to Member States and international organizations for both the Executive Directorate and the experts supporting the 1540 Committee. The Team looks forward to its first joint visit with the Executive Directorate to a Member State in February 2006 and expects that joint visits will become increasingly frequent."	0
"(i) Killing by government forces and/or militias"	1
"Some of these children were recruited into the Maoist army in violation of the Comprehensive Peace Agreement, while others were recruited into CPN (Maoist) affiliated organizations. Approximately 30 per cent of these children were released after a few days with CPN (Maoist), and approximately 20 per cent were later found to be in Maoist army cantonment sites."	1
"10. The measures taken by States cover prohibited activities by non-State actors as set out in paragraph 2 of resolution 1540 (2004) with respect to nuclear, chemical and biological weapons and their means of delivery, and controls over related materials, in accordance with paragraph 3 of the resolution."	1
"âThe Security Council recalls its resolutions on Osama bin Laden and its condemnation of the Al-Qaida network and other associated terrorist organizations for the multiple criminal acts of terrorism aimed at killing many innocent civilians and destroying property."	1
"She detailed the violations and abuses committed against children in Yemen."	1
"UNAMA will not be able to fulfill its role unless significant additional resources are provided."	0
"Mohammed Ghazai Saad Ali Almutairi"	0
"This program was relaunched as the IGAD Security Sector Program in October 2011 and is envisioned to play a more active role in this area, including through conferences on de-radicalization and community engagement in counter-terrorism."	0
"The failure of Ayman Muhammad Rabi al-Zawahiri to mediate the internal conflict between al-Qaeda and Jabhat al-Nusra (an al-Qaeda affiliate in Iraq), as well as the ongoing infighting within al-Shabaab, demonstrates Zawahiri's limited authority."	1
"Recognizing the valuable contribution of the Special Representative of the Secretary-General for Children and Armed Conflict and the Security Council Working Group on Children and Armed Conflict, including its conclusions and recommendations issued in line with resolution 1612 (2005), and recalling resolution 1882 (2009) aimed at strengthening the protection of children in situations of armed conflict."	0
"There is agreement that MONUC should be strengthened to its authorized strength as soon as possible to effectively perform its mandated tasks."	1
"- On September 19, after a vehicle hit a mine in Aguelhok, six wounded members of the Chadian battalion were evacuated by helicopter and transported to the Chinese Level II medical care facility in Gao."	1
"Compliance with paragraph 6 of resolution 1903 (2009)"	0
"Recruits are then placed under the command of the regular army, usually wearing the same uniform as the unit they are fighting with."	1
"More violence occurred in the Komoro market, one civilian was killed, eight people were shot, and four others were seriously injured."	1
"For these arrangements, see paragraphs 95 to 102 below."	0
"In Lernib (Timbuktu region), in September, the MAA (preliminary plan) warned in several public meetings that it would punish local populations who provided information to MINUSMA and French forces. On 23 September, the decapitated body of a man was found in the Zouera area, 80 km north of Timbuktu, who was one of five men abducted by AQIM on 16 September and accused of collaborating with international forces, who have since disappeared."	1
"The Commission worked for two years, during which time it identified more than 800 places of detention, nearly 50,000 cases of torture, 200,000 deaths, nearly 2 million people displaced by ethnic cleansing, and conducted an extensive investigation into organized rape, including more than 500 written statements from victims who identified their rapists.b"	1
"Trilateral Commission press release: Baden Conference"	0
"The parties informed the mission that they were convinced that the Ouagadougou Agreement had ended the armed conflict and that the ongoing political crisis could only be resolved through the holding of elections."	0
"Mr. Rishchynski (Canada) (spoke in French): I would like to begin by thanking Mr. Ján Kubiš for his briefing this morning. I also thank Ambassador Zahir Tanin of Afghanistan for his statement."	0
