"ar_en_DEEP"	"VerConf"
"On this basis, I would like to approve Pakistan's request and intend to establish a three-member investigation committee."	0
"His unwillingness to uphold the rule of law and ensure respect for the sovereignty and territorial integrity of a UN Member State has undermined his credibility as well as his legal and moral authority."	1
"The committee could not confirm the government's claim that wounded soldiers and civilians were killed inside the hospital building."	1
"The Afghan government urged the committee to respond with more flexibility to its proposals calling for the removal of names from the list, expressing its concerns that its inability to achieve the removal of names from the list robs it of a basic system to reward Taliban members who join reconciliation, which means it risks their return to fighting."	1
"Special police units carried out special protection measures in areas of minority communities, in addition to providing security for major events, basic protection for the lead smelter in SveÄan, the mission facilities and the internationally staffed courthouse in Mitrovica."	0
"Some Iraqi interlocutors have raised questions about that term – “national reconciliation” – in terms of what it entails and what it requires."	0
"The Council notes the importance it attaches to putting an end to impunity and bringing those responsible for crimes committed in Darfur to justice."	1
"(d) Vladivostok, Russian Federation (once a week);"	0
"169. The evidence obtained by the Commission demonstrates that Prime Minister Alkatiri became aware of the allegations of transfer of weapons to civilians no later than 21 May."	1
"15 - Pro-government militias played an important role in government efforts to establish security in CÃ´te d'Ivoire, especially in the west of the country."	0
"Part of the payments for work on the project were in the form of promissory notes, two of which were dated 1 January 1988 and two others were dated 30 June 1988 and 30 June 1989. The maturity dates of the notes were 1993 and 1994."	0
"The Catholic Church and civil society organizations expressed their concern that commuting sentences would contribute to creating perceptions of the possibility of impunity, even though the president explained that commuting sentences was decided in consultation with parties, including the government, members of Parliament, and the families of victims and perpetrators, and in accordance with the Constitution and applicable laws."	1
"However, the claimant confirmed during the on-site inspection that the amount represents the cost of building the emergency room for the General Directorate of Posts."	0
"However, we would like to urge that more efforts be made to follow up on information obtained from Member States as part of the effort to combat terrorism."	1
"52 - The ratification of the Timor Sea Treaty has raised hopes for achieving significant revenues from gas and oil in the near future."	0
"While UNAMA and the Independent Electoral Commission have so far relied on civilian observers to resolve conflicts, this mechanism may not be sufficient to address the most serious threats."	1
"On November 5, 2014, regime warplanes launched five air strikes targeting the town of Kansafra in the Idlib countryside."	0
"44 - According to the Mine Action Service, âIEDs constitute a unique and dangerous weapon system, due to their versatility, adaptability and method of use."	0
"We note that in his report (S/2008/728), the Secretary-General expresses concern about the security situation in the eastern Democratic Republic of the Congo."	1
"9 - Convention on the laundering, search, seizure and confiscation of proceeds of crime, 1990."	0
"- As much as possible, collect, evaluate, monitor, report and make recommendations on the implementation of measures; Conduct case studies, as appropriate; Conduct in-depth investigation of any other relevant matters as directed by the Committee;"	0
"Report of the Secretary-General on the situation in Somalia (S/2005/392)."	0
"He expresses his deepest sympathy and sincere condolences to the victims of this heinous terrorist act and their family members, and to the government and people of Pakistan."	0
"1 - Confirming all of its previous decisions that it took regarding Iran’s occupation of the three Arab islands belonging to the United Arab Emirates in the Arabian Gulf."	0
"However, it is clear that the effects will not be limited to Yugoslavia alone."	0
"Rather, they insist on treating the case as a secondary immigration crime."	1
"UN peace operations have adjusted their stance accordingly and are thus displaying an increasing tendency to âhunker downâ, limiting the ability of both uniformed personnel and civilian staff to engage with local populations, win their hearts and minds, mediate local disputes, and bring together Information - This is crucial for the implementation of peace agreements and efforts to resolve conflicts."	1
"The risks are undoubtedly high, as failure to meet the deadline set in the Comprehensive Peace Agreement for holding the referendums could have serious consequences."	1
"It is clear that these conditions represent the single greatest obstacle to stability and progress in Afghanistan and that these conditions, if allowed to persist, threaten to undo the progress made during nearly three years."	1
"The impunity of these high-ranking officers is unacceptable and prevents post-conflict societies from recovering sustainably."	1
"The situation in Angola (see S/25070/Add.4, 10, 17, 22, 23, 28, 37, 44 and 50; and S/1994/20/Add.5, 10, 21, 25, 31, 35, 38, 42, 43, 48; and S/1995/40/Add.5, 9, 14, 18, 31, 40 and 50; and S/1996/15/Add.5, 16, 18, 27, 40 and 49; and S/1997/40/Add.4, 8, 11, 12, 15, 26, 29, 34, 39 and 43; S/1998/44/Add.4 and 11; See also S/19420/Add.51; and S/22110/Add.21; (S/23370/Add.12, 27, 37, 40, 43, 48, 51)"	0
"The counter-terrorism measures adopted by the international community at the national and regional levels in accordance with relevant United Nations initiatives will lay a solid foundation for a global system that can confront new challenges and threats under the auspices of the United Nations."	0
"The committee learned that an administrative investigation is being conducted by a committee established by the governor of South Darfur state, given the seriousness of the accusation and its consequences, which requires accelerating the required measures."	0
"The mandate of the Group, set out in paragraph 29 of resolution 1929 (2010), is to:"	0
"Ivorian security forces arrested several national and international journalists (who were soon released as a result of external pressure) and threatened them while carrying out their duties."	0
"8 - We are also deeply concerned about the worsening scourge of terrorism and violent extremism in the Sahel-Sahara region, and about the close links between armed terrorist groups and transnational organized crime, in particular drug and human trafficking networks, money laundering and illicit arms trafficking."	1
"At Abidjan airport, in August 2005, the team saw three new Mitsubishi L-200 4X4 vehicles bearing Ivorian National Army Forces license plates, driving near the military base and carrying personnel and equipment."	0
"âThe Security Council expresses concern about the increasing use of communications technology by terrorists and their supporters to spread extremist ideology that leads to terrorism, to recruit and incite others to commit acts of terrorism, including through the Internet, and to finance and facilitate the travel and activities of foreign terrorist fighters.â that."	1
"However, the crucial element of genocidal intent appears to be missing, at least as far as central government authorities are concerned."	1
"In all these discussions, I was heartened to discover a convergence of views: we all marvel at how much Liberia has achieved since the fighting ended in 2003, but everyone is fully aware of the magnitude of the challenges that still face Liberia, and that we take nothing for granted. Of him in the end."	1
"Reiterating the need for all States and non-State parties to conflicts to fully comply with their obligations under applicable international law, including the prohibition of all forms of sexual violence;"	0
"The Panel has observed that Al-Qaeda, the Taliban and their affiliates use any type of explosive available, such as military explosives in conflict areas, or the elements needed to make an improvised explosive device, including ammonium nitrate, in other areas (S/2007/132, para. 90). ."	0
"At the request of the Central Bank of Somalia, the Office prepared a draft regulation to combat money laundering and terrorist financing, and submitted this draft to the Bank in August 2014."	0
"66. Several regional cooperation mechanisms have been established to strengthen the ability of States to collectively prevent incitement and safe haven for terrorists in Latin America and the Caribbean."	0
"Request additional extrabudgetary resources to establish a gender advisor position at headquarters."	0
"Details will be determined as part of the planning process that will take place in the future."	0
"Scheduled for Wednesday, April 30, 2008, at 10.25 p.m"	0
"Instead, states must establish a clear, complete and consistent legal framework that defines terrorist acts as serious criminal offences, criminalizes such acts according to their seriousness, and assists courts in bringing terrorists to justice."	0
"18- The Eritrean envoy in Mogadishu is Elias Hait Talaz."	0
"In addition, 17 policemen were killed in this attack, all of them belonging to African tribes."	0
"11. In accordance with resolution 1963 (2010), the Executive Directorate will also assist the Committee in organizing a special meeting, open to all members and other stakeholders, to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee."	0
"64 - Mubarak Saleh Harzan Melis Al-Mutairi"	0
"A gender perspective must be part of the reform and training of all security forces."	1
"They are under real pressure from the international community, and any contact between them and a second party puts their security at risk."	1
"Second - Developments that occurred during the period covered by the report"	0
"In a region that is complex and vital for the maintenance of international peace and security, the authorities face great difficulties and constraints when responding to the demands and aspirations of a people eager for reform."	1
"“The Security Council expresses its deep concern about the humanitarian impact of the conflict on the Angolan people."	1
"(g) Al Manbaa Drilling Company (United Arab Emirates): None."	0
"Requests all relevant actors, when negotiating and implementing peace agreements, to take a gender perspective, including, inter alia: (a) Taking into account the special needs of women and girls during repatriation and resettlement and those related to rehabilitation and reintegration post-conflict reconstruction; (b) Take measures that support women's local peace initiatives and indigenous conflict resolution processes, and measures that include women in all mechanisms for implementing peace agreements; (c) Take measures to ensure the protection and respect for the human rights of women and girls, in particular those relating to the Constitution, the electoral system, the police and the judiciary;"	0
"Strongly condemning all acts of violence and attacks committed against civilians in situations of armed conflict, in contravention of applicable international obligations regarding the following cases in particular: (i) torture and other prohibited forms of treatment, (ii) gender-based and sexual violence, (iii) the practice of violence against children, (iv) recruitment of children and use of child soldiers, (v) human trafficking, (vi) forced displacement, (vii) deliberate denial of humanitarian assistance, and calls on all parties to put an end to these practices."	1
"Azerbaijan's refusal to enter into direct negotiations with elected representatives of Nagorno-Karabakh is one of the main obstacles to resolving the conflict referred to by the representative of Azerbaijan."	1
"15 - Providing countries with the means to rebuild and modernize their economies is also of great importance."	0
"Promoting and strengthening the rule of law in the maintenance of international peace and security()"	0
"The police officers stationed at the bridge felt that they had lost control due to the meeting of the two groups of demonstrators. They fired twice in the air and tried to escape."	0
"On that occasion, the President also provided an update on the threat posed by foreign terrorist fighters associated with the Islamic State in Iraq and the Levant and the Al-Nusra Front, pursuant to paragraph 26 of resolution 2178 (2014)."	1
"âThe Security Council recalls all its resolutions and statements on combating terrorism, reiterates its strong condemnation of terrorism in all its forms and manifestations, regardless of the perpetrators, place and purposes, and expresses its determination to use all means to combat terrorism in all its forms and manifestations, in accordance with the Charter of the United Nations and international law, including That includes international human rights law, international refugee rights law and international humanitarian law, as appropriate."	1
"B. The nature and purpose of the procedures"	0
"To avoid a new wave of violence, both parties and the international community must take immediate action."	1
"The establishment of two ministries of Justice and Interior, in a society that is so divided within itself and is still gathering strength after the end of the conflict, could create the impression that they are controlled by one political party or one ethnic sect."	0
"This has limited the effectiveness of the initiative in achieving comprehensive redress for victims."	1
"Calls on all parties to put an end to violence, attacks on civilians and peacekeeping and humanitarian personnel, and other violations of human rights and international humanitarian law..."	1
"Net increase (decrease) in cash and time deposits"	0
"However, my delegation notes with regret that the security situation remains a cause for concern."	1
"16 - In an attempt to contain the outbreak of the Ebola virus, some West African countries closed their borders and stopped commercial flights to the three most affected countries, Guinea, Liberia and Sierra Leone. On August 10, CÃ´te d'Ivoire imposed restrictions on flights to and from the three countries, followed by closing the land borders on August 22."	0
"16 - The situation in the occupied Arab territories (4 May 1976; 13 July 1998)."	0
"âThe Security Council reiterates its call on all parties to armed conflicts to immediately and completely cease all forms of violence against women and girls, including acts of sexual violence."	1
"âThe Security Council strongly condemns the ongoing violence and human rights violations committed by all armed groups, including summary executions, sexual and gender-based violence and the widespread recruitment and use of children, and demands that all armed groups immediately cease all forms of violence and activities.â destabilizing forces and that their members be immediately and permanently demobilized, that they lay down their weapons and that children be released from their ranks, and reiterates that those responsible for human rights violations and violations of international humanitarian law will be held accountable for their actions and should not be eligible for integration into the armed forces or other elements of the state security forces."	1
"4. In an effort to further strengthen monitoring activities related to Member Statesâ implementation of Security Council resolutions 1373 (2001) and 1624 (2005), the Executive Directorate will continue to review the implementation efforts of those States, using the Committeeâs revised evaluation tools (the detailed implementation survey and the overview evaluation implementation), identifying the challenges and needs faced by all Member States and regions, and facilitating the provision of targeted technical assistance in this regard."	0
"âThe Security Council notes that widespread human suffering is a consequence of, and sometimes is a contributing factor to, instability and the continuation of conflict, whether through displacement, violent attack or other atrocities."	0
"435 - General courts are established under the Criminal Procedure Code of 1991, which allows the Chief Justice to form them and determine their jurisdiction."	0
"333- A competitive exchange rate was available for imports of goods and services not covered by the official base exchange rate."	0
"A shift in the Mission's strength alone will not bring about the changes necessary to implement its mandate more effectively; This must include a change in the behavior of some troop-contributing countries."	1
"7 - Requests the Secretary-General to appoint, in accordance with the rules and procedures of the United Nations, once this decision has been taken and after consultation with the Committee, not more than eight persons, including the coordinator of the Monitoring Group, who meet one or more qualifications in the following areas of expertise related to regulatory activities: Al-Qaeda and/or the Taliban including: counter-terrorism legislation and other relevant legislation; Terrorist financing and international financial transactions including banking expertise, alternative money transfer systems, charitable donations and the use of parcel couriers; strengthening borders, including port security, arms embargoes and export controls; drug trafficking;"	0
"(j) Providing sustained donor support to the Integrated Security Detachment;"	0
"According to these decisions, this body must demand that the United States government immediately sentence Luis Posada Carriles for committing acts of terrorism or extradite him to the Bolivarian Republic of Venezuela, whose judicial system has been pursuing him for years."	1
"Report of the Secretary-General on Côte d'Ivoire"	0
"The participants agreed that the presence of Al-Qaeda in the Arabian Peninsula in Yemen poses a major challenge to the peaceful transitional process, and stressed the necessity of providing targeted international support to Yemen to combat terrorism."	1
"The addition of these names also demonstrates the Committee's continuing interest in the threat posed by the Taliban to international peace and security."	1
"It is part of a mantra that is constantly repeated before this Council, and the repetition does not make it more true. It ignores both Palestinian responsibilities and Israeli rights, and does not acknowledge the excessive difficulties faced by Israeli forces in trying to protect their citizens and minimize harm to Palestinian lives while terrorists do not Those you face care more about the lives of Palestinians than they care about the lives of Israelis."	1
"However, this does not prejudice the Commission's conclusion that the Government of Sudan did not pursue a policy of genocide in Darfur."	0
"In addition, in 2007, the International Monetary Fund provided direct budget support in the amount of $60 million as part of its emergency post-conflict assistance, and will provide the same amount of support in 2008, including support for elections and social rehabilitation."	0
"642- However, the Commissionâs conclusion that the government authorities did not pursue or implement in Darfur, directly or through the militias under their control, a policy aimed at genocide should in no way be considered to diminish the seriousness of the crimes committed in that region."	1
"In this regard, we are particularly concerned about the continued lack of progress in the areas of freedom of movement of minorities, sustainable returns and relevant representation of minorities in government structures and in the public sector at large."	1
"81. The ability of commanders to exercise control, maintain situational awareness, and plan and coordinate their activities both vertically and horizontally through the command structure is of central importance to any military or paramilitary operation. Since Al-Qaeda, the Taliban, and those associated with them carry out these activities, they also must possess the necessary means to do so, including communications equipment."	1
"25 countries impose full controls on asylum processes to prevent their misuse by people who have committed terrorist acts."	0
"Liechtenstein has made it a top priority to become a state party to these two conventions as soon as possible."	0
"85 - Unless the differences within the transitional federal institutions are addressed, the current political impasse could develop into deeper divisions and undermine the very institutions that the Somali people yearn for and which the international community and the United Nations stand ready to support."	1
"As the United Nations Support Mission in Afghanistan, we would be irresponsible if we did not appeal to the international community, the Government of Pakistan, the Government of Afghanistan and its national forces to end that situation, especially on the southern border."	1
"It is important to give women, who are the primary victims of violence in all its manifestations, a major role in peacekeeping and peacebuilding, and what is even more important and urgent is to do so in the process of conflict prevention."	1
"51. The success of the transition will be at risk unless elections are held in the Democratic Republic of the Congo no later than 30 June 2006."	1
"This is unacceptable, and must be completely condemned, especially by the Security Council, using the means at its disposal."	1
"2- The situation in the Middle East."	0
"Providing prompt assistance was valuable as it allowed investigators to quickly analyze specific telephone calls made by subscribers to this service and enable them to identify the pattern of calls made by a particular group of subscribers."	0
"Deeply concerned that terrorist groups that benefit from transnational organized crime may contribute to undermining affected States, in particular undermining their security, stability, foundations of governance and social and economic development,"	1
"“The Security Council notes with deep concern the postponement of the first round of the presidential elections, which were scheduled to take place on 29 November 2009 in accordance with the communication of the Permanent Advisory Framework of the Ouagadougou Political Agreement of 18 May 2009, endorsed by all Ivorian political actors."	1
"He added that one of the Chairman's main tasks is also to act as a consensus builder and foster a climate of cooperation within his committee in order to enable it to move forward."	0
"Affirming the obligation of all Member States to fully implement resolution 1373 (2001), including with respect to any member of the Taliban and Al-Qaida, and any individuals, groups, institutions or entities associated with the Taliban and Al-Qaida who may have participated in financing planning, facilitating, preparing for or committing terrorist acts or supporting terrorist acts, as well as its commitment to facilitate the implementation of obligations related to combating terrorism in accordance with the relevant Security Council resolutions,"	1
"At the same time, Germany and the European Union have repeatedly in the past condemned terrorist crimes that resulted in the deaths of hundreds of Israelis."	1
"Finally, we must warn that using the plight of the Arab peoples to achieve self-interests and bring about a change in the regime is not in the interest of international peace and security for the international community, including the Security Council."	1
"The minister said that when the government receives information that there are rebels inside a particular village, it âno longer becomes a civilian locality, but rather a military target.â"	0
"57. The reality remains, however, that the financing of terrorist acts does not follow any clear pattern, especially with regard to local cells that raise funds to support their own activities."	0
"Based on objective reasons, national judicial authorities advance one or both of the following arguments to refute claims for compensation: First, the right to reparation as stated in international humanitarian law is not an enforceable right on its own, and only the victimâs home state directly possesses this right. ; Secondly, there is a peace agreement that prevents individual claims."	1
"Australia, Denmark, France, the United Kingdom of Great Britain and Northern Ireland, Norway, New Zealand, the Netherlands and the United States of America each have departments, dependent territories or overseas territories, each of which has a different degree of autonomy and the ability to determine its own counter-terrorism legislative framework."	0
"We urge the parties to act with restraint and avoid provocative actions or statements that could spark further violence."	1
"The report mentions a number of incidents, especially in the security sector, that cause serious concern."	1
"It is believed that funds paid for the release of detained ships, cargo and crews were used to finance terrorist groups or activities."	1
"Condemns the continued illicit flow of arms into and out of the [Affected State] in violation of the resolutions [providing sanctions], and declares its determination to continue to directly monitor the implementation of the arms embargo and other measures established under its resolutions relating to the [Affected State]."	1
"This is the twelfth report I have submitted to the Secretary-General since I took office as High Representative of Bosnia and Herzegovina and Special Representative of the European Union on 26 March 2009. It covers the period from 21 April 2014 to 21 October 2014."	0
"5 - The Panel's report examines why many States have not yet recognized the full potential of the sanctions regime."	1
"Guidance materials are available to help implement effective practices. In this regard, it is worth noting the paper developed by the Financial Action Task Force on Money Laundering on Best Practices in Detecting and Preventing Illicit Cross-Border Transfers of Cash, Negotiable and Bearer Instruments and the World Customs Organization Guidelines on Enforcement of Measures to Combat Money Laundering and the Financing of Terrorism. ."	0
"While the reform of the security forces is a sovereign prerogative of the State, I encourage the Government to address the fundamental issue of the cohesion of the national army, including by building professional armed forces that are adequately equipped and supplied."	0
"47. Strongly urges Member States to provide all relevant information to the Ombudsman, including any important confidential information, where appropriate, encourages Member States to provide relevant information in a timely manner, and welcomes those national arrangements concluded by Member States with the Office of the Ombudsman to facilitate the exchange of confidential information, encourages Member States to continue to cooperate in this regard, including by entering into arrangements with the Office of the Ombudsman for the exchange of such information, and emphasizes that the Ombudsman must comply with any form of confidentiality restrictions imposed by Member States on The information you provide;"	0
"This is expected to facilitate the distribution of goods."	0
"Instead of the famous logo of the 2014 FIFA World Cup, where three victorious hands hold the globe and draw a map of the world in the form of the prestigious trophy, the Palestinian Authority cartoon shows a âcupâ with three hands wrapped around it, as three people raise their hands in surrender."	1
"As noted above, it has become clear that counter-terrorism measures are most effective when implemented in the context of a broad strategy that includes attention to the factors that contribute to extremism, including ensuring the prevention of those involved in recruiting terrorist groups or inciting terrorist acts. Or discourage them from doing so."	0
"Now top priority must be given to meeting the challenge of establishing local and regional administrations in areas retaken from Al-Shabaab."	1
"At the same time, multiple groups affiliated with Al-Qaeda emerge, often independently, with generational, geographic, ethnic, structural, and operational changes."	0
"634. It is clear from the information collected and verified by the Commission that rape or other forms of sexual violence committed by the Janjaweed militia and government soldiers in Darfur were widespread and systematic and that it is very possible that these acts could be considered a crime against humanity."	0
"It is indeed time for the international community, particularly the Security Council, to take effective measures to confront the illegal and criminal policies and practices of the Israeli regime, and to put an end to its state terrorism against the Palestinian people and other peoples of the region."	0
"(c) Obstructing the freedom of movement of the United Nations Operation in CÃ´te d'Ivoire and the French forces it supports;"	1
"It is believed that terrorists in the region rely mainly on conventional weapons."	0
"Of great concern is the intense rhetoric from both sides, the Republic of Sudan and the Republic of South Sudan."	1
"It is unfortunate that this position has not changed despite the Committee's many attempts to cooperate."	1
"49. UNOCI continued to undertake gender awareness-raising training activities for military personnel, United Nations police and civilian staff, including through weekly awareness-raising statements on various gender-related issues."	0
"âThe Security Council believes that the provision of safe haven for terrorists remains a serious concern; and reaffirms the need for States to enhance cooperation with a view to finding any person who supports, facilitates the financing, planning, preparation or commission of terrorist acts, provides safe haven, participates in, or attempts to Participating in this, not granting safe haven to that person, and bringing him to justice based on the principle of extradition or trial."	1
"âThe Security Council encourages the Mission to continue working, in coordination with the Government of Iraq, to ââhelp create conditions conducive to the voluntary, safe, and sustainable return of Iraqi refugees and internally displaced persons, and welcomes the increased attention of all concerned to this issue."	0
"âThe Security Council recalls resolutions 1267 (1999), 1989 (2011), 1373 (2001), 1540 (2004) and 1624 (2005), as well as other international instruments relevant to combating terrorism, and stresses the need for their full implementation.â It reiterates its call on States to consider becoming parties as soon as possible to all relevant international conventions and protocols, and to fully fulfill the obligations assigned to them under the instruments to which they are parties, and notes the recommendation of the Ad Hoc Committee established pursuant to General Assembly resolution 51/210 Noting the need to devote more time to achieving tangible progress on the outstanding issues, and decides to recommend to the Sixth Committee that it establish, at the sixty-ninth session of the General Assembly, a working group to complete the process related to the draft comprehensive convention on international terrorism."	0
"Because Hezbollah maintains close relations with a number of countries in the region, particularly the Islamic Republic of Iran, as the militiaâs Secretary-General himself has publicly acknowledged, I call on these countries to encourage the armed groupâs transformation into a purely political party and its disarmament, in accordance with the provisions of the Taif Agreement and resolution 1559 (2004), in the best interests of regional peace and stability."	1
"12 - Demands that all parties cooperate fully with MONUC operations and ensure the security and prompt and unimpeded access of United Nations and associated personnel to their destinations when carrying out their mandate throughout the territory of the Democratic Republic of the Congo, and in particular requests that all parties provide access to MONUC military observers To all destinations, including all ports, airports, runways, military bases and border crossings, and that, in addition, the Mission's human rights monitors be granted access to prisons and integration centres, and requests the Secretary-General to report without delay any failure to comply For these demands;"	1
"Meanwhile, President Bashir threatens the international community with revenge, and thus more crimes."	1
"The group remains one of the most powerful extremist armed groups in Iraq."	1
"On 3 July, leaflets were dropped on the Han cities of Pisac, Visegrad and Vlasenica(1)."	0
"18. Gulbuddin Hekmatyar (QI.H.88.03) is essentially considered a threat to peace and security in Afghanistan."	1
"Deeply concerned about the activities of armed groups and acts of banditry in the [area], which threaten the security of the civilian population, the conduct of humanitarian operations in those areas and the stability of those countries, and result in grave violations of human rights and international humanitarian law,"	1
"Third: Freezing financial and economic assets"	0
"Terrorism is undoubtedly one of the most serious threats to international peace and security, and it is a source of grave concern not only for African countries, but for the international community as a whole."	1
"57. The mission obtained information indicating that the death brigades may be composed of individuals close to the Government, the Presidential Guard and a tribal militia from the ethnic group to which the President belongs."	0
"France submitted to the Security Council, pursuant to paragraph 18 of its resolution 2100 (2013), four reports in which it presented information on six combat operations undertaken to confront an âimminent and serious threatâ and highlighted the work carried out by coordination and operational support detachments for the benefit of MINUSMA and the Aid. Which was provided by the French forces in the field of caring for the wounded."	1
"Co-led by Ambassador Gérard Araud (France) and Ambassador Kodjo Minane (Togo)"	0
"A number of training courses were organized; Established standardized implementation procedures; Promotional activities were organized emphasizing country strategies to address gender-based violence. H1. Continue to develop and fully implement codes of conduct and disciplinary procedures for all categories of United Nations staff, relevant individuals and partners to prevent and respond to sexual exploitation, strengthen monitoring mechanisms, and effectively investigate and consider cases of alleged misconduct."	0
"This State indicated that it had used the media and targeted programs to promote tolerance and dialogue among all beliefs and ethnic nationalities, and that a number of its constituent states had established interfaith committees or groups composed of various religious leaders in order to promote understanding and tolerance."	0
"The Deputy Foreign Minister of Afghanistan said that the year was full of achievements that constitute important milestones, but the achievements did not come without a price. He stressed that terrorism still represents a strong threat."	1
"Two versions of these laws are contained in Appendices C and D."	0
"Conduct research to discover the causes of gender disparity in early warning mechanisms, and develop indicators that take the results of that research into account."	0
"Scheduled for Wednesday, September 14, 2011, at 20:10"	0
"Proposing an approach to making the conflict analysis framework gender-sensitive, including taking these considerations into account when developing conflict-related indicators and variables"	0
"Thirteen cells housed two detainees each, while seven cells housed only one detainee each."	1
"Table 50 - Recommended Compensation for Volcra Corporation"	0
"The program will not apply to individuals considered criminals or international terrorists, such as members of Al-Qaeda."	1
"We took note of the concern regarding the implementation of the joint statement of 2 April 2009, which was referred to in the report."	1
"For this reason, the insurgents directed their attacks against government facilities and deliberately avoided attacks on Arab tribes."	0
"âThe Security Council stresses the importance of the commitment of both Ethiopia and Eritrea to laying the foundations for lasting peace in the region, and the Council, while aware of the responsibilities of the United Nations under the Algiers Agreements, remains determined to encourage and assist the two countries to achieve this goal."	0
"As for the military aspects of security sector reform, the government has made clear that it wants to rely largely on bilateral aid to build the military's capabilities."	1
"The Committee recommends that the following persons be tried in connection with the illegal possession, use and transfer of weapons of the National Police Force on 8 May and/or 21 May: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz and Vicente da Concechao, also known as Ray Los , Matos dos Santos Pereira, also known as Mauracan, Leonardo Lobato, also known as Gray Harana, Antonio Lourdes, also known as 55, and Marcos da Silva Piedade, also known as Lapada, Francisco, and Santa Cruz."	1
"This is what makes the Iranian leadership's irresponsible threatening rhetoric even more disturbing."	1
"âThe Council stresses the importance of national ownership, constructive dialogue and partnership between national authorities and the international community in order to help meet priority peacebuilding needs and address the underlying causes of recurring instability."	0
"We are particularly concerned about the indiscriminate proliferation of weapons in Libya and beyond its borders as a result of the conflict."	1
"It is clear from the pattern of destruction that what was detonated was a shipment of highly effective explosives."	0
"âThe Security Council encourages the Regional Task Force to continue its operations against all LRA groups, while at the same time working with the United Nations and non-governmental organizations to establish safe sites to receive defectors and provide information to assist LRA elements who demonstrate a sincere commitment to demobilization and demobilization.â Weapon."	1
"In seeking to frame its discussions in September, the Council should request the Secretary-General to inform it of the scope of the problem posed by foreign terrorist fighters, its implications for ongoing conflicts and the efforts of the United Nations to address it."	0
"I remain concerned that the combination of mistrust between the parties and the continued presence of militias may lead to tensions and potential lack of security and stability in Lebanon and beyond."	0
"65. Prosecuting individuals suspected of involvement in piracy and punishing convicted pirates in accordance with relevant Security Council resolutions is indispensable in order to deter persons who consider committing acts of piracy in the future, as it demonstrates that they cannot escape punishment for their actions. ."	1
"The second reason is to once again call on the Security Council to undertake urgent and necessary action to stop the bloodshed in Syria."	1
"They were also deprived of their liberty and their right to freedom of movement within the Democratic People's Republic of Korea, their right to have their legal personality recognized, and their right not to be subjected to torture and other cruel, inhuman or degrading treatment."	0
"(a) Refrain from providing any form of support, whether explicit or implicit, to entities or persons involved in terrorist acts, including putting an end to the recruitment of members of terrorist groups and preventing the supply of weapons to terrorists;"	1
"It is clear that the conditions for implementing this mechanism are not available in the case of Darfur."	1
"This is an important aspect as it greatly increases the level of frustration among the target population, including supporters or perceived supporters of opposition parties and local groups, and their hatred of the police and security forces."	1
"But we note that without a strong justice and security sector, developing peace and stability can be threatened."	1
