"","es_en_DEEPL","VerCoop"
"490","It is therefore proposed to establish an international compensation commission, composed of fifteen members, ten appointed by the Secretary General of the United Nations and five by an independent Sudanese body.",1
"491","Chronic malnutrition in refugee camps is a serious health problem, and UNHCR and WFP intend to take steps to address it, including through supplementary feeding of vulnerable groups.",1
"492","(c) The first clash in Kisangani was a clear attempt by the RPA and its allies in the CCD (Goma) to stop the regionally-backed verification process to determine whether the Kisangani CCD existed independently of the CCD (Goma), with separate political and military structures and political support or supporters in the liberated territories;",1
"493","The checkpoints were in the Bakahaara, Madina and Sinai districts of the city.",0
"494","The Information and Administration Office will continue to expand and update the Committee's website and increase the number of hyperlinks provided to the websites of the United Nations and other entities with counter-terrorism mandates.",0
"495","In accordance with these recommendations, it is suggested that the Committee: (a) encourage States, before proposing a name for listing and without prejudice to their right to continue the submission, to consider contacting the State of residence or citizenship of the individual proposed for listing; b) clarify the procedure to be followed in cases where innocent individuals may have their assets frozen by a state in error because their name is similar to that of someone on the list; c) require states to refer de-listing requests to the Committee, even if they object to certain requests, so that the Committee is the ultimate decision maker; d) expand the number of states that may submit de-listing petitions; e) seek to reach a decision on de-listing petitions within a set time limit, where possible, and notify the state submitting the petition of the outcome; (f) clarify that de-listing is possible, under certain conditions, in cases where a party has been listed in error and in cases of individuals who renounce terrorism and demonstrate to the satisfaction of the Committee that they are no longer associated with Al-Qaida or the Taliban; and (g) allow, in appropriate circumstances, for the de-listing of names of deceased individuals (S/2005/572, paras. 28, 31 and 55-57 and footnote 26).",1
"496","In this context, Prime Minister Seniora has called for continued United Nations assistance and support for such internal dialogue to resolve the issue of Lebanese and non-Lebanese militias in Lebanon, in full compliance with the Taif Agreement.",1
"497","Consequently, there is no name to submit.",0
"498","3. Recalls also that media equipment and facilities are civilian objects and, as such, may not be subject to attack or reprisals, unless they are military objectives;",0
"499","""The Security Council expresses its sincere appreciation to the President and Prosecutor of the Special Court for Sierra Leone for the briefing presented to the Security Council on 9 October 2012.",1
"500","There was no military necessity to cause the destruction and devastation that took place.",0
"501","13. The situation in Sierra Leone (27 November 1995; 30 November 2012).",0
"502","To be held on Monday, June 25, 2007, at 10:20 a.m.",0
"503","Council members welcomed the training programs organized by the Representative of the Secretary-General and BONUCA to educate the armed forces and police of the Central African Republic on ways to promote respect for human rights and international humanitarian law.",1
"504","7. Reaffirms that ending impunity is essential if a society in conflict or recovering from conflict is to confront the reality of past abuses committed against civilians affected by armed conflict and to prevent such abuses in the future, draws attention to the range of justice and reconciliation mechanisms that may be considered, including national, international and ""mixed"" criminal tribunals and truth and reconciliation commissions, and notes that such mechanisms can promote not only individual accountability for serious crimes, but also peace, peace, justice and reconciliation, including national, international and ""mixed"" criminal tribunals and truth and reconciliation commissions, and notes that such mechanisms can promote not only individual accountability for serious crimes, but also peace, security, reconciliation and victims' rights;",1
"505","The Council also decided that the maximum total strength of the Mission should be 2,370 troops and a police component of up to 2,601 troops, as recommended by the Secretary-General; and urged the Secretary-General to ensure that a troop strength close to the current strength be maintained in the country until his next report to the Council and to alert the Council in that report to any significant changes in the situation.",1
"506","Ukraine ratified the amendment on September 3, 2008.",0
"507","There is documented evidence to corroborate this.",0
"508","the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the expansion of its mandate in resolutions 1989 (2011) and 2083 (2012), noting the important contribution made by the Office of the Ombudsman in enhancing impartiality and transparency, and recalling the strong commitment of the Security Council to ensure that the Office of the Ombudsman can continue to perform its role effectively, in accordance with its mandate,",1
"509","The Committee encourages CTED to continue to focus on the implementation of resolution 1624 (2005), in particular by giving due attention to relevant issues such as the role of new information and communication technologies; the promotion of dialogue, including at the national level, in order to promote tolerance, diversity and inclusion; the development of strategic partnerships between governmental and non-governmental actors; the identification of the role of victims of terrorism; and the need to prevent terrorists and their supporters from using institutions for their own benefit.",1
"510","The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government acceptable to all Afghans can lead to peace and reconciliation.",1
"511","Although it may be some time before the Treaty enters into force, it could be a useful tool for further progress in the implementation of the 1267 sanctions regime.",1
"512","c) Ongoing execution of works to rehabilitate the Geneina airport;",0
"513","We consider it unacceptable to deviate from this principle as the fragile situation of the province could plunge into general destabilization.",0
"514","He indicated that the partnership aimed to develop a strategy for mainstreaming child protection in the activities of the African Union and to institutionalize policies and procedures on child protection in accordance with regional and international standards.",1
"515",":: Social program. This question was not answered.",0
"516","The main aspects of their statements, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2013/3).",1
"517","Now that brokering and related activities have become so prominent in the international arms trade, it is extremely important that countries enact effective laws and regulations to govern today's broad spectrum of arms brokering.",1
"518","Table 2 shows the combined revenues from cocoa and oil exports.",0
"519","I have the honor to transmit herewith the concept note on the counter-terrorism briefing to be held at the Security Council on 27 September 2010 (see annex).",1
"520","As of August 2010, UNAMID had identified 78 potential water drilling sites in and around its operational bases.",0
"521","Urges Member States to ensure increased representation of women at all decision-making levels of national, regional and international institutions and mechanisms for the prevention, management and resolution of conflicts.",1
"522","The Chairman, together with the Chairmen of the Committees established pursuant to resolutions 1373 (2001) and 1540 (2004), which also deal with counter-terrorism issues, held two joint briefings to the Security Council in 2009. The meetings were held on 26 May (see S/PV.6128) and 13 November (see S/PV.6217).",1
"523","The Council stresses the need for the new government, once it has been formed, to work with the international community and to use the transition period constructively for reconciliation, stability and reconstruction.",1
"524","1. Commends the continuing efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, Chairperson of the African Union, and President Thabo Mbeki of the Republic of South Africa, Mediator of the African Union, the Economic Community of West African States (ECOWAS) and regional leaders to promote peace and stability in CÃ´te d'Ivoire, and reiterates its full support for them;",1
"525","In 2006, UNMOVIC incurred administrative costs of approximately $11 million. There was a decrease of $20.7 million compared to $31.7 million in 2005.",0
"526","12. Expresses its support for the inclusion, where appropriate, in peace agreements and in the mandates of United Nations peacekeeping missions, of specific and adequate measures for the disarmament, demobilization and reintegration of former combatants, with special attention to the demobilization and reintegration of child soldiers, as well as clear and detailed provisions for the destruction of excess weapons and ammunition and, in this regard, recalls the statement of its President of 8 July 1999;",1
"527","The weekly quadripartite meetings enabled both sides, as well as UNOMIG and CIS peacekeeping forces, to maintain an ongoing dialogue on issues related to the security of the conflict zone.",1
"528","I would like to take this opportunity to express my appreciation to Mr. Eide for accepting this important mission and preparing an excellent report, as well as for his efforts to help create conditions conducive to progress in the political process.",0
"529","The most critical areas are in the states of Jonglei, Upper Nile Units and Northern Bahr el-Ghazal and flooding is now spreading to Warrab, Western Bahr el-Ghazal, Lagos and Central, Eastern and Western Equatoria.",0
"530","In the resolution, the Council affirmed that the authorizations applied only to the situation in Somalia and would not affect the rights, obligations and responsibilities of Member States under international law in respect of any other situation, including rights or obligations under the United Nations Convention on the Law of the Sea, including the general principle of exclusive jurisdiction of the flag State over its vessels on the high seas, emphasized in particular that the resolution would not be considered precedent under customary international law and noted that such authorizations had been conferred only upon receipt of the letter dated 8 October 2014 containing the request of the President of the Federal Republic of Somalia.",1
"531","United Kingdom of Great Britain and Northern Ireland",0
"532","The Security Council acknowledges the significant achievements in the fight against terrorism and also recognizes that gaps remain in the overall fight against this scourge, urges all Member States and the United Nations system to address these gaps, and stresses the need to ensure that the fight against terrorism remains a priority on the international agenda.",1
"533","The Security Council encourages the United Nations, the African Union, ICGLR and the Southern African Development Community (SADC) and other relevant international and regional organizations to continue to work together, with the sustained participation and support of the international community, towards the implementation of the PSC Framework.",1
"534","Al-Qaida will remain a residual threat for some time in Afghanistan and will also continue to have some influence in the rest of the world.",0
"535","In the light of the above, I recommend that the mandate of MONUSCO be extended for a further period of 12 months and that the Mission's military and police contingent strength be maintained at current authorized levels.",1
"536","The Council of the League of Arab States, meeting at the level of Ministers of Foreign Affairs:",0
"537","Consequently, this part of the claim is not compensable.",0
"538","All three countries mentioned their initiatives to strengthen various anti-terrorism laws and bring them into line with UN resolutions, but lack of capacity prevents effective implementation.",1
"539","In addition, the Monitoring Team traveled twice to Belgium, once to attend the International Civil Aviation Organization symposium and once to meet with representatives of the World Customs Organization, and to France to attend an expert meeting on targeted financial sanctions organized by the Financial Action Task Force and the third plenary session of the Financial Action Task Force.",1
"540","Provisional agenda of the 5750th meeting of the Security Council",0
"541","D. TESTING REQUIREMENTS 39 - 42 17 E. VERIFICATION AND ASSESSMENT 43 - 54 18",0
"542","20. Decides that, in considering de-listing requests, the Committee shall be assisted by an Office of the Ombudsman, to be established for an initial period of 18 months from the date of adoption of the present resolution, and requests the Secretary-General, in close consultation with the Committee, to appoint an individual of high moral character, impartiality and integrity, who is highly qualified and experienced in relevant matters, including legal, human rights, counter-terrorism and sanctions issues, to serve as Ombudsman, with the terms of reference specified in annex II to the present resolution, and further decides that the Ombudsman shall perform these functions independently and impartially, and without seeking or receiving instructions from any Government;",0
"543","There was agreement that MONUC should be reinforced as soon as possible, until it was fully staffed with the personnel established in its mandate, so that it could effectively carry out the tasks assigned to it.",0
"544","The detainee may appeal the decision before a judge. However, there is no guarantee of immediate access to a defense attorney.",0
"545","i) Merchandise received by SCOP: 1,134,470 pounds sterling",0
"546",":: March 14, 2005: a counter-demonstration organized by Christians and Sunnis demands the withdrawal of Syrian troops and the arrest of the head of the security and intelligence services.",0
"547","In this context, the Security Council looks forward to the summit of the International Conference on the Great Lakes Region (ICGLR), to be held on July 31 in Nairobi, to further review developments in the region, including progress in the implementation of the PSC Framework.",1
"548","22. Decides to remain seized of the matter.",0
"549","However, the Security Council must act not only against the perpetrators of the crimes, but also in defense of the victims.",1
"550","1.7 Irish legislation does not currently provide for the use of special investigative techniques.",0
"551","This is the seventh report submitted by the Analytical Support and Sanctions Monitoring Team since it was established in March 2004; it includes familiar topics and a few entirely new ones.",1
"552","To the World Bank and donors",0
"553","The Working Group facilitated and co-chaired an international conference on national and regional counter-terrorism strategies, at which participants identified a set of principles for Member States and regional organizations to consider when formulating their respective strategies.",1
"554","9. Requests the Secretary-General to entrust the Panel established pursuant to paragraph 4 (a) of resolution 1363 (2001), whose mandate expires on 19 January 2002, with monitoring, for a period of 12 months, the implementation of the measures referred to in paragraph 2 of the present resolution;",0
"555","The Commission received credible information that several people had been arrested by security or military intelligence agents.",1
"556","Compensation totaling 100,968 Cypriot pounds is requested.",0
"557","The Commission recommends further investigation to establish whether the following men of Commander Reinado were present at Fatu Ahi: MoisÃ©s Ramos, PlÃ¡cido Ribeiro GonÃ§alves, Deolindo Barros, AntÃ³nio Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson JosÃ© AntÃ³nio da Silva, Joaninho Maria Guterres, Joaquim Barreto, JosÃ© Bomes, Natalino Borges Pereira, AndrÃ© da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Filsberto Garcia, Dario da Silva Leong, Nelson Galucho and Nixon Galucho.",1
"558","Therefore, in examining responsibility for the human rights violations perpetrated during the events of March 25-26, the implications of the presidential decree of March 22 and the instructions issued by the heads of the national armed forces at the March 24 meeting must also be borne in mind.",0
"559","The Security Council stresses that stability and security remain central to the political and economic reconstruction efforts of the Transitional Government and the international community.",1
"560","No State has adopted appropriate measures to protect non-profit organizations from being used for terrorist financing.",0
"561","Officials from organizations and States belonging to these other zones have assured the Team that their systems do not currently affect the ability of member States to prevent the entry of listed individuals, even if they are already inside the zone.",0
"562","At its 6881st meeting, held on December 7, 2012, the Council considered the item entitled ""Briefings by Chairmen of subsidiary organs of the Security Council"".",0
"563","The Council urges MONUSCO, BINUCA, UNMISS and other UN actors present in the LRA-affected region to continue to work with regional forces and NGOs to promote defections and support disarmament, demobilization, reintegration, repatriation and resettlement efforts in the LRA-affected area.",1
"564","The abduction of individuals during Janjaweed attacks and their detention in Janjaweed-run camps, with the support and complicity of government armed forces, are serious human rights violations and amount to enforced disappearances.",0
"565","However, urgent measures are needed to energize the Brigade and, at the same time, get the framework brigades to contribute more actively to both operations to neutralize armed groups and activities to protect civilians.",1
"566","(a) Reiterates its call upon the parties to armed conflict listed in the annexes to the report of the Secretary-General on children and armed conflict to prepare and implement, without further delay, action plans to halt the recruitment and use of children in violation of applicable international law, if they have not already done so;",1
"567","The political debate is likely to intensify, given that several election-related appeals have already been filed with the courts.",0
"568","The West African Economic and Monetary Union's Uniform Anti-Terrorist Financing Act provides for the administrative freezing of terrorist assets.",0
"569","Phone records show that four calls were made to Syrian intelligence officer Jamea Jamea, at 11:42 am, 6:14 pm, 8:23 pm and 8:26 pm. According to a witness, Abdel-Al visited Jamea Jamea's office at 7:30 p.m. on the evening of the explosion, and during the visit they discussed Mr. Abu Adass.",1
"570","b) The deposition of witnesses and the presentation of evidence;",0
"571","In his public statements, Colonel Khaddafi and his family members have continued to threaten citizens with civil war and the possibility of mass killings if protests continue.",0
"572","All States have adopted laws and measures to regulate and monitor the production, sale and transfer of arms and explosives. However, the information provided is not sufficient to assess the effectiveness of the implementation of these measures.",1
"573","3. Loss of profit with respect to a certain contract",0
"574","In Beni, local authorities and civil society have called for MONUSCO forces to participate more actively in military operations against FDA, including by conducting unilateral operations.",1
"575","On September 5, 2011, the Political Parties Registration Commission convened a seminar on legal reform, during which participants discussed the Commission's mandate and recommended, among other things, the revision of the Political Parties Act 2002 to give the Commission legal authority to enforce compliance with the political parties' code of conduct.",1
"576","In accordance with paragraph 1(c) of EC-M-33/DEC.1, the Syrian Arab Republic was to complete the elimination of all chemical weapons-related material and equipment during the first half of 2014.",1
"577","The seminar provided an important opportunity to discuss ways to facilitate the implementation of the resolution, particularly with respect to universal reporting and fuller implementation.",1
"578","The United Kingdom does not issue ""identity cards"" and does not have an internal system of identity cards or similar.",0
"579","Proposed approach to make the conflict analysis framework more gender-responsive, including the development of gender-sensitive indicators and conflict-related variables.",1
"580","The Security Council commends the continued efforts of the Contact Group on Piracy off the Coast of Somalia to coordinate international action on various aspects of the fight against piracy.",1
"581","It also recommends further investigation into the possible involvement of Leandro Issac in the crimes committed.",1
"582","The Committee encourages CTED to continue to explore, with other United Nations entities, the best approaches and means to coordinate United Nations activities, in particular with respect to the harmonization of working methodologies and the programming of counter-terrorism projects.",1
"583","Finally, we need to incorporate victim participation and compensation into the work of these courts in the future.",1
"584","The Force's projects are financed by the member nations themselves, with financial support from the United States of America and the European Union.",0
"585","- Law on Foreign Trade (Official Gazette of the FRY, Nos. 46/92, 49/92 and 16/93);",0
"586","(ii) Investments include securities and other marketable instruments acquired by the Organization to produce income.",0
"587","On November 11, by a recorded vote of 14 in favor and 1 abstention, the Council adopted resolution 2183 (2014), extending the mandate of the Multinational Stabilization Force in Bosnia and Herzegovina (EUFOR Althea) for a further period of 12 months.",0
"588","Acts of torture perpetrated by civilian population",0
"589","The FATF report on typologies Money Laundering and Terrorist Financing through the Real Estate Sector (2008) indicates that there may be links between the real estate sector and terrorist financing.",0
"590","To be held on Thursday, October 30, 2008, at 10:00 a.m.",0
"591","The establishment of the Interpol-United Nations Security Council special notices was made possible by the extraordinarily close cooperation between the two agencies over the past year and the agreement between the Interpol General Assembly and the 1267 Committee.",0
"592","The Commission shall commence its activities on a date to be determined by the Secretary General, which shall be communicated to the Government of Pakistan.",1
"593","The Council encourages international and regional cooperation to trace the origin and transfer of small arms and light weapons to prevent their diversion, including to Al-Qaida and other terrorist groups.",1
"594","(h) During the dialogue phase, the Ombudsman shall give due consideration to the views of the proposing States, as well as to the views of other Member States that have submitted relevant information, in particular those Member States most affected by the acts or associations that led to the original designation.",1
"595","However, I regret the cancellation of the planned seminar in Madeira, Portugal, and urge the parties to continue to explore ways to expand the CBM program.",1
"596","However, paragraphs 15 and 18 are not applicable in Switzerland, since it has no access to the sea.",0
"597","The Council reiterates the importance of addressing the peacebuilding needs of women and ensuring their participation in the development and implementation of post-conflict strategies.",1
"598","Likewise, he added, one of the main roles of the chairmen was to build consensus and promote a collaborative environment in their committees, thus facilitating the progress of their work.",1
"599","Recalling the adoption of resolution 2122 (2013) and reaffirming its intention to pay increased attention to women, peace and security issues in all relevant thematic areas under its consideration, in particular threats to international peace and security caused by terrorist acts,",1
"600","52. Reiterates the need for closer cooperation among the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, where appropriate, through enhanced exchange of information, coordination of country visits as part of their respective mandates, facilitation and follow-up of technical assistance, relations with international and regional organizations and agencies, and other matters of importance to the three committees, expresses its intention to provide guidance to the committees on matters of common interest in order to better coordinate their activities and facilitate such cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to share facilities as soon as possible;",1
"601","The use of military components for critical functions can increase the reliability of entire systems, for example, the use of military explosives and detonators in improvised explosive devices.",0
"602","(f) The dismantling and disarmament of all armed groups, including the so-called parallel forces, with due attention to the possible integration of the members of these forces into the normal security structures of the State on the basis of their retraining and their full compliance with applicable international human rights and humanitarian law;",0
"603","2. Implementation of resolution 1624 (2005)",0
"604","Calls upon States that have not yet done so to consider ratifying the main instruments of international humanitarian, human rights and refugee law and to take the necessary legislative, judicial and administrative measures for the implementation of those instruments at the national level, seeking technical assistance, where appropriate, from relevant international organizations, including the International Committee of the Red Cross and United Nations bodies.",1
"605","Reiterating the obligation of Member States to prevent and suppress the financing of any act of terrorism, as well as to criminalize the intentional provision or collection, by any means, directly or indirectly, of funds by their nationals or on their territory with the intention that such funds should be used, or in the knowledge that they are to be used, in order to perpetrate terrorist acts,",1
"606","They also noted that the dissemination of greater information about the harmful effects of piracy had brought about positive changes in former piracy hotspots.",1
"607","Mr. Zeid RaÊ¼ad Zeid Al-Hussein (Jordan) and then Ms. Dina Kawar (Jordan) served as Chairperson of the Bureau of the Committee. The representatives of Luxembourg and Rwanda served as Vice-Chairmen.",0
"608","The Australian government, which currently holds the chairmanship of the Wassenaar Arrangement, has presented the Association of Southeast Asian Nations (ASEAN) Regional Forum with an initiative to reduce the threat posed by man-portable air defense systems.",1
"609","Therefore, with the support of the international community and the parties to the conflict, the ceasefire agreement can be fully implemented in earnest.",1
"610","In this context, it was noted that, in addition to making a crucial contribution to the fight against impunity in its own right, the establishment of ad hoc tribunals by the Council had had a powerful impact at the national level: the existence and work of the ICTY had spurred the establishment of national courts to prosecute war crimes in Bosnia and Herzegovina, Croatia and Serbia; and the establishment of the ICTR generated considerable pressure to reform Rwanda's judicial system.",0
"611","Several states are still trying to institutionalize the necessary capacity and coordination in their law enforcement systems.",0
"612","Claim reclassified to loss of property, plant and equipment and cash.",0
"613","The technical assessment mission met with a wide range of international and Ivorian stakeholders, including President Gbagbo, Prime Minister Soro, the Chiefs of Staff of the Ivorian defense and security forces and of the Forces Nouvelles, representatives of the political parties and leaders of the national institutions responsible for the implementation of the main processes envisaged in the Ouagadougou Agreement.",1
"614","Paras. 45-49, 53-55; paras. 45-48; para. 57",0
"615","Maintaining an ongoing dialogue with troop- and police-contributing countries on increasing the proportion of women in national contingents through, inter alia, the organization of meetings to discuss best practices to promote gender balance and gender mainstreaming in the work of uniformed personnel in peacekeeping operations.",1
"616","Border control, domestic security and law enforcement measures are fully implemented in most States, although some States have not provided sufficient information to assess the situation in some specific areas. a) Encourage the adoption of measures to improve the capacity to freeze without delay funds and assets linked to terrorism in most States, and to protect the non-profit sector from misuse for terrorist financing;",1
"617","""(a) To determine the facts and circumstances related to the incidents that occurred on April 28-29 and May 23, 24 and 25, as well as other related events or problems that led to the crisis, including issues related to the functioning of the security sector;",0
"618","The Security Council stresses the need to sustainably address the root causes of the conflict in the eastern Democratic Republic of the Congo and reiterates its support for the implementation of commitments under the Peace, Security and Cooperation Framework for the Democratic Republic of the Congo and the Region, which is essential to achieving lasting peace and security in the Great Lakes region.",1
"619","The international community must take responsibility for protecting the civilian population of Darfur and end the endemic impunity there.",1
"620","Noting the progress made in reforming the judicial system, in particular the establishment of the Constitutional Court, the Court of Cassation and the Council of State, as provided for in the Constitution, the Minister of Justice emphasized the importance of establishing courts in each of the 145 territories to effectively restore the authority of the State and settle disputes at the local level.",0
"621","What distinguishes this category of crimes from the category of war crimes is that they are not isolated or sporadic infractions but transgressions that a) can occur both in peacetime and in a time of armed conflict and b) are part of a widespread or systematic practice of atrocities (or attacks) against the civilian population.",0
"622","In order to continue to purge the List of inappropriate entries, the Team recommends that when the Committee conducts its triennial review, it invite nominating States to submit requests for de-listing of names that lack sufficient identifying information to enable effective implementation of the measures.",1
"623","In order to facilitate consideration by the Security Council, as appropriate, of issues relating to the protection of civilians in its deliberations on the establishment, modification or termination of peacekeeping operations, Council members suggested that an aide-memoire be drafted, in close cooperation with the Council, listing relevant issues in this regard.",1
"624","One speaker noted that the work of the experts assisting the sanctions committees should be studied in depth by making on-site visits to study the existing situation.",1
"625","VI. COOPERATION OF THE OBSERVER MISSION OF THE NATIONS OF THE WORLD",0
"626","The note proposes that the Security Council initiate a formal ""strategic review"" process to consider how the intersection of cross-border crime and terrorism may affect its conflict prevention and resolution work, particularly in Africa, and to examine the tools at its disposal to reduce the strategic space that cross-border crime provides to terrorist groups.",1
"627","By winning 41 of the 83 seats in the Republika Srpska National Assembly, Mr. Dodik came close to an absolute majority and more than doubled SNSD's previous 19 seats.",0
"628","This would not affect the Commission's conclusion that the Government of the Sudan has not pursued a policy of genocide in Darfur.",1
"629",":: Import regulations and customs data on diamond imports.",0
"630","Decides that the [Mission] shall have the following mandate: Protection and Security (a) Protection of Civilians .... - To revise the comprehensive strategy for the protection of civilians and coordinate it with the United Nations strategy on the protection of civilians, in collaboration with the United Nations country team, to take into account new realities on the ground and the specific needs of vulnerable groups, and to include measures to prevent gender-based violence, in accordance with resolutions 1960 (2010) and 1882 (2009). - Work closely with humanitarian agencies, in particular with regard to areas of tension and return of displaced persons, identify and gather information on potential threats to the civilian population, as well as reliable information on violations of international humanitarian and human rights law, bring them to the attention of the Ivorian authorities as appropriate, and take appropriate action in accordance with the United Nations system-wide strategy on protection and in line with the [Mission's] protection strategy.",1
"631","The guidelines were therefore forwarded to the ILO for consideration and possible action.",1
"632","In addition, they decided to exert more pressure for the disarmament of militias operating in eastern DRC and to negotiate bilateral treaties for the extradition of active militia leaders.",1
"633","MPCI fighters informed the Mission that there were additional mass graves in the combat zones, a total of five new graves, three of them in Man and two in DananÃ© (72 km from Man).",1
"634","Began on November 27, 2003. Resumed on September 19, 2005.",0
"635","The Council looks forward to the follow-up meeting to be held in Port-au-Prince on September 22 and 23, taking into account the priorities defined by the Haitian Government's Interim Cooperation Framework.",1
"636","99. With respect to this claim, the Group applied, where appropriate, the specific evidentiary requirements described in paragraphs 215 to 217 of the first E/F report.",0
"637","They also reiterated their serious concern regarding the problems of terrorism, piracy, hostage-taking and the grave humanitarian situation. In this context, they stressed the need for the prompt implementation of all relevant Security Council resolutions, including those to be implemented by the Transitional Federal Institutions, as appropriate.",0
"638","At the Council's request, the Monitoring Team continued to organize regional meetings with the heads and deputy heads of intelligence and security services to discuss possible modifications to the sanctions regime to address changes in the threat posed by Al-Qaida-linked terrorism.",1
"639","The Security Council recognizes that terrorism will not be defeated by military force, law enforcement and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including, inter alia, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness in order to provide a viable alternative to those susceptible to recruitment by terrorists and radicalization to violence.",1
"640","Beyond the immediate application of sanctions, the delegations were particularly interested in sharing their experiences in the field of reintegrating terrorists into society.",1
"641","It should be added that the concept of superior responsibility also applies to internal armed conflicts, as has been authoritatively held by international criminal tribunals. The legal opinion of States concurs in this respect.",1
"642","All this requires an extremely determined fight against entrenched non-state actors, whose existence represents a threat and an obstacle to the full exercise of the sovereignty of the Afghan state.",0
"643","Economic issues, and in particular investment, are also of deep concern.",0
"644","The Council encourages the establishment or strengthening, as appropriate, of subregional or regional mechanisms for cooperation, coordination and information exchange, in particular cross-border customs cooperation and information exchange networks, with a view to preventing, combating and eradicating the illicit trade in small arms and light weapons across borders.",1
"645","However, the above figures may vary due to changes in flight frequency, weather conditions and other variables.",0
"646","In order to identify the perpetrators, the Commission decided that there must be a plausible body of background information consistent with other corroborated circumstances that tends to indicate that there is reason to suspect that a person is involved in the commission of a crime.",0
"647","Several witnesses stated that abusive and insulting language was used with the detainees, who were often referred to as ""slaves"".",0
"648","It was expected that resolution 1521 (2003) and resolution 1532 (2004), which called for the freezing of assets, would be made available for the national process to compensate victims, as compensation was not included in the Tribunal's mandate.",1
"649","Reiterating the need for all States and non-State parties to conflict to comply fully with their obligations under applicable international law, including the prohibition of all forms of sexual violence,",1
"650","At the 7109th meeting of the Security Council, held on 12 February 2014, in connection with its consideration of the item entitled ""Protection of civilians in armed conflict"", the President made the following statement on behalf of the Council:",1
"651","The States of the subregion have not indicated the procedures or mechanisms used to prevent and eliminate the movement of terrorists across borders.",0
"652","Some have argued that these societies should, in any case, take steps to shut down permanently sites that teach terrorist techniques such as the production of explosives or the use of weapons that are likely to cause mass casualties.",1
"653","He posed key questions to guide the discussion on the role of the Security Council in ensuring accountability, including the following: What lessons could be learned and good practices identified from the steps taken by the Council to ensure criminal accountability? What are the challenges facing the various fact-finding mechanisms? How can reparations be given greater prominence in achieving accountability? What further steps could the Council take to ensure accountability for violations during armed conflict?",1
"654","Tunisia ratified the International Convention on Container Security by Law No. 53 of 2004, dated July 12, 2004.",0
"655","Aware that no country in the subregion is in a position to implement these recommendations on its own, BONUCA will facilitate, when requested, together with subregional and regional organizations, cooperation among these countries to put a lasting stop to the cross-border insecurity caused by armed groups and roadblocks.",1
"656","In this alliance, the means and methods of operations are better delineated.",0
"657","Preventing radicalization and extremism among youth, in particular, should be a priority area of intervention.",1
"658","The forces comprising the Multinational Force will remain committed to acting in accordance with their obligations under international law, including the law of armed conflict.",1
"659","Report of the Secretary General on the situation in Abyei",0
"660","Report of the Secretary-General on Darfur (S/2006/591 and Add.1).",0
"661","Despite the progress made thus far, it is imperative that the parties to the CPA and all relevant authorities redouble their efforts to effectively meet the referendum deadline.",1
"662","I would also like to convey my appreciation to the countries contributing troops and police to the Mission.",1
"663","11. Also declares its readiness to consider how peacekeeping mandates could more effectively address the negative effects of armed conflict on the civilian population;",1
"664","I call on the donor community to contribute generously to Landmine Action's demining activities, which are essential for the safety of the local population and UN military and civilian personnel in Western Sahara.",1
"665","Changes are needed to the process by which reasons for delisting or retention are communicated to ensure that they are communicated in a timely manner and provide substantive content that adequately reflects the independent reviewer's analysis and conclusions.",1
"666","January 9, 2006 Timor-Leste-FALINTIL and the Timor-Leste Defense Forces (F-FDTL) submit a written request to Brigadier General Taur Matan Ruak and President GusmÃ£o.",1
"667","In total, through interviews with 116 eyewitnesses and 12 indirect witnesses, the investigation team gathered information on attacks against 51 villages and 11 cases of rape.",0
"668","The Council considers the expansion of rule of law activities to be central to peacebuilding strategies in post-conflict societies and emphasizes the role of the Peacebuilding Commission in this regard.",1
"669","13. Urges the international community to provide support and assistance to enable states to fulfill their responsibilities for the protection of refugees and other persons protected by international humanitarian law;",1
"670","In 2006, 136 incidents of collective abductions were recorded, involving a total of 324 children, 210 of them in November 2006 and the rest between May and December of the same year.",0
"671","Affirming its determination to take appropriate and effective measures to combat any threat to international peace and security caused by the proliferation of nuclear, chemical and biological weapons and their means of delivery, in accordance with its primary functions as set forth in the Charter of the United Nations,",1
"672","Thus, when no State objects or submits a de-listing request or when the information submitted is insufficient or contradictory, the matter could be referred to the Office of the Ombudsman.",1
"673","The two parties stressed the importance of embarking on this new phase in collaboration with regional and international partners, whom they invited to endorse and support the initiatives undertaken in line with the objectives set by the international community to preserve Mali's territorial integrity and sovereignty and strengthen its national unity.",1
"674","c) Regularly update the List referred to in paragraph 1;",0
"675","Relations between Sierra Leone and Liberia",0
"676","""Article 299-1 Organization of prohibited social associations.",0
