"en_ar_GOOGLE"	"VerConf"
"(2) تشمل الاستثمارات الأوراق المالية القابلة للتداول وغيرها من الصكوك القابلة للتداول التي تحصل عليها المنظمة لتحقيق الدخل."	0
"وتقوم البعثة أيضا بمساعدة المفرزة الأمنية المتكاملة في إنشاء مكتبة مرجعية ستتضمن مواد دعم تعليمية لتدريب أفراد المفرزة في المستقبل."	0
"وعلينا أن نعترف بقلقنا البالغ إزاء الحالة المستمرة في أفغانستان."	1
"وأشار السفير إلى أن للمجلس أيضًا دور مهم يؤديه في تعزيز المساءلة عن مثل هذه الجرائم وغيرها من انتهاكات القانون الإنساني الدولي وقانون حقوق الإنسان."	0
"ويسرني أن أشير إلى أن المجلس أقر بأهمية زيادة التنسيق وتبادل المعلومات بين الجهات الفاعلة المشاركة في مراقبة حظر الأسلحة."	0
"3. الوضع في قبرص (27 كانون الأول/ديسمبر 1963؛ 30 نيسان/أبريل 2009)."	0
"في البداية، لا بد لي من التعبير عن قلقنا الشديد إزاء الوضع الأمني في البلاد."	1
"&quot;ويدرك مجلس الأمن كذلك أن المنظمات الإقليمية ودون الإقليمية في وضع يسمح لها بفهم الأسباب الجذرية للعديد من الصراعات وغيرها من التحديات الأمنية القريبة منها، والتأثير على منع نشوبها أو حلها، نظرا لمعرفتها بالمنطقة."	0
"ويمكننا أن نستمر بذكر الفقر المنتشر، والمشاكل في إدارة الموارد الطبيعية، وآلاف اللاجئين والمشردين داخليا، وآلاف أخرى من المقاتلين السابقين الذين ينتظرون إعادة إدماجهم، وقطاعات الأمن الضعيفة وغير القابلة للإصلاح، والانتهاكات الجسيمة لحقوق الإنسان والعديد من التهديدات الأخرى التي تهدد وربما يشعل صراعا جديدا."	1
"وقد جرمت عدة دول التجنيد بغرض ارتكاب أعمال إرهابية."	1
"إنهم يتعرضون لضغوط حقيقية من المجتمع الدولي وأي اتصال متبادل يهدد أمنهم."	1
"ورغم أن تصرفات حزب الله مؤسفة، وكما قلت، فإن لإسرائيل الحق في الدفاع عن نفسها، إلا أن الاستخدام المفرط للقوة يستحق الإدانة."	1
"10 - يطلب كذلك إلى الفريق العامل المنشأ بموجب الفقرة 9 أن ينظر في إمكانية إنشاء صندوق دولي لتعويض ضحايا الأعمال الإرهابية وأسرهم، والذي يمكن تمويله من خلال المساهمات الطوعية، والتي يمكن أن تتكون من جزء من الأصول المصادرة من المنظمات الإرهابية. وأعضائها والجهات الراعية لها، ورفع توصياتها إلى المجلس."	0
"وأعلنت إيران أن مستوى التخصيب لمنتج سادس فلوريد اليورانيوم يبلغ 19.89%."	0
"3 - ثريا الخضر مكي توتو"	0
"ويشير تقرير بعثة التقييم إلى القلق المتزايد بشأن الآثار الإنسانية والاقتصادية للأزمة على منطقة الساحل."	1
"(ي) الاحتجاز غير المشروع والمعاملة التعسفية في السجون الإريترية والمعاملة اللاإنسانية وسوء مستويات الغذاء والإقامة في معسكرات الاحتجاز؛"	0
"ومن شأن حجب هذا المستوى من التمويل أن يشل أي حكومة، ناهيك عن سلطة تحت الاحتلال. وإذا لم يتم الإفراج عن الأموال على الفور، فإن هذا الإجراء سيهدد مكاسب بناء الدولة التي حققتها السلطة الفلسطينية، بما في ذلك زيادة الحكم الرشيد الذي يستفيد منه الشعب الفلسطيني وتطوير قوات الأمن التي تحافظ على القانون والنظام في الضفة الغربية."	1
"وقد شارك في قيادة الجزء الخاص بكوت ديفوار والجماعة الاقتصادية لدول غرب أفريقيا من البعثة السفير جيرار أرو من فرنسا والسفير كودجو مينان من توغو."	0
"ستعقد جلسة خاصة يوم الثلاثاء 30 أبريل 2013 الساعة 9.30 صباحا"	0
"وتزايدت العمليات العسكرية وعمليات الشرطة، إلى جانب التحركات المستهدفة ضد زعماء العصابات، في المناطق المتضررة من عنف العصابات."	0
"ويحدد التقرير القضايا المثيرة للقلق ويختتم بحث النساء الصوماليات على أن يثير المجتمع الدولي القضايا المتعلقة بالجنسين، بما في ذلك مع القادة الصوماليين."	1
"ولم تصبح خمس دول بعد طرفا في بروتوكول الأسلحة النارية، ولكن جميعها تقريبا قدمت تشريعات لمنظمة الدول الأمريكية تجرم تصنيع وحيازة والاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة والذخيرة والمتفجرات."	1
"&quot;ويكرر مجلس الأمن أن التهديد المتزايد الذي يشكله المقاتلون الإرهابيون الأجانب يشكل جزءا من القضايا والاتجاهات والتطورات الناشئة المتعلقة بالقرارين 1373 (2001) و 1624 (2005)، ويشجع لجنة مكافحة الإرهاب على عقد اجتماعات خاصة في عام 2015 بمشاركة الدول الأعضاء والمنظمات الدولية والإقليمية ذات الصلة لمناقشة سبل وقف تدفق المقاتلين الإرهابيين الأجانب، ومنع الإرهابيين من استغلال الإنترنت ووسائل التواصل الاجتماعي لتجنيد الأعمال الإرهابية والتحريض عليها، مع احترام حقوق الإنسان والحريات الأساسية، وامتثالاً للالتزامات الأخرى بموجب القانون الدولي، ويشير في هذا الصدد إلى أهمية عقد اللجنة اجتماعات في المناطق المتضررة بشأن القضايا المتعلقة بولاية اللجنة."	1
"أُعيد تصنيف المطالبة إلى المطالبة المتعلقة بخسارة الممتلكات المادية والمخزونات والمركبات."	0
"وبطبيعة الحال، فإن كل ركيزة لها &quot;أصول&quot; مؤسسية مختلفة وأساليب وأطر زمنية مختلفة."	0
"الفقرة الفرعية 3 (و) و (ز)"	0
"وينص مشروع القانون، الذي سيعرض على البرلمان، على تخصيص ما لا يقل عن 30 في المائة من مقاعد البرلمان للنساء؛ تخصيص دائرة واحدة في كل دائرة انتخابية على مستوى المجالس المحلية للمرشحات؛ وأن تقوم الأحزاب السياسية بتخصيص مقاعد &quot;آمنة&quot; للمرشحات."	0
"المقرر عقدها يوم الخميس 14 حزيران/يونيه 2007، الساعة 12.15 ظهراً"	0
"&quot;ويشير مجلس الأمن إلى أن العدالة وسيادة القانون على المستوى الدولي لهما أهمية رئيسية لتعزيز وصون السلام والاستقرار والتنمية في العالم."	0
"ومع ذلك، كما هو الحال مع القيود الزمنية، فإن التغيير في تصويت الأغلبية من شأنه أن يوفر مزيدًا من التوازن لإجراءات اللجنة الحالية التي تتطلب قرارًا بالإجماع بشطب اسم ما، بحيث يمكن الإبقاء على القائمة حتى لو لم تكن مقبولة لدى اللجنة بأكملها إذا تم اقتراحها في ظل الظروف الحالية."	0
":: 14 آذار/مارس 2005، مظاهرة مضادة بقيادة مسيحية/سنية تطالب بانسحاب القوات السورية واعتقال رئيس جهاز الأمن والمخابرات."	1
"11 - يعرب عن استعداده للنظر في الكيفية التي يمكن بها لولايات حفظ السلام أن تعالج بشكل أفضل الأثر السلبي للصراعات المسلحة على المدنيين؛"	0
"وأتمنى له التوفيق في مساعيه المستقبلية."	0
"&quot;ويقر مجلس الأمن بالإنجازات الهامة التي تحققت في مكافحة الإرهاب، ويقر أيضا بوجود ثغرات في المكافحة الشاملة لهذه الآفة، ويحث جميع الدول الأعضاء ومنظومة الأمم المتحدة على معالجة هذه الثغرات، ويشدد على ضرورة ضمان أن تكون مكافحة الإرهاب يبقى أولوية على الأجندة الدولية."	0
"ثانيا. التطورات خلال الفترة المشمولة بالتقرير"	0
"إن إسرائيل ملزمة بموجب القانون الدولي وباعتبارها القوة المحتلة بحماية المدنيين الفلسطينيين، وخاصة الأطفال، وحماية الممتلكات المدنية."	1
"139- إحدى هذه الجماعات هي الحركة الوطنية للإصلاح والتنمية. وفي 6 حزيران/يونيه، أصدرت الحركة الوطنية للإصلاح والتنمية بيانا ذكرت فيه أنها ليست طرفا في اتفاق وقف إطلاق النار المبرم بين الحكومة وحركة/جيش تحرير السودان وحركة العدل والمساواة في نيسان/أبريل، وأنها ستقاتل الحكومة."	1
"وخارج المنطقة الخاضعة لمسؤولية بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد، في شرق تشاد، هناك تطورات أخرى تثير القلق أيضاً."	1
"ويجب على المجلس أن يدعو إلى الوقف الفوري لجميع العمليات العسكرية في غزة وانسحاب قوات الاحتلال الإسرائيلية من تلك المنطقة."	1
"11- يقرر إبقاء المسألة قيد نظره."	0
"&quot;ويكرر مجلس الأمن إدانته الشديدة لتدنيس وإتلاف وتدمير المواقع ذات الأهمية المقدسة والتاريخية والثقافية، ولا سيما، على سبيل المثال لا الحصر، المواقع المدرجة على قائمة اليونسكو للتراث العالمي، بما في ذلك مدينة تمبكتو."	1
"وبحلول نهاية هذا العام، نتوقع أن تكون الأدوات اللازمة لإنفاذ القانون بشكل أكثر فعالية في مجال مكافحة المخدرات جاهزة."	0
"وهناك عدد صغير غير قادر على تنفيذ التدابير على الإطلاق، ويستطيع الإرهابيون انتهاك حظر الأسلحة متى شاءوا."	0
"ومع ذلك، يظل الوضع الأمني مصدر قلق حقيقي للجميع، على الرغم من انخفاض الأحداث المتعلقة بالأمن في ديسمبر 2011 ويناير 2012، مقارنة بفترة الشهرين السابقة المشمولة بالتقرير من العام الماضي."	1
"والواقع أن أذربيجان نفسها تنتهك تلك القرارات، التي تحث الأطراف المعنية على مواصلة المفاوضات في إطار مجموعة مينسك التابعة لمنظمة الأمن والتعاون في أوروبا، وكذلك من خلال الاتصالات المختلفة فيما بينها."	1
"&quot;ويعرب مجلس الأمن عن قلقه إزاء تزايد استخدام الإرهابيين ومناصريهم لتكنولوجيا الاتصالات بغرض نشر التطرف المفضي إلى الإرهاب، وتجنيد الآخرين وتحريضهم على ارتكاب أعمال إرهابية، بما في ذلك عن طريق الإنترنت، وتمويل وتسهيل سفر الإرهابيين والأنشطة اللاحقة التي يقومون بها المقاتلين الإرهابيين الأجانب."	1
"ووفقا للتفاهم الذي تم التوصل إليه بين أعضاء المجلس، أود أن أذكر جميع المتكلمين بأن لا تزيد مدة بياناتهم عن خمس دقائق، حتى يتمكن المجلس من إنجاز أعماله على وجه السرعة."	0
"وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية."	0
"وجرى خلال الاجتماع تبادل واسع النطاق لوجهات النظر حول تنفيذ قرارات مجلس الأمن وممارسة مبدأ تقرير المصير."	0
"وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،"	0
"يكرر دعوته السلطات [الوطنية] إلى وضع حد للإفلات من العقاب، بما في ذلك عن طريق تقديم مرتكبي الانتهاكات الجسيمة لحقوق الإنسان والقانون الإنساني الدولي إلى العدالة دون تأخير، ومراعاة ذلك عند اختيار المرشحين للمناصب الرسمية، بما في ذلك المناصب الرئيسية في القوات المسلحة والشرطة الوطنية وغيرها من الأجهزة الأمنية، وأعمال المرشحين السابقة فيما يتعلق باحترام القانون الإنساني الدولي وحقوق الإنسان."	1
"ومن المهم بالتالي ألا تغفل الدول عن هذا العنصر من عناصر الحظر. وقد ترغب اللجنة في تذكيرهم بذلك كلما سنحت الفرصة، وتشجيعهم على تقديم أسماء أولئك الذين يقدمون &quot;المشورة أو المساعدة أو التدريب التقني فيما يتصل بالأنشطة العسكرية&quot; لإدراجها في القائمة (القرار 1617 (2005)، الفقرة 1 (ج) ) في انتهاك للتدابير."	1
"ومن الواضح أن كافة مؤسسات القانون والنظام في العراق تواجه تحديات خطيرة."	1
"ويشير الأمين العام في تقريره إلى قدر من التحسن في جميع هذه المجالات باستثناء القضية المركزية المتمثلة في إصلاح الحكم المحلي، وعلى وجه الخصوص، اللامركزية، التي لم يحرز فيها تقدم."	1
"77- وتتم عمليات استخراج الجثث بمساعدة المجتمع الدولي."	0
"وتتطلب توصيات البعثة في هذا الصدد دراسة جادة."	0
"وستخلف السيدة تاغليافيني السيد ديتر بودين في هذه المهام."	0
"(د) ترقيم ما يصل إلى 48 صفحة بالترتيب التسلسلي؛"	0
"ويتطور فهم حقيقي للتحديات التي يواجهها كل بلد على حدة."	1
"ويظل ذلك مصدر قلق مستمر بالنسبة لنا."	1
"ويساورنا القلق أيضا إزاء الحالة التي يواجهها أولئك الذين يشاركون في إعادة إعمار البلد."	1
"4. يقرر إبقاء المسألة قيد نظره."	0
"ونحن ندين بشكل خاص أية محاولات لإجبار بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو على القيام بأي نوع مما يسمى بالحكم المشترك، وكذلك أي تدخل في السلطات المخصصة للممثل الخاص."	1
"وإذ يشير إلى البيان الرئاسي الصادر عن مجلس الأمن (S/PRST/2012/17) المؤرخ 4 أيار/مايو 2012 بشأن التهديدات التي يتعرض لها السلام والأمن الدوليان بسبب الأعمال الإرهابية،"	1
"وتنص لائحة إدارة الأمم المتحدة الانتقالية رقم 2001/5 بشأن الأسلحة النارية والذخائر والمتفجرات والأسلحة الهجومية الأخرى في تيمور الشرقية على جرائم مختلفة فيما يتعلق بالأسلحة."	0
"إلى حكومة سريلانكا"	0
"وإذ يقرر أن الحالة في الصومال لا تزال تشكل تهديدا للسلم والأمن الدوليين في المنطقة،"	1
"ويعرب المجلس عن بالغ قلقه لأن المدنيين ما زالوا يشكلون غالبية ضحايا أعمال العنف التي ترتكبها أطراف النزاعات المسلحة، بما في ذلك نتيجة الاستهداف المتعمد، والاستخدام العشوائي والمفرط للقوة، واستخدام المدنيين كدروع بشرية، واستخدام القوة بشكل عشوائي ومفرط، واستخدام المدنيين كدروع بشرية. العنف الجنسي والعنف القائم على النوع الاجتماعي، بالإضافة إلى جميع الأعمال الأخرى التي تنتهك القانون الدولي المعمول به."	1
"وترد التشريعات ذات الصلة في المرسوم رقم 3.665 المؤرخ 20 نوفمبر 2000 (R-105)."	0
"11- يقرر إبقاء المسألة قيد نظره."	0
"وقد يكون هؤلاء الأفراد مسؤولين، بموجب مبدأ العمل الإجرامي المشترك، عن جرائم حرب ارتكبت أثناء الهجمات، وهي قتل المدنيين وتدمير الأعيان المدنية والنهب."	0
"يتضمن هيكل قوات الدرك الوطنية ما يلي:"	0
"ولم يقدم سوى عدد قليل من الدول المبلغة معلومات عن التدابير التي اتخذتها لمنع إساءة استخدام الجمعيات الخيرية أو غيرها من المنظمات غير الربحية. لكن 63 منها تطلب من المنظمات غير الربحية الحصول على ترخيص أو التسجيل."	0
"118 - توضح المعلومات المقدمة لهذه الدراسة الاستقصائية أن التحريض على ارتكاب أعمال إرهابية، في رأي العديد من الدول، لا يزال يمثل خطرا وتهديدا خطيرا في معظم أنحاء العالم، وإن كان بدرجات متفاوتة."	1
"يرد مرفق طيه برنامج عمل اللجنة المنشأة عملا بالفقرة 6 من قرار مجلس الأمن 1373 (2001) الذي يغطي الفترة من 1 تموز/يوليه إلى 31 كانون الأول/ديسمبر 2009 (انظر المرفق)."	0
"وهدد ضباط وحدة الاستجابة السريعة الشرقية بحمل جثة المتوفى في شوارع ديلي قبل نقلها إلى منزل القائد العام مارتن."	1
"الاجتماع 316 أديس أبابا، إثيوبيا 3 أبريل 2012"	0
"10 - ولمواصلة التصدي لهذا التهديد، يهيب بجميع الدول، وفقا لسلطاتها القانونية وتشريعاتها الوطنية وبما يتسق مع القانون الدولي، أن تتخذ إجراءات تعاونية لمنع الاتجار غير المشروع بالأسلحة النووية أو الكيميائية أو البيولوجية ووسائل إيصالها، مواد ذات صلة؛"	1
"واكتسبت الأنشطة زخماً مع اقتراب العام الدراسي الوشيك، حيث قامت الحكومة بتعبئة كميات كبيرة من المواد والمعدات للمؤسسات التعليمية والعيادات الصحية."	0
"وبطبيعة الحال، لا تقتصر المساءلة على ضمان المسؤولية الجنائية الفردية عن الانتهاكات. يتعلق الأمر أيضًا بمعاقبة من انتهك القانون؛ والسعي لتحقيق العدالة والإنصاف للضحايا؛ ومنع تكرار الانتهاكات من خلال تعزيز التغيير في القانون والسياسة؛ وضمان السلام والاستقرار الدائمين من خلال التأكد من حصول الضحايا على بعض مظاهر العدالة عن الأخطاء التي عانوا منها."	0
"- المادة 80.5 من قانون العقوبات الأرجنتيني. (محاولة الاستخدام)"	0
"لقد تم تحقيق العديد من الإنجازات، ولكن لا تزال هناك تحديات كثيرة على الطريق أمامنا."	0
"ويذكّر الفريق الدول بأنه على الرغم من الاقتراحات المخالفة التي قدمها الفريق الرفيع المستوى المعني بالتهديدات والتحديات والتغيير (A/59/565، الفقرة 152) وغيره، فإن اللجنة وضعت منذ فترة طويلة معايير للإدراج في القائمة وحذفها. -قائمة."	1
"- القانون رقم 25/62 الصادر في 21 مايو 1962، الذي ينظم المباني الخطرة وغير الصحية وسيئة البناء"	0
"وتمثل هذه التحديات مجتمعة ضغطا سياسيا على الحكومات ولها تأثير مباشر وخطير على السلام والأمن والاستقرار في البلدان المعنية."	1
"ومن جانبهم، اتهم زعماء الحكومة ومؤيدوها الحركة الوطنية لكوت ديفوار وغيرها من &quot;حركات التمرد&quot; باستخدام القوات الأجنبية وارتكاب فظائع، أبرزها مقتل العشرات من أفراد الدرك في بواكي."	1
"6 - يؤكد أنه على استعداد تام لفرض تدابير محددة الهدف ضد الأشخاص الذين تحددهم اللجنة وفقا للفقرات 9 و 11 و 14 من القرار 1572 (2004) والذين تقرر، في جملة أمور، أن يكونوا:"	1
"وإذا كان لنا أن نتجنب موجة جديدة من أعمال العنف، فيتعين على الطرفين والمجتمع الدولي أن يتحركا على وجه السرعة."	1
"ولكن في مجالات أخرى، لم يكن التقدم على مستوى التوقعات، ولا تزال هناك تحديات كثيرة."	1
"كما التقى بالأمين العام لجامعة الدول العربية عمرو موسى والأمين العام لمنظمة المؤتمر الإسلامي أكمل الدين إحسان أوغلو."	0
"1 - يدين التطرف العنيف الذي يمكن أن يفضي إلى الإرهاب والعنف الطائفي وارتكاب أعمال إرهابية من قبل المقاتلين الإرهابيين الأجانب، ويطالب جميع المقاتلين الإرهابيين الأجانب بنزع سلاحهم ووقف جميع الأعمال الإرهابية والمشاركة في النزاعات المسلحة؛"	1
"رفضتهما UDI في لحظة ولادتها ميتًا."	1
"وأغتنم هذه الفرصة أيضًا للتأكيد على مخاوفي بشأن التحديات في سياق الانتخابات الفيدرالية وانتخابات حكام الولايات المقرر إجراؤها في نيجيريا في فبراير 2015، والمخاطر الجسيمة للعنف التي قد تحدث إما بسبب هجمات بوكو حرام أو بسبب الطعن في الانتخابات. نتائج."	1
"ونحث جميع الدول الأعضاء على اتخاذ خطوات فورية للامتثال للالتزام الوارد في القرار 2036 (2012) بحظر تجارة الفحم الصومالي، ولا سيما من جانب الدول الأكثر نشاطا في هذه التجارة."	1
"إن مثل هذه الأفعال غير مقبولة على الإطلاق. ويجب على السلطة الفلسطينية أن تضع حدا لعمليات إطلاق النار هذه وأن تحاكم مرتكبيها."	1
"إن الافتقار العام للشفافية لدى عامة الناس يقوض عدالة ومصداقية العملية ككل."	1
"وبالإضافة إلى ذلك، احترمت المنطقة العسكرية 3 في ميجك أيضًا، إلى حد كبير، التزاماتها في هذا الصدد، حيث لم ترتكب سوى أربعة انتهاكات لحرية التنقل."	0
"وذلك يوم الخميس الموافق 30 أبريل 2009 الساعة 4.30 مساءً"	0
"483- رفضت اللجان عدداً كبيراً جداً من القضايا لأن استجواب الضحايا أظهر أن الجريمة موضوع الشكوى لا تصل إلى حد الاغتصاب، حيث لم يحدث إيلاج، أو لأن المشتكين خلطوا بين المصطلح العربي للقمع ومصطلح القمع. الاغتصاب وتقدموا عن طريق الخطأ بشكاوى بشأن أشكال أخرى من سوء المعاملة أو العنف، مثل الضرب."	1
"46 - الحالة في ميانمار (15 أيلول/سبتمبر 2006؛ 13 تموز/يوليه 2009)."	0
"43 - وتحقيقا لهذه الأهداف، وثقت البعثة حالات واسعة النطاق من الاعتقالات غير القانونية وسوء المعاملة والاحتجاز المطول قبل المحاكمة."	1
"3(أ)(ب)(ج) لا شيء 3(د)(هـ)"	0
"لا تنطبق الفقرة 11 من القرار 1803 (2008)، لأن ليختنشتاين لا تدير أي مطارات أو موانئ بحرية."	0
"وفي منطقة باكول، الواقعة أيضا في وسط الصومال، أدت الاشتباكات التي وقعت يومي 10 و 11 حزيران/يونيه بين رجال الميليشيات من عشيرتي هادمو وأوغادين في منطقة البردي إلى مقتل ما لا يقل عن 4 أشخاص وإصابة 10 أشخاص. وفي 15 يونيو/حزيران، قُتل ما لا يقل عن 16 شخصاً وجُرح 20 آخرون في قتال بين الميليشيات المتنافسة على حقوق الأراضي والمراعي في نفس المنطقة."	0
"وقد أنشأ الاتحاد الروسي وأوكرانيا وبيلاروسيا وحدات استخبارات مالية تعمل بكامل طاقتها. وفي عام 2010، اعتمدت بيلاروسيا وأوكرانيا تعديلات على قوانينهما لمكافحة غسل الأموال ومكافحة تمويل الإرهاب بشأن تحديد هوية العميل، والعناية الواجبة بالعملاء، وحفظ السجلات، والتأكد من الملكية المستفيدة، والمعاملات المشبوهة، كما قامت بتوسيع معايير الرقابة على تحويل الأموال. من خلال نظام البريد الحكومي."	0
"وترى حكومتي أنها لا تتعارض مع القانون الدولي فحسب، بل إنها تقوض أيضا مفهوم سيادة القانون، الذي يشكل عنصرا رئيسيا في مكافحة الإرهاب."	1
"وقد حدثت زيادة في عدد الغارات التي استهدفت قوات الأمن الوطنية والدولية وموظفي المؤسسات العامة والعاملين في المجال الإنساني. ووقع المزيد من الهجمات على مواقع الاقتراع والمزيد من التهديدات لفرق تسجيل الناخبين."	1
"ولذلك فقد اقتصرت مهمتها على جمع معلومات موثوقة عن الأشخاص الذين قد يشتبه في مسؤوليتهم عن ارتكاب جرائم في دارفور."	0
"محاولة تصدير أنظمة الدفاع الجوي المحمولة"	0
"8 - يوصى بأن تتخذ الأمم المتحدة الخطوات العاجلة والمحددة التالية لتيسير الوجود المستمر والمعزز لبعثة الاتحاد الأفريقي في الصومال:"	1
"تشعر جمهورية جنوب السودان بقلق بالغ إزاء تدهور الوضع الأمني في المناطق الحدودية بين جمهورية السودان وجمهورية جنوب السودان."	1
"3 25/90/397 – أغسطس 1990"	0
"وإذ يلاحظ مع القلق التهديد المستمر الذي يشكله تنظيم القاعدة وأسامة بن لادن وحركة الطالبان وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بهم، على السلام والأمن الدوليين، وإذ يؤكد من جديد تصميمه على التصدي لجميع جوانب ذلك التهديد،"	1
"ويلاحظ المجلس كذلك مع القلق التقارير التي تفيد بأن هجمات جيش الرب للمقاومة في جمهورية أفريقيا الوسطى وقعت في مناطق خارج منطقة العمليات الرئيسية لقوة الاتحاد الأفريقي."	0
"وفي المقابل، يتعين على سلطات بلغراد أن تضع حداً لتكتيك العرقلة الذي تتبعه، والذي يمنع صرب كوسوفو من المشاركة في المؤسسات العامة في كوسوفو. وتنطوي &quot;سياسة الكرسي الشاغر&quot; على مخاطر كبيرة تتمثل في أن تاريخ كوسوفو سوف يُكتب بدون صرب كوسوفو."	1
"30 - وتشمل المخاطر المحتملة التي قد تعترض جلب الأطراف غير الموقعة إلى طاولة المفاوضات إصرار الأطراف على فرض شروط مسبقة غير واقعية للمفاوضات. وهناك خطر آخر يتمثل في تعنت الأطراف تجاه المفاوضات وأثناء المفاوضات. ويمكن التخفيف من حدة هذه المخاطر من خلال اتخاذ مواقف موحدة في صفوف المجتمع الدولي فيما يتعلق بعملية السلام والحفاظ على حوار وثيق مع الأطراف. وهناك خطر آخر يتمثل في إنشاء مبادرات موازية لعملية السلام من قبل الشركاء الإقليميين و/أو الدوليين، مما يؤدي إلى تقويض هذا العنصر من الإطار."	1
"7 - وفي الطعن الذي قدمته مؤسسة الحرمين (الولايات المتحدة الأمريكية) (QE.A.117.04) بشأن المراقبة الحكومية غير القانونية المزعومة (S/2007/677، المرفق الأول، الفقرة 10)، عقدت محكمة الاستئناف جلسة 16 نوفمبر 2007 أن امتياز أسرار الدولة الذي أكدته الحكومة يمنع القضية من المضي قدمًا، ما لم يتمكن المدعون من إثبات أن قوانين المراقبة الوطنية استبقتها، وأعادوها إلى المحكمة الابتدائية لمزيد من الإجراءات بشأن هذه القضية."	0
"ومن الواضح أن متطلبات تفعيل هذه الآلية لم يتم الوفاء بها في حالة دارفور."	1
"مطالبات المملكة الأردنية الهاشمية"	0
