"","es_en_DEEP","VerCoop"
"15","Most States have little capacity to freeze funds and assets linked to terrorism without delay.",0
"16","Currently, expenses for goods and services are lower than what would be expected at this time of year.",0
"17","On 21 September, in response to a request from the parties to the Comprehensive Peace Agreement, I announced the establishment of a three-person group, headed by the former President of the United Republic of Tanzania, Benjamin Mkapa, who will be responsible for monitor the Southern Sudan and Abyei referendums.",0
"18","Molybdenum, iodine and xenon radioisotope production facility (MIX facility)",0
"19","It remains to be seen whether he can link up with extremists in Nigeria to form an effective alliance.",0
"20","The Security Council particularly welcomes the decision of the Secretary-General to prioritize, for the remainder of his mandate, the work of the Organization to consolidate the rule of law and transitional judicial institutions in societies suffering from conflict or leave it.",1
"21","Both parties would have to show flexibility and responsibility.",0
"22","35. Decides, in order to assist the Committee in the fulfillment of its mandate, that Monitoring Team 1267, established pursuant to paragraph 7 of resolution 1526 (2004), will also provide support to the Committee for a period of 30 months , with the mandate set forth in annex A to the present resolution, and requests the Secretary-General to take all necessary measures for this purpose;",1
"23","136. Central African Region (see document S/2003/40/Add.47).",0
"24","III. Implementation of the Agreement of 20 June 2011",0
"25","This team entered into bilateral talks with the Government and the Coordination made up of the National Movement for the Liberation of Azawad (MNLA), the High Council for the Unity of Azawad (HCUA) and the Arab Movement of Azawad (MAA), which were They include people from the Coordinator of the Patriotic Movements and Fronts of the Resistance (CMFPR-II) and a faction of the Coalition of the People of Azawad (CPA), on the one hand, and with the Government and the Platform of armed groups, composed of the CMFPR-I, the CPA and the other faction of the MAA, as well as with members of the Tuareg Self-Defense Group Imghad and Allies (GATIA) invited by the Platform, on the other.",1
"26","The Group highlighted that the immediate task was to popularize the Doha Document to ensure that it was accepted by the people of Darfur and to persuade the remaining armed groups to sign it.",1
"27","Access to the Abyei area will be significantly obstructed during the upcoming rainy season as both the Wan to Abyei and Kadugli to Abyei routes are routinely closed due to heavy seasonal rains.",0
"28","The staffing authorization dated 28 June 2005 indicated 67 Professional and General Service posts.",0
"29","As indicated in Table 1, the flight left the Russian Federation on 20 January 2011, but its crew reported a code ""ZZZZ"", which usually indicates that the destination of an aircraft is not listed in the airport registry. of the International Civil Aviation Organization (ICAO).",0
"30","Figure I compares income and expenses for the financial years 2004/05, 2006/07 and 2008/09.",0
"31","He announced that the Secretary-General had received an application from East Timor for admission to membership in the United Nations, and looked forward to its consideration by the Council.",1
"32","Heritage Center Assets: US$4,553,795",0
"33","Of particular importance is the bill on the protection of personal data, which is in the process of parliamentary processing.",0
"34","7. Reaffirms that ending impunity is essential so that a society in conflict or recovering from conflict can face the reality of past abuses against civilians affected by armed conflict and prevent such abuses in the future. future, draws attention to the variety of justice and reconciliation mechanisms that can be considered, including national, international and ""mixed"" criminal courts and truth and reconciliation commissions, and notes that such mechanisms can promote not only individual accountability accounts regarding serious crimes, but also peace, security, reconciliation and victims' rights;",1
"35","To be held on Monday, November 17, 2003, at 10:00 a.m.",0
"36","Between January and the end of August, more than 2,000 minors passed through the transit centers in North Kivu, including Beni, and about 800 through the centers in South Kivu.",0
"37","Foreigners arriving in Vietnam must comply with relevant laws on entry, exit and residence in Vietnam.",0
"38","War Munitions Control Law of 2530 E.B. (1987)",0
"39","At the end of August, the Kosovo Protection Corps had 3,029 active members, 157 of whom were minorities.",0
"40","Children in these areas now receive the same health and education services as children in other parts of the country.",0
"41","He therefore urged the Council to move from an ""as needed"" approach to a ""more active"" approach, in order to increase non-member interest in its work.",1
"42","However, there are two levels of courts: the district courts (in Dili, Baucau, Suai and Oecussi) and the Court of Appeal (which must also perform the functions of the Supreme Court until it is established).",0
"43","2. Reiterates that the main responsibility for the proper implementation of the Peace Agreement lies with the authorities of Bosnia and Herzegovina themselves and that the willingness of the international community and the main donors to assume the political, military and economic burdens of the implementation of the agreement and reconstruction is subject to all authorities in Bosnia and Herzegovina complying with the Peace Agreement and actively participating in its implementation and in the reconstruction of civil society, fully cooperating in particular with the International Criminal Tribunal for the former Yugoslavia, in the consolidation of mixed institutions and in supporting the return of refugees and displaced persons;",1
"44","The European Union is deeply concerned about the cycle of vicious violence currently taking place in Israel and the occupied territories.",0
"45","The program will not apply to people considered international criminals or terrorists, such as members of Al-Qaida.",0
"46","Security Council resolution 1373 (2001) remains highly relevant and a key United Nations document in the area of ââcounter-terrorism.",1
"47","Conducted by the Executive Directorate on behalf of the Committee, the visits provide an opportunity to examine, inter alia, trends and challenges related to terrorism, initiatives, strengths, weaknesses and technical assistance needs of States in the fight against terrorism and good practices in the implementation of the two resolutions.",1
"48","The United Nations Interregional Crime and Justice Research Institute, at the request of Working Group 2 of the Contact Group on Piracy off the Coast of Somalia and with the support of the Government of Italy, organized two informal expert working group meetings in 2013 to draft a set of guidelines, standards and best practices regarding the use of private armed security personnel on board merchant vessels, for use by interested private sector companies and governments.",1
"49","Mr. Valdés officially assumed his responsibilities on August 17, 2004.",0
"50","In most States, measures related to border control, internal security and law enforcement are fully implemented, although some have not submitted sufficient information to allow the situation to be assessed with respect to some specific aspects. (a) Encourage the adoption of measures to improve the ability to promptly freeze funds and assets linked to terrorism in most States, and protect the non-profit sector from misuse for the financing of terrorism;",1
"51","This will help facilitate arrangements regarding the arrest, prosecution and post-conviction period of high-risk offenders in accordance with international human rights standards.",1
"52","In particular, it expresses its deep concern about the use of sexual violence as a weapon of war and calls on all States to end impunity in this area.",1
"53","Both cooperated in controlling security at the most important public events, in repressing political violence and in adopting special security measures in favor of threatened minority communities.",0
"54","13. Stresses the need to ensure that all international efforts are aimed at strengthening MISCA and mobilizing the necessary resources in its favor in order to enable it to effectively execute its mandate and pave the way for the potential deployment of a United Nations operation. United Nations peacekeeping, in accordance with the relevant provisions of Security Council resolution 2127 (2013).",1
"55",":: Request missions to support host governments to address sexual violence explicitly in disarmament, demobilization and reintegration processes, security sector reform processes and security sector reform initiatives. justice, as well as to develop and implement concrete, time-bound action plans to combat conflict-related sexual violence.",1
"56","The European Union insisted that the creation of any Somali national military force must occur within the framework of a national security and stabilization plan, and in accordance with the statement of the President of the Security Council of 14 July 2005.",1
"57","Currently, the outstanding debt is approximately $2 million.",0
"58","2. Calls upon the Government of Syria to visibly fulfill all of its commitments, as agreed to do in the Preliminary Understanding and as provided for in resolution 2042 (2012), to: a) stop troop movements towards the centers of population, b) stop using heavy weapons in those places, and c) complete the withdrawal of military concentrations in and around population centers, as well as their contingents and heavy weapons from the population centers to their barracks or military sites. temporary deployment, in order to facilitate a sustained cessation of violence;",0
"59","Welcoming the increased representation of women in Parliament, commending the [national] authorities and underlining the need to increase their participation in decision-making processes in conflict prevention and resolution,",1
"60","It will reaffirm the policy of zero tolerance and the need for troop-contributing States to take appropriate disciplinary and legal measures and to pay due attention to victims.",1
"61","Recalls that the protection of civilians requires a coordinated response from all relevant components of the mission and encourages [the Mission] to improve, under the authority of the Special Representative of the Secretary-General, the interaction between its civilian and military components of all levels and humanitarian actors, in order to consolidate expertise in the protection of civilians.",1
"62","According to the provisional verbatim record of the 4688th meeting of the Security Council, held on 20 January 2003 (S/PV.4688), members of the Council made observations, suggestions and proposals on the following topics: international instruments; International cooperation; role of international, regional and subregional organizations; attendance; and Security Council Committee established pursuant to resolution 1373 (2001) (hereinafter referred to as the Counter-Terrorism Committee).",1
"63","International mining companies can operate in Eritrea under the provisions of the Mining Law, which gives the Eritrean National Mining Corporation (ENAMCO) the right to participate in joint ventures.",0
"64","To be held on Friday, June 13, 2003, at 10:30 a.m.",0
"65",":: The need for more coherent follow-up to the recommendations of fact-finding mechanisms to ensure their effectiveness and credibility and to respond to the expectations raised by their establishment, especially among victims;",1
"66","The Security Council reaffirms the obligation of all Member States to settle disputes and resolve conflicts in accordance with the Charter of the United Nations, and calls upon the international community to support, as appropriate, the initiatives of regional organizations and subregional activities aimed at the peaceful settlement of disputes and the prevention and resolution of conflicts in accordance with the Charter of the United Nations and relevant Security Council resolutions.",1
"67","Police activity in communities plays an important role (for example, in one of the States visited the Government uses smart mobile phones to inform the public about important events and publishes police information on an online social networking service).",0
"68","The Security Council recognizes that terrorism will not be defeated solely through military force, law enforcement measures and intelligence operations, and stresses the need to address the conditions that favor the spread of terrorism, including, but not limited to, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusion with in order to offer a viable alternative to people who are susceptible to being recruited by terrorists and suffering radicalization leading to violence.",1
"69","The resolution provides that the plan must cover:",0
"70","Presidents and members of the Chambers",0
"71","3. Emphasizes the need to strengthen coordination and exchange of information between the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as ""the Committee"") and the Committee established pursuant to resolution 1373 (2001). );",1
"72","Reiterating that Member States have the obligation to prevent the movement of terrorist groups by imposing effective border controls, among other means, and, in this context, to rapidly exchange information and improve cooperation between competent authorities to prevent entry and departure of terrorists and terrorist groups from their territories, as well as the supply of weapons to terrorists and funds that could finance their activities,",0
"73","On 20 November, Australian Foreign Minister Julie Bishop chaired a briefing on ""Peacekeeping operations: the role of the police in peacekeeping and peacebuilding operations after the conflicts"". This was the first meeting in the Council's history dedicated to police issues.",1
"74","Coordination between the Mission and the United Nations country team",0
"75","11. Encourages in this regard the Government of Burundi, in collaboration with all international partners, to develop a disarmament, demobilization and reintegration strategy and lay the foundations for the sustainable socio-economic reintegration of demobilized soldiers, ex-combatants, refugees return, displaced persons and other vulnerable groups affected by the conflict, in particular women and children, in accordance with the provisions of Security Council resolutions 1325 (2000), 1612 (2005), 1674 (2006) and 1820 ( 2008);",1
"76","5. Notes that such means of financing or support include, among others, the use of proceeds obtained from criminal activities, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;",0
"77","The Algiers Agreement obliges both parties, according to Article 1, paragraph 1, to ""refrain from the use or threat of force.""",1
"78","The promotion process was fully managed by the Government, supported by a committee consisting of five international experts (from Australia, Malaysia, New Zealand, Portugal and Singapore) and technical support from UNMIT police.",1
"79","Professor Joseph Mpangu, Coordinator of the Reflection Group on the situation in the Great Lakes region",0
"80","Efforts should be made from the outset to ensure coordination with law enforcement bodies and other national authorities, as well as to develop appropriate national legal frameworks and strengthen the capacity of judicial and law enforcement systems.",1
"81","In this framework, the Heads of State and Government agree that it is necessary to review the current legal texts, in particular the ECOWAS Protocol on the Mechanism for the Prevention and Resolution of Conflicts, the Maintenance of Peace and Regional Security and the Additional Protocol on Democracy and Good Governance, in order to reflect best practices regarding presidential mandates.",1
"82","The ability to prevent terrorists from organizing and moving freely through the territories of Member States of the subregion (especially in the Sahel) depends not only on the effectiveness of bilateral and subregional collaboration, but also on the measures adopted to put an end to implementing the best international codes and practices relating to law enforcement and border control as well as the effective protection and supervision of borders, coasts and inland regions.",0
"83","At the conclusion of the fourth round of negotiations in late November, the parties' positions on key issues had not changed.",1
"84","In addition, the Executive Directorate will continue to maintain a constructive dialogue with Member States through meetings at United Nations Headquarters, visits, seminars and video conferences with officials in relevant capitals in order to inform the Committee on the implementation by the Member States of various elements of the counter-terrorism resolutions, including updates to preliminary implementation assessments, new counter-terrorism measures adopted and the facilitation of technical assistance.",1
"85","The Team routinely coordinates its travel plans with the Executive Directorate of the Counter-Terrorism Committee and in its visits to Member States and international organizations has carried out arrangements on behalf of the Executive Directorate and the experts who provide support to the Committee established under the resolution 1540 (2004). The Team looks forward to its first joint visit with the Executive Directorate to a Member State in February 2006, and anticipates that this practice will become increasingly frequent.",1
"86","The Security Council calls upon the Somali parties to build on the progress made and conclude without delay the Somali National Reconciliation Conference with a lasting and comprehensive solution to the conflict in Somalia through the establishment of a viable transitional government.",1
"87","The decision of the European Union to start negotiations with Serbia and Montenegro to conclude a stabilization and association agreement represents a milestone in this regard.",1
"88",":: Cell phone communications that took place in the area of ââthe explosion.",0
"89","Establishing regular programs to inspect reporting entities to ensure compliance with anti-money laundering and anti-terrorist financing requirements is a serious challenge for some States as it is resource-intensive.",0
"90","7. The situation in Liberia (January 22, 1991; December 19, 2008).",0
"91","Weapons monitors from the United Nations Mission in Nepal (UNMIN) registered and supervised the storage of the Maoist army's weapons, which would be permanently monitored.",0
"92","Calling for a deeper analysis of the shared objectives of the human rights, development and security communities, as well as the United Nations system and Member States, the High Commissioner highlighted that violations of Human rights were often a fundamental cause of armed conflicts, as had been the case in Somalia and Bosnia and Herzegovina.",1
"93","Welcoming the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the role it has played since its establishment, noting the important role of the Ombudsman in enhancing impartiality and transparency, recalling the firm commitment of the Security Council to ensure that the Office of the Ombudsman can continue to perform its role effectively, in accordance with its mandate, also recalling the statement of its President (S/PRST/2011/5) of 28 February 2011 ,",1
"94","For States to adequately patrol their vast coastlines, it is necessary for the coast guard, navy and customs administrations to cooperate with each other by exchanging information and sharing surveillance tasks.",1
"95","In the context of the conclusion of the Mission's mandate on 31 December 2010, the Security Council commends, without prejudice to the primary responsibility of the Government of Chad, the contribution of MINURCAT to the protection of refugees, internally displaced persons and humanitarian actors in eastern Chad and their efforts to increase the capacity of the Chadian Integrated Security Detachment (DIS).",1
"96","Q. Charitable Society (UNC Claim No. 5000227)",0
"97","In light of the above, I recommend that the mandate of MONUSCO be extended for another period of 12 months and that the Mission's military and police contingent strength be maintained at the current authorized levels.",1
"98","The situation along the Lebanese-Syrian border also remains a cause for concern.",0
"99","The Security Council condemns all acts of violence and other forms of intimidation deliberately directed against humanitarian personnel, as well as attacks against peacekeepers.",1
"100","In this regard, the Council encourages countries affected by the LRA that have not already done so to establish standard operating procedures for receiving LRA minors and entrusting them to civilian child protection entities.",1
"101","The weekly quadripartite meetings allowed both sides, as well as UNOMIG and CIS peacekeeping forces, to maintain a permanent dialogue on issues related to the security of the conflict zone.",1
"102","The siege must be lifted immediately so that the civilian population in Gaza can have access, essentially, to water, jobs, trade, medical care and education - in short, access to their basic needs.",0
"103","The report should also indicate the contributions that the Council could make to promote the effective implementation of existing humanitarian law standards, and should identify whether there are significant gaps in existing legal standards by reviewing recent reports in this regard.",1
"104","c) Prevent the supply, sale and transfer, direct or indirect, to those persons, groups, companies or entities from their territory or by their nationals outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and corresponding spare parts, as well as technical advice, assistance or training related to military activities;",0
"105","At its 44th official session, held on 1 May 2014, the Working Group considered the report of the Secretary-General on children and armed conflict in Mali (S/2014/267), covering the period from January 2012 and December 2013.",1
"106","1 Zu-23, several B-10 Muse Sudi placed an order. Awaiting shipment from Somaliland",0
"107","This invitation, and the cooperation that the Special Rapporteur received during his visit, reflect the commitment of the Government of Burkina Faso to ensure that its counter-terrorism activities comply with international human rights laws and standards.",1
"108","a) Review criminal laws to ensure that offenses in each of the designated categories are appropriately criminalized and enact anti-terrorism legislation where appropriate;",1
"109","This is our inherent right; What's more, it is our duty.",0
"110","The kidnappings took place in 29 of the 32 departments, particularly in Antioquia, Bogotá, Caldas, Casanare, Cundinamarca, Valle del Cauca and Vichada.",0
"111","To be held on Thursday, June 15, 2000, at 11:30 a.m.",0
"112","Welcoming the outcome of the Consultative Peace Jirga held on 6 June 2010, where 1,600 Afghan delegates representing a broad cross-section of all ethnic and religious groups, government officials, religious scholars, tribal leaders, Afghan civil society and Afghan refugees living in Iran and Pakistan held discussions on ways to end insecurity and developed a plan to achieve lasting peace in the country,",1
"113","The Commission's recommendation for a referral from the Security Council to the International Criminal Court is based on the correct assumption that Sudanese courts are unable and unwilling to prosecute the numerous international crimes committed in Darfur since 2003.",1
"114","Furthermore, many victims informed the Commission that they had little confidence in the impartiality of the justice system and its ability to bring to justice the perpetrators of serious crimes committed in Darfur.",0
"115","The Government may request that exceptions be made to this rule when it comes to inhabited agricultural areas that are located in that area.",0
"116","At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with its consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement On behalf of the Council:",1
"117","The purpose of these visits was to monitor implementation, including the collection of examples of best practices, to disseminate the work of the Security Council Committee, to affirm the international consensus that is essential for the success of the sanctions regime, and to monitor the spread and the reach of Al-Qaida and the Taliban to be in a better position to make suggestions to the Committee for its future work.",1
"118","Also condemning in the strongest terms the incitement to commit acts of terrorism and repudiating attempts to justify or glorify (apology) acts of terrorism that may incite the commission of new acts of terrorism,",0
"119","In terms of greater cooperation, he proposed expanding the role of the INTERPOL network, for example through regional information-sharing mechanisms with law enforcement officials, as well as more guidance on enforcement.",1
"120","The members of the Committee have stressed on numerous occasions the complementary nature of the functions of the three committees in the fight against international terrorism and the need to constantly exchange information.",1
"121","c) Encourage States to adopt measures to prevent informal networks for sending workers' remittances from being misused for the purposes of terrorist financing.",1
"122","a) Ensure the widest possible dissemination of information relating to international humanitarian law, human rights law and refugee law;",1
"123",":: Conduct further verifications in areas where the initial review of reports has revealed gaps in information or implementation in relation to all aspects of the resolution covering all required measures, for each type of weapon or their respective delivery systems and related materials, including modification of matrices where useful",0
"124","4. Calls upon all States that are not parties to the Treaty on the Non-Proliferation of Nuclear Weapons to accede to it as non-nuclear-weapon States with a view to achieving universality at an early date, and, pending of their accession, comply with the provisions of it;",1
"125","Aid was provided to 1,000 families in Fallujah, who received tents, lanterns, mattresses and stoves.",0
"126","Recognizing that the consideration of the issue of the protection of journalists in armed conflict by the Security Council is based on the urgency and importance of that issue, and recognizing the valuable role that the Secretary-General can play in providing further information in this regard,",1
"127","(i) Facilitating research in the areas of the three resolutions requiring further consideration, including the analysis of trends and methodologies related to terrorism at the global and regional levels and the analysis of counter-terrorism measures;",0
"128","55. NDTV, Indian channel, October 15, 2011",0
"129","Furthermore, the Council could explicitly require Member States to prevent listed individuals and entities from having access to, creating or maintaining military or terrorist training centers within their borders, which would entail an expansion of the scope of application of the arms embargo, which would thus cover all aspects of training and recruitment activities.",1
"130","The second Summit of Heads of State and Government on the Great Lakes Region was a historic event for the region, as well as for the international community.",0
"131","Letter dated 26 July 2005 addressed to the President of the Security Council from the Chairman of the Security Council Committee established pursuant to resolution 1533 (2004) concerning the Democratic Republic of the Congo (S/2005/436)",0
"132","The Security Council recognizes the Peacebuilding Commission, within its sphere of competence, as a forum for coordination in post-conflict situations, in accordance with its resolution 1645 (2005) and resolution 60/180 of The general assembly.",1
"133","Encouraging in this context the parties to demonstrate greater political will to reach a solution, including by deepening their deliberations on the other party's proposals,",1
"134","Outside of major cities there is virtually no infrastructure and supply chains are extremely long.",0
"135","The provisions contained in these texts differ depending on the case, as specified below:",0
"136","S/1994/230, of February 28, 1994",0
"137","The Council reiterates that a comprehensive peacebuilding program with special emphasis on disarmament, demobilization, rehabilitation and reintegration will be important for post-conflict Somalia as envisaged in its President's statement of 28 March of 2002 (S/PRST/2002/8).",1
"138","In order to recognize the specific need to coordinate its work with that of the Counter-Terrorism Committee Executive Directorate and other relevant bodies in areas where States may be overwhelmed by requests for information from the Security Council, the Team developed a common strategy with the Executive Directorate and the experts supporting the Committee established pursuant to resolution 1540 (2004), with the objective of resolving the problems of States that have not yet submitted the reports requested by the three Committees.",1
"139","During the meeting, the parties had a broad exchange of views on the implementation of Security Council resolutions and the exercise of the principle of self-determination.",1
"140","The Security Council calls upon the Secretary-General to redouble his efforts to ensure the strengthening of the capacity of the monitoring and reporting mechanism for the implementation of resolution 1882 (2009), in order to facilitate prompt action and an effective response. all violations and abuses committed against children, including by ensuring that all relevant United Nations agencies actively contribute to collecting accurate, objective, reliable and verifiable information on acts of rape and other sexual violence committed against children , ensuring synergies and avoiding overlapping tasks between relevant United Nations entities, at Headquarters and in countries, as called for in resolutions 1882 (2009) and 1888 (2009).",1
"141","31. Church dedicated to the Presentation of Saint Mary to the Temple, in Veliko Krusevo",0
"142","The Security Council recalls that justice and the rule of law at the international level are of fundamental importance in promoting and maintaining peace, stability and development in the world.",1
"143","The Security Council welcomes the important efforts that the African Union and subregional organizations continue to make in line with the resolutions and decisions of the Council, to resolve conflicts, promote human rights, democracy, the rule of law and order constitutional in Africa.",1
"144","I call on UNOWA, UNOCA, ECOWAS, ECCAS and the Lake Chad Basin Commission to continue strengthening cooperation to address cross-border security threats.",1
"145","The Security Council reiterates its support for the establishment of a Core Group to maintain the mobilization of the international community, increase consultations among key stakeholders to increase the coordination and effectiveness of assistance provided to Haiti, and contribute to the definition of a long-term development strategy aimed at promoting lasting peace and stability in the country.",1
"146","The Security Council notes with appreciation the early steps taken swiftly by the Government of Rwanda to address this situation and encourages that Government to continue to engage with the United Nations and relevant international organizations to ensure that these combatants are permanently demobilized and treated in accordance with applicable international law, paying special attention to women and children.",1
"147","Welcoming and supporting the steps taken to conclude treaties on nuclear-weapon-free zones and reaffirming the conviction that the creation of internationally recognized nuclear-weapon-free zones on the basis of freely agreed agreements between States of each affected region, and in accordance with the 1999 guidelines of the United Nations Disarmament Commission, promotes global and regional peace and security, strengthens the nuclear non-proliferation regime and contributes to the achievement of nuclear disarmament goals,",1
"148","In this regard, flexibility will be required during implementation to ensure that the framework is adjusted as necessary to respond to developments and changes in the context.",1
"149","Participants in the forum began to define the elements of a national strategy for women's participation in conflict resolution.",1
"150","The Committee has also agreed to replace the current numbering system, which changes each time the name of another person or entity is added, with a permanent reference number.",1
"151","We are convinced that an early conclusion of these talks, with the signing of a comprehensive and final peace agreement, will greatly facilitate initiatives to combat terrorism and transnational organized crime in our region.",1
"152","However, urgent measures are needed to energize the Brigade and, at the same time, ensure that the framework brigades contribute more actively both to operations to neutralize armed groups and to activities to protect civilians.",1
"153","The only point on which the participants agreed was that weapons were not discussed.",1
"154","Increasing the protection of civilians in armed conflict is a fundamental part of the work of the United Nations Security Council in maintaining peace and security.",1
"155","The Mission continued to raise awareness among staff of relevant United Nations rules and regulations on the prevention of sexual exploitation and abuse.",1
"156","They once again urged the Afghan parties to work together for peace and the creation of a multi-ethnic, broad-based and fully representative government.",1
"157","These courses and programs are usually organized on an ad hoc basis.",0
"158","The Security Council notes that several obstacles undermine efforts to ensure access by humanitarian agencies and the United Nations to people in need, including attacks on humanitarian personnel, denial of access by authorities and lack of structured collaboration with non-state agents.",0
"159","The Security Council urges the Democratic People's Republic of Korea to return immediately and without any preconditions to the Six-Party Talks and to strive for the rapid implementation of the Joint Declaration of 19 September 2005 and, in particular, to renounce all nuclear weapons and existing nuclear programs.",1
"160","Many achievements have been achieved but many challenges remain.",0
"161","Most potential witnesses residing outside the State expressed fears about testifying, even confidentially, because they feared for the safety of their families and assumed that their behavior continued to be clandestinely monitored by the authorities.",0
"162","The United Nations Global Counter-Terrorism Strategy advocates the promotion of dialogue, tolerance and understanding between civilizations, cultures, peoples and religions, as well as the establishment of relevant educational and public awareness programmes.",1
"163","I would also like to convey my appreciation to the countries that contribute troops and police to the Mission.",1
"164",":: Office for the Coordination of Humanitarian Affairs, ""To stay and deliver: good practice for humanitarians in complex security environments"" (2011). This report describes the increasingly difficult operational environment for humanitarian workers, makes recommendations on policy responses and refers to relevant legal documents.",0
"165","5. Majbal Nouri Zouhayr (with ID)",0
"166","There were also abductions and rapes of women in three Janjaweed camps following the attacks on Korma, northern Darfur, in March 2003.",0
"167","Reaffirming the need for all parties to armed conflicts to respect the humanitarian principles of humanity, neutrality, impartiality and independence in order to ensure the provision of humanitarian assistance, the safety of civilians assisted and the security of the humanitarian personnel, United Nations personnel and their associated personnel,",1
"168","5. Damage to natural resources without commercial value",0
"169","Stressing the obligation of all Member States to fully implement resolution 1373 (2001), in particular with regard to the Taliban or Al-Qaida and individuals, groups, undertakings and entities associated with Al-Qaida, Osama bin Laden or the Taliban who have been involved in the financing, planning, facilitating, preparing, recruiting for, or otherwise supporting acts of terrorism, as well as to facilitate the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,",0
"170","Recognizing that international cooperation and measures adopted by Member States to prevent and combat terrorism must be fully in accordance with the Charter of the United Nations,",1
"171","The Security Council requests the Secretary-General to report to it at the end of the liquidation phase of MINURCAT, on 30 April 2011, on the progress made in eastern Chad regarding the protection of civilians, especially women and children, including: i) the situation of refugees and internally displaced persons and durable solutions to their displacement; ii) unrestricted, secure and timely access for humanitarian assistance, including the movement and security of humanitarian personnel and the provision of humanitarian assistance; iii) measures taken to respond to violations of humanitarian law, human rights law and refugee law; and iv) the general security situation, to the extent that it affects the humanitarian situation.",1
"172","The Committee would also welcome proposals to be made in cooperation with experts from other subsidiary bodies of the Security Council concerned with counter-terrorism on how to simplify the reporting regime, as outlined in the 2005 World Summit Outcome Document (see General Assembly resolution 60/1).",1
"173","On 12 February 2013, the Security Council held an open debate on the protection of civilians in armed conflict, addressing the five core challenges identified by the Secretary-General. On 17 July 2013, the Security Council addressed the issue of the protection of journalists in another open debate.",1
"174","The Security Council calls upon the Government of the Democratic Republic of the Congo to remain fully committed to the establishment of a professional, accountable and sustainable national army, including a Rapid Reaction Force, in line with its commitment to deepen security sector reform. safety.",1
"175","Mr. Xenofon Ulianovschi (Republic of Moldova)",0
"176","In resolution 1425 (2002), it established a Group of Experts on Somalia, which was followed by the Monitoring Group established pursuant to resolution 1519 (2003).",0
