"en_es_DEEP"	"MatCoop"
"v) Alentar a todos los Estados, de conformidad con el párrafo 8 de la resolución 1977 (2011), a preparar, con carácter voluntario, planes de acción nacionales de aplicación, con la asistencia del Comité establecido en virtud de la resolución 1540 (2004), según corresponda, estableciendo sus prioridades y planes para implementar las disposiciones clave de la resolución 1540 (2004), y presentar esos planes al Comité;"	1
"21. También ha habido informes persistentes de que había helicópteros de Côte d'Ivoire estacionados en Guinea y de que Guinea había prestado uno de los helicópteros destruidos en noviembre de 2004 por las fuerzas francesas."	1
"\"Informe del Secretario General sobre la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (S/2013/420)\"."	0
"Desde la llegada de las tropas francesas, según los informes, no se han producido ejecuciones sumarias de gendarmes en Bouaké."	0
"La ejecución del Proyecto Regional de Vivienda comenzó a principios de 2013."	0
"Somalia estaba viviendo un momento de cambio y optimismo sin precedentes, y era importante aprovechar la oportunidad."	0
"El presupuesto para 2007 asciende a 36.003.900 dólares EE.UU., para 2008 a 33.014.900 dólares EE.UU. y para 2009 a 20.033.300 dólares EE.UU."	0
"2. Decide también que todos los Estados, de conformidad con sus procedimientos nacionales, adoptarán y harán cumplir leyes apropiadas y eficaces que prohíban a cualquier agente no estatal fabricar, adquirir, poseer, desarrollar, transportar, transferir o utilizar armas nucleares, químicas o biológicas y sus medios vectores, en particular con fines terroristas, así como los intentos de realizar cualquiera de las actividades anteriores, participar en ellas como cómplice, ayudarlas o financiarlas;"	0
"62. Un Estado señaló que la mejor manera de lograr este objetivo era inculcar un sentido de deber cívico y el reconocimiento de que el público debe informar sus preocupaciones a las autoridades encargadas de hacer cumplir la ley."	1
"A finales de marzo de 2008, el número de notificaciones especiales emitidas para personas incluidas en la Lista ascendía a poco más de 300."	0
"Dinamarca, como actual miembro del Consejo de Seguridad, ha propuesto que el Comité establezca un mecanismo de revisión independiente, en la forma de un defensor del pueblo, que podría aceptar peticiones directamente de las partes incluidas en la Lista que afirman haber sido incluidas injustamente en la Lista y no poder obtener eliminado de la lista."	0
"Órgano Central/MEC/AMB/COMM.(XCVII)"	0
"1. Ley Federal Nº 52-FZ, de 30 de marzo de 1999, \"sobre la salud y el bienestar epidemiológico de la población\", artículo 40."	0
"96. El general de brigada Ruak dijo a la Comisión que sabía que no existía ninguna ley específica que permitiera armar a los \"reservistas\". Manifestó que fue autorizado a hacerlo por el Ministro de Defensa después de haber hecho la propuesta."	0
"Los camiones transportaban fuerzas armadas del Gobierno y luego se utilizaron para transportar propiedades saqueadas de la aldea."	1
"16. En un esfuerzo por contener el ébola, algunos países de África occidental cerraron sus fronteras y suspendieron los vuelos comerciales a los tres Estados más afectados, a saber, Guinea, Liberia y Sierra Leona. Côte d'Ivoire impuso restricciones de vuelo hacia y desde los tres Estados el 10 de agosto, seguidas del cierre de la frontera terrestre el 22 de agosto."	1
"37. En el marco del Plan de Estabilización y Reconstrucción y la Estrategia de Apoyo, se entregaron a las autoridades nacionales ocho instalaciones estatales. Entre ellas figuraban instalaciones policiales y administrativas en los territorios de Masisi y Rutshuru, en Kivu del Norte; instalaciones policiales, administrativas y judiciales en Walungu, Kivu del Sur; y un centro de formación náutica para la policía fronteriza en el distrito de Ituri."	1
"Condenamos todos los actos de terrorismo perpetrados en el Afganistán, especialmente el más reciente ocurrido en la embajada de la India en Kabul, y expresamos nuestras condolencias a los gobiernos y pueblos de los países afectados y a los familiares de las víctimas."	0
"Dado que Hizbullah mantiene estrechos vínculos con varios Estados de la región, en particular con la República Islámica del Irán, como lo reconoció públicamente el propio Secretario General de la milicia, insto a esos Estados a que alienten la transformación del grupo armado en un grupo exclusivamente político. y su desarme, de conformidad con los requisitos del Acuerdo de Taif y la resolución 1559 (2004), en aras de la paz y la estabilidad regionales."	0
"La región tiene una baja presencia e influencia de fuerzas militantes opositoras, incluso si estas fuerzas utilizan rutas de transporte y dependen de refugios en la provincia de Farah."	1
"Este desagradable incidente político fue duramente condenado en un comunicado de prensa emitido inmediatamente después del incidente por la Oficina del Presidente Ernest Bai Koroma, y ​​en muchos comunicados de prensa posteriores de otros grupos de interés político, incluidos los partidos APC y PMDC, la Comisión de Medios Independientes, la Comisión de Registro de Partidos Políticos (PPRC) y la Campaña por la Buena Gobernanza."	0
"A. Necesidades actuales 85. Desde que el Consejo de Seguridad impuso medidas a Côte d'Ivoire, el Gobierno ha restringido la adquisición de armas y municiones. Esto se debe a un intenso programa de adquisiciones previo al embargo y al uso limitado de armas y municiones durante el corto período de intenso conflicto armado de 2004."	0
"Medidas especiales para proteger a las mujeres y las niñas de la discriminación y la violencia de género, la violación y otras formas de violencia sexual (acceso a reparación legal; centros de crisis; refugios; atención médica; asesoramiento y otros programas de asistencia; mecanismos de seguimiento y presentación de informes)."	1
"Las circunvalaciones ilegales en la línea fronteriza administrativa y las actividades de contrabando siguieron siendo un problema durante el período que abarca el informe."	0
"23. Las operaciones conjuntas o paralelas de la MONUC y las FARDC, incluidas las misiones de control de zonas y de acordonamiento y búsqueda, así como las patrullas diurnas y nocturnas, han mejorado la situación de la seguridad en Kivu del Sur. Unos 1.000 efectivos, que comprendían dos batallones de las FARDC, participaron en una de esas operaciones del 6 al 9 de septiembre en la zona del parque Kahuzi Beiga, que es una zona de concentración de las FDLR."	1
"58. Darfur se encuentra en una etapa crítica."	0
"En el marco de la recodificación del derecho penal sustantivo, el Gobierno propuso hacer que las personas jurídicas sean penalmente responsables por una serie de delitos, incluidos los delitos terroristas y los delitos asociados con el terrorismo, como el lavado de dinero y la financiación del terrorismo."	1
"3. Estados Unidos 73 - 74 17"	0
"A medida que esta amenaza crece, la respuesta de la comunidad internacional debe evolucionar y mantener el ritmo."	0
"En la práctica, ambas Comisiones llegaron a conclusiones sobre los derechos de propiedad inmueble con fines de restitución en lugar de otorgar compensación, en línea con la voluntad política de privilegiar el regreso a sus lugares de las personas que habían sido desplazadas como resultado de la discriminación étnica y las hostilidades. de origen frente a otras soluciones duraderas."	1
"Las Fuerzas Armadas Libanesas informaron a las Naciones Unidas de que el deterioro de la situación de seguridad en la República Árabe Siria las había llevado a adoptar mayores medidas de control de la frontera a fin de impedir el movimiento de armas y personal militar hacia y desde el Líbano."	1
"15. Los observadores militares de la UNOMIG continuaron desempeñando las tareas que se les habían encomendado realizando patrullas terrestres diarias y estableciendo enlaces con las autoridades locales y coordinando con la fuerza colectiva de mantenimiento de la paz de la Comunidad de Estados Independientes (CEI), así como con los organismos encargados de hacer cumplir la ley de ambas partes."	1
"Además de Bangladesh, las Partes en la convención son el Reino de Bután, la República de la India, la República de Maldivas, el Reino de Nepal, la República Islámica de Pakistán y la República Socialista Democrática de Sri Lanka."	0
"Otra especificidad de la Ley:"	0
"Por ejemplo, en 2009, Bután estableció una unidad de fuerzas especiales de élite en su departamento de policía para combatir el terrorismo."	1
"392. Sobre la base de la información de que dispone la Comisión, parecería que los saqueos llevados a cabo principalmente por los Janjaweed en el contexto de ataques contra aldeas se han llevado a cabo en gran escala y han sido tolerados por el Gobierno del Sudán mediante la propagación de una cultura de impunidad y el apoyo directo a los Janjaweed."	0
"Todavía es posible detener el derramamiento de sangre en Yugoslavia."	0
"76. Hamoud Nassir Baanoun el-Enezi"	0
"2. Recuerda a este respecto que los periodistas, los profesionales de los medios de comunicación y el personal asociado que realicen misiones profesionales peligrosas en zonas de conflicto armado serán considerados civiles y serán respetados y protegidos como tales, siempre que no realicen ninguna acción que afecte negativamente a su condición de civiles . Esto se entiende sin perjuicio del derecho de los corresponsales de guerra acreditados ante las fuerzas armadas al estatuto de prisioneros de guerra previsto en el artículo 4.A.4 del Tercer Convenio de Ginebra;"	1
"A este respecto, el Reino de Marruecos ha cumplido plenamente y a tiempo todas sus obligaciones, en particular liberando a los detenidos, incluidos soldados argelinos, y proporcionando todas las aclaraciones sobre las presuntas desapariciones solicitadas por el Comité Internacional de la Cruz Roja."	1
"B. Preservación de la escena del crimen"	1
"Desarrollar directrices de género para DDR; proporcionar disposiciones de seguridad para los sitios de desarme dentro de las zonas de DDR, con especial atención a las necesidades de las mujeres; organizar reuniones con mujeres excombatientes y aquellas asociadas con las fuerzas combatientes para evaluar las necesidades y los mecanismos de reintegración."	1
"También se hacen recomendaciones sobre la participación de actores nacionales tanto para garantizar un conocimiento suficiente de los antecedentes sociales, políticos y culturales relevantes para los casos como para reforzar el desarrollo del sector judicial nacional."	0
"6. Sobre la base del examen amplio de todas las listas completado en 2010, de conformidad con el párrafo 25 de la resolución 1822 (2008), desde entonces el Comité ha aplicado numerosos mecanismos para garantizar que la Lista refleje mejor la amenaza que plantea Al-Qaida y garantizar que Cada entrada se revisa periódicamente para determinar si es apropiado continuar en la lista."	1
"▪ Dirigir ataques contra la población civil o contra civiles individuales que no participan directamente en las hostilidades;"	0
"El Consejo tiene la intención de seguir luchando enérgicamente contra la impunidad con medios apropiados y llama la atención sobre toda la gama de mecanismos de justicia y reconciliación que deben considerarse, incluidas cortes y tribunales penales nacionales, internacionales y \"mixtos\" y comisiones de verdad y reconciliación."	1
"114. Varios Estados, organizaciones internacionales, instituciones académicas y otros están desarrollando activamente programas de rehabilitación nuevos e innovadores para personas detenidas o encarceladas en relación con su participación en actos terroristas."	1
"594. En el momento en que se estableció por primera vez esta obligación internacional, y tal vez incluso en 1949, cuando se redactaron y aprobaron los Convenios de Ginebra, se concebía claramente como una obligación de cada Estado contratante hacia cualquier otro Estado contratante interesado."	1
"El plan decenal de capacidad de las Naciones Unidas fue el enfoque correcto a este respecto."	0
"y la Convención sobre los Derechos del Niño de 1989"	0
"A esto le seguiría inmediatamente un registro a nivel nacional de los aproximadamente 2,7 millones de votantes potenciales del país."	0
"7. El 28 de junio de 2010, la ceremonia del Día de San Vito celebrada en el Monasterio de Graçanicë/Gracanica y en el Monumento a Gazimestán atrajo a unas 1.500 personas."	0
"Que se celebrará el lunes 13 de julio de 1998, a las 12.20 horas"	0
"35. Decide, a fin de ayudar al Comité a cumplir su mandato, que el Equipo de Vigilancia 1267, establecido de conformidad con el párrafo 7 de la resolución 1526 (2004), también apoye al Comité durante un período de treinta meses, con el mandato establecido en el anexo de la presente resolución, y solicita al Secretario General que adopte todas las disposiciones necesarias a tal efecto;"	0
"21. La situación entre Eritrea y Etiopía (26 de junio de 1998; 30 de julio de 2008)."	0
"UNICEF también ha apoyado la rehabilitación de 28 estructuras de salud y planea mejorar otros 113 centros de salud en todo el país."	0
"Profundamente preocupada por el hecho de que los grupos terroristas que se benefician de la delincuencia organizada transnacional puedan contribuir a socavar a los Estados afectados, en particular su seguridad, estabilidad, gobernanza y desarrollo social y económico,"	0
"Cinco han establecido en su legislación una jurisdicción adecuada para los delitos pertinentes."	1
"6. La aplicación de medidas de autoprotección, incluido el despliegue de personal de seguridad armado contratado de forma privada a bordo de buques y destacamentos de protección de buques, junto con una mayor conciencia situacional, entrenamiento y maniobras evasivas y el uso de canales marítimos seguros por parte de buques comerciales, también puede tener disuadió a los piratas de atacar barcos."	1
"46. ​​El Comité contra el Terrorismo y su Dirección Ejecutiva deberían: a) Colaborar más activamente con las organizaciones regionales pertinentes (Unión Africana, Comunidad de África Oriental, Organización de Cooperación de Jefes de Policía de África Oriental, Grupo de Lucha contra el Blanqueo de Dinero de África Oriental y Meridional y Programa de Creación de Capacidades de la IGAD contra el Terrorismo y centrarse en actividades orientadas a superar las deficiencias y mejorar la implementación de la resolución;"	1
"Tomando nota de la solicitud del Gobierno del Afganistán de que el Consejo de Seguridad apoye la reconciliación nacional, incluso eliminando nombres de las listas de sanciones de las Naciones Unidas para quienes se reconcilien y, por lo tanto, hayan dejado de participar o apoyar actividades que amenazan la paz, la estabilidad y seguridad de Afganistán,"	1
"El Grupo también mantuvo contactos periódicos con otros grupos de expertos."	0
"Sólo en cinco Estados se han adoptado parcialmente medidas para impedir el abuso de los procedimientos de asilo."	1
"Los miembros del Consejo también reconocen la necesidad de establecer una oficina integrada de las Naciones Unidas en la República Centroafricana, como se destacó en las conclusiones formuladas por una delegación de la Comisión de Consolidación de la Paz tras su reciente visita al país."	1
"Algunos Estados necesitan fortalecer aún más sus sistemas judiciales para poder llevar a cabo procesamientos por terrorismo en plena conformidad con el estado de derecho."	1
"La campaña electoral, que acababa de comenzar, se rigió por la Ley Electoral y el Reglamento del Órgano Conjunto de Gestión Electoral y fue supervisada por observadores internacionales."	1
"Los avances en esta esfera permitirán que los centros de seguridad pública de la República Srpska y la administración de policía del Ministerio del Interior de la Federación de Bosnia y Herzegovina funcionen utilizando una metodología fiscal mejorada el próximo año."	1
"RESUMEN DE RECOMENDACIONES 779 127 Página"	0
"No hay ningún cajero que pueda verificar la identidad del cliente cara a cara y los procedimientos indirectos de debida diligencia que existen son vulnerables al abuso debido a los niveles de anonimato del cliente y la falta de supervisión directa."	0
"Acogiendo con beneplácito los continuos progresos que Burundi ha logrado hacia la paz, la estabilidad y el desarrollo y destacando la necesidad de que el sistema de las Naciones Unidas y la comunidad internacional, incluidas las instituciones financieras internacionales y los asociados para el desarrollo de Burundi, mantengan su apoyo a la consolidación de la paz y el desarrollo a largo plazo en Burundi,"	1
"Que se celebrará el viernes 14 de enero de 2011, a las 10.00 horas"	0
":: Remesas bancarias a los proveedores por parte de la empresa de Kampala en nombre de los comerciantes de Ituri."	0
"El intercambio operativo de información se ve obstaculizado por la falta de capacidades institucionales y operativas y por desafíos lingüísticos."	1
"Durante este período se reforzó la base de apoyo de la Comisión y se instalaron nuevos programas de software que hicieron más operativa la base de datos."	1
"Sin embargo, un hilo común que une prácticamente todas las áreas es la necesidad apremiante de asegurar recursos adecuados para las instituciones del Estado y las fuerzas de seguridad nacionales en términos de un número suficiente de personal adecuadamente capacitado y equipado, así como el apoyo logístico y la infraestructura adecuada para brindar Servicios estatales."	0
"81. La capacidad de los comandantes para ejercer control, mantener conciencia de la situación y planificar y coordinar sus acciones vertical y horizontalmente a través de la estructura de mando es fundamental para cualquier operación militar o paramilitar. Dado que Al-Qaida, los talibanes y sus asociados participan en esa actividad, ellos también deben poseer los medios necesarios para hacerlo, incluido equipo de comunicaciones."	0
"En Centroamérica y el Caribe, el proceso de Diálogo de San José ejecuta programas sobre integración y prevención del terrorismo y la incitación."	1
"(b) los miembros del personal del Mecanismo también pueden ser miembros del personal del TPIY o del TPIR."	0
"25. Reitera su invitación al Secretario General a que siga remitiendo al Consejo información y análisis pertinentes sobre la protección de los civiles cuando crea que esa información o análisis podría contribuir a la solución de las cuestiones que tiene ante sí, le pide que siga incluyendo en sus informes escritos al Consejo sobre las cuestiones de las que se ocupa, según proceda, observaciones relativas a la protección de los civiles en los conflictos armados, y lo alienta a continuar las consultas y adoptar medidas concretas para mejorar la capacidad de las Naciones Unidas a este respecto ;"	0
"El 5 de mayo de 2005, los mismos camiones que transportaban armas y alimentos regresaron a Somalia a través de la ciudad fronteriza de Yeed, en la región de Bakool. El 7 de mayo de 2005, los camiones que contenían las armas llegaron a Hudur, capital de la región de Bakool, y almacenaron temporalmente las armas en la comisaría de policía de Hudur."	1
"29. Como parte de los esfuerzos de la División por contratar expertos bien calificados para formar parte de los grupos, equipos y paneles de vigilancia de las sanciones, y como se hace anualmente, en diciembre se envió una nota verbal a todos los Estados Miembros para solicitar la designación de candidatos calificados para pertenencia a la lista de expertos de la División."	1
"El Grupo investigó el suministro de esos vehículos al norte de Côte d'Ivoire, pero se vio obstaculizado por no poder realizar una inspección minuciosa de los vehículos de las FN, aunque tomó fotografías de varios de ellos en un convoy militar en Bouaké."	1
"Informe del Secretario General sobre la Misión Integrada de las Naciones Unidas en Timor-Leste (S/2007/50)."	0
"88. En su carta invitando a los países no miembros a participar en la sesión de recapitulación, el Presidente del Consejo de Seguridad alentó a todos los oradores a hacer evaluaciones francas y centradas del papel del Consejo al abordar cualquiera o todos los problemas mencionados anteriormente. los temas mencionados, de modo que las intervenciones sirvieran como guías útiles para los trabajos futuros del Consejo."	0
"Utilizar equipos multifuncionales a nivel nacional para trabajar con comunidades de refugiados para identificar la protección contra la violencia de género y las preocupaciones de los programas; generar iniciativas de sensibilización propiedad de los refugiados; apoyar proyectos piloto para abordar la violencia de género, incluidos proyectos dirigidos a hombres y niños; distribuir e implementar directrices sobre violencia sexual y de género contra refugiados, repatriados y desplazados internos."	1
"Un Estado señaló que había establecido un centro internacional para el diálogo interreligioso y había organizado y acogido muchos eventos conexos."	1
"Que se celebrará el jueves 13 de julio de 2006, a las 15.10 horas"	0
"Ofrece infraestructura y saneamiento mejorados, apoyo médico para los reclusos y el personal y programas de educación y formación profesional en áreas como construcción, costura, carpintería y fabricación de ladrillos."	1
"Además, el artículo 75 (3) establece que antes de dictar una orden de reparación, la Corte podrá invitar y tomará en cuenta las representaciones del condenado, de las víctimas, de otras personas interesadas o de los Estados interesados, o en su nombre."	1
"También apoya otras actividades relacionadas con la implementación del objetivo del Grupo de Contacto de abordar la piratería en todos sus aspectos."	1
"También es necesario protegerse más eficazmente contra el uso indebido de las organizaciones sin fines de lucro, garantizando al mismo tiempo que la regulación sea proporcional al riesgo y no se aplique arbitrariamente."	0
"La investigación y el procesamiento de casos relacionados con nuevos métodos de pago exigen un alto nivel de habilidad técnica y una actuación rápida por parte de las autoridades. También requieren formas reforzadas de cooperación internacional, especialmente en materia de conservación de pruebas electrónicas."	1
"Nuestro país ha ratificado los siguientes nueve instrumentos internacionales:"	0
"El programa exige que los excombatientes regresen abiertamente, entreguen las armas y acepten respetar la legitimidad del Gobierno, el estado de derecho y un mecanismo de vigilancia comunitario, junto con otras medidas que dependen de la persona involucrada."	1
"(Reino Unido de Gran Bretaña e Irlanda del Norte)"	0
"El juicio por el caso del asesinato, el 2 de junio de 2010, del activista de derechos humanos Floribert Chebeya Bahizire y su conductor, Fidèle Bazana, está en curso."	1
"Aquellas pérdidas que no caen dentro de esta clasificación fueron agrupadas y se consideran en un subapartado final."	0
"En ese sentido, quisiera recalcar una vez más que, a diferencia de otras situaciones bien conocidas que implican reivindicaciones territoriales infundadas e ilegítimas, incluidas aquellas bajo el pretexto inventado de cuidar a los grupos étnicos minoritarios, el derecho a la libre determinación y a la condición de Estado del pueblo de Palestina ha sido reconocida."	0
"20. A este respecto, es significativo que el Consejo de Seguridad, en su resolución 1963 (2010), aliente a la Dirección Ejecutiva del Comité contra el Terrorismo a examinar con los Estados Miembros, con su consentimiento, el posible desarrollo de medidas nacionales amplias e integradas de lucha contra el terrorismo. estrategias contra el terrorismo que incluyan la atención a los factores que conducen a actividades terroristas, de conformidad con sus obligaciones conforme al derecho internacional. También es pertinente el énfasis puesto por el Consejo en la resolución 1963 (2010) en el papel que las organizaciones regionales y subregionales pueden desempeñar en la lucha contra el terrorismo, en particular mejorando las capacidades de los Estados Miembros para aplicar plenamente la resolución 1373 (2001) y facilitando la prestación de asistencia técnica."	0
"17. A pesar del desarme de 15.600 excombatientes en Ituri, la Comisión Nacional de Desmovilización y Reinserción sigue enfrentando dificultades para cumplir sus responsabilidades, en particular el pago de subsidios de desmovilización a los excombatientes, lo que ha provocado un mayor descontento entre ellos. Los subsidios deben pagarse urgente y regularmente."	1
"La Comisión ha enviado y seguirá enviando a las autoridades libanesas toda la información relacionada con cualquier asunto penal que vaya más allá del alcance de la investigación de la Comisión."	1
":: Ley de asistencia mutua en asuntos penales, 1991"	0
"En la mañana del 12 de marzo de 2012, grupos terroristas llevaron a cabo otra masacre horrible en ciertos distritos de la ciudad de Homs, que causó la muerte de unos 45 civiles, sin mencionar las atrocidades que esos grupos han perpetrado en otras partes de Siria."	0
"S/AC.26/19 de diciembre (1994)"	0
"\"El Consejo de Seguridad reafirma su firme compromiso con la soberanía, la independencia, la unidad y la integridad territorial de Siria y todos los demás Estados afectados por el conflicto sirio, y con los propósitos y principios de la Carta de las Naciones Unidas."	0
