"","en_ar_TRANSFORMERS","MatConf"
"45","وتشعر اللجنة بالقلق لأن المسائل الهيكلية، بما في ذلك القوانين والسياسات التي تنتهك الحق في الغذاء الكافي والتحرر من الجوع، لا تزال قائمة، الأمر الذي قد يؤدي إلى تكرر المجاعة الجماعية.",1
"46","غير أن النساء والأطفال يقعون أيضاً ضحايا لأعمال القتل أثناء العديد من الهجمات.",1
"47","5 - وفي 17 تموز/يوليه 2006، عقد مؤتمر القمة السادس لرؤساء دول وحكومات جماعة البلدان الناطقة بالبرتغالية بنجاح في بيساو.",0
"48","التاسع - تسمية السلع والكيانات والأفراد",0
"49","وتواصلت الهجمات على المدنيين، بما في ذلك أعمال العنف الجنسي، من جانب الجماعات المسلحة الأجنبية والكونغولية وبعض عناصر القوات المسلحة لجمهورية الكونغو الديمقراطية.",1
"50","- بتاريخ 30 تشرين الثاني/نوفمبر 2014 أطلق طيران حربي نوع (قذيفة) على مدينة الأندان مما أدى إلى مقتل 11 شخصاً من بينهم طفل واحد.",1
"51","ويذكّر هذا الإعلان العالم بأنه ينبغي معاملة ضحايا الجريمة بالرحمة والاحترام، وينص على أنه يحق لهم الحصول على العدالة، والمعاملة العادلة، والانتصاف في شكل رد الحق، والتعويض، وغير ذلك من أشكال المساعدة فيما يتعلق بالإصابات التي لحقت بهم.",0
"52","وتم تزويدهم بتفاصيل التسجيل وأشاروا إلى أنهم سيحققون في الأمر وسيردون على الفريق.",0
"53","المقرر عقدها يوم الخميس، 26 شباط/فبراير 2009، الساعة 00/10",0
"54","ولا يزال من المهم النهوض بنظام جزاءات الأمم المتحدة المحددة الأهداف أكثر فعالية وقائمة على الأدلة.",0
"55",")ح( المصروفات التقديرية.",0
"56","وخلال العام الماضي، استهدفت قوات المعارضة المعتدلة ما لا يقل عن 94 في المائة من عمليات مكافحة الإرهاب المزعومة التي قام بها النظام السوري والتي يبلغ عددها 982 عملية.",1
"57","ويدعو المجلس مقاتلي جيش الرب للمقاومة المتبقين إلى ترك صفوف المجموعة والمشاركة في عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة التوطين وإعادة الإدماج.",0
"58","وإذ تؤكد من جديد أن مواصلة الجهود الدولية الرامية إلى تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، في محاولة لمنع الاستهداف العشوائي لمختلف الأديان والثقافات، ومعالجة الصراعات الإقليمية التي لم تحل ومعالجة المجموعة الكاملة من القضايا العالمية، بما فيها قضايا التنمية، ستسهم في تعزيز مكافحة الإرهاب على الصعيد الدولي،",0
"59","وتم خلال الحملة فحص ما مجموعه 814 9 شخصا، و 295 7 من الإناث و 519 2 من الذكور، للكشف عن فيروس نقص المناعة البشرية.",0
"60","278 - وتلاحظ اللجنة أيضا أن الجنجويد قد استهدفوا وقتلوا، في عدد من المناسبات، أطفالا على وجه التحديد، بما في ذلك في كايلك وسورا المشار إليهما أعلاه، وتلقت اللجنة تقارير عديدة عن قتل الأطفال عشوائيا و/أو مستهدفا، أحيانا في ظروف مروعة مثل الحرق أو التشويه.",1
"61","ويجب أن يُفهم الإرهاب أولا على أنه جريمة، لا يمكن تبريرها تحت أي ظرف من الظروف، إلا أنه أيضا مظهر من مظاهر المظالم، تصاغ بطريقة لا إنسانية وبغيضة وغير مقبولة.",0
"62","والمحطــة الطرفيــة للفاكهة مجــاور للمحطــة العسكريــة فــي جزء معزول من الميناء، وهذا هو السبب في تفريغ المعدات العسكرية هناك.",1
"63",":: وضع نظام للرصد والرقابة والوقاية في هذا المجال؛",0
"64","وفي ليبيا، عزز أنصار الشريعة وجوده في الشرق، ولا سيما في درعا وبنغازي، ونفذ العديد من الاغتيالات لأفراد قوات الأمن الوطني ومؤسسات الدولة الأخرى.",1
"65","وفيما يلي أسماء أعضاء فريق التحقيق:",0
"66","وهناك ما لا يقل عن 90 بلداً متأثراً بالأجهزة المتفجرة المرتجلة، ويتبادل تنظيم القاعدة وفروعه المعلومات والمشورة بشأن أفضل السبل لتشييدها واستخدامها.",1
"67","وتمنع أحكام العفو الإفلات من العقاب على العنف الجنساني.",1
"68","95 - ويتطلب وضع الإخطارات الخاصة المشتركة بين الإنتربول ومجلس الأمن التابع للأمم المتحدة تعاونا وثيقا للغاية بين المنظمتين خلال العام الماضي، فضلا عن اتفاق الجمعية العامة للإنتربول واللجنة المنشأة عملا بالقرار 1267 (1999).",0
"69","ويشدد المجلس على ضرورة قيام جميع الأطراف باحترام وصون أمن مخيمات اللاجئين والمشردين داخليا وطابعها المدني.",0
"70","وتبعا لظروف كل حالة، يمكن بالتالي الاشتباه في أن هؤلاء الأفراد قد ارتكبوا، بموجب مبدأ العمل الإجرامي المشترك، الجرائم ضد الإنسانية المتمثلة في قتل المدنيين والتشريد القسري وجرائم الحرب المتمثلة في شن هجمات عشوائية على المدنيين وتدمير الأعيان المدنية.",0
"71","2 - قانون عام 2005 المتعلق بأسلحة الدمار الشامل (المادة 9)",0
"72","وفي حين أن اللجنة مقتنعة، استنادا إلى الأدلة التي قدمها شهود مستقلون، بأن القوات المسلحة التيمورية بدأت تبادل إطلاق النار، في الوقت الذي اعتقد فيه كل من الجانبين أنهما تعرضا لهجوم من الطرف الآخر.",1
"73","ولدى سبع دول بعض التدابير لرصد وتنظيم ومراقبة إنتاج الأسلحة والمتفجرات وبيعها ونقلها.",0
"74","600 - وفي ضوء هذا النظام القانوني الدولي، يجب النظر إلى التزام السودان بدفع تعويضات عن جميع الجرائم التي ارتكبها في دارفور وكلاؤه وموظفوه أو أجهزته القائمة بحكم الواقع.",1
"75","وهناك معلومات تفيد بأنه بالنظر إلى أن هذه الجماعات تسيطر سيطرة شاملة فعالة على الأفراد العسكريين الذين يقاتلون لصالح الجماعات المتمردة، فإنها كانت على علم ببعض الجرائم التي يرتكبها هؤلاء الأفراد العسكريون، أو، على الأقل، كان ينبغي لها أن تعرف ما كان يحدث ولكنها لم تتخذ أي إجراء لوقف ارتكاب الفظائع.",1
"76","فرنسا، ألمانيا، المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية",0
"77","ومنذ تشرين الأول/أكتوبر 2013، عطلت المنظمة هجومين من هجمات القراصنة ونقلت خمسة أشخاص يشتبه في أنهم قراصنة لمحاكمتهم في سيشيل.",1
"78","والموارد الطبيعية للجنوب الأفريقي، والجريمة العابرة للحدود، وتوافر الأسلحة الصغيرة في سياق الصراعات السابقة، تجعل المنطقة دون الإقليمية عرضة لخطر الوقوع في براثن غسل الأموال والمجرمين الدوليين وتجار المخدرات والجماعات الإرهابية.",1
"79","وكان لدى هذه الشاحنات رشاش من طراز DShK (مدافع رشاشة من طراز rithod من عيار 7.7 ملم) مثبتة من الخلف، وكان لدى إحداها نظام لقاذفات الصواريخ من طراز Hound يستخدم لإطلاق الصواريخ داخل القرية وعبرها.",1
"80","ووفقا لبعض التقديرات، تم تدمير أكثر من 700 قرية في ولايات دارفور الثلاث تدميرا كليا أو جزئيا، كما تلقت اللجنة معلومات تفيد بأن الشرطة أجرت تقييما للتدمير وسجلت عدد القرى المدمرة بأكثر من 000 2 قرية.",1
"81","ومن الواضح أن كلا الأمرين لا يمكن اكتسابهما على الفور، وهذا يتطلب قدرا كبيرا من الوقت والجهد والموارد ومخصصات الميزانية.",0
"82","يعاقب مرتكب الجريمة بالسجن لمدة تتراوح بين ثماني سنوات وخمس عشرة سنة مع مصادرة الممتلكات حسبما تراه المحكمة مناسبا، أو بعقوبة استثنائية، إذا تسبب الفعل الوارد وصفه في الفقرة 1 في ضرر بدني جسيم.",1
"83","341 - وأفادت مصادر أخرى بأن النساء والفتيات اختطفن واحتجزن عدة أيام واغتصبهن الجنجويد والجنود مرارا وتكرارا في القرى التي تعرضت للهجوم والمعسكرات العسكرية والمخابئ، وعلاوة على ذلك، تفيد التقارير بأن التعذيب يستخدم لمنع النساء من الفرار.",1
"84","وقامت حركات التمرد أيضا بأعمال نهب استهدفت أساسا مراكز الشرطة للحصول على الأسلحة؛ واستهدف المتمردون أيضا في بضع مناسبات الممتلكات الخاصة.",1
"85","الحالة في تيمور - ليشتي (15 كانون الأول/ديسمبر 1975؛ 25 شباط/فبراير 2008)",0
"86","”في 30 تشرين الأول/أكتوبر 2006، استمع مجلس الأمن إلى السيد إيلي دوتي، رئيس وزراء جمهورية أفريقيا الوسطى، وإلى الجنرال لامين سيسي، الممثل الخاص للأمين العام.",0
"87","17 تشرين الثاني/نوفمبر 2005 S/AC.45/2005/38",0
"88","٩٦ - وأبلغ العميد رواق اللجنة بأنه على علم بأنه لا يوجد قانون محدد يسمح بتسليح "" الاحتياطيين "" وذكر أن وزير الدفاع أذن له بذلك بعد أن قدم الاقتراح.",1
"89","115 - ويمكن أن يكون للحظر الحالي أثر أكبر على الطالبان إذا أخذ ذلك في الاعتبار، وإذا مُنعت جميع الجهات الفاعلة من غير الدول في أفغانستان من شراء الأسلحة، مع الإعفاءات اللازمة للأغراض الإنسانية وغيرها، على النحو الذي تأذن به حكومة أفغانستان أو مجلس الأمن.",1
"90","(ب) معدات الطباعة المقتناة حديثاً - 284 973 26 دولاراً من دولارات الولايات المتحدة.",0
"91","وألقى رئيس وزراء إسبانيا، خوسيه ماريا أزنار، كلمة أمام المجلس.",0
"92","المقرر عقدها يوم الأربعاء، 20 شباط/فبراير 2008، الساعة 00/15",0
"93","ولم تقدم شركة البترول الوطنية الكويتية خدمات تكرير النفط لأي زبون غير مؤسسة البترول الكويتية.",0
"94",":: استخدام تجويع المدنيين كوسيلة من وسائل الحرب بحرمانهم من الأشياء التي لا غنى عنها لبقائهم على قيد الحياة، بما في ذلك تعمد إعاقة إمدادات الإغاثة على النحو المنصوص عليه في القانون الإنساني الدولي الساري.",1
"95","ويجب أن تحتفظ باستقلالها وموضوعيتها من أجل بث الثقة في العملية الانتخابية.",0
"96","وأصيب اثنان منهم بجروح، ولكن تمكنا من البقاء على قيد الحياة بفضل المساعدة التي قدمها الصليب الأحمر.",1
"97","تؤكد حكومة الجمهورية العربية السورية على أنها تفي بواجبها المتمثل في حماية مواطنيها ونزع سلاح الإرهابيين ومحاسبة الجناة، وتواصل سعيها لإيجاد حل سياسي للأزمة في سورية من خلال التعاون مع المبعوث الخاص كوفي عنان والاستفادة من مجموعة الإنجازات الديمقراطية التي بدأت في آذار/مارس من العام الماضي، ومنها رفع حالة الطوارئ، وإصدار القوانين المتعلقة بالتعددية السياسية والانتخابات المحلية وحرية وسائط الإعلام، والعمل على معالجة الوضع الاقتصادي للمواطنين، وإصدار دستور جديد، وغير ذلك من التدابير الرامية إلى تعزيز الحياة السياسية وتعزيز التعددية والديمقراطية من أجل الشروع في عملية إصلاح شاملة.",0
"98","وفي 22 آب/أغسطس 1994، قدمت الشركة الإيرانية مطالبتها بالتعويض عن الخسائر التي تدعي أنها تكبدتها مجموعة شركاتها، والتي تم تحديدها ومناقشتها أدناه في الفقرات 181-192.",0
"99","جماعات أخرى مدرجة في القائمة، مثل لاشكار تاييبا (Leet) (QE.L.118.05)، تقوم بتدريب وتجنيد عناصرها في المناطق الخاضعة لسيطرة حركة طالبان الباكستانية.",1
"100","3 - تهيب بجميع الدول القيام بما يلي:",0
"101","(ج) كيسانغاني كنت محاولة واضحة من جانب الجيش الوطني الرواندي وحلفائه في التجمع الكونغولي من أجل الديمقراطية (غوما) لوقف عملية التحقق التي وافقت عليها المنطقة لتحديد ما إذا كان التجمع الكونغولي من أجل الديمقراطية (كيسانغاني) قائماً مستقلاً عن التجمع الكونغولي من أجل الديمقراطية (غوما) بهياكل سياسية وعسكرية منفصلة، وبدعم سياسي/متابعة في الأراضي المحررة؛",0
"102","وسيتناول أيضا التحقيق في الأعمال الإرهابية وملاحقة مرتكبيها، بهدف تقديم الإرهابيين ومن يدعمونهم إلى العدالة.",0
"103","ويساورني بالغ القلق إزاء التصعيد الأخير بين غزة وإسرائيل.",0
"104","ومن المتفق عليه عموما أن التصعيد تزامن مع اشتداد النزاع المسلح الداخلي بين الحكومة وحركتي التمرد، حركة/جيش تحرير السودان وحركة العدل والمساواة.",1
"105","وقد عُدلت نفقات المشروع التعويضي لمراعاة التعديلات الواردة في المرفق الثاني فضلاً عن التعديلات الإضافية التي تشمل ما يلي:",0
"106","المقرر عقدها يوم الاثنين 14 تشرين الثاني/نوفمبر 2011، الساعة 20/16",0
"107","8 - الوزراء ونواب الوزراء الحاليين والسابقين؛",0
"108","كل شهر، من الأموال التي يتم جمعها، يدفع لأفراد الميليشيات، ""دائرة داخلية"" له (المرشدون وأقرب الشركاء) وشيوخ العشيرة ويشتري الأسلحة.",1
"109","واعتبر أن المساءلة أساسية للمصالحة وأنه يتعين أيضا بذل جهود لمساءلة أعضاء الجماعات المسلحة الذين ارتكبوا انتهاكات جسيمة لحقوق الإنسان.",1
"110","ومع ذلك، لا تزال هناك إمكانية لانهيار كامل للقانون والنظام، بالإضافة إلى انهيار الاقتصاد الهش وتفكك مؤسسات الحكم الذاتي الفلسطيني.",0
"111","يتوقع صدور الحكم في النصف الأول من عام 2011.",0
"112","ويؤكد المجلس من جديد أن وضع حد للإفلات من العقاب أمر أساسي إذا أريد لمجتمع يخوض صراعا أو يتعافى من الصراع أن يتماشى مع الانتهاكات التي ارتكبت في الماضي ضد المدنيين وأن يحول دون وقوع هذه الانتهاكات في المستقبل.",0
"113","وهذا التفسير تبرره المبادئ الأساسية للقانون الجنائي الدولي، التي تنص على أن المسؤولية الجنائية الفردية تنشأ عندما يرتكب شخص ما جريمة بصورة مادية، وكذلك عندما ينخرط في أشكال أو طرائق أخرى من السلوك الإجرامي.",1
"114","ولم تقع أي حوادث أثناء عمليات التطهير خلال الفترة.",0
"115","544 - وحددت اللجنة 14 من الجنجويد يشتبه في ارتكابهم جريمة دولية في إطار مفهوم المشروع الإجرامي المشترك.",1
"116","ولم توضع أي وثيقة تحدد أساس الإعلان، والنطاق الإقليمي للإعلان، ودرجة تدخل السلطات العسكرية والسلطات الممنوحة وطريقة التعاون بين القوات المسلحة التيمورية والشرطة الوطنية لتيمور - ليشتي أو قرارات قيادة العمليات الميدانية.",1
"117","ويتضح ذلك من الجماعات التي تقاتل في الصومال واليمن والجمهورية العربية السورية ونيجيريا.",1
"118","وبما أن حزب الله يقيم علاقات وثيقة مع عدد من دول المنطقة، ولا سيما مع جمهورية إيران الإسلامية، على نحو ما أقره علنا الأمين العام للميليشيا نفسها، فإنني أدعو هذه الدول إلى تشجيع تحويل الجماعة المسلحة إلى حزب سياسي وحيد ونزع سلاحها، بما يتسق مع متطلبات اتفاق الطائف والقرار 1559 (2004)، بما يحقق مصالح السلام والاستقرار الإقليميين على أفضل وجه.",0
"119","وقد لاحظنا مع القلق تقييم الأمين العام بأن العديد من العوامل التي أدت إلى تفاقم أزمة عام 2006 لا تزال موجودة في المجتمع، مما يجعلها عرضة لعدم الاستقرار.",0
"120","وبما أن هذه الخطوط كانت قد اشتُريت لأول مرة في أوائل كانون الثاني/يناير 2005 حتى وقت الانفجار، فإن الخطوط لم يكن لها سوى اتصالات فيما بينها.",1
"121","وثائق الهوية والسفر: الإصدار والمراقبة والكشف عن الغش",0
"122","وأبلغ أحد كبار المسؤولين الحكوميين المشاركين في عملية التجنيد اللجنة بأن زعماء القبائل يتقاضون أجورهم من المنح والهدايا على أساس جهودهم في التوظيف وعدد الأشخاص الذين يقدمونهم.",1
"123","وبعد ذلك، ظل هؤلاء الضباط تحت قيادته وتم تسليحهم بأسلحة من طراز ستير.",1
"124","وفقا للفقرة 32 من هذا القرار، يعمل فريق الرصد تحت إشراف اللجنة المنشأة عملا بالقرار 1267، ويضطلع بالمسؤوليات التالية:",0
"125","وفيما يتعلق بقتل المتمردين للجنود المحتجزين، تلقت اللجنة تقارير، لا سيما من الحكومة، عن إعدام جنود محتجزين نفذهم المتمردون.",1
"126","ولا تتطابق رسوم العمل الإضافي مع قوائم المهام التي قدمتها الشركة.",0
"127","وتعهد المشاركون بدعم توقيع اتفاق سلام، ودعوا إلى تعزيز قدرات البعثة المتكاملة والتزموا بتعزيز التعاون الأمني الإقليمي لمكافحة الإرهاب.",0
"128","وألحق القصف أضرارا بالمسجد والمنازل المجاورة.",1
"129","قرار مجلس الأمن 1910 (2010)، الفقرة 12 من المنطوق",0
"130","ولذلك ينبغي للبلدان المساهمة بقوات وبأفراد شرطة أن تكفل، بما في ذلك من خلال الاعتماد الذاتي، حصول الأفراد الذين يجري نشرهم على التدريب السابق للنشر بشأن حماية المدنيين.",0
"131","”ويقر مجلس الأمن باستمرار نقص تمثيل المرأة في عمليات السلام الرسمية، ويساوره بالغ القلق إزاء استمرار العقبات والتحديات الناجمة عن حالات مثل العنف ضد المرأة، وتفكك الاقتصادات والهياكل الاجتماعية، وانعدام سيادة القانون، والفقر، ومحدودية فرص الحصول على التعليم والموارد الأخرى، ومختلف أشكال التمييز والقوالب النمطية.",1
"132","57 - وبالإضافة إلى ذلك، وضعت منظمة الطيران المدني الدولي والمنظمة البحرية الدولية، فضلا عن الرابطات الصناعية غير الحكومية مثل رابطة النقل الجوي الدولي، معايير لسلوك أعضائها ولنقل البضائع الخطرة، بما في ذلك شحنات الذخيرة والمتفجرات، وقامت بتحديث تلك المعايير بانتظام.",0
"133","ويساورني بالغ القلق من أن ممارسة العنف الجنسي ضد الأطفال ستقوض إمكانية التعايش السلمي في دارفور لسنوات قادمة.",0
"134","وقد نظرت جبهة البوليساريو، التي تعرب عن تقديرها للأمم المتحدة وأمينها العام ومبعوثه الشخصي، في هذا الاقتراح بعناية.",0
"135","وتشجع كل فدية على القيام بمزيد من عمليات الاختطاف، مما يخلق حلقة مفرغة من التشجيع والتمويل لتنظيم القاعدة والمنتسبين إليه.",1
"136","ومن السهل نسبياً رصد هذه التجارة لأن الوصول إلى واليكالي كان حتى وقت قريب جداً عن طريق الجو حصراً.",0
"137","المقرر عقدها يوم الخميس، 13 حزيران/يونيه 2002، الساعة 40/11",0
"138","والواقع أن أكثر من نصف المسائل الأفريقية التي تهم المجلس أو تهمه وتتعلق بجدول أعماله ببلدان البحيرات الكبرى - بوروندي وجمهورية الكونغو الديمقراطية ورواندا وشمال أوغندا والسودان وجمهورية أفريقيا الوسطى.",0
"139","ويحدد التقرير أيضا ثلاثة نُهج محددة لتعزيز تنفيذ الجزاءات: أولا، ردع دفع الفدية إلى تنظيم القاعدة وما يرتبط به من فروع من أجل المضي قدما في تجميد الأصول؛ ثانيا، استخدام القياسات الحيوية والتغييرات في المعايير الوطنية غير المقبولة المتعلقة بالمسافرين من أجل المضي قدما في حظر السفر المفروض على الأفراد المدرجين في القائمة؛ ثالثا، تحسين التحليل واتخاذ تدابير للحد من توافر عناصر الأجهزة المتفجرة المرتجلة التي يستخدمها تنظيم القاعدة والمنتسبون إليه.",1
"140","٦٦ - وفي إحدى الحوادث التي وقعت في أبوبو، ب. ك. ١٨، اقتيد ستة شبان يعيشون في نفس الحي بالقوة من منزلهم في الساعة ٠٠/٢١ من يوم ٢٥ آذار/مارس من قبل الشرطة وأفراد مقنعين من الوحدات الخاصة أو ما يسمى بالقوات الموازية.",1
"141","بيد أنه عندما ترتكب الجرائم بانتظام وعلى نطاق واسع، كجزء من نمط السلوك الإجرامي، تكون مسؤولية الرئيس أكثر خطورة.",1
"142","2 - يوجه لجان الجزاءات التي أنشأها مجلس الأمن، بما فيها اللجان المنشأة عملا بالقرار 1718 (2006) والقرار 1636 (2005) والقرار 1591 (2005) والقرار 1572 (2004) والقرار 1533 (2004) والقرار 1521 (2005) والقرار 1518 (2003) ولجنة الجزاءات المنشأة عملا بالقرار 1267 (1999) والقرار 1132 (1997) والقرار 918 (1994) والقرار 751 (1992) إلى تنقيح مبادئها التوجيهية وفقا لذلك؛",0
"143","ولهذا الغرض، استُخدمت كمية لا تقل عن 000 1 كيلوغرام من المتفجرات العسكرية.",1
