"","en_es_DEEPL","VerCoop"
"23",":: ¿Cómo puede conseguirse la cooperación más eficaz con las organizaciones regionales en la Comisión de Consolidación de la Paz, especialmente en lo que respecta a garantizar una transición fluida de la gestión de conflictos a la estabilización y la consolidación de la paz después de los conflictos, que es donde más se necesita la implicación regional? Cuestiones prácticas",0
"24","""El Consejo de Seguridad acoge con gran satisfacción la decisión del Secretario General de hacer de la labor de las Naciones Unidas para reforzar el Estado de Derecho y la justicia de transición en las sociedades en conflicto y que salen de un conflicto una prioridad para el resto de su mandato.",1
"25","Lo más frecuente es que los civiles se vean atrapados en circunstancias de extrema necesidad en las que no se ha establecido una operación de mantenimiento de la paz. Tales situaciones pueden requerir la atención urgente del Consejo.",0
"26","La Ley de Asistencia Judicial en Materia Penal",0
"27","En primer lugar, el Tribunal se creó con la vista puesta en los delitos que pueden amenazar la paz y la seguridad.",0
"28","28. A la vista de la situación reinante, creo que la MINURSO sigue desempeñando un importante papel estabilizador y de supervisión del alto el fuego sobre el terreno y quisiera recomendar que su mandato se prorrogue por un nuevo período de seis meses, hasta el 30 de abril de 2006.",1
"29","Los soldados estaban a punto de terminar de violar a las cinco mujeres, cuando llegó al mismo lugar el segundo grupo de mujeres que habían ido a El Fashir a vender madera.",0
"30","El tercer y último panel se basó en la premisa de que, si bien la responsabilidad penal individual lleva ante la justicia a los acusados de violaciones y puede tener un efecto disuasorio, en la gran mayoría de los casos no proporciona reparación a las víctimas de las violaciones.",1
"31","El Consejo pide al Secretario General que siga facilitando y desplegando orientaciones sobre el tratamiento de la violencia sexual para la formación previa al despliegue e inductiva del personal militar y policial, y que ayude a las misiones a elaborar procedimientos específicos para cada situación con el fin de abordar la violencia sexual sobre el terreno y garantizar que se preste apoyo técnico a los países que aportan contingentes y fuerzas de policía con el fin de incluir orientaciones para el personal militar y policial sobre el tratamiento de la violencia sexual en la formación previa al despliegue e inductiva.",1
"32","B. Desminado en la zona tampón",0
"33","Exhorta a todas las partes interesadas a que garanticen que todos los procesos de paz, los acuerdos de paz y la planificación de la recuperación y la reconstrucción después de los conflictos tengan en cuenta las necesidades especiales de las mujeres y los niños e incluyan medidas específicas para la protección de los civiles, entre ellas ... iii) la creación de condiciones propicias para el regreso voluntario, seguro, digno y sostenible de los refugiados y los desplazados internos ...",1
"34","▪ Pedir a la misión que apoye al Gobierno anfitrión en el tratamiento explícito de la violencia sexual, en los procesos de desarme, desmovilización y reintegración, en los procesos de reforma del sector de la seguridad y en las iniciativas de reforma del sector de la justicia, así como en la elaboración y aplicación de planes de acción concretos y con plazos definidos para combatir la violencia sexual relacionada con los conflictos.",1
"35","A lo largo del año pasado, la Sección entregó cerca de 17.300 páginas de traducción (49% al inglés (sobre todo a partir del árabe), 31% al árabe y 19% al francés (1% a otros idiomas)).",0
"36","Como señaló un tercer orador, sin una colaboración comprometida entre los miembros permanentes y los elegidos, el Consejo se encontraría continuamente en un punto muerto, dado que las resoluciones requieren nueve votos para ser adoptadas.",1
"37","Este equipo permitió al contingente realizar la tarea crítica de trasladar otros equipos en la región.",0
"38","He condenado el atentado terrorista contra la embajada india en Kabul.",0
"39","92. La comisión de investigación recomienda que los Estados y las organizaciones de la sociedad civil fomenten las oportunidades de diálogo y contacto entre personas en ámbitos como la cultura, la ciencia, el deporte, la buena gobernanza y el desarrollo económico, que ofrezcan a los ciudadanos de la República Popular Democrática de Corea la oportunidad de intercambiar información y conocer experiencias fuera de su país de origen.",1
"40","El Consejo de Seguridad alienta a las Naciones Unidas, a la UA, a la ICGLR y a la SADC, así como a otras organizaciones internacionales y regionales pertinentes, a que sigan colaborando, con el compromiso y el apoyo constantes de la comunidad internacional, en la aplicación del Marco del CPS.",1
"41","Reiteraron su llamamiento a todas las partes afganas para que trabajen juntas por la paz y el establecimiento de un gobierno de amplia base, multiétnico y plenamente representativo.",1
"42","Es necesaria una aplicación más efectiva de la resolución 1624 (2005), que fomenta el diálogo y el entendimiento entre religiones y culturas para contrarrestar la incitación a actos terroristas motivados por el extremismo y la intolerancia.",1
"43","También se reunió con el Secretario General de la Liga de Estados Árabes, Amre Moussa, y con el Secretario General de la Organización de la Conferencia Islámica, Ekmeleddin Ihsanoglu.",0
"44","Sudán ha firmado, pero aún no ratificado, el Protocolo Facultativo de la Convención sobre los Derechos del Niño relativo a la participación de niños en los conflictos armados.",1
"45","62. Se recomienda un mayor compromiso de las Naciones Unidas para abordar las causas profundas del conflicto, entre otras cosas apoyando las iniciativas de gestión de los recursos naturales y los mecanismos de prevención y resolución de conflictos.",1
"46","19. Las Oficinas Consulares no disponen de ""bases de datos de referencia"" que incorporen la Lista consolidada.",0
"47","La Representante Especial celebró los esfuerzos del Gobierno de la República Democrática del Congo para proteger a los niños, en particular la firma, el 4 de octubre de 2012, del plan de acción para poner fin y prevenir el reclutamiento y la utilización de niños, la violencia sexual y otras violaciones graves contra los niños por parte de las fuerzas armadas y de seguridad nacionales, la participación del Gobierno en la campaña ""Niños, no soldados"", y el nombramiento, el 14 de julio de 2014, de un Asesor Presidencial sobre Violencia Sexual y Reclutamiento de Niños.",1
"48","Los principales elementos de la declaración del Representante Permanente Adjunto, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2014/4).",0
"49","En algunos casos se realizó otro ajuste significativo en relación con la depreciación.",0
"50","""El Consejo de Seguridad subraya la necesidad de llevar ante la justicia a los autores, organizadores, financiadores y patrocinadores de este censurable acto de terrorismo, e insta a todos los Estados a que, de conformidad con las obligaciones que les incumben en virtud del derecho internacional y de la resolución 1373 (2001) y en consonancia con la resolución 1624 (2005), cooperen activamente con las autoridades argelinas a este respecto"".",1
"51",":: Andiamo Exploration comenzará su producción en 2016",0
"52","La Comisión también recomienda que se lleven a cabo nuevas investigaciones para determinar si Leandro Issac tuvo alguna participación culpable en los delitos cometidos.",1
"53","Reafirmará la política de tolerancia cero, la necesidad de que los Estados que aportan contingentes adopten las medidas disciplinarias y judiciales necesarias y la necesidad de atender plenamente a las víctimas.",1
"54","Todos los Estados han establecido legislación y medidas para regular y controlar la producción, venta y transferencia de armas y explosivos. Sin embargo, la información presentada no es suficiente para poder evaluar la eficacia de su aplicación.",1
"55","En aquel momento, cientos de miles de albanokosovares habían regresado a Kosovo y empezaban a reconstruir sus vidas. La mayoría de los serbios de Kosovo habían huido de sus hogares. Kosovo era una sociedad de sufrimiento y destrucción generalizados para todas las comunidades. La economía estaba en ruinas.",0
"56","(b) Impedir la entrada en sus territorios o el tránsito por ellos de esas personas, con la salvedad de que nada de lo dispuesto en el presente párrafo obligará a ningún Estado a denegar la entrada en sus territorios o exigir la salida de ellos a sus propios nacionales, y de que el presente párrafo no se aplicará cuando la entrada o el tránsito sean necesarios para el cumplimiento de un proceso judicial o cuando el Comité establecido en virtud de la resolución 1267 (1999) (""el Comité"") determine caso por caso únicamente que la entrada o el tránsito están justificados;",1
"57","Un cabecilla pirata somalí, Mohamed Abdi Hassan, conocido como ""Afweyne"", fue detenido en octubre de 2013 en Bruselas. Otro cabecilla pirata, Mohamed Garfanji, fue detenido en agosto de 2014 en Mogadiscio por posesión de armas ilegales y por otros cargos relacionados con la piratería.",0
"58","Los miembros del Consejo convinieron en que había que abordar las causas profundas del conflicto y que era necesaria una respuesta coordinada en la que participaran todos los organismos pertinentes de las Naciones Unidas.",1
"59","2. El Consejo de Seguridad, en su resolución 1575 (2004) de 22 de noviembre de 2004, pidió a los Estados miembros que, actuando por conducto de la Unión Europea o en cooperación con ella, le informaran sobre la actividad de la misión militar de la Unión Europea en Bosnia y Herzegovina (EUFOR), por los cauces apropiados y al menos cada tres meses.",1
"60","III. EL MARCO JURÍDICO 16-24 16-24 20202020",0
"61","PROMOCIÓN Y FORTALECIMIENTO DEL ESTADO DE DERECHO EN EL MANTENIMIENTO DE LA PAZ Y LA SEGURIDAD INTERNACIONALES",0
"62","Timor Oriental El 10 de mayo, el Representante Especial del Secretario General para Timor Oriental, Kamalesh Sharma, informó al Consejo en una sesión pública.",1
"63","(e) El Comité concederá gran importancia a la coordinación con los expertos de otros órganos subsidiarios del Consejo de Seguridad relacionados con la lucha contra el terrorismo en la preparación de las visitas y la racionalización de los informes;",1
"64","Se celebrará el martes 15 de diciembre de 2009, a las 10.20 horas.",0
"65","3. CNDD/FDD (Consejo Nacional para la Defensa de la Democracia/Frente para la Defensa de la Democracia)",0
"66","Directrices de aplicación sobre la lucha contra el blanqueo de capitales y la financiación del terrorismo",0
"67","Estamos razonablemente seguros de que estos grupos no podrán socavar el proceso electoral a nivel nacional.",0
"68","Enfoque propuesto para sensibilizar el marco de análisis de conflictos a las cuestiones de género, incluido el desarrollo de indicadores y variables relacionadas con los conflictos apropiados para cada género.",1
"69","Durante el periodo comprendido entre el 1 y el 10 de octubre de 2014, se registraron 20 violaciones del alto el fuego a lo largo de la línea de control y 22 violaciones a lo largo de la frontera de trabajo, con el resultado de 12 víctimas civiles, 52 civiles heridos y 9 militares heridos en el lado pakistaní.",0
"70","Organizará reuniones con el Equipo de Vigilancia y los expertos del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004) para debatir asuntos de interés común y garantizar una coordinación adecuada en nuestro trabajo.",1
"71","23. En los distritos y unidades en los que la policía nacional ya ha reasumido las principales responsabilidades policiales, la policía de la UNMIT desempeñó un papel crucial en la supervisión y el seguimiento de los progresos de la policía nacional, permaneciendo al mismo tiempo disponible para asesorar, orientar y proporcionar apoyo operativo y manteniendo la capacidad, in extremis, de reasumir la aplicación provisional de la ley, en caso necesario.",1
"72","Algunos miembros del Consejo expresaron su preocupación por el hecho de que aún no se haya podido avanzar en la investigación de los crímenes cometidos por los rebeldes.",1
"73","(c) prestar servicios financieros o servicios conexos respecto de los bienes a que se hace referencia en el párrafo (a) supra; o",0
"74","La única centrifugadora IR-5 instalada aún no ha sido alimentada con UF6.",0
"75","En la resolución 1624 (2005) del Consejo de Seguridad, que se centra en la amenaza que supone la incitación a cometer actos terroristas, el Consejo subraya que los Estados deben asegurarse de que las medidas que adopten para aplicar la resolución cumplan todas las obligaciones que les incumben en virtud del derecho internacional, incluidas las normas internacionales de derechos humanos.",1
"76","Visitas del Presidente a determinados países 29. De conformidad con el párrafo 37 de la resolución 1822 (2008), el Presidente realizó dos visitas en 2009. El 9 de junio de 2009, por invitación de la Federación de Rusia, asistió a una reunión de servicios especiales, organismos de seguridad y organizaciones encargadas de hacer cumplir la ley celebrada en Irkutsk (Federación de Rusia). Los días 8 y 9 de octubre de 2009, el Presidente viajó a Bruselas para debatir con funcionarios de las instituciones de la Unión Europea la aplicación de las medidas sancionadoras por parte de la Unión Europea y sus 27 Estados miembros.",1
"77","El Consejo insta [al Estado afectado] a que aplique inmediatamente los procedimientos adecuados a la cuestión de los derechos de propiedad y a que ponga fin a todas las formas de discriminación contra [la población minoritaria] en la concesión de prestaciones sociales y ayuda a la reconstrucción.",1
"78","42. El Instituto Interregional de las Naciones Unidas para Investigaciones sobre la Delincuencia y la Justicia, a petición del Grupo de Trabajo 2 del Grupo de Contacto sobre la piratería frente a las costas de Somalia y con el apoyo del Gobierno de Italia, organizó dos reuniones oficiosas de grupos de trabajo de expertos en 2013 para redactar un conjunto de directrices, normas y mejores prácticas con respecto al uso de personal de seguridad armado contratado de forma privada a bordo de buques mercantes, para uso de empresas del sector privado y gobiernos interesados.",1
"79","D. Control fronterizo 258. El control eficaz de las fronteras es fundamental para la aplicación efectiva de las medidas de lucha contra el terrorismo de conformidad con la resolución 1373 (2001), ya que es la primera línea de defensa contra la circulación de terroristas a través de las fronteras y la circulación transfronteriza ilegal de bienes y mercancías.",0
"80","(c) Fomentar el establecimiento de procedimientos que garanticen que los solicitantes de asilo y los refugiados no han cometido actos terroristas.",1
"81","B. Funciones ad hoc 1. Seguimiento de fugitivos y preparación de juicios",0
"82","156. El Equipo ha seguido promoviendo y fomentando el intercambio con los expertos designados para prestar asistencia al Comité contra el Terrorismo y a la incipiente Dirección Ejecutiva del Comité contra el Terrorismo, y ha participado en tres reuniones del Comité en las que se han hecho presentaciones sobre ámbitos pertinentes para la labor del Equipo.",1
"83","La negativa de Azerbaiyán a entablar negociaciones directas con los representantes electos de Nagorno Karabaj es uno de los principales impedimentos para la resolución del conflicto al que se ha referido el representante de Azerbaiyán.",0
"84","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"85","(h) Durante la fase de diálogo, el Defensor del Pueblo tomará seriamente en consideración las opiniones de los Estados designantes, así como de otros Estados miembros que aporten información pertinente, en particular los Estados miembros más afectados por los actos o asociaciones que dieron lugar a la designación original.",1
"86","En las consultas a puerta cerrada que se celebraron a continuación, los miembros del Consejo subrayaron la importancia de reanudar las negociaciones israelo-palestinas y condenaron las acciones unilaterales, en particular la construcción de asentamientos en los territorios ocupados, que socavan los esfuerzos del Cuarteto en pro de una solución negociable del conflicto.",1
"87","Se celebrará el jueves 26 de octubre de 2006, a las 10.00 horas.",0
"88","17. Las reuniones cuatripartitas semanales permitieron a ambas partes, junto con la UNOMIG y la fuerza de mantenimiento de la paz de la CEI, debatir periódicamente asuntos relacionados con la seguridad en la zona de conflicto.",1
"89","Reafirmando la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas y el Derecho internacional, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas, destacando a este respecto el importante papel que desempeñan las Naciones Unidas en la dirección y coordinación de este esfuerzo,",1
"90","Es necesario seguir investigando sobre el impacto de las diferentes formas de comunicación en el riesgo y la amenaza de incitación y, por tanto, de actos terroristas. No obstante, puede afirmarse que la rápida evolución de la tecnología de las comunicaciones ha hecho que, en general, el riesgo de incitación en todo el mundo sea hoy mayor que en 2005.",1
"91","Tomando nota de la labor del Foro Global contra el Terrorismo (GCTF), en particular de su publicación de varios documentos marco y buenas prácticas, incluso en los ámbitos de la lucha contra el extremismo violento, la justicia penal, los secuestros para exigir rescate, la prestación de apoyo a las víctimas del terrorismo y la actuación policial orientada a la comunidad, para complementar la labor de las entidades pertinentes de las Naciones Unidas de lucha contra el terrorismo en estos ámbitos, y alentando a la Dirección Ejecutiva a que siga interactuando con el GCTF, en su labor con los Estados miembros para promover la plena aplicación de las resoluciones 1373 (2001) y 1624 (2005),",1
"92","4. Intensificar la sensibilización de la población para que no simpatice con los remanentes de las FDLR.",0
"93","La conferencia abordará cuestiones fundamentales;",0
"94","1. Elogia los continuos esfuerzos de la Unión Africana, en particular del Presidente Olusegun Obasanjo de Nigeria, Presidente de la Unión Africana, y del Presidente Thabo Mbeki de la República de Sudáfrica, Mediador de la Unión Africana, de la Comunidad Económica de los Estados de África Occidental (CEDEAO) y de los dirigentes de la región para promover la paz y la estabilidad en Costa de Marfil, y les reitera su pleno apoyo;",1
"95","a Reclamaciones por siniestros tanto de MPA como de ""C6"".",0
"96","4. Matanza de soldados enemigos heridos",0
"97","Apartado 3 (a), (b) y (c):",0
"98","32. El Comité también acogería con satisfacción las propuestas preparadas en cooperación con expertos de los demás órganos subsidiarios del Consejo de Seguridad relacionados con la lucha contra el terrorismo sobre la forma de racionalizar la presentación de informes de conformidad con el Documento Final de la Cumbre Mundial 2005 (véase la resolución 60/1 de la Asamblea General).",1
"99","Como prueba de ese envío, F&T proporcionó al Grupo una copia de una ""carta de porte aéreo"" de fecha 21 de junio de 1990 emitida por Middle East Express Ltd. (como transportista) a F&T. (como transportista). (como transportista) a F&T (como expedidor) relativa a la mercancía.",0
"100","Su misión representa la última oportunidad para evitar que Siria entre en una espiral de guerra civil.",0
"101","Pristina ha rechazado hasta ahora todas las iniciativas en este sentido.",0
"102","1. Reitera su preocupación por la persistencia de la crisis y el deterioro de la situación en Costa de Marfil, que amenazan gravemente la paz y la estabilidad en la región del África Occidental;",0
"103",":: Explorar cómo pueden reflejarse en el marco post-2015 los objetivos de consolidación de la paz y las necesidades específicas de los países en situación de posconflicto.",1
"104","Afirmó que el ISIL estaba cometiendo abusos en Irak de ""tal escala y gravedad que con toda probabilidad se califican de crímenes internacionales, sujetos a la jurisdicción de la Corte Penal Internacional"".",0
"105","(c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que se ocupen de todas las demás violaciones y abusos cometidos contra los niños y asuman compromisos y medidas específicas a este respecto;",1
"106","""El Consejo de Seguridad encomia los esfuerzos de la operación ATALANTA de la Unión Europea, las operaciones Allied Protector y Ocean Shield de la Organización del Tratado del Atlántico del Norte comandadas por Estados miembros de la OTAN, la Fuerza Combinada 151 de las Fuerzas Marítimas Combinadas comandada por Dinamarca, Nueva Zelandia, el Pakistán, la República de Corea, Singapur, Turquía, Tailandia y los Estados Unidos, y otros Estados que actúan en su capacidad nacional en cooperación con las autoridades somalíes y entre sí, para reprimir la piratería y proteger a los buques vulnerables que transitan por las aguas frente a las costas de Somalia, y agradece los esfuerzos de los Estados Miembros, entre ellos China, la Federación de Rusia, la India, el Japón, Malasia y la República de Corea, que han desplegado buques y/o aeronaves en la región, como se indica en el informe del Secretario General (S/2012/783).",1
"107","S/AC.29/2003/1/Add.1",0
"108","Varias delegaciones han pedido al Gobierno de Malí que investigue las violaciones de los derechos humanos, y han expresado su preocupación por la puesta en libertad de autores de delitos graves contra los derechos humanos.",1
"109","Durante el mes de febrero, se denunciaron más de 20 asaltos a mano armada en el eje Guiglo-Duékoué, mientras que en Bangolo se denunciaron 10 ataques armados. El 23 de marzo de 2008, un soldado de las fuerzas de defensa y seguridad de Costa de Marfil fue asesinado en Duékoué por bandidos armados no identificados.",0
"110","El establecimiento de programas regulares in situ para la inspección de las entidades obligadas a comunicar información, con el fin de garantizar el cumplimiento de los requisitos en materia de lucha contra el blanqueo de capitales y la financiación del terrorismo, plantea un reto importante para algunos Estados, ya que se trata de un ejercicio que exige muchos recursos.",0
"111","El Coordinador Humanitario ha pedido ayuda humanitaria de emergencia para ayudar a las 20.000 familias a sobrevivir al invierno.",0
"112","Acogieron con satisfacción el valor y el compromiso con la MINUSMA de los países que aportan tropas y policía y pidieron que se mantuviera el apoyo bilateral para la formación y el equipamiento de las tropas y la policía de la MINUSMA.",0
"113","Una encuesta realizada entre los usuarios finales en marzo de 1999 y observaciones sobre el terreno revelaron que la cantidad de productos agroquímicos disponibles a nivel de las gobernaciones se ha duplicado con creces.",0
"114","Es esencial, subrayó un orador, que se mantenga la conformidad de las medidas adoptadas por los comités y grupos de trabajo, en particular los que se ocupan de la lucha contra el terrorismo, así como que se reafirmen en las resoluciones del Consejo.",1
"115","Me complace informar de que ya se ha conseguido financiación para el establecimiento de una biblioteca jurídica bajo la custodia de los refugiados en Rabouni (véase S/2007/619, párr. 41).",0
"116","S/PRST/1994/62 de 4 de noviembre de 1994",0
"117","En la 7109ª sesión del Consejo de Seguridad, celebrada el 12 de febrero de 2014, en relación con el examen por el Consejo del tema titulado ""Protección de los civiles en los conflictos armados"", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:",1
"118","Las dos ruedas de prensa, sobre todo la primera, además del interrogatorio del primer sospechoso, y la detención de los antiguos altos cargos de seguridad a propuesta de la Comisión, tuvieron un efecto catalizador.",0
"119",":: Recogida y análisis de listados telefónicos",0
"120","El Consejo de Seguridad acoge con satisfacción, a este respecto, la reunión inaugural del grupo de trabajo conjunto de las Naciones Unidas y la Unión Africana sobre paz y seguridad, celebrada el 25 de septiembre de 2010, y alienta al grupo de trabajo a que se centre en cuestiones estratégicas y específicas de cada país del continente que sean de interés para ambas organizaciones.",1
"121","42. El Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), junto con el Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001), participó en la duodécima Reunión de Jefes de Servicios Especiales, Agencias de Seguridad y Organizaciones Policiales sobre la lucha contra el terrorismo, organizada por el Servicio Federal de Seguridad de la Federación de Rusia.",1
"122","El olor era sofocante, como a huevos podridos.",0
"123","(d) Una visita de promoción de la Presidencia del Comité contra el Terrorismo o del Director Ejecutivo (o de ambos), tal vez acompañados por uno o más miembros del Comité, encaminada a aumentar la concienciación general sobre la amenaza terrorista y a centrar la atención política de alto nivel, dentro del Gobierno o Parlamento de que se trate, en la importancia de aplicar la resolución 1373 (2001) (por ejemplo, mediante la adopción/aprobación de legislación antiterrorista);",0
"124","Trabajar con las organizaciones de mujeres y los gobiernos nacionales para apoyar los procesos de reforma constitucional, electoral y legislativa posteriores a los conflictos; desarrollar la capacidad institucional de los mecanismos nacionales para la mujer en las zonas que salen de un conflicto.",0
"125","La aplicación plena y completa de la prohibición de viajar aportaría verdaderos dividendos en la lucha contra el terrorismo de Al Qaeda y los talibanes, pero los datos sugieren que su impacto actual es limitado.",1
"126","El 20 de julio, el Consejo se reunió en debate abierto (4174ª sesión) para estudiar su papel en la prevención de conflictos armados.",0
"127","La investigación inicial puso de manifiesto que nadie afirmaba tener la menor pista de que estuviera ocurriendo algo en torno al Sr. Hariri que pudiera poner en peligro su vida.",0
"128","42. En colaboración con organizaciones nacionales e internacionales, la MINUSMA ha llevado a cabo 10 proyectos de efecto rápido desde junio, entre ellos la rehabilitación y el equipamiento de comisarías de policía y gendarmería en las regiones de Gao y Tombuctú y el apoyo a asociaciones de mujeres. El 13 de octubre, la MINUSMA y la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO) pusieron en marcha un proyecto de efecto rápido para rehabilitar cuatro bibliotecas privadas de Tombuctú, en las que se conservan manuscritos antiguos.",0
"129","Además de una esperanza renovada para el pueblo de la República, estos cambios han brindado a la UNMIK una nueva oportunidad para mejorar sus consultas con las autoridades federales y entablar un diálogo constructivo sobre cuestiones de interés mutuo.",1
"130","Reconociendo la importancia de la justicia transicional para promover una reconciliación duradera entre toda la población de [el Estado afectado] y acogiendo con satisfacción el proceso de consultas nacionales sobre el establecimiento de mecanismos de justicia transicional ....",1
"131","La lista revisada también se publicó en el sitio web del Comité.",0
"132","En las reuniones internacionales, el Equipo ha podido juzgar el conocimiento del régimen de sanciones por parte de un Estado sin necesidad de preparación.",1
"133","El Consejo invita a ONU Mujeres a que contribuya periódicamente a sus trabajos sobre las mujeres y la paz y la seguridad y toma nota del valioso papel que desempeñará en el apoyo al papel de las mujeres en la consolidación de la paz y la prevención de la violencia sexual en los conflictos, entre otras cosas mediante la coordinación y la coherencia de las políticas y los programas destinados a las mujeres y las niñas.",1
"134","18. La Estrategia Global de las Naciones Unidas contra el Terrorismo insta a promover el diálogo, la tolerancia y el entendimiento entre civilizaciones, culturas, pueblos y religiones y a establecer programas pertinentes de educación y concienciación pública.",1
"135","No obstante, instamos a que se redoblen los esfuerzos de seguimiento de la información obtenida de los Estados miembros en el marco de la lucha contra el terrorismo.",0
"136","Se produjo una refriega que obligó a llamar a la policía y a lanzar gases lacrimógenos.",0
