"","en_es_DEEPL","MatCoop"
"37","(b) un Equipo de apoyo para la aplicación de las sanciones, bajo la coordinación del Grupo de Supervisión, compuesto por un máximo de quince miembros con experiencia en ámbitos como: aduanas, seguridad fronteriza y lucha contra el terrorismo, que se ubicará en los Estados mencionados en el apartado 2 anterior, en plena consulta y en estrecha cooperación con dichos Estados;",1
"38","A pesar de los estrictos controles legales y operativos, en toda la región persisten artesanos y empresas familiares que fabrican armas pequeñas y ligeras.",0
"39","(ii) Enfoque de la verificación por parte del Grupo de Expertos",0
"40","S/RES/1894 (2009), op. 5",0
"41","""El Consejo de Seguridad insta a Sudán y a Chad a que respeten y apliquen plenamente sus compromisos mutuos, en particular los contraídos en el Acuerdo de Doha de 3 de mayo de 2009 y en el Acuerdo de Dakar de 13 de marzo de 2008, y a que colaboren constructivamente con el grupo de contacto de Dakar y los buenos oficios de Libia y Qatar, para normalizar sus relaciones, cooperar para poner fin a las actividades transfronterizas de los grupos armados y reforzar las medidas de lucha contra el tráfico ilícito de armas en la región, incluso mediante el establecimiento de una vigilancia fronteriza conjunta eficaz.",0
"42","La Federación Rusa considera prioritario seguir reforzando la base jurídica internacional de la lucha contra el terrorismo, ante todo confiriendo a los convenios existentes en materia de lucha contra el terrorismo un carácter universal mediante la adhesión a los mismos de todos los Estados Miembros de las Naciones Unidas.",0
"43","A. Enmiendas a la Ley Forestal de 2000",0
"44","118. Otras circunstancias que deben tenerse en cuenta en relación con la fase de planificación del crimen son las medidas de vigilancia dirigidas contra el Sr. Hariri emprendidas por las FIS y la intervención de los teléfonos del Sr. Hariri por el Servicio de Inteligencia Militar (véase la sección titulada ""Interceptación telefónica de Hariri"").",0
"45","49. El Gobierno también prosiguió sus esfuerzos para proporcionar asistencia alimentaria a las poblaciones vulnerables y en situación de inseguridad alimentaria con el apoyo del Programa Mundial de Alimentos (PMA), en particular a través del programa de nutrición maternoinfantil del Ministerio de Salud (47.000 beneficiarios en 2010 al 30 de junio), el programa de alimentación escolar del Ministerio de Educación (241.000 beneficiarios) y el programa de alimentos por trabajo/activos (600 beneficiarios), dirigido a las comunidades en situación de inseguridad alimentaria. El 27 de mayo se inauguró una planta de producción de alimentos nutritivos mezclados para su distribución a través del Programa de Nutrición Maternoinfantil, con el apoyo técnico y de gestión del PMA.",1
"46","36. Durante el período que abarca el informe, la MINURCAT prosiguió sus esfuerzos de sensibilización sobre el VIH/SIDA.",1
"47","(a) El número de pasaporte o de documento de viaje de la persona que figura en la lista;",0
"48","98. Los riesgos sanitarios particulares asociados al servicio en la zona de la Misión se abordarán proporcionando cobertura médica en el teatro de operaciones, desde la atención básica hasta los servicios médicos hospitalarios de nivel 3.",0
"49","La nueva estructura entrará en vigor el 1 de noviembre de 2002.",0
"50","Insto al gobierno a que garantice el acceso del personal de las Naciones Unidas a todos los lugares de detención en Darfur.",1
"51","""El Consejo de Seguridad reitera que los Estados deben impedir el suministro, la venta o la transferencia, directos o indirectos, al EIIL, al FNA y a todas las demás personas, grupos, empresas y entidades asociados con Al-Qaida, desde sus territorios o por sus nacionales fuera de sus territorios, o utilizando buques o aeronaves de su pabellón, de armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipos militares, equipos paramilitares y piezas de repuesto de los artículos mencionados, y asesoramiento técnico, asistencia o formación relacionados con actividades militares, así como sus llamamientos a los Estados para que encuentren la manera de intensificar y acelerar el intercambio de información operativa sobre el tráfico de armas, y para que mejoren la coordinación de los esfuerzos a escala nacional, subregional, regional e internacional.",1
"52","Es razonable suponer que la presencia policial obedece más a razones políticas que a cualquier forma de protección.",0
"53","Ningún Estado aplica medidas adecuadas para proteger a las organizaciones sin ánimo de lucro de la financiación del terrorismo.",0
"54","Excluir otras formas de abuso sexual del ámbito de la investigación dejó sin abordar un gran número de denuncias.",1
"55","Asistencia técnica para elaborar y aplicar legislación contra la incitación al odio.",1
"56","2. La situación en Chad, la República Centroafricana y la subregión",0
"57","Reafirmando la Declaración de su Presidente adoptada en la reunión del Consejo a nivel de Jefes de Estado y de Gobierno del 31 de enero de 1992 (S/23500), incluida la necesidad de que todos los Estados miembros cumplan sus obligaciones en relación con el control de armamentos y el desarme y eviten la proliferación en todos sus aspectos de todas las armas de destrucción masiva,",0
"58","Han promulgado leyes antiterroristas y se han esforzado por seguir reforzando la coordinación y la cooperación regionales, especialmente en el contexto marítimo.",1
"59","463. De conformidad con la resolución 38 de la Asamblea Nacional, de diciembre de 2003, se creó una comisión parlamentaria para mejorar la paz, la seguridad y el desarrollo en los Estados de Darfur, compuesta por unas 59 personas.",1
"60","Lucha contra el extremismo violento y la incitación a cometer actos terroristas",0
"61","39. Las víctimas de trata sujetas a órdenes de expulsión siguieron recibiendo asistencia a través del programa de refugio del pilar de desarrollo institucional.",1
"62","Esta rápida ayuda fue inestimable, ya que permitió a los investigadores analizar rápidamente llamadas telefónicas específicas de abonados y establecer pautas de comunicación entre grupos concretos de abonados.",1
"63",":: Gran Cruz con Collar de la Orden del Mérito, República de Italia, 2004",0
"64","Ley sobre el transporte seguro de mercancías peligrosas N.29(I)/2004",0
"65","Con ello se espera agilizar la distribución de mercancías.",0
"66","Esfuerzos de sensibilización del Grupo de Seguimiento sobre Somalia",0
"67","En la actualidad, el riesgo de deserciones es bajo, ya que el gobierno central es débil, pero la situación puede cambiar si las autoridades afganas consiguen crear capacidad y reparar su reputación de corrupción e impotencia.",1
"68","(d) recabar, cuando proceda, el apoyo de las misiones de mantenimiento de la paz de las Naciones Unidas y de otras misiones pertinentes, así como de los equipos de las Naciones Unidas en los países y del Comité Internacional de la Cruz Roja y, en su caso, de otros miembros del Movimiento Internacional de la Cruz Roja y de la Media Luna Roja, en materia de formación y sensibilización sobre el derecho internacional humanitario, los derechos humanos y el derecho de los refugiados;",1
"69","En África Oriental y Meridional, presta apoyo a la red nacional de control aduanero, que permite a los países registrar y analizar información sobre envíos y personas sospechosas, incluidos los aspectos relacionados con la lucha antiterrorista.",1
"70","Antecedentes El año 2014 marca el decimoquinto aniversario del compromiso del Consejo de Seguridad sobre la protección de los civiles en los conflictos armados.",0
"71","Sin embargo, esto no debe ir en detrimento de la plena aplicación de la resolución 1559 (2004) y de todas las demás resoluciones del Consejo de Seguridad relativas al Líbano, que siguen siendo la mejor manera de garantizar la prosperidad y la estabilidad a largo plazo del Líbano como Estado democrático.",1
"72","De conformidad con el artículo 15 del reglamento provisional del Consejo de Seguridad, el Secretario General desea comunicar que ha recibido una carta de fecha 15 de julio de 2013 del Representante Permanente del Reino Unido de Gran Bretaña e Irlanda del Norte ante las Naciones Unidas en la que se indica que el Sr. Christopher Hunter ha sido nombrado representante suplente del Reino Unido en el Consejo de Seguridad.",0
"73","Está claro que se necesita una ayuda internacional continuada y que, como ha señalado el Secretario General en su informe,",0
"74","En la misma resolución, el Consejo también introdujo ciertas exenciones a las medidas selectivas. El 5 de diciembre de 2011, el Consejo de Seguridad adoptó la resolución 2023 (2011), ampliando las medidas restrictivas relativas a Eritrea en los ámbitos de los ""impuestos de la diáspora"", el sector minero eritreo y los servicios financieros.",1
"75","2. La situación en Oriente Próximo.",0
"76","Informe del Secretario General sobre la situación en Abyei",0
"77","Ningún Estado puede luchar solo contra el terrorismo, ya que el carácter transnacional de la amenaza terrorista exige la cooperación y la coordinación con otros Estados.",0
"78","Lo más frecuente es que los civiles se vean atrapados en circunstancias de extrema necesidad en las que no se ha establecido una operación de mantenimiento de la paz. Tales situaciones pueden requerir la atención urgente del Consejo.",0
"79","Abandonaban las casas al poco tiempo.",0
"80","144. Los Estados son responsables, en virtud del derecho internacional de los derechos humanos, de garantizar la protección y preservación de los derechos humanos y las libertades fundamentales en todo momento, tanto en la guerra como en la paz.",1
"81","La formación policial básica durará 45 días.",0
"82","Los principales elementos de la declaración del Representante Permanente, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2014/3).",0
"83","v. Con el fin de asistir al Gobierno en la aplicación de su programa y de consolidar y reforzar los mecanismos de seguimiento existentes, se creará un Grupo de Trabajo Internacional (GTI) a nivel ministerial, que se reunirá una vez al mes en Côte d'Ivoire para evaluar, supervisar y hacer el seguimiento del proceso de paz, incluida la hoja de ruta acordada en Pretoria y cualquier otro acuerdo posterior, constatando el grado de cooperación de las partes y demás actores implicados, su respeto de los compromisos contraídos y, en su caso, cualquier actitud susceptible de obstaculizar la conclusión satisfactoria del proceso de paz y reconciliación en Costa de Marfil, y formular las recomendaciones oportunas al Consejo de Paz y Seguridad de la UA y al Consejo de Seguridad de las Naciones Unidas.",1
"84","También ayudará al Comité en su evaluación de las necesidades de asistencia técnica con el fin de explorar formas de facilitar más eficazmente la asistencia técnica a los Estados miembros pertinentes.",1
"85","Los Estados deben abstenerse de inhibir a los actores humanitarios en sus esfuerzos por involucrar a los grupos armados no estatales con fines humanitarios, incluida la realización de actividades destinadas a promover el respeto del derecho internacional humanitario.",0
"86","Insto a Hamás a responder positivamente a estas exhortaciones.",0
"87","7. Con el fin de aportar una mayor coherencia y conformidad de criterio a todos los documentos preparados para el Comité, se establecerán mecanismos transversales que se centrarán en los distintos ámbitos técnicos abordados por las resoluciones 1373 (2001) y 1624 (2005), y se creará una unidad de control de calidad para revisar todos los documentos antes de su publicación.",1
"88","Responder eficazmente a los problemas a los que se enfrentan las mujeres refugiadas y desplazadas internas requiere un enfoque holístico que combine estrategias preventivas, respuestas y soluciones.",1
"89","En su 6863ª sesión, celebrada a puerta cerrada el 14 de noviembre de 2012, el Consejo de Seguridad examinó el punto titulado ""La situación en Oriente Medio, incluida la cuestión palestina"".",0
"90","(a) Hubo un estado de caos en el lugar del crimen no sólo durante las primeras horas posteriores a la explosión, durante las cuales gran parte de la atención se centró en extinguir el incendio, salvar a los heridos y buscar a los desaparecidos, sino lamentable e innecesariamente durante mucho más tiempo.",0
"91","260. La prevención de la movilidad terrorista transfronteriza también requiere el uso de tecnología y equipos, como lectores y escáneres, en los puestos de control fronterizos para captar los datos de los viajeros en tiempo real y cotejarlos con las bases de datos nacionales e internacionales sobre alertas y delincuencia.",1
"92","Gaceta Oficial nº 21942 de 30 de diciembre de 1991",0
"93","Cinco Estados han establecido medidas parciales para proteger el procedimiento de asilo de los abusos, y dos han introducido plenamente dichos controles.",1
"94","(i) Facilitar la investigación en aquellos ámbitos de las tres resoluciones que requieran un examen más detenido, incluido el análisis de las tendencias y metodologías relacionadas con el terrorismo en entornos mundiales y regionales y el análisis de las medidas antiterroristas;",1
"95","Antecedentes Las Naciones Unidas desempeñan un papel central en la lucha contra el terrorismo mundial.",1
"96","(c) Tres (3) fotografías tamaño pasaporte;",0
"97","Carta de fecha 29 de enero de 2009 dirigida al Secretario General por el Encargado de Negocios interino de la Misión Permanente de la República Unida de Tanzanía ante las Naciones Unidas",0
"98","38. Varios Estados de la región de Asia han apoyado activamente el desarrollo de contranarrativas, incluso para su uso en Internet, con el fin de cuestionar los defectos ideológicos y religiosos que sustentan las ideologías terroristas.",1
"99","S/PRST/2013/2 (2013), PdC, par. 15",0
"100","Creación urgente de una emisora de radio de las Naciones Unidas y mejora de las actividades de información, medios de comunicación, educación y formación de las Naciones Unidas en Côte d'Ivoire, especialmente sobre cuestiones relacionadas con los derechos humanos, a fin de fomentar un clima de respeto mutuo y tolerancia entre todos los grupos comunitarios del país;",1
"101","Esto se produjo como consecuencia de la prioridad de proceder a la reforma estructural de la policía, otorgada a Bosnia y Herzegovina por la Comisión Europea, tras el fracaso de Bosnia y Herzegovina en alcanzar un acuerdo de adhesión a la Unión Europea.",0
"102","Ambos Gobiernos son socios esenciales para el Comité en su esfuerzo por hacer que el régimen sea más eficaz y esté más centrado contra la amenaza, y ofrecieron muchas sugerencias útiles, además de facilitar al Equipo información detallada sobre los últimos acontecimientos.",1
"103","24. El 13 de marzo, tras la aprobación por el Consejo de Seguridad de la resolución 2136 (2014) el 30 de enero, el Secretario General nombró a seis personas para formar parte del Grupo de Expertos, hasta el 1 de febrero de 2015, con experiencia en armas, grupos armados, aduanas/aviación, finanzas, recursos naturales y cuestiones regionales (véase S/2014/183).",1
"104","Los documentos de reclamación presentados por los demandantes;",0
"105","La alternativa sería que los Estados navales transfirieran a los sospechosos en el puerto de Dar es Salam, desde donde serían transportados por tierra a Arusha, lo que lleva unas ocho horas, o por avión, lo que implicaría diferentes consideraciones de costes.",0
"106","La Sala de Primera Instancia espera dictar sentencia en mayo de 2010.",0
"107","53. Dentro de esta visión, la MINUSTAH tiene un papel vital que desempeñar.",0
"108","Resolución nº 32/2003 de la CITMA, artículo 32f",0
"109","Se celebrará el jueves 12 de enero de 2012, a las 10.00 horas.",0
"110","Están sometidos a una verdadera presión por parte de la comunidad internacional y cualquier comunicación bidireccional pone en peligro su seguridad.",0
"111","En ocho Estados se aplican medidas para impedir la circulación transfronteriza ilegal de personas, y nueve vigilan y controlan eficazmente la importación y exportación de armas y explosivos.",1
"112","Las cuestiones relativas a los crímenes de lesa humanidad se evaluaron sobre la base de las definiciones establecidas por el derecho penal internacional consuetudinario y en el Estatuto de Roma de la Corte Penal Internacional.",1
"113","El Coordinador Humanitario ha pedido ayuda humanitaria de emergencia para ayudar a las 20.000 familias a sobrevivir al invierno.",1
"114","Las medidas adoptadas hasta ahora por el gobierno para hacer frente a la crisis han sido sumamente inadecuadas e ineficaces, lo que ha contribuido a crear un clima de impunidad casi total ante las violaciones de derechos humanos en Darfur.",0
"115","La persona que, con el fin de secuestrar una aeronave con destino a un país extranjero, se apodere del control de dicha aeronave o, sin permiso, utilice una aeronave que le haya sido confiada, será castigada con una pena de prisión de tres a diez años o con el decomiso de sus bienes.",0
"116","Desde entonces su número se ha duplicado a 16, además de su Asesor Especial, y se están contratando más observadores y Voluntarios de las Naciones Unidas.",1
"117","(b) Impedir la entrada en sus territorios o el tránsito por ellos de esas personas, con la salvedad de que nada de lo dispuesto en el presente apartado obligará a ningún Estado a denegar la entrada o exigir la salida de sus territorios a sus propios nacionales y de que el presente apartado no se aplicará cuando la entrada o el tránsito sean necesarios para el cumplimiento de un proceso judicial o cuando el Comité determine, caso por caso, que la entrada o el tránsito están justificados;",0
"118","86. Las conclusiones de la investigación australiana revelaron: a) que el grupo viajaba a Yedda como parte de una peregrinación religiosa; b) que no se detectó ningún explosivo común orgánico o inorgánico ni ningún residuo posterior a la explosión en ninguna de las muestras tomadas; y c) que ninguna de las personas entrevistadas por las autoridades australianas en relación con esta investigación había participado en el asesinato de Hariri ni tenía conocimiento de que hubiera participado en él. V. La investigación de la Comisión",1
"119","Tras la adopción de la resolución 2100 (2013) del Consejo de Seguridad por la que se estableció la MINUSMA con el apoyo a la preservación cultural como parte de su mandato, la UNESCO ha seguido trabajando con los socios de las Naciones Unidas para integrar la salvaguardia del patrimonio cultural en la operación de mantenimiento de la paz y en los esfuerzos de recuperación.",1
"120","El informe, sobre el resultado del examen de los nombres que figuran en la lista consolidada descrita en el párrafo 25 de la resolución 1822 (2008), está siendo examinado actualmente por el Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes y personas y entidades asociadas.",0
"121","D. Escuchar con más atención las voces de las víctimas 112. Estrechamente vinculado al concepto de contranarrativa está el creciente reconocimiento de la importancia de las voces de las víctimas del terrorismo en las estrategias eficaces de lucha contra la incitación.",1
"122","Convenio Europeo para la Represión del Terrorismo, firmado el 13 de febrero de 1992, ratificado el 15 de abril de 1992, entró en vigor en la República Federativa de Checoslovaquia el 15 de julio de 1992.",1
"123","8. A falta de objeciones por parte del Consejo, tengo la intención de proceder como se ha expuesto anteriormente.",0
"124","Facilitó una iniciativa con el Centro Africano sobre la mejora del uso de bases de datos internacionales por parte de los países del Sahel con el fin de reforzar la coordinación, el intercambio de información y la cooperación entre las autoridades policiales y fronterizas.",1
"125","El Centro de Derecho de Kosovo, instituto independiente creado por el pilar de desarrollo institucional, también continuó con su programa de becas.",1
"126","32. La sentencia de primera instancia en el caso Ntawukulilyayo se dictó el 3 de agosto de 2010 y se emitió por escrito el 6 de agosto de 2010.",0
"127","(d) Declare y aplique una moratoria inmediata sobre la imposición y ejecución de la pena de muerte, seguida sin demora indebida por la abolición de la pena de muerte tanto en la ley como en la práctica;",1
"128","No puede significar renunciar a los compromisos con quienes desean regresar a sus hogares y necesitan apoyo para cumplir sus aspiraciones. No puede sustituir a las políticas actuales, sino complementarlas.",1
"129","Pocos Estados informantes han facilitado información sobre las medidas que aplican para evitar los abusos de las organizaciones benéficas u otras organizaciones sin ánimo de lucro (OSAL). Pero 63 exigen que las OSAL obtengan una licencia o se registren.",1
"130","El Consejo de Seguridad condena todos los actos de violencia y otras formas de intimidación dirigidos deliberadamente contra el personal humanitario, así como los ataques contra las fuerzas de mantenimiento de la paz.",0
"131","2. Como Presidente del Comité contra el Terrorismo del Consejo de Seguridad y uno de los primeros promotores de la Coalición Mundial contra el Terrorismo, la República de Croacia condena enérgicamente el terrorismo internacional en todas sus formas y manifestaciones y, teniendo en cuenta el peligro de que el terrorismo converja con otras amenazas a la paz y la seguridad internacionales, como la proliferación de armas de destrucción masiva, la delincuencia organizada transnacional y el ciberterrorismo, insta a una cooperación mundial aún más estrecha en la supresión de esta lacra de los últimos tiempos.",0
"132","El estudio también se centrará en las posibles estrategias para garantizar la escolarización del 30% de los niños que actualmente no asisten a la escuela.",0
"133","Prosiguieron los esfuerzos para integrar la representación de las minorías en la dotación de personal de los departamentos administrativos.",1
"134","Los resultados de las encuestas mostraron que, aunque los efectos no eran en absoluto uniformes, el empleo local derivado de la tala no era significativo en la mayoría de los lugares.",0
"135","El Presidente de la República presidirá las sesiones.",0
"136","Se creará un sistema en virtud del cual las víctimas de explotación y abusos sexuales serán remitidas, caso por caso, a una organización no gubernamental que les prestará la ayuda necesaria.",1
"137","Sus competencias fueron redefinidas en marzo de 2006 por el reglamento 2006/50 de la UNMIK, que encomendaba a la Comisión para Kosovo la resolución de las reclamaciones directamente relacionadas con el conflicto armado que tuvo lugar entre el 27 de febrero de 1998 y el 20 de junio de 1999, o derivadas del mismo, respecto a bienes inmuebles privados, incluidos los agrícolas y comerciales.",1
"138","Las sustancias químicas de la lista 1, aunque estén contenidas en mezclas, no pueden volver a transferirse a un tercer Estado-Parte.",0
"139","Por la Gran Jamahiriya Árabe Libia Popular y Socialista",0
"140","La amenaza que suponen para la seguridad y la estabilidad de Afganistán los terroristas, los delincuentes y los implicados en el tráfico ilícito de drogas es real y debe abordarse de forma continua.",0
"141","● Carta de la OLP modificada el 14 de diciembre de 1998.",0
"142","Permítanme decir que si nos hubiéramos rendido, en aquel momento, las consecuencias habrían sido mucho peores para todos nosotros que lo que vivimos durante aquellos terribles días de enero de 1999.",0
"143","Desarrollar directrices prácticas para incorporar la perspectiva de género en los procesos de reconstrucción sostenible en entornos de poscrisis y directrices exhaustivas de referencia sobre el terreno; abordar el género y la administración de tierras y propiedades en situaciones de posconflicto; desarrollar un conjunto de herramientas para proporcionar una base conceptual en cuestiones de género en relación con los programas de gobernanza en un entorno de posconflicto.",1
"144","Se celebrará el jueves 29 de julio de 2004, a las 11.30 horas.",0
"145","Los Estados deben introducir las medidas legales necesarias, como la incautación de fondos, siempre que haya sospechas de blanqueo de capitales o financiación del terrorismo.",0
"146","El Consejo toma nota asimismo del mandato de la Operación Híbrida de las Naciones Unidas y la Unión Africana en Darfur (UNAMID) y de la Oficina Integrada de las Naciones Unidas para la Consolidación de la Paz en la República Centroafricana (BINUCA) de cooperar y compartir rápidamente la información relacionada con la amenaza regional del LRA.",1
"147","13. La Dirección Ejecutiva del Comité contra el Terrorismo seguirá reforzando su función de facilitación de la asistencia técnica para la aplicación de la resolución 1373 (2001) destinada a aumentar la capacidad de los Estados Miembros y las regiones en la lucha contra el terrorismo atendiendo a sus necesidades en materia de lucha contra el terrorismo, en estrecha cooperación con el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, otros órganos de las Naciones Unidas y los proveedores de asistencia bilateral y multilateral, y seguirá adoptando un enfoque centrado y regional para esta labor.",1
"148","También elogio al pueblo de Burkina Faso por la manera responsable en que ha llegado a un consenso sobre las disposiciones transitorias.",0
"149","B. Apoyo inmediato a las zonas recuperadas",0
"150","La reciente aprobación, en particular, de seis unidades adicionales de turbinas de gas que se instalarán a finales de agosto de 1999 en la central de Mullah Abdullah proporcionarán 220 MW adicionales a la red nacional.",0
"151","31. Los Estados y muchos actores internacionales acogieron con satisfacción la apertura del proceso de examen exhaustivo e instaron al Comité 1540 a continuar con este enfoque y a aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.",0
"152",":: Complementariedad: las organizaciones se centrarán en lo que mejor saben hacer evitando la duplicación de esfuerzos y el despilfarro de recursos.",0
"153","4. Aunque tanto el Acuerdo General de Paz como el Acuerdo para la Supervisión de la Gestión de las Armas y los Ejércitos contenían disposiciones para disolver las milicias vinculadas al ejército maoísta, ninguno de los dos presentó planes detallados al respecto.",1
"154","23. Durante las recientes visitas sobre el terreno a campos de refugiados, emplazamientos para desplazados internos y aldeas cercanas, la MINURCAT registró menos denuncias de abusos contra los derechos humanos.",1
"155","12. Reitera su agradecimiento a los socios de la UA que ya apoyan la MISCA, a saber, los Estados Unidos, Francia y la Unión Europea (UE), toma nota con satisfacción del apoyo técnico prestado por las Naciones Unidas de conformidad con el párrafo 37 de la resolución 2127 (2013) del Consejo de Seguridad, de 5 de diciembre de 2013, así como de las contribuciones ya efectuadas al Fondo Fiduciario establecido por el Secretario General de las Naciones Unidas de conformidad con el párrafo 43 de la resolución 2127 (2013), por Canadá y Luxemburgo, y de las promesas realizadas por Japón y el Reino Unido.",1
"156","Estas abarcan la financiación de las campañas, las actividades electorales y el orden público, el acceso a los medios de comunicación y el uso indebido de recursos públicos con fines políticos.",0
"157","Las provincias orientales y sudorientales se enfrentan a un ataque intensificado por una combinación de los elementos mencionados anteriormente.",0
"158","En la declaración, el Presidente Abbas también expresó su pleno apoyo a las medidas adoptadas en las últimas semanas por el Gobierno del Líbano para prohibir el porte de armas fuera de los campos de refugiados palestinos, detener los traslados ilegales de armas y personas y afirmar su monopolio sobre el uso de la fuerza y ejercer su control sobre todo su territorio.",0
"159","Es significativo que algunos Estados hayan comenzado recientemente a revisar o hayan puesto fin a los estados de excepción.",1
"160","Se celebrará el miércoles 29 de septiembre de 2010, a las 10.00 horas.",0
