"","ar_en_GOOGLE","VerCoop"
"15","The Council also decided that the overall force levels of the Mission would consist of up to 2,370 personnel and a police component of up to 2,601 personnel, which were the force levels recommended by the Secretary-General; He called on the Secretary-General to ensure that the Mission&#39;s strength in the country remained at approximately its then levels until the submission of his next report to the Council, and to notify in that report of any major changes in the situation.",1
"16","14 - Official peace negotiations between the Government of Mali and armed groups began in Algiers on 14 July, facilitated by an international mediation team composed of the United Nations, regional organizations and neighboring countries, and led by Algeria. The negotiations aim to stabilize the ceasefire and reach a peaceful solution to the conflict, while preserving Mali&#39;s territorial integrity. On 24 July, the Government of Mali and armed groups signed a preliminary agreement setting out a roadmap for further negotiations.",1
"17","The two Governments are key partners of the Committee in its efforts to make the system more effective and risk-focused, and have presented many useful proposals and provided detailed information to the Group on the latest developments.",0
"18","The Australian Government, which currently chairs the Wassenaar Agreement, has submitted an initiative to reduce the risks of using these systems to the ASEAN Regional Forum.",1
"19","H- Ministry of Education 286-331 67",0
"20","These standards may relate to: (a) awareness and guidance in the private sector; (b) supervision of charitable institutions; (c) Enforcement measures to ensure that charities comply with anti-money laundering and terrorist financing requirements; (d) International participation.",1
"21","The Bakata Katanga movement has destabilized large areas of the province since 2012, when Kyonogo Mutanga Gideon, following a prison escape, forced local residents, including children, to join his ranks or flee.",0
"22","It was reported that Red Cross vehicles and personnel were sometimes seen at the scene assisting the injured.",0
"23","10 - Calls upon the Secretary-General to report to the Security Council on the opportunities and challenges facing cooperation between the United Nations and regional and subregional organizations in the maintenance of international peace and security, and encourages the Secretary-General to explore with international organizations the possibility of concluding agreements to establish a framework for cooperation of regional organizations with operations and contributions to United Nations-led peacekeeping, taking due account of previously established guidelines for cooperation between the United Nations and specific regional organizations;",1
"24","The German-Dutch Operations Command, with its dual national force coordination centre, in which the Germans and Dutch operate, serves as the highest position of responsibility at the force headquarters.",0
"25","Habasadi received financial and military support from Atto, Musa Sodi, Sheikh Yusuf Indohadi and others.",0
"26","Noting with deep concern the escalation of violence and the increase in inter-communal fighting, as well as the continuing manifestations of sexual and gender-based violence and impunity, and reiterating its grave concern at the attacks directed against humanitarian personnel, peacekeepers, and the security of civilians, and calling on all parties in Darfur to stop Immediately launch its aggressive actions and stop continuing its violent attacks, which are deteriorating the situation with regard to humanitarian aid and obstructing its access to needy segments of the population,",0
"27","This situation is exacerbated by high unemployment and deteriorating health conditions, especially with the increasing spread of HIV/AIDS, typhoid, malaria and tuberculosis, as well as high rates of maternal, infant and child mortality.",0
"28","This included ambushes, as well as launching missile and asymmetric attacks on assets and personnel of the United Nations Multidimensional Integrated Stabilization Mission in Mali.",0
"29","48 - A spokesman for the International Committee of the Red Cross told Agence France-Presse that the Committee will refrain from making any statements in accordance with the procedures followed in the Technical Subcommittee, which stipulate the confidentiality of discussions.",0
"30","118. The Commission recommends that further investigation be conducted to establish which of the following men of Major Reinado were present in Fatuahi: Moises Ramos, Placido Ribeiro GonÃ§alves, Deolindo Barros, Antonio Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson JosÃ© Antonio da Silva and Juaninho MarÃ­a Guterres, Joaquim Barreto, JosÃ© Gomez, Natalino Borges Pereira, Andre da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Felsberto Gracia, Dario da Silva Leong, Nelson Gallocho, Nixon Gallocho.",1
"31","In recent years, States of this subregion (such as Bulgaria, Bosnia and Herzegovina and Serbia) have ratified some of the latest instruments in the field of counter-terrorism.",0
"32","He explained that he had held many discussions with the Moroccan government, which first requested, before accepting the resumption of shuttle diplomacy, a meeting in order to clarify its concerns regarding the latest report of the Secretary-General (S/2014/258), stressing that Morocco believes that this will allow the process to advance in a manner Ideal.",1
"33","This working group facilitated and co-chaired an international conference on national and regional counter-terrorism strategies in which participants identified a set of principles that Member States and regional organizations should consider when developing their strategies in this regard.",1
"34","Members expressed their willingness to consider, in a timely manner, updated reports on planning for a smooth transition to the Sustainable Development Assistance Framework by the end of the Office&#39;s mandate in May 2006.",1
"35","Given that terrorism remains a serious and global threat, France, during its presidency of the Security Council last January, took the initiative to organize a ministerial-level meeting on the fight against terrorism.",0
"36","Based on what was presented by the Government of the Kingdom of Saudi Arabia,",0
"37","29. The Committee encourages the Executive Directorate to continue its analysis of regional and thematic issues, including for the purposes of providing briefings to the Committee and all members, taking into account the evolving global situation and focusing on key topics such as the use and abuse of new information and communications technologies, the protection of the rights of victims of terrorism, and emerging challenges related to prosecution Judicial issues of terrorism, establishing strategic partnerships with relevant non-state actors (including women and youth groups, religious leaders, media and the private sector), protecting tourism infrastructure, kidnappings for ransom, and addressing violent extremism and crimes that finance terrorism.",1
"38","The Financial Action Task Force&#39;s 2008 report on patterns of money laundering and terrorist financing through the real estate sector indicates the possibility of terrorist financing schemes related to the real estate sector.",0
"39","These meetings have proven useful in strengthening the work of the Committee, increasing awareness and improving understanding of the sanctions regime, coming up with ideas to increase the effectiveness of the measures, and discussing the difficulties faced by some States in the field of implementation and the measures that can be taken to assist them.",1
"40","In this regard, an understanding was reached with the two parties regarding the possibility of reviewing the military agreements, with the aim of better responding to what is happening on the ground.",1
"41","On 3 August, President dos Santos received Mr. Brahimi, who arrived in Luanda on 31 July, and was received by Mr. Savimbi in Ndolo the following day.",0
"42","In addition, efforts will be made to raise awareness about gender discrimination and property rights.",0
"43","âThe Security Council recognizes the importance of the good offices role of the Secretary-General, and encourages the Secretary-General to continue to use mediation where possible to help resolve disputes peacefully, and to work closely with and coordinate with relevant regional and subregional organizations in this regard, as appropriate.",1
"44","(a) Call on parties to the armed conflict to comply with the obligations applicable to them under international humanitarian law, take all steps required to protect civilians, and facilitate the rapid and unhindered passage of relief shipments, equipment and personnel,",1
"45","3 - The participants considered that these events, despite their seriousness, are a reminder of the necessity and urgency of accelerating the pace of the process that would lead to inclusive dialogue between the Malian parties, in a way that lays the foundations for true reconciliation between Malians, and for lasting peace, security and stability in the country.",1
"46","52 - Reiterates the need to strengthen ongoing cooperation between the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, by enhancing information exchange and coordination on visits to countries within their respective mandates, and facilitating and monitoring technical assistance relations with international and regional organizations and agencies, and on other matters of interest to all three Committees, expresses its intention to provide guidance to the Committees with regard to areas of common interest with a view to better coordinating their efforts and facilitating such cooperation, and requests the Secretary-General to make all necessary arrangements so that they can Teams can work as close as possible in a common space;",1
"47",":: Fact-finding mechanisms should be established early enough in crises to enable them to contribute to preventing further violations.",1
"48","Therefore, there is a need to improve ways of exchanging information and strengthening cooperation with countries in other regions.",1
"49","Recognizing that international cooperation measures and any measures taken by Member States to prevent and combat terrorism must be fully complied with the provisions of the Charter of the United Nations,",1
"50","Support should be conditional on progress made by the Congolese authorities towards establishing an effective supply chain within the Congolese armed forces. This should be accompanied by efforts to strengthen the accountability of the armed forces and their respect for human rights.",1
"51","The Council stresses the need to hold an urgent dialogue between the new government, upon its formation, and the international community regarding ways to help the government use the transitional phase constructively to achieve the goals of reconciliation, stability, and reconstruction.",1
"52","I would like to thank, on behalf of the Czech Republic, the Counter-Terrorism Committee for its efforts in combating international terrorism.",1
"53","The Council reiterates the necessity of holding an international conference as soon as possible to implement the Geneva Statement to facilitate a Syrian-led political process that leads to a transitional phase that will accelerate an end to the ongoing conflict in Syria.",1
"54","The Georgian leadership is firmly committed to the peaceful settlement of the ongoing conflict on its territory, appreciating the importance of ethnic integration and integration, and the importance of protecting human rights and freedom.",1
"55","Nominal GDP at market prices",0
"56","Haitian political and civil society leaders continue to speak up for national consensus in key areas, such as the national budget, education, recovery and development priorities, elections and constitutional reform.",0
"57",":: His Excellency Mr. Zahabi Ould Sidi Mohamed, Minister of National Reconciliation of the Republic of Mali",0
"58","Martin Pires was also the organizer of another failed attempt during the Caribbean Forum Summit, in the Dominican Republic, during August 1998.",0
"59","Moreover, there is no indication that extrabudgetary financing will be readily available.",0
"60","(b) Work with States and the Terrorism Prevention Branch of the United Nations Office on Drugs and Crime to promote best practices and facilitate capacity-building and training for members of the judiciary, law enforcement agencies and other relevant civil servants on procedures for requesting and providing assistance in criminal investigations and mutual legal assistance extradition of criminals;",1
"61","(b) Stolen vehicles",0
"62","The second documentary focuses on a former terrorist from Saudi Arabia who will be released in the first half of 2011.",0
"63","During the discussions, and in light of the change in leadership on both sides over the past two years, the two parties agreed on the need to reaffirm their commitment not to resume hostilities and to the return of internally displaced persons and refugees in safety and dignity, provided that this is done in the first phase to the Gali region within its old borders, as was confirmed It was stated in the Yalta Declaration for the Georgian and Abkhaz sides (see S/2001/242, annex, and S/2001/401, para. 6).",1
"64","The main elements of the statement made by the ChargÃ© d&#39;Affaires a.i. as well as the exchange of views that took place among members of the Working Group are contained in the summary included in the relevant conclusions (S/AC.51/2014/2).",1
"65","Revenues are generated from taxes imposed on import, export and docking operations at the port.",0
"66","âThe Security Council commends the continuing efforts of the Contact Group on Piracy off the Coast of Somalia to coordinate international efforts in various aspects of combating piracy.",1
"67","Develop a gender action plan in the department to integrate a gender perspective into conflict prevention, peacekeeping and peacemaking activities.",1
"68","1 - Decides that all States shall refrain from providing any form of support to non-State actors that attempt to develop, acquire, manufacture, possess, transfer, transfer or use nuclear, chemical or biological weapons and their means of delivery;",0
"69","However, these costs have been adjusted to take into account the residual value of the equipment and machinery.",0
"70","4 - The Executive Director is requested to submit, within 30 days of assuming office, and after consultation with and through the Secretary-General, an organizational plan to the General Assembly for approval, provided that the plan is consistent with the Committeeâs report (S/2004/124) and with The rules and regulations of the United Nations, including its structure, staffing requirements, budgetary requirements, management guidelines and appointment procedures, recognizing in particular the need for an effective and collaborative management structure for the new body and a staff with appropriate qualifications and experience, who shall be of international civil service personnel subject to Article 100 of the Charter, ensuring the highest levels of competence, competence and integrity, and giving due consideration to the importance of appointing personnel on the broadest possible geographical basis;",1
"71","645- The Committee decided to withhold the names of these persons from the public domain. This decision is based on three main reasons: (a) the importance of the principles of fair trial and respect for the rights of suspects; (b) that the Commission was not given the authority to investigate or indict; and (c) the vital necessity of ensuring that witnesses are protected from potential harassment or intimidation.",1
"72","The Counter-Terrorism Committee, established pursuant to Security Council resolution 1373 (2001), plays a key role in this area.",1
"73","âThe Security Council looks forward to the report of the High-level Panel on United Nations System-Wide Coherence in the Areas of Development, Humanitarian Assistance and the Environment and hopes that this report will play a role in ensuring that the United Nations takes a coordinated approach to women, peace and security.",1
"74","49. Emphasizes that no matter should remain before the Committee pending for more than six months, unless the Committee decides, in each case, that exceptional circumstances require additional time to consider certain matters, in accordance with its guidelines;",1
"75","In this context, the Security Council welcomes the decision of the African Union Summit, issued in Sirte on 3 July, to increase the strength of the Mission to the level authorized under its mandate, and its call on African Union member states to provide the necessary military and police personnel.",1
"76","3 - A senior commander of the Union Organization, with full responsibility for the training camps, purchased AK-47 assault rifles, PKM machine guns, RPG-7 rocket launchers, F-1 grenades, and grenades. With rifles and 60mm-82mm mortar shells from the Ertougt market between 7 and 21 November 2004. The same person purchased two PKM assault rifles, 10 SG-43 medium machine guns, and 120 SG-43 pistols. TT-33 &quot;Tokarev&quot; and 60 magazines for AK-47 assault rifles on 27 November 2004; As well as 16 PKM machine guns and ammunition for RPG-7 rocket launchers on 15 January 2005 (S/2005/153, annex II).",0
"77","The percentage of financing the resources needed for key sectors such as water, health and nutrition is less than 40 percent.",0
"78","It also encourages continued cooperation between Member States and the Office for the Coordination of Humanitarian Affairs, the Department of Political Affairs, the Department of Peacekeeping Operations, the Office of the United Nations High Commissioner for Refugees, the United Nations Relief and Works Agency for Palestine Refugees in the Near East, the Office of the High Commissioner for Human Rights, the United Nations Development Programme, etc. From the relevant agencies and offices of the United Nations.",1
"79","The Council encourages the establishment or strengthening of subregional or regional mechanisms for cooperation, coordination and information exchange, where appropriate, in particular cross-border cooperation mechanisms and information exchange networks, with a view to preventing, combating and eliminating illicit cross-border trafficking in small arms and light weapons.",1
"80","It is noted, in this regard, that the Security Council could mandate multidimensional peacekeeping missions, inter alia, to: (d) ensure rapid response in mine action as well as provide advisory services and provide training that meets the needs of national authorities, based on Requested, in order to enable them to reduce risks, assist victims, clear mines, and manage and dispose of stockpiles;",1
"81","In light of this background, I hope that they can now address other aspects of the bilateral relationship between the two countries.",0
"82","54. The âlike-mindedâ States suggested that the Committee change its decision-making procedures to allow for a majority vote rather than consensus when considering removing an entry from the list after the review period, which they proposed to reduce to two years.",1
"83","Urges the international community to provide support and assistance to enable States to fulfill their responsibilities to protect refugees and other persons protected under international humanitarian law.",0
"84","Second - Developments during the reporting period",0
"85","The main elements of the statement made by the Permanent Representative, as well as the exchange of views that took place among members of the Working Group, are contained in the summary included in the relevant conclusions (S/AC.51/2014/3).",1
"86","The commissions were established in response to allegations of violations of international human rights law and international humanitarian law in the context of conflicts, as well as in situations of high levels of violence that were often, but not exclusively, linked to electoral or political processes and involved serious violations of human rights law. ().",0
"87","These activities are part of an ongoing dialogue between the United Nations Rule of Law and Security Program and the Transitional Federal Government on mine-related issues and support processes that will ensure that this Government is aware of the existence of relevant international legal instruments and considers the possibility of participating in them.",1
"88","The Secretary-General considers that these credentials are complete.",0
"89","Recognizing that the Security Councilâs consideration of the issue of the protection of journalists in armed conflict is based on the urgency and importance of this issue, and recognizing the valuable role that the Secretary-General can play in providing further information on this topic,",1
"90","ORIGINAL: ENGLISH Letter dated 6 July 1999 from the President of the Security Council",0
"91","In response to this wave of violence, the Mission and the Haitian National Police organized several successful operations to rescue kidnappers, and a large number of suspected kidnappers were arrested.",0
"92","The location of the village of Mota&#39;in was marked on maps used by UNFICYP as being in East Timor.",0
"93","Azerbaijan is deeply concerned about the continuation of illegal settlement activities in the occupied Palestinian territories.",0
"94","Prime Minister Siniora informed me, in particular, that the provision included in the resolution relating to the disarmament and disbandment of militias is the subject of an internal dialogue that he has recently begun and is keen on ensuring its success.",1
"95","Denmark, as a current member of the Security Council, proposed that the Committee establish an independent review mechanism in the form of an ombudsman that could accept petitions directly from listed parties who claim that they have been unjustly included on the list and are unable to obtain delisting.",1
"96","At the same time, President Al-Bashir threatens the international community with retaliation, and thus more crimes.",0
"97","6 - At 1203 hours on 11 July 1998, an American formation of two aircraft dropped 8 thermal flares over the Rabia area in Nineveh Governorate.",0
"98","In this regard, the Council condemns, in the strongest terms, the continued threats and acts of intimidation against members of the Mission.",0
"99","46. At my invitation, Prime Minister Siniora and President Abbas met on 18 October in Paris to discuss issues related to the presence of Palestinian refugees in Lebanon.",1
"100","&#39;&#39;The Security Council calls on Sudan and Chad to respect and fully implement their mutual obligations, in particular the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, and to interact constructively with the Dakar Liaison Group and the good offices of Libya and Qatar towards the normalization of Their relations, and to cooperate in order to put an end to the cross-border activities of armed groups and to strengthen measures to combat illicit arms trafficking in the region, including through the establishment of effective joint border monitoring.",1
"101","24. Since my last report to the Council, the Mission has equipped two forward medical teams with portable satellite phones.",0
"102","In addition, the team of experts of the Security Council Committee established pursuant to resolution 1540 (2004) regularly participated in thematic briefings organized by the Security Council Committee established pursuant to resolution 1373 (2001) on matters of common interest.",0
"103","2 - The West African Economic and Monetary Union and the Central Bank of West African States",0
"104","Since January, 444 FDLR fighters have been demobilized, including 259 Rwandans and 185 Congolese.",0
"105","Lithuanian legislation prohibits any such support.",0
"106","Escalating local crises could easily provide opportunities for spoilers, if not addressed appropriately and sustainably.",0
"107","(b) Strengthen legislative and regulatory frameworks to combat the financing of terrorism, including by criminalizing the financing of terrorism, adopting the necessary measures to freeze funds without delay and conducting risk assessments of exploitation of the non-profit sector;",0
"108","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"109","Accordingly, the government should continue to work with the private sector, political parties, and civil society in order to develop the necessary legislative and regulatory frameworks to encourage private sector investments and take advantage of the opportunities for rapid job creation provided by the HOPE II Act and other preferential trade agreements.",0
"110","Punishment: deprivation of liberty for a period ranging from six months to five years.",0
"111","A public awareness campaign on sexual and gender-based violence and children&#39;s rights was also held from 11 to 19 August in internally displaced persons sites in the Dar Sila region.",1
"112","(b) Encouraging States to adopt practical measures and national strategies to suppress the recruitment activities of terrorist groups, while adhering to relevant human rights obligations;",1
"113","36. The Chairman also plays an important role during Committee meetings by encouraging members to clarify their positions on items when these positions are at odds with those of other States, and by taking the initiative to propose that the names of persons believed to be deceased, or items on the List for which there are no identifiers, be removed from the List. .",1
"114","I express my profound gratitude to my Acting Special Representative, David Gresley, and my Deputy Special Representative, Arnold Akodjino, as well as to all United Nations civilians and uniformed personnel for their continued hard work in very difficult circumstances to restore lasting peace and stability to the country.",1
"115","(e) Loss of personal property (SAR 969,033)",0
"116","The Council supports the idea of establishing a unit within the Secretariat to help establish the rule of law, and looks forward to receiving the Secretariatâs proposals on implementing the recommendations contained in paragraph 65 of the Secretary-Generalâs report on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616 ).",1
"117","49 - Since MINURSO has not been assigned a special mandate in the field of human rights, it has no staff dedicated to monitoring human rights in the territory or in the refugee camps near Tindouf.",0
"118",":: Requesting the Mission to support the host government in addressing sexual violence openly, in disarmament, demobilization and reintegration processes, in security sector reform processes and justice sector reform initiatives, and in developing and implementing concrete, time-bound plans of action to combat conflict-related sexual violence.",1
"119","(a) Encouraging States to strengthen the capabilities of their systems to combat money laundering and terrorist financing, with a particular focus on subjecting alternative remittance systems and charitable institutions to regulatory controls;",1
"120","Delays in issuing visas and authorizing imports",0
"121","âThe Security Council welcomes General Assembly resolution 64/289, establishing a United Nations entity on gender equality and the empowerment of women (UN-Women), which will become fully operational in January 2011.",1
"122","The Security Council has two main mechanisms for influencing Afghanistan: one in the United Nations Assistance Mission in Afghanistan, charged with promoting national dialogue, and the other in the 1267 Committee, which can largely decide which members of the Taliban could have a role in any future government.",0
"123","206 - After examining the file, the committee can highlight the following points:",0
"124","(a) Ensure that information relating to international humanitarian law, international human rights law and refugee law is disseminated as widely as possible,",1
"125","Participants considered comprehensive approaches to address the factors that lead to the spread of extremism and terrorism in the region, and how best UN entities can help deal with this phenomenon and its implications for peace, security and stability.",1
"126","3- Hassan Abdel Rahman, nurse, from Qubtan al-Jabal",0
"127","Therefore, the door to joining our financial system is closed at the moment.",0
"128","Nothing is more urgent in Sierra Leone than the maintenance of peace, security and stability in the country.",1
"129","Unlike the regular meetings of the Council of Arab Interior Ministers, information on the status of implementation is not exchanged on a regular or institutional basis at the subregional level.",1
"130","The Committee will endeavor to ensure that national reports, visit reports and other relevant information are fully exchanged by the committees and expert groups, including with regard to organized visits to States and other official travel and technical assistance.",1
"131","Scheduled for Thursday, 4 April 2002, at 11.50 a.m",0
"132","Reiterating the commitment of Member States to prevent the movements of terrorist groups, including by imposing effective border controls, and, in this context, to work to exchange information promptly and improve cooperation among the competent authorities to prevent the entry and exit of terrorists and terrorist groups from their territories, and to provide terrorists with weapons and financing, would support terrorists,",1
"133","220. The Committee recommends that special measures be taken to ensure that the dignity of victims is preserved and that they are prevented from re-traumatizing themselves when undertaking any proceeding, whether judicial or extra-judicial.",1
"134","The Committee also recommends that only persons who subsequently used these weapons in criminal activities be prosecuted among the persons who received FRD weapons on 24 and 25 May.",0
"135","Ethiopia and Eritrea (15 March 2001)",0
"136","36. The Committee continued to consider a media communication strategy, based on a non-paper prepared by Committee experts. The purpose of this strategy is to make systematic and efficient use of the resources of the United Nations and the Committee to reach a broader and specific audience, including through the development of specialized contact lists to report electronically important updates by the Committee.",0
"137","35 - Central Africa Region (24 November 2003; 14 November 2011).",0
"138","The Council also imposed on the entities and individuals named by the Committee a ban on the supply, sale or transfer of weapons and military equipment and related training, financial and other forms of assistance.",1
"139","2 - Instructs the sanctions committees established by the Security Council, including those established pursuant to resolutions 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 (2005) and 1518 (2003). 1267 (1999), 1132 (1997), 918 (1994) and 751 (1992) to revise its guidelines accordingly;",1
"140","Once again, an Italian technician was seen carrying out installations on a helicopter and then was seen testing its engine and rotor after the installation work was completed.",0
"141","At the 5898th meeting of the Security Council held on 27 May 2008, in the context of its consideration of the item entitled âProtection of civilians in armed conflictsâ, the President of the Security Council made the following statement on behalf of the Council:",1
"142","The gradual removal of the Green Line has been based on a comprehensive threat assessment; And to the consultations taking place with the Integrated Command Center; And to the improvement of the security situation in general, especially the assessment that concluded that the possibility of military confrontation between the former combatants was low.",1
"143","Strategic transportation support will depend, to the extent possible, on the capabilities of the United Nations and its existing regional supply lines;",0
"144","This is the essence of the humanitarian tradition of CÃ´te d&#39;Ivoire, which is a society with a strong democratic spirit that yearns for the rule of law and respect for human rights for all, without discrimination as to nationality or origin.",1
"145","Its work with regional and subregional organizations should focus on facilitating the interaction of regional and national institutions to address national implementation challenges, such as aligning priorities, harmonizing approaches, facilitating advisory and drafting services, and matching requests and offers for assistance.",0
"146","He telephoned the Acting Chief of Beirut City Police, Major General Naji Malaeb, and informed him about the phone call that came from Mr. Namar and asked him to check with Judge Mezher whether he was aware of this decision.",1
"147","4 - Calls upon all States not party to the Treaty on the Non-Proliferation of Nuclear Weapons to accede to the Treaty as non-nuclear-weapon States with a view to achieving universality of the Treaty at an early date, and to abide by its provisions pending accession;",1
"148","While the region&#39;s leaders took bold measures to combat this scourge, the Libyan crisis erupted and exacerbated the situation.",0
"149","(h) Developing the Executive Directorate&#39;s global role in strategic communications on counter-terrorism, including by providing briefings to all members, working with world leaders and opinion makers, and engaging with the media and other stakeholders.",1
"150","âThe Security Council supports the adoption of the indicators contained in the report of the Secretary-General (S/2010/498), including by relevant United Nations entities, for use as an initial framework for monitoring the implementation of its resolution 1325 in situations of armed conflict, post-conflict situations and other situations relevant to the implementation of the resolution.â 1325, as appropriate, taking into account the specificity of each country.",1
"151","âThe Security Council encourages the Mission to continue working, in coordination with the Government of Iraq, to help create conditions conducive to the voluntary, safe, and sustainable return of Iraqi refugees and internally displaced persons, and welcomes the increased attention of all concerned to this issue.",1
"152","A project team (“Holistic Approach Preventive Strategy”) was established at the Federal Ministry of the Interior in December 2003.",0
"153","Repeated calls from groups for donations and their claims that they cannot launch attacks due to their lack of money have encouraged them to remain focused on adding funders to the list.",0
"154","30 - Raja Hammoud Saleh Al-Sahli",0
"155","The signatories also pledged to conduct an open and fair electoral campaign and to establish a parliamentary committee on corruption during the next session of Parliament.",1
"156","Following the adoption of Security Council resolution 2100 (2013), which established the United Nations Multidimensional Integrated Stabilization Mission in Mali and made supporting the preservation of cultural heritage part of its mandate, UNESCO has been working with United Nations partners to include the safeguarding of cultural heritage in peacekeeping efforts. And recovery.",0
"157","So far, this strategy has been successful.",0
"158","On November 16, 2014, the Islamic State executed 17 people in the Tabqa market in Raqqa after accusing them of spying and working with regime forces.",0
"159","The Council calls on the remaining fighters of the Lord&#39;s Resistance Army to leave the ranks of this group and participate in the process of disarmament, demobilization, repatriation, resettlement and reintegration.",1
"160","The Committee also agreed to send letters to both the Permanent Representative of Somalia and the African Union Commissioner for Peace and Security recommending an independent investigation into reports that officials from the Transitional Federal Government and individuals from the Ugandan contingent of AMISOM, respectively, sold arms and ammunition to Somalia arms market.",1
"161","General People&#39;s Committee for Transportation and Transport:",0
"162","However, we cannot be satisfied with ourselves.",0
"163","Al-Qaeda in the Islamic Maghreb&#39;s arsenal could now include advanced anti-aircraft weapons coming from Libya, although it is unlikely that these weapons are still operational.",0
"164",":: Prohibiting the opening or operation of accounts using false, fictitious or incorrect names;",0
"165","As a measure to optimize the use of the Council&#39;s time and to allow as many delegations as possible to speak, I will not invite individual speakers to take seats at the Council table and then to return to their seats at the side of the room.",0
"166","The electronic databases can be searched at the two (2) international airports in the country and at the most important ports.",0
"167","4. The team began its review of the fifteenth batch on 30 January 2002.",0
"168","3 - The situation in Cyprus (27 December 1963; 19 July 2012).",0
"169","âThe Security Council recognizes the support provided by bilateral and multilateral actors, including the African Union, the European Union, the Organization of Islamic Cooperation, the League of Arab States, and subregional organizations such as the Economic Community of West African States, the Sahel-Saharan Community, the Intergovernmental Authority on Development and the Union The Maghreb, as part of the efforts aimed at combating terrorism in Africa, calls on the international community and the United Nations system to strengthen their cooperation with subregional bodies concerned with combating terrorism, such as the African Center for Studies and Research on Terrorism.",1
"170","The vulnerability of the civilian population is further exacerbated by the lack of basic social services and infrastructure, including roads, schools and health centres.",0
"171","âThe Security Council reaffirms the need to combat all forms of terrorism and that no terrorist act can reverse the path towards peace, democracy and reconstruction in Iraq, a path that is supported by the Iraqi government and people, and the international community.",1
"172","13 - Two UPDF officers and four support staff who were supposed to form part of the Kisangani Joint Command Post, in accordance with the implementation order, were late in showing up for reasons beyond their or the UPDF&#39;s control.",0
"173","I am pleased to note that the Council recognized the importance of increasing coordination and information exchange between the parties concerned with monitoring the arms embargo.",1
"174","In that regard, we believe that destructive action aimed at obtaining unilateral political benefits should be absolutely condemned.",0
"175","It was also reported that 18 women were raped during the attack on his enemy in South Darfur at the beginning of December 2004.",0
"176","In this context, the Security Council looks forward to the International Summit on the Great Lakes Region, scheduled to be held in Luanda on 31 July, to further review the latest developments in the region, including progress achieved in implementing the peace, security and cooperation framework.",1
"177","(See S/2001/Add.20; see also S/2000/40/Add.50; and S/2001/15/Add.4, 7, 10, 13, 26, 38, 45 and 51).",0
