"","es_en_GOOGLE","MatCoop"
"50","14. Notes the changing nexus between terrorism and information and communications technologies, in particular the Internet, and the use of these technologies to commit terrorist acts and to facilitate such acts through their use in incitement, recruitment , financing or planning related to terrorism, and directs the Executive Directorate of the Counter-Terrorism Committee to continue to address this issue, in consultation with Member States, international, regional and subregional organizations, the private sector and civil society, and to advise the Counter-Terrorism Committee on other approaches;",1
"51","For example, Burkina Faso places importance on combating violent extremism and is fighting attempts to recruit terrorists.",0
"52","Strategic National Entities Law, 1980 (Law No. 102 of 1980)",0
"53","Mohammad Nasser Sharid al-Ajami",0
"54","In your letter you requested that the Security Council give its approval to the provisions described in it.",0
"55","6. Stresses that it is fully prepared to impose targeted measures against individuals designated by the Committee in accordance with paragraphs 9, 11 and 14 of resolution 1572 (2004), who have been determined, inter alia, that:",0
"56","Using the range of $18 to $35 per barrel and the production of 47,000 barrels per day estimated by Member States, ISIL&#39;s potential revenue from crude oil can be estimated between $846,000 and $1,645,000 per day.",0
"57",":: On November 6, 2014, regime forces launched missiles at the Darat Izza school in Aleppo, wounding seven people and destroying three classrooms and the entire second floor.",0
"58","The investigations by MINUSTAH and the Haitian National Police into the kidnapping and subsequent murder indicated that the crime had been politically motivated, but did not allow conclusive establishment of responsibility for the events.",0
"59","The negotiation team has drawn up, among other things, detailed decentralization proposals and a plan for the future governance of Mitrovica.",0
"60","All States have enacted laws to regulate the production, sale and transfer of weapons and explosives.",1
"61","Church of the Holy Virgin, Sredskë/Sredska, Prizren/Prizren",0
"62","The Border Intelligence Service guards are directly under the command of the Military Intelligence Service officers of the division in which they are assigned and are also subject to the ordinary chain of command of the armed forces.",1
"63","The report&#39;s conclusions are based on a compilation of direct accounts from victims and witnesses.",1
"64","Increased representation of women in bodies related to programs. D.3 Systematic training on gender issues for humanitarian personnel of all categories. Increased awareness and capacity-building of humanitarian personnel and partners implementing emergency and rehabilitation programs and projects in relation to gender analysis and participatory tools.",1
"65","Seven States have institutional structures to implement strategies to combat terrorism.",1
"66","Animated by the desire to continue providing assistance to Lebanon in the search for the truth and in bringing about the criminal responsibility of the participants in this terrorist act,",1
"67","The United Nations System Joint Vision Initiative for Sierra Leone received almost US$10 million from the Delivering as One fund.",0
"68","The soldiers, who were armed with M16 rifles and grenade launchers, came under intense fire from automatic weapons from the east, responded to it with equally intense fire, including the throwing of several grenades, and received reinforcements from the F-FDTL during the day.",0
"69",":: States are invited to compare the fingerprints of the restricted versions of the broadcasts with their police database to check whether they match those in their own system (sect. VI.C, para. 80)",1
"70","On 5 November, the Council held consultations on the Syrian Arab Republic and heard a briefing, presented by videoconference from Beirut by the Special Adviser to the Secretary-General, Sigrid Kaag, on the implementation of resolution 2118 (2013) and the elimination of the chemical weapons program of the Syrian Arab Republic.",1
"71","I expressed the deep concern of this Council and the Secretary-General at the recent rise in tensions between the north and the south, as well as the continued lack of progress on Abyei and other post-Comprehensive Peace Agreement issues.",0
"72","During its recent visits to refugee camps, internally displaced persons centers and nearby villages, MINURCAT received fewer reports of human rights violations.",1
"73","Requests the Secretary-General to develop effective guidelines and strategies to enhance the capacity of relevant United Nations peacekeeping operations, in line with their mandates, to protect civilians, including women and girls, from all forms of sexual violence, and to systematically include in its written reports to the Council on conflict situations its observations regarding the protection of women and girls and its recommendations in this regard.",1
"74","a) Approve national legal frameworks for the fight against terrorism that are comprehensive and coherent and include all terrorist crimes established in the international instruments to combat terrorism and effectively implement laws and regulations to combat money laundering and the financing of terrorism, also complying with international human rights standards;",1
"75","In 45 countries in sub-Saharan Africa, UNESCO produced an overview map of existing policies and resources to describe how a culture of peace is fostered.",1
"76","UNHCR has assisted 434,645 people in 91 hard-to-reach and besieged areas since the beginning of the year.",0
"77","Implementation of the Office&#39;s policy on gender equality and its action plan to mainstream gender issues in four areas of activity: coordination, information management, advocacy and policy.",1
"78","Many times, only victims represented by lawyers obtain a satisfactory amount of compensation.",1
"79","At the very least, it should alleviate their suffering by forcing the State of Sudan to compensate them.",1
"80","Examining the pattern of damage it is evident that it was a charge of high explosives.",1
"81","The framework therefore recognizes the importance of engaging non-signatory movements in the peace process in order to quickly reach a fully inclusive negotiated settlement to the conflict.",1
"82","Raising extrabudgetary resources for the creation of a gender advisor position at Headquarters.",1
"83","The Undersecretary also provided an update on vehicles, items and equipment taken by armed opposition groups in recent incidents with the Force.",1
"84","Since the campaign began in late 2013, UNICEF has provided 34 million doses of oral polio vaccine to contain the outbreak in the Syrian Arab Republic.",0
"85","First, as the Security Council has recognized on several occasions, under international law, when acts of gross violations of international human rights standards and serious violations of international humanitarian law are committed that may constitute crimes under international law, Internationally, States have the obligation to investigate and, if there is sufficient evidence, prosecute the person allegedly responsible for violations.",1
"86","The European Union&#39;s European Arrest Warrant offers an effective alternative to the traditional extradition process, allowing direct contact and empowering judicial authorities.",1
"87","Four States have enacted adequate legal measures to criminalize the provision of shelter, while four have partially done so and two have not provided information in this regard.",1
"88","It also supported the creation of enforcement capacity to enforce maritime law and, to that end, created a new Trust Fund for Maritime Security in West and Central Africa.",1
"89","Fundraising in the United Arab Emirates",0
"90","In some areas, there is strong evidence of harassment, and threats by armed groups to re-recruit released minors; In addition, the lack of security continues to make reintegration difficult.",0
"91","Biological risk management and Security Council resolution 1540 (2004)",1
"92","Overall, the Team has observed a high level of commitment to the work of the 1267 Committee and an encouraging overall awareness of the list and actions.",1
"93","Two countries (Zambia and South Africa) have already responded.",0
"94","The Committee continued its consideration of three waiver requests: the first concerned a proposal for technical assistance to the Islamic Republic of Iran submitted by a specialized agency of the United Nations; the second was a request from the Mine Action Center of the Islamic Republic of Iran received by a State, proposing cooperation with that State on mines; and the third related to a request for technical training for the Iranian armed forces sent by the Islamic Republic of Iran to a State.",1
"95","The progress achieved in this area will allow the public security centers of the Republika Srpska and the police administration of the Federation of Bosnia and Herzegovina to operate with an improved fiscal methodology next year.",1
"96","We emphasize the tragic consequences that these messages recently had in other places on the continent.",0
"97","i) Take immediate measures to ensure gender equality in practice, such as providing equal access to women in public life and employment; eradicate laws, regulations and practices that discriminate against women; adopt measures to address all forms of violence against women, including domestic violence, sexual violence and sexist violence perpetrated by State agents or in State institutions, and respond immediately and effectively to trafficking in women and address the structural causes of women&#39;s vulnerability to these types of violence.",1
"98","Four States have signed the declaration of intent to implement the Regulatory Framework of the World Customs Organization to ensure the security of cargo against its use for terrorist purposes, and three are already at an advanced stage of implementation.",1
"99","Measures taken by States cover prohibited activities by non-State actors listed in paragraph 2 of resolution 1540 (2004) in relation to nuclear, chemical and biological weapons and their delivery systems, as well as controls on related materials, in accordance with paragraph 3 of said resolution.",0
"100","These amounts are refunded if permission is obtained to export the relevant facilities, vehicles or equipment.",0
"101","In JelisiÄ, the Appeals Chamber observed that &quot;as regards proof of concrete intention, it is possible to infer it, in the absence of concrete direct evidence, from various facts and circumstances, such as the general context, the perpetration of other systematically negligent acts directed against the same group, the magnitude of the atrocities committed, the systematic victimization of certain people due to their membership in a certain group, or the repetition of destructive and discriminatory acts.",0
"102","iii) Cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001);",1
"103","Demands that all parties immediately end all forms of violence and human rights violations committed against the civilian population [of the affected country], in particular gender-based violence, including rape and other forms of sexual violence. ..",0
"104","Eminent journalists have been arbitrarily detained for expressing their opinions on issues relating to human rights, constitutional matters and the rule of law.",0
"105","The permanent members of the Interministerial Council are the following:",0
"106","The Security Council reiterates that ending impunity is essential for national reconciliation in Haiti.",0
"107","UNODC and the Organization for Security and Cooperation in Europe (OSCE) jointly organized a regional expert seminar on the implementation of universal legal instruments against terrorism as a means of enhancing cooperation in combating terrorism in the basin. Mediterranean, which was held in Malaga (Spain) in September 2013.",1
"108","24. Syrian troops were invited to Lebanon by Lebanese President Suleiman Franjieh in May 1976, in the early stages of that country&#39;s civil war.",1
"109","First, with the World Bank, a workshop for parliamentarians in Pakistan on the importance of laws to combat the financing of terrorism.",1
"110","Emphasizing that the measures imposed pursuant to resolutions 1572 (2004) and 1643 (2005) continue to contribute to the stability of CÃ´te d&#39;Ivoire, particularly in the context of the planned presidential elections, and highlighting that these measures are intended support the peace process in CÃ´te d&#39;Ivoire,",1
"111","Despite this, the detainees were subjected to serious acts of violence against the life and integrity of people.",0
"112","Once again, these challenges include national reconciliation, a power-sharing agreement and the equitable distribution of natural resources, specifically oil revenues.",0
"113","This is obviously because the States concerned rejected their measures.",0
"114","Sometimes, these measures are part of the context of preventive action, when terrorist acts are supposedly in their preparatory phase.",0
"115","This two-pronged approach (using restrictions applicable throughout the Schengen area to exclude listed persons from outside the area, while maintaining national restrictions to limit the movement of listed foreigners within of the area) can serve as a model for other States in established or developing regions where borders have been eliminated or where visas are not required.",0
"116","The Executive Directorate has also established particularly close relationships with some regional and subregional organizations, notably the Caribbean Community and the Inter-American Committee against Terrorism of the Organization of American States in the region of the Americas; the African Center for Terrorism Studies and Research, the African Union, the Economic Community of West African States, the Intergovernmental Authority on Development (IGAD) Counter-Terrorism Capacity-Building Programme, and the African Community Southern for Development in the African region; the Council of Europe, the European Union and the Organization for Security and Cooperation in Europe in the European region; the Pacific Islands Forum; and the Asian Development Bank and the Association of Southeast Asian Nations in the Asia region.",1
"117","To this end, he was given broad prerogatives, including unrestricted access to all land registries in Bosnia and Herzegovina.",1
"118","c) Carry out the functions and provide the civil services provided for in article 33; and",0
"119","Alternatively, the introduction to the List itself could establish that this interpretation is the normal one, which would have the advantage that it would then apply to persons and entities already included and to those included in the future.",0
"120",":: On November 8, 2014, regime forces attacked the town of Sheikh Miskeen, killing five people, including two children and two women.",0
"121","Their freedom of movement within the Democratic People&#39;s Republic of Korea was severely limited, they were denied the right to recognition of their legal personality and the right not to be subjected to torture and other cruel, inhuman or degrading treatment.",0
"122","The Counter-Terrorism Committee Executive Directorate will continue to strengthen its role in facilitating technical assistance to implement resolution 1373 (2001) to enhance the capacity of Member States and regions to combat terrorism by addressing their counter-terrorism needs. , in close cooperation with the Counter-Terrorism Implementation Task Force, other United Nations bodies and bilateral and multilateral assistance providers, and will continue to apply the targeted and regional approach to its work.",1
"123","Reiterating its call to the parties and States of the region to cooperate more fully with the United Nations and each other and to strengthen their involvement to end the current impasse and move towards a political solution,",1
"124","The Government would provide a great service to the administration of justice if it proceeded to repeal the decree that created these courts.",0
"125","Draft regulations of the Iranian Atomic Energy Organization on the physical protection of facilities and materials, based on IAEA document INFCIRC/225",0
"126","The States visited have operational and policy measures to repress terrorist recruitment.",1
"127","This reduction has generally occurred due to the death of a portion of these people due to natural causes. Is it intended to claim that this is a positive trend and wait until all those people have died before their return begins?",0
"128","The Committee and Interpol have only begun the process of producing and publishing notices on each of the individuals included on the consolidated list.",1
"129","In early 2008, the Somali Islamic Front launched a series of operations focusing primarily on the area between Marka, Bale Dogle and Beletweyne.",0
"130","The Committee&#39;s visits to the region have highlighted that States need to strengthen law enforcement to prevent the illegal cross-border movement of cash and bearer negotiable instruments by establishing risk indicators and developing capacity in the area. of detection methodologies.",1
"131","101. Claims have been submitted in relation to:",0
"132","E. Payment or assistance to third parties",0
"133","2. Regulations for the import and export of chemicals mentioned in the Chemical Weapons Convention, April 21, 1994",0
"134","The report recommends that the Committee develop minimum identification standards for entries and simplify its name exclusion procedures where there is sufficient evidence that such persons are deceased.",0
"135","Since June, MINUSMA, in collaboration with national and international organizations, has completed 10 quick-impact projects, including the rehabilitation and equipping of police and gendarmerie stations in the Gao and Timbuktu regions, and the provision of support to women&#39;s associations. . On 13 October, MINUSMA and the United Nations Educational, Scientific and Cultural Organization (UNESCO) launched a quick-impact project to rehabilitate four private libraries in Timbuktu, where ancient manuscripts are kept.",1
"136","The Team notes that some States have begun to seriously consider doing so.",0
"137","As of February 1, the petitioners had not received any response. On February 3, the petitioners left their barracks without their weapons, gathered in Dili and requested to meet with the President on February 7.",1
"138","Access to the data will be possible from April 2003.",0
"139","Acting under Chapter VII of the Charter of the United Nations,",0
"140","In order to ensure accountability for crimes committed during recent events, it is essential that investigations, indictments and trials are carried out impartially and without any political interference, and that it is proven that they actually This is how it has been done.",1
"141","They claim that the children were orphaned as a result of the conflict and that the SLA has taken care of them.",0
"142","October 27, 2012 - April 20, 2013",0
"143","The Monitoring Team has reviewed the implementation of the arms embargo in relation to the methods used by Al-Qaida and the Taliban in preparing their attacks.",1
"144","In many of these provinces, more than 30% of primary schools have two or more daily shifts.",0
"145","In addition to the spectacular increase in the entry of weapons into Somalia, both contenders are also carrying out great activity distributing weapons and ammunition to their militias, equipping their men with combat elements, obtaining and storing food, medicine, fuel and other essential items. to participate in continuous combat, organizing into military-type structures, intensifying the recruitment and training of militias, and devising strategies and plans to militarily defeat the adversary.",0
"146","The Prosecutor&#39;s Office concluded its arguments on December 4, 2007.",0
"147","The Security Council commends the efforts of the European Union&#39;s Operation ATALANTA, the North Atlantic Treaty Organization&#39;s Operations Allied Protector and Ocean Shield, led by NATO Member States, the Combined Maritime Forces Operational Force 151 Combined, led by the United States of America, Denmark, New Zealand, Pakistan, the Republic of Korea, Singapore, Thailand, Turkey, and other States acting individually and in cooperation with the Somali authorities and each other, to suppress piracy and protect vulnerable vessels transiting the waters off the coast of Somalia, and appreciates the efforts of Member States, including China, the Russian Federation, India, Japan, Malaysia and the Republic of Korea, that have deployed ships or aircraft to the region, as indicated in the report of the Secretary-General (S/2012/783).",0
"148","It defined different measures to be adopted and applied by Member States and established the Counter-Terrorism Committee to verify their application.",1
"149","b) Contribute to the protection of civilians who are in imminent danger of physical violence in the areas in which it is deployed, without prejudice to the responsibility of the [affected State] ...",1
"150","During March 2004 attacks by Government troops and Janjaweed militias in Korma, Northern Darfur, more than 20 women and girls were reportedly raped.",0
"151","At the same time, alliance with other Member States is also essential to achieve success.",0
"152","He had left Liberia and had been residing in various locations, including Ghana, since mid-2001.",0
"153","I am pleased to recall that since the Security Council adopted resolution 1559 (2004) on 2 September 2004, a number of its provisions have been implemented: free and fair presidential and parliamentary elections were held, the Syrian Arab Republic withdrew its troops and Lebanese military assets in April 2005 and both countries established full diplomatic relations in 2009.",1
"154","Central Asian States face a serious transnational terrorist threat that requires concerted and coordinated solutions at the regional level.",0
"155","Furthermore, and this is important, the Commission has gathered a considerable amount of material on various influential individuals, institutions, groups of people or committees that have played an important role in the Darfur conflict and have even planned, ordered, authorized or instigated attacks.",1
"156","The Council emphasizes the desirability of continuing to build effective collaborative partnerships between the United Nations and relevant regional and subregional organizations, in order to enable prompt response to emerging disputes and crises and to strengthen the role of the United Nations in preventing conflicts. the conflicts.",1
"157","20. He decides to continue addressing the issue.",0
"158","Furthermore, attacks by Al-Shabaab and its affiliated groups in Uganda and Kenya have demonstrated their reach and recruiting capacity in Somali communities in those countries.",0
"159","As explained below, the Commission has gathered much material which, in its view, confirms that the term Janjaweed, in the limited context of the Commission&#39;s mandate, is used as a generic term to describe the Arab militia acting under of the state authorities of the Sudan, with their support, complicity or consent and whose acts remain unpunished.",1
"160","Recalling in this context that the killing of members of an ethnic group with the intention of destroying it in whole or in part constitutes a crime punishable under international law,",0
"161","Halilovic IT-01-48-Ar65.1 (confidential)",0
"162","(i) Facilitating research in the areas of the three resolutions that require further consideration, including the analysis of global and regional terrorism-related trends and methodologies and the analysis of counter-terrorism measures;",1
"163","Noting with concern that terrorism continues to constitute a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of all Member States, as well as undermining global stability and prosperity, and that this threat has taken on a more diffuse character, with an increase in terrorist acts in various regions of the world, including those motivated by intolerance or extremism, expressing its determination to combat this threat and highlighting the need for the fight against terrorism to continue being a priority on the international agenda,",0
"164","Concerned that the most important armed movements have so far been absent from the negotiations, they have urged that contacts be maintained with the Government and non-signatory movements in order to increase the inclusiveness of the peace process.",1
"165","The reserve would also support the formed police units deployed in the area.",1
"166","Al-Qaida and its affiliated entities, as well as their financiers, continue to use official and informal financial systems to transfer funds from one country to another to finance their activities.",0
"167","This has significantly improved the security situation in Mitrovica, as well as the provision of judicial and detention services. However, there has been little or no progress on the return of displaced Kosovo Serbs and Kosovo Albanians to their respective homes on either side of the Ibar River.",1
"168","Opportunities to reach civil society and the general public will also be exploited, as appropriate.",0
"169","The Defense Forces repelled the attack and advanced until they took the entire city of Bunia.",0
"170","The Lebanese Armed Forces informed the United Nations that the deteriorating security situation in the Syrian Arab Republic had led them to strengthen border control measures to prevent the entry of weapons and military personnel into and out of Lebanon. .",1
"171","The strategy also seeks to expand the circle of donors by including countries where particularly effective counter-terrorism approaches or systems have been developed.",1
"172","The Committee recognizes that it has only taken its first steps towards achieving this objective, especially due to the delay in the provision of Executive Directorate positions.",1
"173","Belarus, the Russian Federation and Ukraine have implemented fully operational financial reporting units. In 2010, Belarus and Ukraine adopted amendments to their laws relating to money laundering and combating the financing of terrorism regarding identification of and due diligence on clients, establishment of registries, determination of real property and suspicious transactions.",1
"174","They are also transported by truck to Kismaayo and other areas of Somalia. C. Financing",0
"175","Investment and integration will depend not only on the status but also on the existence of a predictable and stable Kosovo, where the rule of law is respected.",1
"176","10. Calls upon all States, as another means of addressing this threat, to carry out, in accordance with their national laws and regulations and in accordance with international law, cooperative activities to prevent illicit arms trafficking nuclear, chemical or biological, their delivery systems and related materials;",0
"177","It is necessary to have such a mechanism to fully clarify the fate of missing persons.",1
"178","In other words, those who survive the attacks on villages were not immediately killed in order to eradicate the group, but are forced to leave their homes and live together in places chosen by the Government.",0
"179","Details will be worked out in the future planning process.",0
"180","Terrorism represents a serious challenge to our security, to the basic principles of democratic societies and to the rights and freedoms of our citizens.",0
"181","The disarmament and arrest of the perpetrators of violent acts is the Council&#39;s most important demand and the clearest case of failure by the Government to fulfill its responsibilities.",0
"182","As a result, some Committee members who did not have information on a name or had been part of the consultations may have felt marginalized in the decision-making process; Although a more open exchange could have occurred at Committee meetings, all members had the opportunity, and often exercised it, to request more details when they considered it important.",0
"183","It also signed 51 agreements with the financial intelligence units of other States to exchange information on transactions linked to the financing of terrorism.",1
"184","However, the Directorate has noted that, even in these States, attention to the four key areas of governance (strengthening the border control system; building the capacity of the criminal justice system to ensure the rule of law) law; improving coordination and information sharing between relevant national agencies; and strengthening cross-border institutional cooperation with neighboring States) appears to have highly significant effects on counter-terrorism capacity. That is true even in cases where development in other sectors is relatively limited.",1
"185","Four States have formulated strategies and established institutional structures to combat terrorism. Law enforcement agencies in these States coordinate some of their counterterrorism activities.",1
"186",":: The Republic of Armenia ratified the Convention on the Physical Protection of Nuclear Material on June 22, 1993.",0
"187","The Committee also carries out periodic reviews of the names of persons whose death, and entities whose extinction, has been reported.",1
"188","MONUSCO should continue to prioritize monitoring and reporting violations of international humanitarian law and human rights law, including killings, sexual violence and grave violations against children, while supporting Government action to address the legacy of widespread violations with transitional justice mechanisms and improved measures against impunity.",1
"189","S/RES/1923 (2010), para. 4 of the preamble",0
"190","The main aspects of his statements, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2013/3).",0
"191","Which will be held on Wednesday, November 21, 2012, at 10:00 a.m.",0
"192","To improve the situation, it is necessary to implement the law -- especially the law on the elimination of violence against women -- that criminalizes and penalizes violent practices that harm women and girls.",0
"193","6062nd session, held on January 8, 2009.",0
"194","MINURCAT also helps DIS establish a reference library that will have educational materials to train new agents.",1
"195","The former Mayi-Mayi combatants, based in Uvira and under the command of Colonel Nakabaka, joined occasionally with old allies, the FDLR and the FNL.",0
"196","However, increasing the inclusiveness of the peace process with respect to the warring parties continues to be an important element for the solution to the conflict to last.",1
"197","We were therefore frustrated that the Secretary-General&#39;s report recommended only a partial reduction in reinforcement troops.",0
"198","The Team noted in its second report (S/2005/83, para. 135) that the European Union, the most developed of these areas, guarantees its citizens freedom of movement within the territory of its 25 Member States, while with The Schengen Agreement eliminated border controls between many European States, while strengthening controls at the external borders of the Schengen area and increasing judicial and police cooperation within the Schengen system.",1
"199","Welcoming the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the expansion of its mandate in resolution 1989 (2011), noting the important contribution made by the Office of the Ombudsman to the task of greater impartiality and transparency, recalling the strong commitment of the Security Council to ensure that the Office of the Ombudsman can continue to perform its role effectively, in accordance with its mandate, and also recalling the statement of its President (S/PRST/ 2011/5) of February 28, 2011,",1
"200","The legislation of most States establishes customer diligence obligations and reporting mechanisms that require financial institutions and certain professionals to identify their customers and report any suspicious activity to the authorities.",1
"201","Given the large transfers of workers&#39; remittances to the subregion and the widespread use in the region of resorting to informal non-bank transfer mechanisms, it is of priority importance that measures be adopted to regulate alternative systems for sending remittances and prevent the use of non-profit organizations for these purposes.",1
"202","From September 13 to 17, WFP, in collaboration with UNHCR, conducted a mid-term review of its feeding program in refugee camps in the Tindouf area, in which the United States Government participated and the Humanitarian Aid Office of the European Commission, as observers.",1
"203","Within the framework of the Global Counter-Terrorism Forum, the Monitoring Team participated in the seminar on good practices in combating terrorism in the criminal justice sector, held in Abuja, and in the meeting of the working group on the Sahel that took place in Oran, Algeria, in June 2013, to promote the sanctions regime and assess the threat in the region.",1
"204","There are an estimated 7 million people in the country in need of assistance, including 5.2 million to be provided assistance under the 2015 Humanitarian Response Plan.",0
"205","a) Ensure the protection of civilians, including humanitarian personnel, who are in imminent danger of physical violence;",1
"206","Azahari Husin, Jemaah Islamiyah&#39;s best-known bomb maker until his death in November 2005, trained, in addition to an unknown number of ordinary disciples, several other instructors who remain at large and who can transmit their knowledge to cells throughout the world. Southeast Asia.",1
"207","In the joint statement, the Government committed to lifting access restrictions for all humanitarian work in Darfur and to remove various obstacles that prevented it from being carried out.",1
