"","en_es_TRANSFORMERS","MatCoop"
"14","22. El Consejo está decidido a intensificar la presión sobre los grupos armados extranjeros presentes en la parte oriental de la República Democrática del Congo, junto con las iniciativas que se están adoptando en el marco del proceso tripartito.",1
"15","El sistema de apoyo administrativo de los Grupos Especiales estaba encabezado por el Magistrado Coordinador, funcionario internacional.",0
"16","También visitaron las comisarías de policía y la oficina del fiscal de distrito para obtener información sobre los casos de violación ya registrados.",1
"17","Pide al Secretario General que elabore directrices y estrategias eficaces para aumentar la capacidad de las operaciones de mantenimiento de la paz pertinentes de las Naciones Unidas, de conformidad con sus mandatos, para proteger a los civiles, incluidas las mujeres y las niñas, de todas las formas de violencia sexual y que incluya sistemáticamente en sus informes escritos al Consejo sobre situaciones de conflicto sus observaciones relativas a la protección de las mujeres y las niñas y recomendaciones a este respecto.",1
"18","179. Muchas comunidades rurales siguen siendo inaccesibles por carretera durante la mayor parte del año.",0
"19","Oyó a otras chicas gritar y pensó que también estaban siendo violadas.",0
"20","En la conclusión se aprobó una declaración de la Presidencia (S/PRST/2004/16), en la que el Consejo exhortó a los Estados Miembros a que prestaran apoyo político y financiero, así como al personal civil y militar, para que las múltiples operaciones comenzaran de manera óptima y cumplieran sus respectivos mandatos de manera eficaz.",1
"21","Al 31 de agosto, más de 29.000 refugiados habían regresado a sus países de origen, incluidos 11.724 con la asistencia del Alto Comisionado de las Naciones Unidas para los Refugiados y se calcula que 18.000 habían regresado espontáneamente a Liberia.",1
"22","En el plano subregional, la Oficina aumentará su cooperación, en particular con la Comunidad Económica y Monetaria del África Central (CEMAC), la Comunidad Económica de los Estados del África Central y la Fuerza Multinacional de la Comunidad Económica y Monetaria del África Central (FOMUC) en las esferas de la seguridad, la alerta temprana y la prevención.",1
"23","81. El Equipo considera que, según las circunstancias, existen varias formas potencialmente eficaces de impedir el uso indebido de los bienes de una entidad sospechosa (pero no incluida en la Lista), por ejemplo, la eliminación de personas sospechosas de haber cometido un delito, o de las que figuran en la Lista consolidada, de puestos de control o influencia; la prohibición de transferir, vender u otro tipo de disposición de sus intereses; y la prohibición de que las entidades transfieran activos a esas personas, ya sea en su calidad de propietarias o directoras.",1
"24","d) Una visita de promoción del Presidente del Comité contra el Terrorismo o del Director Ejecutivo (o de ambos), tal vez acompañada de uno o más miembros del Comité, con el fin de aumentar la conciencia general sobre la amenaza terrorista y centrar la atención política de alto nivel, en el Gobierno o el Parlamento de que se trate, en la importancia de aplicar la resolución 1373 (2001) (por ejemplo, mediante la aprobación o aprobación de leyes contra el terrorismo);",1
"25","Inspecciones de Radiación y Unidad de Control del Departamento de Inspección Laboral",0
"26","El Secretario General estableció los Comités Ejecutivos de Paz y Seguridad y de Asuntos Humanitarios para que proporcionaran a los ejecutivos al más alto nivel un foro para debatir y formular estrategias encaminadas a prevenir los conflictos armados y las emergencias humanitarias y responder a ellos.",1
"27","Por ejemplo, la identificación delicada de la población es un proceso a largo plazo que continuará más allá de las elecciones, al igual que la reintegración de los excombatientes, la reforma del sector de la seguridad, el tratamiento de las cuestiones relativas a la tenencia de la tierra, la promoción de una buena gobernanza económica, la protección de los derechos humanos, la cicatrización de las heridas del conflicto y el tratamiento de las causas profundas de la crisis.",1
"28","El Gobierno ha cooperado en los programas de capacitación de la policía en materia de derechos humanos, pero hay pocas pruebas de que los hayan seguido haciendo responsables de su cumplimiento.",1
"29","También se ha seguido trabajando en la elaboración de un marco jurídico provisional, que definiría una autonomía sustancial y sentaría las bases para las elecciones centrales.",1
"30","Los grupos técnicos, cada uno de los cuales incluye al menos un representante de cada grupo temático, se ocupan, respectivamente, de la asistencia técnica; la financiación del terrorismo; la seguridad fronteriza, el tráfico de armas y la aplicación de la ley; cuestiones jurídicas generales; y cuestiones planteadas por el Consejo de Seguridad en la resolución 1624 (2005), así como los aspectos de derechos humanos de la lucha contra el terrorismo en el contexto de la resolución 1373 (2001).",1
"31","El apoyo logístico prestado a las FARDC, de conformidad con la política de diligencia debida en materia de derechos humanos, para las operaciones conjuntas se consideró esencial para llevar a cabo operaciones militares eficaces y mantener la voluntad de las FARDC de luchar y cooperar con la MONUSCO.",1
"32","La posible prestación de apoyo logístico al proceso electoral tendrá considerables consecuencias para el apoyo, incluso en las zonas no afectadas por el conflicto en las que la MONUSCO ha reducido su presencia.",1
"33","Su labor con las organizaciones regionales y subregionales debería centrarse en facilitar la interacción de las instituciones regionales y nacionales para resolver los problemas de la aplicación nacional, como la conciliación de prioridades, la armonización de enfoques, la facilitación de servicios de asesoramiento y redacción, y la adecuación de las solicitudes y los ofrecimientos de asistencia.",1
"34","En un esfuerzo por contener el ébola, algunos países del África occidental cerraron sus fronteras y suspendieron los vuelos comerciales a los tres Estados más afectados, a saber, Guinea, Liberia y Sierra Leona. Côte d'Ivoire impuso restricciones de vuelo a los tres Estados el 10 de agosto, seguidas de un cierre de la frontera terrestre el 22 de agosto.",1
"35","Declaración del Presidente de la Federación de Rusia",0
"36","Fue transportada al Hospital Shifa en un coche privado, porque la ambulancia ya tenía tres o cuatro pacientes dentro.",0
"37","El nombramiento de miembros del SERC marcará un hito importante en el proceso de reforma.",0
"38","131. Los Estados de Asia central han reforzado las medidas de aplicación de la ley desde el estudio anterior mediante una mayor cooperación interinstitucional y el intercambio de información y el establecimiento y la utilización de bases de datos penales y de otra índole, tanto a nivel nacional como internacional, en apoyo de las actividades de aplicación de la ley contra el terrorismo.",1
"39","d) El enfrentamiento armado entre soldados de las F-FDTL y oficiales de la PNTL en el cuartel general de la PNTL el 25 de mayo, que causó numerosas heridas y la muerte de un soldado de las F-FDTL, Bure.",0
"40","Los autores de actos terroristas han sido detenidos y posteriormente llevados ante la justicia en varias jurisdicciones.",0
"41","Recordando la Declaración del Presidente del Consejo de Seguridad (S/PRST/2012/17), de 4 de mayo de 2012, sobre las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,",0
"42","2. Fomentar la confianza y aumentar la estabilidad en el Estado anfitrión mediante la promoción de la verdad y la reconciliación mediante:",1
"43","Varias regiones también han concertado acuerdos específicos para controlar la exportación, la importación y el tránsito de esas armas.",1
"44","La Oficina de Administración e Información seguirá actualizando el sitio web del Comité y trabajando para traducir el nuevo diseño y los cambios de contenido del sitio web a los otros cinco idiomas oficiales de las Naciones Unidas.",0
"45","La renovación de las prisiones y los centros de detención de Kosovo, que se encontraban en muy malas condiciones, también ha sido una alta prioridad para el Departamento de Justicia de la UNMIK.",1
"46","En el examen se examinaron 488 nombres de personas, grupos y entidades sujetos al régimen de sanciones contra Al-Qaida y los talibanes a fin de actualizar sus entradas o retirarlos de la Lista cuando el Comité decidió que su inclusión en la Lista ya no era apropiada.",1
"47","El grupo de avanzada de ese batallón y una compañía de las Fuerzas Especiales ya se han desplegado en Yamoussoukro y Abidján.",1
"48","Exige que todas las partes pongan fin de inmediato a todas las formas de violencia y abusos de los derechos humanos contra la población civil en [el país afectado], en particular la violencia basada en el género, incluida la violación y otras formas de violencia sexual...",0
"49","Por lo tanto, el marco reconoce la importancia de que los movimientos no signatarios participen en el proceso de paz con miras a concluir rápidamente un arreglo plenamente inclusivo y negociado del conflicto.",1
"50","258. Como ya se ha indicado, diversas disposiciones de los derechos humanos y del derecho internacional humanitario son pertinentes para la protección de los civiles en los conflictos armados.",1
"51","57. Con el apoyo de los donantes, en lo que va del año se han reconstruido unas 20.000 viviendas para familias vulnerables cuyas viviendas fueron gravemente dañadas o destruidas durante el conflicto.",1
"52","Ningún andorrano nacional o residente está incluido en la lista.",0
"53","26. El Comité ha seguido cooperando con la Organización Internacional de Policía Criminal (INTERPOL), entre otras cosas mediante la publicación de notificaciones especiales de la INTERPOL y el Consejo de Seguridad de las Naciones Unidas destinadas a alertar a las autoridades nacionales competentes encargadas de hacer cumplir las sanciones a las personas o entidades sujetas a sanciones del Consejo (véanse los párrafos 32 y 34 infra).",1
"54","Desde su creación en junio de 2005, el Tribunal Penal Especial sobre los acontecimientos ocurridos en Darfur ha dictado sentencias en cinco casos.",0
"55","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"56","31. Alienta a los Estados a que presenten solicitudes de supresión de nombres de las listas de personas cuya muerte se haya confirmado oficialmente, en particular cuando no se ha identificado ningún activo, y a que presenten solicitudes de supresión de nombres de las listas, y a que, al mismo tiempo, adopten todas las medidas razonables para asegurar que los bienes que habían pertenecido a esas personas o entidades no hayan sido o no vayan a ser transferidos o distribuidos a otras personas, grupos, empresas y entidades incluidos en la Lista relativa a las sanciones contra Al-Qaida;",1
"57","Las milicias progubernamentales han desempeñado un papel importante en las actividades de seguridad del Gobierno en Côte d'Ivoire, especialmente en el oeste del país.",1
"58","38. Debido a la estación de lluvias, las actividades relativas a las minas se suspendieron en gran medida hasta finales de septiembre, cuando comenzó la aplicación de la estrategia de educación sobre el riesgo de las minas, proyecto financiado por la Agencia Australiana para el Desarrollo Internacional (AusAID).",1
"59","La orden de detención europea de la Unión Europea constituye una alternativa eficaz a la extradición tradicional, que permite el contacto directo y faculta a las autoridades judiciales.",1
"60","Según muchos relatos y testimonios, este respaldo a las fuerzas paralelas proviene del interior del palacio presidencial.",1
"61","La MINUSTAH está llevando a cabo su propia investigación y apoyando los esfuerzos de la policía nacional para investigar el incidente.",1
"62","A pesar del desarme de 15.600 excombatientes en Ituri, la Comisión Nacional de Desmovilización y Reinserción sigue teniendo dificultades para cumplir sus responsabilidades, en particular el pago de subsidios de desmovilización a los excombatientes, lo que ha provocado un mayor descontento entre ellos, que deben pagarse con urgencia y regularidad.",1
"63","La ONUCI también está contratando personal para su Dependencia de Conducta del Personal.",1
"64","Informe del Secretario General sobre la situación en Somalia (S/2005/392).",0
"65","Si esta persona es declarada culpable, tiene el deber de castigarla y de proporcionar un recurso efectivo y reparación a las víctimas.",1
"66","Que se celebrará el viernes 15 de febrero de 2013, a las 14.45 horas",0
"67","Sin embargo, sobre el terreno, la situación es compleja y preocupante, especialmente para las comunidades minoritarias.",0
"68","4. La Dependencia de Inteligencia Financiera entró en funcionamiento a principios del decenio de 1990 y fue establecida mediante legislación promulgada para hacer frente a un problema cada vez mayor de blanqueo de dinero por parte de grupos delictivos organizados, y enmendada en 2002 para ocuparse de la represión de la financiación del terrorismo. Los ""agentes de efectivo"" están obligados a identificar a sus clientes, mantener registros de la identificación de los clientes y la actividad de la cuenta de clientes durante al menos siete años después del cierre de la cuenta, y a informar a la Dependencia de Inteligencia Financiera sobre transacciones en efectivo importantes (más de 7.000 dólares), transacciones sospechosas e instrucciones de transferencia de fondos hacia o fuera del país.",1
"69","Se está revisando la Ley de lucha contra la corrupción.",0
"70","118. La Comisión recomienda que se realicen nuevas investigaciones para determinar cuáles de los siguientes hombres del Mayor Reinado estaban presentes en Fatu Ahi: Moisés Ramos, Plácido Ribeiro Gonçalves, Deolindo Barros, António Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson José António da Silva, Joaninho Maria Guterres, Joaquim Barreto, José Gomes, Natalino Borges Pereira, André da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Filsberto Garcia, Darío da Silva Leong, Nelson Galucho y Nixon Galucho.",0
"71","Como usted sabe, el 12 de diciembre de 2000 fui testigo de la firma del acuerdo entre el Gobierno del Estado de Eritrea y el Gobierno de la República Democrática Federal de Etiopía, que tuvo lugar en Argel en una ceremonia oficial organizada por el Presidente Abdelaziz Bouteflika.",1
"72","- 78.536 personas expulsadas de sus hogares han sido registradas oficialmente en Serbia y Montenegro;",0
"73","Las FARDC también lograron expulsar a las FDLR de algunas zonas mineras de Walikale, Lubero y Shabunda.",0
"74","Además, la Sra. Bellamy presentó a tres niños delegados al Foro de los Niños -- Wilmot, de Liberia, Eliza, de Bosnia y Herzegovina, y José, de Timor Oriental -- que expusieron personalmente las experiencias de los niños atrapados en conflictos armados y pidieron que se pusiera fin a la guerra.",0
"75","En consecuencia, los observadores señalaron la necesidad de capacitar a los abogados y al personal judicial y de las fuerzas del orden, así como la importancia de establecer garantías creíbles de independencia frente a las presiones e intimidaciones que pudieran ejercer los miembros de los clanes y las comunidades étnicas.",1
"76","En un esfuerzo por ayudar a las instituciones financieras y otras entidades a comprender la gama de métodos utilizados por las personas y entidades incluidas en la Lista para recaudar y trasladar dinero, el Equipo, como parte del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, ha encargado un estudio de los indicadores de financiación del terrorismo basado en las actividades de las personas acusadas y condenadas de actos terroristas.",1
"77","A pesar de las demoras, me alienta que todos los interesados hayan acordado reanudar el intercambio de visitas familiares, permitiendo así que miles de personas en el Territorio y en los campamentos de la zona de Tinduf se beneficien de este programa humanitario.",1
"78","La comunidad internacional logró un éxito considerable en sus esfuerzos por combatir la piratería somalí como resultado de la estrecha cooperación entre los Estados, las regiones, las organizaciones, la industria marítima, el sector privado, los grupos de estudio y la sociedad civil.",1
"79","2. Reafirma la necesidad de que se respeten plenamente los acuerdos militares concertados con la Misión de las Naciones Unidas para el Referéndum del Sáhara Occidental (MINURSO) con respecto a la cesación del fuego y exhorta a las partes a que se adhieran plenamente a esos acuerdos;",1
"80","No obstante, cabe señalar la calidad del apoyo prestado por las fuerzas francesas a la MINUSMA en varias esferas:",1
"81","El objetivo del esfuerzo fue mejorar la seguridad en la región, fortalecer la Alianza del Valle de Juba y reconciliar al General ""Morgan"" y la Alianza, quienes han estado luchando por territorios en el Valle de Juba durante varios años.",1
"82","El Consejo de Seguridad también acoge con beneplácito las recientes mejoras de los procedimientos del Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011), en particular en lo que respecta a la labor eficaz y valiosa de la Oficina del Ombudsman establecida en virtud de la resolución 1904 (2009).",0
"83",":: Las remesas bancarias a los proveedores de la empresa de Kampala en nombre de los comerciantes de Ituri.",0
"84","d) Planificación, adquisiciones y gastos de presentación 138 - 142 31",0
"85","Reitera la necesidad de convocar lo antes posible una conferencia internacional para aplicar el Comunicado de Ginebra a fin de facilitar un proceso político dirigido por Siria que conduzca a una transición que acelere el fin del conflicto en Siria.",0
"86","7) Convenio para la represión de actos ilícitos contra la seguridad de la aviación civil, firmado en Montreal el 23 de septiembre de 1971; ratificado el 10 de agosto de 1973; entró en vigor en la República Socialista Checoslovaca el 9 de septiembre de 1973; y",1
"87",":: Informes del Secretario General: sobre la seguridad del personal humanitario y la protección del personal de las Naciones Unidas (A/68/489), sobre la protección de los civiles en los conflictos armados (por ejemplo, S/2013/689) e informes pertinentes sobre los mandatos del Consejo de Seguridad (por ejemplo, el informe del Secretario General sobre Somalia (S/2014/140)).",0
"88","Los Estados visitados cuentan con medidas y políticas operacionales para la represión del reclutamiento de terroristas.",1
"89","Funcionarios de organizaciones y Estados pertenecientes a las demás zonas han asegurado al Equipo que sus sistemas no afectan actualmente a la capacidad de los Estados miembros de impedir la entrada de personas incluidas en la lista, incluso si ya se encuentran dentro de la zona.",0
"90","Desde entonces, las autoridades de Kivu del Norte han detenido a varias personas con presuntos vínculos con el Sr. Nkunda.",0
"91","El Equipo de Vigilancia tiene previsto seguir trabajando con la Subdivisión, que debería ser el asociado elegido para la mayor parte de la creación de capacidad de las Naciones Unidas en la lucha contra el terrorismo a fin de evitar la duplicación de esfuerzos.",0
"92","552. De la exposición de las violaciones expuesta en la primera parte del presente informe se desprende que las fuerzas del Gobierno o las milicias bajo su control cometieron violaciones graves de los derechos humanos y del derecho humanitario en gran escala.",0
"93","En muchos casos los ataques duraron varias horas.",0
"94","La cámara multiespectral inspeccionará amplias regiones que cubren decenas de kilómetros.",0
"95","Las oficinas consulares no desempeñan ningún papel en la expedición de visados.",0
"96","c) Alentar a los Estados a que adopten medidas adecuadas para proteger a su sector sin fines de lucro contra el uso indebido de la financiación del terrorismo.",1
"97","Se dice que los habitantes de esos barrios fueron agredidos y golpeados por las fuerzas de seguridad.",0
"98","7. En la impugnación de la Fundación Al-Haramain (Estados Unidos de América) (QE.A.117.04) a la presunta vigilancia ilegal del Gobierno (S/2007/677, anexo I, párr. 10), el tribunal de apelación sostuvo el 16 de noviembre de 2007 que el privilegio de secretos de Estado alegado por el Gobierno impedía que el caso siguiera adelante, a menos que los demandantes pudieran demostrar que las leyes nacionales de vigilancia lo prevenían y lo devolvían al tribunal inferior para que prosiguiera el procedimiento sobre esta cuestión.",0
"99","Esta rápida asistencia fue inestimable, ya que permitió a los investigadores analizar rápidamente las llamadas telefónicas específicas de los abonados y establecer pautas de comunicación entre determinados grupos de abonados.",1
"100","La Misión está examinando con algunos dirigentes combatientes rwandeses y con el Gobierno de Transición las modalidades técnicas de repatriación, y ha dado a conocer la decisión adoptada por el Gobierno de Rwanda de no enjuiciar a ningún combatiente que regresara de 14 años o menos en el momento del genocidio de 1994.",0
"101","El Consejo de Seguridad toma nota de la cooperación en curso entre la Organización Marítima Internacional, la Oficina de las Naciones Unidas contra la Droga y el Delito y la División de Asuntos Oceánicos y del Derecho del Mar con respecto a la compilación de legislación nacional sobre piratería, alienta a los países que aún no lo hayan hecho a que lo hagan, y observa que se han publicado en el sitio web de las Naciones Unidas copias de la legislación nacional recibida por la Secretaría.",1
"102","143. En segundo lugar, el Gobierno y los dirigentes rebeldes deben hacer hincapié en los esfuerzos por prevenir los excesos, proteger a las personas en situación de riesgo y llevar ante la justicia a los responsables de los excesos.",1
"103","8. Iglesia de San Nicolás, Donje Nerodimlje",0
"104","2. Aplicación de la resolución 1624 (2005)",0
"105","El Comité seguirá centrándose en la supervisión y promoción de la aplicación por los Estados Miembros de la resolución 1373 (2001) y en la adopción de medidas prácticas para aumentar la capacidad de los Estados en la lucha contra el terrorismo, incluidas medidas encaminadas a facilitar la asistencia técnica.",1
"106","El Comité, con la asistencia de su Dirección Ejecutiva, organizó una serie de actos especiales con los Estados Miembros y las organizaciones internacionales y regionales sobre cuestiones de interés común y actual, incluida la lucha contra el terrorismo mediante el uso de nuevas tecnologías de la información y las comunicaciones.",1
"107","Acogiendo con beneplácito el establecimiento de la Comisión Electoral Nacional Independiente Permanente, recordando la necesidad de que las candidaturas de sus miembros se presenten mediante un proceso independiente e inclusivo, y recordando la importancia de que las elecciones previstas para 2010 se preparen con el espíritu de reconciliación y diálogo consagrado en la Constitución de Burundi, que había dado lugar a una transición satisfactoria,",1
"108","Se estima que hay aproximadamente 1,2 millones de posibles solicitantes para la primera fase del registro civil y electoral.",0
"109","405. Incluso en situaciones en que un Estado ha suspendido legalmente ciertas disposiciones del Pacto, la prohibición de la detención no reconocida, la toma de rehenes o los secuestros es absoluta.",1
"110","Si bien el Gobierno y el PCN-Maoísta se han esforzado por resolver el problema del pago de personal del PCN-Maoísta descalificado, no se han comprometido fondos o programas para la recuperación y reintegración de los niños afectados por los conflictos armados, incluidos muchos puestos en libertad de manera oficiosa, y el entusiasmo por el ofrecimiento de asistencia de las Naciones Unidas ha sido limitado.",0
"111","Cualquier tendencia hacia la radicalización en las instituciones educativas estaría bajo la autoridad del Ministerio de Educación.",1
"112","La Sra. Tagliavini dijo que gran parte de los combates habían cesado desde la firma de los documentos de Minsk, pero que continuaban los combates en algunos lugares estratégicos, incluso en las afueras de la ciudad, en el puerto de Mariupol, en el Mar Negro, y en los alrededores del aeropuerto de Donetsk, sin tener en cuenta la cesación del fuego y los acuerdos de Minsk.",0
"113","Mauricio introdujo un nuevo sistema de control fronterizo en 2009, y los datos de los pasajeros se registran en una base de datos inmediatamente después de su llegada o salida en el aeropuerto internacional.",1
"114","Presentar el formulario, después de considerarlo, con miras a obtener su aprobación e imprimirlo",0
"115","38. Varios Estados de la región de Asia han apoyado activamente el desarrollo de contranarrativas, incluso para su uso en Internet, a fin de poner en tela de juicio los defectos ideológicos y religiosos en que se basan las ideologías terroristas.",1
"116","Al mismo tiempo, se ha reactivado la amenaza de los talibanes.",0
"117","En su resolución 1521 (2003), el Consejo de Seguridad estableció también un comité para supervisar la aplicación de las medidas y un grupo de expertos para proporcionar al Comité información sobre la aplicación de las medidas y los progresos realizados en el cumplimiento de las condiciones para el levantamiento de las sanciones.",1
"118","La Junta Internacional de Asesoramiento y Supervisión se constituyó en octubre de 2003 y se reunió por primera vez en un período de sesiones de organización el 5 de diciembre de 2003 en Nueva York, y se ha reunido mensualmente desde entonces.",0
"119","He pedido a la BINUCA que prosiga sus esfuerzos para apoyar al Gobierno en su empeño por obtener asistencia bilateral para el fomento de la capacidad de sus fuerzas nacionales.",1
"120","El Secretario General determinará el inicio, el ritmo y la duración del examen amplio sobre la base de las consultas celebradas por el Enviado Especial, teniendo en cuenta la situación sobre el terreno.",1
"121","En este sentido, tomamos nota de las declaraciones formuladas por los principales representantes electos de Kosovo, quienes condenaron inmediatamente el crimen y pidieron que los autores fueran llevados ante la justicia.",0
"122","a) Colaborar más activamente con las organizaciones internacionales y regionales que participan en la región (entre ellas la Organización del Tratado de Seguridad Colectiva, la Organización para la Seguridad y la Cooperación en Europa (OSCE), la Estructura Regional Antiterrorista de la Organización de Cooperación de Shanghai y la Escuela Superior de Personal de Gestión Fronteriza de la OSCE en Dushanbé (Tayikistán)) a fin de centrar la atención en las actividades encaminadas a superar las deficiencias y mejorar la aplicación de la resolución 1373 (2001);",1
"123","El Gobierno de Transición está examinando el estudio.",0
"124","He tratado de argumentar el caso de la participación de observadores y no los conseguí.",0
"125","El cuartel general integrado de la MINUSTAH se estableció plenamente el 27 de junio.",1
"126","No todos los Estados han establecido el principio aut dedere aut judicare en el derecho interno de conformidad con las disposiciones de los instrumentos internacionales contra el terrorismo.",1
"127","Ciento cuarenta y seis Estados, incluidos los que no han presentado informes, han dicho que distribuyen la Lista (y cualquier cambio) a los bancos y, en cierta medida, a otras instituciones financieras, así como a los puertos de entrada y otras autoridades competentes, pero las visitas revelan que en muchos Estados la circulación de las actualizaciones es lenta, especialmente a los puestos fronterizos.",1
"128","La Federación de Rusia considera que es prioritario seguir fortaleciendo los fundamentos jurídicos internacionales de la lucha contra el terrorismo, en primer lugar dando a las convenciones existentes de lucha contra el terrorismo un carácter universal mediante la adhesión de todos los Estados Miembros de las Naciones Unidas a ellas.",0
"129","A finales de septiembre, la MINURCAT completó la remodelación de la prisión de Iriba, que mejoró tanto las condiciones de detención de los reclusos como la seguridad de la prisión.",1
"130","13. Autoriza a los Estados Miembros que actúen de conformidad con el párrafo 10 supra a que, de conformidad con el anexo 1-A del Acuerdo de Paz, adopten todas las medidas necesarias para asegurar el cumplimiento de las normas y procedimientos establecidos por el Comandante de la SFOR, que rigen el mando y el control del espacio aéreo sobre Bosnia y Herzegovina con respecto a todo el tráfico aéreo civil y militar;",1
"131","Artículo 11: Composición de las Salas",0
"132","En la mayoría de los Estados visitados, es necesario mejorar los planes de gestión de crisis para obtener pruebas, evitar bajas de bombas secundarias y garantizar una evacuación adecuada en caso de un ataque terrorista de gran envergadura.",1
"133","b. Todos los sistemas de radar primarios basados en tierra capaces de detectar y rastrear aeronaves.",0
"134","Para responder eficazmente a los problemas que enfrentan las refugiadas y las desplazadas internas se requiere un enfoque holístico que combine estrategias preventivas, respuestas y soluciones.",1
"135","VI. MEDIDAS PROPUESTAS POR LAS NACIONES UNIDAS",0
"136","2. La situación en el Oriente Medio",0
"137","Por supuesto, la Comisión opina que todas las personas, incluidas las acusadas de delitos graves, deben ser consideradas inocentes hasta que se demuestre su culpabilidad tras un juicio imparcial.",1
"138","8 de septiembre de 2003, distrito de Moqur, provincia de Ghazni, Afganistán",0
"139","Nueve Estados han adoptado algunas medidas para detectar e impedir el contrabando de armas y explosivos, pero no está claro la eficacia con que se aplican esas medidas.",1
"140","La mayoría de los Estados han establecido en su legislación obligaciones de diligencia debida con respecto a los clientes y mecanismos de presentación de informes que obligan a las instituciones financieras y a ciertos profesionales a identificar a sus clientes e informar a las autoridades de las actividades sospechosas.",1
"141","b) El libre acceso a todos los lugares y establecimientos pertinentes a la labor de la Comisión;",1
"142","GENERAL POR EL REPRESENTANTE PERMANENTE DE LAS NACIONES UNIDAS",0
"143","De hecho, en el derecho penal internacional el concepto de empresa delictiva conjunta adquiere mayor importancia que en la mayoría de los ordenamientos jurídicos nacionales, ya que la mayoría de los delitos internacionales (crímenes de lesa humanidad, genocidio y la mayoría de los crímenes de guerra) son delitos para los cuales el resultado penal final sólo puede lograrse mediante la participación de muchas personas.",0
"144","Acojo con beneplácito los esfuerzos de los Estados por garantizar que los sospechosos sean sometidos a un juicio imparcial y que sus condiciones de encarcelamiento sean humanas y seguras, de conformidad con las normas internacionales de derechos humanos.",1
"145","Mediante visitas a países donantes, la Dirección Ejecutiva ha podido reunir información mucho más precisa sobre sus intereses regionales, su capacidad de asistencia técnica en la lucha contra el terrorismo y sus programas existentes.",1
"146","2. La situación en Côte d'Ivoire.",0
