"es_en_DEEP"	"MatConf"
"As explained in article 7, paragraph 2 (d) of the Statute of the International Criminal Court, which can be considered to codify customary international law on the matter, deportation or forcible transfer of population means the displacement of affected persons. , by expulsion or other coercive acts, from the area in which they are legitimately present, without reasons authorized by international law."	1
"- Bulgaria (Ratification Law No. 18, 1984)"	0
"6. Guarantee a fair and balanced distribution of national and international resources to offer all parts of the country tangible prospects for well-being;"	0
"During the Janjaweed attack on Mengarassa village in Western Darfur in November 2003, 20 girls were kidnapped and taken to Ammar camp."	1
"6. Recalls its decision contained in resolution 1373 (2001) that all Member States ensure the prosecution of any person involved in the financing, planning, preparation or commission of acts of terrorism or providing support for such acts, and decides that all States ensure that their laws and other domestic legislation establish serious crimes that are sufficient to enable prosecution and punishment in a manner that adequately reflects the seriousness of the crime:"	1
"S/RES/1208 (1998), paras. 4, 12"	0
"At the 7109th meeting of the Security Council, held on 12 February 2014, in connection with its consideration of the item entitled \"Protection of civilians in armed conflict\", the Presidency made the following statement on behalf of the Council:"	0
"Reserves and fund balances at the beginning of the period"	0
"Regarding the condition that an attack must be \"systematic\", it requires that the acts be organized and are not likely to occur at random."	1
"Likewise, I submit for the consideration of the Security Council that it authorizes the Secretary General to provide the assistance that is considered necessary to the Trilateral Commission that the sister Governments of Honduras, El Salvador and Nicaragua have formed to resume the negotiation and implementation of the regime of co-sovereignty in the Gulf of Fonseca, in order to achieve the comprehensive, social, economic and ecological development of the Gulf."	0
"Participants discussed comprehensive approaches to addressing the factors leading to the spread of extremism and terrorism in the region and how United Nations entities can best help respond to the phenomenon and its impact on peace, security and stability."	0
"Mr. Pascoe now has the floor."	0
"Real changes are more likely to come from popular protests rather than covert acts of violence."	1
"Even in Afghanistan, where Afghan officials and members of coalition forces have conveyed to the Team their belief that the Taliban benefits from the huge revenues generated by the drug trade, it is difficult to point to concrete examples."	1
"12/403/90 - September 1990"	0
"The witnesses could not clearly establish who had shot at the protesters: the parallel forces, the police or the gendarmerie."	1
"There are also ongoing concerns about Emarat Kavkaz (QE.E.131.11), a North Caucasus terrorist organization led by Doku Khamatovich Umarov (QI.U.290.11). This group has carried out multiple attacks in the Russian Federation."	1
"2. You decide to continue dealing with the issue."	0
"The Mission acquired specialized equipment (armored ambulances, vehicles with anti-mine protection and medical equipment); trained 3,063 personnel in the prevention and mitigation of the effects of attacks with improvised explosive devices and 1,481 personnel in first aid, presented orientation activities for the two companies of the Mission in charge of the disposal of explosive munitions with little experience in asymmetric environments and created capacity in this regard (three weapons identification teams are already operational)."	1
"Civilians were often forced to move as a result of attacks."	1
"In September there were violations on both sides, attacks and counterattacks, acts of revenge and reprisals."	1
"S/RES/1674 (2006), para. 22"	0
"I must report, with great concern, an escalation in criminal acts and attacks against United Nations and humanitarian personnel."	0
"To the World Bank and donors"	0
":: On November 29, 2014, regime warplanes dropped two barrel bombs on the Wahid al-Yousef school in the village of Kafr Sajna in Idlib, completely destroying it. Places of worship"	1
"The task of operating in that environment was not easy, but UNDOF had evolved as a mission and had adjusted its operations to respond to the challenges posed by the environment of conflict and internal fighting that had recently increased in intensity and severity."	1
"The Government of the Sudan submitted a document to the Commission listing attacks on humanitarian convoys."	1
"However, government authorities and other sources reported the destruction of civil records carried out by MPCI fighters in the prefectures. 2. Looting and desecration"	1
"Since its launch in January 2003, this plan has been aimed at preventing the trade in conflict diamonds by ensuring that all rough diamonds bought or sold among its participants (42 States and the European Community) are accompanied of a valid Kimberley Process certificate."	1
"The Mission continued to coordinate support for the implementation of the national strategy on sexual and gender-based violence, within the framework of which five programs are being implemented relating to prevention and protection, the fight against impunity, multisectoral assistance, reform of the security sector, and data and distribution in the district of Ituri and South Kivu."	0
"According to official Australian sources, the training includes bomb making and techniques for committing suicide attacks."	1
"Continuing to apply Security Council sanctions in this inappropriate manner constitutes a restriction of the fundamental rights to property and free movement without any legal basis or justification."	1
"Therefore, troop- and police-contributing countries should ensure that the personnel they assign to the Mission have received training for the protection of civilians, including through a self-certification process."	0
"The trial of General Sanogo remains at the preliminary stage; the investigation into the September 2012 killing of 16 preachers at a Malian armed forces camp in Diabaly is continuing; the summary execution of three Tuaregs in February 2014 in DjÃ©bock (Gao region) is being investigated; and four Malian armed forces soldiers remain in detention."	1
"These treaties contain certain provisions that are especially relevant to the current armed conflict in Darfur, including: a) the right to life and not to be arbitrarily deprived of life; b) the right not to be subjected to torture or cruel, inhuman or degrading treatment or punishment; c) the right not to be subjected to arbitrary arrest or detention; d) the right of every person deprived of liberty to be treated humanely with the respect due to the inherent dignity of the human being; e) the right to move freely, choose one's own residence and not be arbitrarily displaced: f) the right to property; adequate housing and not be subject to forced removal; g) the right to health; h) the right to adequate food and water; i) the right to a fair trial; j) right to file an effective remedy for any serious violation of human rights; k) the right to reparation for human rights violations; and l) the obligation to bring to justice those responsible for human rights violations."	0
"Ms. Tagliavini noted that a considerable part of the fighting had ceased since the signing of the Minsk documents, but that hostilities continued in some strategic locations, including on the outskirts of the city, in the port of Mariupol on the Sea Black, and around the Donetsk airport, ignoring the ceasefire and the Minsk agreements."	1
"Turkey will continue to exercise its rights under international law in full compliance with established rules and regulations, in order to protect its citizens and defend its borders."	1
"Al-Qaida will remain a residual threat for some time in Afghanistan and will also continue to have some influence in the rest of the world."	1
"States in the subregion have gone well beyond purely law enforcement approaches and have taken on the challenge posed by terrorist groups."	0
"a) The identification and whereabouts of persons;"	0
"This restriction must be maintained as long as participation in one of these trips generates the obligation to report on substantive issues."	1
"Although Al-Qaida has not developed as an organization and its senior leaders have failed to focus its followers on key operational issues or move them to take concrete action, as a movement Al-Qaida has continued to grow, inspired by an overarching message. of resistance to real or imagined injustices."	1
"It will be recalled that in its letter dated 28 February 2012 (S/2012/126), the Government of Eritrea urged the Security Council to assume its responsibilities and take appropriate measures against the numerous unlawful acts of aggression and occupation."	0
"At the 6034th meeting of the Security Council, held on 9 December 2008, in connection with its consideration of the item entitled \"Threats to international peace and security caused by terrorist acts\", the President of the Security Council made the following statement On behalf of the Council:"	0
"MINUSMA considers that the treatment received by detainees during arrest and interrogation may amount to torture or other cruel, inhuman and degrading treatment or punishment."	1
"Many people died and more than 100 were injured."	1
"We have turned to the Council on several occasions to urge Israel to end its military attacks, ensure the protection of the civilian population and end the illegal punitive measures that are causing a deliberate human catastrophe in the Gaza Strip."	0
"The Counter-Terrorism Committee Executive Directorate has organized workshops on border control management in different regions and plans to continue doing so in the future. a) Implement more active prevention, inspection and detection procedures, based on risk assessments, information exchange and analysis and international cooperation at official border crossings as well as along borders open or permeable;"	0
"They can train fighters, plan their operations in innovative ways, and carry out attacks. Lashkar-e-Tayyiba (QE.L.118.05) continues to provide specialized training to terrorists, including in the manufacture of improvised explosive devices. Al-Qaida in the Arabian Peninsula (AQAP) (QE.A.129.10) remains an important source of technological innovation."	1
"Restrictions on freedom of expression remain of considerable concern."	1
"i) Contribute to the protection of civilians in danger, particularly refugees and displaced persons;"	0
"As indicated above, there is a protracted armed conflict in Darfur, which is not international in nature, between government authorities and organized armed groups."	1
"3. Emphasizes the need to strengthen coordination and exchange of information between the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as \"the Committee\") and the Committee established pursuant to resolution 1373 (2001). );"	0
"UNICEF began collaborating with a non-governmental organization on a similar project in Obo, Zémio and Mboki, Upper Mbomou Prefecture."	0
"The Security Council recalls the commitment of the Government of Chad, indicated in the letter dated 7 September 2010 sent to the President of the Security Council (S/2010/470), to assume full responsibility for the security and protection of the civilian population in eastern Chad, including refugees, internally displaced persons, returnees and host communities, paying special attention to women and children and humanitarian and United Nations personnel and assets, in accordance with its obligations under international humanitarian law, human rights law and refugee law."	0
"Arbitrary acts of destruction appear to have been committed, particularly by Government forces, which far exceed any military imperative."	1
"S/RES/1979 (2011) The Security Council,"	0
"Regime forces were responsible for 363 of those deaths, including 82 children and 48 women; 17 people were killed by ISIL."	1
"More details are provided in the case study in Annex 6.5."	0
"On September 20, 778 officers completed their training at the police academy. Of these agents, 35 were women and 148 were former soldiers."	1
"The five individuals are those mentioned in Annex II of resolution 1803 (2008)."	0
"The Security Council expresses its sincere solidarity with all victims of terrorism and their families, stresses the importance of providing assistance to victims of terrorism and providing them and their families with support to cope with their loss and grief, recognizes the important role played in the fight against terrorism by networks of victims and survivors, who, among other things, have the courage to make their experiences known and make statements against violent and extremist ideologies, and, in this In this regard, welcomes and encourages relevant efforts and activities of Member States and the United Nations system, including the Counter-Terrorism Implementation Task Force."	0
"Last year, as many as 94% of the Syrian regime's 982 alleged counterterrorism operations were directed against moderate opposition forces."	1
"Furthermore, during its visit to Sudan, the Team received official information about arms smuggling by groups associated with Al-Qaida, through Eritrea, to Al-Qaida elements in Saudi Arabia."	0
":: Take advantage of the presence of civilians or other protected persons so that certain points, areas or military forces are immune from military operations;"	1
"The word Janjaweed is an Arabic colloquialism native to the region, generally meaning \"man (demon) on horseback.\""	0
"1. Ingots or bars having a size of 100 mm or more in each dimension;"	0
"In the early morning hours of 11 July, unidentified gunmen broke into the home of Abdul Qadir Yahya, a veteran peace activist and senior member of the Center for Research and Dialogue, and murdered him."	1
"The affidavit does not contain additional details to those already provided."	0
"The Security Council calls upon parties to armed conflict to comply with their obligations under international humanitarian law to respect and protect humanitarian personnel and relief consignments, and to take all necessary measures to facilitate the safe, rapid and unhindered transit of relief consignments, equipment and personnel."	1
"In March 2005, vessels registered in Greece and Panama were making clandestine unloadings without declaration to customs or the police."	1
"I have the honor to refer to my letter dated December 2, 2003 (S/2003/1151)."	0
"President: Deputy Luc-Apollinaire Dondon Konamabaye"	0
"In the Hiraan region of central Somalia, fierce fighting between the Galje'el and Jajele sub-clans of the Hawiye clan for control of land and water in the western part of Beletweyne on 7 and 8 July left 36 dead and 70 wounded."	1
":: On 5 November 2014, regime forces attacked Hazrma Primary School in Rural Damascus, injuring one child."	1
"Aside from this, there have only been minor security incidents that directly affected the electoral process since voter registration began on April 25. Among them, some related to long lines at voter registration offices, minor attacks on election guards, and the theft and destruction of equipment."	1
"More outbreaks of violence occur at the Comoro Market. One civilian is killed, eight people suffer gunshot wounds and four people suffer other serious injuries."	1
"The only reasonable measure will be to replace it with a new roof."	0
"Constantly striving to build local capacity and achieve savings, MINURSO has proposed that eight international posts and four United Nations Volunteers posts be converted to national posts in the 2008-2009 budget. It has also recommended the establishment of an archives unit consisting of one international and one national General Service staff member."	0
"They are distributed as follows: i) current expenses for a total of 20,351 million FCFA; ii) capital expenditures of 921 million FCFA; iii) debt payment of 11,266 million FCFA; iv) delays representing 24,375 million FCFA, and v) treasury operations for 436 million FCFA;"	0
"It also reported that the United Nations Disengagement Observer Force (UNDOF) continued to observe heavy clashes between the Syrian armed forces and armed members of the opposition, as well as airstrikes by Syrian forces within the area of ââseparation and the limitation zone."	1
":: On November 15, 2014, regime helicopters dropped a barrel bomb on the Omar ibn al-Khattab mosque in Aleppo, causing significant damage."	1
"The Commission received evidence showing that camp leaders had kidnapped civilians and held them in the camp, where they were subjected to torture and forced to work."	1
"During the march, the Royal Moroccan Army informed the Force Commander that it had ordered its troops to observe the situation."	1
"A particular threat has arisen from the increasing use by terrorist individuals and groups of new information and communications technologies for recruitment, incitement and fundraising, often across international borders."	0
"a) The violence recorded in the Government Palace around noon on April 28, which caused two deaths, at least four gunshot wounds and two others seriously injured;"	1
"b) Achieve an expeditious transition to reconstruction and rehabilitation."	0
"Which will be held on Thursday, June 23, 2011, at 3:15 p.m."	0
"(Summit Resolution 484/21, adopted on 30 March 2009)"	0
"In northern Darfur, the state's largest internally displaced persons camp, Abu Shouk, has been overwhelmed with the arrival of more than 20,000 new refugees from violence in the past two months."	0
"The Union of Islamic Courts came to fill the void left by the alliance."	0
"The possibility should not be excluded that in some cases isolated individuals, including government officials, may have had the intention to commit genocide or, in other words, attack the victims with the specific intention of partially annihilating a group considered to be a group. hostile ethnic"	1
"In this regard, both files were sent to the General Secretariat of the Presidency of the Republic to be transferred to the Congress of the Republic for approval, after ratification by the President of the Republic."	0
"A. Overview Listed Al-Qaida and Taliban-linked groups continue to raise funds through legal means, such as donations and legitimate business activities, as well as illegally through ransom kidnappings, extortion, trafficking of drugs and the imposition of illegal taxes."	1
"On 21 February 2005, UNOCI authorized FACI to conduct two one-hour ground tests of engines and systems on the last Wednesday of each month for its Mi-24P (TU-VHO), provided that it was not armed and the test was carried out outside the hangar at the Abidjan air base and in the presence of UNOCI observers."	0
"Military and police operations, as well as targeted measures against gang leaders, have increased in districts affected by gang violence."	1
"Unresolved ethnic and border conflicts have given rise to disputes that undermine efforts to implement a cohesive, regional response to terrorism."	0
"The Group noted with satisfaction that some countries have suspended or blocked the export of military goods and services to CÃ´te d'Ivoire."	1
"Of the cases reviewed so far, 29% have been substantiated, bringing the total number of names registered in the civil registry to well over 930,000."	0
"The Committee plays a crucial role in United Nations counter-terrorism efforts by maintaining, updating and improving its Consolidated List of Persons and Entities Associated with Al-Qaida and the Taliban and by effectively monitoring the implementation by Member States of sanctions against the people and entities that appear on the List."	0
"Approximately 2 kilometers after passing the checkpoint, about 20 soldiers dressed in camouflage approached the group of women with their vehicles and ordered them to stop, firing several shots."	1
"I am pleased that you remind us that this is the fourth anniversary of resolution 1244 (1999)."	0
":: Starvation, as a method of war, of civilians, depriving them of goods essential to their survival, including the intentional obstruction of relief supplies in accordance with the provisions of international humanitarian law."	1
"The Committee has also agreed to replace the current numbering system, which changes each time the name of another person or entity is added, with a permanent reference number."	0
"After the first payment made in July 2010, there were no additional disbursements, although two more were initially planned in December 2010 and March 2011."	0
"While the operational impact of al-Qaida's leadership has diminished since the deaths of Osama bin Laden and several other key leaders, al-Qaida's networks continue to evolve and have become a more complex phenomenon involving a wide variety of supporters and active fighters around the world."	1
"The first payment did not have to be made at a specific time but rather when the works had been completed in a certain proportion (50% for the first payment)."	0
"The intention to restrict your movement is not and will not be a definitive solution to the problem."	1
"Approved by the National Congress through Legislative Resolution No. 26798 of May 16, 1997 and finally ratified on July 1, 1997"	0
"Investment and integration will depend not only on the status but also on the existence of a predictable and stable Kosovo, where the rule of law is respected."	0
"They also detained 15 FACI pilots and technicians, all from the Russian Federation, Ukraine and Belarus."	1
"407. The MDJ withdrew in a supplementary communication a portion of this item of the claim in the amount of US$12,000 (relating to vouchers)."	0
"We strongly condemn such practices, which constitute a flagrant violation of international norms and humanitarian law. We therefore call upon the international community, the Quartet and all other stakeholders to intervene immediately and decisively to demand that Israel cease such acts, which pose a grave threat to peace and security in the Middle East region. Violence only breeds violence. The region will be trapped in a vicious circle from which it will be difficult to escape."	0
"The Special Representative said that recent conquests of territory held by ISIL showed that the strategy, with international military support, was moving forward."	1
"Government leaders and their supporters, for their part, accused the MPCI and other \"rebel movements\" of using foreign forces and committing atrocities, in particular the murder of dozens of Gendarmerie officers in BouakÃ©."	0
"The Commission has further concluded that the victims and other witnesses have identified Janjaweed as assailants of all three categories."	1
"The negative impact of the situation in Libya will continue to increase, posing a sustained threat to peace and stability in the region. China expresses its deep concern in this regard."	0
"On 23 August, as part of a briefing by the Department of Political Affairs, the Under-Secretary-General for Political Affairs said that staff from the Office for the Coordination of Humanitarian Affairs were carrying out an assessment mission in the Republic Syrian Arab and referred to the Secretary-General's statement that, despite his commitment to do so, President Al-Assad had not stopped the use of force against the civilian population."	1
"In order to deepen the United Nations' commitment in this area, the Council should request its main counter-terrorism bodies (the Counter-Terrorism Committee Executive Directorate and the Analytical Support and Sanctions Monitoring Team) to focus on the threat posed by foreign terrorist fighters, including by assessing national efforts to implement international legal obligations in combating this threat."	1
"The Court of First Instance drew a distinction from previous decisions confirming sanctions imposed under resolution 1267 (1999), noting that resolution 1373 (2001) did not mention specific persons whose assets should be frozen, for The decision to impose sanctions against particular targets and the process used to reach that decision were at the discretion of the Member State and therefore subject to closer scrutiny."	1
"The CPN-Maoist has often specifically targeted girls and has managed to recruit large numbers, many of whom have joined in order to escape traditional restrictions."	1
"These assets include office furniture and equipment, inventory items, vehicles and machinery."	0
"Diamonds In the period from September 5, 2007 to September 30, 2008, the Government of Liberia authorized exports of more than 64,000 carats of rough diamonds, valued at $11.9 million."	0
"At the end of August, the Kosovo Protection Corps had 3,029 active members, 157 of whom were minorities."	1
"89. The National Security and Intelligence Service forces are regular forces whose mission is to supervise the internal and external security of the Sudan, monitor relevant events, analyze their importance and dangers, and recommend protective measures."	1
"The opening of these offices will allow the Government to pay the salaries of public officials directly in the counties."	0
"Which will be held on Friday, December 17, 2010, at 3:00 p.m."	0
":: September 19, 2005: One person is killed and two injured in a small explosion at the Kuwait Information Office in Beirut."	1
"On 7 May 2005, General Michel Aoun returned to the country after 14 years of exile and created the Free Patriotic Movement with the aim of participating in the legislative elections that began on 29 May and concluded, after four rounds, on 19 June of the same year."	1
"19. Chapter 44 of the Customer Account Control and Protection Act"	0
"When the attack occurred, the women ran to a wadi, where they were surrounded by the army."	0
"Once again we are forced to state that the violence unleashed in the Gali district is the logical result of the increase in flagrant violations of the rights of the peaceful population carried out by the Abkhazian regime, a situation that encourages the smuggling of weapons and drugs."	1
"In addition to the civilians injured near the Taci Tolu terminal during the afternoon of April 28, two others suffered gunshot wounds during the night."	1
"The number of attacks against national and international security forces, officials of public institutions and humanitarian personnel has increased. The number of attacks against polling stations and threats against registration teams has increased."	0
"Thousands were murdered, women were raped, their villages burned, their homes destroyed and their belongings looted."	1
"Many of the murders did not occur on the street, but in the homes of potential protesters and even innocent civilians targeted by security forces."	1
"The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that attack the victims' villages, mounted on horses or camels, to kill, loot, burn and rape."	1
"The structure and organization of the Syrian and Lebanese intelligence services in Lebanon at the time of the explosion, including information transmission protocols, reveal a highly widespread presence in daily life in Lebanon."	1
"The Committee will continue to organize special meetings and events on topics and issues of common concern and interest to Member States, with a view to maximizing the impact of the resolutions and maintaining the international community's commitment to combating terrorism."	0
"Cases of money laundering and terrorist financing have been detected in which these new payment methods have been used. However, States have difficulty enacting laws and regulatory systems that are consistent with the characteristics of these payment methods, which are evolving at an increasingly rapid pace."	1
"1) The offender will be punished with a prison sentence of 3 to 10 years or confiscation of property:"	1
"B. Ministry of Defense - Deposit losses"	0
"to. The entry and exit of foreigners from the territory of Indonesia;"	0
"1. Real estate: US$11,313,419"	0
"Even so, in Port-au-Prince, the sharp increase in violence and crime, including kidnappings, generated serious concern among the population during May and June."	1
"I have also appointed Mr. Lancaster to serve as coordinator of the Group of Experts."	0
":: Starving civilians as a method of warfare by depriving them of the things indispensable for their survival, including wilful obstruction of relief supplies in accordance with international humanitarian law."	1
"c) Looting by Eritrean soldiers of private homes, businesses and other entities;"	1
"Some reports also indicate that foreigners from Chad, the Libyan Arab Jamahiriya and other states responded to the call and that the government was more than willing to recruit them."	1
"Mr. Apakan added that the OSCE had yet to observe the withdrawal of heavy weapons from the line of control."	1
"In turn, the Committee should continue to promote a greater sense of ownership with the sanctions regime and provide effective support to the national efforts of States seeking to contain the threat of Al-Qaida and the Taliban."	0
"The existence of a system of communicating vessels between the criminal activities that fuel terrorism in Africa and the criminal activities that thrive in other regions of the world cannot be ruled out."	0
"In accordance with Council Decision 2011/137/CFSP, and in particular Article 8(2) thereof, in conjunction with Article 31(2) of the Treaty on European Union, the additional persons and entities listed in the Annex to This Decision have been included in Annexes II and IV of Decision 2011/137/CFSP."	0
"The battle for control of Baidoa indicated that opposition elements had coordinated their efforts to defeat government forces."	1
"Furthermore, reports agree that people continued to be detained after the established legal deadline."	1
"I. Mission mandate"	0
"6. Former members of the Presidium of the Supreme People's Council;"	0
"It was highlighted that metrics do not work in all environments, although they could be very useful in tracking progress in the implementation of mandated tasks, especially if there was a common understanding of the desired end state of the mission."	0
"Reimbursements made for costs related to contingent-owned troops and equipment cover the period ending 31 May."	0
"The rebels later captured an air force commander, who was detained for approximately three months."	1
"Water Stations :: On 23 November 2014, ISIL detonated a car bomb near a water treatment plant in the Hasakah village of Midan, which suffered extensive damage. Power plants"	1
"In Northern Darfur, the state with the lowest numbers of the three Darfur states, the conflict is estimated to have affected 685,200 people, 403,000 of them displaced within the region."	1
"The first was a white van carrying three uniformed men armed with M16 rifles. The second was a red truck carrying between 15 and 20 armed men, some of them in uniform and others dressed in civilian clothes."	1
"However, since the crime was not the work of isolated individuals but rather of a sophisticated group, there is every reason to believe that fraud, corruption and money laundering could be other motives for the various individuals who participated in the operation. ."	1
"As noted in paragraphs 89 to 94 above, the Minister of the Interior provided weapons to civilians, some of whom were subsequently involved in the alleged commission of criminal acts."	1
"b) Mr. Russell Feingold, United States Special Envoy to the Great Lakes Region;"	0
"Total cash resources (sight and installment deposits and joint account) were $955.90 million as of December 31, 2009, compared to $1.04 billion as of December 31, 2007, which represents a decrease of 8%."	0
"The guidelines were therefore referred to the ILO for review and possible action."	0
"Companies specialized in due diligence examinations"	0
"Joseph Asoka Nihal de Silva Until December 31, 2010"	0
"Some 20,000 people have been left homeless in Abidjan due to the deliberate destruction of slums."	1
