"","en_es_GOOGLE","MatConf"
"53","Instando a todos los Estados, organismos internacionales y organizaciones regionales a que asignen recursos suficientes, incluso mediante alianzas internacionales, para hacer frente a la amenaza directa y actual que plantean Al-Qaida, Usama bin Laden y los talibanes, y las personas, grupos, empresas y entidades asociados con a ellos,",0
"54","Sudáfrica destaca que, dada la magnitud de esos desafíos, se requiere una estrategia integral que incorpore la seguridad, los esfuerzos humanitarios, la buena gobernanza y el desarrollo socioeconómico.",0
"55","Dicha estrategia se centra en cómo pueden dirigirse las defensas del Estado contra el terrorismo para proteger las infraestructuras críticas y a los ciudadanos, y cómo respondería el Estado a un ataque terrorista con miras a mitigar los efectos de tal incidente, ayudar a las víctimas y restablecer el orden público. .",1
"56","ACNUR brindó capacitación a funcionarios relevantes de Bielorrusia y Ucrania con el objetivo de garantizar la implementación efectiva y justa de las disposiciones sobre la determinación del estatus de refugiado establecidas en la Convención de 1951.",0
"57","El conflicto ha durado más de medio siglo y no puede abordarse de la noche a la mañana.",1
"58","Durante estas detenciones, las víctimas fueron a menudo maltratadas, les robaron sus pertenencias, sus casas fueron destrozadas y, en algunos casos, fueron ejecutadas sumariamente.",1
"59","Al final de la cuarta ronda de negociaciones a finales de noviembre, las posiciones de las partes sobre cuestiones clave permanecían sin cambios.",0
"60","El Plan de Acción Humanitaria de Emergencia para Costa de Marfil y sus cuatro vecinos (Benin, Ghana, Guinea y Togo) tampoco cuenta con fondos suficientes.",0
"61","En Darfur meridional, según testigos, los rebeldes atacaron y saquearon una comisaría de policía y oficinas gubernamentales en Yassin en enero de 2004.",1
"62","Varias operaciones de paz recientes han incorporado el análisis de la delincuencia transfronteriza en la planificación de sus misiones y en sus estructuras conjuntas de análisis de misiones, en particular la MINUSMA.",1
"63","S/RES/1923 (2010), op. 4",0
"64","16. La situación en los territorios árabes ocupados1 (4 de mayo de 1976; 13 de julio de 1998).",0
"65","El Consejo de nivel ministerial de la Liga de los Estados Árabes,",0
"66","En septiembre de 2005, tras una intensa presión pública e internacional, tres oficiales del ejército de Nepal fueron sometidos a un consejo de guerra y condenados a seis meses de prisión por no seguir los procedimientos adecuados al deshacerse del cuerpo de Maina Sunuwar.",1
"67","Más tarde, ese mismo día, una acción militar en la base aérea de la FACI en el aeropuerto internacional de Abidján tuvo como resultado la destrucción de los otros dos Su-25, dos helicópteros Mi-24V y un UAV.",1
"68","Para obtener una lista detallada de las respectivas circulares de BaFin, cf. pregunta 11.",0
"69","Para designar a determinadas personas como presuntos autores, es necesario definir los crímenes internacionales de los que pueden ser considerados responsables.",1
"70","▪ Dirigir ataques contra la población civil o contra civiles individuales que no participan directamente en las hostilidades;",1
"71","42. La MINURCAT siguió desempeñando todas las tareas operacionales que le habían encomendado, incluida la preparación para reaccionar rápidamente, las tareas de protección de la fuerza y el conocimiento de la situación en las proximidades de sus acantonamientos.",1
"72","H. Otras pérdidas 94 - 112 19",0
"73","195. Esta lectura de la información por parte de algunas fuentes ha dado una dimensión adicional al conflicto.",0
"74","7. Expresa su firme determinación de considerar la posibilidad de incluir en la lista, de conformidad con la resolución 2161 (2014), a personas, grupos, empresas y entidades asociadas con Al-Qaida que financian, arman, planifican o reclutan para ellos, o apoyan de otro modo sus actos o actividades, incluidos a través de tecnologías de la información y las comunicaciones, como internet, redes sociales o cualquier otro medio;",1
"75","Al menos 70 miembros clave del Congreso Popular se encuentran actualmente detenidos sin cargos ni juicio, y varios de ellos han huido del Sudán al exilio.",1
"76","23. Decide seguir ocupándose del asunto.",0
"77","Tres días después, los Jaleele compraron 25 rifles de asalto AK-47, 2 cañones antiaéreos, 6 ametralladoras PKM, 4 RPG-2 y municiones.",1
"78","(iii) Proporcionar apoyo logístico y aéreo.",0
"79","&quot;El Consejo de Seguridad acoge calurosamente la decisión del Secretario General de hacer que el trabajo de las Naciones Unidas para fortalecer el estado de derecho y la justicia de transición en las sociedades en conflicto y posconflicto sea una prioridad durante el resto de su mandato.",0
"80","De los 17 acusados en relación con el ataque contra el Primer Ministro, 13 fueron condenados a penas de prisión de nueve años y cuatro meses, mientras que un acusado fue condenado a 10 años y ocho meses. El 14 de junio, el Tribunal de Apelación confirmó las sentencias.",1
"81","107. Una segunda categoría incluye las milicias organizadas en estructuras paramilitares y en paralelo a las fuerzas regulares, incluidos los grupos conocidos como &quot;la fuerza de ataque&quot;, los muyahidines o los fursan (los jinetes).",1
"82","Estas tropas están ligeramente armadas, tienen poca movilidad terrestre, carecen de capacidad aérea y reciben un apoyo logístico y financiero mínimo.",1
"83","6. La aplicación del embargo de armas se reforzó en la resolución 1945 (2010), cuando el Consejo aclaró las exenciones a esa medida y supeditó la venta o el suministro de armas y material conexo al Sudán no prohibido por el embargo al fin necesario. documentación del usuario.",1
"84","Durante la semana del 19 al 26 de junio en la región de Bay, unas 10 personas murieron y otras 9 resultaron heridas en enfrentamientos entre los subclanes Digil-Mirifle de la zona, incluidos los Leysan, Luway y Yantar.",1
"85","184. La mayoría de los informes señalan una pauta de ataques indiscriminados contra civiles en aldeas y comunidades de los tres estados de Darfur que comenzaron a principios de 2003.",1
"86","452. Según el artículo 31 de la Ley de Seguridad Nacional, en virtud de una orden emitida por el Director General, un agente de seguridad puede llevar a cabo un arresto, un registro o detener e investigar a una persona. Dispone de tres días para comunicar al detenido los motivos de su arresto y detención.",1
"87","El Gobierno del Líbano me ha informado de que las Fuerzas Armadas Libanesas también detuvieron y deportaron a varios infiltrados de origen palestino que portaban documentos de identificación sirios.",1
"88","Dos años de conflicto habían agudizado las diferencias políticas y profundizado las ya graves condiciones sociales y económicas de la gran mayoría de la población.",1
"89","Llamamos a nuestra gente a unirse al PDF. Ellos respondieron incorporándose y comenzaron a recibir órdenes del Gobierno como parte del aparato militar estatal&quot;.",1
"90","Se alega que Ibrahim Mohamed K. había asistido a campos de entrenamiento de Al-Qaida hasta noviembre de 2001 y luego permaneció en el Afganistán durante más de un año luchando contra las tropas de los Estados Unidos, tiempo durante el cual tuvo contacto con miembros de alto rango de Al-Qaida. Lo persuadieron de regresar a Europa, donde su documento de viaje alemán le dio una considerable libertad de movimiento para reclutar atacantes suicidas.",1
"91","Según los informes, el ejército nacional mantiene actualmente el bosque bajo vigilancia.",1
"92","42. Antes de que las fuerzas de seguridad comenzaran su acción, quienes lograron salir a las calles vieron que nadie había comenzado aún a marchar ni se comportaba de manera amenazadora o provocativa.",1
"93","Los expertos del OIEA indicaron al Equipo que es mucho más probable que los terroristas obtengan ilícitamente un dispositivo militar que construyan uno improvisado.",1
"94","6. En Malí, los terroristas estuvieron a punto de destruir la estructura básica del Estado, afectando así la estabilidad de un país y de toda una región. Al-Qaida en el Magreb Islámico, el Movimiento para la Unidad y la Jihad en África Occidental y Ansar Eddine continúan sus actividades en el norte de Malí con efectos colaterales en los países vecinos. Ponen en riesgo la presencia y las actividades de la Misión Multidimensional Integrada de Estabilización de las Naciones Unidas en Malí (MINUSMA).",1
"95","La orden también prohíbe la venta o suministro por parte de personas estadounidenses o de los Estados Unidos o utilizando embarcaciones o aeronaves registradas en los Estados Unidos, de: (i) cualquier equipo utilizado en la minería; (ii) vehículos motorizados o embarcaciones y sus partes; o (iii) servicios de minería o servicios de transporte terrestre o acuático, todos independientemente de su origen, al territorio de Angola, excepto a través de un punto de entrada específico.",0
"96","Sin embargo, la falta de leyes antiterroristas específicas limita la eficacia de esos mecanismos.",0
"97","El componente militar sigue prestando servicio en el norte en condiciones extremadamente difíciles.",1
"98","En el caso de peligro público (artículo 179 del Código Penal), también es delito preparar tales actos (por ejemplo, obtener componentes y construir un artefacto explosivo con el propósito de un ataque según el artículo 2, párrafo 1 del Convenio). ), incluso si el delincuente aún no ha intentado cometer el acto.",1
"99","Por ejemplo, la Comisión descubrió que mujeres que iban al mercado o buscaban agua en Tarne, Darfur septentrional, fueron secuestradas, retenidas durante dos o tres días y violadas por miembros del ejército alrededor de marzo de 2003.",1
"100","Oficina Ejecutiva del Secretario General",0
"101","a) Solicitar a la UA que mantenga tropas de la AMISOM en Somalia después de la partida de las fuerzas etíopes y ofrecer la asistencia que se indica a continuación para apoyar el refuerzo de la Misión;",0
"102","En una declaración presidencial (S/PRST/2004/15) aprobada el 14 de mayo, el Consejo expresó seria preocupación por los informes de una incursión en la República Democrática del Congo por parte de elementos del ejército rwandés y los informes de una mayor actividad militar por parte de las Fuerzas Democráticas de Liberación de Ruanda en la parte oriental de la República Democrática del Congo y sus incursiones en el territorio de Ruanda.",1
"103","89. Las fuerzas de seguridad nacional son fuerzas regulares cuya misión es supervisar la seguridad interna y externa del Sudán, monitorear los acontecimientos relevantes, analizar la importancia y los peligros de los mismos y recomendar medidas de protección.",1
"104","60. Es particularmente importante desarrollar intercambios prácticos entre el Consejo de Seguridad y la Asamblea General sobre cómo detener los flujos ilícitos de armas y municiones hacia zonas de crisis y conflicto.",1
"105","Según su declaración, se encontraba en su oficina cuando fue alertado de la explosión.",1
"106","Si bien están fuera del mandato de UNMISET, los recientes fallos de un tribunal de apelaciones en Indonesia, al revocar cuatro condenas del Tribunal Ad Hoc de Derechos Humanos, impactan directamente en la cuestión más amplia de lograr la rendición de cuentas.",0
"107","Sin embargo, a menudo faltan una detección y prevención eficaces en la frontera debido a la aplicación insuficiente de indicadores de riesgo y criterios de selección; la falta de intercambio de información y cooperación entre los funcionarios de aduanas, los departamentos de aplicación de la ley y de inmigración y las unidades de inteligencia financiera; y la falta de recursos humanos y materiales dedicados.",0
"108","Otros instrumentos jurídicos internacionales, incluido el Convenio para la Prevención del Terrorismo del Consejo de Europa, han comenzado a considerar cuestiones relacionadas, como la incitación al terrorismo, el reclutamiento y el entrenamiento.",0
"109","Creemos que Somalia se enfrenta a un desafío similar al de un corredor de maratón, ya que la redacción de la constitución debe finalizar antes del 20 de abril y su aprobación debe completarse el 22 de mayo.",0
"110","8. La Comisión iniciará sus actividades en la fecha que determinará el Secretario General, que será comunicada oficialmente al Gobierno de Pakistán.",0
"111","408. En lo que respecta al derecho internacional humanitario, el artículo 3 común a los Convenios de Ginebra prohíbe los actos de violencia contra la vida y las personas, incluidos los tratos crueles y la tortura, la toma de rehenes y los atentados contra la dignidad personal, en particular los tratos humillantes y degradantes.",1
"112","36. En otros casos, las misiones políticas especiales del Consejo han desempeñado un papel importante al ayudar a los Estados a reducir el espacio estratégico otorgado a los grupos terroristas mediante su participación en la delincuencia transfronteriza.",0
"113","Informe del Secretario General sobre la situación en Abjasia (Georgia) (S/2004/26).",0
"114","El Consejo de Gobernadores también celebró su undécimo período extraordinario de sesiones el 11 de marzo de 2003 para elegir un nuevo Presidente y un nuevo Vicepresidente del Consejo. Alemania y Angola fueron elegidos por aclamación Presidente y Vicepresidente del Consejo, respectivamente.",0
"115","En octubre de 2003, el Gobierno chino también promulgó y puso en vigor la Ley de la República Popular China sobre la Prevención de la Contaminación Radiológica.",0
"116","285. La Comisión también ha constatado que los rebeldes han matado a civiles, aunque los incidentes y el número de muertes han sido pocos.",1
"117","63. Siguen existiendo importantes preocupaciones respecto de las restricciones a la libertad de expresión.",1
"118","Se impone deliberadamente a los sospechosos hambre y otras condiciones de detención inhumanas para aumentar la presión sobre ellos para que confiesen e incriminen a otras personas.",1
"119","C. Seguridad de los refugiados, los desplazados internos, los civiles y los trabajadores humanitarios con respecto a las normas internacionales de derechos humanos",0
"120","Actualmente, se cree que unos 47 grupos armados no estatales &quot;han tenido o están teniendo&quot; sistemas portátiles de defensa aérea.",1
"121","Tratado de Prohibición Completa de los Ensayos Nucleares (TPCE) ratificado",0
"122","La situación en Timor Oriental (véanse S/11593/Add.50 y 51; S/11935/Add.15 y 16; S/1999/25/Add.17, 22, 25, 30, 33 a 36, 42 y 50 ; S/2000/40/Add.4, 11, 16, 20, 25, 29, 30, 34, 35, 37, 38, 40, 46, 47 y 48; 5)",0
"123","Una organización denunció métodos crueles e inhumanos de matar, como dos casos de asesinato por crucifixión.",1
"124","El primero era una camioneta blanca que transportaba a tres hombres uniformados y armados con armas M16. El segundo era un camión rojo que transportaba entre 15 y 20 hombres armados, algunos uniformados y otros vestidos de civil.",1
"125","Varios detenidos bajo custodia de las autoridades marroquíes iniciaron una huelga de hambre desde principios de agosto hasta el 29 de septiembre.",1
"126","Me preocupa que la votación parlamentaria y el estancamiento puedan alterar los laboriosos avances que han logrado las partes interesadas somalíes y sus socios.",0
"127","34. La situación en Sierra Leona (27 de noviembre de 1995; 21 de diciembre de 2007).",0
"128","Uso de formulaciones descriptivas de los temas del programa para evitar tener varios temas separados sobre el mismo tema.",0
"129","Martín Pérez también fue el organizador de otro intento de asesinato, abortado, que tendría lugar durante la Cumbre del CARIFORUM en la República Dominicana en agosto de 1998.",0
"130","El general de brigada solicitó que cesaran los disparos para permitir que sus hijos fueran evacuados de la casa.",1
"131","La expedición de esos visados habría ahorrado un tiempo considerable de espera para la expedición de los visados de entrada única de un mes de duración, que los miembros del Grupo recibían en Addis Abeba cada vez que expiraban sus visados.",0
"132","b) Miembro de la Asamblea Nacional del distrito de Al-Waha;",0
"133","19. Además, tanto su misión de investigación como su tarea de identificar a los perpetradores se habrían beneficiado de la asistencia de un gran número de investigadores, abogados, analistas militares y expertos forenses.",0
"134","Uno de los soldados agarró al niño y lo arrojó al costado de la carretera.",1
"135","Compañía de oleoductos: 5.000.000 de dólares",0
"136","Los soldados de las FARDC y el personal policial son los principales autores de estos actos.",1
"137","El valor de cada uno de estos envíos se estimó en más de 16 millones de dólares.",0
"138","El estudio también se centrará en posibles estrategias para garantizar que el 30 por ciento de los niños que actualmente no van a la escuela estén matriculados.",0
"139","Se estima que cada año pasan por estas rutas marítimas unos 30.000 buques.",0
"140","47. No ha habido ningún cambio notable en el estado operacional y las capacidades de Hizbollah, que, según sus propios dirigentes, tiene más de 12.000 misiles a su disposición.",1
"141","Esto provocó el desplazamiento de más de 1.000 civiles. La policía no tomó ninguna medida contra los Janjaweed.",1
"142","La furgoneta Mitsubishi Canter, que se utilizaba como portabombas, entró en el Líbano desde la República Árabe Siria a través de la frontera de Bekaa y por una &quot;vía rápida&quot; militar el 21 de enero de 2005 a las 13.20 horas. Lo conducía un coronel sirio de la décima división del ejército.",1
"143","(Resolución de la Cumbre 484, 21º período ordinario de sesiones - 30 de marzo de 2009)",0
"144","23. Nasser Ayed Duhayran Al-Oteibi",0
"145","Se informó que al menos una persona murió y 20 resultaron heridas durante los enfrentamientos entre la policía antidisturbios y los manifestantes, que también perturbaron las operaciones de los tribunales móviles.",1
"146","15. Desde su creación en junio de 2005, el Tribunal Penal Especial sobre los Sucesos de Darfur ha dictado veredictos en cinco causas.",0
"147","- Ley N° 25/62, de 21 de mayo de 1962, que regula las estructuras peligrosas, insalubres y mal construidas",0
"148","En total, 47 de los 55 casos han sido interpuestos por particulares, 2 por un particular junto con una o más entidades y 6 por entidades solas.",0
"149","285. En algunos Estados, las definiciones vagas o demasiado amplias de delitos terroristas siguen planteando un problema para la aplicación efectiva de la resolución 1373 (2001).",1
"150","La oposición utilizó armas compradas en BAM para luchar contra el GFT en la batalla por el control de la ciudad estratégicamente importante de Baidoa (región de la Bahía).",1
"151","De todos los elementos enumerados anteriormente, un tercio se había utilizado en el complejo.",0
"152","C. Impugnaciones jurídicas a las sanciones 50. El Equipo tiene conocimiento de 15 demandas presentadas en todo el mundo en las que se impugna la aplicación por los Estados Miembros de algún aspecto de las sanciones de las Naciones Unidas contra Al-Qaida y los talibanes.",1
"153","b) Dotar de personal debidamente cualificado y experimentado, que serían funcionarios públicos internacionales sujetos a lo dispuesto en el Artículo 100 de la Carta de las Naciones Unidas, garantizando los más altos niveles de eficiencia, competencia e integridad y prestando la debida atención a la importancia de contratar al personal sobre una base geográfica lo más amplia posible.",0
"154","Los observadores han informado de que los civiles desplazados que viven bajo control gubernamental en esas zonas siguen siendo prácticamente prisioneros, confinados en campamentos y asentamientos sin alimentos, refugio ni asistencia humanitaria adecuados, en constante riesgo de sufrir nuevos ataques, violaciones y saqueos de sus posesiones restantes.",1
"155","Las circunstancias de los asesinatos siguen sin estar claras.",1
"156","De conformidad con el entendimiento alcanzado entre los miembros del Consejo, quisiera recordar a todos los oradores que limiten sus declaraciones a no más de cinco minutos, a fin de que el Consejo pueda llevar a cabo su labor con rapidez.",0
"157","c) destruya o cause daños importantes a instalaciones públicas, sistemas de transporte o telecomunicaciones, incluidos sistemas de información, plataformas fijas en la plataforma continental, instalaciones de suministro de energía, instalaciones de suministro de agua, instalaciones médicas o cualquier otra importante, lugares o bienes públicos con el objetivo de poner en peligro vidas humanas, la seguridad de una instalación, sistema o lugar, o exponer la propiedad al riesgo de daños importantes,",1
"158","Para ello se utilizó una cantidad de nada menos que 1.000 kilogramos de explosivos militares.",1
"159","Dependiendo de las circunstancias de cada caso, esas personas pueden ser sospechosas, según la doctrina de la empresa criminal conjunta, de haber cometido crímenes de lesa humanidad como el asesinato de civiles y la violación, la tortura y el desplazamiento forzoso de civiles y los crímenes de guerra de llevar a cabo ataques indiscriminados contra civiles, destrucción de bienes de carácter civil y saqueos.",1
"160","En particular, el Comité contra el Terrorismo agradecería:",0
"161","De conformidad con el artículo 11 del reglamento provisional del Consejo de Seguridad y de conformidad con la nota del Presidente de fecha 26 de julio de 2010 (S/2010/507), el Secretario General presenta la siguiente declaración resumida.",0
"162","A partir de entonces, esos oficiales permanecieron bajo su mando y estaban armados con armas Steyr.",1
"163","Los movimientos rebeldes también participaron en actos de saqueo, principalmente contra comisarías de policía para obtener armas; en algunas ocasiones los rebeldes también atacaron la propiedad privada.",1
"164","El Gobierno está al día con los salarios de los funcionarios públicos, aunque todavía adeuda tres meses de salarios atrasados desde 2008.",0
"165","Un oficial de la UNPOL preguntó si había resultado herido y le dijeron que la PNTL acababa de matar al amigo del Sr. Amaral.",1
"166","Debo decir que el tema elegido para nuestro debate de hoy, si bien cautivador, plantea un gran desafío.",0
"167","Decide que todos los Estados Miembros congelarán sin demora todos los fondos, otros activos financieros y recursos económicos que se encuentren en sus territorios y que sean propiedad o estén controlados, directa o indirectamente, por las personas o entidades enumeradas en [el anexo de la resolución que impone sanciones] o [designado por el Comité de Sanciones e involucrado o cómplice en ordenar, controlar o dirigir de otro modo la comisión de abusos graves contra los derechos humanos contra personas en el [Estado afectado], incluso participando o cómplice en la planificación, orden, orden o realizar ataques, en violación del derecho internacional, incluidos bombardeos aéreos, contra poblaciones e instalaciones civiles; o por personas o entidades que actúen en su nombre o personas y entidades que actúen por cuenta de dichas personas o en su nombre o bajo su dirección], y decide además que todos los Estados miembros velarán por que se impida que cualquier fondo, activo financiero o recurso económico se haga disponibles por sus nacionales o por cualquier persona o entidad dentro de sus territorios, para o en beneficio de las personas o entidades enumeradas en [anexo de la resolución que impone sanciones] o personas designadas por el Comité.",1
"168","Entre esas preocupaciones cabe destacar una: el deterioro de la situación de seguridad en las últimas semanas y meses.",0
"169","Según ellos, los niños quedaron huérfanos a consecuencia del conflicto y el SLA se ocupa de ellos.",1
"170","La persona que apareció en la grabación fue identificada como Ahmad Abu Adas, residente de Beirut, de 22 años.",0
"171","Una operación similar llevada a cabo en Pristina el 18 de noviembre dio lugar a la detención de seis personas.",1
"172","Por lo tanto, en muchos sentidos se trataba de un ejercicio de legislación.",0
"173","La Comisión considera que los crímenes de violencia sexual cometidos en Darfur pueden equivaler a violación como crimen de lesa humanidad o esclavitud sexual como crimen de lesa humanidad.",1
"174","En la mañana del 24 de mayo, ocho soldados de las F-FDTL que realizaban una patrulla de observación en las colinas fueron atacados y contenidos por un grupo de personas armadas desde una posición más alta.",1
"175","23. También sigue habiendo preocupación por Emarat Kavkaz (QE.E.131.11), una organización terrorista en el Cáucaso septentrional dirigida por Doku Khamatovich Umarov (QI.U.290.11). El grupo fue responsable de múltiples ataques en la Federación Rusa.",1
"176","21. A mediados de noviembre se produjo una escalada del enfrentamiento armado entre las fuerzas de seguridad serbias y el autodenominado Ejército de Liberación de Presevo, Medveda y Bujanovac (UCPMB) en la zona de seguridad terrestre.",1
"177","Muchas de las matanzas no tuvieron lugar en la calle, sino en las casas de posibles manifestantes o incluso de civiles inocentes que eran blanco de las fuerzas de seguridad.",1
"178","11. La presencia activa de milicias étnicas y comunitarias sigue siendo una importante fuente de inestabilidad, particularmente en la parte occidental del país, que en los últimos meses ha sido escenario de violentos enfrentamientos interétnicos.",1
"179","Pero las actividades provocadoras de Eritrea no se han limitado a emitir declaraciones de guerra.",1
