"","en_ar_TRANSFORMERS","VerConf"
"15","وشدد العديد من أعضاء المجلس على أن التنفيذ الكامل للقرار 2118 (2013) لم يتحقق بعد، وأن المجلس بحاجة إلى مواصلة الرصد اليقظ للجهود الرامية إلى تحقيق القضاء على برنامج الجمهورية العربية السورية للأسلحة الكيميائية إلى أن يتم ذلك، فضلا عن القضاء على استخدام الأسلحة الكيميائية التي تنتهك أحكام القرار 2118 (2013).",1
"16","12 - يشير إلى ما قرره في القرار 2161 (2014) من أن تكفل جميع الدول عدم إتاحة أي أموال أو أصول مالية أو موارد اقتصادية، بصورة مباشرة أو غير مباشرة، لصالح تنظيم الدولة الإسلامية في العراق والشام أو جبهة النصرة أو أي أفراد أو جماعات أو مؤسسات أو كيانات أخرى مرتبطة بتنظيم القاعدة، من جانب رعاياها أو من جانب أشخاص داخل أراضيها، ويؤكد من جديد ما قرره في القرار 1373 (2001) من أن تحظر جميع الدول على رعاياها أو أي أشخاص وكيانات داخل أراضيها إتاحة أي أموال أو أصول مالية أو موارد اقتصادية أو خدمات مالية أو غيرها من الخدمات ذات الصلة، بصورة مباشرة أو غير مباشرة، للأشخاص الذين يرتكبون أعمالا إرهابية أو يحاولون ارتكاب أعمال إرهابية أو يسهلون ارتكابها أو يشاركون فيها، أو لصالح الكيانات التي يملكها أو يتحكم فيها، بصورة مباشرة أو غير مباشرة، هؤلاء الأشخاص والأشخاص والكيانات الذين يعملون باسم هؤلاء الأشخاص أو بتوجيه منهم؛",1
"17","38 - وقال إنه نظراً إلى إلحاح الحالة الراهنة، يجب أن تكون جهود المجتمع الدولي فورية ومنسقة وحازمة.",1
"18","إن جمهورية كوريا الشعبية الديمقراطية ترفض رفضا قاطعا القرار المناهض لجمهورية كوريا الشعبية الديمقراطية بشأن حقوق الإنسان الذي خُلق على أساس المؤامرات والأكاذيب والتضليل، والذي فرضته الولايات المتحدة وغيرها من البلدان المعادية بطريقة متشددة وتعسفية.",1
"19","”ويؤكد مجلس الأمن من جديد أن التهديد المتزايد الذي يشكله المقاتلون الإرهابيون الأجانب هو جزء من القضايا والاتجاهات والتطورات الناشئة المتصلة بالقرارين 1373 (2001) و 1624 (2005)، ويشجع لجنة مكافحة الإرهاب على عقد اجتماعات خاصة في عام 2015 بمشاركة الدول الأعضاء والمنظمات الدولية والإقليمية ذات الصلة لمناقشة سبل وقف تدفق المقاتلين الإرهابيين الأجانب، ومنع الإرهابيين من استغلال الإنترنت ووسائط الإعلام الاجتماعية لتجنيد الأعمال الإرهابية والتحريض عليها، مع احترام حقوق الإنسان والحريات الأساسية، وامتثالا للالتزامات الأخرى بموجب القانون الدولي؛ ويلاحظ في هذا الصدد أهمية عقد اللجنة اجتماعات في المناطق المتضررة بشأن المسائل المتصلة بولاية اللجنة.",1
"20","(ب) يشجع الدول على اتخاذ التدابير المناسبة لحماية قطاعها الذي لا يستهدف الربح من إساءة استعمال تمويل الإرهاب؛",0
"21","وأخيرا، نعلم أن الطريق إلى الديمقراطية ليس خطيا.",0
"22","وتشكل إعادة التجنيد في حد ذاتها انتهاكا خطيرا، ولكنها تقوض أيضا بشكل خطير قدرة البرامج على العمل، وثقة الأطفال في إعادة تأهيلهم دون مضايقة.",0
"23","خامسا - فريق الأنموفيك المشترك في بغداد:",0
"24","وينص البرنامج أيضا على استعراض قطاع الدفاع وإصلاحه من خلال التشريعات المناسبة.",0
"25",":: لا يزال مصير فرحان أحمد عيسى مجهولا، ولا يزال مفقودا.",0
"26","ويشجع مجلس الأمن صراحة، في قراره 1977 (2011)، اللجنة المنشأة عملا بالقرار 1540 (2004) على الاستفادة - من بين مصادر أخرى - من خبرات القطاع الخاص ذات الصلة.",0
"27","وينبغي للمجتمع الدولي - بما في ذلك من خلال رعاية الأمم المتحدة - أن يستخدم النفوذ الدبلوماسي وأن يوفر المساعدة التقنية في مجالات من قبيل الإصلاحات السياسية والأمنية وإصلاحات قطاع العدالة، وصياغة دساتير وأطر قانونية جديدة، والمؤسسات الانتخابية، وإجراء الانتخابات، في جملة أمور.",1
"28","وأشاروا إلى أن عدم سماح إثيوبيا بالمضي قدما في ترسيم الحدود بالكامل، فضلا عن القيود المستمرة والمتزايدة المفروضة على عمل البعثة، يثير تساؤلات خطيرة بشأن قدرة البعثة على الاستمرار في الأجل الطويل.",1
"29","وإذ يطالب أطراف النزاع بممارسة ضبط النفس ووقف الأعمال العسكرية بجميع أنواعها، بما في ذلك عمليات القصف الجوي،",1
"30","ويتضمن برنامج العمل اقتراحات ملموسة لتحسين التشريعات والضوابط الوطنية والمساعدة والتعاون الدوليين، ويدعو الدول إلى تلبية الاحتياجات الخاصة للأطفال المتأثرين بالصراعات المسلحة.",0
"31","49 - ومن الواضح أنه عندما تبدأ بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد انسحابها من بيراو في 21 تشرين الأول/أكتوبر 2010، قد لا تكون القوات الوطنية لجمهورية أفريقيا الوسطى على الفور في وضع يمكنها من نشر قوات إضافية والإبقاء عليها.",1
"32","ومن بين هذه الشواغل، لا بد من إبراز ما يلي: تدهور الحالة الأمنية في الأسابيع والأشهر الأخيرة.",1
"33","وهذا التزام دولي يجب على الدول أن تفي به لضمان العدالة لضحايا هذه الأحداث المؤسفة.",1
"34","٢٩٥ - وبالإضافة إلى ذلك، وبالنظر إلى الطابع التمييزي لأسباب سياسية المتمثل في القتل المنهجي والواسع النطاق للمدنيين، فإن هذه الأعمال قد تصل إلى حد جريمة الاضطهاد بوصفها جريمة ضد الإنسانية.",0
"35","وفي ذلك الصدد، أود أن أشدد مرة أخرى على أنه، على النقيض من بعض الحالات الأخرى المعروفة جيدا التي تنطوي على مطالبات إقليمية لا أساس لها وغير مشروعة، بما فيها تلك التي تحت الذريعة المصطنعة لرعاية مجموعات الأقليات العرقية، تم الاعتراف بحق الشعب الفلسطيني في تقرير المصير وإقامة دولته.",1
"36","2 - الشكل الذي يبين خليج لايونيون وجزيرة كونيخو، الملحق بقطاع غواسكاران والمؤكد أنه يخضع لسيادة هندوراس بموجب حكم محكمة العدل الدولية الصادر في 11 أيلول/سبتمبر 1992، والذي أكده كذلك الحكم الصادر في 18 كانون الأول/ديسمبر 2003 الذي أعلن فيه عدم قبول طلب إعادة النظر المقدم من السلفادور بشأن قطاع غواسكاران.",1
"37","المقرر عقدها يوم الثلاثاء 15 كانون الأول/ديسمبر 2009، الساعة 20/10",0
"38","مجلس الأمن وعن المرحلة",0
"39","وفي هذا المناخ الذي يسوده انعدام الأمن على نطاق واسع، تتعرض حرية آراء الأحزاب السياسية للتهديد أو التقييد.",1
"40","وفي الوقت نفسه، يتحتم على جميع أصحاب المصلحة الصوماليين، ولا سيما المؤسسات الاتحادية الانتقالية، أن ينفذوا وعودهم بحل التحديات السياسية والاقتصادية والأمنية الهائلة التي تواجههم.",1
"41","”ويكرر مجلس الأمن إدانته الشديدة لجميع انتهاكات القانون الدولي الساري ويطالب الأطراف في الصراعات المسلحة بالامتثال الصارم للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان والقانون الدولي للاجئين، وبتنفيذ جميع قرارات مجلس الأمن ذات الصلة.",1
"42","ووفقا لهذه السياسة، لم تتردد حكومتي، بمجرد أن علمت بالوجود غير المرغوب فيه للمتمردين الأوغنديين لجيش الرب للمقاومة، في إعطاءهم إنذارا نهائيا بمغادرة الأراضي الوطنية فورا.",1
"43","ويكتسي التعاون والتنسيق في مجال مراقبة الحدود فيما بين الدول المتاخمة أهمية خاصة في توفير المراقبة والتغطية الفعالتين على طول الحدود الواسعة المفتوحة والسهلة الاختراق.",0
"44","وتُمول الموارد المخصصة للقطاعات الرئيسية مثل المياه والصحة والتغذية بنسبة تقل عن 40 في المائة.",0
"45",":: قدمت اليونيسيف إلى 385 12 طفلا خدمات أساسية للدعم النفسي الاجتماعي من خلال شركاء في محافظات حماة والقنيطرة وحلب وطرطوس وحمص واللاذقية ودمشق، وشمل ذلك تقديم الدعم إلى 437 1 طفلا في الوعر، وهي منطقة يصعب الوصول إليها في محافظة حمص، من خلال منظمة غير حكومية شريكة محلية جديدة.",0
"46","في جلسة مجلس الأمن 6900، المعقودة في 15 كانون الثاني/يناير 2013، فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",0
"47","ويرى الفريق أن خطر تنظيم القاعدة لا يزال يتنوع، مع تطور مجموعة من الشركات المنتسبة المرتبطة ارتباطاً فضفاضاً، وظهور أفراد وخلايا متطرفة ذاتياً تعتمد على أيديولوجية تنظيم القاعدة.",1
"48","استراتيجية مكافحة الإرهاب: تنسيق وكالات إنفاذ القانون",0
"49","ويبدو أن مهمة التعامل مع جيش الرب للمقاومة متروكة إلى حد كبير لحكومات المنطقة.",0
"50","وستؤدي الحكومة خدمة كبيرة لنظامها القضائي إذا اتخذت خطوات لإلغاء المرسوم الذي ينشئ المحاكم.",1
"51","لجنة مجلس أوروبا المعنية بجهاز مجلس أوروبا",0
"52","فعلى سبيل المثال، وجدت اللجنة أن النساء اللاتي ذهبن إلى السوق أو كن يبحثن عن المياه في ترني، شمال دارفور، اختطفن واحتجزن لمدة يومين أو ثلاثة أيام واغتصبهن أفراد من الجيش في آذار/مارس 2003.",0
"53","ووجود قوة الحراسة أمر بالغ الأهمية للحفاظ على جو من الأمن من أجل منع رشو الشهود وتمكينهم من الوصول إلى مرافق المحكمة دون خوف.",0
"54","ويقدر العدد الإجمالي للمشردين داخلياً الجدد والقدامى بـ 1.3 مليون شخص.",0
"55","ومع ذلك، فإن الحالة داخل كوسوفو اليوم لا تزال تبعث على القلق.",1
"56","اتفق أعضاء هذا الوفد مع رئيس الوزراء على ""بدء تنظيم الوجود الفلسطيني المسلح في المخيمات لضمان الأمن.""",0
"57","وتبرهن الهجمات المتكررة على الدبلوماسيين الدوليين في بنغازي وطرابلس على هذا الوجود.",0
"58","تضطلع الأمم المتحدة بدور محوري في مكافحة الإرهاب العالمي.",0
"59","وكان التقدم المحرز في مسائل أخرى بطيئا.",0
"60","3 - تُنتج النظم التجارية المزدوجة الاستخدام لأغراض مدنية ولكن يمكن استخدامها أيضا في الهجمات الإرهابية.",0
"61","وقتل أحد ضباط الشرطة الوطنية على يد جندي بعد ذلك بحوالي 30 دقيقة.",0
"62","107- وفيما يلي النسب المئوية لمجموع المخصصات السنوية المنفقة في فترة الأشهر الستة تموز/يوليه 2005 - كانون الثاني/يناير 2006:",0
"63","وفي حين أن التهديد الذي يشكله تنظيم القاعدة بوصفه منظمة إرهابية عالمية قد انخفض، فإن التهديد الذي تشكله فروعه وأفكاره المعدية لا يزال قائما.",1
"64","وفي أيار/مايو من هذا العام، خلال مناقشة المجلس (انظر S/PV.6314) لتقرير الأمين العام (S/2010/169) عن بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو، استرعينا انتباه المجتمع الدولي إلى حقيقة أن الحالة في الإقليم أبعد ما تكون عن الاستقرار وأنها تثير قلقا خاصا.",1
"65","معدل وفيات الأمهات (لكل 000 100 مولود حي)",0
"66","وقد وقعت هذه التجاوزات بين آب/أغسطس 2002 وكانون الثاني/يناير 2003.",1
"67","وبالتالي، هناك سبب كاف لليقظة.",0
"68","أولا، يرتبط التنفيذ الفعال لنظام الجزاءات ارتباطا مباشرا بنوعية المعلومات المتاحة عن أهدافه.",0
"69","وبناء على ذلك، وصف الأمين العام الأحداث الأخيرة في زمبابوي بأنها "" ظلم كارثي "".",1
"70","- المساهمة، حسب الاقتضاء، في تطوير السلطات الإيفوارية لقدرات الشرطة والدرك، ولا سيما من خلال التدريب على مكافحة الشغب، واستعادة وجودها في جميع أنحاء [البلد المتضرر].",0
"71","الفقرات 45-49 و53-55؛ والفقرة 53؛ والفقرات 33-34.",0
"72","وإذ يدين استمرار التدفق غير المشروع للأسلحة داخل [الدولة المتضررة] وفي داخل [الدولة المتضررة] وفي داخلها، انتهاكا للقرارات [التي تنص على الجزاءات]، وإذ يعلن تصميمه على مواصلة الرصد الدقيق لتنفيذ حظر توريد الأسلحة وغيره من التدابير المنصوص عليها في قراراته المتعلقة بـ [الدولة المتضررة]،",1
"73","وعلى الرغم من التقدم الملحوظ، لا تزال بيئة سياسية وأمنية واقتصادية معقدة تشكل تحديات هائلة للقادة المنتخبين المكلفين بتطبيع بلدنا.",1
"74","وأغلقت وسائط الإعلام في كيسمايو في كانون الأول/ديسمبر 2008.",0
"75","10 - يدعو جميع الدول إلى أن تتخذ، وفقا لسلطاتها القانونية وتشريعاتها الوطنية وبما يتسق مع القانون الدولي، إجراءات تعاونية لمنع الاتجار غير المشروع بالأسلحة النووية أو الكيميائية أو البيولوجية ووسائل إيصالها وما يتصل بها من مواد، وذلك لمواجهة ذلك الخطر؛",1
"76","وتشدد حكومة الأردن على ضرورة أن توقف الحكومة الإسرائيلية بشكل كامل وفوري أعمال العنف والتدمير التي ترتكبها في قطاع غزة وفي جميع أنحاء الأرض الفلسطينية المحتلة، وأن تضع حدا لسياستها التدميرية المتعمدة للبنية التحتية والبيوت الفلسطينية، وأن تكف فورا عن أعمال القتل خارج نطاق القانون، وفرض العقاب الجماعي، وغير ذلك من ممارساتها ضد الشعب الفلسطيني.",1
"77","ولا يمكن للدول أن تهزأ بهذا الالتزام الأساسي دون أن تعاني من عواقب سلوكها المعادي للقانون.",1
"78","ومما لا شك فيه أن الإرهاب يمثل واحدا من أخطر التهديدات للسلم والأمن الدوليين، ولا يزال سببا رئيسيا للقلق ليس بالنسبة للدول الأفريقية فحسب، بل أيضا بالنسبة للمجتمع الدولي بأسره.",1
"79","”بيد أن مجلس الأمن يدين بشدة استمرار تجنيد الأطفال واستخدامهم في الصراعات المسلحة في انتهاك للقانون الدولي الساري، وقتل الأطفال وتشويههم، والاغتصاب وغيره من أشكال العنف الجنسي، والاختطاف، ومنع وصول المساعدات الإنسانية إلى الأطفال، والهجمات التي تشنها أطراف الصراع المسلح على المدارس والمستشفيات.",1
"80","أولاً - حالة المجلس في عام 2011: تقييم الحالة واستشراف المستقبل",0
"81","المقرر عقدها يوم الأربعاء، 31 كانون الثاني/يناير 2001، الساعة 40/13",0
"82","ولا تزال اللجنة تعتقد أن هذه الموجزات السردية تساعد على تحسين شفافية النظام وعداله، لا سيما وأن اللجنة سعت إلى تحسين الموجزات السردية الحالية والجديدة، بما في ذلك عن طريق استخدام المعلومات التي جُمعت أثناء الاستعراض الشامل.",0
"83","وأكرر التأكيد على أن موظفي الأمم المتحدة يجب ألا يتعرضوا أبدا للتهديد أو العقوبة لقيامهم بعملهم، الذي يستند إلى ميثاق الأمم المتحدة، وفي هذه الحالة، بتكليف من مجلس الأمن.",1
"84","الطريض الوليد الناصر",0
"85","وقد ثبت أن الإنترنت أداة إرهابية قيمة بسبب التحديات التقنية والقانونية الكبيرة التي ينطوي عليها رصد وتنظيم محتواها.",0
"86","ويتطلب إرساء سيادة القانون بشكل حقيقي في جمهورية الكونغو الديمقراطية تشكيل جيش ونظام قضائي وقوة شرطة فعالة وديمقراطية.",1
"87","وقد عبأت وكالات المعونة استجابة، ومع ذلك فإن التدفقات غير العادية تبرز الحاجة إلى خطط متطورة للإنذار المبكر والتأهب لحالات الطوارئ.",0
"88","ويبدو واضحا أن الإرهابيين المدرجين في القائمة ما زالوا يحاولون جمع الأموال وتلقيها من المتعاطفين خارج نطاق دائرتهم المباشرة.",0
"89","وكما أكدت في مناسبات عديدة، لا يمكن تحقيق الأمن والاستقرار الدائم لأي بلد، بما في ذلك تيمور - ليشتي، إلا بالتنمية الاجتماعية والاقتصادية المقابلة.",0
"90","139 - وشرع الفريق أيضا في إجراء مناقشات مع أفرقة الخبراء الأخرى بشأن النهج الجديدة الممكنة إزاء متطلبات الإبلاغ التي تفرضها اللجان الثلاث على الدول، وبشأن سبل إنشاء نظم أكثر كفاءة لتبادل المعلومات.",0
"91","ومعظم الدول لديها قدرة محدودة على تجميد الأموال والأصول دون تأخير، ولا تنفذ أي دولة تدابير كافية لحماية المنظمات التي لا تستهدف الربح من تمويل الإرهاب.",1
"92","وفي الوقت نفسه، يرى وفدي أن الممثلين المنتخبين للأقليات العرقية في الجمعية، ولا سيما الممثلون الصرب، سيحققون نتائج أفضل وفوائد أكبر لجمهورهم إذا ما اعتمدوا موقفا أكثر تشاركية، بدلا من الانسحاب من الهيئة التشريعية عندما يواجهون وضعا صعبا.",1
"93","ومعظم الطرق رمال أو مسارات ترابية تصبح غير قابلة للسد خلال هذه الفترة، فتقطع أجزاء كبيرة من الأراضي لفترات طويلة.",0
"94","وإذ يشير إلى قراره 2133 (2014) وإلى قيام المنتدى العالمي لمكافحة الإرهاب بنشر ""مذكرة الجزائر بشأن الممارسات الجيدة لمنع وإنكار فوائد الاختطاف من أجل الفدية على يد الإرهابيين""، وإذ يدين بشدة حوادث الاختطاف وأخذ الرهائن التي ترتكبها الجماعات الإرهابية لأي غرض من الأغراض، بما في ذلك بهدف جمع الأموال أو الحصول على تنازلات سياسية، وإذ يعرب عن تصميمه على منع الاختطاف وأخذ الرهائن اللذين ترتكبهما الجماعات الإرهابية وكفالة الإفراج الآمن عن الرهائن دون دفع فدية أو تنازلات سياسية، وفقا للقانون الدولي الساري، وإذ يهيب بجميع الدول الأعضاء أن تمنع الإرهابيين من الاستفادة بشكل مباشر أو غير مباشر من دفع الفدية أو من التنازلات السياسية، وأن تكفل الإفراج الآمن عن الرهائن، وإذ يعيد تأكيد ضرورة تعاون جميع الدول الأعضاء تعاونا وثيقا خلال حوادث الاختطاف وأخذ الرهائن التي ترتكبها الجماعات الإرهابية،",1
"95","وفي حين أن القرصنة على طول سواحل الصومال لا تزال تشكل تحديا بالغ الأهمية، فإننا ندعو المجتمع الدولي إلى ألا ينسى أن حل تلك المشكلة يجب أن يأتي من البر وليس من البحر، وأن الحل الشامل للصراع الصومالي يجب أن يعالج جميع الأسباب الجذرية للقرصنة والتحديات الأخرى، بما في ذلك استغلال الموارد البحرية وإلقاء النفايات السامة.",1
"96","وبالإضافة إلى ذلك، قدم صندوق النقد الدولي دعما مباشرا للميزانية بمبلغ 60 مليون دولار في عام 2007 في إطار المساعدة الطارئة التي يقدمها بعد انتهاء الصراع، وسيقدم الدعم نفسه لعام 2008، بما في ذلك دعم الانتخابات وإعادة التأهيل الاجتماعي.",0
"97","وإذ يساورها بالغ القلق إزاء تواتر أعمال العنف في أنحاء كثيرة من العالم ضد الصحفيين والعاملين في وسائط الإعلام والأفراد المرتبطين بها في الصراعات المسلحة، ولا سيما الهجمات المتعمدة التي تنتهك القانون الإنساني الدولي،",0
"98","وتشمل هذه الأنشطة تمويل الحملات، والأنشطة الانتخابية والنظام العام، والوصول إلى وسائط الإعلام، وإساءة استخدام الموارد الحكومية لأغراض سياسية.",1
"99","12 - يعرب عن تأييده لأن تدرج، حسب الاقتضاء، في اتفاقات السلام وولايات بعثات الأمم المتحدة لحفظ السلام، تدابير محددة وكافية لنـزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، مع إيلاء اهتمام خاص لتسريح الجنود الأطفال وإعادة إدماجهم، فضلا عن وضع ترتيبات واضحة ومفصلة لتدمير فائض الأسلحة والذخائر، ويشير في هذا الصدد إلى بيان رئيسه المؤرخ 8 تموز/يوليه 1999()؛",0
"100","ويكرر مجلس الأمن مطالبته القوات المسلحة بأن تخضع نفسها بالكامل للسيطرة المدنية.",1
"101","وإذ يدين بصفة خاصة العنف الجنسي الذي ترتكبه [الميليشيات والجماعات المسلحة، فضلا عن عناصر القوات المسلحة وقوات الشرطة الوطنية] وغيرها من دوائر الأمن والاستخبارات، وإذ يشدد على الحاجة الملحة إلى أن تقوم [الدولة المتضررة]، بالتعاون مع [بعثة حفظ السلا وغيرها من الجهات الفاعلة المعنية، بوضع حد لهذا العنف وتقديم مرتكبيه، وكذلك كبار القادة الذين يعملون تحت إمرتهم، إلى العدالة، وإذ يهيب بالدول الأعضاء أن تساعد في هذا الصدد وأن تواصل تقديم المساعدة الطبية والإنسانية وغيرها من المساعدات إلى الضحايا.",1
"102","وإذا لم يتم وقف الأموال فورا، فإن هذا العمل سيهدد مكاسب بناء الدولة التي حققتها السلطة الفلسطينية، بما في ذلك زيادة الحكم الرشيد الذي يعود بالنفع على الشعب الفلسطيني وتطوير قوات الأمن التي تتمسك بالقانون والنظام في الضفة الغربية.",1
"103","يدين إدانة تامة استمرار أشكال التمييز والعنف ضد النساء والفتيات، ولا سيما العنف الرامي إلى منع الفتيات من الالتحاق بالمدارس...",1
"104","إن اتخاذ قرار الجمعية العامة 57/145 (”التصدي للتهديدات والتحديات العالمية“) بتوافق الآراء في 16 كانون الأول/ديسمبر 2002، بمبادرة من الاتحاد الروسي، يؤكد من جديد اعتراف المجتمع الدولي بالحاجة إلى اعتماد نهج شامل إزاء هذه المسألة.",0
"105","ويجب أن يكون المنظور الجنساني جزءا من إصلاح وتدريب جميع قوات الأمن.",1
"106","وفي الحالة الراهنة، البالغة الصعوبة، ندعو الإسرائيليين والفلسطينيين على حد سواء إلى منع تصعيد الصراع والبدء في تنفيذ التزاماتهم بموجب خارطة الطريق، بغية إحياء آفاق السلام.",1
"107","أ - غرف بيئية قادرة على محاكاة جميع ظروف الطيران التالية:",0
"108","وبالنسبة لاثنين منهما، لا يمكن إثبات الدوافع، في حين أن الثالثة تعتبر ذات طابع إجرامي.",0
"109","وتشعر السلطات الفرنسية بقلق بالغ إزاء استمرار تدهور الحالة في الجزء الشمالي من قطاع غزة خلال الأسبوع الماضي.",1
"110","وأفاد المنسق الخاص بأن الهدوء العام في جنوب لبنان مستمر، على الرغم من وقوع بعض الحوادث الأمنية خلال الفترة المشمولة بالتقرير، بما في ذلك إطلاق الصواريخ باتجاه إسرائيل من جنوب لبنان خلال النزاع المتصل بغزة في تموز/يوليه وآب/أغسطس وحادثين أمنيين خطيرين في منطقة مزارع شبعا (قطاع الشرق).",0
"111","S/RES/1674 (2006)، الفقرة 19 من المنطوق",0
"112","وقد قدمت لائحة الاتهام في منتصف كانون الأول/ديسمبر.",0
"113","جيم - اتخاذ القرار 1546 (2004)",0
"114","وتشير المعلومات التي لدينا إلى أن المبعوث الخاص يستكشف بالفعل ترتيبات جديدة من شأنها أن تستوعب عدم امتثال إثيوبيا لأحكام اتفاق الجزائر ورفضها لقرار لجنة الحدود وأن تسكت عن ذلك.",1
"115","وأشار الأمين العام في تقريره الأخير عن حماية المدنيين في الصراعات المسلحة (S/2012/376) إلى أن ""الحالة المأساوية لحماية المدنيين لم تتغير كثيراً"" وأن هناك حاجة واضحة إلى ترجمة الالتزامات المعيارية إلى تحسينات ملموسة في حماية المدنيين على أرض الواقع.",1
"116","67 - وما زلت أشعر بالقلق إزاء استمرار القيود المفروضة على حصول المواطنين العاديين في جميع أنحاء شمال مالي على الخدمات الأساسية، بما في ذلك الرعاية الصحية والمدارس.",1
"117","والحجج التي ساقها الجانب الأرميني مثيرة للدهشة بشكل خاص لأنها صدرت في مجلس الأمن الذي اتخذ في عام ١٩٩٣ سلسلة من أربعة قرارات تدين استخدام القوة ضد أذربيجان واحتلال أراضيها وتطالب بالانسحاب الفوري والكامل وغير المشروط لقوات الاحتلال الأرمينية من جميع الأراضي المحتلة في أذربيجان )القرارات ٨٢٢ )١٩٩٣( و ٨٥٣ )١٩٩٣( و ٨٧٤ )١٩٩٣( و ٨٨٤ )١٩٩٣( و ٨٨٤ )١٩٩٣(.",1
"118","ومما يبعث على القلق الشديد أن الخطاب يتصاعد على كلا الجانبين، جمهورية السودان وجمهورية جنوب السودان.",1
"119","ومن شأن هذا الخيار أن تكون له ميزة الاستفادة من استعداد الدول الأعضاء للالتزام بأصول بحرية قوية للتصدي للتهديدات الناشئة على البر.",0
"120","المقرر عقدها يوم الاثنين 24 تشرين الأول/أكتوبر 2011، الساعة 15/10",0
"121","ومن المتوقع أن يصدر الحكم في حزيران/يونيه 2012.",0
"122","ومن جانبنا، نربط مسألة الشرعية مباشرة بإجراء الانتخابات، التي يجري التحضير لها في الهيئة المشتركة لإدارة الانتخابات.",1
