"","en_ar_TRANSFORMERS","VerCoop"
"16","وأضاف هذا المشارك أن دور المنسقين السياسيين قد تغير تغيراً هائلاً في السنوات العشر الأخيرة، وأصبح جزءاً أكثر رسمية وإضفاء الطابع المؤسسي على كل وفد.",1
"17","59 - وفي إطار الجهود المتواصلة التي تبذلها البعثة لزيادة بناء القدرات المحلية وتوخيا لتحقيق وفورات في التكاليف، اقترحت البعثة تحويل ثماني وظائف دولية وأربع وظائف لمتطوعي الأمم المتحدة إلى وظائف وطنية في سنة الميزانية 2008-2009، كما أوصي بإنشاء وحدة محفوظات تتألف من موظف دولي واحد وموظف وطني واحد من فئة الخدمات العامة.",0
"18","10 - يوعز إلى المديرية التنفيذية بإتاحة المعلومات الواردة في الدراسات الاستقصائية والتقييمات الوطنية لمكافحة الإرهاب، عند موافقة الدول الأعضاء المعنية عليها، ويشير كذلك على المديرية التنفيذية بإتاحة المعلومات عن القدرات الإقليمية لمكافحة الإرهاب، عند موافقة لجنة مكافحة الإرهاب عليها، حسب الاقتضاء؛",1
"19","(د) دعم الأعمال أو الأنشطة التي يقوم بها المدرجون في القائمة وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بالطالبان والتي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان؛",0
"20","صدقت فنزويلا على الاتفاقية في 7 تموز/يوليه 1983.",0
"21","ويكتسي التعاون والتنسيق في مجال مراقبة الحدود فيما بين الدول المتاخمة أهمية خاصة في توفير المراقبة والتغطية الفعالتين على طول الحدود الواسعة المفتوحة والسهلة الاختراق.",0
"22","وهي تشجع المجتمعات المحلية على الرصد الذاتي والتصدي للآراء الاستقطابية دون تدخل الحكومة كوسيلة أكثر استدامة لمنع التطرف داخل المجتمعات المحلية.",1
"23","وتواصل اللجنة رصد وتقييم الطبيعة المتغيرة للتهديد الذي يشكله تنظيم القاعدة والمنتسبون إليه على السلام والأمن الدوليين وتكييف نهجها التنفيذي تبعا لذلك من أجل توفير استجابات فعالة وكفؤة لهذه التهديدات.",0
"24","58 - ومنذ إنشاء الصندوق الاستئماني لمكافحة الإرهاب، أصبحت المديرية التنفيذية أكثر كفاءة في إدارة التبرعات دعما لأنشطتها.",1
"25","ويقع على عاتق السلطات في جمهورية الكونغو الديمقراطية التزام دولي بالتأكد من عدم استخدام بلدها كقاعدة يأتي منها هؤلاء المتمردون لمهاجمة أوغندا.",0
"26","وفي نهاية المطاف، وحالما تُعتبر الظروف مناسبة، ينبغي لهذه المؤسسات والمشاريع أن تتضافر مع الحكومات المعنية لتنسيق الجهود الرامية إلى اعتماد خطة متماسكة لتنمية البلد، وإيجاد سبل عيش للسكان، والنهوض بحالة حقوق الإنسان.",1
"27","(ب) توصيات بشأن الإجراءات التي يمكن اتخاذها لتعزيز التصدي للخطر الذي يشكله هؤلاء المقاتلون الإرهابيون الأجانب؛",1
"28","وإذ تسلم بأن التعاون الدولي وأي تدابير تتخذها الدول الأعضاء لمنع الإرهاب ومكافحته يجب أن يمتثلا امتثالا تاما لميثاق الأمم المتحدة،",1
"29","وكان هناك تأييد واسع النطاق للجهود الرامية إلى تحييد الخطر الذي يشكله تحالف القوى الديمقراطية والجماعات المسلحة الأخرى في شرق جمهورية الكونغو الديمقراطية، بما فيها القوات الديمقراطية لتحرير رواندا، على النحو المطلوب في القرار 2147 (2014).",1
"30","2 - يكرر تأكيد أن المسؤولية الرئيسية عن مواصلة تنفيذ اتفاق السلام بنجاح تقع على عاتق السلطات في البوسنة والهرسك نفسها، وأن استمرار استعداد المجتمع الدولي والمانحين الرئيسيين لتحمل العبء السياسي والعسكري والاقتصادي لجهود التنفيذ والتعمير سيتحدد بامتثال جميع السلطات في البوسنة والهرسك ومشاركتها النشطة في تنفيذ اتفاق السلام وإعادة بناء مجتمع مدني، وبخاصة بالتعاون التام مع المحكمة الدولية ليوغوسلافيا السابقة، وفي تعزيز المؤسسات المشتركة وتيسير عودة اللاجئين والمشردين؛",1
"31",":: تقارير الأمين العام: عن سلامة وأمن العاملين في مجال تقديم المساعدة الإنسانية وحماية موظفي الأمم المتحدة (A/68/489)، وعن حماية المدنيين في النزاعات المسلحة (على سبيل المثال، S/2013/689)، والتقارير ذات الصلة عن الولايات الصادرة عن مجلس الأمن (على سبيل المثال، تقرير الأمين العام عن الصومال (S/2014/140)).",1
"32","وتواجه هذه البلدان أيضا تحديات كبيرة في تدفقات اللاجئين عبر الحدود.",0
"33","افتتحت الجلسة الساعة 10/18.",0
"34","المقرر عقدها يوم الاثنين، 14 آب/أغسطس 2000، الساعة 15/10",0
"35","ونحن نعتبر أي انحراف عن ذلك المبدأ أمرا غير مقبول خشية أن تتحول الحالة الهشة في المقاطعة إلى زعزعة واسعة الانتشار.",0
"36","ولا يمكن تحديد الطرق الأخرى في الجنوب الأفريقي والطرق المحتملة في غرب أفريقيا من خلال هذه الطريقة، بسبب ارتفاع مستويات إنتاج الماس المحلي.",0
"37","82 - وعلى الرغم من أن تنظيم القاعدة وحركة الطالبان ومن يرتبط بهما قد لا يحتفظان بالهياكل والنظم المتطورة التي توفر السيطرة التشغيلية على أتباعهما، فإن لديهما مع ذلك قدرة عسكرية عاملة، على النحو الذي أشار إليه مثلا التمرد في أفغانستان.() وعلى الصعيدين التعبوي والتشغيلي، استخدم تنظيم القاعدة وحركة الطالبان وشركاؤهما معدات عسكرية ومدنية على السواء، مثل أجهزة اللاسلكي القصيرة المدى والهواتف المحمولة والساتلية.",0
"38","وإذ يعرب عن تضامنه العميق مع ضحايا الإرهاب وأسرهم، ويؤكد أهمية مساعدة ضحايا الإرهاب، وتقديم الدعم لهم ولأسرهم من أجل التغلب على ما يتكبدونه من خسائر وأحزان، ويسلم بالدور المهم الذي يؤديه الضحايا وشبكات الناجين في مكافحة الإرهاب، بوسائل منها التكلم بشجاعة ضد الإيديولوجيات العنيفة والمتطرفة، وإذ يرحب في هذا الصدد بالجهود والأنشطة التي تضطلع بها الدول الأعضاء ومنظومة الأمم المتحدة في هذا الميدان، بما فيها فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، ويشجع تلك الجهود والأنشطة،",1
"39","وبالإضافة إلى ذلك، شارك فريق الخبراء التابع للجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004) بانتظام في جلسات الإحاطة المواضيعية ذات الاهتمام المشترك التي نظمتها لجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001).",0
"40","8 - الحالة في الصومال (17 آذار/مارس 1992؛ 21 تشرين الثاني/نوفمبر 2012).",0
"41","28 - وبالنظر إلى الحالة السائدة، أعتقد أن البعثة لا تزال تؤدي دورا هاما في مجال تحقيق الاستقرار ورصد وقف إطلاق النار على أرض الواقع، وأود أن أوصي بتمديد ولايتها لفترة ستة أشهر أخرى حتى 30 نيسان/أبريل 2006.",1
"42","باء - التزامات بلدان المنطقة",0
"43","وباب التفتيش على مخازن الذخيرة وقواعد النقل والإمداد والصيانة مفتوح.",0
"44","ويعزل مبوجي - مايي عن بقية البلد بسبب تعطل السكك الحديدية وتعطل الطرق.",0
"45","ومن أجل التعجيل بالعملية وكفالة توافر عدد كاف من الموظفين المؤهلين، تؤيد اللجنة استكشاف سبل توسيع قاعدة المرشحين المحتملين.",1
"46","وأُجبر ضباط وحدة الاستجابة السريعة الشرقيون على الاحتماء في مبنى إدارة المقاطعة، ثم أحاط الجمع بالمبنى، وبدأ الجمهور، مسلحا بالسكاكين والعصي والسواطير والصخور، يصيح بتهديدات بالقتل ضد ضباط الوحدة الشرقيين.",0
"47","وبالإضافة إلى ذلك، ينفذ الاتحاد الأوروبي نظاما فوق وطني يهدف إلى ضمان تجميد أموال الإرهابيين وأصولهم داخل جميع الدول الأعضاء فيه.",0
"48","وتوغو بلد ذو فرص متنوعة، وهي بلد عبور له ميناء مياه عميقة.",0
"49","”ويرحب مجلس الأمن بالتقدم الكبير الذي أحرزته تيمور - ليشتي في تعزيز القدرات المؤسسية وقدرات الموارد البشرية لمؤسسات الدولة، بما في ذلك في قطاعات الأمن والعدالة والحوكمة التي تؤدي أدوارا حاسمة في صون الاستقرار وتعزيز الديمقراطية.",1
"50","وبما أن فئات الجرائم الدولية قد أدرجت في موضع آخر من التقرير، فقد يكفي هنا التذكير بإيجاز بمختلف طرائق المشاركة في الجرائم الدولية التي تنشأ عنها مسؤولية جنائية فردية.",1
"51","وترى هذه الدولة أن هذا النشاط، بأشد أشكاله تطرفاً، كثيراً ما يؤدي إلى التطرف العنيف وفقدان الأرواح.",0
"52","وأنشأت ثلاث دول إطارا قانونيا يتناول متطلبات الأمن البحري ونفذت جزئيا المعايير الإلزامية الدولية لأمن الموانئ والسفن وفقا للمدونة الدولية لأمن السفن والمرافق المرفئية.",1
"53","المقرر عقدها كجلسة خاصة يوم الثلاثاء 30 نيسان/أبريل 2013، الساعة 30/9",0
"54","وأوصى فريق الخبراء، في جملة أمور، بإنشاء آلية دولية مستقلة ذات مهام متزامنة لرصد عملية المساءلة المحلية وإجراء تحقيقات مستقلة.",1
"55","وتحسب النقاط الـ 601 المتبقية بدقة ثانية من القوس (30 مترا).",0
"56","14 - وستعزز المديرية التنفيذية مشاركتها مع المنظمات الدولية والإقليمية ودون الإقليمية في جميع أنحاء العالم من أجل مساعدتها في إعداد و/أو تنفيذ خطط العمل ذات الصلة بمكافحة الإرهاب وإشراكها بشكل مباشر أكثر في تلبية احتياجات الدول في مجال بناء القدرات، على النحو الذي حددته اللجنة من خلال تقييمات التنفيذ الأولية والزيارات القطرية.",1
"57","ويثني الاتحاد الأوروبي على الجماعة الاقتصادية لدول غرب أفريقيا، ورئيسها، والرئيس جون كوفور، وأمينها التنفيذي، محمد بن شامباس، والوسيط العام، عبد السلام أبو بكر، لجهودهم الدؤوبة التي أدت إلى النتيجة الناجحة.",0
"58","36 - وفي الجلسة الرسمية 47، المعقودة في 20 حزيران/يونيه 2014، استمع الفريق العامل إلى إحاطة قدمها المدعي العام للمحكمة الجنائية الدولية عن أعمال المحكمة فيما يتعلق بالأطفال والنزاع المسلح.",1
"59","وجرى الترحيب أيضا بعقد الدورة المفتوحة الأولى لمجلس السلام والأمن بشأن الأطفال المتأثرين بالصراعات المسلحة واقتراحه تعيين مبعوث خاص للاتحاد الأفريقي معني بالأطفال في أفريقيا.",1
"60","ونحن بحاجة إلى السلام لمواجهة التحديات الضخمة الأخرى أيضا.",0
"61","وهناك ما لا يقل عن 90 بلداً متأثراً بالأجهزة المتفجرة المرتجلة، ويتبادل تنظيم القاعدة وفروعه المعلومات والمشورة بشأن أفضل السبل لتشييدها واستخدامها.",0
"62","وفي 16 آب/أغسطس، افتتح وزير الدولة لشؤون الشباب والرياضة برلمان الشباب (انظر S/2010/85، الفقرة 105) الذي يتألف من 130 شابا (منهم 66 فتاة) تتراوح أعمارهم بين 12 و 17 سنة، وسيخضعون للتدريب لمدة سنتين على مهارات القيادة والتمثيل، كما تتاح لهم فرص المشاركة في الحوار بشأن قضايا السياسات التي تؤثر على الشباب.",1
"63","وقد اقترحت الدانمرك، بوصفها عضوا حاليا في مجلس الأمن، أن تنشئ اللجنة آلية استعراض مستقلة، في شكل أمين للمظالم، يمكنها أن تقبل التماسات مباشرة من الأطراف المدرجة في القائمة التي تدعي أنها أدرجت ظلما في القائمة وأنها غير قادرة على رفعها من القائمة.",1
"64","وتقع أي اتجاهات نحو التطرف في المؤسسات التعليمية تحت سلطة وزارة التعليم.",0
"65",":: 19 أيلول/سبتمبر 2005، قُتل شخص وجرح اثنان في انفجار صغير في مكتب الإعلام الكويتي في بيروت.",0
"66","ومن المفترض أن تكون الوثيقة تسربا من المصادر إلى السيد ووكر، المسؤول الدبلوماسي الأساسي في صحيفة صنداي تايمز، 1 شارع بينينغتون، لندن E98 1ST.",0
"67","ولأغراض ما تقدم، فإن الإقامة في بلد من بلدان الشمال الأوروبي لفترة إجمالية لا تقل عن 7 سنوات تعادل الإقامة في الدانمرك.",0
"68","وتتولى الإدارة مسؤولية تنظيم وإدارة فيلق حماية كوسوفو، فضلا عن تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها من الكوارث.",0
"69","في جلسة مجلس الأمن 6492، المعقودة في 28 شباط/فبراير 2011، فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",1
"70","”يشير مجلس الأمن إلى قراريه 1265 (1999) المؤرخ 17 أيلول/سبتمبر 1999 و 1296 (2000) المؤرخ 19 نيسان/أبريل 2000 بشأن حماية المدنيين في الصراعات المسلحة، وكذلك إلى بيانات رئيسه المؤرخة 12 شباط/فبراير 1999 (S/PRST/1999/6)، و 15 آذار/مارس 2002 (S/PRST/2002/6)، و 20 كانون الأول/ديسمبر 2002 (S/PRST/2002/41)، ويؤكد من جديد ضرورة إبقاء حماية المدنيين في الصراعات المسلحة بندا هاما في جدول أعمال المجلس.",1
"71","- تفتيش الشحنات المشبوهة المتجهة إلى إيران ومنها في الموانئ والمطارات (الفقرة 14 من القرار 1929 (2010))",0
"72","وفي حين أنه من المتوقع أن تؤدي التدابير المبينة في هذا التقرير إلى تعزيز قدرة البعثة على رصد الامتثال للاتفاق، تظل الأطراف مسؤولة عن كفالة عدم ارتكاب الانتهاكات من جانب قواتها العسكرية/الأمنية.",1
"73","وبعيدا عن النطاق المباشر لتدابير الجزاءات، أبدت الوفود اهتماما خاصا بتقاسم تجربتها في إعادة الإرهابيين إلى المجتمع.",1
"74",":: تشجيع الدول على تعزيز الحوار والتعاون، بما في ذلك مع المجتمع المدني والأوساط الأكاديمية والصناعة، للتصدي للخطر الذي يشكله الاتجار غير المشروع بالأسلحة النووية أو الكيميائية أو البيولوجية ووسائل إيصالها وما يتصل بها من مواد",1
"75","الصومال ليست طرفاً في هذا البروتوكول.",0
"76","٤٣ - ومع انتهاء المظاهرة في الساعة ٠٠/١٣ من يوم الجمعة، ٢٨ نيسان/أبريل، اتضح في الصباح الباكر حدوث تغيير ملموس في الغلاف الجوي للحشود التي تجمعت أمام قصر الحكومة.",0
"77","وينبغي لها، كحد أدنى، أن تخفف من معاناتهم بإلزام الدولة السودانية بالتعويض عن الأضرار التي لحقت بهم.",0
"78","ودعا بعض الأعضاء المجلس إلى تقديم مساهمة أقوى في الجهود الرامية إلى إعادة الطرفين إلى المفاوضات من أجل التوصل إلى حل يقوم على وجود دولتين، وقالوا إن المستوطنات الإسرائيلية تقوض آفاق السلام.",1
"79","”ويحيط مجلس الأمن علما بولايتي بعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية وبعثة الأمم المتحدة في جنوب السودان للمساعدة في حماية المدنيين في المناطق المتضررة من جيش الرب للمقاومة ودعم نزع سلاح مقاتلي جيش الرب للمقاومة وتسريحهم وإعادة إدماجهم في بلدانهم.",0
"80","ويؤكد مجددا ضرورة عقد مؤتمر دولي في أقرب وقت ممكن لتنفيذ بلاغ جنيف من أجل تيسير عملية سياسية بقيادة سورية تفضي إلى مرحلة انتقالية من شأنها أن تعجل بإنهاء الصراع في سوريا.",1
"81","157 - ومثل الفريق أمام الفريق العامل المنشأ عملا بالقرار 1566 (2004) لمناقشة الإرهاب والجزاءات.",1
"82","33 - ويقدر الفريق أن الإنتاج الليبري الحالي سيكون في منطقة تتراوح بين 000 130 و 000 150 قيراط سنويا.",0
"83","2 - الحالة في غينيا - بيساو",0
"84","وقد دأبت هيئات مكافحة الإرهاب التي عهد إليها المجلس بتنفيذ القرار 1373 (2001)، في العقد التالي، على معالجة الصلات المحتملة بين الإرهاب والجريمة المنظمة باعتبارها تقع ضمن اختصاصها.",0
"85","12 - يؤكد أن معاهدة عدم انتشار الأسلحة النووية تعترف في المادة الرابعة بالحق غير القابل للتصرف للأطراف في المعاهدة في تطوير بحوث الطاقة النووية وإنتاجها واستخدامها للأغراض السلمية دون تمييز ووفقا للمادتين الأولى والثانية، ويشير في هذا السياق إلى المادة الثالثة من معاهدة عدم انتشار الأسلحة النووية والمادة الثانية من النظام الأساسي للوكالة الدولية للطاقة الذرية؛",1
"86","وتؤيد اللجنة أيضا التوصية بتوجيه طلبات الحصول على المعلومات بمزيد من الدقة إلى الدول التي يعمل فيها أو يسعى فيها فرد أو كيان مدرج في القائمة إلى العمل، دون فرض عبء إبلاغ ثقيل للغاية على تلك الدول.",1
"87","وفي هذا الصدد، يشجع المجلس البلدان المتضررة من جيش الرب للمقاومة التي لم تضع بعد إجراءات عمل موحدة لاستقبال أطفال جيش الرب للمقاومة وتسليمهم إلى الجهات الفاعلة المدنية المعنية بحماية الأطفال على أن تفعل ذلك.",1
"88","58 - وشعرت بقلق بالغ عندما أغلقت الجمهورية العربية السورية حدودها مع لبنان أمام سائقي الشاحنات اللبنانيين بعد انسحاب القوات السورية والعتاد العسكري وجهاز الاستخبارات.",0
"89","90 - وتشدد الفقرة 4 من القرار 1624 (2005) على أنه ""يجب على الدول أن تكفل امتثال أي تدابير تتخذها لتنفيذ الفقرات 1 و 2 و 3 من هذا القرار لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان، وقانون اللاجئين، والقانون الإنساني الدولي"".",1
"90","وقد أثار هذا العنصر الأخير بعض القلق لدى خبراء حقوق الإنسان، بمن فيهم المقرر الخاص السابق المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب، على أساس أنه قد يكون من المبالغة في دعوة الدول إلى تجريم الدعوة غير المباشرة.",0
"91","13 - وفي ختام الاجتماع، وافق الطرفان على البلاغ الصادر عن مبعوثي الشخصي، الوارد في المرفق الأول لهذا التقرير، وكررا تأكيد التزامهما بمواصلة المفاوضات في مانهاست في موعد يحدد بالاتفاق المشترك.",1
"92","وبالإضافة إلى ذلك، سنّت أربع دول تشريعات تجرّم توفير ملاذ آمن للإرهابيين ومؤيديهم من جانب أفراد أو منظمات.",0
"93","وفي عام 2012، أُبلغ عن ما مجموعه 283 1 حالة اختطاف بدوافع الإرهاب، ويمكن لرهينة واحدة أن تسلم فدية من سبعة أرقام إلى أيدي الإرهابيين.",0
"94","وبدلا من ذلك، ينبغي للدول أن تضع إطارا قانونيا واضحا وكاملا ومتسقا يحدد الأعمال الإرهابية بوصفها أعمالا إجرامية خطيرة، ويعاقب على هذه الأعمال وفقا لخطورتها، ويساعد المحاكم على تقديم الإرهابيين إلى العدالة.",1
"95","وستخلف السيدة تاغليافيني السيد ديتر بودن في هذه المهام.",0
"96","وترحب اللجنة بالأنشطة التي تضطلع بها المديرية التنفيذية للجنة مكافحة الإرهاب في هذا المجال، وتشجع المديرية التنفيذية على مواصلة تطويرها، بتوجيه من اللجنة، عن طريق تعميق إطارها التحليلي، بما في ذلك من خلال مشاركة المديرية التنفيذية في الفريق العامل المعني بحماية حقوق الإنسان في سياق مكافحة الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب.",1
"97","”ويطلب مجلس الأمن إلى الأمين العام أن يقدم تقريرا بحلول نهاية مرحلة تصفية بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد في 30 نيسان/أبريل 2011 عن التقدم المحرز في شرق تشاد بشأن حماية المدنيين، ولا سيما النساء والأطفال، بما في ذلك'1` وضع اللاجئين والمشردين داخليا والحلول الدائمة لتشردهم؛'2` وصول المساعدات الإنسانية دون عوائق وبأمان وفي الوقت المناسب، بما في ذلك حركة وأمن العاملين في مجال تقديم المساعدة الإنسانية وإيصال المعونة الإنسانية؛'3` التدابير المتخذة للتصدي لانتهاكات القانون الإنساني وقانون حقوق الإنسان وقانون اللاجئين؛'4` الحالة الأمنية العامة من حيث تأثيرها على الحالة الإنسانية.",1
"98","يطلب إلى الأمين العام ووكالات الأمم المتحدة ذات الصلة القيام، عن طريق جملة أمور منها التشاور مع النساء والمنظمات التي تقودها النساء، حسب الاقتضاء، بوضع آليات فعالة لتوفير الحماية من العنف، بما في ذلك على وجه الخصوص العنف الجنسي، للنساء والفتيات في مخيمات اللاجئين والمشردين داخليا التي تديرها الأمم المتحدة وحولها، وكذلك في جميع عمليات نزع السلاح والتسريح وإعادة الإدماج، وفي جهود إصلاح قطاع العدالة والأمن التي تدعمها الأمم المتحدة.",1
"99","32 - وتشجع اللجنة المديرية التنفيذية على تكثيف حوارها مع الدول الأعضاء والمنظمات الإقليمية، بما في ذلك خلال الزيارات التي تقوم بها اللجنة، بشأن وضع استراتيجيات شاملة ومتكاملة لمكافحة الإرهاب، وتحسين وصقل الهياكل القائمة وآليات التنفيذ من أجل تعزيز قدرات الدول والمنظمات على صياغة الاستراتيجيات، والاستفادة الكاملة من الزيارات القطرية لإسداء المشورة للحكومات بشأن وضع هذه الاستراتيجيات، ومواصلة العمل عن كثب داخل المكتب والأفرقة العاملة التابعة لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب.",1
"100","يقرر أن يؤذن [لقوة المنظمة الإقليمية] باتخاذ جميع التدابير اللازمة، في حدود إمكانياتها وقدراتها، للاضطلاع بالمهام التالية، وفقا للاتفاق الذي سيتم التوصل إليه بين [المنظمة الإقليمية] والأمم المتحدة:...",0
"101","38 - يشجع جميع الدول الأعضاء، ولا سيما الدول التي تقترح الإدراج في القائمة ودول الإقامة أو الجنسية، على أن تقدم إلى اللجنة معلومات إضافية عن هوية الأفراد والجماعات والمؤسسات والكيانات المدرجة أسماؤهم في القائمة وغيرها من المعلومات، مشفوعة بالوثائق الداعمة، بما في ذلك آخر المستجدات المتعلقة بالمركز التشغيلي للكيانات والجماعات والمؤسسات المدرجة أسماؤها في القائمة، وحركة الأفراد المدرجة أسماؤهم في القائمة أو سجنهم أو وفاتهم، وغير ذلك من الأحداث الهامة، متى توافرت تلك المعلومات؛",1
"102","والحكومة حديثة العهد بمرتبات الخدمة المدنية، رغم أنها لا تزال مدينة بثلاثة أشهر من متأخرات مرتبات الخدمة المدنية اعتبارا من عام 2008.",0
"103","18 - وخلال الفترة المشمولة بالتقرير، كان للهجمات التي شنتها جماعات متطرفة في شمال مالي وتصاعد العنف في شمال شرق نيجيريا أثر سلبي على الأمن والاستقرار في المنطقة، وكان من دواعي القلق بوجه خاص أثر العنف المتصل بجماعة بوكو حرام في الجزء الجنوبي من النيجر وفي أقصى شمال الكاميرون.",0
"104","وتوصي اللجنة بشدة بأن تنشئ الدول الأعضاء مثل هذه الهيئات الوطنية لتنسيق ومناقشة مسائل مكافحة الإرهاب.",1
"105","والأهم من ذلك، يحثها على التقيد الصارم بالموعد النهائي لإجراء انتخابات ديمقراطية بحلول تشرين الثاني/نوفمبر 2015.",1
"106","وفي بعض المناطق، توجد أدلة موثوقة على تعرض الأطفال المفرج عنهم من الجماعات المسلحة للمضايقة والتهديد بإعادة تجنيدهم، ولا يزال انعدام الأمن يعوق عملية إعادة الإدماج.",0
"107","في جلسة مجلس الأمن 5798، المعقودة في 11 كانون الأول/ديسمبر 2007، أدلى رئيس مجلس الأمن باسم المجلس بالبيان التالي فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين نتيجة للأعمال الإرهابية"":",1
"108","45- ينبغي لحكومة نيبال أن تكفل اتخاذ تدابير حماية كافية للأطفال الضحايا والشهود والأطفال المتهمين بارتكاب جرائم في سياق النزاع، وأن تضمن كذلك مشاركة الأطفال في أي أنشطة للعدالة الانتقالية لضمان الاستماع إلى تجاربهم في النزاع.",1
"109","63 - ولا تزال هناك شواغل هامة بشأن القيود المفروضة على حرية التعبير.",0
"110","وفيما يتعلق بمناقشة التغيير الإجرائي، يوافق الفريق على أن أي إصلاح ينبغي أن يعزز الطابع القانوني للنظام الذي سعى المجلس إلى إرسائه على مدى السنوات الأخيرة، وذلك مثلا بإضافة معايير ”مرتبطة“ على النحو المبين في القرار 1617 (2005) وإدخال موجزات سردية لأسباب الإدراج في القائمة وآليات الاستعراض الواردة في القرار 1822 (2008).",1
