"","en_ar_DEEP","MatConf"
"11","وقُتل أحد ضباط الشرطة الوطنية وأصيب اثنان.",1
"12","60 - ومن المهم بشكل خاص تطوير عمليات تبادل عملية بين مجلس الأمن والجمعية العامة بشأن وقف التدفقات غير المشروعة للأسلحة والذخائر إلى مناطق الأزمات والصراعات.",1
"13","ويمر ما يقدر بنحو 30 ألف سفينة عبر هذه الممرات البحرية كل عام.",0
"14","وبموجب الفقرة 8 من القرار نفسه، كلف المجلس اللجنة بتحديد الأفراد والكيانات التالية: (أ) المشاركة في أعمال تهدد السلام أو الأمن أو الاستقرار في الصومال أو تقديم الدعم لها؛ (ب) تصرفوا بشكل ينتهك الحظر العام والكامل على توريد الأسلحة؛ (ج) عرقلة إيصال المساعدة الإنسانية إلى الصومال أو وصولها.",0
"15","o بتاريخ 8 تشرين الثاني/نوفمبر 2014، استهدفت قوات النظام مدينة الشيخ مسكين، مما أدى إلى مقتل 5 أشخاص، بينهم طفلان وامرأتان.",1
"16","المقرر عقدها يوم الجمعة 14 كانون الثاني/يناير 2011، الساعة 15/10 صباحاً",0
"17","ومن الأهمية بمكان مشروع قانون حماية البيانات الشخصية، الذي هو الآن في الإجراءات البرلمانية.",0
"18","قرار مجلس الأمن 1868 (2009)، مرجع سابق. 29",0
"19","الأدلة المعروضة على اللجنة تثبت تورط عضو البرلمان لياندرو إسحاق في الحدث. ونتيجة لهذا الحادث، توفي أحد ضباط الشرطة الوطنية وأصيب جنديان من قوات الدفاع.",1
"20","وأدى ذلك إلى نزوح أكثر من 1000 مدني. ولم تتخذ الشرطة أي إجراء ضد الجنجويد.",1
"21","2. المسألة الهندية الباكستانية (S/628).",0
"22","ج. القانون الذري بتاريخ 29 نوفمبر 2000، (مجلة القوانين لعام 2001، العدد 3 بند 18)، آخر تحديث: مجلة القوانين لعام 2004، العدد 70 و العدد 96",0
"23","وقد أجرينا اتصالات عديدة معهم على مختلف المستويات لحثهم على اتخاذ خطوات حازمة وسريعة لنزع سلاح هؤلاء الإرهابيين واعتقالهم وتسليمهم إلى بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية لمحاكمتهم على جرائم ضد الإنسانية ارتكبت على مر السنين.",0
"24","(ب) الأحداث التي يمكن أن تنسب إليها المسؤولية الفردية",0
"25","صادق المغرب على هذه الاتفاقية بموجب الظهير الشريف رقم 4-93-38 الصادر في 2008",0
"26","وتتورط هذه الجماعات المسلحة في أنشطة إجرامية، بما في ذلك الاستغلال غير المشروع للموارد الطبيعية، والاتجار بالأسلحة والذخيرة، والتهريب، وفرض الضرائب غير القانونية.",1
"27","وأعربت دولة أو دولتان عن قلقها من أن تجميد أصول إحدى المنظمات غير الربحية المدرجة في القائمة قد يؤدي إلى عدم قدرتها على تمويل المشاريع الخاضعة لسيطرتها مثل دور الأيتام أو المستشفيات أو مراكز اللاجئين.",1
"28","""معلومات عن امتثال أطراف النزاعات المسلحة لإنهاء تجنيد الأطفال أو استخدامهم في النزاعات المسلحة في انتهاك للقانون الدولي المنطبق وغيره من الانتهاكات المرتكبة ضد الأطفال المتضررين من النزاعات المسلحة؛",0
"29","وذكرت السيدة تاجليافيني أن الكثير من القتال توقف منذ التوقيع على وثائق مينسك، لكن القتال لا يزال مستمرًا في بعض المواقع الاستراتيجية، بما في ذلك ضواحي المدينة في ميناء ماريوبول على البحر الأسود وحول مطار دونيتسك. في تجاهل لوقف إطلاق النار واتفاقات مينسك.",1
"30","ولدى دائرة الجمارك والهجرة النيوزيلندية ترتيبات مماثلة.",0
"31","المقرر عقدها يوم الثلاثاء، 24 كانون الثاني/يناير 2006، الساعة 00/10",0
"32","أودعت صكوك التصديق في 19 آب/أغسطس 2004",0
"33","إن كل دفعة فدية تشجع على المزيد من عمليات الاختطاف، مما يخلق حلقة مفرغة من التشجيع وكذلك التمويل لتنظيم القاعدة والجماعات التابعة له.",1
"34","69 - وكان من المقرر أن يصبح هؤلاء ""المجندون"" الجدد ما يشير إليه السكان المدنيون وآخرون باسم ""الجنجويد""، وهو مصطلح دارفوري تقليدي يشير إلى قاطع طرق مسلح أو خارج عن القانون يمتطي حصانا أو جملا.",1
"35","ويمنع نقص الأراضي وفرص العمل، فضلاً عن انعدام الأمن، العديد من العائدين من الاستقرار في مجتمعاتهم الأصلية.",0
"36","وعادة ما يتم تنظيم هذه الدورات والبرامج بشكل مخصص.",0
"37","إن قرب الحدود الباكستانية يوفر لهذه القوات القوة البشرية والمواد والملاذ.",1
"38",":: النظر في كيفية تأثير العدد غير المسبوق من الأزمات العنيفة على التشرد وحقوق النساء والفتيات وحمايتهن، مع الإشارة على وجه الخصوص إلى الكيفية التي يسهم بها التهديد المستمر الناجم عن التطرف العنيف في التشرد وفي الانتهاكات الجسيمة التي تعاني منها النساء والفتيات",1
"39","وكما هو منصوص عليه في السوابق القضائية ذات الصلة، فإن المسؤولية عن جريمة غير تلك المتفق عليها في الخطة المشتركة لا تنشأ إلا إذا كان من المتوقع، في ظل ظروف القضية، أن يرتكب مثل هذه الجريمة فرد أو آخر من أعضاء الجماعة قامت المجموعة والمتهم بتحمل هذه المخاطرة عن طيب خاطر.",1
"40","تبدأ فترة الصيانة عادةً عندما يتولى صاحب العمل المشروع لأول مرة، ويبدأ في تشغيله أو استخدامه.",0
"41","تم دمج تحليل النوع الاجتماعي في تقييم الاحتياجات بعد الصراع والتدريب المرتبط به. تم إجراء تقييم تجريبي لاحتياجات ما بعد الصراع يراعي النوع الاجتماعي.",0
"42",":: هناك جانب آخر بالغ الأهمية للمتابعة وهو تعويض ضحايا الانتهاكات.",1
"43","هناك معلومات تفيد بأنه نظرا لسيطرتهم الشاملة الفعالة على الأفراد العسكريين الذين يقاتلون إلى جانب الجماعات المتمردة، فقد كانوا على علم ببعض الجرائم التي ارتكبها هؤلاء العسكريون أو، على الأقل، كان ينبغي عليهم أن يعرفوا ما كان يحدث لكنهم فشلوا في اتخاذ أي إجراء. إجراءات لوقف ارتكاب الفظائع.",1
"44","29- وهناك أيضاً تطورات إيجابية هامة. عندما انتهى النزاع المسلح في عام 1999، كان هناك نقص شبه كامل في الهياكل الاقتصادية والتشريعات.",1
"45","391- ولا شك أن نهب القرى والاستيلاء على الماشية والمحاصيل والسلع المنزلية وغيرها من الممتلكات الشخصية للسكان على يد القوات الحكومية أو الميليشيات الخاضعة لسيطرتها يشكل جريمة حرب.",1
"46","وأود أن أغتنم هذه الفرصة لأعلن أن خدمتي بصفتي المدعي العام الرئيسي لقوة العمل سوف تنتهي في 23 آب/أغسطس.",0
"47","بل إن بعض المسؤولين اعترفوا بأن الحكومة سوف تتعقب المتمردين في القرى، حيث أنهم سيختبئون فيها، وأن الدمار كان سببه القتال الذي أعقب ذلك.",1
"48","موقع راجا نيوز الإيراني الصحفي مصطفى أحمدي - بتاريخ 28 شباط/فبراير 2012",0
"49","كما اندلعت اشتباكات خطيرة بين الفصائل المسلحة في مخيم عين الحلوة للاجئين الفلسطينيين، وأصيبت مدرسة تابعة لوكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى، مما تسبب في أضرار مادية.",1
"50","11 - في الساعة 10/11 من يوم 14 تموز/يوليه 1998 قام تشكيل أمريكي مكون من طائرتين باختراق حاجز الصوت فوق منطقة القوش (مدينة الموصل).",0
"51","وقد أنشأت المملكة المتحدة فرقة عمل للعدالة الجنائية، قامت بتدريب العاملين القضائيين على الاستماع إلى قضايا مكافحة المخدرات في كابول، حيث تم تقديم 65 قضية أدت إلى إدانة 15 شخصًا وإصدار أحكام تتراوح بين ثلاث إلى تسع سنوات.",1
"52","وقامت الميليشيا الماوية بمجموعة من المهام خلال النزاع، بما في ذلك التعبئة والدعاية والعمل كجيش غير نظامي وتوفير أشكال مختلفة من ""إنفاذ القانون"" في المناطق الخاضعة لسيطرة الحزب الشيوعي النيبالي (الماوي). وعندما تم حل الميليشيا الماوية، أفادت التقارير أن العديد من أعضائها انضموا إلى رابطة الشباب الشيوعي التابعة للحزب الشيوعي النيبالي (الماوي)، وهي منظمة أعيد تأسيسها في ديسمبر/كانون الأول 2006.",1
"53","التهديد غير التقليدي: المواد الكيميائية والبيولوجية والإشعاعية والنووية والمتفجرات، آسيا",1
"54","(ب) لم يكن هناك تنسيق بين جميع الأجهزة الأمنية المتواجدة في مسرح الجريمة.",1
"55","بوتان إيسي ألين ""هاران كونار""، وزير إعادة تأهيل وتدريب الميليشيات في الحكومة الاتحادية الانتقالية",0
"56","المزيد من أعمال العنف تحدث في سوق كومورو. قُتل مدني واحد، وأصيب ثمانية أشخاص بجروح ناجمة عن أسلحة نارية، وأصيب أربعة آخرون بجروح خطيرة.",1
"57","رابعا. تجميد الأصول ألف - اتجاهات تمويل الإرهاب 41 - بشكل عام، لا يزال تنظيم القاعدة والجماعات المنتسبة إليه يمثلون جهات فاعلة منخفضة التكلفة، لا سيما عندما يتعلق الأمر بخطط الهجمات الدولية.",1
"58","2. الوضع في سيراليون",0
"59","وبعد حوالي كيلومترين من نقطة التفتيش، اقترب نحو 20 جنديًا يرتدون زيًا مموهًا من مجموعة النساء وأمروهم بالتوقف، بينما أطلقوا النار عليهم.",1
"60","قرار مجلس الأمن 1296 (2000)، المرجع السابق. 18",0
"61","(ز) تسهيل الاستيراد والتصدير بين البلدين.",0
"62","2. يقرر إبقاء المسألة قيد نظره.",0
"63","2. الحزب الشيوعي النيبالي الماوي (CPN-M)",0
"64","وتشير التقديرات الجديدة التي نشرتها وزارة الصحة العامة والسكان في مارس/آذار 2013 إلى أن الإصابات الجديدة بفيروس نقص المناعة البشرية بين الشباب الذين تتراوح أعمارهم بين 15 و24 عاماً انخفضت بنسبة 21% خلال الفترة 2011-2013.",0
"65","وكما هو واضح، لا توجد نية إجرامية مطلوبة للمحاكمة بموجب هذا القانون.",0
"66","8 - ينبغي للمنظمات الإقليمية ودون الإقليمية أن تعمل مع لجنة مكافحة الإرهاب والمنظمات الدولية الأخرى لتسهيل تبادل أفضل الممارسات في مجال مكافحة الإرهاب، ومساعدة أعضائها على الوفاء بالتزاماتهم بمكافحة الإرهاب؛",0
"67","ادعاءات الاختفاء والاعتقالات في المناطق التي تسيطر عليها MPCI حالات الاختفاء",1
"68","قائمة الجزاءات المفروضة على لجنة مجلس الأمن المنشأة عملا بالقرار 1718 (2006)",1
"69","المقرر عقدها يوم الجمعة، 17 حزيران/يونيه 2005، الساعة 20/10 صباحا",0
"70","وبعد ثلاثة أيام، اشترى الجليل 25 بندقية هجومية من طراز AK-47 ومدفعين مضادين للطائرات و6 رشاشات من طراز PKM و4 قذائف RPG-2 وذخيرة.",1
"71","وتم تسجيل سفينتين فقط لدى شركة سابيد للشحن نفسها.",0
"72","المقرر عقدها يوم الاثنين، 30 كانون الأول/ديسمبر 2002، الساعة 05/12 ظهرا",0
"73","الجمهورية التشيكية طرف في معظم الاتفاقيات المشار إليها في مرفق هذه الاتفاقية، باستثناء الصكين 7 و8.",0
"74","ITT- Automotive Europe GmbH (سابقًا Alfred Taves GmbH)",0
"75","وفي حين أشارت بعض التقارير إلى عدد قليل من حوادث تدمير القرى والممتلكات الخاصة التي ارتكبتها الجماعات المتمردة، فإن معظم التقارير تحتوي على روايات شهود تشير إلى أن غالبية القرى دمرت أثناء هجمات الجنجويد، والتي كانت في كثير من الأحيان تحت إشراف وبمشاركة دعم القوات المسلحة لحكومة السودان.",1
"76","(ف) حظر إساءة معاملة المقاتلين الأعداء العاجزين عن القتال والالتزام بمعاملة المقاتلين الأعداء الأسرى معاملة إنسانية؛",1
"77","ورغم أن التهديد الذي تشكله الميليشيات غير الشرعية في الغرب سوف يظل منخفضاً، مقارنة بأغلب مناطق أفغانستان، فإن هذه القوات تظل تشكل ثاني أكبر خطر على الأمن الإقليمي، بعد التهديدات المرتبطة بالمخدرات والتهديدات الإجرامية.",1
"78","تم استدعاء الرجال الذين كانوا محتجزين في كايلك وتم إطلاق النار عليهم أمام الجميع أو بدلاً من ذلك تم أخذهم بعيدًا وإطلاق النار عليهم.",1
"79","وتشير التحقيقات التي أجرتها بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي والشرطة الوطنية الهايتية في عملية الاختطاف والقتل اللاحق إلى أن الجريمة كانت ذات دوافع سياسية، لكنها لم تتمكن من تحديد المسؤولية بشكل قاطع.",1
"80","ولم تكن متاحة حتى 30 نيسان/أبريل 2001 سوى 3.5 مليون جرعة ضد الحصبة (إمدادات تكفي ثمانية أشهر تقريباً) ونحو مليون جرعة من لقاح الخناق والشهاق والكزاز (إمدادات تكفي شهرين).",0
"81",":: دعوة مجلس الأمن إلى إنشاء قوة دولية بالتوافق مع الاتحاد الأفريقي لتحييد الجماعات المسلحة ودعم المصالحة الوطنية وبناء المؤسسات الديمقراطية المستقرة في ليبيا",0
"82","وفي حين أن مسؤولي وزارة الصحة لم يعلنوا بعد رسميًا أن المنطقة خالية من الحمى الصفراء، إلا أن الحملة كانت فعالة في احتواء تفشي المرض إلى حد كبير.",0
"83","وأبلغتني الحكومة اللبنانية أيضًا أن الجيش اللبناني زاد من وجوده وأقام نقاط تفتيش جديدة وشدد ضوابطه حول مواقع الجماعات الفلسطينية المسلحة التي تتخذ من الجمهورية العربية السورية مقراً لها إلى الجنوب من بيروت وفي وادي البقاع. وفي 7 تشرين الأول/أكتوبر، شن الجيش اللبناني غارات على مواقع تسيطر عليها جماعات فلسطينية مسلحة تتمركز في سوريا في وادي البقاع، وتم خلالها الاستيلاء على أسلحة.",0
"84","42. قبل أن تبدأ قوات الأمن عملها، رأى الذين تمكنوا من النزول إلى الشوارع أن أحداً لم يبدأ بعد في المسيرة أو يتصرف بطريقة تهديدية أو استفزازية.",1
"85","وفي عرض إضافي للعداء، احتفلت حماس بالذكرى السابعة والعشرين لتأسيسها من خلال استعراض 2000 من مقاتليها المسلحين والصواريخ المحمولة على شاحنات عبر غزة.",1
"86","تنظيم أنظمة التحويلات البديلة، بما في ذلك الأنظمة المماثلة أو المشابهة للنوع المعروف بالحوالة؛ و",0
"87","قرار مجلس الأمن/2113 (2013)، ص 14",0
"88","تحميل الأشخاص الاعتباريين أو الكيانات المسؤولية عن الجرائم المتعلقة بتمويل الإرهاب؛",1
"89","أعمال التعذيب التي يرتكبها السكان المدنيون",1
"90","ويرأس اللجنة الآن رئيس الوزراء وتضم عضوين من كل من الحزب الشيوعي النيبالي الموحد (الماوي) والحزب الشيوعي النيبالي (NC) والحزب الشيوعي اللينيني الموحد (UML) وعضوًا واحدًا من كل من MPRF وMPRF-D وTMDP.",0
"91","صحيفة يوميوري اليابانية الصحفي الياباني Tao Shigeki - بتاريخ 24 شباط/فبراير 2012",0
"92","وفي وادي الحجام سرقوا أسلحة من الشرطة.",1
"93","10 - تشمل التدابير التي اتخذتها الدول الأنشطة المحظورة التي تقوم بها الجهات من غير الدول، على النحو الوارد في الفقرة 2 من القرار 1540 (2004) فيما يتعلق بالأسلحة النووية والكيميائية والبيولوجية ووسائل إيصالها، والضوابط المفروضة على المواد ذات الصلة، وفقا للفقرة 3 من القرار.",1
"94","وواصلت بعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية تقديم المساعدة الفنية في مراجعة ملفات السجناء لتحديد حالات الاحتجاز الطويل قبل المحاكمة لعرضها على السلطات القضائية، بهدف الحد من الاكتظاظ في السجون.",0
"95","(قرار القمة رقم 484 الدورة العادية الحادية والعشرون – 30 مارس 2009)",0
"96","وتم القبض على العديد من الرجال ونقلهم إلى مركز الشرطة.",1
"97","20 - وفي هذا الصدد، من المهم أن يشجع مجلس الأمن، في قراره 1963 (2010)، المديرية التنفيذية للجنة مكافحة الإرهاب على أن تناقش مع الدول الأعضاء، بموافقتها، إمكانية وضع خطة وطنية شاملة ومتكاملة لمكافحة الإرهاب. استراتيجيات الإرهاب التي تتضمن الاهتمام بالعوامل المؤدية إلى الأنشطة الإرهابية، وفقا لالتزاماتها بموجب القانون الدولي. ومن الأمور ذات الصلة أيضا تأكيد المجلس في قراره 1963 (2010) على الدور الذي يمكن أن تؤديه المنظمات الإقليمية ودون الإقليمية في مكافحة الإرهاب، ولا سيما من خلال تعزيز قدرات الدول الأعضاء على التنفيذ الكامل للقرار 1373 (2001) وتيسير عملية مكافحة الإرهاب. تقديم المساعدة التقنية.",0
"98","وتشير معركة السيطرة على بيدوة إلى أن عناصر المعارضة نسقت جهودها للتغلب على قوات الحكومة الاتحادية الانتقالية.",1
"99","قرار مجلس الأمن 1208 (1998)، منطوق القرار 4، 12",0
"100","وبالإضافة إلى ذلك، أصدرت البعثة في 29 تموز/يوليه تقريرا عن انتهاك إنشاء مركز أبخازي ""للضرائب"" على بعد 50 مترا من نقطة تفتيش تابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة، في انتهاك لبروتوكول غالي المؤرخ 12 أيار/مايو 2005 (انظر S/2005/453، الفقرة 4). ).",0
"101","171 - ومن الواضح أن محطة الفاكهة في ميناء أبيدجان تشكل موقعا استراتيجيا لتفريغ البضائع والمعدات العسكرية وتتطلب زيادة رصد عملية الأمم المتحدة في كوت ديفوار.",0
"102","وعلى الرغم من أن وضع كل لاجئ ونازح داخلياً فريد من نوعه، فإن النزوح وانعدام الجنسية يؤدي إلى تفاقم عدم المساواة القائمة بين الجنسين، مما يؤدي إلى تفاقم التمييز والمصاعب التي تواجهها النساء والفتيات.",1
"103","14 - ومع ذلك، أعربت الهيئات الدولية لحقوق الإنسان وغيرها من الهيئات أيضا عن القلق من أن بعض التدابير الرامية إلى التصدي للتحريض ربما كانت مفرطة أو مفرطة وربما انتهكت حقوق الإنسان، بما في ذلك الحق في حرية التعبير والحق في عدم التعرض للتمييز. وقد يؤدي هذا إلى نتائج عكسية، لأنه يخلق خطر عزل مجتمعات معينة عن الجهود الوطنية والدولية لمكافحة الإرهاب.",1
"104","وتواجه هذه البلدان أيضًا تحديات كبيرة تتمثل في تدفقات اللاجئين عبر الحدود.",1
"105","الفقرة الفرعية 3 (و) و (ز)",0
"106","ولم تلتزم دولتان بالموعد النهائي الذي حددته منظمة الطيران المدني الدولي لإدخال وثائق السفر المقروءة آليا.",0
"107","1. اتفاقية عام 1963 بشأن الجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات؛",0
"108","إن نظام العقوبات لن يكون فعالاً إلا إذا تم فهمه جيداً، وخاصة من جانب الدول الأعضاء، التي تعد مشاركتها النشطة أمراً حاسماً في المساهمة في إيجاد قائمة قوية وضمان التنفيذ المناسب بعد ذلك.",0
"109","وعلى الرغم من أوجه النقص هذه، تمكنت المدارس الحكومية من بدء العام الدراسي 2004/2005 في موعده في تشرين الأول/أكتوبر للمرة الأولى منذ ثلاث سنوات، وذلك بفضل توفير المواد التعليمية الممولة من صندوق الإدارة الاقتصادية لحالات الطوارئ.",0
"110","والخطر الرئيسي هنا هو أن أفريقيا سوف تتحول إلى معسكر تدريب، وقاعدة تجنيد، ونقطة عبور للإرهابيين، ومركز لحشد الأموال لتمويل أنشطة غير قانونية أخرى.",0
"111","وفي أمريكا الوسطى ومنطقة البحر الكاريبي، تدير عملية حوار سان خوسيه برامج بشأن التكامل ومنع الإرهاب والتحريض.",0
"112","ويتخذ التمييز بين الجنسين أيضًا شكل استهداف النساء لدفع رشاوى أو غرامات.",1
"113","وأضاف أنه سيكون من غير الواقعي وحتى غير المسؤول توقع أو التخطيط لانسحاب سريع.",0
"114","المقرر عقدها يوم الأربعاء، 30 تشرين الثاني/نوفمبر 2005، الساعة 45/10 صباحا",0
"115","(ب) حل جميع الميليشيات اللبنانية وغير اللبنانية ونزع سلاحها؛",0
"116","نقل الشيخ يوسف إندوهادي أعضاء الميليشيا من مطار باليدوجلي إلى مواقع شمال شرق جوهر.",1
"117","S/AC.29/2003/1/Add.1",0
"118","وتقوم الأحزاب وأجنحتها الشبابية بإغراء الأطفال للمشاركة في المظاهرات التي يكون فيها خطر العنف، وترد الشرطة أحياناً باستخدام القوة المفرطة.",1
"119","وتواتر الهجمات آخذ في الارتفاع، بما في ذلك الهجمات بالصواريخ المدفعية، والمجندون كثيرون.",1
"120","المقرر عقدها يوم الجمعة، 16 أيار/مايو 2003، الساعة 25/13",0
"121","في الوقت الحالي، لا يستهدف نظام العقوبات قدرات القيادة والسيطرة والاتصالات والمعلومات للمجموعات المدرجة.",0
"122","وقوع الخسارة جزئياً أو كلياً خارج الفترة القابلة للتعويض.",0
"123",":: 2 حزيران/يونيه 2005، مقتل الصحفي سمير قصير عندما انفجرت سيارته في شرق بيروت.",1
"124","وعلى الرغم من التقارير التي تشير إلى وجود جماعات مسلحة على طول حدود ولاية غرب بحر الغزال وجنوب دارفور، لم تتمكن البعثة من إجراء تقييم لهذه المناطق بسبب عدم وجود ضمانات أمنية من الجيش الشعبي لتحرير السودان.",1
"125","ومع ذلك، لم تتم صيانتها إلا طالما تم تسجيل المنطقة.",0
"126","ومع ذلك، تجدر الإشارة إلى أنه في حين كان من المفترض رسميًا أن يظل الجيش بمثابة ""الطبقة الثالثة""، مع دور دفاعي في الغالب، بعد الشرطة والدرك، فقد تم استخدام المروحيات، وكذلك الوحدات الأخرى مثل البحرية، على نطاق واسع. تم الإبلاغ عن أنه تم نشرها.",1
"127","وفي كثير من الأحيان، تم تهجير المدنيين قسراً نتيجة للهجوم.",1
"128","3 - فرض مجلس الأمن، بموجب قراره 2140 (2014)، تجميد الأصول وحظر السفر، لفترة أولية مدتها سنة واحدة من تاريخ اتخاذ القرار، على الأفراد والكيانات الضالعين في أعمال أو الذين يقدمون الدعم لها. التي تهدد السلام أو الأمن أو الاستقرار في اليمن.",1
"129","وبالإضافة إلى الأفراد الـ 12 المسجلين في القائمة على أنهم موتى، فإن الفريق على علم بوفاة 7 آخرين من جانب دولة إقامتهم أو جنسيتهم إما إلى اللجنة أو الفريق أو الإنتربول، بالإضافة إلى 13 آخرين تم الإبلاغ عن وفاتهم تم الإبلاغ عنها في مصادر مفتوحة ولكن لم يتم إخطار اللجنة أو الفريق رسميًا بعد.",1
"130","وكما ذكرنا سابقاً، هناك صراع مسلح طويل الأمد، وليس ذو طبيعة دولية، في دارفور بين السلطات الحكومية والجماعات المسلحة المنظمة.",1
"131","ووُصف المهاجمون بأنهم كانوا يرتدون نفس الزي الخاكي الذي يرتديه الجنود الحكوميون، وكانوا مسلحين ببنادق كلاشينكوف من طراز G-3 وقذائف صاروخية.",1
"132","ومع ذلك، تم إجراء تعديل لمراعاة القيمة المتبقية للمعدات والآلات.",0
"133","وتم نشر ما مجموعه 72 في المائة من أفراد الشرطة المقرر نشرهم (5 في المائة منهم من النساء).",1
"134","ويؤكد مجلس الأمن مبدأ عدم الإعادة القسرية للاجئين، على النحو المنصوص عليه في الصكوك ذات الصلة من القانون الدولي، ويرحب بالجهود التي بذلتها البلدان المجاورة [للدولة المتضررة] في الآونة الأخيرة لدعم العودة الطوعية للاجئين إلى أوطانهم بأمان وكرامة، ويحث تلك الدول المضيفة على مواصلة توفير الحماية الدولية [لأولئك] اللاجئين المحتاجين إليها.",0
"135","وقد لاحظ مراقبو منظمة الأمن والتعاون في أوروبا استمرار القتال في العديد من المواقع في منطقتي دونيتسك ولوغانسك، حيث غالبًا ما أصاب القصف المدفعي وقذائف الهاون المناطق السكنية، مما تسبب في وقوع إصابات بين السكان المدنيين.",1
"136","ب. أحكام ازدراء المحكمة الصادرة في الفترة من 16 نوفمبر 2013 إلى 15 مايو 2014",0
"137","إن التدابير التي اتخذتها لمواجهة التمرد في دارفور تمثل انتهاكا صارخا للقانون الدولي.",1
