"","en_ar_DEEPL","VerCoop"
"61","وقد جاء ذلك نتيجة للأولوية التي منحتها المفوضية الأوروبية للبوسنة والهرسك للمضي قدمًا في الإصلاح الهيكلي للشرطة، وذلك بعد فشل البوسنة والهرسك في التوصل إلى اتفاق بشأن الانضمام إلى الاتحاد الأوروبي.",0
"62","نائبا الرئيس أنغولا والجمهورية العربية السورية",0
"63","وبالإضافة إلى ذلك، سافر فريق الرصد مرتين إلى بلجيكا، مرة لحضور ندوة لمنظمة الطيران المدني الدولي ومرة أخرى للاجتماع مع ممثلي منظمة الجمارك العالمية، وكذلك إلى فرنسا لحضور اجتماع للخبراء بشأن الجزاءات المالية المحددة الهدف نظمته فرقة العمل المعنية بالإجراءات المالية وحضور الاجتماع العام الثالث لفرقة العمل.",1
"64","64. يجب إعادة النظر في شروط وطرائق العودة المنظمة للعديد من اللاجئين البورونديين والكونغوليين الموجودين في جمهورية تنزانيا المتحدة إلى بلدانهم الأصلية من أجل التمكن من تسريع تدفقات العودة التي لوحظت في الأشهر الأخيرة.",0
"65","صور بالأقمار الصناعية لمنصة اختبار الساحل الغربي تشير إلى اختبار المحرك",0
"66","وقد علقت هذه الأخيرة بأنه كلما زادت المعلومات الواردة في النشرات الخاصة، ولا سيما بصمات الأصابع والصور الفوتوغرافية وأرقام جوازات السفر في النسخ المقيدة التي لا تتاح إلا لوكالات إنفاذ القانون في البلدان الأعضاء فيها، كلما زادت فائدتها وقل احتمال وقوع حوادث مثل تلك المذكورة أعلاه. وعرض الإنتربول أيضاً تقديم إرشادات لأعضائه بشأن نطاق نظام العقوبات. وبالإضافة إلى ذلك، اقترحت المنظمة أن تكون هناك نقطة استفسار دائمة في الأمم المتحدة للرد على الأسئلة وضمان تقديم المعلومات الإضافية ذات الصلة عن الأفراد المدرجين في القائمة في الوقت المناسب عندما تتيحها الدول الأعضاء.",1
"67","144. الدول مسؤولة بموجب القانون الدولي لحقوق الإنسان عن ضمان حماية وصون حقوق الإنسان والحريات الأساسية في جميع الأوقات، في الحرب والسلم على حد سواء.",0
"68","ويتفاقم الوضع بسبب ارتفاع معدلات البطالة وتدهور الأوضاع الصحية، خاصة مع تزايد حالات الإصابة بفيروس نقص المناعة البشرية/الإيدز والتيفوئيد والملاريا والسل وارتفاع معدلات وفيات الأمهات والرضع والأطفال.",0
"69","38. يؤكد من جديد أنه ينبغي لفريق الرصد أن يعمم على اللجنة كل ستة أشهر قائمة بالأفراد المدرجة أسماؤهم في قائمة الجزاءات المفروضة على تنظيم القاعدة الذين تفيد التقارير بوفاتهم، مشفوعة بتقييم للمعلومات ذات الصلة مثل شهادة الوفاة، وبقدر الإمكان، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات يكونون في وضع يمكنهم من تلقي أي أصول رفع عنها التجميد، ويوجه اللجنة إلى استعراض هذه القوائم لتقرير ما إذا كانت لا تزال مناسبة، ويدعو اللجنة إلى شطب أسماء الأفراد المتوفين من القائمة، حيثما توافرت معلومات موثوق بها بشأن الوفاة؛",1
"70","المقرر عقدها يوم الخميس، 7 تموز/يوليه 2005، الساعة 50/12 ظهراً",0
"71","3-2-1 قانون التعاون الدولي في المسائل الجنائية، 1996 (القانون رقم 75 لعام 1996)",0
"72","17. وظلت البعثة تتمتع بعلاقات جيدة مع كل من الجيش الملكي المغربي والقوات المسلحة لجبهة البوليساريو.",1
"73","500 جم أو أقل، ولكن أكثر من 15 جم من البلوتونيوم",0
"74","كما سافر إلى الجزائر العاصمة ونجامينا في 9 و11 سبتمبر/أيلول على التوالي.",0
"75","يحيط علما بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على مواصلة تنفيذها بالكامل، ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ هذه السياسة في تقاريره المقدمة إلى المجلس;",1
"76","مدفوعات الحوافز للموظفين (3,562,429 ريال سعودي);",0
"77","(ح) تقديم إحاطة منتصف المدة إلى المجلس، عن طريق اللجنة، في غضون 90 يوما من إنشائه;",1
"78","تنفصل مبوجي-مايي عن بقية البلاد بسبب تعطل السكك الحديدية والطرق غير السالكة.",0
"79","الفقرة 15 من القرار 1970 (2011)",0
"80","كما هو مبين أعلاه، تم اتخاذ قرار في هذه الجلسة فيما يتعلق بدفع التعويضات.",1
"81","42. نظم معهد الأمم المتحدة الأقاليمي لبحوث الجريمة والعدالة، بناء على طلب الفريق العامل 2 التابع لفريق الاتصال المعني بالقرصنة قبالة سواحل الصومال وبدعم من حكومة إيطاليا، اجتماعين غير رسميين لفريق الخبراء العامل في عام 2013 لصياغة مجموعة من المبادئ التوجيهية والمعايير وأفضل الممارسات فيما يتعلق باستخدام أفراد الأمن المسلحين المتعاقد معهم من القطاع الخاص على متن السفن التجارية، لكي تستخدمها شركات القطاع الخاص والحكومات المهتمة.",1
"82","وإذ يرحب بتقرير الأمين العام S/2012/678 المؤرخ 31 آب/أغسطس 2012,",0
"83","20. يقرر إبقاء المسألة قيد نظره.",0
"84","31. ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل من أجل تحقيق الشفافية والشمولية.",1
"85","27. وستؤكد البعثة من جديد استعداد المجلس لدعم جهود السلطات الانتقالية لمكافحة الإفلات من العقاب في جمهورية الكونغو الديمقراطية.",1
"86","وإذ يؤيد العمل الذي سبق أن اضطلعت به اللجنة المنشأة عملا بالقرار 1540 (2004)، المشار إليها فيما بعد بلجنة القرار 1540، وفقا لبرنامج عملها الخامس,",1
"87","39. ومن بين الصكوك الإقليمية، صدقت كوت ديفوار على الميثاق الأفريقي لحقوق الإنسان والشعوب (1992) ووقعت على النظام الأساسي المنشئ للمحكمة الأفريقية لحقوق الإنسان والشعوب.",1
"88","يتم تسجيل جميع الممتلكات الدفاعية الأخرى في مستويات حكومية أخرى، اعتماداً على نوع العقار ومكان وجوده.",0
"89","لدى جزر سليمان الآن مشروع قانون بشأن غسل الأموال، والذي سيُعرض على الدورة القادمة للبرلمان الوطني.",0
"90","يمكن تحسين فعالية تجميد الأصول من خلال تحسين الربط بين أولئك الذين يفهمون القضايا الحالية (مثل وكالات إنفاذ القانون ووكالات الاستخبارات) مع وحدات الاستخبارات المالية.",0
"91","16. في 1 كانون الأول/ديسمبر، وفقا للفقرة (ع) من مرفق القرار 2160 (2014)، قدم فريق الرصد تقريرا خطيا خاصا، بالتشاور مع حكومة أفغانستان ومكتب الأمم المتحدة المعني بالمخدرات والجريمة وأفرقة خبراء الأمم المتحدة الأخرى المعنية بالجزاءات، عن حالات محددة من التعاون بين عصابات الجريمة المنظمة, ولا سيما الجماعات التي تقوم بأخذ الرهائن طلبا للفدية، ومنتجي المخدرات وتجارها، وكذلك الجماعات التي تستغل الموارد الطبيعية في أفغانستان بصورة غير مشروعة، بما في ذلك الأحجار الكريمة وشبه الكريمة، والأفراد والجماعات والمؤسسات والكيانات المؤهلين للإدراج في القائمة بموجب الفقرة 1 من القرار.",1
"92","وقد يؤدي هذا المأزق إلى زيادة التوترات السياسية وتقويض أجواء الثقة المتزايدة التي سادت عقب الانتخابات وتنصيب الرئيس مارتيلي.",0
"93","ومن المتوقع صدور الحكم في النصف الأول من عام 2008.",0
"94","38. يوصي الفريق بأن يشجع مجلس الأمن واللجنة الدول على تعيين أو إنشاء آليات وطنية لتحديد واستهداف الأفراد والكيانات لإدراجهم في القائمة الموحدة استنادا إلى سلطة قانونية محددة بوضوح ومتميزة عن العملية الجنائية.",1
"95","كما أفادت التقارير أن حركة الشباب تمكنت أيضاً من الحصول على دعم شبكات إرهابية دولية أخرى.",1
"96","وإنني أدين بأشد العبارات الاستهداف المستهجن للأشخاص الذين يدعمون الشعب الصومالي في جهوده لمكافحة الجريمة المنظمة التي تعيق تنمية بلدهم.",0
"97","(هـ) الاجتماع الافتتاحي لفريق الاتصال الدولي المعني بليبيا، المقرر عقده في أديس أبابا في 3 كانون الأول/ديسمبر 2014. وأعربوا عن تأييدهم للجهود التي تبذلها البلدان المجاورة والممثل الخاص للأمين العام في ليبيا لتهيئة الظروف المواتية للحوار بين جميع الأطراف الليبية، باستثناء الجماعات الإرهابية المعروفة؛",1
"98","كان من المحبط الشعور بالإحباط وخيبة الأمل.",0
"99","4. يدعو جماعات المعارضة السورية المسلحة والعناصر المعنية إلى احترام الأحكام ذات الصلة من التفاهم الأولي;",1
"100","حققت تيمور الشرقية تقدماً ملحوظاً منذ استقلالها قبل أكثر من عامين.",0
"101","2. طلب مجلس الأمن، بموجب قراره 1575 (2004) المؤرخ 22 تشرين الثاني/نوفمبر 2004، إلى الدول الأعضاء، التي تتصرف من خلال الاتحاد الأوروبي أو بالتعاون معه، أن تقدم إلى المجلس تقريرا عن نشاط بعثة الاتحاد الأوروبي العسكرية في البوسنة والهرسك، من خلال القنوات المناسبة وكل ثلاثة أشهر على الأقل.",1
"102","وقد طلبت السلطات المختصة تقديم الموعد النهائي المحدد في 31 تشرين الأول/أكتوبر 2005 لتقديم طلب رسمي بالتعديلات من جانب حكومة العراق إلى 31 كانون الأول/ديسمبر 2005، وذلك لكي تؤخذ في الاعتبار تماما مشاكل الاتصال بين السلطات المختصة والموردين لتمديد تاريخ الشحن وصلاحية خطابات الاعتماد.",1
"103","ومع ذلك، يعتقد المكتب أنه لا ينبغي لنا أن ننتظر انتهاء الإجراءات القضائية في المحكمة حتى يتسنى لضحايا الجرائم التي تجري مقاضاتها الحصول على المساعدة.",1
"104","وفيما يتعلق بمزيد من التعاون، اقترح زيادة الاستفادة من شبكة الإنتربول، على سبيل المثال، من خلال الآليات الإقليمية لتبادل المعلومات مع موظفي إنفاذ القانون، وكذلك تعزيز التوجيهات بشأن التنفيذ.",1
"105","وبناء على طلب من الحكومة الانتقالية، أحال ممثلي الخاص في 25 آب/أغسطس إلى الرئيس كابيلا، بالنيابة عن اللجنة الدولية لدعم العملية الانتقالية، ورقة مفاهيمية تتعلق بإنشاء لجنة مشتركة رابعة لمعالجة مسائل الحكم الرشيد والإدارة الاقتصادية.",1
"106","63. لا تزال هناك مخاوف كبيرة بشأن القيود المفروضة على حرية التعبير.",0
"107","تلقى 70 في المائة في المتوسط من جميع المرضى المسجلين دورة علاجية كاملة.",0
"108","مع التأكيد على أن العودة الشاملة والمنسقة للاجئين والنازحين في جميع أنحاء المنطقة لا تزال ضرورية لتحقيق السلام الدائم,",1
"109","زحف قوات سيليكا إلى بانغي",0
"110","""ويسلّم مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام، ويؤكد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة في تعزيز مشاركة المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية المعنية منذ المراحل الأولى للتخطيط وتحديد الأولويات.",1
"111","وزير الداخلية ونائب رئيس الحركة الجمهورية الوطنية من أجل الديمقراطية والتنمية",0
"112",":: شهادة قنصلية صادرة عن سفارة نيكاراغوا في بلد المنشأ;",0
"113","لقد واصلت حواري مع السلطات اللبنانية بشأن هذه المسألة وأتطلع إلى الوفاء بهذه الالتزامات في وقت مبكر.",1
"114","ومع ذلك، فقد أوضحت العملية أيضاً مدى أهمية التحديات التي لا تزال تواجه قطاع الأمن في ليبيريا، خاصة فيما يتعلق بالقدرات اللوجستية والاتصالات والتنقل لدى الشرطة ودائرة الهجرة.",0
"115","ويؤكد مجلس الأمن من جديد أهمية مبدأ عدم الإعادة القسرية، وحق اللاجئين في العودة الطوعية إلى [البلد المتضرر] ويشجع البلدان المجاورة [للبلد المتضرر] على حماية جميع الأشخاص الفارين من العنف في [البلد المتضرر]، بمن فيهم [الأشخاص من منطقة معينة في المنطقة]. ويحث جميع الدول الأعضاء، استناداً إلى مبادئ تقاسم الأعباء، على دعم هذه البلدان في مساعدة اللاجئين والمجتمعات المحلية المتضررة ...",1
"116",":: ينبغي إنشاء آليات لتقصي الحقائق في وقت مبكر بما فيه الكفاية في أي أزمة لتمكينها من المساهمة في منع وقوع المزيد من الانتهاكات.",1
"117","183. أما المحاكمات الجنائية التي تنطوي على جرائم يعاقب عليها بالسجن لمدة تزيد على خمس سنوات فيترأسها فريق من القضاة.",1
"118","Ø دعوة أطراف النزاع المسلح إلى اتخاذ التدابير المناسبة للامتناع عن جميع أشكال العنف الجنسي ومنعها وحماية جميع الأشخاص من جميع أشكال العنف الجنسي، بما في ذلك عن طريق:",1
"119","وإذ يعرب عن تصميمه على تيسير تنفيذ الالتزامات المتعلقة بمكافحة الإرهاب وفقاً لقرارات مجلس الأمن ذات الصلة,",1
"120","ويبدو أن التغيير الحقيقي سيأتي على الأرجح من الاحتجاج الشعبي أكثر من أعمال العنف السرية.",0
