"","ar_en_TRANSFORMERS","VerCoop"
"588",":: Some members stressed the need for the international community to collectively promote greater harmony and dialogue among cultures and religions, noting that terrorism had no faith, culture or religion.",1
"589","Loss of personal property (SAR 969,033)",0
"590","8. We are also deeply concerned about the exacerbation of the scourge of terrorism and violent extremism in the Sahelo-Saharan region and about the close links between armed terrorist groups and transnational organized crime, in particular networks of drug and human trafficking, money-laundering and illicit arms trafficking.",0
"591","The Council reiterates the need to convene an international conference as soon as possible to implement the Geneva communiquÃ© in order to facilitate a Syrian-led political process leading to a transition that will accelerate an end to the conflict in Syria.",1
"592","Independent Swedish journalist Alexandra Sandles -- 13 February 2012",0
"593","10. A team of four OPCW inspectors was permanently present on board the MV Cape Ray during the neutralisation of the mustard and DF agent on board.",0
"594","2. A second group, consisting of four inspectors, left the Canal Hotel in Baghdad at 8.30 a.m. and arrived at 17.00 p.m. at the State Enterprise for Petrochemical Industries, which belongs to the Ministry of Industry and Minerals, located in the Zubair area of Basra Governorate.",0
"595","P.P. 16785-195 Tehran, Iran",0
"596","The Council also stressed the urgent need for all parties to respect the ceasefire and to take immediate measures to end the violence, and called on the Government of the Sudan to respect its commitments and to ensure that the Janjaweed militias are neutralized and disarmed.",1
"597","I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, containing the outcome of the Committee &apos; s activities during the period from 1 January to 31 December 2014.",1
"598","13. Encourages the Government of Burundi to continue its efforts to expand respect for and protection of human rights, including through the establishment of an independent national human rights body, taking into account the Paris Principles set out in General Assembly resolution 48/134, and further encourages it to put an end to impunity, and to take the necessary measures to ensure that its citizens fully enjoy their civil, political, social, economic and cultural rights without fear or intimidation, as enshrined in the Constitution of Burundi and enshrined in international human rights instruments, including those ratified by Burundi;",1
"599","The inter-agency mission will include various United Nations departments, agencies and programmes.",0
"600","Furthermore, in principle, the establishment of a management dependency between the Office of the Ombudsman and the Secretariat on substantive matters represents a direct and significant encroachment on the independence of the Office, both in concept and in practice.",1
"601",":: Increased cooperation and coordination with the Counter-Terrorism Committee and its Executive Directorate, with the Committee established pursuant to resolution 1540 (2004) and with all international agencies or organizations that have accumulated expertise and expertise in the field of counter-terrorism.",0
"602","That would be an important mechanism.",0
"603","In this regard, the Security Council welcomes the inaugural meeting of the United Nations-African Union Task Force on Peace and Security, held on 25 September 2010, and encourages the Task Force to focus on strategic and country-specific issues on the continent of concern to both organizations.",1
"604","During its consideration of the recommendations, the Committee examined, in particular, whether or not the proposed improvements imposed an excessive burden on States and placed strong emphasis on finding concrete ways to implement the recommendations.",0
"605","31. Mr. Abu Aisheh provided the following details:",0
"606","Atabou Bodian was also selected to chair the Panel of Experts.",0
"607","(a) Eliminate on-site bioremediation and long-term monitoring;",0
"608","The Special Representative stated that the fighting did not augur well for the possibility of reaching an agreement between the warring parties during the IGAD-led peace talks, scheduled for 6 November.",1
"609","Gonzalo Boye lived in Chile, Germany, the United Kingdom and Spain.",0
"610","The transformation of language is confusing.",0
"611","On 28 November 2014, regime warplanes fired a missile at the water crossing linking the villages of Bulliel and Al-Sahdah in Dayr al-Zawr, killing five people and wounding six others.",0
"612","Noting that not all States are parties to the Rome Statute,",0
"613","However, the common thread that presumably links all these areas is the urgent need to secure adequate resources for State institutions and national security forces from sufficient numbers of adequately trained personnel and equipment, as well as logistical support and infrastructure for the provision of State services.",1
"614","530. In order to give clarity to any discussion of the perpetrators, two necessary legal instruments must be used: the categories of crimes for which they may be responsible, and the listing of different types of participation in the commission of international crimes under which various persons may be suspected of being responsible.",1
"615","On 15 December 2010, the Centre hosted a meeting of experts from member States of the African Union to examine a draft model law to combat the phenomenon of terrorism, with a view to harmonizing national legislation and giving binding force to United Nations resolutions against terrorism.",1
"616","The forensic expert team arrived in Pristina on 21 January.",0
"617","He said that the Ivorian armed forces regularly studied international humanitarian law and that the protection of civilians was part of the Ivorian military doctrine.",1
"618","Relevant government structures, such as the main detention centre in Abidjan and police stations, were also visited.",0
"619","The Committee received credible information that several individuals had been transferred by persons working in military intelligence or security.",1
"620","6. Tetranitrobenzotriazulbenzotriazole (TACOT) (Commodity Designator code: CA 25243-36-1);",0
"621","Members of the Council also expressed their determination to continue to cooperate with the Government to consolidate the progress made and to promote a stable climate for democratic governance, economic growth and humanitarian assistance in Asia.",1
"622","We are convinced that the early conclusion of these talks, with the signing of a comprehensive and final peace agreement, will greatly facilitate efforts to combat terrorism and transnational organized crime in our region.",1
"623","205. The Committee recommends that consideration be given to expanding the pool of candidates for these posts in order to maximize the ability to recruit the most efficient elements.",1
"624","While he believed that the Counter-Terrorism Implementation Task Force had an important role to play, it should be recognized that the Council &apos; s Counter-Terrorism Committees had intensified their work on the issue and increased their effectiveness through reporting systems, assessment missions and facilitation of technical assistance.",1
"625","On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honour to inform you that the Committee has agreed to hold an open meeting, as envisaged in its report on the modalities for considering a comprehensive review of the status of implementation of resolution 1540 (2004) in accordance with paragraph 8 of resolution 1810 (2008) (S/2009/170).",1
"626","It further reaffirms its determination to combat by all possible means, in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorism.",1
"627","Finally, where conditions are considered favourable, they should join forces with the Governments concerned to coordinate efforts to adopt a coordinated plan for the development of the country, the provision of livelihoods for the population and the improvement of human rights conditions.",1
"628","Welcoming the report of the Secretary-General (S/2012/678) of 31 August 2012,",0
"629","ARD German TV Jörg Armbruster -- 15 December 2011",0
"630","15. Pursuant to resolution 2129 (2013) and with the assistance of the Executive Directorate, the Committee will continue to work closely with Member States, including during country visits, to develop comprehensive and integrated counter-terrorism strategies and identify available good practices, elements and standards.",1
"631","229. The Committee recommends the establishment of strong and independent oversight mechanisms for the police and the army.",1
"632","(d) To make a declaration of exceptional risk for the purposes of article 1 (c) (ii) of the Convention on the Safety of United Nations and Associated Personnel, should the Security Council consider, at its discretion, that the prevailing circumstances warrant such a declaration, and to invite the Secretary-General to inform the Council of the existence of the circumstances warranting such a declaration at its discretion;",1
"633","Any deprivation of liberty must be carried out in accordance with article 9: deprivation of liberty must not be arbitrary; it must be in accordance with the law and the procedure established therein; information must be provided on the reasons for arrest; and a court must be allowed to decide on the detention, as well as compensation in the event of a violation.",1
"634","30. Decides that the mandate of the United Nations Mission shall initially focus on the following priority tasks:",0
"635","Ratified by Morocco on 10 April 2001.",0
"636","Stresses the importance of ensuring access by relevant organizations, as appropriate, to all prisons and places of detention in [the affected country], and calls for full respect for relevant international law, including humanitarian and human rights law...",1
"637","Border control, internal security and law enforcement measures are fully implemented in most States, although a few States have not reported sufficient information to allow for assessment in some subcategories. The priority recommendations are: (a) to encourage steps to improve the capacity to freeze funds and assets related to terrorism without delay in most States and to protect the non-profit sector from misuse in the financing of terrorism;",1
"638","Although the ASEAN Convention on Combating Terrorism has not yet entered into force, nine States have ratified and entered into force the ASEAN Treaty on Mutual Legal Assistance in Criminal Matters.",0
"639","Moreover, there are procedural obstacles that limit victims &apos; access to justice.",0
"640","Municipality of Al Khafji (United Nations Compensation Commission, claim No. 5000226)",0
"641","Botswana: Dominica: Gambia",0
"642","464. The Commission made recommendations in the areas of security, humanitarian aid, the strengthening of social infrastructure, services and development, the opening of police stations with adequate supplies for rapid crisis response and the seizure of weapons in the hands of suspects.",1
"643","Urging the Government of the Sudan, the Liberation and Justice Movement and the Mohammed Bashar faction of the Justice and Equality Movement to fulfil the commitments made under the Doha Document for Peace in Darfur, and urging all parties, in particular other armed movements that have not signed the Doha Document, to engage immediately and without preconditions in peace efforts and to do their utmost to achieve a comprehensive peace settlement on the basis of the Doha Document, and to conclude an agreement on a permanent ceasefire without further delay,",1
"644","To be held on Tuesday, 19 November 2013, at 10 a.m.",0
"645","I also propose to the Security Council that it authorize the Secretary-General to provide whatever assistance he deems necessary to the Tripartite Commission established by the sister Governments of Honduras, El Salvador and Nicaragua in order to allow for the resumption of negotiations on and the operationalization of the regime of common sovereignty over the Gulf of Fonseca, with a view to the integrated social, economic and environmental development of the Gulf.",1
"646","The Council supports the idea of establishing within the Secretariat a unit to assist in the establishment of the rule of law and looks forward to receiving the Secretariat &apos; s proposals on the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).",1
"647","Recognizes that, while progress has been made on gender equality, enhanced efforts are needed, including to achieve measurable and practical goals, to ensure the rights of women and girls and to ensure that all women and girls in [the country concerned] are protected from violence and abuse, are protected by law and have equal access to justice, strongly condemns discrimination and violence against women and girls, in particular violence aimed at preventing girls from attending school, stresses the importance of the implementation of Security Council resolutions 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) and 1960 (2010), and recalls its commitments to gender mainstreaming and to ensure that women fleeing domestic violence have access to safe and secure havens;",1
"648","The situation in Somalia (17 March 1992; 29 July 2009).",0
"649","28. Uganda remains committed to the Lusaka Peace Agreement and its subsequent agreements, as the Lusaka Framework adequately accommodates the two dimensions of the conflict, namely, the internal issue and the security concerns of the neighbours.",1
"650","95. The situation in Myanmar (15 September 2006; 18 March 2008).",0
"651","S/RES/2121 (2013), pp. 8",0
"652","(f) Welcomed and stressed the importance of the readiness expressed by the Executive Directorate to participate actively in and support all relevant activities within the framework of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system.",1
"653","Rape and other crimes of sexual violence have occurred, but they have not been widespread and have not occurred regularly to the extent that they amount to a crime against humanity.",0
"654","3. In the view of the participants, these events, with their seriousness, serve as a reminder of the need and urgency to speed up the process that would lead to inclusive dialogue among the Malian parties, in a manner that would lay the foundations for genuine reconciliation between Malians and for the consolidation of peace, security and stability in the country.",1
"655","106. The Group consulted the Monitoring Group on Somalia, which stated in its report of 9 March 2005 (S/2005/153) that the arms embargo had been violated by the provision of arms, explosives and related materiel and military training to the Islamic Union, an entity on the Consolidated List.",1
"656","The Team intends to continue its work with the Branch, which should be the selected partner of the United Nations in most of its counter-terrorism capacity-building efforts, in order to avoid duplication of efforts.",1
"657","To be held on Wednesday, 21 November 2012, at 10 a.m.",0
"658","In most cases, such assistance can be provided in a form of aid that can be used to benefit from available commercial transport.",0
"659","The Council stresses the need for an urgent dialogue between the new Government, when constituted, and the international community on ways to assist the Government in using the transition in a constructive manner to achieve the objectives of reconciliation, stability and reconstruction.",1
"660","""The Security Council expresses its deep concern at the tense situation prevailing in Blue Nile and Southern Kordofan States.",0
"661","Recognizing the important contribution of the Council &apos; s arms embargo in combating the illicit transfer of small arms and light weapons, in mitigating conflicts and in creating conditions conducive to the peaceful settlement of situations that threaten to disturb international peace and security, and recognizing also the contribution of the Council &apos; s arms embargo in supporting conflict prevention, post-conflict peace-building, disarmament, demobilization and reintegration and security sector reform,",1
"662","The promotion process was fully ensured by the Government with the support of a committee of five international experts (from Australia, Malaysia, New Zealand, Portugal and Singapore) and technical support from UNMIT police.",1
"663","Abdelaziz Ibrahim Sulaiman Al-Badawi (Sa &apos; di)",0
"664","Content of the Heritage Centre - US$4,553,795",0
"665","In this regard, it should be noted that that development has largely been achieved thanks to Prime Minister GusmÃ£o &apos; s leadership capacity and the cooperation of political parties represented in Parliament, including opposition parties, which have indicated their willingness to assist in addressing such an important national issue.",0
"666","Training of peacekeeping personnel requests the Secretary-General to ensure that technical support is provided, both in the predeployment phase and in the field, to troop- and police-contributing countries in [the mission], including mentoring and training military and police personnel to protect civilians from imminent threats and taking appropriate measures, including in the area of human rights, sexual violence and gender issues.",1
"667","23. One State has made efforts to combat extremism among militant groups and has supported the production by these groups of publications addressing extremist ideologies, which have been distributed, including one condemning Al-Qaida, at the international level, including on Internet sites.",1
"668","To be held on Friday, 11 November 2011, at 10.30 a.m.",0
"669","KPC alleges a loss during the occupation of 1,300 metric tons of crude oil and 222,600 metric tons of refined products owned and stored at KNPC &apos; s installations.",0
"670","It is intended to be a technical process without any substantial change in boundaries.",0
"671","There are four different classes of stone display on the stock exchange.",0
"672","36. During the reporting period, the Mission continued efforts to raise awareness of HIV/AIDS.",0
"673","Joseph Doresa, editor-in-chief of a weekly magazine -- 11 December 2011",0
"674","Interactions with civil society showed that the mandate and capacity of the Mission were not clearly understood by the population, and there was a perception among the local population that only the intervention brigade could take strong action to protect civilians, which was not true.",0
"675","While both the Government and CPN (Maoist) have made efforts to address the problem of payment of allowances to projected party members, no commitment has been made to provide funds or programmes for the recovery and reintegration of children affected by armed conflict, including those released in unofficially large numbers, and the offer of United Nations assistance has been met with little enthusiasm.",0
"676","Stresses the need for improved coordination and increased exchange of information between the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as ""the Committee"") and the Committee established pursuant to resolution 1373 (2001);",1
"677","Nevertheless, Russian military forces continue to be known as peacekeepers or ""blue helmets,"" as the overall conflict resolution process in the region takes the form of a United Nations-led peace process.",0
"678","On 1 February 1999, the new Prime Minister obtained the confidence of the deputies of the nation.",0
"679","Ethiopia will accept nothing less than the liberation of its territory first and foremost.",0
"680","This could even have a negative impact on future efforts to combat impunity, including efforts to ensure accountability in the cases of the Commission of Inquiry and to establish the rule of law.",0
"681","To be held on Thursday, 15 July 2010, at 10 a.m.",0
"682","Stressing the urgent need for comprehensive security sector reform and the disarmament, demobilization and reintegration, as appropriate, of [national] armed groups and the disarmament, demobilization, repatriation, resettlement and reintegration of foreign armed groups in order to achieve long-term stability in [the country concerned], recognizing the need to create security conditions conducive to sustainable economic development, and stressing the important contribution of international partners in these areas.",0
"683","The members of the Commission decided that, in order to recommend measures to ensure accountability for alleged crimes and serious human rights violations committed during the above-mentioned period, bearing in mind that the Government of Timor-Leste considers the domestic judicial system, involving a range of international judges, prosecutors and defence counsel, should be the main framework for accountability for such crimes and alleged violations, they should undertake a preliminary assessment of the existing domestic judicial system in Timor-Leste.",1
"684","The regime must now listen to and act on those appeals.",0
"685",":: Counterfeiting or counterfeit currency and using counterfeit or counterfeit currency;",0
"686","The Council stresses the importance and urgency of restoring justice and the rule of law in post-conflict societies, not only to overcome past injustices, but also to promote national reconciliation and help prevent future conflicts.",1
"687","For 27 June 1998 read 27 June 1997",0
"688","37. As part of the Division &apos; s efforts to recruit well-qualified experts to serve on sanctions monitoring groups and groups, as every year, a note verbale was sent to all Member States in December requesting them to nominate qualified candidates for inclusion in the Division &apos; s roster of experts.",1
"689","Those instruments, together with the decentralization policy, clarify the roles and responsibilities of local councils, provincial officials, parliamentarians and traditional authorities in the areas of development decision-making; elections and the maintenance of law and order; and the collection and distribution of local revenues.",0
"690","It is not quite clear what equipment has been inspected.",0
"691","We urge all Member States to take immediate steps to comply with the commitment contained in resolution 2036 (2012) to ban trade in Somali charcoal, particularly by those most active in this trade.",0
"692",":: Explore and pursue more effective ways of obtaining missing information",1
"693","Where applicable, discounts are made for costs saved as a result of non-completion of performance.",0
"694","In conclusion, the High Commissioner identified three steps as 'the way forward &apos; to strengthen the working relationship between the Security Council and United Nations human rights bodies.",1
"695","However, it did not provide an English translation of these documents.",0
"696","11. Directs the Committee to cooperate with other relevant Security Council sanctions committees, in particular the Committee established pursuant to resolution 1988 (2011); listing",1
"697","Calling upon States to cooperate fully with the Counter-Terrorism Committee established pursuant to resolution 1373 (2001), including the recently established Counter-Terrorism Committee Executive Directorate, the ""Al-Qaida and Taliban Sanctions Committee"" established pursuant to resolution 1267 (1999), its Analytical Support and Sanctions Monitoring Team and the Committee established pursuant to resolution 1540 (2004), and further calling upon these bodies to enhance cooperation among themselves,",1
"698","To be held on Friday, 24 May 2002, at 1.45 p.m.",0
"699","However, urgent measures are needed to revitalize the brigade, while ensuring a more active contribution from the framework brigades, both with regard to the paralysis of armed groups and the protection of civilians.",1
"700","62. The Counter-Terrorism Committee and its Executive Directorate should (a) work more actively with relevant subregional organizations, including the Eastern and Southern African Anti-Money Laundering Group, the Southern African Development Community and the Southern African Police Chiefs Cooperation Organization, focusing on activities aimed at improving the implementation of the resolution and remedying shortcomings;",1
"701","In that resolution, the Council requested the Secretary-General to establish within the Secretariat (Security Council Subsidiary Organs Branch) an administrative coordinator to receive requests from listed individuals and entities.",1
"702","Recalling the statement of its President of 8 July 1999 (S/PRST/1999/21), and stressing its call for the inclusion, as appropriate, within specific peace agreements and on a case-by-case basis within United Nations peacekeeping mandates, of explicit provisions for the disarmament, demobilization and reintegration of former combatants, including the safe and timely disposal of weapons and ammunition,",1
"703","The Security Council recalls its demand that all parties to an armed conflict comply fully with the obligations applicable to them under international law relating to the protection of civilians in armed conflict, including journalists, media personnel and associated personnel.",0
"704","Preliminary results of the civil service census indicate a decrease of 8.3 per cent in the number of public sector employees.",0
"705","(y) To consult with representatives of relevant international organizations, including the International Air Transport Association, the International Civil Aviation Organization and the World Customs Organization, with a view to promoting awareness of and greater compliance with the travel ban and the arms embargo;",1
"706","Let us speak frankly: these reports from the press, human rights groups and civilians on the ground raise serious concerns about the nature and scope of the conflict.",0
"707","""The Security Council supports the introduction of the indicators contained in the report of the Secretary-General (S/2010/498), including by relevant United Nations entities, to serve as an initial framework for the follow-up to its resolution 1325 in armed conflict, post-conflict and other situations relevant to the implementation of resolution 1325, as appropriate, taking into account the specificity of each country.",1
"708","By paragraph 8 of the same resolution, the Council mandated the Committee to identify individuals and entities: (a) who had participated in or provided support for acts that threatened or threatened the peace, security or stability of Somalia; (b) who had violated the general and complete arms embargo; and (c) who had impeded the delivery of or access to humanitarian assistance to Somalia.",1
"709","Moreover, mobile armed groups that rely on banditry tend to be more brutal in their tactics, as they are less motivated to establish local public support bases.",0
"710","These meetings will also be used to review general issues important to the Committee &apos; s work with a view to promoting a more innovative and dynamic approach to the work of the Executive Directorate and to develop new ideas on how the Organization can respond more effectively to the growing terrorist threat.",1
"711","1. Central Customs and Customs Board",0
"712","In addition to the 12 thematic counter-terrorism conventions), in the absence of a universally agreed definition of terrorism, the List is both a symbol of international resolve and a practical measure to meet the global challenge to international peace and security posed by Al-Qaida, the Taliban and their associates.",1
"713","Somalia was experiencing an unprecedented moment of change and optimism, and it was important to seize that opportunity.",0
"714","22. At its 44th formal meeting, on 1 May 2014, the Working Group discussed the report of the Secretary-General on children and armed conflict in Mali (S/2014/267) covering the period from January 2012 to December 2013.",1
"715","The capacity of national security forces to respond to these threats in remote areas remains limited owing to capacity constraints.",0
"716","Regional cooperation in border management is constantly improving, including through joint patrols, information exchange and regional border control and customs cooperation mechanisms.",0
"717","Council members welcomed the efforts of the Government in the fight against LRA, as well as the African Union Regional Cooperation Initiative for the elimination of LRA, and the appointment of an African Union Special Envoy to coordinate the initiative.",1
"718","In a meeting with the United Nations Office on Drugs and Crime on 5 August, the new Minister of Justice outlined the efforts of the new Government to renew unity to align it with the objectives of the West African Coast Initiative. On 27 October, more than 100 parliamentarians and Government representatives adopted a political declaration reaffirming Guinea-Bissau &apos; s commitment to supporting initiatives to combat transnational organized crime, including drug trafficking, corruption, money-laundering and terrorism, and called for continued United Nations support to strengthen national institutions in this area.",1
"719","S/AC.26/Dec.19 (1994)",0
"720","16. Decides to remain seized of the matter.",0
"721","These changes, in addition to re-establishing the hope of the people of the Republic, have provided the Mission with a new opportunity to improve its consultations with the federal authorities and engage in a constructive dialogue on issues of mutual concern.",1
"722","The Council and the troop- and police-contributing countries heard briefings by the Assistant Secretary-General for Peacekeeping Operations, Edmond Millet, the Deputy Military Adviser, Abhijit Goha, and the Acting Police Adviser, Andrew Carpenter.",1
"723","The Security Council looks forward to hearing further details on the proposals of the Special Representative of the Secretary-General.",0
"724","We cannot risk wasting human and financial investment in the Democratic Republic of the Congo because of the frustration of citizens, which could eventually lead to a renewed crisis.",0
"725","In this regard, the Heads of State and Government identified three main priorities:",0
"726","42. At the request of Working Group II of the Contact Group on Piracy off the Coast of Somalia, the United Nations Interregional Crime and Justice Research Institute, with the support of the Government of Italy, organized two informal expert group meetings in 2013 to draft a set of guidelines, standards and best practices for the use of armed security personnel contracted by private companies on board commercial vessels for use by private companies and interested Governments.",1
"727","'The Security Council expresses its concern that aircraft or other means of transport originating from the territory controlled by ISIL and ANF can be used to transport gold or other valuable items and economic resources for sale on international markets, or for the transport of arms and equipment for use by ISIL and ANF, recalls that individuals or entities who participate in these activities may be entitled to be included on the sanctions list by the 1267 and 1989 Committee; expresses its concern at reports that items of Aryakological, historical, cultural and religious significance are illegally transferred outside the territory controlled by ISIL and ANF, from which the two groups may receive revenue, and calls upon Member States to take appropriate measures to prevent this illegal commercial activity; states in this regard that all States are required to operate so that no funds, financial assets or economic resources are made available, directly or indirectly, to ISIL, ANF and other individuals, groups, undertakings and entities associated with Al-Qaida, in favour of ISIL and ANF, from which ISIL and other individuals, groups, undertakings and entities may receive revenue; and looks forward to the Committee on Al-Qaida Sanctions to consider in depth the relevant recommendations of the ISIL and the Monitoring of such activities pursuant to the resolution, which the ISIL has received such activities.",0
"728","8. The Committee shall commence its activities on a date to be determined by the Secretary-General and shall be formally communicated to the Government of Pakistan.",1
"729","The decision of the European Union to commence negotiations with Serbia and Montenegro on the Stabilization and Association Agreement is an important step in this regard.",1
"730","Northern Darfur: 68 per cent;",0
"731","At the 5798th meeting of the Security Council, held on 11 December 2007, in connection with the Council's consideration of the item entitled ""Threats to international peace and security caused by terrorist acts,"" the President of the Security Council made the following statement on behalf of the Council:",1
"732","The only way to make progress on this issue is to find practical solutions to overcome restricted access, especially with States that often respond in specific cases.",0
"733","In 1980, FACI introduced six Dassault/Dornier Alpha Jet CI light aircraft for attacks and training.",0
"734","Metals are usually marked in the cold way, i.e. by punching, while others are marked in the drill.",0
"735","32. To date, the Council has not requested the Secretary-General to report to it on his efforts, as called for in the presidential statements of 2009 and 2010, to mainstream drug trafficking as a factor influencing conflict prevention strategies, conflict analysis, integrated mission assessment and planning and peacebuilding support.",1
"736","Requests the Secretary-General and relevant United Nations agencies, inter alia, through consultation with women and women-led organizations, to develop, as appropriate, effective mechanisms to ensure the protection of women and girls from violence, including in particular sexual violence, in and around United Nations-run refugee and internally displaced persons camps, in all disarmament, demobilization and reintegration processes and in efforts to reform the justice and security sectors assisted by the United Nations.",1
"737","(a) To become parties, as a matter of urgency, to all relevant international conventions and protocols relating to terrorism, in particular the 1999 International Convention for the Suppression of the Financing of Terrorism, to support all international initiatives to that end and to make full use of the sources of assistance and guidance that are now available;",1
"738","(f) To cooperate with other relevant Security Council sanctions committees and with the Committee established pursuant to paragraph 6 of its resolution 1373 (2001);",1
"739","In conclusion, I would like to make a number of recommendations on which fact-finding mechanism is being established:",1
"740","Emphasizing the central role of the United Nations in the global fight against terrorism and welcoming the adoption by the United Nations General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) on 8 September 2006 and the establishment of the Counter-Terrorism Implementation Task Force to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system,",1
"741","However, the Social Democratic Party led by the Deputy Prime Minister announced that he would not withdraw from the coalition in order to prevent the destabilization of the Government.",1
"742","They also called upon the Forces nouvelles to begin the demobilization, disarmament and reintegration process agreed to at the Accra meeting expeditiously and before 15 October without preconditions, and stressed the need for the disarmament of all paramilitary and militia groups as well.",1
"743","This Commission, which should be chaired by an international member, should be composed of persons of established international standing, some of whom specialize in law (in particular international law, law of damage or commercial law), and some in accounting and settlement of environmental losses and damage.",1
"744","Damage to non-commercial natural resources",0
"745","As members of the Security Council know better than anyone, the Arab-Israeli conflict is one of the greatest permanent diplomatic challenges the world has faced since the mid-20th century. At the heart of the Israeli-Palestinian conflict is a conflict between competing and contradictory historical accounts and collective aspirations and identities.",0
"746","24. In paragraph 7 of its resolution 1535 (2004), the Security Council emphasized that, in order to ensure that the Committee continued to function effectively during the process of transforming its support structure into an executive body, the Committee would continue to operate using its current support structure until the Committee, in consultation with the Secretary-General, decided that the Executive Body was operational.",1
"747","Unlike those operational matters, the Ombudsman treats the applications submitted confidentially as a policy.",1
"748","In situations of armed conflict, the primary responsibility under international law to protect and meet the needs of civilians rests with the party under whose control they find themselves.",0
"749","16. Despite the military defeat of M23, Congolese and foreign armed groups, including ADF, FDLR and several Mayi-Mayi groups, continue to pose a threat to the civilian population and to stability and development in general in the eastern Democratic Republic of the Congo and the Great Lakes region.",0
"750","My Special Representative participated in both forums. On 16 August, the Secretary of State for Youth and Sports inaugurated the Youth Parliament (see S/2010/85, para. 105), which includes 130 young people (including 66 girls) between the ages of 12 and 17. They will be trained for two years in leadership and representative skills and will have opportunities for dialogue on policy issues affecting young people.",1
"751","32. Encourages Member States, in rescinding the decision to freeze the assets of the deceased individual or entity who has been informed or confirmed that he or she no longer exists following his or her de-listing, to take into account the requirements of resolution 1373 (2001) and, in particular, to prevent the exploitation of assets whose freezing has been cancelled for terrorist purposes;",1
"752","However, to ensure the continuation of this comprehensive mine action programme, additional donor funding has been requested for 2008.",0
"753","193. Badr Abdullah Ahmad Al-Sharqawi",0
"754","Another State indicated that it was preparing to establish a national human rights institution.",1
"755","The Security Council often discusses humanitarian issues in conflict-affected countries.",1
"756","The conclusions of the Commission &apos; s report contained serious implications for the accountability of government officials, and the Security Council should carefully consider its recommendations when deciding on the approach to be taken in order to finally put an end to abuses and impunity in Darfur.",0
"757","At international meetings, the Group was able to judge States' awareness of the sanctions regime without States being prepared to do so.",1
"758","Measures to assist persons who have killed members of their families, the acknowledgement of responsibility by Government authorities and the clarification of the nature of measures to be taken to avoid reoccurrence of violations appear to be of fundamental importance to society.",1
"759","Only through the rule of law, supported by well-trained Iraqi forces and supported by a prosperous infrastructure and economy and driven by a free and fair election process, would it be possible to defeat those who wished to destabilize the country.",0
"760","Not every State has a stand-alone counter-terrorism strategy, but all States have developed a set of counter-terrorism policies and practices and established a national agency or centre to manage counter-terrorism measures, guided by a legislative mandate established for that purpose.",0
"761","The exclusion of other forms of sexual abuse from the scope of the investigation has left a large number of allegations unattended.",0
"762","28. In view of the prevailing situation, I believe that the Mission continues to play an important role in stabilizing and monitoring the ceasefire on the ground, and I would like to recommend an extension of its mandate for an additional six months, ending on 30 April 2006.",1
"763","Once implemented, such measures would contribute significantly to enhancing Somalia &apos; s capacity to conduct counter-piracy operations off its coast.",1
"764","The Committee will continue to focus on monitoring and promoting the implementation by Member States of resolution 1373 (2001) and on practical measures to strengthen the capacity of States to combat terrorism, including measures aimed at facilitating technical assistance.",1
"765","A complete and comprehensive travel ban would indeed work to counter acts of terrorism by Al-Qaida and the Taliban, but there is evidence that its impact is currently limited.",1
"766","The Government of Egypt has also included Iranian Javad Rahiqi, whose name was included in the Council's resolution, on the list of denials of entry into the country.",0
"767","'The Security Council calls upon the Sudan and Chad to respect and fully implement their mutual commitments, in particular the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, to engage constructively with the Dakar Contact Group and the good offices of Libya and Qatar to normalize their relations, to cooperate to put an end to cross-border activities of armed groups and to promote actions to combat illicit arms trafficking in the region, including through effective joint border monitoring.",1
"768","2. In paragraph 8 of that resolution, the Security Council decided to establish a working group of the Council entrusted with reviewing the reports of the mechanism referred to in paragraph 3 of the resolution, reviewing the progress made in the development and implementation of the action plans referred to in paragraph 7 of the resolution and considering any further information provided to it in that regard.",0
"769","Deeply concerned at the frequency of acts of violence in many parts of the world against journalists, media personnel and associated individuals in armed conflict, in particular deliberate attacks against them in violation of international humanitarian law,",0
"770","First, the establishment of the ad hoc tribunals has prompted national authorities to fight the fight against impunity for these same crimes.",0
"771","(e) The Committee attaches great importance to coordination with experts from other subsidiary bodies of the Security Council dealing with counter-terrorism in the preparation of visits and in the streamlining of reporting procedures;",1
"772","Instead, such an interpretation could be placed as a rule assumed in the chapeau of the list itself, which would have the advantage of being interpreted as applying to current and future listings.",0
"773","The subject and purpose of a condition",0
"774","Participants considered holistic approaches to addressing the factors leading to the spread of extremism and terrorism in the region, and how United Nations entities could best assist in dealing with this phenomenon and its implications for peace, security and stability.",1
