"ar_en_DEEP"	"VerCoop"
"Therefore, the Committee will refer those recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001)."	1
"(v) Undertaking any other responsibility determined by the Committee."	0
"Emphasizes the need to implement the United Nations Program to Prevent, Combat and Eliminate the Illicit Trade in Small Arms and Light Weapons in all its aspects, and to implement international instruments, to enable States to identify and trace illicit small arms and light weapons in a timely manner, so that real progress can be made in the field of Prevent, combat and eliminate the illicit trade in small arms and light weapons."	1
"Report of the Secretary-General submitted pursuant to paragraph 24 of resolution 1483 (2003) and paragraph 12 of resolution 1511 (2003) (S/2003/1149)."	0
"The Committee also supported the recommendation that information requests should be redirected to States in which the listed individual or entity operates or seeks to operate, without imposing a heavy additional reporting burden on such States."	1
"In December 2007, under the supervision of the Conduct and Discipline Unit, a mandatory comprehensive training program for all Mission personnel on expected standards of conduct, including the prevention of sexual exploitation, sexual abuse and harassment, was completed."	0
"The Security Council recognizes the need for humanitarian agencies to continue engaging with all parties to armed conflicts for humanitarian purposes, including activities aimed at ensuring respect for international humanitarian law."	1
"Reaffirming also the imperative to combat terrorism in all its forms and manifestations and by all means, in accordance with the Charter of the United Nations, and stressing also that States must ensure that all measures they take to combat terrorism comply with all their obligations under international law, and adopt those measures in accordance with international law, in particular International human rights law, refugee law, humanitarian law,"	1
"âThe Security Council recalls its resolutions and statements by its President on post-conflict peacebuilding, in particular statements S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 and S/PRST/2011/4, and stresses that New: The critical importance of peacebuilding as a basis for sustainable peace and development in the wake of conflicts."	1
"(d) Guns with a barrel longer than 22 inches;"	0
"He also called for an immediate cessation of all acts of violence and urged all parties to exercise maximum restraint and refrain from acts of retaliation, including attacks directed against state institutions."	1
"4. Furthermore, in accordance with the policy guidance adopted by the Committee on 25 May 2006, the Executive Directorate should also continue to advise the Committee on matters relating to international human rights law, refugee law and international humanitarian law in relation to identifying and implementing effective measures to implement the resolution 1373 (2001), as well as ways to ensure that measures taken by Member States to implement the provisions of resolution 1624 (2005) comply with their obligations under international law, in particular international human rights law, refugee law and international humanitarian law."	1
"Of the 7 cases reviewed, two received no income at all in the past month."	0
"The Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban (hereinafter referred to as the âCommitteeâ) has made great efforts to provide Member States with opportunities to express their views, either directly or through the Panel."	1
"39 - In this context, the Heads of State and Government support the need to review the applicable legal texts, in particular the Protocol on the Mechanism for the Prevention, Management and Resolution of Conflicts, Peacekeeping and Security and the Supplementary Protocol on Democracy and Good Governance, in order to reflect best practices with regard to presidential terms of office."	1
"Emphasizing the support of the Secretary-Generalâs Personal Envoy to Western Sahara, Ambassador Christopher Ross, and his work to facilitate negotiations between the parties, welcoming his ongoing consultations with the parties and neighboring States, and looking forward to his visit in the near future to the region, including Western Sahara, as stated in Statement of the informal meeting on Western Sahara held from 11 to 13 March 2012,"	1
"14 - Notes the development of the link between terrorism and information and communications technologies, especially the Internet, and the use of these technologies to commit terrorist acts and facilitate their commission through their use in incitement, recruitment, financing or planning for terrorist acts, and directs the Executive Directorate to continue to address this issue in consultation. With Member States, international, regional and subregional organizations, the private sector and civil society and to advise the Committee on other possible approaches;"	0
"73. Changes are needed to the reasoning mechanism, both for delisting and for remaining on the list, to ensure timely implementation and substantive content that properly reflects the analysis and conclusions of the independent reviewer."	1
"I therefore call on all stakeholders to ensure that the deadline for completing the voluntary disarmament of FDLR, 2 January 2015, remains binding and non-negotiable."	1
"34. Decides to review the implementation of the measures set out in this resolution after eighteen months and to make necessary adjustments, as appropriate, to support peace and stability in Afghanistan;"	1
"âThe Security Council stresses the need to bring to justice the perpetrators, organizers, financiers and masterminds of this abhorrent terrorist act, and urges all states to cooperate effectively with the Algerian authorities in this regard, in accordance with their obligations under the provisions of international law and resolution 1373 (2001) and in line with resolution 1624 (2005). )."	1
"Third: The African Union Mission in Somalia"	0
"âThe Security Council encourages the continued participation of relevant regional and subregional organizations in resolving disputes peacefully, as appropriate, including through conflict prevention, confidence-building measures and mediation efforts, and stresses the importance of harnessing in this regard the existing and potential capacities of regional and subregional organizations."	1
"The Council and troop- and police-contributing countries heard briefings by Edmund Millet, Assistant Secretary-General for Peacekeeping Operations, Abhijit Guha, Deputy Military Adviser, and Andrew Carpenter, Acting Police Adviser."	1
"The loss is partly or completely indirect."	0
"We have made contact with many of its officials at various levels to urge them to take firm and immediate steps to disarm these terrorists, arrest them, and hand them over to the United Nations Mission in the Democratic Republic of the Congo to stand trial for the crimes against humanity they have committed over the years."	1
"41- Industrial logging will resume under the terms of the Forestry Law reformed in 2006."	0
"Protection of civilians in armed conflict()"	0
"States have established regional mechanisms to ensure consistent legal and institutional capacity building in the areas of financial system oversight, law enforcement, border control, cooperation, attention to human rights and non-duplication of activities."	0
"India has entered into extradition arrangements with Australia, Fiji, Papua New Guinea, Singapore, Sri Lanka, Sweden, Tanzania and Thailand."	0
"On 2 May, the Under-Secretary-General for Legal Affairs and Legal Counsel, Nicolas Michel, briefed the Council on his recent trip to Lebanon and urged Council members to address the need to fill the gap and assist in the establishment of the Special Tribunal for Lebanon."	1
"Welcoming and expressing support for the steps taken to conclude nuclear-weapon-free zone treaties, and reaffirming its conviction that the establishment of internationally recognized nuclear-weapon-free zones on the basis of arrangements voluntarily reached among the States of the region concerned, in accordance with the guidelines established by the United Nations Disarmament Commission in 1999, supports global and regional peace and security, strengthens the non-proliferation regime and contributes to the achievement of nuclear disarmament objectives,"	1
"I have continued my dialogue with the Lebanese authorities on the issue and look forward to fulfilling these commitments soon."	1
"The network also aims to encourage contributions to policy at national and European levels, including the implementation of the 2005 EU Strategy to Combat Radicalisation and Terrorist Recruitment."	1
"The Monitoring Group noted in its analysis that at least 31 countries have established national committees or other mechanisms in order to bring all relevant agencies together to discuss issues related to counter-terrorism."	0
"18- The Ivorian economy is still suffering from the severe consequences of the crisis."	0
"Signing the commitment memorandum"	0
"In the opinion of the Secretary-General, these documents are in order."	0
"These visits include a total of 8 comprehensive visits (Uganda, Uzbekistan, Libyan Arab Jamahiriya, Lao People's Democratic Republic, South Africa, Cambodia, Egypt, and Saudi Arabia); Two regional visits covering six countries (Belgium, Denmark, Luxembourg, and the Netherlands in Western Europe; Burkina Faso and Senegal in West Africa); seven targeted visits (Australia, Panama, Republic of Korea, Singapore, Madagascar, United Kingdom of Great Britain and Northern Ireland, New Zealand), and three follow-up symptom visits (Bangladesh, Kenya, Mali)."	1
"The administrative support system for private bodies was headed by the coordinating judge, an international staff member."	0
"The situation in the Central African Republic (6 August 1997; 22 January 2014)"	0
"They also noted that the increased availability of information on the harmful effects of piracy has led to positive changes in former piracy hotspots."	1
"58. While many Member States have told the Group that the system is making a positive contribution to their national efforts to eliminate Al-Qaida and the Taliban, this review has tested their levels of support by calling for significant contributions, particularly from those States most affected by the threat. ."	1
"The result is that the detainee becomes an anonymous detainee, whose detention period sometimes exceeds 12 months, without being charged, without access to a lawyer, not appearing in court, and not being allowed visits."	0
"Any deprivation of liberty must be carried out in accordance with the provisions of Article 9: deprivation of liberty must not be arbitrary; It must be done in accordance with the law and the procedure established therein; Information must be provided about the reasons for the arrest; There must be access to a court to decide on the detention, as well as compensation in the event of a violation."	1
"They have a high level of discipline and perseverance, which is a source of pride for them, their countries, and the United Nations."	0
"In this regard, the Security Council welcomes the inaugural meeting of the United Nations-African Union Joint Task Force on Peace and Security held on 25 September 2010 and encourages the Task Force to focus on strategic and country-specific issues on the continent of interest to both organizations."	1
"Last Sunday, on the occasion of the twenty-first anniversary of the Hamas movement, Hamas leader Haniyeh refused to allow President Abbas to remain in office until the internal division was resolved."	0
"The objectives of the meeting were to initiate dialogue with the private sector; gain a better understanding of the challenges faced by the financial community in implementing the sanctions regime; identify ways to make compliance simpler, more cost-effective and more efficient; and generate ideas for improvement."	1
"(h) Brief the Council, through the Committee, mid-term, within 90 days of its establishment;"	1
"The Committee's focus will remain on monitoring and encouraging Member States' implementation of resolution 1373 (2001), and on taking practical measures to strengthen the capacity of States to combat terrorism, including measures aimed at facilitating technical assistance."	1
"S/RES/1674 (2006), operative paragraph 24"	0
"From 3 to 8 July, the Mission organized a training session on the topic âWomen and Leadershipâ for potential female candidates in the upcoming elections. On 25 August, the mission, together with a local non-governmental organization, started a weekly radio program to raise awareness of both female and male candidates."	0
"6. Also requests the Committee established pursuant to resolution 1267 (1999) to report to the Security Council on the implementation of this resolution, at regular intervals;"	1
"Requests the Secretary-General to ensure: (a) continued monitoring and reporting on the situation of children, within the framework of the reports referred to in paragraph 12 above; (b) Continue dialogue with parties to the conflict with a view to preparing time-bound plans of action to end the recruitment and use of child soldiers and other violations against children under international humanitarian law and international human rights law;"	1
":: Strengthening cooperation in bringing terrorists to justice, including cooperation in the areas of prevention, investigation and prosecution of terrorists and crimes."	0
"One speaker called for close scrutiny of the work of experts who assist sanctions committees by going to the field to examine the situation on the ground."	1
"2. This is the seventh report submitted by the Analytical Support and Sanctions Monitoring Team since its establishment in March 2004; Some of its topics are familiar and some are completely new."	1
"Also, the phrase “No. 1” was written using a felt pen and no paint was used to write it."	0
"There was likewise no evidence that the Government arrested perpetrators of attacks directed against civilians, as stated in the Joint Statement and Resolution 1556 (2004)."	0
"114 - The Monitoring Group obtained an audio recording of Tesfamichael revealing that in March 2013, Eritrea received several vehicles that were placed in the custody of the government garage administration in Asha Golgol."	0
"4 - The Executive Director is requested to submit, within 30 days of assuming office, and after consultation with and through the Secretary-General, an organizational plan to the General Assembly for approval, provided that the plan is consistent with the Committeeâs report (S/2004/124) and with The rules and regulations of the United Nations, including its structure, staffing requirements, budgetary requirements, management guidelines and appointment procedures, recognizing in particular the need for an effective and collaborative management structure for the new body and a staff with appropriate qualifications and experience, who shall be of international civil service personnel subject to Article 100 of the Charter, ensuring the highest levels of competence, competence and integrity, and giving due consideration to the importance of appointing personnel on the broadest possible geographical basis;"	1
"16 - In an attempt to contain the outbreak of the Ebola virus, some West African countries closed their borders and stopped commercial flights to the three most affected countries, Guinea, Liberia and Sierra Leone. On August 10, CÃ´te d'Ivoire imposed restrictions on flights to and from the three countries, followed by closing the land borders on August 22."	0
"I handed them a list of the names of the three defendants who are the senior military leaders of this group, and I made a note that two of them had been promoted."	0
"In accordance with the understanding reached by the Council in its prior consultations, the President, with the consent of the Council, extended an invitation under rule 39 of the Council’s provisional rules of procedure to Jean-Marie Guéhenno, Under-Secretary-General for Peacekeeping Operations."	0
"40 - Over the past month and a half, the Haitian authorities have made some initial attempts to address issues of administration of justice and detention."	0
"In some areas of the south, one in three children suffers from acute malnutrition."	0
"89- Shoreline Maintenance Works & Contracting Company Ahmed Abdullah Alqattan & Partner is requesting compensation for accounts owed to third parties related to a contract it concluded with the Iraqi Ministry of Transport and Communications on February 1, 1990."	0
"Meeting with the UN Country Team, NGOs, ECA and the Head of the UN Office (Addis Ababa)"	0
"The Security Council recognizes the need to prevent and suppress the financing of terrorism and terrorist organizations using, inter alia, the proceeds of organized crime, including the illicit production and trafficking of narcotic drugs and their precursor chemicals, and the importance of continuing international cooperation in this regard."	1
"1 - The first group: The group of six inspectors departed at 08.30 from the Canal Hotel in Baghdad and arrived at the College of Medicine/Al-Mustansiriya University located in the Al-Qadisiyah neighborhood in Baghdad."	0
"The investigation showed the presence of significant contamination residue."	0
"It appears that the combined forces of the MLC and RCD/N were aiming for this operation to go from town to town destroying everything they could get their hands on."	0
"I have full confidence in the efforts of my Special Adviser, Alexander Downer, and his team to support this outcome."	0
"16 - The following is a list of the most prominent militias:"	0
"56 - Encourages Member States, when reversing a decision to freeze the assets of a deceased individual or an entity that has been notified or determined to no longer exist after being delisted, to take into account the obligations set out in resolution 1373 (2001), and, in particular, to prevent the exploitation of assets The decision to freeze it was cancelled, in order to achieve terrorist objectives."	1
"Furthermore, participants agreed to step up pressure to disarm militias operating in the eastern part of the Democratic Republic of the Congo and to negotiate bilateral criminal exchange treaties for the remaining militia leaders."	1
"The gradual removal of the Green Line has been based on a comprehensive threat assessment; And to the consultations taking place with the Integrated Command Center; And to the improvement of the security situation in general, especially the assessment that concluded that the possibility of military confrontation between the former combatants was low."	1
"Develop a gender action plan in the department to integrate a gender perspective into conflict prevention, peacekeeping and peacemaking activities."	1
"Three countries have established a legal framework that addresses maritime security conditions and have partially implemented the international mandatory standards related to port and ship security set forth in the International Code for the Security of Ships and Port Facilities."	1
"The Committee also noted the progress made towards the possible appointment of facilitators at the regional level for other regional organizations, in particular the Commonwealth of Independent States and the Association of Southeast Asian Nations."	1
"On the other hand, Ms. Bangura believed that providing effective protection for civilians requires establishing accountability and allowing access to justice, which puts an end to the culture of denial."	1
"Taking into account the special nature of resolution 1373 (2001), the continuing threats to international peace and security posed by terrorism, the important role that the United Nations and the Security Council must continue to play in the global struggle against terrorism, and the need to strengthen the Committee as a responsible body of the Security Council, In this field, without this constituting a precedent for other Security Council bodies to follow,"	0
"Welcoming the efforts of the Burundian authorities to combat impunity, in particular the prosecution and conviction of some of the perpetrators of the Muyinga massacre,"	0
"The Australian Government, which currently chairs the Wassenaar Agreement, has presented an initiative to reduce the risks of using these systems to the ASEAN Regional Forum."	1
"Within one week of the Committee's adoption of a policy directive in a particular area, the Executive Directorate should develop a plan to implement the directive and submit it to the Committee for approval."	1
"(f) He welcomed the importance of the willingness expressed by the Executive Directorate to participate effectively in and provide support to all relevant activities within the framework of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force established to ensure comprehensive coordination and coherence In the counter-terrorism efforts of the United Nations system, he stressed the importance of this preparedness."	1
"I have the honor to inform you that I have received from the Government of Pakistan a request to establish an international commission on the assassination of former Prime Minister of Pakistan, Mohtarma Benazir Bhutto, on 27 December 2007."	1
"It is estimated that seven million people are in need of assistance across the country, of whom 5.2 million are covered by the 2015 Humanitarian Response Plan."	0
"This amendment is explained in paragraphs 58 to 66 of the Twenty-Third Batch (A) report."	0
"In the Hiraan region of central Somalia, heavy fighting on 7 and 8 June over land and water disputes on the western side of Beletweyne between the Galgeel and Jageel sub-clans of the Hawaya clan reportedly killed 36 people and injured 70."	0
"These policies must address all four pillars of the Women, Peace and Security agenda (i.e. participation, conflict prevention, protection, relief and recovery) to ensure the inclusion of refugee and internally displaced women in all protection, prevention, participation, relief and recovery efforts."	1
"This undermined international efforts aimed at facilitating the restoration of peace in Afghanistan."	0
"The current situation is no longer sustainable."	0
"The Monitoring Team recommends that the Committee establish minimum standards for identifying those on the list and facilitate its procedures for deletion of names if there is sufficient evidence to consider the holders dead."	1
"Among the meetings attended by the Group were two conferences that led to a specific request to UNODC to organize reporting workshops for States from Africa and the Caribbean/Latin America that were required to report to one or more of the three Security Council committees Which deals with the issue of combating terrorism ()."	1
"âThe Security Council stresses that regional and subregional organizations have an important role to play in combating the illicit trade in small arms and light weapons, and that it is necessary that the mandates assigned to peacekeeping operations, where appropriate, take into account regional instruments that enable States to detect weapons.â Small and light illicit and traceable."	1
"All countries in this subregion are members of the International Criminal Police Organization (INTERPOL) and have established National Central Bureaux of INTERPOL."	0
"(2) The criminal shall be punished with imprisonment for a period of eight to fifteen years, with confiscation of his property, if the court deems so, or with any exceptional punishment, if the act mentioned in Paragraph 1 results in serious bodily harm."	0
"However, he believed - and another speaker agreed - that the Council's initiatives should go beyond achieving coherence in its subsidiary bodies and aim for system-wide coherence within the United Nations when important issues, such as the fight against terrorism, were at stake."	1
"The situation in the Middle East"	0
"In order for countries to provide sufficient patrols to guard long coastlines, they must cooperate by exchanging information and surveillance data between coast guards, navies and customs administrations."	1
":: Some members stressed the need for the international community to collectively seek to encourage greater harmony and dialogue between cultures and religions, noting that terrorism has no belief, culture or religion."	1
"34 - Emphasizes the importance of consultation and cooperation between the United Nations, the International Committee of the Red Cross and other relevant relevant organizations, including regional organizations, in order to improve the protection of civilians in armed conflict;"	1
"- Pledges to strengthen coordination with the Peacebuilding Commission, and looks forward to the 2010 review of the Peacebuilding Commission and recommendations on how to further strengthen its role;"	1
"B. Box 365-16595, Tehran, Iran"	0
"âThe Security Council also reaffirms the need to work by all means, in accordance with the Charter of the United Nations, to combat risks to international peace and security resulting from terrorist acts. The Council reminds States that they must ensure that any measures they take to combat terrorism comply with all obligations under It was decided under international law, in particular international human rights law, international refugee law and international humanitarian law."	1
"7 - Reiterates that ending the phenomenon of impunity is essential for societies experiencing or recovering from conflict to achieve reconciliation with the past, including attacks committed against civilians affected by armed conflicts, and to prevent such attacks from occurring in the future, and draws attention to the fact that there is a group Full range of justice and reconciliation mechanisms that could be considered, including national, international and 'hybrid' criminal tribunals and truth and reconciliation commissions, noting that such mechanisms can promote not only individual responsibility for serious crimes, but also peace, truth, reconciliation and the rights of victims;"	1
"A sample of records indicates that flight plans, departures and estimates are sent only by Entebbe."	0
"1 - Syria reiterates its emphasis on the initiative it launched more than two decades ago to hold an international conference under the supervision of the United Nations to define terrorism and distinguish between it and the struggle of peoples against foreign occupation."	1
"Shah provided only the following basic details about the six projects."	0
"The Council stresses the need for all military actions against the Lord's Resistance Army to adhere to applicable international law, including international humanitarian law, international human rights law and international refugee law, and the need to minimize the risk of harm to civilians in those areas."	1
"By the end of this year, we expect to have the tools to better enforce the law in the fight against drugs."	0
"Calling upon States to ensure, consistent with international law, in particular international human rights law and international refugee law, that refugee status is not abused by those who commit, organize or facilitate terrorist acts, including foreign terrorist fighters,"	1
"This committee, which should be chaired by an international member, should be composed of persons of established international reputation, some of whom specialize in law (particularly international law, tort law or commercial law), and some in accounting, loss adjustment and environmental damage."	1
"One country cited a broad counter-extremism plan, adopted in 2006, that aims to combat extremism while also protecting democratic values."	1
"The mandate of that office, contained in document S/1999/232, is as follows:"	0
"8- Decides to keep the matter under consideration."	0
"(b) Monitor and report on the human rights situation, in cooperation with the Office of the United Nations High Commissioner for Human Rights, including with regard to the situation of hostile refugees and displaced persons."	0
"As mentioned before, in accordance with the decision taken by the Government, the Financial Intelligence Unit will temporarily assume the role of oversight in the case of professionals and technical staff who do not have a competent self-supervisory association."	0
"President of the Republic of Angola"	0
"205. The Committee recommends that consideration be given to expanding the pool of candidates for these positions in order to maximize the capacity to recruit the most qualified personnel."	1
"The Committee notes that there is no evidence that the assassination of 8 police officers and the wounding of 27 police officers were beyond the scope of spontaneous acts carried out by individuals who were absolutely not subject to the orders of the hierarchical structure of the Timorese Defense Forces."	1
"2 - The situation in the Middle East."	0
":: Visual content and the integration of the media and communications sectors."	0
"This date was not adhered to. On 20 February 2008, President Gbagbo signed a decree formally establishing a working group to develop this framework."	0
"12 - In short, it can be said that the militias have continued and intensified their attacks on civilians recently, but not on the widespread and systematic scale witnessed in the months preceding the joint statement."	0
"It helps raise the international community's awareness of counter-terrorism issues, and provides states and organizations with a useful forum in which to discuss new threats and initiatives related to building the necessary capabilities to address challenges related to terrorism."	1
"The Security Council also calls on the three committees to continue their cooperation with the working group established pursuant to resolution 1566 (2004)."	1
"412 - The abduction of people during Janjaweed attacks and their detention in camps maintained by the Janjaweed, with the support and complicity of government military forces, constitute serious human rights violations and fall under the category of enforced disappearances."	0
":: And directing an appeal to the Security Council to establish, in agreement with the African Union, an international force to neutralize armed groups, support national reconciliation, and establish stable democratic institutions in Libya."	1
"10. On 7 September, the High-level Working Group between the Government of Chad and the United Nations held its third meeting to assess the situation on the ground with regard to the protection of civilians and the implementation of the measures adopted by the Government in order to implement the tasks contained in paragraph 4 of resolution 1923 (2010)."	0
"At the same time, despite the promises raised by the democratization process, one should not forget that this is a very responsible phase in the history of the Middle East and requires the highest levels of vigilance and painstaking work in order to rule out miscalculations and unpredictability regarding the future of the region. ."	0
"33. The Panel estimates that current Liberian production is approximately 130 to 150 thousand carats per year."	0
"2 - Reiterates that the authorities in Bosnia and Herzegovina bear the primary responsibility for achieving further success in the implementation of the peace process, and that the international community and major donorsâ continued willingness to bear the political, military and economic burden of implementation and reconstruction efforts will be determined by the compliance and active participation of all authorities in Bosnia and Herzegovina. In implementing the Peace Agreement and rebuilding civil society, in particular in full cooperation with the International Criminal Tribunal for the Former Yugoslavia in strengthening joint institutions and facilitating the returns of refugees and displaced persons;"	1
"1.7 Current Irish laws do not provide for the use of special investigative techniques."	0
"Report of the Secretary-General on the situation in Abyei"	0
"Resolution 1267, which reflects the international community's determination to restrict the activities of Al-Qaeda, played a prominent role in keeping the focus on the need to prevent the flow of funds to terrorist groups and restrict the movement of their members."	1
"The Executive Directorate has adopted a multimedia approach to communicate with its target audiences, using communication tools and channels such as the Committee's website, a Twitter account and e-newsletter, and the information services provided by the Department of Public Information."	1
"The Council calls on the United Nations Women's Machinery to contribute regularly to the work of the Council on women, peace and security, and notes the valuable role that the Body will play in supporting the role of women in building peace and preventing sexual violence in conflict situations, including through coordination of policies and programs related to women. And girls make it consistent."	1
"The government did not take the necessary administrative and legislative measures to combat the corruption situation in temporary institutions."	0
"6 - Forcible transfer of the civilian population"	0
"The government has received revenues worth more than $59,000 from these exports."	0
"The United Nations is studying the best ways to strengthen counter-terrorism capabilities in UN special political missions, peacekeeping operations, and United Nations country teams."	1
"73 - The situation in Georgia (8 October 1992; 15 June 2009)."	0
"(b) Political and military leaders of foreign armed groups operating in the Democratic Republic of the Congo who obstruct the disarmament and voluntary repatriation or resettlement of combatants of those armed groups;"	0
"In this area, we would also like to refer to the law implementing the European customs rules that applies here."	0
"These measures, if implemented, would greatly enhance Somalia's capacity to conduct counter-piracy operations off its coast."	1
"Member States should also take steps to detect and track the movements of illicit small arms and light weapons in a timely and reliable manner."	0
"Letter to the Government of the Republic of Chad"	0
":: Policy and planning issues and the preparedness gap in relation to the protection of civilians; risks and challenges related to implementing mandates in the field; How to better integrate the experiences gained by troop- and police-contributing countries and the challenges they face in implementing the protection of civilians into the development of future strategies and guidance; How to ensure that all peacekeeping personnel are trained using the same standards in the protection of civilians"	1
"Although the scope for implementing the measures may be limited in the border area between Afghanistan and Pakistan and the ungoverned areas of the southern desert, they nonetheless address three basic needs of terrorist groups: money, mobility, and the means to launch attacks."	0
"Scheduled for Wednesday, 20 May 1998, at 3 p.m."	0
"58 - The pattern of resolving political disputes and protecting interests using weapons continues, and is being sustained by the continuing and increasing acquisition of weapons from sources outside Somalia in violation of the arms embargo."	0
"He granted petition mandates and decided on the measures to be taken, particularly in the area of ââcrime scene preservation."	0
"With regard to claims, compensable losses vary widely in type and location."	0
"There is no conducive environment for the \"hawala\" process."	0
"It is necessary to address recurring criticisms of the fairness and transparency of the system, so that the Committee can direct its attention more fully to confronting the threat posed by Al-Qaida and the Taliban."	0
"48. The situation in Myanmar (15 September 2006; 2 May 2008)."	0
"United Technologies Corporation- Pratt & Whitney, Government Engines & Space Propulsion"	0
"(a) Ensure the effective protection of civilians, including humanitarian personnel and human rights defenders, who are at imminent risk of falling victim to physical violence, in particular violence from any of the parties involved in the conflict;"	1
"During my meetings with the Congolese authorities at the highest level, including President Kabila, I raised issues related to the need for a fair trial before the courts and the issuance of death sentences."	1
"All countries introduced laws to prevent and suppress the movement of terrorists across borders, and 4 countries took practical steps to pursue criminals."	0
