"","en_ar_GOOGLE","MatCoop"
"14","1 - عملا بقرار مجلس الأمن 1956 (2010)، الفقرة 4، التي يطلب فيها أن تقدم حكومة العراق تقريرا مكتوبا إلى المجلس في موعد أقصاه 1 أيار/مايو 2011 عن التقدم المحرز نحو التحول إلى آلية ما بعد صندوق التنمية ونود أن نبلغ مجلس الأمن بأن حكومة العراق قد أكملت الترتيبات التي ستضمن الانتقال الكامل والفعال إلى هذه الآلية. وتشمل تلك التدابير ما يلي:",1
"15","188. تشير روايات شهود العيان عن العديد من الحوادث المنشورة في هذه التقارير إلى أن القوات المهاجمة كانت ترتدي الزي الرسمي، لكنها تميز بين الزي الذي يرتديه الجيش النظامي وزي الجنجويد.",0
"16","1. ثالث أكسيد النيتروجين (CAS 10544-73-7)؛",0
"17","وكجزء من القمة أيضًا، سيسعى المجلس إلى تعميق التنسيق مع الهيئات المتعددة الأطراف الأخرى العاملة في هذا المجال، مثل فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وكياناتها الـ 31، ومركز الأمم المتحدة لمكافحة الإرهاب، ومكتب الأمم المتحدة المعني بشؤون الإرهاب. المخدرات والجريمة والمنظمة الدولية للشرطة الجنائية (الإنتربول).",1
"18","وفي أمريكا الوسطى ومنطقة البحر الكاريبي، تدير عملية حوار سان خوسيه برامج بشأن التكامل ومنع الإرهاب والتحريض.",1
"19","وقد بلور التقرير الأخير للأمين العام (S/2012/376)، مثل التقريرين السابقين (S/2009/277 وS/2010/579)، النقاش حول خمسة تحديات أساسية حددها: تعزيز امتثال أطراف النزاع مع القانون الدولي؛ وتعزيز امتثال الجماعات المسلحة من غير الدول؛ وتعزيز الحماية التي توفرها بعثات الأمم المتحدة لحفظ السلام وغيرها من البعثات ذات الصلة؛ وتحسين وصول المساعدات الإنسانية؛ وتعزيز المساءلة عن الانتهاكات.",1
"20","ورغم أن القوات الحكومية ربما لم تكن قد شاركت بشكل مباشر في معظم الحوادث في التدمير، فإن تواطئها في الهجمات التي تم خلالها التدمير ووجودها في مكان الحادث يكفي لجعلها مسؤولة بشكل مشترك.",0
"21","ج. كاليمانزيرا وزير الداخلية بالنيابة",0
"22","ومع مراعاة أن هاتين الميليشيتين تحتفظان بعلاقات إقليمية وثيقة، أتوقع أن تتصرف حكومة الجمهورية العربية السورية بشكل بناء في هذه العملية.",1
"23","يحث المجتمع الدولي على تقديم الدعم والمساعدة لتمكين الدول من الوفاء بمسؤولياتها فيما يتعلق بحماية اللاجئين وغيرهم من الأشخاص المحميين بموجب القانون الإنساني الدولي.",1
"24","وفي عام 2010، قدم الاتحاد الروسي تشريعا شاملا لتعزيز الضوابط على استيراد/تصدير وتداول الأسلحة والمتفجرات، مع إسناد المسؤولية العامة عن الإشراف على هذه التدابير والتحقيق فيها وتنفيذها إلى مكتب المدعي العام. مراقبة الحدود 194- تصدر جميع دول المنطقة دون الإقليمية وثائق سفر يمكن قراءتها آلياً.",1
"25","40 - وواصل مكتب الأمم المتحدة المعني بالمخدرات والجريمة تقديم المساعدة التقنية في مجال مكافحة الإرهاب إلى بلدان شرق أفريقيا. على سبيل المثال، وبالتشاور الوثيق مع السلطات الوطنية في جيبوتي وإثيوبيا وكينيا والصومال، وضعت برامج مساعدة طويلة الأجل خاصة بكل بلد لتعزيز استجاباتها في مجال العدالة الجنائية للإرهاب وفقا لسيادة القانون ومع الاحترام الواجب لحقوق الإنسان. حقوق.",1
"26","تتطلب الاستجابة بفعالية للمشاكل التي تواجهها النساء اللاجئات والنازحات داخلياً اتباع نهج شامل يجمع بين الاستراتيجيات الوقائية والاستجابات والحلول.",1
"27","159- خلال النزاع المسلح في كوت ديفوار في الفترة 2002-2003، قُدر عدد الليبيريين الذين يقاتلون في صفوف حكومة كوت ديفوار بما يتراوح بين 1500 و2500 شخص، في حين يعتقد أن ما يقرب من 1000 شخص قاتلوا إلى جانب المتمردين الإيفواريين ( انظر S/2004/972).",0
"28","خسائر أخرى - 3,891,254 دولار أمريكي",0
"29","واتخذ المجلس بالإجماع القرار 2185 (2014)، وهو أول قرار له مخصص لقضايا الشرطة. وتضمن القرار عددا من التدابير العملية لزيادة فعالية عمل الأمم المتحدة في مجال الشرطة.",0
"30","وتعاونت قوة كوسوفو وشرطة بعثة الأمم المتحدة في الإدارة الأمنية للمناسبات العامة الكبرى، ومكافحة العنف السياسي، وتوفير تدابير أمنية خاصة لمجتمعات الأقليات المهددة.",1
"31","96. ولاحظت اللجنة أن قانون قوات الأمن الوطني، بصيغته المعدلة في عام 2001، يمنح قوات الأمن صلاحيات واسعة النطاق، بما في ذلك سلطة الاحتجاز دون تهمة أو الوصول إلى قاض لمدة تصل إلى تسعة أشهر.",0
"32","20 - وقد قرر فريق الرصد خلال فترة الولاية الحالية أن تدفقات الأسلحة من اليمن إلى الصومال لم تأت فقط من الجماعات الإجرامية (إلى بنك المغرب لتشتريها المعارضة) ولكن أيضا من حكومة اليمن مباشرة إلى الحكومة الاتحادية الانتقالية.",1
"33","وذلك يوم الجمعة 16 سبتمبر 2011 الساعة 15:55",0
"34","وينبغي أن يكون لعدم الامتثال للالتزامات بموجب الميثاق عواقب على أي دولة عضو، ولا ينبغي أن يكون السودان استثناءً.",0
"35","1. الممتلكات المادية الأخرى 185-216 44",0
"36","195 - وقد أعطت هذه القراءة للمعلومات من قبل بعض المصادر بعدا إضافيا للصراع.",0
"37","27. لقد أعربت في عدة مناسبات عن اقتناعي الراسخ بأن نزع سلاح حزب الله والميليشيات الأخرى يمكن أن يتم على أفضل وجه من خلال عملية سياسية بقيادة لبنانية، والتي ستحقق الهدف النهائي المتمثل في عدم وجود أسلحة أو قوات مسلحة في لبنان سوى تلك الخاصة بالدولة اللبنانية.",1
"38","(أ) أن تأمر الشخص بمغادرة غيانا ويتحرك على الفور بنفس وسيلة النقل التي وصل بها، أو بوسائل أخرى؛",0
"39","وعلى مدى 54 ساعة، جرت مناقشات مستفيضة وصعبة حول مسألة فريق تقصي الحقائق في مخيم جنين للاجئين.",0
"40","لقد أصبح مدى التلوث بالذخائر العنقودية واضحا بشكل متزايد مع تقدم عمل منظمة مكافحة الألغام الأرضية.",1
"41","إنشاء واستخدام ترتيبات فعالة للتحقيق في الانتهاكات الجسيمة للقانون الإنساني والقانون الجنائي ومقاضاة مرتكبيها، على المستوى المحلي و/أو الدولي (منذ بداية العملية).",1
"42","- المادة السابعة من القانون الاتحادي في شأن تنفيذ العقوبات الدولية (قانون العقوبات، الجريدة الرسمية للقانون الاتحادي الأول، العدد 36/2010)",0
"43","16 - وفي محاولة لاحتواء فيروس إيبولا، أغلقت بعض بلدان غرب أفريقيا حدودها وأوقفت الرحلات الجوية التجارية إلى الدول الثلاث الأكثر تضررا، وهي غينيا وليبيريا وسيراليون. وفرضت كوت ديفوار قيودا على الطيران من وإلى الدول الثلاث في 10 آب/أغسطس، أعقبها إغلاق الحدود البرية في 22 آب/أغسطس.",1
"44","(ب) توفير التدريب للموظفين العموميين، وأفراد القوات المسلحة والجماعات المسلحة، والأفراد المرتبطين بالقوات المسلحة، والشرطة المدنية، وموظفي إنفاذ القانون، وأعضاء المهن القضائية والقانونية؛ ورفع مستوى الوعي بين المجتمع المدني والسكان المدنيين بشأن القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين ذي الصلة، وكذلك بشأن الحماية والاحتياجات الخاصة وحقوق الإنسان للنساء والأطفال في حالات النزاع، لتحقيق الامتثال الكامل والفعال؛",1
"45","تنتهج جميع الدول سياسة لمكافحة الإرهاب، والأغلبية العظمى منها لديها وعي بتنظيم القاعدة وحركة الطالبان، على الرغم من أن العديد منها قد لا تكون القائمة الموحدة هي محور تركيزها الأساسي.",1
"46","التقدم المحرز في القضاء على برنامج الأسلحة الكيميائية السوري",1
"47","&quot;ويشدد مجلس الأمن على استمرار الحاجة إلى اتخاذ تدابير لمنع وقمع تمويل الإرهاب والمنظمات الإرهابية، ويكرر تأكيد التزامات الدول الأعضاء في هذا الصدد، بما في ذلك التنفيذ الفعال لهذه التدابير، وينوه بالعمل الهام الذي تضطلع به كيانات الأمم المتحدة ومنظماتها. والمنظمات المتعددة الأطراف الأخرى، ولا سيما فرقة العمل المعنية بالإجراءات المالية.",1
"48","السيد محمود عبود، وزير مستشار، البعثة الدائمة لجزر القمر لدى الأمم المتحدة",0
"49","هاء- المدفوعات أو الإعانات المقدمة للغير 104-156 25 1.",0
"50","وعلى الرغم من المؤشرات التي تشير إلى تعزيز الآليات التأديبية الداخلية للشرطة الوطنية، كان التقدم بطيئا في تقديم أفراد الأجهزة الأمنية المسؤولين عن الانتهاكات إلى العدالة من خلال المحاكم.",1
"51","وتتمتع إجراءات اللجوء بالحماية من إساءة استخدام الإرهابيين في سبع دول وجزئياً في دولة واحدة.",1
"52","في 5 تشرين الثاني/نوفمبر، أجرى المجلس مشاورات بشأن الجمهورية العربية السورية، واستمع إلى إحاطة، عبر الفيديو من بيروت، من المستشارة الخاصة للأمين العام، سيغريد كاغ، بشأن تنفيذ القرار 2118 (2013) وإلغاء القرار 2118 (2013) برنامج الأسلحة الكيميائية للجمهورية العربية السورية.",1
"53","(ت) أي مسؤولية أخرى تحددها اللجنة.",0
"54","ويعمل فريق من الخبراء، المنشأ عملا بالقرار 1929 (2010)، تحت إشراف اللجنة ويساعدها في تنفيذ ولايتها.",1
"55","وقد أنشأت خمس منها ولاية قضائية مناسبة للجرائم ذات الصلة في تشريعاتها.",1
"56","وتولى القاضي المخصص الأول مهامه في 1 أيلول/سبتمبر 2003، ووصل ثلاثة قضاة مخصصين آخرين في تشرين الأول/أكتوبر 2003.",0
"57","وقد طلبت أن يواصل مكتب الأمم المتحدة المتكامل جهوده لدعم الحكومة في سعيها لتأمين المساعدة الثنائية في مجال بناء قدرات قواتها الوطنية.",1
"58","&quot;ويشير مجلس الأمن إلى تصميمه على رفع مستوى الرقابة الاستراتيجية على عمليات حفظ السلام، مع مراعاة الدور الهام الذي تؤديه عمليات حفظ السلام في حماية المدنيين، ويؤكد من جديد دعمه للجهود التي يبذلها الأمين العام لاستعراض عمليات حفظ السلام وتوفير التخطيط المعزز ويدعم ويجدد تشجيعه لتعميق هذه الجهود، بالشراكة مع البلدان المساهمة بقوات عسكرية وشرطة وغيرها من أصحاب المصلحة المعنيين.",1
"59","وذلك يوم الجمعة 20 يوليو 2012 الساعة 11 صباحا",0
"60","ولذلك، فإن دور المجلس في تقديم التعويضات لضحايا انتهاكات القانون الدولي يمكن أن يكون عملياً وفعالاً.",1
"61","من المؤكد أن هناك أشخاصاً يشعرون بعدم الارتياح إزاء ما يعتبرونه اهتماماً مفرطاً، بل وسلبياً، بالتوازن العرقي.",0
"62","وقام الشيخ يوسف إندوهادي بنقل أفراد الميليشيا من مطار بليدوغلي إلى مواقع شمال شرق جوهر.",0
"63","(للفترة من 1 حزيران/يونيه إلى 27 تشرين الثاني/نوفمبر 2000)",0
"64","(ب) أن ينشئ، وفقا للمادة 28 من نظامه الداخلي المؤقت، لجنة تابعة لمجلس الأمن تتألف من جميع أعضاء المجلس لتتولى المهام المبينة في مرفق هذا القرار؛",1
"65","وعلى الرغم من الاهتمام المتزايد والتطورات الإيجابية الأخيرة في هذا المجال، لا تزال هناك تحديات عديدة على أرض الواقع فيما يتعلق بالتنفيذ، ولا سيما التحديات المتعلقة باستمرار عدم الوضوح الذي يحيط بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، الإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.",0
"66","8 - الحالة في الصومال (17 آذار/مارس 1992؛ 25 آب/أغسطس 2010).",0
"67","وكان مقدمو الالتماس يرتدون بشكل رئيسي الزي الرسمي للقوات المسلحة التيمورية. وكانوا غير مسلحين.",0
"68","وأنشأ بلد آخر فريقا عاملا مشتركا بين الإدارات معنيا بالهجرة لتنفيذ التدابير الرامية إلى تشجيع التكامل، بما في ذلك في مجالات المهارات اللغوية والتدريب على العمل، وتعزيز الحوار مع المهاجرين ورصد كره الأجانب والعنصرية والتطرف.",1
"69","وضع مبادئ توجيهية عملية لدمج منظور النوع الاجتماعي في عمليات إعادة الإعمار المستدامة في بيئات ما بعد الأزمات ومبادئ توجيهية شاملة للمرجع الميداني؛ معالجة قضايا المساواة بين الجنسين وإدارة الأراضي والممتلكات في حالات ما بعد الصراع؛ تطوير مجموعة أدوات لتوفير أساس مفاهيمي لقضايا النوع الاجتماعي فيما يتعلق ببرامج الحكم في بيئة ما بعد الصراع.",1
"70","وستشمل هذه التدابير مواصلة العمل لزيادة قدرة اللجنة، بما في ذلك من خلال تعزيز التعاون مع لجنة الجزاءات المفروضة على تنظيم القاعدة وحركة الطالبان المنشأة عملا بالقرار 1267 (1999) واللجنة المنشأة عملا بالقرار 1540 (2004).",1
"71",":: سيتم الحفاظ على هيكل CEI وفقًا لاتفاق بريتوريا",0
"72","وفي اليوم التالي، غادر السيد طه لبنان براً باتجاه الجمهورية العربية السورية.",0
"73","ورحب الممثل الخاص بالجهود التي تبذلها حكومة جمهورية الكونغو الديمقراطية لحماية الأطفال، ولا سيما التوقيع في 4 تشرين الأول/أكتوبر 2012 على خطة العمل لإنهاء ومنع تجنيد واستخدام الأطفال والعنف الجنسي وغيره من الانتهاكات الجسيمة ضد الأطفال. على أيدي القوات المسلحة وقوات الأمن الوطنية، ومشاركة الحكومة في حملة &quot;أطفال، لا جنود&quot;، وتعيين مستشار رئاسي في 14 تموز/يوليه 2014 معني بالعنف الجنسي وتجنيد الأطفال.",0
"74","الحالة في سيراليون (انظر S/2001/15/Add.7؛ انظر أيضا S/2000/40/Add.50؛ S/2001/15/Add.4, 10, 13, 20, 26, 38, 45 و 51؛ S/2002/30/Add.2، 8، 12، 18، 20، 27، 38، 48 و49؛ و 51 و S/2004/20/Add.10 و 13 و 22 و 24 و 37 و 51).",0
"75","وتقوم مراكز تبادل المعلومات الثلاثة المنشأة في صنعاء ومومباسا (كينيا) ودار السلام (جمهورية تنزانيا المتحدة) بإدارة شبكة من مراكز التنسيق في جميع أنحاء المنطقة، بما في ذلك في الصومال، وتوفر معلومات عن أنشطة القرصنة وتحركات المراكب الشراعية.",1
"76","ويحث مجلس الأمن جميع أطراف النزاع المسلح، بما في ذلك الأطراف من غير الدول، على وضع حد لهذه الممارسات.",0
"77","36. المسؤولية السياسية لمن خططوا للمسيرة، رغم الحظر والأجواء المتوترة التي خلقها رسم &quot;المنطقة الحمراء&quot; وتعبئة واستخدام الجيش والتصريحات الصادرة عن أعلى سلطة في الدولة ، يجب أيضًا التأكيد عليه بوضوح.",0
"78","لقد كانت جنوب أفريقيا دائما من بين الدول التي أدانت جميع أعمال العنف والإرهاب والاستخدام المفرط والعشوائي للقوة والتدمير المادي للممتلكات.",0
"79","وينبغي تطوير القدرات الكافية في المجالات الرئيسية لإدارة الأزمات المدنية، مثل الشرطة والعدالة وسيادة القانون، والتحضير للعمليات الانتخابية ومراقبة الانتخابات، والحماية المدنية والإدارة العامة.",1
"80",":: 26 نيسان/أبريل 2005، مغادرة آخر القوات السورية لبنان، منهية وجودا عسكريا دام 29 عاما.",1
"81","قامت منظمة الطاقة الذرية الإيرانية بصياغة لائحة بشأن الحماية المادية للمنشآت والمواد، استنادا إلى الوكالة الدولية للطاقة الذرية، INFCIRC/225",0
"82","فقرات إضافية (الفقرات 2 و6 و7)",0
"83","ويجب أن أقول إن الموضوع الذي تم اختياره لمناقشتنا اليوم، رغم أنه آسر، يشكل تحديا كبيرا.",0
"84","بالنسبة لإثيوبيا، فإن المحصلة النهائية هي تحرير أرضها، أولا وقبل كل شيء.",0
"85","خلفية يصادف عام 2014 الذكرى السنوية الخامسة عشرة لمشاركة مجلس الأمن في حماية المدنيين في النزاعات المسلحة.",0
"86","دخل الفريق الموقع عند الساعة 8.52 صباحاً وقام بما يلي:",0
"87","(ج) القيم المتبقية 289-292 72",0
"88","ومن الممكن أن تشكل الزيادة المحتملة خلال عام 2013 في توافر أنظمة الدفاع الجوي المحمولة للجماعات المنتسبة إلى تنظيم القاعدة في أفريقيا، نتيجة للنزاع في الجمهورية العربية السورية، تهديدا في المستقبل.",0
"89","وتؤكد التقارير الأخيرة عن المقاتلين السابقين الذين لقوا حتفهم بسبب المرض والجوع في مخيم كوتاكولي ضرورة قيام الحكومة بتوفير الموارد اللازمة لمعالجة الأوضاع السيئة في مواقع ما قبل نزع السلاح والتسريح وإعادة الإدماج، بما في ذلك عن طريق إتاحة مبلغ 10 ملايين دولار الذي تعهدت به المساهمة في الخطة الجديدة.",1
"90","وشددت الدائرة الابتدائية أيضًا على أن ما تشترطه القواعد الدولية المتعلقة بالإبادة الجماعية هو أن تكون المجموعة المستهدفة مجموعة مستقرة ودائمة، وتتشكل بطريقة دائمة ويتم تحديد عضويتها بالميلاد ويمكن تحديد هويتها بهذه الصفة (الفقرتان 511 و 511). 702).",0
"91","ونحث إسرائيل على اتخاذ المزيد من الإجراءات لإزالة البؤر الاستيطانية المتقدمة وفقا لخارطة الطريق والتصدي للتهديد المتزايد الذي يشكله التطرف الاستيطاني.",0
"92","لم يدخر آباؤنا المؤسسون جهدًا لتكريس هذه المبادئ القديمة في دستورنا.",0
"93","ومن بين أنظمة الجزاءات الـ 12 التي فرضها مجلس الأمن، تتضمن خمسة منها معايير إدراج تتعلق بانتهاكات القانون الدولي لحقوق الإنسان والقانون الإنساني الدولي، ولا سيما تلك المتعلقة بانتهاكات حقوق الأطفال والنساء في حالات النزاع.",1
"94","ودعا القيادة الصومالية إلى تكثيف الجهود لتنفيذ خريطة الطريق والالتزام بالموعد النهائي للانتقال في آب/أغسطس 2012.",1
"95","9. تحظر اللائحة 9 من اللوائح الليبية تقديم خدمة خاضعة للعقوبات إما غير مصرح بها من قبل الوزير وفقًا للائحة 10، أو لا يتم تقديمها فيما يتعلق بتوريد خاضع للعقوبات ومصرح به وفقًا للائحة 7.",0
"96","وقد دأبت هيئات مكافحة الإرهاب التي عهد إليها المجلس بتنفيذ القرار 1373 (2001)، في العقد اللاحق، على التعامل بشكل روتيني مع الروابط المحتملة بين الإرهاب والجريمة المنظمة باعتبارها تقع ضمن نطاق اختصاصها.",1
"97","كما أشير إلى تحسن العلاقات بين تشاد والسودان، ويقظة قوات الأمن الوطنية وقوات الأمن على الحدود المشتركة، باعتبارها من العوامل المساهمة الهامة.",1
"98","10 - وفي الفترة من 24 إلى 28 تشرين الأول/أكتوبر 2011، أكملت الشعبة الاستشارية العسكرية المدنية التابعة لقوة كوسوفو وقوة أمن كوسوفو بشكل مشترك مرحلة المواءمة في التقييم المشترك الرابع لهما.",1
"99","12 - وفيما يتعلق بضوابط الحدود والصادرات، دخل قانون التجارة الاستراتيجية لعام 2010 في ماليزيا حيز النفاذ في 1 كانون الثاني/يناير 2011، واعتمدت فنلندا قانونا جديدا لمراقبة الصادرات.",1
"100","17 - أعتقد أن مهمة الكشف عن مصير المفقودين من الكويتيين ورعايا الدول الثالثة مهمة ملحة ولا ينبغي أن تتأثر بالعوامل والاعتبارات السياسية.",0
"101","ومن شأن نقطة الاستفسار هذه أن تكمل مكاتب المساعدة الوطنية التي أوصى الفريق في السابق بأن تنشئها الدول الأعضاء (S/2007/132، الفقرات 61 إلى 64، و S/2007/677، الفقرة 138).",1
"102","ويقدر صندوق النقد الدولي حاليا نمو الناتج المحلي الإجمالي بنسبة 8 في المائة لعام 2013.",0
"103","وإذ نرحب بالخطوات المتخذة لإبرام معاهدات المناطق الخالية من الأسلحة النووية ونؤيدها، ونؤكد من جديد اقتناعنا بأن إنشاء مناطق خالية من الأسلحة النووية معترف بها دوليا على أساس ترتيبات يتم التوصل إليها بحرية بين دول المنطقة المعنية، ووفقا مع المبادئ التوجيهية لهيئة نزع السلاح التابعة للأمم المتحدة لعام 1999، وتعزيز السلام والأمن العالمي والإقليمي، وتعزيز نظام عدم الانتشار النووي، والمساهمة في تحقيق أهداف نزع السلاح النووي،",0
"104","تلقى هابسادي دعمًا ماليًا وعسكريًا من آتو، وموسى سودي، والشيخ يوسف إندوهادي وآخرين.",1
"105","وتشير التقديرات إلى أن 1000 شخص ما زالوا في مدينة حمص القديمة.",0
"106","66 - وقد أُنشئت عدة آليات للتعاون الإقليمي لتعزيز قدرة الدول على القيام بشكل جماعي بمنع التحريض والحرمان من الملاذ الآمن في منطقة أمريكا اللاتينية والبحر الكاريبي.",1
"107","61 - وتتمثل حماية المدنيين في شرق تشاد في ما هو أكثر من مجرد ضمان الأمن الجسدي للاجئين والمشردين والعاملين في المجال الإنساني، وتوفير الدعم اللوجستي والهياكل الصلبة للمفرزة الأمنية المتكاملة.",1
"108","ميزت المحكمة الابتدائية قرارات سابقة تؤيد الجزاءات بموجب القرار 1267 من خلال الإشارة إلى أن القرار 1373 (2001) لا يحدد أشخاصا محددين يجب تجميد أصولهم، واتخاذ قرار بفرض جزاءات على أهداف معينة، والعملية المستخدمة للتوصل إلى هذا القرار، إنها مسألة تقديرية للدول الأعضاء وبالتالي تخضع لمزيد من المراجعة البحثية.",0
"109","ويذكّر هذا الإعلان العالم بضرورة معاملة ضحايا الجريمة بتعاطف واحترام، وينص على حقهم في الحصول على العدالة والمعاملة العادلة والحصول على الجبر في شكل رد الحقوق والتعويض وغير ذلك من المساعدات عن الأضرار التي لحقت بهم.",1
"110","(ج) قررت أن تستمر المديرية التنفيذية في العمل كبعثة سياسية خاصة في ظل توجيهات السياسة العامة للجنة للفترة المنتهية في 31 كانون الأول/ديسمبر 2010، وقررت كذلك إجراء استعراض مؤقت بحلول 30 حزيران/يونيه 2009، وإجراء دراسة شاملة للمسألة عمل المديرية التنفيذية قبل انتهاء ولايتها؛",1
"111","وفقا للفقرة 39 من هذا القرار، يعمل فريق الرصد تحت إشراف اللجنة المنشأة عملا بالقرار 1267 (1999) ويتولى المسؤوليات التالية:",1
"112","14 - يعرب عن استعداده للنظر في أي طلب إضافي للمساعدة من الحكومة اللبنانية لضمان محاسبة جميع المسؤولين عن هذه الجريمة؛",1
"113","ولم يتوصل المجلس إلى أي نتيجة محددة.",0
"114","وبحسب إفادته، فإنه كان في مكتبه عندما سمع الانفجار، لكنه اعتقد أن الضجيج كان نتيجة مرور مقاتلات جوية إسرائيلية عبر حاجز الصوت.",0
"115","ويدرك مجلس الأمن الحاجة إلى المشاركة المستمرة من جانب الوكالات الإنسانية مع جميع أطراف الصراع المسلح لتحقيق الأغراض الإنسانية، بما في ذلك الأنشطة الرامية إلى ضمان احترام القانون الإنساني الدولي.",0
"116","38 - وقد دعمت عدة دول في منطقة آسيا بنشاط تطوير خطابات مضادة، بما في ذلك لاستخدامها على شبكة الإنترنت، من أجل التصدي للعيوب الإيديولوجية والدينية التي تقوم عليها الأيديولوجيات الإرهابية.",1
"117","(2) يبلغ متوسط تكلفة آلة قطع البلازما 2000 دولار.",0
"118","وقد تم جمع جميع جوانب تعليم الشرطة في إطار برنامج منفصل في أيار/مايو 2004، وتم الآن التوصل إلى اتفاق بشأن إنشاء نظام تدريب على مستوى البوسنة والهرسك.",0
"119","يتجلى هذا الصراع على السلطة بطرق مختلفة ويهدف إلى مناشدة مختلف القوى الاجتماعية داخل المجتمع المدني والرأي العام من أجل الحصول على دعم أو تأثير شعبي إضافي.",1
"120","يتم تمييز الأجزاء المعدنية عادةً عن طريق وضع علامات باردة عن طريق العلامة التجارية، بينما يتم تمييز بعض الأجزاء عن طريق النقش.",0
"121","62- وأشارت إحدى الدول إلى أن أفضل طريقة لتحقيق هذا الهدف هي غرس الشعور بالواجب المدني والاعتراف بوجوب إبلاغ الجمهور عن شواغله إلى سلطات إنفاذ القانون.",1
"122","تم إدخال نتائج المراجعة في قاعدة البيانات.",0
