"ar"	"VerCoop"
"الحالة في أنغولا (see S/25070/Add.4, 10, 17, 22, 23, 28, 37, 44 and 50; S/1994/20/Add.5, 10, 21, 25, 31, 35, 38, 42, 43 and 48; S/1995/40/Add.5, 9, 14, 18, 31, 40 and 50; S/1996/15/Add.5, 16, 18, 27, 40 and 49; S/1997/40/Add.4, 8, 11, 12, 15, 26, 29, 34, 39 and 43; S/1998/44/Add.4, 11, 17, 20, 23, 25, 26, 32, 37, 41, 48, 51 and 52; S/1999/25/Add.1, 2, 7, 17, 19, 29, 33 and 40; and S/2000/40/Add.2, 10, 14, 15 and 29; see also S/19420/Add.51; S/22110/Add.21; and S/23370/Add.12, 27, 37, 40, 43, 48 and (51."	0
"وطلب رئيس الوزراء جيرار لاتورتي من المجلس الانتخابي المؤقت استعراض هذا الجدول الزمني، بدعم من البعثة، مع مراعاة احترام المطلب الدستوري الذي يقتضي أداء اليمين من قبل الرئيس المنتخب في 7 شباط/فبراير 2006، وإدخال تغييرات إذا اقتضى الأمر ذلك."	1
"17 - وسجِّل مقتل أكثر من 000 8 شخصا في أفغانستان في حوادث للمتمردين ضِلع فيها خلال عام 2007 (A/62/722-S/2008/159، الفقرة 17)، مقارنةً بمقتل 000 6 من جراء جميع أنواع العنف في عام 2006."	0
"وشمل ذلك نصب الكمائن، وكذلك شن الهجمات الصاروخية والهجمات غير المتناظرة على أصول وموظفي بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي."	0
"وإذ يرحب بالدور الذي يضطلع به الاتحاد الأفريقي في الجهود المبذولة لتسوية النزاعات في القارة الأفريقية، وإذ يعرب عن دعمه لمبادرات السلام التي يقوم بها الاتحاد الأفريقي، والتي تجرى من خلال المنظمات دون الإقليمية،"	1
"جان - مارك دي لا سابليير (فرنسا)"	0
"فإرهاب تنظيم القاعدة يتألف حاليا من ثلاث مجموعات بارزة ولكنها مترابطة: الأولى، مؤلفة من القيادة القديمة التي تعرف أسماؤها جيدا؛ والثانية مكونة من المقاتلين الذين تدربوا في معسكرات أفغانستان وتخرجوا منها باعتبارهم إرهابيين محنكين؛ والثالثة مؤلفة من جيل جديد متنام من المناصرين الذين قد لا يكونوا قد غادروا بلدان إقامتهم أبدا ولكنهم اعتنقوا العناصر الأساسية لرسالة تنظيم القاعدة."	0
"وبجانب عواقبها المباشرة فإن الهجوم على آرو شارو وعلى القرى القريبة منها هو مصدر قلق خطير لأنه ربما يشير إلى بدء الاستهداف المتعمد من قبل الميليشيات للسكان المشردين داخليا وعدم قدرة القوات الحكومية، أو عدم رغبتها، في توفير الحماية الفعالة للمخيمات والقرى التي يقيم فيها هؤلاء المشردون."	0
"وتوجد أخطر المناطق في ولايات جونقلي، والوحدة، وأعالي النيل، وشمال بحر الغزال، مع امتداد الفيضانات حاليا لتشمل ولايات واراب، وغرب بحر الغزال، والبحيرات، ووسط الاستوائية، وشرق الاستوائية، وغرب الاستوائية."	0
"ملحوظة: استنادا إلى البيانات المقدمة من الإدارة"	0
"ولهذا الغرض، استخدم قدر من المتفجرات الحربية لا يقل عن 000 1 كيلوغرام."	0
"وستظل القوات التي تتكون منها القوة المتعددة الجنسيات ملتزمة بالعمل وفقا لالتزاماتها بموجب القانون الدولي، بما فيه القانون المتعلق بالصراعات المسلحة."	1
"ويُعاقب المجرم بالسجن ستة أشهر إلى خمس سنوات أو بغرامة أو بحظر أنشطة المهنية؛"	0
"ومن ناحية أخرى، تُظهر لجنة المطالبات الخاصة بإريتريا وإثيوبيا أن آليات دفع تعويضات نتيجة لمطالبات جماعية فصل فيها طرف ثالث وإنفاذها قد تطرح مشكلة عويصة."	0
"ومع ذلك، فهم يبدون بجلاء، يوما بعد يوم، روحا أكثر إيجابية إزاء البعثة."	1
"وهناك اتفاق على ضرورة تعزيز بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية لبلوغ قوامها المأذون به في أسرع وقت ممكن كي تؤدي بفعالية المهام الموكلة إليها."	0
"5 - يطلب إلى فريق الرصد إبلاغ اللجنة المنشأة عملا بالقرار 1267 (1999)، بما في ذلك عن طريق الإحاطات التي يقدمها الخبراء التابعون لآلية الرصد، عن عمل آلية الرصد المحدد في الفقرة 3 أعلاه، ويطلب أيضا إلى فريق دعم إنفاذ الجزاءات أن يقدم تقريرا واحدا على الأقل في كل شهر إلى فريق الرصد؛"	1
"فبخلاف الاجتماعات العادية لمجلس وزراء الداخلية العرب لا يجري تبادل المعلومات عن حالة التنفيذ بشكل منتظم أو مؤسسي على الصعيد دون الإقليمي."	1
"ونظر المشاركون في نهُج شمولية للتصدي للعوامل التي تؤدي إلى انتشار التطرف والإرهاب في المنطقة، وأفضل السبل التي يمكن بها لكيانات الأمم المتحدة أن تساعد في التعامل مع هذه الظاهرة وآثارها على السلام والأمن والاستقرار."	1
"فلا يزال يتعين على طرفي عملية السلام اتخاذ ترتيبات الإفراج عن الأطفال وبرامج إعادة إدماجهم التي كان من شأنها أن تتيح للأطفال في تلك القوات حقوق الاستفادة من تدابير الإنعاش وإعادة الإدماج."	1
"وترحب اللجنة بالأنشطة التي تضطلع بها المديرية التنفيذية في هذا المجال، وتشجع المديرية على مواصلة تطويرها، بتوجيه من اللجنة، من خلال تعميق إطارها التحليلي، بما في ذلك من خلال مشاركة المديرية التنفيذية في الفريق العامل المعني بحماية حقوق الإنسان في سياق مكافحة الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب."	1
"38 - ونظرا إلى إلحاح الحالة الراهنة، يتعين أن تكون جهود المجتمع الدولي فورية ومنسقة وحازمة."	0
"وإذ يشير إلى اتخاذ القرار 2122، وإذ يؤكد مجددا اعتزامه تكثيف الاهتمام الذي يوليه إلى المسائل المتعلقة بالمرأة والسلام والأمن في كل مجالات عمله المواضيعية ذات الصلة المدرجة في جدول أعماله، بما في ذلك في سياق الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية،"	1
"وتتعلق إحدى المسائل الأساسية التي يدركها الجانبان بشطب أسماء أعضاء حركة الطالبان من القائمة الموحدة المنشأة عملا بالقرارين 1267 (1999) و 1333 (2000)، وهي قضية تتحكم فيها اللجنة دون غيرها."	1
"6 - وستعزز المديرية التنفيذية تعاونها مع هيئات الأمم المتحدة ذات الصلة، بما في ذلك فريق الرصد التابع للجنة مجلس الأمن المُنشأة عملا بالقرار 1267 (1999) وفريق الخبراء التابع للجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004) وكذا مع المنظمات الدولية والإقليمية ودون الإقليمية على اختلافها، بما في ذلك في سياق زيارات اللجنة إلى الدول الأعضاء."	1
"وأوجز وزير العدل الجديد، في اجتماع عقد مع مكتب الأمم المتحدة المعني بالمخدرات والجريمة في 5 آب/أغسطس، الجهود التي تبذلها الحكومة الجديدة لتجديد الوحدة من أجل مواءمتها مع أهداف مبادرة ساحل غرب أفريقيا. وفي 27 تشرين الأول/ أكتوبر، اعتمد أكثر من 100 من النواب البرلمانين وممثلي الحكومة إعلانا سياسيا أكدوا فيه التزام غينيا - بيساو بدعم المبادرات الرامية إلى مكافحة الجريمة المنظمة عبر الوطنية، بما في ذلك الاتجار بالمخدرات والفساد وغسل الأموال والإرهاب. ودعوا إلى مواصلة الدعم المقدم من الأمم المتحدة لتعزيز المؤسسات الوطنية في هذا المجال."	1
"الزيارات التي قام بها الرئيس إلى بلدان مختارة 29 - عملا بالفقرة 37 من القرار 1822 (2008)، قام الرئيس بزيارتين في عام 2009، أولاهما في 9 حزيران/يونيه 2009، بدعوة من الاتحاد الروسي، حيث حضر اجتماعا لجهاز الاستخبارات الخاصة ووكالات الأمن ومنظمات إنفاذ القانون عقد في إيركوتسك، بالاتحاد الروسي. وفي 8 و 9 تشرين الأول/أكتوبر 2009، سافر الرئيس إلى بروكسل، ببلجيكا لإجراء مناقشات مع مسؤولين في مؤسسات الاتحاد الأوربي بشأن تنفيذ الاتحاد الأوروبي ودوله الأعضاء السبع والعشرين لتدابير الجزاءات."	1
"وعزز التنظيم معسكراته في المناطق المعزولة في شمال مالي."	0
"13 - وتواصل بعثة تقصي الحقائق التي تنظر في ادعاءات استخدام مواد كيميائية سامة كأسلحة في الجمهورية العربية السورية عملها."	0
"دعم المنظمات النسائية في المجتمعات المحلية التي يُنشر فيها حفظة السلام، بغية تعميق الوعي بمسألة فيروس نقص المناعة البشرية/الإيدز، وتعزيز الاستراتيجيات الوقائية الأهلية."	1
"20 و 21 تشرين الثاني/نوفمبر 2014، فرانكفورت، ألمانيا"	0
"ولم يحدد بعد تاريخ لعقد الجلسة."	0
"ويبدو أن تدابير مساعدة الأشخاص الذين قتل أفراد من أسرهم، وإقرار السلطات الحكومية بمسؤوليتها، وإيضاحها لطبيعة التدابير التي يتعين اتخاذها من أجل تفادي ارتكاب الانتهاكات من جديد أمور ذات أهمية أساسية بالنسبة للمجتمع."	1
"وسيحتاج المجتمع الدولي لقدرة تمكنه من دفع هذه العملية إلى الأمام."	1
"23 - وتود اللجنة أن تعرب عن تقديرها لفريق الرصد على تقريره الرفيع المستوى والتوصيات الواردة فيه، فضلا عما قدمه إلى اللجنة من مساندة ومساعدة تتسمان بدرجة عالية من المقدرة المهنية وتتطلع إلى تلقي التقرير السابع الذي سيقدمه الفريق، وفقا للمرفق الثاني من القرار 1735 (2006)، في 30 أيلول/سبتمبر 2007."	1
"465 - في البيان المشترك الصادر عن الحكومة والأمم المتحدة أثناء الزيارة التي قام بها الأمين العام في 3 تموز/يوليه 2004، بشأن الوضع في دارفور، التزمت حكومة السودان باتخاذ تدابير ملموسة لوضع نهاية للإفلات من العقاب على انتهاكات حقوق الإنسان في المنطقة."	1
"ومن ثم يلزم تحسين سبل تبادل المعلومات وتعزيز التعاون مع دول المناطق الأخرى."	1
"يطلب إلى جميع الأطراف الفاعلة المعنية، عند التفاوض على اتفاقات السلام وتنفيذها، الأخذ بمنظور جنساني، يشمل، في جملة أمور، ما يلي: (أ) مراعاة الاحتياجات الخاصة للمرأة والفتاة أثناء الإعادة إلى الوطن وإعادة التوطين وما يتعلق من هذه الاحتياجات بإعادة التأهيل وإعادة الإدماج والتعمير بعد انتهاء الصراع؛ (ب) اتخاذ تدابير تدعم مبادرات السلام المحلية للمرأة والعمليات التي يقوم بها السكان الأصليون لحل الصراعات، وتدابير تشرك المرأة في جميع آليات تنفيذ اتفاقات السلام؛ (ج) اتخاذ تدابير تضمن حماية واحترام حقوق الإنسان للمرأة والفتاة، وخاصة ما يتعلق منها بالدستور والنظام الانتخابي والشرطة والقضاء؛"	1
"وهذا الخيار ليس ممكنا في هذه المرحلة، حيث أن الوقت المقدر لإجراء تعداد كامل يصل إلى خمس سنوات، بما في ذلك وقت الإعداد."	0
"13 - يشدد على ضرورة كفالة حشد جميع الجهود الدولية من أجل تعزيز بعثة الدعم الدولية وتعبئة جميع الموارد اللازمة لتمكينها من الاضطلاع بولايتها على نحو فعال، وتمهيد الطريق لاحتمال نشر عملية أخرى من عمليات الأمم المتحدة لحفظ السلام على نحو يتفق مع الأحكام ذات الصلة من القرار 2127 (2013)."	1
"وأكدت دولة أخرى على أهمية النهج المجتمعي، مشيرة إلى أن الأسر والمجتمعات المحلية والمؤسسات المحلية المستنيرة تشكل الدفاعات الأكثر فعالية ضد الأيديولوجيات المتطرفة القائمة على العنف."	1
"3 - يؤكد الحاجة إلى تحسين التنسيق وزيادة تبادل المعلومات بين اللجنة المنشأة عملا بالقرار 1267 (1999) (المشار إليها فيما يلي بـ \"اللجنة\") واللجنة المنشأة عملا بالقرار 1373 (2001)؛"	1
"17 - يقر بالمعايير الدولية الشاملة المتضمنة في التوصيات الأربعين المنقحة التي أصدرتها فرقة العمل المعنية بالإجراءات المالية بشأن مكافحة غسل الأموال وتمويل الإرهاب والانتشار، ويشجع المديرية التنفيذية على أن تعمل عن كثب مع فرقة العمل المذكورة، بما في ذلك في سياق عملية التقييمات المتبادلة التي تجريها فرقة العمل، مع التركيز على التنفيذ الفعال للتوصيات المتعلقة بمكافحة تمويل الإرهاب؛"	1
"9 - وتلى ذلك محادثات موانزا المعقودة في 14 أيار/مايو 2000 بين رئيسي رواندا وأوغندا اللذين وافقا على التجريد من السلاح."	1
"ومن شأن مواصلة التطبيق غير السليم لتدابير الجزاءات التي فرضها مجلس الأمن أن يقيد الحقوق الأساسية في الملكية والحركة دون أي أساس أو مبرِّر قانوني."	0
"وإذ تؤكد حكومة العراق على احترامها لالتزاماتها بموجب قرارات مجلس الأمن في الأمم المتحدة وانتهاجها للسياسات السلمية والعيش بسلام مع جيرانها بشكل يساهم في أمن واستقرار المنطقة، فإن حكومة العراق تتطلع إلى اعتراف مجلس الأمن بالتطورات الكبيرة والإيجابية التي تحققت في العراق، وبأن الوضع في العراق يختلف اختلافا أساسيا عن الوضع الذي كان قائما عندما تبنى مجلس الأمن القرار 661 (1990) وأنه قد حان الوقت لأن يسترد العراق وضعه القانوني والدولي الذي كان سائدا قبل تبني مجلس الأمن للقرار المذكور وللعقوبات اللاحقة المفروضة عليه بموجب الفصل السابع في ميثاق الأمم المتحدة."	1
"ويشير عدد من الحوادث خلال الفترة المشمولة بالتقرير إلى احتكاك بين قوة حفظ السلام التابعة لرابطة الدول المستقلة والجانب الجورجي، من بينها احتجاز شاحنات تابعة للقوة (انظر الفقرة 17)، والاحتجاز المؤقت لأحد جنودها، وإقامة عددات كهرباء في نقاط تفتيش تابعة لها، وتظاهرة احتجاجا على وجود القوة في جورجيا."	0
"وإذ يحث حكومة السودان وحركة التحرير والعدالة وفصيل محمد بشار التابع لحركة العدل والمساواة على الوفاء بالالتزامات المقطوعة في إطار وثيقة الدوحة لإحلال السلام في دارفور، ويحث جميع الأطراف، ولا سيما الحركات المسلحة الأخرى التي لم توقّع وثيقة الدوحة، على أن تنخرط فورا ودون شروط مسبقة في جهود إحلال السلام وأن تبذل قصاراها في سبيل التوصل إلى تسوية سلمية شاملة على أساس وثيقة الدوحة، وأن تبرم اتفاقا على الوقف الدائم لإطلاق النار دون مزيد من الإبطاء،"	1
"13 - تأخر في الحضور ضابطان تابعان لقوات الدفاع الشعبية لأوغندا وأربعة من موظفي الدعم كان من المفترض أن يشكلوا جزءا من مركز القيادة المشتركة في كيسانغاني، وفقا لأمر التنفيذ، وذلك لأسباب خارجة عن إرادتهم أو عن إرادة قوات الدفاع الشعبية لأوغندا."	0
"وظهر اسم مليشيات الجنجويد في بعض تلك الحوادث وهي تساهم في أعمال التدمير ولا سيما بإلحاق ضرر بالسكان المدنيين وممارسة النهب على نطاق واسع في أثناء المعارك أو في المرحلة التالية لها."	0
"163 - إن اعتماد النظام الأساسي للمحكمة الجنائية الدولية، الذي جاء بعده النظام الأساسي للمحكمة الخاصة لسيراليون، يمكن اعتباره ذروة عملية لوضع القوانين أدت خلال سنوات قليلة إلى بلورة مجموعة من القواعد العرفية التي تحكم الصراع المسلح الداخلي وإلى تجريم الانتهاكات الجسيمة لهذه القواعد (بمعنى أنه قد تترتب على الانتهاكات الجسيمة لهذه القواعد مسؤولية جنائية فردية)."	0
"وفي هذا الصدد، يشجع مجلس الأمن البلدان المتضررة من أنشطة جيش الرب للمقاومة التي لم تضع بعدُ إجراءات تشغيل موحدة لاستقبال الأطفال من ذلك الجيش وتسليمهم إلى الجهات المدنية المعنية بحماية الطفل على القيام بذلك."	1
"وإننا نطلب إلى جميع الجماعات المسلحة الموقعة على اتفاق واغادوغو أن تنأى بنفسها عن الجماعات الإرهابية."	0
"ووافق القاضي مزهر على الاقتراح بالشروط التالية: ينبغي تصوير المركبات في الموقع، وينبغي وضع علامات وأرقام عليها: وينبغي أيضا تصويرها أثناء نقلها ولدى وصولها إلى ثكنة الحلو حيث يجب سترها بأغطية وحراستها على مدار الساعة للحيلولة دون التلاعب بالأدلة."	1
"13 - يقرِّر أن يُبقي المسألة قيد نظره."	0
"S/AC.49/2011/10/Add.1"	0
"9 - يطلب إلى الأمين العام اتخاذ الترتيبات اللازمة لدعم عمل آلية الرصد على نفقة المنظمة وعن طريق إنشاء صندوق استئماني للأمم المتحدة يُنشأ لهذا الغرض، ويؤكد أن هذا الصندوق الاستئماني سيُنشأ من قِبل الأمين العام، ويشجع الدول على تقديم تبرعات إلى الصندوق والمساهمة في آلية الرصد، من خلال الأمين العام، بالأفراد والمعدات والخدمات، ويطلب كذلك إلى الأمين العام أن يُبقي اللجنة المنشأة عملا بالقرار 1267 (1999) على علم، بشكل منتظم، بالترتيبات المالية الداعمة لهذه الآليات؛"	1
"\"ويجدد مجلس الأمن دعوته لحكومة جمهورية أفريقيا الوسطى من أجل إحياء الجهود الرامية إلى إصلاح مؤسسات القطاع الأمني، التي تشكل عنصرا جوهريا من عناصر عملية بناء السلام في جمهورية أفريقيا الوسطى، والتصدي لظاهرة الإفلات من العقاب المتفشية، وتعزيز سيادة القانون وزيادة احترام حقوق الإنسان."	1
"وقد نُقل إلى المستشفى في جنوب متروفيتشا."	0
"ويذكّر المجلس الدول بأنه يتوجب عليها ضمان الامتثال في أي تدابير تتخذ لمكافحة الإرهاب لجميع الالتزامات المنوطة بها بموجب القانون الدولي، وبخاصة قانون حقوق الإنسان الدولي وقانون اللاجئين الدولي والقانون الإنساني الدولي."	0
"وتنص المادة 11 من قانون تسليم المجرمين لعام 1992 على ما يلي:"	0
"103 - تلفزيون VRT البلجيكية: الصحفي البلجيكي Rudi Vranckx - بتاريخ 10/1/2012"	0
"يطالب جميع الأطراف في النزاعات المسلحة بأن تتخذ على الفور تدابير ملائمة لحماية المدنيين، بما في ذلك النساء والأطفال، من جميع أشكال العنف الجنسي، تشمل تدابير مثل إنفاذ التدابير التأديبية العسكرية المناسبة والتقيد بمبدأ مسؤولية القيادة، وتدريب القوات على حظر جميع أشكال العنف الجنسي المرتكبة ضد المدنيين حظرا مطلقا، وفضح الأفكار الخاطئة التي تؤجج العنف الجنسي، والتحري عن المرشحين للالتحاق بالقوات العسكرية والأمنية الوطنية لضمان استبعاد من له صلة منهم بانتهاكات جسيمة للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان، بما في ذلك العنف الجنسي."	1
"\"ويشدد مجلس الأمن على أهمية تمكّن أطراف اتفاق السلام الشامل من إحراز تقدم سريع في سبيلها إلى تنظيم استفتاء أبيي وتسوية المسائل المعلقة بشأن اتفاق السلام الشامل، وحل المسائل الحاسمة المتبقية بعد الاستفتاء بطريقة سلمية وبما يفيد جميع الأطراف، ومنها مسائل الحدود والأمن والمواطنة والديون والأصول والعملة والموارد الطبيعية."	1
"وقد كان لنظام القرار 1267، الذي يعكس عزم المجتمع الدولي على تقييد أنشطة تنظيم القاعدة، دور بارز في إبقاء التركيز منصبا على ضرورة منع تدفق الأموال إلى الجماعات الإرهابية وتقييد حركة أعضائها."	1
"ويحث المجلس [الدولة المتأثرة] على الاستمرار في تأمين الملاذ لكل اللاجئين بصرف النظر عن منشئهم."	1
"ولكن نحن قلقون حيال الأنبـاء التي تفيد بازدياد التوتـر بين الأحزاب الحاكمة وأحزاب المعارضـة."	0
"وذكرت الممثلة الخاصة أن القتال لا يبشر بخير فيما يتصل بإمكان التوصل إلى اتفاق بين الأطراف المتحاربة أثناء محادثات السلام التي تقودها الهيئة الحكومية الدولية، والمقرر عقدها في 6 تشرين الثاني/نوفمبر."	1
"فما زالت زراعة أنسجة المانغروف في مرحلة تجريبية ولا يمكن استخدامها على نحو معقول لأغراض إعادة التشجير على نطاق واسع."	0
"وقد أقامت معسكرات للتدريب العسكري في منطقة مقديشو الكبرى بما في ذلك منطقتي لانتا بورو وهيلويني، وأرسلت الأسلحة التي حصلت عليها في سوق بكارا للأسلحة إلى هذه المعسكرات."	0
"1-10 لقد تم وضع الصيغة النهائية لمشروع قانون جديد لجرائم الطيران المدني، سيحل محل قانون جرائم الطيران المدني الصادر عام 1972."	0
"إلا أن بعض القادة في مقديشو اتهموا الرئيس بأنه توجه إلى الإقليم الإثيوبي للحصول على الأسلحة والجنود للقيام بأنشطته في المستقبل في الصومال."	0
"27 - تُذكّر البعثة باستعداد المجلس لمساندة الجهود التي تبذلها السلطات الانتقالية من أجل مكافحة الإفلات من العقاب في جمهورية الكونغو الديمقراطية."	1
"تم الإدلاء ببيانات افتتاحية باسم المكتب الاتحادي للشؤون الخارجية لألمانيا ورئيس اللجنة المنشأة عملا بالقرار 1540 (2004) ومكتب شؤون نزع السلاح بالأمانة العامة للأمم المتحدة والمفوضية الأوروبية ووزارة خارجية الولايات المتحدة والمكتب الاتحادي للشؤون الاقتصادية ومراقبة الصادرات."	1
"تشمل المعدات المدرجة في 9-باء-1 ما يلي:"	0
"ومن المتوقع صدور الحكم في النصف الأول من عام 2011."	0
"وتحث الولايات المتحدة الأمم المتحدة والشرطة الوطنية الهايتية على مضاعفة جهودهما في مجال فحص السجلات الشخصية للطلاب."	0
"والتقى أعضاء البعثة بزعماء الحركة الوطنية لكوت ديفوار في بواكيه ومع منظمات قيادية لحقوق الإنسان، والمجتمع المدني ومنظمات السلام، وكبار المسؤولين الدينيين، مسيحيين ومسلمين، والفرقة القطرية التابعة للأمم المتحدة، وأعضاء السلك الدبلوماسي والأفراد العسكريين."	1
"16 - وفيما يلي بيان بأبرز الميليشيات:"	0
"واجتمعت البعثة مع نطاق عريض من أصحاب المصلحة الدوليين والإيفواريين، ومنهم الرئيس غباغبو، ورئيس الوزراء سورو، ورئيس أركان قوات الدفاع والأمن في كوت ديفوار، ورئيس أركان القوات الجديدة، وممثلو الأحزاب السياسية، ورؤساء المؤسسات الوطنية المسؤولة عن تنفيذ العمليات الرئيسية بموجب اتفاق واغادوغو."	1
"وقدمت الدول الأعضاء خلال الاستعراض معلومات ستؤدي إلى إدخال ما مجموعه 465 تعديلا مقترحا على القائمة (وإدخال تغييرات على 217 من الموجزات السردية لأسباب الإدراج في القائمة)()."	1
