"","en_ar_DEEPL","MatCoop"
"13","11. ووفقا للقرار 1963 (2010)، ستساعد المديرية التنفيذية أيضا اللجنة في تنظيم اجتماع خاص مفتوح باب المشاركة فيه أمام جميع الأعضاء وغيرهم من أصحاب المصلحة المعنيين للاحتفال بالذكرى السنوية العاشرة لاتخاذ القرار 1373 (2001) وإنشاء اللجنة.",1
"14","2. يقرر كذلك أن يضطلع مكتب الأمم المتحدة في تيمور - ليشتي بالولاية التالية:",0
"15","103. نقلت القوات الجوية لكوت ديفوار جميع أصولها الجوية الناجية والمتضررة إلى قاعدتها الجوية في مطار أبيدجان الدولي.",1
"16","وعشية المظاهرة، أصدر القائد العام للشرطة الوطنية لتيمور - ليشتي الوطنية مارتينز أمراً مكتوباً بشأن انتشار الشرطة الوطنية لتيمور - ليشتي واستخدام القوة. وشمل ذلك استخدام شرطة منطقة ديلي لتسيير دوريات راجلة ووحدة الحماية اللصيقة لحماية كبار الشخصيات في الدولة ووحدة الشرطة الاحتياطية لتسيير دوريات في ""المناطق الحرجة"".",1
"17","وفقا للفقرة 39 من هذا القرار، يعمل فريق الرصد تحت إشراف اللجنة المنشأة عملا بالقرار 1267 (1999) ويضطلع بالمسؤوليات التالية:",1
"18","""ويشدد مجلس الأمن على أهمية استكشاف الإمكانات والقدرات الحالية للمنظمات الإقليمية ودون الإقليمية في مجال السلام والأمن، التي تشمل، في جملة أمور، طائفة من المجالات منها منع نشوب النزاعات، وبناء الثقة، وتسوية النزاعات، وصنع السلام، وحفظ السلام، وبناء السلام بعد انتهاء النزاع، ويرحب بالحوار الإقليمي وتعزيز المعايير المشتركة وكذلك النهج الإقليمية المشتركة لتسوية المنازعات وغيرها من المسائل المتعلقة بالسلام والأمن.",1
"19","161. وعﻻوة على ذلك، رأت دائرة اﻻستئناف التابعة للمحكمة الدولية ليوغوسﻻفيا السابقة في عام ١٩٩٥، في حكمها في قضية تاديتش )استئناف تمهيدي( أن المجموعة الرئيسية للقانون اﻹنساني الدولي تنطبق أيضا على المنازعات الداخلية كمسألة قانون عرفي، وأن اﻻنتهاكات الجسيمة لهذه القواعد تشكل باﻹضافة إلى ذلك جرائم حرب.",1
"20","ستعقد يوم الخميس 14 مارس 2013، الساعة 10:15 صباحًا.",0
"21","من أجل تحديد هوية الجناة، قررت اللجنة أنه يجب أن تكون هناك مجموعة موثوقة من المواد التي تتفق مع الظروف الأخرى التي تم التحقق منها، والتي تميل إلى إظهار أن الشخص قد يكون مشتبهاً به بشكل معقول في تورطه في ارتكاب جريمة.",1
"22","28. عامر ديدان علي العجمي",0
"23","الحالة بين إريتريا وإثيوبيا (26 حزيران/يونيه 1998؛ 30 تموز/يوليه 2008)",0
"24","وبذلك، فإنه يقدم مفهوم العمل من أجل تحقيق نتائج قابلة للقياس الكمي بشأن العلاقة بين الأسلحة الصغيرة والتنمية.",1
"25","ويلاحظ المجلس أيضا ولاية العملية المختلطة للاتحاد الأفريقي والأمم المتحدة والاتحاد الأفريقي في دارفور ومكتب الأمم المتحدة المتكامل لبناء السلام في جمهورية أفريقيا الوسطى للتعاون وتبادل المعلومات المتعلقة بالتهديد الإقليمي الذي يشكله جيش الرب للمقاومة على وجه السرعة.",1
"26","40. وأدعو أيضا قيادة حزب الله إلى وقف جميع الجهود الرامية إلى الحصول على الأسلحة وبناء القدرات شبه العسكرية خارج سلطة الدولة.",0
"27","ووفقًا للعديد من الروايات والشهادات، فإن هذا الدعم للقوات الموازية يأتي من داخل القصر الرئاسي.",1
"28","1. الممتلكات الملموسة الأخرى 185-216 44",0
"29","229. توصي اللجنة بإنشاء آليات قوية ومستقلة للرقابة الشرطية والعسكرية.",0
"30","S/PRST/1994/62 المؤرخ 4 تشرين الثاني/نوفمبر 1994",0
"31","77. ويعتقد الفريق أنه ينبغي لجميع الدول أن تكفل، كحد أدنى، أن يتخذ تجار المعادن والأحجار الكريمة تدابير لمنع غسل الأموال وتمويل الإرهاب بما يتفق مع متطلبات فرقة العمل المعنية بالإجراءات المالية.",1
"32","(ب) المشاركة بنشاط في فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب التي أنشئت لمساعدة الدول الأعضاء في تنفيذها للاستراتيجية العالمية.",1
"33","وقد أعيد تحديد اختصاصها في آذار/مارس 2006 بموجب لائحة بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو رقم 2006/50، التي كلفت لجنة كوسوفو بتسوية المطالبات المتعلقة مباشرة بالنزاع المسلح الذي وقع بين 27 شباط/فبراير 1998 و20 حزيران/يونيه 1999 أو الناجمة عنه فيما يتعلق بالممتلكات الخاصة غير المنقولة، بما في ذلك الممتلكات الزراعية والتجارية.",1
"34","الاتحاد الاقتصادي والنقدي لغرب أفريقيا والبنك المركزي لدول غرب أفريقيا 35",0
"35","رابعا - تنفيذ قرار مجلس الأمن 338 (1973)",0
"36","كما استمر العمل أيضًا على وضع إطار قانوني مؤقت، والذي من شأنه أن يحدد الحكم الذاتي الجوهري ويضع الأساس للانتخابات المركزية.",1
"37","وبعد ما يقرب من عام واحد من المناصرة، تم فصل الصبيين البالغين من العمر 12 عاماً و14 عاماً ولم شملهما مع عائلتيهما في 29 مارس/آذار و30 أبريل/نيسان 2007 على التوالي.",0
"38","23. تؤكد الهيئة من جديد تصميمها على مواصلة مكافحة الآثار الضارة لتغير المناخ.",0
"39","السيد إحسان محمد، وزارة النقل، وزارة المواصلات",0
"40","وقد اعتمدت قوة الاتحاد الأوروبي موقف ""بعيدًا عن الأنظار ولكن ليس في الأفق""، مع الاستعداد للتدخل إذا تدهور الوضع، وتم وضع خطط طوارئ لنشر قوات احتياطية إذا لزم الأمر.",0
"41","372. وأظهر أحد المحتجزين بعض الندوب على ظهره وذراعه نتيجة الضرب.",0
"42","31. يشجع الدول على تقديم طلبات الشطب من القائمة بالنسبة للأفراد الذين تأكدت وفاتهم رسميا، ولا سيما في الحالات التي لم تحدد فيها أي أصول، وبالنسبة للكيانات التي أُبلغ أو تأكد أنها لم تعد موجودة، مع اتخاذ جميع التدابير المعقولة في الوقت نفسه لضمان أن الأصول التي كانت مملوكة لهؤلاء الأفراد أو الكيانات لم تنقل أو لن تنقل إلى أفراد وجماعات ومؤسسات وكيانات أخرى مدرجة أسماؤهم في قائمة الجزاءات المفروضة على تنظيم القاعدة أو لن تنقل إلى غيرهم من الأفراد والجماعات والمؤسسات والكيانات؛",1
"43","يقوم الشخص المخول بإبلاغ مكتب منع عمليات غسيل الأموال بذلك.",0
"44","وفي دراسة استقصائية أجريت في مخيم مورني في غرب دارفور، عالجت الفرق الطبية حوالي 20 ضحية من ضحايا العنف الجنسي في الفترة من أبريل/نيسان إلى يونيو/حزيران 2004.",1
"45","ويطلب مجلس الأمن إلى الأمين العام أن يقدم بحلول حزيران/يونيه 2004 تقريره المقبل عن حماية المدنيين في الصراعات المسلحة، بما في ذلك معلومات عن تنفيذ قرارات مجلس الأمن التي سبق أن اتخذها بشأن هذا الموضوع وأي مسألة أخرى يود أن يوجه انتباه المجلس إليها.",0
"46","كما أن عملية الأمم المتحدة في كوت ديفوار بصدد استقدام موظفين لوحدة سلوك الأفراد التابعة لها.",1
"47","القائمة الحساسة للسلع والتكنولوجيات ذات الاستخدام المزدوج",0
"48","يتم تعريف التكلفة على أنها القيمة الاسمية زائد أو ناقص أي علاوة أو خصم غير مستهلك.",0
"49","▪ حظر العنف ضد الحياة والشخص، ولا سيما القتل والتشويه والمعاملة القاسية والتعذيب؛ وحالات الاختفاء القسري؛ والاعتداء على الكرامة الشخصية؛ والاغتصاب، والاسترقاق الجنسي، والإكراه على البغاء، والحمل القسري، والتعقيم القسري، وأي شكل آخر من أشكال العنف الجنسي.",0
"50","9. وفي 25 حزيران/يونيه 2008، أجرت اللجنة مشاورات غير رسمية مع فريق الرصد الذي أعيد إنشاؤه عملا بالقرار 1811 (2008)، وناقشت أيضا طلب مجلس الأمن الوارد في الفقرتين 6 و 7 من القرار 1814 (2008) بتقديم توصيات بشأن التدابير المحددة التي قد يفرضها المجلس على الأفراد والكيانات التي تعرقل عملية السلام أو تنتهك حظر توريد الأسلحة.",0
"51","V. الوضع الإنساني 18. استقر عدد المتضررين من النزاع. وفي 1 أيلول/سبتمبر، كان نحو 3.3 ملايين من سكان دارفور بحاجة إلى المساعدة الإنسانية، ويشكل السكان المقيمون 45 في المائة من جميع المتضررين في دارفور. ويبلغ عدد المشردين داخليا من بينهم حاليا 1.8 مليون شخص.",1
"52","لا توجد أنظمة تحويل عملات بديلة.",0
"53","خلال هذه الفترة الزمنية تم تعزيز قاعدة دعم المفوضية وتثبيت برامج جديدة، مما جعل قاعدة البيانات أكثر تشغيلية.",1
"54","50. ولذلك قررت اللجنة أن تبقي في القائمة، إلى حين توافر الوثائق اللازمة، أسماء 45 فردا مدرجة أسماؤهم في القائمة أو أبلغت اللجنة بوفاتهم دولة عضو واحدة على الأقل.",1
"55","المقرر عقدها يوم الخميس 4 مارس 2010، الساعة 10 صباحًا.",0
"56","""ويدعو مجلس الأمن جميع الدول والمنظمة البحرية الدولية ومنظمة العمل الدولية وغيرها من المنظمات والوكالات الدولية ذات الصلة إلى اعتماد تدابير لمنع عمليات الاختطاف، أو التوصية باتخاذ تدابير لمنع عمليات الاختطاف، وتدابير لحماية مصالح ورفاه البحارة ضحايا القراصنة، سواء أثناء أسرهم من خلال توفير المساعدة الطبية وغيرها من المساعدات الإنسانية، وكذلك بعد إطلاق سراحهم من الأسر، بما في ذلك رعايتهم بعد الحادث وإعادة إدماجهم في المجتمع، ويحيط علما في هذا الصدد بالمقترحات المتعلقة ببرنامج دعم الرهائن الذي وضعه مكتب الأمم المتحدة السياسي للصومال ومكتب الأمم المتحدة المعني بالمخدرات والجريمة.",1
"57","وفي حين أن المبادرة جاءت استجابةً لنمو الاتجار بالمخدرات والجريمة المنظمة عبر الوطنية في غرب أفريقيا، ستعمل وحدات مكافحة الجريمة عبر الوطنية كمراكز دمج لإنفاذ القانون لدعم القدرات التحليلية والتقنية الوطنية والإقليمية على التصدي للتهديدات عبر الوطنية.",1
"58","إذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة,",0
"59",":: استكشاف كيف يمكن أن تنعكس أهداف بناء السلام والاحتياجات المحددة للبلدان الخارجة من النزاع في إطار ما بعد عام 2015.",0
"60","بالإضافة إلى ذلك، احترمت المنطقة العسكرية رقم 3 في ميجيك، إلى حد كبير، التزاماتها في هذا الصدد، حيث لم ترتكب سوى أربعة انتهاكات لحرية التنقل.",1
"61","ومن المتوقع أن يتفاقم الوضع الغذائي بشكل أكبر في عام 2005 بسبب ضعف حصاد المحاصيل في سبتمبر/أيلول/أكتوبر/تشرين الأول 2004.",0
"62","وفي أعقاب المعركة، حصل فريق الرصد على حاويتي ذخيرة معدنيتين وصور فوتوغرافية لحاويات ذخيرة أخرى زعمت مصادر فريق الرصد أنها مقدمة من الدولة المعنية.",1
"63","كما تقود المديرية التنفيذية للجنة مكافحة الإرهاب مبادرة عالمية مدتها ثلاث سنوات، بالنيابة عن الفريق العامل المعني بالتصدي لتمويل الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وبدعم من عدة دول ومنظمات مانحة، من أجل التوصل إلى فهم مشترك للممارسات السليمة لمكافحة تمويل الإرهاب من خلال هذا القطاع.",1
"64","(ب) تعزيز قدرتها على تجميد أموال الإرهابيين وأصولهم دون تأخير، من خلال وضع آليات ""تجميد"" وطنية لتكملة الأطر الإقليمية;",0
"65","وهذا أمر غير مقبول ويتعارض حتى مع الحظر المعلن عنه من قبل القوات المناهضة للحكومة على الألغام الأرضية.",0
"66","ليس فريق الرصد على علم بوجود أي حالات لأفراد مدرجين في القائمة تم إيقافهم على الحدود منذ تقريره الأخير، ولم تتلق اللجنة أي تقارير في هذا الصدد.",1
"67","17. ونعتقد أن الخطوات المذكورة أعلاه مجتمعة توفر الأساس لنهج استراتيجي لتعزيز قوى السلام في الصومال. ومن شأن هذا النهج أن يكمل التدابير التي اتخذها المجلس بالفعل لاحتواء الصراع.",1
"68","وإنني أرحب بالجهود التي تبذلها الدول لضمان حصول المشتبه بهم على محاكمة عادلة وأن تكون ظروف سجنهم إنسانية وآمنة، وفقاً للمعايير الدولية لحقوق الإنسان.",1
"69","إنشاء محطة إذاعية للأمم المتحدة على وجه السرعة وتعزيز أنشطة الأمم المتحدة الإعلامية والإعلامية والتثقيفية والتدريبية في كوت ديفوار، ولا سيما فيما يتعلق بالقضايا المتصلة بحقوق الإنسان، وذلك لتشجيع مناخ من الاحترام المتبادل والتسامح بين جميع فئات المجتمع في البلد;",1
"70","كانت الشاحنات الصغيرة مزودة بمدافع رشاشة من طراز DShK (رشاشات ثلاثية القوائم عيار 12.7 ملم) مثبتة على ظهرها، وكانت إحداها مزودة بنظام قاذفة صواريخ من طراز Hound الذي كان يُستخدم لإطلاق الصواريخ على القرية وعبرها.",0
"71","حتى الآن، تم تسجيل 22,656 فردًا (3,075 عائلة) في مخيم العيون.",0
"72","وسيكون دور الأمم المتحدة محورياً في نجاح هذه الجهود.",0
"73","المداهمات، والتفتيش والاعتقال بدون مذكرات توقيف",0
"74","195. وقد أعطت هذه القراءة للمعلومات من قبل بعض المصادر بعدا إضافيا للصراع.",0
"75","كما أطلقت بعض الدول والمنظمات الإقليمية مبادرات أخرى تتعلق بمراقبة الحدود، مثل نظم الإخطار أو التصاريح التي تتطلب من المسافرين تقديم معلومات عن هويتهم قبل سفرهم، أو أنشأت نظم معلومات جديدة خاصة بالتأشيرات، أو قواعد بيانات مشتركة.",1
"76","وقد أنشأت إحدى الدول برنامجًا متعدد الأوجه للتنوع والتماسك الاجتماعي، في عام 2010، يهدف إلى تعزيز الاحترام المتبادل والشعور بالانتماء لدى الجميع وبناء قدرة المجتمع على الصمود.",1
"77",":: التعاون في وضع وتنفيذ سياسة تراعي الفوارق بين الجنسين في مجال فيروس نقص المناعة البشرية/الإيدز في مجالات مثل التدريب، ومدونات قواعد السلوك، واختبار فيروس نقص المناعة البشرية، والتعاون المدني والعسكري، ومعلومات الموارد، ومواد أفضل الممارسات؛ وإدماج سياسة فيروس نقص المناعة البشرية/الإيدز داخل إدارة عمليات حفظ السلام وتعزيز قدرات عمليات حفظ السلام (بما في ذلك حفظة السلام في المستقبل) على التصدي لفيروس نقص المناعة البشرية/الإيدز",1
"78","""ويشير مجلس الأمن إلى التزام حكومة تشاد، المبين في الرسالة الموجهة إلى رئيس مجلس الأمن المؤرخة 7 أيلول/سبتمبر 2010 (S/2010/470)، بتحمل المسؤولية الكاملة عن أمن وحماية السكان المدنيين في شرق تشاد، بمن فيهم اللاجئون والمشردون داخليا والعائدون والمجتمعات المحلية المضيفة، مع التركيز بوجه خاص على النساء والأطفال وموظفي الأمم المتحدة وموظفي المساعدة الإنسانية والأصول التابعة لها، وفقا لالتزاماتها بموجب القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين.",1
"79","الموقع: ص.ب. 16595365، طهران، إيران",0
"80","المقرر عقدها يوم الثلاثاء، 28 تشرين الأول/أكتوبر 2003، الساعة 15/15 بعد الظهر",0
"81","ويحث مجلس الأمن جميع الأطراف في النزاعات المسلحة، بما في ذلك الأطراف من غير الدول، على وضع حد لهذه الممارسات.",0
"82","وقد تم تعديل السياسة الصحية المؤقتة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو لمراعاة توصيات فرقة عمل مؤلفة من مهنيين صحيين محليين ودوليين.",1
"83","وعلى الصعيد دون الإقليمي، سيعمل المكتب على زيادة تعاونه، لا سيما مع الجماعة الاقتصادية والنقدية لوسط أفريقيا والجماعة الاقتصادية لدول وسط أفريقيا والقوة المتعددة الجنسيات التابعة للجماعة الاقتصادية والنقدية لوسط أفريقيا في مجالات الأمن والإنذار المبكر والوقاية.",1
"84","21. وتتطلع اللجنة كذلك إلى وضع خطة تنفيذية لتحقيق أي من الأهداف المحددة في خطة عمل ألماتي التي لم تتحقق بعد، فضلا عن تنفيذ الالتزامات الواردة على أساس مستمر في الوثائق الختامية المتفق عليها في الاجتماعات الاستثنائية الثلاثة السابقة، بما في ذلك تدابير تحسين تدفق المعلومات مع المنظمات الدولية والإقليمية ودون الإقليمية وفيما بينها.",0
"85","لا يزال الوضع الإنساني في الصومال مصدر قلق كبير.",0
"86","""ويشدد مجلس الأمن على أهمية التزام كل من إثيوبيا وإريتريا بإرساء أسس السلام المستدام في المنطقة، وإدراكا منه لمسؤوليات الأمم المتحدة بموجب اتفاقي الجزائر، فإنه يظل مصمما على تشجيع ومساعدة البلدين على تحقيق هذا الهدف.",1
"87","تعتقد جميع الدول المقدمة للتقارير أن لديها حماية فعالة من حصول الأفراد أو الكيانات المدرجة أسماؤهم في القائمة على الأسلحة، ولكن 38 دولة فقط من الدول الأعضاء قالت إنها أدخلت تغييرات على القوانين واللوائح القائمة لإدراج تدابير حظر الأسلحة؛ ولم تشر 106 دول إلى القائمة الموحدة عند وصف عملياتها التنظيمية.",1
"88","الشطب من القائمة 25. يوجه اللجنة إلى التعجيل برفع أسماء الأفراد والكيانات من القائمة على أساس كل حالة على حدة ممن لم تعد تنطبق عليهم معايير الإدراج المبينة في الفقرة 2 أعلاه، ويطلب إلى اللجنة أن تولي الاعتبار الواجب لطلبات رفع أسماء الأفراد الذين تصالحوا، وفقا لبيان مؤتمر كابل المؤرخ 20 تموز/يوليه 2010 بشأن الحوار مع كل من ينبذ العنف, وليس لهم أي صلات بالمنظمات الإرهابية الدولية، بما في ذلك تنظيم القاعدة، ويحترمون الدستور، بما في ذلك أحكامه المتعلقة بحقوق الإنسان، ولا سيما حقوق المرأة، ويرغبون في المشاركة في بناء أفغانستان المسالمة، وعلى النحو المبين بمزيد من التفصيل في مبادئ ونتائج استنتاجات مؤتمر بون في 5 كانون الأول/ديسمبر 2011 التي أيدتها حكومة أفغانستان والمجتمع الدولي;",1
"89","ثانيا - الردود الواردة وفقا للفقرة 20 من القرار 1596 (2005) الدولة",0
"90","ويعترف مجلس الأمن بلجنة بناء السلام، في مجال اختصاصها، بوصفها منتدى للتنسيق في مجال ما بعد انتهاء النزاع بين منظومة الأمم المتحدة والمنظمات الإقليمية ودون الإقليمية، وفقا لقراره 1645 (2005) وقرار الجمعية العامة 60/180.",0
"91","الحالة في قبرص (انظر S/11185/Add.28 و 29 و 32 و 34 و 49؛ و S/11593/Add.7-10 و 23 و 24 و 49؛ و S/11935/Add.23 و 24 و 50؛ و S/12269/Add.24 و 35-37 و 50؛ و S/12520/Add.23 و 45 و 47 و 49؛ و S/13033/Add.23 و 49؛ و S/13737/Add.23 و 49؛ و S/14326/Add.22 و 50؛ و S/14840/Add.24 و 50؛ S/15560/Add.24 و 46 و 50؛ S/16270/Add.17 و 18 و 23 و 49؛ S/16880/Add.23 و 37 و 49؛ S/17725/Add.23 و 49؛ S/18570/Add.23 و 50؛ S/19420/Add.24 و 50؛ S/20370/Add.22 و 49؛ S/21100/Add.10 و 23 و 28 و 49 و 50؛ S/22110/Add.23 و 40 و 49 و 51؛ S/23370/Add.14 و 23 و 28 و 34 و 47 و 50؛ S/25070/Add.19 و 21 و 23 و 50؛ S/1994/20/Add.9 و 23 و 29 و 50؛ S/1995/40/Add.24 و 50؛ S/1996/15/Add.25 و 51؛ S/1997/40/Add.25 و 51؛ S/1998/44/Add.26 و 51؛ S/1999/25/Add.25 و 49؛ S/2000/40/Add.23 و 49؛ S/2001/15/Add.24 و 50؛ و S/2002/30/Add.23 و 39 و 47؛ و S/2003/40/Add.14 و 15 و 23 و 47؛ و S/2004/20/Add.13 و 16 و 17 و 23 و 42؛ و S/2005/15/Add.23؛ وانظر أيضا S/2001/15/Add.49؛ و S/2002/30/Add.22 و 46؛ و S/2003/40/Add.22 و 46؛ و S/2004/20/Add.23 و 40؛ و S/2005/15/Add.22)",0
"92","6. إن انحسار تنظيم القاعدة هو في جزء منه نتيجة للحملة الدولية المتواصلة لتقييد نفوذه، وفي جزء آخر نتيجة لصنعه هو نفسه.",1
"93","هل تنطبق الأحكام ذات الصلة من القانون الجنائي الصيني في جميع الظروف التالية:",0
"94","وتقابل هذه القطاعات، على التوالي، المناطق الإدارية التالية: القطاع 1: أوهام بندي ونانا مامبيري ومامبيري كاديي؛ والقطاع 2: أوهام نانا غريبيزي وبامينغوي - بانغوران وفاكاغا؛ والقطاع 3: أومبيلا مبوكو ولوبايي وسانغا مبيري؛ والقطاع 4: أواكا وكيمو؛ والقطاع 5: هوت كوتو وكوتو السفلى ومبومو وهوت مبومو.",0
"95","وأثبتت هذه الاجتماعات فائدتها في تعزيز عمل اللجنة، وزيادة الوعي بنظام الجزاءات وفهمه، وتطوير أفكار لتحسين فعالية التدابير، ومناقشة الصعوبات التي تواجهها بعض الدول في التنفيذ وما يمكن القيام به لمساعدتها. دال - الاجتماعات مع أجهزة الأمن والاستخبارات",0
"96","24. وكان الرئيس اللبناني سليمان فرنجية قد دعا القوات السورية إلى لبنان في أيار/مايو 1976 في المراحل الأولى من الحرب الأهلية في لبنان.",1
"97","27. يقرر أنه عندما تقدم الدولة صاحبة اقتراح الإدراج في القائمة طلب الشطب من القائمة، ينتهي شرط اتخاذ الدول التدابير المبينة في الفقرة 1 من هذا القرار فيما يتعلق بالفرد أو الجماعة أو المؤسسة أو الكيان بعد 60 يوما، ما لم تقرر اللجنة بتوافق الآراء قبل نهاية فترة الستين يوما تلك أن تظل التدابير سارية فيما يتعلق بذلك الفرد أو الجماعة أو المؤسسة أو الكيان; وشريطة أن يقوم رئيس اللجنة، في الحالات التي لا يوجد فيها توافق في الآراء، وبناء على طلب أحد أعضاء اللجنة، بعرض مسألة ما إذا كان ينبغي شطب اسم الفرد أو الجماعة أو المؤسسة أو الكيان من القائمة على مجلس الأمن للبت فيها في غضون 60 يوما؛ وشريطة أن يظل شرط اتخاذ الدول للتدابير المبينة في الفقرة 1 من هذا القرار ساريا خلال تلك الفترة فيما يتعلق بذلك الفرد أو الجماعة أو المؤسسة أو الكيان إلى أن يبت مجلس الأمن في المسألة;",1
"98","الفقرة 12 من المادة 19 من المادة 12 من قانون الجمارك لعام 2003",0
"99","وقد أشار الفريق في تقريره الثاني (S/2005/83، الفقرة 135) إلى أن الاتحاد الأوروبي، بوصفه أكثر هذه المناطق تطورا، يضمن لمواطنيه حرية التنقل داخل أراضي دوله الأعضاء الـ 25، في حين أن اتفاق شنغن ألغى الضوابط الحدودية بين العديد من الدول الأوروبية مع تعزيز الضوابط على حدود منطقة شنغن الخارجية وزيادة التعاون الشرطي والقضائي داخل نظام شنغن.",1
"100","وقد تجلى التزام المجتمع الدولي بمكافحة الإرهاب والتصميم على القضاء عليه بشكل رئيسي من خلال اعتماد العديد من الصكوك القانونية وإنشاء مؤسسات متخصصة.",1
"101","وفي حال توفر مثل هذا الإثبات، وتم التعرف على الجاني (الجناة) من قبل الضحية، تمت التوصية بمحاكمة الجناة وإرسالها إلى مكتب المدعي العام في المقاطعة.",1
"102","10. يشدد على الضرورة الملحة لتنفيذ هذا القرار تنفيذا كاملا وفوريا فيما يتعلق بالمقاتلين الإرهابيين الأجانب، ويؤكد الحاجة الملحة والعاجلة إلى تنفيذ هذا القرار فيما يتعلق بالمقاتلين الإرهابيين الأجانب المرتبطين بتنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وغيرهما من الخلايا أو الجماعات المنتسبة أو الجماعات المنشقة أو المتفرعة عن تنظيم القاعدة، على النحو الذي حددته اللجنة، ويعرب عن استعداده للنظر في أن يدرج في القائمة، بموجب القرار 2161 (2014)، الأفراد المرتبطين بتنظيم القاعدة الذين يرتكبون الأعمال المحددة في الفقرة 6 أعلاه؛",1
"103","وقد وجد الفريق بشكل عام مستوى عالٍ من الالتزام بعمل اللجنة المنشأة بموجب القرار 1267 ووعيًا مشجعًا بشكل عام بالقائمة والتدابير.",1
"104",":: الرؤية الاجتماعية. لم تكن هناك إجابة على هذا السؤال.",0
"105","ومع ذلك، أفادت السلطات الحكومية ومصادر أخرى عن قيام مقاتلي الحركة الوطنية لكوت ديفوار بتدمير السجلات المدنية في المحافظات. 2. النهب والتدنيس",0
"106","18. كما تتفاوت البلدان التي مزقتها الحروب من حيث القدرة الاقتصادية والاجتماعية.",0
"107","5. طلب الحصول على شهادة مراقبة التسليم",0
"108","49. وواصلت الحكومة أيضا الجهود الرامية إلى تقديم المساعدة الغذائية للسكان الذين يعانون من انعدام الأمن الغذائي والفئات الضعيفة بدعم من برنامج الأغذية العالمي، بما في ذلك من خلال برنامج تغذية الأم والطفل التابع لوزارة الصحة (000 47 مستفيد في عام 2010 حتى 30 حزيران/يونيه)، وبرنامج التغذية المدرسية التابع لوزارة التعليم (000 241 مستفيد) وبرنامج الغذاء مقابل العمل/الأصول (600 مستفيد)، الذي يستهدف المجتمعات المحلية التي تعاني من انعدام الأمن الغذائي. وفي 27 أيار/مايو، تم افتتاح مصنع لإنتاج الأغذية المغذية المخلوطة لتوزيعها من خلال برنامج تغذية الأم والطفل بدعم تقني وإداري من برنامج الأغذية العالمي.",1
"109","في نياكوندي، تم الإبلاغ عن مقتل أكثر من 2,000 شخص وفرار السكان إلى الغابة.",0
"110","32. يطلب إلى الأمين العام أن يدرج في تقاريره المقدمة إلى المجلس عن الحالات الخاصة ببلدان محددة معلومات أكثر شمولا وتفصيلا عن حماية المدنيين في النزاعات المسلحة، بما في ذلك معلومات عن الحوادث المتصلة بالحماية والإجراءات التي تتخذها أطراف النزاع المسلح لتنفيذ التزاماتها باحترام وحماية السكان المدنيين، بما في ذلك معلومات خاصة باحتياجات اللاجئين والمشردين داخليا والنساء والأطفال والفئات الضعيفة الأخرى من الحماية;",1
