"ar_en_DEEP"	"MatConf"
"Second, Mr. Covic expressed concern about the quality of democracy in a place where the minority - the Kosovo Serbs - risk losing out to mechanical majority voting. I would say that I think the most important aspect of democracy that can be expected is for one to participate, exercise democratic rights and vote."	0
"More than 20 women and young girls were reportedly raped during attacks by government forces and Janjaweed in March 2004 on Korma, North Darfur."	1
"âThe Security Council also reaffirms the need to work by all means, in accordance with the Charter of the United Nations, to combat risks to international peace and security resulting from terrorist acts. The Council reminds States that they must ensure that any measures they take to combat terrorism comply with all obligations under It was decided under international law, in particular international human rights law, international refugee law and international humanitarian law."	0
"Nonprofits manage large budgets and move funds across jurisdictions legally and with great ease, so they can provide a relatively secure global framework within which they can be exposed with minimal risk. The sheer number of beneficiaries of large nonprofits allows funds to be transferred with little Risk, especially where non-profit organizations have a semi-autonomous status that allows them to carry out their activities outside the scope of regulators and law enforcement authorities."	1
"In July 2005, 93 per cent of detainees were in pre-trial detention centers and the figure may now be higher."	1
"In 1980, the Air Force of CÃ´te d'Ivoire introduced into service six Dassault/Dornier Alpha Jet CI light aircraft for attack and training work."	1
"Perhaps they were hoping to once again escape the consequences of their actions in Ethiopia."	0
"Five people were killed, and ten people were seriously injured."	1
"Article 33 clearly indicates that a member of the security services may, under the umbrella of the law, torture a suspect and even kill him if his actions are carried out in the course of performing his duties."	1
"Calling on parties to the armed conflict to take appropriate measures to respect and ensure respect for international humanitarian law and international human rights law, including by:"	0
"It is clear that this ruling does not apply to this case because the crimes occurred in Sudan and it is claimed that those who committed them were nationals of Sudan ()."	1
"This item was a priority during the presidency of Colombia."	0
"424- The trend of the Janjaweed outperforming the police began even before the current crisis occurred, and this can be deduced from the information provided by the government itself."	1
"Colonel Leary sent messengers to convey the matter to the soldiers who were not within earshot."	1
"What distinguishes this category of crimes from war crimes is that they are not concerned with isolated or sporadic violations, but rather with violations that (a) may occur in times of peace or in times of armed conflict, and (b) fall within the practice of atrocities (or attacks) on a widespread or systematic basis against the population. Civilians."	1
"In each case, two fundamental rights, the right to property and the right to movement, are subject to restrictions, for reasons that are very likely to arise from the unjust continuation of the implementation of punitive measures issued by the Security Council."	1
"24. To date, Iran has provided the Agency with an initial design information questionnaire and three revised design information questionnaires:"	0
"As long as countries do not require individuals on the list to abide by travel bans, they will consider circumventing the ban to be negligible."	1
"Indohadi has a âspecial representativeâ who handles drug farm operations on his behalf, and he uses his militia to guard the drug farms he owns."	1
"The National Committee recommended the establishment of judicial investigation committees to investigate the following allegations: cases of extrajudicial executions; The Arab groups seized two villages belonging to the Fur tribe in the Kas region. There were incidents of killing and burning of some wounded people in hospitals in the villages of Buram, Millet, and Kalbus."	1
"Also, law enforcement mechanisms are weak in combating inter-ethnic crime."	1
"A small number of countries are unable to implement the measures at all, and terrorists are able to break the embargo at will."	1
"One State indicated that it had expanded the basis on which terrorist organizations could be included in its criminal law to include organizations that advocate the commission of terrorist acts."	1
"169 - The explosion that killed Mr. Hariri and 22 others occurred above ground."	1
"Two States apply special criminal procedures, such as preventive detention and the granting of âspecial powersâ ââto certain investigative techniques."	1
"1. Commends the continued efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, President of the African Union, President Thabo Mbeki of the Republic of South Africa and the African Union mediator, the Economic Community of West African States, and leaders of the region to promote peace and stability in CÃ´te dâIvoire, and reiterates its Full support for these efforts;"	0
":: Managing proliferation risks through corporate governance and internal compliance management"	0
"Kosovo Serb representatives did not participate in either of the two meetings held by the Transfer of Responsibilities Board."	0
"The holding of legislative elections without delay and in a relatively peaceful atmosphere is, in our view, a major achievement that represents a major step forward in restoring constitutional order, more inclusive governance, and concluding the remaining key aspects of the peace process."	0
"Government interlocutors reiterated that inactivating armed groups remains a key priority, reiterating that operations against the ADF are their top priority. The Government acknowledged the support provided by MONUSCO during operations carried out against armed groups, and emphasized the need for increased joint combat operations."	1
"VII - Proposed Amendments to Claim No. 5000350 (Iran) 150"	0
"Our main concern in that regard is the fact that, for the report, none of the eight key standards have yet been fully implemented."	0
"Likewise, one of the victims identified the man as a Janjaweed commander who led attacks in which civilians were killed."	1
"Coordination with other international financial institutions is an important element for this purpose."	0
"This system was amended in resolutions 1333 (2002) and 1390 (2002), imposing three measures (assets freeze, travel ban, and arms embargo) targeting specific individuals and entities associated with the Taliban and Al-Qaeda."	1
"2 - The Republic of Croatia, as the Chair of the Counter-Terrorism Committee of the Security Council and one of the first States to encourage the establishment of the Global Counter-Terrorism Alliance, strongly condemns international terrorism in all its forms and manifestations, and, taking into account the danger of terrorism merging with other threats to international peace and security - such as the proliferation of weapons of mass destruction, transnational organized crime and cyberterrorism - urges that international cooperation become stronger to suppress this contemporary scourge."	0
"(b) Rent exemption"	0
"38 - Several countries in the Asian region provided active support for the development of counter content, including for use via the Internet to refute the intellectual and religious defects on which terrorist ideologies are based."	0
"269 ââ- The Committee reviewed a large number of reports coming from various sources, documenting the killing of civilians on a large scale throughout Darfur, starting from 2003 until the time of publication of this report."	1
"He also said that the verification mechanism had cancelled several missions due to resistance from South Sudanese forces."	1
"Special Representative Kobler briefed the Council on numerous attacks committed by the Allied Democratic Forces between 5 and 18 October, which caused the deaths of more than 40 civilians and the displacement of hundreds near the town of Beni in the eastern parts of the Democratic Republic of the Congo."	1
"This provision is clear in the spirit of Section 9 of the Nepalese Treaties Act."	0
"3- Decides to keep the matter under consideration."	0
"F. Military training and recruitment as part of the arms embargo"	1
"Requests the Secretary-General and relevant United Nations agencies, as appropriate, through, inter alia, consultations with women and women-led organizations, to develop effective mechanisms to provide protection for women and girls from violence, including in particular sexual violence, in and around United Nations-administered refugee and internally displaced persons camps, in all disarmament, demobilization and reintegration operations, and in justice and security sector reform efforts assisted by the United Nations."	0
"Incorporating gender perspectives into the design and implementation of post-conflict environmental assessments."	0
"In addition to other reliable information, the Commission recorded the testimony of persons arrested in the context of the conflict in Darfur and currently detained in Khartoum, relating to the torture and inhuman and degrading treatment to which they were subjected."	1
"In most cases of ground attacks, men were the direct targets of killing, and in some cases there was evidence of efforts by the perpetrators to spare the lives of women."	1
"49. During the famine, ideological indoctrination was used to maintain order, at the cost of which hunger worsened to a dangerous extent and famine spread."	1
"Based on his testimony, he was in his office when he heard the explosion, but he thought it was a sound caused by Israeli fighters penetrating the sound barrier."	1
"The involvement of Boko Haram and Ansaru in the kidnapping of a French priest in Cameroon in November 2013 indicates the ability of these two groups to operate outside Nigerian borders."	1
"The team firmly believes that officials use the revenues generated through this method to help support their militias and purchase weapons."	1
"(a) A state of chaos prevailed at the crime scene, not only during the first hours following the explosion, during which most of the focus was on putting out the fire, rescuing the injured, and searching for the missing, but, unfortunately, during a much longer and unnecessary period as well."	1
"13. Global patterns of supply of small arms and light weapons have changed profoundly over the past few decades."	1
"It was reported that in April 2004, a group of 40 internally displaced women went to collect firewood outside Mokjar, West Darfur, and were attacked by six armed Janjaweed."	1
"1 - The present report of the Security Council Committee established pursuant to resolutions 751 (1992) and 1907 (2009) concerning Somalia and Eritrea covers the period from 1 January to 31 December 2014."	0
"During the election period, it is expected that other destabilizing activities will occur in this area."	1
"The monitoring team learned from a former senior official of the Popular Front for Democracy and Justice with direct knowledge of the trade and finance sector in Eritrea that:"	0
"However, the situation remains precarious for many others, with the severity of ethnically motivated attacks increasing - although not in frequency."	1
"The market stalls were completely destroyed and the livestock looted."	1
"However, as the Council learned from the briefing on 31 January, bombings continue to be reported, and the most recent case is being investigated by African Union observers."	1
":: Assessing progress in the peacebuilding process before considering decisions on the United Nations withdrawal and/or transition from one form of engagement to another, which could include: (a) the level of support and commitment of the international community; (b) ways to strengthen the capacity of United Nations country teams to enable them to continue supporting long-term peacebuilding efforts in countries on the agenda; and (c) the opportunities and risks that peace consolidation presents to specific countries."	0
"16 - The situation in the occupied Arab territories (1) (4 May 1976; 13 July 1998)."	0
"It dropped to 0.5 million analyzes in 1997 and rose again to more than 640,000 analyzes in 2002."	0
"The men in these vehicles and the soldiers in the street opened fire on the police vehicles, wounding a police force soldier in the leg."	1
"Moreover, the gravel-sand plain of the Moro River in Liberia is subject to severe inundation during the rainy season, making organized and mechanized extraction of diamonds from the silt impossible."	0
"(ii) 11 stations detected two infrasound waves occurring 1.1 seconds apart;"	0
"248. Many ground and air attacks on villages resulted in the indiscriminate killing of civilians."	1
"72 - What happened on 25 and 26 March were indiscriminate killings of innocent civilians and gross violations of human rights."	1
"13. This situation has complicated efforts aimed at peace and reconciliation."	1
"Noting with deep concern the escalation of violence and increased inter-communal fighting, as well as the continuing manifestations of sexual and gender-based violence and impunity, and reiterating its grave concern at the attacks directed against humanitarian personnel, peacekeepers, and the security of civilians, and calling on all parties in Darfur to stop Immediately launch its aggressive actions and stop continuing its violent attacks, which are deteriorating the situation with regard to humanitarian aid and obstructing its access to needy groups of the population,"	1
"Statement issued by the Personal Envoy of the Secretary-General for Western Sahara"	0
"However, the coming years are shrouded in many uncertainties."	0
"In the eastern Democratic Republic of the Congo, security threats resulting from armed clashes and violent civil unrest, often exacerbated by political tensions, remained a source of concern."	1
"They are the ones who do all these things, and then they ask for protection and guarantees and use them as a mask in order to blackmail and obtain more concessions."	0
"259 - In order for attacks directed at places or areas where both civilians and combatants may be present to do not unlawfully endanger civilians, international law imposes two basic obligations, which apply in both international armed conflicts and internal armed conflicts."	0
"In this regard, the Committee also stressed the importance of provisions requiring detainees to be held in places known to the public and requiring the names of detainees and places of detention to be duly registered."	1
"3. On 27 December 2007, supporters accused Sergeant Ibrahim Coulibaly, known as IB, who had previously been a member of the Forces Nouvelles, of attacking members of the Forces Nouvelles in Bouake. The attack resulted in many deaths, as well as the arrest of a number of individuals."	1
"Eritrea has been organizing and training various types of criminal gangs and terrorists and sending them to Ethiopia to wreak havoc in our country and destabilize political stability."	1
"41 - Non-proliferation (29 March 2006; 20 September 2012)."	0
"(a) Necessary to cover basic expenses, including amounts paid for food, rent or mortgage, medicines and medical treatment, taxes, insurance premiums, utility charges, or exclusively for reasonable professional fees and reimbursement of expenses incurred in connection with the provision of legal services or fees or service charges for the normal custody and maintenance of frozen funds or other financial assets or economic resources after the State(s) concerned have notified the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as âthe Committeeâ) of their intention to authorize, where appropriate, access to such funds, assets or resources, and in the absence of a decision to deny by the Committee, within 48 hours of such notification;"	0
"15. Military observers of UNOMIG continued their assigned tasks by conducting daily ground patrols, maintaining communications with local authorities and coordinating with the collective peacekeeping force of the Commonwealth of Independent States, as well as with law enforcement agencies on both sides."	0
"There were reports that during attacks, members of the Janjaweed and government forces routinely raped, burned, beat and stripped women, and verbally abused and humiliated civilians."	1
"70. Within the framework of the Working Group on Combating the Financing of Terrorism of the Counter-Terrorism Implementation Committee and its global initiative on protecting non-profit organizations from being exploited by terrorism, the Directorate organized a regional workshop for Member States from East Africa, in Nairobi in March. March 2012. The workshop discussed national practices and identified oversight deficiencies in the non-profit sector regarding specific terrorist financing risks."	0
"The failure of Ayman Muhammad Rabih al-Zawahiri in his efforts to mediate the internal conflict between Al-Qaeda and Jabhat al-Nusra (an Al-Qaeda-affiliated group in Iraq), as well as the ongoing internal conflict within Al-Shabaab, demonstrates the limited authority of Al-Zawahiri."	1
"105. No State reported to the Committee any attempt to breach the arms embargo, but the Group noted several instances in which effective implementation of the arms embargo was complicated by factors such as the presence of Al-Qaida-linked entities in a post-conflict area or in areas not subject to Under government control, such as Somalia and Afghanistan."	1
"2 - A diagram showing the Bay of La Union and the Island of Conejo, which is an annex to the GoascorÃ¡n Strip, which was confirmed as being under Honduras' sovereignty by the International Court of Justice's ruling of 11 September 1992, which was again confirmed by the ruling of 18 December 2003, which ruled that the petition for reconsideration submitted by El Salvador regarding the GoascorÃ¡n Strip was inadmissible."	0
"In the absence of these steps, the return program may collapse in the coming months."	0
"We believe that we can already draw some conclusions."	0
"On November 29, 2014, regime helicopters dropped two explosive barrels on a clinic in Kafr Sijna in Idlib, destroying parts of it."	1
"Capacity building was one of the main objectives."	0
"97 - It has been noted that, in some cases, national security and law enforcement forces may have conducted investigations and taken counter-terrorism measures in isolation from human rights considerations, compared to ordinary criminal policing situations, due to the urgency and specificity of terrorist threats, which is This results in major gaps."	1
"Paragraphs 45-49 and 53-55; Paragraphs 45-48; Paragraph 57."	0
"Therefore, the door to joining our financial system is closed at the moment."	0
"Meanwhile, resources are being mobilized, with support from UNOCI, UNICEF and the World Food Programme, for the rehabilitation and reintegration of a total of 511 child soldiers, including 204 girls who were released and handed over to UNICEF by the Forces Nouvelles leadership."	0
"(c) An unexplained increase in the volume of exports from a particular country;"	0
"Urges all concerned parties, including Member States, United Nations entities and financial institutions, to support the development and strengthening of the capacities of national institutions and local civil society networks involved in the defence, protection and rehabilitation of children affected by armed conflict, in order to ensure the sustainability of local initiatives aimed at protecting children."	0
"120 - In October 2002, the President of the Republic requested a halt to the destruction of neighborhoods."	1
"Scheduled for Tuesday, 15 February 2005, at 5 p.m"	0
"The petitioners then passed through an empty lane guarded by two Rapid Response Unit vehicles and near the market area the petitioners were shot at. The gunfire came from both Rapid Response Unit officers in guard vehicles and members of the public, and one civilian was killed by a weapon fired from a long distance. Eight civilians were injured by firearms bullets. Two policemen and two civilians were also seriously injured."	1
"Scheduled to be held on Friday, March 28, 2014, at 10:00"	0
"The line of this card received a phone call one minute after the bombing, at 12:57 a.m., from a public telephone booth in Tripoli located near a building where Syrian intelligence was located. On 30 January, a call was made from the same phone booth in Tripoli to the landline of Mr. Abu Adass's home."	1
"As noted above, it has become clear that counter-terrorism measures are most effective when implemented in the context of a broad strategy that includes attention to the factors that contribute to extremism, including ensuring the prevention of those involved in recruiting terrorist groups or inciting terrorist acts. Or discourage them from doing so."	0
"The ambassador noted that the Council also has an important role in promoting accountability for these crimes and other violations of international humanitarian law and international human rights law."	1
"But these efforts have not yet borne fruit."	0
"5 - Just as Al-Qaeda will remain a threat to Afghanistan for some time, it will also continue to have some influence in the rest of the world."	1
"In May, all aspects of police education were consolidated under a separate programme, and an agreement was concluded on the establishment of a broad training system for Bosnia and Herzegovina."	0
"52. Allegations of rape of minors, including very young girls, remain a matter of serious concern. The Mission has regularly participated in the work of regional committees on sexual violence, as a means of strengthening support for child victims of rape."	1
"The first is that some countries do not appear to have done enough to ensure implementation of the embargo; The second lies in the different ways in which states interpret their obligations. The third relates to the scope of the arms embargo and its connection to the continuous change in methodologies for achieving its goals."	1
"In the case of Darfur, this persecutory and discriminatory intent can be seen on many occasions, both by some Arab militias and by the central government: the regular attacks on villages inhabited by civilians (or mostly civilians) belonging to certain âAfricanâ tribes (Fur, Masalit, Zaghawa), the systematic destruction and burning of these villages, and the forced displacement of civilian villagers, bear witness to the existence of clear persecutory coercion."	1
"6 - Recalls the obligations mentioned in operative paragraph 2 (e) of resolution 1373 (2001), and notes in particular those relating to terrorist attacks against United Nations personnel, peacekeepers and installations;"	0
"Reaffirming its call on all States to become parties as soon as possible to international conventions and protocols against terrorism, whether or not they are parties to regional conventions on this issue, and to fully implement the obligations imposed on them under the conventions to which they are party,"	0
"The third factor lies in the weak police presence. The fourth factor lies in the interference of foreign parties in the situation in Darfur."	1
"Al-Qaeda in Iraq's goal is to build the capabilities to launch attacks whenever targets become available, whether by its members or in cooperation with existing groups that work with it or, better yet, under its orders."	1
":: July 12, 2005, Defense Minister Elias Murr was wounded, and two others were killed in a car bomb attack in Beirut."	1
"The Council stresses the need to commit without reservation to the process of integration into the armed forces, in compliance with the spirit of the inclusive and comprehensive agreement."	0
"Government leaders and supporters, for their part, accused the National Movement of CÃ´te d'Ivoire and other \"rebel movements\" of using foreign forces and committing atrocities, most notably the killing of dozens of gendarmes in Bouake."	0
"The paper, which was drafted by the Working Group on Returns in partnership with UNHCR, was presented to the main countries of asylum, and the mission appealed in the paper to implement a moratorium on forced and compulsory returns during the winter months."	0
"27. In addition, several States have taken temporary measures to allow their officials to implement sanctions imposed under a list issued by the Security Council even before national verification processes are completed."	0
"Over the past year, as a result of the intensification of military operations against armed groups, MONUC increased its logistical support to the Congolese armed forces by 226 per cent."	1
"Most people in the region rightly reject a return to the status quo ante, as any truce based on such limited results cannot be expected to last."	0
"Reiterating the commitment of Member States to prevent the movements of terrorist groups, including by imposing effective border controls, and in this context to work to exchange information promptly and improve cooperation among the competent authorities to prevent the entry and exit of terrorists and terrorist groups from their territories and to prevent the provision of weapons and financing to terrorists that would to support terrorists,"	1
"Later the same day, military actions at the air base of the Air Force of CÃ´te d'Ivoire at Abidjan International Airport resulted in the destruction of two other Su-25 aircraft, two Mi-24v helicopters, and a drone."	1
"The situation in Somalia (17 March 1992; 21 November 2012)"	0
"The Panel notes that these invoices were issued in 1982."	0
"The Council authorized the deployment of the United Nations operation in Burundi, which will consist of a maximum of 5,650 military personnel, including 200 observers, 125 staff officers, and up to 120 civilian police, as well as an appropriate number of civilian staff. To be deployed from June 2004 for an initial period of 6 months, UNFICYP will initially consist of the existing forces of the African Mission in Burundi."	1
"The mandate related to following up on the delisting procedure"	0
"The Special Representative said that recent gains in reclaiming territory from ISIS demonstrate that this strategy, which has international military support, is making progress."	1
"Acting in accordance with Article 41 of Chapter VII of the Charter of the United Nations,"	0
"However, sectarian tensions remained high in some areas, fuelling numerous attacks."	1
"Moreover, mobile armed groups that rely on banditry tend to be more brutal in their methods, given their less incentive to build bases of popular support locally."	1
"Indeed, the lack of details indicated that special notifications between INTERPOL and the UN Security Council, which are the main tool for providing information on listed persons to law enforcement agencies, existed for 309 of the 488 names at the beginning of the review; The number now stands at 361 names and is likely to increase."	0
"129. The Committee is convinced that Awan Kayak and his men were involved in committing crimes against persons and life at the roadblock established in the vicinity of Mercado Lama on the afternoon of 25 May, as described in paragraph 87 above."	1
"The Assistant Secretary-General reported that armed groups continued to spread terror among the population in areas under their control by committing killings, kidnappings, torture, ill-treatment and other gross human rights violations, including the destruction of homes and the seizure of property, and he also reported continued allegations of of volunteers and government-controlled human rights violations."	1
"There were two or three white and green planes that came at a very low altitude. A white plane attacked."	1
"Many of the reports relate to the abduction of women."	1
"âThe Security Council urges the countries of the Sahel and the Arab Maghreb to improve cooperation and coordination at the interregional level in order to develop comprehensive and effective strategies to combat the activities of terrorist groups in a comprehensive and integrated manner, in particular Al-Qaeda in the Islamic Maghreb, the Movement for Oneness and Jihad in West Africa, and the Ansar Dine movement, and to prevent the expansion of those groups, as well as suppressing the proliferation of all weapons and combating transnational organized crime, including drug trafficking, and takes note, in this regard, of the outcomes of the conference organized by the Executive Directorate and the Implementation Task Force, in Rabat, on cooperation in border control in the Sahel region And the Arab Maghreb, as well as the results of the ministerial meeting on improving cooperation in the field of security and activating the African peace and security system in the Sahel-Saharan region, which was held in Nouakchott."	0
"In order to know whether it is time to start this process, a broad assessment of the situation in Kosovo must be undertaken, going beyond the application of criteria."	0
"7 - In North Africa and the Sahel and Sahara region, the influence of armed groups with extremist ideologies has increased, including Al-Qaeda in the Islamic Maghreb."	1
"He participated in a training camp affiliated with the organization until November 2001, then he stayed in Afghanistan for more than a year to fight American forces. During this period, he had contacts with senior leaders in Al-Qaeda, who convinced him to return to Europe, where he was granted German travel documents that It affords wide scope for freedom of movement and recruitment of suicide attackers."	1
"During the reporting period, a number of members of the political opposition in Niger were arrested and released on bail."	1
"Identifying potential perpetrators of international crimes"	1
"Members expressed concern about the security situation and stressed that unless it is addressed quickly and effectively, the return to normalcy may be halted, thus undermining the efforts made by the authorities to achieve stability."	0
"160. The Minister of the Interior, as stated in paragraphs 89 to 94 above, armed civilians, some of whom were later alleged to have unlawfully participated in the commission of criminal acts."	1
"However, much remains to be done, especially in the areas of rule of law, law enforcement, government capacity, development, the private sector, and personal security for all Afghan citizens."	0
"(b) The lack of effective measures to prevent rape of Ethiopian women and girls;"	1
"In fact, many of the laws in force in Sudan today contradict basic human rights standards."	1
"159. During the armed conflict in CÃ´te d'Ivoire in 2002-2003, the number of Liberians fighting alongside the Government of CÃ´te d'Ivoire was estimated at between 1,500 and 2,500, while approximately 1,000 combatants were believed to be fighting on the side of the Ivorian rebels (see Document S/2004/972)."	1
"âThe Security Council affirms that any attempt to obstruct the peace process and transition in the Democratic Republic of the Congo, including support for armed groups, will not be tolerated."	0
"While some reports indicate that a few incidents of destruction of villages and private property were committed by rebel groups, most reports contain witness statements showing that the majority of villages were destroyed during attacks by the Janjawid, often under the direction of the forces. The armed forces affiliated with the Sudanese government, with its participation and support."	1
"Also, names that are not sufficiently specific may lead to sanctions being applied to persons other than those targeted."	0
"Other trends include the increasing use of false identity papers to obtain legitimate and secure travel documents, the increased use of the Internet and other communications technologies (both to incite terrorist acts and to attract new elements), and the new phenomenon of terrorists operating alone or in small cells."	1
"During these attacks, the Janjaweed were reported to have destroyed food containers, food processing equipment, water containers and other household items necessary for the residents' survival."	1
"However, government authorities and other sources indicate that the movement's fighters destroyed civil status records in the provinces."	1
"184 - The majority of reports note a pattern of indiscriminate attacks against civilians in villages and communities in all three Darfur states starting in early 2003."	1
"As noted above, there are repeated and reliable reports that these raids increased significantly on the night of 23 March, and then to a greater extent during the nights that followed."	1
"42. With regard to the international law argument, the Monitoring Group considers that one of the reasons for establishing a review team or other review mechanism is merely to anticipate the law in this area, in order to establish it rather than leaving the matter to national and regional courts or the practices of Member States."	0
"The absence of such guidelines, including defining criteria for selecting cases to investigate and prosecute, has deprived the committees of the necessary guidance regarding appropriate methods for investigating crimes that constitute gross human rights violations."	1
"(a) The violence that occurred at the Government Palace around midday on 28 April, resulting in two deaths, at least four firearm injuries, and two other serious injuries;"	1
"Restricting the movement of valuable goods"	0
"Phone: 212 355 7776, extension: 234"	0
"2 - The situation in Sierra Leone"	0
"The situation along the Lebanese border with Syria remains worrying."	0
"Areas for evaluation 25 - All the countries visited by the Committee issued legislation assigning to their authorities in the areas of the judiciary, public prosecution and law enforcement the necessary competencies to combat terrorism."	0
"The soldiers, who were armed with M16 weapons and rifle-propelled grenades, were then subjected to intense automatic weapons fire from the east. They responded violently to that fire, including throwing several Bedouin bombs, and were reinforced by soldiers from the armed forces throughout the day."	1
"Repeated attacks on international diplomats in Benghazi and Tripoli demonstrate this presence."	1
"On the morning of May 24, eight soldiers from the armed forces who were conducting surveillance patrol in the hills area were attacked and surrounded by a group of armed men who were stationed at a higher location."	1
"I would also like to express my appreciation to the countries contributing military troops and police units."	0
"Security Council resolution 1882 (2009), operative paragraph 6"	0
"Imposing a complete and comprehensive travel ban would indeed work in confronting acts of terrorism carried out by Al-Qaeda and the Taliban, but evidence indicates that its impact is limited at the present time."	0
"Decides that all States shall take the necessary measures to prevent the sale or supply of arms and related materiel of all types, including weapons, ammunition, military vehicles and equipment, paramilitary equipment and spare parts, to (the affected State) by its nationals or from its territory or using ships and aircraft whose flags are raised, whether their territory is the country of origin or not."	0
"Al-Qaeda terrorism currently consists of three prominent but interconnected groups: the first, made up of the old leadership whose names are well known; The second is made up of fighters who trained in Afghanistan's camps and graduated as seasoned terrorists. The third is made up of a growing new generation of supporters who may have never left their countries of residence but have embraced essential elements of Al Qaeda's message."	1
"21 - In mid-November, the armed confrontation escalated between the Serbian security forces and the so-called Liberation Army of Presevo, Medveda and Jojano Vac in the terrestrial safety zone."	1
"We condemn the repeated terrorist rocket attacks on Israeli civilian targets."	0
"(b) Providing the Authority with employees with appropriate qualifications and experience, provided that they are international civil service employees subject to Article 100 of the Charter of the United Nations, ensuring the highest levels of competence, competence and integrity, and giving consideration to the importance of appointing employees on the broadest possible geographical base."	0
"The whole world, especially the people of Sierra Leone, will closely monitor the work of this court."	0
"It can be said that the town of Kalbus was a military target, as the camp located there attests."	1
"Water stations On November 23, 2014, ISIS detonated a car bomb near a water purification station in the village of Maidan in Hasakah, causing significant damage to the station. Power plants"	1
"Security Council resolution 1894 (2009), operative paragraph 5"	0
"Based on that hypothesis, the largest number of victims belongs to Abobo: 63 percent of those killed, 35 percent of those injured or tortured, and 40 percent of those who disappeared. The second highest number of casualties belonged to Anyama, with 10 percent of those killed; Kumasi accounted for 13 percent of those injured or tortured, while 35 percent of the disappeared belonged to Anyama."	1
"6 - The Iraqi commercial marine fleet carrying the Iraqi flag is registered in the port of Basra and is documented in the records of the aforementioned port and with the British Lloyd’s Classification Authority and insurance companies."	0
"Many witnesses reported that insults and insults were used against the detainees, who often called them âslaves.â"	1
"There is huge amounts of money available to Al-Qaeda in Iraq(); Other groups were able to raise money by relying on crime and donations."	1
"Each discharged combatant will receive a subsistence allowance of approximately US$940, of which 25 per cent will be paid upon discharge; 25 percent 45 days later; The rest after 90 days."	0
"While the two leaders in Afghanistan retain their personal charisma and credibility as founders of al-Qaeda, and excel at claiming religious justification for terrorism, al-Qaeda in Iraq, whether under Abu Musab al-Zarqawi or a successor, with its stream of headline-grabbing attacks, has greater appeal to those eager for action."	1
"The Commission obtained reliable evidence of the use of Mi-8 and Mi-24 helicopters and Antonov aircraft during air attacks on villages."	1
"He said that both parties would have to show flexibility and a sense of responsibility."	0
"There are also reliable reports that more than 20 people may have disappeared, although their families are so afraid that they dare not report their disappearance to the relevant authorities."	1
"We strongly condemn the criminal attacks that the terrorist group Boko Haram continues to carry out in northern Nigeria and in neighbouring countries."	0
"There were also reports of incidents in which civilian residents were detained, coupled with arbitrary executions, as well as the death of civilians as a result of indiscriminate air attacks launched by government forces."	1
