"","en_ar_DEEPL","VerConf"
"25","وقد أبلغني رئيس الوزراء السنيورة على وجه الخصوص أن بند القرار المتعلق بنزع سلاح الميليشيات وحلها يخضع لحوار داخلي بدأه مؤخراً وهو ملتزم بالوصول به إلى خاتمة ناجحة.",0
"26","وللأسف، هناك أيضاً العديد من الأمثلة التي كان يمكن لآليات تقصي الحقائق أن تساهم في إظهار الحقيقة وضمان المساءلة ومنع المزيد من انتهاكات حقوق الإنسان ولكن المجلس لم يتخذ إجراءات فعالة لاعتبارات سياسية.",1
"27","105. في حين أن تدابير مكافحة تمويل الإرهاب قد تحسنت في جميع أنحاء المنطقة دون الإقليمية، لا تزال هناك أوجه قصور فيما يتعلق، على وجه الخصوص، بوضع آليات للتجميد، وتنظيم نظم التحويلات المالية البديلة ومراقبة المنظمات غير الربحية.",0
"28","نائبا الرئيس: البرازيل والاتحاد الروسي",0
"29","ويبدو أن هذه الأنشطة الإجرامية لها تأثير مضاعف من خلال تغذية الإرهاب في أفريقيا والأنشطة الإجرامية التي تزدهر في مناطق أخرى من العالم.",1
"30","إن مثل هذه الاتهامات الباطلة تتعارض مع المنطق ومع المعايير الأساسية للموقف المهني. وأنا على يقين تام بأن المجلس سيرفضها.",1
"31","تمثل قرى كارباس حالة خاصة - سأشير إليها في القسم الخاص بالأراضي.",0
"32","وأعرب المجلس أيضا عن أسفه لاعتماد جمعية كوسوفو للقرار المذكور، واتفق مع الممثل الخاص على أن مثل هذه القرارات والمقررات التي اتخذتها الجمعية بشأن مسائل لا تدخل في مجال اختصاصها باطلة ولاغية.",1
"33","سيتم تحديد التفاصيل خلال عملية التخطيط القادمة.",0
"34","تم توزيع مقاعد الجمعية هذه على خمسة أحزاب سياسية معارضة، حيث حصل كل حزب على أربعة مقاعد.",0
"35","وبناءً على طلب القيادة العليا للقوات الجديدة، تم إنشاء مجموعة عمل مؤلفة من القوات المحايدة والقوات الجديدة لوضع خطة عملياتية لتجميع قواتها.",0
"36","ويوجز التقرير القضايا المثيرة للقلق، ويختتم بحث المرأة الصومالية على المجتمع الدولي أن يثير قضايا النوع الاجتماعي، بما في ذلك مع القادة الصوماليين.",1
"37",":: الجيش السوري الحر لا يحاصر البلدات.",0
"38","""ويدين مجلس الأمن مقتل المدنيين الأبرياء وانتهاكات حقوق الإنسان في شرق جمهورية الكونغو الديمقراطية، ويدعو إلى إجراء تحقيق كامل في هذه الحوادث.",1
"39","32. ومن شأن برنامج تعزيز السلام الذي أطلقته حكومة أفغانستان (انظر الفقرة 16 أعلاه) أن يسمح للمتمردين السابقين بالعودة إلى التيار الرئيسي للمجتمع الأفغاني.",0
"40","23. يقرر إبقاء المسألة قيد نظره.",0
"41","ولم يتم بعد تنفيذ هذا الحكم الرئيسي المتبقي من القرار. فهو يؤكد من جديد على قرار التزم به جميع اللبنانيين في اتفاق الطائف عام 1989، في أعقاب الحرب الأهلية.",1
"42","حالة الموارد المالية للقوى الجديدة 40",0
"43","من الواضح أن القضية العامة لتوزيع الأسلحة قد أثارها الوزير راموس-هورتا.",1
"44","وقد قدم المركزان الحاليان الرعاية الطبية لـ 171 مريضاً مقيماً و1634 مريضاً خارجياً، ويقدمان حالياً العلاج الطبيعي لـ 726 مريضاً.",0
"45","[و] التشديد على أهمية نزع سلاح الجماعات المسلحة [الوطنية] والأجنبية وتسريحها وإعادة توطينها أو إعادتها إلى أوطانها، حسب الاقتضاء، وإعادة إدماجها بشكل دائم من أجل تحقيق الاستقرار الطويل الأجل في [البلد المتضرر]، وعلى أهمية المساهمة التي يقدمها الشركاء الدوليون في هذا المجال.",0
"46","7. محمود خالد الرز، 4 سنوات",0
"47","يبدو من الواضح أن الإرهابيين المدرجين في القائمة لا يزالون قادرين على جمع وتلقي الأموال من المتعاطفين خارج دائرتهم المباشرة.",0
"48","وبالإضافة إلى ذلك، تناولوا احتجاز الشرطة الجورجية، في 12 و 31 آب/أغسطس، لشاحنات تابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة كانت تنقل بضائع من الجانب الأبخازي من خط وقف إطلاق النار.",0
"49","يجب اتخاذ خطوات لقمع تمويل الإرهاب بشكل كافٍ.",1
"50","وفي نهاية المطاف، وبمجرد أن تصبح الظروف مناسبة، ينبغي أن تتضافر جهود هذه المؤسسات والشركات مع الحكومات المعنية لتنسيق الجهود من أجل اعتماد خطة متماسكة لتنمية البلاد وخلق سبل العيش للسكان والنهوض بحالة حقوق الإنسان.",0
"51","لا تتم المراقبة الحالية للسلع المستوردة بأكثر الطرق فعالية.",0
"52","يدعو جميع الدول إلى اتخاذ خطوات عاجلة لتنفيذ القرار 1373 (2001) تنفيذا كاملا، ومساعدة بعضها بعضا في القيام بذلك، ويشدد على التزام الدول بحرمان الإرهابيين ومن يدعمون الإرهاب من الدعم المالي وجميع أشكال الدعم الأخرى ومن الملاذ الآمن,",1
"53","""ويدين مجلس اﻷمن بشدة استمرار استخدام اﻷراضي اﻷفغانية، وﻻ سيما المناطق التي تسيطر عليها حركة طالبان، ﻹيواء وتدريب اﻹرهابيين والتخطيط لﻷعمال اﻹرهابية، ويؤكد من جديد اقتناعه بأن قمع اﻹرهاب الدولي أمر ضروري لصون السلم واﻷمن الدوليين. ويصر على أن تكف حركة طالبان عن توفير الملاذ الآمن والتدريب للإرهابيين الدوليين ومنظماتهم، وأن تتخذ تدابير فعالة لضمان عدم استخدام الأراضي الخاضعة لسيطرتها في إقامة منشآت ومعسكرات للإرهابيين أو في الإعداد أو تنظيم أعمال إرهابية ضد دول أخرى أو مواطنيها، وأن تتعاون مع الجهود الرامية إلى تقديم الإرهابيين المتهمين إلى العدالة.",1
"54","ومن الحالات البارزة الأخيرة حالة مالي حيث لم يتصرف المجلس بناء على طلب من الأمين العام بإنشاء فريق من الخبراء للتحقيق في هوية وأنشطة المتورطين في الجريمة المنظمة والعابرة للحدود الوطنية في مالي والمنطقة دون الإقليمية، مع إمكانية فرض عقوبات عقابية محددة الهدف.",1
"55","شركة داوون للشحن والإدارة (2008)26 5489276 بيونغ يانغ سوباكسو",0
"56","ومع ذلك، فإننا نشعر بالقلق إزاء التقارير التي تفيد باشتداد التوتر بين الأحزاب الحاكمة وأحزاب المعارضة.",1
"57","2. معدات ترسيب بخار العناصر أو المركبات على ركائز خيوط ساخنة;",0
"58","وقد تم إنشاؤها استجابةً لادعاءات بانتهاكات القانون الدولي لحقوق الإنسان والقانون الإنساني الدولي في سياقات النزاع وكذلك في حالات ارتفاع مستويات العنف، والتي غالباً ما تكون مرتبطة بالعمليات الانتخابية أو السياسية ولكن ليس حصرياً بها، والتي تنطوي على انتهاكات خطيرة لقانون حقوق الإنسان.",1
"59","1. الاتفاقية الخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (طوكيو، 1963);",0
"60","كما أظهر أيضًا كيف يمكن أن يُنظر إلى التهديد بشكل مختلف، حتى من قبل الجيران.",1
"61","وفي ذلك المساء، أصدر ضابط من الشرطة الوطنية لتيمور الشرقية بيانًا إذاعيًا ألقى فيه باللوم على القائد العام مارتينز ونائب القائد بابو في مقتل ضابط وحدة الاستجابة السريعة.",1
"62","ويجري اتخاذ مثل هذه الإجراءات على الرغم من الموقف السلبي الواضح الذي اتخذه الممثل الخاص للأمين العام للأمم المتحدة وتحدياً للأمم المتحدة ومجلس الأمن.",1
"63","وقد حد ذلك من فعالية المبادرة في توفير العدالة الشاملة للضحايا.",1
"64","وترى اللجنة أن دمج إيرادات ونفقات لجنة الأمم المتحدة للتعويضات مع إيرادات ونفقات الأمم المتحدة يشوه المركز المالي للأمم المتحدة.",0
"65","إن محاولات زعزعة استقرار الوضع الداخلي في لبنان من خلال القيام باغتيالات سياسية غير مقبولة.",1
"66",":: اللوائح العامة المشار إليها في المادة 140 من القانون العام لمؤسسات وشركات التأمين المتبادل;",0
"67","لم تقدم شركة PIC أي حجم إنتاج متوقع فيما يتعلق بالمياه المقطرة.",0
"68","وينبغي ألا يسمح هذا المجلس بمكافأة تلك الاستراتيجية من خلال التصدي للإرهاب بدلا من التصدي للإرهاب نفسه. يجب رفضها وليس استرضاءها.",1
"69","*التدابير الرامية إلى تعزيز الأطر القانونية الدولية",0
"70","إن إسرائيل ملزمة بموجب القانون الدولي وبصفتها القوة القائمة بالاحتلال بحماية المدنيين الفلسطينيين، وخاصة الأطفال، وحماية الممتلكات المدنية.",1
"71","ثالثاً- معلومات أساسية الخلفية 17. شهدت الأشهر الماضية صدور العديد من التقارير والتوصيات المؤثرة المتعلقة بالجزاءات المفروضة على الإرهاب، بما في ذلك خطاب الأمين العام بمناسبة الذكرى السنوية للهجمات الإرهابية التي وقعت في مدريد في 11 آذار/مارس 2004 وتقريره اللاحق المعنون ""في جو من الحرية أفسح: نحو تحقيق التنمية والأمن وحقوق الإنسان للجميع"" (A/59/2005 و Add.1-3).",0
"72","إن عدم المشاركة في تلك المؤسسات سيحول دون إحراز تقدم في قضايا ملموسة في الإدارة العامة ولن يفعل شيئًا لتحسين صورة كوسوفو الدولية.",1
"73","الوظيفة الرسمية: المفتش العام للقوات المسلحة",0
"74","ويمكن النظر إلى مثل هذه المواقف على أنها مشاركة غير مباشرة في تضليل الرأي العام وتجاهل لموقف الحكومة السورية من الأحداث على أراضيها. وهو تحريض غير مسؤول على جميع أنواع أعمال العنف، وتوفير الغطاء الدولي للأعمال الإرهابية الدولية التي تقوم بها المجموعات الإرهابية ضد سورية ومصالحها وشعبها.",1
"75","من الضروري أن تتم مقاضاة حالات العنف الأسري والاعتداء الجنسي رسمياً وفقاً للقانون الجنائي الجديد.",1
"76","أكثر من 60 في المائة من الأطفال في سن الدراسة لا يحصلون على التعليم المدرسي.",0
"77","وقد نصت اللجنة المعنية بحقوق الإنسان بوضوح على هذا الحق في تعليقها العام رقم 27. وقد ذكرت اللجنة المعنية بالحقوق الاقتصادية والاجتماعية والثقافية في عدة مناسبات أن عمليات الإخلاء القسري تتعارض مبدئياً مع مقتضيات العهد الدولي الخاص بالحقوق الاقتصادية والاجتماعية والثقافية.",1
"78","وتقدم المزيد من الشهود مع تقدم أعمال اللجنة.",0
"79","يتضمن التعميم رقم 357 المؤرخ 6 نيسان/أبريل 2005، الصادر عن وزير الداخلية ما يلي:",0
"80","إن رفض أذربيجان الدخول في مفاوضات مباشرة مع الممثلين المنتخبين لناغورني كاراباخ هو أحد العوائق الرئيسية أمام حل النزاع الذي أشار إليه ممثل أذربيجان.",1
"81","واقتناعا منها بأنه من غير المقبول من حيث المبدأ أن يفلت أي شخص في أي مكان من المساءلة عن عمل إرهابي لأي سبب من الأسباب، بما في ذلك بسبب عرقلته للتحقيق أو عدم تعاونه بحسن نية,",1
"82","في منطقة معقدة بقدر ما هي حيوية لصون السلام والأمن الدوليين، تواجه السلطات صعوبات وقيوداً كبيرة في استجابتها لمطالب وتوقعات السكان التواقين إلى الإصلاحات.",1
"83","وثمة حاجة إلى إجراء مزيد من البحوث بشأن تأثير مختلف أشكال الاتصالات على خطر التحريض وتهديده وبالتالي على الأعمال الإرهابية. ومع ذلك، يمكن القول إن التطور السريع في تكنولوجيا الاتصالات قد جعل خطر التحريض في جميع أنحاء العالم اليوم أكبر مما كان عليه في عام 2005.",0
"84","ويرجع ذلك إلى احتمال عدم وجود سوق للمكون الواحد، بل للمصنع ككل.",0
"85","لا يتطرق قانون مكافحة الجريمة الاقتصادية والجريمة المنظمة وقانون عائدات الجريمة إلى الممتلكات.",0
"86","وبالإضافة إلى ذلك، قدم عدد من الدول الأعضاء تمويلاً مادياً وخبرة فنية وأصولاً حيوية للبعثة المشتركة، وتنتظر عدة دول أعضاء أخرى تأكيد عروضها.",0
"87","وسيتم وضع هذه المبادئ التوجيهية خلال عام 2006.",0
"88","وقد استند هذا الترتيب على مراعاة الاتفاقيتين بالكامل.",0
"89","وإذ يعرب عن قلقه إزاء استمرار ورود تقارير، بما فيها تلك التي أوردها الأمين العام في [التقرير ذي الصلة]، عن انتهاكات حقوق الإنسان وانتهاكات القانون الإنساني الدولي، بما في ذلك الانتهاكات المرتكبة ضد النساء والأطفال، والتقارير التي تفيد بتزايد حوادث العنف الجنسي ولا سيما تلك المنسوبة إلى رجال مسلحين، وإذ يؤكد أهمية التحقيق في هذه الانتهاكات والتجاوزات المزعومة ... التي ترتكبها جميع الأطراف، بغض النظر عن مركزها أو انتمائها السياسي، مع التأكيد من جديد على ضرورة محاسبة المسؤولين عن هذه الانتهاكات وتقديمهم إلى العدالة بغض النظر عن انتمائهم السياسي، مع احترام حقوق المحتجزين ...، وحث الحكومة على زيادة وتسريع جهودها لمكافحة الإفلات من العقاب,",1
"90","وفي هذا السياق، وعلى الرغم من تناول مكافحة الإرهاب بشكل أكثر جدية من قبل الأمم المتحدة بشكل عام ومجلس الأمن بشكل خاص، إلا أن هناك أدلة محدودة على وجود جهد مشترك حقيقي لخلق استجابة دولية أكثر توحداً للإرهاب.",1
"91","ونلاحظ أن الأمين العام يعرب في تقريره (S/2008/728) عن قلقه إزاء الحالة الأمنية في شرق جمهورية الكونغو الديمقراطية.",1
"92","216. واستنادا إلى النتائج التي توصلت إليها اللجنة والتحقيقات اللبنانية حتى الآن، واستنادا إلى الأدلة المادية والوثائقية التي تم جمعها والخيوط التي تم تتبعها حتى الآن، هناك أدلة متقاربة تشير إلى تورط كل من لبنان وسوريا في هذا العمل الإرهابي.",1
"93","2. شكل يبين خليج لا أونيون وجزيرة كونيخو الملحق بقطاع غواسكاران والذي أكد الحكم الصادر عن محكمة العدل الدولية في 11 أيلول/سبتمبر 1992 أنه خاضع لسيادة هندوراس، وأكده كذلك الحكم الصادر في 18 كانون الأول/ديسمبر 2003 الذي أعلن عدم قبول طلب إعادة النظر الذي قدمته السلفادور بشأن قطاع غواسكاران.",1
"94","بالنيابة عن لجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، ووفقا للفقرة 8 من قرار مجلس الأمن 1810 (2008)، أقدم طيه تقريرا عن نظر اللجنة في استعراض شامل لحالة تنفيذ القرار 1540 (2004) (انظر المرفق).",0
"95","26. رسالة مؤرخة 19 تشرين الأول/أكتوبر 1999 موجهة إلى الأمين العام (S/1999/1074)",0
"96","وهذا هو السبب في إصرار اليونان على ضرورة التوضيح في الفقرة السادسة من الديباجة - التي يحث فيها المجلس على ""إحراز تقدم نحو استئناف المفاوضات من أجل التوصل إلى تسوية شاملة"" - أنه ينبغي التأكيد مجددا على أن تلك المفاوضات يجب أن تجري بين الطائفتين.",1
"97","5. يؤكد من جديد أيضا إدانته بأشد العبارات لجميع أعمال العنف أو التجاوزات المرتكبة ضد المدنيين في حالات النزاع المسلح انتهاكا للالتزامات الدولية المنطبقة فيما يتعلق على وجه الخصوص بما يلي: '1` التعذيب وغيره من ضروب المعاملة المحظورة، '2` العنف القائم على أساس نوع الجنس والعنف الجنسي، '3` العنف ضد الأطفال، '4` تجنيد الأطفال واستخدام الجنود الأطفال، '5` الاتجار بالبشر، '6` التشريد القسري، '7` الحرمان المتعمد من المساعدة الإنسانية، ويطالب جميع الأطراف بوضع حد لهذه الممارسات;",1
"98","43. وسعياً إلى تحقيق هذه الأهداف، وثقت بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي حالات واسعة النطاق من الاعتقالات غير القانونية وسوء المعاملة والاحتجاز المطول قبل المحاكمة.",1
"99","في 25 أيار/مايو، قدم رئيس اللجنة المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان، السفير هيرالدو مونيوز من شيلي، أول تقرير شفوي مدته 120 يوما إلى المجلس، على النحو المطلوب بموجب الفقرة 12 من القرار 1526 (2004)، عن أعمال اللجنة وفريق الدعم التحليلي ورصد الجزاءات التابع لها.",0
"100","وفي حين يسرنا أن نلاحظ أنه تم تسجيل حوالي 10 ملايين ناخب أفغاني، إلا أننا ما زلنا نشعر بالقلق من عدم تسجيل عدد كافٍ من الناخبين في جنوب وجنوب شرق أفغانستان، ويرجع ذلك أساساً إلى المخاوف الأمنية.",1
"101","ويعيد القرار التأكيد على أهمية الوفاء بتلك الالتزامات ويشدد على ضرورة عدم قيام أي من الطرفين بأي نشاط يتعارض مع التزامات خارطة الطريق تلك أو يخل بمفاوضات الوضع النهائي.",1
"102","39. ظل ضحايا الاتجار بالبشر الذين صدرت بحقهم أوامر ترحيل يتلقون المساعدة من خلال برنامج المأوى التابع لركيزة بناء المؤسسات.",0
"103","ونحن نعتبر أن أي انحراف عن هذا المبدأ غير مقبول خشية أن ينحدر الوضع الهش في المحافظة إلى زعزعة الاستقرار على نطاق واسع.",1
"104","وقد هدد ضباط وحدة الاستجابة السريعة الشرقية بحمل جثمان الفقيد في شوارع ديلي قبل نقله إلى منزل القائد العام مارتن.",1
"105","ويتطلع مجلس الأمن إلى سماع المزيد من التفاصيل حول مقترحات الممثل الخاص للأمين العام.",0
"106","66. أنشئت عدة آليات تعاون إقليمي لتعزيز قدرة الدول على منع التحريض بشكل جماعي وحرمانها من الملاذ الآمن في منطقة أمريكا اللاتينية والبحر الكاريبي.",0
"107","كما أدين تجاهل حزب الله المستهتر برغبات الحكومة اللبنانية المنتخبة ومصالح الشعب اللبناني والمنطقة ككل.",1
"108","يوفر المركز بنية تحتية وصرفاً صحياً محسّناً، ودعماً طبياً للنزلاء والموظفين، وبرامج تعليمية وتدريب مهني في مجالات مثل البناء والخياطة والنجارة وصناعة الطوب.",0
"109","غينيا بيساو هي إحدى الدول الرائدة.",0
"110","لا تنفذ أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب.",1
"111","تحقيق العناصر الرئيسية للعملية العادلة",0
"112",":: :: تطوير دور اللجنة التنظيمية، بما في ذلك من خلال التفاعلات الدورية مع التشكيلات القطرية المحددة، بهدف: (1) تحديد التحديات المشتركة وتيسير التعلم المتبادل بين مختلف التشكيلات؛ و (2) إشراك الأعضاء في مناقشة السياسات التي يمكن أن تولد على أفضل وجه اهتماما والتزاما أعمق بين الأعضاء على نطاق أوسع.",0
"113","60. يقرر، من أجل مساعدة اللجنة في الاضطلاع بولايتها، وكذلك لدعم أمين المظالم، تمديد ولاية فريق الرصد الحالي الذي يوجد مقره في نيويورك وأعضائه، المنشأ عملا بالفقرة 7 من القرار 1526 (2004)، لفترة أخرى مدتها ثلاثون شهرا، تحت إشراف اللجنة بالمسؤوليات المبينة في المرفق الأول، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لهذا الغرض؛",0
"114","وإذ يكرر التأكيد على ضرورة ضمان أن يسهم نظام العقوبات الحالي بفعالية في الجهود الجارية لمكافحة التمرد ودعم عمل حكومة أفغانستان في تعزيز المصالحة من أجل إحلال السلام والاستقرار والأمن في أفغانستان,",1
"115","(ب) حرية الوصول إلى جميع الأماكن والمؤسسات ذات الصلة بعمل اللجنة;",0
"116","21. مواد ومعدات للتزلج والغولف والغوص والرياضات المائية",0
"117","حتى لو كان ذلك نتيجة حادث بسبب اختلاف في الخرائط، فمن المحير كيف يمكن لشركة INTERFET التي من المفترض أنها تمتلك معدات متطورة أن تخطئ في تقديرها بهذا الشكل.",0
"118","عمليات الجيش اليوغوسلافي/الشرطة الخاصة بدعم مدفعي في منطقة ديكاني.",0
"119","وتشدد جنوب أفريقيا على أنه نظراً لضخامة تلك التحديات، فإن هناك حاجة إلى استراتيجية شاملة تضم الأمن والجهود الإنسانية والحكم الرشيد والتنمية الاجتماعية والاقتصادية.",1
"120","وفي 3 و 7 تشرين الأول/أكتوبر، أصدر المجلس بيانين صحفيين أدان فيهما الهجمات الأخيرة على بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي (SC/11587 و SC/11591).",1
"121","47. يحث بقوة الدول الأعضاء على تقديم جميع المعلومات ذات الصلة بالموضوع إلى أمين المظالم، بما في ذلك أي معلومات سرية ذات صلة، عند الاقتضاء، ويشجع الدول الأعضاء على تقديم المعلومات ذات الصلة في الوقت المناسب، ويرحب بالترتيبات الوطنية التي أبرمتها الدول الأعضاء مع مكتب أمين المظالم لتيسير تبادل المعلومات السرية، ويشجع الدول الأعضاء على مواصلة التعاون في هذا الصدد، بما في ذلك عن طريق إبرام ترتيبات مع مكتب أمين المظالم لتبادل هذه المعلومات، ويؤكد أنه يجب على أمين المظالم أن يمتثل لأي قيود على السرية تفرضها الدول الأعضاء على هذه المعلومات التي تقدمها؛",0
"122","جمع التبرعات في الإمارات العربية المتحدة",0
"123","وينص البند 2 على أن تشجيانغ كانت ""مسؤولة عن إتمام إجراءات الخروج، بما في ذلك جواز السفر والفحص الطبي وتذكرة العودة جواً"".",0
"124","لقد كان انضباطهم وتحمّلهم على مستوى عالٍ، مما يعكس مصداقية لهم وللأمم المتحدة.",0
"125","56. يشجع الدول الأعضاء، عند رفع التجميد عن أصول فرد متوفى أو كيان أُبلغ أو تأكد أنه لم يعد له وجود نتيجة لرفع اسمه من القائمة، على أن تتذكر الالتزامات المنصوص عليها في القرار 1373 (2001)، وأن تمنع على وجه الخصوص استخدام الأصول التي رُفع عنها التجميد لأغراض إرهابية؛",0
"126","وحذر من أن هناك خطرًا من أن دعوة مجموعة من الأصدقاء، بما في ذلك غير الأعضاء في المجلس، للمشاركة في عملية صنع القرار في المجلس قد تتسبب في عدم الكفاءة.",1
"127","صحيفة فاكت التركية - 4 كانون الثاني/يناير 2012",0
"128","15. أصدرت المحكمة الجنائية الخاصة المعنية بأحداث دارفور منذ إنشائها في حزيران/يونيه 2005 أحكاما في خمس قضايا.",1
"129","المقرر عقدها يوم الأربعاء، 12 كانون الثاني/يناير 2005، الساعة 10 صباحاً",0
"130","لهذا السبب نحن ندين الإرهاب.",1
"131","كان ابتكاره هو نقل الهدف من الدول الإسلامية إلى الغرب، وخاصة الولايات المتحدة الأمريكية؛ ومن خلال توصيف إرهابه على أنه صراع بين الإسلام وأعدائه، استطاع أن يجمع تحت راية واحدة عدة جماعات متنوعة ومتنافسة في كثير من الأحيان.",1
"132","وأشار أيضًا إلى الهجوم على قاعدة بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي (مينوسما) في كيدال في 7 أكتوبر/تشرين الأول.",0
"133","وإنني أحث القادة اللبنانيين على استئناف وتسريع مناقشاتهم بشأن وضع استراتيجية دفاعية وطنية وتحقيق تقدم ملموس في هذا الصدد. ويجب أن تكون النتيجة النهائية لهذه العملية أن لا يكون هناك سلاح دون موافقة الحكومة اللبنانية ولا سلطة غير سلطة الحكومة اللبنانية.",1
"134","المقرر عقدها يوم الأربعاء، 20 أيار/مايو 1998، الساعة 15/13",0
