"","es_en_DEEPL","MatConf"
"38","Welcoming the establishment of the Independent and Permanent National Electoral Commission, recalling the need to follow an independent and inclusive process to nominate its members and recalling the importance that the elections scheduled for 2010 be prepared in the spirit of reconciliation and dialogue enshrined in the Constitution of Burundi that facilitated the successful transition,",0
"39","The massacres resulted in 393 deaths, including 93 children and 48 women, or 36% of the victims, indicating a deliberate policy of targeting women and children.",1
"40","To achieve sustainable repatriation and viable minority communities, a broader decentralization process will be needed.",0
"41","A September 2005 study of foreign-born terrorists who had operated in the United States concluded that about two-thirds had entered or remained in the country fraudulently and that more than one-third had subsequently been charged with passport and visa fraud or misrepresentation in their statements to an immigration official.",1
"42","The results of the review, including the main issues identified, were included in the claims database.",0
"43","The Czech Republic is a party to most of the conventions listed in the Annex to this Convention, except for instruments 7 and 8.",0
"44","Starvation, as a method of warfare, of civilians by depriving them of objects indispensable to their survival, including the wilful obstruction of relief supplies in accordance with international humanitarian law.",1
"45","In addition, there are death squads and militias made up of autonomous elements that sow terror and carry out executions and kidnappings.",1
"46","According to Jordanian official sources, the explosive vests were manufactured by Al-Qaida in Iraq, using explosives and grenades from former Iraqi army warehouses and smuggled into Jordan.",1
"47","Since October 2013, it has thwarted two pirate attacks and transferred five suspected pirates to Seychelles for prosecution.",1
"48","As previously reported, the destruction of the 12 IPAQs is expected to be completed by the end of June 2015, with the possibility of a slight delay.",1
"49","Thus, in view of the potential threat posed by the demonstration to the regime and public order, the highest State authorities stated that even if the decree banning demonstrations had not been issued, they would not have allowed or tolerated the march.",1
"50","In a press statement by the President, Council members expressed their deep concern about the grave humanitarian situation, as the recent fighting had led to an increase in human rights violations and further population displacement.",1
"51","Although terrorism is not expressly mentioned as a recurring event, it is certainly a cause for concern, as many of the factors mentioned could encourage terrorist acts in the region.",1
"52","(Summit Resolution 22/537, adopted on March 28, 2010)",0
"53","The Commission cannot accept the Government's position that statistics from the work of the committees indicate a much lower incidence of the crime of rape than that reported by sources such as the United Nations, the African Union and other national and international organizations.",0
"54","Some States have the ability to freeze without delay funds and assets linked to terrorism, although in most cases this is a limited ability.",1
"55","The Health Professional Licensing Board reviewed the credentials of approximately 750 local health workers who were licensed from the parallel, informal system of medical education maintained by the Kosovo Albanians prior to the establishment of UNMIK.",0
"56","Attack on a school in Tawila, North Darfur, Sudan.",1
"57","Our aims and purposes are no different.",0
"58","Al-Shabaab is demonstrating an increased ability to launch complex terrorist attacks, including across the region, as evidenced by the recent attack in Nairobi on the Westgate shopping mall in September 2013.",1
"59","However, the available information does not present a clear picture of the implementation of aviation security measures, maritime or cargo security, border controls, or enforcement programs to ensure that small arms do not fall into the hands of unauthorized persons.",0
"60","Report of the Secretary-General on the United Nations Stabilization Mission in Haiti (S/2012/128).",0
"61","16. The situation in the occupied Arab territories (May 4, 1976; July 13, 1998).",0
"62","In presenting the report, the Assistant Secretary-General emphasized the risk that, despite the prevailing calm in the area, security is deteriorating, particularly as a result of the Sudanese authorities having included Abyei as an electoral district for the 2015 presidential elections.",0
"63","3. Recalls also that media equipment and facilities are civilian objects and, as such, may not be subject to attack or reprisals, unless they are military objectives;",1
"64","5) Promote economic recovery through the relevant United Nations agencies;",0
"65","Law and order problems continue to affect the precarious security situation in some areas of Katanga where the Transitional Government has not established effective security mechanisms for the protection of civilians.",1
"66","He also visited concerned governmental structures, such as the main detention center in Abidjan (Maison d'arr̻t et de correction d'Abidjan (MACA)) and some police stations.",1
"67","The March 25 march received much publicity and was considered by some as a serious challenge to the President and the legitimate institutions of the State.",1
"68","During the period under review, UNOWA provided good offices for the consolidation of democratic processes and institutions throughout the region, particularly in Guinea and Togo.",0
"69","As of the cut-off date of this report, a total of 37% of the DF effluent, which the vessel Cape Ray delivered on August 30 and 31, 2014, had already been destroyed.",1
"70","Whether this indicates a decline in regional influence on power or simply a change in leadership remains to be seen.",0
"71","President of the Republic of Angola",0
"72","Demands that all parties immediately put an end to all forms of violence and human rights violations committed against the civilian population [of the affected country], in particular gender-based violence, including rape and other forms of sexual violence....",1
"73","However, despite the increased presence in the area, the hazelnut harvest season led to an upsurge in criminal activity, including 3 shootings, 1 murder, 4 kidnappings and 40 armed robberies.",1
"74","In addition, United Nations sanctions programs do not require that the individuals or entities targeted have been convicted by a court of law.",1
"75",":: On November 11, 2014, regime forces attacked by surprise the village of Lahouna and killed 13 people.",1
"76","As an example, the nuclear industry responded to increased scrutiny and new fears of terrorists acquiring weapons of mass destruction after the September 11, 2001 attacks and sought to address nonproliferation concerns in a proactive manner.",1
"77","S/2013/316 S/2013/683",0
"78","Allegations regarding the presence of armed demonstrators and elements of rebel groups prepared to attack security forces or overthrow the President could not be independently verified, as the Commission did not receive conclusive or credible evidence in this regard.",1
"79","Although the security situation in the northern part of the country has been relatively calm, on 31 August a member of the Moroccan contingent of UNOCI was brutally killed in Bouak̩.",1
"80","Such a strategy should provide for the manner in which States will be able, on the one hand, to adapt the counter-terrorism measures they have adopted to ensure the protection of their basic infrastructure and citizens and, on the other hand, to respond to a terrorist attack in order to mitigate the effects of such an incident by assisting the victims and establishing law and order.",1
"81","In other words, those who survive attacks on villages were not killed immediately in order to eradicate the group, but were forced to leave their homes and live together in places chosen by the government.",1
"82","104. Elizabeth Palmer, from the U.S. channel CBS News, on January 11.",0
"83","Boko Haram's terrorist activities have pushed some 45,000 Nigerian refugees and migrants, including suspected insurgents, into Cameroon, Chad and Niger.",1
"84","The opposition used weapons purchased from the Bakaaraha market to fight the TFG in order to control the strategically important town of Baidoa in the Bay region of Somalia.",1
"85","In practice, in international criminal law the concept of conspiracy takes on greater significance than in most national legal systems because most international crimes (crimes against humanity, genocide and most war crimes) are acts in which the ultimate criminal result can only be achieved through the participation of many persons.",1
"86","Timber. Sanctions appear to have taken effect and there is no evidence of widespread exports.",0
"87","The Commission considers that the Minister of the Interior and the Commanding General disregarded institutional procedures by irregularly transferring weapons within the institution;",1
"88","The arguments of the representative of Armenia are particularly striking because he has presented them before the Security Council, which, in 1993, adopted four resolutions condemning the use of force against Azerbaijan and the occupation of its territories and demanding the immediate, total and unconditional withdrawal of the Armenian occupation forces from all occupied territories of Azerbaijan (resolutions 822 (1993), 853 (1993), 874 (1993) and 884 (1993)).",0
"89","Second, limited information leads to frustration and disinterest among those who have to consult the List and on whom the effectiveness of its use depends most, increasing the danger that names on the List will not be discovered and that measures will be applied to those for whom they are not intended.",1
"90","The father stated that during the attempted escape they encountered six Arab men who raped his 25-year-old daughter in front of him, his wife and his minor children.",1
"91","Our analyses and investigations regarding the configuration and shape of the crater also do not clearly indicate whether it was a surface or subway explosion.",0
"92","This traditional discrimination of the songbun system was recently complicated by the increasing commodification of the DPRK and the influence of money, particularly foreign currency, on the ability of citizens to have greater access to their economic, social and cultural rights.",1
"93","The European Union congratulates ECOWAS, its Chairman, President John Kufour, its Executive Secretary, Mr. Mohamed Ibn Chambas, and the Mediator, General Abdusalami Abubakar, for their tireless work leading to this successful outcome.",0
"94","UNMIS is also establishing new referendum support bases to provide support at the county level in South Sudan.",0
"95","The mosque and nearby houses were damaged by the shelling.",1
"96","In a further display of hostility, Hamas celebrated its 27th anniversary in Gaza with a parade of 2,000 armed fighters and truck-mounted rockets.",1
"97","He said ISIL was committing abuses in Iraq of ""such a scale and gravity that they could in all likelihood qualify as international crimes, which could be subject to the jurisdiction of the International Criminal Court.""",1
"98","Ambassador Samantha Power (United States of America)",0
"99","34. Mr. Abed-Diam gave this account of what happened:",0
"100","At the 47th formal meeting, held on June 20, 2014, the ICC Prosecutor briefed the Working Group on the work of the ICC on children and armed conflict.",0
"101","The meeting was called to order at 1:05 p.m.",0
"102","He called the Acting Chief of the Beirut Police, General Naji Mulaeb, informed him of Mr. Nammar's call and asked him to make sure that Judge Mezher was aware of this decision.",0
"103","Colonel Reis led the PNTL agents on foot from his headquarters to the intersection of the Ministry of Justice. He carried the flag of the United Nations.",1
"104","There have been a number of isolated incidents ranging from bombings to training activities allegedly linked to Al-Qaida in South Africa.",1
"105","The payment of several juicy ransoms to Al-Qaida and its affiliated entities in recent years has made kidnapping one of Al-Qaida's basic tactics.",1
"106",":: On November 16, 2014, ISIL executed 17 people in Tabaqa market in Ar-Raqqa after they were accused of spying and collaborating with regime forces.",1
"107","At around 5:00 p.m., a vehicle passed without stopping at some speed. Mr. Kiak and his men opened fire, wounding the priest behind the wheel.",1
"108","Police officers stationed on the bridge felt in danger of being run over by the confluence of two groups of protesters. They fired two shots into the air and then tried to flee.",1
"109","On the other hand, the Transitional Government of the DRC continues to consider issuing international warrants for the arrest of the leaders of the Ituri armed groups.",1
"110","With the payment of each ransom, new kidnappings are encouraged, creating a vicious cycle that encourages kidnappings and encourages the financing of Al-Qaida and its affiliated entities.",1
"111","Illegal diversions at the administrative border and smuggling activities continued to be a problem during this period.",1
"112","To be held on Monday, December 22, 2003, at 4:05 p.m.",0
"113","Moreover, when the use of armed violence becomes an entrenched means of resolving individual or collective claims and conflicts, legal and peaceful dispute resolution mechanisms are weakened and the rule of law cannot be sustained.",1
"114","The continued incorporation of non-Syrian fighters into Jabhat al Nusrah is a cause for concern shared by various national authorities who have been following the problem.",1
"115","Despite reports indicating the existence of armed groups along the border between Western Bahr El Ghazal State and South Darfur, UNMIS was unable to conduct a reconnaissance of these regions as the SPLA did not provide security guarantees.",1
"116","As a result of the use of tear gas, shouting and shooting by security forces, people panicked and disbanded.",1
"117","The Security Council strongly supports efforts to promote national dialogue, reconciliation and broad political participation to ensure unity, peace, security and stability in Iraq.",0
"118","These contingents have few weapons, little ground mobility and no air capability, and receive minimal logistical and financial support.",1
"119","In this regard, the Security Council urges the authorities in charge of the transition period to take swift action to effectively combat impunity and promote justice by bringing those responsible to justice.",0
"120","Noting once again with deep concern that foreign militias and armed groups continue hostilities in the eastern part of the Democratic Republic of the Congo and the threat that these hostilities pose to the holding of elections in the Democratic Republic of the Congo,",0
"121","To be held on Thursday, June 13, 2002, at 11:40 a.m.",0
"122","2 oil palm (Libinc and Liberia Forest Products)",0
"123",":: Examine how the unprecedented number of crises of violence is affecting displacement and the rights and protection of women and girls, noting in particular how the continuing threat of violent extremism is contributing to the displacement and grave abuses experienced by women and girls",1
"124","However, flows of immigrants and refugees into the region from conflict zones in the Middle East and Africa continue to pose a problem for immigration authorities.",1
"125","There are also procedural obstacles that limit victims' access to justice.",1
"126","On October 7, the Special Adviser to the Secretary-General, Sigrid Kaag, briefed the Security Council on the implementation of resolution 2118 (2013), in closed consultations. The Special Adviser focused her intervention on four topics: the closure of the Organization for the Prohibition of Chemical Weapons-United Nations Joint Mission on 30 September; progress made in the implementation of plans for the destruction of the 12 remaining chemical weapons production facilities; the issue of discrepancies in the original declaration made by the Syrian Arab Republic; and allegations of chlorine gas use in the Syrian Arab Republic.",0
"127","(c) Destroys or causes extensive damage to public facilities, transportation or telecommunications systems (including information systems), fixed platforms located on the continental shelf, energy and water supply facilities, medical facilities or any other important facilities, public places or public property, with the intent to endanger human life, the safety of a facility, system or place, or expose property to the risk of extensive damage;",1
"128","With the aim of enhancing the counter-terrorism and related crime capabilities of South Asian law enforcement officials and, at the same time, strengthening cooperation and information sharing among law enforcement officials at the regional level, CTED contributed to the organization of a series of workshops (beginning in November 2009) aimed at bringing together law enforcement officials -- primarily police and prosecutors -- to share experiences, findings and best practices in handling cases related to international crime and terrorism.",0
"129","In his report, the Secretary General notes that some progress has been made in most of these areas, except for the key issue of local government reform and, in particular, decentralization, where progress is comparatively insufficient.",0
"130","These armed groups are involved in criminal activities, particularly the illegal exploitation of natural resources, arms and ammunition trafficking, smuggling and illegal tax collection.",1
"131","As I also indicated in the annex to my letter of August 8, 2005 (para. 5), the slow payment to suppliers is the result of the slow processing of documents authenticating the arrival of goods in Iraq.",0
"132","It would be unwise and inappropriate to let Eritrea think that its attempt to blackmail the Security Council by holding United Nations Mission personnel hostage will work.",1
"133","Newly discovered deposits at Gbarpolu and Nimba recently prompted a significant number of speculators to relocate to these areas.",0
"134","In the end, the meeting was described as a concrete action that would contribute to a more fluid and efficient dialogue between the Security Council and civil society.",0
"135","(Summit Resolution 444/20, adopted on March 30, 2008)",0
"136","As of April 30, 2001, only 3.5 million doses of measles vaccine (enough for about eight months) and approximately 1 million doses of DPT (diphtheria-pertussis-tetanus) vaccine (enough for about two months) were available.",0
"137","Furthermore, provisions derogating from obligations under the Covenant must not involve discrimination on the grounds of race, color, sex, language, religion, or social origin.",0
"138","In March 2005, vessels registered in Greece and Panama were making clandestine discharges without declaration to customs or the police.",1
"139","These acts of terror and intimidation, which constitute an attack not only on Lebanese citizens but also on the principles of any open democratic society, including freedom of the press, must be stopped.",1
"140","The Committee will consider the information presented by CTED on its ongoing work with a view to continuing to pay close attention to resolution 1624 (2005) in its dialogue with Member States; to work with Member States to develop strategies, in accordance with their obligations under international law, that include measures against incitement of terrorist acts motivated by violent extremism and intolerance; and to facilitate the provision of technical assistance for the implementation of resolution 1624 (2005).",0
"141","Article 11: Composition of the Chambers",0
"142","Drought and desertification took their own toll in the 1970s and 1980s, and the struggle for scarce resources intensified.",1
"143","The POLISARIO Front, which expresses its appreciation to the United Nations, its Secretary-General and his Personal Envoy, has carefully considered this proposal.",0
"144","The estimated number of people affected by the conflict in Darfur, added to the number of refugees in Chad (1,650,000 internally displaced persons, 627,000 people also affected by the conflict and 203,051 refugees) reaches the astronomical figure of almost 2.5 million people affected in one way or another by the conflict, the vast majority having been displaced from their homes.",1
"145","Systematic coordination is maintained between the civilian and military components of the mission and between the mission and the humanitarian actors in order to consolidate the knowledge acquired in the protection of the civilian population.",0
"146","In a limited number of cases, the payment of benefits may have induced commanders to re-recruit children they had already released.",1
"147","In a very few cases, looting by rebels during attacks on villages was also reported, particularly in West Darfur.",1
"148","The States of the subregion are fully aware of the threat posed by the financing of terrorism and remain alert to the risks arising from it.",1
"149","2. The second group, consisting of 15 inspectors, left the Canal Hotel in Baghdad at 0800 hours and arrived at 1030 hours at the Northern Refineries and Small Refineries Company, located in Al-Siniya, Salah Al-Din Governorate.",0
"150","The new democratic Government of Pakistan is sensitive to the sentiments of our people.",0
"151","Some have argued that these societies should, in any case, take steps to shut down permanently sites that teach terrorist techniques such as the production of explosives or the use of weapons that are likely to cause mass casualties.",0
"152","Government interlocutors reaffirmed that the neutralization of armed groups remained a high priority and reiterated that operations against the FDA were a top priority. Acknowledging the support provided by MONUSCO in organized operations against armed groups, the Government stressed the need for more joint combat operations.",1
"153","At the time of writing the Semlow and her crew are still being held captive. Those responsible for the hijacking have demanded a ransom of US$500,000.",1
"154","Especially since the international community has become aware of the impact of the Janjaweed's actions, the Government of Sudan's responses to the use of the term seem to have been a function of denying the existence of any link between the State and the Janjaweed; likewise, most officials routinely attribute the Janjaweed's actions to ""armed bandits"", ""uncontrolled elements"" or even the Sudan Liberation Army and the Justice and Equality Movement.",1
"155","- The criminal liability of persons or legal entities for the commission of crimes related to the financing of terrorism will be established;",1
"156","The multinational composition of the nine-nation team and its mission and task organization are described in Appendix 31.",0
"157","At the 5798th meeting of the Security Council, held on 11 December 2007, in connection with the Council's consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:",0
"158","Several recent peace operations, notably MINUSMA, have incorporated cross-border crime analysis into their joint analysis and mission planning structures.",1
"159","In Iraq and Afghanistan, Al-Qaida, the Taliban and groups associated with them will continue to use military-grade material to construct improvised explosive devices as long as the necessary parts exist and can be procured.",1
"160","The Central Body strongly supports the measures taken by the countries of the region to address the situation in Anjouan.",0
"161","The Committee recommends that consideration be given to expanding the list of candidates for these positions in order to maximize the possibility of recruiting the most qualified individuals.",0
"162","(Summit Resolution 479/21, adopted on March 30, 2009)",0
"163","With regard to the recommendation of the Monitoring Team on the payment of ransom to listed entities (para. 60), the Committee wishes to refer to paragraph 5 of resolution 1904 (2009), in which the Council confirmed that the provisions of paragraph 1 (a) of the same resolution would also apply to the payment of ransom to individuals, groups, undertakings or entities on the Consolidated List.",0
"164","(iv) In the case of replacement of a liaison officer in the field, the replacing party shall follow the procedure set forth in (ii) above.",0
"165","Depending on the circumstances of each case, such persons may be suspected, under the doctrine of conspiracy, of having committed the crimes against humanity of murder of civilians, forcible confinement of civilians and forcible transfer, and the war crime of destruction of civilian objects.",1
"166","Another witness testified that, the day after the murder, Faysal Al-Rasheed had insisted that the case had been solved and that its perpetrator was Mr. Abu Adass, as a suicide bomber, and that Mr. Abu Adass' body was still at the crime scene.",1
"167","(vi) Deferred charges normally comprise expenditure items that are not properly chargeable to the current fiscal period and will be expensed in a subsequent period.",0
"168","In the Bakool region, also in central Somalia, clashes on June 10-11 between militiamen from the Hadamo and Ogaden clans in the El-Barde area resulted in at least four deaths and ten injuries. On July 15, at least 16 people were killed and 20 others injured in fighting between rival militias over control of land and grazing rights in the same area.",1
"169","The Committee would like to know whether Malaysia has radiation detection and monitoring devices at points of entry into the country such as gantry monitors and radiation detectors.",0
"170",":: On November 27, 2014, regime fighter jets attacked the Dar-es-Salam school in the city of Ar-Raqqa and partially destroyed one of its buildings.",1
"171","June 27, 2002 and addendum dated September 25, 2002",0
"172","The Security Council reiterates its strong condemnation of all violations of applicable international law and demands that parties to armed conflicts comply strictly with their obligations under international humanitarian, human rights and refugee law and implement all relevant decisions of the Security Council.",0
"173","The Authority expresses its appreciation to the African Union and the United Nations for the multifaceted assistance they have provided to the efforts undertaken in the region to reach a peaceful solution.",0
"174","Stresses the need for a comprehensive [national] strategy for security sector reform that focuses on the professionalization of security sector institutions, including oversight bodies, and that helps to ensure coherence and efficiency and avoids duplication or gaps, at the same time encourages the Government of [country concerned] to engage in a new strategic partnership with [the Mission] in the area of security sector reform to identify priorities for each component of the sector and possible approaches to [the Mission's] support to the [national] authorities in the area of security sector reform to enhance the capacity of the military, police, justice and other security institutions and to consolidate the authority of the [national] State, and requests the Secretary-General to submit these priorities to the General Assembly in an annex to his report of [date of report].",0
"175","Those responsible for terrorist acts have been arrested and subsequently brought to justice in several jurisdictions.",1
"176","(d) Otherwise supporting acts or activities of designated individuals, groups, undertakings or entities or other individuals, groups, undertakings or entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan;",1
"177","The remains of shells fired from the helicopters could be clearly identified.",1
"178","Moreover, in principle, the establishment of a hierarchical relationship between the Office of the Ombudsman and the Secretariat on substantive matters entails a direct and significant encroachment on the independence of the Office, in theory and in practice.",0
"179","In addition, members of the rebel movements were mainly drawn from local village defense groups against particular tribes, which had been formed in response to increased attacks by other tribes.",1
"180",":: Khaldoon Waleed al-Tayasnah, 4 years old",0
"181","Executive Office of the Secretary General",0
"182","6. Confirms that paragraph 1 (a) above applies to economic resources of all types, including, but not limited to, those used to provide Internet or related services, used to support the Taliban on this List and other individuals, groups, undertakings and entities associated with them, as well as other individuals, groups, undertakings and entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan and other individuals, groups, undertakings or entities associated with them;",1
"183","Two of them were injured but managed to survive thanks to assistance from the Red Cross.",1
"184","Mr. Valdes officially assumed his responsibilities on August 17, 2004.",0
"185","In each situation, fundamental rights related to property and movement are restricted and there is potential for this to be due to undue continuation of Security Council sanctions.",1
"186","Working with the media and other member states",0
"187","Reports continued to be received from various human rights organizations of serious human rights violations and breaches of international humanitarian law, including arbitrary arrests, killings, child trafficking and rape throughout the country in both Forces Nouvelles-controlled and government-controlled areas.",1
"188","These violations include activities such as the improvement of physical structures in the restricted areas defined by the agreement, and the imposition of restrictions on the movement of UN military observers.",1
"189","In addition, MINUSTAH is currently assessing the need for specialized observation aircraft to conduct surveillance and patrol operations in land border and coastal areas, which are generally inaccessible.",0
"190","Since the existence of militias and so-called parallel forces has been established, the President of the Republic and the Government of National Reconciliation have the obligation to take all necessary measures to put an end to their activities.",1
"191","Of the Janjaweed militia members identified as perpetrators by the Commission, all are suspected of carrying out indiscriminate attacks against the civilian population, which constitutes a war crime.",1
"192","Luxury vehicles intended for the transport of persons by land, air or sea, as well as their spare parts and accessories",0
"193","23. The situation in Guinea-Bissau (6 November 1998; 3 November 2011).",0
"194","Specialists in the field of law enforcement will be concentrated in a specialized and autonomous task force.",0
"195","5. The situation in Timor-Leste (December 15, 1975; February 26, 2010).",0
"196","In two of them, it was not possible to establish the motive, while the third was considered a criminal act.",1
"197","Moreover, due to the high number of mixed marriages, they can hardly be distinguished in their outward physical appearance from the members of the tribes that allegedly attacked them.",1
"198","Ms. Marie Plamadiala, Republic of Moldova (customs and logistics)",0
"199","Supporting the decision of the Democratic Republic of Congo to strive to increase the transparency of revenues from its extractive industries,",0
"200","Other initiatives have been undertaken recently: an interim National Reconciliation Commission was established in August 2011, and the Government of Guinea and the UN Peacebuilding Commission reached agreement in September on a joint strategy to promote national reconciliation and security sector reform, among other things.",0
"201","Significantly, some states have recently begun to review or have ended their states of emergency.",0
"202","(d) Declare and implement an immediate moratorium on the imposition and execution of the death penalty, followed without undue delay by the abolition of the death penalty in law and in practice.",0
"203","International law also prohibits indiscriminate attacks against the civilian population, i.e. any attack against areas or places where both civilians and combatants may be found and which is not directed against a specific military objective or which employs methods or means of combat that cannot be directed against a specific military objective.",1
"204","Assist the Committee in initiating a discussion to explore the technical assistance needs of States to implement resolution 1624 (2005) and facilitate the provision of such assistance where appropriate.",0
"205","In The Gambia, opposition groups protested against state authorities for lack of accountability for alleged human rights violations. On November 4, former Chief of Defense Staff General Lang Tamba and six other defendants filed an appeal to the Supreme Court against the death sentence for conspiracy and treason handed down against them by the High Court in July 2010 and upheld by the Court of Appeal in October 2012.",1
"206","Troops and police forces should be better prepared to perform protection tasks, in particular to prevent conflict-related sexual violence.",0
"207","46. The situation in Myanmar (15 September 2006; 13 July 2009).",0
"208","Decides that the [travel ban and assets freeze] measures referred to in paragraph [relevant] of this resolution shall apply to the following individuals and, as appropriate, entities, as designated by the Committee: ... (e) individuals or entities operating in [the affected country] and committing grave violations through acts deliberately targeting ... women in situations of armed conflict, including killing and maiming, sexual violence, abductions and forced displacement;",1
"209","Red Cross vehicles and personnel were reportedly seen at the scene and in some cases rendered aid to the injured.",0
"210","In order to expedite the process and ensure the availability of sufficient qualified personnel, the Committee recommends that ways to broaden the pool of potential candidates be explored.",0
"211","Press release issued by the Government of Eritrea",0
"212","Ruling expected in the first half of 2011. J. Mugenzi",0
"213","In turn, the Committee should continue to promote greater ownership of the sanctions regime and provide effective support to national efforts by States seeking to contain the threat from Al-Qaida and the Taliban.",0
"214","Iceland has deposited its instruments of ratification or accession, as appropriate, with respect to the following international conventions:",0
"215","The role of the United Nations will be critical to the success of these measures.",0
"216","2. Reimbursement to diplomatic personnel for losses of personal property",0
"217","The Council stresses that all those responsible for violations of international law, including humanitarian and human rights law, as well as those who ordered such acts, must be held accountable.",0
"218","These weapons are prized because of their compact dimensions and because they allow terrorists to attack from a distance and cause considerable damage.",1
"219","FARDC soldiers and police forces are the main perpetrators of these acts.",1
"220","In summary, the Commission has collected considerable material and testimony that tends to confirm the killings of thousands of civilians in attacks on villages.",1
"221","The Government also cited its acknowledgment of three cases of mistaken bombing. It stated that it had compensated the victims of Habila, Umm Gozin and Tulo.",1
"222","Approximately 2 kilometers after passing the checkpoint, about 20 soldiers dressed in camouflage approached the group of women with their vehicles and ordered them to stop, firing several shots.",1
"223","One of the targets was the Kansfra hospital, where infrastructure and machinery were damaged.",1
