"en_ar_GOOGLE"	"VerCoop"
"ويكرر مجلس الأمن ضرورة التركيز بشكل أقوى من جانب جميع الأطراف المعنية، بما في ذلك الحكومات ومجتمع المانحين، على الآثار الطويلة الأجل للصراعات المسلحة على الأطفال والعوائق التي تحول دون إعادة تأهيلهم وإعادة إدماجهم بشكل كامل في أسرهم ومجتمعاتهم المحلية، وذلك من خلال الوسائل الدولية: ومن بين أمور أخرى، تلبية الحاجة إلى توفير الرعاية الصحية المناسبة، وتعزيز تبادل المعلومات حول البرامج وأفضل الممارسات، وضمان توافر الموارد الكافية والتمويل والمساعدة التقنية لدعم الاستراتيجيات أو خطط العمل الوطنية في مجال حماية الطفل ورفاهه، والبرامج المجتمعية، مع مراعاة &quot;مبادئ باريس لحماية الأطفال من التجنيد غير القانوني من قبل القوات أو الجماعات المسلحة&quot;، بهدف ضمان استدامة ونجاح الاستجابة البرنامجية على المدى الطويل لإطلاق سراح الأطفال وإعادة تأهيلهم وإعادة إدماجهم جميع الأطفال المرتبطين بالقوات المسلحة والجماعات المسلحة."	1
"وسيكون لتقديم الدعم اللوجستي المحتمل للعملية الانتخابية آثار دعم كبيرة، بما في ذلك في المناطق غير المتضررة من النزاع حيث قلصت البعثة وجودها."	0
"600. وفي ضوء هذه اللائحة القانونية الدولية، يجب النظر إلى التزام السودان بدفع تعويضات عن كافة الجرائم التي ارتكبها في دارفور وكلاؤه ومسؤولوه أو أجهزته الفعلية."	0
"واجتمعت بعثة التقييم مع طائفة واسعة من أصحاب المصلحة الدوليين والإيفواريين، بما في ذلك الرئيس غباغبو، ورئيس الوزراء سورو، ورئيسا أركان قوات الدفاع والأمن في كوت ديفوار، والقوات الجديدة، وممثلي الأحزاب السياسية ورؤساء الأركان. للمؤسسات الوطنية المسؤولة عن تنفيذ العمليات الرئيسية بموجب اتفاق واغادوغو."	1
"7 - الحالة في ليبيريا (22 كانون الثاني/يناير 1991؛ 19 كانون الأول/ديسمبر 2008)."	0
"وفي هذا الصدد، ستواصل المديرية التنفيذية مواءمة الاحتياجات المحددة ذات الأولوية مع برامج الجهات المانحة ومقدمي المساعدة الحالية والمحتملة من أجل تعزيز قدرة الدول الأعضاء على مكافحة الإرهاب وتعزيز الحوار بين مجتمع المانحين والدول المستفيدة."	1
"واستجابة لذلك، أنشأت وزارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير وتطوير سبل تنفيذ توصياته."	1
"الفقرة الفرعية 3 (د) و (هـ)"	0
"ومع ذلك، لم يتم بعد ملء تسعة من أصل 33 وظيفة مخصصة لقوات التحرير الوطنية."	0
"ونظراً لنقص البنية التحتية في البلاد، قد تكون هناك حاجة إلى إنشاء آلية لتسهيل إدارة وتوزيع هذا الدعم."	1
"1 - انعقد الاجتماع التشاوري الأول بشأن إنهاء المرحلة الانتقالية في الصومال في مقديشو في الفترة من 4 إلى 6 أيلول/سبتمبر 2011."	0
"134 - وصدقت سبع دول من أصل ثماني دول في آسيا الوسطى والقوقاز على 12 صكا من الصكوك القانونية الدولية لمكافحة الإرهاب، وتنظر قيرغيزستان بنشاط في الانضمام إلى الصكوك الستة التي لم تصبح بعد طرفا فيها."	0
"S/AC.49/2011/10/Add.1"	0
"يشير إلى أن [جماعة المعارضة] تتحمل مسؤولية خاصة عن حماية العائدين وتيسير عودة من تبقى من السكان المشردين، ويطلب اتخاذ مزيد من التدابير [من جانب وكالات الأمم المتحدة] لتهيئة الظروف المؤاتية لعودة اللاجئين والنازحين داخليا النازحين، ... لتطوير مهاراتهم وزيادة اعتمادهم على أنفسهم، مع الاحترام الكامل لحقهم غير القابل للتصرف في العودة إلى ديارهم في ظروف آمنة وكريمة."	1
"ومن أجل تسريع العملية وضمان توافر عدد كاف من الموظفين المؤهلين، تدعم اللجنة استكشاف وسائل لتوسيع قاعدة المرشحين المحتملين."	1
"ونتيجة لذلك، فإن بعض أعضاء اللجنة الذين لم تكن لديهم معلومات عن الاسم ولم يشاركوا في المشاورات ربما شعروا بأنهم هامشيون في عملية صنع القرار؛ ولكن على الرغم من أنه كان من الممكن أن يكون هناك تبادل أكثر انفتاحا لتبادل الآراء في اجتماعات اللجنة، فقد كان لدى جميع الأعضاء، وكثيرا ما مارسوا، خيار طلب المزيد من التفاصيل عندما رأوا أن ذلك مهم."	1
"إجراء البحوث لتحديد محددات الفروق بين الجنسين في آليات الإنذار المبكر ووضع المؤشرات بناء على ذلك."	0
"ومع ذلك، اتهم بعض القادة في مقديشو الرئيس بالذهاب إلى الأراضي الإثيوبية للحصول على أسلحة وقوات لاستخدامها في أنشطته المستقبلية في الصومال."	0
"ومما لا شك فيه أن جميع هذه التدابير ساعدت في رفع مستوى الوعي وتطوير الفهم المشترك والتصدي لمخاطر التحريض والتهديد به."	1
"(ج) الأفراد المدرجون في القائمة الذين أُفيد عن وفاتهم، إلى جانب تقييم المعلومات ذات الصلة المبينة في الفقرة 28 (ج)، وإلى أقصى حد ممكن، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات قد يكونون متوفين. في وضع يسمح لها بتلقي أي أصول غير مجمدة؛"	0
"5 - يهيب بجميع الدول أن تواصل اتخاذ خطوات عاجلة لإنفاذ وتعزيز التدابير المفروضة بموجب القوانين أو اللوائح المحلية على مواطنيها وغيرهم من الأفراد أو الكيانات العاملين في أراضيها وتعزيزها، من خلال سن تشريعات أو تدابير إدارية، حيثما يكون ذلك مناسبا، لمنع معاقبة انتهاكات التدابير المشار إليها في الفقرة 1 من هذا القرار، وإبلاغ اللجنة باعتماد هذه التدابير، ويدعو الدول إلى إبلاغ اللجنة بنتائج جميع التحقيقات أو إجراءات الإنفاذ ذات الصلة، ما لم يكن ذلك من شأنه الإضرار إجراءات التحقيق أو التنفيذ؛"	1
"الممتلكات المادية الأخرى (618 20 ريالاً سعوديًا)"	0
"وعلاوة على ذلك، كان تبادل المعلومات بشأن التعاون بين الوكالات، وأنشطة الإنفاذ، وتخطيط التنفيذ الطوعي، والبيانات الزمنية، من بين التدابير الأخرى المقترحة لتحسين فهم اللجنة لتدابير التنفيذ الوطنية وفقا للقرار 1540 (2004)."	1
"17. الوضع في الأراضي العربية المحتلة."	0
"(ج) التشجيع على وضع إجراءات لضمان عدم ارتكاب طالبي اللجوء واللاجئين أعمالاً إرهابية."	1
"إن إرساء سيادة القانون بشكل حقيقي في جمهورية الكونغو الديمقراطية يتطلب تشكيل جيش ونظام قضائي وقوة شرطة تتسم بالفعالية والديمقراطية."	0
"أ. بيزيمونجو رئيس أركان القوات المسلحة الرواندية"	0
"أحكام القانون رقم قرار رقم 656 لسنة 2002 في شأن منع ومكافحة غسل الأموال مطابق للقرار رقم 656 لسنة 2002 في شأن منع ومكافحة غسل الأموال 2001/97/EC الصادر عن البرلمان الأوروبي والمجلس الأوروبي بتاريخ 4 ديسمبر 2001، والذي يعدل توجيه المجلس الأوروبي رقم. قرار رقم 91/308/EEC بشأن منع استخدام النظام المالي لغرض غسل الأموال"	1
"&quot;ويؤكد أنه لا ينبغي لأي محاولة لزعزعة استقرار لبنان أن تمنع إجراء انتخابات رئاسية حرة ونزيهة، دون تأخير، وفقا للقواعد الدستورية اللبنانية، دون أي تدخل أو نفوذ أجنبي، ومع الاحترام الكامل للمؤسسات الديمقراطية."	1
"وأدت الاشتباكات المتكررة بين قوات القوات المسلحة لجمهورية الكونغو الديمقراطية والجماعات المسلحة العاملة في المنطقة إلى سقوط العديد من الضحايا بين المدنيين."	0
"ويشكل هذا النشاط جزءا من الحوار المستمر بين برنامج الأمم المتحدة لسيادة القانون والأمن والحكومة الاتحادية الانتقالية بشأن القضايا المتعلقة بالألغام ودعم العمليات التي تضمن وعيها بالصكوك القانونية الدولية ذات الصلة وقدرتها على النظر في المشاركة فيها. ."	1
"ومن الواضح أنه لا يمكن الحصول على كليهما على الفور. وهذا يتطلب قدرا كبيرا من الوقت والجهد والموارد ومخصصات الميزانية."	0
"97 - وفي الختام، أود أن أعرب عن تقديري للخدمة المتفانية التي قدمها ممثلي الخاص للسودان، هايلي منكيريوس، وكذلك لجميع الموظفين العسكريين وأفراد الشرطة والموظفين المدنيين العاملين في بعثة الأمم المتحدة في السودان."	1
"ويظل تعزيز نظام جزاءات الأمم المتحدة المستهدف الأكثر فعالية والمستند إلى الأدلة أمرا مهما."	1
":: تسليط الضوء على أهمية جدول أعمال المرأة والسلام والأمن في معالجة التمييز وانتهاكات حقوق الإنسان والعقبات التي تعترض الحماية والعدالة التي تواجهها النساء والفتيات اللاجئات والمشردات داخليا وعديمي الجنسية في جميع مراحل دورة التشرد"	1
"إننا نطرح مسألة العنف للتعبير عن نفاد صبرنا إزاء إيجاد حلول مرضية عاجلة للتحديات الهائلة التي تواجه وحدة المجتمع العراقي."	0
"وتضم القائمة أسماء 17 شخصًا من الجنسية المصرية. نتائج الفحص مرفقة بهذا (الملحق 1)."	0
"وينظر المجلس في إمكانية الاستعانة باللجنة الدولية لتقصي الحقائق المنشأة بموجب المادة 90 من البروتوكول الإضافي الأول لاتفاقيات جنيف."	1
"وأدعو السلطات اللبنانية إلى بذل كل جهد ممكن للقبض على المسؤولين عن محاولة الاغتيال هذه وتقديمهم إلى العدالة."	1
"وهذا هو نتيجة ثانوية للمساومة السياسية في مؤتمر المصالحة الوطنية الصومالية التي تعتمد إلى حد كبير على سلطة قادة الميليشيات ورابطاتهم العشائرية."	1
"في الجلسة 5059 لمجلس الأمن، المعقودة في 19 تشرين الأول/أكتوبر 2004، فيما يتعلق بنظر المجلس في البند المعنون &quot;تهديد السلام والأمن الدوليين نتيجة للأعمال الإرهابية&quot;، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:"	1
"(أ) يكرر دعوته أطراف النزاع المسلح المدرجة أسماؤهم في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح التي لم تقم بعد بإعداد وتنفيذ خطط عمل لوقف تجنيد الأطفال واستخدامهم، أن تفعل ذلك دون مزيد من التأخير في انتهاك للقانون الدولي المعمول به؛"	1
"2 - المجموعة الثانية المكونة من أربعة مفتشين تحركت من فندق القناة ببغداد في الساعة 40/08 ووصلت إلى موقع كلية الهندسة الأولى بجامعة بغداد في بغداد."	0
"وتوصي أيضاً بأن تلتزم حكومة نيبال التزاماً واضحاً بإعادة إدماج الأطفال المرتبطين بالقوات المسلحة والجماعات المسلحة، وبأن تعزز الحماية القانونية للأطفال، من خلال تجريم تجنيد الأطفال ومحاكمة منتهكي حقوق الأطفال."	1
"وفي حالة سيارات الجيب الـ 22، تم إسقاط الإجراءات القياسية بسرعة."	0
"وتسعى اللجنة جاهدة لضمان أن تكون القائمة الموحدة ديناميكية ومستجيبة للتهديد المتطور الذي يشكله تنظيم القاعدة وحركة الطالبان."	1
"إن التحديات التي تواجه البلاد تتطلب من القادة الهايتيين صياغة رابطة مشتركة."	0
"2. الوضع في سيراليون."	0
"يشرفني أن أشير إلى قرار مجلس الأمن 1606 (2005) المؤرخ 20 حزيران/يونيه 2005، الذي طلب إلي المجلس بموجبه أن أبدأ مفاوضات مع حكومة بوروندي وإجراء مشاورات مع جميع الأطراف البوروندية المعنية بشأن كيفية تنفيذ التوصيات الواردة في التقرير. بعثة التقييم (انظر S/2005/158) بشأن إنشاء لجنة مختلطة للحقيقة ودائرة خاصة داخل نظام المحاكم في بوروندي. وطلب مني كذلك تقديم تقرير إلى المجلس بحلول 30 سبتمبر/أيلول حول تفاصيل التنفيذ، بما في ذلك التكاليف والهياكل والإطار الزمني."	1
"(ج) تشجيع الدول على تعزيز أمن الحدود عند نقاط الدخول من أجل منع الحركة غير القانونية للأشخاص والبضائع والأسلحة/المتفجرات عبر الحدود، فضلا عن النقل المادي عبر الحدود للعملة وغيرها من الصكوك لحاملها. أمريكا الجنوبية"	1
"ومع ذلك، لا يزال هناك الكثير الذي يتعين القيام به، في المقام الأول في مجالات سيادة القانون، وإنفاذ القانون، وقدرات الحكومة، والتنمية، والقطاع الخاص، والأمن الشخصي لجميع المواطنين الأفغان."	0
"وأفضل طريقة لتحقيق ذلك هي زيادة الوعي بالفرص التي توفرها طرق الدفع الجديدة لنقل الأموال دون أن يتم اكتشافها وخارج الضوابط الحكومية."	1
"[ج] يدعو [البعثة] إلى تعزيز قدرتها على إدارة الصراعات من خلال استكمال استراتيجيتها المتكاملة في أقرب وقت ممكن لدعم آليات حل النزاعات القبلية المحلية من أجل تحقيق أقصى قدر من الحماية للمدنيين؛ يرحب بوضع استراتيجية شاملة بشأن حماية المدنيين ويشجع [البعثة] على مواصلة وإكمال عملها بشأن الاستراتيجية في الوقت المناسب؛ ويدعو [البعثة] مرة أخرى، بما يتماشى مع ولايتها وقدراتها الحالية، إلى القيام بدوريات نشطة في المناطق المعرضة بشدة لخطر الصراع المحلي."	1
"قرار مجلس الأمن 1923 (2010)، مرجع سابق. 4"	0
"13 -- وناقشت اللجنة المجالات الرئيسية التالية التي يمكن إحراز تقدم فيها : مواصلة تحسين إجراءات المساعدة ; تحديد وتحليل احتياجات المساعدة؛ مواصلة تطوير الحوار بشأن المساعدة مع المنظمات الدولية والإقليمية ودون الإقليمية ذات الصلة، وحسب الاقتضاء، مع المنظمات غير الحكومية؛ تعزيز قدرة اللجنة وخبرائها على تسهيل المساعدة؛ وزيادة الوعي بقضايا المساعدة."	1
"125 - يتعرقل تنفيذ القرار 1373 (2001) في آسيا الوسطى بسبب عدة عوامل: القرب من الصراع في أفغانستان (حيث يغذي إنتاج المخدرات الأنشطة الإرهابية ويولد تجارة ديناميكية للأسلحة مقابل المخدرات)؛ والأنشطة غير المشروعة التي يمارسها ناقلو الأموال النقدية عبر الحدود (مصدر محتمل لتمويل الإرهاب)؛ وتداول فائض الأسلحة (بسبب الاضطرابات السياسية والمدنية في المنطقة)؛ الحدود النائية وغير المحمية، إلى جانب نقص الموارد البشرية والمادية لضمان مراقبة الحدود بشكل فعال؛ والعدد الكبير من العمال المهاجرين (مما يؤدي بدوره إلى زيادة استخدام أنظمة التحويلات غير الرسمية، وهي مصدر محتمل لتمويل الإرهاب)."	0
"وينبغي نقل أنشطة بناء القدرات وتحقيق الاستقرار على المدى الطويل، قدر الإمكان، إلى الفريق القطري في المجالات التي يتمتع فيها بميزة نسبية."	1
"ورغم أهمية منع الإرهابيين من تنفيذ هجماتهم، فمن الواضح أنه لا يمكن هزيمة الإرهاب من خلال التدابير الأمنية وحدها، وأن العديد من أعضاء المجتمع الدولي يتطلعون إلى مجلس الأمن لاتخاذ تدابير تحد من الوسائل التي يمكن بها لتنظيم القاعدة أن يستغل هذه التدابير. تنشر رسالتها وكذلك تروج للبرامج التي تهدف إلى تقويضها."	0
"وتؤكد شركة Lescomplekt أن شريكها في المشروع المشترك مدين لها بثلاثة مبالغ منفصلة."	0
"لقد كان انضباطهم وتحملهم على مستوى عال، مما يعكس الفضل في أنفسهم وفي الأمم المتحدة."	0
"وأشار آخر إلى أنه يجري الاستعدادات لإنشاء مؤسسة وطنية لحقوق الإنسان."	1
"أبيت 10 (شريط عازل) 7,182"	0
"ويرحب مجلس الأمن أيضا بالتحسينات التي أدخلت مؤخرا على إجراءات اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011)، ولا سيما فيما يتعلق بالعمل الفعال والقيم الذي يقوم به مكتب أمين المظالم المنشأ عملا بالقرار 1904 (2009). ."	1
"وإلى جانب النطاق المباشر لتدابير الجزاءات، أبدت الوفود اهتماما خاصا بتقاسم تجربتها في إعادة الإرهابيين إلى المجتمع."	1
"(ب) توصيات بشأن الإجراءات التي يمكن اتخاذها لتعزيز الرد على التهديد الذي يشكله هؤلاء المقاتلون الإرهابيون الأجانب؛"	1
"وخلصت ورشة العمل التي عقدت لمناقشة الإنترنت في القمة الدولية للديمقراطية والإرهاب والأمن، التي عقدت في مدريد في الفترة من 8 إلى 11 مارس 2005، إلى أن الإنترنت يجب أن تظل خالية من أي تنظيم أو تدخل آخر، مما يسمح للنقاش المفتوح بدحر أفكار الإرهاب. التطرف."	1
"درهم دورة التعامل (الإمارات العربية المتحدة): زيادة التكاليف (تكاليف النقل)"	0
"سطر المطالبة الإريترية (البنود من 11 إلى 14)"	0
"ومن دبي، يتم بعد ذلك إرسال الأموال إلى الصومال من خلال تحويلات غير معروفة."	0
"23 - وواصلت إحدى الدول جهود مكافحة التطرف بين الجماعات المسلحة ودعمت إنتاج هذه الجماعات لمنشورات تتصدى للإيديولوجية المتطرفة. وقد تم توزيع هذه المنشورات، بما فيها المنشور الذي ينكر تنظيم القاعدة، على الصعيد الدولي، بما في ذلك على مواقع الإنترنت."	1
"18 - وفي القطاع المالي، نجح المستشارون المدنيون التابعون لمكتب الأمم المتحدة في تيمور - ليشتي في نقل جميع المهام التنفيذية التي يتم تنفيذها داخل الخزانة إلى نظرائهم الوطنيين."	0
"منتجات الغابات غير الخشبية: 20.500 23 مليون"	0
"رابعا. الإجراء المتوقع من الحكومة"	0
"من المحتمل أن تؤدي الارتباطات الأوثق أو الأفضل تنظيمًا بين الشركات التابعة إلى زيادة التهديد الذي تشكله."	1
"وإذ نؤكد من جديد التزام الدول الأعضاء بأن تقوم دون تأخير بتجميد الأموال والأصول المالية الأخرى أو الموارد الاقتصادية للأشخاص الذين يرتكبون أو يحاولون ارتكاب أعمال إرهابية أو يشاركون في ارتكاب أعمال إرهابية أو يسهلون ارتكابها؛ والكيانات المملوكة أو الخاضعة لسيطرة هؤلاء الأشخاص بشكل مباشر أو غير مباشر؛ والأشخاص والكيانات التي تعمل نيابة عن هؤلاء الأشخاص والكيانات أو بتوجيه منهم، بما في ذلك الأموال المستمدة أو المتولدة من الممتلكات المملوكة أو الخاضعة لسيطرة هؤلاء الأشخاص والأشخاص والكيانات المرتبطين بهم بشكل مباشر أو غير مباشر،"	1
"28 - وشددت عدة دول في المنطقة الأفريقية على تصميمها على ضمان اتخاذ التدابير الرامية إلى حماية الجمهور من الأعمال الإرهابية في إطار القانون وبما يتفق مع التزاماتها بموجب القانون الدولي."	1
"162. ساعد فريق الطب الشرعي الهولندي العديد من الأشخاص في إجراء التحقيق في مسرح الجريمة، على سبيل المثال، ضباط شرطة الطب الشرعي من قوى الأمن الداخلي، وفريق من الغواصين البريطانيين، وخبير فرنسي في المتفجرات، وعالم طب شرعي من أيرلندا الشمالية، ومهندس كهربائي ألماني. متخصص في أجهزة التشويش، فريق من المحققين اليابانيين في مسرح الجريمة، وخبير سيارات ألماني، وخبير سيارات هولندي، وعدد من المختصين اللبنانيين."	0
":: هناك حاجة إلى مزيد من الاتساق في إنشاء آليات تقصي الحقائق وولاياتها."	1
"من بين الأفراد الـ 33 المسجلين أدناه، يظهر 6 في قائمة الجزاءات المفروضة بموجب القرار 1988 (2011)."	0
"86 - ينبغي لدول المنطقة دون الإقليمية أن تقوم بما يلي: (أ) مراجعة قوانينها الجنائية لضمان تجريم التجنيد في الأعمال الإرهابية والجماعات الإرهابية بالقدر الكافي؛"	0
"ويجري حاليا اتخاذ الترتيبات اللازمة لتوفير أماكن العمل في فورت ليبرتي، ولي كاي، وجاكميل، وهينش، وسان مارك."	0
"4.4 قسم التحقيقات الجنائية المركزية"	0
