"es_en_TRANSOFMERS"	"MatConf"
"For example, after months of constant attacks on villages in the area, many people left and took refuge in Deleig."	1
"At the end of September, MINURCAT completed the refurbishment of Iriba prison, thereby improving the conditions of detention of prisoners and the security of the prison."	0
"More recently, in July 2014, Boko Haram carried out a cross-border incursion into Cameroon resulting in the abduction of the wife of Deputy Prime Minister Amadou Ali and the killing of three others."	1
"Reports of abductions of children during the recent attacks on the civilian population demonstrate the very high price paid by Darfurian children in this civil war."	1
"In the central regions, unresolved conflicts also continue to affect livelihoods and delay recovery."	1
"This cut seriously jeopardizes the operational capacity of the Forestry Development Authority, especially outside Monrovia."	0
"EUFOR, which chose to make its presence felt, even if not seen, was prepared to intervene if the situation deteriorated, and emergency plans were made to deploy reserve forces if necessary."	1
"The Commission also found that rebel groups had perpetrated attacks, in almost all cases, against targets of the army, police or security forces."	1
"2. The situation in the Middle East."	0
"Article 15.B \"empty table\" means a flat table, or surface, without accessories."	0
"In the longer term, and as soon as conditions are considered favourable, such foundations and enterprises should join forces with the Governments concerned to coordinate efforts to adopt a coherent plan for the development of the country, create livelihoods for the population and improve the human rights situation."	0
"The United Kingdom had formed a criminal justice task force that had trained judicial officials to hear drug-fighting cases in Kabul; 65 cases had been filed, resulting in 15 convictions with sentences ranging from three to nine years'imprisonment."	1
"There have also been reports of the presence of Al-Qaida cells in Zambia, and both South Africa and Zambia have extradited suspected terrorists in the past."	0
"âThe Security Council reiterates its strong condemnation of all violations of applicable international law and demands that parties to armed conflict comply strictly with their obligations under international humanitarian law, human rights law and refugee law and implement all relevant decisions of the Security Council."	0
"To be held on Tuesday, 30 August 2005, at 12.20 p.m."	0
"Other newspapers such as \"FraternitÃ© Matin\" and \"Notre Voie\", which support the political party of the Frente Popular de CÃ´te d'Ivoire, publish nationalist articles and incite an unceasing war."	1
"The intention to restrict their movement is not and will not be a definitive solution to the problem."	1
"According to Afghan officials, the total number of insurgency deaths in 2010 exceeded 50 per cent of the total of the previous year and the number of civilians injured increased by one third."	1
"The delivery of the judgement at first instance is expected by July 2016, as previously foreseen."	0
"âThe Security Council reiterates its demand to all parties to an armed conflict to cease immediately and comprehensively all forms of violence against women and girls, including acts of sexual violence."	0
"In order to complete the transfer process, a number of logistical requirements must be met."	0
"Then there is the organizational chart of the Andorran National Finance Institute, which is the financial surveillance institution."	0
"Namibia and Portugal: draft resolution"	0
"Last year, as military operations against armed groups intensified, MONUSCO increased logistical support to FARDC troops by 226 per cent."	1
"Cooperation with the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004)"	0
"Acronym of \"geographical information system\", a computerized database for managing and analysing site data."	0
"The Mission asked the Government military about rumours that some 70 people, mostly Muslims, had died at the hands of Government soldiers after they had recovered the city."	1
"âThe Security Council remains deeply concerned about the devastating humanitarian, political and economic consequences of armed conflict; and emphasizes the imperative political and moral need to prevent the outbreak and escalation of armed conflict and humanitarian crises, as well as the benefit it brings to peace and development and friendly relations among all States."	1
"(f) Goods in transit - US$268,707"	0
":: On 7 November 2014, regime forces bombed the vicinity of the Tayba al-Qadim mosque in Rural Damascus, wounding 14 civilians at the exit of Friday prayers."	1
"75. In the conflict in Darfur, the Government of the Sudan and at least two rebel armed groups, SLM/A and JEM, face each other."	1
"The Department of Civil Security and Emergency Preparedness was formally established in November under UNMIK Regulation No. 2000/61."	0
"According to information transmitted by various organizations, there were cases of rape and sexual violence during attacks on villages."	1
"\" The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a representative, broad-based, multi-ethnic and fully representative Government acceptable to all Afghans can lead to peace and reconciliation."	0
"We must recognize these truths, which I have highlighted."	0
"The evidence shows that armed men under the command of Abilio Mesquita began the attack on the residence of Brigadier General Ruak on 24 May, as indicated in paragraphs 69 and 70 above."	1
"6. Decides to remain seized of the matter."	0
"The Commission also received reliable information about the murder of another policeman by a mob in the same area."	1
"Act No. 42 of 31 December 1975"	0
"Since the SA-7s were used to attack Israeli passenger aircraft in Kenya in November 2002, this information is a matter of concern."	1
"About 8 a.m. hours of the second day in the wadi, I was raped for the first time."	1
"The trial of General Sanogo is still under investigation; the investigation into the death of 16 preachers in September 2012 in a Malian armed forces camp in Diabaly continues; the summary execution of three Tuaregs in February 2014 in DjÃ©bock (Gao region) is under investigation and four Malian armed forces soldiers are still in detention."	1
"The most serious and bloody incident was the unprovoked attack by tribal militias on the Aro Sharow internally displaced persons camp and the villages of Gosmino and Ardja in the Kulbus area of Western Darfur, near the Chad border, on 28 September."	1
"At that time, recruits are subordinated to the command of the regular army and usually wear the same uniform as the unit to which they belong."	1
"However, most international crimes, because of their intrinsic nature, are generally committed by or with the complicity of State officials; therefore, it is advisable that other mechanisms be responsible for their prosecution."	0
"Acting under Chapter VII of the Charter of the United Nations,"	0
"In other words, those who survived the attacks on villages were not immediately killed in order to eradicate the group, but were forced to leave their homes and live together in places chosen by the Government."	1
"Of the 57 civilians killed, 5 were children (2 tortured) and 51 were rebel fighters."	1
"Decree-Law 12/1970 on the ratification and subsequent promulgation by Hungary of the Treaty on the Non-Proliferation of Nuclear Weapons."	0
"However, as reported to the Council on 31 January, reports of shelling to date continue and the most recent case is being investigated by African Union observers."	1
"14. The situation in Sierra Leone (27 November 1995; 29 September 2010)."	0
":: Article 85 of Act V of 2006 on the information of public enterprises and procedures for judicial registration and voluntary dissolution;"	0
"Thus, the conflict is not merely a situation of internal tension and internal unrest, mutiny or sporadic and isolated acts of violence, but fulfils the requirements of (a) the existence of organized armed groups fighting the central authorities, (b) control by rebels of part of the territory and (c) prolonged armed confrontation, as provided for in common article 3 of the Geneva Conventions, which give this situation the character of internal armed conflict."	1
"In some cases, women were raped in public and were sometimes insulted and described as \"slaves\" or torobora."	1
"Many people died and more than 100 were injured."	1
"(Vienna, 4 November 1986-19 January 1989)"	0
"It is crucial that the international community support Mr. Bassolé's efforts together."	0
":: Regulate alternative remittance systems, including the Hawala system;"	0
"The first ad litem judge took office on 1 September 2003 and three others arrived in October 2003."	0
"In their public statements, Colonel Khaddafi and his family have continued to threaten citizens with civil war and the possibility of mass killings if protests continue."	0
"Operational change: The execution of complex, simultaneous and multiple attacks, which can serve as an example of the attacks in Arlit and Agadez, Niger, on 23 May 2013, demonstrate that local Al-Qaida affiliates seek to follow the Al-Qaida core guidelines of causing âspectacularâ incidents."	1
"(s) The prohibition of collective punishment;"	1
"When I had the honour to address this issue before the Council in February (see S/PV.5130), I pointed out that the protection of minority communities, the return of refugees and internally displaced persons, freedom of movement and decentralization were areas requiring particular attention because of their direct link with our common goal of achieving a multi-ethnic and democratic Kosovo."	0
"Robert Montoya was unable to submit to the Group any documents demonstrating the exchange of Ivorian ownership to Darkwood or BSVT."	0
"It should be added that the concept of superior responsibility also applied to internal armed conflicts, as had been held authoritatively by international criminal tribunals, and the legal opinion of States agreed."	0
"Citizens caught practicing Christianity are severely punished in violation of the right to freedom of religion and the prohibition of religious discrimination."	1
"(a) To participate more actively in international and regional organizations (such as the Collective Security Treaty Organization, the Organization for Security and Cooperation in Europe, the Shanghai Cooperation Organization Regional Counter-Terrorism Agency and the Organization for Security and Cooperation in Europe Border Management Staff College in Dushanbe, Tajikistan), to focus on activities aimed at overcoming gaps and improving the implementation of resolution 1373 (2001);"	0
"On 2 June, 21 June and 25 September 2005, Lebanese personalities were subjected to car bombings in Beirut, killing Samir Qassir and George Hawi, and wounding May Chidiac. On 12 July 2005, another assassination attempt was made against Lebanese Defence Minister Elias Murr, resulting in one person being killed and several others, including the Minister, being injured."	1
"First, he urged the Security Council to give human rights greater recognition and prominence in its resolutions and presidential statements."	0
"The two years of conflict had exacerbated political differences and exacerbated the already precarious socio-economic conditions of most of the population."	1
"Several recent peace operations, in particular MINUSMA, have incorporated cross-border crime analysis into their joint analysis and mission planning structures."	1
"The President (spoke in French): I now give the floor to Ambassador Jose Filipe Moraes Cabral of Portugal in his capacity as Chairman of the Security Council Committee established pursuant to resolution 1970 (2011) on the Libyan Arab Jamahiriya."	0
"8. The situation in Somalia (17 March 1992; 25 August 2010)."	0
"We are concerned that the success of the presidential elections is at risk of fading because of the lack of progress in the formation of the Government."	0
"28. Giuseppe Bonavolontà, of the Italian television network RAI, on 16 December."	0
"Areas of assessment All States visited have adopted laws that give the judicial, prosecutorial and police authorities the necessary powers to combat terrorism."	0
"In short, while militia attacks against civilians did not occur on a massive or systematic scale as in the months prior to the joint communiquÃ©, they have continued and intensified recently."	1
"Dear Brothers, Your Excellencies,"	0
"On 29 May, for the first time since the crisis began in 2012, two humanitarian workers were killed in the Timbuktu region when the vehicle in which they were travelling contacted a remotely controlled improvised explosive device; on 8 and 9 November, two vehicles of international non-governmental organizations were hijacked near MÃ©naka (Gao region)."	1
"While reform of the security forces is a sovereign prerogative, I encourage the Government to seek to resolve the underlying issue of the cohesion of the national army, including through the formation of a professional FARDC that is adequately equipped and supplied."	0
"- Comprehensive Nuclear-Test-Ban Treaty, ratified on 11 July 2003;"	0
"(l) To bring to the attention of the Committee new or relevant circumstances that may warrant the delisting of a name, including publicly known information on the death of a person;"	0
"(a) They constitute a threat to the peace and national reconciliation process in CÃ´te d'Ivoire, in particular by impeding the implementation of the peace process, as indicated in the Ouagadougou Political Agreement;"	1
"As discussed above, the Commission has collected substantial and credible records that tend to indicate cases of systematic killing of civilians belonging to certain tribes, causing serious and large-scale injuries to the physical or mental integrity of members of the population belonging to certain tribes and that they were subjected, in a massive and deliberate manner, to conditions of existence that would entail their total or partial physical destruction (through the systematic destruction of their villages and crops, the expulsion of their homes and the theft of their livestock, for example)."	1
"Eighteen persons arrested in BouakÃ© in connection with these events were transferred to the Korhogo civilian prison; in another incident on 17 January, 11 persons, including two French nationals, allegedly associated with Mr. Coulibaly, were arrested in Abidjan on suspicion of planning a coup d'Ã©tat; on 30 January, the prosecutor of the Abidjan military court issued an international arrest warrant against Mr. Coulibaly, who is accused of plotting against the State."	1
"UNMOVIC and/or IAEA shall provide the Committee, through the Office of the Iraq Programme, with a written explanation of this determination."	0
"The frequency of attacks is increasing, including those carried out with artillery rockets, and there is an abundance of recruits."	1
"In March 2004, a group of Janjaweed militiamen and 150 soldiers reportedly abducted and raped 16 teenage women in Kutum, Northern Darfur."	1
":: On 5 November 2014, regime forces attacked Hazrma primary school in Rif Damascus; one child was injured."	1
"China Youth Daily, Chinese newspaper, December 19, 2011"	0
"Guinea-Bissau is one of the pilot countries."	0
"It was unacceptable that attempts should be made to destabilize the internal situation in Lebanon through the perpetration of political assassinations."	0
"The joint vision initiative of the United Nations system for Sierra Leone received almost US$ 10 million from the “Delivering as One” fund."	0
"The active presence of ethnically and communally based militias remains a major source of instability, especially in the western part of the country, where violent inter-ethnic clashes have occurred in recent months."	1
"I urge all Somali leaders to take the necessary steps to bridge their differences."	0
"They perceive Kosovo Serbs as instruments of Belgrade and therefore as part of a continuing threat to their future."	0
"This provision is clearly provided for in section 9 of the Nepal Treaty Act."	0
"The March 25 march received a lot of publicity and some considered it a serious challenge to the President and to the legitimate institutions of the State."	1
"It was reported that at least one person had been killed and 20 others injured during clashes between riot police and demonstrators, who also disrupted mobile court activity."	1
"However, since in a number of cases such explosives were used, with devastating effects, by previously undetected Al-Qaida cells, several States have adopted methods to limit access to critical precursors."	1
"Ibrahim Mohamed K. had reportedly been trained in Al-Qaida camps until November 2001 and had remained in Afghanistan for more than a year fighting United States troops, at which time he maintained contacts with high-ranking Al-Qaida members, who persuaded him to return to Europe, where his German travel document gave him considerable freedom of movement, to recruit suicide bombers."	1
"Japan complies with Annex 17 of the Convention on International Civil Aviation."	0
"According to Article 7 of the Agreement, its functions are as follows:"	0
"In North Africa and the Sahel and Sahara region, the effects of armed groups with extremist ideologies such as Al-Qaida on the Islamic Maghreb have increased."	1
"8 May 2006 There are incidents of violence in Gleno, in which East PNTL officers are attacked."	1
"(d) Prevent those who finance, plan, facilitate or commit terrorist acts from using their territory for that purpose, against other States or their citizens;"	1
"To be held on Tuesday, 25 May 2010, at 10 a.m."	0
"(6) Convention for the Suppression of Unlawful Seizure of Aircraft, signed at The Hague on 16 December 1970; ratified on 6 April 1972 and entered into force in the Socialist Republic of Czechoslovakia on 6 May 1972."	1
"Of these 168 children, 135 were abducted for recruitment, while the other 33 were abducted for cultural and political programmes or for other reasons."	1
"Fundraising in the United Arab Emirates"	0
"These include members of the armed forces, the National Security and Intelligence Service, the Military Intelligence and the Security Committees in the three Darfur states, but the numbering is not exhaustive."	0
"\" The Security Council underlines the importance of rapid progress by the parties to the Comprehensive Peace Agreement with regard to the Abyei referendum, the outstanding issues of the Comprehensive Peace Agreement, and the resolution of critical post-referendum issues, in a peaceful and mutually beneficial manner, including border, security, citizenship, debt, assets, currency and natural resources issues."	0
"âThe Security Council recalls resolutions 1267 (1999) and 1989 (2011), 1373 (2001), 1540 (2004) and 1624 (2005), as well as other applicable international counter-terrorism instruments, stresses the need for their full implementation, renews its call upon States to consider becoming parties as soon as possible to all relevant international conventions and protocols, and to comply fully with their obligations under those to which they are parties, and notes the recommendation of the Ad Hoc Committee established pursuant to General Assembly resolution 51/210, in which it notes that more time is needed to achieve substantive progress on outstanding issues, and decides to recommend that the Sixth Committee, at the sixty-ninth session of the General Assembly, establish a working group with a view to finalizing the process on the draft comprehensive convention against international terrorism."	0
"The Under-Secretary-General noted that 69 humanitarian workers had lost their lives since the beginning of the conflict, and that sexual violence had been used as a form of torture, to cause injury, to degrade and intimidate and as a form of punishment."	1
"13. Decides to remain seized of the matter."	0
"By mid-August 2008, the average price had risen to $178 per carat."	0
"The victim became pregnant as a result of the rape and had given birth."	1
"Incidents with DEI often result in a large number of civilian casualties, extensive destruction of infrastructure and economic disruption of entire communities."	1
"This will require a review of the concept of operations to reflect a more mobile and agile force that can anticipate or respond quickly to crises, while eliminating redundancy."	1
":: On 29 November 2014, regime helicopters dropped two barrel bombs on a clinic in the village of Kafr Sajna in Idlib, which was partially destroyed."	1
"Terrorist groups and other non-State armed groups with access to cross-border criminal markets may have less incentive to leave conflict and reach a political settlement."	1
"The result of the reductions would be a further loss of credibility of the judicial system and confidence among the general population and among minority communities in particular."	0
"The petitioners then passed through the clear road, escorted by two of the UIR vehicles. Near the market area, the petitioners were shot by both the UIR agents travelling in the escort vehicles and the crowd. One civilian died from shots fired from a distance, eight other civilians were shot and two policemen and two other civilians sustained other serious injuries."	1
"It is impossible to describe in this report all the cases of murder that the Commission has documented."	1
"40. After reclassification, duplicate articles are identified and deleted."	0
"(c) Regularly update the List referred to in paragraph 1;"	0
"(b) Mamoon detergent project equipment"	0
"These provisions of the Constitution are further strengthened by a wide range of national laws."	0
"When asked to provide further details, the victims report that the Janjaweed assailants come from Arab tribes and, in most cases, attack on horses or camels and carry automatic weapons of various types."	1
"Finally, much of the information concerning the fate of Mr. Abu Adass points to Syrian and Syrian officials, as well as certain Lebanese officials, although it is true that little of this information has been independently corroborated, it is important that there is no information that points to other entities as participants in his disappearance or that he was indeed a suicide bomber."	1
"229. The Commission recommends the establishment of an independent and well-organized police force as well as military monitoring mechanisms."	0
"The Dutch forensic team was assisted by numerous persons while conducting the crime scene investigation, including forensic technicians from the Internal Security Forces, a British team of divers, a French team of explosives experts, a forensic scientist from Northern Ireland, a German electrical engineer specializing in interference devices, a Japanese team of crime scene investigators, a German car expert, a Dutch car expert and several Lebanese specialists."	0
"Recognizing that strengthening national human rights institutions and respect for human rights, due process and combating crime and sexual and gender-based violence, as well as measures to end impunity, are essential to ensuring the rule of law and security in [the affected country],"	0
"Hunger and other inhumane conditions of detention are deliberately imposed on suspects to pressure them to confess and accuse others."	1
"At present, the Government authorities claim that they have not identified the members of these squads, and attribute these acts to any adjustments of accounts."	1
":: On 15 November 2014, regime helicopters dropped a barrel bomb on Omar ibn al-Khattab Mosque in Aleppo, causing significant damage."	1
"8. The situation in Somalia (17 March 1992; 21 November 2012)."	0
"The Sudan Liberation Movement/Army appears to be the most militaryly important, while the Justice and Equality Movement has a more political character and limited military capacity, especially after the alleged division of the group and the subsequent emergence of the National Reform and Development Movement (see para. 139 below)."	1
"Kosovo also has valuable unexploited natural resources, including stocks of lignite and other minerals, as well as significant agricultural potential."	0
"The negotiations should address all major issues, which should be clearly defined."	0
"Demands that all armed groups, in particular members of [specific armed group], prevent the recruitment and use of children, also demands that all parties protect and consider as victims children who have been released or otherwise separated from armed forces and armed groups, and emphasizes the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;"	0
"The Commission also notes that the detention of persons by the State security forces and the military intelligence service, in particular during attacks and intelligence operations against villages, in addition to constituting serious violations of international human rights law, may also amount to enforced disappearance, a crime against humanity, as the acts were systematic and widespread."	1
"28. Declares its determination to monitor closely any situation relating to the proliferation of nuclear weapons, their means of delivery or related materiel, both to and from non-State actors, as defined in resolution 1540 (2004), and, as appropriate, to take the necessary measures to ensure the maintenance of international peace and security;"	1
"About 1.8 million people were forcibly displaced and became refugees or internally displaced persons and in need of protection."	1
"It assists PNTL to achieve the necessary levels of professional and technical capacity in accordance with international standards."	0
"Internal Regulations of the Energy Secretariat Energy Secretariat, National Commission for Nuclear Safety and Safeguards"	0
"âThe Security Council considers sanctions to be an important tool in the fight against terrorism, and underlines the importance of the rapid and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011), as a key instrument in the fight against terrorism."	0
"5. The situation in Timor-Leste (15 December 1975; 24 February 2011)."	0
"Acting under Chapter VII of the Charter of the United Nations,"	0
"Pursuant to paragraph 18 of Security Council resolution 2100 (2013), France submitted four reports to the Council outlining six combat actions carried out in response to an âimminent and serious threatâ and highlighting the work done by the liaison and operational support detachments for MINUSMA, as well as the support provided by the French forces to the medical assistance provided to the wounded."	0
"2. Justice and the rule of law: the role of the United Nations"	0
"The international community must be ready to assist in the establishment of agreements for further decentralization."	0
":: On 18 November 2014, regime helicopters dropped two barrel bombs on Maar Shmarien and killed six civilians, four of whom were children and two were women."	1
"During the week of 19-26 June, in the Bay region, some 10 people were killed and nine others injured in fighting between subclans of the digil-mirifle clan in the area, including the Leysan, Luway and Yantar."	1
"The Commission notes that crimes of sexual violence committed in Darfur can be considered rape, crimes against humanity or sexual slavery, a crime against humanity."	1
"On 18 July 2011, the Council held a private meeting with troop- and police-contributing countries to the African Union-United Nations Hybrid Operation in Darfur (UNAMID)."	0
"The women were detained by the Janjaweed for three months and some of them became pregnant as a result of the rape suffered during their detention."	1
"Despite reports of armed groups along the border between West Bahr El Ghazal State and Southern Darfur, UNMIS was unable to conduct a survey of those regions as SPLA did not provide security assurances."	1
"Apart from this, there have only been minor security incidents affecting the electoral process directly since voter registration began on 25 April, including some related to long lines in electoral registration offices, minor assaults on electoral guards and theft and destruction of equipment."	1
"The following sections describe the Commission's findings regarding the series of attacks on civilians in the three Darfur States."	1
"Security Council Committee established pursuant to resolution 1718 (2006)"	1
"77. This section will succinctly examine the different groups actively involved in the armed conflict in Darfur."	0
"It lays down rules governing the loading of cartridges for commercial purposes."	0
"The town of Kulbus could be considered a military target, given the presence of the military camp."	1
"It also reported that the United Nations Disengagement Observer Force (UNDOF) continued to observe strong clashes between the Syrian armed forces and armed opposition members, as well as Syrian air strikes within the area of separation and the area of limitation."	1
"In October 2002, the President of the Republic ordered the cessation of the destruction of the neighbourhoods."	1
"The Commission interviewed several witnesses who confirmed that following joint attacks by Government soldiers and Janjaweed militias in the area, some 30,000 people were detained in Kailek, Southern Darfur, for about 50 days."	1
"B. Binding rules for rebels The Sudan Liberation Movement/Army and the Justice and Equality Movement, as well as all insurgents who have acquired a certain degree of organization, stability and effective control of the territory, possess international legal personality and are therefore bound by the relevant rules of customary international law on internal armed conflicts referred to in the preceding paragraphs; this is also likely to be true of the National Reform and Development Movement."	0
"Government forces intervened at an already advanced time, firing from their own camp, but their intervention came too late and was insufficient to save lives or property."	1
":: Restrictions or regulations, if any, on the movement of precious objects, such as gold, diamonds and other related items."	0
"Nor will it serve the interests of the United States."	0
"First, the suspect or accused of an international crime must be present in the territory of the prosecuting State."	0
"Six children were killed and 44 injured as a result of the explosion of improvised explosive devices that left the conflict."	1
"13. Decides to remain seized of the matter."	0
"In some of these incidents, the Janjaweed have contributed to the destruction, in particular by damaging the civilian population and committing large-scale robberies during or after the fighting."	1
"To be held on Wednesday, 20 May 1998, at 1.15 p.m."	0
"In addition, the Committee considered that the list of items, materials, equipment, goods and technology related to ballistic missile programmes contained in the annex to its previous report (S/2014/253) replaces the previous list (see S/2012/947) and will be subject to the measures imposed by the Security Council in paragraphs 8 (a), (b) and (c) of resolution 1718 (2006)."	0
"Belarus, the Russian Federation and Ukraine had established fully operational financial information units; in 2010, Belarus and Ukraine had adopted amendments to their laws on money-laundering and combating the financing of terrorism with regard to the identification and due diligence of clients, the establishment of registers, the determination of real ownership and suspicious transactions."	0
"The Security Council looks forward to the findings and recommendations of the mission."	0
"The drastic reduction in the number of military contingents could diminish the Mission's prevention capacity and, in a crisis that his country hoped would not occur, it would be forced to react under operational concepts that were not yet clear, with all the risks involved."	1
"Small arms shipments to conflict areas from abroad are generally small consignments -- a small and steady influx of weapons across porous borders."	1
"To be held on Wednesday, 29 November 2006, at 12.45 p.m."	0
"These issues need to be addressed within the framework of security sector reform."	0
"In the Gambia, opposition groups protested against State authorities for lack of accountability for alleged human rights violations; on 4 November, former Chief of Defence Staff General Lang Tamba and six other defendants appealed to the Supreme Court against the death sentence for conspiracy and treason handed down by the High Court in July 2010 and confirmed by the Court of Appeal in October 2012."	1
"It began on 27 November 2003 and resumed on 19 September 2005."	0
"This fragmented control of the Somali maritime environment has created or promoted three important sources of income for local governments: (a) commercial export from Somalia of a large quantity of charcoal, including products; (b) unhindered access by foreign fishing vessels to Somali marine and fisheries resources; and (c) widespread piracy."	1
"As a result of these attacks, more than 1,000 civilians were displaced; the police took no action against the Janjaweed."	1
"The two Let 410 aircraft, registered in Swaziland as 3D-ERS and 3D-ETY, arrived in Beni from Khartoum on 7 and 8 May 2004, respectively."	0
"The Minister said that once the Government reported that there were rebels in a particular village, âit was no longer a civilian locality but a military targetâ."	1
"In another case, the Tribunal again reviewed the various elements of an attack directed against the civilian population as part of the definition of crimes against humanity."	0
"However, the Security Council must act not only against the perpetrators of the crimes, but also in defence of the victims."	0
"Some States have not yet taken into account human rights considerations relating to terrorism cases (e.g. exceptional periods of police custody and limits on access to legal aid)."	1
"Other listed groups, such as Lashkar-e-Tayyiba (LeT) (QE.L.118.05), train and recruit their own agents in areas controlled by the Taliban of Pakistan."	1
"Colonel Lere sent messengers to communicate the order to the soldiers who had not heard it."	1
"The Commission, while taking into account all developments related to the current conflict in Darfur, focused in particular on those that took place between February 2003, the month when the magnitude, intensity and periodicity of the incidents increased markedly, and mid-January 2005, just before the date on which the Commission had to submit its report. 3. Methods of work"	0
"8. Khorasan Metallurgy Industries (filial of the Munition and Metallurgy Industries Group, which reports to the Defence Industries Organization."	0
"Such persons may be responsible, in accordance with the doctrine of unlawful association, for committing war crimes, killing civilians, destroying civilian objects and looting during attacks."	1
":: On 30 November 2014, regime fighter aircraft launched a missile at a commercial street in Hatla village in Dayr al-Zawr, killing 12 people, including 5 children and 4 women, and wounding 11; six shops and three houses were destroyed."	1
"The exact number of villages burned and destroyed has not been calculated, but several sources have estimated the extent of destruction from verbal relations, inspections and other evidence."	1
