"","ar_en_DEEPL","MatConf"
"26","On the one hand, humanitarian access has improved markedly with the gradual lifting of restrictions on humanitarian access since last summer.",0
"27","(c) Ill-treatment of Eritrean prisoners of war.",1
"28","It would be remiss of the Council not to use these tools if the need arises.",0
"29","Over the past year, as military operations against armed groups have intensified, MONUSCO has increased its logistical support to the FARDC by 226 percent.",1
"30","âThe Security Council takes note of the communiquÃ© of the African Union Summit in Sirte which requested the Council to impose sanctions on anyone, including Eritrea, providing support to armed groups involved in undermining peace and reconciliation in Somalia and regional stability.",1
"31","For example, the difficulty of policing borders in the Sahel-Saharan region allows AQIM and its affiliates to move freely, raise funds through smuggling, acquire weapons and explosives, and train new recruits in relative safety.",1
"32","2. As I also indicated in the annex to my letter dated August 8, 2005 (para. 2), the slow pace of payments to suppliers is due to the slow processing of authentication documents required for the arrival of goods in Iraq.",0
"33","From June 1 to August 31, nearly 500 small arms, over 189,000 rounds of ammunition, 2,368 grenades and mines and over 225 kilograms of explosives were collected or voluntarily surrendered.",1
"34","On November 25, 2014, regime warplanes fired two bombs on the industrial area of Raqqa city, killing 44 people and wounding 57 others. The bombing destroyed 15 shops and 17 houses.",1
"35","Moreover, the methodological documents do not provide any guidance in this regard.",0
"36","I also wish a Happy New Year to your families and countries, as well as to Your Excellencies who have adopted you here in Côte d'Ivoire.",0
"37","16. The situation in the occupied Arab territories1 (May 4, 1976; July 13, 1998).",0
"38","I therefore call on all stakeholders to ensure that the 2 January 2015 deadline for the completion of the voluntary disarmament of the FDLR remains binding and non-negotiable.",0
"39","Ms. Tagliavini reported that much of the fighting has ceased since the signing of the Minsk documents, but fighting continues in some strategic locations, including on the outskirts of the city in the Black Sea port of Mariupol and around Donetsk airport, without regard to the ceasefire and Minsk agreements.",1
"40","Said Arif is associated with Al-Qaeda or any cell, affiliate, splinter group, derivative, or derivative thereof for âparticipating in the financing, planning, facilitating, preparing, perpetrating, participating with, on behalf of, or in support of [Jabhat al-Nusra for the People of the Levant, also known as Jabhat al-Nusra (QE.A.137.14)] acts or activitiesâ and ârecruiting for itâ.",1
"41","30. In its resolution 1963 (2010), the Security Council encouraged the Executive Directorate to work with Member States to develop comprehensive and integrated national counter-terrorism strategies and implementation mechanisms.",0
"42","It is also time for Belgrade to abandon its negative attitude towards the participation of Kosovo Serbs.",0
"43","When they are arrested or forcibly returned, DPRK officials systematically persecute, torture, and arbitrarily detain them for long periods of time, in some cases using sexual violence, including during intrusive searches.",1
"44","According to a report by an ad hoc committee set up to assess losses and damage during the popular uprising, some 29 people were killed and 625 injured in the protests.",1
"45","In the central regions, unresolved conflicts continue to affect livelihoods and delay recovery processes.",1
"46","As for the requirement that the attack be âsystematicâ, it ârequires that the acts be of an organized nature and that the acts are unlikely to be randomâ.",1
"47","Propaganda, rocket attacks, improvised explosive devices, and occasional suicide bombers may remain the main weapons used by opposition armed forces.",1
"48","Twice-weekly passenger flights from Cyprus to Beirut have also begun.",0
"49","A meeting in Damascus between Mr. Hariri and President Assad on August 26, 2004, seemed to bring the dispute to a head.",1
"50","(c) Destroying or damaging public installations, transportation and communications networks, including information networks, fixed platforms on the continental shelf, power and water plants, medical and other important facilities, or public places and property, with the aim of endangering human life, compromising the integrity of any of the installations, networks or places, or exposing property to the risk of serious damage.",1
"51","Other witness testimonies emphasized summary executions of people who had committed theft in MNCI-controlled areas of CÃ´te d'Ivoire.",1
"52","The state has imposed blatantly discriminatory restrictions on women with the aim of perpetuating the gender stereotype of Korean women as pure and innocent beings.",1
"53","Attacks against civilians, including sexual violence, by foreign and Congolese armed groups and FARDC elements continue.",1
"54","Over the next two days, local Somalis brought in a cannon, which they placed on the upper deck of the Alpha Serengeti.",1
"55","5. The Coordinator conducted three visits to the region (in February, April and May) that coincided with the meetings of the Technical Subcommittee and the Tripartite Commission. On 9 February 2011, he was received by Sheikh Mohammed Sabah Al-Salem Al-Sabah, Deputy Prime Minister and Minister for Foreign Affairs of Kuwait, who noted that the emerging spirit of cooperation between Iraq and Kuwait should be translated into practical, results-oriented steps to resolve the remaining issues, including the files on missing persons and property.",0
"56","Moreover, because production from the field did not commence until August 2, 1990, there was no record of past production from the field on which to base future cash flow projections.",0
"57","On March 17, 2005, Brunei Darussalam joined the United Nations Educational, Scientific and Cultural Organization (UNESCO) as its 191st member.",0
"58","At the 5659th meeting of the Security Council, held on April 12, 2007, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:",1
"59","On November 29, 2014, regime warplanes dropped two barrel bombs on Wahid al-Yousef School in Kafr Sajna village in Idlib, completely destroying the school. Places of worship",1
"60","The embargo includes âarms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned.â",1
"61","Al-Shabaka has not been able to fully document these cases because they are banned and persecuted by regime forces and extremist groups.",1
"62","(b) To resolve all outstanding issues as referred to in paragraph 12 above, and recalls in this regard that the implementation of the identification process simultaneously with the cantonment of forces, as set out in the National Programme for Disarmament, Demobilization, Reintegration and Rehabilitation, signed in Yamoussoukro on 14 May 2005, would expedite the creation of conditions for free, fair, open and transparent elections.",0
"63","I therefore have the honor, on behalf of the East African Community, to communicate this common position and furthermore request that it be brought to the attention of the United Nations Security Council for consideration.",0
"64","Follow-up Committee for the National Symposium on Civil Society",0
"65","Eritrea has been organizing and training various categories of criminal gangsters and terrorists and sending them to Ethiopia to wreak havoc in our country and to destabilize the political stability.",1
"66","The regime arrested about 47 individuals believed to have been forcibly recruited into the regime forces.",1
"67","Deeply concerned about the recurrence in many parts of the world of violence against journalists, media professionals and associated personnel in armed conflicts, in particular deliberate attacks against them in violation of international humanitarian law.",1
"68","iii. return of refugees and displaced persons",0
"69","âAt around 8 a.m. the next day in the valley, I was raped for the first time.",1
"70","16. During the reporting period, on some occasions, UNFICYP faced new restrictions on its freedom of movement in its area of operations that in some cases jeopardized the safety and security of United Nations peacekeepers.",1
"71","As the largest port in the Middle East by far, the UAE's Jebel Ali Port takes maritime security and vulnerability seriously, and has developed advanced systems and infrastructure and processes to assess and respond to risks while ensuring the smooth flow of trade.",1
"72","The perspective of the National Police, as explained to the Committee, was to arrest the petitioners and hand them over to the National Police if they were moving from one place to another, and that no arrests were authorized.",1
"73","In the context of possible sanctions for rape and other acts of sexual violence, the Council invited UN missions and relevant UN bodies to share all relevant information with the Security Council Sanctions Committee.",1
"74",":: Cell phone calls made in the area of the explosion: Cell phone calls made in the area of the explosion",0
"75","الحالة في قبرص (انظر S/11185/Add.28 و 29 و 32 و 34 و 49؛ S/11593/Add.7-10 و 23 و 24 و 49؛ S/11935/Add.23, و 24 و 50؛ S/12269/Add.24 و 35-37 و 50؛ S/12520/Add.23 و 45 و 47 و 49؛ S/13033/Add.23 و 49؛ S/13737/Add.23 و 49؛ S/14326/Add.22 و 50؛ S/14840/Add.24 و 50؛ S/15560/Add.24 و 46 و 50؛ S/16270/Add.17 و 18 و 23 و 49؛ S/16880/Add.23 و 37 و 49؛ S/17725/Add.23 و 49؛ S/18570/Add.23 و 50؛ S/19420/Add.24 و 50؛ S/20370/Add.22 و 49؛ S/21100/Add.10 و 23 و 28 و 49 و 50؛ S/22110/Add.23, 40 و 49 و 51؛ S/23370/Add.14 و 23 و 28 و 34 و 47 و 50؛ S/25070/Add.19 و 21 و 23 و 50؛ S/1994/20/Add.9 و 23 و 29 و 50؛ S/1995/40/Add.24 و 50؛ S/1996/15/Add.25 و 51؛ S/1997/40/Add.25 و 51؛ S/1998/44/Add.26 و 51؛ S/1999/25/Add.25 و 49؛ S/2000/40/Add.23 و 49؛ و S/2001/15/Add.24 و 50؛ و S/2002/30/Add.23 و 39 و 47؛ و S/2003/40/Add.14 و 15 و 23 و 47؛ و S/2004/20/Add.13 و 16 و 17 و 23 و 42؛ و S/2005/15/Add.23؛ وانظر أيضا S/2001/15/Add.49؛ و S/2002/30/Add.22 و 46؛ و S/2003/40/Add.22 و 46؛ و S/2004/20/Add.23 و 40؛ و S/2005/15/Add.22).",0
"76","It has set up military training camps in the greater Mogadishu area, including the Lanta Boro and Hilweyne districts, and has sent weapons obtained at the Bakara arms market to these camps.",1
"77","(p) To cooperate with other relevant Security Council sanctions committees, in particular the Committee established pursuant to resolution 1267 (1999).",0
"78","The Security Council frequently discusses humanitarian issues in conflict-affected countries.",0
"79","- The Russian Federation continues to illegally maintain its military base in Gudauta, which operates without the consent of Georgia and contrary to Russia's international obligations.",1
"80","Al-Qaeda and its affiliates use both military components, when obtainable, and civilian components in the manufacture of IEDs.",1
"81","In resolution 1820 (2008), the Council encouraged the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls from violence, including, in particular, sexual and other forms of gender-based violence, in and around refugee and internally displaced persons camps.",0
"82","Turkey is fully aware of the Syrian government's intentions, which have been put into practice through various methods of aggression and provocation, including targeting innocent civilians across the border.",1
"83","B. Standardization of case studies and pending cases",0
"84","Some reports also suggest that foreigners from Chad, the Libyan Arab Jamahiriya and other countries responded to the call and that the government was more than willing to recruit them.",1
"85","The published figures are unconfirmed, but the committee's evidence suggests that nine people were killed and three injured in the shooting.",1
"86","Letter dated 17 May 2004 from the Permanent Representative of Yemen to the United Nations addressed to the President of the Security Council (S/2004/393).",0
"87","The multispectral camera will also allow it to scan large areas up to tens of kilometers.",0
"88","This is evident in groups fighting in Somalia, Yemen, the Syrian Arab Republic and Nigeria.",1
"89","It was darkened by rust, but after wiping the dark color off and exposing it to air, it turned yellow.",0
"90","We are concerned about the lack of political freedoms there.",0
"91","Another election-related challenge is the large number of potential voters who cannot afford the administrative costs of obtaining a national ID card.",0
"92","Urges the international community to provide support and assistance to enable States to fulfill their responsibilities to protect refugees and other persons protected under international humanitarian law.",0
"93","However, the movement's remaining ability to undermine tangible progress in stabilizing Ituri remains a concern, especially given the Transitional Government's inability so far to bring armed group leaders to justice and prevent their movement in and out of Uganda.",1
"94",":: Establishment of a follow-up, monitoring and prevention agency: Establishment of a follow-up, monitoring and prevention agency in this area.",0
"95","Currently, fewer than 100,000 Liberians are registered in the public and private sectors.",0
"96","6. In paragraph 19 of my report of 30 August 2004 (S/2004/703), I noted that âthe process of disarming members of the Popular Defense Forces has begun, with the second Joint Verification Mission attending a disarmament ceremony for approximately 300 soldiers in Western Darfurâ.",1
"97","But he has made progress in advancing the restructuring and reform of these forces.",0
"98","Where applicable, deductions are made for costs saved as a result of incomplete performance.",0
"99","15. Ismail Mohammed Al-Qa'ad, from Nimr, Daraa",0
"100","(c) Facilitate capacity-building for States in the subregion, in collaboration with ESAAMLG, to establish/strengthen financial intelligence units and develop the necessary legislative and operational capacity to freeze funds without delay.",0
"101","13. Encourages the International Criminal Police Organization (INTERPOL) to intensify its efforts regarding the threat posed by foreign terrorist fighters and to recommend or provide additional resources to support and encourage national, regional and international measures to monitor and prevent the transit of foreign terrorist fighters, such as expanding the use of INTERPOL Special Notices to include foreign terrorist fighters.",0
"102","The Committee is concerned that structural issues, including laws and policies that violate the right to adequate food and freedom from hunger, remain in place, which could lead to a resurgence of mass starvation.",1
"103","20. The planned civil service program, which aims to absorb a total of 20,000 ex-combatants and 20,000 at-risk youth, has yet to be launched.",0
"104","Mr. Mazio does not hold this debt against Commander Jerome, but against the transitional government in Kinshasa.",0
"105","- To contribute, as appropriate, to the efforts of the Ivorian authorities to develop the capacity of their police and gendarmerie, in particular through training on riot control, and by re-establishing their presence throughout [the affected country].",0
"106","85. Since the imposition of the Security Council measures on CÃ´te d'Ivoire, the Government has curtailed purchases of arms and ammunition, owing to an extensive procurement program prior to the embargo as well as the limited use of arms and ammunition during the brief period of violent military conflict in 2004.",1
"107","391. The looting of villages and the seizure of livestock, crops, household goods and other personal property of the population by government forces or militias under their control is undoubtedly a war crime.",1
"108","213. Abdel-Al is also notably linked to a large arms cache discovered in south Beirut in July 2005. The Internal Security Forces raided this arms depot on July 26, 2005 and arrested five people with strong ties to the former Al-Mourabitoun militia.",1
"109","The Republic of Macedonia became a party to the European Convention on Extradition of October 26, 1999.",0
"110","This income appears to have been diverted to personal accounts, as was the entirety of the corporate registry income.",0
"111","153. Hamad Mubarak Salem Al-Hajri",0
"112","The military component continues to operate in extremely difficult conditions in the north.",1
"113","Council members noted that all candidates should make every effort to maintain a calm and peaceful environment, exercise restraint, await results to be announced in accordance with national constitutional procedures, and settle their differences peacefully through established legal and mediation mechanisms, including the National Mediation Committee.",0
"114","Prominent journalists have been detained for expressing their views on issues of human rights, the constitution and the rule of law.",1
"115","The demarcation process is expected to last approximately 96 weeks.",0
"116","Tensions remain high, particularly in north-eastern Katanga, where there have been numerous clashes between FARDC units and Mayi-Mayi militia groups. On 10 and 11 August, FARDC exchanged fire with a Mayi-Mayi group near the Lunga gold mine, some 200 kilometers from Kalemie, and took control of the area.",1
"117","46. The situation in Myanmar (September 15, 2006; July 13, 2009).",0
"118","Contrary to persistent rumors, there is no evidence that police officers, including those supplied with weapons and uniforms by the defense forces, participated in the shootings.",1
"119","The company's shareholders must be publicized.",0
"120","There is information that they had effective overall control over military personnel fighting for the rebel groups and therefore knew, or at least should have known, about some of the crimes committed by those military personnel, but did not take any action to stop the atrocities being committed.",1
"121","15. First, cross-border crime and weak border control can weaken state authority.",1
"122","Suspects are deliberately starved and subjected to other inhumane conditions of detention to increase pressure to confess and incriminate others.",1
"123","On behalf of the Chairperson of the Commission, Nkosazana Dlamini-Zuma, I am transmitting herewith the communiquÃ© adopted by the Peace and Security Council at the conclusion of the meeting (see enclosure).",0
"124","Nonprofits manage large budgets and move money across jurisdictions legally and with great ease, so they can provide a relatively secure global framework within which to operate with minimal risk of detection, and the sheer number of beneficiaries of large nonprofits allows them to move money with little risk, especially where nonprofits have semi-autonomous status that allows them to operate outside of regulators and law enforcement authorities.",1
"125","I was then informed that my father and my younger brother had been killed. Four other people were also killed.",1
"126","The project was part of the larger Abu Ghraib project, which covers an area of 10,000 hectares and is located 30 kilometers northwest of Baghdad.",0
"127","S/RES/1863 (2009), OP2",0
"128","That is why we condemn terrorism.",0
"129","Its role in supporting the efforts of these countries is critical.",0
"130","No significant change is expected in the overall security situation, although a slow and steady increase in crime-related incidents is expected.",1
"131","Disarming militias is therefore a priority, especially during the pre-election campaign phase with its potential for politically motivated violence.",0
"132","Many international leaders, including heads of state, UN representatives, and a majority of Security Council members, have denounced the flotillas that have traveled to Gaza over the past year and emphasized the need to move humanitarian supplies to the region only through existing channels.",0
"133","Acting under Chapter VII of the Charter of the United Nations.",0
"134","Janjaweed militias were named in some of these incidents as contributing to acts of destruction, particularly by harming the civilian population and practicing widespread looting during and after battles.",1
"135","1. The present report covers the review of the Consolidated List conducted by the Committee established pursuant to resolution 1267 (1999) from 30 June 2008 to 31 July 2010.",0
"136","Noting with deep concern the escalation of violence and increased intertribal fighting, as well as continuing manifestations of sexual and gender-based violence and impunity, reiterating its deep concern about attacks against humanitarian personnel, peacekeepers and civilian security, and demanding that all parties in Darfur immediately cease hostilities and cease their continued violent attacks, which are causing a deteriorating situation for humanitarian aid and impeding its access to populations in need.",1
"137","9. Elections are an essential step in the consolidation of democracy, but only a preliminary one.",0
"138","6. Convention for the Suppression of Unlawful Seizure of Aircraft, signed at The Hague on December 16, 1970; ratified by the Czechoslovak Socialist Republic on April 6, 1972; entered into force on May 6, 1972.",1
"139","It directs the Commission to look into the financing of ECOWAS activities with a view to ensuring that institutions are adequately resourced.",0
"140","To be held on Wednesday, June 15, 2011, at 10 a.m.",0
"141","Also, while victims often expressed a lack of trust in the government's ability and willingness to defend them, the police were an exception to this trend.",1
"142","Alternatives",0
"143","There was no military necessity for the destruction and devastation.",1
"144","Impediments to humanitarian access that have the greatest impact on people in need include restrictions on the movement of humanitarian workers or goods (including physical and bureaucratic barriers); lack of mechanisms agreed with parties to the conflict for the delivery of aid during hostilities; interference in humanitarian deliveries, including demands for payment; and violence against humanitarian workers, including physical attacks on humanitarian workers and convoys.",1
"145","(d) Forces démocratiques de libération du Rwanda (FDLR).",0
"146","To be held on Wednesday, November 21, 2012, at 10:00 a.m.",0
"147","Locally manufactured firearms. Molotov cocktails. Rockets made in an improvised manner in metal workshops.",1
"148","But the situation remains precarious for many others, with the risk of ethnically motivated attacks escalating - though not their frequency.",1
"149","A. Recruitment and use of children by armed forces and groups 14. The Nepal Task Force on Children and Armed Conflict, established under the provisions of Security Council resolution 1612 (2005), monitored the recruitment of children by the Maoist army and CPN(M)-affiliated organizations during the post-ceasefire recruitment campaign that culminated in November 2006.",1
"150","Terrorists and their accomplices must not be given the opportunity to exploit legal loopholes to escape the consequences of their actions.",0
"151","We have no electronic means of surveillance and no systematic information at all our entry points.",0
"152","The two-year conflict has exacerbated political differences and deepened the already harsh socio-economic conditions in which the vast majority of the population lives.",1
"153","He expressed the hope that the Council's discussion would raise awareness of future needs and help achieve adequate levels of political, financial, human and logistical support, thereby supporting the common goal of using the peacekeeping tool to promote international peace and security.",0
"154","The final statement issued by the Action Group for Syria",0
"155","Freezing assets would restrict terrorist financiers and limit their access to the formal banking system and their ability to partner with legitimate entities.",1
"156","They attacked and killed 54 people and wounded 24 others, burned houses before retreating, and looted cattle and household property.",1
"157","According to a senior armed forces commander, Border Intelligence soldiers are recruited directly into the army in the same way as regular soldiers.",1
"158","We now have a better understanding of the magnitude of the challenges we could only guess at.",0
"159","27/90/345 - August 1990",0
"160","This regime was amended in resolutions 1333 (2000) and 1390 (2002) to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al-Qaida. Exceptions to the asset freeze and travel ban are available. On 17 June 2011, the Security Council unanimously adopted resolutions 1988 (2011) and 1989 (2011), which split the regime in two, establishing a Committee on Al-Qaida and a Committee on the Taliban.",1
"161","On November 6, 2014, Syrian regime warplanes targeted Mouka town with a missile, killing five people, including a child and two women, as well as damaging residential buildings.",1
"162","There is absolutely no justification for all this.",0
"163","Elders from both tribes, as well as Kenyan authorities, stepped in in mid-August to help resolve the conflict.",0
"164","On November 18, 2014, regime helicopters dropped two barrel bombs on Maar Shamarin, killing six civilians, including four children and two women.",1
"165","51. The success of the transition will be jeopardized if elections are not held in the Democratic Republic of the Congo no later than 30 June 2006.",0
"166","The higher the number of casualties, or the more deadly their attacks, the greater the media coverage is likely to be.",1
"167","These two elements are: First, the criminal act of killing, causing physical and mental harm, and intentionally imposing living conditions that could lead to physical destruction, and second, based on the moral criterion, the existence of a protected group targeted by the perpetrators of the criminal act.",1
"168","Its intent and ability to plan attacks in Algeria and Niger was demonstrated in 2013.",1
"169","Based on the foregoing, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision adopted by the Council of Heads of State of the Commonwealth of Independent States on 19 January 1996 represents a serious threat of destabilization, significantly changes the situation surrounding the conflict and undermines the legal framework, which defines the CIS peace formula for the conflict zone.",0
"170","I urge the Congolese authorities and other stakeholders to take the necessary steps to put an end to these actions, which could undermine the credibility of the elections and increase the risk of violence.",0
"171","Attacks in Afghanistan are increasingly showing the influence of al-Qaeda's methods in Iraq, where suicide bombings are used and beheadings are a common measure, the evidence of which is shown on television.",1
"172","Although the Defense Forces Command emphasizes the importance of the chain of command to consider complaints, there appear to be no established procedures detailing how complaints are formally considered and reviewed.",0
"173","It is not necessary, but it may be important, to prove that the attack was the result of a policy or plan.",1
"174","24. All States in the subregion have a cash-based economy, which increases the risk of terrorist financing occurring through the physical cross-border movement of currency and other nominal financial instruments, and through informal transfers of funds and chattels through alternative remittance systems.",1
"175","The mission has taken the position that it is âout of sight but not out of mind,â ready to intervene if the situation deteriorates, and contingency plans have been put in place to deploy reserves if necessary.",1
"176","2. The situation in Sierra Leone.",0
"177","56. Efforts are being made to revitalize the Mano River Union Secretariat, which is based in Freetown.",0
"178","9. Popularization of the Consolidated List.",0
"179","No polio cases have been recorded in Somalia since March 2007.",0
"180","In order to strengthen UN engagement in this field, the Council should request its main counter-terrorism bodies - CTED and the Analytical Support and Sanctions Monitoring Team - to focus on the threat posed by foreign terrorist fighters, including by assessing national efforts to implement existing international legal obligations to combat this threat.",1
"181","The Export Control Act (2007) regulates the export of equipment, technology, and services based primarily on the Wassenaar Arrangement's list of munitions.",0
"182","The soldiers were about to finish raping the five women when a second group of women who had gone to El Fasher to sell firewood arrived at the same place.",1
"183","29. Meanwhile, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of FDS-CI and to assist in the restoration of civilian policing throughout the country were hampered by the uncooperative attitude of local authorities, the lack of a comprehensive FDS-CI reform plan and the absence of an inter-Ivorian agreement on the deployment of Ivorian police and gendarmerie personnel to the north.",0
"184","50. In one incident in Yopougon at 6.15 a.m., demonstrators attempting to gather in the street received death threats from men in a jeep wearing military uniforms without insignia and speaking English.",1
"185","Moreover, the manner and pattern of overflights prior to the attacks could in no way be construed as warning signals, as they were clearly part of the attack.",1
"186",":: Ibrahim Haji Jama Maiyad ""Al-Afghani"" (also known as Abubakar Al-Zilai), regional governor of Kismayo region",0
"187","The Council also recalls the respective mandates of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) and the United Nations Integrated Peacebuilding Office in the Central African Republic (BINUCA) to cooperate and promptly share information relevant to the regional threat posed by the Lord's Resistance Army (LRA).",0
"188","Even in Afghanistan, although Afghan officials and members of the coalition forces told the Panel that they are convinced that the Taliban benefit from the enormous revenues generated by the narcotics trade, it is difficult to provide concrete evidence of this.",1
"189","123. When militias join the armed forces in attack, they can be said to operate under the effective control of the Government, fully consistent with the concept of control (established in 1999 in TadiÄ (Appeal), paras. 98-145).",1
"190","See also, for example, S/RES/1325 (2000), op. 6; S/RES/1296 (2000), op. 19.",0
"191","The provisions of Article 80 of the Criminal Code are as follows:",0
"192","Office of the Special Representative of the Secretary-General for Children and Armed Conflict",0
"193","- Regarding item 13 on page 2 of the matrix (other conventions/treaties): Viet Nam became a party to the Convention on Early Notification of a Nuclear Accident in October 1987 and the Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency in October 1987.",0
"194","18. The United Nations Global Counter-Terrorism Strategy calls for the promotion of dialogue, tolerance and understanding among civilizations, cultures, peoples and religions and the development of education and public awareness programmes in these fields.",0
"195","For example, Burkina Faso attaches importance to the fight against violent extremism and is working to combat attempts to recruit terrorists.",1
"196","The Team regularly coordinates its travel plans with the Counter-Terrorism Committee Executive Directorate and has organized briefings on its visits to Member States and international organizations for both the Executive Directorate and the experts supporting the 1540 Committee. The Team looks forward to its first joint visit with the Executive Directorate to a Member State in February 2006 and expects that joint visits will become increasingly frequent.",0
"197","(i) Killing by government forces and/or militias",1
"198","Some of these children were recruited into the Maoist army in violation of the Comprehensive Peace Agreement, while others were recruited into CPN (Maoist) affiliated organizations. Approximately 30 per cent of these children were released after a few days with CPN (Maoist), and approximately 20 per cent were later found to be in Maoist army cantonment sites.",1
"199","10. The measures taken by States cover prohibited activities by non-State actors as set out in paragraph 2 of resolution 1540 (2004) with respect to nuclear, chemical and biological weapons and their means of delivery, and controls over related materials, in accordance with paragraph 3 of the resolution.",1
"200","âThe Security Council recalls its resolutions on Osama bin Laden and its condemnation of the Al-Qaida network and other associated terrorist organizations for the multiple criminal acts of terrorism aimed at killing many innocent civilians and destroying property.",1
"201","She detailed the violations and abuses committed against children in Yemen.",1
"202","UNAMA will not be able to fulfill its role unless significant additional resources are provided.",0
"203","Mohammed Ghazai Saad Ali Almutairi",0
"204","This program was relaunched as the IGAD Security Sector Program in October 2011 and is envisioned to play a more active role in this area, including through conferences on de-radicalization and community engagement in counter-terrorism.",0
"205","The failure of Ayman Muhammad Rabi al-Zawahiri to mediate the internal conflict between al-Qaeda and Jabhat al-Nusra (an al-Qaeda affiliate in Iraq), as well as the ongoing infighting within al-Shabaab, demonstrates Zawahiri's limited authority.",1
"206","Recognizing the valuable contribution of the Special Representative of the Secretary-General for Children and Armed Conflict and the Security Council Working Group on Children and Armed Conflict, including its conclusions and recommendations issued in line with resolution 1612 (2005), and recalling resolution 1882 (2009) aimed at strengthening the protection of children in situations of armed conflict.",0
"207","There is agreement that MONUC should be strengthened to its authorized strength as soon as possible to effectively perform its mandated tasks.",1
"208","- On September 19, after a vehicle hit a mine in Aguelhok, six wounded members of the Chadian battalion were evacuated by helicopter and transported to the Chinese Level II medical care facility in Gao.",1
"209","Compliance with paragraph 6 of resolution 1903 (2009)",0
"210","Recruits are then placed under the command of the regular army, usually wearing the same uniform as the unit they are fighting with.",1
"211","More violence occurred in the Komoro market, one civilian was killed, eight people were shot, and four others were seriously injured.",1
"212","For these arrangements, see paragraphs 95 to 102 below.",0
