"","ar_en_DEEPL","VerCoop"
"18","10. Expresses its readiness to respond to situations of armed conflict in which civilians are targeted or humanitarian assistance to civilians is deliberately disrupted, including by considering appropriate measures at the disposal of the Council in accordance with the Charter of the United Nations, and notes in this regard the relevant recommendations contained in the report of the Secretary-General.",1
"19","The centralized location database has been established and data is currently being recorded there.",0
"20","The Defense Forces kept some records of the weapons distributed to 206 civilians in this way.",0
"21","âThe Security Council recognizes the need to regularly monitor and report on progress in the protection of civilians in armed conflict.",1
"22","On February 1, 1999, the new Prime Minister received the confidence of the National Assembly.",0
"23","Governments of Sweden and the United States",0
"24","Reaffirms that all parties to the conflict are obliged to comply with their obligations under international humanitarian law, in particular the Geneva Conventions of 12 August 1949, and that persons who commit or order the commission of grave breaches of the Conventions are individually responsible for such breaches.",1
"25","The team first estimated the profits the company would have made in a no-invasion scenario.",0
"26","INTERPOL commented that the more information contained in the Special Notices, including fingerprints, photos and passport numbers in restricted formats available only to the law enforcement agencies of its member countries, the more useful they will be and the less likely incidents such as the above will occur. INTERPOL also offered to provide guidance to its members on the scope of the sanctions regime. In addition, it proposed the creation of a permanent information point at the United Nations to answer questions and ensure the timely provision of additional relevant information on listed individuals when made available by Member States.",1
"27","United Kingdom of Great Britain and Northern Ireland",0
"28","In order to facilitate the Council's deliberations on the establishment, change or termination of peacekeeping operations and to facilitate due consideration, as appropriate, of issues relating to the protection of civilians, Council members suggested that a note containing a list of issues of importance in this regard be drafted in close cooperation with the Council.",1
"29","7. Requests the Executive Representative of the Secretary-General to facilitate and encourage dialogue among national and international stakeholders, particularly in the context of the upcoming elections, while continuing to support their efforts to maintain peace and stability.",1
"30","A military advisor from the Department of Peacekeeping Operations responded to questions posed by Council members.",1
"31","Accordingly, the guidelines were forwarded to the International Labor Organization (ILO) for review and possible action.",1
"32","The workshop was an important opportunity to explore ways to further facilitate the implementation of the resolution, including aspects related to the submission of reports by all States and fuller implementation.",1
"33","âThe Security Council expresses its deep concern that the continued instability and security vacuum in the Central African Republic continues to negatively affect operations against the LRA and contributes to the strengthening of the LRA's position in the country.",0
"34","78. On 12 and 13 February, UNSOM, together with UNSOA, UNDP and the United Nations Office to the African Union, organized a retreat with the African Union and AMISOM near Addis Ababa.",0
"35","In that context, we remain concerned about the most vulnerable in Timor-Leste: The poor and homeless.",0
"36","The Council invites UN Women to contribute regularly to the Council's work on women, peace and security, and notes the valuable role that UN Women will play in supporting women's role in peacebuilding and preventing sexual violence in conflict, including through the coordination and coherence of policies and programs on women and girls.",1
"37","While 97 percent of households receive their food basket on time in the south and center, only 77 percent of households in the north receive their food basket on time.",0
"38","Council members also look forward to receiving the list of sanctions violators that the Monitoring Team is expected to present in its final report.",1
"39","âThe Security Council reiterates its call upon States to become parties as soon as possible to all relevant international conventions and protocols relating to terrorism and to implement those to which they are parties.",1
"40","However, I regret the cancellation of the seminar in Madeira, Portugal, and urge the parties to continue to explore ways to expand the CBM program.",1
"41","This sets the conditions for a successful country-wide collection of heavy weapons, which currently stands at 94 percent.",0
"42","See also, for example, S/RES/1769 (2007), op.15; see also, for example, S/RES/1769 (2007), op.15; S/RES/1756 (2007), op.2; S/RES/1701 (2006), op.12; S/RES/1590 (2005), op.16; S/RES/1565 (2004), op.4 and op.5 op.5; S/RES/1542 (2004), op.9; S/RES/1528 (2004), op.6; S/RES/1509 (2003), op.3(k); S/RES/1502 (2003), op.5(a); S/RES/1492 (2003), op.25; S/RES/1289 (2000), op.12; S/RES/1270 (1999), op.14.",0
"43","They called for the UN to take firmer action on factors leading to terrorism in general, such as Islamophobia.",1
"44","The Committee will continue to focus on monitoring and encouraging Member States' implementation of resolution 1373 (2001) and on practical measures to enhance States' counter-terrorism capacity, including measures aimed at facilitating technical assistance.",1
"45","36. Djibouti and Eritrea maintained generally good bilateral relations until June 2008.",0
"46","2. The situation in the Middle East.",0
"47","Other than the regular meetings of the Council of Arab Interior Ministers, information on the status of implementation is not regularly or institutionally shared at the sub-regional level.",1
"48","Calls upon States that have not yet done so to consider ratifying the principal instruments of international humanitarian, human rights and refugee law and to take the necessary legislative, judicial and administrative measures for their domestic implementation, drawing, as appropriate, on the technical assistance provided by relevant international organizations, including the International Committee of the Red Cross and United Nations bodies.",1
"49","Nothing is more urgent in Sierra Leone than maintaining peace, security and stability in the country.",1
"50","38. The Team recommends that the Security Council and the Committee encourage States to designate or establish national mechanisms to identify and target individuals and entities for inclusion on the Consolidated List based on clearly identifiable legal authority distinct from the criminal process.",1
"51","Sudan does not target the United Nations as it is a genuine member of the United Nations, committed to the provisions of its Charter and appreciates its efforts to achieve security, stability and development in Sudan, but rather strives to develop this relationship in accordance with the provisions of the UN Charter and the relevant General Assembly and Security Council resolutions.",1
"52","The main elements of his statement as well as the exchange of views among the members of the Working Group are reflected in the summary contained in the relevant conclusions (S/AC.51/2013/3).",1
"53","Since then, the government has repeatedly expressed a preference for direct bilateral support to build the capacity of its security forces.",1
"54","88. In his letter inviting non-permanent members to participate in the wrap-up session, the President of the Security Council encouraged all speakers to make frank and focused assessments of the role of the Council in addressing any or all of the above-mentioned themes to serve as guiding tools for the future work of the Council.",1
"55","Welcoming the establishment of the Office of the Ombudsperson pursuant to resolution 1904 (2009) and the strengthening of the mandate of the Ombudsperson in resolutions 1989 (2011) and 2083 (2012), noting the essential contribution of the Office of the Ombudsperson to providing additional integrity and transparency, and recalling the Security Council's firm commitment to ensure that the Office of the Ombudsperson can continue to play its role effectively in accordance with its mandate.",1
"56","President's visit to the Eritrea-Ethiopia Mission Area",0
"57","âThe Security Council urges Member States to improve bilateral, international, regional and sub-regional cooperation and prevent the travel of foreign terrorist fighters from or through their territories, including by increasing information sharing to identify foreign terrorist fighters, understanding their travel patterns, and sharing practices in evidence-based traveler risk assessment and border screening, noting the need to address the challenges posed by the evasive travel routes used by foreign terrorist fighters.",1
"58","32. The Mission continued its work to raise awareness among staff on the United Nations regulations and rules on the prevention of sexual exploitation and abuse.",1
"59","Authorities regularly patrol the waters of the harbors to prevent unauthorized boarding.",0
"60","âThe Security Council reaffirms the need to combat all forms of terrorism and that no act of terrorism can reverse the path towards peace, democracy and reconstruction in Iraq, which is supported by the Government and people of Iraq and the international community.",1
"61","One country cited a wide-ranging counter-radicalization plan, adopted in 2006, that aims to combat radicalization while also protecting democratic values.",1
"62","We now have a better understanding of the magnitude of the challenges we could only guess at.",0
"63","At its 6863rd meeting, held in private on November 14, 2012, the Security Council considered the item entitled ""The situation in the Middle East, including the Palestinian question"".",0
"64","Here I would like to share with your Council our position on this issue.",0
"65","In terms of medical equipment, GVU observations revealed chronic shortages of pediatric incubators, dialysis machines, ultrasound equipment, X-ray equipment, electrocardiograms, general laboratory equipment and patient monitors.",0
"66","In Samara camp, pre-registration is scheduled to begin in the third week of May 1998.",0
"67","Concerns expressed by the group included the challenge posed by the al-Qaeda insurgency, the use of the Internet by terrorists, the glorification of terrorism through the media, the indeterminate nature of sanctions, the need to support rehabilitation programs, and the sharing of technical and operational intelligence.",0
"68","29. It was recognized that, as part of its activities, the Committee should continue to raise awareness about multilateral treaties whose objective is to prevent the proliferation or eliminate weapons of mass destruction so as to contribute to their universalization.",1
"69","Promoting and strengthening the rule of law in the maintenance of international peace and security",0
"70","The Under-Secretary-General also reported that violence and human rights violations continue on a daily basis. They include the use of torture, murder, rape and enslavement by ISIL, the punishment of civilians by opposition groups, including those designated as terrorist organizations, attacks on civilian services, and aerial attacks by the Government, including barrel bombs, on civilian areas, camps for internally displaced persons and civilian installations.",0
"71","The Council also decided that the overall force levels of the Mission would consist of up to 2,370 personnel and a police component of up to 2,601 personnel, the force levels recommended by the Secretary-General; and invited the Secretary-General to ensure that the force levels of the Mission in the country remained at approximately the levels then in place until his next report to the Council, and to notify in that report any major changes in the situation.",1
"72","77. This section briefly describes the various groups that are active in the ongoing armed conflict in Darfur.",1
"73","36. The Committee continued to consider a media outreach strategy, based on a non-paper prepared by Committee experts. The purpose of the strategy is to systematically and efficiently leverage the resources of the United Nations and the Committee to reach a wider and specific audience, including through the development of specialized contact lists to communicate electronically important updates by the Committee.",0
"74","Other than these operational matters, the Ombudsman treats submissions confidentially as a matter of policy.",1
"75","The parties informed the mission that they were convinced that the Ouagadougou Agreement had ended the armed conflict and that the ongoing political crisis could only be resolved through the holding of elections.",1
"76","4. Requests the Executive Director to submit, within 30 days of taking office, and after consultation with the Secretary-General and his staff, an organizational plan to the Plenary for approval, which shall be consistent with the report of the Commission (S/2004/124) and with the rules and regulations of the United Nations, including its structure, staffing requirements and budgetary requirements with the report of the Commission (S/2004/124) and with the rules and regulations of the United Nations, including its structure, staffing requirements, budgetary requirements, management guidelines and procedures for appointment procedures, recognizing in particular the need for an effective and cooperative management structure for the new body, and a staff of appropriately qualified and experienced personnel, who shall be from the international civil service subject to Article 100 of the Charter, ensuring the highest standards of efficiency, competence and integrity, and giving due regard to the importance of recruiting staff on as wide a geographical basis as possible.",1
"77","In addition, on June 25, the Council of Elders presented the Transitional Government with a roadmap outlining priorities for the successful continuation of the transition process, namely: Public Security, Justice, Elections, Political Governance, and Economic Measures.",1
"78","The Security Council frequently discusses humanitarian issues in conflict-affected countries.",1
"79","Some of these children were recruited into the Maoist army in violation of the Comprehensive Peace Agreement, while others were recruited into CPN (Maoist) affiliated organizations. Approximately 30 per cent of these children were released after a few days with CPN (Maoist), and approximately 20 per cent were later found to be in Maoist army cantonment sites.",0
"80","As of the end of this reporting period, a total of 37% of the DF effluent delivered by the MV Cape Ray on August 30 and 31, 2014 had already been destroyed.",0
"81","To be held on Wednesday, December 19, 2012, at 15:15",0
"82","In response to the events in the Syrian Arab Republic, including the report received by the United Nations High Commissioner for Human Rights, the Under-Secretary-General welcomed the Human Rights Council's recent decision to establish an international commission of inquiry.",1
"83","Cost is defined as the nominal value plus any unamortized premium or minus any unamortized discount.",0
"84","(a) Appointment of UTO personalities to positions at all levels of the executive branch - end of September.",0
"85","However, there was a clear decrease in stunted growth or chronic malnutrition (20.4 percent vs. 26.7 percent).",0
"86","Calls upon parties to armed conflict to make and implement specific time-bound commitments to combat sexual violence, including, inter alia, issuing clear orders across chains of command prohibiting sexual violence and stipulating the prohibition of sexual violence in codes of conduct and military field operations manuals or equivalent, and to make and implement specific commitments to investigate alleged abuses in a timely manner to hold perpetrators accountable.",1
"87","Florence Rita Aryeh until December 31, 2010 Emil Francis Short until December 31, 2010",0
"88","S/AC.29/2004/(3)/6",0
"89","51. The success of the transition will be jeopardized if elections are not held in the Democratic Republic of the Congo no later than 30 June 2006.",0
"90","Noting recent developments and initiatives at the international, regional and subregional levels to prevent and suppress international terrorism, and recognizing the work of the Global Counterterrorism Forum, in particular its recent adoption of a comprehensive set of good practices to address the phenomenon of foreign terrorist fighters and its publication of several other framework documents and good practices, including in the areas of countering violent extremism, criminal justice, prisons, kidnapping for ransom, support for victims of terrorism and community policing, to assist interested States in practical application",0
"91","Reaffirming also the imperative to combat terrorism in all its forms and manifestations and by all means, in accordance with the Charter of the United Nations, and emphasizing also that States must ensure that any measures taken to combat terrorism comply with all their obligations under international law and adopt such measures in accordance with international law, in particular international human rights law, refugee law and humanitarian law.",1
"92","Total cash resources (cash and term deposits and cash pool) amounted to $955.90 million as at 31 December 2009, compared with $1.04 billion as at 31 December 2007, a decrease of 8 per cent.",0
"93","UNRWA also delivered 3,000 polio vaccines for use inside Yarmouk.",0
"94","123. When militias join the armed forces in attack, they can be said to operate under the effective control of the Government, fully consistent with the concept of control (established in 1999 in TadiÄ (Appeal), paras. 98-145).",0
"95","V. Humanitarian situation, recovery and return",0
"96","(Maintenance equipment and stores - USD 703,572",0
"97","(f) To cooperate with other relevant Security Council sanctions committees and the Committee established pursuant to paragraph 6 of its resolution 1373 (2001).",1
"98","The Committee seeks to ensure that the Consolidated List is dynamic and responsive to the changing threat of Al-Qaida and the Taliban.",1
"99","In some recent cases, such as those in CÃ´te d'Ivoire and Libya, the Council welcomed the commissions of inquiry established by the Human Rights Council. This has shown how closely linked concrete actions to promote peace and security are to the protection of human rights.",1
"100","8. The Commission shall commence its activities on a date to be determined by the Secretary-General, which will be formally communicated to the Government of Pakistan.",1
"101","::: Some Security Council members called on Member States that have not yet done so to accede to the counter-terrorism conventions and protocols negotiated under the auspices of the United Nations.",1
"102","25. Reiterates its invitation to the Secretary-General to continue to transmit relevant information and analysis on the protection of civilians to the Council, if he considers that such information or analysis may contribute to the resolution of matters of which it is seized; requests him to continue to include, as appropriate, observations relating to the protection of civilians in armed conflict in his written reports to the Council on matters of which it is seized, and encourages him to continue consultations and to take concrete steps to enhance United Nations capacity in this regard.",1
"103","19. Hexa-aza-iso-wortzatin (CAS 135285-90-4) (CL-20 or HNIW); and CL-20 clarates.",0
"104","One of the strikes targeted Kansafra hospital, destroying its infrastructure and equipment.",0
"105","All provinces and the autonomous city of Buenos Aires became parties to Law 24059.",0
"106","Head office and branch office expenses",0
"107","Expressing its deep solidarity with victims of terrorism and their families, stressing the importance of assisting and supporting victims of terrorism and their families to cope with bereavement and grief, recognizing the important role that networks of victims and survivors play in the fight against terrorism, including by courageously speaking out against violent and extremist ideologies, and in this regard welcoming and encouraging efforts and activities in this field by Member States and the United Nations system, including the Counter-Terrorism Implementation Task Force, in this regard.",1
"108","Calling for a deeper analysis of the common goals of the human rights, development and security communities, the UN system and Member States, the High Commissioner emphasized that human rights violations are often the root cause of armed conflicts, as was the case in Somalia and Bosnia and Herzegovina.",1
"109","37. As part of the Division's efforts to recruit well-qualified experts to serve on sanctions monitoring groups and panels, as is the case every year, a note verbale was sent to all Member States in December requesting them to nominate qualified candidates for inclusion on the Division's roster of experts.",1
"110","The verdict is expected in December 2010.",0
"111","We strongly condemn the criminal attacks that the terrorist group Boko Haram continues to carry out in northern Nigeria and in neighboring countries.",0
"112","13. The Committee reaffirms that States must ensure that any measures taken to combat terrorism comply with all their obligations under international law and that such measures are adopted in accordance with such law, in particular human rights, refugee and humanitarian law.",1
"113","23. Since his arrival in Nairobi on 27 May 2005, my Special Representative has tried to impress upon subregional and other leaders the need for a coordinated approach to the Somali leaders, urging them to engage in dialogue and refrain from military action to resolve differences within the framework of the transitional federal institutions. On 10 June, he met in Kampala with President Yoweri Museveni of Uganda and on 29 June held talks with President Ismail Omar Guelleh of Djibouti and the Secretary-General of the Intergovernmental Authority on Development (IGAD) in Djibouti.",1
"114","Investment in the public sector fell by more than 50 percent in 2005.",0
"115","During the meeting, the two sides engaged in a broad exchange of views on the implementation of the two Security Council resolutions and on the exercise of the principle of self-determination.",1
"116","In this regard, an understanding was reached with both parties on the possibility of reviewing military agreements to better respond to what is happening on the ground.",1
"117","âIn this regard, the Security Council welcomes the news on 1 May 2011 that Osama bin Laden will never again be able to commit such terrorist acts, and reaffirms that terrorism cannot and should not be associated with any religion, nationality, civilization or group.",1
"118","âThe Security Council reiterates its call upon all parties to any armed conflict, including non-State parties, to comply fully with the provisions of the Charter of the United Nations and the rules and principles of international law, in particular international humanitarian, human rights and refugee law, where applicable, and to implement fully the relevant Security Council resolutions.",1
"119","5. Emphasizes that the requirements of paragraph 1 (a) above apply to financial and economic resources in all its forms, including, but not limited to, those used to provide Internet publishing or related services in support of those on this List, as well as other individuals, groups, undertakings and entities associated with the Taliban in threatening the peace, stability and security of Afghanistan.",1
"120","(r) To gather information, assess, monitor, report and make recommendations on the implementation of the measures, including the measures set forth in paragraph 1 (a) of this resolution regarding preventing the criminal exploitation of the Internet by Al-Qaida and other individuals, groups, undertakings and entities associated with it; to conduct case studies, as appropriate; and to conduct in-depth research on any other relevant issues, as directed by the Committee.",0
"121","54. âLike-mindedâ States have suggested that the Committee change its decision-making procedures to allow for a majority vote, rather than consensus, when considering de-listing following the review period, which they propose to reduce to two years.",1
"122","48. The Joint Human Rights Office continued to support the establishment and operation of sexual violence legal clinics run by local non-governmental organizations, nine of which have been operational since January. On 21 March, the Joint Human Rights Office and MONUSCO police forces, in partnership with the European Union Police Mission in Kinshasa, began a two-month training of trainers in Bas-Congo on sexual violence investigation techniques for 50 judicial police officers.",0
"123","âThe Security Council welcomes the steps taken by national, international and âmixedâ criminal courts and tribunals against persons alleged to have committed grave violations against children in situations of armed conflict, in violation of applicable international law.",1
"124","Law on the Safe Transportation of Dangerous Goods No. 29 (I)/2004",0
"125","2. Emphasizes the importance of UNODC implementing the objectives outlined in the Joint Vision in collaboration with the United Nations country team, in accordance with their respective mandates, including a focus on:",0
"126","Mr. Sidiku stressed that even though Al-Shabaab has suffered military defeats, it still retains large numbers of fighters and equipment, especially in rural areas, which he said may be designed to sustain prolonged and asymmetrical fighting.",0
"127","(e) Experts have been appointed to assist the Committee.",0
"128","It is absolutely essential to avoid any actions, activities or statements that could undermine or hinder peace efforts.",0
"129","We were even prevented from condemning the violence and endorsing a peace plan developed by Syria's neighbors.",0
"130","The Security Council reiterates the need for all relevant parties, including governments and donors, to place a stronger focus on the long-term effects of armed conflict on children and the obstacles to their full rehabilitation and reintegration into their families and communities by, inter alia, addressing the need for adequate health care, encouraging their exchange of information on programs and best practices, and ensuring adequate resources, funding and technical assistance to support national strategies or action plans for child protection and well-being, as well as local programs, taking into account the âParis Principlesâ.",1
"131","Emphasizing its support for multilateral treaties aimed at eliminating or preventing the proliferation of nuclear, chemical or biological weapons, and the importance of their full implementation by all States parties to such treaties in order to promote international stability.",1
"132","16. Expresses its deep solidarity with victims of terrorism and their families, and encourages CTED to bear in mind the important role that networks of victims and survivors can play in the fight against terrorism, in close cooperation with the Counter-Terrorism Implementation Task Force and its relevant working groups.",1
"133","Commending and reiterating its full support for the efforts of the United Nations-African Union Hybrid Operation in Darfur (UNAMID), the Joint African Union-United Nations Chief Mediator, the United Nations Secretary-General, the League of Arab States, the African Union High-level Implementation Panel for Sudan, and regional leaders, and expressing its strong support for those efforts to promote peace and stability in Darfur and for the ongoing political process under the African Union-United Nations-led mediation.",1
"134","11. Requests the Secretary-General to include in his next report a comprehensive assessment of the Mission's disarmament, demobilization and reintegration and disarmament, demobilization, resettlement and repatriation programmes and, in close coordination with his Special Envoy for the Great Lakes Region, to make recommendations on adjustments that may be needed to increase their effectiveness, resources and coordination with the military component of the Mission.",1
"135","âThe Security Council welcomes General Assembly resolution 64/289 establishing a United Nations entity on gender equality and the empowerment of women (UN Women), which will become fully operational in January 2011.",1
"136","Information on Morocco's demining operations is shared on an ongoing basis with the Mine Action Coordination Center (MACC).",1
"137","They also reiterated their call for all Afghan parties to work together for peace and the establishment of a broad-based, multi-ethnic and representative government.",1
"138","They point out that Ethiopia's failure to allow full demarcation to proceed, as well as the continued and increasing restrictions on UNMEE's work, raise serious questions about the viability of the Mission.",0
"139","(a) To distinguish between combatants and civilians, and to protect civilians from acts of violence, in particular attacks on life and physical integrity, especially murder (this rule has been reaffirmed in some of the agreements concluded by the Government of the Sudan with the rebels).",1
"140","She said the partnership aims to develop a strategy to mainstream child protection into AU activities and institutionalize child protection policies and procedures in accordance with regional and international standards.",1
"141","The network also aims to encourage policy contributions at national and European levels, including the implementation of the 2005 EU Strategy for Countering Radicalization and Terrorist Recruitment.",1
"142","16. On 1 December, in accordance with paragraph (p) of the annex to resolution 2160 (2014), the Monitoring Team provided the Committee with a special written report, in consultation with the Government of Afghanistan, the United Nations Office on Drugs and Crime and United Nations sanctions expert groups, as appropriate, on specific cases of cooperation between organized crime syndicates, in particular in particular hostage-taking for ransom, drug production and trafficking groups, as well as groups illegally exploiting natural resources in Afghanistan, including precious and semi-precious stones, and individuals, groups, undertakings and entities that meet the criteria for listing under paragraph 1 of resolution 2160 (2014).",1
"143","Repeated criticisms of the system's fairness and transparency need to be addressed so that the Commission can more fully focus its attention on countering the threat posed by al-Qaeda and the Taliban.",0
"144","Since the first payment was made in July 2010, no further payments have been made, although two further payments were originally expected in December 2010 and March 2011.",0
"145","September 18, 1998 Resolution 1197 (1998)",0
"146","The socio-economic challenges facing Afghanistan are significant.",0
"147","I ask the international community, especially neighboring countries and members of the Group of Friends, to support this endeavor.",0
"148","I therefore call on all stakeholders to ensure that the 2 January 2015 deadline for the completion of the voluntary disarmament of the FDLR remains binding and non-negotiable.",1
"149","It also continued to encourage the Monitoring Team to further improve its role in the process of enhancing the capacity of Member States to fully implement the Security Council sanctions regime against Al-Qaida and the Taliban and associated individuals and entities. In this regard, the Committee encouraged cooperation between the Monitoring Team and the Directorate General of the Committee established pursuant to resolution 1373 (2001) (2001), which is tasked with achieving systems integration in capacity-building initiatives within the framework of Security Council sanctions.",1
"150","S/2004/396 and Corr.1 and 2",0
"151","Support should be conditioned on progress made by the Congolese authorities towards establishing a functioning supply chain within the FARDC. This should be accompanied by efforts to strengthen the accountability of the armed forces and their respect for human rights.",1
"152","At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), by which it authorized, inter alia, the extension of the mandate of UNMOP until 15 January 2001 to continue monitoring the demilitarization of the peninsula.",0
"153","12. The Minister of Justice noted the progress in the reform of the judiciary, including progress towards the establishment of the Constitutional Court, the Court of Cassation and the Council of State as envisaged in the Constitution, and emphasized the importance of establishing courts in each of the 145 regions in order to effectively restore State authority and adjudicate disputes at the local level.",0
"154","Liechtenstein July 21, 2005 S/AC.47/2005/12",0
"155","Decides hereby to establish an international tribunal for the sole purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [the State concerned] between [two dates] ...",1
"156","Another state emphasized the importance of a community-based approach, noting that informed families, communities, and local institutions are the most effective defenses against violent extremist ideologies.",1
"157","The forces comprising the multinational force will remain committed to operating in accordance with their obligations under international law, including the law of armed conflict.",1
"158","69. The Group examined the landing of an AN-124 aircraft carrying 392 tons of cargo from Belarus on 16 October 2004, shortly before the embargo. The aircraft continued on to LomÃ©, Togo, and the flight was associated with Darkwood (see the first case study below).",0
"159","Many international leaders, including heads of state, UN representatives, and a majority of Security Council members, have denounced the flotillas that have traveled to Gaza over the past year and emphasized the need to move humanitarian supplies to the region only through existing channels.",1
"160","At the same meeting, pursuant to paragraph 41 of resolution 2093 (2013), the Coordinator of the Monitoring Group on Somalia and Eritrea presented the Group's assessment of the progress made by the Federal Government of Somalia in establishing the logistical infrastructure for weapons management and arms control procedures.",1
"161","4. Calls upon all States not parties to the Treaty on the Non-Proliferation of Nuclear Weapons to accede to the Treaty as non-nuclear-weapon States, with a view to achieving the universality of the Treaty at an early date, and, pending their accession, to abide by its provisions.",1
"162","I am deeply grateful to my Acting Special Representative, David Gressley, and my Deputy Special Representative, Arnold Akodjenou, as well as to all United Nations civilian and uniformed personnel for their continued hard work in very difficult circumstances to restore lasting peace and stability in the country.",1
"163","The looting mainly affected African tribes, targeting property essential to their survival and livelihoods.",0
"164","92. Given its importance for the future of Libya, the constitutional process has rightly received the attention of Libyans and the international community alike.",0
"165","The containers were loaded with large quantities of bagged rice grains.",0
"166","578. One obvious disadvantage of establishing a special tribunal for crimes committed in Darfur is the financial implications.",0
"167","92. The commission of inquiry recommends that the two States and civil society organizations encourage opportunities for people-to-people dialogue and communication in the areas of culture, labour, sports, good governance and economic development that provide opportunities for citizens of the Democratic People's Republic of Korea to exchange information and learn about the experiences of other countries.",1
"168","The three countries noted their efforts to strengthen various counter-terrorism laws in line with UN resolutions, but lack of capacity hinders effective implementation.",1
"169","However, the only thing the participants agreed on was that the topic of weapons would not be discussed.",1
"170","Below, the Panel presents three case studies on air power, military vehicles, mercenaries and mechanics for the Committee to examine and reach a timely decision as to whether they constitute a violation of the embargo.",1
"171","38. Encourages all Member States, in particular designating States and States of residence or citizenship, to submit to the Committee additional identifying and other information with supporting documentation on listed individuals, groups, undertakings and entities and other information, including updates on the operational status of listed entities, groups and undertakings, the movement, incarceration or death of listed individuals and other relevant facts, as such information becomes available.",1
"172","48. The situation in Chad, the Central African Republic and the subregion (August 27, 2007; December 20, 2010).",0
"173","Emphasizing that the comprehensive and coordinated return of refugees and displaced persons throughout the region remains critical to the achievement of lasting peace.",1
"174","The Special Representative emphasized the importance of political progress, particularly in the state-building process, and welcomed the ongoing reconciliation process and the establishment of interim administrations.",1
"175","10. Security Council resolution 1373 (2001) remains highly relevant as a topical issue and a key United Nations document in the field of counter-terrorism.",1
"176","After visiting Angola and the Democratic Republic of Congo, Margot WallstrÃ¶m, my Special Representative on Sexual Violence in Conflict, issued a statement on March 16 calling on both countries to investigate allegations of abuses of sexual violence that occurred in the context of expulsions and take concrete action to prevent such crimes.",1
"177","ii. legal framework 61 - 52 31",0
"178","(b) Encourage States to adopt practical measures and national strategies to suppress the recruitment activities of terrorist groups, while complying with relevant human rights obligations.",1
"179","The competent authorities have requested that the deadline for formal amendment requests from the Government of Iraq, October 31, 2005, be changed to December 31, 2005, in order to take full account of communication difficulties between the competent authorities and suppliers regarding the extension of shipping time and the validity of letters of credit.",1
"180","There is currently no information on the child's whereabouts.",0
"181","Source: Photos obtained by the Panel of Experts.",0
"182","62. With regard to matrix-related tasks, the Commission's agreement on a new format was an important step forward.",1
"183","During this period, the Commission's support base was strengthened and new software was installed, making the database more efficient.",0
