"es_en_DEEP"	"VerConf"
"S/RES/1296 (2000), para. 18"	0
"As a result, all but one outstanding issue has been resolved."	0
"Mr. Koroma was declared the duly elected President of Sierra Leone and was sworn in on the same day."	0
"[C]ontermes strongly the forms of discrimination and violence that persist against women and girls, in particular violence that aims to prevent girls from attending school..."	1
"We have expressed our serious concern about the suffering of Palestinians in the Gaza Strip."	1
"* After the publication of the second part of the provisional voter list on January 17, 2000."	0
"In this context, we reiterate what we have repeatedly stated that the main threat to research is that some parties in our region and elsewhere are taking advantage of it to politicise conclusions that have no relation to research and are not based on solid evidence."	1
"The latest information indicates that 35 internally displaced persons were killed as a result of the violence, 10 were injured and more than 4,000 internally displaced persons and villagers were forced to flee."	0
"b) Facts for which individual responsibility can be attributed"	0
"Notes that the excessive accumulation and destabilizing effect of small arms and light weapons represent a significant obstacle to the delivery of humanitarian assistance and can exacerbate and prolong conflicts, endanger civilians and undermine the security and confidence necessary for the restoration of peace and stability..."	1
":: Maintaining the CIS structure in accordance with the Pretoria Agreement"	0
"The new regulation, in the process of being drafted, in accordance with said Common Position, will prohibit the acquisition of the products and technologies included in its Annex I, which will include the products and technologies mentioned in this section, from Iran, whether said products or technology originate in Iran or not."	0
"If States are unable to implement the decisions taken by the Council under Chapter VII of the Charter of the United Nations without contravening their own laws, the world community will be powerless to implement coordinated measures against threats to international peace and security."	1
"Among these concerns, one must be highlighted: the deterioration of the security situation in recent weeks and months."	1
"Withholding that level of funding would render any government useless, and even more so an authority in occupied territory. If funds are not immediately unlocked, it will jeopardize the achievements of state-building, including greater good governance that would benefit the Palestinian people and the development of security forces that uphold law and order in the West Bank."	1
"Measures that could weaken confidence or damage the outcome of negotiations must be suspended and reversed."	1
"In response to the influenza A (H1N1) pandemic, between mid-2009 and August 2010, the Ministry of Health, with the support of the WHO, developed a pandemic preparedness plan that included, among other things , the improvement of its surveillance systems; obtaining Tamiflu tablets; the installation of an artificial respirator at the National Hospital; and organizing several training sessions for healthcare staff."	0
"I have the honor to transmit herewith the report of the Security Council Committee established pursuant to resolution 1970 (2011) concerning Libya, which summarizes the activities carried out by the Committee in the period from 1 January to December 31, 2014."	0
"d) in sections a), b) and c):"	0
"The Council of the League, meeting at the summit level,"	0
":: The Protection of Information Act 1982 (Act No. 84 of 1982);"	0
"All visas are issued in Vanuatu by the Immigration Department."	0
"Bearing in mind everything said above, we continue to believe that there is no military solution possible; On the contrary, we are convinced that this path is counterproductive."	1
"We challenge anyone who says there is currently an outbreak of violence or battle anywhere in Sudan."	1
"As the United Nations system and its partners transition from humanitarian response to recovery and development activities, a strategy will be developed for the disengagement of the Office for the Coordination of Humanitarian Affairs in the country."	0
":: Bring to justice, under the principle of extradition or prosecution, anyone who finances, plans, supports, facilitates or commits terrorist acts, in accordance with international law, including human rights standards"	1
"It is recommended that the Committee strengthen and, as appropriate, institutionalize its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and, where appropriate, nuclear-free zones. nuclear weapons, which could represent added value in the implementation of resolution 1540 (2004), expanding official and informal working relations with these bodies."	0
"New Zealand Customs and Immigration Services has similar arrangements."	0
"One speaker attributed this to the sense of frustration and distance that many Member States felt towards the work of the Council."	1
"However, it should be noted that while the army was officially to remain a \"third stratum\", with a predominantly defensive role, after the police and gendarmerie, it was widely reported that helicopters, as well as other units, had been mobilised, such as the marines."	0
"The siege must be lifted immediately so that the civilian population in Gaza can have access, essentially, to water, jobs, trade, medical care and education - in short, access to their basic needs."	1
"He also understood that in Serbia the Karadžić trial and the interest it would generate would cause information centers to help the media broadcast and cover the event."	0
"The Council expresses its deep concern that civilians continue to constitute the majority of victims of acts of violence committed by parties to armed conflicts, including as a result of deliberately targeted attacks, the indiscriminate and excessive use of force, the use of civilians as human shields and sexual and gender-based violence, as well as all other acts committed in violation of applicable international law."	1
"Regarding the military aspects of security sector reform, the Government has made clear that it wishes to rely heavily on bilateral aid to increase the capabilities of the military."	1
"In this regard, the Council condemns in the strongest terms the threats and intimidation to which UNMIS elements are continually subjected."	1
"Most governments appear strongly committed to ensuring that law enforcement agencies respect human rights, although in some cases serious concerns have been raised about violations by security forces."	1
"The Committee plays a crucial role in United Nations counter-terrorism efforts by maintaining, updating and improving its Consolidated List of Persons and Entities Associated with Al-Qaida and the Taliban and by effectively monitoring the implementation by Member States of sanctions against the people and entities that appear on the List."	0
"It is part of a mantra constantly repeated before this Council, which by no means turns out to be true, which ignores both Palestinian responsibilities and Israeli rights, and which fails to recognize the enormous difficulties that Israeli forces face in trying to protect their citizens and minimizing the damage to Palestinian lives when the terrorists they face show as little concern for Palestinian lives as they do for Israelis."	1
"This issue has never ceased to concern us."	1
"The Security Council remains seriously concerned about the activities in the Sahel region of terrorist organizations, including Al-Qaida in the Islamic Maghreb and the Movement for Unity and Jihad in West Africa, and reiterates its strong condemnation of the recent attacks terrorists perpetrated in the region."	1
"In the opinion of my delegation, to prevent new outbreaks of violence and instability in the northern region of Kosovo, it remains essential that the reconciliation process is accompanied by policies aimed at guaranteeing the socio-economic stability of the communities in a non-discriminatory manner."	1
"Mr. President, We are disappointed that, despite your efforts and the efforts of many others, the Council was unable to condemn this heinous terrorist attack."	1
"Thus, Andorra's financial system is currently closed."	0
"see S/1998/44/Add.44 and 51; S/1999/25/Add.13; S/2000/40/Add.12 and 47; S/2002/30/Add.27; and S/2003/40/Add.24 and 39)"	0
"Address: Unit Level 10 (B1), Main Office Tower, Financial Park Labuan, Jalan Merdeka, 87000 WP Labuan, Malaysia; Business Registration Number LL06889 (Malaysia)"	0
"As we have always stressed, this position does not imply any type of value judgment on the substance of the issue; It is a determined invitation to give justice and the political process a chance."	0
"United Kingdom of Great Britain and Northern Ireland: draft resolution"	0
"The Russian Federation expresses its deep regret and concern over reports of continued violence in Darfur."	1
"The state of the Blue Nile remains a matter of concern for us."	1
"Notes that civilians constitute the vast majority of internally displaced persons and other vulnerable groups in situations of armed conflict, and are therefore entitled to the protection that must be provided to civilians under existing international humanitarian law."	0
"In 1993, that vision was blurry, to say the least. At that time it was impossible to define the final objectives that would come close to addressing the concerns of both peoples."	1
"Calls upon all stakeholders, including Member States, United Nations entities and financial institutions, to support the development and strengthening of the capacity of national institutions and local civil society networks for advocacy work , protection and rehabilitation of children affected by armed conflict and ensure the viability of local child protection initiatives."	0
"Since June, MINUSMA, in collaboration with national and international organizations, has completed 10 quick-impact projects, including the rehabilitation and equipping of police and gendarmerie stations in the Gao and Timbuktu regions, and the provision of support to women's associations. . On 13 October, MINUSMA and the United Nations Educational, Scientific and Cultural Organization (UNESCO) launched a quick-impact project to rehabilitate four private libraries in Timbuktu, where ancient manuscripts are kept."	0
"A Somali pirate leader, Mohamed Abdi Hassan, nicknamed \"Afweyne\", was arrested in October 2013 in Brussels. Another top pirate boss, Mohamed Garfanji, was arrested in August 2014 in Mogadishu on charges of illegal possession of weapons and other piracy-related charges."	0
"The PNTL's actions were publicly denounced, calling it excessive and disrespectful towards a prominent former resistance fighter."	1
"Furthermore, fears that minority properties would be occupied also increased, as members of a Croatian community in the municipality of Vitina and Roma living in the village of Gnjilane reported that Kosovo Albanians had been examining empty houses and in some cases they had intimidated members of the communities."	1
"I expressed the deep concern of this Council and the Secretary-General at the recent rise in tensions between the north and the south, as well as the continued lack of progress on Abyei and other post-Comprehensive Peace Agreement issues."	1
"The Government has not adopted the necessary legislative and administrative measures to combat and prevent corruption in provisional institutions."	0
"Given this clear threat to international peace and security, we hope that the Security Council will act without the double standards that characterize it on this issue and will urgently and decisively adopt the draft resolution submitted by Algeria on behalf of the countries that make up the Group of Arab States."	1
"This understanding will be approved in the coming months."	0
"However, it is worth noting that without a strong justice and security sector, the flourishing peace and stability in the country could be threatened."	1
"2. Decides that all States shall take the following measures with respect to Osama bin Laden, members of the Al-Qaida organization and the Taliban and other individuals, groups, enterprises and entities associated with them listed on the list prepared pursuant of resolutions 1267 (1999) and 1333 (2000), which will be updated periodically by the Committee established pursuant to resolution 1267 (1999), hereinafter referred to as \"the Committee\":"	0
"It is therefore important that States do not lose sight of this aspect of the embargo, and the Committee may wish to remind them of this in due course, encouraging them to submit the names of those who provide \"technical advice, assistance or training related to military activities\" (resolution 1617 (2005), paragraph (1) c) in violation of the measures, to be included in the list."	1
"In particular, we would like to express our deep concern about the stagnation of the levels of socio-economic development in Haiti and its food security."	1
"The current composition of the expert group is set out in annex I."	0
"The Office of Information and Management will continue to expand and update the Committee's website and increase the number of hyperlinks to the websites of the United Nations and other entities with mandates in the area of ââcounter-terrorism."	0
"The Security Council emphasizes that all civilians affected by armed conflict, including those who suffer losses as a result of acts legitimate under international law, deserve assistance and recognition of their inherent dignity as human beings."	1
"Furthermore, Israel has regularly continued aerial violations of the Blue Line, in direct violation of Security Council resolution 1701 (2006)."	1
"The helicopter arrived in the Mission area on March 31."	0
"2. Payments or aid to third parties"	0
"The district court originally ruled that the state had not proven that Al-Haramain's branch in the Netherlands, separate and distinct from the international organization, had supported terrorism."	1
"These issues must be addressed within the framework of security sector reform."	0
"There was, however, a visible reduction in stunting and chronic malnutrition (20.4% and 26.7%)."	0
"The identity of the author or authors is not known;"	0
"Calling for a deeper analysis of the shared objectives of the human rights, development and security communities, as well as the United Nations system and Member States, the High Commissioner highlighted that violations of Human rights were often a fundamental cause of armed conflicts, as had been the case in Somalia and Bosnia and Herzegovina."	0
"However, despite increased attention to this issue and positive progress, there remain numerous obstacles on the ground to the implementation of mandates, particularly with regard to the continued lack of clarity surrounding the concept and implementation of protection of civilians, internal and external coordination mechanisms, early warning and rapid response systems, support to host government security forces and contingent capacity and resourcing ."	1
"Progress made in eliminating the Syrian chemical weapons program"	0
"The SAT relies heavily on the Plan as evidence of its intention to execute the investment program."	0
"While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side has blamed the other for provoking the incident."	1
"Member States have noted that sites that promote terrorism in one country are invariably located in another."	1
"The Council must demand an immediate cessation of all military operations in Gaza and the withdrawal of Israeli occupation forces from that area."	1
"He also traveled to Algiers and N'Djamena on September 9 and 11, respectively."	0
"However, while recognizing the benefits of such measures for law enforcement, others, such as the Internet Governance Working Group, believe that the implementation of mandatory regulation could infringe fundamental human rights."	1
"In that sense, we want to go further and say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to control the most violent insurgents and to allow the Government to expand its areas of authority as much as possible if peace negotiations fail."	1
"Although the executive board of the Provisional Electoral Council was reestablished on August 9, 2005, the institution continued to have serious structural and operational deficiencies that have cast serious doubts on its ability to fully establish its secretariat or meet deadlines."	0
"In fact, because there is a history of foreign interference in the region, such recommendations will not only be suspect in the eyes of various segments of society, but may also have the capacity to aggravate the problem."	1
"c) Photocopy of the citizenship card and judicial certificate;"	0
"Payment was due three months after the shipping date."	0
"Monthly reports have been sent and high-profile cases have been reported to the Security Council Committee established pursuant to resolution 1572 (2004) on CÃ´te d'Ivoire for action as deemed appropriate."	0
"Reiterating its deep concern that, despite its repeated condemnation of violence against women and children, including all forms of sexual violence in situations of armed conflict, and notwithstanding its calls for all parties to armed conflict to cease such acts with immediate effect, such acts continue to occur and in some situations have become systematic and widespread."	1
"Unfortunately this position has not changed, despite the numerous compromise efforts made by the commission."	1
"Sifa, peasant, from the town of Bulinzi"	0
"The United States urges the United Nations and the Haitian National Police to redouble vetting efforts."	1
"The Security Council reaffirms the principle of non-refoulement of refugees as set out in relevant international law instruments, notes with satisfaction that neighbouring countries of the [affected State] have recently taken steps to support the voluntary repatriation of Afghan refugees in conditions of safety and dignity, and urges those host States to continue to provide international protection to Afghan refugees in need."	0
"Therefore, the Executive Directorate always raises these issues during its country visits, in the videoconference workshops it organizes and in any other contact, and considers it a good investment for the future to intensify collaboration with States in relation to the practical aspects of those approaches."	0
"Mr. Le Luong Minh (Viet Nam): Terrorism is a common concern of all members of the United Nations and the international community at large."	1
"In May 2000, Turabi led a break with the National Congress party, which was the ruling party, and established a new party called the People's Congress."	0
"Drinking water to renew freshwater lenses would be obtained from other sources."	0
"Likewise, when it came to the recipients of reparations, it was important to have a perspective that went beyond individual victims and also take into account the affected communities;"	0
"The Sudanese Penal Code and Criminal Procedure Law do not provide for substantive or procedural provisions that could be applied to the special situation of crimes committed during an armed conflict."	1
":: The prohibition of the use of violence in the form of attacks on life and physical integrity, in particular homicide, mutilation, cruel treatment and torture, forced disappearances, outrages to the dignity of the person, and rape, sexual slavery, forced prostitution, forced pregnancies, forced sterilization and any other form of sexual violence."	1
"a) Refrain from providing any type of support, active or passive, to entities or individuals involved in the commission of acts of terrorism, in particular by repressing the recruitment of members of terrorist groups and ending the supply of weapons to terrorists ;"	1
"It is scheduled to begin supplying electricity in December 2015."	0
"The Council will exercise particular vigilance against those who may seek to impede the transition process, in particular those who may contravene the arms embargo on the Democratic Republic of the Congo or refuse to participate in the disarmament, demobilization and reintegration processes; of disarmament, demobilization, reintegration, repatriation or resettlement, and integration of the armed forces of the Democratic Republic of the Congo."	1
"The Australian Government, which currently chairs the Wassenaar Arrangement, has submitted an initiative to the Association of Southeast Asian Nations (ASEAN) Regional Forum to reduce the threat posed by man-portable air defense systems."	0
"Regarding Crimea, the Assistant Secretary-General informed the Council that, in addition to previous reported human rights violations, there was an increasing number of cases of enforced disappearances, and expressed concern about the abduction of four Crimean Tatars in Crimea during the previous month, one of whom had been found dead."	0
"As the representative of Algeria said earlier, the draft resolution, which has not been adopted, contained a clear condemnation of all terrorist attacks committed against civilians, as well as all acts of violence and destruction."	1
"Mr. Soro said they were surprised that the international community had not foreseen the looming conflict in CÃ´te d'Ivoire, evident since the death of President FÃ©lix HouphouÃ«t-Boigny."	1
"Somali leaders must work toward a political process that is open to all those willing to reject violent opposition."	1
"We condemn terrorism in all its forms and manifestations, because it violates the most fundamental right of human beings: the right to life."	1
"Let's be frank: these accounts from the press, human rights groups and civilians on the ground raise serious concerns about the nature and magnitude of the conflict."	1
"I. GENERAL EXAMINATION OF THE FIRST SERIES OF CLAIMS"	0
"We are seriously concerned that the special processes created for this purpose appear to have failed."	1
"Condemning all attacks against United Nations peacekeepers and humanitarian personnel, regardless of who they are, and emphasizing that those responsible for such attacks must be brought to justice."	1
"The assessment mission report notes that there is increasing concern about the humanitarian and economic effects that the crisis has had on the Sahel region."	1
"Information about the abuse suffered by women included, but was not limited to, rape."	0
"16. The World Program for human rights education from 2005 to 2007;"	0
"The Security Council strongly condemns this attempt to destabilize Lebanese institutions, in particular the Lebanese armed forces."	1
"If missions did not fulfill their responsibilities to protect civilians, this was detrimental to other tasks entrusted to them, not to mention the loss of life and suffering that this caused."	1
"c) $227 million corresponding to recently canceled letters of credit, interest accrued from the investment of funds, and unrealized gains or losses due to fluctuations in the euro against the United States dollar."	0
"d) Issuing the declaration of exceptional risk for the purposes of article 1 c) ii) of the Convention on the Safety of United Nations and Associated Personnel in cases where, in its opinion, the circumstances justify it, and inviting the Secretary General to advise him when, in his opinion, the circumstances justify such a declaration;"	0
"Participants agreed that the presence of Al-Qaida in the Arabian Peninsula in Yemen posed a major challenge to achieving a peaceful transition and stressed the need to secure specific international support for Yemen to combat terrorism. ."	1
"Another State noted that the main responsibility for prevention rested with the national army and its intelligence directorate and that the presence of refugee camps in its territory represented a special problem."	1
"LETTER DATED DECEMBER 9, 1999 ADDRESSED TO THE SECRETARY GENERAL"	0
"Condemns in the strongest terms all sexual and other violence against civilians in armed conflict, in particular against women and children, and commits to ensuring that all possible measures are applied in all peace support operations to prevent such violence and to address its effects when it occurs."	1
"They also promised to verify that all recruits were over 18 years of age."	0
":: Some members of the Security Council urged Member States that had not yet done so to become parties to the conventions and protocols related to the fight against terrorism negotiated under the auspices of the United Nations."	0
"Having determined that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region,"	1
"He has refused to arrest Ali Kushayb and Ahmad Harun."	1
"That was the reason why, as soon as it became aware of the undesirable presence of the Ugandan rebels of the Lord's Resistance Army, the Government of my country did not hesitate for a single moment in issuing them an ultimatum, ordering them to immediately leave the national territory."	1
"He also expressed that the Lebanese Parliament's failure to elect a new President had undermined Lebanon's stability and resilience since the beginning of the conflict in the Syrian Arab Republic."	1
"In any case, the regime continues to encounter obstacles in the courts, although it is true that the Committee has not yet been able to demonstrate the effectiveness of the process adopted by the Ombudsman."	1
"Some States' definitions of terrorism appear ambiguous or overly broad and should be brought into line with international standards."	1
"(Summit Resolution 457/21, approved on March 30, 2009)"	0
"Maternal mortality rate (per 100,000 live births)"	0
"C. Legal obstacles to sanctions 50. The Team is aware of 15 lawsuits filed around the world challenging the implementation of some aspects of United Nations sanctions against Al-Qaida and the Taliban by Member States."	0
"It urged the Supreme Leader to prevent and suppress crimes against humanity and ensure that perpetrators are pursued and brought to justice."	1
"On a substantive basis, national jurisdictions have presented to the claimants one or more of the following arguments: first, the right to compensation as contained in international humanitarian law is not automatically applicable, only the States of the victims are directly empowered to exercise this right; Secondly, there is a peace agreement that excludes individual claims."	1
"Except in a few cases, these incidents occurred without any special activity of the rebel forces justifying military intervention. This has increased the general perception among observers that the civilian population has been consciously and deliberately attacked to achieve common or particular objectives and interests of the Government and the Janjaweed."	0
"Report of the Secretary-General on Côte d'Ivoire"	0
"Licensing Law of 17 April 1995, Article 9"	0
"The disarmament of militias is a priority issue, especially in the period preceding an electoral campaign, given the potential for politically motivated violence to break out."	1
"When examining the evolution of the risk of incitement, it should be borne in mind that the means and forms of communication have evolved substantially since the adoption of resolution 1624 (2005)."	1
"Provisional agenda for the 5750th session of the Security Council"	0
"States should strengthen their legal frameworks to criminalize the illicit manufacture, possession and trafficking of small arms and explosives."	0
"No bank may open an account or carry out transactions with a customer who insists on remaining anonymous or declares a false name."	0
"Uganda is concerned about the humanitarian situation in Darfur."	1
"2. Decides that the mandate of UNSOM is as follows:"	0
"During the period under review, the Government took no action against non-certified national police officers."	1
"It is with even greater concern that I must report today that, despite considerable efforts by UNAMID, the security situation in Darfur has not improved much."	1
"Electronic/digital file management project"	0
"At least 90 countries have been affected by such devices, and Al-Qaida-affiliated entities exchange information and advice on how best to build and use them."	0
"Reiterating its deep concern about the threat of terrorism and the risk that non-state actors may acquire, develop or use nuclear, chemical and biological weapons and their delivery systems or traffic in them,"	1
"On May 23, the vehicles were delivered to Rai Los, along with 31 uniforms from the PNTL Police Reserve Unit. On May 24, Rai Los and his men, dressed in those uniforms, participated in the attack against the F-FDTL soldiers who were carrying out patrol duties."	0
"3. The issue of the map will be examined by GANUA with the two Presidents."	0
"The revised list was also posted on the Committee's website."	0
"The United Nations stands ready to support national initiatives in this area."	0
"United Nations peace operations have changed their posture accordingly and show an increasing tendency to shield and entrench themselves, limiting the ability of both uniformed and civilian personnel to engage with the local population, reach their hearts and minds. minds, mediate local disputes and obtain information - essential work for the implementation of peace agreements and efforts to resolve conflicts."	1
"Some of them are suspected of committing various crimes simultaneously."	0
"The Commission is naturally of the opinion that all persons, even those accused of serious crimes, should be presumed innocent until proven guilty in a fair trial."	0
"The current 180-day stage (stage IX) effectively began on December 6, 2000."	0
"Since its establishment in June 2005, the Special Court on the Darfur Events has handed down sentences in five cases."	1
"For the Popular and Socialist Libyan Arab Jamahiriya"	0
":: Convention on the Physical Protection of Nuclear Materials;"	0
"a) Engage more actively with relevant regional organizations (African Union, East African Community, East African Police Chiefs Cooperation Organization, East and Southern Africa Anti-Money Laundering Group and Strengthening Programme). IGAD counter-terrorism capacity) and focus on activities aimed at overcoming gaps and improving implementation of the resolution;"	0
"The Security Council recognizes that terrorism will not be defeated by military force, law enforcement measures or intelligence operations alone, and underscores the need to address the conditions conducive to the spread of terrorism, as outlined in point I of the United Nations Global Counter-Terrorism Strategy (A/RES/60/288), and reiterates the need to address the factors that drive radicalization and terrorist recruitment, and further recognizes that a comprehensive approach to defeating terrorism that includes action at the national, regional, subregional and multilateral levels."	0
"The Minister of the Interior, Mr. Lobato, arrived at the headquarters wearing a bulletproof vest and in a state of great agitation shouting \"kill them all.\""	1
"The last stage of the process began in the remaining districts of Kailahun and Kenema, on November 15 and 17, respectively."	0
":: Peter Maurer, President of the International Committee of the Red Cross"	0
"Approve the observers of the Organization;"	0
"Only two vessels were registered to Sapid Shipping Company."	0
"One State has not formulated a strategy on the matter nor does it have the necessary organizational structures."	1
"In December 2008, Kismayo media outlets were closed."	0
"Above all, what worried us most was the insistence of the authorities in Pristina on somehow implementing the so-called strategy for the northern part of Kosovo, in flagrant contravention of resolution 1244 (1999), which is the main legal platform international to resolve the Kosovo issue."	1
"Permits issued by UNMIK comply with all European standards and can therefore be used throughout the continent."	0
"Israel is obliged under international law and as the occupying Power to protect Palestinian civilians, especially children, as well as to safeguard civilian property."	1
"III. Freezing of financial and economic assets"	0
"The European Union is deeply concerned about the cycle of vicious violence currently taking place in Israel and the occupied territories."	1
"The Security Council calls on Burundi to prevent any support from its territory to armed groups in the Democratic Republic of the Congo."	1
"Despite the military defeat of the M23, Congolese and foreign armed groups, including the Allied Democratic Forces (ADF), the Democratic Forces for the Liberation of Rwanda (FDLR) and the numerous Mayi Mayi groups, continue to pose a threat to the civilian population. and the stability and development of eastern Democratic Republic of the Congo and the Great Lakes region."	1
"The Human Rights Committee has clearly enunciated this right in its general comment No. 27. On several occasions, the Committee on Economic, Social and Cultural Rights has stated that forced evictions are incompatible in principle with the requirements of the International Covenant on Economic Rights. , Social and Cultural."	1
"A particle size of 63 microns (ISO R-565) corresponds to a size (sieve) 250 (Tyler) or a size (sieve) 230 (ASTM standard E-11)."	0
