"","ar_en_DEEPL","MatCoop"
"23","The Government, in collaboration with the United Nations country team and with input from the World Bank, has also prepared a booklet on the Millennium Development Goals that summarizes Timor-Leste's current position and identifies indicators and policy implications of achieving the Goals.",1
"24","To be held on Friday, 15 June 2007, at 10 a.m.",0
"25","Reaffirms its unequivocal condemnation of all acts, methods and practices of terrorism as criminal and unjustifiable, regardless of their motivation, in all their forms and manifestations, wherever and by whomever committed.",0
"26","Safe, voluntary and dignified return and reintegration requires all parties concerned to ensure that all peace processes, peace agreements, recovery and reconstruction planning take into account the special needs of women and children and include specific measures for the protection of civilians, including ... (iii) Create conditions conducive to the voluntary, sustainable, safe, dignified and voluntary return of refugees and internally displaced persons.",1
"27","See also, for example, S/RES/1769 (2007), op.15; see also, for example, S/RES/1769 (2007), op.15; S/RES/1756 (2007), op.2; S/RES/1701 (2006), op.12; S/RES/1590 (2005), op.16; S/RES/1565 (2004), op.4 and op.5 op.5; S/RES/1542 (2004), op.9; S/RES/1528 (2004), op.6; S/RES/1509 (2003), op.3(k); S/RES/1502 (2003), op.5(a); S/RES/1492 (2003), op.25; S/RES/1289 (2000), op.12; S/RES/1270 (1999), op.14.",0
"28","Some of these varieties can be developed or used as ingredients in locally produced varieties.",0
"29","March 30, 1999 Resolution 1232 (1999)",0
"30","Implementation of the Joint Statement of April 2, 2009",0
"31","The PA's ability to build reliable institutions and security infrastructure, with the will and capacity to combat terrorism and other threats, is an essential element of the Palestinian state-building process and a legitimate aspiration on the Israeli side.",0
"32","Indohaadde has a âspecial representativeâ who handles drug farm operations on his behalf, and he uses his militia to guard his drug farms.",0
"33","Individuals born before May 25, 1988 or recruited after May 25, 2006 were to be demobilized immediately as required by the CPA.",1
"34","Civil Defense, Fire Brigade, and Red Cross vehicles rushed to the area and worked to extinguish the fire, collect the bodies, and transport the injured to hospitals.",1
"35",":: Regional and subregional organizations must contribute to an integrated approach to counter-terrorism: Regional and sub-regional organizations must contribute to an integrated approach to counter-terrorism.",1
"36","Belarus, the Russian Federation and Ukraine have fully operational financial intelligence units. In 2010, Belarus and Ukraine adopted amendments to anti-money-laundering and counter-terrorist financing laws on customer identification, customer due diligence, record-keeping, beneficial owner verification and suspicious transactions, and also extended control standards to the transfer of funds through the State postal system.",1
"37","I urge all Somali leaders to take the necessary steps to resolve their differences.",0
"38","Guinea-Bissau is one of the countries where the program will be implemented on a pilot basis.",0
"39","I have the honor to transmit herewith the eleventh report of the Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and extended pursuant to resolution 1904 (2009).",1
"40","During this period, the Commission's support base was strengthened and new software was installed, making the database more efficient.",1
"41","Encourages [the mission], in accordance with its mandate and within its authorized civilian police strength, to continue its efforts to assist the parties to the [peace agreement] in strengthening the rule of law and restructuring police and prison facilities throughout [the affected country], in particular in the south where sophisticated police facilities are lacking, and to assist in the training of civilian police and prison personnel.",1
"42","Non-wood forest products 20,500 $23 million",0
"43","In addition, the Mission will continue to protect UN personnel and assets and, in accordance with its current mandate, and subject to the provision of sufficient aviation assets to address the violence that poses a challenge to the protection of civilians during the election period.",1
"44","Finding a starting point for discussions about the looming challenges that Middle Eastern societies find themselves facing and extrapolating the promising opportunities resulting from these challenges can be a daunting task.",0
"45","(c) Loss of water use by the Jordanian population",0
"46","Having met in Algiers as part of the follow-up to Algeria's efforts to bring the positions of the armed movements of northern Mali closer together in order to create all the conditions for the success of the forthcoming negotiations with the Government of Mali.",1
"47","Implementation of public policy on gender equality and the empowerment of women and girls.",1
"48","16. Decides to remain seized of the matter.",0
"49","1. Pursuant to paragraph 4 of Security Council resolution 1956 (2010) requiring the Government of Iraq to report to the Security Council no later than 1 May 2011 on progress towards the transition to a post-Development Fund for Iraq mechanism, we wish to inform the Security Council that the Government of Iraq has completed actions to ensure a full and effective transition to a post-Development Fund for Iraq mechanism. These procedures have taken into account the following:",1
"50","(h) Develop methodologies to improve the effectiveness of cooperation with individual States, subregional organizations, regional organizations, international organizations, multilateral arrangements dealing with export controls and relevant entities within the United Nations system, assess the level of cooperation between the committees established pursuant to Security Council resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and, in particular, assess the level of information exchange and coordination regarding country visits and make specific recommendations, as appropriate, to enhance cooperation.",1
"51","The report covers developments since my previous report on MINURCAT, dated 30 July 2010 (S/2010/409), on the security and humanitarian situation in eastern Chad and the north-eastern Central African Republic; progress in the implementation of the tasks and benchmarks set out in paragraphs 2 and 3 of Security Council resolution 1923 (2010); and the implementation of the Mission's mandate, including preparations for its withdrawal.",1
"52","274. The extradition of terrorists continues to face many obstacles and is neither smooth nor simple.",1
"53","2. A second group, consisting of 15 inspectors, left the Canal Hotel in Baghdad at 0800 hours and arrived at 1030 hours at the Northern Refineries/Small Refineries Company, located in the Siniyah district of Salah al-Din governorate.",0
"54","9. Requests the SecretaryGeneral to continue to report regularly, and at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC, and to provide the Security Council with the same regularity with specific updates on the military situation.",1
"55","In approving a UN operation, the Council should take into account the essential role of military and civilian police in helping to stabilize crisis situations and maintain security.",1
"56","In Central America and the Caribbean, the San JosÃ© Dialogue process implements programs on integration, terrorism and incitement prevention.",1
"57","Noting that some parties to armed conflict have responded to its call on them to prepare and implement concrete time-bound action plans to halt the recruitment and use of children contrary to applicable international law.",1
"58","The prompt assistance was valuable as it allowed investigators to quickly analyze specific phone calls made by subscribers to this service and enabled them to discern the pattern of calls made by a particular group of subscribers.",1
"59","59. Some States in this region are implementing the 2005 European Union Strategy for Countering Radicalization and Terrorist Recruitment, which aims to âdisrupt the activities of networks and individuals to recruit people to terrorism; ensure that the voices of moderate public opinion prevail over those of extremism; and galvanize action to promote security, justice, democracy and opportunity for allâ.",1
"60","Of the 69 chlorine cylinders delivered to Karbala governorate, 49 (71 per cent) were used.",0
"61","16. Thereafter, reviewing States had three months to provide any additional identifying or other information that had an impact on the elements of the List, such as updates on the operational status of listed entities, the movement, incarceration or death of listed individuals, or new charges against them related to terrorist operations.",1
"62","The situation in the Central African Republic (August 6, 1997; July 7, 2011)",0
"63","1. Strongly condemns the coup d'état that took place in Bangui, Central African Republic, on Saturday, March 15, 2003.",0
"64","At the same time, President Pillay states that the Judges see the possibility that, in conjunction with one of these mechanisms, the Court could appropriately be given limited authority to order the payment of compensation from a trust fund to victims who appear before it as witnesses in its trials.",1
"65",":: April 26, 2005, the last Syrian troops leave Lebanon, ending a 29-year military presence: April 26, 2005, the last Syrian troops leave Lebanon, ending a 29-year military presence.",1
"66","Support thematic teams in post-conflict contexts, in collaboration with gender advisors to peacekeeping missions, UNCTs, agencies, funds and programs.",1
"67","29. In the context of the Division's efforts to recruit qualified experts to serve on sanctions monitoring teams of all types, and as has been the practice each year, all Member States were requested by a note verbale sent in December to nominate qualified candidates for inclusion on the Division's roster of experts.",1
"68","(i) Identification of all persons seeking to enter the port.",0
"69","6. The NCP won 42 seats in North Darfur, 43 seats in South Darfur and 41 seats in West Darfur, out of a total of 48 seats in the legislative assemblies in the three Darfur states.",0
"70","In another case, the Janjaweed attacked the village of Malaga in October 2004. Eighteen men were killed and four men and two women were injured.",0
"71","(3) A securities market participation organization as defined in the Securities Markets Act (RT I 1993, 35, 543: 1995, 22; 1996:328, 26; 1997:528, 34; 535: 1988; 61,979).",0
"72","On July 5, UNOMIG and UNFICYP conducted joint patrols in the Gali district, on August 21 in the Zugdidi sector (both on the Georgian side) and on September 22 in the lower Kodori Valley.",1
"73","Acting under Chapter VII of the Charter of the United Nations.",0
"74","This trade is relatively easy to monitor because, until very recently, Walikale was only accessible by air.",0
"75","564. Taking into account the comment made above regarding the structure of the rebel groups, the Commission has collected sufficiently reliable documents indicating that four individuals holding important positions within the various rebel groups may be suspected of being responsible for knowingly failing to prevent or suppress crimes committed by the rebels.",1
"76","Acting under Chapter VII of the Charter of the United Nations.",0
"77","The Committee continued its consideration of three other exemption requests. The first concerned a proposal by a United Nations specialized agency to provide technical assistance to the Islamic Republic of Iran; the second concerned a request received by a State from the Islamic Republic of Iran Mine Action Centre, proposing cooperation with that State in mine action; and the third concerned a request received by a Member State from the Islamic Republic of Iran to train its armed forces.",1
"78","Demands that all parties immediately cease all forms of violence and human rights violations committed against the civilian population in [the country concerned], in particular gender-based violence, including rape and other forms of sexual violence ...",0
"79","(c) Transmit all information provided by the Committee to the Ombudsperson regarding the decision, pursuant to paragraph 13 above.",0
"80","I have the honour to convey the attached communication, dated 26 September 2002, which I received from the Secretary-General of the North Atlantic Treaty Organization.",0
"81","At least three of the 142 Taliban members on the list have been arrested, although it is not yet clear what exactly they are being charged with.",1
"82","This program was relaunched as the IGAD Security Sector Program in October 2011 and is envisioned to play a more active role in this area, including through conferences on de-radicalization and community engagement in counter-terrorism.",0
"83","(a) Visit of the Group of Experts to Abidjan",0
"84","6. Further affirms that the requirements of paragraph 1 (a) above shall also apply to the payment of ransoms to groups, undertakings, entities or individuals on the AlQaida Sanctions List.",1
"85","The Panel confirmed that Ipedex received 656,064 French francs in the form of salaries for employees seconded to the project.",0
"86","Second, even if there is a legitimate basis, the asylum seeker is subject to the exclusion of exceptions under Article 1F, which denies international refugee protection to individuals convicted of serious crimes and serious ordinary crimes, and ensures that such persons do not abuse asylum laws to avoid being held accountable for their actions.",0
"87","But there are others who are not wanted by any law enforcement agency, cannot easily obtain forged travel documents of sufficient quality to pass scrutiny, and in any case consider that the limited personal details on the list make it reasonably certain that they can pass through border posts using their original travel documents unnoticed.",0
"88","The licenses issued by the mission meet all European standards and can be used across Europe.",0
"89","The Committee will continue to focus on monitoring and encouraging Member States' implementation of resolution 1373 (2001) and on practical measures aimed at strengthening the capacity of States to combat terrorism, including measures aimed at facilitating technical assistance.",1
"90","12. With regard to border and export controls, Malaysia's Strategic Trade Act 2010 entered into force on January 1, 2011, and Finland adopted a new export control law.",1
"91","Nine countries have some measures in place to prevent the smuggling of weapons and explosives, but it is not known how effectively these measures are implemented.",1
"92","We take this opportunity to consider the political and security situation in the Sahel-Saharan region, as well as efforts to overcome existing challenges and promote sustainable peace, security and stability.",1
"93","Mainstream gender into coordinated responses to prevent armed conflicts and emergencies.",1
"94","States' attempts to find a peaceful resolution to conflicts is a never-ending process.",1
"95","Urges the international community to provide support and assistance to enable States to fulfill their responsibilities to protect refugees and other persons protected under international humanitarian law.",1
"96","H. Preventing and responding to sexual exploitation and abuse by United Nations and related personnel and United Nations partners.",1
"97","The situation in Somalia (March 17, 1992; October 24, 2011)",0
"98","The mission traveled to Daloa by road with a military escort from government forces.",1
"99","Members of the rebel groups were named as suspects for engaging in a joint criminal enterprise to commit international crimes and as persons potentially responsible for failing to prevent or suppress the commission of crimes committed by the rebels, despite their knowledge of them.",0
"100","Italian television station RAI, journalist Giuseppe Bonavolontà -- November 5, 2011",0
"101","First, CTED and the World Bank will jointly organize a workshop for parliamentarians in Pakistan on the importance of counter-terrorist financing legislation.",1
"102","Those conclusions were issued on November 12 as documents of the Working Group (S/AC.51/2010/4 and S/AC.51/2010/5, respectively).",0
"103","At the same time, the Secretariat continues to explore all options in order to enhance and support the Mission's current operational capabilities in the challenging environment of northern Mali.",1
"104","The deadline was not met. On February 20, 2008, President Gbagbo signed a decree formally establishing a working group to develop such a framework.",1
"105","43. Reiterates the need to enhance ongoing cooperation among the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, through enhanced information sharing and coordination on country visits in accordance with their respective mandates, facilitation and monitoring of technical assistance, relations with international and regional organizations and agencies and on other matters of interest to all three Committees, expresses its intention to provide guidance to the Committees on areas of common interest in order to better coordinate their efforts and facilitate such cooperation, and requests the Secretary-General to make all necessary arrangements.",1
"106","94. Despite recent progress, logistical, political and security constraints will make the demobilization and reintegration of the 180,000 ex-combatants planned by the end of the Comprehensive Peace Agreement period extremely difficult.",0
"107","3. Members of the death squads must be identified and brought to justice.",1
"108","Some of these large dhows belong to foreign owners and are not registered in Somalia.",0
"109","58. The pattern of resolving political differences and protecting interests through the use of arms continues, sustained by the continued and increasing acquisition of arms from sources outside Somalia in violation of the arms embargo.",0
"110","3. The Ministry of State.",0
"111","During the reporting period, the composition of the joint monitoring and verification team in Gao was adjusted to include all armed groups that are members of the Coordination Council and the Preliminary Plan Coalition, as well as representatives from Algeria, Chad, Mauritania and Niger. From November 19 to 22, the Gao team conducted a fact-finding mission to Didi on both sides of the Niger River.",1
"112","As these groups are designed as an internal mechanism to foster expertise, continuity and contribution to the core activities of the Executive Directorate, they will initially be established in the following functional areas:",1
"113","In November, the unit began construction work to create a unit within the new Timbuktu camp.",1
"114","11. In accordance with resolution 1963 (2010), the Executive Directorate will also assist the Committee in organizing a special meeting, open to all members and other stakeholders, to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee.",1
"115","(a) The African Union should be requested to maintain AMISOM forces in Somalia after the departure of Ethiopian forces and to provide the assistance outlined below to support the strengthening of AMISOM.",1
"116","25. Requests all Member States, and in particular the Government of Afghanistan, to report to the Committee any information received indicating that there is reason to consider applying the provisions of paragraph 1 of this resolution to a delisted individual, group, undertaking or entity, and further requests the Government of Afghanistan to provide the Committee with an annual report on the status of individuals reportedly reconciled and delisted by the Committee in the previous year.",0
"117","The role that MINUSTAH should play was to help Haiti take back responsibility for its own security, not for the Mission to do so indefinitely. He reiterated that the resolution provided for a responsible drawdown of the Mission's military component over a period of time, based on a comprehensive assessment of the security situation.",0
"118","Thirty graduates of the first four-week medium-term training program for senior municipal officials received training in law, economics, public finance, human resource management, and conflict resolution.",1
"119","Much of this intensive effort to enable UNSMIS units to competently address the mine and IED threat has been funded in large part through the MISCA Trust Fund.",1
"120","Gender Adviser based in the UNAIDS Regional Support Office for Eastern and Southern Africa providing advice on policy and technical aspects of mainstreaming women and HIV/AIDS issues into national AIDS programs.",1
"121","Noting with concern the evolving nature of the threat posed by Al-Qaida, Osama bin Laden, the Taliban and other individuals, groups, undertakings and entities associated with them, in particular the ways in which they promote terrorist ideologies.",0
"122","As part of a transition strategy aimed at establishing an independent police institution, preparations are underway to transfer responsibilities from the Kosovo Police Service School and UNMIK Police to the Kosovo Police Service (KPS).",1
"123","2. Decides that CTED shall continue to operate as a special political mission under the policy guidance of the CTC for the period ending 31 December 2010 and further decides to conduct an interim review by 30 June 2009 and to consider comprehensively the work of CTED before the expiration of its mandate.",1
"124","These obstacles are generally erected under a law designed for this purpose.",0
"125",":: Maintain the structure of the IEC in accordance with the Pretoria Agreement: Maintaining the structure of the Independent Electoral Commission in accordance with the Pretoria Agreement",0
"126","The Executive Directorate has observed that, even in these States, government attention to four key areas -- strengthening border control systems; building the capacity of criminal justice systems to ensure the rule of law; improving coordination and information-sharing among relevant national agencies; and enhancing cross-border institutional cooperation with neighboring States -- appears to have an impact on counter-terrorism capabilities. This is true even when development in other sectors remains relatively limited.",1
"127","These instruments cover all items on the Nuclear Suppliers Group (NSG) material list as well as the Missile Technology Control Regime (MTCR) material list.",0
"128","Relevant financial information is updated monthly on the utility's website(www.irffi.org).",0
"129","The office has started work on at least seven cases.",1
"130","In doing so, the process introduced the concept of working towards quantifiable results in the area of the SADC nexus.",1
"131","âThe Security Council stresses that Member States in post-conflict situations should address in their national strategies, including in consultation with civil society and women's organizations, the specific needs and priorities of women and girls to improve their economic and social conditions, their participation in income-generating activities and their access to education and basic services.",1
"132","Regional cooperation in border management is continuously improving, including through joint patrols, information sharing, regional border control mechanisms, and customs cooperation.",1
"133","Moreover, the disappearance of Mr. Abu Adass on January 16, 2005 was not explained in a manner consistent with the notion that he intended to carry out a suicide bombing a month later.",0
"134","82. Priority recommendations are to: (a) Encourage States to adopt comprehensive and consistent counter-terrorism legal frameworks that facilitate the implementation of legally sound and harmonized counter-terrorism strategies.",1
"135","2. Decides that CTED shall continue to operate as a special political mission under the policy guidance of the Counter-Terrorism Committee for a period ending on 31 December 2017, and further decides to conduct an interim review by 31 December 2015.",1
"136","Some other members noted the Government of Sudan's initiative to investigate the allegations through its national mechanism and called for conflict resolution through negotiations under the auspices of the African Union High-Level Implementation Panel on Sudan led by former South African President Thabo Mbeki and the Secretary-General's Special Envoy for Sudan and South Sudan, Haile Menkerios.",1
"137","(b) Provide training for public officials, members of the armed forces and armed groups, personnel associated with the armed forces, civilian police, law enforcement personnel, and members of the judicial and legal professions, and raise awareness among civil society and the civilian population on relevant international humanitarian law, international human rights law and refugee law, and on the protection, special needs and human rights of women and children in situations of armed conflict with a view to achieving full and effective compliance.",1
"138","This is evident in the case of the United Republic of Tanzania, where the value of diamonds is not inspected before they are exported and given a figure that is five times lower than the real one, but the real value is declared when they are imported to Antwerp.",0
"139","Special police units supported UNMIL Customs and provided support to UNMIL Police Special Operations Teams.",1
"140","Overall, the Team found a high level of commitment to the work of the 1267 Committee and a generally encouraging awareness of the List and the measures.",1
"141","S/RES/1834 (2008), 12th preambular paragraph",0
"142","287. One way in which States may wish to take all these issues more fully into account is to incorporate them into comprehensive and integrated national counter-terrorism strategies that include attention to the factors that lead to terrorist activities.",1
"143","Pursuant to Articles 255 and 256 of the Criminal Code, criminal matters are heard by a court with a panel of three judges.",0
"144","4. The recent high-level exchange of visits between Iraq and Kuwait has contributed to the creation of an atmosphere conducive to the Coordinator's contacts with representatives of Iraq and Kuwait, as well as with other members of the Tripartite Commission and its Technical Subcommittee, which remains the main body on the issue of persons unaccounted for in the 1990-1991 Gulf War.",1
"145","An expanded team of EUPM advisors has been established to provide support and technical advice on police matters.",1
"146","75. In the conflict in Darfur, the Government faces resistance from at least two organized armed rebel groups, the Sudan Liberation Movement/Army (SLM/A) and the Justice and Equality Movement (JEM).",0
"147","90. Nevertheless, the Pacific Islands Forum States have made good progress in implementing a variety of counter-terrorism measures in compliance with resolution 1373 (2001).",1
"148","2. Law No. 4979-I of May 14, 1993 ""On veterinary science"".",0
"149","Finally, a presidential statement was adopted (S/PRST/2004/16), in which the Council called on Member States to provide political and financial support, as well as civilian and military personnel, to allow the numerous operations to start in the best conditions and to carry out their respective mandates effectively.",1
"150","S/RES/1863 (2009), OP2",0
"151",":: Managing proliferation risk through corporate governance and internal compliance management: Managing proliferation risk through corporate governance and internal compliance management",0
"152","(b) Address deficiencies in the criminalization of terrorist financing and the freezing of terrorist funds, and strengthen monitoring of the non-profit sector and alternative remittance systems.",1
"153","52. With regard to disarmament, UNOCI will continue to support the accelerated implementation of the cantonment of forces, in line with the third supplementary agreement.",1
"154","The Committee authorized OHCHR, as the secretariat of the Committee, to provide access to the content of the database to competent authorities conducting credible investigations with a view to ensuring accountability for crimes and other violations committed, establishing the truth about violations committed, or implementing targeted United Nations sanctions against specific individuals or institutions.",1
"155","Military and police forces should be better equipped to carry out protection functions, including preventing conflict-related sexual violence.",1
"156","This is a crucial step towards delegating responsibility for project implementation to local police, further realizing the principle of devolution to local authorities.",1
"157","::: Providing a comprehensive perspective on seeking and ensuring that security and development efforts at the country level seek to address the root causes of conflicts.",1
"158","64. The eagerness of States and the Committee to maintain lists of ideologues despite the lack of impact appears to be evidence of a broader trend in counter-terrorism to harmonize efforts to capture and detain terrorists, in an effort to prevent others from becoming terrorists in the first place.",1
"159","Today, as mentioned before, there is a protracted, non-internationalized armed conflict in Darfur between government authorities and organized armed groups.",0
"160","120. There are still activities on Mina Al-Hosn Street, prior to the explosion, that require further investigation and could clarify details from the planning stage and lead to the perpetrators.",0
"161","11. Decides to remain seized of the matter.",0
"162","This includes avoiding the use of language that suggests acceptance of Al Qaeda's claims on religious grounds; the Team continues to believe that the use of religious language by non-Muslim commentators and politicians when describing Al Qaeda, no matter how appropriate, familiar or well-intentioned, makes it more difficult to refute its message and isolate it from its target audience.",0
"163","Three countries have introduced measures prohibiting the extradition of individuals who may be subject to torture or persecution.",1
"164","27. Providing sustainable alternatives for ex-combatants is an essential aspect of the process of neutralizing armed groups.",1
"165","The Executive Directorate will also assist the Committee in its assessment of technical assistance needs with a view to exploring ways to facilitate more effective delivery of technical assistance to relevant Member States.",1
"166","Overall, strengthening international cooperation, sharing information, and developing comprehensive and integrated national responses to this challenge may be among the most effective ways to combat and prevent incitement.",1
"167","5. Recognizes that acts, methods and practices of international terrorism are contrary to the purposes and principles of the United Nations and that the financing, planning and knowingly inciting terrorist acts are also contrary to the purposes and principles of the United Nations.",1
"168","As these complications persist and this behavior, which is completely at odds with what is required to reach a just solution, we must ask: How can we achieve a successful conclusion to the peace process in 2009? We believe that the responsibility lies with the Quartet and the Security Council to develop a practical mechanism to address these issues, in a situation where one party repeatedly refuses to heed the calls and fulfill its commitments, locking us into a cyclical process with no end in sight.",0
"169","I expect that the judges of the Trial and Appeals Chambers will only begin their formal judicial functions at a later stage.",0
"170","In September 2004, China, in cooperation with the Organization, held the Second Regional Meeting of National Bodies of Asian States Parties in Beijing.",0
"171","III. Legal Framework 16-24 16",0
"172","In order to ensure accountability for crimes committed during the recent events, it is critical that investigations, prosecutions, and trials are conducted in an impartial manner and without political interference.",1
"173","I have also selected Mr. Vines as Chairman of the Panel of Experts.",0
"174","129. Most States have sufficient provisions to ensure mutual legal assistance and extradition. Procedures for the exchange of information are in place in all of them.",1
"175","States should adopt a comprehensive approach to denial of safe haven, as several interrelated measures must be taken to ensure effectiveness. These include legislative, law enforcement, border control, refugee and asylum measures.",1
"176","Its terrorist activities have also displaced an estimated 45,000 Nigerian refugees and returning migrants to Chad, Cameroon, and Niger, including suspected insurgents.",0
"177","The Council recognized the usefulness of annual briefings by heads of military components, and also said it would welcome similar briefings by heads of police components to improve its understanding of operational challenges.",0
"178","(g) Persons or entities supporting illegal armed groups in the eastern part of the Democratic Republic of the Congo through illicit trade in natural resources.",0
"179","All but one state has legislation regulating the activities of national NPOs, but only one state has introduced and effectively enforced legal provisions to prevent the financing of terrorism through NPOs.",1
"180","Progress in Eliminating Syria's Chemical Weapons Program",1
"181","10. NATO provided additional forces to ensure a safe and secure environment for the National and Provincial Council elections scheduled for September 18 (see para. 15).",1
"182","11. During the reporting period, the entity armed forces conducted normal training activities, in compliance with the military-related provisions of the Dayton Peace Agreement.",1
"183","5. Emphasizes the importance of good governance and the need to combat corruption, money-laundering and illicit financial flows, in particular through, inter alia, the implementation of the United Nations Convention against Corruption and the comprehensive international standards contained in the revised Financial Action Task Force Forty Recommendations for Combating Money-Laundering and Terrorist Financing and Proliferation, including through the adoption and effective implementation of legislative and regulatory measures to enable competent domestic authorities to freeze, seize, confiscate and manage assets derived from criminal activities in order to combat illicit financial activities",1
"184","At that time, hundreds of thousands of Kosovo Albanians returned to Kosovo and began rebuilding their lives. Most Kosovo Serbs had fled their homes. Kosovo was a society dominated by suffering and destruction for all communities. The economy was completely collapsed.",0
"185","It has also signed 51 agreements with the financial intelligence units of foreign countries to exchange information on transactions related to terrorist financing.",1
"186","Tensions remain high, particularly in north-eastern Katanga, where there have been numerous clashes between FARDC units and Mayi-Mayi militia groups. On 10 and 11 August, FARDC exchanged fire with a Mayi-Mayi group near the Lunga gold mine, some 200 kilometers from Kalemie, and took control of the area.",0
"187","80. UNOCI staff regularly expressed frustration at the lack of good follow-up intelligence and the lack of technical skills to fulfill their mandate.",0
"188","In May 2009 (see S/2009/504, para. 20) reaffirming the agreed benchmarks for the resumption by PNTL of its core policing responsibilities, as at 20 September, joint assessment teams comprising civilian and police representatives from the Government and UNMIT had completed the assessment of all 13 districts and 6 units.",1
"189","E. Payments or relief to others",0
"190","The militias continue to carry out attacks under the pretext that they are not party to any agreement. The government has not acted to stop them.",0
"191","Significant progress has been made in efforts to prevent terrorists from abusing the refugee and asylum systems.",1
"192","56. The police and security forces of the Democratic People's Republic of Korea systematically use violence and punishments, a gross violation of human rights, to create a climate of fear that suppresses any opposition to the current regime and its ideology.",0
"193","(d) The Committee will ensure that any measures taken by Member States to combat terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law.",1
"194","Civilians were often forcibly displaced as a result of the attack.",0
"195","In the subsequent decade, the counter-terrorism bodies mandated by the Council to implement resolution 1373 (2001) have traditionally treated possible links between terrorism and organized crime as a matter within their purview.",1
"196","PNTL records show that the police chief transferred an F2000 automatic machine gun with 2,000 rounds of ammunition to the Minister of Interior.",1
