"ar_en_GOOGLE"	"MatCoop"
"(a) Continue to strengthen its cooperation with international, regional and subregional organizations and develop modalities for working with those organizations on a case-by-case basis, in a manner that reflects the differences in the capacity and mandate of each organization, including working exchanges and briefings provided and received by the Committee Strengthening arrangements for information exchange;"	1
"Moreover, more research is needed to prove that these programs lead to real positive outcomes regarding the likelihood that these individuals will commit other acts of terrorism in the future or incite others to commit such acts."	1
"The Biological and Toxin Weapons Convention Implementation Act received royal assent in 2004."	0
"122. To strengthen the capacity of law enforcement personnel in South Asia and simultaneously promote regional cooperation and information-sharing among law enforcement personnel, the Executive Directorate facilitated a series of workshops (starting in November 2009) aimed at bringing together law enforcement officials - - mainly police officers and prosecutors - to exchange experiences, lessons learned and best practices in dealing with cases related to international crimes and terrorism."	1
"Therefore, it will take some time until health services provided by the Timorese themselves can be fully provided."	0
"Scheduled for Friday, 14 October 2011, at 10.15 p.m"	0
"Safe, voluntary and dignified return and reintegration Calls upon all parties concerned to ensure that in all peace processes, peace agreements, conflict recovery and reconstruction planning processes, the special needs of women and children are taken into account and specific measures to protect civilians are included, including... (iii) Creating conditions Conducive to the voluntary and sustainable return of refugees and internally displaced persons in a manner that ensures their safety and preserves their dignity."	1
"Security Council resolution 1861 (2009), operative paragraphs 6 (c) and (e)"	0
"The program requires former combatants to publicly return, give up weapons and agree to respect government legitimacy, the rule of law and a community monitoring mechanism, among other measures depending on the individual concerned."	1
"(c) Preventing the direct or indirect supply, sale and transfer to these groups, individuals, projects and entities, from their territories, or by their nationals outside their territories, or using ships or aircraft flying their flags, of weapons and related equipment of all kinds, including weapons, ammunition, vehicles and equipment. Military and paramilitary equipment and spare parts necessary for the above, and technical advice, assistance or provision of training related to military activities;"	1
"Examples of aerosols include pesticides used to fog crops and dry chemicals used to spread clouds;"	0
":: Consider, as appropriate, the feasibility of establishing rosters and networks of experts within and outside the United Nations system and using them to work"	1
"The Center then organized a training course on gender-based violence investigations for the National Police in July, from which a total of 40 National Police personnel have benefited so far (including 30 women)."	1
"This will require a clear position, especially, frankly, from the United States of America."	0
"On May 5, 2005, these same trucks, carrying weapons and foodstuffs, returned to Somalia through the border town of Yed in the Bakool region. On 7 May 2005, trucks carrying weapons arrived in Hudur, the capital of Bakool Region, and the weapons were temporarily stored at Hudur Police Station."	1
"15. Takes note of the measures taken by the Mission to address cases of sexual exploitation and abuse and the zero-tolerance policy, and requests the Secretary-General to continue to fully investigate allegations of sexual exploitation and violence at the hands of civilian and military personnel of the Mission, and to take appropriate measures identified in the Secretary-Generalâs Bulletin On Special Measures for Protection from Sexual Exploitation and Sexual Abuse (ST/SGB/2003/13);"	1
"âThe Security Council calls on Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo."	0
"6. In line with the statement issued by the introductory meeting of the High-level Group, the expert group was composed as follows:"	0
"Incorporate gender concerns into needs assessment and resource allocation in post-conflict reconstruction."	1
"Most Governments also appear to be strongly committed to ensuring that law enforcement agencies respect human rights, although in some cases serious concerns have been raised about violations by security forces."	0
"At the level of United Nations entities"	0
"Resolution 1373 (2001), adopted in the wake of the heinous attacks that occurred in the United States on 11 September 2001, constituted a milestone in the efforts made in this regard at the United Nations level."	1
"Sierra Leone is also witnessing a boom in investment in the extractive industry sector."	0
"Recognizing that strengthening national human rights institutions, respecting human rights and due process, combating criminality, sexual and gender-based violence and ending impunity are essential to ensuring the rule of law and security in [the country concerned],"	1
"The process of demarcating the Blue Line continues by placing visual markers at undisputed points."	0
"(v) To assist the Government in implementing its programme, and to consolidate and strengthen the existing follow-up mechanism, an international working group at ministerial level shall be established to meet once a month in CÃ´te d&#39;Ivoire to assess, monitor and follow up on the peace process, including the roadmap agreed in Pretoria and any subsequent agreements, by declaration On the extent of the cooperation of the parties and other concerned parties, their respect for the commitments undertaken and, when necessary - on any positions that may hinder the successful completion of the peace and reconciliation process in CÃ´te dâIvoire, and to make appropriate recommendations to the Peace and Security Council of the African Union and to the United Nations Security Council."	1
"60. Decides to extend the mandate of the current Monitoring Group based in New York, established pursuant to paragraph 7 of resolution 1526 (2004), and the mandate of its members for an additional period of 30 months, in order to assist the Committee in implementing its mandate and to support the Ombudsman, and that the Group, under the supervision of the Committee , with the responsibilities stipulated in Annex I, and requests the Secretary-General to make the necessary arrangements for this purpose;"	1
":: Establish and use effective arrangements to investigate and prosecute serious violations of humanitarian law and criminal law at the domestic and/or international levels (since the start of the operation)."	1
"For example, in the case of genocide, a person who intends to kill a group of individuals belonging to a protected group with the specific intention of destroying the group (in whole or in part) may be motivated by the desire to plunder the property of that group or that group of individuals, or by the desire In retaliation for previous attacks by members of this group, or a desire to please his superiors who disdain this group."	0
"Throughout Kosovo, responsibility for regional operations has been transferred to the Kosovo Police Service, with Interpol acting as a supervisor."	1
"3. In addition to reaffirming the importance of moving quickly towards elections in October, the parties agreed in this declaration that the process of dismantling and demilitarizing militias should be completed by 20 August, and that the tripartite commission composed of the United Nations Operation In CÃ´te d&#39;Ivoire, the Office of the Ivorian Prime Minister, and the mediation of the African Union, identified the necessary additional measures to accelerate the process."	1
"Transferring powers in such sensitive areas cannot succeed without a strict policy of supervision, intervention, and imposing sanctions."	1
"579- The third negative is that the investigation and trial will concern people who enjoy power and influence in the country and control the state apparatus. The establishment of a special court through an agreement between the current government and the United Nations to investigate and prosecute members of that same government seems unlikely."	1
"Technical Note: &#39;Accuracy&#39; includes non-linearity, hysteresis, and repeatability at ambient temperature."	0
"The process of reporting and all other communications takes place within the army, up and down the chain of command, as is the case in most traditional armed forces."	1
"131. Since the issuance of the previous survey, Central Asian States have intensified law enforcement measures by enhancing inter-agency cooperation and information-sharing and establishing and using criminal and other databases at the domestic and international levels, in support of counter-terrorism law enforcement efforts."	1
"(a) Claim documents submitted by claimants;"	0
"Maternal and child mortality rates remain very high, and overall immunization coverage is low (tuberculosis: 30 percent; polio: 22 percent; measles: 24 percent)."	0
"8. On 21 September, in response to the request of the parties to the Comprehensive Peace Agreement, I announced the establishment of a three-member team, headed by the former President of the United Republic of Tanzania, Benjamin Mkapa, to monitor the referendums in South Sudan and Abyei."	1
"It is his duty, at least, to alleviate their suffering by obligating the State of Sudan to compensate them for the harm they have suffered."	1
"11- Decides to keep the matter under consideration."	0
"Japanese newspaper Yomiuri, Japanese journalist Tao Shigeki - dated February 24, 2012"	0
"4- Decides to keep the matter under consideration."	0
"It could even negatively impact future efforts to combat impunity, including efforts to ensure accountability in Commission of Inquiry cases and to establish the rule of law."	0
"All accounts of publicly owned institutions are subject to external audit and these accounts are published."	0
"(h) Participate effectively in all activities undertaken within the framework of the implementation of and support to the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force, which was established to ensure overall coordination and coherence in its counter-terrorism efforts The United Nations system, in particular through its relevant working groups;"	1
"Schools that refused to register or had links with banned terrorist organizations were closed."	1
"If banks are too strict in deciding what should be examined as a possible case of financing terrorist acts, it is likely that they will not be wise to use new methods or old methods."	1
"15. As at 8 September, the total strength of the United Nations Mission in CÃ´te d&#39;Ivoire was 6,430 personnel, compared to the authorized strength of 7,090 personnel, including 200 military observers."	1
"Comprehensive Nuclear Test Ban Treaty"	0
"3 - The high level of interaction that took place between the Committee and Member States during the review suggests that a large group of states still share the Security Councilâs interest in the need for there to be a coordinated international response to the threats posed by Al-Qaeda and the Taliban."	1
"In North Darfur, Abu Shouk camp, the largest camp for internally displaced persons in the state, was overcrowded, with more than 20,000 people arriving as a result of the violence witnessed in many locations over the past two months."	1
"3- Russian Federation 17 8"	0
"Counter-terrorism strategy: coordination between law enforcement agencies"	1
"She also continued her participation in crime prevention working groups and helped establish the District Policewomen&#39;s Association. The Mission handed over to law enforcement agencies in Zugdidi equipment donated by the Government of Switzerland, while providing a similar amount of equipment to law enforcement agencies in Gali."	1
"See also S/RES/1738 (2006), preambular paragraph 11, and operative paragraphs 1 and 2."	0
"The situation in Angola (see: S/25070/Add.4, 10, 17, 22, 23, 28, 37, 44 and 50; S/1994/20/Add.5, 10, 21, 25, 31, 35, 38, 42, 43, 48; S/1995/40/Add.5, 9, 41, 81, 13, 04, 05; S/1996/15/Add.5, 61, 81, 72, 04, 94; S/1997/40/Add.4, 8, 11, 21, 51, 62, 92, 43, 93, 43; S/1998/44/Add.4, 11, 17, 20, 23, 25, 26, 32, 37, 41, 48, 51, 52; See also S/19420/Add.51; S/22110/Add.21; (S/23370/Add.12, 27, 37, 40, 43, 48, 51)"	0
"Arrest warrants issued by the European Union constitute an effective alternative to traditional extradition processes, as they allow direct contact with those concerned and empower judicial authorities."	1
"Repeated clashes between FARDC soldiers and armed groups active in this region have led to numerous civilian casualties."	0
"I will put the draft resolution to a vote now."	0
"Members expressed their willingness to consider, in a timely manner, updated reports on planning for a smooth transition to the Sustainable Development Assistance Framework by the end of the Office&#39;s mandate in May 2006."	0
"I stand ready to work closely with the Security Council, collectively, and with stakeholders individually, to find a solution to this serious crisis, to quickly complete the peace process, and to restart vital humanitarian activities in Eritrea."	0
"It is at the discretion of the financial institution whether it maintains such records even in the case of cashless transactions.”"	0
"States must also prevent those who finance, plan, facilitate or commit terrorist acts from using their territories to implement those goals against other states or against the citizens of those states (paragraph 2 (d))."	1
"17. We believe that together these steps form the basis for a strategic approach to strengthening peace forces in Somalia. This approach would complement the measures already taken by the Security Council to contain the conflict."	1
"37. The Mission continued to give the highest priority to a zero-tolerance policy on sexual exploitation and abuse, including the provision of introductory briefings and regular training programs for all United Nations staff in the area of prevention of sexual exploitation and abuse."	1
"With regard to the Timorese Defense Forces, a decree-law stipulates the structure of the army, but the laws governing military discipline and career path in the army are those of the United Nations Transitional Administration in East Timor."	1
"Emphasizing the urgent need to undertake comprehensive security sector reform and work, as appropriate, on the disarmament, demobilization and reintegration of [national] armed groups and the disarmament, demobilization, repatriation, resettlement and reintegration of foreign armed groups in order to achieve long-term stability in [the country concerned], Recognizing the necessity of creating security conditions to achieve sustainable economic development, and emphasizing the importance of the contribution made by international partners in these areas."	1
"Furthermore, the Coordination Action Mechanism decided to initiate the development of international standards for the control of small arms that are not different from those developed on mine action and on disarmament, demobilization and reintegration."	1
"The third and final round of the campaign was carried out from 28 May to 2 June and included, in addition to polio vaccination, the provision of vitamin A supplements and deworming tablets."	0
"The relative or absolute defeats that befell the traditional nationalist parties do not, of course, mean a defeat for political practice based on nationalist sentiments."	0
"2 - In paragraph 8 of that resolution, the Security Council decided to establish a working group of the Council entrusted with reviewing the reports of the mechanism referred to in paragraph 3 of the resolution, reviewing the progress achieved in developing and implementing the action plans referred to in paragraph 7 of the resolution, and considering any Other information shall be provided to him in this regard."	1
"22. Although joint operations against the Alliance of Patriots for a Free and Sovereign Congo and the Ndoma Defense of the Congo continue in North Kivu, MONUSCO continues to play a role in the LRA-affected areas of Orientale Province."	0
"But how can this be achieved when the two agreements and the authority of the law continue to be disdained? When our land remains occupied by force and our people are displaced from their cities and villages? In fact, how can all possible arrangements of mutual benefit and normalization begin when sovereign territories are neither respected nor demarcated?"	0
"The Ministry of Education is responsible for combating the trend towards extremism in educational institutions."	1
"The Government of the Republic of Uganda or its armed forces have never made any overt or covert attempt to enter the territory of the Democratic Republic of the Congo to launch an attack on LRA terrorists."	1
"Alarm data can only be stored for a limited time."	0
"On 12 November, the Council unanimously adopted resolution 2184 (2014), by which the Council renewed its authorization for States and regional organizations to combat piracy and armed robbery at sea off the coast of Somalia for an additional 12 months. The resolution stressed the need for comprehensive action to combat piracy, including addressing the underlying causes of this phenomenon. He called for the immediate and unconditional release of all hostages held by Somali pirates; He urged all States to ensure that anti-piracy activities take into account the need to protect women and girls, especially from exploitation."	1
"52 - Reiterates the need to strengthen ongoing cooperation between the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, by enhancing information exchange and coordination on visits to countries within their respective mandates, and facilitating and monitoring technical assistance relations with international and regional organizations and agencies, and on other matters of interest to all three Committees, expresses its intention to provide guidance to the Committees with regard to areas of common interest with a view to better coordinating their efforts and facilitating such cooperation, and requests the Secretary-General to make all necessary arrangements so that they can Teams can work as close as possible in a common space;"	0
"As requested in resolutions 2170 (2014) and 2178 (2014), the Council also received two briefings from the Chairs of the Security Council Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) on Al-Qaida and associated individuals and entities and the Security Council Committee established pursuant to resolutions 2170 (2014) and 2178 (2014). Resolution 1373 (2001) on combating terrorism."	1
"Both resolutions stress the responsibility of states to investigate and prosecute persons suspected of committing genocide, crimes against humanity, war crimes or other serious violations of international humanitarian law."	1
"On behalf of the Security Council Committee established pursuant to resolution 1373 (2001) on Countering Terrorism, I have the honor to submit the report of the Committee to the Security Council for its comprehensive consideration of the work of the Committee and its Executive Directorate in the period from 2011 to 2013 (see annex)."	1
"States must make their legislation and directives flexible and effective enough to cover emerging threats and continue to perform their preventive role."	1
"It is also surprising that no members of the parallel forces were arrested or prosecuted for these crimes."	1
"16. Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013). The exemption may be granted for: supplies intended exclusively for the support or use of the Peace Consolidation Mission in the Central African Republic and the African-led International Support Mission in the Central African Republic, The United Nations Integrated Peacebuilding Office in the Central African Republic and its Guard Unit, the African Union Regional Task Force and French forces deployed in the Central African Republic (para. 54 (a))(); or supplies of non-lethal military equipment intended exclusively for humanitarian and preventive purposes, and related technical assistance or training (paragraph 54 (b)); or Protective clothing, including bulletproof vests and military helmets, temporarily brought into the Central African Republic by United Nations personnel, media representatives, humanitarian and development personnel and associated personnel, for their personal use only (para. 54 (c)); or supplies of small arms and other related equipment intended exclusively for use in international patrols providing security in the Sangha River protected area shared by three countries to protect it from poaching, ivory and arms smuggling, and other activities contrary to the national laws of the Central African Republic or to the international legal obligations of the Central African Republic (Paragraph 54(d)); or the supply of weapons and related lethal equipment to the security forces of the Central African Republic, intended exclusively to support and be used in the security sector reform process in the Central African Republic, as previously approved by the Committee (para. 54 (e)); or sales or other supply of arms and related materiel or other provision of assistance or personnel (paragraph 54(f))."	1
"Other recent initiatives include: An Interim National Reconciliation Commission was established in August 2011, and the Government of Guinea and the Peacebuilding Commission reached agreement in September on a joint strategy to promote national reconciliation and security sector reform, among others."	1
"202. Ensuring that persons with important information are prepared to share it with the authorities and, as needed, to testify before the courts is a key issue in facilitating the investigation and appropriate prosecution of criminal conduct."	1
"Scheduled for Friday, 11 October 2002, at 10.20 a.m"	0
"Abdul Rahman Muhammad Dhafer Al-Dubaidi Al-Juhani is linked to Al-Qaeda or any cell affiliated with it or a group associated with it, splintered from it, or affiliated with it due to âparticipation in financing the actions or activities of [the Al-Nusra Front for the People of the Levant, also known as the Al-Nusra Front (QE.A.137.14)] Or planning, facilitating, preparing for, or committing it, or participating in it with, in its name, on behalf of, or in support of, and ârecruiting for it.â"	0
"However, Eritrea&#39;s position towards Somalia has proven, in the past two and a half years, to be more realistic and correct."	0
"609. The Committeeâs recommendation that the Security Council refer the situation to the International Criminal Court is based on the correct assumption that Sudanese courts are unwilling and unable to prosecute the perpetrators of the numerous international crimes committed in Darfur since 2003."	0
"The challenge is to ensure that our anger is translated into specific, purposeful action that produces early, measurable results."	0
"40. The Office continued to provide technical assistance in the field of counter-terrorism to countries in East Africa; For example, in close consultation with national authorities in Ethiopia, Djibouti, Somalia and Kenya, it has developed country programs dedicated to long-term assistance to strengthen their criminal justice response to terrorism in accordance with the rule of law and with due respect for human rights."	1
"Given the high levels of overseas workers in the subregion, and regional patterns of informal, non-bank remittance mechanisms, working to regulate alternative remittance systems and prevent abuse of non-profit organizations becomes a matter of priority."	1
"2. The Counter-Terrorism Executive Directorate was established for an initial period ending on 31 December 2007, to be comprehensively reviewed by the Security Council by 31 December 2005."	1
"The bodies of other international legal instruments - including the Council of Europe Convention on the Prevention of Terrorism - have begun to consider related issues such as incitement to terrorism and recruitment and training for this purpose."	1
"Law enforcement expertise will be focused within a dedicated, independent task force."	1
"5. The Executive Directorate will continue to strengthen its cooperation with relevant United Nations bodies, including the Monitoring Group of the Security Council Committee established pursuant to resolution 1267 (1999) and the Group of Experts of the Security Council Committee established pursuant to resolution 1540 (2004), as well as with international, regional and international organizations. Regional activities of all kinds, including in the context of the Committeeâs visits to Member States."	1
"390 - As noted above, the crime of plunder or pillage is a war crime under customary international law."	0
"Figures relating to the export of alluvial gold from Liberia indicate an increase in its production from 5.36 ounces ($1,317.93) in October 2001 to 192.90 ounces ($4,642.19) in January 2002."	0
"80- Four countries have comprehensive laws in the field of combating terrorism."	1
"This option would have the advantage of taking advantage of the willingness of Member States to allocate strong naval capabilities to address threats that arise on land."	1
"19 - Requests the Group of Experts to continue to coordinate its activities, as appropriate, with those of the African Union-United Nations Hybrid Operation in Darfur and with international efforts aimed at strengthening the political process in Darfur, and to provide in its interim and final reports an assessment of the progress achieved towards reducing violations by all parties For the measures imposed under paragraphs 7 and 8 of resolution 1556 (2005), paragraph 7 of resolution 1591 (2005) and paragraph 10 of resolution 1945 (2010), and for the progress made towards removing obstacles to the political process and threats to stability in Darfur and in the region violations of international humanitarian law or human rights violations or abuses, including attacks against the civilian population, sexual and gender-based violence, other grave violations and abuses committed against children, and other violations of the above-mentioned resolutions, and to provide the Committee with information on entities and individuals who meet Criteria for inclusion in the List contained in paragraph 3 (c) of Resolution 1591;"	1
"The integrated mission identified 32 women who had been subjected to conflict-related sexual violence in Timbuktu province, and referred them to non-governmental organizations prepared to assist them in filing their cases before the judiciary."	0
"ME Consortium did not provide evidence to prove that it paid for the November trip."	0
"5 - Requests the Secretary-General, pursuant to paragraph 6 of resolution 1980 (2011), to keep him informed of the final report referred to in paragraph 2 above, due 30 June 2011, as well as his future relevant reports on the United Nations Operation in CÃ´te dâIvoire and MINURSO. The United Nations in Liberia is informed of developments, measures taken and efforts being made to coordinate the operation and the mission to assist the Governments of CÃ´te d&#39;Ivoire and Liberia in monitoring their borders and surrounding areas, including providing information on how the movable assets are contributing to this effort, with attention to In particular, any movements of combatants or any cross-border transfer of weapons, and in this regard encourages the Operation and the Mission to jointly assist, within the framework of their mandates and within the limits of their capabilities and areas of deployment, the Governments of CÃ´te d&#39;Ivoire and the Government of Liberia in disarming those who endanger national reconciliation and the consolidation of peace;"	1
"The United Republic of Tanzania, Seychelles, Kenya and Mozambique have been or are being provided with coastal maritime surveillance and communications systems, to provide a âcommon pictureâ of the maritime domain."	1
"However, as in the case of time limits, a shift to majority voting would provide more balance in the Committee&#39;s current procedures, which require a unanimous decision to remove a name, so that the name would remain on the list even if it was not acceptable to all members of the Committee if it was proposed at Under the current circumstances."	0
"60. Under the general direction of the Mission headquarters, the heads of the Mission&#39;s regional offices are responsible for developing and implementing regional action plans to prevent sexual exploitation and abuse, in their respective regions."	1
"Recent reports of former combatants dying from disease and starvation in Kutakuli camp underscore the need for the Government to provide the necessary resources to improve poor conditions in pre-disarmament, demobilization and reintegration sites, including by making available the pledged contribution of $10 million to the new plan."	1
"23 - The situation in Guinea-Bissau (6 November 1998; 3 November 2011)."	0
"274 - The extradition of terrorists still faces many obstacles, and is neither smooth nor simple."	1
"Second, even when seeking peace in the midst of conflict, basic standards of human rights and international law must be maintained."	1
"(ii) Incentive financial incentive payments (4,978,033 Saudi riyals)"	0
"Decides that the mandate of [the Mission] shall include the following: ... (v) Assist the authorities of ... [the country concerned] in developing and implementing a program for the disarmament, demobilization and reintegration of former combatants, and the dismantling of militias and self-defense groups, consistent with the objectives of reconciliation and taking into account Special needs of demobilized children;"	1
