"","es_en_DEEPL","MatCoop"
"338","In some of its visits, particularly to less developed States, the Team found that relevant national agencies involved in counter-terrorism suffered from a serious lack of resources, especially in the area of border security, to the extent that even relatively senior officials did not have access to computers and other relevant technical means, and others did not have the necessary staff for critical tasks.",1
"339","It continued to participate in crime prevention working groups and to assist in the establishment of a women's police association in the region. UNOMIG provided Zugdidi police agencies with equipment donated by the Government of Switzerland, while setting aside a similar amount for Gali police agencies.",1
"340","That deadline was not met. On February 20, 2008, President Gbagbo signed a decree formalizing the establishment of a working group to develop the framework.",1
"341","According to the case law, in case of doubt it should also be established whether a) a group of persons is considered and in fact treated as part of one of the protected groups, and, in addition, b) they consider themselves to be part of one of those groups.",1
"342","Unity and Lagos states remain with sitting governors.",0
"343","As indicated in the report of the Secretary-General on the situation in Abkhazia, Georgia (S/2005/657), dated 19 October 2005, there have been positive developments in the conflict resolution process in that region since last summer.",1
"344","I am pleased to recall that since the Security Council adopted resolution 1559 (2004) on September 2, 2004, several of its provisions have been implemented: free and fair presidential and parliamentary elections were held, the Syrian Arab Republic withdrew its troops and military assets from Lebanon in April 2005, and the two countries established full diplomatic relations in 2009.",1
"345","58. The situation in the Indo-Pakistan subcontinent (December 4, 1971; December 27, 1971).",0
"346","In the Declaration, in addition to reaffirming the importance of accelerating preparations for the holding of elections in October, the parties agreed that the disarmament and dismantling of the militias should be completed by 20 August and that the troika comprising UNOCI, the Office of the Prime Minister of CÃ´te d'Ivoire and the African Union Mediation Mission would determine what additional steps needed to be taken to accelerate the process.",1
"347","Police and security services should be allowed to use special techniques, with due respect for human rights, during terrorism-related investigations, as well as when collecting evidence.",1
"348","The officer in charge of the crime scene, General Naji Mulaeb of the Internal Security Forces, arrived at the scene at 1:05 p.m. on 14 February 2005. He has released a report dated 3 March 2005 on the examination conducted by the Lebanese authorities [General Directorate of the Internal Security Forces, Beirut Police Unit, reference No. 95] in which he states the following:",1
"349","Similarly, with regard to the recipients of reparations, it was important to have a perspective that went beyond the individual victims and also took into account the affected communities;",1
"350","All Southern African States have adopted some legislative and other relevant counter-terrorism measures.",1
"351","At the end of the reporting period, the sanctions list of the Security Council Committee established pursuant to resolution 2140 (2014) included three individuals, who were designated on November 7.",0
"352","The first payment was not to be made at a specific time but rather when the work had been completed in a certain proportion (50% for the first payment).",0
"353","During the conflict, government soldiers committed a massacre in Monoko-Zohi and recently it was reported that government forces buried bodies in mass graves in Man and DananÃ©.",0
"354","(d) Air Force property (aircraft and aircraft engines): US$ 122,018,489.",0
"355","The newly established Mine Action Coordination Center seeks to improve mine contamination information and response, enhance the safety of United Nations personnel in the field, and provide technical and material support to mine action programs in Western Sahara.",1
"356","Recruitment of a protection specialist. Development and distribution of a brochure on the Convention on the Rights of the Child. IASC Task Force on Gender and Humanitarian Assistance (chaired by OCHA and WHO).",1
"357","2. Presentation of information by the Secretary General.",0
"358","45. Briefing by the Chairman of the African Union (31 May 2006; 31 May 2006).",0
"359","Seven States have institutional structures in place to implement counter-terrorism strategies.",1
"360","Point III of Articles 1 and 2 of Central Bank Circular 2852/98 provides that financial institutions are required to register the following transactions in the Central Bank's information system:",0
"361","An agreement is expected to be reached this month.",0
"362","The Government and the United Nations Country Team, with input from the World Bank, prepared a brochure on the Millennium Development Goals, which outlines the current situation in Timor-Leste and explains the policy implications of achieving the targets and indicators set.",1
"363","Case 2, Safet Ekrem Durguti (status: name removed from the List)",0
"364","Afghanistan will face decisive challenges in the coming months.",0
"365","At least three of the 142 Taliban on the list have been arrested, but the specific charges against them are not yet clear.",1
"366","Under the UNIPSIL Non-State Actors Project, the Political Parties Registration Commission continued to play a key role in implementing programs to build the capacity of political parties, including their women's and youth wings, to mitigate and resolve conflicts.",1
"367","The Mission has received reports that the death squads are composed of elements close to the Government, the presidential guard and a tribal militia of the President's ethnic group.",1
"368","While the Initiative was conceived in response to the increase in drug trafficking and transnational organized crime in West Africa, the transnational crime units will function as national and regional focal points to support analytical and technical capacity to respond to transnational threats.",1
"369","This report covers the period from 1 July to 31 December 2014. It provides an overview of developments and trends in West Africa and describes activities undertaken by UNOWA in the areas of good offices, enhancing subregional capacity to address cross-border and cross-cutting threats to peace and security, and promoting good governance, respect for the rule of law, human rights and gender mainstreaming.",1
"370","Attempts to export man-portable air defense systems",0
"371","Establishment of judicial and non-judicial accountability mechanisms in post-conflict countries that address, inter alia, crimes perpetrated against women; support for the establishment of gender-balanced panels of judges or commissioners of inquiry or commissions of inquiry.",1
"372","They had done their best to ensure that the conflict did not affect civilians. Their goal was to restore the dignity of the Ivorian people.",1
"373","4. Qadhafi, Muammar Mohammed Abu Minyar",0
"374","Furthermore, the Authority commends the progress made at the Algiers talks and invites all parties, in particular the leaders of the armed movements, to involve themselves personally in the process with a view to reaching an agreement without further delay on the basis of the draft presented to the parties by the mediation, which constitutes a sound basis for negotiations.",0
"375","In this regard, the Security Council urges the authorities in charge of the transition period to take swift action to effectively combat impunity and promote justice by bringing those responsible to justice.",0
"376","Furthermore, the information and evidence provided was insufficient to support the claim that the profit margin would have been 15%.",0
"377","To be held on Monday, December 22, 2003, at 4:05 p.m.",0
"378","Their discipline and behavior have been excellent, which is a credit to themselves and to the United Nations.",0
"379","To be held on Friday, February 27, 2009, at 10:00 a.m.",0
"380","At the conclusion of the discussion, a presidential statement (S/PRST/2004/16) was adopted, calling on Member States to provide political support and to provide and facilitate civilian and military personnel to enable the multiple operations to get off to the best possible start and to carry out their respective mandates effectively.",1
"381","- Ministry of Petroleum: 19 boxes with 83,156 documents;",0
"382","In December 2007, under the guidance of the Personnel Conduct and Discipline Unit, a comprehensive and mandatory program was completed to train all MINURSO staff on the standards to be followed, including on the prevention of sexual exploitation, abuse and harassment.",1
"383","9. Requests the Secretary-General to continue to report to it regularly, and at least every three months, on the situation in the Democratic Republic of the Congo and the activities of MONUC, and to provide it with updated and specific information on the military situation on an equally regular basis;",1
"384","Pursuant to resolution 2083 (2012), in July and December 2013, the Monitoring Team submitted reports to the Committee providing recommendations on how to improve the sanctions regime and enhance the impact of the sanctions and presented a threat assessment of the threat posed by Al-Qaida and its associates, as well as an update on the Team's activities.",1
"385","The United Nations Humanitarian Coordinator has launched an appeal for emergency humanitarian assistance to help the 20,000 families make it through the winter.",1
"386","Indeed, it is high time for the international community, and in particular the Security Council, to take effective measures to counter the illegal and criminal policies and practices of the Israeli regime and to put an end to its state terrorism against the Palestinian people and other peoples in the region.",0
"387","The Fact-Finding Mission investigating allegations of the use of toxic chemicals as weapons in the Syrian Arab Republic is continuing its work.",1
"388","All these acts of incitement to hatred and war create tensions in the Ivorian community.",0
"389","In order to ensure accountability for the crimes committed during the recent events, it is essential that investigations, indictments and trials are conducted impartially and without political interference, and that this is proven to have been done.",1
"390","The Security Council reiterates that States should prevent the direct or indirect supply, sale or transfer, directly or indirectly, to ISIL, the ANF and all other individuals, groups, undertakings and entities associated with Al-Qaida from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and spare parts for the aforementioned, and technical advice, assistance or training related to military activities, as well as its call upon States to find ways to intensify and expedite the exchange of operational information on arms trafficking and to strengthen the coordination of efforts at the national, subregional, regional and international levels.",1
"391","Furniture and fixtures: US$102,614",0
"392","Implementation of the Bureau's policy on gender equality and its action plan for gender mainstreaming in four areas of activity: coordination, information management, advocacy and policy.",1
"393","Available evidence shows that most of the bodies still in the morgues awaiting autopsy have gunshot wounds.",0
"394","Instead of the famous 2014 World Cup logo, which is composed of three victorious hands holding the globe forming the prestigious cup, the Palestinian Authority cartoon shows a ""trophy"" of three hands grasping three people whose arms are raised in an attitude of surrender.",0
"395","(b) Keep abreast of developments in the latest techniques to prevent the misuse of funds and to detect cases of terrorist financing using new payment methods; develop appropriate laws and regulations and enhance international cooperation to investigate and prosecute suspected misuse of new payment methods to finance terrorist activities;",1
"396","The PNTL General Commander withdrew weapons from the PNTL national armoury without the knowledge of the officer in charge of the armoury. On 23 March, 60 rifles and 50 boxes of ammunition of the Steyr brand were sent to the PRU facilities in Alieu. On 15 April, 10 Steyr rifles and ammunition were sent to the LiquiÃ§a police station.",0
"397","A workshop for Caribbean Community Member States will be held in July 2009 to draft responses to the three Security Council Committees dealing with counter-terrorism.",1
"398","Troops and police forces should be better prepared to perform protection tasks, in particular to prevent conflict-related sexual violence.",1
"399","In addition, the Committee received a notification, to which it responded, regarding the arms embargo linked to paragraph 13(a) of resolution 2009 (2011), which should not have been submitted, as it concerned non-lethal material to be provided to the Government of Libya.",0
"400","Organized crime and corruption have been characterized as the greatest threats to Kosovo's stability and the sustainability of its institutions.",0
"401","It was also noted that incidents involving the use of rocket-propelled grenades, a relatively heavy form of artillery for pirates, had declined from 43 in 2011 to 3 in 2013.",1
"402","The Team's advantage is the ability to collaborate with governments around the world and to reach out to external specialists to provide an integrated assessment of the threat posed by Al-Qaida and its related groups, and to promote an effective and fair targeted sanctions regime.",1
"403","The Committee, with the assistance of its Executive Directorate, organized a series of special activities with Member States and international and regional organizations on issues of common and topical interest, including the fight against terrorism through the use of new information and communication technologies.",1
"404","The first program component is the establishment of transnational crime units in CÃ´te d'Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone.",1
"405","On August 23, as part of the briefing by the Department of Political Affairs, the Under-Secretary-General for Political Affairs said that the staff of the Office for the Coordination of Humanitarian Affairs was conducting an assessment mission in the Syrian Arab Republic and referred to the Secretary-General's statement that, despite his commitment to do so, President Al-Assad had not stopped the use of force against the civilian population.",0
"406","He called the Acting Chief of the Beirut Police, General Naji Mulaeb, informed him of Mr. Nammar's call and asked him to make sure that Judge Mezher was aware of this decision.",0
"407","Through the Community Watch initiative, UNMIK has strengthened its ties with local communities.",1
"408","The three countries are aware of the existence of the sanctions regime and are taking steps to improve its implementation, but have not yet fully understood how the regime could help them respond to the threat at the national and regional levels.",1
"409","The most relevant developments for UNMOVIC's monitoring mandate were biosensors and spectral methods, such as mass spectrometry and Raman spectrometry, in combination with various chromatographic and immunological methods.",0
"410","(c) Order the person receiving the detainee to take the detainee to the foreign State and, upon the detainee's return to Tonga, to return the detainee to the place of confinement in Tonga specified in the order;",0
"411","We believe that Palestine will remain the greatest challenge in the Middle East.",0
"412","For example, areas such as Pujehun, Bonthe and Bo districts in the southern province, as well as parts of Kenema district in the eastern province, have been accessed.",0
"413","Mindful of the demand of the people of Lebanon that all those responsible for the terrorist bombing that killed former Lebanese Prime Minister Rafiq Hariri be identified and held accountable for their actions,",0
"414","Four States have effective legal systems that ensure mutual legal assistance and extradition but no State has adequate mechanisms in place to exchange information in a timely and effective manner with their international counterparts.",1
"415","From September 4 to 6, 2011, the first consultative meeting on the end of the transition in Somalia was held in Mogadishu.",0
"416","Also as part of this summit, the Council will seek to strengthen coordination with other multilateral bodies working in this area, such as the Counter-Terrorism Implementation Task Force and its 31 entities, the United Nations Counter-Terrorism Center, the United Nations Office on Drugs and Crime and the International Criminal Police Organization (INTERPOL).",1
"417","A system has been set up whereby victims of sexual exploitation and abuse would be referred, on a case-by-case basis, to a non-governmental organization for the necessary support.",1
"418","Although the Ivorian parties have not formally responded to the Facilitator's proposals, they have formed the basis of the discussions of the working group tasked with developing the framework for the reunification of the armed forces.",1
"419","To be held on Wednesday, November 22, 2006, at 10:00 a.m.",0
"420","In the last three months, MINUSTAH's Joint Special Investigations Brigade investigated at least four cases of alleged summary executions.",1
"421",":: Special measures to protect women and girls from gender-based discrimination and violence, rape and other forms of sexual abuse (access to legal redress; crisis centers, shelters; medical care; counseling and other assistance programs; monitoring and reporting mechanisms).",1
"422","General Moges concluded his presentation by warning that, with the arrival of the dry season, the risk of renewed hostilities was greater, which is why UNISFA had increased patrols, but stressed that without dialogue it would not be possible to prevent the situation from deteriorating at some point.",0
"423","In general, charitable donations are an indispensable financial resource, especially in many developing countries and those that have suffered major disasters.",1
"424","(b) City of Riyadh (1,425,000 riyals)",0
"425","At the 6492nd meeting of the Security Council, held on 28 February 2011, in connection with the consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President made the following statement on behalf of the Council:",0
"426","14. Notes the evolving nexus between terrorism and information and communications technologies, in particular the Internet, and the use of such technologies to commit terrorist acts and to facilitate such acts through their use in incitement, recruitment, financing or planning related to terrorism, and instructs the Counter-Terrorism Committee Executive Directorate to remain seized of this issue, in consultation with Member States, international, regional and subregional organizations, the private sector and civil society, and to advise the Counter-Terrorism Committee on alternative approaches;",1
"427","In North Africa and the Sahel and Sahara region, the impact of armed groups with extremist ideologies such as Al-Qaeda in the Islamic Maghreb has increased.",0
"428","The Department is responsible for the management and administration of the Kosovo Protection Corps and the planning, coordination and execution of emergency response to natural and other disasters.",1
"429","This cooperation resulted in the development and implementation of practical solutions in operational and naval coordination and legal and judicial matters, self-protection measures in the maritime transport sector, public diplomacy and interventions to disrupt pirate activities on land.",1
"430","The enforcement of these bans has also benefited from the public notoriety of those subject to them, which makes them more recognizable and decreases the likelihood that they will travel under a false identity.",1
"431",":: Report to the Committee established pursuant to resolution 1540 (2004) after each meeting",1
"432","The Security Council encourages Member States to establish and maintain an effective and rule of law-based national criminal justice system with provisions for criminal and judicial cooperation in relation to extradition and mutual legal assistance, in particular to expedite, simplify and prioritize requests for extradition and mutual legal assistance in terrorism-related cases and to apply international and regional best practices in the field of extradition and mutual legal assistance, in accordance with international law, in particular human rights law, refugee law and humanitarian law.",0
"433","Belarus, the Russian Federation and Ukraine have implemented fully operational financial intelligence units. In 2010, Belarus and Ukraine adopted amendments to their laws on money laundering and combating the financing of terrorism regarding customer identification and customer due diligence, record keeping, determination of beneficial ownership and suspicious transactions.",1
"434",":: Bank remittances to suppliers made by the Kampala company on behalf of Ituri traders.",0
"435","Different activities have different opinions about the effectiveness of online terrorist training materials because even with a very thorough and accurate theoretical orientation, some hands-on training and experimentation is also needed to solve operational problems.",1
"436","UNMIS is also establishing new referendum support bases to provide support at the county level in South Sudan.",1
"437","5. Stresses the importance of good governance and the need to combat corruption, money-laundering and illicit financial flows, in particular by implementing the United Nations Convention against Corruption and the comprehensive international standards set out in the revised Forty Recommendations of the Financial Action Task Force (FATF) on Combating Money-Laundering and the Financing of Terrorism and the Proliferation of Arms, including through the adoption and effective implementation of legislative and regulatory measures, to enable competent national authorities to freeze, seize, confiscate and manage criminal assets, in order to combat illicit financial activities, including the financing of terrorism and money-laundering, and encourages States, including by adopting and effectively enforcing legislative and regulatory measures to enable competent national authorities to freeze, seize, confiscate and manage criminal assets in order to combat illicit financial activities, including the financing of terrorism and money laundering, and encourages States in the African region to continue their collaboration with FATF-style regional bodies, such as the Intergovernmental Action Group against Money Laundering in West Africa (GIABA), the Eastern and Southern Africa Anti-Money Laundering Group (ESAAMLG) and the Middle East and North Africa Financial Action Task Force (MENAFATF);",1
"438","Requests the Secretary-General to develop effective guidelines and strategies to enhance the capacity of relevant United Nations peacekeeping operations, consistent with their mandates, to protect civilians, including women and girls, from all forms of sexual violence, and to systematically include in his written reports to the Council on conflict situations his observations regarding the protection of women and girls and his recommendations thereon.",1
"439","On July 18, 2011, the Council held a private meeting with troop- and police-contributing countries to the African Union-United Nations Hybrid Operation in Darfur (UNAMID).",1
"440","101. Complaints have been filed in relation to:",0
"441","Welcome to this historic city, whose past I have briefly referred to.",0
"442","Central Asian States have strengthened law enforcement measures since the previous report by expanding interagency cooperation and information sharing, and by creating and using crime and other databases, both nationally and internationally, in support of counterterrorism law enforcement efforts.",1
"443","On the eve of the demonstration, PNTL Commander General Martins issued a written order regarding PNTL deployment and use of force: the Dili District Police would conduct foot patrols, the Escort Unit would protect state leaders and the Police Reserve Unit would patrol ""critical areas"".",1
"444","It is therefore essential that command and control of armed forces operations be exercised at the central level.",0
"445","The Coordinator made three visits to the region (in February, April and May) to coincide with the meetings of the Technical Sub-Committee and the Tripartite Commission. On February 9, 2011, he was received by Sheikh Mohammed Al-Sabah Al-Salem Al-Sabah, Deputy Prime Minister and Minister of Foreign Affairs of Kuwait, who indicated that the emerging spirit of cooperation between Iraq and Kuwait must be translated into practical and result-oriented steps towards the resolution of outstanding issues, including the issue of archives of missing persons and property.",0
"446","Mogadishu airport is large and has plenty of capacity to handle larger operations.",0
"447","46. Yuta Furukawa, from the Japanese channel TBS, on December 19.",0
"448","III. Application of the provisions of paragraph 9",0
"449","Take note of the information provided by the secretariat regarding the Office of Internal Oversight Services audit of awards payments, Palestinian category D late claims and settlement activities, the draft text of the section on the Compensation Commission to be included in the 2005 annual report of the Office of Internal Oversight Services, the participation of the representative appointed by the Office of Internal Oversight Services in the ongoing work of the secretariat to identify potential duplication of category A and C claims, the request of the United Nations Board of Auditors for comments on its draft comments on the Board's payment-related visits to Jordan and Kuwait, the Board's request for comments on its draft report on the status of implementation of the recommendations arising from its audit of the Commission's financial statements for the biennium 2002-2003, and the Commission's communications with the Independent Inquiry Committee; to request the secretariat to provide an update on this matter at a future informal meeting of the Governing Council; and to keep this matter on the agenda of the Governing Council.",1
"450","Threats and intimidation also impede children's access to school.",0
"451","Report of the Secretary-General on the United Nations Integrated Mission in Timor-Leste (S/2007/50).",0
"452","18. On 31 December 2002, a MONUC special investigation team went to the Beni area to investigate allegations of serious human rights violations (arbitrary executions, rape, torture and enforced disappearances) in the town of Mambasa and in the villages along the Mambasa/Mangina and Mambasa/Erengeti axes.",0
"453","The situation in the Middle East (see S/7913, S/7923, S/7976, S/8000, S/8048, S/8066, S/8215, S/8242, S/8252, S/8269, S/8502, S/8525, S/8534, S/8564, S/8575, S/8584, S/8595, S/8747, S/8753, S/8807, S/8815, S/8828, S/8836, S/8885, S/8896, S/8960, S/9123, S/9135, S/9319, S/9382, S/9395, S/9406, S/9427 and Corr.1, S/9449, S/9452, S/9805, S/9812, S/9930, S/10327, S/10341, S/10554, S/10557, S/10703, S/10721, S/10729, S/10743, S/10770/Add.4, S/10855/Add.15, 16, 23, 24, 29, 30, 33, 41, 43 and 44; S/11185/Add.14-16, 21, 42/Rev.1 and 47; S/11593/Add.15, 21, 29, 42 and 49; S/11935/Add.21, 42 and 48; S/12269/Add.12, 13, 21, 42 and 48; S/12520/Add.10, 11, 17, 21, 37, 39, 42, 47 and 48; S/13033/Add.2, 16, 19, 21, 23, 34, 47 and 50; S/13737/Add.15, 16, 21, 24 to 26, 33, 47 and 50; S/14326/Add.10, 11, 20, 24, 28, 29, 47 and 50; S/14840/Add.8, 21 to 25, 27, 30 to 33, 37, 42 and 48; S/15560/Add.3, 21, 29, 37, 42, 45, 47 and 48; S/16270/Add.6 to 8, 15, 20, 21, 34, 35, 40 and 47; S/16880/Add.8 at 10, 15, 20, 20, 21, 41 and 46; S/17725/Add.2, 15, 21, 28, 35, 38, 43 and 47; S/18570/Add.2, 21, 30 and 47; S/19420/Add.2-4, 18, 19, 22 and Corr.1, 30, 48 and 50; S/20370/Add.4, 12, 16, 21, 30, 32, 37, 44, 46, 47 and 51; S/21100/Add.4, 21, 30 and 47; S/22110/Add.4, 21, 30 and 47; S/23370/Add.4, 7, 21, 30 and 47; S/25070/Add.4, 21, 30 and 48; S/1994/20/Add.3, 20, 29 and 47; S/1995/40/Add.4, 21, 29 and 47; S/1996/15/Add.4, 15, 21, 30 and 47; S/1997/40/Add.4, 21, 30 and 46; S/1998/44/Add.4, 21, 30 and 47; S/1999/25/Add.3, 20, 29 and 46; and S/2000/40/Add.4, 15, 20, 21, 24, 29 and 47; see also S/2000/40/Add.39, 44, 46, 47 and 50; and S/2001/15/Add.11-13).",0
"454","However, we strongly request that greater efforts be made to follow up on the information collected from Member States as part of counter-terrorism efforts.",0
"455","Formulation by the Department of a gender action plan to integrate gender perspectives into its conflict prevention, peacemaking and peacebuilding activities.",0
"456","(i) Contribute to the protection of civilians in danger, in particular refugees and displaced persons;",1
"457","This understanding will be tested in the coming months.",0
"458","This method was used to reduce the possible loss of weapons to the activities of naval forces.",1
"459","The revised strategy foresees the preparation of more concrete, detailed and advanced technical proposals and a more active collaboration of the Executive Directorate with the main donors to better understand their priorities and capacities.",1
"460","President's Statements were adopted on children and armed conflict (S/PRST/2002/12), East Timor (S/PRST/2002/13), elections in Sierra Leone (S/PRST/2002/14), admission of new members (S/PRST/2002/15), Kosovo (S/PRST/2002/16), the Democratic Republic of Congo (S/PRST/2002/17) and UNDOF (S/PRST/2002/18).",1
"461","Coastal maritime surveillance and communications systems have been or are being supplied to Kenya, Mozambique, Seychelles and the United Republic of Tanzania to provide a shared view of the maritime environment.",1
"462","120. These costs are usually considered part of the overhead and may be included in the price in various ways.",0
"463","However, concern remains for the 2.3 million people who continue to be in a crisis situation.",0
"464","16. Decides to remain seized of the matter.",0
"465","Terrorist threats to this region are somewhat different in origin and nature, but their effects are similar.",0
"466","For example, in 2009, Tunisia amended Law No. 2003-75 criminalizing incitement to commit terrorist acts in order to differentiate ""incitement to hatred"" and ""religious radicalization"" from terrorism offenses.",1
"467","The situation regarding the Democratic Republic of the Congo.",0
"468","To achieve sustainable repatriation and viable minority communities, a broader decentralization process will be needed.",1
"469","(a) Promote the adoption of national counter-terrorism legal frameworks that are both comprehensive and integrated, consistent with the rule of law and human rights obligations, and strengthen national capacity to investigate, prosecute and adjudicate terrorist acts, including by requesting assistance to develop such capacity, as necessary;",1
"470","r) Ratify without delay the International Convention for the Protection of All Persons from Enforced Disappearance, the Convention on the Rights of Persons with Disabilities, the Rome Statute of the International Criminal Court and the core conventions of the International Labor Organization.",1
"471","New regional and bilateral mechanisms have been created for law enforcement cooperation, such as early warning mechanisms and intelligence cooperation.",1
"472","(a) Continue to ensure that any measures taken to combat terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law;",1
"473","Torture and cruel treatment are prohibited by common article 3 of the Geneva Conventions.",1
"474","In resolution 2122 (2013), the Council expresses concern that in situations of armed conflict and post-conflict, women's vulnerability is exacerbated, particularly in relation to forced displacement, as a result of unequal citizenship rights, gender-biased application of asylum laws, and barriers to registering and obtaining identity documents that exist in many situations.",0
"475","While the HD and DF was being neutralized on the Cape Ray, a group of four OPCW inspectors was permanently aboard that vessel.",0
"476","Recalling the statement of its President (S/PRST/2012/17) of May 4, 2012, regarding threats to international peace and security caused by terrorist acts,",0
"477",":: Respect for the right of refugees and internally displaced persons to return voluntarily and in safety and dignity to their places of origin.",1
"478","[E]xhorts parties to armed conflicts to take all feasible precautions to protect the civilian population, including children, from the effects of mines and other explosive remnants of war, and in this regard encourages the international community to support the efforts of countries to clear landmines and other explosive remnants of war, and to provide assistance for the care, rehabilitation and economic and social reintegration of victims, including persons with disabilities.",1
"479","However, the ability of the Lebanese State to fully exercise its authority throughout its territory remains limited and the occurrence of a series of security incidents demonstrated once again that armed groups outside the control of the State, as well as the proliferation of weapons, pose threats to Lebanon's security.",0
"480","19. Chapter 44 of the Customer Account Control and Protection Act.",0
"481","The crude oil is normally stored and refined on Kharg Island, from where it is exported.",0
"482","The number has since doubled to 16, in addition to the Special Advisor, and more observers and UN Volunteers are being recruited.",1
"483","In accordance with paragraph 32 of this resolution, the Monitoring Team shall work under the direction of the Committee established pursuant to resolution 1267 (1999) and shall perform the following functions:",1
"484","The financial intelligence unit began operational activities in the early 1990s. A law was established to address a growing problem of money laundering by organized criminal groups, which was amended in 2002 to include the suppression of terrorist financing. Money market agents"" were required to identify their clients, keep records of client identity and client account activity for at least seven years after the account was closed, and report to the agency any large cash transactions (over $7,000), suspicious transactions, and instructions for the transfer of funds into or out of the country.",1
"485","22. Recalls the request in resolution 2178 (2014) for the Analytical Support and Sanctions Monitoring Team, in close cooperation with all relevant United Nations counter-terrorism bodies, to submit a report to the 1267 (1999) and 1989 (2011) Committee within 180 days on the threat posed by foreign terrorist fighters recruited by or joining ISIL, the ANF and all groups, businesses and entities associated with Al-Qaida, and reiterates that this report should also address trends regarding foreign terrorist fighters joining and collaborating with all terrorist groups on the Al-Qaida 1267 Sanctions List, and should include oral briefings to the Committee, which in turn will report orally to the Security Council at its next regular counter-terrorism briefing on those operating in Africa.",1
"486",":: Deployment of qualified and properly trained international civilian police as a component of peacekeeping operations to augment United Nations capacity and assist the host State in law enforcement.",1
"487","2. Analysis and valuation 249 - 258 59",0
"488","In this regard, we are particularly concerned about the lack of progress in terms of freedom of movement for minorities, sustainable returns and meaningful representation of minorities in government structures and in the public sector in general.",0
"489","Integration of gender perspectives in the formulation and conduct of post-conflict environmental assessments.",1
"490","Cases of money laundering and terrorist financing have been detected in which these new payment methods have been used. However, States are finding it difficult to enact laws and regulatory systems that are commensurate with the characteristics of these payment methods, which are evolving at an increasingly rapid pace.",0
"491","However, little progress was made in harmonizing and increasing international partner support for FARDC reform initiatives that are the responsibility of the Government.",0
"492","Communiqué of the Secretary-General's Personal Envoy to Western Sahara",0
"493","Acknowledges the policy of cooperation demonstrated by neighboring States, including [list of relevant States], in keeping their borders open to refugees ... ..., and encourages those States to maintain that policy and to contribute to the stabilization of the situation wherever possible;",1
"494","The Security Council notes with concern that terrorism continues to constitute a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of States, and undermines global stability and prosperity, and that this threat has become more diffuse, with an increase in terrorist acts in various regions of the world, including acts motivated by intolerance and extremism, and reaffirms its determination to combat by all means, in accordance with the Charter of the United Nations and international law, including applicable human rights, refugee and humanitarian law, threats to international peace and security caused by terrorist acts.",0
"495","I welcome the progress that has been made in clearing mines and explosive remnants of war in Western Sahara.",1
"496","Preliminary stage: at the beginning of the second mandate, in June 1999, a considerable number of preliminary motions were pending.",0
"497","As a first step, I asked Mr. van Walsum to establish contacts with the parties and neighboring States to seek their views on the next steps to be taken.",1
"498","S/RES/1894 (2009), para. 5",0
"499","The Security Council requests the Secretary-General to intensify cooperation between the United Nations and the member States of the Central African Economic and Monetary Community (CEMAC) in order to facilitate and strengthen efforts to address the issue of cross-border insecurity in the subregion and to put an end to violations of the territorial integrity of the Central African Republic by armed groups.",1
"500","C. Support to people affected by the conflict",1
"501","The Council of the League of Arab States, meeting at ministerial level,",0
"502","The Commission has forwarded and will continue to forward to the Lebanese authorities any information related to a criminal case that falls outside the scope of the Commission's investigation.",1
"503","2. Losses related to the payment of",0
"504","Educational institutions that refused to register or had links to banned terrorist organizations were closed.",1
"505","S/RES/1894 (2009), para. 27.",0
"506","Brazil is also convinced that in order to achieve a stable Somalia, it is necessary to adopt a comprehensive strategy that combines security and development.",0
"507","The Netherlands has earmarked more than 400 million euros for a four-year action plan (launched in 2007) to prevent radicalization.",1
"508","Council members reiterated their support for the Special Envoy's attempt to engage the two parties to cooperate to end the stalemate in the peace process and urged both sides to explore ways to move the demarcation process forward.",0
"509","Protection of the civilian population in eastern Chad is not simply about ensuring the physical security of refugees, displaced persons and humanitarian aid workers and providing logistical support and hard-walled structures for DIS.",1
"510","4. Urges the Counter-Terrorism Committee Executive Directorate to continue to strengthen its role in providing technical assistance for the implementation of resolution 1373 (2001) in order to enhance the counter-terrorism capacity of Member States by addressing their counter-terrorism needs;",1
"511","Questioning the fundamental cornerstones of Palestinian legitimacy and national aspirations cannot be in the interest of the Palestinian people.",0
"512","Report of the Secretary-General on the African Union-United Nations Hybrid Operation in Darfur (S/2011/244)"".",0
"513","Most of the children who have been associated with armed groups in Nepal have left without any measures for their recovery and reintegration, nor a framework for their protection.",1
"514","Welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/RES/60/288) on 8 September 2006 and the establishment of the Counter-Terrorism Implementation Task Force to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system,",1
"515","In order to more effectively monitor the implementation of resolutions 1373 (2001) and 1624 (2005) by Member States, CTED will continue to take stock of their efforts to implement the resolutions, using the revised assessment tools available to the Committee (the Implementation Assessment Synopsis and the Detailed Implementation Survey); seek to identify the challenges and needs of all Member States and regions; and facilitate the provision of targeted technical assistance in this regard.",1
