"en_es_TRANSFORMERS"	"MatConf"
"Por ejemplo, en el caso del genocidio, una persona que pretenda asesinar a un grupo de personas pertenecientes a un grupo protegido, con la intención específica de destruir al grupo (total o parcialmente), puede estar motivada por el deseo de apropiarse de los bienes pertenecientes a ese grupo o grupo de personas o por el deseo de vengarse de ataques anteriores de miembros de ese grupo o por el deseo de agradar a sus superiores que desprecian a ese grupo."	1
"A. Temas sujetos a las disposiciones de la RCSNU 1051 (1996)."	0
"La cooperación internacional y regional para impedir la realización de los llamamientos a todos los Estados Miembros, en particular a los Estados de la región, actuando a nivel nacional o por conducto de organizaciones o acuerdos regionales, a fin de asegurar la aplicación estricta del embargo de armas establecido en [la disposición de la resolución pertinente], inspeccionar en su territorio, incluidos los puertos marítimos y los aeropuertos, y en alta mar, buques y aeronaves con destino o procedentes del [Estado afectado], si el Estado interesado dispone de información que ofrezca motivos razonables para creer que la carga contiene artículos cuyo suministro, venta, transferencia o exportación estén prohibidos por [el párrafo de la resolución pertinente]..., incluido el suministro de personal mercenario armado, exhorta a todos los Estados del pabellón de esos buques y aeronaves a que cooperen con esas inspecciones y autoriza a los Estados Miembros a que utilicen todas las medidas acordes con las circunstancias específicas para llevar a cabo esas inspecciones."	1
"Sin duda, los soldados de ambas partes murieron en los combates y, con toda probabilidad, primero las fuerzas rebeldes y luego las fuerzas del Gobierno tomaron represalias."	1
"En función de las circunstancias de cada caso, se puede sospechar a esas personas, con arreglo a la doctrina de la empresa delictiva conjunta, de haber cometido los crímenes de lesa humanidad del asesinato de civiles, el confinamiento forzoso de civiles y el desplazamiento forzoso, y el crimen de guerra de destrucción de objetos civiles."	1
"En la madrugada del 11 de julio, hombres armados desconocidos irrumpieron en la casa de Abdul Qadir Yahya, un activista por la paz de larga data y miembro de alto rango del Centro de Investigación y Diálogo, y lo asesinaron."	1
"Considerar la posibilidad de remitir situaciones de genocidio, crímenes de lesa humanidad o crímenes de guerra a la Corte Penal Internacional."	1
"51. La situación en el Chad, la República Centroafricana y la subregión (27 de agosto de 2007; 20 de diciembre de 2010)."	0
"a) Las víctimas que hayan sufrido lesiones corporales importantes o un deterioro de la salud física o mental como consecuencia de delitos graves;"	1
"A este respecto, el Gobierno ha producido lo siguiente:"	0
"Todo el mundo se preguntaba sobre su propio futuro."	0
"La MINUSMA considera que el trato recibido por los detenidos durante la detención y el interrogatorio puede constituir tortura u otros tratos o penas crueles, inhumanos o degradantes."	1
"Se espera que el debate de la cuestión por la Asamblea General dé un impulso adicional significativo al establecimiento de un sistema mundial eficaz para hacer frente a las nuevas amenazas y desafíos, en interés de todos los miembros de la comunidad internacional."	0
"Protección y preservación del medio marino"	0
"En el Plan de Acción para todo el sistema de las Naciones Unidas correspondiente a 2008-2009 se esbozaron los objetivos en cada una de las esferas temáticas (S/2007/567, párr. 42) de la manera siguiente:"	0
"A nuestro juicio, el proceso debe llevarse a cabo de manera que todos los afganos puedan participar por igual en las elecciones, teniendo en cuenta al mismo tiempo las dificultades con que tropezamos en materia de seguridad."	0
"La relación entre el servicio de la deuda y las exportaciones se estima en el 55% para el año 2000."	0
"Queda por ver si puede vincularse con los extremistas de Nigeria en una alianza eficaz."	1
"a) Funcionamiento y mantenimiento de instalaciones críticas (110.700 riyals);"	0
"Varias regiones también han concertado acuerdos específicos para controlar la exportación, la importación y el tránsito de esas armas."	0
"Los frecuentes ataques de los talibanes y los terroristas relacionados con Al-Qaida en el Afganistán demuestran que persisten las violaciones del embargo de armas a pesar del programa de desarme del Gobierno."	1
"Está previsto que el fallo se dicte a mediados de 2009."	0
"El certificado final de mantenimiento se expidió el 15 de diciembre de 1988 y el 20 de agosto de 1989 Wolff & Müller envió su cuenta final a Amanat."	0
"\"El Consejo de Seguridad recuerda sus resoluciones relativas a Osama Bin Laden y su condena de la red Al-Qaida y otros grupos terroristas asociados por los múltiples actos terroristas criminales destinados a causar la muerte de numerosos civiles inocentes y la destrucción de bienes."	1
"Otras tareas de la Oficina del Ombudsman"	0
"- El 5 de noviembre de 2014, las fuerzas del régimen atacaron la Escuela Primaria Hazrma en Damasco Rural, hiriendo a un niño."	1
"También se señaló que el número de incidentes relacionados con el uso de granadas propulsadas por cohetes, artillería relativamente pesada para piratas, había disminuido de 43 en 2011 a 3 en 2013."	0
"Las cuestiones relativas a los crímenes de lesa humanidad se evalúan sobre la base de las definiciones establecidas en el derecho penal internacional consuetudinario y en el Estatuto de Roma de la Corte Penal Internacional."	0
"Perpetración o coautoría de crímenes internacionales"	1
"Después, los soldados asaltaron casas, arrestaron a jóvenes y los llevaron a autobuses militares."	1
"El aumento de la capacidad militar y de policía de que dispone la MINUSTAH se sumará a la de la Policía Nacional de Haití y a la de 3.600 auxiliares locales de seguridad electoral (véase S/2005/313, párr. 10)."	1
"Por ejemplo, Burkina Faso concede importancia a la lucha contra el extremismo violento y se esfuerza por contrarrestar los intentos de reclutar terroristas."	1
"2. La situación en Côte d'Ivoire."	0
"Los edificios restantes fueron destruidos por la quema."	1
"2. En la resolución se dispone que el plan abarcará:"	0
":: ¿Cómo puede proseguirse la cooperación más eficaz con las organizaciones regionales de la Comisión de Consolidación de la Paz, especialmente en lo que respecta a garantizar una transición sin tropiezos de la gestión de los conflictos a la estabilización y consolidación de la paz después de los conflictos, donde más se necesita la implicación regional?"	0
"La creciente convergencia entre los métodos de financiación del terrorismo, especialmente a nivel local, y otras actividades delictivas, ha hecho aún más difícil distinguir unos de otros."	1
"Se ha informado de que elementos de las FDLR se han dispersado en Kivu del Sur y de que su capacidad para circular libremente en los centros de población y atacar a civiles se ha visto limitada, pero no debe subestimarse la capacidad de las FDLR para llevar a cabo ataques, en particular habida cuenta de los limitados recursos, la escasa capacitación militar y la falta de disciplina de las unidades de las FARDC en la zona, así como la colaboración ocasional con los comandantes de las FDLR."	1
"o El 27 de noviembre de 2014, aviones de combate del régimen atacaron la escuela Dar al-Salam en la ciudad de Raqqa, destruyendo parcialmente uno de los edificios escolares."	1
"De conformidad con los artículos 255 y 256 del Código Penal, un tribunal con una sala de tres jueces resolverá los asuntos penales."	0
"Durante el último año, no menos del 94% de las 982 presuntas operaciones antiterroristas del régimen sirio se han dirigido contra fuerzas moderadas de la oposición."	1
"Afirma que esta documentación fue transportada desde el emplazamiento del proyecto en Al-Kazak a Bagdad, a una distancia de unos 400 kilómetros."	0
"El grupo final está formado por nuevos reclutas que se han radicalizado o se están radicalizando por acontecimientos mundiales o por extremistas en sus comunidades que ya han sido seducidos por el mensaje de Al-Qaida, o incluso por sitios web terroristas y en salas de chat en Internet."	1
"Por último, en el período de sesiones se subrayó la necesidad de estar abiertos al establecimiento de mecanismos innovadores y de trabajar para establecer sistemas amplios y que se refuercen mutuamente que vinculen a la Corte Penal Internacional, a cualquier posible tribunal híbrido y a los órganos nacionales, así como a los procesos penales y los programas de reparación."	0
"La mayoría de los conflictos actuales se libran principalmente con armas pequeñas y armas ligeras."	1
"\"El Consejo de Seguridad también recuerda los atroces ataques terroristas que tuvieron lugar el 11 de septiembre de 2001 en Nueva York, Washington, D.C. y Pennsylvania y los otros numerosos ataques perpetrados por la red en todo el mundo."	1
"El Grupo de Supervisión cree firmemente que los ingresos así obtenidos son utilizados por los responsables para ayudar a mantener sus milicias y para comprar armas."	1
"Varios testigos han declarado que se utilizaron términos abusivos e insultantes contra los detenidos, a quienes a menudo se llamaba \"esclavos\"."	1
"En Darfur meridional, según testigos, los rebeldes atacaron y saquearon una comisaría de policía y oficinas gubernamentales en Yassin en enero de 2004."	1
"Yarmouk ha estado sitiada desde junio de 2013."	0
"651. La Comisión también recomienda que las medidas destinadas a romper el ciclo de impunidad incluyan el ejercicio por otros Estados de la jurisdicción universal, como se indica en otras partes del presente informe."	0
"429. El Gobierno también citó su reconocimiento de tres casos de atentados con bombas por error y declaró que había indemnizado a las víctimas de Habila, Umm Gozin y Tulo."	1
"S/RES/1542 (2004), párr. 7 (III) b)"	0
"El ataque obligó a muchos civiles a refugiarse fuera de la ciudad, las Fuerzas Armadas Sudanesas sufrieron docenas de bajas y el SLM/A se retiró con cantidades de armas, municiones, combustible y otros suministros El 29 de septiembre se produjo otro ataque contra la propia ciudad de Tawilla, cuando la policía del Gobierno y las unidades de las Fuerzas Armadas Sudanesas entraron en la ciudad y, más tarde, en el campamento adyacente de desplazados internos de Dali, disparando contra civiles indiscriminadamente y sin provocación."	1
"Durante el ataque y el posterior confinamiento forzoso de la población, varias personas fueron sometidas a graves torturas para obtener información sobre los rebeldes, como castigo o para aterrorizar a la población."	1
"El Consejo de Seguridad también señala la importancia de una estrecha colaboración dentro de todos los organismos gubernamentales y con las organizaciones internacionales y entre ellos en la lucha contra el terrorismo y su incitación."	0
"Desde enero, la MONUSCO ha documentado más de 100 incidentes denunciados contra miembros y partidarios de la oposición política, periodistas y defensores de los derechos humanos."	1
"Al-Shabaab está demostrando una mayor capacidad para lanzar ataques terroristas complejos, incluso en la región en general, como lo demuestra recientemente el ataque del Westgate Mall de septiembre de 2013 en Nairobi."	1
"En el presente informe se examinan diversos aspectos de la cuestión de las armas pequeñas, haciendo hincapié en los efectos negativos que tienen las armas pequeñas ilícitas en la seguridad, los derechos humanos y el desarrollo social y económico, en particular en las zonas de crisis y en las situaciones posteriores a los conflictos."	1
"Por consiguiente, con el apoyo de la comunidad internacional y de las partes en el conflicto, la aplicación del acuerdo de cesación del fuego se llevará a cabo con seriedad."	0
"Sin embargo, también contenían un texto importante sobre la prevención del uso indebido y la mala disciplina de las FARDC."	0
"Incluso en el Afganistán, aunque funcionarios afganos y miembros de las fuerzas de la coalición han dicho al Equipo que están convencidos de que los talibanes se benefician de los enormes ingresos generados por el tráfico de drogas, es difícil demostrar ejemplos concretos."	1
"Norwegian Customs no utiliza el programa de manifiestos de pasajeros."	0
"49. Durante el período de hambruna se utilizó el adoctrinamiento ideológico para mantener el régimen, a costa de agravar gravemente el hambre y el hambre."	1
"El secuestro de un sacerdote francés en Camerún por Boko Haram y Ansaru trabajando juntos en noviembre de 2013 demuestra la capacidad de estos dos grupos para actuar más allá de las fronteras de Nigeria."	1
"El Consejo considera que el fortalecimiento de las actividades relacionadas con el estado de derecho es fundamental en las estrategias de consolidación de la paz en las sociedades que salen de un conflicto y destaca el papel de la Comisión de Consolidación de la Paz a este respecto."	0
"G. Duración de la misión de seguimiento"	0
"Las disposiciones del presente Reglamento se aplican independientemente de la cantidad o el valor."	0
"El Comité también está estudiando la posibilidad de presentar informes regionales colectivos y ha pedido al Equipo de Vigilancia que siga examinando esta opción."	0
"Sin embargo, el hecho sigue siendo que la financiación del terrorismo no sigue una pauta clara, en particular para las células locales que recaudan dinero para apoyar sus propias actividades."	1
"2. La situación en Côte d'Ivoire."	0
"b) El suministro, la venta o la transferencia de armas y material conexo a; c) el reclutamiento; o"	1
"X. El Gobierno Federal de Transición contabiliza las donaciones de la Arabia Saudita"	0
"118. La información presentada para este estudio deja claro que, a juicio de muchos Estados, la incitación a cometer actos de terrorismo sigue siendo un grave riesgo y una amenaza en gran parte del mundo, aunque en distintos grados."	0
"También cabe señalar que esta decisión de Rusia coincide con los actos de provocación de los separatistas y su intensa acumulación militar."	1
"Aunque en la mayoría de los incidentes las fuerzas del Gobierno tal vez no hayan participado en la destrucción, su complicidad en los ataques durante los cuales se llevó a cabo la destrucción y su presencia en el lugar de la destrucción son suficientes para que sean responsables conjuntamente de la destrucción."	1
"Reiterando además la obligación de los Estados Miembros de impedir la circulación de grupos terroristas mediante, entre otras cosas, controles fronterizos eficaces y, en este contexto, de intercambiar información sin demora, mejorar la cooperación entre las autoridades competentes para impedir la circulación de terroristas y grupos terroristas hacia y desde sus territorios, el suministro de armas para terroristas y la financiación en apoyo de los terroristas,"	1
"Esas personas fueron identificadas por testigos presenciales como participantes en un ataque contra una aldea, que a menudo entrañaba quemaduras, saqueos, asesinatos y a veces violaciones."	1
"Un oficial de la PNTL resultó muerto y dos resultaron heridos."	1
"22. Decide seguir ocupándose de la cuestión."	0
"Los principales autores de esos actos son los soldados y el personal de policía de las FARDC."	1
"El embargo de armas incluye \"armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipo militar, equipo paramilitar y piezas de repuesto para todos ellos\"."	1
"Sin embargo, a fin de reflejar la aprobación por el Consejo de Seguridad de la resolución 1624 (2005), la aprobación por la Asamblea General de la Estrategia global de las Naciones Unidas contra el terrorismo en su resolución 60/288, y la evolución de su propio pensamiento sobre la lucha contra el terrorismo, el Comité tal vez desee considerar la posibilidad de añadir las dos prioridades siguientes:"	0
"Así pues, el propósito de estos ataques es claro: exterminar a los moderados de Siria y erradicar nuestras fuerzas sobre el terreno."	1
"Es alentador que se hayan logrado avances constantes en las cuatro esferas prioritarias establecidas en el mandato de la UNMIT, incluidas iniciativas de diálogo sobre cuestiones nacionales críticas, nuevos progresos en la reanudación de las responsabilidades policiales primarias por la PNTL, la promulgación del conjunto de medidas legislativas de seguridad nacional, el Plan de Desarrollo Estratégico y el Plan Estratégico para el Sector de la Justicia en Timor-Leste."	0
"El desafío consiste en garantizar que nuestra indignación se traduzca en medidas decididas y decididas, que produzcan resultados tempranos y mensurables."	0
"Según el Irán, su análisis de las imágenes satelitales y los datos meteorológicos revela claramente que el hollín se encontraba principalmente en las provincias meridional y sudoccidental del Irán."	0
"Que se celebrará el jueves 19 de abril de 2012, a las 10.45 horas"	0
"Además, el intercambio de información sobre la cooperación interinstitucional, las actividades de aplicación de la ley, la planificación voluntaria de la aplicación y los datos sobre el calendario fueron una de las medidas propuestas para mejorar la comprensión por el Comité de las medidas nacionales de aplicación de conformidad con la resolución 1540 (2004)."	0
"Además, los defensores de los derechos humanos han denunciado casos de robo, violencia y saqueo perpetrados por las fuerzas de seguridad y la población civil contra los habitantes de esos barrios."	1
"Posteriormente, la Dependencia de Fusión de Información sobre Todas las Fuentes fundió y analizó los datos recopilados, y comenzó a capacitar a las unidades de infantería en materia de sensibilización e intercambio de información para mejorar la corriente de información dentro de la fuerza de la MINUSMA."	0
"Para camuflar esos hechos, a veces se visten con uniformes militares a fin de transmitir la percepción errónea de que los militares oficiales son responsables de perpetrar esa violencia."	0
"130. En el viaje se pusieron de relieve los problemas con que tropezaban los países en el proceso de establecimiento de marcos jurídicos e institucionales para combatir el terrorismo en un entorno político, social y económico inestable."	0
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"Por ejemplo, a los Estados de la región del Sáhara les ha resultado difícil hacer frente a los campamentos móviles de adiestramiento de terroristas dirigidos por Al-Qaida en el Magreb Islámico (QE.T.14.01)."	1
"43. La situación en Myanmar (15 de septiembre de 2006; 13 de julio de 2009)."	0
"Además, hemos agudizado el enfoque de nuestros esfuerzos para ser aún más eficaces en el Afganistán, y específicamente en la provincia de Kandahar."	0
"En otras palabras, las víctimas perciben a los atacantes como personas pertenecientes a un grupo diferente y hostil."	1
"Las personas que son repatriadas por la fuerza desde China suelen ser sometidas a torturas, detenciones arbitrarias, ejecuciones sumarias, abortos forzados y otras formas de violencia sexual."	1
"Ubicación: 18 Mehrshad Street, Sadaghat Street, Frente a Park Mellat, Vali-e-Asr Ave., Teherán, Irán; 265, Junto a Mehrshad, Sedaghat St., Frente a Mellat Park, Vali Asr Ave., Teherán 1A001, Irán"	0
"Por ejemplo, una unidad militar, actuando bajo órdenes superiores, se propone detener, en contravención del derecho internacional, a una serie de civiles enemigos. Uno de los soldados, en el calor de la acción militar, mata o tortura a uno de esos civiles."	1
"Se ha hablado mucho de la financiación del terrorismo mediante las drogas, incluso en los convenios internacionales y las resoluciones del Consejo de Seguridad."	0
"El Alto Representante/Representante Especial dejó claro que, debido a que las autoridades de la República Srpska y el Ministerio del Interior de la República Srpska en particular no habían detenido a las personas acusadas de crímenes de guerra y a que Bosnia y Herzegovina no se había adherido a la Asociación para la Paz de la OTAN, se encomendaría a la Comisión que formulara recomendaciones para establecer una estructura policial única y eficaz para toda Bosnia y Herzegovina."	0
"En tercer lugar, los talibanes han sufrido la muerte o la detención de muchos dirigentes de nivel medio y algunos altos mandos, y aunque muchos pueden ocupar su lugar, los nuevos comandantes son más jóvenes y tienen menos vínculos con la Shura de Quetta, que por lo tanto tiene menos control sobre sus acciones y un trabajo más difícil para afirmar su autoridad sobre el movimiento en su conjunto."	1
"El Equipo de Tareas será administrado por un Presidente y un Vicepresidente, con el apoyo de la Secretaría de la APEC."	0
"b) Aumentar su capacidad para congelar sin demora fondos y activos de terroristas mediante la creación de mecanismos nacionales de \"congelación\" que complementen los marcos regionales;"	1
"Los ataques en el Afganistán muestran cada vez más la influencia de los métodos de Al-Qaida en el Iraq, con atentados suicidas con bombas y decapitaciones cada vez más frecuentes, y las pruebas que se muestran en la televisión."	1
"Uno de los soldados agarró al niño y lo tiró al costado del camino."	1
"La Misión siguió dando alta prioridad a la política de tolerancia cero con respecto a la explotación y los abusos sexuales, incluso mediante la organización de sesiones informativas introductorias y la capacitación periódica de todo el personal de las Naciones Unidas sobre la prevención de la explotación y los abusos sexuales."	0
"Sr. Christopher Greenwood (Reino Unido de Gran Bretaña e Irlanda del Norte)"	0
"Este arreglo se basaba en la observancia de los dos Acuerdos en su totalidad."	0
"Exigiendo la cesación inmediata y completa por todas las partes en los conflictos armados de todos los actos de violencia sexual contra civiles de conformidad con las resoluciones 1325 (2000), 1820 (2008), 1888 (2009) y 1889 (2009); el reclutamiento y la utilización de niños de conformidad con las resoluciones 1612 (2005) y 1882 (2009); y los ataques indiscriminados contra civiles de conformidad con la resolución 1894 (2009),"	0
"El Equipo recuerda a los Estados que, a pesar de las sugerencias en sentido contrario del Grupo de alto nivel sobre las amenazas, los desafíos y el cambio (A/59/565, párr. 152) y otros, la Comisión ha establecido desde hace tiempo criterios tanto para la inclusión como para la supresión de nombres de las listas."	0
"La Misión ha reevaluado sus compromisos operacionales a la luz de los limitados refuerzos autorizados en virtud de la resolución."	1
"o El 18 de noviembre de 2014, helicópteros del régimen lanzaron 2 bombas de barril sobre Maar Shmarien, matando a 6 civiles, incluidos 4 niños y 2 mujeres."	1
"8. Iglesia de San Nicolás, Donje Nerodimlje"	0
"La policía disparó gases lacrimógenos para dispersar a los partidarios de ambos partidos que lanzaban piedras en las calles."	1
"Los oficiales de la UIR oriental se vieron obligados a refugiarse en el edificio de la Administración del Distrito. El edificio fue rodeado por la multitud. Armado con cuchillos, palos, machetes y rocas, la multitud comenzó a gritar amenazas de muerte contra los oficiales de la UIR oriental."	1
