"ar_en_TRANSFORMERS"	"MatConf"
"9. Requests the Counter-Terrorism Committee, in addition to the report requested in paragraph 8, to report orally to the Council, through its Chairman, at least once every 180 days, on the overall work of the Committee and the Executive Directorate and, as appropriate, in conjunction with the reports submitted by the Chairmen of the Committee established pursuant to resolution 1267 (1999) and the Committee established pursuant to resolution 1540 (2004), to encourage informal briefings to all interested Member States;"	0
"4. To intensify efforts to sensitize the population about the lack of sympathy with the remnants of FDLR."	0
"For example, residents of the Naktoka district of the Nietebe subdistrict reported that on 29 May, some 20 Indonesian soldiers had dismantled two structures that had been partially dismantled by the Government of Timor-Leste in this undecided area."	1
"My Government acknowledges the many expressions of condemnation and anger that have resulted from this terrible incident, and we particularly appreciate the Security Council &apos; s swift reaction to this heinous crime."	0
"This certainly cannot be interpreted as support for the militias."	0
"I am aware of Pakistan &apos; s determination and endeavours to seek the truth and bring to justice all the financiers, perpetrators, organizers, sponsors and conspirators of this terrorist act to be held accountable."	0
"At its 6863rd meeting, held in private on 14 November 2012, the Security Council considered the item entitled \"The situation in the Middle East, including the Palestinian question.\""	0
"\"Weapons of mass destruction and non-proliferation in the framework of best working practices,\" followed by a training exercise"	1
"In order to enhance United Nations involvement in this field, the Council should request its main counter-terrorism bodies - the Counter-Terrorism Committee Executive Directorate and the Analytical Support and Sanctions Monitoring Team - to focus on the threat posed by foreign terrorist fighters, including by assessing national efforts to implement existing international legal obligations to combat this threat."	1
"This provision clearly does not apply in this case because the crimes occurred in the Sudan and the alleged perpetrators are Sudanese nationals."	1
"On 30 November 2014, regime warplanes fired a missile at the city of Aan, killing 11 people, including a child."	1
"Secondly, there has been widespread destruction of villages throughout the three Darfur States."	1
"429. The Government also cited three cases in which the bombing had been carried out by mistake and stated that it had compensated the victims of the villages of Habila, Um Juzin and Tulu."	1
"In the decade since the 2003 Baghdad attack, the number of casualties of aid workers increased by three examples, reaching more than 100 deaths each year.a"	1
"163. The adoption of the Statute of the International Criminal Court, which followed the Statute of the Special Court for Sierra Leone, could be regarded as the culmination of a law-making process that in a few years led to the development of a set of customary rules governing internal armed conflict and to the criminalization of serious violations of these rules (in the sense that serious violations of these rules may entail individual criminal responsibility)."	0
"B. Dispersion of militia elements in Ituri"	1
"14. Decides to remain seized of the matter."	0
"Recalling the conclusions of the final report (S/1994/1405) of the Commission of Experts established pursuant to Security Council resolution 935 (1994), in which it was stated that \"there is overwhelming evidence that acts of genocide against the Tutsi community [were committed],\" and noting that those who then opposed acts of genocide, whether Hutus or others, were also killed,"	1
"All installed centrifuges are IR-1."	0
"Other F-FDTL soldiers were sent to the former peacekeeping force building and asked to be on standby."	1
"Conduct a comprehensive training course for all country representatives on humanitarian issues with a focus on gender awareness."	0
"General Ahmed reminded the Council that over 90,000 of the 105,000 uniformed forces were led by force commanders, which is likely to increase in the coming period."	1
"The decision to expel humanitarian workers and silence others by threatening to expel, or attempts to restrict the freedom of movement of UNAMID, comes within the framework of this policy of limiting the monitoring capacity of the international community."	0
"Gender-based discrimination is also reflected in the targeting of women by paying bribes or fines."	1
"The changing environment in Afghanistan raises questions about the Central Asian groups currently operating there, such as Ansarullah (not listed), the Tajik ethnic dissident of the Islamic Movement of Uzbekistan (QE.I.10.01)."	0
"Act No. 535/2004, on the prevention and combating of terrorism, was promulgated by decree of the President of Romania by Decree No. 994/2004 of 24 November 2004 and entered into force three days thereafter."	0
"Northern Darfur: 68 per cent;"	0
"The Panel has worked closely with the Executive Directorate under the leadership of its Executive Director, Mike Smith, and looks forward to the continuation of that relationship with Jean-Paul Labord, his recently announced successor."	0
"In addition to the civilians injured near Taci Tolu station on the afternoon of 28 April, two others were injured by gunshots during the night."	1
"There is agreement that MONUC should be strengthened to reach its authorized strength as soon as possible in order to perform its mandated tasks effectively."	1
"To be held on Wednesday, 20 May 1998, at 1.15 p.m."	0
"52. Allegations of rape of minors, including very young girls, remain a matter of serious concern, and MINUSTAH has regularly participated in the work of regional commissions on sexual violence, as a means of enhancing support for child victims of rape."	1
"At the same time, the issue of ensuring that counter-terrorism measures comply with human rights obligations remains a key subject of discussion in the subregion."	0
"We do not disagree on goals and objectives."	0
"(i) To contribute to the protection of civilians at risk, in particular refugees and displaced persons;"	0
"According to Afghan officials, in 2010, the annual number of deaths resulting from insurgent activities exceeded the previous year by 50 per cent, and civilian casualties increased by one third."	1
"2. A second group, consisting of four inspectors, left the Canal Hotel in Baghdad at 8.30 a.m. and arrived at 17.00 p.m. at the State Enterprise for Petrochemical Industries, which belongs to the Ministry of Industry and Minerals, located in the Zubair area of Basra Governorate."	0
"6. From 18 February to 13 March, the Royal Moroccan Army conducted a series of pre-planned military exercises in the vicinity of Awsard, in which some 1,200 troops of infantry, cavalry and artillery units actually stationed within the Assward subsector participated."	1
"It was essential to investigate the whereabouts of missing persons and to hold those responsible accountable."	0
"On 18 November 2014, the regime &apos; s helicopters dropped two barrel bombs on Ma &apos; ar Shamarin town, killing six civilians, including four children and two women."	1
"3. Complexities in conflict prevention and resolution"	1
"The Permanent Representative of the Central African Republic:"	0
"In other words, the victims view their attackers as belonging to another hostile group."	1
"Some 1.8 million people were forcibly displaced and became refugees or internally displaced persons, in need of protection."	1
"\"The Security Council also expresses its concern at the growing tensions in the Ituri region and calls upon all parties to exercise restraint."	0
"The United Nations system is implementing joint programming initiatives under the support strategy and achieving good results, although there is a need to strengthen the link between the various programmes and the Government &apos; s stabilization efforts."	0
"In this regard, the Transitional Government needs to undertake to work closely with its international partners to establish a mechanism to ensure proper, transparent and accountable management of public finances and to effectively address corruption."	0
"In many cases, women and men have been abducted or disappeared, many of whom do not know their fate."	1
"On 5 November 2014, the regime &apos; s warplanes launched five air strikes targeting the town of Kafhra in rural Idlib."	1
"35. In mid-March, Brigadier General Ruak announced the demobilization of 594 troops with retroactive effect from 1 March."	0
"Finally, where conditions are considered favourable, they should join forces with the Governments concerned to coordinate efforts to adopt a coordinated plan for the development of the country, the provision of livelihoods for the population and the improvement of human rights conditions."	0
"Similarly, there has never been any evidence of the Government &apos; s arrest of the perpetrators of attacks against civilians, in accordance with the Joint Statement and resolution 1556 (2004)."	1
"\"The Security Council notes the detrimental impact of the proliferation of weapons, especially small arms, on the security of civilians, including refugees and other vulnerable populations."	1
"Twenty-nine per cent of the applications considered thus far have been approved, exceeding the number of names registered in the civil register by 930,000."	0
"Paragraphs 19 and 20 of resolution 1874 (2009):"	0
"\"The Security Council also recalls the heinous terrorist attacks of 11 September 2001 in New York, Washington, D.C., and Pennsylvania, as well as the numerous other attacks perpetrated by the organization network around the world."	1
"S/RES/1379 (2001), OP11 (c), (d), (f) and 12 (a)"	0
"The September 2013 attack on the \"Wistgit\" trading centre in Nairobi, Kenya, demonstrates the capabilities of Al-Shabaab, even after its retreat in Somalia."	1
"It noted that 69 humanitarian workers had been killed since the beginning of the conflict, and sexual violence had been used as a form of torture, for the purpose of abuse, humiliation and intimidation, and as a form of punishment."	1
"(Summit resolution 507 (22) - 28 March"	0
"During the Janjaweed attack on the village of Mparasa, Western Darfur, in November 2003, 20 girls were abducted and taken to the Amar camp."	1
"- On 19 September, following the explosion of a vehicle hit by a mine in Aglhok, six wounded Chadian battalion personnel were evacuated by helicopter and transported to the Chinese level II medical care facility in Gaoo."	1
"The conclusions of the Commission &apos; s report contained serious implications for the accountability of government officials, and the Security Council should carefully consider its recommendations when deciding on the approach to be taken in order to finally put an end to abuses and impunity in Darfur."	0
"68. The killing of two experts from the Commission on Drugs and Crime on 7 April 2014, during a counter-piracy mission in Somalia, served as a stark reminder of the dangers facing the United Nations in its work to improve the lives of others."	1
"The Council expresses its deep concern that civilians continue to account for the majority of victims of violence committed by parties to armed conflict, including the consequences of deliberate targeting, indiscriminate and excessive use of force and sexual and gender-based violence."	1
"The team then inspected all the warehouses belonging to the site."	0
"Today's attack by the Ethiopian regime is a malicious response to Eritrea's calls."	1
"114. A number of States, international organizations, academic institutions and others are actively developing new and innovative programmes for the rehabilitation of persons arrested or imprisoned as a result of their involvement in terrorist acts."	0
"First, I urged the Security Council to give greater recognition and priority to human rights in its resolutions and presidential statements."	0
"It is expected that an arrangement will be completed this month."	0
"22. While joint operations against both the Alliance des patriotes pour la Congo libre et s̩ministe and the NDC continue to take place in North Kivu, MONUC continues to play a role in LRA-affected areas in Orientale Province."	1
"The States of the subregion have made no mention of the procedures or mechanisms used to prevent and suppress the cross-border movement of terrorists."	1
"During the period from 1 to 10 October 2014, 20 ceasefire violations along the line of control and 22 violations along the established border line were reported, resulting in 12 civilian casualties, 52 civilian injuries and 9 military personnel on the Pakistani side."	1
"States should adopt a comprehensive approach to refraining from providing safe haven, since several interrelated measures must be taken to ensure effectiveness in this area, including legislation, such as with regard to law enforcement, border control, refugees and the granting of asylum."	0
"206. The States of the subregion are fully aware of the threat posed by the financing of terrorism and are vigilant about the risks associated with it."	1
"Decides to authorize [the regional organization force], within the means and capabilities at its disposal, to take all necessary measures to perform the following tasks in accordance with the agreement to be reached between [the regional organization] and the United Nations:..."	0
"In December 2003, Janjaweed and Government forces attacked the village of Nuri, near the town of Morni, Western Darfur."	1
"This non-binding instrument, without any new international obligation, reiterates the obligation of States to ensure respect for and implementation of international humanitarian law and international human rights law through national legislation, and focuses on the role of States in providing adequate, effective, prompt and appropriate remedies, including reparation to victims."	0
"I. PROCEDURAL BACKGROUND 3 - 9 6"	0
"On 3 November 2014, the regime &apos; s warplanes bombed the mosque of the Islamic Metim in the Al-Waer neighbourhood of Homs, causing serious damage."	1
"Cells, branches or associated groups are now obliged to operate independently and to finance their activities on their own."	1
"The Commission &apos; s forensic experts were able to verify that some members of the military were buried in the trenches surrounding the military camp, while all civilians were buried in multiple graves in the town &apos; s cemeteries."	1
"and the Optional Protocols thereto of 2000"	0
"Otherwise, there have been only minor security incidents that have had a direct impact on the electoral process since voter registration began on 25 April, including incidents involving lengthy classes of registration centres, minor attacks on electoral guards and theft and destruction of equipment."	1
"In particular, four States have introduced measures to suppress terrorist recruitment."	0
"On 8 November 2014, the regime &apos; s warplanes targeted areas around the Shahid Wasim Husseino hospital in Idlib, causing considerable damage."	1
"Acting under Chapter VII of the Charter of the United Nations,"	0
"45. The Committee reaffirms its responsibility to include the implementation of Council resolution 1624 (2005) in its dialogue with Member States and to assist in capacity-building in this regard, including through the dissemination of best legal practices and the promotion of information exchange."	0
"(a) The deliberate killing, beating, abduction, concealment, forced labour and recruitment of Ethiopian civilians;"	1
"Many States, together with bilateral and multilateral partners, have put in place some form of early warning arrangements to help predict and prevent terrorist attacks."	0
"109. In conclusion, I would like to congratulate Domitien Ndiaye, President of the Transitional Government of Burundi, and his predecessor, Pierre Buyoya, for their courage in leading the transition process."	0
"Administrative expenses calculated at the applicable rates amount to CFAF 162,432,000."	0
"56. The Democratic People &apos; s Republic of Korea &apos; s police and security forces systematically resort to violence and sanctions, which constitute a gross violation of human rights, in order to create a climate of fear that inhibits any opposition to the current regime and the ideology on which it is based."	1
"Eritrea has been organizing and training various groups of criminal gangsters and terrorists and sending them to Ethiopia to cause corruption in our country and political instability."	1
"In our view, cross-border infiltration is not the primary cause of extremist violence in Afghanistan, including in the south and south-east."	0
"Later the same day, military actions at the FACI airbase at Abidjan International Airport resulted in the destruction of the other two Su-25 aircraft, two Mi-24v helicopters and one unmanned aerial vehicle."	1
"H. Other costs 153 - 156 37"	0
"As expected, the arrival of the summer increased the level of activity of the opposing armed forces."	1
"2. The situation in East Timor."	0
"As a result, the detainee becomes an unknown detainee, sometimes exceeding 12 months of detention, without charge, without access to a lawyer, without habeas corpus and without access to visits."	1
"Stressing the need for all alleged perpetrators of crimes against children in situations of armed conflict to be brought to justice through national justice systems, international justice mechanisms and mixed criminal tribunals where applicable, with a view to ending impunity,"	1
"The implementation of alternative livelihood programmes targeting the community, access to markets and the establishment of maritime roads and infrastructure that promote fisheries and trade through development assistance will improve the sustainability of the gains made in the fight against piracy."	0
"KPC accountants use the same methods to estimate KPC &apos; s loss of 271,000 barrels of pipeline oil."	0
"They attacked and killed 54 people and wounded 24 others, burned houses before withdrawing, and looted cows and household property."	1
"These States also face significant challenges due to cross-border refugee flows."	1
"This process may help to determine to what extent the oil allocated as part of the post-invasion field effort is oil spilled as a result of the invasion or due to more recent oil spills."	0
"By the end of the reporting period, a total of 37 per cent of the DF boy delivered by the MV Cape Ray on 30 and 31 August 2014 had already been destroyed."	1
"Even in Afghanistan, although Afghan officials and members of the coalition forces have told the Group that they are convinced that the Taliban are benefiting from the enormous revenue generated by the narcotics trade, it is difficult to provide concrete evidence of this."	1
"9. Operational change. Complex, simultaneous and multiple strikes, such as the Arlette and Agadez attack in Niger on 23 May 2013, indicate that Al-Qaida-affiliated communities are seeking to follow the basic directives of Al-Qaida calling for \"amazing\" incidents."	1
"E. Arbitrary detention, torture, executions and detention camps"	1
"Greece submitted a draft resolution on the situation in Ethiopia and Eritrea."	0
"Duration of the follow-up mission"	0
"Some of these areas were visited by the mission, and the sightings of destroyed houses, burnt cars and destitute persons were very bad."	1
"Almost half of these persons are still missing, and many are feared to have been killed."	1
"The dead were buried in eight mass graves in the village market area."	1
"31. The State regards the spread of Christianity as a very serious threat, as it opposes the ideology of official worship and provides a basis for social and political organization and interaction outside the State &apos; s astronomer."	1
"8. The situation in Liberia (22 January 1991; 25 March 2013)."	0
"Travelling twice a week from Cyprus to Beirut has also commenced."	0
"The members of the Security Council reiterated their condemnation of this deadly attack on defenceless refugees and expressed their expectation that a final report on the investigation would be received as soon as possible."	0
":: 19 September 2005, one person was killed and two others injured by a small explosion at the Kuwait Information Office in Beirut."	1
"This paper was the first joint paper to be issued under this chapter."	0
"Divergent explanations were provided for this difference referred to in the reports, including the fact that the Government &apos; s Popular Defence Forces (PDF), which recruit the majority of their members from Arab tribes, fall under the term Janjaweed commonly used in the context of this conflict."	1
"The second category includes militias with paramilitary organizational structures in parallel with the regular forces, including groups known as \"troubled force,\" mujahideen and knights."	1
"Allegedly, elements of the Lord's Resistance Army (LRA) were involved in all attacks."	1
"Assessment of my Personal Envoy"	0
"Research and policy analysis will continue on a range of issues, including conflict prevention and early warning mechanisms."	0
"3. On 27 December 2007, the supporters of Sergeant Ibrahim Coulibaly, alias IB, who was previously a member of the Forces nouvelles, were accused of attacking Forces nouvelles personnel in Bouak̩, resulting in numerous deaths, as well as the arrest of a number of individuals."	1
"Identification of potential perpetrators of international crimes"	1
"The Security Council urges the Government of the Democratic Republic of the Congo to expedite the investigation of mass rapes carried out in November 2012 by elements of the armed forces in Minova and to bring the perpetrators to justice."	1
"Article 4. Applicability of criminal law outside Latvia"	0
"Prohibition of access to land"	0
"As set out in article 7 (2) (d) of the Statute of the International Criminal Court, which could be used to determine customary international law on the matter, the prohibition was intended to remove the population or forcibly transfer the population and transfer the persons concerned from the area where they were lawfully present by expulsion or any other coercive act, without justification permitted under international law."	1
"The Mission has decentralized its communications functions to improve coordination locally, while preparations prior to the arrival of the Transitional Force have facilitated the transition."	0
"187. With the exception of a few cases, there is no military justification for any specific activity by rebel forces for reported incidents, which has reinforced the perception among observers that the civilian population has been knowingly and deliberately targeted in order to achieve common or specific goals and interests of the Government and Janjaweed militias."	1
"7. Decides to remain seized of the matter."	0
"In addition, the Taliban have maintained their ability to import arms, materials and labour, and the key to military success lies in disrupting their supply lines and depriving them of safe areas to which their combatants can turn to renew their energies between operations and training new recruits."	1
"17. In accordance with the above-mentioned plan, MINURCA provides timely ground and air transportation (airplanes or helicopters) of electoral materials and equipment from Bangui to 69 subdistricts of the Central African Republic and, as an exception, to some polling stations (of the 2,500 in the country) that are inaccessible by land."	0
"(c) To cooperate closely with a view to the full implementation of sanctions against terrorists and their associates, in particular Al-Qaida, the Taliban and their associates, as provided for in resolutions 1267 (1999), 1390 (2002) and 1455 (2003), to take urgent action to prevent them from obtaining the necessary financial resources to carry out their work and to cooperate fully with the Monitoring Group established pursuant to resolution 1363 (2001);"	1
"Non-profit organizations manage large budgets, move funds through jurisdictions legally and very easily, and thus can provide a relatively secure global framework through which they can be detected with minimal risk, and simply allow the number of beneficiaries of large non-profit organizations to transfer funds with little risk, especially where non-profit organizations have a semi-autonomous status that allows them to carry out their activities outside regulators and law enforcement authorities."	1
"It is estimated that more than half a million children have been affected by the ongoing conflict in southern Sudan."	0
"104. However, the regulation of commonly available materials that a trained terrorist can use in the manufacture of an explosive device is a more difficult task."	1
"11. Regular training was conducted on the basis of the annual plan. First aid training was conducted on 11 August by French firemen from the Multinational Brigade (North-East) in Mitrovica. On 30 August, the Multinational Brigade (East) organized a seminar for the leaders of the Triadots area of the Anhal region. The purpose was to provide a detailed capacity development programme for officers in order to ensure that the leaders of the pick-up areas understood their responsibilities and to ensure support for the programme."	0
":: Request UNMISS to support the host Government in addressing sexual violence explicitly, in disarmament, demobilization and reintegration processes, security sector reform processes and justice sector reform initiatives, and in developing and implementing concrete and time-bound action plans to combat conflict-related sexual violence."	0
"On 16 November 2014, regime forces fired mortar shells at the Murayda area mosque in Rif Dimashq, injuring four civilians and severely damaging the mosque."	1
"8. The Executive Directorate will work together with donors and other relevant partner organizations to strengthen its regional and subregional approaches to initiatives initiated or planned in the areas of preventing the misuse of the non-profit sector for the financing of terrorism, the illegal cross-border movement of cash and other negotiable instruments, the strengthening of counter-terrorism capacities of police officers and prosecutors, effective border control and management and enhanced cooperation between relevant subregional entities."	0
"The Special Representative stressed the importance of political progress, particularly in the nation-building process, and welcomed the ongoing reconciliation process and the establishment of interim administrations."	0
"7. Requests the Executive Representative of the Secretary-General to facilitate and encourage dialogue among national and international stakeholders, in particular in the context of the forthcoming elections, while continuing to support their efforts to maintain peace and stability;"	0
"598. In the light of the above comments and on the basis of the above-mentioned body of human rights law, it may be said that at present when a gross violation of human rights has been committed, it also amounts to an international crime, customary international law not only provides for the criminal liability of the individuals who have committed the violation, but also imposes an obligation on the States to which the perpetrators of the crimes or States which have acted as organs de jure or de facto, to make reparation for the harm that has occurred (including the payment of reparations)."	0
"57. The Mission obtained information indicating that death squads might be composed of members close to the Government, the Presidential Guard and tribal militia from the President &apos; s ethnic group."	0
"As provided in the relevant case law), 'the issue of responsibility for the commission of an offence other than that agreed in the joint plan does not arise, according to the circumstances of the case, unless (a) such an offence was expected to be committed by a member of the group, and (b) the accused voluntarily took that risk."	1
"(i) To support, including through their political mediation efforts, the disarmament, demobilization and reintegration or effective integration of [national] armed groups, which will continue to be suspended from providing adequate pre-training and equipment;"	0
"The movement of animals from the centre and south of the country to the northern region in search of pasture has exacerbated the outbreak of foot-and-mouth fever."	0
"The frequency of attacks is on the rise, including rocket artillery attacks, and there are large numbers of recruits."	1
"At least one person was reportedly killed and 20 injured during clashes between riot control forces and demonstrators, which also led to the suspension of the mobile courts."	1
"(a) Chemical, biological, radiological or nuclear terrorism"	0
"The concept of preparing baseline inventories through the conduct of a small arms survey in the early stages of project development is now well established and has proved effective in project development and evaluation."	0
"We are encouraged that the Government of the Democratic Republic of the Congo has taken steps to act on the LRA terrorists who have entered her country from the Sudan."	0
"The members of the Council also recognized the need to establish a United Nations integrated office in the Central African Republic, as emphasized in the conclusions of a delegation of the Peacebuilding Commission following its recent visit to the country."	0
"We can go on to mention widespread poverty, problems in the management of natural resources, thousands of refugees and internally displaced persons, additional thousands of ex-combatants waiting for reintegration, unresolved security sectors, massive violations of human rights and many other threats that are likely to fuel a new conflict."	0
"As the fighting intensified, the armed forces reinforced their positions in the hill area by sending a naval vessel to Tibar Bay."	1
"Turkey is fully aware of the intentions of the Syrian Government, which has been put into effect through various methods of aggression and provocation, including the targeting of innocent civilians across the border."	1
"While we are pleased that more than 10 million Afghan voters have been registered, we are concerned that there has been insufficient voter registration in the southern and south-eastern parts of Afghanistan due to security concerns."	0
"37. Access to the Abyei Area during the next rainy season will be extremely difficult, as heavy seasonal rains periodically interrupt both the Wau road to Abyei and the Kadugli road to Abyei."	0
"The next critical phase leading up to the elections will include the nomination of candidates, the political campaign and the preparation of electoral materials."	0
"5. The Panel &apos; s report examines why many States have not yet recognized the full potential of the sanctions regime."	0
"The Partnership aimed to develop a strategy to mainstream child protection into African Union activities and to institutionalize child protection policies and actions in accordance with regional and international standards."	0
"As such, it constitutes an environment rich in potential targets and has launched several attacks against military facilities and Western embassies."	1
"(Summit resolution 484, 21st ordinary session - 30 March 2009)"	0
"The Committee also noted that the Democratic People &apos; s Republic of Korea had been abducted or otherwise forcibly caused by the disappearance of more than 200,000 or more persons from China, Japan, the Republic of Korea and other countries, including after the end of the Korean war."	1
"8. More than six years after the adoption of resolution 1624 (2005), there are still serious risks and threats in most parts of the world to incite the commission of terrorist acts, but there are disparities in the level of such threats and threats, including among States from the same region or region."	1
"On 6 November 2014, regime forces fired missiles at the Dar'a Azza school in Aleppo, injuring seven people, destroying three classrooms and destroying the entire second floor."	1
"The Monitoring Group learned from a former senior PFDJ official with direct knowledge of Eritrea &apos; s trade and finance sector that:"	0
"49. During the famine period, ideological convergence was used to maintain order and the price was that hunger was seriously exacerbated and famine spread."	1
"The vehicles were handed over to Rai Los with 31 uniforms for the PNTL reserve police unit on 23 May, and on 24 May Ray Los and his men participated in the attack on F-FDTL patrols, in uniform for the reserve police unit."	1
