"","en_es_DEEP","VerCoop"
"47","En el caso de peligro público (artículo 179 del Código Penal), también es delito preparar tales actos (por ejemplo, obtener componentes y construir un artefacto explosivo con el propósito de un ataque según el artículo 2, párrafo 1 del Convenio). ), incluso si el delincuente aún no ha intentado cometer el acto.",0
"48","9. El tribunal de distrito dictaminó inicialmente que el Gobierno no había demostrado que la filial holandesa de Al-Haramain, separada y aparte de la organización internacional, hubiera apoyado el terrorismo.",0
"49","Presidente: Su Excelencia Sir Jeremy Greenstock (Reino Unido de Gran Bretaña e Irlanda del Norte)",0
"50","11. Mal uso delictivo de Internet.",0
"51","Está prevista una segunda misión una vez que se fije la fecha de una mesa redonda.",0
"52","En el párrafo 3 de esa resolución, el Consejo me pidió que restableciera, en consulta con el Comité establecido en virtud de la resolución 751 (1992) relativa a Somalia, dentro de los 30 días siguientes a la fecha de aprobación de la resolución, y por un período de seis meses, el Grupo de Supervisión mencionado en el párrafo 3 de la resolución 1558 (2004) para cumplir el mandato establecido en los apartados a) a i) del párrafo 3 de la resolución 1630 (2005).",1
"53","La Operación también trabajará con el Facilitador para alentar a las partes a llegar a un acuerdo eficaz para el control de las armas almacenadas, de conformidad con la función de supervisión confiada a la ONUCI y la fuerza Licorne en virtud del Acuerdo de Uagadugú.",1
"54","Por último, es necesario abordar la cuestión de las circunstancias en las que una operación de mantenimiento de la paz está autorizada a utilizar la fuerza, desde la autodefensa hasta la imposición de la paz y un mantenimiento de la paz sólido, y cómo encaja en la implementación del mandato de protección de los civiles de la operación.",1
"55","El Equipo observa que el Consejo de Seguridad, en el párrafo 5 de la resolución 1526 (2004), instó a todos los Estados a establecer requisitos y procedimientos internos de presentación de informes sobre el movimiento transfronterizo de divisas sobre la base de los umbrales aplicables.",0
"56","Que se celebrará en privado el martes 30 de abril de 2013, a las 9.30 horas.",0
"57","Exhorto a las autoridades libanesas a que hagan todo lo posible para arrestar a los responsables de este intento de asesinato y llevarlos ante la justicia.",1
"58","Además, hemos centrado más nuestros esfuerzos para ser aún más eficaces en Afganistán, y específicamente en la provincia de Kandahar.",0
"59","36. Alienta a todos los Estados miembros, en particular los Estados designantes y los Estados de residencia o nacionalidad, a presentar al Comité información adicional de identificación y de otro tipo, junto con documentación de respaldo, sobre las personas, grupos, empresas y entidades incluidos en la lista, incluidas actualizaciones sobre el estado operativo. de entidades, grupos y empresas incluidos en la lista, el movimiento, el encarcelamiento o la muerte de personas incluidas en la lista y otros acontecimientos importantes, a medida que dicha información esté disponible;",1
"60","Exhorta a todas las partes interesadas a garantizar que todos los procesos de paz, los acuerdos de paz y los planes de recuperación y reconstrucción posconflicto tengan en cuenta las necesidades especiales de las mujeres y los niños e incluyan medidas específicas para la protección de los civiles, incluidas... (iii) la creación de condiciones propicias para el retorno voluntario, seguro, digno y sostenible de los refugiados y los desplazados internos...",1
"61","Estas tropas están ligeramente armadas, tienen poca movilidad terrestre, carecen de capacidad aérea y reciben un apoyo logístico y financiero mínimo.",0
"62","En este sentido, solicitamos que se haga todo lo posible para que estas reuniones se celebren cada dos meses, tal como se acordó, y que, en la medida de lo posible, los jefes de los servicios de inteligencia y seguridad participen personalmente en estas reuniones. Instamos a todas las partes interesadas, incluido el Centro Africano para el Estudio y la Investigación sobre el Terrorismo, la Unidad de Enlace y Fusión del Sahel y el Comité de Servicios de Inteligencia y Seguridad de África, en estrecha cooperación con la Comisión de la Unión Africana, a proseguir e intensificar su esfuerzos para intercambiar opiniones y asistencia mutua, así como para implementar los aspectos pendientes de las conclusiones operativas de la reunión de los jefes de los servicios de inteligencia y seguridad.",1
"63","5. Mi reciente visita a la región del Sahel reforzó mi creencia en la importancia de considerar la paz, la seguridad, el desarrollo y los derechos humanos de manera interconectada.",1
"64","Función oficial: Subjefe de Estado Mayor de las Fuerzas Armadas",0
"65","Consciente de la importancia y urgencia que representa una cuestión integral como la lucha contra el terrorismo, y con el fin de proporcionar al CTC información adicional pertinente, el Gobierno de la República Checa ha proporcionado como anexo separado a su quinto informe, la Ley No. 61/1996 Recop., sobre algunas medidas contra la legalización del producto del delito y sobre la modificación y complementación de actos conexos.",1
"66","119. Sin embargo, sólo podremos tener verdadero éxito si los haitianos tienen éxito.",0
"67","""El Consejo de Seguridad expresa su disposición a considerar recomendaciones específicas de su Grupo de Trabajo sobre los niños y los conflictos armados sobre violaciones y abusos cometidos contra niños por las partes enumeradas en los anexos de los informes del Secretario General, siempre que ocurran, con miras a considerar medidas sobre ellos, sin prejuzgar ni implicar una decisión del Consejo de Seguridad sobre la inclusión o no de una situación en su agenda.",1
"68","b) Adoptar medidas para proporcionar la más amplia gama posible de asistencia en casos de terrorismo a otros Estados y tender puentes entre diferentes sistemas jurídicos;",1
"69","Las mujeres y los niños representaron el 22 por ciento del número de muertos.",0
"70","Este participante agregó que el papel de los coordinadores políticos había cambiado dramáticamente en los últimos 10 años, convirtiéndose en una parte más formalizada e institucionalizada de cada delegación.",1
"71","5. Decide que los Estados Miembros, de conformidad con el derecho internacional de los derechos humanos, el derecho internacional de los refugiados y el derecho internacional humanitario, impedirán y reprimirán el reclutamiento, la organización, el transporte o el equipamiento de personas que viajen a un Estado distinto de su Estado de residencia o nacionalidad. con el fin de perpetrar, planificar, preparar o participar en actos terroristas o proporcionar o recibir entrenamiento terrorista, y la financiación de sus viajes y de sus actividades;",1
"72","La fecha del próximo juicio está fijada para el 7 de junio de 2007.",0
"73","Mantuvo numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, solicitó una reunión para aclarar sus preocupaciones sobre el último informe del Secretario General (S/2014/258), precisando que Marruecos consideraba que esto permitiría que el proceso avanzara de la mejor manera posible.",1
"74",":: Realización de evaluaciones periódicas del sistema financiero nacional.",0
"75","2. En el caso de las peticiones de exclusión de la lista que no se hayan devuelto al peticionario, el Ombudsman remitirá inmediatamente la solicitud de exclusión de la lista a los miembros del Comité, al Estado(s) designado(s), al Estado(s) de residencia y la nacionalidad o constitución, a los órganos pertinentes de las Naciones Unidas y a cualquier otros Estados que el Defensor del Pueblo considere pertinentes.",0
"76","4. La nota propone que el Consejo de Seguridad inicie un proceso formal de ""revisión estratégica"" para considerar cómo la intersección del crimen transfronterizo y el terrorismo puede estar afectando sus esfuerzos de prevención y resolución de conflictos, particularmente en África, y para considerar las herramientas en a su disposición para reducir el espacio estratégico que la delincuencia transfronteriza ofrece a los grupos terroristas.",1
"77","El Consejo subraya la necesidad de que todas las partes respeten y mantengan la seguridad y el carácter civil de los campamentos de refugiados y desplazados internos.",1
"78","Subrayando la importancia de las operaciones de ayuda humanitaria y condenando todos los actos o amenazas de violencia contra el personal de las Naciones Unidas y los agentes humanitarios y toda politización de la asistencia humanitaria por parte de los talibanes y grupos o individuos asociados,",1
"79","Es esencial que los Estados garanticen que sus regímenes de control, tanto de explosivos militares como comerciales, sean lo más sólidos posible.",1
"80","Los principales elementos de su declaración, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2013/3).",1
"81","La ausencia de autoridad estatal también ha llevado a la creación de grupos comunitarios de autodefensa para proteger a las comunidades de los grupos armados, que a menudo se han convertido ellos mismos en una fuente de conflicto.",0
"82","propósito, que es el motivo de la apertura de la cuenta;",0
"83","Acoge con beneplácito el compromiso expresado por los Estados de luchar contra el flagelo del terrorismo internacional, incluso durante el debate plenario de la Asamblea General del 1 al 5 de octubre de 2001, pide a todos los Estados que pasen a ser partes lo antes posible en los convenios y protocolos internacionales pertinentes relacionados con el terrorismo, y anima a los Estados miembros a seguir trabajando en este ámbito,",1
"84","17. La MINURSO siguió disfrutando de buenas relaciones tanto con el Real Ejército de Marruecos como con las fuerzas armadas del Frente Polisario.",1
"85","De estos ejemplos se puede concluir que hay situaciones en que el Consejo de Seguridad, ante horribles crímenes contra los derechos humanos, actúa en nombre de la justicia.",0
"86","Los registros telefónicos muestran cuatro llamadas al oficial de inteligencia sirio Jamea Jamea, a las 11.42, 18.14, 20.23 y 20.26 horas. Según un testigo, Abdel-Al visitó la oficina de Jamea Jamea la noche de la explosión, a las 19.30 horas, y ambos hablaron sobre Abu Adass.",1
"87","c) los establecidos en el documento S/2006/815, excepto el suministro, venta o transferencia de artículos cubiertos por el artículo 19.A.3 de la Categoría II;",0
"88","En la reunión las partes respaldaron, en principio, el enfoque del ACNUR respecto del regreso de los refugiados y desplazados internos y sus actividades previstas para los próximos dos años.",1
"89","El Consejo de Seguridad acoge con satisfacción la conclusión de un proceso pacífico de inscripción para el referéndum del Sudán Meridional en Sudán y alienta a las partes a continuar este impulso hacia referendos pacíficos y creíbles celebrados el 9 de enero de 2011 que reflejen la voluntad del pueblo.",1
"90","Esos temores se hicieron realidad tras una operación de las FARDC a finales de septiembre.",0
"91","En el caso de Petrolube estas consideraciones no son aplicables.",0
"92","El Consejo de Jefes de Estado de la Comunidad de Estados Independientes,",0
"93","Sin embargo, cuando los delitos se cometen regularmente y en gran escala, como parte de un patrón de conducta delictiva, la responsabilidad del superior es más grave.",0
"94","Debido a la falta de infraestructura en el país, podría ser necesario establecer un mecanismo para facilitar la administración y distribución de este apoyo.",1
"95","154. A pesar de las pérdidas, BOMVIC probablemente podría volver a realizar operaciones limitadas dentro de dos semanas después del regreso del personal.",0
"96","Esto es particularmente cierto en lo que respecta a la esfera política y la situación de seguridad.",0
"97","El Consejo espera con interés la reunión de seguimiento sobre la aplicación que se celebrará en Puerto Príncipe los días 22 y 23 de septiembre, teniendo en cuenta las prioridades identificadas en el marco de cooperación provisional del Gobierno de Haití.",1
"98","A medida que esta amenaza crece, la respuesta de la comunidad internacional debe evolucionar y mantener el ritmo.",0
"99","Involucrar a las mujeres mediante la creación de comités de prevención de conflictos con equilibrio de género, incluidos representantes de la sociedad civil.",1
"100","Haciendo suyo el trabajo ya realizado por el Comité establecido en virtud de la resolución 1540 (2004), en adelante el Comité 1540, de conformidad con su quinto Programa de Trabajo,",1
"101","El Comité también acordó reemplazar el sistema numérico actual, que cambia cada vez que se agrega un individuo o entidad a la lista, por un número de referencia permanente.",1
"102","Condenando también en los términos más enérgicos la incitación a actos terroristas y repudiando los intentos de justificación o glorificación (apología) de actos terroristas que puedan incitar a otros actos terroristas,",0
"103","Las cifras de mitad de año compiladas en julio revelaron que más de 100.000 ex desplazados internos y refugiados habían regresado a sus hogares durante el primer semestre de 2010.",0
"104","Recalcando de nuevo que los continuos esfuerzos internacionales para mejorar el diálogo y ampliar el entendimiento entre civilizaciones, en un esfuerzo por prevenir ataques indiscriminados contra diferentes religiones y culturas, y abordar los conflictos regionales no resueltos y toda la gama de cuestiones globales, incluidas las cuestiones de desarrollo, contribuirán a fortalecer la lucha internacional contra el terrorismo,",1
"105","Francia, Portugal, Suecia y el Reino Unido de Gran",0
"106","Esto no puede ser serio desde ningún punto de vista.",0
"107","El Comité también acordó dirigir cartas al Representante Permanente de Somalia y al Comisionado para la Paz y la Seguridad de la Unión Africana recomendando una investigación independiente sobre la supuesta venta de armas y municiones al mercado de armas somalí por parte de funcionarios del Gobierno Federal de Transición. y miembros del contingente ugandés de la Misión de la Unión Africana en Somalia (AMISOM), respectivamente.",1
"108","Acogiendo con beneplácito y apoyando las medidas adoptadas para concertar tratados sobre zonas libres de armas nucleares y reafirmando la convicción de que el establecimiento de zonas libres de armas nucleares internacionalmente reconocidas sobre la base de acuerdos concertados libremente entre los Estados de la región interesada y de conformidad con las directrices de la Comisión de Desarme de las Naciones Unidas de 1999, mejora la paz y la seguridad mundiales y regionales, fortalece el régimen de no proliferación nuclear y contribuye a la realización de los objetivos del desarme nuclear,",1
"109","Establecimiento de una Comisión de la Verdad y la Reconciliación en Costa de Marfil, con el apoyo de las Naciones Unidas y teniendo en cuenta las lecciones aprendidas y las mejores prácticas que han surgido en este ámbito en los últimos años;",1
"110","Ley sobre el producto del delito CAP 143",0
"111","La reclamante kuwaití afirmó que no alquiló su licencia comercial al reclamante no kuwaití.",0
"112","Consideraron enfoques holísticos para abordar los factores que conducen a la propagación del extremismo y el terrorismo en la región y cuál es la mejor manera en que las entidades de las Naciones Unidas pueden ayudar a abordar el fenómeno y sus efectos en la paz, la seguridad y la estabilidad.",1
"113","62. Ante todo, el Consejo Nacional de Transición y la sociedad civil libia esperan que las Naciones Unidas apoyen el camino electoral del país hacia un Estado democrático.",0
"114","a) Garantizar la protección efectiva de los civiles, incluido el personal humanitario y los defensores de los derechos humanos, bajo amenaza inminente de violencia física, en particular la violencia proveniente de cualquiera de las partes involucradas en el conflicto;",1
"115","Subrayando que los refugios que se ofrecen a los terroristas siguen siendo una preocupación importante y que todos los Estados miembros deben cooperar plenamente en la lucha contra el terrorismo para encontrar, negar refugio y llevar ante la justicia, sobre la base del principio de extraditar o procesar, cualquier persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugio seguro,",1
"116","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"117","Como muestra esta lista parcial, la tendencia hacia un recurso cada vez mayor por parte de la comunidad internacional a comisiones de investigación y misiones de determinación de hechos en el contexto de los esfuerzos de rendición de cuentas es clara.",1
"118","Me gustaría dar confianza a la Cámara sobre nuestra posición sobre este asunto.",0
"119",":: Utilizar el Fondo Fiduciario para actividades de desarme mundial y regional para avanzar con proyectos y actividades de inmediato",0
"120","3. En su resolución 2140 (2014), el Consejo de Seguridad impuso una congelación de activos y una prohibición de viajar, por un período inicial de un año a partir de la fecha de aprobación de la resolución, a las personas y entidades que realicen actos o presten apoyo a ellos. que amenazara la paz, la seguridad o la estabilidad del Yemen.",0
"121","Que se celebrará el martes 30 de agosto de 2005, a las 12.20 horas",0
"122","También reconozco a los países que aportan tropas y policías a la MONUSCO.",1
"123","Los avances en materia de formación de gobierno y, en consecuencia, en la agenda de reformas han sido limitados.",0
"124",":: Los mecanismos de investigación deben establecerse lo suficientemente temprano en una crisis para que puedan contribuir a la prevención de nuevas violaciones.",1
"125","a) El 13 de mayo, el Presidente Karzai anunció los distritos y provincias que formarían parte del tramo 3 de la transición.",0
"126","Les alienta a redoblar sus esfuerzos para garantizar la seguridad de las poblaciones civiles en su territorio, incluidos los extranjeros a quienes conceden refugio.",1
"127","Facilitó una iniciativa con el Centro Africano para mejorar el uso de bases de datos internacionales por parte de los países del Sahel a fin de fortalecer la coordinación, el intercambio de información y la cooperación entre la policía y las autoridades fronterizas.",0
"128","El Consejo condena todos los ataques de grupos armados locales y extranjeros que amenazan a la población, así como a la paz y la estabilidad de la República Centroafricana y la subregión, incluidos los ataques del 19 de julio y el 24 de noviembre perpetrados por la Convención de Patriotas por la Justicia y la Paz en Birao. .",0
"129","396. Sin embargo, a través de sus propias investigaciones la Comisión pudo reunir información más sustancial sobre las desapariciones forzadas.",0
"130","El Consejo de Seguridad reitera la necesidad de que todas las partes interesadas, incluidos los gobiernos y la comunidad de donantes, se centren más en los efectos a largo plazo de los conflictos armados en los niños y los impedimentos para su plena rehabilitación y reintegración en sus familias y comunidades, mediante, entre otras cosas, otras cosas, abordar la necesidad de brindar atención médica adecuada, mejorar el intercambio de información sobre programas y mejores prácticas, y garantizar la disponibilidad de recursos, financiación y asistencia técnica adecuados para apoyar estrategias o planes de acción nacionales en el área de protección y bienestar infantil, y programas comunitarios, teniendo en cuenta los ""Principios de París para proteger a los niños contra el reclutamiento ilegal por fuerzas o grupos armados"", con miras a garantizar la sostenibilidad a largo plazo y el éxito de su respuesta programática a la liberación, rehabilitación y reintegración de todos los niños asociados con fuerzas y grupos armados.",1
"131","Nuestros padres fundadores no dejaron piedra sin remover para que estos antiguos principios se consagraran en nuestra Constitución.",0
"132","Tres Estados han establecido un marco jurídico que aborda los requisitos de protección marítima y han implementado parcialmente normas internacionales obligatorias para la protección de puertos y buques de conformidad con el Código PBIP.",1
"133","Algunos informes más recientes señalan que las poblaciones árabes han comenzado a establecerse en algunas zonas anteriormente ocupadas por las poblaciones desplazadas.",0
"134","Radio argelina Canal 1, periodista Samir Aqun -- 30 de diciembre de 2011",0
"135","11. El 26 de marzo, la Alta Comisión Electoral Independiente publicó los resultados preliminares de las elecciones, que mostraban que el bloque Al-Iraqiya, encabezado por el ex Primer Ministro Iyad Allawi, lideraba con 91 escaños. La coalición Estado de Derecho del Primer Ministro Maliki ocupó el segundo lugar con 89 escaños, seguida por la Alianza Nacional Iraquí con 71 escaños.",0
"136","Si bien esto es constructivo, todavía no se están llevando a cabo negociaciones directas sin condiciones previas, en las que se esperaría que las partes presentaran propuestas territoriales y de seguridad en un plazo de 90 días.",0
"137","""El Consejo de Seguridad advierte solemnemente a los Estados vecinos de la República Democrática del Congo de las consecuencias del apoyo a los grupos armados rebeldes.",0
"138","2. La situación en Sierra Leona",0
"139","El Consejo expresa su profunda preocupación porque los civiles siguen representando la mayoría de las víctimas de actos de violencia cometidos por partes en conflictos armados, incluso como resultado de ataques deliberados, uso indiscriminado y excesivo de la fuerza, uso de civiles como escudos humanos y de violencia sexual y de género, así como todos los demás actos que violen el derecho internacional aplicable.",0
"140","Se adjunta una copia del proyecto de ley.",0
"141","El Presidente informó al Consejo sobre los debates del Comité en su reunión celebrada el 3 de septiembre, que se centró en el informe de mitad de período del Grupo de Expertos establecido en virtud de la resolución 1874 (2009), publicado el 1 de agosto, y la actualización del Grupo de Expertos. de su informe sobre incidentes, también publicado el 1 de agosto, sobre los lanzamientos de misiles balísticos por parte de la República Popular Democrática de Corea en junio y julio de 2014.",1
"142","Tengo el honor de informarle que he recibido del Gobierno del Pakistán una solicitud para establecer una comisión internacional en relación con el asesinato, el 27 de diciembre de 2007, de la ex Primera Ministra del Pakistán, Mohtarma Benazir Bhutto.",1
"143","76. Los Estados de la subregión deberían: a) Adoptar marcos jurídicos nacionales de lucha contra el terrorismo que sean amplios y coherentes y que incluyan todos los delitos terroristas establecidos en los instrumentos internacionales de lucha contra el terrorismo y aplicar eficazmente la lucha contra el blanqueo de dinero y la financiación del terrorismo. leyes y reglamentos, respetando al mismo tiempo las normas internacionales de derechos humanos;",0
"144","En algunas ocasiones, han sido asesinados cuando se aventuraban a salir del campamento, ya sea para regresar a su aldea o por cualquier otro motivo.",0
"145","404. Una garantía importante establecida en el párrafo 4 del artículo 9 es el derecho a que un tribunal controle la legalidad de la detención.",0
"146","31. La dotación de las Unidades Integradas Conjuntas, que no ha cambiado desde abril de 2009, es de 32.900 (aproximadamente el 83% de la dotación prevista en su mandato de 39.639).",0
"147","El Consejo de Seguridad, en su resolución 1977 (2011), alienta explícitamente al Comité establecido en virtud de la resolución 1540 (2004) a aprovechar, entre otras fuentes, los conocimientos especializados pertinentes del sector privado.",1
"148","Las personas y células asociadas con Al-Qaida y sus afiliados siguen innovando en materia de objetivos, tácticas y tecnología.",0
"149","También siguieron el inicio de la misión del enviado de las Naciones Unidas, Kofi Annan, para alcanzar una solución pacífica a la crisis siria, sin recurrir a amenazas ni hablar de intervención extranjera.",1
"150","El LRA ha llevado a cabo una insurgencia cruel y de larga duración en el norte de Uganda que ha causado la muerte, el secuestro y el desplazamiento de miles de civiles inocentes en Uganda, Sudán y la República Democrática del Congo.",0
"151","Los miembros del Consejo coincidieron en que era necesario abordar las causas profundas del conflicto y que era necesaria una respuesta coordinada en la que participaran todos los órganos pertinentes de las Naciones Unidas.",1
"152","58. Desde el establecimiento del Fondo Fiduciario para la lucha contra el terrorismo, la Dirección Ejecutiva se ha vuelto más eficiente en la gestión de las contribuciones voluntarias en apoyo de sus actividades.",1
