"","en","VerCoop"
"23","At the meeting the parties endorsed, in principle, the UNHCR approach to the return of refugees and internally displaced persons and its planned activities for the next two years.",1
"24","Members of the Council called on all States in the region to make all possible efforts to improve the situation, in particular by taking action to prevent armed individuals and groups from using their territories to prepare and commit attacks on neighbouring countries.",1
"25","We are convinced that a speedy conclusion of these talks, with the signing of a comprehensive and final peace agreement, will greatly facilitate the efforts to combat terrorism and transnational organized crime in our region.",1
"26","In order to expedite the process and ensure that sufficient qualified personnel are available, the Commission supports exploring means of broadening the base of potential candidates.",1
"27","29. It was also recognized that in the framework of its activities the Committee should continue to raise awareness about the multilateral treaties whose aim is to prevent the proliferation of or eliminate weapons of mass destruction so as to contribute to their universality.",1
"28","45. Recognizes the need to maintain contact with relevant United Nations Security Council Committees, international organizations and expert groups, including the Committee established pursuant to resolution 1267 (1999), the Counter-Terrorism Committee (CTC), the United Nations Office of Drugs and Crime, the Counter-Terrorism Committee Executive Directorate (CTED), the Committee established pursuant to resolution 1540 (2004), and the Financial Action Task Force (FATF), particularly given the continuing presence and negative influence on the Afghan conflict by Al-Qaida, and any cell, affiliate, splinter group or derivative thereof;",1
"29","13. The Committee reiterates that States must ensure that any measures taken to combat terrorism should comply with all their obligations under international law and that they should adopt such measures in accordance with international law, in particular human rights law, refugee law and humanitarian law.",1
"30","Establishment of a Truth and Reconciliation Commission in Côte d'Ivoire, with the support of the United Nations and keeping in mind the lessons learned and best practices that have emerged in this area in the past few years;",1
"31","We have appealed to the Council on several occasions to act to compel Israel to cease its military attacks, ensure protection of the civilian population and cease the illegal, punitive measures by which it is deliberately causing a human catastrophe in the Gaza Strip.",0
"32","It encourages further cooperation between Member States, OCHA, DPA, DPKO, UNHCR, UNRWA, OHCHR, UNDP and other relevant United Nations agencies and offices, bearing also in mind the contents of resolutions 1325 on women, peace and security and 1379 on children in armed conflict; welcomes the regional workshops and encourages Member States to give them their operational and financial support.",1
"33","At the 5059th meeting of the Security Council, held on 19 October 2004, in connection with the Council's consideration of the item entitled ""Threat to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:",1
"34","Guidance material is available to assist with the implementation of effective practices. Notable in this regard are the Financial Action Task Force on Money-Laundering Best Practices Paper on detecting and preventing the illicit cross-border transportation of cash and bearer negotiable instruments and the WCO Enforcement Guidelines on Countering Money-Laundering and Terrorist Financing.",0
"35","Interlocutors from opposition parties and civil society across the country called on the international community to prevent a change in the constitution. International partners identified a peaceful transition of power as essential for the country's future peace and stability.",1
"36","The end result must be stable and sustainable. Artificial deadlines should therefore not be set.",1
"37","Bilateral donor assistance will also be required to permit a meaningful response to the security threats posed by drug and weapon flows.",1
"38","""The Security Council encourages member States to continue to cooperate with each other in the fight against piracy and armed robbery at sea off the coast of Somalia, underlines the primary responsibility of Somali authorities in the fight against piracy and armed robbery at sea off the coast of Somalia, and requests the Somali authorities, with assistance from the Secretary-General and relevant UN entities, to pass a complete set of counter-piracy laws without further delay, and to declare an Exclusive Economic Zone in accordance with the UN Convention on the Law of the Sea.",1
"39","His Excellency, Zine El Abidine Ben Ali, President of the Republic of Tunisia",0
"40","Affirming its support for the multilateral treaties whose aim is to eliminate or prevent the proliferation of nuclear, chemical or biological weapons and the importance for all States parties to these treaties to implement them fully in order to promote international stability,",1
"41","Underscoring the importance of humanitarian aid operations and condemning all acts or threats of violence against United Nations staff and humanitarian actors and any politicization of humanitarian assistance by the Taliban and associated groups or individuals,",1
"42","155. Mohammad Serhan Aswad El-Enezi",0
"43","(c) the Commission shall have the authority to determine the location and modalities for interview of Syrian officials and individuals it deems relevant to the inquiry;",1
"44","""The Security Council recognizes that terrorism will not be defeated by military force, law enforcement measures, and intelligence operations alone, and underlines the need to address the conditions conducive to the spread of terrorism, including, but not limited to, the need to strengthen efforts for the successful prevention and peaceful resolution of prolonged conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness to offer a viable alternative to those who could be susceptible to terrorist recruitment and to radicalization leading to violence.",1
"45","""In the context of the expiration of the mandate of the Mission on 31 December 2010, the Security Council commends the contribution of MINURCAT for providing, without prejudice to the primary responsibility of the government of Chad, security for refugees, internally displaced persons and humanitarian actors in eastern Chad and for its efforts to enhance the capacity of the Chadian `Détachement intégré de sécurité' (DIS).",1
"46","2. This meeting was held pursuant to the decision by the two Heads of State, the President of the People's Democratic Republic of Algeria, His Excellency Mr. Abdelaziz Bouteflika, and the President of the Republic of Mali, His Excellency Mr. Ibrahim Boubacar Keita, to establish this mechanism as a strategic tool for follow-up and implementation of any measures the parties deemed likely to further a peaceful and lasting solution to the problems of northern Mali.",1
"47","Underscoring the central role of the United Nations in the global fight against terrorism and welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) of 8 September 2006 and the creation of the Counter-Terrorism Implementation Task Force (CTITF) to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system,",1
"48","This may best be met by raising awareness of the opportunities new payment methods offer to move money undetected and beyond government controls.",1
"49","Outreach to civil society and private corporations, focusing on potential technical assistance and their role in counter-terrorism implementation, was also initiated.",1
"50","The Republic of Macedonia became a party to the European Convention on Extradition on 26 October 1999.",0
"51","Under its regular programme, UNICEF is providing six million oral polio vaccine doses for routine immunization.",0
"52","(b) Failing to impose effective measures to prevent the rape of Ethiopian women and girls;",0
"53","Accordingly, the Panel recommends compensation in the amount of USD 7,943,030 for this part of the claim unit. Lost recreational opportunities",0
"54","5. Application for Delivery Control Certificate",0
"55","It was also pointed out that, because ICC lacks enforcement mechanisms, it was important for the Council to remain engaged in the situations it referred to the Court and to take measures to promote the cooperation of relevant parties with the Court.",1
"56","3. OP 3 (a) and (b)",0
"57","The Security Council welcomes the conclusion of a peaceful registration process for the Southern Sudan referendum in Sudan, and encourages the parties to continue this forward momentum towards peaceful and credible referenda held on January 9, 2011 that reflect the will of the people.",1
"58","One State cited a broad anti-radicalism plan, adopted in 2006, which aims to combat radicalization while also protecting democratic values.",1
"59","Reaffirming the Statement of its President adopted at the Council's meeting at the level of Heads of State and Government on 31 January 1992 (S/23500), including the need for all Member States to fulfil their obligations in relation to arms control and disarmament and to prevent proliferation in all its aspects of all weapons of mass destruction,",1
"60","Calls upon all parties to armed conflict in the [affected country], including [specific armed group] elements to issue clear orders against sexual violence, and further calls upon those parties to make and implement specific commitments on timely investigation of alleged abuses in order to hold perpetrators accountable, in line with its resolution 1960 (2010), and to facilitate immediate access for victims of sexual violence to available services;",1
"61","The international community should -- including through the auspices of the United Nations -- use diplomatic leverage and make available technical assistance in fields such as political, security and justice sector reforms, the drafting of new constitutions and legal frameworks, electoral institutions and the conduct of elections, among others.",0
"62","and the two Optional Protocols thereto, of 2000,",0
"63","6. The first Summit of Heads of State and Government of the International Conference on the Great Lakes Region, which took place in Dar-es-Salaam on 19 and 20 November 2004, marked the end of the first phase of the Conference process.",0
"64","Further urges the Secretary-General to seek to expand the role and contribution of women in United Nations field-based operations, and especially among military observers, civilian police, human rights and humanitarian personnel.",1
"65","Human rights violations, many associated with untrained elements integrated into FARDC from the Congrès national pour la défense du peuple (CNDP) and armed groups, continued to be reported.",0
"66","(b) Encourage States in the subregion to take advantage of law enforcement and other training opportunities in order to enhance the implementation of counter-terrorism laws;",1
"67","At the request of the President, the United Nations Mission for Ebola Emergency Response (UNMEER) established a small office in Bamako, which became operational on 26 November, under the leadership of an Ebola crisis manager to support the Government in containing the Ebola outbreak and bolstering its preparedness. On 13 December, the last known Ebola patient was released from the hospital.",1
"68",":: Building on the Executive Directorate-OSCE Central Asian workshop to be held in November 2010 on resolution 1624 (2005) and countering incitement motivated by extremism, through similar initiatives in other regions",1
"69","The prosecution by the International Criminal Court of persons allegedly responsible for the most serious crimes in Darfur would contribute to the restoration of peace in the region.",0
"70","As indicated above, a decision was taken at this session with respect to the payment of awards.",1
"71","""The Security Council reaffirms its commitment regarding the protection of civilians in armed conflict, and to the continuing and full implementation of all its previous relevant resolutions including 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006), 1894 (2009), as well as all of its resolutions on Women, Peace and Security, Children and Armed Conflict and Peacekeeping, and all relevant statements of its President.",1
"72","Therefore, imports and exports of diamonds necessitate a Kimberly Process Certificate that shows the identity of the importer or exporter and the schedule of shipment.",0
"73","65. The Directorate, together with the Centre on Global Counter-terrorism Cooperation and with the support of the Governments of the Netherlands and Germany, held a subregional workshop for East African Member States on effective monitoring of alternative remittances to prevent terrorist financing abuse, in Addis Ababa, in December 2013. The aim of the workshop was to raise awareness of the risk for informal money remitters who could be used to fund terrorist activities; promote a dialogue among regulatory agencies, law enforcement officials and the money remitters; promote financial inclusion and identify best practices.",1
"74","Bosnia and Herzegovina State law enforcement and security agencies have been making an effort to implement measures to improve cooperation, and the Tribunal working group set up jointly by the Prime Minister's Cabinet and the European Union Special Representative/Office of the High Representative continues to oversee implementation of those measures. On 8 August indictee Milan Lukic was arrested in Argentina, on 25 August Dragan Zelenovic was apprehended in western Siberia and on 13 September Sredoje Lukic surrendered to Republika Srpska authorities in Banja Luka.",0
"75","Reaffirming its resolution 1373 (2001) of 28 September 2001, and reiterating its support for international efforts to root out terrorism, in accordance with the Charter of the United Nations,",1
"76","Reaffirms its condemnation of all incitements to violence against civilians in situations of armed conflict, further reaffirms the need to bring to justice individuals who incite or otherwise cause such violence, and indicates its willingness, when authorizing missions, to consider, where appropriate, steps in response to media broadcasts inciting genocide, crimes against humanity and serious violations of international humanitarian law.",1
"77","24. The Committee will consider information from the Executive Directorate in respect of its continuation to pay close attention to resolution 1624 (2005) in its dialogue with Member States; its work with Member States to develop, in accordance with their obligations under international law, strategies that include countering incitement of terrorist acts motivated by violent extremism and intolerance; and its facilitation of technical assistance for the implementation of resolution 1624 (2005).",1
"78","Judge Mezher agreed to the proposal under the following conditions. The vehicles should be filmed on the spot, they should be marked and numbered: they should also be filmed during the transportation and again upon arrival at the Helou barracks, where they should be covered and guarded around the clock in order to avoid any tampering with evidence.",1
"79","The working groups, which have so far exclusively consisted of the Comprehensive Peace Agreement parties, met on 9 and 10 August and have continued to meet sporadically since that time.",1
"80","""The Security Council renews its call on States to become parties as soon as possible to all relevant international conventions and protocols relating to terrorism and to implement those they are party to.",1
"81","649. The Security Council should, however, act not only against the perpetrators, but also on behalf of victims.",1
"82","9. Elections are a fundamental step in consolidating democracy, but only an initial one.",0
"83","23. Decides to remain seized of the matter.",0
"84","The text of resolution 1874 (2009) has also been published on the Agency's website.",0
"85","""The Security Council welcomes the creation of the AU Border Programme Technical Team (AUBP TT) to determine conclusively the Safe Demilitarized Border Zone (SDBZ) centerline on the ground, and reiterates that the centerline of the SDBZ in no way prejudices the current or future legal status of the border, ongoing negotiations on the disputed and claimed areas, and demarcation of the border.",1
"86","Elected members were given the opportunity to take leadership roles and to guide the way forward, especially during periods of indecision and impasse.",0
"87","The memorandum of the General Secretariat and",0
"88","It urges the international community to ensure adequate and timely funding in response to humanitarian need across crises so as to provide sufficient humanitarian assistance in alleviating the suffering of civilian populations, in particular those in areas affected by armed conflict or emerging from a situation of conflict.",1
"89","II. Implementation of the Linas-Marcoussis Agreement",0
"90","We need peace to tackle other gigantic challenges as well.",0
"91","Establishment and assistance of local and international media and information outlets, in support of peace operations.",0
"92","Notwithstanding the progress made so far, it is imperative that the parties to the Agreement and all relevant authorities redouble their efforts to ensure that they successfully meet the deadline.",1
"93","37. As part of the Division's effort to recruit well-qualified experts to serve on sanctions monitoring groups, teams and panels, and as is done annually, a note verbale was sent to all Member States in December to request the nomination of qualified candidates for membership of the Division's roster of experts.",1
"94","KFOR and UNMIK police cooperated in the security management of major public events, countering political violence, and providing special security measures for threatened minority communities.",0
"95","""The Security Council notes that large-scale human suffering is a consequence and sometimes a contributing factor to instability and further conflict, whether due to displacement, violent assault or other atrocities.",0
"96",":: There is a need for more consistent follow-up to the findings and recommendations of fact-finding mechanisms to ensure their effectiveness and credibility and to meet the expectations their establishment raises, especially among victims.",1
"97","24. Urges Member States, in response to demonstrable progress by the parties in restructuring their law enforcement institutions, to intensify their efforts to provide, on a voluntary-funded basis and in coordination with the IPTF, training, equipment and related assistance for local police forces in Bosnia and Herzegovina;",1
"98","The Special Representative welcomed the efforts of the Government of the Democratic Republic of the Congo to protect children, in particular the signature on 4 October 2012 of the action plan to end and prevent the recruitment and use of children, sexual violence and other grave violations against children by the national armed and security forces, the Government's engagement in the campaign ""Children, not soldiers"", and the appointment on 14 July 2014 of a Presidential Adviser on Sexual Violence and Child Recruitment.",1
"99","74. Significant progress was made in the current programme of work in increasing awareness among parliamentarians, through the events held in Geneva with IPU and in Saint Petersburg, Russian Federation, with parliamentarians from the CIS countries.",1
"100","The Council also imposed on individuals and entities designated by the Committee a prohibition on the supply, sale or transfer of weapons and military equipment, and related training, and financial and other assistance.",1
"101","(b) the offender is Swiss or is domiciled in Switzerland.",0
"102","Those rights include the right to be informed that there are grounds to believe that the person has committed a crime, the right to remain silent and the right to have legal assistance.",0
"103","The Council urged the Sudan and South Sudan to implement fully their commitments under the agreements of 29 June 2011, which concerned the creation of a safe demilitarized border zone, and 30 July 2011, dealing with establishment of a Joint Border Verification and Monitoring Mechanism, and urged those Governments to cooperate fully with each other and provide full support to UNISFA, enabling it to implement its mandate.",1
"104","34. The situation in Côte d'Ivoire (20 December 2002; 19 January 2011).",0
"105","We now have a better understanding of the scope of the challenges that we previously could only guess at.",0
"106","The international community will need strength to carry the status process forward.",1
"107","I also suggest to the Security Council that it authorize the Secretary-General to give any assistance considered necessary to the trilateral commission established by the fraternal Governments of Honduras, El Salvador and Nicaragua, to enable the negotiation and functioning of the co-sovereignty regime in the Gulf of Fonseca to resume, with a view to the comprehensive social, economic and environmental development of the Gulf.",1
"108","Some Council members noted the importance of coordination -- among the Council's sanctions committees, panels of experts and Member States, as well as among United Nations entities, field missions and force commanders -- to achieving the effective implementation of Council sanctions.",1
"109","Several States have criminalized recruitment for the purpose of committing terrorist acts.",0
"110","6. Requests also the Committee established pursuant to resolution 1267 (1999) to report to the Security Council on the implementation of this resolution at regular intervals;",1
"111","""In this regard, the Security Council welcomes the news on 1 May 2011 that Osama bin Laden will never again be able to perpetrate such acts of terrorism, and reaffirms that terrorism cannot and should not be associated with any religion, nationality, civilization or group.",1
"112","In post-conflict environments also, the challenges faced by women remain formidable.",0
"113","The outcome of this dialogue would strengthen the climate of stability.",1
"114","229. The Commission recommends the establishment of robust and independent police and military oversight mechanisms.",1
"115","As a result of the Ebola outbreak, Guinean security institutions shifted efforts towards containment of the outbreak.",0
"116","The Permanent Representative of Afghanistan to the United Nations, Ambassador Zahir Tanin, underlined the emerging international consensus on a transition strategy, and called for more international support to the Afghan security forces.",1
"117","5. Requests the Monitoring Group to report to the Committee established pursuant to resolution 1267 (1999) including through briefings of experts of the monitoring mechanism regarding the work of the monitoring mechanism as established in paragraph 3 above, and requests also the Sanctions Enforcement Support Team to report at least once a month to the Monitoring Group;",1
"118","The Security Council recalls the obligations of States to respect and to ensure respect for international humanitarian law, including the four Geneva Conventions, and emphasizes their responsibility to end impunity and to prosecute those responsible for genocide, crimes against humanity and serious violations of humanitarian law.",1
"119","25. Calls upon all States to manage responsibly and minimize to the greatest extent that is technically and economically feasible the use of highly enriched uranium for civilian purposes, including by working to convert research reactors and radioisotope production processes to the use of low enriched uranium fuels and targets;",1
"120","""The Security Council calls upon all parties to armed conflict to comply with their obligations under international humanitarian law to respect and protect, and refrain from attacking, medical personnel, provided that they take no action adversely affecting their status as civilians, and facilities, as well as from using medical infrastructure in fighting.",1
"121","The implementation of changes to the police structure in Bosnia and Herzegovina will need the support of international police experts.",1
"122","Such acts of terror and intimidation, which form a pattern of onslaught not only against Lebanese citizens, but also against the principles of a democratic, open society that includes the freedom of the press, must stop.",0
"123","President Abbas and Prime Minister Seniora further discussed the establishment of a Lebanese-Palestinian dialogue on the social and economic welfare, security and representation of Palestinian refugees in Lebanon.",1
"124","Statements from two KISR employees were filed to explain this evidentiary shortcoming.",0
"125","7. Calls upon all States to act strictly in accordance with the provisions of this resolution, notwithstanding the existence of any rights or obligations conferred or imposed by any international agreement or any contract entered into or any licence or permit granted prior to the date of coming into force of the measures imposed by paragraph 4 above;",1
"126","Urge humanitarian and development organizations to take appropriate action to prevent SEA by their personnel, including pre-deployment and in-theatre awareness training and, in the case of United Nations actors, to promote and ensure compliance, including by civilian staff of United Nations peacekeeping and other relevant missions, with the Secretary-General's Bulletin on special measures for protection from sexual exploitation and abuse (ST/SGB/2003/13).",1
"127","126. The Group investigated the supply chain for the delivery of these vehicles to establish if those involved had prior knowledge that the end user would be the Ivorian Ministry of Defence.",0
"128","In addition, there are a series of Palestinian armed groups operating in the country inside and outside the refugee camps.",0
"129","13. Decides to remain seized of the matter.",0
"130","14. Decides that the Committee, in determining whether to remove names from the Consolidated List, may consider, among other things, (i) whether the individual or entity was placed on the Consolidated List due to a mistake of identity, or (ii) whether the individual or entity no longer meets the criteria set out in relevant resolutions, in particular resolution 1617 (2005); in making the evaluation in (ii) above, the Committee may consider, among other things, whether the individual is deceased, or whether it has been affirmatively shown that the individual or entity has severed all association, as defined in resolution 1617 (2005), with Al-Qaida, Usama bin Laden, the Taliban, and their supporters, including all individuals and entities on the Consolidated List; Exemptions 15. Decides to extend the period for consideration by the Committee of notifications submitted pursuant to paragraph 1 (a) of resolution 1452 (2002) from 48 hours to 3 working days;",0
"131","""The Security Council underlines that safe havens provided to terrorists continue to be a significant concern and recalls that all Member States must cooperate fully in the fight against terrorism in order to find, deny safe haven and bring to justice, on the basis of the principle of extradite or prosecute, any person who supports, facilitates, participates or attempts to participate in the financing, planning, preparation or commission of terrorist acts or provides safe havens.",1
"132","A widely quoted June 2005 report by the International Crisis Group that a helicopter destroyed at Yamoussoukro by the French on 6 November 2004 was Guinean is incorrect, as was demonstrated by the Group's audit.",0
"133","The staffing table authorization dated 28 June 2005 indicated 67 positions for Professional and General Services.",0
"134","Article 27: Management of the Archives",0
"135","97. It has been noted that in some instances, owing to the perceived urgency and particularity of terrorist threats, counter-terrorism investigations and responses carried out by national law enforcement and security forces may have been delinked from human rights considerations in comparison to regular criminal policing situations, leading to important gaps.",0
"136","This is a disservice to their community.",0
"137","(d) A logistics unit of 34 from Austria;",0
"138","The members expressed their willingness to consider, in due time, updated reports on the planning for a smooth transition towards a sustainable development assistance framework by the end of the mandate of UNOTIL in May 2006.",1
"139","Excavations are to occur in the second half of 2013.",0
"140","Reaffirming also its resolutions 1368 (2001) of 12 September 2001 and 1373 (2001) of 28 September 2001, and reiterating its support for international efforts to root out terrorism, in accordance with the Charter of the United Nations,",1
"141","Less than 5 kg, but more than 1 kg",0
"142","Trial commenced on 26 February 2010",0
"143","It visited 30 incident locations and met with the local authorities, particularly the armed forces.",1
"144","FARDC also succeeded in dislodging FDLR from some mining areas in Walikale, Lubero and Shabunda.",0
"145","The Programme was relaunched as the Intergovernmental Authority on Development Security Sector Programme in October 2011 and intends to be more active in this area, including through conferences on de-radicalization and community engagement to counter terrorism.",1
"146","Council members also considered the Secretary-General's report (S/2000/632), which indicated that important progress had been made on the political and military fronts but that many challenges remained for the Government of Guinea-Bissau to restore lasting peace, stability and sustainable development.",0
"147","Calls on all actors involved, when negotiating and implementing peace agreements, to adopt a gender perspective, including, inter alia: (a) The special needs of women and girls during repatriation and resettlement and for rehabilitation, reintegration and post-conflict reconstruction; (b) Measures that support local women's peace initiatives and indigenous processes for conflict resolution, and that involve women in all of the implementation mechanisms of the peace agreements; (c) Measures that ensure the protection of and respect for human rights of women and girls, particularly as they relate to the constitution, the electoral system, the police and the judiciary.",1
"148","23. As noted above, the Executive Directorate has also established particularly strong relations with certain regional and subregional organizations, including, inter alia, the Caribbean Community and the Inter-American Committee against Terrorism of the Organization of American States, in the Americas; the African Centre for Studies and Research on Terrorism, the African Union, the Eastern and Southern African Anti-Money-Laundering Group, the Economic Community of West African States (ECOWAS), the IGAD Capacity-Building Programme against Terrorism (ICPAT), the Intergovernmental Action Group against Money Laundering in West Africa and the Southern Africa Development Community, in Africa; the Committee of Experts on the Evaluation of Anti-Money-Laundering Measures and the Financing of Terrorism, the Council of Europe, the European Union, Eurojust, the Organization for Security and Cooperation in Europe, the Shanghai Cooperation Organization and the Commonwealth of Independent States, in Europe; the Pacific Islands Forum, in the Pacific; and the Asian Development Bank, the Association of Southeast Asian Nations and the South Asian Association for Regional Cooperation, in Asia.",1
"149","At the same time, my delegation considers that the elected representatives of the ethnic minorities in the Assembly, in particular the Serb representatives, would achieve better results and greater benefits for their electorate if they were to adopt a more participative attitude, instead of withdrawing from the legislature when they encounter a difficult situation.",0
"150","Being aware of the importance and urgency that a comprehensive issue such as the fight against terrorism represents, and in order to provide CTC with additional relevant information, the Government of the Czech Republic has provided as a separate annex to its fifth report, Act No. 61/1996 Coll., on some measures against the legalization of the proceeds of crime and on the amendment and supplementation of connected acts.",1
"151","""The Security Council calls on Burundi to prevent any support from its territory to armed groups in the Democratic Republic of the Congo.",0
"152","205. The Commission recommends that consideration be given to broadening the pool of candidates for these positions in order to maximize the ability to recruit the most qualified persons.",1
"153","However, given the quality of staff at the FIU, the task at hand is certainly within their competence.",0
"154","72. Requests the Committee to report orally, through its Chair, at least once per year, to the Council on the state of the overall work of the Committee and the Monitoring Team, and, as appropriate, in conjunction with the reports by the Chairs of CTC and the Committee established pursuant to resolution 1540 (2004), expresses its intention to hold informal consultations at least once per year on the work of the Committee, on the basis of reports from the Chair to the Council, and further requests the Chair to hold periodic briefings for all interested Member States;",1
"155","598. In the light of the above comments and on the basis of the aforementioned body of law on human rights, the proposition is warranted that, at present, whenever a gross breach of human rights is committed which also amounts to an international crime, customary international law not only provides for the criminal liability of the individuals who have committed that breach, but also imposes an obligation on States of which the perpetrators are nationals, or for which they acted as de jure or de facto organs, to make reparations (including compensation) for the damage done.",1
"156","In resolution 1820 (2008), the Council encourages the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls in and around refugee and internally displaced person camps, particularly from sexual and other forms of gender-based violence.",1
"157","""The Security Council reaffirms the relevant provisions of the 2005 World Summit Outcome Document regarding the protection of civilians in armed conflict, including paragraphs 138 and 139 thereof regarding the responsibility to protect populations from genocide, war crimes, ethnic cleansing and crimes against humanity.",1
"158","Its due respect for the Security Council is also part of this tradition.",0
"159","It is not clear whether the telex refers to any work which was performed before 2 May 1990.",0
"160","3. The Committee will continue to pursue a more strategic and transparent approach to its work and seek to raise the visibility of its work within the wider United Nations and counter-terrorism community.",0
"161","23. Close cooperation between UNOMIG and the CIS peacekeeping force continued through regular liaison visits, the weekly quadripartite meetings, information exchanges and joint patrols.",0
"162","The Afghan authorities and the international community must make it clear that this behaviour is unacceptable.",0
"163","The Commission also recognizes the need to address the availability of remedies for persons who have suffered as a result of the events of April and May.",1
"164","A follow-up session of the strategic review took place in the first half of June.",0
"165","Welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) of 8 September 2006 and the creation of the Counter-Terrorism Implementation Task Force (CTITF) to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system,",0
"166","C. Support to persons affected by the conflict",0
"167","""The Security Council calls upon the parties to refrain from using force and to settle their disagreements by peaceful means, to normalize their relations, to promote stability between them and to lay the foundation for sustainable peace in the region.",1
"168","Members of the Council commended the efforts of the Special Adviser.",0
"169","Council members expressed deep concern at the reports of renewed fighting and the humanitarian consequences thereof.",0
"170","It is also important to recognize that more than half of refugees and internally displaced persons are not living in camps. Therefore the debate will also address women's leadership roles in non-camp settings where both reaching internally displaced persons and refugees and providing services pose additional challenges.",1
"171","82. As the Comprehensive Peace Agreement deadline for the referendums approaches, public anticipation and anxiety are building up at an accelerated pace.",0
"172","When status has been determined, the EU will be expected to play a more prominent role, in particular with regard to the police and justice and in monitoring and supporting the standards process.",1
"173","2. Decides to remain seized of the matter.",0
"174","The resolution is the second major change to processing of humanitarian supply contracts under the programme since the adoption of resolution 1284 (1999), which increased the quantity of oil that Iraq could sell under the programme and created new fast-track procedures for certain humanitarian goods.",0
"175","(f) to cooperate with other relevant Security Council Sanctions Committees and with the Committee established pursuant to paragraph 6 of its resolution 1373 (2001);",1
