"en_es_GOOGLE"	"VerCoop"
"&quot;El Consejo de Seguridad exhorta a las partes a que se abstengan de utilizar la fuerza y solucionen sus desacuerdos por medios pacíficos, normalicen sus relaciones, promuevan la estabilidad entre ellas y sienten las bases para una paz sostenible en la región."	1
"c) Apoyar los esfuerzos del Gobierno del [país afectado] para garantizar la protección de los civiles contra las violaciones del derecho internacional humanitario y los abusos de los derechos humanos, incluidas todas las formas de violencia sexual y de género, para promover y proteger los derechos humanos y luchar contra la impunidad, incluso mediante la aplicación de la &quot;política de tolerancia cero&quot; del Gobierno con respecto a la disciplina y las violaciones de los derechos humanos y del derecho humanitario cometidas por elementos de las fuerzas de seguridad, en particular sus elementos recientemente integrados;"	1
"Cuando los pasajeros importen diamantes acabados/pulidos sin ninguna documentación, como facturas, los diamantes serán retenidos."	0
"Acción de extinción del derecho de propiedad, Ley N° 793 de 2002:"	0
"17. La situación en los territorios árabes ocupados."	0
"Al expresar su profunda solidaridad con las víctimas del terrorismo y sus familias, destaca la importancia de ayudar a las víctimas del terrorismo y brindarles a ellas y a sus familias apoyo para afrontar su pérdida y su dolor, reconoce el importante papel que desempeñan las redes de víctimas y supervivientes para contrarrestar terrorismo, incluso denunciando con valentía las ideologías violentas y extremistas y, en este sentido, acoge con beneplácito y alienta los esfuerzos y actividades de los Estados Miembros y del sistema de las Naciones Unidas, incluido el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo (CTITF) en este ámbito,"	1
"Las Naciones Unidas están dispuestas a apoyar los esfuerzos nacionales en esta esfera."	0
"&quot;El Consejo de Seguridad reitera su pleno apoyo a la fuerza multinacional CEMAC y pide que continúe la reestructuración de las fuerzas de defensa y de seguridad de la República Centroafricana."	1
"La gobernabilidad democrática eficaz y sostenible es un objetivo que debe perseguirse con gran determinación e incluso con sentido de urgencia en todas partes, y Haití no es una excepción."	0
"Insto a todos los dirigentes somalíes a que adopten las medidas necesarias para reconciliar sus diferencias."	1
"En el período comprendido entre el 25 de noviembre de 1998 y el 26 de febrero de 1999, se realizaron 149 inspecciones, 56 en la República Srpska y 93 en la Federación."	0
"Aparte de la planta de asfalto, el empleado no se refirió a ningún punto específico."	0
"S/RES/2103 (2013), op. 6"	0
"Auditoría Interna y Externa de Bancos"	0
"En el anexo I figura una descripción de la situación de todos los casos al 31 de enero de 2013."	0
"Que se celebrará el jueves 23 de febrero de 2006, a las 10.15 horas"	0
"Vicepresidente: Reino Unido de Gran Bretaña e Irlanda del Norte"	0
"10. Decide seguir ocupándose del asunto."	0
"Además, la llanura aluvial del río Moro en Liberia es especialmente propensa a grandes inundaciones durante la temporada de lluvias, lo que hace imposible la minería aluvial sistemática y mecanizada."	0
"Al 2 de febrero de 2010, sólo se habían recibido 27 respuestas."	0
"5. La Dirección Ejecutiva seguirá intensificando su cooperación con los órganos pertinentes de las Naciones Unidas, incluido el Equipo de Vigilancia del Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) y el Grupo de Expertos del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004). ), así como con diversas organizaciones internacionales, regionales y subregionales, incluso en el contexto de las visitas del Comité a los Estados Miembros."	0
"Los primeros indicios apuntan a que la explosión se produjo en la caravana del primer ministro Hariri, pero aún no se conoce el resultado."	0
"&quot;El Consejo de Seguridad renueva su llamamiento a los Estados para que pasen a ser partes lo antes posible en todos los convenios y protocolos internacionales pertinentes relacionados con el terrorismo y apliquen aquellos en los que son parte."	1
"Los iraníes procedieron a construir una serie de grandes cobertizos abiertos al sur del monumento, frente a la ciudad de Faw."	0
"Se prohíbe la exportación de bienes incluidos en la Lista de Bienes Estratégicos sin el consentimiento del Secretario de Relaciones Exteriores y Comercio."	0
"El Consejo de Seguridad alienta a la ONU, la UA, la CIRGL y la SADC y otras organizaciones internacionales y regionales relevantes a continuar trabajando juntas, con el compromiso y apoyo sostenido de la comunidad internacional, hacia la implementación del Marco del PSC."	1
"En lugar de ello, los Estados deberían establecer un marco jurídico claro, completo y coherente que especifique los actos terroristas como delitos penales graves, penalice esos actos según su gravedad, establezca jurisdicción y ayude a los tribunales a llevar a los terroristas ante la justicia."	0
"&quot;El Consejo de Seguridad espera con interés el informe del Panel de Alto Nivel sobre la coherencia en todo el sistema de las Naciones Unidas en las áreas de desarrollo, asistencia humanitaria y medio ambiente y espera que contribuya a garantizar un enfoque coordinado de las Naciones Unidas respecto de las mujeres y Paz y Seguridad."	1
"El Comité se esfuerza por garantizar que la lista consolidada sea dinámica y responda a la evolución de la amenaza que plantean Al-Qaida y los talibanes."	1
"32. Sobre la base de las observaciones del Grupo en antiguos campamentos de las FDA y de un análisis de documentos, parece que las FDA estaban organizadas en diferentes departamentos (véase el anexo 9)."	0
"En la 6066ª sesión del Consejo de Seguridad, celebrada el 14 de enero de 2009, en relación con el examen por el Consejo del tema titulado &quot;Protección de los civiles en los conflictos armados&quot;, el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:"	1
"Así, uno puede ver fácilmente los subterfugios concertados y sutiles que se han puesto en marcha para atrapar a Eritrea;"	0
"5. Solicita al Grupo de Supervisión que informe al Comité establecido en virtud de la resolución 1267 (1999), incluso mediante reuniones informativas con expertos del mecanismo de supervisión, sobre la labor del mecanismo de supervisión establecida en el párrafo 3 supra, y solicita también al Equipo de Apoyo a la Aplicación de Sanciones informar al menos una vez al mes al Grupo de Supervisión;"	1
"Sin embargo, parece que las instituciones financieras y otros involucrados en la implementación aún no son conscientes de esto y el Equipo recomienda que el Comité y los Estados encuentren formas de llamar la atención sobre este tema."	1
"El Programa también prevé una revisión y reforma del sector de la defensa mediante una legislación adecuada."	0
"Convenio Europeo de Extradición (1957), y sus protocolos de 1975 y de 1978. Todos ratificados el 20 de junio de 1984."	0
"&quot;El Consejo de Seguridad insta a los Estados miembros a mejorar la cooperación bilateral, internacional, regional y subregional para impedir los viajes de combatientes terroristas extranjeros desde o a través de sus territorios, incluso mediante un mayor intercambio de información con el fin de identificar a los combatientes terroristas extranjeros y comprender sus patrones. de los viajes de los combatientes terroristas extranjeros, y compartir prácticas en materia de evaluación de riesgos de los viajeros y controles fronterizos basados en pruebas, señalando la necesidad de abordar los desafíos que plantean las rutas de viaje evasivas de los combatientes terroristas extranjeros."	1
"3. Invitar a los Estados miembros a considerar la reapertura de sus embajadas en la capital somalí;"	0
"Irán ha modificado 12 de las cascadas para que contengan 174 centrifugadoras cada una."	0
"Acogiendo con beneplácito el papel de la Unión Africana en los esfuerzos por solucionar los conflictos en el continente africano y expresando su apoyo a las iniciativas de paz llevadas a cabo por la Unión Africana y a través de organizaciones subregionales,"	1
"73. Se necesitan cambios en el proceso mediante el cual se presentan los motivos, tanto en el caso de exclusión como de retención, para garantizar la entrega oportuna y un contenido sustancial que refleje adecuadamente el análisis y las conclusiones del revisor independiente."	1
"2. La situación en Oriente Medio."	0
"El 3 de mayo, por invitación del Presidente del Consejo Económico y Social, el Presidente del Consejo asistió a la reunión de alto nivel del Consejo Económico y Social para evaluar la labor de sus grupos asesores especiales sobre países que salen de un conflicto ( Burundi y Guinea-Bissau)."	1
"Toda privación de libertad debe realizarse de conformidad con lo dispuesto en el artículo 9: no debe ser arbitraria; debe basarse en las causales y procedimientos establecidos por la ley; debe facilitarse información sobre los motivos de la detención; y debe estar disponible el control judicial de la detención, así como una indemnización en caso de incumplimiento."	1
"Por último, es necesario abordar la cuestión de las circunstancias en las que una operación de mantenimiento de la paz está autorizada a utilizar la fuerza, desde la autodefensa hasta la imposición de la paz y un mantenimiento de la paz sólido, y cómo encaja en la implementación del mandato de protección de los civiles de la operación."	1
"En otro caso, el Tribunal volvió a considerar los diferentes elementos de un ataque dirigido contra una población civil como parte de la definición de crímenes de lesa humanidad."	1
"Uganda valora la paz y cree que la inestabilidad actual en la región de los Grandes Lagos desincentiva el desarrollo."	1
"Al mismo tiempo, la Secretaría continúa explorando todas las opciones para reforzar y reforzar las capacidades operativas actuales de la Misión en el difícil entorno del norte de Malí."	0
