"","en","MatCoop"
"53","Both were transported to The Hague.",0
"54","64. Despite recent improvements in the security situation and the success of large-scale joint security operations, more needs to be done to maintain pressure on illegal armed groups.",1
"55","150. Table 2 aggregates revenues from cocoa and oil.",0
"56","The Committee looks forward to receiving from the Counter-Terrorism Committee Executive Directorate, before the end of November 2009, a first updated global implementation survey, for its consideration, in order to respond to the request above by the Security Council.",1
"57","To this end, the Department identified several benchmarks as crucial to this process. These included the establishment of the three mandatory assembly committees -- on policy and finance, communities and mediation.",1
"58","For example, in 2009, Tunisia amended Act No. 2003-75 criminalizing incitement to commit terrorist acts in order to separate ""incitement to hatred"" and ""religious radicalization"" from terrorist offences.",1
"59","The bases of this vision are as follows:",0
"60","(n) To coordinate and cooperate with the national counter-terrorism focal point or similar coordinating body in the state of visit where appropriate;",1
"61","From Dubai, the money is then dispatched to Somalia through unknown hawala transfers.",0
"62","Sahelian countries are making progress in their counter-terrorism capabilities.",0
"63","The Council urges MONUSCO, BINUCA, UNMISS, and other United Nations actors in the LRA-affected region to continue to work with regional forces and non-governmental organizations to promote defections and support the DDRRR efforts across the LRA-affected area.",0
"64","To date, the Committee has not been authorized to undertake any additional tasks in this regard.",0
"65","The report's findings are based on a collection of first-hand accounts from victims and witnesses.",1
"66","The situation in Somalia (17 March 1992; 14 October 2014)",0
"67","However, while the measures may have limited application in the Afghanistan-Pakistan border area or in the ungoverned areas of the southern Sahara, they nonetheless address three essential requirements of a terrorist group: money, movement and the means to attack.",1
"68","Four States have introduced adequate legal measures to criminalize the provision of safe haven; four have partially done so; and two have not provided the relevant information.",1
"69","I would hereby like to take this opportunity to announce that my service as Chief Prosecutor of the Task Force will conclude on 23 August.",0
"70","European Convention on the Suppression of Terrorism, signed 13 February 1992, ratified on 15 April 1992, came into force in the Czechoslovak Federative Republic on 15 July 1992",1
"71","The Council also notes the mandate of the United Nations-African Union Hybrid operation in Darfur (UNAMID) and the United Nations Integrated Peacebuilding Office in the Central African Republic (BINUCA) to cooperate and share swiftly information related to the regional threat of the LRA.",1
"72","In the event that a Medal is awarded, I will present it in a formal ceremony to be held on International Day of United Nations Peacekeepers. The representatives of all States Members of the United Nations and relatives of the recipient will be invited to the ceremony.",0
"73","22. The Commission's investigation team was led by a chief investigator and included four investigators, two female investigators specializing in gender violence, four forensic experts and two military analysts.",1
"74","The consortium will create and maintain an online repository to gather and make available to researchers, analysts and policymakers the unedited submissions from Contact Group participants that reflect their views about the international efforts undertaken since 2008 to combat piracy off the coast of Somalia.",1
"75","To be held in private on Thursday, 15 June 2000, at 11.30 a.m.",0
"76","13. From 13 to 17 September, WFP, in collaboration with UNHCR, carried out a midterm review of its feeding programme in the Tindouf area refugee camps, in which the Government of the United States and the European Commission Humanitarian Aid Office participated as observers.",1
"77","C. Eastern Europe 46. Most Eastern European States have criminalized incitement to commit terrorist acts.",1
"78","Such operations contribute to enhancing the mission's profile as well as supporting the mission implementation plan of the Office of the High Representative and capacity-building for local authorities and law enforcement agencies.",1
"79","3. States must bring to justice those who finance, plan, support or commit terrorist acts or provide safe havens, in accordance with international law, in particular on the basis of the principle to extradite or prosecute;",1
"80","33. The Panel estimates current Liberian production to be in the region of 130,000 to 150,000 carats per annum.",0
"81","Most States have established in their legislation customer due diligence obligations and reporting mechanisms that oblige financial institutions and certain professionals to identify their customers and report suspicious activities to the authorities.",1
"82","- Ref (a): Armistice Agreement, 27 July 1953",0
"83","Decides that [the mission] shall have the following mandate in [the affected country], in liaison with the United Nations country team ... Security and protection of civilians (c) To liaise with the ... Government [of the affected country] and the Office of the United Nations High Commissioner for Refugees (UNHCR) in support of their efforts to relocate refugee camps which are in close proximity to the border, and to provide to UNHCR, on availability and cost-reimbursable basis, logistical assistance for that purpose; ... (e) To support the initiatives of national and local authorities in [the affected country] to resolve local tensions and promote local reconciliation efforts, in order to enhance the environment for the return of internally displaced persons.",1
"84","Together, we will build towards the day when the Iraqi forces assume full responsibility for the maintenance of security and stability in Iraq.",1
"85","Matters relating to crimes against humanity were assessed on the basis of definitions set out by customary international criminal law and in the Rome Statute of the International Criminal Court.",1
"86","The curriculum examines human rights questions typically arising in the various stages of the criminal justice process in terrorism cases.",1
"87","Notwithstanding the progress made so far, it is imperative that the parties to the Agreement and all relevant authorities redouble their efforts to ensure that they successfully meet the deadline.",0
"88","Yet with thousands of poor, malnourished and unemployed youth roaming the streets all over the country, many of them semi-literate or illiterate, Sierra Leone is not yet a shining example for Liberia to emulate.",0
"89","1. The Security Council, in paragraph 4 of its resolution 1977 (2011), decided that the Committee established pursuant to resolution 1540 (2004) should submit an annual programme of work to the Council before the end of each May.",1
"90","13. While most States in the subregion are known to have established counterterrorism law enforcement units, only three States have set up adequate institutional structures and the inter-agency coordination necessary to deal with counter-terrorism issues.",1
"91","Several participants explored the dynamics among Council members, particularly the influence of elected members on the Council's work and decisions.",0
"92","IV. POSITION OF THE DEMOCRATIC REPUBLIC OF THE CONGO",0
"93","In concluding this fourth round of talks, the parties reiterated their commitment to continuing the negotiations at Manhasset at a date to be determined by common agreement.",0
"94","All three refining units (including the LPG plant) were operating at their maximum capacity on 2 August 1990.",0
"95","DPA, DPKO, UNDP, UNESCO, UNHCR, UNICEF, WFP",0
"96","A reduction of the threat posed by Congolese and foreign armed groups to civilians, the establishment of stronger and accountable State institutions and the strengthening of democratic practices to reduce the risk of instability should remain the key criteria guiding MONUSCO's gradual drawdown.",1
"97","(b) Continue enhancing border security at entry points and along open borders in order to prevent and suppress the movement across borders of terrorist cargo and arms/explosives, as well as currency and bearer negotiable instruments, and implement the international best codes and standards established by specialized agencies such as ICAO, IMO and WCO;",1
"98","39. In the framework of the Global Counterterrorism Forum, the Monitoring Team participated in the Workshop on Proactive Counter-Terrorism Good Practices for the Criminal Justice Sector, held in Abuja, and in the meeting of the Sahel Working Group held in Oran, Algeria, in June 2013, with the aim of promoting the sanctions regime and assessing the threat in the region.",1
"99","As of 1 October, 5,849 Ivorians had been registered as voters.",0
"100","(b) It did not take into account the opening balance of $1.97 million, which was available to the National Transitional Government on 1 July 2005;",0
"101","148. A number of provisions of those treaties are of particular relevance to the armed conflict currently under way in Darfur. These include (a) the right to life and to not be arbitrarily deprived thereof; (b) the right not to be subjected to torture or to cruel, inhuman or degrading treatment or punishment; (c) the right not to be subjected to arbitrary arrest or detention; (d) the right of persons deprived of their liberty to be treated with humanity and with respect for their inherent dignity; (e) the right to freedom of movement, to choose one's own residence and hence not to be displaced arbitrarily; (f) the right to property, to adequate housing and not (g) the right to health; (h) the right to adequate food and to water; (i) the right to fair trial; (j) the right to effective remedy for any serious violations of human rights; (k) the right to reparation for violations of human rights; and (l) the obligation to bring to justice the perpetrators of human rights violations.",1
"102","Counter-terrorism efforts must not involve double standards and unilateral steps to use force, which could damage the cohesion of the coalition against terrorism and destabilize the regional and world situation.",1
"103","For 27 June 1998 read 27 June 1997",0
"104","The New Zealand Customs and Immigration Services have similar arrangements.",0
"105","The Movement will remain seized of this important issue.",0
"106","14. The situation in Sierra Leone (27 November 1995; 29 September 2010).",0
"107","Recalling its previous resolutions on international terrorism and the threat it poses to Afghanistan, in particular its resolutions 1267 (1999), 1333 (2000), 1363 (2001), 1373 (2001), 1390 (2002), 1452 (2002), 1455 (2003), 1526 (2004), 1566 (2004), 1617 (2005), 1624 (2005), 1699 (2006), 1730 (2006), 1735 (2006), 1822 (2008), 1904 (2009), 1988 (2011), 1989 (2011), and the relevant statements of its President,",0
"108","4. The Financial Intelligence Unit became operational in the early 1990s. It was established by legislation introduced to address a growing problem of money-laundering by organized criminal groups, and amended in 2002 to deal with the suppression of terrorism financing. ""Cash dealers"" are obliged to identify their customers, maintain records of customer identification and customer account activity for at least seven years after the account is closed, and to report to the FIU significant cash transactions (over $7,000), suspect transactions, and funds transfer instructions into or out of the country.",1
"109","The academy will be an important institution to implement the new training syllabus and support the implementation of the road map for the rebuilding of the civilian police force.",0
"110","38. Reaffirms that the Monitoring Team should circulate to the Committee every six months a list of individuals on the Al-Qaida Sanctions List who are reportedly deceased, along with an assessment of relevant information such as the certification of death, and to the extent possible, the status and location of frozen assets and the names of any individuals or entities who would be in a position to receive any unfrozen assets, directs the Committee to review these listings to decide whether they remain appropriate, and calls upon the Committee to remove listings of deceased individuals, where credible information regarding death is available;",0
"111","II. Proposals A. Make the Office of the Ombudsperson permanent",0
"112","UNAMID transported 25,000 copies of the Document, printed by the parties, from Khartoum to Nyala, El Fasher, El Geneina, Zalingei and El Daein for distribution throughout the three States.",0
"113","The Council urges the [affected State] to continue to provide asylum to all refugees regardless of their origin.",0
"114","The capacity to freeze funds and assets linked to terrorism is mostly inadequate and limited in all States.",1
"115","The latest report of the Secretary-General (S/2012/376), like the previous ones (S/2009/277 and S/2010/579), crystallized the debate around five core challenges he identified: enhancing compliance by parties to conflict with international law; enhancing compliance by non-State armed groups; enhancing protection by United Nations peacekeeping and other relevant missions; improving humanitarian access; and enhancing accountability for violations.",1
"116","Supplementary provisions issued by the Swedish Customs (TFS 2000:29).",0
"117","9. Requests the Secretary-General to assign the Monitoring Group established pursuant to paragraph 4 (a) of resolution 1363 (2001), whose mandate expires on 19 January 2002, to monitor, for a period of 12 months, the implementation of the measures referred to in paragraph 2 of this resolution;",1
"118","28. The International Organization for Migration continued to support the development of the migration service of the national police through an extensive capacity-building programme, by providing technical legal support for revisions to the immigration and asylum law and by assisting in the installation of a border management information system.",1
"119","(a) The overall situation in Liberia;",0
"120","13. Urges the international community to provide support and assistance to enable States to fulfil their responsibilities regarding the protection of refugees and other persons protected under international humanitarian law;",0
"121","Lack of follow-up had contributed to widespread impunity.",0
"122",":: To examine how more effective implementation of the women, peace and security agenda can contribute to improved security for all and to the building of durable peace",1
"123","A number of regions have also concluded specific agreements to control the export, import and transit of such weapons.",1
"124","11 13/90/502 – November 1990",0
"125","32. The situation in Côte d'Ivoire (20 December 2002; 26 January 2012).",0
"126","59. In an effort to help financial institutions and others to understand the range of methods used by listed individuals and entities to raise and move money, the Team, as part of the Counter-Terrorism Implementation Task Force, has commissioned a study of terrorist-financing indicators based on the activities of individuals who have been charged with and convicted of terrorist acts.",1
"127","As the fighting intensified, F-FDTL reinforced their positions in the hills by sending a navy vessel into Tibar Bay.",0
"128","Bearing in mind its primary responsibility under the Charter of the United Nations for the maintenance of international peace and security, and underlining the importance of taking measures aimed at conflict prevention and resolution,",1
"129","""The Security Council reiterates that States are required to prevent the direct or indirect supply, sale, or transfer to ISIL, ANF and all other individuals, groups, undertakings and entities associated with Al-Qaida from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned, and technical advice, assistance or training related to military activities, as well as its calls for States to find ways of intensifying and accelerating the exchange of operational information regarding traffic in arms, and to enhance coordination of efforts on national, subregional, regional and international levels.",1
"130","Work has also continued to elaborate an interim legal framework, which would define substantial autonomy and establish the basis for central elections.",1
"131","""The Security Council stresses the importance of achieving durable solutions for refugees and internally displaced persons, in particular their voluntary, safe and dignified return, or local integration or resettlement.",0
"132","The objectives of the programme are to assist the implementation of the structural reforms needed to give the Congolese State the capacity to project its authority nationwide, to strengthen the capacity of communities to respond to adverse shocks, to provide economic opportunities to unemployed youth and other high-risk groups, and to deliver tangible peace dividends in the western provinces.",1
"133","I. OVERVIEW OF THE FIRST INSTALMENT CLAIMS",0
"134","More witnesses came forward as the work of the Commission progressed.",1
"135","All States of the subregion are members of INTERPOL and have established national central bureaux.",1
"136","Emphasizing the obligation placed upon all Member States to implement, in full, resolution 1373 (2001), including with regard to the Taliban or Al-Qaida, and any individuals, groups, undertakings or entities associated with Al-Qaida, Usama bin Laden or the Taliban, who have participated in financing, planning, facilitating, recruiting for, preparing, perpetrating, or otherwise supporting terrorist activities or acts, as well as to facilitate the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,",0
"137","Establish judicial and non-judicial accountability mechanisms in post-conflict countries including, as appropriate, for crimes against women; support the establishment of a gender-balanced panel of judges or commissioners in courts or commissions of inquiry.",1
"138","78. Seven States have institutional structures in place to implement counter-terrorism strategies.",1
"139","To date, the information received tends to confirm its view that providing examples of terrorist financing may have more disadvantages than allowing experienced bankers to rely on their knowledge and their instinct for what appears odd.",1
"140","Its assessment is issued in bimonthly reports, a practice which has contributed to raising awareness of human rights problems.",1
"141","Such cooperation led to the development and implementation of practical solutions regarding naval and operational coordination and legal and judicial issues, self-protection measures for the shipping industry, public diplomacy and the disruption of illicit pirate enterprises ashore.",1
"142","""The Security Council takes note with interest of the important proposal by the Secretary-General to establish a Peacebuilding Commission and shares the objective of improving United Nations capacity to coordinate with donors and troop contributors and to perform peacebuilding activities, in particular from the start of peacekeeping operations through stabilization, reconstruction and development.",1
"143","B. Preservation of the crime scene",1
"144","To guide new donor commitments this year, UNMIK prepared Kosovo: Reconstruction 2000 -- a public reconstruction and investment programme that directed donors towards JIAS priorities.",1
"145","55. In mid-November, the United Nations Humanitarian Coordinator for Kosovo released the results of a humanitarian risk survey, revealing that some 42,000 families may be in need of firewood and coal and some 6,000 families in need of temporary emergency shelter for the winter.",1
"146","To be held on Wednesday, 21 June 2006, at 10.15 a.m.",0
"147","He put forward key questions to guide the discussion on the role of the Council in ensuring accountability, including the following: what lessons can be learned, and what good practices identified, from the Council's efforts to ensure criminal responsibility? What are the challenges that confront the various fact-finding mechanisms? How can reparations be given greater prominence in the achievement of accountability? What additional steps might the Council take to ensure accountability for violations in armed conflict?",0
"148","60. Decides, in order to assist the Committee in fulfilling its mandate, as well as to support the Ombudsperson, to extend the mandate of the current New York-based Monitoring Team and its members, established pursuant to paragraph 7 of resolution 1526 (2004), for a further period of thirty months, under the direction of the Committee with the responsibilities outlined in annex I, and requests the Secretary-General to make the necessary arrangements to this effect;",1
"149","Colonel Reis and his deputy remonstrated with Brigadier General Ruak, who apologized for the shooting.",0
"150","49. The Government also continued efforts to provide food assistance to food-insecure and vulnerable populations with support from the World Food Programme (WFP), including through the Ministry of Health's mother and child nutrition programme (47,000 beneficiaries in 2010 as at 30 June), the Ministry of Education's school feeding programme (241,000 beneficiaries) and the food for work/asset programme (600 beneficiaries), which targets food-insecure communities. On 27 May, a production plant for nutritious blended food for distribution through the Mother and Child Nutrition Programme was inaugurated with technical and managerial support from WFP.",1
"151","""In the context of the expiration of the mandate of the Mission on 31 December 2010, the Security Council commends the contribution of MINURCAT for providing, without prejudice to the primary responsibility of the government of Chad, security for refugees, internally displaced persons and humanitarian actors in eastern Chad and for its efforts to enhance the capacity of the Chadian `Détachement intégré de sécurité' (DIS).",0
"152","Market stalls were totally destroyed and livestock looted.",0
"153","7) Convention for the Suppression of Unlawful Acts against the Safety of Civil Aviation, signed at Montreal on 23 September 1971; ratified on 10 August 1973, came into force in the Czechoslovak Socialist Republic on 9 September 1973 and",1
"154","(a) demining in key areas to support demarcation, and",0
"155","""The Security Council expresses its grave concern about the increasing entrenchment in the Sahel of terrorist elements, including Al Qaida in the Islamic Maghreb (AQIM), affiliated groups and other extremist groups, and its consequences for the countries of the region and beyond.",0
"156","1. This report concerns the review of the Consolidated List conducted from 30 June 2008 to 31 July 2010 by the Committee established pursuant to resolution 1267 (1999).",0
"157","Other international legal instruments, including the Council of Europe's Convention on the Prevention of Terrorism, have begun to consider related issues such as terrorism incitement, recruitment and training.",1
"158","On an ad hoc basis, the Executive Committees deal with those issues that pertain to the situation of women in various conflict-stricken areas, including gender-based violence, sexual exploitation and abuse.",1
"159","Tunisia and the Libyan Arab Jamahiriya have (in 2009 and 2010, respectively) extended customer due diligence, record-keeping and suspicious-transaction-reporting obligations to other designated non-financial businesses and professions, thereby enlarging the scope of anti-money-laundering and counter-financing of terrorism obligations.",1
"160","These assets, worth $2,319,386, bring the total of assets frozen in the 32 States that have reported taking action to close to $91 million (at June 2005 exchange rates), excluding the assets frozen in five States that did not specify amounts.",0
"161","105. While counter-financing of terrorism measures have improved across the subregion, shortfalls remain with respect, in particular, to the development of freezing mechanisms, the regulation of alternative remittance systems and the monitoring of non-profit organizations.",1
"162","The Committee continued to consider three requests for exemptions: the first was related to a proposal by a United Nations specialized agency to provide technical assistance to the Islamic Republic of Iran; the second to a request received by a State from the Islamic Republic of Iran Mine Action Centre in which cooperation with that State in the field of mine action was proposed; and the third to a request that a State had received from the Islamic Republic of Iran for technical training for the Iranian armed forces.",1
"163","3. Throughout the reporting period, the High-level Coordinator, Ambassador Gennady Tarasov, focused his activities on the task of building confidence and cooperation between Kuwait and Iraq with a view to strengthening their practical engagement in the search for missing persons and property and encouraging them to achieve visible and significant progress towards the implementation of the objectives of paragraph 14 of Security Council resolution 1284 (1999).",1
"164","24. The Committee, with the assistance of its Executive Directorate, arranged a number of special events with Member States and international and regional organizations on issues of common and current concern, including on countering terrorism through the use of new communications and information technologies.",1
"165","Lengthy, inaccessible and largely open borders make effective border management extremely difficult and facilitate the activities of transnational criminal groups and terrorist groups.",0
"166","Vital as it is to prevent terrorists from carrying out their attacks, it is clear that terrorism cannot be defeated by security measures alone and that many members of the international community look to the Security Council to introduce measures that limit the means by which Al-Qaida spreads its message as well as to promote programmes that aim to undermine it.",0
"167","It is also worth noting that this decision of Russia coincides with separatists' provocative acts and their intense military build-up.",0
"168","4. Syria reaffirms that it categorically rejects any attempt to establish a link between a given religion and terrorism, and it states that terrorism is neither a belief nor a culture nor a religion, in accordance with international conventions, legitimate human rights law and the purposes and principles set out in the Charter of the United Nations.",0
"169","The Convention on the Rights of the Child further requires States parties to undertake to protect the child from all forms of sexual exploitation and sexual abuse.",1
"170","As we saw in Mali, this can leave the State vulnerable to the onset of civil conflict.",0
"171","In many cases, States lack the necessary resources or are insufficiently active in patrolling, inspection and joint operations with neighbouring States, as well as in implementing community policing at the local levels. The introduction of such measures along open borders and the application of innovative forms of cooperation and assistance in addressing these concerns would help increase the effectiveness of border controls.",1
"172","One side asserts that MINURSO is seeking to do too much, the other that it is doing too little.",0
"173","II. Activities of the Working Group in 2014",0
"174","The report notes that substantial numbers of children were recruited by the Communist Party of Nepal-Maoist (CPN-M) prior to the signing of the ceasefire agreement and moved into cantonments.",0
"175","Mainstream gender in needs assessments and resource allocations in post-conflict reconstruction.",1
"176","9.A. EQUIPMENT, ASSEMBLIES AND COMPONENTS",0
"177","At no time has the Government of the Republic of Uganda or its armed forces made any overt or covert attempt to enter the territory of the Democratic Republic of the Congo to attack the LRA terrorists.",1
"178","195. These diamonds are not checked for value on export from the United Republic of Tanzania, since the expertise to do so is not available, but are weighed and checked for value on entry into Antwerp.",0
"179","The Group left the Canal Hotel at 8.50 a.m. and went to the Mu`tasim State company which belongs to the Rashid State Company, an MIT company.",0
"180","23. Circular metal boxes containing slides (14).",0
"181","Increased accountability for human rights violations, including gender-based violence; gender-sensitive law tools developed. G.5. Develop and provide gender-sensitive programmes of support for victims, including legal assistance and witness protection programmes.",1
"182","The Council issued a press statement on 26 July condemning the terrorist attack against the United Nations Interim Force in Lebanon (UNIFIL), in which six United Nations peacekeepers from France were injured. Thematic and other issues",0
"183","In addition, interest income of $3.1 million has been utilized to finance projects.",0
"184","However, many have only begun to develop dedicated counter-terrorism capacities.",1
"185","This means that it is mandated to establish facts relating to possible violations of international human rights and humanitarian law committed in Darfur.",0
"186","In accordance with its terms of reference, the report establishes the facts and circumstances relevant to incidents on 28 and 29 April and 23 to 25 May and other related events or issues which contributed to the crisis; it clarifies responsibility for the events and recommends accountability measures.",1
"187","Regime forces killed 231 individuals, extremists killed 3 and armed groups killed 2.",0
"188","Ultimately, Ethiopia was awarded $174,036,520.",0
"189","The activity is part of an ongoing dialogue between the United Nations Rule of Law and Security Programme and the Transitional Federal Government on mine-related issues and support to processes that will ensure it is aware of, and could consider participating in, relevant international legal instruments.",0
"190","4. While both the Comprehensive Peace Agreement and the Agreement for Monitoring the Management of Arms and Armies contained provisions for disbanding the militia linked to the Maoist army, neither presented detailed plans in this regard.",1
"191","The extent of cluster-munition contamination is increasingly evident as Landmine Action's work progresses.",1
"192","25. The UNTAET period also witnessed the creation of many modern State institutions. These include the National Parliament, the Council of Ministers, local government structures, the police service and the defence force.",1
"193","34. The Government of Nepal has made some progress towards meeting its CPA obligations to provide for the rehabilitation of children formerly associated with armed forces and groups.",1
