"","ar","VerConf"
"33","وإذ يكرر تأكيد ضرورة ضمان إسهام نظام الجزاءات الحالي بشكل فعال في الجهود الجارية صوب مكافحة التمرد ودعم أعمال حكومة أفغانستان الرامية إلى الدفع بالمصالحة قدما من أجل إحلال السلام وتحقيق الاستقرار والأمن في أفغانستان،",1
"34","وأضاف قائلا إن هذه المناقشات لا تزال مستمرة. وأفاد المبعوث الشخصي بأن الحكومة المغربية أعربت في عدد من المناسبات عن خيبة أملها من محتوى التقرير الأخير ومن الإحاطة الإعلامية الأخيرة التي قدمها المبعوث الشخصي إلى المجلس أثناء المشاورات غير الرسمية التي أُجريت في نيسان/أبريل 2014.",1
"35","وذلك الوصف إنما ينظر إليه على أنه عنصر أساسي في أي جهود لتعزيز التعاون الدولي على مكافحة السمسرة غير المشروعة في الأسلحة الصغيرة.",0
"36","2 - ساق واحدة على الأقل للخلط والعجن تركب بعيدا عن المركز؛",0
"37","ولا تطبق أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب.",1
"38","5 - يؤكد من جديد أيضا إدانته بكل شدة لجميع أعمال العنف والاعتداءات التي ترتكب ضد المدنيين في حالات الصراع المسلح، بما يتنافى والالتزامات الدولية السارية بشأن الحالات التالية على وجه الخصوص: '1` التعذيب وغيره من ضروب المعاملة المحظورة، '2` العنف الجنساني والجنسي، '3` ممارسة العنف ضد الأطفال، '4` تجنيد الأطفال واستخدام الجنود الأطفال، '5` الاتجار بالبشر، '6` التشريد القسري، '7` الحرمان المتعمد من المساعدة الإنسانية، ويطالب جميع الأطراف بوضع حد لهذه الممارسات؛",1
"39","وترد العناصر الرئيسية للبيان الذي أدلى به الممثل الدائم، فضلا عن تبادل الآراء الذي جرى بين أعضاء الفريق العامل في الموجز المدرج في الاستنتاجات ذات الصلة (S/AC.51/2014/3).",0
"40",")ج) تدعيم برامج الرقابة القضائية على أنشطة الشرطة والتشجيع على مواصلة الحوار مع الآليات الدولية والإقليمية بهدف ضمان الامتثال للالتزامات الدولية المتعلقة بحقوق الإنسان في سياق مكافحة الإرهاب.",0
"41","وفي هذا المجال، نود أن نكرر ما قلناه في مناسبات سابقة، ألا وهو أن أخطر ما يواجهه هذا التحقيق هو استمرار استغلال بعض الأطراف، في منطقتنا أو خارجها، لمجريات التحقيق للقفز إلى استنتاجات سياسية مسبقة، غير ذات صلة بمتطلبات التحقيق، ولا تستند إلى براهين وأدلة ثابتة.",1
"42","كما يؤكد أن من واجب رواندا أن تستخدم نفوذها القوي لكفالة عدم اتخاذ التجمع الكونغولي إجراءات من هذا القبيل.",1
"43","وأعرب أحد الوفود عن القلق لأنه على الرغم من إدراج المجلس لشركة الإدارة البحرية للمحيطات في القائمة، لا تزال سفنها تواصل عملها، بما في ذلك رسوّها في الموانئ الأجنبية، واقترح أن تقوم اللجنة بتذكير الدول الأعضاء بالتزامها بإنفاذ هذا الإدراج، بوسائل منها احتجاز سفن الشركة وتجميد أصولها.",1
"44","ومنذ ذلك الحين، أعربت الحكومة مرارا عن تفضيلها لتلقي دعم ثنائي مباشر لبناء قدرات قواتها الأمنية.",0
"45","110- ولا يزال بعض المراقبين غير مقتنع بمدى أهمية هذا التهديد، في حين ينتقد آخرون إيلاء الأولوية للإرهاب الكيميائي أو البيولوجي أو الإشعاعي أو النووي على جوانب أخرى من الإرهاب أو أنواع أخرى من التهديد.",1
"46","19 - يكرر تأكيد الحاجة إلى مواصلة تحسين التعاون الجاري بين لجنة القرار 1540، ولجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان، ولجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب، بسبل منها، حسب الاقتضاء، تعزيز تبادل المعلومات، والتنسيق بشأن الزيارات إلى الدول، كل في إطار ولايته، والمساعدة التقنية وسائر المسائل التي تهم اللجان الثلاث جميعها؛ ويعرب عن اعتزامه تقديم التوجيه للجان فيما يتعلق بالمجالات ذات الاهتمام المشترك من أجل تنسيق جهودها على نحو أفضل؛",0
"47","يعرب مجلس الأمن عن قلقه بصفة خاصة إزاء سحب [الدولة المجاورة] الاعتراف بمركز اللاجئين لعدد كبير من اللاجئين، وما يتبع ذلك من توقف تقديم المساعدة إليهم ... فقرارات [الدولة المتأثرة] في هذا الصدد قد تعني العودة غير الطوعية لعشرات الآلاف من الأشخاص إلى منطقة ليست آمنة ولا مهيأة لاستقبالهم.",1
"48","تلاحظ اللجنة مع القلق الإجراءات غير النظامية المتعلقة بحيازة الأسلحة والسارية في صفوف قوات الدفاع الوطنية التيمورية منذ سنوات عدة.",1
"49","ويذكِّر الفريق الدول بأن لديه معايير قائمة منذ مدة طويلة تحدد الإدراج في القائمة أو الشطب منها()، رغم ما ذهب إليه الفريق الرفيع المستوى المعني بالتهديدات والتحديات والتغيير (A/59/565، الفقرة 152)، وآخرون من القول بعكس ذلك.",1
"50","وتقدم للأطفال في هذه المناطق الآن الخدمات الصحية والتعليمية التي يتمتع بها الأطفال في أجزاء أخرى من البلد.",0
"51","كما تثير قلقنا حالة الذين يشتركون في إعادة إعمار البلد.",1
"52","غير أنه في مجالات أخرى، لم يرق التقدم إلى مستوى التوقعات ولا تزال هناك تحديات كثيرة.",1
"53","من المحزن أن القيادة الفلسطينية الراهنة أثبتت أنها غير قادرة على أن تكون شريكا في السلام مثلما هي غير قادرة على السعي إلى تحقيق الإصلاح والحكم الديمقراطي لشعبها.",1
"54","ومن المهم إعطاء النساء، وهنَّ الضحايا الأولى للعنف بجميع مظاهره، دوراً رئيسياً في حفظ السلام وبناء السلام، والأكثر أهمية وإلحاحاً، هو القيام بذلك في عملية منع نشوب النزاعات.",1
"55","وينبغي لمجلس الأمن أن يسلم بأن مكافحة التطرف العنيف تمثل عنصراً لا غنى عنه في تصدي المجتمع الدولي لهذا الخطر.",1
"56",":: 21 حزيران/يونيه 2005، مقتل زعيم الحزب الشيوعي السابق جورج حاوي بانفجار سيارته قرب منزله في وطى المصيطبة.",1
"57","ثم فتش الفريق وحدة تركيز حامض الكبريتيك.",0
"58","30 - شجع مجلس الأمن المديرية التنفيذية، في قراره 1963 (2010)، على أن تعمل مع الدول الأعضاء على وضع استراتيجيات وطنية شاملة ومتكاملة لمكافحة الإرهاب وآليات لتنفيذها.",0
"59","وتقدر ميزانية هذه العملية الممتدة لفترة سنة واحدة بنحو 190 مليون دولار.",0
"60","وهم يشيرون إلى أن عدم سماح إثيوبيا بالمضي قدما في ترسيم الحدود بصورة كاملة، فضلا عن القيود المتواصلة والمتزايدة المفروضة على عمل البعثة تثير تساؤلات خطيرة بشأن قدرة البعثة على البقاء.",1
"61","ويلاحظ مجلس الأمن، أن بإمكان فرق التقييم المتعددة التخصصات التابعة للأمم المتحدة أن تقدم، بموافقة الدول المضيفة، المساعدة والدعم في مجال فصل المقاتلين عن المدنيين.",0
"62","13 - يحث المجتمع الدولي على تقديم الدعم والمساعدة لتمكين الدول من الاضطلاع بمسؤولياتها إزاء حماية اللاجئين وغيرهم من الأشخاص المشمولين بالحماية بموجب القانون الإنساني الدولي؛",0
"63","ويجري فعلا تقديم الدعاوى إلى المسجل.",0
"64","واعتمدت منذ عام 1998 نماذج جديدة من جوازات السفر التي تسلم إلى القاصرين بحسب السن: من سنة واحدة إلى 3 سنوات ومن 7 سنوات إلى 12 سنة ومن 12 إلى 16 سنة.",0
"65","وإذ يساوره بالغ القلق إزاء التهديد الذي يشكله الإرهاب ومخاطر احتياز جهات غير تابعة للدول**، من قبيل الأطراف المحددة في قائمة الأمم المتحدة التي وضعتها وتتابعها اللجنة المنشأة بموجب قرار مجلس الأمن 1267 (1999)، والأطراف التي ينطبق عليها القرار 1373 (2001)، أسلحة نووية وكيميائية وبيولوجية ووسائل إيصالها، أو استحداث تلك الأسلحة والوسائل، أو الاتجار بها أو استعمالها،",1
"66","وقد عمل الفريق بشكل وثيق مع المديرية التنفيذية بقيادة مايك سميث مديرها التنفيذي، وهو يتطلع إلى استمرار تلك العلاقة مع جان - بول لابورد، خلفه المُعلن عن تعيينه مؤخرا.",0
"67","إننا نشعر بقلق شديد حيال حقيقة أن العنف في الشرق الأوسط ما زال يرتكبه جانب واحد ضد الجانب الآخر، بالرغم من الإعراب الواضح للمجتمع الدولي ومجلس الأمن عن الاشمئزاز من تلك الحالة.",1
"68","وطبقا لهذه القرارات، لا بد أن يطالب هذا الجهاز حكومة الولايات المتحدة بأن تصدر على الفور حكما على لويس بوسادا كاريلس لارتكابه أعمالا إرهابية أو أن تسلمه إلى جمهورية فنزويلا البوليفارية التي ما فتئ نظامها القضائي يلاحقه منذ سنوات.",1
"69","وحرر في برايا، في ٢٥ آب/أغسطس ١٩٩٨.",0
"70","وإيﻻؤها اﻻحترام الواجب لمجلس اﻷمن هو جزء أيضا من هذا التقليد.",0
"71","وفي هذه الحالة يشتبه في أنهم شنوا هجمات عشوائية على المدنيين، مما يعتبر جريمة حرب.",0
"72","رسالة مؤرخة 14 تشرين الأول/أكتوبر 2005 موجهة إلى الأمين العام من الأمين العام والممثل السامي للسياسة الخارجية والأمنية المشتركة للاتحاد الأوروبي عملا بأحكام قرار مجلس الأمن 1575 (2004)، أرفق طيه التقرير الثالث من التقارير التي تعد كل ثلاثة أشهر عن أنشطة بعثة الاتحاد الأوروبي العسكرية في البوسنة والهرسك.",0
"73","المهنة: طالبة (المدرسة الثانوية، سنة ثالثة)",0
"74","ويرى وفدي أنه للحيلولة دون اندلاع أعمال عنف جديدة ولإشاعة الاستقرار في شمال كوسوفو، لا يزال من الجوهري أن تقترن عملية المصالحة بسياسات ترمي إلى ضمان الاستقرار الاجتماعي والاقتصادي لدى الطوائف بطريقة غير تمييزية.",1
"75","وتحسين هذا الوضع يتطلب إنفاذ القوانين - لا سيما القانون المتعلق بالقضاء على العنف ضد المرأة - التي تجرّم العنف والممارسات الضارة ضد النساء والفتيات وتعاقب عليها.",1
"76","فلا بد أن يتولى المجتمع الدولي مسؤولية حماية المدنيين في دارفور وإنهاء حالة الإفلات من العقاب المتفشية هناك حاليا.",0
"77","27 - واستمر الجيش الشعبي الرواندي في قصف مواقع قوات الدفاع الشعبية لأوغندا وشن هجمات لا طائل من ورائها، ودمر محطة للطاقة تقع على نهر تشوبو انطلاقا من القواعد التكتيكية التي أقامها داخل مناطق تجمع مدنية.",0
"78","""ويعرب المجلس عن بالغ القلق إزاء التقارير التي تفيد بحدوث تدفق غير اعتيادي ومفاجئ للآلاف من أفراد قبيلة المسيرية إلى بلدة أبيي والمناطق المحيطة بها، الأمر الذي قد يحدث تغييرات كبيرة في النسيج العرقي للمنطقة.",1
"79","ومن شأن الانعدام التام للشفافية أمام الجمهور أن يقوِّض إنصاف الآلية برمتها ومصداقيتها.",1
"80","''ويعرب مجلس الأمن عن القلق إزاء ازدياد استخدام الإرهابيين ومناصريهم لتكنولوجيا الاتصالات في نشر الفكر المتطرف الذي يفضي إلى الإرهاب، وتجنيد الآخرين لارتكاب أعمال الإرهاب وتحريضهم على ذلك، من خلال قنوات منها شبكة الإنترنت، وتمويل وتسهيل سفر المقاتلين الإرهابيين الأجانب والأنشطة التي يضطلعون بها بعد ذلك.",1
"81","وفي ما يتعلق بالحالة الإنسانية، يساور غواتيمالا القلق أنه، وفقا لمكتب تنسيق الشؤون الإنساني، فإن 20 مليون شخص في منطقة الساحل يحتاجون إلى المساعدة الإنسانية، ولا سيما في موريتانيا والنيجر وبوركينا فاسو وتشاد.",1
"82","ولكن ساد القلق أيضا لأنه لم تلح بارقة أمل في الشرق الأوسط إلا وووجهت بتصاعد العنف والدمار.",1
"83","كما يبدو أن معظم الحكومات ملتزم بشدة بكفالة احترام وكالات إنفاذ القانون لحقوق الإنسان، رغم إثارة مخاوف جدية في بعض الحالات بشأن ارتكاب انتهاكات من جانب قوات الأمن.",1
"84","٦ - محمد فرج بن عبد القادر، 30 سنة، من الصالحين",0
"85","وكما أشار السيد مندوب الجزائر قبل قليل، فان مشروع القرار الذي لم يتم اعتماده احتوى بشكل واضح على إدانة لجميع الهجمات الإرهابية ضد المدنيين بالإضافة إلى أعمال العنف والتدمير كافة.",1
"86","32 - وتشمل أنشطة منظمة مكافحة الألغام الأرضية أيضا دعم القدرة المحلية من خلال تدريب السكان على التعرف على الذخيرة المتفجرة.",0
"87","عند تناول الحالة في هايتي في إطار الأمم المتحدة، يكاد ينصب كل الاهتمام دائما على ما تسمى المسائل الأمنية، وهو ما يؤدي عمليا إلى تقليل الاهتمام العاجل المطلوب بمشاكل البلاد الهيكلية والاقتصادية والاجتماعية الخطيرة.",1
"88","غير أن الآليات الدولية لحقوق الإنسان أثارت عددا من المخاوف بشأن انتهاكات يدعى أن هيئات إنفاذ القانون وأجهزة الاستخبارات ارتكبتها خلال التحقيقات والاستجوابات.",1
"89","وتسعى اللجنة إلى ضمان كون القائمة مرنة تستجيب للتهديدات المتغيرة لتنظيم القاعدة.",1
"90","8 - وفي 21 أيلول/سبتمبر، واستجابةً لطلب أطراف اتفاق السلام الشامل، أعلنتُ عن إنشاء فريق مؤلف من ثلاثة أعضاء، برئاسة الرئيس السابق لجمهورية تنزانيا المتحدة، بنيامين مكابا، من أجل رصد استفتاءي جنوب السودان وأبيي.",0
"91","ونحن قلقون من أن الوضع الأمني لا يزال معضلة.",1
"92","ولا يزال يتعين إنشاء هيئة الرقابة والمجلس الأعلى لدائرة الادعاء العام.",1
"93","وبرغم تلك التحديات، لا يفوتنا أن نعترف بأن 50 في المائة تقريباً من الشعب الأفغاني يعيشون في مناطق انتقلت مسؤولية الأمن عنها إلى قوات الأمن الأفغانية.",1
"94","غير أن طبيعة معظم الجرائم الدولية في حد ذاتها، تفترض ضمنا، كقاعدة عامة، أنها ارتكبت على يد مسؤولين في الدولة أو باشتراكهم، وبالتالي فإن ملاحقتهم قضائيا كثيرا ما يستحسن تركها لآليات أخرى.",1
"95","وتوجد بجيبوتي سفينتان مسجلتان فقط تبحران إلى الصومال.",0
"96","ويثير تغير البيئة في أفغانستان تساؤلات بشأن جماعات آسيا الوسطى التي تعمل هناك حاليا مثل جماعة أنصار الله (غير المدرجة في القائمة)، وهي الجماعة الطاجيكستانية الإثنية المنشقة عن الحركة الإسلامية لأوزبكستان Islamic Movement of Uzbekistan)) (QE.I.10.01).",1
"97","1-2 سيتضمن الأحكام الواردة بالمادة 1، ""المبادئ العامة"" من هذه التسوية.",0
"98","في 2 تشرين الثاني/نوفمبر 2014، أغارت الطائرات الحربية للنظام السوري على أم التوينة فقتلت خمسة أشخاص.",0
"99","ويتولى ذلك الشخص إعلام مكتب منع عمليات غسل الأموال.",0
"100","إن ما يتعين على الجميع فعله هو رفض الأصوات المتشددة التي تجد راحة في الطرق القديمة، وتعتقد أنه من المستحيل للصرب والألبان تطبيع علاقاتهم بالتوصل إلى حل توفيقي تاريخي.",1
"101","وقد أوضح الممثل السامي/الممثل الخاص أنه نظرا لفشل سلطات جمهورية صربسكا وخاصة وزارة الداخلية بها، في اعتقال الأشخاص المتهمين بارتكاب جرائم حرب، وفشل البوسنة والهرسك في الانضمام إلى شراكة منظمة حلف شمال الأطلسي للسلام، سيعهد إلى المفوضية بمهمة تقديم توصيات لإنشاء هيكل شرطة وحيد وفعال لكامل البوسنة والهرسك.",1
"102","(أ) تحليل ""الدين القديم""",0
"103","151 - ومن جهة أخرى، على الرغم من إدراك الفوائد التي تعود على دوائر إنفاذ القانون من جراء فرض رقابة إلزامية فإن جهات غيرها مثل الفريق العامل المعني بإدارة شبكة الإنترنت، تعتقد أن الأخذ بنظام للرقابة الإلزامية يمكن أن ينتهك حقوق الإنسان الأساسية.",1
"104","أنغولا: الحكومة/البعثة الدائمة لدى الأمم المتحدة",0
"105","3 - الحالة في قبرص (27 كانون الأول/ديسمبر 1963؛ 24 كانون الثاني/ يناير 2013).",0
"106","وإذ يشير إلى البيان الرئاسي الصادر عن مجلس الأمن في 9 أيار/مايو 2011 (S/PRST/2011/9)، الذي يلاحظ فيه المجلس أن أسامة بن لادن لن يستطيع بعد الآن ارتكاب أعمال الإرهاب،",1
"107","ونأمل أن يستمر ذلك الدعم، بما في ذلك على وجه الخصوص الدعم الذي يقدم في سياق مؤتمر واشنطن المقبل.",0
"108","6 - وقد عقد المجلس الدولي للمشورة والمراقبة 27 اجتماعاً منذ كانون الأول/ديسمبر 2003، بما في ذلك اجتماعان في عام 2009.",0
"109","118 - تبين المعلومات المقدمة إلى هذه الدراسة الاستقصائية أن التحريض على ارتكاب أعمال الإرهاب لا يزال، في نظر العديد من الدول، يشكل خطرا وتهديدا جسيمين في أنحاء كثيرة من العالم، ولو بدرجات متفاوتة.",1
"110","المقرر عقدها يوم الثلاثاء، 17 كانون الثاني/يناير 2006، الساعة 00/15",0
"111","ويعنى بالانتخابات التي أجريت عقب صراع طويل أن تنشئ شرعية سياسية لنظام بعد انتهاء الحرب.",0
"112","وفي حين أن معظم أصحاب المصلحة من الإيفواريين، بمن فيهم الرئيس غباغبو ورئيس الوزراء سورو، أبدوا تعليقات إيجابية بشأن عمليات المحاكم المتنقلة، فإن حزب تجمع الجمهوريين المعارض اشتكى بأن الكثير من الإيفواريين لم يتمكنوا من الوصول إلى المحاكم المتنقلة، ولا سيما في المنطقة الغربية، بسبب وجود الميليشيات، حتى وإن كانت غير نشطة.",1
"113","ويشكّل النجاح في محاكمة القراصنة المشتبه فيهم وسجن المدانين منهم رسالة قوية إلى الجناة ومن يساندونهم بأنه لن يمكنهم الإفلات من العقاب.",0
"114","في المقام الأول والأخير، لا تزال الشواغل المتعلقة بالجانب الأمني بالغة الأهمية.",1
"115","""ويحيط مجلس الأمن علما بالبيان الصادر عن مؤتمر قمة الاتحاد الأفريقي في سرت الذي طلب إلى المجلس فرض جزاءات على كل جهة، بما فيها إريتريا، تقدم الدعم إلى الجماعات المسلحة المتورطة في تقويض السلام والمصالحة في الصومال والاستقرار الإقليمي.",0
"116","96 - ولاحظت اللجنة أن قانون قوات الأمن الوطني، بصيغته المعدلة سنة 2001، يعطي قوات الأمن سلطات واسعة النطاق، بما في ذلك سلطة الاعتقال دون توجيه تهم أو دون الوصول إلى القضاء لمدة تصل إلى تسعة أشهر.",1
"117","وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،",0
"118","ومن الجدير بالذكر أن شحنة كبيرة للغاية من الأسلحة قد وصلت إلى السوق من اليمن عن طريق شبكات الاتجار بالأسلحة قبل اندلاع معركة بايدوا الثانية بنحو أسبوع واحد، في 22 أيار/مايو 2005.",0
"119","ويعترف مجلس الأمن بأن لجنة بناء السلام تمثل، في مجال اختصاصها، محفلا لتنسيق الأنشطة في فترة ما بعد الصراع بين منظومة الأمم المتحدة والمنظمات الإقليمية ودون الإقليمية، وذلك وفقا لقراره 1645 (2005) وقرار الجمعية العامة 60/180.",0
"120","وندين بشدة الهجمات الإجرامية التي تواصل جماعة بوكو حرام الإرهابية شنَّها في شمال نيجيريا وفي البلدان المجاورة.",1
"121","62 - ازداد عدد الجماعات المسلحة في إقليمي لوبيرو وبيني في مقاطعة كيفو الشمالية في عامي 2012 و 2013.",0
"122","""ولا يزال مجلس الأمن يشعر ببالغ القلق إزاء الحالة الأمنية في جمهورية أفريقيا الوسطى.",1
