"","ar_en_GOOGLE","MatConf"
"146","5-6 October 2012 (Yayladag/Hatay): At approximately 14.30, a mortar shell fell in an area under the responsibility of the Belingoz Military Border Post.",1
"147","Moreover, Mr. Abu Adass&#39;s disappearance on 16 January 2005 was not explained in a manner consistent with the concept of his intention to carry out a suicide bombing a month later.",1
"148","258 - By resolution 1373 (2001), States are required to prevent the cross-border movement of terrorists and terrorist groups by imposing controls on the issuance of secure and valid identity and travel documents.",0
"149","Meanwhile, the first two formed police units were deployed on 5 and 22 August respectively.",1
"150","52. Allegations of rape of minors, including very young girls, remain a matter of serious concern. The Mission has regularly participated in the work of regional committees on sexual violence, as a means of strengthening support for child victims of rape.",1
"151","The office is a member of the Egmont Group.",0
"152","Czech Republic Federal Republic of Yugoslavia",0
"153","Establishing a clear direction for the work of the Committee and its Executive Directorate naturally requires specific policy guidance relating to all key aspects of the Committee&#39;s mandate.",0
"154","408 - With regard to international humanitarian law, Common Article 3 of the Geneva Conventions prohibits acts of aggression against life and physical integrity, including cruel treatment, torture, the taking of hostages, and outrages upon personal dignity, in particular humiliating or degrading treatment.",1
"155","However, this is far from a simple measure, not least because the national agencies that typically work in the counter-terrorism arena (for example the police, Immigration and Customs Enforcement, intelligence agencies), are not necessarily the agencies responsible for Policies to combat claims of extremist or hate-based ideologies.",1
"156","Eligibility procedures and criteria for relief and social services, taking into account a gender perspective. E1 - Develop, implement and evaluate gender mainstreaming strategies in all post-conflict reconstruction and rehabilitation programmes",0
"157","Since the arrival of French forces, gendarmes have not been subjected to summary execution in Bouake.",1
"158","Some other members noted the initiative of the Government of Sudan to investigate the allegations through its national machinery and called for the settlement of disputes through negotiations under the supervision of the African Union High-Level Implementation Panel on Sudan led by the former President of South Africa, Thabo Mbeki, and the Special Envoy of the Secretary-General for Sudan and South Sudan, Hayley Menkerius.",0
"159","In addition, the Monitoring Team traveled twice to Belgium, once to attend an ICAO symposium and once to meet with representatives of the World Customs Organization; He also traveled to France to attend an expert meeting on targeted financial sanctions organized by the Financial Action Task Force and to attend the third plenary meeting of the Task Force.",0
"160","The Assistant Secretary-General reported that armed groups continued to spread terror among the population in areas under their control by committing killings, kidnappings, torture, ill-treatment and other gross human rights violations, including the destruction of homes and the seizure of property, and he also reported continued allegations of of volunteers and government-controlled human rights violations.",1
"161","Women were also abducted and raped in three Janjaweed camps following the attack on Korma, North Darfur, in March 2003.",1
"162","The opposition forces - affiliated with Mohamed Ibrahim Habasadi - were able to control Baidoa on or around March 26 or 27, inflicting a devastating defeat on the militias of President Yusuf and Sheikh Madobe.",1
"163","27. At the end of the reporting period, the Mission&#39;s police strength was approximately 4,400 officers from 53 countries, representing more than 90 per cent of the total authorized strength of the Mission.",1
"164","This will include refining the concept of operations so that the force becomes more flexible and mobile, and can anticipate or respond to crises quickly, while eliminating redundancies.",1
"165","On March 15, 2005, secret unloading operations took place at the fruit loading station for ships registered in Greece and Panama without submitting a declaration to the customs and police authorities.",1
"166","In many cases, the attacks lasted for several hours.",1
"167","At the same time, President Al-Bashir threatens the international community with retaliation, and thus more crimes.",0
"168","30. One State noted that, while its Constitution guaranteed the right to freedom of expression, that right might be subject to reasonable restrictions, including when expressing an opinion amounting to incitement.",1
"169","Relations between Sierra Leone and its neighbours",0
"170",":: Reforming the financial situation of the General Secretariat and rationalizing spending",0
"171","Members of the rebel groups were named as suspects of engaging in a common criminal trend to commit international crimes and as persons potentially responsible for failing to prevent or suppress the commission of crimes committed by the rebels, despite their knowledge of them.",1
"172","The towns of Nubl and Al-Zahraa have been besieged since April 2013.",0
"173","The adequacy of the insurance cover is subject to review by the Central Bank.",0
"174","This mechanism has already succeeded in reversing the process of issuing ultimatums to staff of United Nations agencies to leave West Darfur.",0
"175","As long as we are discussing the development challenges facing Afghanistan, the recent incident justifies the bleak picture regarding the security situation.",0
"176","24 - Muhammad Nasser Sharid Al-Ajami",0
"177","Based on the findings reached by the committee and the Lebanese investigations to date, and based on the material and documentary evidence collected, and the evidence that has been pursued so far, there is a convergence of evidence indicating Lebanese and Syrian involvement, both, in this terrorist act.",1
"178","The report covers developments since my previous report on the mission, dated 30 July 2010 (S/2010/409), on the security and humanitarian situation in eastern Chad and north-eastern Central African Republic; Progress achieved in implementing the tasks and standards contained in the second and third paragraphs of Security Council resolution 1923 (2010); and implementing the missionâs mandate, including preparations for its withdrawal.",0
"179","Security Council and the stage reached in considering these issues",0
"180","The bombing of the areas surrounding the village was apparently being carried out with the aim of facilitating the looting and destruction of the village by the Janjaweed and government armed forces operating on the ground.",1
"181","105- These are a few examples, among multiple testimonies and material evidence, confirming to the Commission that the term Janjaweed is used, in usage, as a synonym for other terms used to describe militia forces working with the government.",1
"182","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"183","(i) Killing at the hands of government forces, militias, or both",1
"184","(f) Deter any attempt to use force to threaten the Goma and Nairobi operations by any armed group, foreign or Congolese, in particular in the eastern part of the Democratic Republic of the Congo, including by using cordon and search methods and undertaking all necessary operations to prevent attacks on civilians, and to disrupt capacity military forces of illegal armed groups that continue to use violence in that area;",1
"185","Since these groups are groups designed as an internal mechanism to enhance expertise, continuity and contribution to the main activities of the Executive Directorate, they will initially be established in the following functional areas:",0
"186","In paragraphs 1, 2 and 7 of resolution 1844 (2008), the Council imposed targeted measures (travel bans, asset freezes and targeted travel bans) against entities and individuals proposed by the Committee to be included in the sanctions list.",1
"187","The Government of the Republic of Macedonia, at its meeting held on 19 April 2011, adopted a decision to implement the restrictions contained in the above-mentioned resolution.",1
"188","9 - Commends the Lebanese authorities for the courageous decisions they have already taken regarding the investigation, including in particular their decision, based on the recommendation of the Committee, to arrest and charge former Lebanese security officials suspected of involvement in this terrorist act, and encourages the Lebanese authorities to continue their efforts with the same Insistence in order to uncover all the secrets of this crime;",1
"189","He later reported that Major General Assef Shawkat forced Mr. Abu Adass to record the tape in Damascus approximately 15 days before the assassination.",1
"190","4 - Improvised weapons systems can be assembled from various components in order to commit terrorist acts.",1
"191","âThe Security Council reiterates that ending impunity is essential to achieving national reconciliation in Haiti.",0
"192","As Council members are aware, migration from north to south has begun and, for the first time, will involve crossing an international border.",0
"193","Water stations On November 23, 2014, ISIS detonated a car bomb near a water purification station in the village of Maidan in Hasakah, causing significant damage to the station. Power plants",1
"194","1 x 5 days x 9 hours x $42 per hour",0
"195","Four countries established specialized units to enforce anti-terrorism laws, and three countries took steps in this direction.",1
"196","Decides hereby to establish an international tribunal for the sole purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [the affected State] in the period between [two dates].",0
"197","The third project aims to rehabilitate the police station in South Galkayo, which is the main center for anti-piracy investigations in Galmudug.",0
"198","There are two cases in the sentencing stage and are expected to be issued soon.",0
"199",":: Saif Madin Al Rajeh, 12 years old",0
"200","Both sides did not withdraw their forces from the region, in violation of the June 20, 2011 agreement.",1
"201","It was common in the past for the authorities to send entire families to political prison camps for political crimes committed by a relative (including ancestors up to the third generation) on the basis of the principle of criminalization by association.",1
"202","On November 3, 2014, the regimeâs warplanes bombed the Al-Maytam Al-Islami Mosque in the Al-Waer neighborhood in Homs, causing serious damage to it.",1
"203","Rape and other crimes of sexual violence did occur, but they were not widespread or occurring with such regularity as to constitute crimes against humanity.",1
"204","He also met with the Secretary-General of the League of Arab States, Amr Moussa, and the Secretary-General of the Organization of the Islamic Conference, Kemaluddin Ihsanoglu.",0
"205","Yemeni officials told the Group that approximately 30 percent of kidnappings in Yemen are committed by Al-Qaeda in the Arabian Peninsula.",1
"206","56- Just ten years ago, West Africa was a markedly different place.",0
"207","6. Current armed conflicts are the main reason people flee their homes and are currently the most common cause of food insecurity.",1
"208","The Los Palos report noted problems in the relationship between veterans and new recruits.",1
"209","85- The meaning of this condition depends to a large extent on the interpretation to be given to two phrases contained in the paragraph: the first “without prejudice” and the second “which will be dealt with through normal mechanisms.”",0
"210","634. It is clear from the information collected and verified by the Commission that rape or other forms of sexual violence committed by the Janjaweed militia and government soldiers in Darfur were widespread and systematic and that it is very possible that these acts could be considered a crime against humanity.",1
"211","My 8-year-old sister was also with me that day, who was also raped but not beaten.",1
"212","Thanks to the proximity of the Pakistani border, this force has manpower, tools and shelter.",1
"213","The personnel and people of the armed forces and people of the Democratic People&#39;s Republic of Korea will destroy the reckless human rights weapon seized by the hostile forces with counteractions of unprecedented intensity and resolutely defend the socialist system and their lives and souls.",1
"214","This indicates the success of the sanctions regime and indicates that a large number of Taliban members appear to have changed their behavior.",1
