"","en_es_DEEPL","MatConf"
"21","En muchos de los casos, mujeres y hombres fueron secuestrados o desaparecieron, muchos sin dejar rastro.",1
"22","También encontraron los cadáveres de entre 20 y 30 civiles muertos durante el ataque, entre ellos mujeres y niños. Al parecer, todas las víctimas eran de Adwa y pertenecían a la tribu Fur.",1
"23","A pesar de estos esfuerzos, sigue preocupando la seguridad en Mogadiscio, con la presencia de varias milicias facciosas, así como las que van por libre o están asociadas a empresarios y a los tribunales de la sharia.",1
"24","El grado de deterioro de los fragmentos metálicos que nos mostró la policía (que, según se dice, procedían de un Mitsubishi Canter) es coherente con los fragmentos que cabría esperar si dicho vehículo se encontrara en el centro de la explosión.",1
"25","Las víctimas fueron enterradas muchos días después del atentado en los alrededores de Kulbus.",1
"26","Al señalar que no habría consecuencias por el asesinato de yemeníes, el acuerdo de inmunidad ha contribuido a prolongar el derramamiento de sangre.",1
"27","Además de los dos civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche.",1
"28","Observando que la situación en la República Democrática del Congo sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,",1
"29","Se celebrará el jueves 15 de enero de 2004, a las 15.00 horas.",0
"30","Todos los comités admitieron haber recibido denuncias de violaciones ocurridas durante los ataques a las aldeas. Ninguna de las denuncias fue registrada ni investigada.",1
"31","El Equipo ya está estableciendo contacto con las oficinas regionales de la Oficina de Asuntos de Desarme para mejorar el intercambio de información (en particular sobre la gestión de los arsenales de municiones, que resultó ser un problema en el caso libio).",0
"32","III. Aplicación del Acuerdo de 20 de junio de 2011",0
"33","Esto significa que tiene el mandato de determinar los hechos relacionados con las posibles violaciones del derecho internacional humanitario y de los derechos humanos cometidas en Darfur.",0
"34","Un agente de la UNPOL le preguntó si había resultado herido y le dijeron que un amigo del Sr. Amaral acababa de ser asesinado por la PNTL.",1
"35","2.3.2 Acceso a las frecuencias de radio de Burundi;",0
"36","Expresó su preocupación por el aumento de las demoliciones de edificios en Palestina, el riesgo de traslado forzoso de la comunidad beduina de Um al-Kheir y la continua actividad de asentamientos de Israel, que, dijo, constituye una violación del derecho internacional.",1
"37","29. También se han producido importantes avances positivos. Cuando terminó el conflicto armado en 1999, había una ausencia casi total de estructuras económicas y de legislación.",1
"38","31. La dotación de las Unidades Integradas Conjuntas, que no ha variado desde abril de 2009, es de 32.900 efectivos (aproximadamente el 83% de su dotación prevista de 39.639 efectivos).",1
"39","Desde enero, la MONUSCO ha documentado más de 100 incidentes contra miembros y simpatizantes de la oposición política, periodistas y defensores de los derechos humanos.",1
"40","El mundo entero, especialmente el pueblo de Sierra Leona, seguirá con atención sus actuaciones.",0
"41","Tal vez esperaban volver a salirse con la suya en Etiopía.",0
"42","Un elemento importante es el hecho de que en varias aldeas atacadas e incendiadas tanto por las milicias como por las fuerzas gubernamentales, los atacantes se abstuvieron de exterminar a toda la población que no había huido, sino que mataron selectivamente a grupos de hombres jóvenes.",1
"43","Unos 230.000 nómadas fueron registrados por equipos especializados.",0
"44","La comunidad internacional debería -incluso a través de los auspicios de las Naciones Unidas- utilizar la influencia diplomática y facilitar asistencia técnica en ámbitos como las reformas políticas, de seguridad y del sector judicial, la redacción de nuevas constituciones y marcos jurídicos, las instituciones electorales y la celebración de elecciones, entre otros.",0
"45","Aunque se denuncien los incidentes a la policía o a otros funcionarios públicos, apenas se toman medidas para detener a los autores.",1
"46","79. La misión preguntó acerca de los informes según los cuales existía una fosa común en Bouaké con los restos de decenas de miembros de la gendarmería ejecutados.",1
"47","El 30 de agosto de 2010, el SPLA estableció una Unidad de Protección de la Infancia en Bilpham, estado de Equatoria Central, en apoyo de la aplicación del plan de acción de las Naciones Unidas y el SPLA.",0
"48","La mayoría de los Estados han establecido en su legislación obligaciones de diligencia debida con respecto al cliente y mecanismos de información que obligan a las instituciones financieras y a determinados profesionales a identificar a sus clientes y a comunicar a las autoridades las actividades sospechosas.",0
"49","El Consejo ha acogido con satisfacción el acuerdo de alto el fuego del 8 de abril, ha expresado su pleno y activo apoyo a los esfuerzos de la Unión Africana para establecer la comisión de alto el fuego y las unidades de protección, y ha hecho un llamamiento a las partes sudanesas para que faciliten el despliegue inmediato de observadores en Darfur.",0
"50","563. La Comisión ha reunido información fidedigna que le permite identificar a ocho altos funcionarios del Gobierno central y mandos militares y a seis funcionarios del Gobierno local o miembros de las fuerzas armadas que operan en Darfur que pueden ser sospechosos de ser responsables de no impedir o reprimir a sabiendas la perpetración de crímenes, es decir, de responsabilidad superior.",1
"51","Durante la semana del 19 al 26 de junio, en la región de Bay, unas 10 personas murieron y otras 9 resultaron heridas en combates entre los subclanes Digil-Mirifle de la zona, entre ellos los Leysan, Luway y Yantar.",1
"52","Además, la desaparición del Sr. Abu Adass el 16 de enero de 2005 no se ha explicado de manera coherente con la idea de que fuera un terrorista suicida un mes después.",1
"53","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"54","En Irak y Afganistán, Al Qaeda, los talibanes y los grupos asociados seguirán utilizando material de uso militar para construir artefactos explosivos improvisados mientras duren los suministros y sea posible su adquisición.",1
"55","Se celebrará el lunes 24 de octubre de 2011, a las 10.15 horas.",0
"56","También hay que recordar que, a pesar de esta amplia base política, la gran mayoría de los miembros de los dos movimientos rebeldes procedían esencialmente de tres tribus, a saber, los Fur, los Masalit y los Zaghawa.",1
"57","208. El Comité facilitó a la Comisión las cifras de bajas sufridas y de armas robadas entre enero de 2003 y noviembre de 2004. En relación con el ejército, se afirmaba que 937 habían muerto, 2.264 habían resultado heridos y 629 habían desaparecido, y que se habían robado 934 armas. En cuanto a la policía, se afirmaba que 685 personas habían muerto, 500 habían resultado heridas, 62 habían desaparecido y 1.247 armas habían sido robadas. En cuanto al aparato de seguridad e inteligencia, 64 personas murieron, 1 resultó herida, 26 desaparecieron y 91 armas fueron saqueadas.",1
"58","La víctima quedó embarazada a consecuencia de esta violación y posteriormente dio a luz a un niño.",1
"59","47. El Equipo de Vigilancia ha intensificado su labor encaminada a establecer vínculos con expertos del mundo académico y de la sociedad civil, a fin de aumentar su comprensión de la naturaleza cambiante de la amenaza que representan Al-Qaida y las personas y entidades asociadas, mediante el diálogo con estudiosos y organismos académicos pertinentes.",0
"60","""El Consejo de Seguridad subraya que no se tolerará ningún intento de perturbar el proceso de paz y transición en la República Democrática del Congo, ni siquiera mediante el apoyo a grupos armados.",0
"61","Se celebrará el jueves 4 de abril de 2002 a las 11.50 horas.",0
"62","La Organización de Al-Qaida en el Magreb Islámico (AQMI) (QE.T.14.01) ha desarrollado una importante experiencia en el secuestro extorsivo.",1
"63","8 de mayo de 2006 Incidente violento en Gleno en el que son agredidos agentes de la PNTL del este.",1
"64","87. La planificación de todas las operaciones militares se realiza en Jartum por el Comité de Jefes de Estado Mayor Conjunto.",1
"65","4. Mediante la resolución 733 (1992), el Consejo de Seguridad impuso un embargo de armas general y completo a Somalia, y mediante la resolución 751 (1992) el Consejo estableció un Comité para supervisar la aplicación del embargo.",1
"66","Los miembros también expresaron su determinación de seguir colaborando con el Gobierno para consolidar los avances logrados y garantizar un entorno estable para la gobernanza democrática, el crecimiento económico y la prestación de ayuda humanitaria. Asia",0
"67","La MINUSMA pondrá en marcha una revisión de su concepto de Misión a principios de 2015, que guiará la revisión de los conceptos de los componentes militares, policiales y de apoyo complementarios que detallan y apoyan la aplicación del concepto de Misión.",0
"68","36. África y la región de Asia y el Pacífico representaron el 53% de los secuestros registrados en todo el mundo en 2012, lo que supone un aumento con respecto al 18% de 2004. Oriente Medio representó el 19% de los secuestros registrados en todo el mundo en 2012, frente al 4% en 2008.",1
"69","Tras el bombardeo, los Janjaweed atacaron, destruyendo casas y saqueando propiedades.",1
"70","Los frecuentes enfrentamientos entre las tropas de las FARDC y los grupos armados que operan en la zona han causado numerosas víctimas civiles.",1
"71","Las disposiciones de este reglamento se aplican independientemente de la cantidad o el valor.",0
"72","Vicepresidencia: Reino Unido de Gran Bretaña e Irlanda del Norte",0
"73","En primer lugar, la aplicación efectiva del régimen de sanciones está directamente relacionada con la calidad de la información disponible sobre sus objetivos.",0
"74","121. Los Janjaweed a los que se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan.",1
"75","El juez Mezher aceptó la propuesta con las siguientes condiciones. Los vehículos deberían filmarse in situ, estar marcados y numerados: también deberían filmarse durante el transporte y de nuevo a su llegada al cuartel de Helou, donde deberían estar cubiertos y vigilados las veinticuatro horas del día para evitar cualquier manipulación de las pruebas.",0
"76","31. En lo que respecta a la coordinación interna, muchos Estados asiáticos han creado organismos u órganos centralizados con el mandato de coordinar las actividades antiterroristas y analizar la información de inteligencia conexa, incluso con respecto a la incitación.",0
"77","Sin embargo, aunque las medidas puedan tener una aplicación limitada en la zona fronteriza entre Afganistán y Pakistán o en las zonas sin gobierno del sur del Sáhara, abordan tres requisitos esenciales de un grupo terrorista: dinero, movimiento y medios para atentar.",0
"78","La sentencia se espera para el primer semestre de 2008.",0
"79","6. Tetranitrobenzotriazolobenzotriazol (TACOT) (CAS 25243-36-1);",0
"80","La mayoría de las carreteras son pistas de arena o tierra que se vuelven intransitables durante este periodo, cortando grandes secciones del territorio durante largos periodos.",0
"81","La creciente convergencia entre los métodos de financiación del terrorismo, especialmente a escala local, y otras actividades delictivas, ha hecho aún más difícil distinguir unas de otras.",1
"82","Sin embargo, el sistema de justicia penal de al menos cinco Estados podría mejorarse para llevar a los terroristas ante la justicia con mayor eficacia.",0
"83","44. Durante el período que abarca el informe, la situación de seguridad en el nordeste de la República Centroafricana siguió viéndose afectada por los conflictos interétnicos, el bandidaje y la delincuencia transfronteriza. Éstas siguieron siendo las principales amenazas para la seguridad y la estabilidad en las regiones de Vakaga y Haute-Kotto.",1
"84","Párrafo 2 (a): expulsión de todos los miembros del FRU de Liberia ...",0
"85","Un cabecilla pirata somalí, Mohamed Abdi Hassan, conocido como ""Afweyne"", fue detenido en octubre de 2013 en Bruselas. Otro cabecilla pirata, Mohamed Garfanji, fue detenido en agosto de 2014 en Mogadiscio por posesión de armas ilegales y por otros cargos relacionados con la piratería.",1
"86","En julio de 2005, el 93% de los detenidos estaban en prisión preventiva, y la cifra podría ser ahora incluso mayor.",1
"87","51. Un posible impedimento para la realización efectiva del debido proceso a través de la Oficina del Defensor del Pueblo es la posibilidad de que existan restricciones de confidencialidad que impidan revelar la identidad del Estado designante al peticionario y a los Estados pertinentes implicados en el caso.",1
"88","El Servicio Geológico de los Estados Unidos realizó las revisiones iniciales de la base de datos digital y envió un ordenador portátil con la base de datos revisada al Ministerio de Tierras, Minas y Energía en febrero de 2009.",0
"89","Párrafos 159-160; párrafos 28-31, 161-163.",0
"90","33. La amenaza planteada por miembros del antiguo ejército disminuyó durante el período que abarca el informe, tras la muerte el 9 de abril del líder autoproclamado Ravix Rémissainthe (véase S/2005/313, párr. 16).",1
"91","Debido a una combinación de factores, como la discriminación de género en el acceso a los recursos, la educación y el empleo, la deficiente atención a la salud reproductiva y la exclusión de los procesos de toma de decisiones, las mujeres refugiadas y desplazadas internas constituyen uno de los grupos más vulnerables del mundo.",1
"92","Las interacciones con la sociedad civil pusieron de manifiesto que la población no comprendía claramente el mandato y la capacidad de la MONUSCO. Entre la población local existía la percepción de que sólo la brigada de intervención podía emprender acciones contundentes para proteger a los civiles, lo cual no es exacto.",1
"93","28. La Organización Internacional para las Migraciones siguió apoyando el desarrollo del servicio de migración de la policía nacional mediante un amplio programa de capacitación, prestando apoyo técnico jurídico para las revisiones de la ley de inmigración y asilo y ayudando en la instalación de un sistema de información de gestión de fronteras.",0
"94","En virtud de los apartados 4, 5 y 6: 100% del valor de los bienes que hayan intervenido en la transferencia internacional correspondiente;",0
"95","28. La Representante Especial Adjunta del Secretario General declaró que, desde el estallido del conflicto en diciembre de 2013, se habían recibido informes a través del mecanismo de supervisión y presentación de informes que indicaban que ambas partes del conflicto eran responsables de violaciones y abusos contra los niños, incluidos asesinatos y mutilaciones, reclutamiento y utilización y violencia sexual.",1
"96","Aunque también se han producido ataques por parte de las fuerzas rebeldes, la Comisión no ha encontrado pruebas de que sean generalizados ni de que se hayan dirigido sistemáticamente contra la población civil.",1
"97","600. Es a la luz de esta normativa jurídica internacional como debe verse la obligación de Sudán de pagar indemnizaciones por todos los crímenes perpetrados en Darfur por sus agentes y funcionarios u órganos de facto.",1
"98","8. Evacuación y llenado de giroscopios;",0
"99","Abierto a la firma en Washington, D.C., Londres y Moscú el 11 de febrero de 1971.",0
"100","Un Kosovo internamente inestable dificultaría aún más la definición y aplicación de un estatuto futuro viable.",1
"101","En la región de Bakool, también en Somalia central, los enfrentamientos del 10 y 11 de junio entre milicianos de los clanes Hadamo y Ogaden en la zona de El-Barde se saldaron con al menos 4 muertos y 10 heridos. El 15 de junio, al menos 16 personas murieron y otras 20 resultaron heridas en enfrentamientos entre milicias rivales por derechos sobre tierras y pastos en la misma zona.",1
"102","Muchos de los informes se refieren al secuestro de mujeres.",1
"103","(c) Valores residuales 289 - 292 72",0
"104","12. Manual de los cursos de mortero RDF de 60 milímetros y 82 milímetros.",0
"105","Alrededor de 1,8 millones fueron desplazados por la fuerza y se convirtieron en refugiados o desplazados internos. Necesitan protección.",1
"106","114. El Grupo de Supervisión ha obtenido una grabación de audio en la que Tesfamicael divulga, en marzo de 2013, que varios vehículos fueron entregados a Eritrea bajo la custodia del Departamento de Garajes Gubernamentales de Asha Golgol.",0
"107","2. Convención de Viena sobre responsabilidad civil por daños nucleares",0
"108","El Comité acoge con satisfacción las actividades de la Dirección Ejecutiva del Comité contra el Terrorismo en este ámbito, y anima a la Dirección Ejecutiva a seguir desarrollándolas, dentro de las orientaciones del Comité, profundizando en su marco analítico, incluso mediante la participación de la Dirección Ejecutiva en el grupo de trabajo del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo relativo a la protección de los derechos humanos en la lucha contra el terrorismo.",0
"109","Un Estado señaló que había ampliado la base sobre la que las organizaciones terroristas podían figurar en su Código Penal para incluir a las organizaciones que abogan por la comisión de un acto terrorista.",1
"110","Una vez más tenemos que afirmar que la violencia que ha estallado en el distrito de Gali es una consecuencia lógica de la escalada de violaciones flagrantes de los derechos de la población pacífica por parte del régimen abjasio, que instiga el contrabando de armas y drogas.",1
"111","En consecuencia, el Secretario General ha calificado los recientes acontecimientos de Zimbabue de ""injusticia catastrófica"".",0
"112","Convencido también de que una solución política del conflicto puede hacer avanzar la lucha contra la lacra del terrorismo y las actividades conexas, siempre presentes en la región, y contribuir a erradicarlas;",1
"113","Reiterando además la obligación de los Estados miembros de impedir la circulación de grupos terroristas mediante, entre otras cosas, controles fronterizos eficaces y, en este contexto, de intercambiar información rápidamente, mejorar la cooperación entre las autoridades competentes para impedir la circulación de terroristas y grupos terroristas hacia y desde sus territorios, el suministro de armas a los terroristas y la financiación que apoyaría a los terroristas,",1
"114","25. El secuestro de niños con fines militares que caracterizó el período de conflicto ha disminuido significativamente durante el período que abarca el informe.",1
"115","129. La Comisión está convencida de que Oan Kiak y sus hombres participaron en delitos contra la persona y la vida en el control de carretera establecido cerca del Mercado Lama en la tarde del 25 de mayo, como se describe en el párrafo 87 supra.",1
"116","Proporcionó detalles sobre las violaciones y abusos cometidos contra los niños en Yemen.",1
"117","A celebrarse el viernes 2 de febrero de 2001, a las 15 horas.",0
"118","V. Examen por el Grupo de Trabajo del futuro mecanismo residual",0
"119","El presente informe aborda diversos aspectos de la cuestión de las armas ligeras, haciendo hincapié en las repercusiones negativas que las armas ligeras ilícitas tienen en la seguridad, los derechos humanos y el desarrollo social y económico, en particular en las zonas en crisis y en las situaciones posteriores a los conflictos.",1
"120","La visita a Bouaké se produjo un día después del enfrentamiento entre los rebeldes y la fuerza francesa de vigilancia del alto el fuego en Duékoué.",1
"121","(a) Pérdida de beneficios 144 - 153 41",0
"122","Les deseo a todos un bendecido aniversario de la independencia.",0
"123","En Kenia, 160 presuntos piratas han sido procesados y 4 siguen en juicio.",1
"124","Los cadáveres de cinco personas que se cree que eran partidarios del Sr. Coulibaly, con heridas de bala y marcas de tortura, permanecen en el depósito de cadáveres de Bouaké desde finales de diciembre, a la espera del resultado de las investigaciones penales.",1
"125","Aunque las acciones de Hezbolá son deplorables y, como ya he dicho, Israel tiene derecho a defenderse, el uso excesivo de la fuerza es condenable.",0
"126","Aunque los líderes de Al Qaeda, constreñidos por la acción internacional, no puedan traducir su apoyo en violencia coordinada bajo su control, siguen atrayendo seguidores, algunos de los cuales están decididos a cometer actos terroristas en su nombre, sin necesidad de ver sus acciones como parte de un programa político más amplio.",1
"127","Profundamente preocupado por el creciente número de víctimas, incluidos niños, causado por actos de terrorismo motivados por la intolerancia o el extremismo en diversas regiones del mundo,",1
"128","Mientras que los líderes de Afganistán conservan su atractivo personal y su credibilidad histórica como fundadores de Al Qaeda, y son mejores a la hora de fingir que existe una justificación religiosa para el terrorismo, Al Qaeda en Irak, ya esté dirigida por Abu Musab Al Zarqawi o por un sucesor, con su flujo de atentados que acaparan titulares, tiene el mayor atractivo para quienes ansían la acción.",1
"129","79. Es necesario realizar más esfuerzos concertados para poner fin a las continuas y graves violaciones de los derechos humanos cometidas por grupos armados y las FARDC contra civiles en Ituri, los Kivus y el centro y el norte de Katanga, que están socavando gravemente los esfuerzos por estabilizar estas zonas y afectando a la organización de las elecciones.",0
"130","B. Democratización y proceso electoral",0
"131","Asimismo, aunque las víctimas expresaron a menudo su falta de confianza en la capacidad y voluntad del Gobierno para protegerlas, la policía se citó a menudo como una excepción a esta tendencia.",1
"132","El Representante Especial del Secretario General dijo que, debido a la hambruna, la situación humanitaria en Somalia era calamitosa y estaba causando muertes y desplazamientos a escala masiva.",1
"133","El Gobierno de la República de Macedonia, en su reunión del 19 de abril de 2011, adoptó la decisión de hacer cumplir las restricciones contenidas en la citada resolución.",1
"134","El coste se define como el valor nominal más o menos cualquier prima o descuento no amortizado.",0
"135","No obstante, cabe suponer razonablemente que el nivel medio de empleo se sitúa entre 5.000 y 8.000 personas.",0
"136","Expresa su profunda preocupación por el aumento de los conflictos localizados, el incremento de la criminalidad y la violencia y sus efectos sobre la población civil, y en particular por el fuerte aumento de los enfrentamientos intertribales, y hace un llamamiento a todas las partes para que pongan fin urgentemente a dichos enfrentamientos y persigan la reconciliación y el diálogo ...",1
"137","Aún se desconoce quién estuvo detrás del ataque.",1
"138","Se creará un sistema en virtud del cual las víctimas de explotación y abusos sexuales serán remitidas, caso por caso, a una organización no gubernamental que les prestará la ayuda necesaria.",0
"139","Además, la Comisión considera que el hecho de que la violación y otras formas de violencia sexual se llevaran a cabo principalmente contra tres tribus ""africanas"" es indicativo de la intención discriminatoria de los autores.",1
"140","57. Las pruebas establecen que, además del civil muerto en Rai Kotu, otros dos civiles murieron durante la noche.",1
"141","Eritrea ha estado organizando, entrenando y luego enviando a Etiopía todo tipo de gánsteres y elementos terroristas para causar estragos en nuestro país y provocar inestabilidad política.",1
"142","Otras medidas que contribuyen a la polarización de los dos grupos son el conflicto de 1987-1989 por el acceso a los pastos y las fuentes de agua entre los nómadas de origen árabe y los sedentarios fur.",1
"143","Forma parte de un mantra constantemente repetido ante este Consejo que no es más cierto por su repetición, que ignora tanto las responsabilidades palestinas como los derechos israelíes, y que no reconoce las insoportables dificultades a las que se enfrentan las fuerzas israelíes al intentar proteger a sus ciudadanos y minimizar el daño a las vidas palestinas cuando los terroristas a los que se enfrentan muestran tan poca preocupación por las vidas palestinas como por las israelíes.",0
"144","Cuatro Estados han tipificado adecuadamente como delito la captación de terroristas, mientras que el resto lo ha hecho parcialmente o no lo ha hecho en absoluto.",0
"145","""El Consejo de Seguridad recuerda el compromiso del Gobierno del Chad, esbozado en la carta enviada al Presidente del Consejo de Seguridad de fecha 7 de septiembre de 2010 (S/2010/470), de asumir la plena responsabilidad de la seguridad y la protección de la población civil en el este del Chad, incluidos los refugiados, los desplazados internos, los repatriados y las comunidades de acogida, con especial atención a las mujeres y los niños, el personal de las Naciones Unidas y el personal humanitario y los bienes, de conformidad con las obligaciones que le incumben en virtud del derecho internacional humanitario, las normas de derechos humanos y el derecho de los refugiados.",0
"146","Este caso ilustra no sólo los homicidios en masa de civiles, sino también los confinamientos ilegítimos acompañados de ejecuciones sumarias, violaciones y otros abusos.",1
"147","Un niño de 10 años fue una de las 14 personas asesinadas en un brote de violencia comunal en el distrito de Kapilvastu en septiembre de 2007.",1
"148","Declaración sumaria del Secretario General sobre los asuntos que se hallan sometidos al Consejo de Seguridad y sobre la etapa alcanzada en su estudio",0
"149","Los testigos presenciales no tenían claro quién les había disparado realmente: las fuerzas paralelas, la policía o la gendarmería.",1
"150","Este fue el caso de Jamal Suliman Mohamad Shayeb, en la localidad de Halouf, en relación con el homicidio de 24 personas, algunas de ellas mujeres y niños, el saqueo de bienes y el incendio de la localidad.",1
"151","Lo que distingue a esta categoría de crímenes de la de crímenes de guerra es que no se trata de infracciones aisladas o esporádicas, sino de violaciones que (a) pueden producirse tanto en tiempo de paz como en tiempo de conflicto armado, y (b) forman parte de una práctica generalizada o sistemática de atrocidades (o ataques) cometidas contra la población civil.",1
"152","b. Un diámetro exterior del anillo entre 25 y 100 mm.",0
"153","Los principales problemas de seguridad están relacionados con la actividad delictiva y la lucha entre facciones.",1
"154","Las medidas adoptadas hasta ahora por el gobierno para hacer frente a la crisis han sido sumamente inadecuadas e ineficaces, lo que ha contribuido a crear un clima de impunidad casi total ante las violaciones de derechos humanos en Darfur.",1
"155","Observando con profunda preocupación el aumento de la violencia y el incremento de los enfrentamientos intertribales, así como la persistencia de la violencia sexual y de género y de la impunidad, y reiterando su profunda preocupación por los ataques contra el personal humanitario y las fuerzas de mantenimiento de la paz, la seguridad de los civiles, y haciendo un llamamiento a todas las partes en Darfur para que cesen inmediatamente las acciones ofensivas y se abstengan de nuevos ataques violentos que provoquen la consiguiente mala situación de la ayuda humanitaria y la restricción del acceso humanitario a las poblaciones necesitadas,",1
"156","Alrededor de las 17:00 horas del mismo día, testigos de Anka observaron entre 300 y 400 Janjaweed a pie, y otros 100 Janjaweed en camello y a caballo, avanzando hacia Anka desde la dirección de Barey.",1
"157","Transmisión del caso 8 a la Comisión",0
"158","35. Durante el período que abarca el informe continuaron los incidentes de seguridad relacionados con las restricciones a la circulación de la UNMIS en el Sudán meridional.",1
"159","Las armas fueron incautadas por el oficial de armamento del buque estadounidense y posteriormente entregadas a las autoridades yemeníes.",1
"160","Se celebrará el miércoles 30 de mayo de 2007, a las 15.00 horas.",0
"161","Desde el 18 de septiembre de 2014, no se ha emprendido ninguna acción de combate en respuesta a una ""amenaza inminente y grave"".",1
"162","56. La cuestión de Hyderabad (16 de septiembre de 1948; 24 de mayo de 1949).",0
"163","El Consejo expresa su más profunda preocupación por el hecho de que los civiles sigan constituyendo la mayoría de las víctimas de los actos de violencia cometidos por las partes en los conflictos armados, en particular como consecuencia de los ataques deliberados, del uso indiscriminado y excesivo de la fuerza y de la violencia sexual y de género.",1
"164","Las disposiciones de amnistía excluyen la impunidad de la violencia de género.",1
"165","Hasta la fecha, 22.656 personas (3.075 familias) han sido preinscritas en el campo de El Aiún.",0
