"","es_en_GOOGLE","MatConf"
"23","Niger occupies an immense territory of 1,267,000 square kilometers. This vast country is populated by about 11 million inhabitants.",0
"24","At the same time, the threat from the Taliban has been renewed.",1
"25","Hacene Djemam, International Confederation of Arab Trade Unions",0
"26",":: Starvation, as a method of war, of civilians, depriving them of goods essential to their survival, including the intentional obstruction of relief supplies in accordance with the provisions of international humanitarian law.",1
"27","The Ministry did not give any further explanations about the situation of these companies.",0
"28","These capabilities will be added to the units planned in the heavy support package.",0
"29","In a press statement by the President, Council members expressed their deep concern about the serious humanitarian situation, as the latest fighting had led to an increase in human rights violations and a new population displacement.",1
"30","71. The situation in Georgia (October 8, 1992; June 15, 2009).",0
"31","4. Requests the support of troop- and police-contributing countries in this regard;",0
"32","There were no injuries, but the helicopter was punctured in several places. On 31 January 2005, a patrol of the African Union mission in Sudan investigating violations of the ceasefire in the Shangil Tobai area was targeted by gunfire near craters that appeared to confirm reports of shelling.",1
"33","3) The offender will be punished with a prison sentence of 5 to 15 years and in addition, if the court deems appropriate, with the confiscation of property, or with an exceptional sentence:",0
"34","Police said they were looking for &quot;Enza&quot; and asked the men if they had participated in the march.",1
"35","1. Other material goods 185 - 216 50",0
"36","Any tendency towards radicalization in educational institutions would be the responsibility of the Ministry of Education.",0
"37","41. Nonproliferation (March 29, 2006; September 20, 2012).",0
"38","Intravenous fluids were provided to treat 3,333 people in Ar-Raqqa city.",0
"39","The unspeakable atrocities committed against inmates of Kwanliso political prisoner camps are reminiscent of the horrors of the camps that totalitarian states established in the 20th century.",1
"40","Other sources of financing also remain important, including profits from transnational organized crime activities such as smuggling and human trafficking.",1
"41","Government leaders and their supporters, for their part, accused the MPCI and other &quot;rebel movements&quot; of using foreign forces and committing atrocities, in particular the murder of dozens of Gendarmerie officers in BouakÃ©.",0
"42","Which will be held on Wednesday, August 11, 2004, at 10:00 a.m.",0
"43","They are widely used in conflicts between states and are the weapons of choice in civil wars and in terrorism, organized crime and gang warfare.",1
"44","At the 4679th meeting of the Security Council, held on 20 December 2002, to continue its consideration of the item entitled &quot;Protection of civilians in armed conflict&quot;, initiated at its 4660th meeting, held on 10 December 2002 , the President of the Security Council made the following statement on behalf of the Council:",0
"45","However, government authorities and other sources reported the destruction of civil records carried out by MPCI fighters in the prefectures. 2. Looting and desecration",1
"46","Identity and travel documents: issuance, control and detection of forgeries",0
"47","The European Union also expressed support for my Special Representative&#39;s statement of 8 September 2005, which stressed that there could be no military solution to the problems faced by the transitional federal institutions.",0
"48","We cannot run the risk that the financial and human effort made so far in the Democratic Republic of the Congo will be lost in the face of citizen frustration and, eventually, the crisis and conflict will re-emerge.",0
"49","Reiterating that Member States have the obligation to prevent the movement of terrorist groups by imposing effective border controls, among other means, and, in this context, to rapidly exchange information and improve cooperation between competent authorities to prevent entry and departure of terrorists and terrorist groups from their territories, as well as the supply of weapons to terrorists and funds that could finance their activities,",1
"50","2. You decide to continue dealing with the issue.",0
"51","He said that many Government and MPCI soldiers had died in the fighting and that they had all been buried in a common grave.",1
"52",":: The prohibition of opening or managing accounts with a false, fictitious or incorrect name;",0
"53","Recent events in the region confirm the concerns that its interlocutors have systematically conveyed to the mission.",0
"54",":: On November 18, 2014, regime helicopters dropped two barrel bombs on Maar Shmarien, killing six civilians, four of whom were children and two were women.",1
"55","The Group estimates that Liberia&#39;s current production is between 130,000 and 150,000 carats annually.",0
"56","Work has begun on creating an emergency exit from the office, constructing a new security post and establishing a checkpoint on the main road leading to the office to create an additional level of access control, staffed of MINURSO and contractors.",0
"57","The opposition concluded the rally with a call for civil disobedience to prevent the passage of the bill. On October 30, protesters broke the police cordon and ransacked the National Assembly building.",1
"58","The frequent attacks carried out in Afghanistan by the Taliban and terrorists linked to Al-Qaida demonstrate the persistence of violations of the arms embargo despite the Government&#39;s disarmament program.",1
"59","However, the Monitoring Team recommends that the Security Council remind Member States that the sanctions regime obliges them to prevent the Internet from being used, directly or indirectly, from their territory or by their nationals outside its territory to provide, sell or transfer technical information, assistance or training relating to military activities to persons and entities included on the List.",0
"60","The proximity of the border with Pakistan provides these forces with manpower, material and shelter.",1
"61","The note of the Ministry of the Russian Federation proposes that the Member States of the Commonwealth of Independent States take similar measures and withdraw from the regime of restrictions imposed against Abkhazia in 1996.",0
"62","During the reporting period, there were 1 shooting, 14 robberies, 3 kidnappings and 1 demonstration. On 9 July, a UNOMIG vehicle was damaged by a stone thrown by a resident of the town of Zugdidi.",1
"63","During the rainy season (June to October), this region is practically isolated from the rest of the Central African Republic and is only accessible by air.",0
"64","Machines that combine spin-forming and flow-forming functions are considered stretch-forming machines for the purposes of this article.",0
"65","However, additional measures are needed regarding the criminalization of the illicit production, possession and trafficking of small arms and light weapons, as well as explosives.",1
"66","C. Legal obstacles to sanctions 50. The Team is aware of 15 lawsuits filed around the world challenging the implementation of some aspects of United Nations sanctions against Al-Qaida and the Taliban by Member States.",1
"67","During the conflict, the Maoist militia performed mobilization and propaganda functions, served as an irregular army and applied various means to &quot;enforce the law&quot; in areas under the control of the CPN-Maoist. When the Maoist militia was disbanded, many of the members reportedly joined the CPN-Maoist Youth Communist League, which was re-established in December 2006.",1
"68","Establishing regular programs to inspect reporting entities to ensure compliance with anti-money laundering and anti-terrorist financing requirements is a serious challenge for some States as it is resource intensive.",0
"69","Most governments appear strongly committed to ensuring that law enforcement agencies respect human rights, although in some cases serious concerns have been raised about violations by security forces.",0
"70","D. Border control Effective border control is essential for the effective application of anti-terrorism measures in accordance with resolution 1373 (2001), as it is the first line of defense against the movement of terrorists across borders, as well as the illegal circulation of goods and merchandise.",0
"71","Therefore, when considering responsibility for the human rights violations perpetrated during the events of March 25 and 26, one must also keep in mind the repercussions of the presidential decree of March 22 and the instructions issued by the commanders of the forces. national navies at the meeting on March 24.",1
"72","As noted elsewhere in this report, very few victims have filed official complaints for crimes committed against them or their families due to a lack of trust in the justice system.",1
"73","Shipments of small arms to conflict zones from abroad are generally small consignments -- a small, steady entry of weapons across porous borders.",1
"74","Finally, we thank the delegation of Italy for preparing a draft presidential statement on Afghanistan.",0
"75","The United Nations also supported the African Union&#39;s efforts to secure more funding for the Regional Task Force.",0
"76","1. Appearance of the term Janjaweed",0
"77","2. Customs Code of the Republic of Kazakhstan, 2003, article 19, para. 12",0
"78","These cells are emerging as the main threat posed by Al-Qaida terrorism today.",1
"79","An average of 70% of all registered patients received complete treatment.",0
"80","All the houses in the village were burned and the bodies of the victims were buried in collective graves on the outskirts of the village.",1
"81","The Government appreciates the valuable work that the United Nations Operation in Burundi has carried out in the country, particularly during the electoral process.",0
"82","Import/export of weapons: surveillance and detection of smuggling activities",1
"83","It is not necessary, although it may be useful, to prove that the attack is the result of a policy or plan.",1
"84","In 2006, 136 incidents of collective kidnappings were recorded, of which a total of 324 children were victims, 210 of them in November 2006 and the rest between May and December of that same year.",1
"85","The witnesses could not clearly establish who had shot at the protesters: the parallel forces, the police or the gendarmerie.",1
"86","At the deadline of this report, a total of 37% of the DF effluent, which the Cape Ray ship delivered on August 30 and 31, 2014, had already been destroyed.",1
"87","52. The State has also used deliberate starvation as a means of control and punishment in detention centers.",1
"88",":: Examine how the unprecedented number of crises of violence is affecting displacement and the rights and protection of women and girls, noting in particular how the constant threat of violent extremism is contributing to displacement and the serious abuses suffered by women and girls",1
"89","Reports continued to be received from various human rights organizations regarding serious violations of human rights and violations of international humanitarian law, including arbitrary detentions, murders, child trafficking and rape throughout the country both in areas controlled by the Forces Nouvelles as in areas controlled by the Government.",1
"90","The Special Representative urged the Council to provide continued support to the Office&#39;s efforts to stop cross-border security threats in that region, such as the Lord&#39;s Resistance Army, piracy in the Gulf of Guinea, small arms trafficking and the potentially destabilizing effects of the return of many economic migrants from crisis areas (e.g. Libya).",1
"91","It is unclear when these funds will be disbursed.",0
"92","b) Appropriate examination of end-user certificates by the responsible bodies of the member countries of the Wassenaar Agreement;",0
"93","See the answer to question 20.",0
"94","There may have been fewer major operations than Al-Qaida leaders would have wanted, but the arrest or death of suspected Al-Qaida terrorists in more than 40 countries around the world since the Team submitted its last report in November 2006 (S/2007/132) are indicative of a high volume of planning of terrorist acts.",1
"95","Claim adjusted to take into account material replacement and obsolescence.",0
"96","b) Call upon parties to armed conflicts to fulfill their obligations under international humanitarian law to respect and protect humanitarian personnel and items used in relief operations;",0
"97","In mid-November there was an intensification of armed clashes between Serbian security forces and the self-proclaimed Liberation Army of Presevo, Medvedja and Bujanovac (UCPMB) in the land security zone.",1
"98","In addition to other reliable data, the Commission has recorded the testimonies of several people arrested in connection with the conflict in Darfur, who are currently detained in Khartoum, who spoke of the torture and inhuman and degrading treatment to which they were subjected.",1
"99","A broader team of advisors to the European Union Police Mission has been created to provide support and technical advice on police matters.",0
"100","Address: PO Box 16785-195, Tehran, Iran",0
"101","The payment of several large ransoms to Al-Qaida and its affiliated entities in recent years has made kidnapping one of Al-Qaida&#39;s basic tactics.",1
"102","When the bombardment ended, the Janjaweed attacked the village, destroying the houses and looting the property.",1
"103","Of those employees, three were Japanese citizens and the rest were Indians, Bangladeshis, Filipinos, Pakistanis and British citizens (whom Shimizu refers to as &quot;third country staff&quot;).",0
"104","Some of those soldiers were killed on the spot.",1
"105","There are also important positive developments. When the armed conflict ended in 1999, there was a practically total lack of legislation and economic structures.",1
"106","The regime detained some 47 people; They are believed to have been forced to join regime forces.",1
"107","Illegal diversions at the administrative border and smuggling activities remained a problem during this period.",1
"108","As regards international humanitarian law, common article 3 of the Geneva Conventions prohibits attacks on life and body, including cruel treatment and torture, the taking of hostages and attacks on personal dignity, in particular humiliating and degrading treatment.",1
"109","Since they were acquired in early January 2005, until the moment of the explosion, these cards had only served to establish communications with each other.",1
"110","According to Afghan officials, the 2010 death toll from insurgency activities was 50% higher than the previous year&#39;s total and the number of civilians injured increased by a third.",1
"111","The United Nations also provided training to the Women&#39;s Media Association so that its members could raise public awareness about human rights and HIV/AIDS issues.",0
"112","Almost two years after the last briefing on the situation in the Great Lakes region (the areas affected by the Lord&#39;s Resistance Army), the Council held a closed session on 21 July 2011 to review the persistent threat represented the Lord&#39;s Resistance Army for regional security.",0
"113","Human rights violations continued to be reported, many of them associated with untrained elements integrated into the FARDC from the CongrÃ¨s national pour la dÃ©fense du peuple (CNDP) and armed groups.",1
"114","A total of 112 physical elements were recovered, most of which are being analyzed in an international laboratory.",0
"115","Al-Qaida terrorism currently encompasses three distinct but interrelated groups: first, the former leaders, who are well known; secondly, the fighters who trained in the camps of Afghanistan to become expert terrorists; and third, a new and growing generation of supporters who may not have left their countries of residence but have accepted the core elements of Al-Qaida&#39;s message.",1
"116","These alliances allow them to participate in broader operations aimed at destabilizing the African continent.",1
"117","Recalling its previous resolutions regarding the situation in Iraq,",0
"118","To this end, the Office of Information and Administration will use the secure online document tracking and distribution system recently added to the Committee&#39;s website to distribute CEO materials to Committee members and the Secretariat.",0
"119","The shortfall in the Mission&#39;s police component remains a major cause of concern and impacts UNOCI&#39;s ability to fulfill its mandate.",1
"120","Techniques and methods are passed from one group linked to Al-Qaida to another, facilitating a level of innovation that increases the threat.",0
"121","Colonel Lere sent messengers to communicate the order to the soldiers who had not heard it.",1
"122","The communiqué on the session was issued on November 18, 2003 (S/PV.4860).",0
"123","Subsequently, soldiers raided homes and detained young people and took them away in military buses.",1
"124","When international troops began to detain people, the few personnel in the judicial sector held preliminary hearings and interrogated the detainees.",1
"125","The simulation results denied what had occurred at the time of the ship&#39;s sinking.",0
"126","As noted above, the Sudanese judicial system has not been able to ensure accountability for crimes committed in Darfur, nor are the authorities willing to do so.",1
"127","It had sunk due to poor weather conditions off the coast of Somalia in July 2013 after suffering mechanical failure and pirates had since held the surviving crew on land.",1
"128","27. He decides to continue addressing the issue.",0
"129","The link between cross-border crime and terrorism came to light following the Al-Qaida attacks on the embassies of the United States of America in the United Republic of Tanzania and Kenya in 1998.",1
"130","- The Comprehensive Nuclear Test Ban Treaty, ratified on July 11, 2003;",0
"131","Of the 17 people accused of carrying out the attack on the Prime Minister, 13 were sentenced to prison terms of nine years and four months, while one received a sentence of 10 years and eight months in prison. On June 14, the Court of Appeal confirmed the sentences.",1
"132","One agent is killed, another seriously injured.",1
"133","Articles 9 and 10 of the 2005 Law on Weapons of Mass Destruction",0
"134","Large sums, although not essential to the success of the attacks, are now more difficult to obtain.",1
"135","Which will be held on Monday, September 17, 2012 at 10:00 a.m.",0
"136","They have enacted anti-terrorism laws and made efforts to further strengthen regional coordination and cooperation, especially in the maritime context.",0
"137","Other sources reported that the Janjaweed and soldiers abducted, confined and repeatedly raped women and girls in the villages they attacked, in military camps and in hiding places, and also tortured them to prevent their escape.",1
"138","The Security Council adopted resolution 1894 (2009) on the protection of civilians in armed conflict, which called for mandated protection of civilians activities to be given priority when allocating resources and capabilities, to be An operational concept for the protection of civilians will be prepared and planning and training activities will be carried out throughout the mission.",0
"139","The Commission has collected credible information enabling it to identify eight senior central government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who may be suspected of being responsible for failing to prevent or suppress , knowingly, the perpetration of crimes, that is, of higher responsibility.",1
"140","c) Carry out the functions and provide the civil services provided for in article 33; and",0
"141","10. The Cairo Declaration on Human Rights in Islam (1990);",0
"142","Establishment of support systems for victims of gender-based violence.",0
"143","We hope that by the end of this year there will be instruments for more effective law enforcement in the field of combating narcotics.",0
"144","According to the Guidelines, the investment objectives of all pooled accounts, in order of priority, are as follows:",0
"145","The proceedings related to the appellant were then closed.",0
"146","The Commission also notes that the restrictions imposed in the camps on people displaced within the country, particularly women, who were terrorized with rape, murder or threats of attacks on the life and physical integrity of the person by the Janjaweed militias, represents a deprivation of physical freedom, which violates international law.",1
"147","We urge Israel to respect its obligations towards the population of the occupied territories.",0
"148","S/RES/1925 (2010), para. eleven",0
"149","The Security Council urges the Democratic People&#39;s Republic of Korea to return immediately and without any preconditions to the Six-Party Talks and to strive for the rapid implementation of the Joint Declaration of 19 September 2005 and, in particular, to renounce all nuclear weapons and existing nuclear programs.",0
"150","This document contains an amount of 149,253 Iraqi dinars deposited in the Al Rafidain Bank in Baghdad. The CLE also presented an internal document titled &quot;Rafidain Baghdad Bank 1005 - year 1990&quot; which shows a balance of 149,253 Iraqi dinars owed at the end of the financial year.",0
"151","At the same time, President Al-Bashir is threatening the international community with reprisals and even more crimes.",0
"152","2. The goals of the study program for each school subject;",0
"153","50. Even during the most severe period of famine, the State prevented the delivery of food aid by imposing conditions that were not based on humanitarian considerations.",1
"154","However, flows of immigrants and refugees in the region, from conflict zones in the Middle East and Africa, continue to represent a problem for immigration authorities.",1
"155","The attack method (including a virulent strain of the bacteria in letters sent by federal postal services) was highly effective in terms of publicity, but a major attack intended to cause much greater casualties (e.g., the spread of anthrax using an aerosol) would require much more advanced technology.",1
"156","The state has imposed openly discriminatory restrictions against women in the desire to maintain the sexist stereotype of the pure and innocent Korean woman.",1
"157","The part of the engine that was found and collected at the crime scene has led to the conclusion that this engine comes from a Mitsubishi vehicle stolen on October 12, 2004 in the city of Sagamihara (Japan).",1
"158","The Commission has managed to establish a detailed and precise account of the events that occurred in April and May that resulted in a considerable number of deaths and injuries and extensive material damage.",0
"159","Which will be held on Saturday, November 11, 2006, at 12:20 p.m.",0
"160","In the view of another State, any comprehensive State response to combat extremism must take into account the communities themselves as an integral part of the national security framework.",0
"161","According to the information gathered, given that they exercised overall effective control over military personnel fighting for rebel groups, they were aware of some crimes committed by these military personnel or, at the very least, should have known what was happening but did not do so. nothing to put an end to the atrocities.",1
"162","1. Mahmoud Hussain Rajb, 60 years old",0
"163","- The Third South America - Arab Countries Summit will take place in Lima in 2011.",0
"164","(iii) Increasing the capacity of national authorities in [the affected area], including national police agencies, the judiciary and the prison system, to provide the necessary security to refugees, internally displaced persons, civilians and humanitarian workers, respecting international human rights standards.",0
"165","Also in this case, as in the previous one, any crime committed by said militias would entail not only the criminal responsibility of its material authors, but also the responsibility of the higher authorities of the Sudan if said authorities ordered or planned these crimes or did nothing to stop them. prevent or repress them (responsibility of superiors).",1
"166","Some States have the ability to freeze funds and assets linked to terrorism without delay, although in most cases this is a limited capacity.",1
"167","We were prevented from even condemning the violence and approving a peaceful plan drawn up by Syria&#39;s own neighbors.",0
"168","In March 2004, in the town of Dobo, northern Darfur: &quot;They started burning everything and robbing us.",1
"169","It is not clear who was responsible for this attack.",1
"170",":: The fate of the missing Farhan Ahmad Al-Issa remains unknown.",0
"171","b Number of accumulated claims, as indicated in the Group&#39;s report.",0
"172","On November 20, 2004, the voter registration process began with extensive logistical support mobilized by ONUB, which facilitated the transportation of registration and electoral materials from Bujumbura to the 17 provinces.",0
"173","On 5 September 2011, the Political Parties Registration Commission convened a seminar on legal reform, during which participants reviewed the Commission&#39;s mandate and recommended, among other things, the revision of the Political Parties Law of 2002 in order to grant the Commission legal authority to enforce compliance with the code of conduct of political parties.",0
"174","To be held on Friday, October 11, 2002, at 10:25 a.m.",0
"175","31. Encourages States to request the delisting of individuals whose deaths have been officially confirmed, particularly where no assets have been located, and entities that have been reported or confirmed to have ceased to exist. and, at the same time, to take all reasonable measures to ensure that assets belonging to those persons or entities have not been transferred or distributed or will be transferred or distributed to other persons, groups, companies or entities included in the Al-Qaida sanctions list;",0
"176","1. In 2012, entities associated with Al-Qaida gained ground in northern Mali, triggering a political crisis and international intervention.",1
"177","The States of the subregion are fully aware of the threat posed by terrorist financing and remain alert to the risks derived from it.",1
"178","The changing environment in Afghanistan raises questions about Central Asian groups currently operating in the country, such as Jamaat Ansarullah (not listed), the ethnic Tajik splinter of the Islamic Movement of Uzbekistan (IQM). 10.01).",0
"179","However, this is not an easy task, not least because the national agencies traditionally involved in the fight against terrorism (such as the police, immigration and customs services and intelligence services) are not necessarily the agencies responsible for policies aimed at countering the appeal of extremist and hate-based ideologies.",1
"180","One organization denounced the use of cruel and inhuman methods to kill, for example, two cases of crucifixion.",1
"181","Mr Isaac was armed with a Steyr rifle and at least three other men armed with Steyr rifles or FN-FNC semi-automatic rifles were present.",1
"182","The conditions of the regime were modified by resolutions 1333 (2000) and 1390 (2002), to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al -Qaida.",1
"183","Some reports also indicate that foreigners from Chad, the Libyan Arab Jamahiriya and other States responded to the call and that the Government was more than willing to recruit them.",1
"184","She is a lawyer at the Supreme Court of Pakistan and has spent many years defending human rights, particularly the rights of women, minorities and children.",0
"185","Cross-border trafficking in minerals and diamonds has been central to conflict dynamics in both West Africa and the Great Lakes region for many years.",1
"186","There was also consensus that the electoral college system in its current conception was not a viable option.",0
"187","Argentina, Denmark, Slovakia, France, Greece, Japan, Peru, Russian Federation, Slovakia, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanzania, United States of America",0
"188","Lists of names and the corresponding serial numbers of the weapons delivered were made, but the recipients did not indicate with their signature that they had received them.",1
"189","These policies must take into account the four pillars of the women, peace and security agenda (participation, conflict prevention, protection and relief and recovery) that ensure the inclusion of refugee and internally displaced women in all protection activities. , prevention, participation and relief and recovery.",0
"190","The Under-Secretary-General for Political Affairs reported on the increase in attacks carried out by the Lord&#39;s Resistance Army in 2011 and emphasized the serious impact these attacks had had on the civilian population and the humanitarian situation.",1
"191","In this context, the European Union reminds Israel of its obligation to guarantee full and safe access to humanitarian organizations, including the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA).",0
"192","Guyana does not wish to submit any new names to the Committee for inclusion on the list.",0
"193","The Commission also received reliable information about the murder of another police officer at the hands of a mob in the same area.",1
"194","Police fired tear gas to disperse supporters of both parties, who were throwing stones in the streets.",1
"195","Such efforts, however, have not yet borne fruit.",0
"196","The Mitsubishi Canter truck, which was used to transport the bomb, entered Lebanon from Syria via the Bekaa border, using a lane reserved for military traffic, on January 21, 2005, at 1:20 p.m. It was driven by a Syrian colonel from the tenth division of the army.",1
"197","However, since the crime was not the work of isolated individuals but rather of a sophisticated group, there is every reason to believe that fraud, corruption and money laundering could be other motives for the various individuals who participated in the operation. .",1
"198","Tanks, armored personnel carriers and rocket launchers were previously deployed in certain areas of Abidjan.",1
"199","Given that translation is a requirement for the consideration of the comprehensive report, it is clear that this system poses a serious and direct threat to the independence of the Ombudsman.",0
"200","According to the Syrian Network for Human Rights, the Syrian regime killed six media activists in November, one of them due to torture in a Syrian regime detention center, and injured five others.",1
"201","Morocco acceded to that Convention on December 28, 1995.",0
"202","Furthermore, between September 27, 2003 and May 2004, seven villages near Nyala were repeatedly attacked by the Janjaweed.",1
"203","He added that he was encouraged by the renewed determination of the countries of the subregion to collaborate to address these threats.",0
"204","The Security Council extended the partial suspension of the arms embargo for the development of the security forces of the Federal Government of Somalia on two occasions: in resolution 2142 (2014) for six months and in resolution 2182 (2014) until 30 October 2015.",1
"205","In this resolution, the Security Council also requested that I establish the design of the medal and present to it in due course the modalities for determining how the recipients would be nominated and chosen based on the criteria outlined in the resolution.",0
"206","Whatever the reason, if the attackers&#39; intention had been to annihilate the group, they would not have spared the life of one of the brothers.",1
"207","8. Sections 3 a) and 3 b):",0
"208",":: Murder (articles 392, 393 and 394 of the Penal Code);",0
"209","That the Janjaweed overwhelmed the police is a trend that began before the current crisis broke out and can be inferred from information provided by the Government itself.",1
"210","The Security Council urges the Government of the Democratic Republic of the Congo and the Government of Rwanda to respond without further delay to the efforts made by MONUC within the framework of its current mandate to establish, as soon as possible, a joint verification mechanism intended to guarantee their common security, in particular to verify cross-border movements.",0
"211","Within this vision, MINUSTAH has an essential role to play.",0
"212","Council members also expressed their hope that the Ethiopian authorities would soon follow up on the Hague meeting, with a view to establishing modalities for rapid implementation of the decision on the delimitation of the border.",0
"213","However, in many areas of the country there is neither detention capacity nor functioning courts, forcing law enforcement authorities to release suspected dangerous criminals, or to ask law enforcement MONUC to intern suspects for security reasons and to protect civilians.",1
"214","Furthermore, paragraph 7 of article 78 of the Banking Law must be mentioned in this context.",0
"215","The session opens at 11:25 am.",0
"216","Mr. Apakan added that the OSCE had yet to observe the withdrawal of heavy weapons from the line of control.",1
"217","The CPN-Maoist has often specifically targeted girls and has managed to recruit large numbers, many of whom have joined in order to escape traditional restrictions.",1
"218","The main criteria for drawing down MONUSCO should be to reduce the threat to civilians from Congolese and foreign armed groups, establish stronger and more accountable state institutions, and strengthen democratic practices to reduce the risk of instability.",0
"219","Regarding the condition that an attack must be &quot;systematic&quot;, it requires that the acts be organized and are not likely to occur at random.",1
"220",":: March 14, 2005: A counter-demonstration organized by Christians and Sunnis demands the withdrawal of Syrian troops and the arrest of the head of the security and intelligence services.",0
"221","These seven vessels have been registered and are operated by seven different companies, each of which operates a single vessel of its own.",0
"222","Council members held a general exchange of views on various issues, including the situation in the West Bank and Gaza Strip, including the urgent need to rebuild and reform the infrastructure of the Palestinian Authority with strong support from donors, the situation on both sides of the Blue Line, and the various diplomatic efforts underway, including preparations to convene an international conference on the Middle East.",0
"223","The Executive Directorate will assist the Committee in launching discussions to explore the technical assistance needs of States in the implementation of resolution 1624 (2005) and facilitate the provision of such assistance, as appropriate.",0
"224","Al-Qaida in the Islamic Maghreb (AQIM) (QE.T.14.01) has greatly developed its expertise in kidnapping for ransom.",1
"225","3. Calls upon all States to continue international efforts aimed at promoting dialogue and improving understanding among civilizations, in an attempt to prevent indiscriminate attacks against different religions and cultures, and to take all necessary measures. necessary and appropriate and in accordance with their obligations under international law to combat incitement to commit acts of terrorism based on extremism and intolerance and to prevent the subversion of educational, cultural and religious institutions by terrorists and those who support them;",0
"226","45. The situation in Guinea-Bissau (November 6, 1998; October 19, 2007).",0
"227","76. All parties to the conflict (the Government of the Sudan, SLMA and JEM) have recognized that it is an internal armed conflict.",1
"228","g) The Chief of the Defense Force cannot be held responsible for the fact that F-FDTL soldiers shot at PNTL officers after the ceasefire on May 25;",1
"229","Prosecution at the International Criminal Court of those allegedly responsible for the most serious crimes in Darfur would contribute to the restoration of peace in the region.",1
"230","At the third tripartite meeting between Angola, the Democratic Republic of the Congo and UNHCR, held in Luanda on 28 and 29 March, it was agreed to establish a working group to deal with the return of some 80,000 Angolan refugees in the Democratic Republic of the Congo.",0
"231","1. A total volumetric capacity of 110 at most; and",0
"232","The situation in Sierra Leone (see S/1995/40/Add.47; S/1996/15/Add.6, 11 and 48; S/1997/40/Add.21, 27, 31, 40 and 45; S /1998/44/Add.8, 11, 15, 20, 22, 28 and 50; Add.5, 10, 17, 18, 19, 24, 26, 28, 30 and 32)",0
"233","Which will be held on Wednesday, November 23, 2005, at 12:00 p.m.",0
"234","bb) Other functions determined by the Committee.",0
"235","In the Bakool region, also in central Somalia, clashes that occurred on June 10 and 11 between militiamen from the Hadamo and Ogaden clans in the El-Barde area left at least four dead and ten injured. On July 15, at least 16 people were killed and another 20 injured in fighting between rival militias over control of land and grazing rights in the same area.",1
