"es_en_GOOGLE"	"VerConf"
"Aqeel Al-Aquil filed suit on May 11, 2005 in federal court in the District of Columbia against officials of the United States Departments of Justice, State, and Treasury, alleging that his designation as a terrorist by the United States Government on June 2, 2004 violated his rights under the United States Constitution. Al-Aquil, a resident and citizen of Saudi Arabia, was the president of Al-Haramain Islamic Foundation, which was based in Saudi Arabia until it was closed by Saudi authorities in 2004. On July 6, 2004, the United The United Nations listed him under his last name, Al-Aquil, along with various Al-Haramain offices in Afghanistan, Albania, Bangladesh, Ethiopia and the Netherlands (the United Nations had listed other Al-Haramain offices before that inclusion and did the same with other offices later)."	1
"The impunity of these high-ranking officials is unacceptable and prevents communities emerging from a conflict from recovering in a sustainable way."	1
"This Council must not allow this strategy to be rewarded by considering the response to terrorism instead of terrorism itself. Terrorism must be rejected, not appeased."	1
"276. According to the claimant, work on the building was suspended after Iraq&#39;s invasion and occupation of Kuwait and did not resume until Kuwait was liberated."	0
"However, the security situation remains of real concern to all, despite a decrease in security-related incidents in December 2011 and January 2012 compared to the two-month period covered by last year&#39;s report."	1
"For a month and a half, Haitian authorities have been making preliminary attempts to address issues relating to the administration of justice and detentions."	1
"The Mission acquired specialized equipment (armored ambulances, vehicles with anti-mine protection and medical equipment); trained 3,063 personnel in the prevention and mitigation of the effects of attacks with improvised explosive devices and 1,481 personnel in first aid, presented orientation activities for the two companies of the Mission in charge of the disposal of explosive munitions with little experience in asymmetric environments and created capacity in this regard (three weapons identification teams are already operational)."	0
"The Congolese Government has indicated that it will remain firm regarding the January 2, 2015 deadline."	1
"b) A new subsection ii) will be added to paragraph B that reads the following:"	0
"Welcoming further the Secretary-General&#39;s appointment of the former President of Ireland, Mrs. Mary Robinson, as his Special Envoy for the Great Lakes Region,"	0
"15. Mohammed Gazai Saad Ali Al-Mutairi"	0
"1. Condemns in the strongest terms all acts of terrorism, whatever their motivation and whenever and by whomever they are committed, which constitute one of the most serious threats to peace and security;"	1
"Palestinians must end public incitement to violence and do everything possible to prevent militants from attacking Israel, thereby provoking a reaction."	1
"The review process has resulted in the confirmation of the permanence on the List of any person who, although not on the List for this reason alone, is known primarily to play a role in the ideological justification of violence related to Al- Qaida to new recruits or to a broader audience. This occurs despite the fact that sanctions in themselves have little impact on the main instrument of these people, namely; the ability to communicate and persuade using the Internet."	1
"The Group investigated the supply of such vehicles to northern CÃ´te d&#39;Ivoire but encountered the difficulty that it was unable to carry out a thorough inspection of FN vehicles, although it managed to photograph several of them in a military convoy in Bouake ."	0
"Civil defense vehicles, firefighters and the Red Cross quickly headed to the scene and began to put out the fire, gather the bodies and take the injured to the hospital."	0
"In its tenth report, the Team recommended that in order to increase the accuracy of the List and the impact of listing on it, in future contact with the State of residence in the context of the review, the Committee request all available information on the whereabouts of the persons or entities, their circumstances and activities, as well as a report on any other measures taken to prevent them from supporting terrorist activities (S/2009/502, para. 24)."	0
"We cannot fail to express our concern at the worsening security situation in regions that previously enjoyed relative calm."	1
"These generator sets came from areas with access to the main source of electricity."	0
"Demands that parties to the conflict immediately take appropriate measures to protect civilians, especially women and children, from all forms of sexual violence, in accordance with resolution 1820 (2008)."	1
"International partners and human rights defenders unanimously condemned the Government&#39;s decision to expel the Director of the United Nations Joint Human Rights Office following the publication of the human rights report on violations allegedly committed by the police in Operation Likofi."	1
"The Team reminds States that, contrary to what the High-level Panel on Threats, Challenges and Change and others imply, the Committee long ago established criteria for including or excluding names from the list."	1
"The Council did not reach any concrete conclusion."	0
"The United Nations has begun planning a technical meeting on capacity-building in Southern Sudan to coordinate its approach."	0
"It is generally agreed that the intensification of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, that is, the SLM/A and the JEM."	0
"1. Responsibility of the bodies of banking entities and obligation to report"	0
"They expressed the hope of hosting East Timor in the United Nations."	0
"The Council recalls the importance it attaches to ending impunity and providing justice for crimes committed in Darfur."	1
"Underlining that the harboring of terrorists remains a matter of considerable concern and that all Member States must cooperate fully in the fight against terrorism in order to locate, deny harboring and bring to justice, in accordance with the principle of extradition or prosecution, to anyone who supports, facilitates, participates or attempts to participate in the financing, planning, preparation or commission of terrorist acts or who harbors their perpetrators,"	0
"Almost two years after the last briefing on the situation in the Great Lakes region (the areas affected by the Lord&#39;s Resistance Army), the Council held a closed session on 21 July 2011 to review the persistent threat represented the Lord&#39;s Resistance Army for regional security."	1
"d) in sections a), b) and c):"	0
"First, GPIC calculated a &quot;planned&quot; level of methanol production of 26,774 Mt, applying an average daily production of 1,217 Mt of methanol multiplied by 22 days of carbon dioxide starvation."	0
"Security sector reform remains one of the main challenges for long-term peace and stability."	1
"Several States have criminalized recruitment for the purposes of terrorist acts."	1
"a) Chaos reigned at the scene not only during the first hours after the explosion, when the priority was to put out the fire, save the injured and locate the missing, but unfortunately and unnecessarily for much longer. ;"	0
"4. Qadhafi, Muammar Mohammed Abu Minyar"	0
"Audit certificates were to be submitted by the officials responsible for auditing the public accounts of the relevant Member States."	0
"I expressed the deep concern of this Council and the Secretary-General at the recent rise in tensions between the north and the south, as well as the continued lack of progress on Abyei and other post-Comprehensive Peace Agreement issues."	1
"To date, this strategy has produced good results."	0
"On March 17, the G7 published a memorandum formulating complaints against the President of the Republic and listing the obstacles and difficulties that needed to be overcome to advance the peace process."	1
"United Nations human rights mechanisms have expressed concern about special anti-terrorism provisions that limit certain rights in some States and which, in turn, could create difficulties for the implementation of international agreements on legal assistance and extradition. ."	1
"The Assistant Secretary-General also noted that ISIL and all other parties to the conflict were killing and wounding people and destroying villages, towns and cities with impunity."	0
"S/RES/1923 (2010), para. 4 of the preamble"	0
"d) Convention on the Physical Protection of Nuclear Materials;"	0
"Different factions of the Jantantrik Terai Mukti Morcha, the Madhesi Liberation Tigers (Madhesi Mukti) and other armed groups have engaged in kidnappings, murders, extortion and intimidation."	0
"III. LEGAL FRAMEWORK 15 - 41 9"	0
"The Royal Moroccan Army also indicated that its efforts had been hampered by a shortage of resources and a lack of available information on mine-infested areas."	1
"The disarmament and arrest of the perpetrators of violent acts is the Council&#39;s most important demand and the clearest case of failure by the Government to fulfill its responsibilities."	1
"Council members expressed deep concern about the crimes that continued to be committed in Libya."	1
"In this regard, I received a letter dated December 6, 2007 from the Permanent Representative of Morocco to the United Nations (S/2007/714) and another dated December 12, 2007 from the Minister of Foreign Affairs and Cooperation of Morocco (S /2007/731, annex) in which they denounced violations of the terms of the military agreements negotiated in 1991."	1
"The fruit terminal at the port of Abidjan is evidently a strategic location for the unloading of military items and equipment and UNOCI must intensify its surveillance tasks there."	1
"Likewise, we are also concerned about the situation faced by those who today collaborate in the reconstruction of the country."	1
"While air piracy off the coast of Somalia remains a serious problem, we ask the international community not to forget that the solution must be found on land, not at sea. The comprehensive resolution of the Somali conflict must address all the root causes of piracy and other problems, including the exploitation of marine resources and the dumping of toxic waste."	1
"For our part, we consider that the issue of legitimacy is directly related to the holding of the elections, preparations for which are underway in the Joint Electoral Management Body."	1
"It also highlighted differences in the way the threat is perceived, even between neighboring countries."	1
"More than 60% of school-age children do not have access to school."	0
"The international community has them under real pressure and any attempt at two-way communication endangers their safety."	1
"Chad, the Central African Republic and the subregion"	0
"To camouflage these events, they sometimes wear military uniforms in order to convey the erroneous perception that the official military component is responsible for this violence."	1
"12. Reiterates its appreciation to the African Union partners already supporting MISCA, notably the United States of America, France and the European Union (EU), notes with appreciation the technical support provided by the United Nations in accordance with the paragraph 37 of Security Council resolution 2127 (2013) of 5 December 2013, as well as the contributions made by Canada and Luxembourg to the trust fund established by the Secretary-General of the United Nations pursuant to paragraph 43 of the mentioned resolution, and the pledges made by Japan and the United Kingdom of Great Britain and Northern Ireland."	0
"The criteria used to include a person or entity on the list are set out in paragraphs 2 and 3 of resolution 2160 (2014) and refer to being associated with the Taliban and constituting a threat to peace, stability and security. security of Afghanistan."	1
"4. Details of the shipment itinerary (shipping location, transit points and delivery location)."	0
"In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia, to re-establish, within 30 days of the date of adoption the resolution and for a period of six months, the Monitoring Group referred to in paragraph 3 of resolution 1558 (2004), with the mandate established in paragraph 3 (a) to (i) of resolution 1630 ( 2005)."	0
"The Security Council also expresses concern about rising tensions in the Ituri region and calls on all parties to exercise restraint."	1
"In reality, the lack of precision has meant that only 309 of the 488 names on the List were subject to special notifications from INTERPOL and the United Nations Security Council, which are the fundamental instruments for disseminating information about persons included in the List. the List to law enforcement agencies; now that number has risen to 361 and is likely to rise."	1
"Although the Commission rules out that at the meeting of May 8 the former Prime Minister gave instructions to Rai Los to &quot;eliminate&quot; his political opponents, it is convinced, on the basis of all the information before it, that there is a suspicion reasonable that the former Prime Minister was at least aware of the PNTL&#39;s distribution of weapons to civilians."	1
"Once again, we condemn the killing of civilians, whether Palestinians or Israelis."	1
"There was also news of new desertions of former integrated CNDP elements, as well as refusals of integrated armed group elements to accept the redeployment."	0
"At headquarters, the agitated intervention of the Minister of the Interior, including the fact that he had removed a weapon from the warehouse, would have contributed to creating a climate of panic."	1
"On the day of the explosion, 10 people were questioned and during the following two months about 40 people were questioned."	0
"The Haqqani Network (TE.H.12.12) continues to be directly involved in terrorist attacks in Afghanistan."	0
":: The prohibition of the use of violence in the form of attacks on life and physical integrity, in particular homicide, mutilation, cruel treatment and torture, forced disappearances, outrages to the dignity of the person, and rape, sexual slavery, forced prostitution, forced pregnancies, forced sterilization and any other form of sexual violence."	1
"Of the cases reviewed so far, 29% have been substantiated, bringing the total number of names registered in the civil registry to well over 930,000."	0
"Reiterating its deep concern about the threat of terrorism and the risk that non-state actors may acquire, develop or use nuclear, chemical and biological weapons and their delivery systems or traffic in them,"	1
"Descriptions of the indicators and special considerations are presented in the annex."	0
"They have undertaken all these actions, and then they ask for protection and guarantees and use these arguments to continue extorting us and obtain more concessions from us."	1
"In this regard, the Council commends the efforts made to date by the Central African Republic, the Democratic Republic of the Congo, the Republic of South Sudan and Uganda to end the threat posed by the LRA, and urges these countries, as well like other countries in the region, to not give up in that effort."	0
"The evidence indicates that these costs were incurred in August and September 1990."	0
"France strongly condemns this attack and calls on all parties to exercise utmost restraint."	1
"The Security Council expresses serious concern that the continued instability and growing security vacuum in the Central African Republic continue to negatively affect operations against the LRA and contribute to strengthening the LRA in the country."	1
"Last Sunday, on the occasion of the twenty-first anniversary of the creation of Hamas, the leader of that organization Haniyeh conditioned President Abbas&#39;s permanence in office on the solution of the internal division."	1
"The threat to security and stability in Afghanistan posed by terrorists, criminals and those involved in illicit drug trafficking is real and must be constantly addressed."	1
"Safe, voluntary and dignified return and reintegration Calls upon all stakeholders to ensure that all peace processes and agreements and all post-conflict recovery and reconstruction planning take into account the needs of women and children and include concrete measures for the protection of civilians, including... iii) the creation of conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons."	0
"ii) Change in balance, in the case of deposit and customer accounts;"	0
"The RPA continued to bomb and attack these UPDF positions to no avail and destroyed the power station on the Tshopo River from tactical bases it had established in densely populated civilian areas."	0
"Mr. Beyani also called on the Council not to lose sight of the important role that displaced women could play in negotiating peace, ensuring their human rights and achieving development in post-conflict situations."	0
"Mr. Pascoe now has the floor."	0
"The Security Council remains seriously concerned about the activities in the Sahel region of terrorist organizations, including Al-Qaida in the Islamic Maghreb and the Movement for Unity and Jihad in West Africa, and reiterates its strong condemnation of the recent attacks terrorists perpetrated in the region."	1
"The next payment is scheduled for January 26, 2012."	0
"It will be recalled that in its letter dated 28 February 2012 (S/2012/126), the Government of Eritrea urged the Security Council to assume its responsibilities and take appropriate measures against the numerous unlawful acts of aggression and occupation."	1
"Reiterates its demand that all parties to armed conflict put an end completely and with immediate effect to all acts of sexual violence, and its call for those parties to make and implement concrete and time-bound commitments to combat sexual violence, which must be include, among other things, the provision of clear orders through chains of command prohibiting sexual violence, and accountability for failure to comply with those orders, the prohibition of sexual violence in codes of conduct and manuals of the military and police forces or their equivalent, and to make and fulfill specific commitments regarding the timely investigation of alleged abuses; further calls upon all relevant parties to armed conflicts to cooperate, within the framework of these commitments, with the appropriate staff of United Nations missions monitoring their implementation; and calls upon the parties to designate, as appropriate, a high-level representative to ensure compliance with such commitments;"	1
"Four States have expressly implemented measures to repress the recruitment of terrorists."	0
"He also reiterated the Secretary-General&#39;s condemnation of all use of chemical weapons by any party to the Syrian conflict and his call for those responsible for their use to be brought to justice."	1
"As occurred with the issue of links between drug trafficking and terrorism, the issue of piracy came to appear on the Council&#39;s agenda through the conflict situations that were included in it, among which African situations stand out, particularly Somalia and the Gulf of Guinea."	0
"12. You decide to continue addressing the issue."	0
"The President of the Security Council, in his letter inviting non-member States to participate in the wrap-up session, had encouraged all speakers to present frank and focused assessments of the Council&#39;s role in addressing any of the mentioned above, or all of them, so that all interventions could serve as a useful guide for the future work of the Council."	0
"This is an international obligation that States must comply with to help ensure justice is done for the victims of these painful events."	1
"The Republic of South Sudan is extremely concerned about the deterioration of security in the border areas of the Republic of the Sudan and the Republic of South Sudan."	1
"The Under-Secretary-General further reported that acts of violence and human rights abuses continued on a daily basis, including the use of torture, murder, rape and enslavement by ISIL, punishments and attacks against civil services by opposition groups, including groups designated as terrorists, and air strikes, including barrel bombs, carried out by the Government against civilian areas, internally displaced persons camps and civilian facilities."	0
"In other words, the National Commission was fully aware of the serious allegations of crimes committed in Darfur."	1
"I also take this opportunity to highlight my concern about the issues surrounding the federal and gubernatorial elections to be held in Nigeria in February 2015, and the serious risks of violence resulting from attacks by Boko Haram or challenges to the election results."	1
"Noting once again with deep concern the continued hostilities by foreign militias and armed groups in the eastern part of the Democratic Republic of the Congo and the threat that these hostilities pose to the holding of elections in the Democratic Republic of the Congo,"	1
"The Commission found that, while all parties involved in the conflict have committed crimes against civilians, the Government of the Sudan and the Janjaweed are responsible for an overwhelming majority of civilian killings during the Darfur conflict."	1
"Losses that fall outside this classification have been grouped separately and are discussed in a final subsection."	0
"Unfortunately, the current Palestinian leaders have demonstrated that they are as incapable of being peacemakers as they are of offering their people reform and democratic government."	1
"At the same time, one of the issues that continues to provoke the most intense debates in the subregion is ensuring that counter-terrorism measures respect human rights obligations."	1
"We condemn all acts of terrorism perpetrated in Afghanistan, especially the most recent one that took place at the Indian Embassy in Kabul, and express our condolences to the governments and people of the affected countries, as well as to the families of the victims."	1
"The relationship between Al-Qaida and the Taliban appears to be close. In his video message of September 19, 2007, Al-Zawahiri* again referred to Mullah Omar (TI.O.4.01) as supreme leader, and although the Taliban can always recruit more soldiers, they do not have experienced commanders to replace to the many who have been killed, and have turned to Al-Qaida, not only for training, but also to cover casualties."	0
"2. The situation in the Middle East"	0
"Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts,"	1
"At the same time, it is imperative that all Somali parties, especially the transitional federal institutions, honor their promises to resolve the enormous political, economic and security challenges before them."	1
"They also called on the Forces Nouvelles to begin as soon as possible, before 15 October, and without preconditions, the demobilization, disarmament and reintegration process they agreed to in Accra, and stressed that all paramilitary and militia groups too They had to be disarmed."	0
"The Organization of Islamic Cooperation calls for an end to the Israeli military occupation of Palestinian territory, including East Jerusalem, and to the unlawful actions of the occupying Power that have claimed the lives of thousands of civilians, caused massive destruction and worsened socio-economic and humanitarian hardships of the Palestinian people in contravention of international law, in particular humanitarian law and human rights law."	1
"These standards may be related to a) the extension and orientation to the private sector; b) supervision of charitable organizations; c) enforcement measures to ensure that charitable organizations comply with anti-money laundering and anti-terrorist financing requirements; and d) international commitment. E. Non-financial businesses and professions"	0
"When considering the evolution of the risk of incitement, it should be kept in mind that the media and forms of communication have evolved substantially since the adoption of resolution 1624 (2005)."	1
"The Government of National Reconciliation is expected to cover about 30% of the costs, the World Bank is considering providing an $80 million loan, and other donors will also provide funds."	0
"Consequently, arrangements are being made to send the equipment."	0
"To improve the situation, it is necessary to implement the law -- especially the law on the elimination of violence against women -- that criminalizes and penalizes violent practices that harm women and girls."	1
"Its creation has responded to complaints of violations of international human rights standards and international humanitarian law in conflict situations and in situations of high levels of violence, frequently (although not exclusively) related to electoral or political processes in which have produced serious violations of human rights."	1
"We have reason to be confident that these groups will not succeed in undermining the electoral process at the national level."	1
"Consequently, the international community must take whatever measures are necessary to prevent Israel from persisting in the deplorable destructive policy it has undertaken in Gaza, and must emphasize its rejection of all such Israeli practices, which violate international law and international humanitarian law. ."	1
"The village was attacked at around 4:00 am."	0
"The Prosecutor regretted that the security situation in Libya had worsened, that political instability had increased and that, as a consequence, the prevailing climate was not conducive to closing the impunity gap in the country."	1
"1.6 Between 1901 and 1965, the Cook Islands were a non-self-governing territory of New Zealand."	0
"The Council highlights the need to improve cross-border coordination and information exchange between these missions and between the rest of the actors in the region, in order to more effectively anticipate the movements of the LRA and its imminent threats of attack."	0
"Possible risks to bringing non-signatory parties to the negotiating table include the parties insisting on unrealistic preconditions for negotiations. Another risk is the intransigence of the parties regarding and during the negotiations. Such risks can be mitigated by establishing unified positions in the international community on the peace process and maintaining close dialogue with the parties. Another risk is that regional or international partners will establish parallel initiatives on the peace process that weaken this element of the framework."	1
"I. Mission mandate"	0
"33. He decides to continue pursuing the issue."	0
"The Security Council insists that RCD-Goma will be held responsible for any extrajudicial executions, including of members of civil society or people held in the DRC detention centers in Kisangani."	1
"Romania (Ambassador Gheorghe Dumitru)"	0
"However, they did not operate in some sensitive points on the Blue Line, such as the Ghajar area."	0
"We know that conflict situations are usually characterized by the breakdown of public order."	0
"The economic and social life of the country is disorganized and, in short, Côte d&#39;Ivoire lives in slow motion."	0
"Rogerio Lobato was proposed for the position of Secretary of State for Defense, but he declined the position after General Taur Matan Ruak threatened to abandon the defense force. Roque Rodrigues was appointed."	1
"However, we strongly request that greater efforts be made in monitoring information collected from Member States as part of counter-terrorism efforts."	1
"I urge Hamas to respond positively to these calls."	1
"32. The situation in Burundi (October 25, 1993; August 26, 2008)."	0
":: The amendment to Decree Law No. 2 of 1989 on savings deposits refers to the abolition of anonymous savings books;"	0
"Notably, other senior Lebanese representatives, such as former Prime Minister Najib Miqati, have stated that &quot;there should be no weapons inside or outside the camps.&quot;"	1
"In order for potential applicants to clearly understand this process and know what actions will be taken, and to ensure uniform application, practices and procedures have been developed and information on them has been disseminated to more concretely explain the process."	0
"The Monitoring Group is convinced that these people use the income obtained in this way to maintain their militias and purchase weapons."	0
"(Summit Resolution 22/503, approved on March 28, 2010)"	0
"Today we have no doubt that the true intention was to prevent the details of his vandalism from being made public while acting under the orders of the Central Intelligence Agency."	1
"Uganda does not support the Congolese militias, as stated by the Permanent Representative of the Democratic Republic of the Congo."	1
"Welcoming the efforts of the Burundian authorities to combat impunity, in particular the trials and convictions of some of the perpetrators of the Muyinga massacre,"	1
"9. The Al-Haramain Foundation (United States of America), a listed entity, (QE.A.117.04) has filed a new lawsuit against the Government in the Federal District Court of Oregon, in addition to a previously filed lawsuit that remains pending in the United States. Al-Haramain claims that the United States&#39; decision to impose sanctions against him was arbitrary, was not supported by substantial evidence, and violated his right to due process (as it did not explain the factual basis of the Government&#39;s action and used evidence confidential information not submitted to the organization), their right to be free from improper searches and seizures (based on the freezing of their assets) and their rights to freedom of expression, association and religion. Al-Haramain also claims that the Government&#39;s refusal to allow him to use frozen assets to pay his lawyers constituted a violation of his right to due process."	1
"Welcoming and supporting the steps taken to conclude treaties on nuclear-weapon-free zones and reaffirming the conviction that the creation of internationally recognized nuclear-weapon-free zones on the basis of freely agreed agreements between States of each affected region, and in accordance with the 1999 guidelines of the United Nations Disarmament Commission, promotes global and regional peace and security, strengthens the nuclear non-proliferation regime and contributes to the achievement of nuclear disarmament goals,"	0
"Ambassador Jean-Marc de la Sabliere (France)"	0
"We face a situation that requires urgent measures."	0
"The disarmament of militias is a priority issue, especially in the period preceding an electoral campaign, given the potential for politically motivated violence to break out."	1
