"en_es_GOOGLE"	"MatCoop"
"Las conclusiones del informe se basan en una recopilación de relatos de primera mano de víctimas y testigos."	1
"El 18 de julio de 2011, el Consejo celebró una reunión privada con los países que aportan contingentes y policías a la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID)."	1
"47. No ha habido ningún cambio notable en el estado operacional y las capacidades de Hizbollah, que, según sus propios dirigentes, tiene más de 12.000 misiles a su disposición."	0
"La Ley Penal del Sudán y la Ley de Procedimiento Penal no contienen disposiciones sustantivas y procesales que puedan aplicarse a la situación especial de los crímenes cometidos durante un conflicto armado."	0
"A. Fecha de la pérdida 208 - 213 54"	0
"13. La situación en Sierra Leona (27 de noviembre de 1995; 30 de noviembre de 2012)."	0
"Esto se debe a la probabilidad de que no exista mercado para un solo componente, sino sólo para la planta en su conjunto."	0
"h) Proporcionar al Consejo, por conducto del Comité, una sesión informativa de mitad de período dentro de los 90 días siguientes a su establecimiento;"	0
"No cabe duda de que hemos subestimado los desafíos humanitarios en el Afganistán. John Holmes abordará esto con mayor detalle."	0
"Estos incluyen el derecho a la vida; la prohibición de la tortura o penas crueles, inhumanas o degradantes; la prohibición de la esclavitud, la trata de esclavos y la servidumbre; y la libertad de pensamiento, de conciencia y de religión."	1
"b) Pérdidas en los lugares de los proyectos 235 - 238"	0
"Para seguir informando al Consejo de Seguridad y a los posibles socios bilaterales sobre la amenaza a la seguridad en la región de Vakaga, he desplegado un equipo para que lleve a cabo un examen del entorno de seguridad predominante y una evaluación de las amenazas, y compartiré sus principales conclusiones con el Consejo de Seguridad. Concejo."	1
"o El 30 de noviembre de 2014, aviones de combate del régimen lanzaron un misil contra una calle comercial en la aldea de Hatla, Deir ez-Zor, matando a 12 personas, entre ellas cinco niños y cuatro mujeres, e hiriendo a otras 11; 6 comercios y 3 viviendas quedaron destruidos."	0
"&quot;El Consejo de Seguridad reafirma su pleno apoyo a los esfuerzos de las Naciones Unidas, en particular las actividades de la Misión Especial de las Naciones Unidas en el Afganistán (UNSMA) y las del Enviado Especial del Secretario General para el Afganistán, para facilitar el proceso político hacia los objetivos de la reconciliación nacional y una solución política duradera con la participación de todas las partes en el conflicto y todos los sectores de la sociedad afgana, y reitera su posición de que las Naciones Unidas deben seguir desempeñando su papel central e imparcial en los esfuerzos internacionales encaminados a lograr una paz pacífica. resolución del conflicto afgano."	1
"Que se celebrará el miércoles 16 de enero de 2008, a las 15.00 horas"	0
"En consecuencia, los observadores señalaron la necesidad de capacitar a abogados y personal judicial y encargado de hacer cumplir la ley, así como la importancia de establecer garantías creíbles de independencia frente a las presiones e intimidaciones que podrían ejercer los miembros de clanes y comunidades étnicas."	1
"131. Los Estados de Asia central han fortalecido las medidas de aplicación de la ley desde el estudio anterior mediante una mayor cooperación interinstitucional y el intercambio de información y el establecimiento y utilización de bases de datos penales y de otro tipo, tanto a nivel nacional como internacional, en apoyo de las actividades de lucha contra el terrorismo de las fuerzas del orden."	1
"También se recopilarían y analizarían otros materiales de antecedentes para identificar las cuestiones que contribuyeron a la crisis. Luego, la Comisión verificaría la veracidad de la información contenida en estos materiales e informes, así como establecería otros hechos, entrevistando a testigos, funcionarios y otras personas que ocupan posiciones de autoridad, así como a personas bajo custodia policial o detenidas en prisión, y mediante visitar lugares donde presuntamente se perpetraron delitos u otros incidentes tuvieron lugar."	1
"A los efectos de lo anterior, la residencia en un país nórdico por un período agregado no inferior a 7 años equivale a la residencia en Dinamarca."	0
"2. Exhorta a todos los Estados a que cooperen, entre otras cosas, para fortalecer la seguridad de sus fronteras internacionales, incluso combatiendo los documentos de viaje fraudulentos y, en la medida de lo posible, mejorando los procedimientos de detección de terroristas y de seguridad de los pasajeros con miras a impedir que los culpables de la conducta prevista en el párrafo 1 (a) entren en su territorio;"	0
"Como resultado de esta violación, la víctima quedó embarazada y luego dio a luz a un niño."	0
"En zonas de crisis y en situaciones posteriores a conflictos, las soluciones a la circulación excesiva de armas pequeñas deben centrarse, además de las medidas básicas de reducción y control, en medios de vida alternativos y sostenibles, teniendo en cuenta al mismo tiempo los factores de género y edad."	1
"29. Sólo dos Estados han tipificado como delito la financiación del terrorismo, pero otros dos han introducido algunas disposiciones jurídicas para abordar la cuestión."	1
"Los garantes internacionales de la seguridad de Timor-Leste, la Fuerza Internacional de Estabilización (FSI) y la UNMIT, ya no enfrentan los mismos desafíos que enfrentaron hace dos o tres años."	0
"La policía comunitaria desempeña un papel importante (por ejemplo, en un Estado visitado, el Gobierno utiliza teléfonos móviles &quot;inteligentes&quot; para notificar al público acerca de acontecimientos importantes y publica información policial en un servicio de red social basado en Internet)."	0
"11. Durante el período que abarca el informe, las fuerzas armadas de la entidad han llevado a cabo actividades normales de entrenamiento, de conformidad con las disposiciones militares del Acuerdo de Paz de Dayton."	1
"Por lo tanto, se ocupa en gran medida de aspectos de los contextos sociales que pueden favorecer la propagación del terrorismo."	0
"La Notificación Especial elaborada por INTERPOL y el Comité establecido en virtud de la resolución 1267 (1999) en respuesta a la resolución 1617 (2005) del Consejo de Seguridad es una base sólida para explorar una mayor cooperación práctica entre las dos organizaciones en relación con otros embargos de armas."	1
"Comunicado de prensa emitido por el Gobierno de Eritrea el"	0
"13. La Dirección Ejecutiva del Comité contra el Terrorismo seguirá fortaleciendo su función de facilitar asistencia técnica para la aplicación de la resolución 1373 (2001) encaminada a aumentar la capacidad de los Estados Miembros y las regiones en la lucha contra el terrorismo atendiendo a sus necesidades en materia de lucha contra el terrorismo. , en estrecha cooperación con el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, otros órganos de las Naciones Unidas y proveedores de asistencia bilateral y multilateral, y seguirá adoptando un enfoque centrado y regional para esta labor."	1
"El Consejo de nivel ministerial de la Liga de los Estados Árabes,"	0
"Sin embargo, esto no debería restar valor a la plena aplicación de la resolución 1559 (2004) y de todas las demás resoluciones del Consejo de Seguridad relativas al Líbano, que siguen siendo la mejor manera de garantizar la prosperidad y la estabilidad a largo plazo del Líbano como Estado democrático."	1
"Los recursos procederán, en particular, de:"	0
":: Costo de consumibles y materiales operativos;"	0
"Se identificaron claramente restos de cohetes disparados desde helicópteros."	0
"Tomando nota de la liberación por el Frente POLISARIO el 18 de agosto de 2005 de los 404 prisioneros de guerra marroquíes restantes, de conformidad con el derecho internacional humanitario, y pidiendo a las partes que sigan cooperando con el Comité Internacional de la Cruz Roja para resolver la suerte de las personas que están desaparecido desde el comienzo del conflicto,"	1
"F. Control de la transferencia intangible de tecnología"	0
"11. También durante esas consultas oficiosas, dos representantes de la Misión de Estabilización de las Naciones Unidas en la República Democrática del Congo informaron al Comité por videoconferencia sobre el mandato de vigilancia de las sanciones de la Misión y, en particular, el rastreo y marcado de armas, de conformidad con una solicitud por el Comité."	1
"Cualquier cuestión abierta, no resuelta o que surja recientemente relacionada con la revisión del mandato se abordaría más a fondo en el Consejo a través de un mecanismo apropiado."	0
"Posteriormente se retiraron todos los cargos y fue oficialmente liberado del Tatmadaw Kyi."	0
"Casi todos los Estados tipifican como delito el uso de sus territorios para cometer o preparar actos terroristas contra ciudadanos, instalaciones y representantes diplomáticos de otros Estados."	1
"El Consejo insta a la MONUSCO, la BINUCA, la UNMISS y otros actores de las Naciones Unidas en la región afectada por el LRA a continuar trabajando con las fuerzas regionales y las organizaciones no gubernamentales para promover las deserciones y apoyar los esfuerzos de DDRRR en toda la zona afectada por el LRA."	0
"&quot;El Consejo de Seguridad recuerda su resolución 1645 (2005) y reconoce el importante papel de la Comisión de Consolidación de la Paz en la promoción y apoyo de un enfoque integrado y coherente para la consolidación de la paz, incluida la promoción de una mayor coherencia y alineación de las políticas de los socios en torno a las estrategias y prioridades nacionales de consolidación de la paz. El Consejo reitera su apoyo a la labor de la Comisión y expresa su continua voluntad de hacer uso de su función de asesoramiento, promoción y movilización de recursos, incluso mediante asesoramiento específico sobre el compromiso internacional y nacional con los objetivos de consolidación de la paz a largo plazo en los países que figuran en la agenda de la Comisión. El Consejo destaca además el papel de la Comisión de Consolidación de la Paz en apoyo de una transición fluida de las misiones encomendadas en los países incluidos en su agenda, en particular mediante la movilización de apoyo internacional sostenido para satisfacer las necesidades críticas de capacidad nacional."	0
"Coordinación entre la Misión y el equipo de las Naciones Unidas en el país"	0
"Pero no creemos que la soberanía exija que el Consejo guarde silencio cuando los gobiernos masacran a su propio pueblo, amenazando la paz y la seguridad regionales en el proceso."	0
"En nombre del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, tengo el honor de presentar al Consejo de Seguridad el informe del Comité para su examen exhaustivo de la labor del Comité y de su Dirección Ejecutiva desde 2011 a 2013 (ver anexo)."	1
"Documentar las mejores prácticas sobre cuestiones temáticas y áreas funcionales; revisiones documentales y talleres sobre mejores prácticas; establecer una red electrónica de aprendizaje e intercambio de información entre asesores de género."	1
"En este contexto, diré unas palabras sobre la resolución del Consejo recientemente aprobada sobre el Yemen, una condena largamente esperada de los abusos del Gobierno yemení."	0
"De hecho, ya es hora de que la comunidad internacional adopte medidas efectivas para proteger y hacer cumplir los derechos más básicos del pueblo palestino y ayudar a poner fin al círculo vicioso de violencia provocado por la persistente y continua ocupación ilegal de los territorios palestinos por parte de Israel. ."	0
"También apoyó el desarrollo de la capacidad de hacer cumplir la ley marítima y puso en marcha un nuevo Fondo Fiduciario de Seguridad Marítima para África Occidental y Central con ese fin."	1
"La resolución 1373 (2001) del Consejo de Seguridad ya impone obligaciones a los Estados de adoptar determinadas medidas para reprimir el terrorismo y el reclutamiento de miembros de grupos terroristas, impedir el movimiento de terroristas y llevar a los terroristas ante la justicia."	1
"&quot;El Consejo de Seguridad condena las violaciones del derecho internacional humanitario y de los derechos humanos cometidas por miembros de las FARDC, incluidas las violaciones masivas cometidas en Minova el 24 de noviembre de 2012, y pide al gobierno de la República Democrática del Congo que detenga rápidamente, lleve ante la justicia y exigir responsabilidades a los responsables de tales violaciones, independientemente de su rango militar."	0
"Su disciplina y porte han sido de alto nivel, lo que refleja crédito para ellos mismos y para las Naciones Unidas."	0
"A petición del alto mando de las Forces nouvelles, se creó un grupo de trabajo integrado por las fuerzas imparciales y las Forces nouvelles para elaborar un plan operativo para el acantonamiento de sus tropas."	1
"Exhortar a las partes en conflictos armados a que adopten medidas adecuadas para respetar y garantizar el respeto del derecho internacional humanitario y de los derechos humanos, entre otras cosas:"	0
"D. Escuchar más atentamente las voces de las víctimas 112. Estrechamente vinculado al concepto de contranarrativa está el creciente reconocimiento de la importancia de las voces de las víctimas del terrorismo en las estrategias eficaces de contraincitación."	1
"Por lo tanto, los países que aportan contingentes y policías deben garantizar, incluso mediante la autocertificación, que el personal desplegado haya recibido capacitación previa al despliegue sobre la protección de civiles."	1
"109. Se había informado al Sr. Saddik de que se habían utilizado TNT y algunos explosivos especiales para dirigir sospechas hacia grupos islámicos extremistas, ya que este tipo de explosivos sólo se habían utilizado en operaciones en el Iraq."	0
"Al-Qaida en el Iraq dispone de fondos considerables, y otros grupos han logrado recaudar dinero mediante la delincuencia o donaciones."	0
"Informe del Secretario General sobre la Misión Integrada de las Naciones Unidas en Timor-Leste (S/2007/50)."	0
"Mientras tanto, se están movilizando recursos con el apoyo de la ONUCI, el UNICEF y el Programa Mundial de Alimentos para rehabilitar y reintegrar a 511 niños soldados, incluidas 204 niñas, que han sido liberados y entregados al UNICEF por los dirigentes de las Forces nouvelles."	1
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"La situación se ve exacerbada por el alto desempleo y el deterioro de las condiciones de salud, especialmente con la creciente incidencia del VIH/SIDA, la fiebre tifoidea, la malaria y la tuberculosis y las altas tasas de mortalidad materna, infantil y en la niñez."	0
"Se pueden solicitar al Gobierno excepciones a esta regla para áreas agrícolas residenciales dentro de este límite."	0
"Todos los Estados han promulgado leyes para prevenir y reprimir el movimiento de terroristas a través de las fronteras, y cuatro Estados adoptan medidas activas para perseguir a los infractores."	1
"Por ejemplo, en 2009, Bután estableció una unidad de fuerzas especiales de élite en su departamento de policía para combatir el terrorismo."	1
"En este sentido, consideró importante que se complete el despliegue de la fuerza adicional de la UNMISS."	1
"b) Continuar atentos al desarrollo de las técnicas más recientes, a fin de prevenir su uso indebido y detectar casos de financiación del terrorismo a través de nuevos métodos de pago; desarrollar leyes y regulaciones apropiadas y mejorar la cooperación internacional en la investigación y procesamiento de sospechas de uso indebido de nuevos métodos de pago con fines de financiación del terrorismo;"	1
"Además, la MINUSTAH está evaluando actualmente la necesidad de contar con aviones de observación especializados para realizar operaciones de vigilancia y patrullaje en las zonas costeras y fronterizas terrestres, generalmente inaccesibles. B. Seguridad electoral"	1
"&quot;El Consejo destaca la utilidad de seguir desarrollando asociaciones eficaces entre las Naciones Unidas y las organizaciones regionales y subregionales pertinentes, a fin de permitir respuestas tempranas a las controversias y las crisis emergentes y fortalecer el papel de las Naciones Unidas en la prevención de conflictos."	1
"f) Las personas jurídicas o naturales autorizadas para comerciar en moneda extranjera por cuenta propia o de un cliente,"	0
"Se trata de una amenaza real, aunque ha sido contenida en gran medida gracias a una cuidadosa cooperación nacional, bilateral y multilateral."	1
"Se les pidió que revisaran, desde un punto de vista técnico, la idoneidad, aplicabilidad y lógica de las disposiciones existentes y del anexo."	0
"75. El conflicto de Darfur enfrenta al Gobierno del Sudán contra al menos dos grupos armados organizados de rebeldes, a saber, el Movimiento/Ejército de Liberación del Sudán y el Movimiento Justicia e Igualdad."	0
"Organización de Estados Americanos y Gobierno de México"	0
"Sabemos que las situaciones de conflicto suelen caracterizarse por la ruptura del orden público."	0
"En los últimos años, los Estados de la subregión (por ejemplo, Bosnia y Herzegovina, Bulgaria y Serbia) ratificaron algunos de los instrumentos antiterroristas más recientes."	1
"114. Varios Estados, organizaciones internacionales, instituciones académicas y otros están desarrollando activamente programas de rehabilitación nuevos e innovadores para personas detenidas o encarceladas en relación con su participación en actos terroristas."	1
"Cualquier mejora en el debido proceso reduce los riesgos de una decisión adversa que podría complicar la implementación."	1
"7. La situación en Oriente Medio (18 de julio de 1960; 30 de octubre de 2008)."	0
"c) Impedir el suministro, la venta o la transferencia directa o indirecta, a estas personas, grupos, empresas y entidades desde sus territorios o por sus nacionales fuera de sus territorios, o utilizando buques o aeronaves de su pabellón, de armas y material conexo de todo tipo. incluyendo armas y municiones, vehículos y equipos militares, equipos paramilitares y repuestos para los mismos y asesoramiento, asistencia o entrenamiento técnico relacionado con actividades militares; y recuerda que todos los Estados aplicarán las medidas con respecto a las personas y entidades incluidas en la lista;"	1
"Cartas de crédito que vencen en 2005"	0
"Cuadro 1 Análisis de saldos de cuentas Cuenta"	0
"Durante su última visita a Damasco, del 10 al 15 de diciembre de 2014, el Equipo de Evaluación de la Declaración continuó entrevistándose con las principales personas del programa sirio de armas químicas, celebró reuniones técnicas con la Autoridad Nacional de la República Árabe Siria y visitó dos sitios."	1
"12. Mientras tanto, se lograron nuevos avances hacia el establecimiento de una &quot;célula de fusión de inteligencia&quot; en el marco del mecanismo tripartito. Los días 16 y 17 de agosto, una delegación de los Estados Unidos, acompañada por oficiales militares rwandeses, ugandeses y congoleños, visitó Kisangani para evaluar los avances hacia su establecimiento."	1
"Una vez más, la Federación de Rusia insta a las partes israelí y palestina a que demuestren moderación y un alto nivel de responsabilidad y rechacen el unilateralismo."	0
"110. La capacitación es un precursor esencial para cualquier ataque exitoso, y es importante recordar que el embargo de armas incluye específicamente la capacitación (resolución 1617 (2005), párr. 1 c))."	0
"a) Promover la adopción de marcos jurídicos nacionales amplios e integrados de lucha contra el terrorismo, de conformidad con el estado de derecho y las obligaciones en materia de derechos humanos, y mejorar las capacidades nacionales para investigar, enjuiciar y juzgar actos terroristas, incluso solicitando asistencia para el desarrollo de capacidades como necesario;"	1
"&quot;Medios adecuados y flexibles para el apoyo a la paz en la transición y las actividades de gestión de crisis, como la protección de los civiles, incluido el personal humanitario y de las Naciones Unidas, el desarme, la desmovilización y la reintegración de los excombatientes, el fin de la impunidad, la creación de instituciones públicas y la justicia de transición, como así como la promoción y protección de los derechos humanos y la integración de una perspectiva de género son esenciales para garantizar una paz duradera después de un conflicto."	1
"Que la prohibición de la tortura en el derecho internacional consuetudinario tiene tal naturaleza jurídica fue sostenido por el Tribunal Internacional para la ex Yugoslavia en Furundžija (párrs. 144 y 153 a 157), por la Cámara de los Lores en Pinochet, y también afirma el Relator Especial de las Naciones Unidas sobre la Tortura."	1
"El Presidente Al-Bashir tenía la intención de que su promesa del 19 de junio de 2004 de desarmar a los Janjaweed se aplicara sólo a los bandidos, no a las Fuerzas de Defensa Popular, la policía popular u otros miembros de tribus armados por el Estado para luchar contra los rebeldes."	1
"19. La situación en la República Centroafricana (6 de agosto de 1997; 21 de diciembre de 2011)."	0
"Exhortó a los dirigentes somalíes a intensificar sus esfuerzos para aplicar la hoja de ruta y respetar el plazo de transición de agosto de 2012."	1
":: Algunos miembros destacaron que la lucha contra el terrorismo debe respetar el derecho internacional, incluidas las normas de derechos humanos. Reiterando que el terrorismo era una grave violación de los derechos humanos y las libertades, incluido el derecho fundamental a la vida, un miembro destacó la necesidad de establecer el derecho humano a la protección contra el terrorismo y reiteró su iniciativa de desarrollar, bajo los auspicios de las Naciones Unidas, un código para proteger los derechos humanos contra el terrorismo."	1
"8. Convención sobre la pronta notificación de accidentes nucleares;"	0
"Visitas del Presidente a determinados países 29. De conformidad con el párrafo 37 de la resolución 1822 (2008), el Presidente realizó dos visitas en 2009. El 9 de junio de 2009, por invitación de la Federación de Rusia, asistió a una reunión de servicios especiales, seguridad agencias y organizaciones encargadas de hacer cumplir la ley recluidas en Irkutsk (Federación de Rusia). Los días 8 y 9 de octubre de 2009, el Presidente viajó a Bruselas para examinar con funcionarios de las instituciones de la Unión Europea la aplicación de las sanciones por parte de la Unión Europea y sus 27 Estados miembros."	0
"Esferas de evaluación 25. Todos los Estados visitados han promulgado leyes que confieren a sus autoridades judiciales, fiscales y policiales las competencias necesarias para luchar contra el terrorismo."	1
"Insto al Gobierno a que garantice el acceso del personal de las Naciones Unidas a todos los lugares de detención en Darfur."	1
"1.1 El Convenio de Tokio de 1963 sobre infracciones y ciertos otros actos cometidos a bordo de aeronaves;"	0
"Me preocupa profundamente que la práctica de la violencia sexual contra los niños socave las perspectivas de coexistencia pacífica en Darfur en los años venideros."	0
"El Consejo debe pedir el cese inmediato de todas las operaciones militares en Gaza y la retirada de las fuerzas de ocupación israelíes de esa zona."	0
"33. Todos los Estados del África Meridional han adoptado algunas de las medidas legislativas y de otro tipo pertinentes contra el terrorismo."	1
"Sin embargo, no sabía cuántos habían sido liberados y cuántos seguían detenidos."	1
"El régimen fue modificado en las resoluciones 1333 (2000) y 1390 (2002) para imponer tres medidas específicas (congelación de activos, prohibición de viajar y embargo de armas) contra personas y entidades asociadas con los talibanes y Al-Qaida. Están disponibles exenciones a la congelación de activos y a la prohibición de viajar. El 17 de junio de 2011, el Consejo aprobó por unanimidad las resoluciones 1988 (2011) y 1989 (2011), que dividieron el régimen en dos y establecieron un comité para Al-Qaida y otro para los talibanes."	0
"El funcionamiento actual del servicio de policía, PNTL, y de las Fuerzas de Defensa, F-FDTL, en particular, se ve obstaculizado por una aparente falta de legitimidad derivada de la forma en que se crearon."	0
"Nueve Estados cuentan con algunas medidas para detectar y prevenir el contrabando de armas y explosivos, pero no está claro con qué eficacia se implementan estas medidas."	1
"Como resultado, algunos miembros del Comité que no tenían información sobre un nombre y no habían participado en las consultas pueden haberse sentido periféricos en el proceso de toma de decisiones; pero, aunque podría haber habido un intercambio más abierto en las reuniones del Comité, todos los miembros tuvieron, y a menudo ejercieron, la opción de pedir más detalles cuando lo consideraron importante."	0
"d) Con aportaciones del grupo de trabajo del Comité sobre asistencia y su grupo de trabajo sobre cooperación con organizaciones internacionales, incluidos los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001), cuando proceda, siga organizando y participando en actividades de divulgación a nivel internacional, regional y subregional; estar preparado para enfatizar y participar en programas de asistencia, promover el intercambio de experiencias, lecciones aprendidas y prácticas efectivas y estar dispuesto a facilitar ofertas o solicitudes de asistencia;"	1
"Se descubrieron treinta y dos conjuntos de restos, presumiblemente de personal militar iraquí, algunos de ellos con etiquetas de identificación. Serán entregados a las autoridades iraquíes una vez que se hayan completado los trámites necesarios."	1
"B. Pérdida de cartera - USD 54.778.087.423 62-77 62-77 30303030"	0
"En algunas ocasiones, han sido asesinados cuando se aventuraban a salir del campamento, ya sea para regresar a su aldea o por cualquier otro motivo."	0
"Asistencia existente (bilateral/plurilateral/multilateral)"	0
"Deberíamos evitar respuestas fáciles y afirmar que el Sahel siempre se ha enfrentado a tales desafíos, cuando en realidad es bien sabido que antes no eran de esta magnitud."	0
"9. Con respecto a los acuerdos militares Nos. 2 y Nos. 3, las partes continuaron brindando un alto nivel de cooperación a la MINURSO en el marcado y eliminación de minas y municiones sin detonar."	1
"148. La aplicación de medidas de control fronterizo es esencial para la aplicación práctica de las estrategias antiterroristas de los Estados."	1
"El Sr. Sidikou destacó que, incluso si Al-Shabaab hubiera sufrido reveses militares, el grupo todavía conservaba un número apreciable de sus combatientes y equipo, principalmente en las zonas rurales, y consideró que esto probablemente estaba destinado a mantener una lucha asimétrica prolongada."	0
"El Consejo decidió además revisar en tres y seis meses si las condiciones sobre el terreno podrían permitir una reducción del número de fuerzas militares de paz a 6.000."	1
"DNI, licencia de conducir, pasaporte o algún otro documento oficial que acredite la identidad (con fotografía);"	0
"2. Decide que todos los Estados adopten las siguientes medidas con respecto a Usama bin Laden, los miembros de la organización Al-Qaida y los talibanes y otras personas, grupos, empresas y entidades asociadas con ellos, según se menciona en la lista creada de conformidad con las resoluciones 1267 (1999) y 1333 (2000) serán actualizadas periódicamente por el Comité establecido en virtud de la resolución 1267 (1999), en adelante denominado &quot;el Comité&quot;;"	1
"Sin embargo, las huelgas y bloqueos generalizados llevados a cabo por grupos políticos, partidos y grupos políticos, armados y desarmados, han perturbado la actividad humanitaria y el acceso a los servicios de salud y educación; Gran parte de esta perturbación ocurrió en el Terai."	0
"Naves espaciales (únicas o múltiples), incluidos satélites;"	0
"La detección del movimiento transfronterizo ilegal de efectivo e instrumentos negociables al portador y la coordinación entre las aduanas, las unidades de inteligencia financiera y los funcionarios encargados de hacer cumplir la ley a este respecto son insuficientes o inexistentes."	1
"El Coordinador Humanitario ha pedido asistencia humanitaria de emergencia para ayudar a las 20.000 familias a sobrevivir el invierno."	1
"21. También ha habido informes persistentes de que había helicópteros de Côte d&#39;Ivoire estacionados en Guinea y de que Guinea había prestado uno de los helicópteros destruidos en noviembre de 2004 por las fuerzas francesas."	1
"A pesar de los informes que indicaban la existencia de grupos armados a lo largo de la frontera entre el estado de Bahr El Ghazal Occidental y Darfur Meridional, la UNMIS no pudo realizar una evaluación de esas zonas debido a la falta de garantías de seguridad del ELPS."	0
"2. Exposición informativa del Secretario General."	0
"Otros miembros tomaron nota de la iniciativa del Gobierno del Sudán de investigar las denuncias a través de su mecanismo nacional y pidieron que se resolvieran los conflictos mediante negociaciones bajo los auspicios del Panel de Alto Nivel de la Unión Africana sobre la Aplicación de la Ley para el Sudán, dirigido por el ex Presidente de Sudáfrica, Thabo Mbeki, y el enviado especial del secretario general para Sudán y Sudán del Sur, Haile Menkerios."	1
"Despliegue de policía civil internacional calificada y bien capacitada como componente de las operaciones de mantenimiento de la paz, para mejorar la capacidad de las Naciones Unidas y ayudar al Estado anfitrión en la aplicación de la ley. (referencia publicitaria)"	1
"27. En varias ocasiones he manifestado mi firme convicción de que la mejor manera de lograr el desarme de Hizbullah y otras milicias es mediante un proceso político dirigido por los libaneses, que logrará el objetivo final de que no haya en el Líbano más armas ni fuerzas armadas que los del Estado libanés."	1
"140. El 14 de diciembre de 2004, comenzaron en Yamena conversaciones entre el Gobierno del Sudán y una delegación del NMRD, con mediación del Chad. El 17 de diciembre las partes firmaron dos protocolos, uno sobre acceso humanitario y otro sobre cuestiones de seguridad en la zona de guerra."	1
"La Dirección facilitará la impartición de la capacitación solicitada a los funcionarios de aduanas, la policía de fronteras y las unidades de inteligencia financiera en el primer trimestre de 2014."	1
"El seminario, celebrado en la Sede de las Naciones Unidas, permitió a los fiscales participantes identificar desafíos comunes en el procesamiento de delitos terroristas y compartir éxitos en llevar eficazmente a los terroristas ante la justicia respetando el estado de derecho y los derechos humanos."	1
"Normas fijadas para el procesamiento y sanción de delitos de género; personas acusadas de genocidio juzgadas; desarrollo de jurisprudencia; Se ha mejorado la capacidad nacional para enjuiciar a los autores de genocidio."	1
"La nota del Ministerio de Asuntos Exteriores de Rusia contiene una propuesta para que los Estados miembros de la Commonwealth adopten medidas análogas y se retiren del régimen de restricciones contra Abjasia, establecido en 1996."	0
