"","ar_en_TRANSFORMERS","VerConf"
"43","Accordingly, the Panel wanted to know which of the two methods of valuation of the losses described above could best provide the best estimate, or whether any other method of valuation would be preferable.",0
"44","The Council regularly reiterates, recalls and reiterates its demand for States to implement the arms embargo, as the implementation of the embargo continues to pose significant challenges.",1
"45","The Committee cannot agree with the Government &apos; s position that statistics on the work of the Committees indicate a rate of rape that is significantly lower than that reported by other sources such as the United Nations, the African Union and other national and international organizations.",1
"46","The Mission continued to provide technical assistance in reviewing prisoners &apos; files in order to draw the attention of the judicial authorities to cases of prolonged pretrial detention, with a view to reducing overcrowding in prisons.",0
"47","With a breakdown price of between US$ 19 and US$ 22 per bag of rice (40 kg) and US$ 3 per gallon of oil, the rates paid by Liberians are among the highest in Africa.",0
"48","This is consistent with the Board &apos; s review of the Committee &apos; s financial and administrative records, which did not disclose any such payments during the biennium.",0
"49","There is no doubt today that the real intention was to prevent the public dissemination of the details of his reckless acts of destruction committed under the orders of the United States Central Intelligence.",1
"50","Mr. Musayev (Azerbaijan): At the outset, I would like to apologize for once again asking for the floor, for we felt that it would be inappropriate and counterproductive to ignore the comments made by the representative of Armenia and to try to mislead the Security Council from them.",1
"51","For this reason, the rebels directed attacks against government installations and deliberately avoided attacks on Arab tribes.",0
"52","Now, what Afghanistan has achieved is being eroded by serious challenges to the country &apos; s security and stability.",1
"53","Market stalls were completely destroyed and livestock looted.",0
"54","""The Security Council recognizes that terrorism cannot be defeated by military force, law enforcement measures and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including, but not limited to, the need to intensify efforts to successfully prevent and resolve long-term conflicts peacefully, and the need to strengthen the rule of law and the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness in order to provide a viable alternative to those who may be vulnerable to terrorist recruitment and to radicalization leading to violence.",0
"55","United Kingdom of Great Britain and Northern Ireland: draft resolution",0
"56","Acting under Chapter VII of the Charter of the United Nations,",0
"57","One delegation expressed concern that, although the Council had included Marine Ocean Management on the list, its vessels continued to operate, including landing in foreign ports, and suggested that the Committee remind Member States of their obligation to enforce such listing, including by detaining vessels and freezing their assets.",1
"58","Many of the funds had been transferred to non-Liberian locations.",0
"59","15. Al-Qaida in Iraq (QE.J.115.04) has recently replaced its name with the Islamic State of Iraq and the Levant, in order to legitimize its operations in the Syrian Arab Republic and to separate its name from Al-Qaida.",1
"60","143. Secondly, the Government and rebel leaders must emphasize efforts to prevent abuses, protect people at risk and bring those responsible to justice.",0
"61","To be held on Tuesday, 31 May 2005, at 3.50 p.m.",0
"62","In this climate of insecurity, political parties &apos; freedom of opinion is threatened and even restricted.",1
"63","Furthermore, there is concern that the active trafficking of arms versus drugs in Afghanistan will finance terrorism in neighbouring States in Central Asia through the activities of cash couriers.",1
"64","Members of the Commission emphasized that history showed that States that committed such crimes against their people had always been a source of instability and insecurity for their neighbours.",1
"65","Calls upon all States:",0
"66","A feature of the sea and the neighbourhoods in which it lives.",0
"67","8/91/04 - January 1991",0
"68","Members expressed concern about the security situation and stressed that unless it was addressed quickly and effectively, the normalization of the situation could be halted, undermining the stabilization efforts of the authorities.",1
"69","In this regard, the request of the Prime Minister, Guillaume Soro, for UNOCI to issue regular public reports on the Ivorian media will contribute to curbing the dangerous trends that they may adopt and may lead to incitement to election-related violence.",1
"70","29. Meanwhile, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of the Defence and Security Forces of CÃ´te d &apos; Ivoire and to assist in the restoration of civilian police throughout the country have been hampered by the uncooperative position of the local authorities, the lack of a comprehensive reform plan for the Defence and Security Forces of CÃ´te d &apos; Ivoire and the lack of agreement between the Ivorian parties on the deployment of the Ivorian police and gendarmerie in the north.",1
"71","Of the 600 posts, 92 were selected for women.",0
"72","The programme also envisages a comprehensive review and reform of the defence sector through appropriate legislation.",0
"73","The categories are explained in table II.3 below.",0
"74","In a widely broadcast comment addressed to the citizens of the village of Kulbus, which the rebels failed to enter in December 2003, the President said, ""We shall now place the highest priority on the elimination of the insurgency, and we will track every outlaw... we will use the army, the police, the mujahideen and the knights to eliminate the rebellion."" The Minister of Justice addressed the special delegation of the European Parliament's Development and Cooperation Committee during the delegation's visit in February 2004, saying that ""the Government had something to do with the Janjaweed.",0
"75","(g) Precautions must be taken to minimize the loss and damage caused as a result of attacks (including the need for each party to do its utmost to ensure that targets are military objectives) and to select means or methods of warfare that minimize the loss of civilian life);",0
"76","However, we note that without a strong justice and security sector, developing peace and stability can be threatened.",1
"77","The Chairman of the Working Group noted the persistent concern of some countries about the very serious scope of the region.",1
"78","This mechanism ensures that the listed party does not control the assets of the business and is unable to transfer its revenues in support of terrorism.",0
"79","B. Killing and maiming of children",0
"80","Pursuant to rule 15 of the provisional rules of procedure of the Security Council, the Secretary-General wishes to report that he has received a letter dated 10 January 2014 from the Permanent Representative of Chile to the United Nations stating that Mr. Patricio Aguirre has been appointed alternate representative of Chile on the Security Council.",0
"81",":: Convention on the Physical Protection of Nuclear Material, ratified by Presidential Decree No. 49/1986;",0
"82","In consultations of the whole, the members of the Security Council expressed concern at the continued deterioration of the humanitarian situation and condemned violations of international humanitarian law committed by all parties to the Syrian conflict.",1
"83","External factors affecting the implementation of the completion strategy",0
"84","During that period, the threat posed by Al-Qaida, the Taliban and their associates and the aforementioned sanctions regime changed significantly.",1
"85","The Committee received credible information that several individuals had been transferred by persons working in military intelligence or security.",0
"86","Voter registration began on 20 November 2004 with extensive logistical support mobilized by ONUB, including the transfer of registration and electoral materials from Bujumbura to all 17 provinces.",0
"87","I also take this opportunity to stress my concern about the challenges posed in the context of the elections to be held in Nigeria, at the federal and state levels, in February 2015, and the serious risks of possible violence due to Boko Haram attacks or the contesting of the election results.",1
"88","3. The aforementioned position received clear and unanimous support from the Association of Southeast Asian Nations (ASEAN), of which Cambodia and Thailand are members.",0
"89","With regard to the possibility of a military confrontation, Somalis who are familiar with the facts and others who are aware of the minutes of developments on both sides say that the issue is not whether, but when, that confrontation will take place.",1
"90","Programme for the rehabilitation of essential infrastructure and service facilities",0
"91","Payments to Bechtel relate to costs recovered for its work and normal costs.",0
"92","The funds paid for the release of detained vessels, goods and crews are believed to have been used to finance terrorist groups or activities.",1
"93","At the same time, all Somali stakeholders, in particular the Transitional Federal Institutions, must act in accordance with their promises to address the enormous political, economic and security challenges facing them.",1
"94","As I said earlier, double standards in addressing terrorism and terrorist groups is another important matter of deep concern and seriously undermines the international community &apos; s collective fight against terrorism.",1
"95","""The Security Council notes with deep concern the postponement of the first round of the presidential elections, which were scheduled for 29 November 2009 in accordance with the communiqué issued by the Permanent Consultative Framework of the Ouagadougou Political Agreement on 18 May 2009, which was endorsed by all Ivorian political actors.",1
"96","The transfer of technical skills and techniques between Al-Qaida affiliates is increasing, supporting a degree of innovation that exacerbates the threat.",1
"97","Despite all efforts to restore peace and security, we remain concerned about the recent major setbacks in stabilization efforts in the eastern region of the Democratic Republic of the Congo.",1
"98","The threat posed by terrorists, criminals and those involved in the narcotics trade to the security and stability of Afghanistan is a real phenomenon that must be constantly addressed.",1
"99","Under the non-State component of UNIPSIL, the Commission continued to play a key role in implementing programmes to build conflict mitigation and conflict resolution capacity of political parties, including women and youth wings.",0
"100","(same points 9, 10 and 11)",0
"101","UNHCR &apos; s weak presence in camps and among refugees is another obstacle that the country of asylum poses to the discharge of its mandate.",1
"102","However, international human rights mechanisms have raised a number of concerns about alleged violations committed by law enforcement and intelligence agencies during investigations and interrogations.",1
"103","109. The Mechanism concluded that one of the effects of sanctions on the diamond trade was the more complex production of artificial or forged documents to hide the origin of diamonds.",0
"104","Capacity-building and support for piracy prosecutions in the region",0
"105","8. It is recommended that the United Nations take the following specific and urgent steps to facilitate and strengthen the continued presence of AMISOM in Somalia:",1
"106","The Security Council also condemns terrorism in all its forms and manifestations, whatever its form or by whomsoever committed.",1
"107","""The Security Council strongly condemns the deliberate targeting of civilians by combatants in armed conflict and calls upon all parties concerned to put an end to these grave violations of international humanitarian and human rights law.",1
"108","""At its 4364th meeting, held behind closed doors on 5 September 2001, the Security Council considered the situation concerning the Democratic Republic of the Congo.",0
"109","It was also reported that 18 women were raped during the attack on their enemy in Southern Darfur at the beginning of December 2004.",0
"110","During the same period, the Prosecution used approximately 307 hours for cross-examination of defence witnesses, and the Chamber used approximately 50 hours for cross-examination of witnesses and for procedural and administrative matters.",0
"111","Demanding that the parties to the conflict exercise restraint and cease all types of military action, including aerial bombardments,",1
"112","The authorities agreed that ethnic Albanians were victims of social and institutional discrimination and recognized that confidence-building measures, such as integration of ethnic Albanians into the local police force and increased representation in political institutions, would go a long way towards easing tensions and stabilizing the region over a longer period.",0
"113","For example, the ruling in the case known as ""Jakar al-Hadi al-Amud et al.,"" describes how a joint group of 39 policemen and the Armed People's Forces left the population of the Thabit at the mercy of a large group of cavalry attackers.""",1
"114","A pilot demobilization project is expected to commence in January 2001.",0
"115","Rapid Response Unit officers from the east were forced to turn to the district administration building, whereupon the crowd surrounded the building, and the armed crowd began with knives, sticks, machetes and stones in the cheering, threatening the rapid response unit officers with death.",0
"116","We urge Israel to abide by its obligations with regard to the population in the occupied territories.",1
"117","The conversation lasted 5 to 10 minutes, during which firing continued.",0
"118","The Kimberley Process could then be initiated in preparation for export.",0
"119","The effective implementation of protection functions involves a wide range of actors and requires close consultation, including between the Security Council, the Secretariat and troop- and police-contributing countries, before the establishment of peacekeeping missions and throughout their life cycle.",0
"120","34. Mr. Abdeldayem provided the following details:",0
"121","Despite the repeated condemnation of those inhumane acts by Security Council resolutions 1820 (2008), 1888 (2009) and 1960 (2010), which have become the source of hope for millions of victims of women and girls worldwide.",1
"122","On 3 and 7 October, the Council issued two press statements condemning the recent attacks on MINUSMA (SC/11587 and SC/11591).",1
"123","56. Efforts are under way to revitalize the Mano River Union secretariat based in Freetown.",0
"124","Hijacking an aircraft to a foreign country",0
"125","The Commission obtained credible evidence of the use of Mi-8 and Mi-24 helicopters and Antonov aircraft during air attacks on villages.",0
"126","37. The Mission continued to give high priority to the zero-tolerance policy on sexual exploitation and abuse, including introductory briefings and regular training programmes for all United Nations personnel in the prevention of sexual exploitation and abuse.",0
"127","We note that in his report (S/2008/728), the Secretary-General expresses concern about the security situation in the eastern Democratic Republic of the Congo.",1
"128","The Criminal Code and the Code of Criminal Procedure of the Sudan do not contain substantive and procedural provisions applicable to the specific situation of crimes committed during the armed conflict.",1
"129","Condemning acts of kidnapping and hostage-taking for the purpose of raising funds or obtaining political concessions, and expressing the need to address this,",1
"130","Several interlocutors reported that some neighbouring States played a destabilizing role.",1
"131","At the police headquarters, the nervous intervention of the Minister of the Interior, including the withdrawal of weapons from the armoury, contributed to an atmosphere of panic.",1
"132","Acting under Chapter VII of the Charter of the United Nations,",0
"133","A complete lack of transparency before the public would undermine the fairness and credibility of the whole mechanism.",1
"134","Muqlaq Abd al-Rahman Mutlaq al-Khalidi",0
"135","The Government of Kuwait &apos; s claim for real property of a deceased prisoner shall not be accepted, as this is in fact a claim for the real property portion after the expiration of the time limit for the admission of the claims, and the secretariat shall be requested to inform the Government of Kuwait accordingly.",1
"136","I should be grateful if you would have the text of the present letter and its annex circulated as a document of the Security Council.",0
"137","The system is based on old technology and will be updated.",0
"138","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, threats to international peace and security caused by terrorist acts, stressing in this regard the important role of the United Nations in leading and coordinating this fight,",0
"139","While both the Government and CPN (Maoist) have made efforts to address the problem of payment of allowances to projected party members, no commitment has been made to provide funds or programmes for the recovery and reintegration of children affected by armed conflict, including those released in unofficially large numbers, and the offer of United Nations assistance has been met with little enthusiasm.",1
"140","We can go on to mention widespread poverty, problems in the management of natural resources, thousands of refugees and internally displaced persons, additional thousands of ex-combatants waiting for reintegration, unresolved security sectors, massive violations of human rights and many other threats that are likely to fuel a new conflict.",1
"141","This in itself poses a new set of challenges, such as the development of new approaches to combating incitement and violent extremism, taking into account the relationship between security and development.",0
"142","I also condemn Hizbullah &apos; s reckless contempt for the wishes of the elected Government of Lebanon and for the interests of the Lebanese people and the wider region.",1
"143","Ali Kushayb and Ahmed Harun were refused arrest.",1
"144","The vast majority of land border police stations lack the tools and equipment to perform their tasks and national border control agencies do not cooperate sufficiently with each other or with their counterparts in neighbouring States.",1
"145","He cautioned that there was a risk that inviting the Group of Friends, including non-Council members, to participate in the Council &apos; s decision-making process might result in ineffectiveness.",1
"146","UNMIS continues to share urgent reports and other vital information with UNAMID regarding restrictions imposed by the Government of the Sudan on flights in Southern Darfur and clashes between JEM and the Sudanese Armed Forces.",0
"147","V. Restructuring and demobilization of the armed forces",0
"148","Attempts to destabilize the internal situation in Lebanon through political assassinations are totally unacceptable.",1
"149","There are laws regulating the activities of charitable and non-profit organizations, but not all States have reviewed their legal frameworks to prevent the exploitation of the non-profit sector for the financing of terrorism.",0
"150","However, the very nature of most international crimes implies, as a general rule, that they have been committed by or with the participation of State officials, so that their prosecution is often better left to other mechanisms.",1
"151","4. Notes with concern the close link between international terrorism, transnational organized crime, illicit drug trafficking, money-laundering, illegal arms trafficking and illegal movement of nuclear, chemical, biological and other potentially deadly materials, and in this regard stresses the need to enhance coordination of efforts at the national, subregional and international levels in order to strengthen the global response to the serious challenge and threat to international security;",1
"152",":: Report to the Committee established pursuant to resolution 1540 (2004) after each meeting",0
"153","53. The United Nations has begun planning a technical meeting on capacity development in Southern Sudan to coordinate the approach.",0
"154","It seems that real change will most likely come from popular protests, not from planned violence in hiding.",0
"155","118. Information provided to this survey shows that, in the view of many States, incitement to commit acts of terrorism continues to pose a serious threat and threat in many parts of the world, albeit to varying degrees.",1
"156","Women and children accounted for 22 per cent of the loss of life.",0
"157","The Security Council urges all parties to an armed conflict, including non-State parties, to end such practices.",1
"158","The Council stresses the need for an urgent dialogue between the new Government, when constituted, and the international community on ways to assist the Government in using the transition in a constructive manner to achieve the objectives of reconciliation, stability and reconstruction.",0
"159","""The Security Council expresses its deep concern at the humanitarian impact of the conflict on the Angolan people.",1
"160","Gender-sensitive housing projects and programmes.",0
"161","There were clashes between rebel forces and French forces monitoring the ceasefire agreement on the day the mission was in the area, in Daloa, approximately 50 kilometres away.",1
"162","The MDC candidate has little or no access to the media in Zimbabwe; it is forbidden to campaign freely; and campaign buses and cars are reported to have been seized by the State, allegedly for illegal registration.",1
"163","For its part, the Committee will have to continue to promote a broader understanding that the sanctions regime belongs to States and to work to give genuine support to the efforts of States at the national level to address the threats of Al-Qaida and the Taliban.",1
"164","Cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001);",0
"165","2. Analysis and valuation 115 - 116 33",0
"166","Reiterating the need to ensure that the current sanctions regime contributes effectively to ongoing efforts towards fighting the insurgency and to support the work of the Government of Afghanistan to advance reconciliation for peace, stability and security in Afghanistan,",1
"167","The Committee will therefore transmit those recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).",0
"168","Welcoming the efforts of the Burundian authorities to combat impunity, in particular the prosecution and conviction of some of the perpetrators of the Muyinga massacre,",1
"169","56. Two policemen were brutally killed between 9.30 a.m. and 10 a.m. on 25 March in an area called PK 18, Abobo.",0
"170","Recognizing that international cooperation measures and any measures taken by Member States to prevent and combat terrorism must be in full compliance with the provisions of the Charter of the United Nations,",0
"171","(c) To obstruct the freedom of movement of UNOCI and the French forces which support it;",1
"172","The Council expresses its deep concern that civilians continue to account for the majority of victims of acts of violence committed by parties to armed conflict, including deliberate targeting, indiscriminate and excessive use of force, use of civilians as human shields and sexual and gender-based violence, as well as all other acts in violation of the relevant provisions of applicable international law.",1
"173","At the same time, President Al-Bashir threatens the international community with vengeance and, consequently, with further crimes.",1
"174","32. At this stage, it is not possible to predict all the expertise that MONUC may be required to support.",0
"175","If a decision is taken to prosecute all individuals who have received weapons for unlawful possession, the Commission has records to identify such persons.",1
"176","Under international law, Israel, as the occupying Power, is obliged to protect Palestinian civilians, especially children, and to preserve civilian property.",1
"177","9. The Court of First Instance first ruled that the Government had failed to demonstrate that the Dutch branch of Al-Haramain, which was separate from the International Organization, had provided support for terrorism.",1
"178","Affirms that all parties and armed groups in [the affected country] have a responsibility to take appropriate steps to protect the civilian population of the country consistent with international humanitarian law and international human rights and refugee law, in particular by avoiding indiscriminate attacks on or excessive use of force in populated areas.",1
"179","To blame each other, to find a scapegoat responsible for failure in Afghanistan and to demand that those who are already doing so work the most unfair and unacceptable practices that will ultimately be a factor of psychological defeat.",1
"180","Europe, for example, has the European Union and the Schengen Agreement; the Economic Community of West African States (ECOWAS); the Southern African Development Community (SADC) in Africa; the Association of Southeast Asian Nations (ASEAN) (also with the Commonwealth of Independent States); the North American Free Trade Agreement (NAFTA); the Central American Integration System (SICA) in Central America; and the Andean Community and the Southern Common Market (MERCOSUR) in South America, and is moving towards integration to establish the Community of South American States.",0
"181","The members of the Commission decided that, in order to recommend measures to ensure accountability for alleged crimes and serious human rights violations committed during the above-mentioned period, bearing in mind that the Government of Timor-Leste considers the domestic judicial system, involving a range of international judges, prosecutors and defence counsel, should be the main framework for accountability for such crimes and alleged violations, they should undertake a preliminary assessment of the existing domestic judicial system in Timor-Leste.",0
"182","He remained concerned about unilateral actions, restrictions and provocations in holy places in Jerusalem.",1
"183","Worse still, the activities of these terrorist groups pose a serious threat to the efforts of the international community &apos; s peace-building and peacekeeping missions, for example in Somalia and Mali.",1
"184","In March 2009, when President Omar Al-Bashir was ordered to be arrested, some predicted that this judicial order against the head of State of the Sudan, who continues to exercise his powers, would undermine prospects for the implementation of the 2005 Comprehensive Peace Agreement.",1
"185","The Special Representative of the Secretary-General stressed that women lived in deplorable conditions without access to health and legal services, and considered that it would be extremely difficult to address the situation, particularly in view of the culture of silence and the lack of institutions for investigation and prosecution.",1
"186","Indeed, the number of persons on the list for the provision of military equipment or training to listed groups is small, and the Team recommends that the Committee take additional measures to clarify the scope of the arms embargo.",0
"187","On 18 November 2014, the regime &apos; s helicopters dropped two barrel bombs on Ma &apos; ar Shamarin town, killing six civilians, including four children and two women.",0
"188","66. In order to combat the increase in crime at sea, the Maritime Organization for West and Central Africa, with the assistance of the World Maritime Organization, is promoting cooperation among law enforcement agencies through the establishment of a network of coast guard units.",0
"189","The main mechanisms for controlling the import, export, trans-shipment and transit of related materials are the Customs Code and Customs Regulations;",0
"190","(a) Continue to remind Member States of their obligation to extradite or prosecute in accordance with the applicable international counter-terrorism instruments to which they are party and remind States of their obligation to ensure that claims of political motivation are not treated as grounds for refusing requests for the extradition of suspected terrorists;",1
"191","'The Security Council stresses the urgent need to strengthen the military and police institution in Libya.",1
"192","Australia, Denmark, France, the Netherlands, New Zealand, Norway, the United Kingdom of Great Britain and Northern Ireland and the United States of America each have their own dependent departments, territories or overseas territories, each with a different degree of autonomy and capacity to define their own legislative framework to combat terrorism.",0
"193","We consider any departure from that principle unacceptable, let alone that the fragile situation in the region may lead to widespread instability.",1
"194","However, failure to intervene effectively to restore stability in that country is indeed threatening the effectiveness of the international community as well as the enormous resources it costs.",1
"195","Frequent calls from groups for contributions and allegations that they are unable to launch attacks because they lack money have encouraged the continued focus on adding funders to the list.",1
"196","On 26 July, the Council issued a press statement condemning the terrorist attack on UNIFIL, in which six United Nations peacekeepers from France were injured.",1
"197","The evidence confirms that there are reasonable grounds for accusing six F-FDTL soldiers of murder.",1
"198","Saleh is the example of Jaser al-Mutairi.",0
"199","Subject to the availability of resources, provide staff with practical and operational tools to systematically integrate gender concerns into security sector reform work; implement recommendations made by the 2005 Forum on Gender and Governance in Africa, with a view to achieving the African Union target of 30 per cent of women in national assemblies.",0
"200","The Government of Lebanon has informed me that the Lebanese Armed Forces have also detained and deported a number of Palestinian infiltrators with Syrian identity documents.",0
"201","2. It is regrettable that, since my previous report to the Security Council, limited progress has been made in the implementation of the provisions of the Pretoria Agreement on the peace process in CÃ´te d &apos; Ivoire (S/2005/270, annex I) of 6 April 2005, and the huge gap in the positions of the parties has widened.",1
"202","Condemns the continued illicit flow of arms within and into [the affected State] in violation of [sanctions] resolutions, and declares its determination to continue to monitor directly the implementation of the arms embargo and other measures specified by its [affected State] resolutions.",1
"203","As I have made clear, I am confident that the Council will not be filled with these false accusations, which are at variance with the right and minimum standards of professionalism.",1
"204","Even though in most cases the Government may not have been involved in the destruction, its involvement in the attacks during which the destruction took place and the presence of its forces in the place of destruction are sufficient to make it a partner in the responsibility for such destruction.",0
"205","However, Ambassador Akram is not mistaken in focusing on the situation in the south and west of the country in particular.",0
"206","There is absolutely no justification for all of this.",0
"207","3. The Ombudsperson shall also immediately forward the delisting request to the Monitoring Team, which shall within four months provide the Ombudsperson with:",0
"208","Brigadier General Taur Matan Ruak refused President GusmÃ£o &apos; s request to attend the march and instead sent the F-FDTL Chief of Staff Colonel Lerry Anan Timor.",1
"209","(c) A list of individuals reported dead from among those on the list, and entities reported or confirmed to have ceased to exist, together with the documents requested in paragraph 23 (c);",0
"210","Human rights violations continue to be reported, many of them linked to untrained FARDC elements from CNDP and armed groups.",0
"211","Member States pointed out that sites promoting terrorism in one country were firmly located in another.",1
"212","16. Exemptions from the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and exemptions may be granted for: supplies intended solely for the support or use of the Mission for the Consolidation of Peace in the Central African Republic, the African-led International Support Mission in the Central African Republic, the United Nations Integrated Peacebuilding Office in the Central African Republic and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 (a)); supplies of non-lethal military equipment intended solely for humanitarian and preventive use and related technical assistance or training (para. 54 (b)); protective clothing, including flak jackets and military helmets temporarily brought into the Central African Republic by United Nations personnel, representatives of the media and humanitarian and development workers and associated personnel, for their personal use only (para. 54 (c)); supplies of small arms and other related equipment intended exclusively for use in international patrols providing security in the Sangha River region shared by three countries to protect against illegal fishing and the smuggling of ivory weapons, and other activities in contravention of the Central African Republic &apos; s national laws or international legal obligations related to the Central African Republic (para. 54 (apos; s) and the use of other security of the Central African Republic, related to the Central African Republic; s.",0
"213","73. On the subject of transparency and awareness-raising, the very high level of awareness-raising activities compared with previous years shows an increased demand by Member States and international organizations for the participation of Committee members and experts in activities, and also a welcome increase in awareness of resolution 1540 (2004) and related obligations.",0
"214","1.7 Current Irish laws do not provide for the use of special investigative techniques.",0
"215","The study of the threat posed by terrorist groups on the African continent reveals a very disturbing reality, as one view, whether rightly or wrongly, combines political, religious and ideological extremism along with organized crime.",1
"216","In particular, the Executive Directorate is requested to encourage States to develop strategies to combat incitement to commit terrorist acts motivated by extremism and intolerance.",0
"217","President Abbas further told me that ""the illegal transfer of large quantities of weapons to refugee camps through some Palestinian groups threatens Lebanon and does not serve the Palestinian cause.""",1
"218","Office furniture and equipment - USD 25,057,777",0
"219","Consequently, transactions involving suspected financing of terrorist acts will be subject to the same reporting and arrest system as transactions suspected of being linked to money-laundering.",0
"220","Since the beginning of the political impasse following the elections of 29 March, the Secretary-General has expressed his concern about the process and politically motivated violence.",1
"221","To be held on Tuesday, 11 December 2007, at 12.40 p.m.",0
"222","In other areas, however, progress has fallen short of expectations and many challenges remain.",1
"223","I condemned the terrorist attack on the Indian Embassy in Kabul.",1
