"","en_es_DEEP","VerConf"
"12","Reafirma su condena inequívoca de todos los actos, métodos y prácticas de terrorismo como criminales e injustificables, cualquiera que sea su motivación, en todas sus formas y manifestaciones, dondequiera y por quienquiera que los cometan,",1
"13","a) Exhortar a las partes en un conflicto armado a que cumplan las obligaciones que les corresponden en virtud del derecho internacional humanitario y adopten todas las medidas necesarias para proteger a los civiles y facilitar el paso rápido y sin obstáculos de envíos, equipo y personal de socorro,",0
"14","El Gobierno también comparte algunas de las preocupaciones expresadas en el informe sobre, entre otras cuestiones, los derechos humanos y la situación de las mujeres y los niños.",1
"15","74. Los Estados miembros de la Unión Europea también estaban obligados a tipificar como delito la ""provocación pública"" de conformidad con las enmiendas introducidas en 2008 a la Decisión Marco de la Unión Europea de 2002 sobre la lucha contra el terrorismo.",1
"16","Expresando su preocupación por los continuos informes, incluidos los informados por el Secretario General en [informe pertinente], sobre abusos de los derechos humanos y violaciones del derecho internacional humanitario, incluso contra mujeres y niños, y los informes de un aumento de incidentes de violencia sexual, en particular aquellos atribuidos a hombres armados, destacando la importancia de investigar esas presuntas violaciones y abusos... cometidos por todas las partes, independientemente de su estatus o afiliación política, reafirmando que los responsables de tales violaciones deben rendir cuentas y ser llevados ante la justicia independientemente de su orientación política. afiliación, respetando al mismo tiempo los derechos de las personas detenidas..., instando al Gobierno a aumentar y acelerar sus esfuerzos para combatir la impunidad,",1
"17","Una mayor evolución de la situación en esa dirección amenazaría los esfuerzos por restaurar y reconstruir el país y, a largo plazo, amenazaría la paz y la estabilidad en toda la región.",1
"18","Es necesario intensificar la vigilancia y la identificación de las violaciones del embargo de armas y aplicar sanciones selectivas cuando sea necesario, a fin de reducir los posibles efectos devastadores de esa dinámica en el contexto somalí.",1
"19","El informe confirma un panorama preocupante de la situación en la región del Sahel y de las preocupaciones humanitarias, económicas y de seguridad conexas.",1
"20","El helicóptero llegó a la zona de la misión el 31 de marzo.",0
"21","Desde entonces, las autoridades de Kivu del Norte han arrestado a varias personas con presuntas conexiones con el Sr. Nkunda.",0
"22","Para concluir, en el contexto de la paz mundial y de Oriente Medio, me gustaría subrayar que, si bien entendemos todo tipo de necesidades que surgen en materia de seguridad, sería mejor para esa región y para el mundo entero si se pudiera detener la situación de Irán. avancen hacia el conflicto, porque será el tipo de conflicto que podría tener un impacto muy desafortunado en el mundo y que podría ser la proverbial gota que colma el vaso de la paz mundial.",0
"23","Reafirmando la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas y el derecho internacional, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,",1
"24","La Organización de Cooperación Islámica pide que se ponga fin a la ocupación militar israelí del territorio palestino, incluida Jerusalén Oriental, y a las acciones ilegales de la potencia ocupante que se han cobrado la vida de miles de civiles, han infligido una destrucción masiva y han exacerbado los problemas socioeconómicos y penurias humanitarias del pueblo palestino en violación del derecho internacional, incluido el derecho humanitario y el derecho de los derechos humanos.",1
"25","2. Exhorta al gobierno sirio a implementar visiblemente sus compromisos en su totalidad, como acordó hacerlo en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de (a) cesar los movimientos de tropas hacia centros de población, (b) cesar todo uso de armas pesadas en dichos centros, (c) retirada completa de las concentraciones militares dentro y alrededor de los centros de población, así como retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia ;",1
"26","Esta es una obligación internacional que los Estados deben cumplir para garantizar justicia a las víctimas de estos deplorables hechos.",1
"27","A nivel de entidad de las Naciones Unidas",0
"28","Esta percepción podría radicalizar aún más a algunos elementos nacionalistas albanokosovares y colocar a las minorías de Kosovo bajo una amenaza cada vez mayor.",1
"29","23. Pide al Comité que distribuya al Consejo una lista de los Estados que al 31 de marzo de 2004 no hayan presentado informes de conformidad con el párrafo 6 de la resolución 1455 (2003), incluido un resumen analítico de las razones aducidas por los Estados para no presentar informes ;",0
"30","Dos vehículos fueron quemados. Las oficinas de la planta baja fueron saqueadas.",0
"31","Además, muchas instituciones financieras se quejan de que se les ha dado poca o ninguna información sobre qué buscar como posibles indicadores de transacciones de financiación del terrorismo.",1
"32","Reconociendo el valor de las sesiones informativas anuales de los jefes de los componentes militares, el Consejo dijo que también agradecería sesiones informativas similares de los jefes de los componentes policiales para mejorar su comprensión de los desafíos operacionales.",0
"33","Creemos que la cuestión del fortalecimiento de la legitimidad del Gobierno es crucial, porque se establece una relación de causa y efecto entre esa legitimidad y la eliminación de la resistencia de los actores y redes informales que caracterizan la naturaleza del poder en el Afganistán.",1
"34","Primero, han creado una emergencia humanitaria en curso que amenaza la paz y la estabilidad de Haití.",1
"35","Exigiendo que las partes en el conflicto actúen con moderación y pongan fin a las acciones militares de todo tipo, incluidos los bombardeos aéreos,",1
"36",":: Artículo 85 de la Ley V de 2006 sobre información de las empresas públicas y procedimientos de registro judicial y disolución voluntaria;",0
"37","El Consejo de Seguridad insta a todas las partes en un conflicto armado, incluidas las partes no estatales, a poner fin a esas prácticas.",1
"38","Además, Abdel-Al recibió una llamada el 11 de febrero de 2005 a las 22.17 horas desde la misma cabina telefónica utilizada para llamar a Al-Jazeera poco después de la explosión del 14 de febrero.",0
"39","Estados Unidos insta a las Naciones Unidas y a la PNH a redoblar los esfuerzos de investigación.",1
"40","Que se celebrará el martes 22 de mayo de 2007, a las 10.00 horas",0
"41","Es necesario tomar medidas para reprimir adecuadamente la financiación del terrorismo.",1
"42","Observa que la inmensa mayoría de los desplazados internos y otros grupos vulnerables en situaciones de conflicto armado son civiles y, como tales, tienen derecho a la protección que les otorga el derecho internacional humanitario vigente.",0
"43","Tengo el honor de transmitir adjunta la nota conceptual sobre la sesión informativa sobre la lucha contra el terrorismo que se celebrará en el Consejo de Seguridad el 27 de septiembre de 2010 (véase el anexo).",0
"44","KERP se operó inicialmente desde una oficina en Washington, D.C., Estados Unidos de América y luego se trasladó a Dammam, Arabia Saudita.",0
"45","En este clima de inseguridad generalizada, la libertad de opinión de los partidos políticos se ve amenazada o restringida.",1
"46","Determinando que la situación en la República Democrática del Congo sigue constituyendo una amenaza a la paz y la seguridad internacionales en la región,",1
"47","Algunas delegaciones enfatizaron la importancia de las conversaciones a seis bandas para encontrar una solución a la cuestión nuclear en la Península de Corea y pidieron que se trabajara para crear condiciones favorables para la reanudación de las conversaciones a seis bandas.",0
"48","4. Observa con preocupación la estrecha conexión entre el terrorismo internacional y la delincuencia organizada transnacional, las drogas ilícitas, el blanqueo de dinero, el tráfico ilegal de armas y el movimiento ilegal de materiales nucleares, químicos, biológicos y otros materiales potencialmente mortales y, a este respecto, destaca la necesidad mejorar la coordinación de esfuerzos a nivel nacional, subregional, regional e internacional para fortalecer una respuesta global a este grave desafío y amenaza a la seguridad internacional;",1
"49","Por su parte, el Ministerio de Relaciones Económicas Exteriores de la República de Serbia elaboró ​​en 2002 un proyecto de ley.",0
"50","De conformidad con el entendimiento alcanzado en las consultas previas del Consejo, el Presidente, con el consentimiento del Consejo, cursó una invitación, de conformidad con el artículo 39 del reglamento provisional del Consejo, al Sr. Kieran Prendergast, Secretario General Adjunto de Asuntos Políticos.",0
"51","La Alta Comisionada expresó su preocupación por la continuación de los abusos generalizados y la cultura de impunidad imperante en todo el país, particularmente en la zona de confianza, y la erosión del estado de derecho en el Gobierno y las zonas controladas por las Forces nouvelles.",1
"52","En particular, recomienda que el Comité modifique el párrafo 6 i) de sus directrices para que los nombres de las personas identificadas como muertas se revisen automáticamente cada año, junto con cualquier lista seleccionada por el Comité del conjunto de entradas que no han sido actualizadas. en cuatro años o más, a menos que un miembro del Comité solicite específicamente que se retire de la consideración el nombre de una persona supuestamente fallecida.",0
"53","El infractor será castigado con pena privativa de libertad de ocho a quince años acompañada de la confiscación de bienes que el tribunal estime conveniente, o con una pena excepcional, si con el acto descrito en el apartado 1 causa lesiones corporales graves.",0
"54","Que se celebrará el lunes 24 de octubre de 2011, a las 10.15 horas",0
"55","110. Algunos observadores siguen sin estar convencidos de la importancia de la amenaza y otros critican la priorización de las amenazas químicas, biológicas, radiológicas y nucleares frente a otros aspectos del terrorismo o tipos de amenazas.",1
"56","Los agentes armados respondieron que ""de todos modos eran todos iguales"" y comenzaron a destrozar la casa.",0
"57","Entre esas preocupaciones cabe destacar una: el deterioro de la situación de seguridad en las últimas semanas y meses.",1
"58","Su innovación fue trasladar el objetivo de los países musulmanes a Occidente, particularmente a los Estados Unidos de América; y al caracterizar su terrorismo como una lucha entre el Islam y sus enemigos, pudo reunir bajo una misma bandera a varios grupos diversos y a menudo en competencia.",1
"59","En particular, celebro el desarrollo por parte de los Estados miembros de la Comisión y Benin de una estrategia regional contra el terrorismo, e insto a que los esfuerzos conjuntos para abordar la amenaza de Boko Haram se lleven a cabo de manera compatible con las normas internacionales de derechos humanos.",0
"60","El objetivo de la reunión especial era dar el primer paso para mejorar la conciencia regional sobre el régimen de sanciones de Al-Qaida y alentar una mayor colaboración entre el Comité y los países del Sahel y el Magreb.",0
"61","Tras las consultas habituales, ahora tengo la intención de nombrar al General de División Carl A. Dodd, de Irlanda, Jefe de Estado Mayor del ONUVT.",0
"62","Para continuar depurando la Lista de entradas inadecuadas, el Equipo recomienda que, al realizar su revisión trienal, el Comité invite a los Estados designantes pertinentes a presentar solicitudes de exclusión de la Lista de nombres que carezcan de identificadores suficientes para permitir la implementación efectiva de las medidas.",0
"63","""El Consejo de Seguridad también reitera su grave preocupación por las consecuencias de la inestabilidad en el norte de Malí en la región del Sahel y más allá, y destaca la necesidad de responder rápidamente a esta crisis mediante un enfoque integral y estratégico a fin de garantizar la integridad territorial de Mali y restaurar su estabilidad e impedir una mayor desestabilización de los Estados del Sahel.",1
"64","Pero esos esfuerzos no necesariamente pueden sostenerse en el largo plazo.",0
"65","En consultas plenarias, los miembros del Consejo expresaron preocupación por el actual deterioro de la situación humanitaria y condenaron las violaciones del derecho internacional humanitario por parte de todas las partes en el conflicto sirio.",1
"66","49. Aún quedan muchos desafíos en la lucha contra la impunidad, particularmente en vista de la limitada capacidad de las autoridades judiciales civiles y militares para llevar a cabo investigaciones independientes y exhaustivas y brindar protección a las víctimas y testigos.",1
"67","Los esfuerzos en estas áreas, complementados con las actividades de los grupos de trabajo establecidos para aplicar los acuerdos alcanzados entre los Presidentes de la Federación de Rusia y Georgia en Sochi en marzo de 2003 (véase S/2003/412, párr. 5), buscan abordar preocupaciones apremiantes de las partes y de esta manera promover la confianza entre ellas con el objetivo último de entablar negociaciones sobre una solución política global del conflicto, tomando como punto de partida el documento titulado ""Principios básicos para la distribución de competencias entre Tbilisi y Sujumi"". y su carta de envío (véase S/2002/88, párr. 3).",0
"68","""El Consejo de Seguridad expresa profunda preocupación por la amenaza directa que la actividad de los grupos armados plantea para la seguridad de la población civil y la realización de operaciones humanitarias.",1
"69","El Consejo de Seguridad debate con frecuencia cuestiones humanitarias en países afectados por conflictos.",0
"70","23. Alcance del embargo de armas. El Comité solicita al Equipo de Vigilancia que trabaje en un documento que recopile las experiencias de los Estados al enfrentar la amenaza de los explosivos civiles e improvisados.",0
"71","Sin embargo, no intervenir activamente para restablecer la estabilidad en ese país ya está amenazando la eficacia de la comunidad internacional, además de costar enormes cantidades de recursos.",1
"72","Ministro de Tierras y Administración Local",0
"73","Partido Nacional Progresista Karenni/Ejército Karenni",0
"74","La situación en Medio Oriente",0
"75","o El 16 de noviembre de 2014, ISIS ejecutó a 17 personas en el mercado de Tabaqa en Raqqa después de haber sido acusadas de espionaje y de trabajar con las fuerzas del régimen.",0
"76",":: 14 de marzo de 2005, una contramanifestación encabezada por cristianos y sunitas exige la retirada de las tropas sirias y el arresto del jefe de los servicios de seguridad e inteligencia.",1
"77","Las personas y células asociadas con Al-Qaida y sus afiliados siguen innovando en materia de objetivos, tácticas y tecnología.",1
"78","Que se celebrará el viernes 14 de octubre de 2011, a las 10.15 horas",0
"79","Pero, como dije en la sesión abierta del martes, los acontecimientos deben considerarse en su contexto, y el Consejo de Seguridad no hace nada para contribuir a una solución pacífica cuando condena las acciones de una parte y hace la vista gorda ante todo lo que ocurre en la región.",1
"80","La congelación de activos puede limitar a los financiadores del terrorismo, limitando su acceso al sistema bancario formal y limitando su posibilidad de asociarse con entidades comerciales legítimas.",0
"81","Como consecuencia de ello, se ha cruzado una línea en relación con las amenazas a la seguridad de muchos países dentro y fuera de África, incluidos los miembros de este Consejo, exponiendo sus vulnerabilidades.",1
"82","6. Subraya que está plenamente dispuesto a imponer medidas selectivas contra las personas que designe el Comité de conformidad con los párrafos 9, 11 y 14 de la resolución 1572 (2004), que se determine que son, entre otras cosas:",1
"83","La mayoría de los Estados tienen una capacidad limitada para congelar fondos y activos sin demora, y ningún Estado implementa medidas adecuadas para proteger a las organizaciones sin fines de lucro del financiamiento del terrorismo.",1
"84","El Consejo subraya su voluntad de tomar medidas contra cualquier parte que intente socavar el proceso de paz, incluso no respetando dicho cese de hostilidades o impidiendo las conversaciones, el mantenimiento de la paz o la ayuda humanitaria.",1
"85","Mi delegación condena firmemente esa violencia y expresa su más sentido pésame a las familias del pediatra fallecido.",1
"86","43. Para lograr estos objetivos, la MINUSTAH documentó casos generalizados de detenciones ilegales, malos tratos y detenciones preventivas prolongadas.",1
"87","Lugar de nacimiento: Abidjan, Costa de Marfil",0
"88","Decisión del Gobierno de la Federación de Rusia Nº 268, de 23 de abril de 1992, titulada ""Reglamento del servicio estatal de fitocuarentena"".",0
"89","Está claro que todas las instituciones de orden público en Irak enfrentan graves desafíos.",1
"90","Todo esto requiere una lucha muy decidida contra actores informales arraigados, cuya existencia es una amenaza y un obstáculo para el pleno ejercicio de la soberanía por parte del Estado afgano.",1
"91","Los estados de Unity y Lakes permanecen bajo gobernadores interinos.",0
"92","Insto a los dirigentes libaneses a que reanuden y aceleren sus debates sobre el desarrollo de una estrategia de defensa nacional y logren avances tangibles. El resultado final de ese proceso debe ser que no haya armas sin el consentimiento del Gobierno del Líbano y sin otra autoridad que la del Gobierno del Líbano.",1
"93","Las actualizaciones financieras mensuales están disponibles en el sitio web del Fondo (www.irffi.org).",0
"94","En particular, quisiera recalcar que, como se observa en el informe, los talibanes siguen constituyendo una amenaza real para la reconstrucción y la estabilidad del país, y contener a esta organización es crucial.",1
"95","No cabe duda de que hemos subestimado los desafíos humanitarios en el Afganistán. John Holmes abordará esto con mayor detalle.",0
"96","Como resultado, algunos miembros del Comité que no tenían información sobre un nombre y no habían participado en las consultas pueden haberse sentido periféricos en el proceso de toma de decisiones; pero, aunque podría haber habido un intercambio más abierto en las reuniones del Comité, todos los miembros tuvieron, y a menudo ejercieron, la opción de pedir más detalles cuando lo consideraron importante.",0
"97","También señaló que los actos de terrorismo se definían como delitos comunes y se trataban con arreglo a procedimientos penales estándar, en lugar de normas especiales o tribunales especiales.",1
"98","b) Alentar a los Estados a adoptar medidas prácticas y estrategias nacionales para reprimir el reclutamiento por grupos terroristas, respetando al mismo tiempo las obligaciones pertinentes en materia de derechos humanos;",0
"99","En el pasado, los esfuerzos nacionales, regionales e internacionales han logrado en su mayor parte abordar las manifestaciones inmediatas de las crisis, pero no las razones fundamentales de su estallido.",0
"100","Parentesco: Wasna Injai y Quiritche Cofte",0
"101","28. Según se informa, el Sr. Hassan fue recibido con entusiasmo a su regreso a Mogadishu desde Nairobi el 30 de julio.",0
"102","Teniendo presente la Convención sobre el Estatuto de los Refugiados de 28 de julio de 1951",0
"103","NOTA VERBAL DE FECHA 17 DE JUNIO DE 1998 DE LA MISIÓN PERMANENTE DE LA FEDERACIÓN DE RUSIA ANTE LAS NACIONES UNIDAS DIRIGIDA",0
"104","Además, los nombres mal identificados corren el riesgo de que las sanciones se apliquen a personas equivocadas.",1
"105","También destacó el riesgo de que el conflicto se agrave con la reanudación del periodo migratorio, las elecciones y la ausencia de diálogo.",1
"106","También será necesaria la asistencia de donantes bilaterales para permitir una respuesta significativa a las amenazas a la seguridad que plantean los flujos de drogas y armas.",0
"107","Se cree que los pagos generados por la liberación de barcos, cargamentos y tripulaciones incautados pueden utilizarse para financiar actividades o grupos terroristas.",1
"108","El plazo de notificación de seis meses podría ser demasiado corto para que RTK encuentre un mecanismo de cobro alternativo.",0
"109","Varias delegaciones pidieron al Gobierno de Malí que investigara las violaciones de los derechos humanos y expresaron preocupación por la liberación de los autores de graves delitos contra los derechos humanos.",0
"110","La mayoría de la gente en la región rechaza con razón un simple retorno al status quo ante, ya que no se puede esperar que una tregua basada en un resultado tan limitado dure.",1
"111","Las pruebas demuestran que seis soldados de las F-FDTL son razonablemente sospechosos de asesinato.",1
"112","Los siguientes términos tendrán el significado respectivamente indicado a continuación de cada término, a menos que el contexto indique lo contrario:",0
"113","Nos preocupa especialmente la proliferación incontrolada de armas en Libia y más allá de sus fronteras como resultado del conflicto.",1
"114","(d) Numeración de hasta 48 páginas en orden seriado;",0
"115","Este es un aspecto importante porque aumentó considerablemente el nivel de frustración y odio por parte de la población objetivo, incluidos los partidarios o supuestos partidarios de los partidos de oposición y los grupos comunitarios, con respecto a la policía y las fuerzas de seguridad.",1
"116","Condenamos enérgicamente estas prácticas, que constituyen una violación flagrante del derecho internacional y las normas humanitarias. Por lo tanto, hacemos un llamado a la comunidad internacional, al Cuarteto y a todos los demás interesados ​​a que intervengan de manera inmediata y decisiva para instar a Israel a poner fin a estas acciones, que plantean una grave amenaza a la paz y la seguridad en el Oriente Medio. La violencia sólo engendra violencia. La región quedará atrapada en un círculo vicioso del que le resultará difícil salir.",1
"117","Están bajo presión real de la comunidad internacional y cualquier comunicación bidireccional pone en riesgo su seguridad.",1
"118","Francia condena enérgicamente esos ataques y pide a todas las partes que actúen con la máxima moderación.",1
"119","78. Siete Estados cuentan con estructuras institucionales para aplicar estrategias de lucha contra el terrorismo.",0
"120","Expresamos nuestra grave preocupación por la difícil situación de los palestinos en la Franja de Gaza.",1
"121","Esto requerirá una posición clara, particularmente -si se me permite hablar con franqueza- por parte de los Estados Unidos de América.",1
"122","En este sentido, el Consejo de Seguridad enfatiza que poner fin a la impunidad es esencial en los esfuerzos de una sociedad en conflicto y posconflicto para llegar a un acuerdo con los graves crímenes del derecho internacional cometidos en el pasado y para prevenir futuros crímenes graves según el derecho internacional.",0
"123","1. Condena inequívocamente todos los actos, métodos y prácticas de terrorismo como criminales e injustificables, cualquiera que sea su motivación, en todas sus formas y manifestaciones, dondequiera y por quienquiera que sean cometidos, en particular aquellos que puedan amenazar la paz y la seguridad internacionales;",1
"124","Instamos a todos los Estados Miembros a que adopten medidas inmediatas para cumplir con la obligación contenida en la resolución 2036 (2012) de prohibir el comercio de carbón vegetal somalí, en particular por parte de quienes son más activos en ese comercio.",1
"125","Sr. Le Luong Minh (Viet Nam) (habla en inglés): El terrorismo es una preocupación compartida por todos los Miembros de las Naciones Unidas y la comunidad internacional en general.",1
"126","Dada la hostilidad de larga data de estos grupos hacia las Naciones Unidas, esto sugiere un riesgo continuo para el personal de la misión.",1
"127","La perspectiva de género debe formar parte de la reforma y formación de todas las fuerzas de seguridad.",1
"128","Durante las consultas oficiosas del Comité celebradas el 22 de mayo, el Coordinador del Equipo de Vigilancia hizo una presentación oral sobre la actual amenaza a la paz y la seguridad internacionales que plantean AlQaida y sus afiliados.",1
"129","Sitio web iraní Rajanews, periodista Mostafa Ahmadi - 28 de febrero de 2012",0
"130","Del mismo modo, los grupos incluidos en la lista deben poder utilizar la fuerza para apoyar sus objetivos, y en las zonas donde son más activos no parece haber escasez de armas y explosivos.",0
"131","Se solicita una indemnización por un total de 100.968 libras chipriotas.",0
"132","(4) La incautación temporal no se relaciona con lo siguiente:",0
"133","Que se celebrará el miércoles 15 de junio de 2011, a las 10.00 horas",0
"134","""El Consejo de Seguridad considera que los refugios para terroristas siguen siendo una preocupación importante y reafirma la necesidad de que los Estados fortalezcan la cooperación para encontrar, negar refugio y llevar ante la justicia, sobre la base del principio de extraditar o procesar, a cualquier persona quien apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugios seguros.",1
"135","S/RES/1882 (2009), op. 6",0
"136","Entonces se supone que el modelo describe con precisión el yacimiento.",0
"137","""El Consejo de Seguridad alienta al AU-RTF a mantener sus operaciones contra todos los grupos del LRA, mientras trabaja con la ONU y organizaciones no gubernamentales para establecer sitios seguros de presentación de informes y proporcionar información para ayudar al LRA que demuestre un compromiso genuino con la desmovilización y el desarme.",1
"138","40 AK-47 y 14 RPG-2",0
"139","Se entregaron alimentos y no alimentos a 2.000 personas y medicamentos a 22.600 personas.",0
"140","Eliminación de la biorremediación in situ y el seguimiento a largo plazo;",0
"141","Se reunió con dirigentes del Movimiento Patriótico de Costa de Marfil (MPCI) en Bouaké, así como con destacadas organizaciones de derechos humanos, organizaciones de la sociedad civil y de paz, altos funcionarios eclesiásticos cristianos e islámicos, el equipo de las Naciones Unidas en el país, miembros de el cuerpo diplomático y el personal militar.",0
"142","El estado del Nilo Azul también sigue siendo motivo de preocupación para nosotros.",1
"143","También se destaca el creciente problema en Afganistán y en la zona fronteriza entre Afganistán y Pakistán, así como una amenaza constante en el norte de África, sin que se haya reducido la actividad en otras partes.",1
"144","Reserva operativa al 31 de diciembre de 2005",0
"145","Que se celebrará el jueves 12 de enero de 2012, a las 10.00 horas",0
"146","115. El embargo actual podría tener más efectos sobre los talibanes si tuviera esto en cuenta y si se impidiera a todos los actores no estatales en el Afganistán comprar armas, con las exenciones necesarias para fines humanitarios y de otro tipo, según lo autorizado por el Gobierno del Afganistán o el Consejo de Seguridad.",0
"147","ORIGINAL: INGLÉS NOTA DEL PRESIDENTE DEL CONSEJO DE SEGURIDAD",0
"148","Los órganos antiterroristas a los que el Consejo encomendó la aplicación de la resolución 1373 (2001) han tratado sistemáticamente, en el decenio siguiente, los posibles vínculos entre el terrorismo y la delincuencia organizada como si estuvieran dentro de su competencia.",0
"149","En ese sentido, quisiera recalcar una vez más que, a diferencia de otras situaciones bien conocidas que implican reivindicaciones territoriales infundadas e ilegítimas, incluidas aquellas bajo el pretexto inventado de cuidar a los grupos étnicos minoritarios, el derecho a la libre determinación y a la condición de Estado del pueblo de Palestina ha sido reconocida.",1
"150","Proyecto de rehabilitación de programas de producción de cultivos (trigo y cebada)",0
"151","El informe de tipologías del GAFI sobre lavado de dinero y financiación del terrorismo a través del sector inmobiliario (2008) sugiere posibles vínculos del sector inmobiliario con la financiación del terrorismo.",1
"152","Los Estados Unidos instan a las autoridades de Haití a cumplir su promesa de cubrir las seis vacantes en el Tribunal Supremo de Casación antes del 3 de octubre de 2011.",1
"153","Rumania subraya una vez más que cualquier acto terrorista es inaceptable y debe ser condenado.",1
"154","228. Antes de proceder a la presentación de los resultados de la investigación de la Comisión, así como de la evaluación jurídica de estos hechos, vale la pena proporcionar algunos datos tanto sobre el desplazamiento como sobre la destrucción, a fin de dar una imagen clara de la magnitud y escala de la situación.",0
"155","La delegación cubana condena enérgicamente los ataques contra civiles palestinos, así como la destrucción general que provocan las fuerzas de ocupación israelíes en el norte de la Franja de Gaza. Asimismo, hacemos un llamado al cese inmediato de esos ataques y a la retirada urgente de las fuerzas de ocupación.",1
"156","Las siguientes son las diferentes etapas involucradas en el proceso:",0
"157","S&P: A-1+; Moody's: P-1.",0
"158","171. La terminal de frutas del puerto de Abidján es claramente un lugar estratégico para la descarga de bienes y equipo militares y requiere una mayor vigilancia de la ONUCI.",1
"159","Está a punto de finalizar un proyecto de reglamento sobre el blanqueo de dinero.",0
"160","Que se celebrará el martes 17 de enero de 2006, a las 15.00 horas",0
"161","Una delegación expresó su preocupación por el hecho de que, a pesar de la designación del Consejo, los buques de Ocean Maritime Management continuaran sus operaciones, incluidas escalas en puertos extranjeros, y propuso que el Comité recordara a los Estados miembros su obligación de hacer cumplir la designación, incluso mediante el embargo de los buques de Ocean Maritime Management y la congelación de sus activos.",1
"162","""El Consejo de Seguridad insta a los Estados del Sahel, de África occidental y del Magreb a mejorar la cooperación y la coordinación interregionales a fin de desarrollar estrategias inclusivas y eficaces para combatir de manera amplia e integrada las actividades de los grupos terroristas, prevenir la proliferación de todas las armas y frenar la delincuencia organizada transnacional, incluidas actividades ilícitas como el tráfico de drogas.",0
"163","La cooperación en la subregión mejora continuamente, pero debería fortalecerse aún más, especialmente en las zonas fronterizas, a fin de reforzar los controles contra posibles incursiones terroristas y la proliferación de la delincuencia transnacional.",0
"164","Exige que todos los grupos armados, en particular los elementos [de grupos armados específicos] impidan el reclutamiento y la utilización de niños, exige además que todas las partes protejan y consideren víctimas a los niños que han sido liberados o separados de otras formas de las fuerzas y grupos armados, y enfatiza la necesidad de prestar especial atención a la protección, liberación y reintegración de todos los niños asociados con grupos armados;",1
"165","Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescrito por el Acuerdo General de Paz podría tener graves consecuencias.",1
"166","Durante el período que abarca el informe, el Gobierno no adoptó ninguna medida contra esos agentes de policía nacionales no certificados.",1
"167","El Gobierno y el equipo de las Naciones Unidas en el país, con aportaciones del Banco Mundial, prepararon un folleto sobre los Objetivos, en el que se esboza la situación actual de Timor-Leste y se exponen las implicaciones políticas para el logro de metas e indicadores.",0
"168","Es evidente que la Comisión puede no estar en condiciones de cumplir estas tareas si no ha establecido previamente (a) si las violaciones equivalen a crímenes internacionales y, de ser así, (b) a qué categorías de crímenes pertenecen (crímenes de guerra, crímenes contra la humanidad, genocidio u otros crímenes).",1
"169","Para cumplir esos estándares es necesario transferir más competencias y responsabilidades a las autoridades locales y acelerar la privatización.",0
"170","Actualmente, el régimen de sanciones no está dirigido a las capacidades de mando, control, comunicaciones e información de los grupos incluidos en la lista.",0
"171","El Gobierno haría un gran servicio a su sistema judicial si tomara medidas para derogar el decreto que creó los tribunales.",1
