"en_ar_GOOGLE"	"MatConf"
"ونتيجة لذلك، فإنها تكتسب بشكل مطرد ثقة واحترام الجمهور."	0
":: تقديم من يمولون الأعمال الإرهابية أو يخططون لها أو يدعمونها أو يسهلونها أو يرتكبونها إلى العدالة، مع الإشارة بشكل خاص إلى مبدأ &quot;التسليم أو المحاكمة&quot;، وفقا للقانون الدولي، بما في ذلك قانون حقوق الإنسان"	0
"27 - وواصل الجيش الشعبي الرواندي القصف وشن هجمات غير مجدية على مواقع قوات الدفاع الشعبي الأوغندية، ودمر محطة توليد الكهرباء على نهر تشوبو انطلاقا من قواعد تكتيكية أقامها وسط مناطق مأهولة بالمدنيين."	1
"في 25 أيار/مايو، قدم رئيس اللجنة المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان، السفير هيرالدو مونيوز، ممثل شيلي، التقرير الشفوي الأول عن فترة 120 يوما إلى المجلس، على النحو المطلوب بموجب الفقرة 12 من القرار. قرار مجلس الأمن رقم 1526 (2004) بشأن عمل اللجنة وفريق الدعم التحليلي ومراقبة الجزاءات التابع لها"	0
"103 - ومن الواضح أن الإرهابيين سيستخدمون الأسلحة الأكثر موثوقية وفعالية التي يمكنهم الحصول عليها."	1
"وتظهر الهجمات المتكررة التي يشنها الإرهابيون المرتبطون بحركة الطالبان وتنظيم القاعدة في أفغانستان أن انتهاكات حظر الأسلحة لا تزال مستمرة على الرغم من برنامج نزع السلاح الذي تنفذه الحكومة."	1
"59. ينبغي تأمين منطقة التخزين بواسطة نظام قفل ووجود حراس فعليين. ومن خلال القيام بذلك، يمكن منع المخالفات والسرقة."	0
"ويشجعها على مضاعفة جهودها من أجل توفير الأمن للسكان المدنيين على أراضيها، بما في ذلك الأجانب الذين يمنحونهم اللجوء."	0
"319- ومن الواضح أن التدمير الشامل للقرى على يد القوات الحكومية والجنجويد لم يكن مبرراً بالضرورة العسكرية."	1
"13. تواصل بعثة تقصي الحقائق التي تنظر في ادعاءات استخدام المواد الكيميائية السامة كأسلحة في الجمهورية العربية السورية عملها."	0
"14 أكتوبر 2009؛ ظهر مرة أخرى في 5 مارس 2010 و7 أكتوبر 2010"	0
"المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية"	0
"ومع ذلك، في العديد من مناطق البلاد، لا توجد قدرة على الاحتجاز ولا أي محاكم عاملة، مما يجبر سلطات إنفاذ القانون على إطلاق سراح الجناة الذين يُزعم أنهم خطرون أو مطالبة وحدات بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية باحتجاز المشتبه بهم لأسباب تتعلق بالأمن وحماية المدنيين."	1
"ويذكّر الفريق الدول بأنه على الرغم من الاقتراحات المخالفة التي قدمها الفريق الرفيع المستوى المعني بالتهديدات والتحديات والتغيير (A/59/565، الفقرة 152) وغيره، فإن اللجنة وضعت منذ فترة طويلة معايير للإدراج في القائمة وحذفها. -قائمة."	0
"أولا وقبل كل شيء، لا تزال المخاوف على الجبهة الأمنية ذات أهمية قصوى."	0
"وأشار بعض أعضاء المجلس إلى أهمية التنسيق - بين لجان الجزاءات التابعة للمجلس وأفرقة الخبراء والدول الأعضاء، وكذلك بين كيانات الأمم المتحدة والبعثات الميدانية وقادة القوات - لتحقيق التنفيذ الفعال لجزاءات المجلس."	0
"وقد يتطلب ذلك منهم تحديد طبيعة علاقتهم مع الكيان الآخر."	0
"لقد استهدفوا مواقع جغرافية مختلفة للعمليات العسكرية، ويخططون لانتزاعها من المعارضة. وتشمل هذه المواقع بيدوا وماركا ومقديشو."	1
"ومن أجل تحديد هوية الجناة، قررت اللجنة أنه يجب أن تكون هناك مجموعة موثوقة من المواد تتفق مع الظروف الأخرى التي تم التحقق منها، والتي تميل إلى إظهار أنه قد يكون هناك شك معقول في تورط شخص ما في ارتكاب جريمة."	0
"بالإضافة إلى ذلك، يجب أيضًا إلغاء جواز السفر إذا كان وجود حامله في الخارج يتعارض بشكل خطير مع مصالح البلاد وسمعتها أو إذا كان الأمن الداخلي أو الخارجي للبلاد معرضًا للخطر (المادة 25 (ح) من قانون تنمية المجتمع)."	0
"الوزيرة ماريا أنجيليكا آرسي دي جانيت (المكسيك)"	0
"4. يجب أن يكون قضاة المحكمة أشخاصًا يتمتعون بأخلاق عالية وحياد ونزاهة، ويتمتعون بخبرة قضائية واسعة."	0
"وقد أبرمت جنوب أفريقيا ثلاثة عشر اتفاقاً لتسليم المجرمين مع دول أخرى."	0
"283) على أساس تحقيقاتها ونمط الهجمات الجوية التي أثبتتها، ترى اللجنة أن الجيش يتحمل المسؤولية عن عدد كبير جداً من الهجمات الجوية العشوائية التي أدت إلى مقتل العديد من المدنيين."	1
"ورغم أن تصرفات حزب الله مؤسفة، وكما قلت، فإن لإسرائيل الحق في الدفاع عن نفسها، إلا أن الاستخدام المفرط للقوة يستحق الإدانة."	0
"تنفيذ سياسة الأمم المتحدة لبذل العناية الواجبة في مجال حقوق الإنسان"	0
"50- وفي إحدى الحوادث التي وقعت في يوبوغون، الساعة 15/6 صباحاً، بينما كان المتظاهرون يحاولون التجمع في الشارع، هددتهم سيارة جيب بها رجال يرتدون الزي الرسمي يتحدثون الإنجليزية، ولا يحملون أي شارات، بالقتل."	1
"وإذ يساوره بالغ القلق إزاء الأنشطة المسلحة وأعمال اللصوصية في [المنطقة] التي تهدد أمن السكان المدنيين، وسير العمليات الإنسانية في تلك المناطق واستقرار تلك البلدان، والتي تؤدي إلى انتهاكات خطيرة لحقوق الإنسان والقانون الإنساني الدولي."	0
"مقتل خمسة أشخاص وإصابة 10 أشخاص بجروح خطيرة."	1
"واعتمدت حكومة جمهورية مقدونيا، في جلستها المعقودة في 19 نيسان/أبريل 2011، قرارا بإنفاذ القيود الواردة في القرار المذكور أعلاه."	1
"وتقدم الأقسام التالية وصفاً للنتائج الواقعية التي توصلت إليها اللجنة فيما يتعلق بأنماط الهجمات على المدنيين في ولايات دارفور الثلاث."	1
"70 - خلال الفترة المشمولة بالتقرير، نفذت إدارة الشباب برامج في مجال التعليم غير الرسمي وخدمة المجتمع وتبادل الطلاب والمنح الدراسية."	0
"31 - ويبلغ قوام الوحدات المتكاملة المشتركة، الذي ظل دون تغيير منذ نيسان/أبريل 2009، 900 32 فرد (حوالي 83 في المائة من القوام المأذون به البالغ 639 39 فردا)."	1
"ونظر أعضاء المجلس أيضا في تقرير الأمين العام (S/2000/632)، الذي أشار إلى أنه قد تم إحراز تقدم مهم على الجبهتين السياسية والعسكرية، ولكن لا تزال هناك تحديات كثيرة أمام حكومة غينيا - بيساو لاستعادة السلام الدائم والاستقرار والأمن. تنمية مستدامة."	0
"14 - الحالة في سيراليون (27 تشرين الثاني/نوفمبر 1995؛ 11 نيسان/أبريل 2012)."	0
"ثانياً-ألف1-010 ألياف مشربة بالراتنج أو مشربة بالقار (مواد مسبقة التشكيل)، أو ألياف معدنية أو مغلفة بالكربون (مسبقة التشكيل) أو &quot;ألياف كربونية مسبقة التشكيل&quot;، على النحو التالي:"	0
"78 - وفي 12 و 13 شباط/فبراير، نظمت بعثة الأمم المتحدة لتقديم المساعدة إلى الصومال، وانضم إليها مكتب الأمم المتحدة لدعم بعثة الاتحاد الأفريقي في الصومال وبرنامج الأمم المتحدة الإنمائي ومكتب الأمم المتحدة لدى الاتحاد الأفريقي، معتكفا مع الاتحاد الأفريقي وبعثة الاتحاد الأفريقي بالقرب من أديس أبابا."	0
"ممتلكات ملموسة أخرى - 528 946 26 دولاراً أمريكياً"	0
"وقد أدى عامين من الصراع إلى تفاقم الخلافات السياسية وتعميق الظروف الاجتماعية والاقتصادية القاسية أصلاً للغالبية العظمى من السكان."	1
"المنطقة السكنية ميتروفيتشي/ميتروفيتشا (كما هو موضح في الخريطتين الثالثة باء وجيم)(1)."	0
"وكثيرا ما لاحظ الفريق نفسه شاحنات تابعة لاتحاد القوى من أجل الديمقراطية والتنمية تحمل علامات واضحة تدخل إلى المجمعات الحكومية وتخرج منها في الجنينة."	0
"10 - خلال المشاورات غير الرسمية التي عقدت في 20 تشرين الأول/أكتوبر، ناقشت اللجنة مسألة الطرائق الممكنة للتعاون بين الفريق وفرقة العمل المعنية بالإجراءات المالية."	0
"وقد تمت الإشادة بمقدمة التقرير السنوي للفترة 2007-2008، كما أعدها وفد فييت نام، لأنها قدمت ملخصا وتحليلا موضوعيا لأنشطة المجلس عبر المناطق وبشأن قضايا تتراوح بين انتشار أسلحة الدمار الشامل وانتشار أسلحة الدمار الشامل. دور المنظمات الإقليمية ودون الإقليمية في المساهمة في صون السلام والأمن الدوليين."	0
"وتشير أحدث المعلومات المتاحة إلى مقتل 35 مشرداً داخلياً وجرح 10 آخرين في أعمال العنف، واضطر أكثر من 000 4 مشرد داخلي وقروي إلى الفرار."	1
"ويقال إن سكان هذه الأحياء تعرضوا للاعتداء والضرب على أيدي قوات الأمن."	1
"وترى الحكومة السورية أن قضية ما يسمى باللاجئين السوريين هي قضية ملفقة إلى حد كبير. وتأمل أن يعودوا إلى وطنهم وألا يتم استغلال وجودهم لأغراض سياسية. وأدى التحسن الملحوظ في الوضع الأمني إلى عودة مجموعات كبيرة إلى بلادها واستئناف عملها، وهو ما منعتها الجماعات الإرهابية من القيام به."	1
"لكن حتى الآن لا يوجد حل دائم."	0
"وأصيب جندي بجروح طفيفة في إصبعه نتيجة انفجار قنبلة يدوية."	1
"ويعتقد أن هذه الميليشيات تعمل في المقام الأول تحت هيكل الإدارة القبلية."	1
"وفي أماكن أخرى، اضطرت المجموعات بسبب الضوابط الفعالة والحاجة إلى تجنب الكشف إلى تكييف وارتجال الأجهزة من المنتجات التي يمكن الحصول عليها بسهولة أكبر."	1
"303- هناك العديد من الحوادث التي قيل إن القوات الحكومية حاصرت فيها القرى وقامت بالحراسة بينما كان الجنجويد يحرقون وينهبون ويرتكبون فظائع أخرى ضد السكان."	1
"ودعوا إلى اتباع نهج دستوري فيما يتعلق بالترتيبات الانتقالية، مع تشكيل حكومة انتقالية جديدة يرأسها نائب الرئيس."	0
"كما دعمت عمليات هذه الجماعات جهود حركة طالبان الأفغانية في زعزعة استقرار أفغانستان."	1
"o في 6 تشرين الثاني/نوفمبر 2014، أسقطت قوات النظام صواريخ على مدرسة دارة عزة في حلب، مما أدى إلى إصابة 7 أشخاص وتدمير 3 فصول دراسية والطابق الثاني بأكمله."	1
"&quot;ويدين مجلس الأمن مقتل مدنيين أبرياء وانتهاكات حقوق الإنسان في شرق جمهورية الكونغو الديمقراطية، ويدعو إلى إجراء تحقيقات كاملة في مثل هذه الحوادث."	0
"إن التقارب المتزايد بين أساليب تمويل الإرهاب، وخاصة على المستوى المحلي، والأنشطة الإجرامية الأخرى، زاد من صعوبة التمييز بين إحداهما والأخرى."	1
"وعندما يتم القبض عليهم أو إعادتهم قسراً إلى وطنهم، يقوم المسؤولون من جمهورية كوريا الشعبية الديمقراطية بإخضاعهم بشكل منهجي للاضطهاد والتعذيب والاحتجاز التعسفي المطول، وفي بعض الحالات، للعنف الجنسي، بما في ذلك أثناء عمليات التفتيش الجسدي التوغلية."	1
"السيد محمود عبود، وزير مستشار، البعثة الدائمة لجزر القمر لدى الأمم المتحدة"	0
"خسارة الأرباح على مشروع معين"	0
"وأشار خبراء الوكالة الدولية للطاقة الذرية للفريق إلى أنه من الأرجح أن يحصل الإرهابيون بشكل غير مشروع على جهاز عسكري بدلا من أن يصنعوا جهازا مرتجلا خاصا بهم."	1
"تحميل الأشخاص الاعتباريين أو الكيانات المسؤولية عن الجرائم المتعلقة بتمويل الإرهاب؛"	1
"لقد أرسى الزعيمان الأسس لاستمرار الحوار بين لبنان والفلسطينيين، وهو ما يمثل في رأيي خطوة هامة نحو التغلب بشكل نهائي على الماضي الصعب ونحو إعادة تأكيد سيادة لبنان واستقلاله السياسي."	0
"51- تبلغ ميزانية الخطة الوطنية للقضاء على الكوليرا 443.7 مليون دولار للفترة 2013-2015."	0
"42- وتعرض ورقة الموقف صراحة بعض الصعوبات التي يواجهها الوضع الذي تواجهه الحكومة. ويذكر أن الجيش الإيفواري، في حالة الدفاع عن النفس، لم يرد على هجمات المهاجمين إلا بغرض تحرير الأراضي الإيفوارية وضمان سلامة الأشخاص والممتلكات."	1
"وألحق المهاجمون أضرارا جسيمة ببوابة المدخل الرئيسية، وجزء من الجدار الخارجي المحيط بالسجن، والأسلاك الشائكة على الجدار المحيط، وشاحنة نقل السجناء الوحيدة في السجن."	1
"كما اندلعت اشتباكات خطيرة بين الفصائل المسلحة في مخيم عين الحلوة للاجئين الفلسطينيين، وأصيبت مدرسة تابعة لوكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى، مما تسبب في أضرار مادية."	1
"المخزون في مقر شركة البترول الوطنية الكويتية 329 - 338 82"	0
"I. نظرة عامة على مطالبات الدفعة الأولى"	0
"استجابةً لجائحة الأنفلونزا A (H1N1)، في الفترة من منتصف عام 2009 إلى أغسطس 2010، قامت وزارة الصحة، بدعم من منظمة الصحة العالمية، بوضع خطط للتأهب للجائحة، بما في ذلك تعزيز نظم المراقبة الخاصة بها؛ الحصول على أقراص تاميفلو؛ تركيب جهاز تنفس صناعي في المستشفى الوطني؛ ونفذت مجموعة من الدورات التدريبية للعاملين في مجال الرعاية الصحية."	0
"وبموجب المادة 86، يجوز أيضًا حجز الشحنات."	0
"كما عزز الاتجار بالأسلحة سوق الحماية بين الجماعات المسلحة والمهربين الذين يحمون طرق التجارة غير المشروعة."	1
"نجاحها الرئيسي الآخر هو بقائها، لكن صفوفها تتضاءل، وبمرور الوقت، سيتم القبض على معظم قادتها الرئيسيين أو قتلهم."	1
"ويجب أيضًا التركيز على تنمية المجتمع وخلق سبل العيش."	0
"المعدات المحددة في 9.ب.1. يتضمن ما يلي:"	0
"ولم تتخذ الحكومة الإجراءات الإدارية والتشريعية اللازمة لمحاربة الفساد ومنعه في المؤسسات المؤقتة."	1
"وإذ يشير في هذا السياق إلى أن قتل أفراد مجموعة عرقية بقصد تدمير هذه المجموعة، كليًا أو جزئيًا، يشكل جريمة يعاقب عليها القانون الدولي،"	1
"وشوهد الأطفال وهم يرتدون الزي الرسمي ويحملون الأسلحة داخل وحول معسكرات المتمردين."	1
"8 - الحالة في الصومال (17 آذار/مارس 1992؛ 21 تشرين الأول/أكتوبر 2010)."	0
"وسيكون هناك خطر يتمثل في تركيز الاهتمام على الوضع على حساب المعايير."	0
"قانون جمهورية بيلاروسيا المؤرخ 2 كانون الأول/ديسمبر 1994 &quot;بشأن المسائل البيطرية&quot;؛"	0
"16 - الحالة في الأراضي العربية المحتلة (4 أيار/مايو 1976؛ 13 تموز/يوليه 1998)."	0
"1. المجلس المركزي للضرائب والجمارك"	0
"قرار مجلس الأمن 1923 (2010)، ص 4"	0
"وفي عدد محدود من الحالات، ربما يكون دفع البدلات قد شجع القادة على إعادة تجنيد الأطفال الذين أطلق سراحهم بالفعل."	1
"49- خلال فترة المجاعة، استُخدم التلقين الإيديولوجي للحفاظ على النظام، على حساب تفاقم الجوع والمجاعة بشكل خطير."	1
"وقد تم تصنيف جميع المعدات وفقا للأنظمة التي وضعتها الجمعية العامة، وتم توفير قائمة بالمعدات الفائضة لبعثات حفظ السلام الأخرى."	1
"ثالثا، عانت حركة طالبان من مقتل أو اعتقال العديد من القادة من المستوى المتوسط وبعض كبار القادة، ورغم أن هناك الكثير ممن يمكنهم أن يحلوا محلهم، فإن القادة الجدد أصغر سنا ولديهم روابط أقل مع مجلس شورى كويتا، الذي يتمتع بالتالي بقدر أقل من السيطرة. على أفعالهم ومهمة أكثر صعوبة في تأكيد سلطتها على الحركة ككل."	1
"في القانون العام، يمكن تجميد الممتلكات في الإجراءات المدنية."	0
"وسيتم إنشاء وحدتين من هذه الوحدات في ديلي وواحدة في كل من غرب البلاد وشرقها."	0
"232. يصل العدد التقديري للسكان المتأثرين بالصراع في دارفور بالإضافة إلى اللاجئين في تشاد (1.65 مليون نازح داخليا، و 627.000 شخص متأثر بالصراع، و 203.051 لاجئا) إلى رقم مذهل يبلغ حوالي 2.5 مليون شخص متأثرين بطريقة أو بأخرى. آخر - الغالبية العظمى من النازحين من منازلهم."	1
"وأدى التضليل إلى تفاقم التمييز والوصم على أساس الهوية، وأدى إلى العنف بين المجتمعات وداخلها."	1
"وما يتعين على الجميع أن يفعلوه هو أن يرفضوا الأصوات المتطرفة التي تجد الراحة في الأساليب القديمة، والتي تعتقد أنه من المستحيل أن يتمكن الصرب والألبان من تطبيع علاقاتهم من خلال التوصل إلى تسوية تاريخية."	0
"ويعتقد الفريق أن إحدى نقاط قوة اللجنة الكبيرة تكمن في أنها تعمل بتوافق الآراء وأن اللجوء إلى إجراءات التصويت في مجلس الأمن على مستوى اللجنة من شأنه أن يقوض ممارسة عمل هامة."	0
"على سبيل المثال، بعد أشهر من الهجمات المستمرة على القرى في المنطقة، تجمع العديد من الأشخاص في دليج بعد فرارهم من قراهم."	1
"&quot;ويدعو مجلس الأمن كذلك حكومة جمهورية الكونغو الديمقراطية إلى مواصلة تنفيذ خطة عملها لمنع وإنهاء تجنيد الأطفال واستخدامهم، فضلا عن منع وإنهاء جميع أعمال العنف الجنسي ضد الأطفال التي ترتكبها القوات المسلحة لجمهورية الكونغو الديمقراطية."	1
"وتضمن التقرير وصفا قاتما للوضع في المنطقة الذي يتسم بمزيد من أعمال العنف والإرهاب."	1
"وفي تلك المرحلة، يخضع المجندون لقيادة الجيش النظامي ويرتدون عادة نفس الزي الرسمي للوحدة التي يقاتلون معها."	1
"ودُفن الموتى في ثمانية مقابر متعددة في منطقة السوق بالقرية."	1
"وعلاوة على ذلك، تلقت اللجنة إخطارا بحظر توريد الأسلحة استنادا إلى الفقرة 13 (أ) من القرار 2009 (2011) واستجابت له، وهو إخطار لا يتطلب إخطار اللجنة لأنه يتعلق بالأعتدة غير الفتاكة المقرر توريدها إلى حكومة ليبيا."	0
"وتتمثل القضايا الرئيسية المعلقة في الترتيب المتعلق بالمرور بين جيب أويكوسي وبقية تيمور الشرقية، وهو أمر بالغ الأهمية لرفاهية أويكوسي في المستقبل، ودفع المعاشات التقاعدية للموظفين السابقين الذين يرغبون في الإقامة في تيمور الشرقية."	0
"على سبيل المثال، وجدت اللجنة أنه في مناسبات عديدة، تم استخدام مصطلح الجنجويد من قبل الضحايا وأفراد السلطات لوصف رجال معينين ذكروا أسمائهم كقادة للهجمات على القرى التي قُتل فيها مدنيون وارتكبت عمليات اغتصاب."	1
"وإذ يدرك أن نظر مجلس الأمن في مسألة حماية الصحفيين في النزاعات المسلحة يستند إلى مدى إلحاح هذه المسألة وأهميتها، وإذ يسلم بالدور القيم الذي يمكن أن يؤديه الأمين العام في توفير المزيد من المعلومات حول هذه القضية،"	0
"لقد قامت اللجنة، وستستمر، بإرسال جميع المعلومات المتعلقة بأي مسألة جنائية خارج نطاق تحقيق اللجنة إلى السلطات اللبنانية."	0
"6. النقل القسري للسكان المدنيين"	0
