"","es","VerConf"
"27","La mayoría de los Gobiernos parecen estar resueltamente comprometidos a velar por que los organismos encargados de hacer cumplir la ley respeten los derechos humanos, aunque en algunos casos se han manifestado graves preocupaciones acerca de violaciones por parte de las fuerzas de seguridad.",1
"28","Las presiones políticas sobre la UNMIK han aumentado significativamente, y se ha intentado cuestionar la función que le confieren la resolución 1244 (1999) y el Marco Constitucional.",1
"29","Se está ajustando el despliegue del personal de policía de la MINUSTAH para asignar el mayor número de recursos posible al proceso electoral.",0
"30","En ese contexto, nos siguen preocupando los ciudadanos más vulnerables de Timor-Leste: los pobres y los desplazados.",1
"31","Actividades de sensibilización realizadas por el Grupo de Supervisión para Somalia",0
"32","En noviembre diez niños que habían permanecido en centros de tránsito del UNICEF fueron retornados a sus familias.",0
"33","Embajadora Susan Rice (Estados Unidos de América), Jefa de la Misión",0
"34","Todo ello requiere una lucha sumamente decidida contra arraigados actores no estatales, cuya existencia representa una amenaza y un obstáculo para el pleno ejercicio de la soberanía del Estado afgano.",1
"35","En lugar del famoso logotipo del Mundial de Fútbol de 2014, que se compone de tres manos victoriosas que sostienen el globo formando la prestigiosa copa, la viñeta de la Autoridad Palestina muestra un ""trofeo"" de tres manos que agarran a tres personas cuyos brazos están levantados en actitud de rendirse.",1
"36","b) El malestar social vinculado a problemas de exclusión de larga data ha contribuido a generar constantes protestas y a la aparición de grupos políticos y armados en el sur de las llanuras del Terai, que han creado nuevos riesgos de desplazamiento, muerte y reclutamiento para los niños;",0
"37","Es notable el interés por la aplicación del comunicado conjunto de 2 de abril de 2009, al que se hace alusión en el informe.",1
"38","El Consejo recuerda la importancia que otorga a que se ponga fin a la impunidad y haya justicia para los delitos cometidos en Darfur.",1
"39","La Comisión recomienda que se procese a las siguientes personas por la posesión, utilización y circulación ilegales de armas de la PNTL el 8 ó el 21 de mayo, o ambas fechas: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da Conceição, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco y Santa Cruz.",1
"40","16. Reitera a todos los Estados la importancia de presentar al Comité los nombres de miembros de la organización Al-Qaida y los talibanes o asociados con Osama bin Laden y otras personas, grupos, empresas y entidades asociados con ellos, para su inclusión en la lista del Comité, salvo que ello comprometa la realización de investigaciones o la imposición de medidas coercitivas;",0
"41","Turquía tiene la costumbre de inventar excusas y pretextos vanos para justificar sus actos de agresión.",0
"42","El ombudsman estaría facultado para examinar esas peticiones, así como otros casos planteados por su propia iniciativa, y para recomendar medidas para su aprobación por el Comité.",0
"43","CARTA DE FECHA 11 DE OCTUBRE DE 1999 DIRIGIDA AL PRESIDENTE DEL CONSEJO DE SEGURIDAD POR EL PRESIDENTE DEL COMITÉ DEL CONSEJO DE SEGURIDAD ESTABLECIDO EN VIRTUD DE LA RESOLUCIÓN 864 (1993)",0
"44","En los párrafos 1 y 2 de su resolución 2118 (2013), el Consejo de Seguridad determinó que el empleo de armas químicas en cualquier lugar constituía una amenaza a la paz y la seguridad internacionales y condenó en los términos más enérgicos todo empleo de armas químicas en la República Árabe Siria.",1
"45","Ya es hora de que la comunidad internacional tome medidas efectivas para proteger y hacer cumplir los derechos más elementales del pueblo palestino y ayudar a poner fin al ciclo vicioso de violencia ocasionado por la ocupación ilícita persistente y continuada de territorios palestinos por Israel.",1
"46","Las fuerzas de la oposición (de Mohamed Ibrahim Habsade) lograron el control de Baidoa hacia el 26 ó 27 de marzo derrotando de manera aplastante a las milicias del Presidente Yusuf y el jeque Madobe.",0
"47","El Sr. Malik quería enviar agentes de la UNPOL con el Coronel Reis para que se reunieran con el General de Brigada Ruak, a lo que el Coronel Reis se negó, por considerar que la presencia de más agentes de policía con camisa azul agravaría la situación.",1
"48","Los palestinos y los países árabes deben dar a Israel las necesarias y confiables garantías de su seguridad como Estado.",1
"49","La reforma administrativa a nivel nacional hasta hoy no representa una mejoría.",1
"50","i. Tungsteno y sus aleaciones con un contenido en peso de tungsteno del 97% o superior;",0
"51","Condeno enérgicamente el empleo de productos químicos tóxicos de todo tipo por cualquiera de las partes en el conflicto sirio.",1
"52","S/PRST/2013/2 (2013), párr. 15",0
"53","3. Šešelj IT-03-67-AR15bis (6 de junio de 2014)",0
"54","La mayoría de los testigos potenciales residentes fuera del Estado expresaron sus temores a declarar, incluso a título confidencial, porque temían por la seguridad de sus familiares y suponían que su conducta seguía siendo clandestinamente vigilada por las autoridades.",1
"55","El análisis de la amenaza que plantean los grupos terroristas en el continente africano es motivo de gran preocupación, pues, con razón o sin ella, agrupa al extremismo político, religioso e ideológico con la delincuencia organizada.",1
"56","Sr. Abdelaziz Abselaziz (Estados Unidos de América)",0
"57","Si bien queda fuera del mandato de la UNMISET, la reciente decisión de una Corte de Apelaciones de Indonesia en virtud de la cual se revocaban cuatro sentencias condenatorias dictadas por el Tribunal Especial de Derechos Humanos de Indonesia afecta directamente a la cuestión más amplia de adjudicar responsabilidades.",1
"58","El 3 de julio se lanzaron volantes sobre las ciudades de Han Pijesak, Visegrad y Vlasenica.",0
"59","También observó que los actos de terrorismo estaban tipificados como delitos comunes y se trataban con arreglo a los procedimientos penales estándar y no con arreglo a normas especiales o por tribunales especiales.",1
"60","En ese sentido, quisiera subrayar una vez más que, a diferencia de otras situaciones bien conocidas que implican reclamaciones territoriales infundadas e ilegítimas, incluidas las que se escudan en el pretexto inventado de atender a grupos étnicos minoritarios, se ha reconocido el derecho a la libre determinación y la condición de Estado del pueblo palestino.",1
"61","El Consejo de Seguridad reitera su profunda preocupación por el Estado Islámico del Iraq y el Levante (EIIL), el Frente al-Nusra (FAN) y otras entidades terroristas asociadas con Al-Qaida y por los efectos negativos de su presencia, su ideología extremista violenta, y las acciones que afectan la estabilidad del Iraq, la República Árabe Siria y la región, en particular las devastadoras consecuencias humanitarias para la población civil, que han dado lugar al desplazamiento de millones de personas, y por sus actos de violencia que fomentan las tensiones sectarias.",1
"62","Actividades marítimas e ingresos - carbón, pesca y piratería",0
"63","Se aguarda lo propio para dos unidades de policía constituidas.",0
"64","En última instancia, se adjudicó a Etiopía la suma de 174.036.520 dólares.",0
"65","La solución de un solo Estado podría satisfacer varios deseos fundamentales de los palestinos pero no cumple con el requisito esencial de Israel de conservar su libre determinación y soberanía.",0
"66","La convergencia cada vez mayor entre los métodos de financiación del terrorismo, especialmente a nivel local, y otras actividades delictivas hace que sea aun más difícil distinguir las primeras de las últimas.",0
"67","Expresé la profunda preocupación de este Consejo y del Secretario General por el reciente aumento de las tensiones entre el norte y el sur, así como por el hecho de que siga sin haber progresos sobre Abyei y otras cuestiones posteriores al Acuerdo General de Paz.",1
"68","Condenando la corriente ilícita de armas que continúan circulando y entrando en [el país afectado] en contravención de las resoluciones [en las que se prescriben las sanciones], declarando su determinación de seguir vigilando atentamente la aplicación del embargo de armas y otras medidas impuestas por sus resoluciones relativas [al país afectado] ...",1
"69","El segundo aspecto al que me quiero referir hoy es a nuestra constante preocupación por el bienestar de los personas inocentes en Gaza y en los pueblos y ciudades del sur de Israel.",1
"70","Las técnicas y los métodos van pasando de un grupo vinculado a Al-Qaida a otro, lo que facilita un nivel de innovación que aumenta la amenaza.",1
"71","El Consejo de Seguridad reitera su preocupación ante la creciente conexión existente, en muchos casos, entre el terrorismo y la delincuencia organizada transnacional, las drogas ilícitas, el blanqueo de dinero y el tráfico ilícito de armas, y pone de relieve la necesidad de promover la coordinación de las iniciativas en los planos nacional, subregional, regional e internacional para reforzar la respuesta internacional a este grave problema y esta gran amenaza para la paz y la seguridad internacionales, y alienta a la Oficina de las Naciones Unidas contra la Droga y el Delito a que prosiga su labor en este sentido, en colaboración con otras entidades competentes de las Naciones Unidas.",1
"72","Sin embargo, estamos preocupados por los acontecimientos recientes que revelan un aumento de las tensiones entre los miembros de las comunidades locales y los contingentes de la Fuerza Internacional de Asistencia para la Seguridad.",1
"73","Lamentablemente, también hay numerosos ejemplos en los que los mecanismos de determinación de hechos habrían podido contribuir a establecer la verdad, asegurando la rendición de cuentas e impidiendo nuevas violaciones a los derechos humanos, pero en los que el Consejo no adoptó medidas efectivas debido a consideraciones políticas.",1
"74","Cualesquiera que sean los objetivos, no tienen posibilidades de éxito.",0
"75","Sus competencias son en la actualidad prácticamente idénticas a las de los magistrados permanentes.",0
"76","En síntesis, las actividades que se ha propuesto el ECOMOG incluyen las siguientes:",0
"77","Namibia no está en condiciones de hacerlo.",0
"78","Que se celebrará el jueves 25 de marzo de 2004, a las 10.10 horas",0
"79","Estas tendencias se manifiestan en varias situaciones de conflicto contemporáneas que figuran en el orden del día del Consejo.",1
"80","Uganda considera que poner fin a la impunidad es la única medida disuasoria contra los crímenes que más preocupan a la comunidad internacional.",1
"81","En una reunión con la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC), celebrada el 5 de agosto, el nuevo Ministro de Justicia reseñó las nuevas iniciativas del Gobierno para reestructurar la Dependencia a fin de ajustarla a los objetivos de la Iniciativa de la Costa de África Occidental. El 27 de octubre, más de 100 parlamentarios y representantes del Gobierno aprobaron una declaración política en la que reiteraron la decisión de Guinea-Bissau de apoyar las iniciativas de lucha contra la delincuencia organizada transnacional, incluido el tráfico de drogas, la corrupción, el blanqueo de dinero y el terrorismo, e instaron a las Naciones Unidas a que siguieran ayudando a fortalecer las instituciones nacionales en esa esfera.",0
"82","236. El Grupo de Supervisión se reunió en dos ocasiones en Nairobi con miembros del equipo del Banco Mundial en el país.",0
"83","Naturalmente, estamos profundamente preocupados por la situación en los estados del Kordofán del Sur y del Nilo Azul, dada su proximidad geográfica con nuestro país.",1
"84","Sr. Le Luong Minh (Viet Nam) (habla en inglés): El terrorismo es una preocupación común de todos los miembros de las Naciones Unidas y de la comunidad internacional en general.",1
"85","El manifiesto indicaba que el envío, que tuvo lugar en junio de 2003, se mencionaba como ""carga general"".",0
"86","Observando con preocupación que la amenaza del terrorismo ha cobrado un carácter más difuso, con un incremento de los actos terroristas en diversas regiones del mundo, incluidos los motivados por la intolerancia o el extremismo, y expresando su determinación de combatir esta amenaza,",1
"87","Si las misiones no cumplían sus responsabilidades de protección de los civiles, ello iba en detrimento de otras tareas encomendadas a ellas, por no hablar de la pérdida de vidas y el sufrimiento que ello provocaba.",1
"88","Además, es necesario seguir investigando para demostrar que esos programas obtienen resultados verdaderos y positivos en lo concerniente a la posibilidad de que esas personas cometan nuevos actos de terrorismo o inciten a otros a cometerlos.",0
"89","Todos los Estados actualmente tipifican debidamente en su derecho interno la concesión de cobijo a los terroristas y a quienes los apoyan y la utilización de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.",0
"90","a) Sistema central de computadoras del Ministerio de Finanzas: 5.724.322 dólares de los EE.UU.",0
"91","Es necesario que adopten medidas adecuadas para reprimir la financiación del terrorismo.",1
"92","Las partes están cerca de llegar a un convergencia de opinión sobre las cuestiones básicas en el capítulo de la economía.",0
"93","El Consejo de Seguridad condena enérgicamente este intento de desestabilizar las instituciones libanesas, en particular las fuerzas armadas del Líbano.",1
"94","[D]estacando la importancia de ... desarmar permanentemente, desmovilizar, reasentar o repatriar, según corresponda, y reintegrar a los grupos armados [nacionales] y extranjeros para lograr la estabilización a largo plazo [del país afectado], así como la contribución que han hecho en este ámbito los asociados internacionales.",0
"95","Si bien la piratería aérea frente a las costas de Somalia sigue siendo un grave problema, rogamos a la comunidad internacional que no olvide que la solución debe encontrarse en tierra firme, y no en el mar. La amplia resolución del conflicto somalí debe abordar todas las causas que originan la piratería y otros problemas, incluida la explotación de los recursos marinos y el vertimiento de desechos tóxicos.",1
"96","Pese a estos retos, no podemos dejar de reconocer que aproximadamente el 50% de la población afgana vive en zonas donde la responsabilidad por la seguridad se ha transferido a las fuerzas de seguridad afganas.",1
"97","El nivel de ratificación de los instrumentos internacionales se ha mantenido desde 2009 y varía mucho.",0
"98","A medio plazo, se procuraría sobre todo controlar las zonas mineras, eliminar la amenaza que plantean los grupos armados de Ituri y restringir la presencia de las FDLR en determinadas zonas con miras a facilitar el proceso de desarme, desmovilización, repatriación, reintegración y rehabilitación.",1
"99","No se puede permitir que los terroristas y sus cómplices aprovechen las lagunas jurídicas existentes para eludir la responsabilidad de sus actos.",1
"100","El Consejo de Seguridad toma nota con interés de la importante propuesta del Secretario General de establecer una comisión de consolidación de la paz y comparte el objetivo de mejorar la capacidad de las Naciones Unidas para coordinar con los donantes y los países que aportan contingentes y para llevar a cabo actividades de consolidación de la paz, en particular desde el inicio de las operaciones de mantenimiento de la paz mediante la estabilización, la reconstrucción y el desarrollo.",0
"101","La Representante Especial lamentaba que la situación de los derechos humanos siguiera caracterizándose por vulneraciones constantes y advirtió de que la situación podía incluso empeorar con la aprobación y aplicación de un nuevo proyecto de ley sobre seguridad.",1
"102","Esa fue la razón de que, tan pronto comprobó la presencia indeseable de los rebeldes ugandeses del Ejército de Resistencia del Señor, el Gobierno de mi país no dudó ni un solo instante en formularles un ultimátum, conminándolos a abandonar inmediatamente el territorio nacional.",1
"103","Que se celebrará el viernes 14 de febrero de 2014 a las 11.00 horas",0
"104","Darfur se encuentra en una fase crítica.",0
"105","El Consejo de Seguridad observa con profunda preocupación las consecuencias humanitarias del conflicto en el pueblo de Angola.",1
"106","Mauricio introdujo en 2009 un nuevo sistema de control fronterizo que registra en una base los datos de los pasajeros a su entrada o salida del aeropuerto internacional.",0
"107","La Misión está examinando junto con algunos líderes de los combatientes rwandeses y con el Gobierno de Transición las modalidades técnicas de repatriación, y ha publicado la decisión adoptada por el Gobierno de Rwanda de no enjuiciar a ningún ex combatiente que tuviera 14 años o menos durante el genocidio de 1994.",0
"108","En lo que respecta a Crimea, el Subsecretario General informó al Consejo de que, además de las anteriores violaciones de los derechos humanos sobre las que se había informado, cada vez era mayor el número de casos de desapariciones forzadas, y expresó preocupación por el secuestro de cuatro tártaros de Crimea durante el mes anterior en Crimea, uno de los cuales había sido encontrado muerto.",0
"109","Subraya el papel que la Dirección de Medios de Difusión, el Comité Internacional de Personalidades y el Comité Internacional de Apoyo a la Transición han desempeñado para favorecer el buen desarrollo del proceso electoral y la tranquilidad del clima político, y les renueva su apoyo.",0
"110","2. Decide también seguir ocupándose de la cuestión.",0
"111","Declaración del Excmo. Sr. Milan Milutinovic, Presidente de la República de Serbia",0
"112","Los países sahelianos están logrando progresos en sus capacidades de lucha contra el terrorismo.",0
"113","La mayoría de las personas en la región rechazan con razón volver al statuo quo anterior, puesto que no se puede esperar que una tregua basada en un resultado tan limitado sea duradera.",1
"114","El Consejo de Seguridad destaca que cualquier intento de desestabilizar el Chad por la fuerza es inaceptable.",1
"115","Resultados: 60 participantes de 18 países y regiones (de 1995 a 2001)",0
"116","Con ese fin, uno de los instrumentos a disposición de los Estados Miembros es el Registro de Armas Convencionales de las Naciones Unidas. Este Registro incluye los datos aportados por los Estados sobre las transferencias internacionales de armas y también la información sobre existencias militares, las adquisiciones de producción nacional y las políticas pertinentes.",0
"117","Encontrar un punto de partida para los debates sobre los retos pendientes que enfrentan las sociedades del Oriente Medio y hallar las posibles oportunidades que se derivan de esos problemas podría ser una tarea onerosa.",0
"118","También señaló que seguía profundamente preocupado por las acciones unilaterales, las restricciones y las provocaciones que se habían producido en los lugares sagrados de Jerusalén.",1
"119","Los conflictos étnicos y relativos a las fronteras sin resolver han dado lugar a diferendos que socavan los esfuerzos para poner en práctica una respuesta cohesiva y de alcance regional contra el terrorismo.",1
"120","Insisten en tratar el caso como un simple delito migratorio.",1
"121","6. Subraya que está plenamente dispuesto a imponer medidas selectivas contra las personas que designe el Comité de conformidad con los párrafos 9, 11 y 14 de la resolución 1572 (2004), sobre las que se haya determinado, entre otras cosas, que:",1
"122","El Servicio Geológico de los Estados Unidos hizo unas primeras modificaciones a la base de datos digital y envió una computadora portátil con la base de datos revisada al Ministerio de Tierras, Minas y Energía en febrero de 2009.",0
"123","El Consejo de Seguridad apoya las conversaciones de las seis partes y exhorta a que se reanuden sin tardanza con miras a que se logre de manera pacífica la desnuclearización verificable de la península de Corea y se mantengan la paz y la estabilidad en la península de Corea y en el Asia nororiental.",0
"124","Las definiciones de terrorismo de algunos Estados parecen ambiguas o demasiado amplias y deberían adecuarse a las normas internacionales.",1
"125","La situación imperante en Siria es motivo de profunda y creciente preocupación para las Naciones Unidas.",1
"126","A este respecto, la Dirección Ejecutiva seguirá vinculando las necesidades prioritarias determinadas con los programas de los donantes y proveedores de asistencia actuales y potenciales con el fin de aumentar la capacidad de los Estados Miembros para luchar contra el terrorismo y fortalecer el diálogo entre la comunidad de donantes y los Estados beneficiarios.",0
"127",":: El 8 de noviembre de 2014, las fuerzas del régimen atacaron la localidad de Sheikh Miskeen y provocaron la muerte de cinco personas, incluidos dos niños y dos mujeres.",0
"128","Todos esos acontecimientos han repercutido negativamente en los avances y los resultados logrados en el ámbito de la paz, la seguridad, la reconciliación y la estabilidad en general.",0
"129","b) Tipifiquen como delito la provisión o recaudación intencionales, por cualesquiera medios, directa o indirectamente, de fondos por sus nacionales o en su territorio con la intención de que dichos fondos se utilicen, o con conocimiento de que dichos fondos se utilizarán, para perpetrar actos de terrorismo;",1
"130","1. Congelación de fondos y activos financieros",0
"131","Por el Reino de la Arabia Saudita",0
"132","Dicho de otro modo, la Comisión Nacional era plenamente consciente de las graves acusaciones de crímenes cometidos en Darfur.",1
"133","El Irán calcula entonces el valor monetario de las pérdidas multiplicando las cantidades reducidas de pescado por los precios medios de mercado de las correspondientes especies.",0
"134","La Red Siria para los Derechos Humanos no pudo reunir información sobre las muertes ocurridas en las zonas aisladas por el régimen.",1
"135","El programa no se aplicará a personas consideradas delincuentes o terroristas internacionales, como los miembros de Al-Qaida.",1
"136","El Consejo de Seguridad se siente especialmente preocupado por la revocación del estatuto de refugiado de muchos refugiados de [Estado vecino] y por la decisión consiguiente de poner fin a la asistencia prestada a esos refugiados ... Las decisiones del [Estado afectado] a este respecto podrían llevar al retorno involuntario de decenas de miles de personas a una zona que no es segura ni está preparada para recibirlas.",1
"137","El Consejo de Seguridad invita a todos los Estados, la Organización Marítima Internacional, la Organización Internacional del Trabajo y otras organizaciones y organismos internacionales pertinentes a que adopten o recomienden, según proceda, medidas para evitar los secuestros, medidas para proteger el interés y el bienestar de los navegantes víctimas de los piratas, tanto durante su cautiverio mediante la prestación de asistencia médica y asistencia humanitaria de otra índole, como después de haber sido puestos en libertad, incluidos servicios de asistencia y reintegración en la sociedad después del incidente, y, a este respecto, toma nota de las propuestas para elaborar un programa de apoyo a los rehenes elaboradas por las Naciones Unidas, la Oficina Política de las Naciones Unidas para Somalia y la Oficina de las Naciones Unidas contra la Droga y el Delito.",0
"138","El Consejo de Seguridad observa con preocupación que el terrorismo sigue constituyendo una grave amenaza para la paz y la seguridad internacionales, el disfrute de los derechos humanos y el desarrollo social y económico de los Estados, y socava la estabilidad y la prosperidad mundiales, y que esta amenaza ha cobrado un carácter más difuso, con un incremento de los actos terroristas en diversas regiones del mundo, incluidos los actos motivados por la intolerancia y el extremismo, y reafirma su determinación de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas y el derecho internacional, incluidas las normas de derechos humanos, el derecho de los refugiados y el derecho humanitario aplicables, las amenazas a la paz y la seguridad internacionales causadas por los actos terroristas.",1
"139","En el informe del Equipo se examinan las razones por las que muchos Estados aún no reconocen las posibilidades plenas que ofrece el régimen de sanciones.",1
"140","No se elaboró documento alguno en que se expusieran los fundamentos de la declaración, su alcance territorial, el grado de intervención de las autoridades militares, las facultades atribuidas así como la modalidad de cooperación entre las F-FDTL y la PNTL o las decisiones del mando de operaciones sobre el terreno.",0
"141","Las reuniones comprenderán la presentación de información periódica de los grupos de trabajo encargados de supervisar los avances en materia de seguimiento y aplicación nacional, asistencia, cooperación con organizaciones internacionales, incluidos los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001), y transparencia y divulgación en los medios de comunicación.",0
"142","Si bien, sobre la base de testimonios de testigos independientes, la Comisión ha llegado al convencimiento de que las F-FDTL empezaron el intercambio de disparos, en aquel momento cada lado creía que había sido atacado por el otro.",0
"143","Hacemos un llamamiento urgente para que intensifiquen su apoyo a las iniciativas colectivas que nuestros Estados emprenderán, en el marco del Proceso de Nuakchot, para hacer frente a la amenaza que el terrorismo, el extremismo violento y la delincuencia organizada transnacional plantean para la paz y la seguridad internacionales.",1
"144","Está claro que el Ministro Ramos-Horta planteó la cuestión general de la distribución de las armas.",1
"145","Respuestas recibidas en cumplimiento de lo dispuesto en el párrafo 20 de la resolución 1596 (2005) Estado",0
"146","Siguiendo la práctica establecida, los días 4 de junio (S/PV.6134) y 3 de diciembre de 2009 (S/PV.6228) el representante de Austria, en su calidad de Presidente, informó al Consejo de Seguridad de los progresos del Grupo de Trabajo en el marco de sus declaraciones en las sesiones públicas semestrales del Consejo de Seguridad sobre las estrategias de conclusión de los Tribunales.",0
"147","El Gobierno de Haití y las organizaciones humanitarias internacionales deben realizar más esfuerzos en actividades de prevención, como el suministro de agua potable y de saneamiento.",1
"148","Reducción de la actividad comercial (Turquía): lucro cesante",0
"149","En el informe se confirma un panorama preocupante en cuanto a la situación en la región del Sahel y las cuestiones conexas de seguridad, economía y condiciones humanitarias.",1
"150","Habida cuenta de lo que antecede, recomiendo que el mandato de la MONUSCO se prorrogue por otro período de 12 meses y que la dotación de contingentes militares y policías de la Misión se mantenga en los niveles autorizados actuales.",0
"151","Recalcando la obligación impuesta a todos los Estados Miembros de aplicar cabalmente la resolución 1373 (2001), especialmente en lo que respecta a los talibanes o Al-Qaida y a las personas, los grupos, las empresas y las entidades asociados con Al-Qaida, Osama bin Laden o los talibanes que hayan participado en la financiación, planificación, facilitación, preparación o comisión de actos de terrorismo, reclutado gente para cometerlos o prestado apoyo de otro tipo para ellos, así como de facilitar el cumplimiento de las obligaciones de luchar contra el terrorismo de conformidad con las resoluciones del Consejo de Seguridad en la materia,",1
"152","Reafirmando su resolución 1373 (2001), de 28 de septiembre de 2001, y reiterando su apoyo a los esfuerzos internacionales para erradicar el terrorismo, de conformidad con la Carta de las Naciones Unidas,",0
"153","Además del espectacular aumento de la entrada de armas en Somalia, ambos contendientes desarrollan también una gran actividad distribuyendo armas y municiones a sus milicias, equipando a sus hombres con elementos de combate, consiguiendo y almacenando alimentos, medicinas, combustible y otros artículos de primera necesidad para participar en un combate continuado, organizándose en estructuras de tipo militar, intensificando el reclutamiento y el entrenamiento de las milicias, y concibiendo estrategias y planes para vencer militarmente al adversario.",0
"154","El concepto multiétnico respecto de Kosovo y Metohija preconizado en el informe ha sido prácticamente abandonado, lo que salta particularmente a la vista a raíz del establecimiento del sistema judicial en Kosovo y Metohija (párrafo 57).",1
"155","El grupo I, formado por seis inspectores, salió a las 8.30 horas del Hotel Canal de Bagdad y llegó a la Facultad de Medicina de la Universidad Mustansiriya, situada en el barrio de Al-Qadisiya de Bagdad.",0
"156","Reiterando su profunda preocupación por el hecho de que, a pesar de su repetida condena de la violencia contra las mujeres y los niños, incluidas todas las formas de violencia sexual en situaciones de conflicto armado, y no obstante sus llamamientos dirigidos a todas las partes en los conflictos armados para que pongan fin a esos actos con efecto inmediato, tales actos siguen ocurriendo y en algunas situaciones se han vuelto sistemáticos y generalizados.",1
"157","El Gobierno de Egipto confirmó que antes del fin de julio desplegaría una unidad de policía constituida, que estará radicada en Bukavu, Kivu del Sur, atendiendo a las necesidades adicionales indicadas en la resolución 1843 (2008) del Consejo de Seguridad.",0
