"","ar_en_DEEP","MatCoop"
"501","There is huge amounts of money available to Al-Qaeda in Iraq(); Other groups were able to raise money by relying on crime and donations.",0
"502","It was announced that the Commission would begin its duties four months after the crime occurred, which means that there will be plenty of time for the perpetrators and their accomplices to destroy evidence and/or collude among themselves, in addition to the diminishing ability of potential witnesses to remember, and the possibility of redressing what happened previously. Ignoring, destroying or destroying evidence, whether intentionally or unintentionally.",0
"503","The Council expresses its gratitude to Tanzania for allowing hundreds of thousands to seek refuge in it in recent years.",1
"504","The provisions of Article 80 of the Criminal Code are as follows:",0
"505","First, the establishment of the two ad hoc tribunals has galvanized national authorities into the fight against impunity for these same crimes.",1
"506","Protecting and preserving the marine environment",0
"507","Red Cross vehicles and personnel were reported to be seen at the scene, occasionally assisting the injured.",1
"508","34. The disarmament, demobilization and reintegration programme, including the effective reintegration of former combatants, must be completed.",1
"509","Hereby decides, having received the request of [the affected State], to establish an international tribunal for the sole purpose of prosecuting persons responsible for genocide and other serious violations of international humanitarian law committed in the territory of [the affected country] and nationals of [the affected State] responsible for genocide and other such violations committed in the territory of neighbouring States between [dates].",0
"510","He granted petition mandates and decided on the measures to be taken, particularly in the area of ââcrime scene preservation.",1
"511","The team also travelled to Côte d'Ivoire.",0
"512","6 - Convention for the Suppression of Unlawful Seizure of Aircraft, signed at The Hague on 16 December 1970; It was ratified by the Socialist Republic of Czechoslovakia on 6 April 1972, and entered into force on 6 May 1972.",0
"513","Taking note of the release, on 18 August 2005, of the remaining 404 Moroccan prisoners of war by the Polisario Front, in compliance with international humanitarian law, and calling upon the parties to continue to cooperate with the International Committee of the Red Cross to determine the fate of persons who have remained missing since the beginning of the conflict, ,",1
"514","17 - The Mission continues to enjoy good relations with both the Royal Moroccan Army and the armed forces of the Polisario Front.",0
"515","The first ad hoc judge took office on 1 September 2003 and three more arrived in October 2003.",0
"516","68 - The team examined the departures and arrivals of unscheduled flights to CÃ´te d'Ivoire. Air traffic statistics to neighboring countries such as Guinea, Mali, Burkina Faso and Ghana were also examined. Through this examination, the team did not find any suspicious flights during the ban period (starting November 15, 2004).",1
"517","Scheduled for Friday, 12 December 2003, at 1.35 p.m",0
"518","The International Monetary Fund currently estimates GDP growth at 8 percent in 2013.",0
"519","Scheduled for Monday, February 9, 2009, at 10:00 a.m.",0
"520","However, the government, as the public authority responsible for policy making, also bears responsibility for dealing with problems of critical importance that arise within or between institutions.",1
"521","Although training of the Armed Forces of the Republic of the Congo and Congolese National Police units remains essential, any armed forces training program should be linked to the establishment of an effective supply chain within the army in order to ensure sustainability of efforts and continuity of investment.",1
"522","II. Activities of the Ad Hoc Working Group in 2014",0
"523","âThe Security Council calls on Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo.",0
"524","As Council members are aware, migration from north to south has begun and, for the first time, will involve crossing an international border.",0
"525","83 - Colonel Reyes led the soldiers of the National Police Force on foot from the police headquarters to the intersection with the Ministry of Justice. He was carrying the United Nations flag.",0
"526","The Committee continued to consider three other exemption requests, the first relating to a proposal by a specialized United Nations agency to provide technical assistance to the Islamic Republic of Iran; The second relates to a request received by a State from the Islamic Republic of Iran Mine Action Center, in which it was proposed to cooperate with that State in the field of mine action; The third request relates to a request received by a member state from the Islamic Republic of Iran to train its armed forces.",1
"527","The government continued to pay civil servant salaries, although it still owed three months of civil servant salary arrears for 2008.",0
"528","(b) Call on parties to armed conflict to comply with the obligations applicable to them under international humanitarian law to respect and protect humanitarian personnel and cargo used for humanitarian relief operations,",1
"529","12 - Convention on the Marking of Plastic Explosives for the Purpose of Detection, signed in Montreal on 1 May 1991; Ratified by the Czech Republic on 18 December 1991; It became effective on 21 June 1998.",1
"530","Final arguments are scheduled to be heard from 18 to 22 August 2003.",0
"531","3 - A senior commander of the Union Organization, with full responsibility for the training camps, purchased AK-47 assault rifles, PKM machine guns, RPG-7 rocket launchers, F-1 grenades, and grenades. With rifles and 60mm-82mm mortar shells from the Ertougt market between 7 and 21 November 2004. The same person purchased two PKM assault rifles, 10 SG-43 medium machine guns, and 120 SG-43 pistols. TT-33 ""Tokarev"" and 60 magazines for AK-47 assault rifles on 27 November 2004; As well as 16 PKM machine guns and ammunition for RPG-7 rocket launchers on 15 January 2005 (S/2005/153, annex II).",0
"532","407. In an additional letter, the Ministry has withdrawn part of this claim amounting to US$ 12,000 (relating to documents).",0
"533","Accordingly, the Panel made amendments due to this lack of evidence.",0
"534","Decides that the mandate of [the Mission] shall include the following: ... (v) Assist the authorities of ... [the country concerned] in developing and implementing a program for the disarmament, demobilization and reintegration of former combatants, and the dismantling of militias and self-defense groups, consistent with the objectives of reconciliation and taking into account Special needs of demobilized children;",1
"535","7 - KFOR continues operations to prevent ethnic violence and protect heritage sites, and remains vigilant to deter any potential threats against international organizations and military bases.",1
"536","He presents a new message accompanied by video recordings in which Mustafa Abu Al-Yazid, known as Sheikh Saeed, the head of Al-Qaeda in Afghanistan, appears, accompanied by leaders from the Taliban movement. and excerpts from bin Ladenâs letters; And on television news topics; With audio clips of distinguished heads of state and government, including many from Arab countries; and to officials from the CIA; and officials from NATO; counter-terrorism experts; Muslim clerics; And scientists; And journalists; And lawyers; And Western supporters of Al-Qaeda.",0
"537","The payment terms are difficult to read in the provided copy.",0
"538","12. With regard to border and export controls, the Malaysia Strategic Trade Act 2010 came into force on 1 January 2011, and Finland adopted a new export control law.",1
"539","Information requested and received from the International Atomic Energy Agency (IAEA)",0
"540","These individuals may, depending on the circumstances and within the framework of the principle of joint criminal enterprise, be responsible for war crimes committed during such attacks, namely the killing of civilians, the destruction of civilian objects, the unlawful detention of civilians and looting.",0
"541","Equipment listed in 9-B-1 includes:",0
"542","The program collects information at the national level on all persons arrested or suspected of involvement in low-level crimes such as forgery of bank/credit cards or travel documents.",1
"543","â1 - It is support provided to the legitimate, elected government, supported internationally and at its request.â 2 - This aid aims to strengthen the capabilities of the police and security so that the president can move to the capital, Mogadishu, to carry out his official work, and this is not possible unless the armed gangs there are disarmed. In favor of the legitimate government. â3 - Disarming these armed gangs and taking matters into the hands of the legitimate authority is considered one of the most important moves to combat the armed terrorist hotspots lurking in Somalia, and therefore this matter is consistent with the policy of all countries of the world in combating terrorism to block the possibility of the emergence of another âTalibanâ in Somalia. Somalia.",1
"544","The mission will try as a matter of priority to locate key documents, as well as records and archives, and keep them in a safe place.",0
"545","There are also widespread and confirmed allegations that some Janjaweed members have been integrated into the police.",0
"546","Moreover, providing humanitarian assistance, restoring public order, establishing functioning public institutions, reconstruction and reform, and peacebuilding for long-term sustainable development all require the participation of a strong civilian component.",1
"547","The Brazilian Government is closely following the efforts of the Haitian Government to undertake institutional reforms.",0
"548","âThe Security Council expresses its deep concern at the direct threat posed by the activities of armed groups to the safety of the civilian population and to the conduct of humanitarian operations.",0
"549","Therefore, the team wanted to know which of the two loss estimation methods above would provide the best estimate, or whether any other loss estimation method would be preferable.",0
"550","In 2014, in response to the provisions of resolutions 2083 (2012) and 2161 (2014), and with a view to further strengthening the implementation by national authorities of Security Council sanctions regimes, the Division standardized the format of all United Nations Security Council sanctions lists and developed a unified sanctions list imposed by the Security Council, which includes names included in all sanctions lists imposed by the Security Council sanctions committees.",1
"551","15 July 1999 (a) Publication of the first part of the provisional list of persons eligible to vote.",0
"552","I wish you all a blessed Independence Day.",0
"553","Calling for strict compliance by parties to armed conflict with the provisions of international humanitarian law, international human rights law and refugee law, including with regard to the following points:",0
"554","18. The Committee will continue to conduct an assessment of technical assistance needs, with contributions from the Executive Directorate and in close cooperation, as appropriate, with the Counter-Terrorism Implementation Task Force Support Office and relevant entities, as well as with other bilateral and regional providers of assistance, in order to explore Ways to facilitate the provision of assistance to concerned Member States.",1
"555","(d) Announce and implement an immediate moratorium on the issuance and application of death sentences, followed without undue delay by the abolition of the death penalty in law and practice;",1
"556","They can be found on INTERPOL's website, and can be printed and distributed, in conjunction with other information for law enforcement purposes, at border posts without Internet access.",1
"557","However, the operation also demonstrated the extent of the challenges that Liberia's security sector continues to face, especially with regard to logistics, communications, and the mobility of the police and immigration services.",0
"558","The Security Council calls upon the Economic Community of West African States and its member States, as well as its partners in the international community, to provide further support to the ECOWAS mission in Guinea-Bissau in this regard, and to continue coordinating further international efforts aimed at supporting peace, stability, the rule of law and the fight against impunity. In Guinea-Bissau.",1
"559","B. Evaluation: Issue of voter registry",0
"560","30 March 1999 Resolution 1232 (1999)",0
"561","(i) Take immediate measures to achieve gender equality in practice, for example by making women equal with men in participating in public life and in obtaining employment; eradicate discriminatory laws, regulations and practices harmful to women; And take the necessary measures to put an end to all forms of violence against women, including domestic violence, sexual and gender-based violence at the hands of state agents and/or within its institutions; To immediately and effectively address trafficking in women and eradicate the structural causes that make women vulnerable to such violations;",1
"562","Cost is defined as the nominal value plus or subtracting any unamortized portion of a premium or discount.",0
"563","The country is now enduring horrific cases of war-related violations.",0
"564","Scheduled to be held on Monday, 24 October 2011, at 10.3 p.m",0
"565","At the level of United Nations entities",0
"566",":: Relations with other bodies of the United Nations, including the Secretary-General and his office, and other subsidiary bodies of the Security Council working in the field of counter-terrorism.",1
"567","The export authorization regime for chemicals listed in Schedule 3 and destined for a country that is not a party to the Paris Agreement is subject to the authorization regime.",0
"568","Noting that some parties to the armed conflict have responded to his call to prepare and implement concrete, time-bound plans of action to stop the recruitment and use of children in contravention of the provisions of applicable international law;",1
"569","42 - The bloated civil service sector remains a challenge for the Government, which scrutinizes the list of civil service employees to exclude “ghost workers”.",0
"570","38 - Under the electoral bloc system of the provinces, the twelve administrative provinces and the two electoral districts of the country represent electoral districts.",0
"571","At the 6066th meeting of the Security Council held on 14 January 2009 in connection with the Councilâs consideration of the item entitled âProtection of civilians in armed conflictâ, the President of the Security Council made the following statement on behalf of the Council:",0
"572","33 - Accordingly, with the support of the international community and the parties to the conflict, the ceasefire agreement will be seriously implemented and completed.",0
"573","85 - The armed forces also have an operations unit called Border Intelligence, whose primary role is to collect information.",1
"574","The inspector stamps the single administrative document and the documents referred to.",0
"575","To date, Belgium and Switzerland have concluded arrangements for this purpose.",0
"576","Third, the Taliban movement suffered losses represented by the death or arrest of many members of its central leadership and some of its senior leaders. Although there are many who can replace them, the new leaders are younger and do not have sufficient connections to the Quetta Shura, which has thus become less able to control their actions and have greater difficulty in extending their authority over the movement as a whole.",0
"577","Jebel Moon, West Darfur, October 2006",0
"578","For the first time since the beginning of the crisis in 2012, two humanitarian workers were killed on 29 May in Timbuktu province when their car was hit by a remote-controlled improvised explosive device. Two vehicles belonging to international non-governmental organizations were stolen on 8 and 9 November near Menaka (Gao Department).",0
"579","134. The team discussed areas of cooperation with the Counter-Terrorism Action Unit of the Organization for Security and Cooperation in Europe, the Regional Office for Central Asia of the Commonwealth of Independent States and the Regional Counter-Terrorism Structure of the Shanghai Cooperation Organization, and initiated contacts with other regional organizations such as the Organization of American States. ), which established the Inter-American Committee against Terrorism, and the African Union, which established a counter-terrorism center in Algeria.",1
"580","33 - Central Africa Region (24 November 2003; 19 December 2012).",0
"581","Although I have not yet received a response from the remaining 36 Member States, I assess that it is unlikely that they will provide sufficient pledges of troops to allow the deployment of a multinational force.",0
"582","334. The following patterns were noted: First, during attacks on villages, there were deliberate attacks against women and girls, including gang rape. Secondly, women and girls were kidnapped and imprisoned for several days during which they were subjected to repeated rape. Third, rape and other forms of sexual violence continued during flight as well as displacement, including when women left towns and internally displaced persons sites to collect firewood or fetch water.",0
"583","At the same time, the Secretariat continues to explore all options to strengthen and support the Mission's current operational capabilities in the difficult environment of northern Mali.",1
"584","During the closed consultations that followed, Council members stressed the importance of resuming Israeli-Palestinian negotiations, and denounced unilateral actions, especially the construction of settlements in the occupied territories, which undermine the efforts of the Quartet to find a negotiated solution to the conflict.",0
"585","Currently, only less than 100,000 Liberians are registered as workers in the public and private sectors.",0
"586","2. The Counter-Terrorism Executive Directorate was established for an initial period ending on 31 December 2007, to be comprehensively reviewed by the Security Council by 31 December 2005.",1
"587","Timor-Leste has made significant progress since gaining independence two years ago.",0
"588","7 - Parliamentâs adoption of the electoral law would enable the Independent Electoral Commission to set the electoral timetable and move forward with organizing the elections.",1
"589","Sadly, the current Palestinian leadership has proven that it is as incapable of being a partner in peace as it is of seeking reform and democratic governance for its people.",0
"590","Less than half of the 140 countries that reported under Security Council resolution 1455 (2003) mentioned steps they had taken to restrict or regulate the movement of precious goods, and those that did did generally only indicated controls they conducted under customs and tax laws.",1
"591","However, this should not divert attention from the full implementation of resolution 1559 (2004) and other Security Council resolutions related to Lebanon, as implementing these resolutions remains the best way to ensure Lebanonâs long-term prosperity and stability as a democratic state.",1
"592","States in this subregion are aware of their vulnerabilities to arms trafficking and have put in place the necessary legislative frameworks to criminalize illicit trade and control the production, sale and transfer of weapons and explosives.",1
"593","The identity of the perpetrator/perpetrators was not known;",0
"594","160- Mansour Faleh Nasser Al-Ajmi",0
"595","âThey noted that the availability of appropriate and flexible means to support peace in transitional periods and for crisis containment activities, such as protecting civilians, including United Nations personnel and humanitarian personnel, disarmament, demobilization and reintegration of former combatants, ending impunity, building public institutions, and administering justice in Transitional periods, as well as the promotion and protection of human rights, and gender mainstreaming, are indispensable for ensuring lasting post-conflict peace.",1
"596","The Council also calls on the United Nations and the African Union to jointly investigate the LRA's logistical networks and potential sources of its illicit financing, including alleged participation in elephant poaching and related illegal smuggling.",1
"597","In December 2005, Vanuatu deposited its instrument of accession to the United Nations Convention against Transnational Organized Crime (Palermo Convention).",0
"598","Security Council resolution 1373 (2001) already imposes obligations on States to take certain measures to suppress terrorism, end the recruitment of members of terrorist groups, prevent terrorist movements, and bring terrorists to justice.",1
"599","United States of America: Draft Resolution",0
"600","Actions taken by countries in the Mano River Basin",0
"601","Investigations conducted by the Mission and the Haitian National Police into the kidnapping and subsequent murder indicated that the crime was politically motivated, but they could not conclusively establish responsibility.",0
"602","The costs of the Committee are covered by funds for the administrative and operational costs of the programme.",0
"603","44. The Joint Human Rights Office continued to investigate alleged violations of human rights and international humanitarian law committed by armed groups and national security forces.",1
"604","Amir Khan Muttaqi (TI.M.26.01)*",0
"605","The two parties will, within the framework of the United Nations High Commissioner for Refugees, further study conducting family visits by land.",1
"606","The presence and influence of the opposition armed forces is declining in this region, even as these forces use transportation roads and rely on shelters in Farah Province.",1
"607","He also called for an immediate cessation of all acts of violence and urged all parties to exercise maximum restraint and refrain from acts of retaliation, including attacks directed against state institutions.",0
"608","The Commission found evidence indicating that Arab tribes have begun settling in areas previously inhabited by displaced persons, thereby also preventing the eventual return of displaced persons.",0
"609","âThe Security Council takes note of the opening of the International Center of Excellence in Countering Violent Extremism, in Abu Dhabi on 14 December 2012.",1
"610","Accountability mechanisms have been put in place to address deficiencies and ensure that existing legislation and procedures are followed. However, it does not provide adequate protection.",1
"611","Fifth: The socio-economic and financial situation",0
"612","While we are aware of the challenges that implementation tasks will face, we believe that sustainable development cannot be achieved in the region without effective institutions based on good governance and the availability of the necessary resources that can only be available under security and stability.",0
"613","Resolution 32/2003, Ministry of Science, Technology and Environment, Article 19(b)",0
"614","There are no functioning public facilities and the vast majority of Liberians lack access to electricity, water, basic sanitation or health care.",0
"615","(c) Adjustments to unit costs and contingent estimates;",0
"616","13 - From 13 to 17 September, WFP, in cooperation with UNHCR, conducted a mid-term review of its food programme in the Tindouf camps, in which the Government of the United States and the European Commission Humanitarian Aid Office participated as observers.",1
"617","Efforts continued to represent minorities in all staff positions working in administrative departments.",1
"618","As I have stressed on numerous occasions, lasting security and stability for any country, as well as for Timor-Leste, will only be achieved in conjunction with socio-economic development.",0
"619","Request additional extrabudgetary resources to establish a gender advisor position at headquarters.",1
"620",":: The Committee will ensure that all measures taken by States to combat terrorism comply with all their obligations under international law, in particular human rights law, refugee law and humanitarian law.",1
"621","MC Realisations (Birmingham) Limited. Formerly Matrix Churchill Limited",0
"622","80 - Four States have comprehensive laws in the field of combating terrorism.",1
"623","There was no military necessity for the destruction and the devastation it caused.",0
"624",":: Providing a comprehensive perspective on seeking to direct security and development efforts at the country level towards addressing and ensuring the root causes of conflicts;",1
"625","The Council intends to intensify its efforts to combat impunity and support accountability for serious crimes committed against women and girls by providing appropriate means, and draws attention to the full range of justice and reconciliation mechanisms that need to be considered, including national, international and mixed criminal tribunals and commissions. Truth and reconciliation to be considered, including national, international and hybrid criminal tribunals, truth and reconciliation commissions, as well as national victim compensation programmes, institutional reforms and traditional dispute resolution mechanisms.",1
"626","The meeting also recommended that the assembly of fighters, the disarmament and dismantling of militias be expedited and that the government ensure appropriate funding for the process of assembly and reintegration of former combatants.",1
"627","(c) An unexplained increase in the volume of exports from a particular country;",0
"628","2 - The situation in the Middle East (18 July 1960; 30 June 2011).",0
"629","In addition, four countries have introduced legislation that criminalizes providing safe haven to terrorists and those who support them, whether individuals or organizations.",1
"630","Security Council Resolution 1590 (2005), operative paragraph 8",0
"631","(q) The prohibition of ill-treatment of enemy combatants outside the scope of combat and the obligation to treat detained enemy combatants humanely;",0
"632","This cooperation has resulted in the development and implementation of practical solutions on maritime coordination and enforcement, legal and judicial issues, self-protection measures for the shipping sector, public diplomacy, and the thwarting of illegal piracy off the coast of Somalia.",1
"633","However, progress in coordinating and increasing support from international partners for the Government's FARDC reform initiatives remains limited.",0
"634","This included providing induction courses for all Mission staff, both civilian and police, upon arrival.",1
"635","In the same resolution, the Council also included some exceptions to the targeted measures. On 5 December 2011, the Security Council adopted resolution 2023 (2011), by which it expanded the scope of restrictive measures relating to Eritrea in the areas of âdiaspora taxationâ, the Eritrean mining sector and financial services.",1
"636","This does not allow the Council the opportunity to seriously seek alternatives within the available time frame.",0
"637","Such assistance should aim to establish a tripartite national authority that could assume responsibility for monitoring the implementation of any rules and regulations agreed upon and established for the well-being of more than a million people gathered in the Gulf, and for the economic development of the three coastal States with a view to facilitating international maritime trade.",1
"638","1-16 Does Mauritius have technology to detect fake or fraudulent travel documents?",0
"639","14 - Decides that Member States, in an effort to prevent Al-Qaeda and other individuals, groups, institutions and entities associated with it, from obtaining all types of explosives, whether military, civilian or improvised, as well as raw materials and components that may be used in the manufacture of improvised explosive devices or non-conventional weapons, including (but not limited to) chemical agents, explosive wires or poisons, or the handling, stockpiling, use or seeking of all such materials, taking appropriate measures with a view to encouraging caution on the part of their nationals, Persons subject to its jurisdiction, and companies established on its territory or subject to its jurisdiction who are involved in the production, sale, supply, purchase, transport and storage of these materials, including the issuance of good practices in this regard; It also encourages Member States to exchange information, establish partnerships, develop strategies and develop capacities at the national level to combat improvised explosive devices;",1
"640","Some Iraqi interlocutors have raised questions about that term – “national reconciliation” – in terms of what it entails and what it requires.",0
"641",":: Using the Trust Fund for Disarmament Activities at the global and regional levels to advance projects and activities immediately",1
"642","Reclassified losses are dealt with in the section relating to the category of losses in which the Panel reclassified losses.",0
"643","I would like to say something briefly about specific proposals in the revised organizational plan and how these proposals address those concerns.",0
"644","Taking into account the special nature of resolution 1373 (2001), the continuing threats to international peace and security posed by terrorism, the important role that the United Nations and the Security Council must continue to play in the global struggle against terrorism, and the need to strengthen the Committee as a responsible body of the Security Council, In this field, without this constituting a precedent for other Security Council bodies to follow,",1
"645","Concerns expressed by this group included the challenge posed by al-Qaeda strife, terrorist use of the Internet, the glorification of terrorism through the media, the open-ended nature of sanctions, the need to support rehabilitation programmes, and the sharing of technical and operational intelligence.",1
"646","However, both parties continued to refrain from direct dealings with the other. All known contacts between the two armed forces took the form of meetings and written correspondence with the mission.",1
"647","The purpose of the extraordinary meeting was to take the first step towards deepening regional awareness of the sanctions regime and to encourage enhanced cooperation between the Committee and the countries of the Sahel and Maghreb region.",1
"648","594- At the time when this international obligation was first established, perhaps in 1949, when the draft Geneva Conventions were drawn up and approved, the obligation was clearly considered to be an obligation of each Contracting State towards any other Contracting State concerned.",1
"649","205. States of the subregion are very alert to the terrorist threats they face, and have invested enormous resources in expanding their legal frameworks, establishing and strengthening counter-terrorism institutions, and making efforts to strengthen the capacities of law enforcement and intelligence agencies.",1
"650","One or two countries have expressed concern that if they freeze the assets of a listed non-profit organization, they will not be able to finance projects within their control, such as orphanages, hospitals, or refugee shelters.",0
"651","8 May 2006 A violent incident occurred in Gleno, where eastern officers of the National Police Force of Timor-Leste were attacked.",0
"652","69 - Five States in the subregion have introduced laws enabling the extradition of terrorists, while six States have established effective mechanisms for exchanging information.",1
"653","The Presidents of the Czech Republic, Croatia and Slovenia met on July 10-11 in Dubrovnik, a city famous for its tradition of freedom of thought.",0
"654","54 - The situation in Chad, the Central African Republic and the subregion (27 August 2007; 8 May 2009).",0
"655","A verdict is expected in September 2010.",0
"656","The Committee recognizes that the lack of reporting may be an indication of a general âreporting fatigueâ due to the large number of reports that Member States are required to submit to the Committee, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1540 (2004) and other United Nations bodies.",1
"657","C. Each piece of equipment is listed below and described in more detail in the annex:",0
"658","Emphasizing that the measures imposed under resolutions 1572 (2004) and 1643 (2005) continue to contribute to achieving stability in CÃ´te d'Ivoire, particularly in the context of the planned presidential elections, and emphasizing that those measures aim to support the peace process in CÃ´te d'Ivoire,",1
"659","195. The following series of video clips show the unmanned aerial vehicle operating in Darfur on 27 and 28 August 2008.",0
"660","(vii) The Armed Forces (Exceptional) Powers Act, 1958;",0
"661","(i) Providing support, including through political mediation efforts, to the completion of disarmament, demobilization and reintegration or effective integration into the army of [national] armed groups, which will remain contingent on the provision of adequate advance training and access to equipment;",1
"662","The main criteria governing the gradual drawdown of MONUC's strength should remain the reduction of the threat posed by Congolese and foreign armed groups to civilians, the establishment of stronger and more accountable State institutions, and the consolidation of democratic practices that reduce the risk of instability.",1
"663","(d) Seek support, where appropriate, from United Nations peacekeeping forces and other relevant missions, as well as United Nations country teams, the International Committee of the Red Cross and, where necessary, other members of the International Red Cross and Red Crescent Movement, on training and awareness-raising on international humanitarian law, international human rights law and refugee law;",1
"664","Scheduled for Saturday, May 15, 1999, at 10 a.m",0
"665","Hereby decides, having received the request of [the State concerned], to establish an international tribunal for the sole purpose of trying persons responsible for acts of genocide and other serious violations of international humanitarian law committed in the territory of [the State concerned] and nationals of [the State concerned] responsible for the commission of acts of genocide Mass and other similar violations committed in the territories of neighboring states, in the period between [two dates]...",1
"666","This approach addresses human rights issues that typically arise at various stages of the criminal justice process in terrorism cases.",1
"667",":: Swiss Federal Law on War Materiel of 13 December 1996 (War Materiel Law; SR 514.51)",0
"668","Mark Feltman, Daniel Chekrun's director for Eastern Europe, used a Lithuanian company to transport vehicles from Minsk to the port of Klaipeda in Lithuania.",0
"669","66. In an effort to combat the increasing rates of crimes committed at sea, the Maritime Organization of West and Central Africa, with the assistance of the International Maritime Organization, is working to strengthen cooperation among law enforcement agencies by establishing a network of coast guard units.",1
"670","6 - The Iraqi commercial marine fleet carrying the Iraqi flag is registered in the port of Basra and is documented in the records of the aforementioned port and with the British Lloyd’s Classification Authority and insurance companies.",0
"671","14 - Notes the development of the link between terrorism and information and communications technologies, especially the Internet, and the use of these technologies to commit terrorist acts and facilitate their commission through their use in incitement, recruitment, financing or planning for terrorist acts, and directs the Executive Directorate to continue to address this issue in consultation. With Member States, international, regional and subregional organizations, the private sector and civil society and to advise the Committee on other possible approaches;",1
"672","9 - Convention on the laundering, search, seizure and confiscation of proceeds of crime, 1990.",0
"673","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"674","Council members also expressed their aspiration for the Ethiopian authorities to hold a follow-up meeting in The Hague in the near future with the aim of determining ways to quickly implement the border demarcation decision.",0
"675","As the Panel has previously pointed out, inadequate restrictions serve no useful purpose: sanctions cannot be properly applied against those they target, unwitting members of the public with similar names suffer real consequences, and the private sector and officials at borders and elsewhere waste valuable time and effort. In trying to identify similar names one can never be certain, and the sanctions system as a whole loses support.",0
"676","159 - This set of customary rules regulating internal armed conflicts appeared in the international community and was supported by various elements.",1
"677","34 - The situation in Sierra Leone (27 November 1995; 21 December 2007).",0
"678","This situation is exacerbated by high unemployment and deteriorating health conditions, especially with the increasing spread of HIV/AIDS, typhoid, malaria and tuberculosis, as well as high rates of maternal, infant and child mortality.",0
"679","Specific operations are carried out to collect weapons and ammunition surrendered voluntarily within the framework of the terms of the amnesty, or if necessary, weapons and ammunition are collected in operations designated for that purpose.",1
"680",":: A consular certificate issued by the Nicaraguan embassy in the country of origin;",0
"681","Australia, Denmark, France, the United Kingdom of Great Britain and Northern Ireland, Norway, New Zealand, the Netherlands and the United States of America each have departments, dependent territories or overseas territories, each of which has a different degree of autonomy and the ability to determine its own counter-terrorism legislative framework.",1
"682","As we saw in Mali, this can leave the country vulnerable to civil conflict.",0
"683","(k) Develop guidelines, as appropriate, to facilitate the implementation of the measures imposed above;",1
"684","10. The Committee, in accordance with its mandate and in close cooperation with the Security Council committees established pursuant to resolutions 1267 (1999) and 1540 (2004), will pay particular attention to States for which information is not available regarding their implementation of resolution 1373 (2001), and will discuss how to best address this issue .",1
"685","(a) Adopt and implement comprehensive and consistent national counter-terrorism legal frameworks that include all terrorist offenses set forth in international counter-terrorism instruments and also meet international human rights standards;",1
"686","10. Further information on New Zealand’s implementation of Security Council sanctions, including an electronic copy of the 2011 United Nations (Libya) Sanctions Regulations, is available at the following link: http://mfat.govt.nz/Treaties-and-International-Law/ 09-United-Nations-Security-Council-Sanctions/index.php.",0
"687","For the purposes of the above, residence in a Nordic country for a total period of at least seven years is equivalent to residence in Denmark.",0
"688","23 - Circular metal boxes with slides (14) inside.",0
"689","11 - Requests the Secretary-General to include in his next report a comprehensive assessment of the Missionâs disarmament, demobilization and reintegration and disarmament, demobilization, reintegration, resettlement and repatriation programmes, and to provide, in close coordination with his Special Envoy to the Great Lakes Region, recommendations on possible adjustments Their introduction is needed to increase their effectiveness, resources and coordination with the military component of the mission;",0
"690","Eighth - Claims of the Kingdom of Saudi Arabia related to environmental monitoring and evaluation 533-706 98",0
"691","However, after a number of years of war and as a result of strong international pressure, the government and the main rebel movement in the south, the Sudan People's Liberation Movement/Army, entered into peace talks in 2002.",1
"692","193 - In order to effectively address the asymmetric nature of the terrorist threat, it is necessary to strengthen cooperation by establishing a continuous exchange of information between law enforcement, border security and intelligence agencies.",1
"693","(f) He welcomed the importance of the willingness expressed by the Executive Directorate to participate effectively in and provide support to all relevant activities within the framework of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force established to ensure comprehensive coordination and coherence In the counter-terrorism efforts of the United Nations system, he stressed the importance of this preparedness.",0
"694","Most of the petitioners wore the uniform of the Armed Forces of Timor-Leste. They were not armed.",0
"695","They were all armed and were all pointing their rifles at us.",0
"696","If the delegation provides less than 200 copies of its statement to the General Secretariat, these copies will be placed outside the Council Hall at the end of the session.",0
"697","Vice-Chairs: Russian Federation and Brazil",0
"698","68 - On 20 September, the federal government appointed Yusr Abrar to be the first woman to hold the position of Governor of the Central Bank.",0
"699","However, increasing the involvement of the warring parties in the peace process remains an important element of a lasting settlement of the conflict.",1
"700","To ensure the continued return of displaced persons and minority communities with the means to stay, decentralization must be implemented on a large scale.",1
"701","Scheduled for Friday, 22 July 2005, at 3.35 p.m.",0
"702","213 - Abdel-Al also has a notable connection to a large weapons warehouse discovered in southern Beirut in July 2005. Internal Security Forces raided this weapons warehouse on 26 July 2005 and arrested five people with strong ties to the former Al-Mourabitoun militia.",0
"703","6. On 10 November 2011, the Commander of the Allied Joint Forces Command in Naples tasked the Commander of KFOR to continue operations to establish and maintain access control points and selectively remove roadblocks along the main supply routes leading to the Gate 1 and DOG 31 crossing points, in order to create the conditions necessary to restore unrestricted freedom of movement and create a safe and secure environment for all, pursuant to Council resolution 1244 (1999).",1
"704","Statement submitted by the President of the Security Council",0
"705","(b) Preparing the annual budget of the Fund.",0
"706","32. Landmine Action Organization's activities also include supporting local capacity by training residents to recognize explosive ordnance.",1
