"en_ar_DEEP"	"VerCoop"
"لقد تحدث العديد من الزعماء الدوليين، بما في ذلك رؤساء الدول وممثلي الأمم المتحدة وأغلبية أعضاء مجلس الأمن، بوضوح ضد هذا النوع من الأساطيل إلى غزة على مدى العام الماضي، مؤكدين على الحاجة إلى نقل الإمدادات الإنسانية إلى المنطقة فقط من خلال القنوات القائمة."	1
"وفي العديد من الحالات، اختُطف أو اختفى النساء والرجال، وكثيرون منهم دون أن يتركوا أي أثر."	0
"ولكن هذا لا ينبغي أن ينتقص من التنفيذ الكامل للقرار 1559 (2004) وجميع قرارات مجلس الأمن الأخرى المتعلقة بلبنان، والتي تظل أفضل وسيلة لضمان ازدهار لبنان واستقراره على المدى الطويل كدولة ديمقراطية."	0
"ويشدد على أهمية بناء قدرات الشرطة الوطنية الفعالة والمهنية في هايتي."	0
"القانون رقم 42 تاريخ 31/12/1975"	0
"القضاء على معالجة HTTD للمواد المحفورة؛"	0
"\"ويعترف مجلس الأمن بالجهود التي تبذلها جامعة الدول العربية للمساهمة في المساعي الجماعية الرامية إلى تسوية الصراعات في الشرق الأوسط بالوسائل السلمية، فضلا عن تعزيز الاستجابات الدولية للتحولات التي تشهدها المنطقة، ويشجعها كذلك، ويؤكد من جديد في الوقت نفسه التزامه القوي بقرار مجلس الأمن. سيادة واستقلال ووحدة وسلامة أراضي دول المنطقة، ومقاصد ومبادئ الميثاق."	1
"وباستثناء دولة واحدة لم تقدم سوى قدر ضئيل للغاية من المعلومات ذات الصلة، فإن جميع دول شرق آسيا أعضاء في العديد من المنظمات أو الآليات الإقليمية للتعاون الدولي في مجال مكافحة الإرهاب، وقد سعت إلى تعزيز هذه العلاقات."	0
"وعلاوة على ذلك، اتفق المشاركون على تكثيف الضغط من أجل نزع سلاح الميليشيات العاملة في شرق جمهورية الكونغو الديمقراطية والتفاوض على معاهدات ثنائية لتسليم المجرمين فيما يتعلق ببقايا زعماء الميليشيات."	1
"ج. دعم الأشخاص المتأثرين بالنزاع"	0
"وترى اللجنة بالطبع أن جميع الأشخاص، بما في ذلك المتهمون بارتكاب جرائم خطيرة، ينبغي اعتبارهم أبرياء حتى تثبت إدانتهم بعد محاكمة عادلة."	0
"المقرر عقدها يوم الأربعاء، ٢٠ أيار/مايو ١٩٩٨، الساعة ١٥/١٣"	0
"ومن أجل ضمان المساءلة عن الجرائم المرتكبة خلال الأحداث الأخيرة، من الضروري أن تكون التحقيقات والملاحقات القضائية والمحاكمات نزيهة وخالية من أي تدخل سياسي."	0
"يهيب بجميع الأطراف المعنية ضمان إدماج حماية وحقوق ورفاه الأطفال المتأثرين بالصراعات المسلحة على وجه التحديد في جميع عمليات السلام واتفاقات السلام وخطط وبرامج الإنعاش وإعادة الإعمار بعد انتهاء الصراع."	1
"وفي هذا الصدد، ستواصل المديرية التنفيذية مطابقة الاحتياجات ذات الأولوية المحددة مع برامج الجهات المانحة والمزودة الحالية والمحتملة من أجل تعزيز قدرة الدول الأعضاء على مكافحة الإرهاب وتعزيز الحوار بين مجتمع المانحين والدول المتلقية."	1
"يكاد يكون هناك قبول عالمي بأن مشاكل أفغانستان لا يمكن حلها بالسبل العسكرية وحدها."	1
"وفي أعقاب اجتماعه في 8 أيلول/سبتمبر 2010، اعتمد الفريق العامل استنتاجاته بشأن الأطفال والنزاع المسلح في كولومبيا (انظر S/AC.51/2010/3)."	1
"21- اتبع البرلمان جدول أعمال تشريعياً طموحاً خلال دوراته العادية والاستثنائية."	0
"13 - خلال الفترة المشمولة بالتقرير، تلقت اللجنة 14 طلبا للإعفاء من حظر توريد الأسلحة فيما يتعلق بالمعدات العسكرية غير الفتاكة عملا بالفقرة 3 من القرار 1356 (2001)، وطلب واحد للإعفاء من حظر الأسلحة عملا بالفقرة 11 (ب) ) بالقرار 1772 (2007) وإخطار عملا بالفقرة 6 من القرار 1744 (2007)."	1
"وفي هذا السياق، أكد أعضاء المجلس من جديد ضرورة استخلاص الدروس من المواجهة المسلحة التي أعقبت الانتخابات الرئاسية عام 2010 في البلاد."	0
"البنية التحتية غير موجودة فعليًا خارج المدن الرئيسية، وخطوط الإمداد طويلة للغاية."	0
"وفي ضوء ما سبق، قامت اللجنة الوطنية بزيارة عدة مناطق في ولايات دارفور تفيد بعض الادعاءات بأنها تمارس عمليات تهجير قسري أو تطهير عرقي."	1
"وأعرب الأعضاء عن استعدادهم للنظر، في الوقت المناسب، في التقارير المستكملة بشأن التخطيط للانتقال السلس نحو إطار المساعدة الإنمائية المستدامة بحلول نهاية ولاية مكتب الأمم المتحدة في تيمور - ليشتي في أيار/مايو 2006."	1
"39. وتحقيقا لهذه الغاية، يتفق رؤساء الدول والحكومات على ضرورة مراجعة النصوص القانونية السارية، وخاصة البروتوكول المتعلق بآلية منع الصراعات وإدارتها وحلها وحفظ السلام والأمن، والبروتوكول التكميلي بشأن الديمقراطية والحكم الرشيد، من أجل عكس أفضل الممارسات فيما يتصل بفترة تولي الرئاسة."	1
"يعرب عن اعتزامه، حيثما كان ذلك مناسبا، دعوة أطراف النزاع إلى اتخاذ ترتيبات خاصة لتلبية متطلبات الحماية والمساعدة للنساء والأطفال وغيرهم من الفئات الضعيفة، بما في ذلك من خلال تعزيز \"أيام التحصين\" وغيرها من الفرص لفائدة النساء والأطفال وغيرهم من الفئات الضعيفة. تقديم الخدمات الأساسية الضرورية بشكل آمن ودون عوائق."	1
"مفهوم المجمع التكنولوجي والصناعي البولندي الروسي في تارنوف، بولندا."	0
"يحث جميع الأطراف المعنية، بما في ذلك الدول الأعضاء وكيانات الأمم المتحدة والمؤسسات المالية، على دعم تطوير وتعزيز قدرات المؤسسات الوطنية، ولا سيما النظم القضائية والصحية، وشبكات المجتمع المدني المحلية من أجل تقديم مساعدة مستدامة ضحايا العنف الجنسي في النزاعات المسلحة وحالات ما بعد النزاع."	1
"والسودان لا يستهدف الأمم المتحدة. وهي عضو مخلص في المنظمة يلتزم بأحكام ميثاق الأمم المتحدة ويقدر جهودها لتحقيق الأمن والاستقرار وتعزيز التنمية في السودان. وبالإضافة إلى ذلك، يسعى السودان جاهدا إلى تطوير تلك العلاقة وفقا للميثاق وقرارات الجمعية العامة ومجلس الأمن ذات الصلة."	1
"(أ) وضع نهج أكثر تكاملا وآليات أكثر فعالية لضمان التعاون القوي وتبادل المعلومات الاستخباراتية بين وكالات مكافحة الإرهاب ذات الصلة، على الصعيدين الوطني والدولي؛"	1
"24 - يوعز إلى المديرية التنفيذية للجنة مكافحة الإرهاب بزيادة التعاون مع اللجان المكلفة بولايات منشأة عملا بالقرارات 1267 (1999) و 1989 (2011)، و 1988 (2011)، و 1373 (2001)، و 1540 (2004) وأفرقة الخبراء التابعة لها؛"	1
"2. الدفع أو الإعانة للغير"	0
"وتم إلقاء القبض على ثلاثة على الأقل من أعضاء طالبان الـ 142 المدرجين في القائمة، على الرغم من أن التهم المحددة الموجهة إليهم لا تزال غير واضحة."	0
"المخزون في مقر شركة البترول الوطنية الكويتية 329 - 338 82"	0
"ومن الضروري البحث عن أساليب إبداعية يمكنها منع الإرهابيين في الاقتصادات القائمة على النقد من الحصول على الأموال، سواء في شكل أموال نقدية، أو من خلال تهريب البضائع، أو من خلال التلاعب غير المشروع بالمعاملات القائمة على التجارة."	0
"ونظراً لنقص البنية التحتية في البلاد، قد تكون هناك حاجة إلى إنشاء آلية لتسهيل إدارة وتوزيع هذا الدعم."	1
"8. والغرض من هذا المسح هو عرض الاتجاهات العامة الحالية في تنفيذ القرار بهدف تحديد نقاط الضعف الإقليمية أو المجالات التي تواجه فيها مجموعات من الدول صعوبات خاصة في التنفيذ، وبالتالي قد تستفيد من نهج إقليمي أو دون إقليمي لمكافحة الإرهاب."	0
"30. وفي الوقت نفسه، أؤيد بشكل كامل خطط الاتحاد الأفريقي لقيادة بعثة تقييم في نوفمبر/تشرين الثاني لدراسة متطلبات حفظ السلام المستقبلية في المنطقة."	1
"وفي أجزاء من المنطقة، لا تملك حكومة أفغانستان سوى القليل من الأدوات اللازمة لإنفاذ القانون والنظام، وترتفع التقارير عن الفساد بين المسؤولين."	0
"وكما كان متوقعا، أدى قدوم الصيف إلى زيادة مستوى نشاط القوات المسلحة المعارضة."	0
"وقد تعاونت الحكومة في برامج لتدريب الشرطة في مجال قانون حقوق الإنسان، ولكن لا توجد أدلة تذكر على أنها تابعت الأمر بجعلهم مسؤولين عن احترامه."	0
"السيدة دانا بيركنز (الولايات المتحدة الأمريكية)"	0
"وحث جميع الدول والهيئات الدولية والمنظمات الإقليمية على تخصيص الموارد الكافية، بما في ذلك من خلال الشراكة الدولية، لمواجهة التهديد المستمر والمباشر الذي يشكله تنظيم القاعدة وأسامة بن لادن وحركة طالبان والأفراد والجماعات والمؤسسات والكيانات المرتبطة بهم. هم،"	1
"\"ويشدد مجلس الأمن على ضرورة تقديم مرتكبي هذا العمل الإرهابي المشين ومنظميه ومموليه ورعاةه إلى العدالة، ويحث جميع الدول، وفقا لالتزاماتها بموجب القانون الدولي والقرار 1373 (2001) وبما يتفق مع القرار 1624 ( 2005)، للتعاون بشكل فعال مع السلطات الجزائرية في هذا الصدد."	1
"وأكد المجلس في القرار أن التفويض لا ينطبق إلا فيما يتعلق بالوضع في الصومال وأنه لن يؤثر على حقوق أو التزامات أو مسؤوليات الدول الأعضاء بموجب القانون الدولي، بما في ذلك أي حقوق أو التزامات بموجب اتفاقية الأمم المتحدة بشأن حقوق الإنسان. قانون البحار، بما في ذلك المبدأ العام المتمثل في الولاية القضائية الحصرية لدولة العلم على سفنها في أعالي البحار، فيما يتعلق بأي حالة أخرى، أكد بشكل خاص على أن القرار لا يجوز اعتباره بمثابة إنشاء لقانون دولي عرفي، وأشار إلى أن هذا القرار ولم يتم تقديم التفويض إلا بعد تلقي الرسالة المؤرخة 8 أكتوبر 2014 التي تتضمن طلب رئيس جمهورية الصومال الفيدرالية."	1
"(أ) الاتفاقية المتعلقة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (منظمة الطيران المدني الدولي (الإيكاو))؛"	0
"ولرؤساء المكونات هؤلاء، على التوالي، نائب (انظر الملحق ب)."	0
"بالإضافة إلى ذلك، تم نقل 113 معلمًا من المخيم إلى مناطق أخرى، حيث تم استبدالهم لاحقًا بحوالي 30 معلمًا."	0
"وقد تجلت نيتهم ​​وقدرتهم على التخطيط لهجمات في الجزائر والنيجر في عام 2013."	0
"واستنادا إلى الميزة النسبية، سيتم تسليم المهام البرنامجية والتشغيلية بشكل رئيسي من قبل وكالات الأمم المتحدة، في شراكة وثيقة مع البعثة."	0
"يحيط علماً بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على تنفيذها بالكامل، ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ هذه السياسة في تقاريره المقدمة إلى المجلس؛"	1
"(أ) النتائج التي توصل إليها الفريق في الدفعة الأولى"	0
"وبالإضافة إلى ذلك، قدم مجلس الشخصيات البارزة في 25 حزيران/يونيه إلى الحكومة الانتقالية خريطة طريق تحدد أولويات استمرار العملية الانتقالية بنجاح: الأمن العام، والعدالة، والانتخابات، والحكم السياسي، والتدابير الاقتصادية."	1
"12 - يهيب باللجنة أن تقوم، بالتعاون مع اللجنة المنشأة عملا بالقرار 1373 (\"لجنة مكافحة الإرهاب\" أو \"لجنة مكافحة الإرهاب\")، بإبلاغ المجلس بالخطوات الإضافية المحددة التي يمكن أن تتخذها الدول لتنفيذ التدابير المبينة في الفقرة 1 أعلاه؛"	1
"وترد العناصر الرئيسية لبيان القائم بالأعمال، وكذلك تبادل الآراء بين أعضاء الفريق العامل، في الموجز الوارد في الاستنتاجات ذات الصلة (S/AC.51/2014/2)."	1
"96 - وقد عانت دول منطقة غرب آسيا دون الإقليمية من عدد كبير من الهجمات الإرهابية. وقد اتخذت خطوات علاجية هامة، بما في ذلك تعزيز تشريعاتها لمكافحة الإرهاب."	0
"يشير إلى الاستنتاجات التي أقرها الفريق العامل التابع لمجلس الأمن المعني بالأطفال والنزاع المسلح في [البلد المتضرر] ...، ويدعو جميع الأطراف إلى وضع حد للانتهاكات والتجاوزات الجسيمة المرتكبة ضد الأطفال في [البلد المتضرر]، ويحث ... على الحكومة وضع وتنفيذ خطة عمل محددة ومحددة زمنيا لوقف تجنيد الأطفال واستخدامهم، ويطلب إلى الأمين العام أن يواصل حواره مع ... الحكومة في هذا الصدد، ويكرر طلبه إلى الأمين العام أن: تعزيز عنصر حماية الطفل في [البعثة] وضمان استمرار الرصد والإبلاغ عن حالة الأطفال في [البلد المتضرر]؛"	1
"وأعربوا عن تطلعهم إلى الترحيب بانضمام تيمور الشرقية إلى الأمم المتحدة."	1
"9 - يطلب إلى لجنة مكافحة الإرهاب، بالإضافة إلى التقرير المطلوب في الفقرة 8، أن تقدم تقريرا شفويا، عن طريق رئيسها، كل 180 يوما على الأقل إلى المجلس عن العمل الشامل للجنة والمديرية التنفيذية للجنة مكافحة الإرهاب، وحسب الاقتضاء، بالتزامن مع التقارير المقدمة من رئيسي اللجنة المنشأة عملا بالقرار 1267 (1999) واللجنة المنشأة عملا بالقرار 1540 (2004)، ويشجع عقد جلسات إحاطة غير رسمية لجميع الدول الأعضاء المهتمة؛"	1
"10. يقرر أن تكون ولاية بعثة الأمم المتحدة في ليبيريا على النحو التالي، حسب الأولوية:"	0
"وفي الشهر الماضي فقط، أعرب الأمين العام بان كي مون، في بيان صدر في 27 مايو/أيار 2011، عن اعتقاده بأن \"المساعدات والبضائع المتجهة إلى غزة يجب أن يتم توجيهها عبر المعابر المشروعة والقنوات القائمة\"، موضحاً أن الأساطيل \"تحمل إمكانية التصعيد إلى غزة\". صراع عنيف\"."	1
"\"ويؤكد مجلس الأمن أهمية مساعدة الدول الأعضاء في تعزيز المشاركة الكاملة للمرأة على قدم المساواة في العمليات الانتخابية والإصلاح الدستوري بعد انتهاء النزاع."	1
"ومن الواضح أن الفشل في ضمان المساءلة وتوفير التعويضات وتمكين المصالحة يمكن أن يعيق عملية السلام وحالة ما بعد الصراع، مما يخلق بالتالي تهديدا جديدا للسلام والأمن."	0
"(و) رحبت وشددت على أهمية استعداد المديرية التنفيذية للمشاركة بنشاط في جميع الأنشطة ذات الصلة في إطار استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب ودعمها، بما في ذلك ضمن فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، التي أنشئت لضمان التنسيق والاتساق الشاملين في مكافحة الإرهاب. - جهود الإرهاب التي تبذلها منظومة الأمم المتحدة."	1
"(قرار القمة رقم 447 الدورة العادية العشرين – 30 مارس 2008)"	0
"9. تزييف العملة أو وسائل الدفع الأخرى أو السندات الحكومية أو الأوراق القيمة أو المستندات أو الصكوك الرسمية."	0
"وترحب اللجنة بالأنشطة التي تضطلع بها المديرية التنفيذية للجنة مكافحة الإرهاب في هذا المجال، وتشجع المديرية التنفيذية على مواصلة تطويرها، في إطار توجيهات اللجنة، من خلال تعميق إطارها التحليلي، بما في ذلك من خلال مشاركة المديرية التنفيذية في مكافحة الإرهاب. - الفريق العامل التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب والمعني بحماية حقوق الإنسان أثناء مكافحة الإرهاب."	1
"ولهذا السبب، من المهم إنشاء آليات فعالة ودائمة وشاملة للتعاون الإقليمي في مجالات إنفاذ القانون وأمن الحدود والمساعدة القانونية المتبادلة وتسليم المجرمين."	1
"ويرد ملخص للتاريخ الإجرائي للمطالبات من الفئة \"هاء-3\" في الفقرات من 10 إلى 18 من الملخص."	0
"وستكون هذه القدرات بالإضافة إلى الوحدات المتوفرة في حزمة الدعم الثقيل."	0
"وإذ يؤكد من جديد ضرورة مكافحة التهديدات التي يتعرض لها السلم والأمن الدولي نتيجة للأعمال الإرهابية بكافة الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي، مشددا في هذا الصدد على الدور الهام الذي تضطلع به الأمم المتحدة في قيادة وتنسيق هذا الجهد. ,"	1
"54 - واقترحت الدول \"المتشابهة في التفكير\" أن تغير اللجنة إجراءاتها في اتخاذ القرار للسماح بتصويت الأغلبية، بدلا من التصرف بتوافق الآراء، عند النظر في حذف اسم ما من القائمة بعد فترة استعراض، وهو ما تقترحه سيتم تخفيضها إلى عامين."	1
"29 - وتم التسليم أيضا بأنه ينبغي للجنة، في إطار أنشطتها، أن تواصل التوعية بالمعاهدات المتعددة الأطراف التي تهدف إلى منع انتشار أسلحة الدمار الشامل أو إزالتها، وذلك للمساهمة في عالميتها."	1
"وهذا من شأنه أن يساعد على تسهيل إجراءات الحبس الاحتياطي والمحاكمة وما بعد الإدانة بالنسبة للمجرمين الذين يشكلون خطراً كبيراً وفقاً للمعايير الدولية لحقوق الإنسان."	1
"وخلال تلك الفترة، تغير إلى حد كبير التهديد الذي يشكله تنظيم القاعدة وحركة الطالبان والمرتبطون بهما ونظام الجزاءات التي فرضها مجلس الأمن ضدهما."	0
"ويظل التمييز وسيلة رئيسية للقيادة للحفاظ على سيطرتها ضد التهديدات المتصورة، الداخلية والخارجية على حد سواء."	0
"كثيرا ما يناقش مجلس الأمن القضايا الإنسانية في البلدان المتضررة من الصراعات."	1
"وبعبارة أخرى، فإن اللجنة الوطنية كانت على علم تام بالادعاءات الخطيرة المتعلقة بالجرائم المرتكبة في دارفور."	0
"تم الإدلاء ببيانات افتتاحية باسم وزارة الخارجية الاتحادية لألمانيا، ورئيس اللجنة المنشأة عملا بالقرار 1540 (2004)، ومكتب شؤون نزع السلاح التابع للأمانة العامة للأمم المتحدة، والمفوضية الأوروبية، ووزارة خارجية الولايات المتحدة، المكتب الاتحادي للشؤون الاقتصادية ومراقبة الصادرات."	1
"وإذ يهيب بالدول أن تكفل، وفقا للقانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين، عدم إساءة استخدام مركز اللاجئ من قبل مرتكبي الأعمال الإرهابية أو منظميها أو ميسريها، بما في ذلك المقاتلون الإرهابيون الأجانب،"	1
"ووصلت الوحدة الفنلندية (46) إلى كابول يومي 11 و 12 شباط/فبراير 2002، وبدأت عملياتها بكامل طاقتها منذ 16 شباط/فبراير 2002."	0
"4. قادرة على تحقيق التوازن مع عدم التوازن المحدد المتبقي بمقدار 0.2 جم مم لكل كجم من كتلة الدوار؛"	0
"وفي هذا السياق، يرحب مجلس الأمن بالقرار الذي اتخذه مؤتمر قمة الاتحاد الأفريقي في سرت في 3 تموز/يوليه بزيادة قوام بعثة الاتحاد الأفريقي في الصومال إلى مستويات القوات المأذون بها، ودعوته الدول الأعضاء في الاتحاد الأفريقي إلى توفير الأفراد العسكريين وأفراد الشرطة اللازمين."	1
"484 - وفي المناقشات التي جرت مع اللجنة بشأن منهجية لجان الاغتصاب، تم التأكيد بشكل كبير على الدعاية الواسعة النطاق لولاية اللجان."	1
"(ب) توفير الأجهزة الطبية للمستشفيات بمصراتة وبنغازي والجبال الغربية خلال الفترة من 1 إلى 7 أبريل 2011 بتكلفة قدرها 795 54 دولارا"	0
"واتفقت منظمة الطيران المدني الدولي والاتحاد الدولي للنقل الجوي على تسليط الضوء على عمل لجنة القرار 1267 وزيادة الوعي بالقائمة الموحدة بين أعضائهما."	1
"وذكرت السيدة تاجليافيني أن الكثير من القتال توقف منذ التوقيع على وثائق مينسك، لكن القتال لا يزال مستمرًا في بعض المواقع الاستراتيجية، بما في ذلك ضواحي المدينة في ميناء ماريوبول على البحر الأسود وحول مطار دونيتسك. في تجاهل لوقف إطلاق النار واتفاقات مينسك."	0
"ومن المقرر القيام بمهمة ثانية بمجرد تحديد موعد لعقد مؤتمر مائدة مستديرة."	0
"ومع ذلك، لا يزال هناك احتمال لحدوث انهيار كامل للقانون والنظام، بالإضافة إلى انهيار الاقتصاد الهش وتفكك مؤسسات الحكم الذاتي الفلسطيني."	0
"27 أكتوبر 2012-20 أبريل 2013"	0
"وإذ يسلم بالمساهمة القيمة في حماية الأطفال في الصراعات المسلحة التي يقدمها الممثل الخاص للأمين العام المعني بالأطفال والنزاع المسلح والفريق العامل التابع لمجلس الأمن المعني بالأطفال والنزاع المسلح، بما في ذلك استنتاجاته وتوصياته الصادرة بما يتماشى مع القرار 1612 (2005)، وإذ يشير إلى القرار القرار رقم 1882 (2009) بشأن تعزيز حماية الأطفال في حالات النزاع المسلح،"	1
"وإذ يعرب عن تضامنه العميق مع ضحايا الإرهاب وأسرهم، ويشدد على أهمية مساعدة ضحايا الإرهاب وتقديم الدعم لهم ولأسرهم للتغلب على خسارتهم وحزنهم، ويسلم بالدور الهام الذي تلعبه شبكات الضحايا والناجين في مكافحة الإرهاب. الإرهاب، بما في ذلك من خلال التحدث بشجاعة ضد الأيديولوجيات العنيفة والمتطرفة، وفي هذا الصدد، يرحب ويشجع جهود وأنشطة الدول الأعضاء ومنظومة الأمم المتحدة، بما في ذلك فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب في هذا المجال،"	1
"ورأت الوفود أن القائمة الموحدة مفيدة واعتبرتها جزءا هاما من العمل الوطني والدولي لمكافحة تنظيم القاعدة والمرتبطين به."	1
"وطلب رئيس الوزراء لاتورتو إلى المجلس الانتخابي المؤقت إعادة النظر في هذا الجدول الزمني، بدعم من البعثة، مع مراعاة احترام المطلب الدستوري المتمثل في أداء الرئيس اليمين في 7 شباط/فبراير 2006، وإجراء تغييرات إذا لزم الأمر."	1
"ومع ذلك، يبدو أن المؤسسات المالية وغيرها من الأطراف المشاركة في التنفيذ ليست على علم بهذه المسألة حتى الآن، ويوصي الفريق بأن تجد اللجنة والدول السبل لجذب الانتباه إليها على نطاق أوسع."	1
"المقرر عقدها يوم الجمعة، 30 أيار/مايو 2003، الساعة 35/10 صباحا"	0
"19 - قامت دولتان بتجريم تمويل الإرهاب، في حين أدخلت خمس دول أخرى بعض الأحكام القانونية لمعالجة هذه المسألة."	0
