"","en_es_DEEPL","VerConf"
"58","18. Gulbuddin Hekmatyar (QI.H.88.03) es visto principalmente como una amenaza para la paz y la seguridad de Afganistán.",1
"59","Además, aunque la situación general de seguridad se ha mantenido tranquila y pacífica desde que Timor Oriental asumió oficialmente la plena responsabilidad de la seguridad el 20 de mayo, el contrabando, el comercio ilegal y el cruce de fronteras deben percibirse como motivo de preocupación, al igual que las tensiones relacionadas con las manifestaciones de Dili del pasado julio.",1
"60","El embargo de armas incluye ""armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipos militares, equipos paramilitares y piezas de repuesto para todos ellos"".",0
"61","Como tal, el Grupo valora este elemento de pérdida en 381.495 dólares estadounidenses.",0
"62","11. Decide seguir ocupándose del asunto.",0
"63","Determinar que la situación en Somalia sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,",1
"64","El Consejo exige que el Gobierno de Sudán se retire inmediatamente de la zona de Abyei.",1
"65","Unas pocas casas privadas están situadas cerca del río, pero la mayoría en una cresta a una distancia de 500 a 1.000 metros del río.",0
"66","El impacto negativo de la situación libia seguirá creciendo, lo que supone una amenaza sostenida para la paz y la estabilidad en la región. China expresa su grave preocupación a este respecto.",1
"67","Condenamos el terrorismo en todas sus formas y manifestaciones, ya que atentan contra el derecho más fundamental del ser humano: el derecho a la vida.",1
"68","En tercer lugar, en muchas situaciones, el Consejo de Seguridad ha reconocido graves violaciones de los derechos humanos y del derecho internacional humanitario como posibles amenazas a la paz y la seguridad.",1
"69","Reafirmando que el terrorismo en todas sus formas y manifestaciones constituye una de las amenazas más graves para la paz y la seguridad internacionales y que todo acto de terrorismo es criminal e injustificable, independientemente de sus motivaciones, de cuándo y de quién lo cometa,",1
"70","Reafirma su condena inequívoca de todos los actos, métodos y prácticas de terrorismo como criminales e injustificables, independientemente de su motivación, en todas sus formas y manifestaciones, dondequiera que se cometan y quienquiera que sea su autor,",1
"71","LA SITUACIÓN EN LA REGIÓN DE LOS GRANDES LAGOS",0
"72","La amenaza que suponen para la seguridad y la estabilidad de Afganistán los terroristas, los delincuentes y los implicados en el tráfico ilícito de drogas es real y debe abordarse de forma continua.",1
"73","22. Tras supervisar los movimientos de desplazados internos hacia Kosovo y hablar con personas de etnia albanesa en el sur de Serbia propiamente dicho, el ACNUR informó de que los desplazados internos habían huido por miedo a quedar atrapados entre líneas de fuego, y de una preocupación general por la acumulación de fuerzas policiales y militares en el valle de Presevo.",1
"74","3. Durante el periodo de referencia se presentaron trece nuevos casos a la Oficina del Defensor del Pueblo, con lo que el número total de peticiones de exclusión de la lista presentadas desde la creación de la Oficina ascendía a 49 a 31 de julio de 2013.",0
"75","3. CNDD/FDD (Consejo Nacional para la Defensa de la Democracia/Frente para la Defensa de la Democracia)",0
"76","59. El Grupo de Expertos viajó ampliamente por Côte d'Ivoire, la subregión y otros lugares en sus esfuerzos por evaluar el cumplimiento del embargo y determinar qué medidas adicionales podrían adoptarse para mejorar su eficacia.",0
"77","""El Consejo de Seguridad considera que los refugios seguros para terroristas siguen siendo motivo de gran preocupación y reafirma la necesidad de que los Estados refuercen la cooperación para encontrar, denegar refugio y llevar ante la justicia, sobre la base del principio de extraditar o juzgar, a toda persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugio seguro.",1
"78",":: Seguir desarrollando iniciativas para prohibir y prevenir la incitación, identificar las mejores prácticas e intercambiar información, teniendo en cuenta la necesidad de garantizar que todas las medidas pertinentes cumplen con sus obligaciones jurídicas internacionales, incluidas las obligaciones en materia de derechos humanos.",0
"79","La negativa de Azerbaiyán a entablar negociaciones directas con los representantes electos de Nagorno Karabaj es uno de los principales impedimentos para la resolución del conflicto al que se ha referido el representante de Azerbaiyán.",1
"80","Se han establecido acuerdos técnicos entre Interpol Sarajevo y los organismos encargados de la aplicación de la ley a nivel estatal y de la entidad, que permiten a estas fuerzas policiales acceder directamente a la base de datos de Interpol. Formación policial",0
"81","El Grupo inició su examen de la decimoséptima entrega el 25 de septiembre de 2002.",0
"82","27. Además, el Comité determinó que la lista de artículos, materiales, equipos, bienes y tecnología relacionados con los programas de misiles balísticos que figura en el anexo del informe anterior del Comité (S/2014/253) sustituye a la lista anterior (véase S/2012/947) y estará sujeta a las medidas impuestas por el Consejo de Seguridad en los apartados a), b) y c) del párrafo 8 de la resolución 1718 (2006).",1
"83","A pesar de los progresos realizados hasta la fecha, es imperativo que las partes del Acuerdo y todas las autoridades pertinentes redoblen sus esfuerzos para garantizar el cumplimiento satisfactorio del plazo.",0
"84","Varios testigos han declarado que se utilizaron términos abusivos e insultantes contra los detenidos, a los que a menudo se llamaba ""esclavos"".",0
"85","Ley sobre la Manipulación de Sustancias, Materiales y Residuos Peligrosos",0
"86","Reitera su exigencia de que todas las partes en un conflicto armado pongan fin por completo y con efecto inmediato a todos los actos de violencia sexual y su llamamiento a esas partes para que asuman y apliquen compromisos específicos con plazos concretos para combatir la violencia sexual, que deberían incluir, entre otras cosas, la emisión de órdenes claras a través de las cadenas de mando en las que se prohíba la violencia sexual y la rendición de cuentas por el incumplimiento de esas órdenes, la prohibición de la violencia sexual en los códigos de conducta y los manuales de campo militares y policiales o equivalentes, y para que asuman y apliquen compromisos específicos sobre la investigación oportuna de los presuntos abusos; y exhorta además a todas las partes pertinentes en los conflictos armados a que cooperen en el marco de dichos compromisos, con el personal apropiado de las misiones de las Naciones Unidas que supervise su aplicación, y exhorta a las partes a que designen, según proceda, a un representante de alto nivel responsable de garantizar la aplicación de dichos compromisos;",1
"87","Al mismo tiempo, ha resurgido la amenaza de los talibanes.",0
"88","Hemos observado con preocupación la valoración del Secretario General de que muchos de los factores que alimentaron la crisis de 2006 siguen presentes en la sociedad, haciéndola vulnerable a la inestabilidad.",1
"89","De hecho, la falta de detalles ha provocado que las notificaciones especiales de INTERPOL y el Consejo de Seguridad de las Naciones Unidas, que son el instrumento clave para difundir información sobre las personas incluidas en la Lista a los organismos encargados de la aplicación de la ley, existieran para 309 de los 488 nombres que figuraban en la Lista al inicio de la revisión; ahora el número asciende a 361 y es probable que aumente.",1
"90","La Organización de Cooperación Islámica hace un llamamiento para que se ponga fin a la ocupación militar israelí del territorio palestino, incluido Jerusalén Oriental, y a las acciones ilegales de la potencia ocupante que se han cobrado la vida de miles de civiles, han infligido una destrucción masiva y han agravado las dificultades socioeconómicas y humanitarias del pueblo palestino en violación del derecho internacional, incluido el derecho humanitario y de los derechos humanos.",1
"91","12. Exige que todas las partes cooperen plenamente con las operaciones de la MONUC y que garanticen la seguridad y el acceso inmediato y sin trabas del personal de las Naciones Unidas y el personal asociado en el desempeño de su mandato, en todo el territorio de la República Democrática del Congo; exige, en particular, que todas las partes faciliten pleno acceso a los observadores militares de la MONUC, incluso en todos los puertos, aeropuertos, aeródromos, bases militares y pasos fronterizos, y, además, que se conceda a los observadores de derechos humanos de la MONUC acceso a los centros de detención y a los centros de reclusión, y pide al Secretario General que informe sin demora de cualquier incumplimiento de estas exigencias;",1
"92","En este contexto, creemos que es importante llamar la atención del Consejo de Seguridad sobre las amenazas que representan las organizaciones religiosas radicales y extremistas como Hizb ut-Tahrir e instar al Consejo a que imponga las sanciones más enérgicas contra las organizaciones terroristas.",1
"93","A este respecto, el Consejo de Seguridad alienta a que se siga incorporando la protección de la infancia en las actividades de promoción, las políticas, los programas y la planificación de misiones de esas organizaciones y arreglos, así como a que se capacite al personal y se incluya personal de protección de la infancia en sus operaciones de mantenimiento de la paz y sobre el terreno y se establezcan, en sus secretarías, mecanismos de protección de la infancia, incluso mediante el nombramiento de coordinadores de la protección de la infancia.",0
"94","Durante las consultas informales del Comité celebradas el 22 de mayo, el Coordinador del Equipo de Vigilancia hizo una presentación oral sobre la actual amenaza para la paz y la seguridad internacionales que representan AlQaeda y sus afiliados.",1
"95","4. Observa con preocupación la estrecha relación existente entre el terrorismo internacional y la delincuencia organizada transnacional, las drogas ilícitas, el blanqueo de dinero, el tráfico ilegal de armas y la circulación ilegal de materiales nucleares, químicos, biológicos y otros materiales potencialmente mortíferos y, a este respecto, destaca la necesidad de mejorar la coordinación de los esfuerzos a escala nacional, subregional, regional e internacional a fin de reforzar una respuesta global a este grave desafío y amenaza para la seguridad internacional;",1
"96","Por eso condenamos el terrorismo.",1
"97","Sin embargo, el proceso también ha ilustrado lo importantes que siguen siendo los retos para el sector de la seguridad de Liberia, especialmente en lo que respecta a las capacidades logísticas, de comunicaciones y de movilidad de la policía y el servicio de inmigración.",1
"98","Aunque quedan fuera del mandato de UNMISET, las recientes sentencias de un tribunal de apelación de Indonesia, que anulan cuatro condenas del Tribunal Ad Hoc de Derechos Humanos, inciden directamente en la cuestión más amplia de lograr la rendición de cuentas.",1
"99","Esto puede requerir que determinen la naturaleza de su relación con la otra entidad.",0
"100","Condena enérgicamente a los talibanes por el lanzamiento en julio de 1999, sólo una semana después de la reunión del grupo ""Seis más Dos"" en Tashkent, de una nueva ofensiva, a pesar de las reiteradas peticiones del Consejo de que cesen los combates.",1
"101","Aunque el mando de la PNTL no sancionó los ataques del 23 y 24 de mayo en los que se vieron implicados algunos agentes de la PNTL, están relacionados con la ruptura de la cadena de mando, el faccionalismo existente y un historial previo de rendición de cuentas limitada.",1
"102","Eliminación de la excavación y tratamiento HTTD del material excavado;",0
"103","Pérdida de futuros servicios sociales prestados por las industrias madereras, como escuelas y clínicas.",0
"104","Nos preocupa el deterioro del nivel de vida de la población como consecuencia de las dificultades a las que se enfrentó el país en 2008, en particular por la crisis alimentaria mundial y los daños causados por los huracanes que azotaron la isla.",1
"105","Elogiando los progresos realizados hasta la fecha por el Comité contra el Terrorismo establecido por el Consejo de Seguridad en virtud del párrafo 6 de la resolución 1373 (2001), que actúa con arreglo al Capítulo VII de la Carta, en el desempeño de su importante responsabilidad de supervisar la aplicación de dicha resolución,",1
"106","64. Mubarak Saleh Herzan Malis al-Mutayri",0
"107","Que no se acepte la solicitud del Gobierno de Kuwait relativa a la reclamación de bienes inmuebles en relación con un detenido fallecido, debido a que esta cuestión constituye de hecho una solicitud de presentación tardía de la parte de la reclamación relativa a los bienes inmuebles fuera del plazo de presentación para su aceptación, y pedir a la secretaría que informe de ello al Gobierno de Kuwait.",1
"108","Ningún Estado aplica medidas adecuadas para proteger a las organizaciones sin ánimo de lucro de la financiación del terrorismo.",1
"109","Unidades especiales de la policía llevaron a cabo medidas especiales de protección en zonas de comunidades minoritarias, además de proporcionar seguridad en acontecimientos importantes, protección esencial para la fundición de plomo de Zvecan, instalaciones de la UNMIK y el palacio de justicia de Mitrovica, dotado de personal internacional.",0
"110","Hecho en Kampala, el 15 de mayo de 2000.",0
"111","A pesar de todo lo anterior, seguimos creyendo que no hay solución militar; al contrario, estamos seguros de que es contraproducente.",1
"112","Condenando el continuo flujo ilícito de armas dentro y hacia el [estado afectado] en violación de las resoluciones [que prescriben sanciones], declarando su determinación de continuar vigilando de cerca la aplicación del embargo de armas y otras medidas establecidas por sus resoluciones relativas al [estado afectado],",1
"113","Si se quiere evitar un nuevo recrudecimiento de la violencia, ambas partes y la comunidad internacional deben actuar con prontitud.",1
"114","(ii) materiales que no pudieron ser entregados",0
"115","Estos países también se enfrentan a importantes retos de flujos transfronterizos de refugiados.",0
"116","Sin embargo, persiste la preocupación por los 2,3 millones de personas que siguen en crisis.",1
"117","En este sentido, nos preocupa especialmente la continua falta de avances en los ámbitos de la libertad de circulación de las minorías, los retornos sostenibles y la representación relevante de las minorías en las estructuras gubernamentales y en el sector público en su conjunto.",1
"118","Los importes totales corregidos por país y tramo son los siguientes:",0
"119","32. Las actividades de Landmine Action también incluyen la formación de residentes para reconocer artefactos explosivos.",0
"120","En su informe preliminar, la Comisión expuso las similitudes, así como las diferencias en los mandatos, señalando en particular que, si bien había identificado algunas violaciones que le llevaban a concluir que se habían cometido crímenes internacionales en Libia, correspondía a la CPI evaluar la responsabilidad penal individual.",1
"121","A través de una parte del bloque del motor, encontrada y recogida en la escena del crimen, se ha llegado a la conclusión de que el motor procede de un vehículo Mitsubishi robado el 12 de octubre de 2004 en la ciudad de Sagamihara, Japón.",0
"122","Solicito su amable ayuda para que la presente carta se distribuya como documento del Consejo de Seguridad.",0
"123","Reiteró la condena del Secretario General de cualquier uso de armas químicas por cualquiera de las partes en el conflicto sirio y su llamamiento para que los autores de tales actos sean llevados ante la justicia.",1
"124","Uganda sigue preocupada por la situación humanitaria en Darfur.",1
"125","A finales de agosto, el ACNUR había documentado un déficit de 18.000 viviendas.",0
"126","También podrían aplicarse otras disposiciones del Código Penal, como el armamento no autorizado (artículo 185) o el desarrollo, producción y posesión de medios de combate prohibidos (artículo 185a): Peligro público",0
"127","Los informes indican que la intensidad de los ataques y las atrocidades cometidas en una misma aldea extendieron tal nivel de temor que las poblaciones de las aldeas circundantes que escaparon a dichos ataques también huyeron a zonas de relativa seguridad.",1
"128","Todas las escuelas fueron reconstruidas en el plazo previsto.",0
"129","Sin embargo, más de 1.560 permanecen en Etiopía y más de 320 en Eritrea.",0
"130","La situación de las minorías sigue siendo motivo de preocupación, especialmente en lo que respecta a la libertad de circulación y el acceso a la justicia.",1
"131","Ello implicaría medidas más enérgicas en relación con el desalojo de quienes, amenazando con la violencia, utilizan ilegalmente propiedades serbias.",0
"132","La reciente publicación por el Consejo de Ulemas de un decreto religioso que condena los estupefacientes y otras actividades relacionadas puede ser decisiva para desalentar el cultivo de adormidera.",1
"133","El presidente Al-Bashir tomó represalias diplomáticas contra la decisión keniana y amenazó con sanciones económicas y comerciales.",1
"134","Información solicitada y recibida del Organismo Internacional de Energía Atómica",0
"135","Esto ha provocado graves tensiones con las comunidades locales, así como amenazas contra la MONUC por parte de algunos antiguos mandos militares del CNDP, ahora integrados en las FARDC.",1
"136","Subrayando la obligación impuesta a todos los Estados miembros de aplicar plenamente la resolución 1373 (2001), incluso con respecto a cualquier miembro de los talibanes y de la organización Al-Qaida, y a cualesquiera individuos, grupos, empresas y entidades asociados con los talibanes y la organización Al-Qaida, que hayan participado en la financiación, planificación, facilitación y preparación o perpetración de actos terroristas o en el apoyo a actos terroristas, así como de facilitar el cumplimiento de las obligaciones antiterroristas de conformidad con las resoluciones pertinentes del Consejo de Seguridad,",1
"137","Condena enérgicamente el reclutamiento y la utilización de niños soldados por las partes en conflictos armados en violación de las obligaciones internacionales que les son aplicables, el asesinato y la mutilación de niños, las violaciones y otros actos de violencia sexual cometidos sobre todo contra niñas, los secuestros y desplazamientos forzosos, la denegación de acceso humanitario a los niños, los ataques contra escuelas y hospitales, así como la trata de personas, los trabajos forzosos y todas las formas de esclavitud y todas las demás violaciones y abusos cometidos contra niños afectados por conflictos armados.",1
"138","Insto a las autoridades congoleñas y a otras partes interesadas a que tomen las medidas necesarias para poner fin a este tipo de actos, que podrían socavar la credibilidad de los comicios y aumentar el riesgo de violencia.",1
"139","La resolución reitera la importancia de cumplir esas obligaciones y subraya que ninguna de las partes debe emprender ninguna actividad que contravenga esas obligaciones de la Hoja de Ruta o perjudique la negociación del estatuto definitivo.",1
"140","(a) Preparar la Misión para futuras operaciones o liquidación.",0
"141","Condena enérgicamente todas las violaciones del derecho internacional aplicable cometidas contra las mujeres y las niñas en situaciones de conflicto armado y postconflicto, exige a todas las partes en conflicto que pongan fin a tales actos con efecto inmediato, y subraya la responsabilidad de todos los Estados de poner fin a la impunidad y procesar a los responsables de todas las formas de violencia cometidas contra las mujeres y las niñas en los conflictos armados, incluidas las violaciones y otros actos de violencia sexual.",1
"142","Sin embargo, la propia naturaleza de la mayoría de los crímenes internacionales implica, por regla general, que son cometidos por funcionarios del Estado o con su complicidad; por lo tanto, a menudo es mejor dejar su enjuiciamiento a otros mecanismos.",1
"143","Este conflicto es también una guerra de información (manipulación y desinformación).",0
"144","El Secretario General advierte de manera inequívoca que hasta ahora no se ha cumplido del todo ninguna de las ocho normas.",1
"145","No se ha formado una administración y la ciudad y el resto de las regiones de Bay y Bakool no tienen ninguna forma de gobierno.",0
"146","45. Además, la MINUSTAH documentó el asesinato de niños en Cité Soleil y otros distritos pobres durante intercambios de disparos entre bandas y la Policía Nacional de Haití, y el uso continuado de la violencia sexual contra los niños.",0
"147","6. Madera. Las sanciones parecen eficaces; no hay pruebas de exportaciones generalizadas.",0
"148","También hay algunos grupos más pequeños sin vínculos o afiliaciones perceptibles con otros grupos.",0
"149","Sin embargo, seguirán necesitando protección. Aunque la disposición de la KFOR a mantener su protección de los lugares religiosos es esencial, una solución duradera no puede basarse en las fuerzas militares.",0
"150","Instamos a todas las partes a que actúen con moderación y eviten acciones o declaraciones provocadoras que puedan desencadenar más violencia.",1
"151","7. Toma nota con preocupación de los informes de seguimiento de los medios de comunicación de la ONUCI y de los medios de comunicación a los que se hace referencia en ellos por incitar a la violencia y a la reanudación del conflicto interno, y subraya que sigue dispuesta a imponer sanciones a quienes obstruyan el proceso electoral, concretamente la actuación de la Comisión Electoral Independiente y de todos los demás operadores implicados, así como la proclamación y certificación de los resultados de las elecciones presidenciales y parlamentarias;",1
"152","Reiteradas violaciones de los Acuerdos de Argel por parte de Etiopía",0
"153","La situación de la seguridad, sin embargo, sigue siendo una preocupación real para todos, a pesar de la disminución de los acontecimientos relacionados con la seguridad en diciembre de 2011 y enero de 2012, en comparación con el período de dos meses anterior del año pasado.",1
"154","Abdelrahman Mouhamad Zafir al Dabidi al Jahani está asociado con Al-Qaida o con cualquier célula, filial, grupo escindido o derivado de ella por ""participar en la financiación, planificación, facilitación, preparación o comisión de actos o actividades por parte de, en conjunción con, en nombre de, en nombre de o en apoyo de"" y ""reclutar para"" Jabhet al-Nusra, alias Frente Al-Nusrah para el Pueblo del Levante (QE.A.137.14).",1
