"es_en_TRANSOFMERS"	"VerCoop"
"These projects also help to rehabilitate community assets such as roads, markets, schools, wells, water collection facilities and irrigation channels."	0
"In view of the above, the National Commission visited a number of areas in Darfur states where, according to some allegations, forced displacement or ethnic cleansing took place."	1
"Of the 5 invoices, 4 were dated in 1985 or earlier; only one was dated in 1989."	0
"Within the framework of the activities undertaken by the Division to select experts with adequate preparation to participate in the sanctions monitoring teams and expert groups, and as is done annually, a note verbale was sent to all Member States in December 2014 requesting them to nominate qualified persons for inclusion in the Division's roster of experts."	0
"The trial is scheduled to last 18 months and be completed by the end of 2008 and judgement will be handed down by mid-2009."	0
"\" The Security Council reiterates its strong condemnation of all violations of applicable international law committed against women and girls in armed conflict and post-conflict situations, including sexual and gender-based violence and killings and mutilation, and urges that all parties cease such acts fully and with immediate effect."	0
"Oil production (barrels/day) 2.36 million (2001)"	0
"In order for potential applicants to understand this process clearly and to know what measures will be taken and to ensure uniform application, practices and procedures have been developed and information on them disseminated to explain the process more specifically."	1
"III. Flights of aircraft from Yemen to Bossaso, Somalia"	0
"Reserves and fund balances, end of period"	0
"The Trial Chamber is expected to deliver its judgement in May 2010."	0
"Lescomplekt states that the company with which it formed the joint venture owes it amounts of three items."	0
"It also recommends that further investigation be carried out into the possible involvement of Leandro Issac in the crimes committed."	1
"The Government of the Syrian Arab Republic wishes first to express its appreciation for the efforts of the United Nations Department of Peacekeeping Operations and those responsible for the United Nations Disengagement Observer Force (UNDOF) deployed in the occupied Syrian Golan to maintain security and peace in its area of operations, in accordance with the mandate entrusted to it; the Syrian Arab Republic has continuously supported and facilitated the work of the Force and has respected its mandate since its establishment in 1974; it has established close links with those responsible for the Force, the United Nations Truce Supervision Agency (UNTSO) and the Department of Peacekeeping Operations; and successive Secretaries-General have consistently expressed in their reports their appreciation for the readiness of the Syrian Arab Republic to cooperate, to ensure the security of the members of UNDOF and to respect the mandate of the Force."	1
"However, States still need to strengthen their programmes and cooperation and implement the latest best practices and international arms control standards."	1
"The letter indicated that the Committee was considering the recommendations contained in the report with a view to improving the measures relating to sanctions imposed and their implementation."	1
"During the reporting period, the Committee received 14 requests for exemption from the arms embargo for non-lethal military equipment, pursuant to paragraph 3 of resolution 1356 (2001), one request for exemption from the arms embargo pursuant to paragraph 11 (b) of resolution 1772 (2007), and one notification pursuant to paragraph 6 of resolution 1744 (2007)."	1
"4. Ahmad Taher Termanini, resident of Atmeh, rural Idlib"	0
"There are more outbreaks of violence in the Comoro Market. One civilian is killed, eight people are shot and four people suffer other serious injuries."	0
"- To call for strict compliance by the parties to an armed conflict with the applicable rules of international humanitarian law and human rights and refugee law, including with regard to:"	1
"According to many reports and testimonies, this support for the parallel forces comes from the presidential palace."	0
"Urges appropriate regional and subregional bodies, in particular, to consider developing and implementing policies and undertaking advocacy and activities for the benefit of women and girls affected by sexual violence in armed conflict."	1
"The participants felt that, because of their seriousness, those events highlighted the need for urgent action to accelerate the process of holding an inclusive dialogue among Malians, with a view to laying the foundations for genuine reconciliation among them, and achieving lasting peace, security and stability in the country."	1
"They also stressed that the early election of the new President of Lebanon constituted a critical step towards the stability of the country."	1
"However, let no one be mistaken: my country is also ready to resist the unilateral declaration of independence unceasingly until a compromise solution is seen."	0
"In addition, enhanced coordination and interoperability among those organizations, as well as the development and exchange of common strategies, operational policies and best practices in civilian crisis management, would enhance effectiveness and coherence in crisis management."	1
"The IDF wanted to take over the house."	0
"Biological risk management and Security Council resolution 1540 (2004)"	0
"78. The Sudanese armed forces are conventional armed forces responsible for protecting and maintaining internal security."	1
"Mateus Piskorski, Polish journalist, 8 January 2012"	0
"Mr. Xenofon Ulianovschi (Republic of Moldova)"	0
"Mr. Valdés officially assumed his responsibilities on 17 August 2004."	0
"19. Decides to remain seized of the matter."	0
"âThe Security Council stresses the urgency of disbanding and disarming all illegal armed groups."	1
"- To call upon parties to armed conflict to take appropriate measures to refrain from all forms of sexual violence and to prevent and protect all persons from such violence, including by:"	1
"âThe Security Council calls upon the States of the Maghreb and the Sahel to increase interregional cooperation and coordination in order to develop inclusive and effective strategies to combat in a comprehensive and integrated manner the activities of terrorist groups, namely, Al-Qaida in the Islamic Maghreb (AQIM), `Movement for Unity and Jihad in West Africa' (MUJAO) and Ansar Eddine, and to prevent the expansion of those groups, as well as to end the proliferation of all weapons and to combat transnational organized crime, including drug trafficking, and in this regard takes note of the outcome of the Conference on Cooperation in Border Control in the Sahel and the Maghreb, organized by the Executive Directorate and the Special Team in Rabat, as well as the outcome of the ministerial meeting on enhancing security cooperation and the operationalization of African peace and security structures in the Sahelo-Saharan region, held in Nuakchot."	1
"To be held on Thursday, 14 June 2007, at 12.15 p.m."	0
"The Team is aware of 15 lawsuits filed in five Member States, as well as before the Court of Justice of the European Communities, challenging the application of some aspect of sanctions by Member States."	1
"The Office is a member of the Egmont Group."	0
"Supporting the appeal of the Envoy to the Government of Syria to comply visibly and immediately with all elements of the Envoy's six-point proposal in its entirety in order to bring about a sustained cessation of armed violence in all its forms by all parties,"	1
"Camp conditions are poor, with unequal access to water and toilets, and overall acute malnutrition rates reach 12.5 per cent in camps."	0
"Morocco ratified this Convention by Dahir No. 4.93.38 of 13 November 2001."	0
"Security Council Committee established pursuant"	0
"Due to the rainy season, much mine action was suspended until the end of September, when the mine awareness strategy, a project funded by the Australian Agency for International Development (AusAID), began to be implemented."	0
"The Council recognizes that development and security are mutually reinforcing and vital to an effective and comprehensive approach to counter-terrorism."	1
"Proposal for an approach to increase the responsiveness of the conflict analysis framework to gender issues, including the development of gender-sensitive indicators and conflict-related variables."	1
"âThe Security Council encourages Member States to continue to cooperate among themselves in combating piracy and armed robbery at sea off the coast of Somalia, underlines the primary responsibility of the Somali authorities in combating piracy and armed robbery at sea off the coast of Somalia, and requests the Somali authorities, with the assistance of the Secretary-General and relevant United Nations entities, to adopt without delay a comprehensive set of anti-piracy laws and declare an exclusive economic zone in accordance with the United Nations Convention on the Law of the Sea."	1
"In addition, the Monitoring Team travelled twice to Belgium, one to attend the symposium of the International Civil Aviation Organization and one to meet with representatives of the World Customs Organization, and to France to attend an expert meeting on targeted financial sanctions organized by the Financial Action Task Force and the third plenary meeting of that Group."	1
"Stressing that improved dialogue and broader understanding among civilizations, in an attempt to prevent indiscriminate attacks on different religions and cultures, and addressing unresolved regional conflicts and the full range of global challenges, including development challenges, will contribute to international cooperation that is, in turn, necessary to sustain the broadest possible fight against terrorism,"	1
"Uganda values peace and believes that the current instability in the Great Lakes region is a disincentive to development."	1
"The Committee reaffirms its responsibility to include the implementation of Council resolution 1624 (2005) in its dialogue with Member States and to contribute to capacity-building in this regard, including by disseminating best legal practices and promoting the exchange of information."	1
"When the work of all panels of Commissioners of the United Nations Compensation Commission came to an end in June 2005, 1.55 million claims (out of a total of $2.69 million) had been identified as compensation."	1
"This idea could further radicalize some Kosovo Albanian nationalist elements and increase the risks to Kosovo minorities."	0
"As there have not been many entries on the List concerning individuals or entities providing military equipment or training to such groups, the Team recommends that the Committee take further steps to clarify the scope of the arms embargo."	1
":: Import regulations and customs data on diamond imports."	0
"(b) Conventional arms On the basis of its overall analysis, the Team also believes that the Council may wish to request all States, in particular arms-exporting countries, to exercise the utmost responsibility in dealing with small arms and light weapons to prevent the illegal diversion and re-export of arms and related materiel in violation of the measures contained in the resolutions related to Al-Qaida and the Taliban."	1
"Please provide examples of any relevant cases."	0
"The scarcity of resources is evident in a number of cases."	0
"(a) To become parties, as a matter of urgency, to all international conventions and protocols related to terrorism, in particular the 1999 International Convention for the Suppression of the Financing of Terrorism, to support all international efforts to that end and to take full advantage of the sources of assistance and guidance that are emerging;"	1
"Recognizing the importance of transitional justice in promoting lasting reconciliation among all the people of Burundi, and welcoming the progress made in the preparations for national consultations on the establishment of transitional justice mechanisms, including the establishment of a technical follow-up committee and a forum of representatives of civil society,"	1
"Affirming its determination to take appropriate and effective measures to combat any threat to international peace and security caused by the proliferation of nuclear, chemical and biological weapons and their means of delivery, in accordance with its primary functions as set out in the Charter of the United Nations,"	1
"While the nature of the consultations will ultimately be determined by the stakeholders themselves, they are expected to involve conferences at the local and state levels throughout Darfur leading to a major conference throughout Darfur."	0
"In total, over 7,000 graves have been dug."	0
"6. Recalls the obligations referred to in paragraph 2 (e) of resolution 1373 (2001), and recalls them in particular with regard to terrorist attacks against United Nations personnel, members of peacekeeping operations and installations;"	1
"In addition, the Committee will establish a schedule of meetings to enable it to achieve its objectives quickly and effectively."	1
"To be held on Wednesday, 2 May 2012, at 11 a.m."	0
"Some of the highlights are mentioned in the following paragraphs."	0
"(c) Proceeds of Crime Act (chap. 143)"	0
"4. Requests the Executive Director of the Counter-Terrorism Committee Executive Directorate, within 30 days of his assumption of office, to submit to the plenary, in consultation with and through the Secretary-General, for approval, an organizational plan for the Counter-Terrorism Committee Directorate, in accordance with the report of the Committee (S/2004/124) and the applicable rules and regulations of the United Nations, specifying its structure, staffing and budgetary requirements, management guidelines and recruitment procedures, recognizing in particular the need for an effective and cooperative management structure for the new body, with a staff of qualified and experienced international civil servants who will be subject to the provisions of Article 100 of the Charter, with the highest standards of efficiency, competence and integrity, and giving due consideration to the importance of recruiting staff in such a manner as to ensure the widest possible geographical representation;"	1
"âThe Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued and full implementation of all its previous relevant resolutions, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women, peace and security, children and armed conflict, and peacekeeping, and all relevant statements by its President."	1
"The percentages of annual allocations spent during the six-month period from July 2005 to January 2006 are as follows:"	0
"The Republic of Cyprus deposited its instrument of ratification with the Governments of the Russian Federation, the United States of America and the United Kingdom on 17 November 1971, 30 December 1971 and 17 November 1971 respectively; Ratification Act No. 63/1974."	0
":: Encourage States to promote dialogue and cooperation, including with civil society, academia and industry, to address the threat posed by illicit trafficking in nuclear, chemical or biological weapons, their means of delivery and related materials"	1
"Requests the Secretary-General to continue to assist the Government of [the affected country] in developing transitional security institutions, including the [national] police force and the national security force, and to continue to support the Government of [the affected country] in developing a national security strategy that includes respect for the rule of law and the protection of human rights and includes plans for disarmament, demobilization and reintegration, justice and corrections institutions, as well as the necessary legal and policy framework for the functioning of its security forces, including governance, vetting and oversight mechanisms."	1
"The Authority expresses its appreciation to the African Union and the United Nations for the multifaceted assistance they have extended to efforts in the region to achieve a peaceful solution."	1
"Therefore, another critical challenge in the near future will be to create a sustainable economy promoted by a culture of democratic and transparent governance, which creates jobs and helps to fulfil the basic social functions of the State."	0
"However, the participation of other minority groups was very encouraging, especially among the Goranci and Bosniac communities in Kosovo."	0
"(a) Payment of incentives to staff (SAR 3,562,429);"	0
"The Council encourages neighbouring States to cooperate with the Regional Task Force to end the LRA threat."	1
"Just yesterday, the Prime Minister of Georgia issued a detailed settlement plan for the conflict in another separatist region of Georgia, the Tskhinvali region/ex-South Ossetia."	1
":: The Security Council can be more effective by encouraging States to do more to investigate and prosecute serious violations of international humanitarian law. How can this be assessed? How can the Council âincentivizeâ States to act against impunity?"	1
"Respect for the rights of others, including political adversaries, must be the ultimate test for all those who aspire to lead the country towards stability, unity and prosperity."	1
"The mission will recall that the Council stands ready to support the transitional authorities in their fight against impunity in the Democratic Republic of the Congo."	1
"\" The Security Council reaffirms the importance of the work of the committees established pursuant to resolutions 1267 (1999), 1373 (2001) and 1540 (2004), and continues to provide support and guidance to the committees."	1
"The members of the Commission decided, in order to recommend âmeasures to ensure accountability for crimes and serious human rights violations allegedly committed during the periodâ, and bearing in mind that, in the view of the Government of Timor-Leste, the internal justice system, involving international judges, prosecutors and defence counsel, should be the primary instance for establishing responsibility for such alleged crimes and violations, which would have to make a preliminary assessment of the existing justice system in Timor-Leste."	1
"There are also some smaller groups that do not appear to be linked or associated with others."	0
"The European Union's decision to start negotiations with Serbia and Montenegro to conclude a stabilization and association agreement represents a milestone in this regard."	1
"(a) Encourage States to build the capacity of their money-laundering and counter-terrorist financing legislation regimes, with a particular focus on the regulation of alternative remittance systems and non-profit organizations;"	1
"S/RES/1318 (2000), para. VI Stresses the importance for all Member States, in particular States that manufacture or trade arms, to limit arms transfers that may lead to armed conflict or prolong or aggravate existing tensions or conflicts..."	1
"(d) Fibrous or filamentary materials and pre-printed materials;"	0
"(v) To maintain a dialogue and exchange information with designated focal points or focal points on issues related to their contribution to the implementation of resolution 1540 (2004);"	1
"The Commission recommends that further investigations be carried out to establish whether the following men of Commander Reign were present in Fatu Ahi: MoisÃ©s Ramos, PlÃ¡cido Ribeiro GonÃ§alves, Deolindo Barros, AntÃ³nio Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson JosÃ© AntÃ³nio da Silva, Joaninho Maria Guterres, Joaquim Barreto, JosÃ© Bomes, Natalino Borges Pereira, AndrÃ© da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Filsberto Garcia, Dario da Silva Leong, Nelson Galucho and Nixon Galucho."	1
"9. Calls upon States that have not yet done so to consider ratifying the instruments of international humanitarian law, human rights and refugee law and to take appropriate legislative, judicial and administrative measures to comply with their obligations under those instruments;"	1
"\" The Security Council requests the Secretary-General to report to it at the end of the liquidation phase of MINURCAT on 30 April 2011 on progress made in eastern Chad with regard to the protection of civilians, especially women and children, including: (i) the situation of refugees and internally displaced persons and durable solutions to their displacement; (ii) unhindered, safe and timely access to humanitarian assistance, including the movement and security of humanitarian personnel and the provision of humanitarian assistance; (iii) measures taken to respond to violations of humanitarian law, human rights law and refugee law; and (iv) the overall security situation, as it affects the humanitarian situation."	1
"\" The Security Council, recalling its resolutions 2042 (2012) and 2043 (2012), welcomes the appointment of the Joint Special Representative for Syria of the United Nations and the League of Arab States as an important step forward in cooperation between the two organizations and expresses its support for its efforts to continue the good offices of the Secretary-General in this regard."	1
"We must recognize these truths, which I have highlighted."	0
"First, the suspect or accused of an international crime must be present in the territory of the prosecuting State."	0
"In such an office, good offices would be a secondary activity."	0
"Meanwhile, UNHCR supplies from Belgrade were delivered as usual."	0
"(a) To promote the adoption by all States of comprehensive and coherent counter-terrorism legal frameworks that facilitate the implementation of legally sound and consistent counter-terrorism strategies;"	0
"In another case, the Tribunal again reviewed the various elements of an attack directed against the civilian population as part of the definition of crimes against humanity."	1
"(d) Political and military leaders operating in the Democratic Republic of the Congo who recruit or use children in armed conflict in violation of applicable international law;"	0
"This will help facilitate arrangements for the arrest, prosecution and post-conviction of high-risk offenders in accordance with international human rights standards."	1
"ICAO and IATA have agreed to highlight the work of the 1267 Committee and to sensitize its members to the Consolidated List."	1
"The report also sets out three specific approaches that would improve the implementation of sanctions: first, deter the payment of ransoms to Al-Qaida and its affiliated entities to promote the freezing of assets; second, use biometric techniques and introduce changes in national criteria for the definition of ineligible travellers to strengthen the travel ban against listed individuals; and third, improve analysis and action to limit the availability of components used in the development of improvised explosive devices using Al-Qaida and its affiliated entities. II. General Perspective A. Al-Qaida"	0
"In accordance with paragraph 13 of Security Council resolution 1822 (2008) and in coordination with the designating States, the Team has begun drafting summaries of the reasons for listing all entries on the List."	1
"In paragraph 8 of the same resolution, the Council mandated the Committee to designate persons and entities: (a) to participate in acts threatening the peace, security or stability of Somalia; (b) to act in violation of the general and complete arms embargo; and (c) to obstruct the provision or access to humanitarian assistance to Somalia."	1
"At the same time, President Al-Bashir is threatening the international community with reprisals and even more crimes."	0
"The Office encourages communities to exercise self-monitoring and combat polarization of views without government intervention, which is a more durable way to prevent radicalization within communities."	1
"(b) To receive requests from listed individuals for exemption from the measures referred to in paragraph 1 (b) of the present resolution and to transmit them to the Committee for determination, in each case, of whether entry or transit is justified, instructs the Committee to consider such requests in consultation with transit and destination States and any other relevant State, further decides that the Committee shall accept exemptions from the measures referred to in paragraph 1 (b) of this resolution only with the agreement of the transit and destination States, and further directs the Committee, through the focal point, to notify those individuals of its decision;"	1
"14. The situation in Sierra Leone (27 November 1995; 11 April 2012)."	0
"Council members agreed that efforts should be made to address the root causes of the conflict and that a coordinated response involving all relevant United Nations bodies was required."	1
"The Commission also recognizes the need to provide compensation to persons who have suffered as a result of the events of April and May."	1
"However, after 2011, how can anyone honestly say that civil society does not belong to the Middle East and North Africa and - I would add - everywhere?"	0
"However, the States members of the Pacific Islands Forum made considerable progress in implementing a range of counter-terrorism measures in accordance with resolution 1373 (2001)."	0
"Fundamentalist extremism and its manifestations are likely to continue to exist in the eastern areas."	0
"The Council stresses the need for all parties to respect and maintain the security and civilian character of refugee and internally displaced persons camps."	1
"OF WHICH THE SECURITY COUNCIL IS SEIZED AND ON THE"	0
"Longer-term capacity-building and stabilization activities should as far as possible be undertaken by the United Nations country team, in areas where it has a comparative advantage."	1
":: Strengthening, where appropriate, cooperation with other subsidiary bodies of the Council, especially the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and their experts, including on information exchange, visits and technical assistance."	1
"However, the financial and other institutions involved in implementation do not yet have this change in mind, and the Team recommends that the Committee and States find a way to disseminate it."	1
"Recognizing the need to enhance coordination of efforts at the national, regional, subregional and international levels, as appropriate, in order to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of mass destruction and their means of delivery,"	1
"To be held on Thursday, 13 October 2005, at 3.30 p.m."	0
"9. Requests the Secretary-General to continue to keep the Council regularly informed, and at least every three months, of the situation in the Democratic Republic of the Congo and the activities of MONUC, and to provide it with updated and specific information on the military situation with the same regularity;"	0
"S/RES/1923 (2010), preambular paragraph 4"	0
"On 1 December, in accordance with paragraph (p) of the annex to resolution 2160 (2014), the Monitoring Team submitted an ad hoc written report, prepared in consultation with the Government of Afghanistan, the United Nations Office on Drugs and Crime and other United Nations sanctions experts, on specific cases of cooperation among organized criminal groups, including hostage-taking groups for ransom, drug producers and traffickers, as well as those who illegally exploited Afghanistan's natural resources, including precious and semi-precious stones, and individuals, groups, undertakings and entities that met the criteria for listing in accordance with paragraph 1 of the resolution."	1
"At its 6863rd meeting, held in private on 14 November 2012, the Security Council considered the item entitled “The situation in the Middle East, including the Palestinian question”."	0
"In its preliminary report, the Commission established similarities and differences in mandates, noting in particular that, while it had determined the existence of some violations that led it to conclude that international crimes had been committed in Libya, it was for the International Criminal Court to assess individual criminal responsibility."	0
"Shah was only able to provide the following basic details of the six projects."	0
"The Government was thus in the final stage of adopting military guidelines to prevent the military use of schools; and in the process of developing a comprehensive strategy on children and armed conflict for its armed forces."	0
"MONUSCO has begun planning and preparing military operations against FDLR, taking into account that it is a scattered group that is hidden among the local population."	0
"The Team also held frequent discussions with the expert group established in support of the 1540 Committee to ensure appropriate synergy between the work of the Arms embargo Team and the work of the experts of the 1540 Committee on the Non-Proliferation of Weapons of Mass Destruction among non-State actors."	1
"They also decided to exert greater pressure to disarm militias operating in the eastern Democratic Republic of the Congo and to negotiate bilateral treaties for the extradition of militia leaders still active."	1
"The Executive Directorate, together with the Centre for Global Counter-Terrorism Cooperation and with the support of the Governments of the Netherlands and Germany, organized a subregional seminar for Eastern African Member States on effective monitoring of alternative remittance systems to prevent the abuse of such systems for terrorist financing, which was held in Addis Ababa in December 2013. The seminar had the following objectives: to increase awareness of the risks faced by entities of informal remittance systems to be used to finance terrorist activities; to promote dialogue between regulators, law enforcement officials and remittance entities; to promote financial inclusion and identify best practices."	1
"The conversation lasted from 5 to 10 minutes, during which the shooting continued."	0
"In addition, the reports agree that persons continued to be detained after the statutory deadline."	0
"The holding of the first open meeting of the Peace and Security Council on children affected by armed conflict and its proposal to appoint an African Union Special Envoy for Children in Africa also merited approval."	1
"In addition, the Commission found sufficient evidence that women continued to be victims of rape and sexual violence during their displacement, thus perpetuating fear of leaving the camps for displaced persons."	0
"Pacific did not respond to the formal article 15 notification."	0
"We remain concerned that, despite all attempts to restore peace and security, efforts to stabilize the eastern part of the Democratic Republic of the Congo have recently been affected by major setbacks."	0
"At present, such payments are not included in the budgetary forecasts of the State, so there is no trace of the size of the funds or their destination."	0
"Calls upon all parties concerned to ensure that all peace processes and agreements and all planning for post-conflict recovery and reconstruction take into account the special needs of women and children and include concrete measures for the protection of civilians, including... (iii) the creation of conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons..."	1
"This way in which some sources have interpreted the information has added a new dimension to the conflict."	0
"\" The Security Council notes the important role that civil society, including women's organizations, can play in the prevention and resolution of armed conflict, peace-building and post-conflict situations, and encourages the international community, regional organizations and Member States to promote their active engagement and effective participation in various roles, as appropriate, with a view to the implementation of resolution 1325 (2000)."	1
"I am deeply grateful to my current Special Representative for Mali, Mr. David Gressly, and to my Deputy Special Representative, Mr. Arnauld AkodjÃ©nou, as well as to all United Nations civilian and uniformed personnel in Mali, for their continued hard work under very difficult conditions to restore lasting peace and stability in the country."	1
"First, while Sierra Leone is the most advanced member of the West African Coast Initiative, the slow pace of progress elsewhere is impeding data sharing and early warning."	0
"When approving a United Nations operation, the Council should take into account the essential contribution of military and civilian police to the stabilization of crisis situations and the maintenance of security."	0
"Encourages [the Mission] to improve its interaction with the civilian population in order to increase awareness and understanding of its mandate and activities and to collect reliable information on violations of human rights and international humanitarian law committed against civilians."	1
"While Al-Qaida, the Taliban and their associates may not have advanced structures and systems to ensure operational control of their supporters, they do have effective military capabilities, as demonstrated, for example, by the insurgency in Afghanistan. At the tactical and operational levels, Al-Qaida, the Taliban and their associates have used both military and civilian equipment, such as short-range radios and mobile and satellite phones."	0
"(b) Capable of providing better azimutal accuracy than (less than) 0.5 degree rms at latitudes of +/- 80 degrees, referenced to the local magnetic field; and"	0
"(d) The passport has a total of 48 pages in series;"	0
"As the peace talks in Algiers, facilitated by the Algerian-led mediation team, continue, I call on all parties to negotiate in good faith to reach a comprehensive, viable and sustainable peace agreement that will address the root causes of the conflict."	1
":: Front pour la sécurité du Centre-Ouest (FSCO)."	0
"25. Reiterates its invitation to the Secretary-General to continue to provide relevant information and analysis on the protection of civilians when he considers that such information or analysis may contribute to the resolution of the issues before him, requests him to continue to include in his written reports to the Council on the issues addressed by the Council, where appropriate, observations relating to the protection of civilians in armed conflict, and encourages him to continue consultations and to take concrete steps to strengthen the capacity of the United Nations in this regard;"	1
"It should be added that the concept of superior responsibility also applied to internal armed conflicts, as had been held authoritatively by international criminal tribunals, and the legal opinion of States agreed."	1
"Despite the re-establishment of the executive board of the Provisional Electoral Council on 9 August 2005, the institution continued to present serious structural and operational deficiencies that have cast serious doubt on its ability to fully establish its secretariat or meet deadlines."	0
"All States in the subregion have launched financial intelligence units, although some are still working to build their capacities."	0
"Note: Based on data provided by the Administration."	0
"Once implemented, the measures would contribute significantly to enhancing Somalia's capacity to conduct counter-piracy operations off its coast."	1
"This can help clarify the extent to which the oil observed during the post-invasion field work results from oil spills caused by the invasion or from more recent oil inflows into the system."	0
"Although Togo is a member of the International Cocoa Organization, the lack of official statistics and figures in the country makes it difficult to estimate the amount of cocoa smuggled into the port of LomÃ©."	0
"S/1994/230 of 28 February 1994"	0
"âThe Security Council underlines that the shelter provided to terrorists remains a matter of particular concern and recalls that all Member States must cooperate fully in the fight against terrorism in order to locate, deny safe haven and bring to justice, in accordance with the principle of extradition or prosecution, any person who supports, facilitates, participates in, or attempts to participate in the financing, planning, preparation or commission of terrorist acts, or provides shelter for their perpetrators."	1
"The Committee strives to ensure that the Consolidated List is dynamic and responsive to the changing threat posed by Al-Qaida and the Taliban."	1
"Taking note of the report of the Secretary-General on the protection of civilians in armed conflict of 29 May 2009 (S/2009/277) and its annex on limitations on humanitarian access, which identify the basic challenges of effective protection of civilians, namely, promoting compliance with international law, promoting compliance with the obligations of non-State armed groups under international law, enhancing protection through increased effectiveness and resource endowment of United Nations peacekeeping and other relevant missions, expanding humanitarian access, and increasing accountability for violations,"	1
"\" The Security Council encourages UNAMI to continue its work, in coordination with the Government of Iraq, to help create conditions conducive to the voluntary, safe, dignified and sustainable return of Iraqi refugees and internally displaced persons, and hopes that all parties concerned will pay more attention to this issue."	1
"The Defense Forces repelled the attack and advanced to take over the entire city of Bunia."	0
"(b) Removal of excavation and treatment by thermal desorption at high temperature of the excavated material;"	0
"Stressing the need for alleged perpetrators of crimes against children in situations of armed conflict to be brought to justice through national justice systems and, where appropriate, international justice mechanisms and mixed criminal courts and tribunals to end impunity."	0
"Please also indicate the time period during which they can be used."	0
"The Council reiterates that a comprehensive peacebuilding programme with special emphasis on disarmament, demobilization, rehabilitation and reintegration will be of importance to post-conflict Somalia as envisaged in the statement of its President of 28 March 2002 (S/PRST/2002/8)."	1
"84. Kimberley Process Certification Scheme (28 January 2003; 28 January 2003)."	0
"Only by establishing the rule of law, supported by a well-trained Iraqi army, supported by an emerging infrastructure and economy, and encouraged by a free and fair electoral process, could those who wished to destabilize the country be defeated."	0
"Seven Abkhaz ethnic detainees were released within a few days and the rest on 24 September following a trial in Gali."	0
"Reiterating the need for all States and non-State parties to conflicts to comply fully with their obligations under applicable international law, including the prohibition of all forms of sexual violence,"	1
"Support to women's organizations in communities where peacekeepers are deployed to raise awareness of HIV/AIDS and strengthen community prevention strategies."	1
"Since the categories of international crimes had been listed elsewhere in the report, it might suffice to briefly recall the various forms of participation in international crimes for which a person could incur individual criminal responsibility."	1
"Resolution 1521 (2003) and resolution 1532 (2004), calling for the assets freeze, were expected to be made available to the national process to compensate victims, as compensation was not included in the mandate of the Tribunal."	1
