"","es","MatCoop"
"11","13. Expresa su intención de vigilar de cerca la aplicación de lo anterior y solicita al Secretario General que le presente información actualizada al respecto;",0
"12","- El 12 de diciembre de 2014, 200 efectivos de las fuerzas de régimen rodearon el barrio de Fayd situado en la ciudad de Jabla y prohibieron todas las entradas y salidas.",0
"13","LURD Fuente: UNMIL y Grupo de Expertos.",0
"14","Examinando la pauta de los daños es evidente que se trató de una carga de explosivos de gran potencia.",1
"15","El Comité seguirá concentrándose en observar y promover la aplicación por los Estados Miembros de la resolución 1373 (2001) y en adoptar medidas prácticas para aumentar la capacidad de los Estados de luchar contra el terrorismo, con inclusión de medidas encaminadas a facilitar la prestación de asistencia técnica.",1
"16","Sírvanse indicar las disposiciones legislativas o de otro tipo adoptadas para dar efecto al apartado a) del párrafo 2.",0
"17","Publicación relativa a la incorporación de una perspectiva de género en las actividades de evaluación y alerta temprana en materia de medio ambiente.",0
"18","c) Impedir el suministro, la venta y la transferencia, directos o indirectos, a esas personas, grupos, empresas o entidades desde su territorio o por sus nacionales fuera de su territorio o mediante buques o aeronaves de su pabellón, de armas y materiales conexos de todo tipo, incluidos armas y municiones, vehículos y pertrechos militares, pertrechos paramilitares y las piezas de repuesto correspondientes, así como asesoramiento técnico, asistencia o adiestramiento relacionados con actividades militares;",1
"19","La Oficina de Información y Administración seguirá ampliando y actualizando el sitio web del Comité y aumentando el número de hipervínculos proporcionados a los sitios web de las Naciones Unidas y otras entidades con mandatos en el ámbito de la lucha contra el terrorismo.",1
"20","El Comité siguió examinando tres solicitudes de exención: la primera se refería a una propuesta de asistencia técnica a la República Islámica del Irán presentada por un organismo especializado de las Naciones Unidas; la segunda correspondía a una solicitud del Centro de Actividades relativas a las Minas de la República Islámica del Irán recibida por un Estado, en la que se proponía la cooperación con ese Estado en materia de minas; y la tercera guardaba relación con una solicitud de capacitación técnica para las fuerzas armadas iraníes enviada por la República Islámica del Irán a un Estado.",1
"21","La Comisión constata también que las restricciones impuestas en los campamentos a las personas desplazadas dentro del país, en particular a las mujeres, a las que se aterrorizaba con violaciones, asesinatos o amenazas de atentados contra la vida e integridad física de la persona por parte de las milicias Janjaweed, supone una privación de libertad física, lo cual vulnera el derecho internacional.",0
"22","A menos que el Gobierno los encare, esos problemas podrían plantear serias amenazas a la seguridad y la estabilidad de Timor-Leste.",0
"23","El componente militar de la ONUCI seguirá poniendo en práctica su nuevo concepto de operaciones, colaborará con la fuerza Licorne para asistir a las partes en la aplicación de las propuestas del Facilitador sobre la reintegración del personal de las Forces Nouvelles a la policía nacional y el ejército y preparará planes de emergencia por si fuera necesario realizar intervenciones de estabilización para evitar actos de violencia destinados a frustrar el proceso de paz.",0
"24","9. Convención sobre asistencia en caso de accidente nuclear o emergencia radiológica.",0
"25","Además, las interacciones del Equipo con los Estados Miembros y con el Comité cambiarían considerablemente si el Equipo pasase a ser un árbitro de las decisiones relativas a la inclusión y exclusión de nombres de la Lista.",1
"26","Esta interpretación se justifica con arreglo a principios básicos del derecho penal internacional según los cuales hay responsabilidad penal individual cuando una persona comete materialmente un crimen, así como cuando incurre en otras formas o modalidades de comportamiento delictivo.",0
"27","En la Declaración, además de reafirmar la importancia de acelerar los preparativos para la celebración de elecciones en octubre, las partes convinieron en que el desarme y el desmantelamiento de las milicias deberían estar ultimados el 20 de agosto y que la troica integrada por la ONUCI, la Oficina del Primer Ministro de Côte d'Ivoire y la Misión de Mediación de la Unión Africana determinaría qué medidas adicionales era preciso adoptar para acelerar el proceso.",1
"28","La INTERPOL también está estableciendo el sistema electrónico de rastreo de armas de la INTERPOL para ayudar a los órganos policiales nacionales a rastrear los movimientos y usos ilícitos de armas de fuego.",1
"29","En la misma resolución, el Consejo también estableció algunas exenciones de las medidas específicas. El 5 de diciembre de 2011, el Consejo de Seguridad aprobó la resolución 2023 (2011), en la que amplió las medidas restrictivas aplicadas a Eritrea en relación con el ""impuesto de la diáspora"" y el sector minero y los servicios financieros de ese país.",1
"30","En la resolución 1425 (2002), estableció un Grupo de Expertos sobre Somalia, al que siguió el Grupo de Supervisión creado en virtud de la resolución 1519 (2003).",1
"31","Los miembros del Consejo alentaron a las autoridades de Burundi a que siguieran esforzándose por crear las condiciones necesarias para celebrar elecciones inclusivas mediante un diálogo constructivo, un espacio político abierto, el fin de la violencia por motivos políticos y la lucha contra la impunidad, de conformidad con la resolución 2137 (2014).",1
"32","Combatir ese flagelo requiere fortalecer nuestra capacidad de persecución penal, nuestro sistema judicial, nuestra policía civil y hasta nuestro sistema penitenciario.",0
"33","Ha tomado como objetivos para las operaciones militares varios lugares, con la idea de arrebatárselos a la oposición. Entre esos lugares se cuentan Baidoa, Marka y Mogadishu.",0
"34","En Italia, por ejemplo, la Unidad político-militar, establecida por la Oficina del Primer Ministro, está compuesta por representantes de alto rango de todos los ministerios y organismos partícipes en la lucha contra el terrorismo y tiene funciones amplias y detalladas.",1
"35","4. Intensificar la sensibilización de la población para que no se solidarice con los elementos residuales de las FDLR.",0
"36","Al mismo tiempo, la Secretaría sigue estudiando todas las opciones para aumentar y fortalecer la actual capacidad operativa de la Misión en el difícil entorno del norte de Malí.",1
"37","Por ejemplo, se ha podido acceder a zonas como los distritos de Pujehun, Bonthe y Bo en la provincia meridional, así como a partes del distrito de Kenema en la provincia oriental.",0
"38","Se solicita una indemnización por un total de 100.968 libras chipriotas.",0
"39","f) Una unidad médica de Alemania de 13 efectivos;",0
"40","En respuesta a esa ola de violencia, la MINUSTAH y la Policía Nacional de Haití organizaron con feliz resultado varias operaciones para rescatar a los secuestrados y detuvieron a un número considerable de presuntos secuestradores.",1
"41","No se han producido cambios notables en el estado operacional y las capacidades de Hezbolá, que según sus propios dirigentes dispone de más de 12.000 misiles.",0
"42","Los grupos armados congoleños y extranjeros, así como algunos elementos de las FARDC, siguieron atacando a los civiles, incluso en actos de violencia sexual.",0
"43","Hemos tomado nota de la cautela del Secretario General y de la misión de evaluación técnica en cuanto a la reforma del sector de la seguridad, y especialmente con respecto a la PNTL.",0
"44","12. La situación en Chipre (16 de julio de 1974; 13 de junio de 2008).",0
"45","VI. COOPERACIÓN DE LA MISIÓN DE OBSERVADORES DE LAS NACIONES",0
"46","Los miembros del Consejo acogieron con agrado los programas de capacitación que habían organizado el Representante del Secretario General y la BONUCA para dar a conocer a las fuerzas armadas y a la policía de la República Centroafricana distintas formas de promover el respeto de los derechos humanos y el derecho internacional humanitario.",0
"47","Según se ha indicado supra, distintas fuentes han confirmado que los niños visten uniforme y portan armas.",0
"48","En consecuencia, tras celebrar consultas con el Comité del Consejo de Seguridad establecido en virtud de la resolución 1718 (2006), deseo informarle de que he nombrado al Sr. George Lopez (experto de los Estados Unidos de América en finanzas) y al Sr. Takehiko Yamamoto (experto del Japón en cuestiones nucleares) para que formen parte del Grupo de Expertos y se encarguen de las tareas indicadas en el párrafo 26 de la resolución.",1
"49","El Departamento se encarga de la gestión y administración del Cuerpo de Protección de Kosovo y de la planificación, la coordinación y la ejecución de las intervenciones de emergencia ante desastres naturales y de otra índole.",1
"50","La población está expuesta a estos materiales peligrosos a diario por el aire, los alimentos, el agua y los bienes de consumo.",0
"51","La MONUC podría desempeñar una función en la revitalización de la economía del país ayudando a reabrir el sistema fluvial.",0
"52","Respecto de la coordinación interna, muchos Estados de Asia han establecido organismos u órganos centralizados cuyo mandato consiste en coordinar las actividades de lucha contra el terrorismo y analizar la información conexa, incluso respecto de la incitación.",1
"53","El Primer Ministro Seniora llegó a un acuerdo con los miembros de la segunda delegación, integrada por grupos armados palestinos con sede en Damasco, para crear una comisión de seguimiento a fin de debatir todas las cuestiones, incluida la de las armas. El 13 de octubre el gabinete libanés, habiendo aprobado unánimemente la posición del Primer Ministro, decidió establecer esa comisión, con el objetivo de resolver mediante el diálogo la cuestión de las armas palestinas dentro de los campamentos.",1
"54","Aunque la fase piloto se centra en un número limitado de casos, su éxito es crucial para el logro de soluciones más duraderas.",0
"55","Entre las cuestiones fundamentales que quedan pendientes cabe citar un arreglo para el tránsito entre el enclave de Oecussi y el resto de Timor Oriental, que es fundamental para el bienestar futuro de Oecussi, y el pago de pensiones a los ex empleados que deseen residir en Timor Oriental.",0
"56","Ha capacitado más de 20 organizaciones de derechos humanos en técnicas de vigilancia y se ha asociado con una organización no gubernamental nacional para facilitar la producción y difusión de materiales de información a más de 30.000 personas y organizaciones de la sociedad civil, con apoyo financiero de la Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos y la Embajada del Canadá.",1
"57","Decide que todos los Estados Miembros deberán congelar sin demora todos los fondos, otros activos financieros y recursos económicos que se encuentren en su territorio y que sean de propiedad o estén bajo el control, directo o indirecto, de las personas o entidades incluidas en [el anexo de la resolución en que se imponen las sanciones] o [designadas por el Comité de Sanciones y ordenen, controlen o dirijan de alguna otra forma la comisión de violaciones graves de los derechos humanos contra personas en [el Estado afectado] o sean cómplices en su comisión, en particular si han planeado, comandado, ordenado, o ejecutado ataques, incluidos bombardeos aéreos, contra la población e instalaciones civiles, en violación del derecho internacional, o han sido cómplices en la comisión de dichos actos; o de personas o entidades que actúen en su nombre o bajo su dirección, o de entidades que sean de propiedad o estén bajo el control de ellas] y decide también que todos los Estados Miembros se cercioren de que sus nacionales u otras personas o entidades que se encuentran en sus territorios no pongan fondos, activos financieros ni recursos económicos a disposición de las personas o entidades incluidas en [el anexo de la resolución en que se imponen sanciones] o de personas designadas por el Comité, o en su beneficio.",0
"58","Reafirmando su resolución 1540 (2004) y la necesidad de que todos los Estados apliquen plenamente las medidas contenidas en ella, y exhortando a todos los Estados Miembros y a las organizaciones internacionales y regionales a cooperar activamente con el Comité establecido en virtud de dicha resolución, incluso en el curso del examen amplio pedido en la resolución 1810 (2008),",1
"59","La primera cumbre de jefes de Estado se celebrará los días 19 y 20 de noviembre de 2004 en Dar-es-Salaam.",0
"60","Las definiciones de terrorismo de algunos Estados parecen ambiguas o demasiado amplias y deberían adecuarse a las normas internacionales.",0
"61","A los efectos de la cuarta tarea, la Comisión consideró necesario hacer una determinación preliminar de la medida en que el sistema de justicia penal del Sudán había podido perseguir y someter a la justicia a los presuntos autores de crímenes internacionales cometidos en Darfur y había estado dispuesto a ello, para examinar luego los diversos mecanismos internacionales que existen.",1
"62","Los progresos alcanzados en esta esfera permitirán que el año próximo los centros de seguridad pública de la República Srpska y la administración de policía de la Federación de Bosnia y Herzegovina funcionen con una metodología fiscal mejorada.",1
"63","El Consejo de Seguridad señala la publicación del Memorando de Rabat sobre buenas prácticas para una lucha antiterrorista efectiva en el sector de la justicia penal, el Memorando de Roma sobre buenas prácticas para la rehabilitación y reintegración de los delincuentes extremistas violentos y el Memorando de Argel sobre buenas prácticas para prevenir y eliminar los beneficios de los secuestros cometidos por terroristas para obtener rescates.",1
"64","Pese al desarme de 15.600 excombatientes en Ituri, la Comisión Nacional de Desarme y Reintegración sigue teniendo dificultades para desempeñar sus funciones concretamente, el pago de los subsidios por concepto de desmovilización a los excombatientes, lo que ha provocado un descontento creciente. Es urgente que los subsidios se paguen con regularidad.",1
"65","Teniendo presente el carácter especial de la resolución 1373 (2001), las permanentes amenazas a la paz y la seguridad internacionales que plantea el terrorismo, la importante función que deben seguir desempeñando las Naciones Unidas y el Consejo de Seguridad en la lucha mundial contra el terrorismo y la necesidad de reforzar el Comité en su calidad de órgano subsidiario del Consejo de Seguridad encargado de esa esfera, y sin sentar precedentes para otros órganos del Consejo de Seguridad,",1
"66","Los equipos de seguridad libaneses (policiales y militares) colaboraron estrechamente con el equipo de seguridad de la Comisión para garantizar la protección y la seguridad de su personal y sus locales.",1
"67","El documento, que había sido redactado por el Grupo de Trabajo sobre repatriados con aportaciones del ACNUR, fue presentado a los principales Estados de asilo. En el documento pedía la UNMIK que durante los meses de invierno se suspendiera la repatriación tanto forzosa como inducida.",1
"68","También resulta sorprendente que ningún elemento perteneciente a las denominadas fuerzas paralelas pudiera ser arrestado o enjuiciado por esos delitos.",1
"69","La presente sinopsis no es en absoluto exhaustiva.",0
"70","Se produjeron varios acontecimientos positivos en la estructura de lucha contra la corrupción, incluido el establecimiento de la Comisión de Lucha contra la Corrupción y la elaboración de una ley sobre el establecimiento del Alto Tribunal Administrativo, Tributario y de Auditoría previsto en la Constitución.",1
"71","Dadas las preocupaciones mencionadas anteriormente y la continua presencia y actividades de las milicias en el Líbano, mejorar la gestión y el control de las fronteras terrestres del país es fundamental para prevenir el flujo ilegal de armas a los grupos armados.",1
"72","Por lo que respecta a las F-FDTL, un decreto ley dispone la estructura militar, pero las leyes que rigen la disciplina y la carrera militares son las leyes aprobadas por la UNTAET.",1
"73","Es necesario desarrollar una capacidad adecuada en ámbitos fundamentales de la gestión civil de las crisis como la policía, la justicia y el régimen de derecho, la preparación y observación de procesos electorales, la protección civil y la administración pública.",1
"74","Está previsto que se dicte sentencia en diciembre de 2010.",0
"75","Los aviones sobrevolaron las zonas de An-Nasiriya, Al-Lisf, Artawi, Basora, Ad-Diwaniya y Al-Hay.",0
"76","El Consejo de Seguridad señala que los sufrimientos humanos en gran escala, ya sea a causa de desplazamientos, ataques violentos u otras atrocidades son consecuencia de la inestabilidad y de nuevos conflictos y a veces factores que contribuyen a provocarlos.",1
"77","(Resolución 447/20 de la Cumbre, aprobada el 30 de marzo de 2008)",0
"78","El Subsecretario también proporcionó información actualizada sobre los vehículos, artículos y equipo tomados por los grupos armados de la oposición en los incidentes que se habían producido recientemente con la Fuerza.",1
"79","El equipo de Darfur occidental estuvo integrado por dos investigadores y un analista militar, y contó con el apoyo de uno o dos expertos forenses, según las necesidades.",1
"80","14. La situación en Sierra Leona (27 de noviembre de 1995; 26 de marzo de 2014).",0
"81","Podría comprender el mejoramiento de las competencias en ámbitos como la policía, la justicia, la educación, la cultura, los medios de información y la economía. Podría permitir el establecimiento de vínculos horizontales entre los municipios mayoritariamente serbios de Kosovo.",0
"82","Aunque los líderes de la región tomaron medidas audaces para combatir ese flagelo la crisis libia agravó la situación.",0
"83","t) Consultar con los servicios de inteligencia y seguridad de los Estados Miembros, incluso por medio de los foros regionales, a fin de facilitar el intercambio de información y reforzar la aplicación de las medidas;",0
"84","Se adoptarán medidas enérgicas para prevenir y combatir la violencia por motivos de género, en particular la explotación y el abuso sexuales.",1
"85","Algunos de estos artículos pueden mejorarse o utilizarse como piezas componentes de artículos fabricados en el país.",0
"86","El Comité acoge con satisfacción que su Dirección Ejecutiva dirigiera la labor realizada en el marco del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo para elaborar una recopilación de instrumentos, normas y buenas prácticas a nivel internacional y regional en materia de control fronterizo relacionado con la lucha contra el terrorismo, así como la tarea de desarrollar un marco para la gestión coordinada de los riesgos para la seguridad en las fronteras.",1
"87","Decide que la prohibición de viajar impuesta en virtud del párrafo 1 b) no se aplicará a las personas descritas en el párrafo 9, cuando el Comité determine, caso por caso, que la entrada o el tránsito se justifican, decide también que las exenciones de ese tipo aprobadas por el Comité solo podrán concederse por el período solicitado para viajar al lugar o los lugares especificados, encomienda al Comité que adopte una decisión respecto de las solicitudes de exención de ese tipo, así como de las solicitudes para modificar o prorrogar exenciones concedidas anteriormente o la solicitud de un Estado Miembro de revocar exenciones concedidas anteriormente en un plazo de diez días tras su recepción, y afirma que, pese a cualquier exención relativa a la prohibición de viajar, las personas incluidas en la Lista siguen estando sujetas a las demás medidas descritas en el párrafo 1 de la presente resolución;",1
"88","El régimen de sanciones solo es eficaz cuando es comprendido correctamente, en particular por los Estados Miembros, cuya participación es fundamental para que la Lista sea sólida y su aplicación, adecuada.",1
"89","También esperamos que con la diplomacia aquí representada podamos hacerlo mejor.",0
"90","S/RES/2062 (2012), párr. 13",0
"91","El acto sirvió de base para elaborar un programa regional centrado en Argelia, Burkina Faso, Malí, Mauritania, el Níger y Nigeria con miras a fomentar la capacidad de los Estados Miembros para elaborar, planificar, desarrollar y ejecutar programas de rehabilitación y reintegración de los extremistas violentos en las cárceles.",1
"92","Una vez que el Comité apruebe el plan revisado, la Dirección tendrá como prioridad la tarea de iniciar la nueva estructura de los grupos y dependencias y comenzar la tarea de establecer criterios y armonizar juicios en todo el ámbito de la labor de la Dirección.",1
"93","El 20 de julio, el Consejo celebró un debate público (sesión 4174ª) para estudiar su función en la prevención de los conflictos armados.",1
"94","Hay varios instrumentos y planes de estabilización (el Plan de Estabilización y Reconstrucción para Zonas que Salen de Conflictos Armados, la Estrategia Internacional de Apoyo a la Seguridad y la Estabilización, y las islas de estabilidad), pero parece faltar enfoque común en el propio sistema de las Naciones Unidas.",1
"95","Uno de los soldados agarró al niño y lo arrojó a un lado de la carretera.",0
"96","Creo que al combinar su desempeño con el del Embajador Jurica como Presidente del Comité contra el Terrorismo del Consejo, se ha reactivado nuestra labor en materia de lucha contra el terrorismo.",0
"97","Es importante que también se preste atención especial a actividades de formación especializada para investigadores, fiscales y jueces en esferas como la lucha contra la utilización de Internet con fines de terrorismo; el apoyo y la asistencia a las víctimas de actos de terrorismo; la lucha contra el terrorismo con armas químicas, biológicas, radiológicas y nucleares; la lucha contra los delitos de terrorismo relacionados con el transporte y la lucha contra la financiación del terrorismo.",1
"98","Los 18 Estados que han presentado información sobre la importación y exportación de armas han adoptado algunas medidas para reglamentar la producción, la venta y la transferencia de armas y explosivos.",1
"99","La Dirección Ejecutiva también ha establecido relaciones particularmente estrechas con algunas organizaciones regionales y subregionales, sobre todo con la Comunidad del Caribe y el Comité Interamericano contra el Terrorismo de la Organización de los Estados Americanos en la región de las Américas; el Centro Africano de Estudios e Investigaciones sobre el Terrorismo, la Unión Africana, la Comunidad Económica de los Estados de África Occidental, el Programa de fomento de la capacidad contra el terrorismo de la Autoridad Intergubernamental para el Desarrollo (IGAD) y la Comunidad de África Meridional para el Desarrollo en la región de África; el Consejo de Europa, la Unión Europea y la Organización para la Seguridad y la Cooperación en Europa en la región de Europa; el Foro de las Islas del Pacífico; y el Banco Asiático de Desarrollo y la Asociación de Naciones del Asia Sudoriental en la región de Asia.",1
"100","B. Democratización y proceso electoral",0
"101","e) Permita el establecimiento de periódicos y otros medios de comunicación independientes; permita a los ciudadanos libre acceso a Internet, los medios de comunicación social, las comunicaciones internacionales, las emisiones y publicaciones extranjeras, incluida la cultura popular de otros países y ponga fin a la participación obligatoria en organizaciones de masas y sesiones de adoctrinamiento.",1
"102","En uno de los incidentes, ocurrido en Korcha-Turgu, a primera hora de la mañana, un día del mes de agosto de 2003, centenares de árabes Janjaweed vestidos de uniforme militar verde y montados a caballo y en camellos rodearon y atacaron el pueblo y comenzaron a disparar contra los hombres y niños.",0
"103","Ambos Gobiernos son asociados indispensables del Comité en sus esfuerzos para lograr un régimen más eficaz y más centrado en su objetivo de combatir la amenaza, y ofrecieron al Comité muchas sugerencias útiles e información detallada sobre acontecimientos recientes.",1
"104","Ley No. 36, de 26 de febrero de 2002, ""Revisión de la Ley No. 59, de 8 de julio de 1974 (Declaración sobre los derechos y principios fundamentales de los ciudadanos del orden constitucional de San Marino)"".",0
"105","La investigación de la Comisión en base a la pista de Abu Adass se centró en tratar de determinar el paradero del Sr. Abu Adass y evaluar la posibilidad de que éste fuera realmente el terrorista que se suponía era.",1
"106","La implantación de medidas de control de las fronteras es indispensable para la aplicación práctica de las estrategias de los Estados contra el terrorismo.",1
"107","La Ombudsman y los funcionarios de su Oficina siguieron manteniendo contactos con representantes del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo y la Dirección Ejecutiva del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, así como con la Subdivisión de Prevención del Terrorismo, de la Oficina de las Naciones Unidas contra la Droga y el Delito, y la Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos.",1
"108","f) Se proporcionen recíprocamente el máximo nivel de asistencia en lo que se refiere a las investigaciones o los procedimientos penales relacionados con la financiación de los actos de terrorismo o el apoyo prestado a éstos, en particular para la obtención de las pruebas que posean y que sean necesarias en esos procedimientos;",1
"109","500 g o menos, pero más que 15 g de plutonio",0
"110","Hay que insistir en particular en la necesidad de que las instituciones locales tengan en cuenta y respeten las opiniones y los intereses de todas las comunidades.",0
"111","Varios Estados Miembros han adoptado medidas provisionales para que sus funcionarios puedan aplicar las sanciones previstas cuando un nombre haya sido incluido en la Lista del Consejo de Seguridad, incluso antes de que haya concluido el proceso de validación nacional.",1
"112","h) Intensificará la labor de concienciación de los parlamentarios y otras instancias decisorias de alto nivel;",0
"113","Adjunta a la presente respuesta se envía una lista de las aeronaves matriculadas en Rwanda al 20 de enero de 2005.",0
"114","Si bien existen indicios de que se han fortalecido los mecanismos de disciplina interna de la policía nacional, se avanzó lentamente en el enjuiciamiento de los miembros de los servicios de seguridad responsables de haber cometido violaciones.",1
"115","Según las circunstancias de cada caso, esas personas pueden ser sospechosas, con arreglo a la doctrina de la asociación ilícita, de haber cometido los crímenes de lesa humanidad de asesinato de civiles, confinamiento forzoso de civiles y traslado forzoso, y el crimen de guerra de destrucción de objetos de carácter civil.",0
"116","12. Reitera su reconocimiento a los asociados de la Unión Africana que ya apoyan a la MISCA, principalmente los Estados Unidos de América, Francia y la Unión Europea (UE), observa con agrado el apoyo técnico prestado por las Naciones Unidas de conformidad con el párrafo 37 de la resolución 2127 (2013) del Consejo de Seguridad, de 5 de diciembre de 2013, así como las contribuciones realizadas por el Canadá y Luxemburgo al fondo fiduciario establecido por el Secretario General de las Naciones Unidas con arreglo al párrafo 43 de la mencionada resolución, y las promesas de contribución formuladas por el Japón y el Reino Unido de Gran Bretaña e Irlanda del Norte.",1
"117","El Consejo exhorta también a las Naciones Unidas y la Unión Africana a que investiguen conjuntamente las redes logísticas del LRA y sus posibles fuentes de financiación ilícita, incluida su presunta implicación en la caza furtiva de elefantes y en actividades de contrabando conexas.",1
"118","En julio el Centro impartió un curso sobre técnicas de investigación de la violencia de género y hasta la fecha se ha instruido a un total de 40 agentes (30 mujeres) de la policía nacional.",1
"119","Los intentos fallidos de Aiman Muhammad Rabi al-Zawahiri de mediar en los conflictos internos entre Al-Qaida y Jabhat al Nusra (una entidad afiliada a Al-Qaida en el Iraq), así como las continuas luchas en el seno de Al-Shabaab ponen de manifiesto los límites de la autoridad de Al-Zawahiri.",0
"120","También se ha progresado en el intercambio de información sobre esas personas -- especialmente por conducto de la Organización Internacional de Policía Criminal (INTERPOL) -- , así como en la cooperación en materia de seguridad de las fronteras.",1
"121","También ha proseguido la labor encaminada a elaborar un marco jurídico provisional, que definiría una autonomía considerable y establecería la base para la celebración de elecciones a nivel central.",1
"122","El vuelo quedó cancelado y así se evitó una crisis sólo después que el comandante de la Fuerza de Licorne, General Irastorza, telefoneó al Jefe de Estado Mayor de las FANCI, General Mangou, para decirle que dicho vuelo se consideraría un acto hostil.",1
"123","Varios incidentes registrados durante el período que abarca el informe indican fricción entre las fuerzas de mantenimiento de la paz de la CEI y la parte georgiana, incluida la detención de camiones pertenecientes a las fuerzas de mantenimiento de la paz de la CEI (véase párr. 17), la detención temporaria de un soldado de las fuerzas de mantenimiento de la paz de la CEI, la instalación de medidores de electricidad en los puestos de control de las fuerzas de mantenimiento de la paz de la CEI y una manifestación en que se protestaba contra la presencia de las fuerzas de mantenimiento de la paz de la CEI en Georgia.",0
"124","En la resolución también se pedía a Croacia y a la República Federativa de Yugoslavia que cooperaran plenamente con la Misión y que velaran por la seguridad de los observadores y les dieran plena y total libertad de circulación.",1
"125","En la mayor parte de los ataques terrestres, los atacantes intentaban matar a los hombres y en algunos casos hay pruebas de que intentaban dejar con vida a las mujeres.",0
"126","Ha sido Embajador Plenipotenciario del Presidente Gyude Bryant desde 2003, y anteriormente desempeñó el mismo puesto bajo el mandato de Charles Taylor.",0
"127","El 6 de marzo, los miembros del Consejo guardaron un minuto de silencio en memoria del difunto Presidente de la República Bolivariana de Venezuela, Hugo Rafael Chávez Frías.",0
"128",":: Algunos miembros destacaron que en la lucha contra el terrorismo debía respetarse el derecho internacional, en particular las normas relativas a los derechos humanos. Tras reiterar que el terrorismo constituía una violación grave de los derechos y las libertades de la persona, incluido el derecho fundamental a la vida, un miembro subrayó la necesidad de establecer el derecho de las personas a la protección contra el terrorismo y reiteró su iniciativa de elaborar, con los auspicios de las Naciones Unidas, un código para proteger los derechos humanos contra el terrorismo.",1
"129","El artículo 15.B ""mesa vacía"" (bare table) significa una mesa plana, o superficie, sin accesorios.",0
"130","b) Mejorar los marcos legislativos y normativos para luchar contra la financiación del terrorismo, entre otras cosas tipificando como delito la financiación del terrorismo, adoptando las medidas necesarias para congelar los fondos sin demora y llevando a cabo evaluaciones de riesgo en el sector de las organizaciones sin fines de lucro;",1
"131","Se informó de conversaciones entre las personas que se proponían acudir a la manifestación y las fuerzas de seguridad, en algunos casos cara a cara.",1
