"","en_ar_DEEPL","MatConf"
"37","وبالإضافة إلى إمكانية تحميلهم المسؤولية، بموجب مبدأ العمل الإجرامي المشترك، عن الجرائم التي ارتكبها آخرون أثناء الهجمات، يُشتبه في أن هؤلاء الأفراد قد نفذوا هجمات عشوائية ضد المدنيين، وهي جريمة حرب.",1
"38","48. الحالة في ميانمار (15 أيلول/سبتمبر 2006؛ 13 تموز/يوليه 2009).",0
"39","(ص) تجميع التدابير الواردة في الفقرة 1 (أ) من هذا القرار وتقييمها ورصدها وتقديم تقارير عنها وتوصيات بشأن تنفيذها، بما في ذلك تنفيذ التدبير الوارد في الفقرة 1 (أ) من هذا القرار من حيث صلته بمنع إساءة استخدام الإنترنت لأغراض إجرامية من جانب تنظيم القاعدة وسائر من يرتبط به من أفراد وجماعات ومؤسسات وكيانات؛ ومتابعة دراسات الحالة، حسب الاقتضاء؛ والبحث المتعمق في أي مسائل أخرى ذات صلة حسب توجيهات اللجنة؛",0
"40","كان الجنود على وشك الانتهاء من اغتصاب النساء الخمس، عندما وصلت المجموعة الثانية من النساء اللاتي ذهبن إلى الفاشر لبيع الخشب في نفس الموقع.",1
"41","4. تقديم الخدمات لها؛ أو",0
"42","وبالإضافة إلى المدنيين الاثنين اللذين أصيبا بالقرب من محطة تاسي تولو بعد ظهر يوم 28 أبريل/نيسان، أصيب اثنان آخران بطلقات نارية خلال الليل.",1
"43","وقد تم تحديد حالات غسل الأموال وتمويل الإرهاب التي تنطوي على استخدام طرائق دفع جديدة. ومع ذلك، تواجه الدول صعوبات في وضع التشريعات والنظم الرقابية المناسبة لطرق الدفع هذه، التي تتطور بوتيرة متزايدة السرعة.",1
"44","وتركز مثل هذه الاستراتيجية على كيفية توجيه دفاعات الدولة ضد الإرهاب لحماية البنى التحتية الحيوية والمواطنين، وكيفية رد الدولة على أي هجوم إرهابي بهدف التخفيف من آثار هذا الحادث ومساعدة الضحايا واستعادة النظام العام.",1
"45","وفي حين يعتقد الفريق والعديد من الدول أن مصطلح ""الأسلحة وما يتصل بها من مواد من جميع الأنواع"" (القرار 1735 (2006)، الفقرة 1 (ج)) ينطبق بالتساوي على المتفجرات العسكرية والمدنية والمرتجلة. 1 (ج)) ينطبق على المتفجرات العسكرية والمدنية والمرتجلة على حد سواء، فقد علق البعض بأنه سيكون من المستحيل حظر توفير المتفجرات المدنية أو المواد اللازمة لصنع القنابل المحلية الصنع.",1
"46","9. يﻻحظ تأييد أطراف اتفاق السﻻم ﻻستمرار قوة تثبيت اﻻستقرار المتعددة الجنسيات، الوارد في اﻹعﻻن الصادر عن اﻻجتماع الوزاري لمؤتمر تنفيذ السﻻم المعقود في مدريد في ١٦ كانون اﻷول/ ديسمبر ١٩٩٨ )S/1999/139، المرفق(؛",0
"47","وفي 23 آب/أغسطس، وفي إطار إحاطة قدمتها إدارة الشؤون السياسية، قال وكيل الأمين العام للشؤون السياسية إن موظفي مكتب تنسيق الشؤون الإنسانية يقومون بمهمة تقييم في الجمهورية العربية السورية، وأشار إلى بيان الأمين العام الذي جاء فيه أن الرئيس الأسد لم يوقف استخدام القوة ضد المدنيين رغم تعهده.",1
"48","وفي العديد من الحالات اختطفت النساء والرجال أو اختفوا دون أن يتركوا أي أثر.",1
"49","30. وتولت شعبة شؤون مجلس الأمن أيضا إدارة موقع اللجنة على شبكة الإنترنت وفقا للمبادئ التوجيهية للجنة، بما في ذلك تحديث قائمة الجزاءات الخاصة بلجنة مجلس الأمن المنشأة عملا بالقرار 1521 (2003).",0
"50","وفي حين أن بعض التقارير أشارت إلى بعض حوادث تدمير القرى والممتلكات الخاصة التي ارتكبتها الجماعات المتمردة، إلا أن معظم التقارير تتضمن روايات شهود عيان تشير إلى أن غالبية القرى دمرت خلال هجمات الجنجويد، وغالباً ما كان ذلك بتوجيه ومشاركة ودعم من القوات المسلحة التابعة لحكومة السودان.",1
"51","تم تقديم مطالبات من قبل أطراف لـ",0
"52","كما تعرضت سبع قرى بالقرب من نيالا في الفترة من 27 أيلول/سبتمبر 2003 إلى أيار/مايو 2004 لهجمات مستمرة من قبل الجنجويد.",1
"53","بمجرد اكتمال إعادة التصنيف، يتم تحديد أي عناصر مكررة وإزالتها.",0
"54","انطباق القانون الجنائي خارج إقليم لاتفيا",0
"55","يدرس المنهج الدراسي مسائل حقوق الإنسان التي تنشأ عادةً في مختلف مراحل إجراءات العدالة الجنائية في قضايا الإرهاب.",0
"56","وأشارت إلى أنه من غير الواضح عدد الأرواح التي فقدت في الأيام العديدة من القتال، وذكرت أن مراقبي وقف إطلاق النار التابعين للهيئة الحكومية الدولية المعنية بالتنمية (إيغاد) قد ألقوا باللوم على المعارضة في بدء النزاع.",1
"57","59. وينطوي حظر السفر على إمكانات خاصة ضد ممولي تنظيم القاعدة وحركة طالبان، الذين قد يجدون صعوبة في استخدام هوية مزورة أو التهرب من القيود المفروضة على تحركاتهم.",1
"58","بالطبع، لا تقتصر المساءلة بالطبع على ضمان المسؤولية الجنائية الفردية عن الانتهاكات. فهي تتعلق أيضاً بمعاقبة من انتهكوا القانون؛ والسعي إلى تحقيق العدالة والإنصاف للضحايا؛ ومنع تكرار الانتهاكات من خلال تعزيز تغيير القانون والسياسة؛ وضمان السلام والاستقرار الدائمين من خلال التأكد من أن الضحايا يحصلون على بعض مظاهر العدالة عن الأخطاء التي عانوا منها.",1
"59","2. يشدد على أهمية أن يحقق مكتب الأمم المتحدة المتكامل لبناء السلام في سيراليون بالاشتراك مع فريق الأمم المتحدة القطري الأهداف المحددة في الرؤية المشتركة في إطار ولاية كل منهما، بما في ذلك التركيز على ما يلي:",0
"60","7. ستواصل المديرية التنفيذية تعزيز تعاونها مع هيئات الأمم المتحدة ذات الصلة، بما في ذلك فريق الدعم التحليلي ورصد الجزاءات المنشأ عملا بقرار مجلس الأمن 1526 (2004) وفريق الخبراء الذي يساعد لجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، وكذلك مع مختلف المنظمات الدولية والإقليمية ودون الإقليمية، بما في ذلك في سياق زيارات اللجنة إلى الدول.",0
"61","112. محمد مطلق رميح البذالي",0
"62","(أ) تهديد عملية السلام والمصالحة الوطنية في كوت ديفوار، ولا سيما من خلال عرقلة تنفيذ عملية السلام، على النحو المشار إليه في اتفاق واغادوغو السياسي؛",1
"63","أحكام العفو تستبعد الإفلات من العقاب على العنف القائم على النوع الاجتماعي.",1
"64","المعلومات المطلوبة والواردة من الوكالة الدولية للطاقة الذرية",0
"65","وتنشر الصحف اليومية مثل Fraternité Matin وNotre Voie المقربة من حزب الجبهة الشعبية الإيفوارية رسائل قومية وتحريض على الحرب الشاملة.",1
"66","وقد قُتل ما مجموعه 103 أشخاص وأصيب 394 شخصاً في حوادث الألغام أو الذخائر غير المنفجرة منذ حزيران/يونيو 1999.",1
"67","102. ووجدت اللجنة أنه عندما واجهت الحكومة التمرد في دارفور الذي شنته حركتا تمرد في أوائل عام 2003، دعت الحكومة عددا من القبائل العربية للمساعدة في القتال.",1
"68","3. داوود آغا جاني، رئيس برنامج تطوير الطاقة النووية السلمية (نطنز)",0
"69","أي مسائل مفتوحة أو غير محلولة أو ناشئة حديثاً تتعلق بمراجعة التفويض سيتم تناولها في المجلس من خلال آلية مناسبة.",0
"70","وقد سنت جميع الدول قوانين لمراقبة تصنيع الأسلحة الصغيرة والذخائر وحيازتها واقتنائها وبيعها ونقلها ونقلها وتوريدها، ولكن هذه القوانين لا تتضمن أحكاماً واضحة بشأن السمسرة في الأسلحة أو نقل الأسلحة أو حظر الأسلحة الذي فرضه مجلس الأمن.",0
"71","تولى القاضي المخصص الأول منصبه في 1 أيلول/سبتمبر 2003، ووصل ثلاثة قضاة مخصصين آخرين في تشرين الأول/أكتوبر 2003.",0
"72","تضاءلت الحوادث التي تنطوي على ذخائر عنقودية أسقطها الناتو بشكل كبير نتيجة للتغيير في الاستراتيجية التي زادت بشكل كبير من سرعة إزالة وحدات القنابل العنقودية التي يسهل الوصول إليها.",1
"73","(أ) كانت هناك حالة من الفوضى في مسرح الجريمة ليس فقط خلال الساعات القليلة الأولى التي أعقبت الانفجار، والتي كان التركيز خلالها على إطفاء الحريق وإنقاذ المصابين والبحث عن المفقودين، ولكن للأسف ولفترة أطول بكثير ودون داعٍ.",1
"74","544. حددت اللجنة 14 جنجويا يشتبه في ارتكابهم جريمة دولية في إطار مفهوم العمل الإجرامي المشترك.",1
"75","269. وقد أتيح للجنة الاطلاع على عدد كبير من التقارير الواردة من مصادر مختلفة والتي توثق عمليات قتل واسعة النطاق للمدنيين في جميع أنحاء دارفور، منذ بداية عام 2003 وحتى وقت نشر هذا التقرير.",1
"76","ومنذ تسعينيات القرن الماضي، اختطف عملاؤها عددًا من الأشخاص من الأراضي الصينية، بمن فيهم مواطنون من الصين وجمهورية كوريا، وفي حالة واحدة على الأقل مواطن ياباني سابق.",1
"77","كان المشروع بطول 130 كيلومتراً.",0
"78","(ب) تيسير إنشاء الآليات الإقليمية اللازمة للتعاون الدولي في الإجراءات الجنائية;",0
"79","لم يتمكن الفريق من تقدير حجم معسكر كابيلا لأن القوات المسلحة لجمهورية الكونغو الديمقراطية كانت قد شيدت قاعدتها الخاصة هناك ومحت آثار المعسكر السابق.",0
"80","266. ومن الواضح أن مسألة التناسب لم تنشأ عندما لم تكن هناك جماعات مسلحة في القرية، لأن الهجوم استهدف المدنيين حصراً.",1
"81","11. يشجع الجهود الرامية إلى كفالة تطوير الاستخدامات السلمية للطاقة النووية من جانب البلدان التي تسعى إلى الحفاظ على قدراتها في هذا المجال أو تطويرها في إطار يقلل من مخاطر الانتشار ويلتزم بأعلى المعايير الدولية للضمانات والأمن والسلامة;",0
"82","يشدد على ضرورة محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، ويؤكد على ضرورة إجراء تحقيق شامل ومستقل ونزيه يتسق مع المعايير الدولية في الانتهاكات والتجاوزات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وضمان المساءلة الكاملة;",0
"83","ولذلك، ليس من المستغرب أن ترى العديد من الدول الأعضاء أن الإنترنت قضية رئيسية في مكافحة انتشار الإرهاب المرتبط بتنظيم القاعدة والتهديد الذي يمثله.",1
"84","لا يزال يتعين على الدول التي جرّمت جزئياً تمويل الإرهاب أن تضمن إدراج جميع عناصر المادة 2 من اتفاقية تمويل الإرهاب.",1
"85","وفي حال توفر مثل هذا الإثبات، وتم التعرف على الجاني (الجناة) من قبل الضحية، تمت التوصية بمحاكمة الجناة وإرسالها إلى مكتب المدعي العام في المقاطعة.",0
"86","وثمة مشكلة إضافية تتمثل في حقيقة أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها كانت لا تزال موجودة في الجنوب، بينما كانت القوات الموجودة في دارفور موجودة بشكل رئيسي في المراكز الحضرية الرئيسية.",1
"87","كما يعمل لدى بعثة الأمم المتحدة في ليبيا 11 مستشاراً في مجال الهجرة.",0
"88","- في 27 نوفمبر/تشرين الثاني 2014، قتلت قوات النظام السوري سائق سيارة الإسعاف صلاح عياش (أبو محمد) في زبدين في الغوطة الشرقية بينما كان في طريقه لإسعاف المصابين.",1
"89","(ب) توريد الأسلحة والأعتدة ذات الصلة أو بيعها أو نقلها إليها؛ (ج) التجنيد لصالح؛ أو",1
"90","وفي حالة دارفور، يمكن العثور على هذا القصد التمييزي والاضطهادي في مناسبات عديدة لدى بعض الميليشيات العربية، وكذلك لدى الحكومة المركزية: فالهجمات المنهجية على القرى التي يقطنها مدنيون (أو معظمهم من المدنيين) ينتمون إلى بعض القبائل ""الأفريقية"" (الفور والمساليت والزغاوة)، والتدمير والحرق المنهجي لتلك القرى والتهجير القسري للمدنيين من القرى تشهد على وجود نية اضطهادية واضحة.",1
"91","وقد كان للمؤتمرين الصحفيين، وخاصة المؤتمر الصحفي الأول، بالإضافة إلى مقابلة المشتبه به الأول، واعتقال كبار المسؤولين الأمنيين السابقين بناء على اقتراح اللجنة، تأثير محفز.",1
"92","لا تزال شبكة حقاني (TE.H.12.12) متورطة بشكل مباشر في الهجمات الإرهابية في أفغانستان.",1
"93","642. إن الاستنتاج القائل بأن السلطات الحكومية لم تنتهج وتنفذ سياسة الإبادة الجماعية في دارفور، سواء بشكل مباشر أو من خلال الميليشيات الخاضعة لسيطرتها، لا ينبغي أن يؤخذ على أنه ينتقص بأي حال من الأحوال من خطورة الجرائم المرتكبة في تلك المنطقة.",0
"94","11. يعرب عن استعداده للنظر في الكيفية التي يمكن بها لولايات حفظ السلام أن تعالج على نحو أفضل الأثر السلبي للنزاع المسلح على المدنيين;",0
"95","ومن المتوقع أن توفر مناقشة الجمعية العامة لهذه المسألة زخماً إضافياً كبيراً لإنشاء نظام عالمي فعال لمواجهة التهديدات والتحديات الجديدة، بما يخدم مصالح جميع أعضاء المجتمع الدولي.",0
"96","وينص البند 2 على أن تشجيانغ كانت ""مسؤولة عن إتمام إجراءات الخروج، بما في ذلك جواز السفر والفحص الطبي وتذكرة العودة جواً"".",0
"97","أجرة الحافلة من بغداد إلى عمّان الأردن رسوم تأشيرة الدخول من بغداد إلى عمّان الأردن",0
"98","ويجري تقديم الدعم المنسق من قبل بعثة الأمم المتحدة المتكاملة في تيمور - ليشتي وفريق الأمم المتحدة القطري في جميع جوانب تنفيذ القانون، بما في ذلك الدعم المقدم إلى وزير الدولة لتعزيز المساواة، الذي يقود عملية وضع خطة التنفيذ، وإلى المجتمع المدني من أجل زيادة الوعي بالقانون.",0
"99","ووفقا لبعض التقديرات فإن أكثر من 700 قرية في ولايات دارفور الثلاث قد دمرت كليا أو جزئيا. وتلقت اللجنة كذلك معلومات تفيد بأن الشرطة قد أجرت تقييماً للدمار وسجلت عدد القرى المدمرة بأكثر من 000 2 قرية.",1
"100","3. الجدوى المالية والاستدامة المالية للشرطة المحلية",0
"101","على الرغم من أن القوات الحكومية في معظم الحوادث قد لا تكون قد شاركت بشكل مباشر في التدمير، إلا أن تواطؤها في الهجمات التي تم خلالها التدمير ووجودها في مكان الحادث يكفيان لجعلها مسؤولة بشكل مشترك.",1
"102","تمت مصادرة الأسلحة من قبل ضابط الأسلحة في السفينة الأمريكية وتم تسليمها لاحقًا إلى السلطات اليمنية.",1
"103","وفي الجمهورية العربية السورية، يمكن أن يؤدي الترابط المحتمل بين أعداد كبيرة من المقاتلين الأجانب المرتبطين بتنظيم القاعدة وجبهة النصرة الذين ينشئون جمعيات تستند إلى لغة مشتركة إلى ظهور شبكات جديدة من المتطرفين من العرب والأوروبيين.",1
"104","وتشمل الاتجاهات الأخرى الاستخدام المتزايد لوثائق الهوية المزورة للحصول على وثائق سفر مشروعة وآمنة، والاستخدام المتزايد للإنترنت وتكنولوجيات الاتصالات الأخرى (سواء للتحريض على الأعمال الإرهابية أو لجذب مجندين جدد)، والظاهرة الناشئة المتمثلة في عمل الإرهابيين بمفردهم أو في خلايا صغيرة.",1
"105","o في 8 تشرين الثاني/نوفمبر 2014، استهدفت قوات النظام مدينة الشيخ مسكين، مما أسفر عن مقتل 5 أشخاص، من بينهم طفلان وامرأتان.",1
"106","52. كما استخدمت الدولة التجويع المتعمد كوسيلة للسيطرة والعقاب في مرافق الاحتجاز.",1
"107","48. الحالة في ميانمار (15 أيلول/سبتمبر 2006؛ 2 أيار/مايو 2008).",0
"108","43. بعد نشر مواصفات المنظمة الدولية لتوحيد المقاييس (ISO) المتاحة للعموم (PAS) 28007 بشأن المبادئ التوجيهية لشركات الأمن البحري الخاصة التي توفر أفراد أمن مسلحين متعاقدين من القطاع الخاص على متن السفن، يمكن الآن اعتماد شركة أمن بحري خاصة وفقا لهذا المعيار الصناعي الطوعي لتيسير التنفيذ الدولي الموحد.",0
"109","(س) التعاون بشكل وثيق مع هيئات الأمم المتحدة المعنية بمكافحة الإرهاب في تقديم معلومات عن التدابير التي تتخذها الدول الأعضاء بشأن عمليات الاختطاف وأخذ الرهائن طلبا للفدية التي يقوم بها تنظيم القاعدة وغيره من الأفراد والجماعات والمؤسسات والكيانات المرتبطة به والاتجاهات والتطورات ذات الصلة في هذا المجال؛",0
"110","ووجدت اللجنة أدلة تشير إلى أن القبائل العربية بدأت تستوطن في المناطق التي كان يقطنها النازحون سابقاً، مما يحول دون عودة النازحين في نهاية المطاف.",1
"111","90. وفي 8 أيار/مايو 2006 أيضا أمر وزير الداخلية لوباتو قائد قوات اتحاد الوطنيين الكونغوليين أنطونيو دا كروز بتسليم 15 بندقية هجومية نصف آلية من طراز HK33 إلى مقر إقامته. وكانت هذه الأسلحة من بين 180 قطعة سلاح ناري من طراز HK33 وزعت بصورة قانونية على قوات الاتحاد الوطني.",1
"112","جمهورية مقدونيا اليوغوسلافية السابقة (2 آذار/مارس 2001)",0
"113","وما فتئت وكالات إنفاذ القانون والوكالات الأمنية في البوسنة والهرسك تبذل جهودا لتنفيذ تدابير لتحسين التعاون، ويواصل الفريق العامل التابع للمحكمة الذي أنشأه ديوان رئيس الوزراء بالاشتراك مع الممثل الخاص للاتحاد الأوروبي/مكتب الممثل السامي الإشراف على تنفيذ تلك التدابير. وفي 8 آب/أغسطس، أُلقي القبض على المتهم ميلان لوكيتش في الأرجنتين، وفي 25 آب/أغسطس، ألقي القبض على دراغان زيلينوفيتش في غرب سيبيريا، وفي 13 أيلول/سبتمبر، سلم سريدويي لوكيتش نفسه إلى سلطات جمهورية صربسكا في بانيا لوكا.",1
"114","وقد أدان الشركاء الدوليون والمدافعون عن حقوق الإنسان بالإجماع قرار الحكومة بطرد مدير مكتب الأمم المتحدة المشترك لحقوق الإنسان عقب نشر تقرير حقوق الإنسان حول الانتهاكات التي يُزعم أن الشرطة ارتكبتها خلال عملية ليكوفي.",0
"115","نحن ندين الاستخدام غير المتناسب للقوة الذي يستخدمه الجيش الإسرائيلي في المناطق المكتظة بالسكان والذي تسبب في معاناة وخسائر واسعة النطاق في صفوف عشرات المدنيين الفلسطينيين، بمن فيهم الأطفال.",0
"116","استغلت الجماعة الحدود التي يسهل اختراقها بين نيجيريا والكاميرون واختطفت مواطنين أجانب في الكاميرون.",1
"117","وزعمت اللجنة أن بعض الجنود في برام بالإضافة إلى 13 مدنيًا قُتلوا على يد المتمردين داخل المستشفى.",1
"118","وفي 19 تشرين الثاني/نوفمبر، اعتمد المجلس بيانا رئاسيا (S/PRST/2014/23) يحدد الخطوات العملية لتنفيذ القرارين 2170 (2014) و 2178 (2014) تنفيذا فعالا. وعلى وجه التحديد، تضمن البيان الرئاسي خطوات نحو تحسين تبادل المعلومات بين الدول من أجل منع سفر الإرهابيين وتجنيدهم وتمويلهم. وحدد البيان مسارات التمويل الناشئة لتنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة، التي تتطلب مزيدا من اليقظة من جانب الدول الأعضاء لضمان التقيد بالالتزامات الدولية. وحددت أيضا استراتيجيات فعالة وعززت التعاون لوقف انتشار التطرف العنيف في المجتمعات، بهدف تحسين وضع الأمم المتحدة في التصدي لأسباب الإرهاب والتطرف العنيف، وذلك عن طريق (أ) تعزيز التنسيق بين الدول، (ب) وتقديم بناء القدرات على نحو أكثر فعالية، (ج) وتحسين التنسيق بين كيانات الأمم المتحدة المعنية بمكافحة الإرهاب والبعثات الميدانية، (د) وتعزيز جهود الدول الأعضاء والأمم المتحدة، بما في ذلك اتصالاتها الاستراتيجية، لمكافحة الأيديولوجيات المتطرفة العنيفة التي تفضي إلى الإرهاب.",0
"119","بدأ العمل في أغسطس وسبتمبر في 17 موقعاً من أصل 19 موقعاً مخططاً لها.",0
"120","S/AC.29/2004/(03)/13",0
"121","يكرر مطالبته جميع أطراف النـزاع المسلح بالوقف التام والفوري لجميع أعمال العنف الجنسي ودعوته هذه الأطراف إلى التعهد بالتزامات محددة زمنيا لمكافحة العنف الجنسي وتنفيذها، على أن تشمل، في جملة أمور، إصدار أوامر واضحة عبر التسلسل القيادي تحظر العنف الجنسي والمساءلة عن خرق هذه الأوامر، وحظر العنف الجنسي في مدونات قواعد السلوك والأدلة الميدانية للجيش والشرطة أو ما يعادلها، والتعهد بالتزامات محددة بشأن التحقيق في الوقت المناسب في الانتهاكات المزعومة وتنفيذها; ويدعو كذلك جميع الأطراف المعنية في النزاعات المسلحة إلى التعاون في إطار هذه الالتزامات مع موظفي بعثات الأمم المتحدة المناسبين الذين يرصدون تنفيذها، ويدعو الأطراف إلى أن تعين، حسب الاقتضاء، ممثلا رفيع المستوى يكون مسؤولا عن ضمان تنفيذ هذه الالتزامات;",0
"122","تبلغ ميزانية عام 2010 حوالي 637 مليون دولار.",0
"123","وتواصل القوة تحسين قدراتها في مجال مكافحة الشغب والحشود من أجل الاستعداد بشكل أفضل لمواجهة أي تجدد للعنف.",1
"124","كما تم الإبلاغ عن اغتصاب 18 امرأة خلال الهجوم على عدوة بجنوب دارفور في بداية ديسمبر 2004.",1
