"","ar","MatConf"
"20","""ويؤكد مجلس الأمن من جديد أهمية عمل اللجان المنشأة عملا بالقرارات 1267 (1999) و 1373 (2001) و 1540 (2004) ويواصل تقديم دعمه وإرشاده لها.",0
"21","ولا يخضع نقل المواد الأقل حساسية ذات الاستخدام المزدوج بين دول الاتحاد لتراخيص تصدير.",0
"22","وتمثل حوالي 50 في المائة من هذه الرحلات طيرانا عابرا للأجواء لرحلات منتظمة عادية تقوم بها شركات طيران دولية، مثل شركة طيران الإمارات، والخطوط الجوية الكينية، وغيرها، في حين أن نسبة الـ 50 في المائة الأخرى تعود إلى رحلات جوية متجهة إلى وجهات في الصومال أو قادمة منها().",0
"23","169 - حدث الانفجار الذي قتل السيد الحريري و 22 آخرين فوق الأرض.",1
"24","51 - من المعوقات التي يمكن أن تعيق سير الإجراءات القانونية الواجبة الفعالة عن طريق مكتب أمين المظالم احتمال فرض قيود السرية التي من شأنها أن تحول دون الكشف لمقدم الطلب والدول المعنية بالحالة عن هوية الدول التي اقترحت إدراج الاسم في القائمة.",1
"25","8 - وفي غياب أي اعتراض من مجلس الأمن، سوف أتبع الإجراء الوارد أعلاه.",0
"26","20 - وتمت في إندونيسيا بنجاح محاكمة العديد من الأشخاص الضالعين في هجمات سابقة؛ وفي السنوات الأخيرة، حَجبت الأضواءَ عن الجماعة الإسلامية جماعات كـجماعة Jemmah Anshorut Tauhid، وجماعة مجاهدي إندونيسيا تيمور (Mujahidin Indonesia Timur) (وهي جماعة غير مدرجة في القائمة)، بقيادة عضو سابق في الجماعة الإسلامية وجماعة Jemmah Anshorut Tauhid.",1
"27","26 - وفي كانون الأول/ديسمبر، أدى ظهور جماعات متمردة جديدة غرب البلد إلى نزوح السكان من جديد نحو حدود ليبريا وغينيا.",1
"28","404 - ومن بين الضمانات المهمة التي تنص عليها الفقرة 4 من المادة 9، الحق في الرجوع إلى محكمة للفصل في قانونية الاعتقال.",0
"29","واعتبر أن المساءلة شرط أساسي للمصالحة، وأنه ينبغي أيضا بذل الجهود لمحاسبة المنتمين إلى الجماعات المسلحة الذين ارتكبوا انتهاكات جسيمة لحقوق الإنسان.",1
"30","وتُغَطى تكاليف اللجنة من الأموال الخاصة بالتكاليف الإدارية والتشغيلية للبرنامج.",0
"31","وقال رجال الشرطة إنهم يبحثون عن ''إنزا``، وسألوا الشبان عما إذا كانوا قد شاركوا في المسيرة.",1
"32","وبموجب هذا التعديل، الذي يتمشى مع أحكام المادة 5 من اتفاقية مجلس أوروبا لمنع الإرهاب، تُفرض على المخالفين عقوبة السجن لمدة 30 عاما.",1
"33","وبالإضافة إلى ذلك، قُتل 17 شرطيا في هذا الهجوم، وكلهم ينتمون إلى قبائل أفريقية.",1
"34","وتشير عينة من السجلات إلى أن خطط الرحلات الجوية والمغادرة والتقديرات لا ترسل إلا بواسطة عنتيبي.",0
"35","كما يشمل تفتيشها التحقق من أن البضائع مغلفة ومعلمة وموسومة وفقا لأحكام مجموعة القوانين البحرية الدولية بشأن البضائع الخطرة.",0
"36","وإذ يدين استمرار التدفق غير المشروع للأسلحة داخل جمهورية الكونغو الديمقراطية وإليها، وإذ يعلن تصميمه على أن يواصل عن كثب رصد تنفيذ حظر توريد الأسلحة وغيره من التدابير المحددة في قراره 1807 (2008)،",1
"37","٣٠ - يقرر أن تركز ولاية بعثة الأمم المتحدة في البداية على المهام التالية ذات الأولوية:",0
"38","وقال الوزير أنه متى تلقت الحكومة معلومات تفيد بوجود متمردين داخل قرية بعينها، فإنها ""لا تصبح بعد محلية مدنية، بل تصبح هدفا عسكريا"".",1
"39","5 - وستواصل المديرية التنفيذية تعزيز تعاونها مع هيئات الأمم المتحدة ذات الصلة، بما في ذلك فريق الرصد التابع للجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) وفريق الخبراء التابع للجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، وكذلك مع المنظمات الدولية والإقليمية ودون الإقليمية على اختلافها، بما في ذلك في معرض زيارات اللجنة إلى الدول الأعضاء.",0
"40","وقد التمستم في رسالتكم موافقة مجلس الأمن على الترتيبات المبينة في تلك الرسالة.",0
"41","وتم نقل السجناء بناء على تقارير موثوقة تفيد ببذل محاولة لتحريرهم من السجن في بوكافو.",1
"42","3- النفقات المتصلة بالخدمات العامة (566 120 7 ريالاً سعودياً)",0
"43","197 - وسنّت معظم دول المنطقة دون الإقليمية قوانين تنظم استيراد وتصدير الأسلحة.",0
"44","115- تعرض ضابطان شرقيان غير مسلحين من وحدة الاستجابة السريعة لهجوم من أفراد من الحشد المتظاهر في غلينو يوم 8 أيار/مايو، على النحو المبين في الفقرات من 61 إلى 63 أعلاه.",1
"45","وقتل أحد ضباط الشرطة وأصيب اثنان بجراح.",1
"46","29 - لم تقم سوى ثلاث دول بتجريم تمويل الإرهاب، بينما استحدثت دولتان أخريان أحكاما قانونية لمعالجة هذه المسألة.",0
"47","ومن خلال مناقشاتنا السابقة، أعربت بلجيكا عن مشاطرتها الشعور بالقلق الذي عبر عنه الأمين العام إزاء الخطر الذي يمثله العنف في العراق لمجتمع ومؤسسات وعملية سياسية في حالة هشاشة حتى الآن.",0
"48","وإذ يؤكد تأييده للمعاهدات المتعددة الأطراف التي ترمي إلى استئصال أو منع انتشار الأسلحة النووية أو الكيميائية أو البيولوجية، وأهمية قيام جميع الدول الأطراف في هذه المعاهدات بتنفيذها على نحو كامل من أجل تعزيز الاستقرار الدولي،",0
"49","ومن شأن استخدام مكونات عسكرية للقيام بمهام حاسمة أن يزيد من التعويل على منظومات بكاملها، مثل استخدام المتفجرات العسكرية وأدوات التفجير في صنع المتفجرات المرتجلة.",1
"50","وخلال الفترة المشمولة بالتقرير، سجلت حادثة إطلاق نار واحدة وأربع عمليات سطو وثلاث حالات اختطاف وتظاهرة واحدة. وفي 9 تموز/يوليه، أصيبت سيارة للبعثة بحجر رماه أحد السكان المحليين في مدينة زوغديدي.",1
"51","ثم رفضها الإقرار بحرمان هؤلاء الأشخاص من حريتهم أو إعطاء معلومات عن مصيرهم أو عن أماكن وجودهم، بهدف حرمانهم من حماية القانون لفترة زمنية طويلة().وعندما ترتكب تلك الأعمال كجزء من هجوم واسع أو منتظم موجه ضد سكان مدنيين، مع العلم بالهجوم، فإنها قد تشكل جريمة ضد الإنسانية().",1
"52","341 - أفادت مصادر أخرى أن النساء والفتيات تعرضن للاختطاف، وجرى حبسهن لعدة أيام واغتصابهن بشكل متكرر على يد الجنجويد والجنود بالقرى التي تعرضت للهجوم، وبالمعسكرات، والمخابئ. وعلاوة على ذلك، ذُكر أن التعذيب قد استعمل لمنع النساء من الفرار.",1
"53","١ - يغطي هذا التقرير المقدَّم من لجنة مجلس الأمن المنشأة عملا بالقرار 1988 (2011) الفترة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ديسمبر 2014.",0
"54","المقرر عقدها يوم الجمعة 29 حزيران/يونيه 2012، الساعة 45/9",0
"55","وتشير تقارير ثابتة إلى أن الناس كانوا يحتجزون لأكثر من المدة القانونية القصوى.",1
"56","وتم التحسب لتشكيلات من الكميات الجبرية الثنائية الحدود والثلاثية الحدود والمتعددة الحدود.",0
"57","وختاماً، على الرغم من التقدم الكبير الذي أحرزته تيمور - ليشتي، هي لا تزال تواجه كثيراً من التحديات الخطيرة، خلال سعيها نحو ديمقراطية مستقرة وتنمية اقتصادها.",0
"58","""ولا يزال مجلس الأمن يشعر ببالغ القلق إزاء الحالة الأمنية في جمهورية أفريقيا الوسطى.",0
"59","وكان السيد برالو، الذي اتهمته المحكمة الجنائية الدولية ليوغوسلافيا السابقة بارتكاب جرائم حرب، قد سلم نفسه في 10 تشرين الثاني/نوفمبر، فنقل إلى لاهاي في 11 تشرين الثاني/نوفمبر 2004.",0
"60","فعلى سبيل المثال، تمكن المغتربون الصوماليون من خلال حملات جمع الأموال،من إرسال تبرعات عبر نظام الحوالات من المملكة المتحدة بقيمة تقدر بـ 1.1 مليون دولار، ومن الجاليات الصومالية في السويد والنرويج ودانمرك وفنلندا بقيمة تقدر بـ 000 300 دولار.",0
"61","وبالتالي فإن النزاع لا يقتصر على مجرد وجود حالة اضطرابات وتوترات داخلية وأعمال شغب أو أعمال عنف منفردة ومتفرقة. والأحرى أن الشروط (أ) وجود مجموعات مسلحة منظمة تحارب السلطات المركزية، و (ب) سيطرة المتمردين على جزء من الإقليم، و (ج) والقتال الطويل الأمد، قد استوفيت لإمكان اعتبار هذا النزاع نزاعا مسلحا داخليا بموجب المادة العامة 3 من اتفاقيات جنيف.",1
"62","87 - وقد أدت هذه السيطرة المختلطة على البيئة البحرية الصومالية إلى إيجاد أو تعزيز ثلاثة مصادر هامة تدر الدخل على الإدارات المحلية، وهي كالتالي: (أ) تصدير مجموعة من السلع الأساسية من الصومال، منها كميات تجارية كبيرة من الفحم، (ب) وصول سفن الصيد الأجنبية دون قيد إلى الموارد البحرية الصومالية ومصائد الأسماك، (ج) استشراء حوادث القرصنة على نطاق واسع.",1
"63","وفي العقد الذي انقضى منذ الهجوم الذي وقع في بغداد عام 2003، زاد عدد الخسائر في أرواح العاملين في مجال تقديم المساعدة بمقدار ثلاثة أمثـال، بحيث بلغ أكثر من 100 حالة وفاة كل سنة(أ).",1
"64",":: حظر الاعتداء على الحياة والأشخاص، وعلى وجه الخصوص القتل وبتر الأطراف والمعاملة القاسية والتعذيب؛ والاختفاء القسري؛ والاعتداء على كرامة الأشخاص؛ والاغتصاب، والاسترقاق الجنسي، والإكراه على البغاء، والحمل القسري، والتعقيم القسري، وأي شكل آخر من أشكال العنف الجنسي.",1
"65","وفي إحدى الحالات، احتجز الجنجويد مدنيا في أعقاب هجوم على قريته، وأبقي في الأسر في معسكر الجنجويد، ثم نُقل فيما بعد إلى ثكنة عسكرية في المنطقة.",1
"66","من الواضح أن التقدم النهائي في هذه المجالات سيقتضي أن يبذل المجتمع الدولي وبلغراد وسكان كوسوفو المزيد من الجهود المتضافرة.",0
"67","8 - وفي 7 أيار/مايو 2005، عاد العماد ميشال عون بعد 14 عاما في المنفى، وشكل ""التيار الوطني الحر"" للمشاركة في الانتخابات التشريعية التي بدأت في 29 أيار/مايو، وانتهت بعد أربع جولات في 19 حزيران/يونيه.",1
"68","وأُبلغ أيضا عن وقوع أعمال اختطاف أخرى للنساء في المنطقة المحيطة بالجنينة، غرب دارفور.",1
"69","12 - يطلب بصفة خاصة أن تقوم البعثة بإطلاع فريق الخبراء على ما لديها من معلومات، ولا سيما عن الدعم الذي تتلقاه الجماعات المسلحة وتجنيد الأطفال واستخدامهم واستهداف النساء والأطفال في حالات النزاعات المسلحة؛",1
"70","39 - وشارك الفريق، في إطار المنتدى العالمي لمكافحة الإرهاب، في حلقة العمل المعنية بالممارسات الرشيدة في مجال المبادرة بمكافحة الإرهاب التي عُقدت لصالح القطاع العدلي في أبوجا، وفي اجتماع الفريق العامل لمنطقة الساحل المعقود في وهران بالجزائر في حزيران/يونيه 2013، من أجل تعزيز نظام الجزاءات وتقييم الخطر في المنطقة.",0
"71","ولكن هؤلاء الجنود مزودون بأسلحة خفيفة وقدرتهم على التنقل برَّا سيئة وليس لديهم إمكانات جوية كما أنهم يتلقون حدا أدنى من الدعم اللوجستي والمالي.",1
"72","كما حكمت المحكمة بأنه نظرا لأهمية مكافحة الإرهاب الدولي، فإن التجميد الاحترازي والمؤقت للأموال، مع السماح باستثناءات لتغطية النفقات الأساسية، لا يتعارض بشكل تعسفي أو غير ملائم أو غير متناسب مع حق الملكية.",1
"73","ومن المنطقي الافتراض بأن وجود الشرطة كان يعود لأسباب سياسية أكثر من كونها لتوفير الحماية.",1
"74","(ب) إذا ارتكب ذلك الفعل خلال حالة طوارئ وطنية أو وقت الحرب.",1
"75","23 - وهناك أيضا شواغل مستمرة بشأن إمارة القوقاز Emarat Kavkaz)) (QE.E.131.11)، وهي منظمة إرهابية في شمال القوقاز يتزعمها دوكو خاماتوفيتش عمروف فقد كانت الجماعة مسؤولة عن هجمات متعددة في الاتحاد الروسي.",1
"76","هوجمت القرية في حوالي الرابعة صباحا.",1
"77","باسم لجنة مجلس الأمن المنشأة عملا بالقرار 751 (1992) بشأن الصومال، ووفقا للفقرة 3 (ط) من قرار مجلس الأمن 1587 (2005)، أتشرف بأن أحيل رفق هذه الرسالة تقرير فريق الرصد المعني بالصومال (انظر الضميمة).",0
"78","ثم إن الأحزاب وفروع الشبيبة التابعة لها تحرض الأطفال على المشاركة في المظاهرات التي قد تنشب خلالها أعمال العنف، وترد الشرطة أحيانا على ذلك بالاستخدام المفرط للقوة.",1
"79","فإن على الأقليات وخاصة الأقلية الصربية واجبا أساسيا بأن تنخرط تماما في البحث عن الحلول بالاستفادة من كل الفرص المتاحة للمشاركة في مؤسسات كوسوفو.",0
"80","'1` القتل على أيدي القوات الحكومية أو الميليشيات أو كلتيهما",1
"81","إن السودان لا يستهدف الأمم المتحدة بحكم أنه عضو أصيل فيها وملتزم بأحكام ميثاقها ويقدر جهودها في تحقيق الأمن والاستقرار والتنمية في السودان، بل يسعى جاهداً لتطوير هذه العلاقة وفق أحكام ميثاق الأمم المتحدة وقرارات الجمعية العامة ومجلس الأمن ذات الصلة.",0
"82","53 - بدأت الأمم المتحدة التخطيط لعقد اجتماع تقني بشأن تنمية القدرات في جنوب السودان من أجل تنسيق النهج المتّبع.",0
"83",":: تحويلات مصرفية إلى الموردين بواسطة شركة كمبالا لصالح تجار إيتوري.",0
"84","وهذه الجماعات المسلحة متورطة في أنشطة إجرامية منها الاستغلال غير المشروع للموارد الطبيعية والاتجار بالأسلحة والذخائر والتهريب وفرض ضرائب غير قانونية.",1
"85","وقامت المليشيا الماوية بطائفة من الأعمال خلال النزاع، بما في ذلك التعبئة، والدعاية، والقيام بدور جيش غير نظامي، و ''إنفاذ القانون`` بأشكال مختلفة في مناطق توجد تحت سيطرة الحزب الشيوعي النيبالي (الماوي). وعندما حلت المليشيا الماوية، التحق العديد من أفرادها، حسبما أفيد، بعصبة الشبيبة الشيوعية التابعة للحزب، وهي منظمة أعيد إنشاؤها في كانون الأول/ديسمبر 2006.",1
"86","خامسا - دور بعثة مراقبي الأمم المتحدة في سيراليون في المستقبل",0
"87","وتهدف هذه التوصيات، التي استشير بشأنها الطرفان والبلدان المساهمة بقوات، إلى تعزيز قدرة العنصر العسكري على رصد وقف إطلاق النار والاتفاقات العسكرية، في حدود الموارد الموجودة.",0
"88","وتسعى اللجنة إلى ضمان كون القائمة مرنة تستجيب للتهديدات المتغيرة لتنظيم القاعدة.",0
"89","وأبلغ الرئيس لحود والعميد غزالة بشأن الانفجار وقت حدوثه [إفادة شاهد].",1
"90","مكافحة التطرف العنيف والتحريض على ارتكاب الأعمال الإرهابية",1
"91","وينصّ كل من القرار والاتفاقية على أنه لكي يُعتبر فعل ما جريمة من جرائم تمويل الإرهاب، لا يُشترط أن تكون الأموال التي قُصد استخدامها في تمويل الإرهاب متولّدة عن نشاط إجرامي، ولا يُشترط أن يكون العمل الإرهابي الذي قُصد تمويله بهذه الأموال قد تمّ بالفعل، بل ولا يُشترط أن يكون قد شُرع فيه.",1
"92","في 6 تشرين الثاني/نوفمبر 2014، استهدفت الطائرات الحربية للنظام السوري بلدة موقا بقذيفة فقتلتخمسة أشخاص منهم طفلة وامرأتان، فضلا عن إلحاق الضرر بمباني سكنية.",1
"93","2 - يقرر أن تواصل المديرية التنفيذية العمل بوصفها مهمة سياسية خاصة في إطار توجيه السياسات الذي تقوم به لجنة مكافحة الإرهاب، للفترة المنتهية في 31 كانون الأول/ديسمبر 2010 ويقرر كذلك إجراء استعراض مؤقت بحلول 30 حزيران/يونيه 2009، والنظر على نحو شامل في عمل المديرية التنفيذية قبل انتهاء ولايتها؛",0
"94","وفي ضوء ما تقدم، قامت اللجنة الوطنية بزيارة العديد من المناطق في ولايات دارفور، حيث وقع، وفقا لبعض المزاعم، ترحيل قسري أو تطهير عرقي.",0
"95","206 - وبعد التدقيق في الملف، يمكن للجنة إبراز النقاط التالية:",0
"96","وفي كل حالة، يتعرض حقان أساسيان، حق الملكية وحق التنقل، للتقييد، لأسباب يرجح جدا أن يكون منشؤها الاستمرار دون وجه حق في تنفيذ تدابير جزائية صادرة عن مجلس الأمن.",1
"97","وقدم الأمين العام المساعد بالنيابة إحاطة عن التطورات السياسية في أوكرانيا، بما في ذلك إجراء الانتخابات البرلمانية في 26 تشرين الأول/أكتوبر، والانتخابات التي أجراها المتمردون في دونيتسك ولوغانسك في 2 تشرين الثاني/نوفمبر والتي شجبها الأمين العام وكثيرون في المجتمع الدولي.",0
"98","ثم أجبر أفراد الطاقم عندئذ إلى توقيع عقود كانت شركة في مومباسا قد أعدتها وضمنتها شرطا ينص على أنهم يوافقون على العمل في بلد في حالة حرب، ألا وهو الصومال.",1
"99","وقامت القوات المسلحة التابعة للحكومة فيما بعد بمصادرة أسلحة سكان القرية.",1
"100","ويبدو أيضا أنه يجب تلبية عدد غير قليل من الاحتياجات اللوجستية من أجل الانتهاء من عملية التسليم.",0
"101","وتملك بعض الدول قدرة على تجميد الأموال والأصول المرتبطة بالإرهاب دون إبطاء، رغم أنها قدرة محدودة في معظم الأحيان.",1
"102","ولاحظت اللجنة أيضا أن جمهورية كوريا الشعبية الديمقراطية قد اختطفت أو تسببت قسرا بشكل آخر باختفاء ما يزيد عن 000 200 شخص أو أكثر من جمهورية كوريا والصين واليابان وبلدان أخرى، بما في ذلك بعد نهاية الحرب الكورية.",1
"103","المقرر عقدها يوم الأربعاء، 28 تشرين الثاني/نوفمبر 2007، الساعة 20/10",0
"104","قانون جمهورية بيلاروس المؤرخ 2 كانون الأول/ديسمبر 1994 بشأن ""مسائل الطب البيطري""؛",0
"105",":: منع تجنيد الأطفال انتهاكا للقانون الدولي ووضع حد لذلك.",0
"106","وأطلقت الشرطة الغاز المسيل للدموع لتفريق مؤيدي الحزبين الذين كانوا يرشقون الحجارة في الشوارع.",1
"107","248 - وقد أسفر كثير من الهجمات الأرضية والجوية على القرى عن القتل العشوائي للمدنيين.",1
"108","(و) ردع أي محاولة لاستخدام القوة في تهديد عمليتي غوما ونيروبي من جانب أي جماعة مسلحة، أجنية أو كونغولية، وبخاصة في الجزء الشرقي من جمهورية الكونغو الديمقراطية، بطرائق من بينها استخدام أساليب التطويق والتفتيش والاضطلاع بجميع العمليات اللازمة لمنع الهجمات على المدنيين، وتعطيل القدرة العسكرية للجماعات المسلحة غير القانونية التي تواصل استخدام العنف في تلك المنطقة؛",1
"109","ويدل اشتراك جماعتي بوكو حرام وأنصارو (Ansaru) في اختطاف قس فرنسي في الكاميرون، في تشرين الثاني/نوفمبر 2013، على قدرة هاتين الجماعتين على العمل خارج الحدود النيجيرية.",1
"110","وتفسر الحكومة هذا الاتفاق على أنه يقتصر على مناطقها الاقتصادية الخالصة.",0
"111","216 - بناء على النتائج التي توصلت إليها اللجنة والتحقيق اللبناني حتى الآن، وعلى قاعدة الأدلة المادية والوثائقية التي جمعت، والدلائل التي تم التوصل إليها حتى الآن، هناك أدلة متفقة تشير إلى التورط السوري واللبناني في هذا العمل الإرهابي.",0
"112","وأبلغ عن وقوع أعمال اغتصاب أخرى للنساء خلال الهجمات حول ميسكي وديسا وأم بارو شمال دارفور؛ وأزرني وكورنوي ونيرتيت وموكجار غرب دارفور.",1
"113","ونتيجة بصفة رئيسية للإجراءات التشغيلية المتباينة في مختلف الكيانات، لا تزال العقبات بارزة أمام البرمجة المشتركة.",0
"114","البعثة الدائمة لليابان لدى الأمم المتحدة",0
"115","لا تضطلع المكاتب القنصلية بأي دور في إصدار التأشيرات.",0
"116","وسيظل تركيز اللجنة منصبّا على رصد وتشجيع تنفيذ الدول الأعضاء للقرار 1373 (2001)، وعلى اتخاذ تدابير عملية لتعزيز قدرة الدول على مكافحة الإرهاب، بما في ذلك تدابير تهدف إلى تيسير المساعدة التقنية.",0
"117",":: 19 أيلول/سبتمبر 2005، مقتل شخص وجرح اثنين آخرين بانفجار صغير في مكتب الإعلام الكويتي في بيروت.",1
"118","وإضافة إلى إمكان اعتبار هؤلاء الأشخاص مسؤولين، بموجب مبدأ العمل الإجرامي المشترك، عن الجرائم التي ارتكبها أفراد آخرون خلال الهجمات، فإنه يمكن أن يشتبه في قيام هؤلاء الأشخاص بشن هجمات عشوائية على المدنيين، والتي تعتبر جريمة حرب.",1
"119","وتتولّى المديرية التنفيذية أيضا، نيابة عن الفريق العامل المعني بالتصدي لتمويل الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وبدعم من دول ومنظمات مانحة عدّة، قيادة مبادرة عالمية مدّتها ثلاث سنوات تهدف إلى تكوين فهم مشترك للممارسات السليمة لمكافحة استغلال ذلك القطاع في تمويل الإرهاب.",0
"120","(ج) القيام بانتظام بتحديث القائمة الموحدة المشار إليها في الفقرة 1؛",0
"121","ويعتبر هذا التفسير مبررا بموجب المبادئ الأساسية للقانون الجنائي الدولي، التي تنص على قيام المسؤولية الجنائية الفردية حال ارتكاب شخص ما بنفسه جريمة ما، وكذلك حال مشاركة الشخص في أية صور أو أشكال أخرى من السلوك الإجرامي.",1
"122","وتؤكد الأدلة أن هناك أسبابا معقولة لاتهام ستة جنود من قوات الدفاع بالقتل.",0
"123","ومع تطور تحليل الأمم المتحدة والشركاء الدوليين لشروط دعم الأمم المتحدة المحتمل والمقبل، ينتظر أن يجري تحديد خدمات مطلوبة أخرى.",0
"124","وقد استهدف التدمير المناطق التي تسكنها قبائل أفريقية، ولا سيما الفور والزغاوة والمساليت.",1
"125","باء - قتل الأطفال وتشويههم",0
"126","36 - وقد أبلغت مصادر رسمية عن مقتل ثلاثة على الأقل من أفراد القاعدة المدرجة أسماؤهم في القائمة.",1
"127","79 - وستشهد الأشهر المقبلة مزيدا من عمليات خفض عدد الوظائف.",0
"128","(أ) المدفوعات أو الإغاثة المقدمة للغير 68 -74 22",0
"129","وفي 16 تشرين الثاني/نوفمبر 2014، أعدمت الدولة الإسلامية 17 شخصا في سوق الطبقة بالرقة بعد اتهامهم بالتجسس والعمل مع قوات النظام.",1
"130","77 - وتشير كل الأدلة المتاحة إلى أن أعمال إطلاق النار الأولية صباح يوم 25 آذار/مارس التي كانت الشرارة التي أدت إلى انفجار الموقف قد جاءت نتيجة لأعمال منسقة من جانب قوات الأمن، مما أسفر عن مقتل أكثر من 100 من المدنيين.",1
"131","ونعتبر أي ابتعاد عن ذلك المبدأ أمرا غير مقبول ناهيك عن أن الحالة الهشة في الإقليم قد تؤدي إلى انتشار انعدام الاستقرار.",0
"132","وقد حدد القرار عددا من التدابير التي يُطلب من الدول الأعضاء وضعها وتنفيذها، وأنشأ لجنة مكافحة الإرهاب لرصد تنفيذ هذه التدابير.",0
"133","ولا توجد تدابير لمنع إساءة استغلال إجراءات اللجوء إلا بصورة جزئية في خمس من الدول فحسب.",0
"134","وعزلت النساء والفتيات الصغار عن الرجال، واحتجزن في منطقة حول المسجد، وبعدئذ اقتادهن المحتجزون لاغتصابهن.",1
"135","(هـ) مهام رصد وتحقق مختلفة؛",0
"136","وهدف القاعدة في العراق هو بناء القدرات لشن هجمات كلما تيسرت الأهداف، سواء بواسطة أعضائها أو بالتعاون مع جماعات قائمة تعمل معها أو، أفضل من ذلك، تنساق لأوامرها().",1
