"","en","VerConf"
"79","Abdelrahman Mouhamad Zafir al Dabidi al Jahani is associated with Al-Qaida or any cell, affiliate, splinter group or derivative thereof for ""participating in the financing, planning, facilitating, preparing, or perpetrating of acts or activities by, in conjunction with, under the name of, on behalf of, or in support of"" and ""recruiting for"" Jabhet al-Nusra, an a.k.a. of Al-Nusrah Front for the People of the Levant (QE.A.137.14).",1
"80","47. Two of the five States of the subregion have introduced comprehensive legislation covering the relevant terrorist offences, while two others have draft counter-terrorism laws that are either under consideration or pending adoption.",0
"81","Place and date of birth: Susah, 1990",0
"82","216. Building on the findings of the Commission and Lebanese investigations to date and on the basis of the material and documentary evidence collected and the leads pursued until now, there is converging evidence pointing at both Lebanese and Syrian involvement in this terrorist act.",1
"83","28. Fourth, it poses direct threats to the safety and security of mission personnel.",1
"84",":: Bring to justice those who finance, plan, support, facilitate or commit terrorist acts, in particular noting the principle of ""extradite or prosecute"", in accordance with international law, including human rights law",1
"85","Statement by the President of the Security Council",0
"86","51. The situation in Chad, the Central African Republic and the subregion (27 August 2007; 20 December 2010).",0
"87","What everyone needs to do is to reject the extremist voices thatwho find comfort in the old ways and thatwho believe that it is impossible for Serbs and Albanians to normalize their relations by reaching an historic compromise.",1
"88","2. Figure showing the Bay of La Unión and Conejo Island, which is appended to the Goascarán sector and is confirmed to be under Honduran sovereignty by the 11 September 1992 judgment of the International Court of Justice, and further so confirmed by the judgment of 18 December 2003 declaring inadmissible the application for revision filed by El Salvador concerning the Goascarán sector.",1
"89","2. Letter dated 22 November 2006 from the Secretary-General addressed to the President of the Security Council (S/2006/920)",0
"90","Israeli authorities claim in turn that these overflights are carried out for security reasons, citing alleged breaches to the arms embargo enforced pursuant to resolution 1701 (2006).",1
"91","""The Security Council expresses its grave concern about the increasing entrenchment in the Sahel of terrorist elements, including Al Qaida in the Islamic Maghreb (AQIM), affiliated groups and other extremist groups, and its consequences for the countries of the region and beyond.",1
"92","Vital as it is to prevent terrorists from carrying out their attacks, it is clear that terrorism cannot be defeated by security measures alone and that many members of the international community look to the Security Council to introduce measures that limit the means by which Al-Qaida spreads its message as well as to promote programmes that aim to undermine it.",1
"93","The Commission was declared operational four months after the actual crime, which means that the perpetrators and their accomplices had plenty of time to destroy evidence and/or to collude with each other, the ability to recall potential witnesses had diminished and previous omissions and inadvertent or deliberate loss and destruction of evidence could not be undone.",0
"94","As it may be recalled, the Government of Eritrea had urged the Security Council, through its letter of 28 February 2012 (S/2012/126), to shoulder its responsibilities and take appropriate measures against the myriad and unlawful acts of aggression and occupation.",1
"95","Such false accusations run counter to reason and to the basic standards of a professional attitude. I am quite certain that the Council will dismiss them.",1
"96","That is why we condemn terrorism.",1
"97","The Security Council recalls its demand that all parties to an armed conflict comply fully with the obligations applicable to them under international law related to the protection of civilians in armed conflict, including journalists, media professionals and associated personnel.",1
"98","The international community must thus take the necessary measures to prevent Israel from persisting in the deplorable, destructive policy it has begun in Gaza, and must stress its rejection of all such Israeli practices, which are a violation of international law and international humanitarian law.",1
"99","Regarding the disarmament, demobilization and reintegration of ex-combatants, the parties agreed that the chiefs of staff of the Ivorian National Armed Forces (FANCI) and the Forces nouvelles would meet on 7 July to finalize a disarmament, demobilization and reintegration timetable scheduled to begin by the end of July.",0
"100","The Financial Action Task Force on Money-Laundering International Cooperation Review Group stated in June 2009 that six States of the subregion had anti-money-laundering and counter-financing of terrorism deficiencies.",1
"101","""The Security Council reiterates its readiness to impose sanctions on individuals and entities who harbour, finance, facilitate, support, organize, train, or incite individuals or groups to perpetrate acts of violence or terrorist acts against other States or their citizens in Somalia or its region in accordance with its relevant resolutions, and other regional networks as well as individuals, groups, undertakings and entities who do not cut off all ties to Al Qaida and associated groups, including Al Qaida in Islamic Maghreb (AQMI), ""Mouvement pour l'Unicité et le Jihad en Afrique de l'Ouest"" (MUJAO) and Ansar Eddine, in accordance with resolution 2083 (2012).",1
"102","32. The constitution-making process for Somalia has gathered pace.",0
"103","The report's findings are based on a collection of first-hand accounts from victims and witnesses.",0
"104","Moreover, there are concerns that the active arms-for-drugs trafficking emanating from Afghanistan may lead to terrorist financing in neighbouring Central Asian States, through the activities of cash couriers.",1
"105","In addition, many financial institutions complain that they have been given little or no information on what to look for as possible indicators of terrorist financing transactions.",1
"106","12. To apply for Myanmar passport, the applicant has to fill the personal data correctly on the Passport Application Form attached with other relevant supporting documents.",0
"107","We must not underestimate the threat posed in Afghanistan by the destabilizing activities of the Taliban and Al Qaeda.",1
"108","What happens with these fighters will depend on what they experience while in the Syrian Arab Republic, but past conflicts involving foreign volunteers with Al-Qaida affiliates have proved to have an enduring effect on the local and international threat picture.",1
"109","Demands an end to violence by all sides, to attacks on civilians, peacekeepers and humanitarian personnel, and to other violations of human rights and international humanitarian law...",1
"110","2. Molybdenum, Iodine and Xenon Radioisotope Production Facility (MIX Facility)",0
"111","Each fund is maintained as a distinct financial and accounting entity with a separate self-balancing double-entry group of accounts.",0
"112","Report of the Secretary-General on the United Nations Stabilization Mission in Haiti (S/2012/128).",0
"113","We are concerned that the security situation remains problematic.",1
"114","Political pressure on UNMIK has significantly increased, with attempts to challenge its role under resolution 1244 (1999) and the Constitutional Framework.",1
"115","Requests the Secretary-General to ensure that his [Special Representatives for neighbouring countries] coordinate the activities of [their respective missions], share military information at their disposal, in particular concerning cross-border movements of armed elements and arms trafficking, and pool their logistic and administrative resources, to an extent that does not affect the ability to carry out their respective mandates, in order to maximize efficiency and cost-effectiveness.",0
"116","Finally, we thank the Italian delegation for preparing a draft presidential statement on Afghanistan.",0
"117","Divergent views on this issue across the African Union and the United Nations will complicate any transition process.",0
"118","ITEMS RELATING TO THE SITUATION IN THE FORMER YUGOSLAVIA",0
"119","A greater United Nations presence is in fact vital, but in order for the value added of our Organization to be completely effective, adequate funds will need to be made available in terms of both personnel and security. Mr. Eide reminded us of that a few moments ago.",1
"120","The SAD and the other above-mentioned documents are sealed by inspector's seal.",0
"121","However, the potential remains for a complete breakdown of law and order, in addition to a collapse of the fragile economy and the disintegration of the institutions of Palestinian self-rule.",1
"122","The FATF typologies report Money Laundering and Terrorist Financing through the Real Estate Sector (2008) suggests possible real estate sector links to terrorist financing.",1
"123","For the first time since the beginning of the crisis in 2012, two humanitarian workers were killed on 29 May in the Timbuktu region when their car hit a remote-controlled improvised explosive device. Two international non-governmental organizations' vehicles were carjacked on 8 and 9 November near Ménaka (Gao region).",0
"124","Status of Forces nouvelles finances 40",0
"125","Condemns in the strongest terms all sexual and other forms of violence committed against civilians in armed conflict, in particular women and children, and undertakes to ensure that all peace support operations employ all feasible measures to prevent such violence and to address its impact where it takes place.",1
"126","Closing arguments in April 2010. Judgement expected October 2010.",0
"127","Started on 27 November 2003. Started de novo on 9 June 2005.",0
"128","II. Action to enable the family to perform its basic functions",0
"129","Though the fighting had stopped, tensions remained high and the occurrence of further clashes could not be ruled out.",0
"130","4. On 25 July, I informed the Security Council of my decision to appoint Peter van Walsum (Netherlands) as my Personal Envoy for Western Sahara to help me assess the situation and to explore with the parties, neighbouring States and other stakeholders how best to overcome the present political impasse.",0
"131","However, international human rights mechanisms have raised a number of concerns over violations allegedly committed by law enforcement and intelligence bodies in the course of investigations and interrogation.",1
"132","The name Salim Alio Ibrow is typed under an illegible signature, as are the words ""the Minister, Ministry of Culture & High Education/Deputy Prime Minister"" in Somalia.",0
"133","However, the lack of specific counter-terrorism laws limits the effectiveness of those mechanisms.",0
"134","Beyond the zone of responsibility of MINURCAT, in eastern Chad, other developments are also ground for concern.",1
"135","To be held on Tuesday, 14 November 2000, at 3.40 p.m.",0
"136","The threat from Al-Qaida and the Taliban",1
"137","Colonel Reis and Mr. Malik had a heated verbal exchange.",1
"138","That worrying pattern of activity is a matter of grave concern that threatens to seriously undermine the integrity of United Nations operations.",1
"139","In addition, the Government of Egypt has placed Iranian national Javad Rahiqi, whose name appears in resolution 1929 (2010), on the list of individuals who are prohibited from entering the country.",0
"140","The participants agreed that the presence in Yemen of AlQaida in the Arabian Peninsula posed a major challenge to a peaceful transition and underlined the need for targeted international support to be provided to Yemen to combat terrorism.",1
"141","55. Indian channel NDTV -- 15 October 2011",0
"142","The Deputy Foreign Minister of Afghanistan said that it had been a year of significant milestones, but achievements had come at a price. He underlined that terrorism remained a strong threat.",1
"143","Determining that the situation in Somalia continues to constitute a threat to international peace and security in the region,",1
"144","During the reporting period, more than 300 members of Chadian armed opposition groups returned from the Sudan to Chad.",0
"145","Viet Nam is deeply concerned at the alarming deterioration of the security and humanitarian situation in the eastern part of the Democratic Republic of the Congo.",1
"146","We bring up the issue of violence in order to express our impatience as regards urgently finding satisfactory solutions to the enormous challenges to the unity of Iraqi society.",1
"147","Guidance material is available to assist with the implementation of effective practices. Notable in this regard are the Financial Action Task Force on Money-Laundering Best Practices Paper on detecting and preventing the illicit cross-border transportation of cash and bearer negotiable instruments and the WCO Enforcement Guidelines on Countering Money-Laundering and Terrorist Financing.",0
"148","Steps that could undermine confidence or prejudice the outcome of negotiations must be stopped and reversed.",1
"149","Pristina has thus far rejected every initiative in that regard.",1
"150","""The Security Council acknowledges the important work of the United Nations entities and other multilateral organizations in supporting efforts to prevent and suppress the financing of terrorism and terrorist organisations, in particular the Financial Action Task Force, the Eastern and Southern Africa Anti-Money Laundering Group (ESAAMLG), the Inter Governmental Action Group against Money Laundering in West Africa (GIABA), and the Middle East and North Africa Financial Action Task Force in promoting capacity and cooperation (MENAFATF).",0
"151","Such criminal activities seem to have a ripple effect by feeding terrorism in Africa and criminal activities which prosper in other regions of the world.",1
"152","Demands that all armed groups, in particular [specific armed group] elements prevent the recruitment and use of children, further demands that all parties protect and consider as victims those children who have been released or otherwise separated from armed forces and armed groups, and emphasizes the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;",1
"153","67. I renew my call for the immediate and unconditional release of all innocent seafarers held hostage in Somalia so that they can rejoin their families.",1
"154","Otherwise, only minor security incidents had affected the election process directly since the launching of voter registration on 25 April. These included incidents related to long lines at registration centres, minor assaults on individual electoral guards and theft and destruction of equipment.",0
"155","Such positions can be seen as indirect participation in misleading public opinion and disregard for the Syrian Government's position regarding events on its own territory. It is an irresponsible incitement of all sorts of acts of violence, providing international cover for international terrorist acts undertaken by terrorist groups against Syria, its interests and its people.",1
"156","Recalling the Presidential Statement of the Security Council (S/PRST/2012/17) of 4 May 2012 on threats to international peace and security caused by terrorist acts,",1
"157","Bulgaria (Ratification Law 18 of 1984)",0
"158","82. While Al-Qaida, the Taliban and their associates may not maintain sophisticated structures and systems that provide operational control of their followers, they have nonetheless a functioning military capability, as indicated, for example, by the insurgency in Afghanistan. At the tactical and operational levels, Al-Qaida, the Taliban and their associates have used both military and civilian equipment, such as short-range radios and mobile and satellite telephones.",1
"159","The Monitoring Group notes, however, that the lack of an established central Government in Somalia and the current elevated threat of widespread hostilities has severely retarded, if not put on hold for the time being, serious countrywide capacity-building efforts.",1
"160","""The Security Council recalls that justice and rule of law at the international level are of key importance for promoting and maintaining peace, stability and development in the world.",0
"161","In conclusion, the challenges facing Afghanistan are enormous, but we are making progress.",1
"162","It is estimated that there are approximately 1.2 million potential applicants for the first phase of civil and voter registration.",0
"163","Special emphasis is given to the inclusion of, and respect for, the views and interests of all communities by the local institutions.",0
"164","We cannot send the message that terrorists will be immune and satisfy ourselves with routine condemnations.",1
"165","1.7 The use of special investigative techniques is not currently provided for in Irish legislation.",0
"166","Others are identified for their possible involvement in planning and/or ordering the commission of international crimes, or of aiding and abetting the perpetration of such crimes.",0
"167","To be held on Wednesday, 30 May 2007, at 3 p.m.",0
"168","Acting under Chapter VII of the Charter of the United Nations,",0
"169","Hence, the new 180-day period under resolution 1153 (1998), commonly known as phase IV, commenced at 00.01 hours Eastern Standard Time on 30 May 1998.",0
"170","""The Security Council stresses the urgent need to strengthen military and police institutions in Libya.",1
"171","My delegation firmly condemns such violence and extends its condolences to the families of the deceased pediatrician.",1
"172","""The Security Council warns solemnly the States neighbouring the Democratic Republic of the Congo of the consequences of support to the armed rebel groups.",1
"173","Geosonda’s profit projections, however, do not account for Geosonda’s probable financing costs.",0
"174","We are concerned about the deterioration in people's living standards as a result of the difficulties that the country faced in 2008, in particular as a result of the global food crisis and the damage caused by the hurricanes that struck the island.",1
"175","Some threats have been made against programme staff.",1
"176","In Kosti, more than 10,000 individuals have passed through the transit hub since January 2010, in spontaneous movements to the places of their previous residence, located primarily in Abyei, Upper Nile, Southern Kordofan, Warrap and Northern Bahr El Ghazal States.",0
"177","Efforts continued to mainstream minority representation throughout the staffing of the administrative departments.",0
"178","That type of interaction can allow preventive action to be taken in reasonable time.",0
"179","2 Head office and branch office expenses",0
"180","The members of the Security Council also condemned the continued attacks against Yemeni security forces in Hadramawt on 9 October, as well as in Bayda on 8 October, which were aimed at undermining Yemen's stability.",1
"181","We also wish to express our concern that the recurrence of those incidents could lead to an unstable situation in the region, which would make it difficult to reach a peaceful solution to the situation of Kosovo, one acceptable to both parties.",1
"182","1. WMD Act 2005 (Section 8) 2.",0
"183","On some occasions, they have been killed as they ventured out of the camp, either to go back to their village or for any other reason.",0
"184","Of course, each pillar has different institutional ""origins"" and different approaches and time lines.",0
"185","The Council reiterates its intention to continue forcefully to fight impunity and uphold accountability with appropriate means.",1
"186","The French authorities are extremely concerned by the ongoing deterioration in the situation in the northern part of the Gaza Strip over the past week.",1
"187","Acting under Chapter VII of the Charter of the United Nations,",0
"188","6. The enforcement of the arms embargo was strengthened in resolution 1945 (2010), when the Council clarified the exemptions to that measure and made the sale or supply of arms and related materiel to the Sudan not prohibited by the embargo contingent upon the necessary end user documentation.",0
"189","There has not been a case of polio recorded in Somalia since March 2007.",0
"190","S/RES/1906 (2009), op. 12",0
"191","The situation on the ground is of concern also in humanitarian terms. The Secretary-General confirms that Iraq is experiencing a major crisis, stating that the situation is continuing to deteriorate.",1
"192","319. It is apparent that the massive destruction of villages by the Government forces and the Janjaweed was not justified by military necessity.",0
"193","""The Security Council expresses deep concern at the direct threat the activity of armed groups poses for the safety of the civilian population and the conduct of humanitarian operations.",1
"194","H. Other losses 94 - 112 19",0
"195","It also noted that acts of terrorism were defined as common crimes and dealt with under standard criminal procedures, rather than under special rules or by special tribunals.",1
"196","(a) Ensure that customs officers have the necessary practical measures and resources in place to detect and prevent the cross-border movement of currency and bearer negotiable instruments and to detect and prevent the smuggling of arms and weapons;",0
"197","One may distinguish universal and particular (detailed) criteria.",0
"198","In that connection, we wish to go further and say that we believe that the only way to improve security and stability in Somalia is to empower Somali security forces to subdue the most virulent insurgents and to enable the Government to extend its areas of authority as far as possible if negotiations for peace fail.",1
"199","12. Demands that all parties cooperate fully with the operations of MONUC and that they ensure the security of as well as unhindered and immediate access for United Nations and associated personnel in carrying out their mandate, throughout the territory of the Democratic Republic of the Congo, demands in particular that all parties provide full access to MONUC military observers, including in all ports, airports, airfields, military bases and border crossings, and, in addition, that MONUC human rights observers are granted access to detention centres and brassage centres, and requests the Secretary-General to report without delay any failure to comply with these demands;",1
"200","Foreign nationals are issued with identity documents if they have been domiciled in Iceland for two years.",0
"201","The protection of civilians is an obligation long ignored in Somalia.",1
"202","58. The FN provides combatants daily to secure the area around the diamond pits.",0
"203","As Hizbullah maintains close ties with a number of regional States, in particular with the Islamic Republic of Iran as acknowledged publicly by the Secretary-General of the militia himself, I call upon these States to encourage the transformation of the armed group into a solely political party and its disarmament, consistent with the requirements of the Taif Agreement and resolution 1559 (2004), in the best interests of regional peace and stability.",1
"204","The great majority of land police border posts lack the tools and equipment to perform their missions, and national border-control agencies do not sufficiently cooperate among themselves or with their counterparts in neighbouring States.",1
"205","(b) Foreigners who are not included in these two groups.",0
"206","Mine clearance in support of demarcation",0
"207","Pursuant to rule 15 of the provisional rules of procedure of the Security Council, the Secretary-General wishes to report that he has received a letter dated 10 January 2014 from the Permanent Representative of Chile to the United Nations stating that Mr. Patricio Aguirre has been appointed alternate representative of Chile on the Security Council.",0
"208","The Committee strongly recommends that Member States set up such national bodies to coordinate and discuss counter-terrorism issues. III. Non-reporting",0
"209","If a new surge in violence is to be avoided, both parties and the international community must act promptly.",1
"210","The further development of the situation in that direction would threaten efforts to restore and rebuild the country, and in the long term would threaten peace and stability throughout the region.",1
"211","In addition, military region 3 in Mijek has also, to a large extent, honoured its obligations in this regard, with only four freedom-of-movement violations being committed.",0
"212","220. The Commission recommends that special measures be taken to ensure the dignity and avoid the retraumatization of victims in any judicial or non-judicial processes. VI. Conclusions and findings A. Conclusions",0
"213","Reaffirming that terrorism in all forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable regardless of their motivations, whenever and by whomsoever committed,",1
"214","The Secretary-General warns in an unequivocal way that none of the eight standards has so far been entirely fulfilled.",1
"215","There was a risk, he warned, that inviting a Group of Friends, including non-Council members, to partake in the decision-making process of the Council could cause inefficiencies.",1
"216","Last Sunday, on the occasion of the twenty-first anniversary of Hamas, Hamas leader Haniyeh challenged the continuation in office of President Abbas pending a resolution of the internal divide.",1
"217","While both Pristina and Belgrade strongly condemned the incident and called for the arrest of the perpetrators, each side has claimed that the other is responsible for provoking the incident.",1
"218","I urge the Lebanese leaders to resume and accelerate their discussions on the development of a national defence strategy and to achieve tangible progress. The end result of such a process must be that there are no weapons without the consent of the Government of Lebanon and no authority other than that of the Government of Lebanon.",1
"219","As regards the military dimensions of security sector reform, the Government has made it clear that it wishes to largely rely on bilateral aid for building up the capabilities of the army.",1
"220","During its visits, the Team met both the national bodies responsible for oversight of the sanctions regime and those most engaged in dealing with the threat from the Taliban and Al-Qaida on the ground.",0
"221","Sampling and screening procedures at BOMVIC were operational throughout the inspection period.",0
"222","The trucks carried Government armed forces and were later used to transport looted property from the village.",0
"223","The treaty that established the Court, the Rome Statute, entered into force on 1 July 2002.",0
